Word	Amharic-am	Valence	Arousal	Dominance
coffeehouse	ቡና ቤት	0.694	0.357	0.307
coffeepot	ቡና	0.760	0.333	0.312
coffin	የሬሳ ሳህን	0.073	0.432	0.343
cog	እብጠት	0.427	0.343	0.363
cogent	ምህረት	0.765	0.479	0.836
cognac	ኮንኮክ	0.615	0.510	0.430
cognate	እኩል	0.615	0.350	0.398
cognition	ግንዛቤ	0.635	0.344	0.706
cognitive	ኮግኒቲቭ	0.513	0.401	0.634
cohabitation	የጋብቻ ግንኙነት	0.646	0.526	0.598
coherence	ወጥነት	0.720	0.406	0.788
coherent	ወጥነት ያለው	0.698	0.281	0.500
cohesion	ጥምረት	0.604	0.536	0.555
cohesive	ተጣጣፊ	0.531	0.470	0.603
cohort	የተመሳሳይ ሰዎች ቡድን	0.459	0.551	0.566
coil	ድባብ	0.448	0.343	0.298
coiled	ተጣብቋል	0.378	0.518	0.389
coin	ሳንቲም	0.677	0.574	0.445
coinage	የመገበያያ ገንዘብ	0.500	0.400	0.545
coincide	ተባዝቷል	0.635	0.490	0.593
coincidence	ክስተት	0.612	0.450	0.518
coincident	በአጋጣሚ	0.562	0.385	0.602
coincidental	በአጋጣሚ	0.646	0.481	0.337
coinciding	ተባባሪ	0.673	0.373	0.623
coke	ኮክ	0.404	0.461	0.397
cola	ኮላ	0.469	0.325	0.240
cold	ቅዝቃዜ	0.398	0.538	0.348
coldly	በብርድነት	0.365	0.358	0.407
coldness	ቅዝቃዜ	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	አረንጓዴ	0.707	0.312	0.336
colic	አጥንት	0.135	0.736	0.361
coliseum	ኮላሲየም	0.612	0.663	0.704
collaborate	ተባበር	0.816	0.449	0.559
collaboration	ትብብር	0.885	0.628	0.741
collaborator	ተባባሪ	0.729	0.320	0.769
collage	ኮላጅ	0.680	0.321	0.375
collagen	ቁርኣን	0.541	0.245	0.450
collapse	ተሰብስቧል	0.208	0.689	0.342
collar	አንገት ላይ	0.656	0.442	0.446
collarbone	አጥንት አጥንት	0.420	0.427	0.306
collate	ግታ	0.438	0.448	0.580
collateral	መያዣ	0.531	0.422	0.717
collation	መክሰስ	0.520	0.333	0.508
colleague	ባልደረባ	0.740	0.413	0.600
collect	ሰብስቡ	0.635	0.481	0.491
collected	ተሰብስቧል	0.570	0.402	0.588
collection	ስብስብ	0.725	0.311	0.588
collective	መሰብሰብ	0.583	0.458	0.698
collectively	በአጠቃላይ	0.817	0.573	0.533
collector	አሰባሳቢ	0.552	0.481	0.648
college	ኮሌጅ	0.700	0.467	0.746
collegiate	ኮሌጅ	0.592	0.461	0.678
collide	ተጣደፈ	0.271	0.892	0.557
collie	ጥንቸል	0.562	0.308	0.328
collision	ግጭት	0.245	0.848	0.585
collocation	ድባብ	0.637	0.360	0.594
colloquial	ግጥም	0.604	0.363	0.368
collusion	ግጭት	0.365	0.510	0.400
cologne	ኮሎኔ	0.677	0.413	0.552
colon	ኮሎን	0.449	0.394	0.384
colonel	ኮሎኔል	0.459	0.592	0.890
colonial	የቅኝ ግዛት	0.553	0.327	0.613
colonic	ቅኝ ግዛት	0.333	0.420	0.430
colonoscopy	ኮንዶስኮፕ	0.208	0.524	0.466
colony	ቅኝ ግዛት	0.716	0.353	0.593
colophon	ኮሎፖን	0.500	0.408	0.385
color	ቀለም	0.786	0.280	0.402
coloration	ቀለም	0.541	0.520	0.443
colored	ቀለም ያለው	0.806	0.317	0.275
colorful	ባለቀለም	0.850	0.520	0.519
coloring	ቀለም	0.781	0.469	0.353
colorless	ቀለም የሌለው	0.354	0.340	0.250
colors	ቀለሞች	0.875	0.349	0.340
colossal	ግዙፍ	0.698	0.692	0.900
colt	እንቁላሉ	0.561	0.587	0.543
columbine	ኮላምቢን	0.520	0.521	0.407
column	አምድ	0.480	0.250	0.670
columnar	አምድ	0.448	0.340	0.491
columnist	የዓምድ አምሳያ	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	ኮማ	0.219	0.255	0.302
comatose	ኮሜዝ	0.143	0.438	0.433
comb	ቆንጆ	0.490	0.123	0.268
combat	ትግል	0.302	0.846	0.833
combatant	ተዋጊ	0.531	0.853	0.780
combative	ቆንጆ	0.381	0.690	0.816
combination	ቅንብር	0.708	0.480	0.726
combinatorial	ጥምረት	0.561	0.436	0.428
combine	ማዋሃድ	0.663	0.442	0.533
combined	ጥምር	0.622	0.370	0.500
combo	ጥምር	0.698	0.439	0.453
combustible	የሚቀጣጠል	0.386	0.650	0.750
combustion	መጣደፍ	0.457	0.807	0.591
come	ና	0.529	0.269	0.558
comeback	ተመልሰዉ ይምጡ	0.580	0.409	0.555
comedian	ኮሜዲያን	0.812	0.735	0.598
comedy	ኮሜዲ	0.918	0.555	0.490
comet	ኮከቢት	0.704	0.679	0.471
comfort	ማጽናኛ	0.863	0.231	0.670
comfortable	ምቹ	0.927	0.163	0.473
comforter	አፅናኝ	0.618	0.275	0.302
comforting	ማጽናኛ	0.906	0.337	0.620
comfy	ቆንጆ	0.930	0.241	0.625
comic	አስቂኝ	0.917	0.459	0.387
comical	አስቂኝ	0.844	0.737	0.327
comics	ኮሜ	0.690	0.556	0.384
coming	እየመጣ ነው	0.653	0.417	0.500
comma	ኮማ	0.344	0.269	0.242
command	ትዕዛዝ	0.427	0.790	0.849
commandant	አዛዥ	0.622	0.700	0.943
commandeer	ትዕዛዝ	0.552	0.639	0.931
commander	አዛዥ	0.531	0.615	0.906
commanding	ትዕዛዝ	0.562	0.664	0.925
commandment	ትእዛዝ	0.656	0.490	0.876
commando	ትዕዛዝ	0.323	0.710	0.817
commemorate	መከበር	0.812	0.602	0.636
commemoration	መታሰቢያ	0.719	0.615	0.754
commemorative	ታዛቢ	0.750	0.438	0.754
commence	ጀምር	0.760	0.585	0.741
commend	አመሰግናለሁ	0.906	0.694	0.711
commendable	ሊመሰገን የሚገባው	0.786	0.570	0.555
commendation	ማመስገን	0.911	0.500	0.639
commensurate	ተመጣጣኝ	0.610	0.304	0.550
comment	አስተያየት ይስጡ	0.667	0.417	0.379
commentary	አስተያየት	0.602	0.402	0.446
commentator	ተንታኝ	0.492	0.510	0.607
commerce	ንግድ	0.646	0.500	0.788
commercial	ንግድ	0.806	0.490	0.528
commie	ኮር	0.385	0.519	0.454
commissary	ኮሚሽነር	0.385	0.500	0.788
commission	ኮሚሽን	0.677	0.480	0.571
commissioner	ኮሚሽነር	0.602	0.449	0.949
commit	አደራጀት	0.365	0.529	0.491
commitment	መሰጠት	0.714	0.710	0.843
committal	መቆራረጥ	0.472	0.519	0.582
committed	ተፈጸመ	0.710	0.542	0.712
committee	ኮሚቴ	0.592	0.392	0.721
commodity	ምርቶች	0.615	0.394	0.537
commodore	ዕቃዎች	0.427	0.530	0.636
common	የተለመደ	0.600	0.127	0.318
commoner	የተለመደ	0.448	0.365	0.327
commonly	በአብዛኛው	0.604	0.170	0.574
commonplace	የተለመደ	0.520	0.337	0.442
commons	መ	0.633	0.396	0.623
commonwealth	የጋራ ሃብት	0.630	0.406	0.702
commotion	መናወጥ	0.490	0.700	0.646
communal	ኅብረተሰብ	0.592	0.321	0.556
commune	ማህበረሰብ	0.500	0.488	0.655
communicable	ሊተላለፍ የሚችል	0.796	0.491	0.623
communicate	ይገናኙ	0.823	0.410	0.696
communication	ግንኙነት	0.837	0.400	0.649
communicative	ግንኙነት መፈጸም	0.847	0.560	0.637
communicator	communicator	0.573	0.509	0.796
communion	ኅብረት	0.765	0.357	0.607
communism	ኮሙኒዝም	0.264	0.570	0.623
communist	ኮሙኒስት	0.265	0.702	0.632
community	ማህበረሰብ	0.750	0.350	0.659
commutation	መዘዋወር	0.469	0.431	0.652
commutative	ተለዋዋጭ	0.667	0.442	0.569
commute	መጓዝ	0.622	0.582	0.565
commuter	ተጓዥ	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	እምቅ	0.458	0.417	0.673
compaction	ድግግሞሽ	0.531	0.471	0.582
compactness	ቅንብር	0.582	0.352	0.454
companion	ጓደኛ	0.770	0.377	0.618
companionless	ጓደኛ	0.271	0.259	0.200
companionship	ጓደኝነት	0.833	0.438	0.792
company	ኩባንያ	0.906	0.425	0.798
comparable	ተመጣጣኝ	0.562	0.443	0.458
comparative	ተመጣጣኝ	0.470	0.273	0.562
comparatively	በአንጻራዊነት	0.604	0.391	0.538
compare	ንጽጽር	0.552	0.408	0.524
comparison	ንጽጽር	0.583	0.456	0.492
compartment	ክፍል	0.500	0.389	0.607
compass	ኮምፓስ	0.541	0.307	0.529
compassion	ርኅራኄ	0.735	0.258	0.509
compassionate	ሩኅሩኅ	0.857	0.404	0.411
compatibility	ተኳሃኝነት	0.816	0.450	0.673
compatible	ተኳሃኝ	0.892	0.387	0.638
compel	አስገዳጅ	0.200	0.847	0.625
compelled	አስገዳጅ	0.333	0.654	0.347
compelling	አስገራሚ	0.698	0.570	0.870
compendium	መዝገበ-ቃላት	0.610	0.461	0.537
compensate	ካሳ መክፈል	0.612	0.429	0.762
compensation	ካሳ	0.775	0.469	0.598
compensatory	ማካካሻ	0.589	0.490	0.700
compete	ተወዳዳሪ	0.573	0.745	0.786
competence	ችሎታ	0.615	0.802	0.823
competency	ችሎታ	0.768	0.775	0.764
competent	ብቁ	0.865	0.560	0.904
competition	ውድድር	0.580	0.790	0.798
competitive	ተወዳዳሪ	0.447	0.718	0.908
competitor	ተወዳዳሪ	0.612	0.959	0.861
compilation	ስብስብ	0.530	0.512	0.606
compile	ማጠናከር	0.600	0.413	0.519
complacency	ድካም	0.604	0.503	0.519
complacent	ደካማ	0.625	0.452	0.518
complain	ማጉረምረም	0.143	0.682	0.360
complaint	ቅሬታ	0.143	0.606	0.281
complement	ማሟያ	0.760	0.277	0.600
complementary	ማሟያ	0.714	0.320	0.586
complete	ተጠናቀቀ	0.750	0.414	0.809
completed	ተጠናቅቋል	0.823	0.357	0.777
completely	ሙሉ በሙሉ	0.730	0.370	0.690
completeness	ሙሉነት	0.823	0.433	0.769
completing	በማጠናቀቅ ላይ	0.614	0.500	0.769
completion	ማጠናቀቅ	0.656	0.470	0.525
complex	ውስብስብ	0.388	0.608	0.550
complexed	ውስብስብ	0.312	0.577	0.612
complexion	ውበት	0.521	0.520	0.380
complexity	ውስብስብነት	0.479	0.620	0.595
compliance	ሕግ ማክበር	0.750	0.462	0.750
compliant	ተከሳሽ	0.677	0.310	0.519
complicate	ውስብስብ	0.210	0.657	0.404
complicated	የተወሳሰበ	0.211	0.660	0.455
complication	ውስብስብ	0.365	0.726	0.330
complicity	ተባባሪነት	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	ፍሬያማ	0.823	0.413	0.435
comply	ተስማሚ	0.806	0.370	0.638
complying	ማክበር	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	ክፍል	0.531	0.382	0.525
compose	መፃፍ	0.639	0.432	0.694
composed	ተጠናቅቋል	0.684	0.385	0.682
composer	ጸሐፊ	0.822	0.588	0.691
composite	የተውጣጣ	0.591	0.459	0.620
composition	ቅንብር	0.765	0.408	0.652
compost	ኮምፓስ	0.480	0.404	0.441
composure	ጸጥታ	0.802	0.354	0.717
compound	ግቢ	0.635	0.385	0.735
comprehend	ተረዳ	0.875	0.365	0.689
comprehension	መረዳት	0.908	0.387	0.688
comprehensive	ሁሉን አቀፍ	0.796	0.385	0.644
compress	ጨርቅ	0.406	0.412	0.460
compressed	የተጫነ	0.323	0.396	0.388
compressible	compressible	0.622	0.392	0.585
compression	ጭንቅላት	0.646	0.521	0.579
compressor	ማቀፊያ	0.418	0.481	0.630
comprise	ያካትታል	0.839	0.373	0.669
compromise	ስምምነት	0.677	0.520	0.805
comptroller	ቁጥጥር	0.402	0.481	0.866
compulsion	ማስገደድ	0.118	0.760	0.604
compulsive	አስገዳጅነት	0.347	0.871	0.573
compulsory	ግዴታ	0.343	0.541	0.791
computable	ሊደረስበት የሚችል	0.570	0.402	0.545
computation	ማስላት	0.583	0.429	0.697
compute	ማስላት	0.531	0.408	0.564
computer	ኮምፒተር	0.802	0.356	0.639
computerized	በኮምፒዩተር	0.677	0.450	0.657
computing	ማስላት	0.745	0.398	0.695
comrade	ጓደኛ	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	ኮንቻሌሽን	0.480	0.593	0.539
concave	ኮንሰንት	0.441	0.349	0.349
conceal	ይደብቁ	0.312	0.436	0.306
concealed	ተሰውሯል	0.344	0.363	0.352
concealment	መደበቅ	0.302	0.570	0.390
concede	እሺታ	0.670	0.324	0.473
conceit	ትሁት	0.354	0.625	0.309
conceited	ትዕቢተኛ	0.194	0.667	0.473
conceivable	ሊሠራ የሚችል	0.730	0.350	0.613
conceive	ፀጉር	0.708	0.538	0.700
concentrate	ማተኮር	0.750	0.439	0.743
concentration	ማሰብ	0.735	0.500	0.722
concentric	ማዕከላዊ	0.730	0.479	0.635
concept	ጽንሰ-ሐሳብ	0.573	0.265	0.632
conception	መፀነስ	0.694	0.490	0.614
concern	ስጋት	0.250	0.734	0.463
concerned	ጉዳዩ	0.292	0.698	0.350
concert	ኮንሰርት	0.938	0.867	0.718
concerto	ኮንሴሮ	0.613	0.759	0.679
concession	ቅናሽ	0.588	0.423	0.615
concessional	ቅናሽ	0.770	0.493	0.657
conch	ኮግ	0.583	0.306	0.339
concierge	ጠረጴዛ	0.480	0.343	0.343
conciliation	መፍትሄ	0.792	0.475	0.726
concise	እጥር ምጥን	0.583	0.298	0.620
conclave	መደምደሚያ	0.573	0.440	0.611
conclude	መደምደም	0.530	0.267	0.679
concluding	ማጠቃለያ	0.531	0.382	0.603
conclusion	መደምደሚያ	0.615	0.377	0.659
conclusive	መደምደሚያ	0.500	0.427	0.745
concoction	ማቅለጫ	0.448	0.459	0.417
concomitant	አመቺ ሁኔታ	0.427	0.482	0.727
concord	አዛኝ	0.677	0.320	0.586
concordance	ኮንኮርዳንስ	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	መድረክ	0.740	0.657	0.528
concrete	ኮንክሪት	0.633	0.420	0.547
concubine	ቁባታ	0.388	0.594	0.476
concur	ተስማሚ	0.459	0.394	0.429
concurrence	ተስማሚነት	0.764	0.627	0.613
concurrent	በተመሳሳይ ጊዜ	0.573	0.547	0.741
concurring	ተስማሚ	0.573	0.600	0.681
concussion	በስቃቂነት	0.072	0.708	0.482
condemn	ፈረዱ	0.102	0.793	0.625
condemnation	ኩነኔ	0.133	0.725	0.449
condensation	ማቀዝቀዝ	0.510	0.316	0.538
condensed	ተሰብስቧል	0.598	0.415	0.623
condescending	አሽቀንጥሯል	0.583	0.363	0.593
condescension	ትግስት	0.521	0.377	0.565
condiment	ኮንዲየር	0.520	0.333	0.433
condition	ሁኔታ	0.500	0.469	0.519
conditional	ሁኔታዊ	0.521	0.343	0.556
conditionally	በሁኔታዎች	0.396	0.419	0.617
conditioned	ተከፈለ	0.490	0.417	0.616
conditioner	ሽርሽር	0.781	0.360	0.538
conditioning	ማቀዝቀዣ	0.440	0.468	0.617
conditions	ሁኔታዎች	0.551	0.441	0.593
condo	ኮንዶ	0.439	0.288	0.607
condolence	ሞገስ	0.260	0.443	0.404
condolences	ድብደባ	0.198	0.480	0.288
condom	ኮንዶም	0.406	0.637	0.500
condone	ቸልተኛ	0.571	0.441	0.619
condor	ኮንዶር	0.573	0.388	0.519
conducive	አመቺ	0.775	0.479	0.679
conduct	ምግባር	0.453	0.510	0.750
conduction	ማስተዋወቅ	0.530	0.557	0.717
conductivity	አቀነባበር	0.583	0.575	0.642
conductor	መሪ	0.677	0.663	0.621
conduit	ቧንቧ	0.470	0.302	0.413
cone	ኮን	0.417	0.208	0.343
confederacy	ኅብረት	0.590	0.541	0.736
confederate	ድብደባ	0.551	0.546	0.792
confederation	ኅብረት	0.663	0.404	0.830
confer	ሰበሰበ	0.573	0.482	0.583
conference	ኮንፈረንስ	0.688	0.615	0.606
confess	መናዘዝ	0.360	0.712	0.431
confession	መናዘዝ	0.469	0.642	0.460
confessional	እምነት	0.458	0.392	0.629
confessions	ቃለ-መጠይቆች	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	ሚስጥራዊ	0.837	0.633	0.631
confide	ምሥጢር	0.669	0.472	0.595
confidence	በራስ መተማመን	0.959	0.276	0.943
confident	እርግጠኛ ነኝ	0.765	0.324	0.723
confidential	ሚስጥራዊ	0.643	0.471	0.761
confidentiality	ሚስጥራዊነት	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	ውቅረት	0.540	0.443	0.591
confine	እጥብ	0.327	0.551	0.538
confined	ተገድቧል	0.286	0.472	0.444
confinement	መታሰር	0.333	0.656	0.520
confines	ገደበ	0.396	0.386	0.542
confirm	አረጋግጥ	0.802	0.439	0.806
confirmation	ማረጋገጥ	0.812	0.480	0.692
confirmatory	ማረጋገጥ	0.656	0.500	0.683
confirmed	ተረጋግጧል	0.760	0.490	0.764
confiscate	ወረሱ	0.250	0.625	0.482
confiscation	መወረር	0.208	0.706	0.586
conflagration	መፈናጠጥ	0.344	0.721	0.594
conflict	ግጭት	0.335	0.906	0.471
conflicting	የሚጋጩ	0.173	0.738	0.553
confluence	ኅብረት	0.677	0.598	0.565
conform	ተከተል	0.479	0.380	0.375
conformance	ተኳሃኝ	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	ተኳሃኝ	0.645	0.363	0.579
confound	እብሪት	0.347	0.529	0.333
confounded	ተፈረደ	0.333	0.528	0.264
confront	ተጋድሎ	0.281	0.760	0.746
confrontation	ግጭት	0.177	0.870	0.658
confuse	ግራ የሚያጋባ	0.100	0.580	0.270
confused	ግራ ተጋብዟል	0.220	0.650	0.179
confusing	ግራ የሚያጋባ	0.229	0.690	0.222
confusion	ግራ መጋባት	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	የተወደደ	0.820	0.412	0.620
congenital	ተወልዷል	0.448	0.434	0.427
congestion	መዘናጋት	0.271	0.654	0.491
conglomerate	ኮርፖሬተር	0.500	0.500	0.838
conglomeration	ኮምፖሜር	0.541	0.720	0.670
congrats	እንኳን ደስ አለዎት	0.930	0.726	0.775
congratulate	እንኳን ደስ አለዎት	0.927	0.724	0.784
congratulation	እንኳን ደስ ያላችሁ	0.948	0.780	0.717
congratulations	እንኳን ደስ አለዎት	0.960	0.755	0.719
congratulatory	እንኳን ደስ አለዎት	0.959	0.616	0.689
congregate	ሰበሰብ	0.653	0.530	0.733
congregation	ጉባኤ	0.561	0.490	0.700
congress	ኮንግረስ	0.449	0.444	0.857
congressional	ኮንግሬሽናል	0.552	0.491	0.848
congressman	መኮንን	0.438	0.471	0.877
congruence	ግትርነት	0.656	0.472	0.577
conic	ሻኛ	0.510	0.368	0.379
conical	ሻኛ	0.490	0.422	0.471
conjecture	ትንበያ	0.396	0.398	0.534
conjugal	ባልና ሚስት	0.698	0.510	0.688
conjugate	ተያያዥነት	0.583	0.420	0.467
conjugation	መሃከለኛ	0.479	0.429	0.582
conjunction	መገናኘት	0.520	0.472	0.509
conjunctive	ትዳር	0.487	0.444	0.639
conjure	ተንኮል	0.385	0.679	0.645
conjuring	ማመንታት	0.224	0.653	0.694
conk	ኮንክሪት	0.340	0.469	0.404
connect	ተገናኝ	0.724	0.299	0.536
connected	ተገናኝቷል	0.816	0.550	0.612
connection	ግንኙነት	0.729	0.560	0.655
connective	ተገናኝ	0.719	0.491	0.764
connoisseur	ጓደኛ	0.760	0.461	0.769
conquer	አሸንፋ	0.694	0.873	0.971
conquering	ድል ​​መንሳት	0.760	0.873	0.936
conqueror	ድል ​​አድራጊ	0.604	0.809	0.930
conquest	ድል	0.710	0.702	0.833
conscience	ሕሊና	0.663	0.375	0.721
conscientious	ታዛቢ	0.688	0.404	0.688
conscious	ንቁ	0.740	0.333	0.705
consciousness	ንቃተ ህሊና	0.840	0.483	0.755
conscription	ተጠባባቂነት	0.396	0.775	0.642
consecrated	የተቀደሱ	0.663	0.500	0.800
consecration	መክበር	0.771	0.418	0.804
consecutive	ተከታታይ	0.663	0.418	0.643
consensual	ተስማሚ	0.663	0.417	0.655
consensus	መግባባት	0.627	0.358	0.625
consent	ስምምነት	0.750	0.500	0.620
consenting	ስምምነት	0.727	0.406	0.693
consequence	ውጤት	0.240	0.721	0.593
consequent	ቀጣይ	0.663	0.471	0.625
conservation	ጥበቃ	0.832	0.401	0.606
conservatism	ተጠባባቂነት	0.406	0.369	0.633
conservative	ወግ አጥባቂ	0.615	0.316	0.788
conservatory	የጠብቃቢ	0.635	0.240	0.729
conserve	ጠብቅ	0.690	0.347	0.573
consider	እስቲ አስብ	0.677	0.368	0.579
considerable	በጣም ብዙ	0.653	0.314	0.683
considerate	አሳቢ	0.781	0.380	0.633
consideration	ግምት	0.589	0.380	0.687
consignee	መጋቢ	0.635	0.385	0.602
consignment	መላክ	0.490	0.440	0.500
consist	ተካትቷል	0.823	0.386	0.580
consistency	ወጥነት	0.714	0.500	0.887
consistent	ወጥነት ያለው	0.786	0.431	0.726
consolation	ማጽናኛ	0.408	0.250	0.304
console	ኮንሶል	0.625	0.398	0.415
consoled	መጽናኛ	0.700	0.343	0.452
consolidate	ማጠናከር	0.880	0.440	0.870
consolidated	ተጠናቅቋል	0.700	0.366	0.784
consolidation	ማጠናከሪያ	0.604	0.445	0.776
consonant	ተነባቢ	0.500	0.347	0.417
consort	ኮከብ	0.632	0.509	0.630
conspicuous	ግልጽ	0.479	0.520	0.596
conspiracy	ማሴር	0.125	0.787	0.652
conspirator	አስደንጋጭ	0.271	0.786	0.707
conspire	አተመ	0.206	0.740	0.520
constable	ወታደር	0.573	0.667	0.764
constancy	ቋሚነት	0.786	0.443	0.763
constant	ቋሚ	0.740	0.296	0.686
constantly	ዘወትር	0.663	0.561	0.700
constellation	ህብረ ከዋክብት	0.719	0.533	0.775
consternation	መጨነቅ	0.167	0.680	0.469
constipation	ሆድ ድርቀት	0.079	0.612	0.231
constituency	የምርጫ ክልል	0.500	0.480	0.696
constituent	አካል	0.573	0.500	0.827
constituents	መራጮች	0.573	0.414	0.833
constitute	መስራት	0.812	0.349	0.906
constitution	ሕገ-መንግሥት	0.590	0.380	0.889
constitutional	ሕገመንግስታዊ	0.633	0.418	0.827
constitutionality	ሕገ-መንግሥታዊነት	0.612	0.439	0.853
constrain	መገደብ	0.261	0.500	0.500
constrained	መከልከል	0.135	0.537	0.357
constraint	መከላከያ	0.323	0.550	0.481
construct	መገንባት	0.750	0.648	0.792
construction	ግንባታ	0.848	0.612	0.759
constructive	ገንቢ	0.860	0.570	0.812
construe	construe	0.602	0.519	0.553
consul	ኮንሱላር	0.573	0.354	0.688
consulate	ቆንስላ	0.561	0.453	0.694
consult	ማማከር	0.755	0.370	0.441
consultant	አማካሪ	0.770	0.344	0.808
consultation	ምክር	0.660	0.463	0.625
consume	ቆረጠ	0.427	0.620	0.509
consumer	ተጠቃሚ	0.507	0.551	0.677
consuming	የሚበላ	0.573	0.541	0.536
consummate	ማሟያ	0.551	0.540	0.558
consummation	ፍፃሜ	0.583	0.676	0.661
consumption	ፍጆታ	0.390	0.531	0.538
contact	ግንኙነት	0.719	0.424	0.526
contagion	ወረርሽኝ	0.208	0.630	0.535
contagious	ተላላፊ	0.184	0.725	0.400
contain	ያካትታል	0.542	0.490	0.658
container	እቃ	0.551	0.396	0.561
containment	መከላከያ	0.411	0.491	0.618
contaminate	ተበክሏል	0.140	0.611	0.426
contaminated	የተበከለ	0.040	0.500	0.368
contamination	ብክለት	0.125	0.610	0.375
contemplate	ማሰላሰል	0.740	0.347	0.642
contemplation	ማሰላሰል	0.552	0.324	0.627
contemplative	ዘንጋቢ	0.729	0.308	0.739
contemporaneous	በዘመኑ ያለ	0.640	0.373	0.591
contemporary	ዘመናዊ	0.720	0.365	0.569
contempt	ንቀትን	0.206	0.635	0.396
contemptible	አታላይ	0.146	0.657	0.471
contemptuous	ተንኮል	0.204	0.500	0.375
contend	ተጋድሎ	0.510	0.657	0.731
contender	ተፎካካሪ	0.480	0.790	0.681
contending	ተከራካሪ	0.490	0.698	0.716
content	ይዘት	0.764	0.296	0.559
contented	ተቀባይነት አለው	0.857	0.612	0.746
contention	አለመግባባት	0.375	0.510	0.738
contentious	ተከራካሪ	0.422	0.573	0.637
contentment	እርካታ	0.875	0.610	0.782
contents	ይዘቶች	0.656	0.375	0.550
contest	ውድድር	0.667	0.698	0.717
contestant	ተወዳዳሪ	0.760	0.530	0.602
context	አውድ	0.531	0.300	0.553
contiguous	ተያያዥነት	0.375	0.450	0.500
continence	ቀጣይነት	0.450	0.396	0.469
continent	አህጉር	0.551	0.373	0.833
continental	አህጉር	0.486	0.350	0.755
contingency	ድንገተኛነት	0.396	0.500	0.670
contingent	ወጤት	0.470	0.531	0.659
continual	ቀጣይ	0.500	0.423	0.685
continually	ሁልጊዜ	0.646	0.438	0.698
continuance	ቀጣይነት	0.729	0.510	0.652
continuation	ቀጣይነት	0.615	0.470	0.566
continue	ቀጥል	0.630	0.427	0.612
continued	ቀጥሏል	0.635	0.440	0.500
continuing	ቀጥል	0.667	0.500	0.520
continuity	ቀጣይነት	0.781	0.439	0.684
continuous	ቀጣይ	0.625	0.509	0.580
continuously	ያለማቋረጥ	0.719	0.417	0.702
continuum	ቀጣይ	0.677	0.390	0.491
contour	ቅርጽ	0.589	0.265	0.414
contraband	ኮንትራባንድ	0.177	0.875	0.670
contraception	የእርግዝና መከላከያ	0.296	0.518	0.525
contract	ኮንትራት	0.594	0.412	0.636
contracted	ተኮስቷል	0.344	0.557	0.449
contractile	ኮንጂን	0.480	0.586	0.569
contracting	ኮንትራት	0.594	0.490	0.769
contraction	መቁረጥ	0.292	0.755	0.603
contractor	ሥራ ተቋራጭ	0.592	0.479	0.727
contradict	ግጭት	0.160	0.598	0.482
contradiction	ግጭት	0.250	0.660	0.377
contradictory	እርስ በርሱ የሚጋጭ	0.365	0.651	0.421
contraption	መቆረጥ	0.448	0.590	0.491
contrary	በተቃራኒው	0.327	0.449	0.338
contrast	ተቃርኖ	0.480	0.406	0.520
contrasted	ተቃራኒ	0.521	0.538	0.491
contravene	ተከላካይ	0.357	0.618	0.472
contravention	መጣስ	0.344	0.627	0.593
contribute	አስተዋጽዖ	0.806	0.350	0.795
contribution	መዋጮ	0.854	0.452	0.760
contributor	አስተዋጽኦ አበርካች	0.844	0.510	0.760
contrite	ተቃወመ	0.347	0.363	0.473
contrition	ተቃራኒ	0.347	0.583	0.463
contrived	የተራቀቀ	0.408	0.530	0.458
control	መቆጣጠር	0.729	0.352	0.808
controller	መቆጣጠሪያ	0.469	0.712	0.868
controlling	መቆጣጠር	0.490	0.441	0.885
controversial	አወዛጋቢ	0.271	0.858	0.538
controversy	ውዝግብ	0.250	0.819	0.600
contusion	መበስበስ	0.167	0.565	0.509
conundrum	እሽቅድምድም	0.354	0.524	0.408
convalescent	አሳማኝ	0.458	0.480	0.269
convection	ኮንቬንሽን	0.521	0.494	0.526
convene	ተሰብስቦ	0.583	0.676	0.636
convenience	ምቾት	0.781	0.448	0.613
conveniences	ምቾቶች	0.802	0.412	0.693
convenient	ምቹ	0.846	0.491	0.574
convent	ገዳም	0.480	0.217	0.594
convention	የአውራጃ ስብሰባ	0.622	0.622	0.704
conventional	መደበኛ	0.594	0.292	0.634
converge	ገጠም	0.635	0.471	0.539
convergence	ድብልቅነት	0.551	0.491	0.625
convergent	ተመጣጣኝ	0.781	0.490	0.696
conversant	ተናጋሪ	0.724	0.360	0.542
conversation	ውይይት	0.750	0.510	0.609
conversational	ውይይት	0.719	0.431	0.596
conversationalist	ወሬ ነው	0.719	0.467	0.667
