Word	Pashto-ps	Valence	Arousal	Dominance
destructive	ویجاړونکی	0.177	0.870	0.713
detach	توکی	0.357	0.625	0.450
detached	جلا شوی	0.280	0.396	0.216
detachment	ټوټه ټوټه	0.243	0.700	0.443
detail	تفصيل	0.514	0.406	0.528
detailed	تفصيل	0.603	0.314	0.472
details	تفصيلات	0.583	0.367	0.481
detain	نیول	0.351	0.345	0.430
detainee	توقیفی	0.306	0.510	0.321
detect	کشف کول	0.531	0.520	0.565
detectable	معلومول	0.479	0.539	0.649
detection	کشف	0.708	0.567	0.538
detective	کشف	0.500	0.764	0.901
detector	کڅوړی	0.459	0.630	0.724
detention	توقیف	0.265	0.698	0.562
deter	وتل	0.344	0.537	0.567
detergent	ډایرګینټ	0.458	0.304	0.426
deteriorate	خراب دی	0.083	0.471	0.202
deteriorated	خراب شوی	0.053	0.549	0.237
deteriorating	خرابیدل	0.104	0.459	0.112
deterioration	خرابیدل	0.130	0.512	0.283
determinable	باوري وي	0.625	0.565	0.723
determinate	مشخص کړئ	0.630	0.314	0.772
determination	پریکړه	0.776	0.725	0.795
determine	وټاکه	0.612	0.368	0.776
determined	ټاکل شوی	0.760	0.528	0.673
deterrent	توقیف	0.292	0.461	0.385
detest	ویرول	0.083	0.800	0.492
detestation	توقیف	0.177	0.637	0.412
detonate	غلول	0.375	0.850	0.696
detonation	تاوان	0.167	0.931	0.741
detonator	توقیفونکی	0.207	0.875	0.750
detour	خړوب	0.398	0.539	0.309
detract	خرابول	0.344	0.438	0.368
detriment	تخریب	0.281	0.538	0.263
detrimental	زیانمنونکي	0.203	0.679	0.387
detritus	تفتیش	0.276	0.353	0.363
deuce	کمول	0.479	0.338	0.425
deutschmark	ډېسکچمارک	0.439	0.431	0.509
devalued	وویشل شو	0.321	0.462	0.212
devastate	ویجاړونکی	0.021	0.796	0.509
devastated	ویجاړ شوی	0.120	0.544	0.264
devastating	ویجاړونکی	0.104	0.856	0.419
devastation	تباه	0.090	0.904	0.472
develop	پرمختیا	0.771	0.670	0.821
developer	پرمختلونکی	0.844	0.653	0.864
developing	پرمختیا	0.833	0.587	0.714
development	پرمختیا	0.827	0.500	0.796
deviant	وشول	0.094	0.589	0.398
deviate	ویش	0.173	0.562	0.269
deviating	ماتول	0.354	0.634	0.536
deviation	انفلاسیون	0.105	0.513	0.336
device	وسیله	0.562	0.404	0.627
devil	شیطان	0.161	0.900	0.611
deviled	ویجاړ شوی	0.347	0.559	0.358
devilish	شیطان	0.073	0.865	0.490
devious	وحی	0.250	0.519	0.259
devise	خمیس	0.551	0.557	0.670
devoid	بې باوره	0.219	0.436	0.300
devolution	ویناوال	0.345	0.434	0.425
devolve	والول	0.367	0.427	0.596
devote	وقوت	0.802	0.490	0.642
devoted	وقف شوی	0.867	0.320	0.698
devotee	بولوټ	0.816	0.461	0.577
devotion	عقیده	0.802	0.561	0.673
devotional	عقیده	0.740	0.394	0.655
devour	خواړه	0.344	0.888	0.574
devout	بښنه	0.620	0.357	0.464
dew	dew	0.604	0.225	0.464
dexter	ضربه	0.458	0.473	0.444
dexterity	بې وسۍ	0.771	0.673	0.864
dextrose	ډیسټرروس	0.333	0.402	0.323
diabetes	ډايبېتېز	0.051	0.472	0.279
diabetic	ډایټیکیک	0.125	0.269	0.237
diabolical	ډابوليکي	0.102	0.912	0.456
diagnose	تشخیص کړئ	0.378	0.520	0.714
diagnosis	تشخیص	0.571	0.500	0.819
diagnostic	تشخیصی	0.417	0.483	0.635
diagnostics	تشخیصات	0.540	0.440	0.750
diagonal	وینګالل	0.500	0.343	0.410
diagram	انځور	0.562	0.357	0.445
dial	ډیلي	0.620	0.427	0.596
dialect	ژبه	0.635	0.422	0.526
dialectic	ډکيکسيک	0.510	0.540	0.638
dialogue	خبرې اترې	0.599	0.441	0.625
dialysis	ډیزاین	0.194	0.567	0.407
diameter	قطر	0.427	0.298	0.483
diamond	هیرے	0.910	0.606	0.769
diamonds	هیرے	0.927	0.684	0.917
diaper	ډایپر	0.409	0.274	0.155
diaphragm	ډایفرامم	0.459	0.337	0.517
diarrhea	نس ناستی	0.092	0.684	0.143
diarrhoea	نس ناستی	0.038	0.692	0.250
diary	ڈائری	0.698	0.292	0.464
diatribe	خواړه	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	ډوډۍ	0.510	0.410	0.391
dice	پټه	0.458	0.441	0.264
dicey	ډکی	0.290	0.833	0.727
dichotomous	ډیوټوموس	0.365	0.452	0.538
dichotomy	ډیوټوتوم	0.323	0.482	0.483
dick	ډک	0.208	0.500	0.462
dickhead	ډکریډ	0.115	0.608	0.284
dicks	ټوپک	0.310	0.694	0.358
dictate	تکرار کړئ	0.480	0.423	0.668
dictation	حکم	0.255	0.378	0.627
dictator	ديکتاتور	0.073	0.760	0.862
dictatorial	ديکتاتوري	0.204	0.770	0.840
dictatorship	ديکتاتوري	0.082	0.806	0.784
diction	تشریح	0.439	0.373	0.679
dictionary	لغت	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	ناڅاپه	0.645	0.480	0.673
diddle	ډوډۍ	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	مړ شو	0.021	0.650	0.327
diesel	ډیزل	0.490	0.327	0.448
diet	خواړه	0.429	0.235	0.398
dietary	خواړه	0.551	0.220	0.261
differ	توپیر	0.230	0.398	0.396
difference	توپیر	0.474	0.560	0.483
differences	توپیرونه	0.365	0.582	0.342
different	مختلف	0.612	0.394	0.473
differential	توپیر	0.520	0.378	0.535
differentiation	توپیر	0.367	0.561	0.535
differently	په جلا ډول	0.480	0.431	0.506
differing	توپیر	0.418	0.410	0.455
difficult	ستونزمن	0.235	0.700	0.508
difficulties	ستونزې	0.082	0.784	0.357
difficulty	ستونزه	0.079	0.740	0.368
diffuse	وچول	0.430	0.431	0.321
diffusion	ویډیو	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	هضم	0.720	0.413	0.483
digestion	هضم	0.531	0.410	0.455
digestive	هضم	0.542	0.413	0.434
digit	عدد	0.447	0.286	0.333
digital	ډیجیټل	0.740	0.382	0.529
dignified	وقار	0.766	0.481	0.635
dignify	وقار	0.854	0.588	0.735
dignity	وقار	0.844	0.391	0.873
digress	هضم	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	دی	0.360	0.384	0.490
dilapidated	خراب وي	0.229	0.618	0.286
dilatation	تاوان	0.385	0.574	0.368
dilation	خوځښت	0.347	0.490	0.578
dildo	ټوټه ټوټه	0.536	0.587	0.491
dilemma	بدمرغه	0.153	0.590	0.430
diligence	خوځښت	0.688	0.423	0.700
diligent	زړه نازک	0.760	0.426	0.759
dill	ډیل	0.427	0.360	0.373
diluent	زړه نازک	0.417	0.344	0.332
dilute	کمزوری	0.275	0.192	0.349
diluted	ژور شوی	0.469	0.310	0.229
dilution	کمزوری	0.445	0.337	0.352
dim	ډوډۍ	0.398	0.321	0.273
dime	ډیم	0.653	0.317	0.345
dimension	اړخ	0.592	0.415	0.627
dimensional	اړخیزه	0.561	0.484	0.596
diminish	کم	0.240	0.357	0.167
diminished	کم شوی	0.156	0.269	0.196
diminution	کمښت	0.316	0.296	0.245
diminutive	لږترلږه	0.323	0.200	0.109
dimwit	dimwit	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	خواړه	0.821	0.519	0.478
diner	ډنر	0.643	0.302	0.538
dinghy	dinghy	0.510	0.269	0.325
dingo	ډینګو	0.608	0.472	0.346
dingy	ډنگی	0.156	0.483	0.343
dining	خواړه	0.724	0.350	0.459
dinky	ډینکی	0.357	0.451	0.358
dinner	ډوډۍ	0.823	0.392	0.379
dinnertime	د ماښام د ډوډۍ وخت	0.796	0.406	0.341
dinosaur	ډنمارک	0.448	0.630	0.596
dint	ټکی	0.378	0.480	0.492
diocesan	ډایسکین	0.520	0.283	0.518
diocese	ډیوکوز	0.510	0.288	0.575
diorama	diorama	0.592	0.441	0.462
dioxide	ډای اکسایډ	0.354	0.433	0.456
dip	ډوب	0.516	0.583	0.397
diploma	ډیپلوم	0.750	0.462	0.731
diplomacy	ډیپلوماسۍ	0.740	0.396	0.774
diplomat	ډیپلومات	0.563	0.262	0.868
diplomatic	ډیپلوماتیک	0.653	0.363	0.918
dipper	ډوډۍ	0.548	0.361	0.348
dippy	dippy	0.430	0.402	0.340
dipstick	ډکسټیک	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	مستقیم	0.793	0.403	0.650
directed	لارښوونه	0.542	0.490	0.541
direction	لارښوونه	0.719	0.330	0.684
directive	لارښود	0.604	0.530	0.918
directly	نېغ په نېغه	0.747	0.400	0.702
director	رئيس	0.688	0.580	0.912
directory	ډایرکټري	0.439	0.413	0.538
dirt	مايع	0.112	0.500	0.236
dirty	ناڅاپه	0.153	0.460	0.170
disability	معلولیت لري	0.073	0.482	0.173
disable	معلول	0.115	0.430	0.269
disabled	معیوب	0.308	0.443	0.235
disadvantage	زیان	0.150	0.377	0.282
disaffected	ناڅاپه	0.176	0.410	0.291
disagree	متفق	0.133	0.590	0.345
disagreeable	د منلو وړ	0.042	0.643	0.178
disagreeing	مناقصه	0.255	0.643	0.350
disagreement	اختلاف	0.104	0.618	0.236
disallow	مننه	0.156	0.519	0.424
disallowed	منل شوي	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	ورک شوي	0.143	0.441	0.350
disappearance	ورک شوی	0.214	0.698	0.367
disappearing	ورک شوي	0.167	0.427	0.379
disappoint	ناڅاپه	0.150	0.633	0.288
disappointed	ناڅاپه	0.071	0.472	0.241
disappointing	ناڅاپه	0.073	0.640	0.200
disappointment	مايوسي	0.115	0.490	0.336
disapproval	ناباوره	0.085	0.551	0.367
disapprove	ناڅاپه	0.160	0.594	0.445
disapproved	ناپېژندل شوی	0.104	0.550	0.114
disapproving	ناڅاپه	0.245	0.625	0.452
disarm	بې وسلې کول	0.292	0.528	0.613
disarray	خرابېدل	0.198	0.657	0.223
disaster	ناورین	0.082	0.892	0.433
disastrous	ناورین	0.071	0.741	0.439
disband	ړنګول	0.302	0.491	0.417
disbelief	کفر	0.188	0.409	0.373
disbelieve	کافر	0.188	0.441	0.352
disburse	لګول	0.418	0.473	0.353
disbursement	مصرف	0.240	0.443	0.435
disc	ډیسک	0.622	0.410	0.426
discard	پرېښودل	0.240	0.343	0.337
discarded	ړنګ شوی	0.229	0.460	0.308
discards	خنډونه	0.240	0.464	0.391
discern	پوهیږي	0.459	0.566	0.518
discernible	د پام وړ	0.427	0.441	0.481
discerning	په زړه پورې	0.542	0.584	0.780
discernment	اندیښنه	0.408	0.471	0.694
discharge	اختطاف	0.427	0.538	0.578
disciple	شاگرد	0.765	0.385	0.462
disciplinary	انضباطي	0.562	0.593	0.796
discipline	نظم	0.615	0.471	0.806
disciplined	تعقیب شوی	0.728	0.450	0.750
disclaim	رد کړئ	0.235	0.509	0.321
disclaimer	ویجاړونکی	0.367	0.571	0.542
disclose	ښکاره کوي	0.490	0.570	0.545
disclosed	ښکاره شوي	0.271	0.575	0.546
disclosure	افشا کول	0.500	0.615	0.710
disco	ډپو	0.710	0.806	0.575
discoloration	مخنیوی	0.224	0.373	0.414
discolored	ړنګ شو	0.204	0.340	0.269
discomfort	ناڅاپه	0.153	0.719	0.272
disconcerted	منحل شوي	0.100	0.612	0.288
disconcerting	لغوه کول	0.106	0.549	0.269
disconnect	ړنګول	0.438	0.292	0.191
disconnected	ونښلول شو	0.292	0.276	0.173
disconnection	تاوان	0.167	0.283	0.277
disconnects	ړنګول	0.256	0.357	0.241
discontent	ناخوښه	0.240	0.530	0.263
discontinuance	پیوستون	0.123	0.741	0.337
discontinue	بندیز	0.354	0.396	0.349
discontinuity	بندیز	0.303	0.439	0.250
discontinuous	ناڅاپه	0.233	0.409	0.316
discord	توپیر	0.115	0.882	0.465
discount	رخصتۍ	0.724	0.530	0.302
discounted	رخصت شوی	0.677	0.471	0.430
discourage	خفه کول	0.184	0.443	0.267
discouraged	بده مرغه	0.220	0.304	0.090
discouragement	ناخوښي	0.112	0.319	0.206
discouraging	خفه کول	0.167	0.469	0.281
discourse	خبرې	0.410	0.550	0.803
discover	کشف کړه	0.771	0.793	0.673
discovery	کشف	0.823	0.627	0.814
discredit	بې اعتباره	0.075	0.529	0.355
discredited	بې اعتباره	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	توپیر	0.260	0.643	0.417
discrete	جلا کول	0.585	0.231	0.429
discretion	اختصاص	0.552	0.320	0.685
discretionary	اختیاري	0.520	0.365	0.446
discriminate	تبعیض	0.125	0.761	0.366
discriminating	تبعیض	0.160	0.783	0.462
discrimination	تبعیض	0.051	0.724	0.379
discus	انډول	0.542	0.423	0.343
discuss	بحث وکړئ	0.396	0.769	0.509
discussion	بحث	0.333	0.842	0.536
disdain	ناڅاپه	0.153	0.446	0.441
disdainful	بې رحمه	0.097	0.480	0.263
disease	ناروغۍ	0.041	0.539	0.333
diseased	ناروغ	0.123	0.510	0.134
disembodied	جلا شوي	0.167	0.620	0.412
disengage	له مینځه وړل	0.406	0.529	0.304
disengagement	له مینځه وړل	0.327	0.373	0.395
disfigured	بېلې شوې	0.153	0.613	0.336
disgrace	خفه کول	0.061	0.531	0.331
disgraced	خپه شوی	0.071	0.661	0.250
disgraceful	بې رحمه	0.082	0.702	0.240
disgruntled	ناخوښه	0.104	0.658	0.442
disguise	پټ کړئ	0.573	0.694	0.431
disguised	بدل شوی	0.500	0.615	0.326
disgust	ناڅاپه	0.052	0.775	0.317
disgusted	ناڅاپه	0.051	0.773	0.274
disgusting	بې شرمه	0.031	0.796	0.245
dish	ډوډۍ	0.552	0.255	0.264
disheartened	پرېښودل	0.153	0.343	0.238
disheartening	له مینځه وړل	0.010	0.353	0.224
dishonest	بې رحمه	0.191	0.491	0.163
dishonesty	بې عزتي	0.094	0.592	0.348
dishonor	بې شرمه	0.104	0.620	0.185
dishonorable	بې ارزښته	0.112	0.641	0.280
dishwasher	ډوډۍ واشیر	0.480	0.296	0.324
disillusionment	بې باوره	0.051	0.519	0.190
disinclination	انفلاسیون	0.125	0.491	0.330
disincline	تاوان	0.458	0.454	0.278
disinclined	ناپاک	0.385	0.442	0.364
disinfect	ناورین	0.448	0.388	0.648
disinfectant	انفسټر	0.531	0.429	0.460
disinfection	ککړتیا	0.517	0.556	0.473
disinformation	بې وسلې کول	0.230	0.577	0.260
disingenuous	بې باوره	0.194	0.509	0.204
disintegrate	ویجاړ کړئ	0.143	0.660	0.364
disintegration	ویستل	0.094	0.551	0.381
disinterested	خراب شوی	0.398	0.284	0.392
disjoint	ناڅاپه	0.351	0.385	0.322
disjointed	بې وزله	0.323	0.518	0.365
disjunctive	ناڅاپه	0.286	0.481	0.400
disk	ډیسک	0.573	0.423	0.412
diskette	ټوټې	0.531	0.255	0.391
dislike	ناڅاپه	0.156	0.406	0.321
disliked	نه خوښ	0.062	0.510	0.221
disliking	ناڅاپه	0.163	0.637	0.366
dislocated	بې ځایه شوی	0.125	0.625	0.200
dislocation	بې ځایه کیدل	0.229	0.565	0.373
dislodge	پرېږدو	0.214	0.769	0.356
disloyal	بې باوره	0.062	0.582	0.245
disloyalty	بې باوري	0.187	0.716	0.267
dismal	ناڅاپه	0.194	0.450	0.192
dismantle	ړنګول	0.347	0.644	0.462
dismay	ویره	0.314	0.681	0.459
dismayed	مات شوی	0.165	0.735	0.389
dismemberment	ټوټه ټوټه	0.104	0.860	0.470
dismiss	رد کړه	0.167	0.541	0.509
dismissal	رد کول	0.153	0.723	0.271
dismissive	ګوښه کول	0.188	0.541	0.430
dismount	ماتول	0.361	0.423	0.391
disobedience	نافرماني	0.051	0.868	0.369
disobedient	نافرماني	0.276	0.706	0.353
disobey	نافرماني	0.143	0.556	0.491
disorder	بې نظمۍ	0.115	0.816	0.218
disordered	بې نظمۍ	0.210	0.714	0.288
disorderly	بې نظمۍ	0.188	0.748	0.385
disorganized	بې ځایه شوي	0.052	0.507	0.184
disorientation	اختطاف	0.163	0.472	0.212
disoriented	اختطاف شوی	0.227	0.643	0.227
disown	بې برخې	0.153	0.637	0.368
disparage	توپیر	0.092	0.663	0.336
disparaging	توپیر	0.102	0.626	0.411
disparate	متفاوت	0.438	0.500	0.368
disparity	توپیر	0.208	0.482	0.361
dispassionate	خپور شوی	0.199	0.217	0.218
dispatch	لېږل	0.317	0.417	0.555
dispatcher	خپلمنځي پوهاوى	0.365	0.704	0.652
dispel	خپور کړئ	0.388	0.402	0.411
dispensary	ویزه	0.406	0.380	0.606
dispensation	تاوان	0.388	0.462	0.490
dispense	خپریدل	0.561	0.520	0.518
dispenser	تجهیزات	0.583	0.392	0.470
dispersal	خپلمنځي پوهاوى	0.388	0.507	0.421
disperse	خپور شوی	0.375	0.569	0.434
dispersed	خپور شوی	0.344	0.490	0.274
dispersion	تاوان	0.270	0.604	0.350
dispirited	غوښتل شوي	0.204	0.280	0.142
displace	ځای پرځای کړئ	0.424	0.541	0.454
displaced	بې ځایه شوی	0.281	0.472	0.291
displacement	بې ځایه کیدل	0.276	0.531	0.481
displacency	بې ځایه کیدل	0.500	0.528	0.642
display	ښوون	0.677	0.325	0.400
displease	ناڅاپه	0.021	0.702	0.286
displeased	ناڅاپه	0.135	0.690	0.400
displeasure	ناڅاپه	0.115	0.559	0.250
disposable	ډیزاین وړ	0.271	0.439	0.250
disposal	ضایع کول	0.135	0.608	0.396
dispose	تصفیه کړئ	0.548	0.538	0.559
disposed	سپارل شوي	0.688	0.441	0.625
disposition	اختصاص	0.663	0.542	0.734
dispossessed	بې ځایه شوی	0.354	0.577	0.331
disprove	ناڅاپه	0.375	0.625	0.613
dispute	شخړه	0.219	0.750	0.585
disqualification	بې برخې کول	0.066	0.677	0.330
disqualified	ناڅاپي	0.129	0.464	0.232
disqualify	ناڅاپي	0.208	0.595	0.267
disquieted	ناخوښه	0.229	0.850	0.290
disregard	بې باوره	0.177	0.647	0.308
disregarded	بې باوره	0.260	0.458	0.283
disrelish	له مینځه وړل	0.375	0.471	0.304
disreputable	ناڅاپه	0.104	0.688	0.353
disrepute	بې رحمه	0.208	0.630	0.292
disrespect	سپکاوی	0.062	0.637	0.302
disrespectful	بې رحمه	0.031	0.694	0.273
disrupt	ګډوډول	0.265	0.640	0.349
disrupting	ګډوډول	0.186	0.557	0.339
disruption	خنډونه	0.235	0.735	0.436
disruptive	ویجاړونکی	0.255	0.755	0.575
dissatisfaction	ناامنه	0.115	0.663	0.202
dissatisfied	ناخوښه	0.042	0.561	0.291
dissect	ټوټه کړئ	0.367	0.750	0.595
dissection	اختطاف	0.276	0.632	0.462
disseminate	خپرول	0.562	0.608	0.750
dissemination	خپرول	0.476	0.551	0.583
dissension	توپیر	0.250	0.618	0.414
dissent	متضرر	0.300	0.655	0.407
dissenting	اختطاف	0.208	0.552	0.366
dissertation	مقالې	0.312	0.575	0.575
disservice	ناڅاپه	0.250	0.794	0.480
dissident	مخالفت	0.350	0.582	0.413
dissimilar	متفاوت	0.276	0.461	0.472
dissipate	ړنګول	0.385	0.368	0.355
dissipated	ړنګ شوی	0.281	0.421	0.231
dissociation	جلا کول	0.135	0.555	0.471
dissociative	ناڅاپه	0.281	0.615	0.397
dissolution	تحلیل	0.204	0.464	0.349
dissolve	مینځل	0.271	0.490	0.410
dissonance	ناڅاپه	0.173	0.471	0.336
dissuade	منډه	0.482	0.500	0.350
distal	متفاوت	0.410	0.401	0.438
distance	فاصله	0.233	0.317	0.418
distant	لرې	0.229	0.324	0.269
distaste	تاوان	0.184	0.625	0.370
distasteful	ناڅاپه	0.264	0.676	0.222
distillate	اندیښنه	0.500	0.347	0.382
distillation	تشناب	0.396	0.436	0.575
distilled	ډک شوی	0.427	0.573	0.500
distinct	جلا	0.542	0.578	0.509
distinction	توپیر	0.584	0.571	0.750
distinctive	ځانګړي	0.885	0.520	0.604
distinguish	توپیر	0.675	0.471	0.600
distinguishable	توپیر لري	0.635	0.530	0.727
distinguished	توپیر	0.823	0.593	0.759
distinguishing	توپیر	0.622	0.363	0.640
distort	توپیر	0.100	0.740	0.366
distorted	اختطاف شوی	0.250	0.521	0.280
distortion	توپیر	0.299	0.570	0.380
distract	اندیښنه	0.241	0.609	0.336
distracted	اندیښنه	0.194	0.392	0.213
distracting	اندیښنه	0.445	0.583	0.400
distraction	اندیښنه	0.402	0.557	0.390
distraught	ناڅاپه	0.115	0.903	0.264
distress	مصیبت	0.073	0.840	0.396
distressed	خپه شوی	0.143	0.771	0.324
distressing	سختۍ	0.075	0.750	0.375
distribute	ویشل	0.643	0.596	0.709
distribution	ویشل	0.635	0.548	0.788
distributor	خپرونکی	0.702	0.447	0.718
district	ولسوالۍ	0.438	0.327	0.660
distrust	بې باورۍ	0.060	0.670	0.276
disturb	ځورول	0.175	0.760	0.481
disturbance	اندیښنه	0.146	0.907	0.404
disturbed	خراب شوی	0.125	0.870	0.305
disturbing	ځورول	0.146	0.792	0.439
disuse	کارول	0.229	0.229	0.202
disused	له مینځه وړل	0.250	0.302	0.186
ditch	ډوډۍ	0.357	0.364	0.322
ditto	د	0.449	0.418	0.411
ditty	ډیری	0.470	0.433	0.334
diurnal	درنول	0.714	0.296	0.443
diva	diva	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	ډوډۍ	0.583	0.531	0.500
diver	جريان	0.594	0.520	0.564
diverge	توپیر	0.375	0.657	0.520
divergence	توپیر	0.429	0.615	0.687
divergent	منځنی	0.449	0.660	0.587
diverging	ژغورل	0.417	0.613	0.573
divers	متنوع	0.583	0.580	0.602
diverse	متفاوت	0.562	0.519	0.604
diversified	متفاوت	0.602	0.538	0.549
diversify	متفاوت	0.656	0.588	0.464
diversion	توپیر	0.740	0.821	0.714
diversionary	متنوع	0.551	0.587	0.300
diversity	تنوع	0.806	0.472	0.711
divert	اړول	0.344	0.622	0.407
diverting	اړول	0.396	0.571	0.537
divest	بې ځایه	0.365	0.547	0.424
divested	تقسیم شوی	0.333	0.449	0.311
divestment	وېش	0.302	0.509	0.382
divide	ویش	0.333	0.520	0.417
divided	ویشل شوی	0.271	0.623	0.391
dividend	د ونډې	0.583	0.491	0.566
divination	وېش	0.500	0.650	0.545
divine	خداي	0.918	0.571	0.885
divinity	دیویت	0.896	0.559	0.774
divisible	ویشل شوی	0.323	0.462	0.411
division	ویش	0.370	0.481	0.472
divisor	وېش	0.344	0.517	0.455
divorce	طلاق	0.042	0.700	0.385
divorcee	طلاق	0.153	0.610	0.481
divulge	ویش	0.531	0.718	0.467
divvy	ویش	0.351	0.462	0.429
dizziness	زیږون	0.229	0.555	0.254
dizzy	چټک	0.199	0.582	0.193
do	وکړه	0.670	0.548	0.536
doable	کار وړ	0.760	0.404	0.675
doc	ډاکتر	0.458	0.317	0.392
docile	خیر	0.604	0.259	0.264
dock	ډک	0.490	0.409	0.481
docked	ډک شوی	0.281	0.754	0.398
docket	جیب	0.505	0.509	0.607
docking	ډاک کول	0.354	0.596	0.587
doctor	ډاکټر	0.700	0.531	0.861
doctorate	ډاکتران	0.776	0.479	0.841
doctrinal	نظریات	0.510	0.373	0.673
doctrine	نظر	0.500	0.394	0.769
document	لاسوند	0.594	0.240	0.667
documentary	مستند	0.622	0.213	0.596
documentation	لاسوندونه	0.719	0.290	0.667
documents	اسناد	0.530	0.250	0.587
dodge	ډاج	0.333	0.760	0.509
dodger	ډوډګر	0.427	0.454	0.490
dodging	غوراوي	0.396	0.654	0.382
dodgy	ټوټه	0.281	0.510	0.254
dodo	دودو	0.438	0.306	0.353
doe	د	0.550	0.336	0.336
doer	ډوډۍ	0.724	0.550	0.728
dog	سپي	0.704	0.500	0.407
dogface	غوټۍ	0.219	0.470	0.264
dogged	غوڅ شوی	0.255	0.750	0.594
doggy	سپي	0.646	0.491	0.404
doghouse	سپو کور	0.438	0.417	0.340
dogma	سپي	0.530	0.460	0.719
dogmatic	سپيڅلي	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	کارونه	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	Dojo	0.500	0.435	0.455
doldrums	پلونه	0.229	0.425	0.266
dole	غوږ	0.448	0.402	0.348
doll	ګری	0.729	0.321	0.330
dollar	ډالر	0.755	0.632	0.694
dollhouse	د ګيګور کور	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	ډففین	0.776	0.350	0.414
domain	ډومین	0.573	0.549	0.828
dome	گنبد	0.620	0.398	0.509
domestic	کورني	0.729	0.327	0.500
domesticated	کورني	0.635	0.360	0.294
domestication	کورني	0.594	0.390	0.435
domicile	تسلسل	0.604	0.292	0.529
domiciled	نافذ شوی	0.542	0.340	0.516
dominance	واکمنۍ	0.542	0.775	0.839
dominant	غالب	0.406	0.854	0.893
dominate	غالب	0.439	0.814	0.953
dominating	غالب	0.427	0.769	0.902
domination	تسلط	0.505	0.786	0.959
dominatrix	dominatrix	0.390	0.727	0.709
dominion	واک	0.542	0.704	0.890
domino	ډومینو	0.594	0.510	0.473
don	ډون	0.646	0.454	0.702
donate	مرسته وکړئ	0.774	0.462	0.577
donation	مرسته	0.792	0.398	0.602
donkey	خره	0.406	0.367	0.245
donor	بسپنه ورکوونکی	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	ډونپینیک	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	ډډل	0.604	0.402	0.376
doom	عذاب	0.073	0.750	0.442
doomed	مات شوی	0.041	0.755	0.301
doomsday	قیامت	0.125	0.861	0.670
door	دروازه	0.549	0.189	0.421
doorbell	دروازه	0.564	0.500	0.307
doorknob	کارکوب	0.406	0.553	0.462
doorman	دروازه	0.570	0.371	0.491
doormat	ډوډۍ	0.458	0.269	0.267
doornail	کروریلیل	0.459	0.370	0.423
doorstep	دروازه	0.531	0.274	0.391
doorway	دروازه	0.573	0.304	0.496
dopamine	ډاپامینین	0.548	0.469	0.426
dope	ډپ	0.295	0.855	0.425
dopey	ډپۍ	0.320	0.380	0.365
dork	ډک	0.272	0.519	0.361
dorky	ډوډۍ	0.302	0.480	0.390
dorm	لمر	0.719	0.194	0.327
dormant	استعمار	0.385	0.245	0.245
dormitory	لمر	0.633	0.204	0.382
dorsal	ډیزل	0.449	0.360	0.445
dosage	خواړه	0.344	0.450	0.490
dose	خوراک	0.458	0.490	0.427
dossier	دوسیه	0.357	0.380	0.544
dot	ډټ	0.434	0.290	0.391
doting	ډوډۍ	0.888	0.415	0.426
dotted	ټکی شوی	0.480	0.347	0.426
dotty	ډوډۍ	0.375	0.402	0.393
double	دوه برابره	0.677	0.378	0.569
doubled	دوه ځله	0.427	0.536	0.560
doublet	دوه ځله	0.420	0.431	0.500
doubling	دوه ځله	0.459	0.452	0.464
doubt	شک	0.395	0.351	0.231
doubtful	شکمن	0.250	0.465	0.241
doubting	شکمن	0.224	0.560	0.189
doubtless	بې شکه	0.688	0.415	0.689
doubts	شکونه	0.306	0.448	0.305
douche	دوې	0.490	0.413	0.397
douchebags	دوچبغ	0.327	0.587	0.366
dough	ټوټه	0.588	0.229	0.391
doughboy	ډوډۍ	0.365	0.443	0.396
doughnut	ډونټ	0.663	0.380	0.279
dour	ډوډۍ	0.360	0.404	0.325
douse	کور	0.365	0.453	0.412
dove	کڅوړی	0.729	0.235	0.437
down	ښکته	0.208	0.330	0.264
downcast	ماتول	0.071	0.500	0.222
downer	کمر	0.120	0.594	0.226
downfall	کمښت	0.200	0.717	0.182
