Word	Spanish-es	Valence	Arousal	Dominance
corollary	corolario	0.458	0.469	0.366
corona	corona	0.818	0.439	0.745
coronary	coronario	0.567	0.613	0.509
coronation	coronación	0.792	0.592	0.836
coroner	juez de instrucción	0.323	0.558	0.526
corporal	corporal	0.582	0.490	0.596
corporate	corporativo	0.592	0.454	0.745
corporation	corporación	0.429	0.332	0.873
corporeal	corpóreo	0.520	0.350	0.461
corps	cuerpo	0.551	0.453	0.483
corpse	cadáver	0.094	0.657	0.232
corpsman	miembro del cuerpo	0.439	0.469	0.651
corpus	cuerpo	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	correcto	0.857	0.306	0.723
correction	corrección	0.448	0.485	0.558
correctional	correccional	0.292	0.713	0.602
corrective	correctivo	0.448	0.528	0.613
correctness	exactitud	0.796	0.450	0.649
correlation	correlación	0.596	0.462	0.571
correlative	correlativo	0.510	0.402	0.571
correspond	corresponder	0.710	0.452	0.545
correspondence	correspondencia	0.663	0.423	0.491
correspondent	corresponsal	0.573	0.565	0.712
corresponding	correspondiente	0.740	0.423	0.618
corridor	corredor	0.604	0.589	0.592
corroborate	corroborar	0.671	0.471	0.616
corroboration	corroboración	0.625	0.431	0.733
corrosion	corrosión	0.156	0.610	0.348
corrosive	corrosivo	0.140	0.618	0.570
corrupt	corrupto	0.020	0.806	0.500
corrupting	corrompiendo	0.062	0.804	0.380
corruption	corrupción	0.052	0.830	0.549
corsage	cuerpo	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	corsé	0.490	0.520	0.381
cortex	corteza	0.594	0.439	0.529
cortical	cortical	0.380	0.423	0.536
cortisone	cortisona	0.427	0.395	0.456
corvette	corbeta	0.551	0.520	0.598
cosmetic	cosmético	0.625	0.304	0.308
cosmetics	productos cosméticos	0.765	0.464	0.472
cosmic	cósmico	0.663	0.538	0.692
cosmology	cosmología	0.651	0.438	0.637
cosmopolitan	cosmopolita	0.823	0.510	0.760
cosmos	cosmos	0.860	0.478	0.664
cost	costo	0.365	0.420	0.439
costly	costoso	0.316	0.650	0.642
costume	disfraz	0.548	0.510	0.374
cosy	acogedor	0.847	0.255	0.518
cot	cuna	0.625	0.230	0.278
cote	redil	0.439	0.344	0.324
cottage	cabaña	0.600	0.279	0.361
cotton	algodón	0.639	0.071	0.240
couch	sofá	0.594	0.082	0.198
cougar	Puma	0.438	0.588	0.538
cough	tos	0.255	0.627	0.241
council	Consejo	0.875	0.279	0.635
councilman	concejal	0.531	0.367	0.793
counsel	consejo	0.594	0.519	0.730
counseling	asesoramiento	0.667	0.480	0.704
counsellor	consejero	0.823	0.327	0.740
counselor	consejero	0.873	0.365	0.706
count	contar	0.594	0.389	0.492
countdown	cuenta regresiva	0.438	0.692	0.490
countenance	rostro	0.635	0.440	0.690
counter	mostrador	0.439	0.478	0.750
counteract	contrarrestar	0.378	0.542	0.688
counterattack	contraataque	0.281	0.951	0.764
counterbalance	contrapeso	0.520	0.480	0.627
counterclaim	reconvención	0.398	0.760	0.651
counterfeit	falsificación	0.094	0.694	0.451
counterpart	contrapartida	0.448	0.608	0.577
counterpoint	contrapunto	0.438	0.509	0.538
countess	condesa	0.562	0.440	0.670
countless	incontable	0.520	0.566	0.534
country	país	0.698	0.394	0.693
countryman	compatriota	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	campo	0.732	0.288	0.327
counts	conteos	0.343	0.373	0.500
county	condado	0.479	0.368	0.545
coup	golpe	0.275	0.815	0.607
coupe	cupé	0.479	0.460	0.482
couple	Pareja	0.806	0.605	0.607
coupled	acoplado	0.612	0.286	0.650
coupling	acoplamiento	0.594	0.479	0.555
coupon	cupón	0.704	0.300	0.421
courage	valor	0.830	0.728	0.849
courageous	valiente	0.918	0.587	0.879
courier	mensajero	0.551	0.383	0.441
courses	cursos	0.735	0.412	0.534
coursing	caza de liebres	0.542	0.472	0.546
court	Corte	0.479	0.769	0.827
courteous	cortés	0.937	0.396	0.529
courtesy	cortesía	0.927	0.287	0.431
courthouse	palacio de justicia	0.571	0.503	0.818
courtroom	sala de justicia	0.385	0.670	0.887
courts	tribunales	0.367	0.710	0.816
courtship	noviazgo	0.667	0.490	0.654
courtside	cancha	0.592	0.391	0.434
courtyard	patio	0.503	0.365	0.355
cousin	prima	0.675	0.394	0.427
cousins	primos	0.760	0.409	0.464
cove	ensenada	0.500	0.304	0.370
coven	asamblea de brujas	0.458	0.578	0.591
covenant	pacto	0.594	0.462	0.667
cover	cubrir	0.365	0.240	0.471
coverage	cobertura	0.767	0.413	0.629
covered	cubierto	0.562	0.340	0.644
covering	cubierta	0.615	0.382	0.583
covert	encubierto	0.500	0.570	0.508
covet	codiciar	0.302	0.779	0.524
coveted	codiciado	0.661	0.730	0.625
cow	vaca	0.449	0.230	0.300
coward	cobarde	0.102	0.490	0.149
cowardice	cobardía	0.133	0.621	0.167
cowardly	cobardemente	0.102	0.385	0.127
cowboy	vaquero	0.594	0.625	0.695
cowgirl	vaquera	0.541	0.566	0.554
cowhand	vaquero	0.438	0.480	0.596
cowhide	cuero	0.458	0.324	0.333
cowl	capucha	0.427	0.450	0.232
coworker	compañero de trabajo	0.667	0.490	0.625
coy	tímido	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	acogedor	0.910	0.356	0.545
crab	cangrejo	0.421	0.396	0.330
crabby	osco	0.198	0.812	0.370
crack	grieta	0.302	0.625	0.400
cracked	agrietado	0.224	0.520	0.228
cracker	galleta	0.604	0.343	0.346
crackerjack	campeón	0.567	0.509	0.426
cracking	agrietamiento	0.327	0.557	0.286
crackle	crepitar	0.327	0.643	0.481
crackpot	chiflado	0.260	0.602	0.245
cradle	cuna	0.776	0.194	0.333
craft	arte	0.760	0.321	0.539
crafts	artesanía	0.667	0.380	0.391
craftsman	artesano	0.719	0.310	0.583
craftsmanship	artesanía	0.823	0.373	0.571
crafty	astuto	0.589	0.679	0.783
craig	Craig	0.448	0.449	0.490
cram	atestar	0.354	0.730	0.598
crammed	abarrotado	0.406	0.740	0.466
cramp	calambre	0.194	0.796	0.340
cramped	estrecho	0.240	0.567	0.360
cranberry	arándano	0.793	0.330	0.363
cranberry juice	jugo de arándano	0.622	0.321	0.281
crane	grua	0.396	0.417	0.589
cranial	craneal	0.354	0.510	0.583
cranium	cráneo	0.439	0.491	0.725
crank	manivela	0.448	0.275	0.417
cranky	de maniático	0.194	0.776	0.396
cranny	grieta	0.194	0.471	0.250
crap	mierda	0.083	0.644	0.167
crappy	de mierda	0.039	0.582	0.208
craps	dados	0.375	0.420	0.273
crash	choque	0.194	0.906	0.355
crass	craso	0.223	0.490	0.466
crate	caja	0.427	0.173	0.274
crater	cráter	0.450	0.647	0.529
crave	pedir	0.625	0.510	0.731
craving	ansia	0.510	0.755	0.636
crawfish	cangrejo de río	0.510	0.427	0.342
crawl	gatear	0.479	0.519	0.467
crayon	lápiz de color	0.604	0.260	0.185
crayons	lápices de color	0.684	0.366	0.405
craze	manía	0.255	0.657	0.435
crazed	loco	0.153	0.877	0.417
craziness	locura	0.238	0.908	0.255
crazy	loca	0.156	0.843	0.321
creak	crujir	0.344	0.670	0.411
creaking	crujiente	0.302	0.743	0.415
cream	crema	0.688	0.259	0.220
creamed	crema	0.723	0.273	0.288
creamer	desnatadora	0.594	0.192	0.269
creamy	cremoso	0.823	0.337	0.345
crease	pliegue	0.440	0.286	0.300
create	crear	0.786	0.588	0.789
creation	creación	0.927	0.575	0.868
creative	creativo	0.917	0.518	0.788
creativity	creatividad	0.938	0.684	0.815
creator	creador	0.865	0.592	0.856
creature	criatura	0.669	0.625	0.620
credence	crédito	0.760	0.460	0.737
credential	credencial	0.735	0.337	0.597
credentials	cartas credenciales	0.708	0.373	0.675
credibility	credibilidad	0.875	0.427	0.809
credible	creíble	0.917	0.441	0.750
credit	crédito	0.673	0.549	0.648
credit card	tarjeta de crédito	0.670	0.550	0.640
creditable	loable	0.802	0.510	0.742
credited	acreditado	0.781	0.390	0.691
crediting	acreditando	0.673	0.550	0.741
creditor	acreedor	0.479	0.594	0.689
creed	credo	0.573	0.245	0.544
creek	Arroyo	0.552	0.392	0.330
creep	arrastrarse	0.354	0.647	0.361
creeper	enredadera	0.429	0.558	0.366
creeping	progresivo	0.292	0.613	0.282
creepy	horripilante	0.125	0.861	0.373
cremation	cremación	0.084	0.620	0.420
creole	criollo	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	creciente	0.698	0.382	0.407
crest	cresta	0.458	0.333	0.333
crestfallen	cabizbajo	0.235	0.346	0.175
cretin	cretino	0.265	0.583	0.312
cretins	cretinos	0.094	0.741	0.328
crevice	hendedura	0.361	0.471	0.275
crew	tripulación	0.604	0.598	0.735
crewman	tripulante	0.602	0.580	0.548
crib	cuna	0.653	0.240	0.407
cricket	Grillo	0.423	0.539	0.370
cried	llorado	0.167	0.612	0.254
crime	crimen	0.071	0.943	0.630
criminal	criminal	0.021	0.830	0.529
criminality	criminalidad	0.122	0.863	0.580
crimp	rizar	0.260	0.557	0.396
crimson	carmesí	0.667	0.385	0.370
cringe	encogerse	0.245	0.840	0.377
cripple	lisiado	0.094	0.392	0.161
crippled	lisiado	0.035	0.358	0.236
crippling	herida	0.156	0.598	0.391
crisis	crisis	0.208	0.811	0.431
crisp	crujiente	0.776	0.692	0.508
crispy	crujiente	0.656	0.550	0.509
criterion	criterio	0.396	0.410	0.736
critic	crítico	0.264	0.604	0.686
critical	crítico	0.312	0.802	0.545
criticise	criticar	0.073	0.700	0.452
criticism	crítica	0.115	0.563	0.505
criticize	criticar	0.143	0.708	0.473
criticized	criticado	0.240	0.600	0.311
critique	crítica	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	croar	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	vasija	0.385	0.412	0.421
crockery	vajilla	0.552	0.216	0.327
crocodile	cocodrilo	0.344	0.708	0.610
croft	granja pequeña	0.531	0.429	0.421
croissant	cuerno	0.745	0.330	0.430
crook	ladrón	0.171	0.765	0.550
crooked	torcido	0.146	0.594	0.305
crop	cultivo	0.615	0.260	0.500
croquet	juego de croquet	0.551	0.519	0.407
cross	cruzar	0.448	0.321	0.569
cross country	a campo traviesa	0.531	0.441	0.529
crossbow	ballesta	0.344	0.598	0.560
crossed	cruzado	0.431	0.490	0.508
crossfire	fuego cruzado	0.316	0.896	0.722
crossing	cruce	0.549	0.349	0.451
crossover	cruzado	0.559	0.550	0.500
crosswalk	paso de peatones	0.557	0.441	0.380
crossword	crucigrama	0.611	0.423	0.455
crotch	entrepierna	0.521	0.637	0.447
crouch	agacharse	0.281	0.606	0.312
crouched	agachado	0.333	0.363	0.279
crouching	agachándose	0.261	0.429	0.345
croupier	crupier	0.531	0.519	0.404
crow	cuervo	0.224	0.439	0.363
crowbar	palanca	0.406	0.531	0.386
crowd	multitud	0.350	0.827	0.731
crowded	lleno de gente	0.694	0.286	0.585
crowds	multitudes	0.469	0.723	0.806
crown	corona	0.708	0.572	0.737
crowning	coronamiento	0.773	0.594	0.831
crucial	crucial	0.541	0.657	0.777
cruciate	cruzado	0.429	0.435	0.585
crucifix	crucifijo	0.469	0.480	0.510
crucifixion	crucifixión	0.135	0.857	0.541
crucify	crucificar	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	crudo	0.198	0.402	0.357
cruel	cruel	0.122	0.866	0.391
cruelly	con crueldad	0.146	0.790	0.471
cruelty	crueldad	0.092	0.836	0.536
cruise	crucero	0.740	0.442	0.683
cruise ship	crucero	0.878	0.650	0.500
cruiser	crucero	0.737	0.490	0.608
cruising	crucero	0.886	0.580	0.560
crumb	miga	0.417	0.255	0.216
crumble	desmoronarse	0.333	0.480	0.423
crumbling	desmoronándose	0.167	0.696	0.308
crummy	sucio	0.125	0.531	0.224
crunch	crujido	0.292	0.630	0.406
crunchy	crujiente	0.625	0.560	0.539
crusade	cruzada	0.592	0.720	0.709
crusader	cruzado	0.439	0.588	0.548
crush	aplastar	0.271	0.676	0.582
crushed	aplastada	0.167	0.647	0.300
crusher	trituradora	0.271	0.709	0.598
crushing	aplastante	0.219	0.755	0.411
crust	corteza	0.542	0.337	0.456
crusty	crujiente	0.625	0.531	0.473
crutch	muleta	0.302	0.294	0.302
crux	quid	0.469	0.558	0.519
cry	llorar	0.133	0.627	0.255
crybaby	llorón	0.375	0.702	0.311
crying	llorando	0.153	0.704	0.208
crypt	cripta	0.156	0.431	0.386
cryptic	críptico	0.296	0.516	0.474
cryptography	criptografía	0.490	0.415	0.650
crystal	cristal	0.618	0.270	0.508
crystalline	cristalino	0.765	0.235	0.534
crystallization	cristalización	0.600	0.449	0.565
cub	cachorro	0.646	0.382	0.284
cubby	cuchitril	0.354	0.385	0.360
cube	cubo	0.469	0.226	0.274
cubic	cúbico	0.458	0.306	0.407
cubicle	cubículo	0.479	0.343	0.417
cuckold	cornudo	0.210	0.573	0.230
cuckoo	cuco	0.420	0.459	0.284
cucumber	Pepino	0.490	0.235	0.237
cuddle	abrazo	0.885	0.559	0.475
cuddled	abrazados	0.906	0.547	0.567
cuddles	abrazos	0.847	0.382	0.500
cuddling	caricias	0.917	0.562	0.433
cue	señal	0.521	0.433	0.484
cuff	bofetada	0.469	0.453	0.387
cuisine	cocina	0.714	0.365	0.390
culinary	culinario	0.654	0.443	0.519
cull	desecho	0.365	0.702	0.464
culminate	culminar	0.667	0.550	0.602
culmination	culminación	0.656	0.586	0.695
culpability	culpabilidad	0.112	0.745	0.368
culpable	culpable	0.140	0.700	0.319
culprit	culpable	0.062	0.676	0.333
cult	culto	0.448	0.535	0.648
cultivate	cultivar	0.708	0.410	0.598
cultivated	cultivado	0.837	0.343	0.564
cultivation	cultivo	0.625	0.324	0.462
cultural	cultural	0.802	0.390	0.623
culture	cultura	0.753	0.304	0.675
cultured	culto	0.635	0.429	0.625
culvert	alcantarilla	0.337	0.324	0.343
cumbersome	incómodo	0.259	0.623	0.292
cumulus	cúmulo	0.570	0.433	0.432
cunning	astucia	0.604	0.685	0.683
cunt	coño	0.135	0.673	0.377
cup	vaso	0.615	0.167	0.231
cupboard	alacena	0.553	0.200	0.304
cupcake	cupcake	0.656	0.333	0.344
cupping	utilización de tazas	0.490	0.610	0.402
cur	canalla	0.440	0.519	0.460
curable	curable	0.823	0.292	0.574
curate	cura	0.726	0.418	0.526
curative	curativo	0.667	0.318	0.613
curator	curador	0.688	0.389	0.688
curb	bordillo	0.472	0.371	0.402
curd	Cuajada	0.542	0.442	0.278
cure	cura	0.719	0.377	0.623
curfew	toque de queda	0.219	0.618	0.623
curiosity	curiosidad	0.750	0.755	0.463
curious	curioso	0.635	0.600	0.483
curl	rizo	0.385	0.452	0.351
curling	curling	0.583	0.592	0.400
currency	moneda	0.583	0.418	0.592
current	corriente	0.625	0.312	0.612
curriculum	plan de estudios	0.708	0.306	0.620
curry	curry	0.633	0.345	0.302
curse	maldición	0.033	0.720	0.375
cursed	maldito	0.083	0.783	0.393
cursing	maldiciendo	0.112	0.860	0.446
cursory	superficial	0.423	0.451	0.431
curt	brusco	0.245	0.610	0.452
curtail	acortar	0.306	0.439	0.497
curtailment	reducción	0.230	0.578	0.431
curtain	cortina	0.698	0.278	0.304
curtains	cortinas	0.615	0.123	0.342
curtsy	reverencia	0.635	0.412	0.598
curvature	curvatura	0.417	0.367	0.447
curve	curva	0.480	0.375	0.307
curved	curvo	0.542	0.407	0.337
curvilinear	con línea no recta	0.480	0.575	0.411
cushion	amortiguar	0.653	0.221	0.292
cushy	fácil	0.823	0.283	0.395
cusp	cúspide	0.667	0.710	0.700
cuss	tipo de	0.354	0.538	0.443
cussed	terco	0.156	0.625	0.454
custard	lactoso	0.618	0.260	0.293
custodial	custodia	0.418	0.462	0.718
custodian	custodio	0.594	0.625	0.528
custody	custodia	0.494	0.472	0.675
custom	personalizado	0.552	0.382	0.688
customary	acostumbrado	0.700	0.253	0.561
customer	cliente	0.562	0.430	0.673
customized	personalizado	0.625	0.504	0.590
cut	cortar	0.490	0.490	0.393
cutaneous	cutáneo	0.365	0.370	0.328
cute	linda	0.920	0.528	0.579
cuticle	cutícula	0.340	0.320	0.377
cutie	chica	0.638	0.528	0.464
cutlass	chafarote	0.173	0.648	0.528
cutlery	cuchillería	0.552	0.300	0.345
cutoff	cortar	0.432	0.510	0.518
cutter	cortador	0.427	0.731	0.583
cutters	cortadores	0.197	0.653	0.491
cutthroat	asesino	0.110	0.823	0.663
cutting	corte	0.448	0.375	0.536
cutting board	tabla de cortar	0.337	0.540	0.342
cuttings	esquejes	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	cianuro	0.229	0.667	0.545
cyberspace	ciberespacio	0.677	0.594	0.611
cycle	ciclo	0.635	0.400	0.533
cyclical	cíclico	0.380	0.450	0.554
cyclist	ciclista	0.684	0.582	0.576
cyclone	ciclón	0.416	0.796	0.673
cylinder	cilindro	0.459	0.324	0.447
cylindrical	cilíndrico	0.458	0.294	0.414
cymbal	platillo	0.542	0.363	0.362
cynic	cínico	0.135	0.632	0.473
cynical	cínico	0.156	0.760	0.474
cynicism	cinismo	0.104	0.780	0.454
cyst	quiste	0.173	0.578	0.312
cystic	cístico	0.314	0.481	0.400
cytomegalovirus	citomegalovirus	0.186	0.657	0.443
cytoplasm	citoplasma	0.378	0.442	0.474
czar	zar	0.480	0.348	0.643
dab	lenguado	0.510	0.337	0.340
dabble	salpicar	0.550	0.530	0.491
dabbling	incursionando	0.562	0.726	0.676
dad	papá	0.857	0.412	0.786
daddy	papi	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	demonio	0.333	0.490	0.500
daft	loco	0.255	0.436	0.157
dagger	daga	0.224	0.797	0.613
daily	diario	0.653	0.347	0.473
dainty	delicado	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	lechería	0.633	0.255	0.462
daisy	margarita	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	valle	0.622	0.270	0.365
dam	presa	0.250	0.553	0.394
damage	dañar	0.059	0.726	0.403
damaged	dañado	0.104	0.635	0.182
damages	daños y perjuicios	0.082	0.760	0.310
dame	dama	0.694	0.480	0.500
damn	Maldita sea	0.073	0.784	0.431
damnation	condenación	0.135	0.750	0.416
damned	maldito	0.100	0.760	0.465
damp	húmedo	0.360	0.279	0.210
dampened	humedecido	0.271	0.422	0.336
damper	apagador	0.459	0.378	0.473
damsel	damisela	0.719	0.475	0.400
dance	baile	0.894	0.840	0.551
dancer	bailarín	0.740	0.768	0.545
dancing	bailando	0.885	0.868	0.444
dandruff	caspa	0.398	0.298	0.293
dandy	dandy	0.673	0.520	0.630
danger	peligro	0.115	0.923	0.673
dangerous	peligroso	0.020	0.941	0.658
dangerously	peligrosamente	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	colgar	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	apuesto	0.770	0.560	0.698
dare	atrevimiento	0.677	0.788	0.684
daredevil	temerario	0.429	0.714	0.653
daresay	dicho atrevido	0.540	0.451	0.490
daring	atrevido	0.583	0.840	0.711
dark	oscuro	0.198	0.398	0.426
darken	oscurecer	0.250	0.471	0.382
darkened	oscurecido	0.135	0.440	0.452
darkly	misteriosamente	0.219	0.548	0.443
darkness	oscuridad	0.102	0.602	0.418
darkroom	cuarto oscuro	0.188	0.627	0.423
darkside	lado oscuro	0.102	0.690	0.365
darling	querido	0.885	0.370	0.608
darn	maldito	0.115	0.765	0.418
dart	dardo	0.417	0.608	0.500
dash	guión	0.574	0.312	0.324
dashboard	tablero	0.510	0.371	0.595
dashed	discontinua	0.276	0.393	0.338
dashing	apuesto	0.612	0.627	0.799
dastardly	ruin	0.208	0.688	0.270
data	datos	0.500	0.250	0.426
database	base de datos	0.604	0.286	0.644
date	fecha	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	hija	0.908	0.415	0.455
dawdle	holgazanear	0.479	0.464	0.357
dawn	amanecer	0.827	0.235	0.519
dawned	amaneció	0.694	0.471	0.473
day	día	0.719	0.269	0.389
daybreak	recreo de día	0.802	0.358	0.474
daycare	guardería	0.776	0.481	0.360
daydream	ensueño	0.750	0.337	0.456
daydreaming	soñador	0.776	0.360	0.479
daylight	luz	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	tiempo de día	0.750	0.324	0.454
daze	aturdimiento	0.245	0.735	0.329
dazed	aturdido	0.300	0.697	0.277
dazzle	deslumbrar	0.730	0.782	0.683
dazzling	deslumbrante	0.854	0.880	0.767
deacon	diácono	0.531	0.430	0.736
deactivate	desactivar	0.235	0.447	0.392
dead	muerto	0.052	0.454	0.194
deadbeat	perezoso	0.229	0.453	0.368
deadline	fecha tope	0.214	0.615	0.460
deadlines	fechas límite	0.406	0.769	0.411
deadlock	punto muerto	0.170	0.418	0.323
deadly	mortal	0.143	0.849	0.554
deaf	sordo	0.186	0.324	0.161
deafening	ensordecedor	0.281	0.835	0.482
deafness	sordera	0.125	0.413	0.219
deal	acuerdo	0.719	0.599	0.543
dealer	comerciante	0.799	0.615	0.683
dealership	concesión	0.541	0.430	0.629
dealing	relación comercial	0.724	0.415	0.598
dealings	transacciones	0.600	0.491	0.480
dean	decano	0.612	0.469	0.723
dear	querido	0.880	0.434	0.629
dearest	querido	0.902	0.427	0.508
dearth	escasez	0.156	0.539	0.255
death	muerte	0.031	0.720	0.472
deathbed	lecho de muerte	0.051	0.652	0.311
deathly	mortal	0.073	0.771	0.682
debacle	debacle	0.156	0.606	0.266
debased	degradado	0.219	0.529	0.170
debatable	discutible	0.181	0.610	0.474
debate	debate	0.408	0.691	0.683
debauchery	libertinaje	0.354	0.901	0.500
debenture	obligación	0.417	0.500	0.466
debilitating	debilitante	0.125	0.490	0.308
debit	débito	0.333	0.400	0.474
debrief	interrogar	0.247	0.343	0.549
debriefing	interrogación	0.427	0.580	0.456
debris	escombros	0.135	0.396	0.327
debt	deuda	0.204	0.598	0.336
debtor	deudor	0.219	0.546	0.160
debut	debut	0.806	0.606	0.629
debutante	debutante	0.771	0.627	0.454
decade	década	0.531	0.402	0.665
decadence	decadencia	0.237	0.455	0.291
decadent	decadente	0.290	0.559	0.324
decaf	descafeinado	0.480	0.324	0.353
decanter	licorera	0.438	0.567	0.510
decathlon	decatlón	0.573	0.753	0.620
decay	decaer	0.143	0.312	0.170
decayed	deteriorado	0.017	0.375	0.169
decaying	decayendo	0.073	0.510	0.214
deceased	fallecido	0.021	0.538	0.188
decedent	hombre muerto	0.423	0.481	0.415
deceit	engaño	0.020	0.696	0.343
deceitful	engañoso	0.071	0.788	0.371
deceive	engañar	0.094	0.775	0.414
deceived	engañado	0.059	0.673	0.302
deceiving	engañoso	0.099	0.636	0.426
december	diciembre	0.740	0.540	0.464
decency	decencia	0.750	0.235	0.634
decent	bueno	0.823	0.296	0.653
deception	engaño	0.090	0.745	0.370
deceptive	engañoso	0.027	0.605	0.294
decide	decidir	0.656	0.540	0.855
decidedly	decididamente	0.750	0.480	0.843
deciduous	caduco	0.385	0.353	0.282
decimal	decimal	0.507	0.259	0.305
decimeter	decímetro	0.520	0.292	0.377
decipher	descifrar	0.417	0.630	0.652
decision	decisión	0.646	0.510	0.839
decisive	decisivo	0.740	0.509	0.935
deck	cubierta	0.420	0.333	0.394
declaration	declaración	0.551	0.590	0.714
declaratory	declaratorio	0.635	0.582	0.673
declare	declarar	0.677	0.623	0.668
declination	declinación	0.250	0.549	0.311
decline	disminución	0.173	0.491	0.240
declining	declinante	0.328	0.400	0.264
deco	deco	0.625	0.274	0.356
decode	descodificar	0.551	0.510	0.640
decoder	descifrador	0.562	0.340	0.686
decompose	descomponer	0.194	0.596	0.241
decomposed	descompuesto	0.073	0.442	0.231
decomposition	descomposición	0.133	0.600	0.263
decompress	descomprimir	0.438	0.430	0.509
decompression	descompresión	0.208	0.520	0.311
decontamination	descontaminación	0.611	0.538	0.573
decor	decoración	0.734	0.311	0.573
decorate	Decorar	0.954	0.370	0.404
decorating	decorar	0.863	0.548	0.462
decoration	decoración	0.878	0.553	0.526
decorative	decorativo	0.908	0.460	0.381
decorator	decorador	0.840	0.471	0.455
decorum	decoro	0.802	0.327	0.462
decoy	señuelo	0.149	0.460	0.330
decrease	disminución	0.125	0.360	0.267
decreased	disminuido	0.224	0.271	0.170
decreasing	decreciente	0.320	0.346	0.224
decree	decreto	0.552	0.478	0.746
decrement	decremento	0.255	0.427	0.373
decrepit	decrépito	0.156	0.490	0.225
decry	desacreditar	0.400	0.814	0.548
decryption	descifrado	0.459	0.445	0.600
dedicate	dedicar	0.823	0.431	0.588
dedication	Dedicación	0.867	0.471	0.682
deduce	deducir	0.490	0.510	0.466
deduct	deducir	0.355	0.330	0.412
deductible	deducible	0.375	0.286	0.455
deduction	deducción	0.438	0.462	0.527
deed	escritura	0.520	0.320	0.592
deejay	deejay	0.551	0.630	0.473
deem	considerar	0.594	0.529	0.690
deep	profundo	0.490	0.473	0.657
deepen	profundizar	0.625	0.530	0.776
deer	ciervo	0.583	0.375	0.292
defamation	difamación	0.110	0.670	0.481
defamatory	difamatorio	0.143	0.688	0.402
default	defecto	0.459	0.343	0.712
defeat	derrota	0.092	0.500	0.224
defeated	derrotado	0.104	0.582	0.145
defeatist	derrotista	0.163	0.567	0.315
defect	defecto	0.135	0.561	0.185
defection	deserción	0.146	0.594	0.330
defective	defectuoso	0.122	0.580	0.274
defector	desertor	0.163	0.696	0.286
defend	defender	0.698	0.722	0.670
defendant	acusado	0.250	0.710	0.491
defended	defendido	0.663	0.451	0.582
defender	defensor	0.639	0.708	0.750
defending	defendiendo	0.604	0.871	0.812
defense	defensa	0.652	0.698	0.802
defenseless	indefenso	0.143	0.357	0.105
defensible	defendible	0.740	0.509	0.593
defensive	defensivo	0.542	0.640	0.678
defer	aplazar	0.245	0.459	0.317
deference	deferencia	0.510	0.396	0.447
deferral	aplazamiento	0.765	0.542	0.327
deferring	difiriendo	0.343	0.500	0.413
defiance	desafío	0.333	0.780	0.760
defiant	desafiante	0.250	0.792	0.769
defibrillator	desfibrilador	0.398	0.663	0.431
deficiency	deficiencia	0.073	0.373	0.179
deficient	deficiente	0.240	0.464	0.132
deficit	déficit	0.358	0.500	0.269
define	definir	0.688	0.415	0.632
defined	definido	0.670	0.214	0.646
definite	definido	0.708	0.292	0.741
definition	definición	0.573	0.375	0.579
definitive	definitivo	0.583	0.479	0.787
deflate	desinflar	0.148	0.404	0.237
deflation	deflación	0.287	0.536	0.407
deflect	cambiar	0.133	0.491	0.482
deflection	desviación	0.188	0.500	0.382
defloration	desfloración	0.188	0.690	0.434
deform	deformar	0.112	0.654	0.284
deformed	deformado	0.198	0.435	0.308
deformity	deformidad	0.160	0.569	0.241
defraud	defraudar	0.175	0.635	0.314
defray	sufragar	0.375	0.598	0.653
defrost	descongelar	0.427	0.317	0.389
deft	hábil	0.719	0.575	0.849
defunct	difunto	0.112	0.491	0.272
defuse	desactivar	0.167	0.480	0.430
defy	desafiar	0.353	0.884	0.657
degeneracy	degeneración	0.143	0.720	0.298
degenerate	degenerar	0.069	0.724	0.264
degeneration	degeneración	0.245	0.578	0.371
degradation	degradación	0.160	0.608	0.315
degrade	degradar	0.083	0.500	0.184
degraded	degradado	0.167	0.433	0.205
degrading	degradante	0.031	0.583	0.232
degree	la licenciatura	0.724	0.365	0.663
dehydrated	deshidratado	0.310	0.685	0.212
dehydration	deshidración	0.188	0.472	0.259
dejected	abatido	0.104	0.654	0.347
delay	retrasar	0.204	0.510	0.162
