Word	Macedonian-mk	Valence	Arousal	Dominance
dedicate	посвети	0.823	0.431	0.588
dedication	посветеност	0.867	0.471	0.682
deduce	доведе	0.490	0.510	0.466
deduct	одземе	0.355	0.330	0.412
deductible	одбитна	0.375	0.286	0.455
deduction	одбивање	0.438	0.462	0.527
deed	дело	0.520	0.320	0.592
deejay	deejay	0.551	0.630	0.473
deem	демек	0.594	0.529	0.690
deep	длабоко	0.490	0.473	0.657
deepen	Продлабочи	0.625	0.530	0.776
deer	елен	0.583	0.375	0.292
defamation	клевета	0.110	0.670	0.481
defamatory	клеветнички	0.143	0.688	0.402
default	стандардно	0.459	0.343	0.712
defeat	пораз	0.092	0.500	0.224
defeated	поразен	0.104	0.582	0.145
defeatist	дефетист	0.163	0.567	0.315
defect	дефект	0.135	0.561	0.185
defection	пребегнување	0.146	0.594	0.330
defective	дефектен	0.122	0.580	0.274
defector	дефект	0.163	0.696	0.286
defend	брани	0.698	0.722	0.670
defendant	обвинетиот	0.250	0.710	0.491
defended	бранеше	0.663	0.451	0.582
defender	бранител	0.639	0.708	0.750
defending	брани	0.604	0.871	0.812
defense	одбрана	0.652	0.698	0.802
defenseless	беспомошни	0.143	0.357	0.105
defensible	одбранбен	0.740	0.509	0.593
defensive	дефанзивен	0.542	0.640	0.678
defer	одложување	0.245	0.459	0.317
deference	почит	0.510	0.396	0.447
deferral	одложување	0.765	0.542	0.327
deferring	одложување	0.343	0.500	0.413
defiance	пркос	0.333	0.780	0.760
defiant	пркосен	0.250	0.792	0.769
defibrillator	дефибрилатор	0.398	0.663	0.431
deficiency	недостаток	0.073	0.373	0.179
deficient	дефицитарни	0.240	0.464	0.132
deficit	дефицит	0.358	0.500	0.269
define	Дефинирај	0.688	0.415	0.632
defined	дефинирани	0.670	0.214	0.646
definite	дефинитивно	0.708	0.292	0.741
definition	дефиниција	0.573	0.375	0.579
definitive	дефинитивно	0.583	0.479	0.787
deflate	издлаби	0.148	0.404	0.237
deflation	дефлација	0.287	0.536	0.407
deflect	одврати	0.133	0.491	0.482
deflection	девијации	0.188	0.500	0.382
defloration	дефлорација	0.188	0.690	0.434
deform	деформира	0.112	0.654	0.284
deformed	деформирани	0.198	0.435	0.308
deformity	деформитет	0.160	0.569	0.241
defraud	измама	0.175	0.635	0.314
defray	поплака	0.375	0.598	0.653
defrost	одмрзнување	0.427	0.317	0.389
deft	дефинитивно	0.719	0.575	0.849
defunct	непостоечки	0.112	0.491	0.272
defuse	смири	0.167	0.480	0.430
defy	пркосат	0.353	0.884	0.657
degeneracy	дегенерација	0.143	0.720	0.298
degenerate	дегенерира	0.069	0.724	0.264
degeneration	дегенерација	0.245	0.578	0.371
degradation	деградација	0.160	0.608	0.315
degrade	деградира	0.083	0.500	0.184
degraded	деградирани	0.167	0.433	0.205
degrading	деградирачки	0.031	0.583	0.232
degree	степен	0.724	0.365	0.663
dehydrated	дехидрирана	0.310	0.685	0.212
dehydration	дехидратација	0.188	0.472	0.259
dejected	ужаснат	0.104	0.654	0.347
delay	одложување	0.204	0.510	0.162
delayed	одложен	0.188	0.490	0.216
delectable	прекрасна	0.781	0.642	0.718
delegate	делегат	0.612	0.491	0.658
delegation	делегација	0.562	0.431	0.609
delete	избриши	0.292	0.298	0.409
deleterious	штетни	0.297	0.725	0.440
deletion	бришење	0.062	0.506	0.462
deli	deli	0.561	0.448	0.447
deliberate	намерно	0.551	0.654	0.682
deliberation	разгледување	0.561	0.678	0.596
deliberative	совесен	0.392	0.552	0.573
delicacy	деликатес	0.812	0.279	0.336
delicate	деликатно	0.583	0.294	0.366
delicatessen	деликатеси	0.656	0.474	0.400
delicious	вкусно	0.927	0.650	0.589
delight	задоволство	0.949	0.666	0.647
delighted	воодушевен	0.938	0.664	0.685
delightful	прекрасен	0.918	0.735	0.644
delineate	обележи	0.448	0.430	0.445
delineation	разграничување	0.521	0.402	0.314
delinquency	деликвенција	0.135	0.860	0.508
delinquent	делинквент	0.051	0.904	0.500
delirious	делириус	0.219	0.774	0.538
delirium	делириум	0.233	0.694	0.484
deliver	испорача	0.583	0.370	0.582
deliverance	избавување	0.750	0.520	0.658
delivery	испорака	0.704	0.461	0.786
dell	dell	0.458	0.380	0.453
delta	делта	0.551	0.343	0.509
delude	измама	0.143	0.627	0.353
deluge	потоп	0.245	0.714	0.612
delusion	заблуда	0.344	0.647	0.400
delusional	делумно	0.219	0.745	0.327
deluxe	лукс	0.792	0.612	0.755
delve	истражувам	0.469	0.529	0.684
demand	побарувачка	0.292	0.673	0.500
demanding	барајќи	0.396	0.750	0.828
demeaned	понижен	0.271	0.520	0.212
demeaning	понижувачки	0.104	0.645	0.308
demeanor	однесување	0.633	0.433	0.657
demented	деменција	0.088	0.787	0.309
dementia	деменција	0.092	0.779	0.337
demise	смрт	0.104	0.596	0.456
demo	демо	0.510	0.314	0.423
democracy	демократија	0.680	0.500	0.840
democrat	демократ	0.582	0.400	0.755
democratic	демократски	0.802	0.519	0.798
demographic	демографски	0.459	0.356	0.594
demolish	уривање	0.125	0.632	0.700
demolished	срушен	0.271	0.647	0.353
demolition	уривање	0.133	0.827	0.541
demon	демонот	0.037	0.908	0.509
demonic	демонски	0.146	0.875	0.600
demonstrable	докажано	0.735	0.471	0.749
demonstrate	демонстрирај	0.771	0.552	0.839
demonstrated	демонстрирано	0.617	0.500	0.649
demonstrating	демонстрација	0.698	0.571	0.693
demonstration	демонстрации	0.551	0.676	0.679
demonstrative	демонстративен	0.656	0.528	0.736
demonstrator	демонстратор	0.520	0.598	0.733
demoralized	деморализирани	0.082	0.590	0.149
demos	демонстрации	0.418	0.370	0.368
demure	смирување	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	отфрлање	0.230	0.509	0.417
denial	негирање	0.194	0.435	0.318
denied	негираше	0.188	0.604	0.333
denim	тексас	0.520	0.382	0.327
denomination	деноминација	0.490	0.363	0.429
denominational	деноминациона	0.458	0.375	0.679
denominator	именител	0.450	0.410	0.613
denote	означете	0.448	0.471	0.534
denounce	се откаже	0.083	0.780	0.426
dense	густа	0.354	0.343	0.536
density	густина	0.602	0.471	0.561
dent	Дент	0.306	0.606	0.325
dental	стоматолошки	0.573	0.404	0.463
dentist	стоматолог	0.479	0.620	0.642
dentistry	стоматологија	0.429	0.570	0.569
dentists	стоматолози	0.364	0.600	0.582
denunciation	откажување	0.146	0.830	0.561
deny	негира	0.316	0.667	0.321
denying	негирање	0.080	0.542	0.272
deodorant	дезодоранс	0.480	0.265	0.269
depart	заминам	0.398	0.480	0.444
departed	отиде	0.245	0.536	0.391
department	оддел	0.708	0.358	0.642
departmental	одделенски	0.612	0.422	0.446
departure	заминување	0.573	0.500	0.426
depend	зависи	0.388	0.429	0.358
dependable	сигурен	0.880	0.357	0.741
dependant	зависен	0.357	0.404	0.451
dependence	зависност	0.250	0.451	0.433
dependency	зависност	0.429	0.365	0.356
dependent	зависен	0.354	0.455	0.404
depict	прикажи	0.663	0.529	0.723
depicting	прикажувајќи	0.490	0.566	0.602
depletion	осиромашување	0.153	0.370	0.236
deplorable	непристоен	0.135	0.657	0.230
deplore	огорчавам	0.135	0.575	0.373
deploy	распоредување	0.500	0.520	0.585
deployment	распоредување	0.510	0.520	0.612
deport	депортација	0.167	0.667	0.546
deportation	депортација	0.104	0.786	0.450
depose	одземе	0.286	0.420	0.451
deposit	депозит	0.540	0.379	0.483
depositary	депозитар	0.604	0.431	0.500
deposition	таложење	0.394	0.510	0.471
depository	депозитар	0.551	0.373	0.481
depot	депо	0.635	0.255	0.471
depraved	расипани	0.031	0.837	0.395
depravity	изопаченост	0.115	0.854	0.453
depreciate	игнорирање	0.270	0.623	0.445
depreciated	амортизирана	0.135	0.672	0.250
depreciation	амортизација	0.143	0.571	0.386
depress	депресија	0.219	0.635	0.528
depressed	депресија	0.024	0.445	0.136
depressing	депресивно	0.146	0.559	0.216
depression	депресија	0.031	0.520	0.232
depressive	депресивна	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	лишување	0.194	0.610	0.413
deprive	лиши	0.271	0.591	0.340
deprived	лишен	0.354	0.506	0.536
depth	длабочина	0.708	0.561	0.759
deputy	заменик	0.429	0.530	0.787
derail	попречни	0.108	0.802	0.375
deranged	пореметени	0.376	0.868	0.357
derelict	напуштен	0.208	0.470	0.237
derision	потсмев	0.265	0.670	0.292
derivation	деривација	0.521	0.519	0.644
derivative	дериват	0.541	0.491	0.508
derive	произлегува	0.396	0.324	0.360
dermal	дермален	0.385	0.406	0.443
dermatologist	дерматолог	0.531	0.358	0.528
dermatology	дерматологија	0.422	0.500	0.556
derogation	дерогација	0.208	0.460	0.327
derogatory	навредлив	0.122	0.580	0.404
descend	слезе	0.385	0.535	0.231
descendant	потомок	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	Опаѓачки	0.219	0.493	0.250
descent	потекло	0.300	0.402	0.158
describe	опишете	0.542	0.472	0.555
description	опис	0.582	0.425	0.596
descriptive	описни	0.667	0.352	0.570
desecrate	оскверни	0.255	0.806	0.509
desecration	сквернавење	0.125	0.833	0.564
desert	пустината	0.469	0.279	0.389
deserted	напуштени	0.156	0.480	0.214
deserter	дезертер	0.122	0.710	0.366
desertion	дезертерство	0.122	0.630	0.289
deserve	заслужуваат	0.802	0.436	0.613
deserved	заслужено	0.781	0.582	0.689
deserving	заслужува	0.802	0.596	0.858
design	дизајн	0.796	0.327	0.632
designate	назначи	0.531	0.538	0.683
designated	назначени	0.500	0.412	0.616
designation	ознака	0.612	0.571	0.675
designed	дизајниран	0.745	0.380	0.595
designer	дизајнер	0.875	0.519	0.670
designing	дизајнирање	0.792	0.355	0.552
desirability	пожелноста	0.684	0.550	0.675
desirable	пожелно	0.740	0.735	0.750
desire	желба	0.896	0.692	0.647
desiring	желба	0.814	0.821	0.632
desirous	желба	0.719	0.824	0.562
desist	престанете	0.220	0.358	0.291
desk	биро	0.510	0.135	0.422
desolate	пусто	0.104	0.320	0.228
desolation	пустош	0.073	0.481	0.273
despair	очај	0.115	0.794	0.245
despairing	очај	0.073	0.735	0.286
despatch	испраќање	0.448	0.400	0.613
desperado	очајно	0.260	0.745	0.361
desperate	очајни	0.083	0.842	0.337
desperation	очај	0.125	0.904	0.419
despicable	злобен	0.146	0.710	0.255
despise	презираат	0.167	0.745	0.296
despondent	малодушен	0.133	0.378	0.221
despotic	деспотичен	0.141	0.824	0.592
despotism	деспотизам	0.255	0.696	0.620
dessert	десерт	0.755	0.491	0.404
destination	дестинација	0.708	0.471	0.637
destined	предодредено	0.698	0.462	0.617
destiny	судбина	0.781	0.413	0.611
destitute	бедни	0.130	0.451	0.222
destroy	уништи	0.046	0.935	0.635
destroyed	уништени	0.031	0.696	0.288
destroyer	уништувач	0.083	0.830	0.543
destroying	уништување	0.041	0.828	0.660
destruct	деструира	0.071	0.868	0.525
destruction	уништување	0.102	0.929	0.613
destructive	деструктивни	0.177	0.870	0.713
detach	одвој	0.357	0.625	0.450
detached	одвоен	0.280	0.396	0.216
detachment	одред	0.243	0.700	0.443
detail	детали	0.514	0.406	0.528
detailed	детални	0.603	0.314	0.472
details	детали	0.583	0.367	0.481
detain	притвор	0.351	0.345	0.430
detainee	притвореник	0.306	0.510	0.321
detect	детектирај	0.531	0.520	0.565
detectable	детектибилен	0.479	0.539	0.649
detection	откривање	0.708	0.567	0.538
detective	детектив	0.500	0.764	0.901
detector	детектор	0.459	0.630	0.724
detention	притвор	0.265	0.698	0.562
deter	одврати	0.344	0.537	0.567
detergent	детергент	0.458	0.304	0.426
deteriorate	се влошува	0.083	0.471	0.202
deteriorated	влошена	0.053	0.549	0.237
deteriorating	се влошува	0.104	0.459	0.112
deterioration	влошување	0.130	0.512	0.283
determinable	детерминирана	0.625	0.565	0.723
determinate	одредува	0.630	0.314	0.772
determination	определување	0.776	0.725	0.795
determine	утврди	0.612	0.368	0.776
determined	одлучен	0.760	0.528	0.673
deterrent	пречка	0.292	0.461	0.385
detest	одврати	0.083	0.800	0.492
detestation	одвраќање	0.177	0.637	0.412
detonate	детонира	0.375	0.850	0.696
detonation	детонација	0.167	0.931	0.741
detonator	детонатор	0.207	0.875	0.750
detour	заобиколен пат	0.398	0.539	0.309
detract	ублажување	0.344	0.438	0.368
detriment	штета	0.281	0.538	0.263
detrimental	штетно	0.203	0.679	0.387
detritus	дерит	0.276	0.353	0.363
deuce	двојка	0.479	0.338	0.425
deutschmark	deutschmark	0.439	0.431	0.509
devalued	девалвирана	0.321	0.462	0.212
devastate	уништи	0.021	0.796	0.509
devastated	уништени	0.120	0.544	0.264
devastating	катастрофални	0.104	0.856	0.419
devastation	уништување	0.090	0.904	0.472
develop	развива	0.771	0.670	0.821
developer	развивач	0.844	0.653	0.864
developing	развој	0.833	0.587	0.714
development	развој	0.827	0.500	0.796
deviant	девијантен	0.094	0.589	0.398
deviate	отстапувај	0.173	0.562	0.269
deviating	отстапување	0.354	0.634	0.536
deviation	отстапување	0.105	0.513	0.336
device	уред	0.562	0.404	0.627
devil	ѓавол	0.161	0.900	0.611
deviled	девијантен	0.347	0.559	0.358
devilish	ѓаволски	0.073	0.865	0.490
devious	опкружен	0.250	0.519	0.259
devise	планирам	0.551	0.557	0.670
devoid	лишен	0.219	0.436	0.300
devolution	деволуција	0.345	0.434	0.425
devolve	пренесе	0.367	0.427	0.596
devote	посвети	0.802	0.490	0.642
devoted	посветен	0.867	0.320	0.698
devotee	приврзаник	0.816	0.461	0.577
devotion	посветеност	0.802	0.561	0.673
devotional	благочестив	0.740	0.394	0.655
devour	проголта	0.344	0.888	0.574
devout	благочестив	0.620	0.357	0.464
dew	роса	0.604	0.225	0.464
dexter	Декстер	0.458	0.473	0.444
dexterity	умешност	0.771	0.673	0.864
dextrose	декстроза	0.333	0.402	0.323
diabetes	дијабетес	0.051	0.472	0.279
diabetic	дијабетичар	0.125	0.269	0.237
diabolical	ѓаволски	0.102	0.912	0.456
diagnose	дијагностицира	0.378	0.520	0.714
diagnosis	дијагноза	0.571	0.500	0.819
diagnostic	дијагностички	0.417	0.483	0.635
diagnostics	дијагностика	0.540	0.440	0.750
diagonal	дијагонална	0.500	0.343	0.410
diagram	Дијаграм	0.562	0.357	0.445
dial	бирање	0.620	0.427	0.596
dialect	дијалект	0.635	0.422	0.526
dialectic	дијалектика	0.510	0.540	0.638
dialogue	дијалог	0.599	0.441	0.625
dialysis	дијализа	0.194	0.567	0.407
diameter	дијаметар	0.427	0.298	0.483
diamond	дијамант	0.910	0.606	0.769
diamonds	дијаманти	0.927	0.684	0.917
diaper	пелена	0.409	0.274	0.155
diaphragm	дијафрагма	0.459	0.337	0.517
diarrhea	дијареа	0.092	0.684	0.143
diarrhoea	дијареа	0.038	0.692	0.250
diary	дневник	0.698	0.292	0.464
diatribe	diatribe	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	dibs	0.510	0.410	0.391
dice	коцки	0.458	0.441	0.264
dicey	dicey	0.290	0.833	0.727
dichotomous	дихотомно	0.365	0.452	0.538
dichotomy	дихотомија	0.323	0.482	0.483
dick	Дик	0.208	0.500	0.462
dickhead	dickhead	0.115	0.608	0.284
dicks	клинци	0.310	0.694	0.358
dictate	диктира	0.480	0.423	0.668
dictation	диктат	0.255	0.378	0.627
dictator	диктатор	0.073	0.760	0.862
dictatorial	диктаторски	0.204	0.770	0.840
dictatorship	диктатура	0.082	0.806	0.784
diction	дикција	0.439	0.373	0.679
dictionary	речник	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	дидактички	0.645	0.480	0.673
diddle	не	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	почина	0.021	0.650	0.327
diesel	дизел	0.490	0.327	0.448
diet	исхрана	0.429	0.235	0.398
dietary	исхраната	0.551	0.220	0.261
differ	се разликуваат	0.230	0.398	0.396
difference	разлика	0.474	0.560	0.483
differences	разлики	0.365	0.582	0.342
different	различни	0.612	0.394	0.473
differential	диференцијал	0.520	0.378	0.535
differentiation	диференцијација	0.367	0.561	0.535
differently	поинаку	0.480	0.431	0.506
differing	различен	0.418	0.410	0.455
difficult	тешко	0.235	0.700	0.508
difficulties	тешкотии	0.082	0.784	0.357
difficulty	тешкотии	0.079	0.740	0.368
diffuse	дифузно	0.430	0.431	0.321
diffusion	дифузија	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	Вари	0.720	0.413	0.483
digestion	варење	0.531	0.410	0.455
digestive	дигестивен	0.542	0.413	0.434
digit	цифра	0.447	0.286	0.333
digital	дигитален	0.740	0.382	0.529
dignified	достоинствено	0.766	0.481	0.635
dignify	достоинствено	0.854	0.588	0.735
dignity	Достоинство	0.844	0.391	0.873
digress	дигресија	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	насип	0.360	0.384	0.490
dilapidated	трошни	0.229	0.618	0.286
dilatation	дилатација	0.385	0.574	0.368
dilation	дилатација	0.347	0.490	0.578
dildo	дилдо	0.536	0.587	0.491
dilemma	дилема	0.153	0.590	0.430
diligence	трудољубивост	0.688	0.423	0.700
diligent	вредни	0.760	0.426	0.759
dill	копра	0.427	0.360	0.373
diluent	разредувач	0.417	0.344	0.332
dilute	разредена	0.275	0.192	0.349
diluted	разредена	0.469	0.310	0.229
dilution	разредување	0.445	0.337	0.352
dim	темно	0.398	0.321	0.273
dime	пара	0.653	0.317	0.345
dimension	димензија	0.592	0.415	0.627
dimensional	димензионален	0.561	0.484	0.596
diminish	се намалува	0.240	0.357	0.167
diminished	намалена	0.156	0.269	0.196
diminution	намалување	0.316	0.296	0.245
diminutive	минијатурен	0.323	0.200	0.109
dimwit	снег	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	вечераат	0.821	0.519	0.478
diner	ресторан	0.643	0.302	0.538
dinghy	чамци	0.510	0.269	0.325
dingo	Динго	0.608	0.472	0.346
dingy	валкан	0.156	0.483	0.343
dining	јадење	0.724	0.350	0.459
dinky	dinky	0.357	0.451	0.358
dinner	вечера	0.823	0.392	0.379
dinnertime	време за вечера	0.796	0.406	0.341
dinosaur	диносаурус	0.448	0.630	0.596
dint	dint	0.378	0.480	0.492
diocesan	епархија	0.520	0.283	0.518
diocese	епархија	0.510	0.288	0.575
diorama	диорама	0.592	0.441	0.462
dioxide	диоксид	0.354	0.433	0.456
dip	натопи	0.516	0.583	0.397
diploma	диплома	0.750	0.462	0.731
diplomacy	дипломатија	0.740	0.396	0.774
diplomat	дипломат	0.563	0.262	0.868
diplomatic	дипломатски	0.653	0.363	0.918
dipper	мечка	0.548	0.361	0.348
dippy	пргав	0.430	0.402	0.340
dipstick	пиперка	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	директен	0.793	0.403	0.650
directed	во режија	0.542	0.490	0.541
direction	насока	0.719	0.330	0.684
directive	директива	0.604	0.530	0.918
directly	директно	0.747	0.400	0.702
director	режисер	0.688	0.580	0.912
directory	директориум	0.439	0.413	0.538
dirt	нечистотија	0.112	0.500	0.236
dirty	валкани	0.153	0.460	0.170
disability	попреченост	0.073	0.482	0.173
disable	оневозможи	0.115	0.430	0.269
disabled	оневозможено	0.308	0.443	0.235
disadvantage	недостаток	0.150	0.377	0.282
disaffected	незадоволен	0.176	0.410	0.291
disagree	не се согласувам	0.133	0.590	0.345
disagreeable	непријатни	0.042	0.643	0.178
disagreeing	не се согласувам	0.255	0.643	0.350
disagreement	несогласување	0.104	0.618	0.236
disallow	забрани	0.156	0.519	0.424
disallowed	недозволено	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	исчезне	0.143	0.441	0.350
disappearance	исчезнување	0.214	0.698	0.367
disappearing	исчезнува	0.167	0.427	0.379
disappoint	разочарај	0.150	0.633	0.288
disappointed	разочаран	0.071	0.472	0.241
disappointing	разочарувачки	0.073	0.640	0.200
disappointment	разочарување	0.115	0.490	0.336
disapproval	неодобрување	0.085	0.551	0.367
disapprove	одобри	0.160	0.594	0.445
disapproved	неодобрени	0.104	0.550	0.114
disapproving	неодобрување	0.245	0.625	0.452
disarm	разоружа	0.292	0.528	0.613
disarray	разочарување	0.198	0.657	0.223
disaster	катастрофа	0.082	0.892	0.433
disastrous	катастрофално	0.071	0.741	0.439
disband	распаднат	0.302	0.491	0.417
disbelief	неверување	0.188	0.409	0.373
disbelieve	не верувај	0.188	0.441	0.352
disburse	исплата	0.418	0.473	0.353
disbursement	исплата	0.240	0.443	0.435
disc	диск	0.622	0.410	0.426
discard	отфрли	0.240	0.343	0.337
discarded	отфрлени	0.229	0.460	0.308
discards	отфрла	0.240	0.464	0.391
discern	разликуваат	0.459	0.566	0.518
discernible	забележливи	0.427	0.441	0.481
discerning	остроумниот	0.542	0.584	0.780
discernment	проникливост	0.408	0.471	0.694
discharge	празнење	0.427	0.538	0.578
disciple	ученик	0.765	0.385	0.462
disciplinary	дисциплинска	0.562	0.593	0.796
discipline	дисциплина	0.615	0.471	0.806
disciplined	дисциплиниран	0.728	0.450	0.750
disclaim	одрекувам	0.235	0.509	0.321
disclaimer	одрекување од одговорност	0.367	0.571	0.542
disclose	открие	0.490	0.570	0.545
disclosed	откриени	0.271	0.575	0.546
disclosure	откривање	0.500	0.615	0.710
disco	диско	0.710	0.806	0.575
discoloration	дисколорација	0.224	0.373	0.414
discolored	обезцветен	0.204	0.340	0.269
discomfort	непријатност	0.153	0.719	0.272
disconcerted	изненаден	0.100	0.612	0.288
disconcerting	вознемирувачки	0.106	0.549	0.269
disconnect	исклучете го	0.438	0.292	0.191
disconnected	исклучен	0.292	0.276	0.173
disconnection	исклучување	0.167	0.283	0.277
disconnects	исклучува	0.256	0.357	0.241
discontent	незадоволство	0.240	0.530	0.263
discontinuance	прекин	0.123	0.741	0.337
discontinue	прекинете	0.354	0.396	0.349
discontinuity	дисконтинуитет	0.303	0.439	0.250
discontinuous	дисконтинуиран	0.233	0.409	0.316
discord	раздор	0.115	0.882	0.465
discount	попуст	0.724	0.530	0.302
discounted	намалена	0.677	0.471	0.430
discourage	обесхрабри	0.184	0.443	0.267
discouraged	обесхрабрени	0.220	0.304	0.090
discouragement	обесхрабрување	0.112	0.319	0.206
discouraging	обесхрабрувачки	0.167	0.469	0.281
discourse	дискурс	0.410	0.550	0.803
discover	откријте	0.771	0.793	0.673
discovery	откритие	0.823	0.627	0.814
discredit	дискредитира	0.075	0.529	0.355
discredited	дискредитирана	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	несовпаѓање	0.260	0.643	0.417
discrete	дискретни	0.585	0.231	0.429
discretion	дискреција	0.552	0.320	0.685
discretionary	дискреционо	0.520	0.365	0.446
discriminate	дискриминираат	0.125	0.761	0.366
discriminating	дискриминирачки	0.160	0.783	0.462
discrimination	дискриминација	0.051	0.724	0.379
discus	дискот	0.542	0.423	0.343
discuss	дискутираат	0.396	0.769	0.509
discussion	дискусија	0.333	0.842	0.536
disdain	презир	0.153	0.446	0.441
disdainful	презир	0.097	0.480	0.263
disease	болест	0.041	0.539	0.333
diseased	болен	0.123	0.510	0.134
disembodied	раздробен	0.167	0.620	0.412
disengage	ослободување	0.406	0.529	0.304
disengagement	ослободување	0.327	0.373	0.395
disfigured	изобличено	0.153	0.613	0.336
disgrace	срам	0.061	0.531	0.331
disgraced	посрамен	0.071	0.661	0.250
disgraceful	срамно	0.082	0.702	0.240
disgruntled	незадоволни	0.104	0.658	0.442
disguise	маскиране	0.573	0.694	0.431
disguised	преправен	0.500	0.615	0.326
disgust	одвратност	0.052	0.775	0.317
disgusted	згрозени	0.051	0.773	0.274
disgusting	одвратно	0.031	0.796	0.245
dish	јадење	0.552	0.255	0.264
disheartened	обесхрабрени	0.153	0.343	0.238
disheartening	разочарување	0.010	0.353	0.224
dishonest	нечесен	0.191	0.491	0.163
dishonesty	нечесност	0.094	0.592	0.348
dishonor	срамно	0.104	0.620	0.185
dishonorable	нечесен	0.112	0.641	0.280
dishwasher	машина за миење садови	0.480	0.296	0.324
disillusionment	разочарување	0.051	0.519	0.190
disinclination	недискриминација	0.125	0.491	0.330
disincline	disincline	0.458	0.454	0.278
disinclined	нескротлив	0.385	0.442	0.364
disinfect	дезинфицира	0.448	0.388	0.648
disinfectant	средство за дезинфекција	0.531	0.429	0.460
disinfection	дезинфекција	0.517	0.556	0.473
disinformation	дезинформација	0.230	0.577	0.260
disingenuous	неискрен	0.194	0.509	0.204
disintegrate	се распадне	0.143	0.660	0.364
disintegration	дезинтеграција	0.094	0.551	0.381
disinterested	незаинтересирани	0.398	0.284	0.392
disjoint	неповрзани	0.351	0.385	0.322
disjointed	неповрзани	0.323	0.518	0.365
disjunctive	дисјугентен	0.286	0.481	0.400
disk	диск	0.573	0.423	0.412
diskette	дискета	0.531	0.255	0.391
dislike	не им се допаѓаат	0.156	0.406	0.321
disliked	не му се допаѓа	0.062	0.510	0.221
disliking	не ми се допаѓа	0.163	0.637	0.366
dislocated	дислоциран	0.125	0.625	0.200
dislocation	дислокација	0.229	0.565	0.373
dislodge	исфрли	0.214	0.769	0.356
disloyal	нелојални	0.062	0.582	0.245
disloyalty	нелојалност	0.187	0.716	0.267
dismal	лош	0.194	0.450	0.192
dismantle	демонтирајте	0.347	0.644	0.462
dismay	разочарување	0.314	0.681	0.459
dismayed	уплашена	0.165	0.735	0.389
dismemberment	расчленување	0.104	0.860	0.470
dismiss	отфрли	0.167	0.541	0.509
dismissal	разрешување	0.153	0.723	0.271
dismissive	негативни	0.188	0.541	0.430
dismount	демонтирајте	0.361	0.423	0.391
disobedience	непослушност	0.051	0.868	0.369
disobedient	непослушен	0.276	0.706	0.353
disobey	непослушни	0.143	0.556	0.491
disorder	нарушување	0.115	0.816	0.218
disordered	растроено	0.210	0.714	0.288
disorderly	неуредно	0.188	0.748	0.385
disorganized	неорганизирано	0.052	0.507	0.184
disorientation	дезориентација	0.163	0.472	0.212
disoriented	дезориентирани	0.227	0.643	0.227
disown	отфрли	0.153	0.637	0.368
disparage	омаловажување	0.092	0.663	0.336
disparaging	омаловажувачки	0.102	0.626	0.411
disparate	различно	0.438	0.500	0.368
disparity	диспаритет	0.208	0.482	0.361
dispassionate	непристрасен	0.199	0.217	0.218
dispatch	испраќање	0.317	0.417	0.555
dispatcher	диспечер	0.365	0.704	0.652
dispel	отфрли	0.388	0.402	0.411
dispensary	диспанзер	0.406	0.380	0.606
dispensation	ослободување	0.388	0.462	0.490
dispense	раздавам	0.561	0.520	0.518
dispenser	диспензерот	0.583	0.392	0.470
dispersal	расфрлање	0.388	0.507	0.421
disperse	растера	0.375	0.569	0.434
dispersed	дисперзирани	0.344	0.490	0.274
dispersion	дисперзија	0.270	0.604	0.350
dispirited	разочарани	0.204	0.280	0.142
displace	измените	0.424	0.541	0.454
displaced	раселени	0.281	0.472	0.291
displacement	поместување	0.276	0.531	0.481
displacency	поместување	0.500	0.528	0.642
display	дисплеј	0.677	0.325	0.400
displease	не се задоволни	0.021	0.702	0.286
displeased	незадоволен	0.135	0.690	0.400
displeasure	незадоволство	0.115	0.559	0.250
disposable	за еднократна употреба	0.271	0.439	0.250
disposal	отстранување	0.135	0.608	0.396
dispose	располага	0.548	0.538	0.559
disposed	отстранува	0.688	0.441	0.625
disposition	диспозиција	0.663	0.542	0.734
dispossessed	отфрлен	0.354	0.577	0.331
disprove	негира	0.375	0.625	0.613
dispute	спор	0.219	0.750	0.585
disqualification	дисквалификација	0.066	0.677	0.330
disqualified	дисквалификуван	0.129	0.464	0.232
disqualify	дисквалификува	0.208	0.595	0.267
disquieted	вознемирен	0.229	0.850	0.290
disregard	непочитување	0.177	0.647	0.308
disregarded	игнорирани	0.260	0.458	0.283
