Word	Swahili-sw	Valence	Arousal	Dominance
butane	butane	0.442	0.483	0.380
butcher	mchezaji	0.500	0.575	0.608
butler	mchungaji	0.469	0.225	0.438
butt	kitako	0.347	0.725	0.336
butter	siagi	0.650	0.292	0.202
buttercup	buttercup	0.562	0.482	0.422
butterfly	kipepeo	0.892	0.327	0.314
buttermilk	siagi	0.633	0.311	0.304
butterscotch	butterscotch	0.708	0.510	0.356
buttery	buttery	0.625	0.318	0.303
buttock	kitambaa	0.429	0.600	0.288
buttocks	vifungo	0.458	0.677	0.365
button	kifungo	0.520	0.220	0.343
buttress	buttress	0.438	0.684	0.721
buxom	buxom	0.562	0.719	0.547
buy	kununua	0.771	0.769	0.612
buyer	mnunuzi	0.613	0.519	0.649
buying	kununua	0.665	0.784	0.589
buzz	buzz	0.333	0.686	0.375
buzzard	buzzard	0.350	0.500	0.225
buzzed	buzzed	0.583	0.549	0.448
buzzer	buzzer	0.549	0.716	0.480
buzzing	buzzing	0.430	0.588	0.370
bye	bye	0.375	0.398	0.321
bygone	ilishuka	0.229	0.310	0.315
bylaw	sheria	0.469	0.373	0.725
byline	onyesha	0.469	0.450	0.435
bypass	bypass	0.429	0.418	0.353
bystander	mwangalizi	0.480	0.462	0.491
byte	tote	0.490	0.380	0.407
byzantine	byzantine	0.546	0.443	0.492
cab	cab	0.438	0.490	0.421
cabal	cabal	0.500	0.406	0.573
cabana	cabana	0.698	0.296	0.407
cabaret	cabaret	0.677	0.656	0.482
cabbage	kabichi	0.398	0.225	0.264
cabbie	cabbie	0.521	0.417	0.429
cabernet	cabernet	0.543	0.420	0.480
cabin	cabin	0.643	0.292	0.430
cabinet	baraza la mawaziri	0.552	0.306	0.465
cable	cable	0.583	0.245	0.434
caboodle	caboodle	0.529	0.521	0.325
caboose	caboose	0.440	0.453	0.438
cabriolet	cabriolet	0.667	0.525	0.472
cache	cache	0.552	0.348	0.389
cacophony	cacophony	0.408	0.562	0.440
cactus	cactus	0.439	0.412	0.284
cad	cad	0.447	0.406	0.404
cadaver	mchezaji	0.030	0.690	0.260
caddie	NO TRANSLATION	0.521	0.435	0.259
caddy	caddy	0.580	0.470	0.380
cadence	upepo	0.427	0.473	0.355
cadet	cadet	0.504	0.393	0.664
cafe	cafe	0.781	0.392	0.358
cafeteria	mkahawa	0.757	0.400	0.382
caffeine	caffeine	0.562	0.759	0.500
cage	ngome	0.316	0.333	0.352
cagey	cagey	0.542	0.363	0.582
cahoots	viboko	0.312	0.696	0.474
cairn	cairn	0.260	0.435	0.254
cake	keki	0.810	0.375	0.287
cakewalk	cakewalk	0.719	0.510	0.447
calamari	calamari	0.521	0.312	0.406
calamitous	msiba	0.219	0.685	0.500
calamity	msiba	0.122	0.795	0.343
calcareous	calcareous	0.490	0.368	0.462
calcium	kalsiamu	0.600	0.346	0.479
calculate	hesabu	0.490	0.452	0.440
calculated	mahesabu	0.633	0.425	0.683
calculating	kuhesabu	0.458	0.430	0.625
calculation	hesabu	0.646	0.453	0.606
calculator	calculator	0.513	0.283	0.588
calculus	mahesabu	0.360	0.360	0.562
calendar	Kalenda	0.480	0.212	0.473
calender	NO TRANSLATION	0.531	0.275	0.451
calf	ndama	0.531	0.366	0.336
caliber	caliber	0.429	0.551	0.606
calibrate	calibrate	0.552	0.460	0.623
calico	calico	0.406	0.338	0.491
calipers	wahalifu	0.480	0.510	0.481
calisthenics	calisthenics	0.562	0.663	0.545
call	wito	0.594	0.627	0.558
callback	nipigie	0.524	0.529	0.434
caller	mpiga simu	0.646	0.615	0.472
calligraphy	kisasa	0.620	0.216	0.500
calling	wito	0.646	0.590	0.483
callous	Wasio	0.245	0.500	0.386
calls	wito	0.608	0.431	0.551
calm	utulivu	0.875	0.100	0.282
calming	kutuliza	0.885	0.105	0.360
calmness	utulivu	0.934	0.105	0.394
caloric	caloric	0.327	0.483	0.448
calorie	kalori	0.333	0.540	0.427
calorimeter	calorimeter	0.406	0.560	0.414
cam	cam	0.448	0.363	0.355
camaraderie	ushirika	0.833	0.510	0.648
camber	kamera	0.430	0.382	0.439
camcorder	camcorder	0.556	0.422	0.454
camel	ngamia	0.540	0.282	0.314
cameo	alikuja	0.573	0.457	0.509
camera	kamera	0.640	0.288	0.379
cameraman	kamera	0.542	0.452	0.542
camisole	camisole	0.497	0.250	0.375
camouflage	camouflage	0.438	0.585	0.450
camouflaged	NO TRANSLATION	0.350	0.422	0.562
camp	kambi	0.622	0.617	0.594
campaign	kampeni	0.602	0.730	0.823
campaigner	kampeni	0.592	0.698	0.821
campaigning	kampeni	0.531	0.663	0.741
camper	kambi	0.573	0.529	0.482
campfire	moto wa moto	0.677	0.509	0.436
camping	kambi	0.653	0.529	0.480
campsite	kambi	0.680	0.490	0.547
campus	chuo	0.604	0.388	0.519
can	unaweza	0.662	0.360	0.454
can opener	Inaweza kufungua	0.444	0.491	0.308
canal	mfereji	0.673	0.259	0.321
canary	canary	0.582	0.276	0.265
cancel	kufuta	0.214	0.306	0.368
canceling	kufuta	0.229	0.470	0.349
cancellation	kufuta	0.224	0.431	0.389
cancer	kansa	0.052	0.694	0.529
candid	mgombea	0.667	0.349	0.458
candidacy	ugombea	0.490	0.657	0.696
candidate	mgombea	0.596	0.490	0.804
candied	kupendezwa	0.713	0.330	0.360
candle	mshumaa	0.602	0.221	0.344
candlelight	mshumaa	0.789	0.294	0.417
candles	mishumaa	0.615	0.206	0.268
candlestick	kinara cha taa	0.448	0.531	0.534
candor	msamaha	0.740	0.389	0.607
candy	pipi	0.930	0.425	0.384
cane	miwa	0.459	0.298	0.398
canine	canine	0.573	0.569	0.425
canister	canister	0.553	0.271	0.403
canker	mchezaji	0.262	0.469	0.427
cannabis	cannabis	0.271	0.500	0.564
canned	makopo	0.398	0.357	0.298
cannibal	cannibal	0.122	0.824	0.480
cannibalism	uharibifu	0.094	0.890	0.583
canning	kupiga	0.490	0.392	0.259
cannon	kanuni	0.529	0.676	0.811
cannonball	cannonball	0.344	0.840	0.759
canoe	baharini	0.542	0.300	0.418
canon	canon	0.385	0.519	0.541
canonical	kisheria	0.542	0.410	0.620
canons	canons	0.385	0.588	0.593
canopy	kamba	0.615	0.264	0.398
cantaloupe	cantaloupe	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	canteen	0.688	0.600	0.514
canterbury	canterbury	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	cantilever	0.357	0.618	0.421
cantina	cantina	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	canton	0.542	0.472	0.536
cantstandit	NO TRANSLATION	0.418	0.546	0.343
cantwin	cantwin	0.260	0.509	0.298
canvas	canvas	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	korongo	0.468	0.731	0.634
cap	cap	0.612	0.240	0.375
capability	uwezo	0.833	0.571	0.730
capable	uwezo	0.765	0.587	0.547
capacity	uwezo	0.719	0.411	0.806
cape	cape	0.531	0.235	0.357
caper	caper	0.510	0.370	0.326
capillary	capillary	0.469	0.365	0.395
capital	mji mkuu	0.520	0.500	0.798
capitalism	ubepari	0.448	0.686	0.848
capitalist	kibepari	0.352	0.577	0.821
capitalize	capitalize	0.771	0.601	0.885
capitals	miji mikuu	0.755	0.500	0.655
capitation	capiting	0.479	0.529	0.589
capitol	capitol	0.535	0.375	0.705
capitulation	kutawala	0.375	0.546	0.615
cappuccino	cappuccino	0.792	0.279	0.384
caprice	caprice	0.333	0.640	0.430
capricious	hazipatikani	0.221	0.650	0.500
caps	kofia	0.510	0.221	0.368
capslock	herufi kubwa	0.330	0.394	0.398
capsule	capsule	0.583	0.290	0.570
captain	nahodha	0.552	0.653	0.966
caption	maelezo	0.814	0.292	0.379
captivate	captivate	0.698	0.604	0.723
captivating	kuvutia	0.895	0.594	0.816
captive	mateka	0.235	0.558	0.411
captivity	uhamisho	0.225	0.493	0.387
captor	captor	0.347	0.625	0.612
capture	kukamata	0.357	0.650	0.537
car	gari	0.776	0.540	0.500
caramel	caramel	0.901	0.363	0.400
carat	carat	0.823	0.604	0.676
caravan	msafara	0.635	0.559	0.455
carbon	kaboni	0.604	0.360	0.350
carburetor	carburetor	0.469	0.612	0.555
carcass	mzoga	0.115	0.529	0.309
carcinoma	carcinoma	0.153	0.692	0.440
card	kadi	0.531	0.269	0.436
cardboard	kadibodi	0.500	0.173	0.309
cardiac	moyo	0.344	0.765	0.615
cardigan	cardigan	0.599	0.324	0.264
cardinal	kardinali	0.583	0.358	0.712
cardiologist	mwanasaikolojia	0.458	0.630	0.814
cardiology	cardiology	0.203	0.545	0.605
cardiomyopathy	cardiomyopathy	0.177	0.645	0.537
cards	kadi	0.568	0.317	0.320
care	huduma	0.729	0.370	0.500
career	kazi	0.740	0.712	0.606
carefree	wasiwasi	0.755	0.220	0.500
careful	makini	0.625	0.538	0.530
carefully	kwa makini	0.698	0.330	0.544
careless	bila kujali	0.255	0.431	0.125
carelessness	kutojali	0.245	0.482	0.330
caress	caress	0.833	0.418	0.509
caret	huduma	0.656	0.402	0.527
caretaker	mlezi	0.714	0.531	0.759
cargo	mizigo	0.408	0.444	0.455
caribou	caribou	0.562	0.452	0.342
caricature	caricature	0.604	0.373	0.383
caries	husababisha	0.115	0.569	0.283
caring	kujali	0.635	0.469	0.500
carjack	gunia	0.438	0.682	0.439
carnage	mauaji	0.406	0.600	0.558
carnal	kimwili	0.417	0.679	0.421
carnation	mauaji	0.653	0.357	0.431
carnival	carnival	0.927	0.888	0.555
carnivorous	wenyeji	0.224	0.613	0.651
carol	carol	0.673	0.412	0.436
carols	carols	0.847	0.420	0.491
carousel	jukwa	0.704	0.500	0.412
carp	kamba	0.531	0.324	0.375
carpal	carpal	0.449	0.327	0.420
carpenter	mpangaji	0.521	0.550	0.519
carpentry	uchongaji	0.561	0.459	0.518
carpet	carpet	0.520	0.170	0.339
carpeting	kupiga	0.542	0.312	0.444
carpool	carpool	0.625	0.509	0.500
carriage	gari	0.650	0.538	0.491
carried	kufanyika	0.490	0.382	0.534
carrier	carrier	0.533	0.588	0.638
carrot	karoti	0.500	0.235	0.279
carry	kubeba	0.635	0.380	0.500
carrying	kubeba	0.656	0.557	0.443
carsick	magariick	0.224	0.574	0.255
cart	gari	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	cartel	0.438	0.394	0.602
carter	carter	0.312	0.480	0.431
cartilage	cartilage	0.438	0.370	0.407
cartographic	cartographic	0.490	0.348	0.424
cartography	kupiga picha	0.520	0.300	0.579
carton	carton	0.286	0.186	0.241
cartoon	cartoon	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	cartridge	0.458	0.500	0.407
carve	Chonga	0.469	0.443	0.598
carver	mpigaji	0.418	0.500	0.500
carving	kuchora	0.541	0.444	0.368
cascade	tamaa	0.735	0.509	0.395
case	kesi	0.427	0.275	0.441
casein	casein	0.470	0.436	0.415
cash	fedha	0.867	0.552	0.714
cashier	cashier	0.615	0.413	0.484
cashmere	cashmere	0.653	0.452	0.439
casing	casing	0.458	0.327	0.328
casino	casino	0.542	0.684	0.568
cask	cask	0.490	0.398	0.444
casket	casket	0.125	0.490	0.346
casserole	casserole	0.570	0.360	0.328
cassette	kanda	0.490	0.334	0.355
cast	kutupwa	0.558	0.620	0.517
castaway	kutupwa mbali	0.208	0.646	0.422
caste	piga	0.510	0.333	0.374
caster	caster	0.604	0.670	0.647
castle	ngome	0.680	0.396	0.718
castor	castor	0.583	0.337	0.368
castrate	castrate	0.177	0.485	0.519
castration	kutupwa	0.198	0.735	0.381
casual	kawaida	0.643	0.224	0.385
casually	kwa kawaida	0.658	0.290	0.333
casualty	majeruhi	0.235	0.274	0.132
cat	paka	0.667	0.260	0.370
catabolism	catabolism	0.265	0.573	0.605
catalog	orodha	0.561	0.221	0.573
catalogue	orodha	0.647	0.327	0.533
catalysis	catalysis	0.385	0.559	0.531
catalyst	kichocheo	0.604	0.509	0.585
catalytic	kichocheo	0.562	0.519	0.563
catamaran	catamarani	0.571	0.566	0.526
catapult	manati	0.480	0.830	0.649
cataract	cataract	0.406	0.545	0.549
catastrophe	janga	0.146	0.952	0.670
catastrophic	janga	0.071	0.934	0.598
catatonic	catatonic	0.255	0.500	0.509
catch	catch	0.531	0.437	0.552
catcher	mchezaji	0.653	0.413	0.540
catching	kuambukizwa	0.490	0.788	0.644
catchphrase	catchphrase	0.698	0.423	0.433
catchy	kuvutia	0.677	0.441	0.462
catechism	Katekisimu	0.656	0.236	0.613
categorical	kikundi	0.615	0.442	0.760
category	kikundi	0.571	0.264	0.521
cater	kuhudumia	0.802	0.500	0.509
caterer	mpataji	0.550	0.557	0.644
caterpillar	kiwa	0.461	0.286	0.330
cates	matangazo	0.370	0.394	0.407
catfish	samaki	0.458	0.337	0.296
cathartic	cathartic	0.450	0.510	0.604
cathedral	kanisa kuu	0.598	0.330	0.643
catheter	catheter	0.336	0.491	0.373
catholic	katoliki	0.646	0.240	0.575
cathouse	cathouse	0.327	0.375	0.363
catnip	kunyakua	0.439	0.381	0.296
cattle	ng'ombe	0.622	0.340	0.445
catwalk	panga	0.698	0.436	0.464
caucus	caucus	0.418	0.311	0.491
caudal	caudal	0.500	0.425	0.583
cauldron	chupa	0.510	0.486	0.418
cauliflower	kibolili	0.448	0.255	0.231
caulk	caulk	0.367	0.500	0.418
causal	causal	0.562	0.367	0.491
causality	sababu	0.500	0.378	0.336
causation	sababu	0.562	0.480	0.567
cause	kusababisha	0.469	0.373	0.486
caused	unasababishwa	0.344	0.520	0.382
causeway	barabara	0.453	0.382	0.422
caution	tahadhari	0.552	0.712	0.547
cautionary	tahadhari	0.510	0.541	0.519
cautious	tahadhari	0.470	0.445	0.517
cautiously	tahadhari	0.510	0.388	0.525
cavalier	mpiganaji	0.735	0.462	0.713
cavalry	farasi	0.667	0.727	0.794
cave	pango	0.459	0.333	0.380
caveat	pango	0.344	0.629	0.484
caveman	caveman	0.235	0.644	0.482
cavern	cavern	0.323	0.360	0.365
cavernous	cavernous	0.354	0.548	0.462
caviar	caviar	0.906	0.394	0.481
caving	kuokoa	0.378	0.491	0.551
cavity	cavity	0.466	0.385	0.379
cayenne	cayenne	0.615	0.306	0.355
cease	kusitisha	0.388	0.250	0.420
ceasefire	kusitisha moto	0.542	0.594	0.567
ceaseless	imekoma	0.378	0.704	0.658
cedar	mwerezi	0.560	0.267	0.577
cede	cede	0.275	0.327	0.402
ceiling	dari	0.520	0.224	0.366
celebrant	kusherehekea	0.865	0.656	0.643
celebrate	kusherehekea	0.917	0.857	0.859
celebrated	sherehe	0.875	0.690	0.763
celebrating	kusherehekea	0.927	0.860	0.773
celebration	sherehe	0.939	0.824	0.880
celebrations	maadhimisho	0.958	0.794	0.714
celebratory	sherehe	0.857	0.653	0.845
celebrity	mtu Mashuhuri	0.760	0.619	0.855
celery	celery	0.396	0.147	0.223
celestial	mbinguni	0.817	0.360	0.731
celibacy	upandaji	0.302	0.276	0.509
celibate	kamba	0.419	0.387	0.391
cell	kiini	0.541	0.375	0.465
cellar	pishi	0.510	0.277	0.406
cellblock	kizuizi	0.186	0.570	0.500
cellist	kiini	0.667	0.500	0.486
cellmate	tumia	0.167	0.684	0.349
cello	cello	0.635	0.324	0.528
cellophane	cellophane	0.648	0.282	0.289
cellular	simu	0.643	0.398	0.517
cellulite	cellulite	0.200	0.384	0.256
celluloid	celluloid	0.469	0.440	0.425
cement	saruji	0.544	0.265	0.527
cemented	saruji	0.429	0.382	0.537
cemetery	makaburi	0.051	0.630	0.417
censor	censor	0.344	0.276	0.538
censorship	udhibiti	0.219	0.698	0.421
censure	censure	0.219	0.653	0.417
census	sensa	0.449	0.289	0.553
cent	cent	0.439	0.367	0.402
centenary	centenary	0.604	0.440	0.642
centennial	centennial	0.583	0.394	0.700
center	kituo	0.643	0.231	0.431
centerfold	kuingilia kati	0.571	0.407	0.485
centerpiece	kituo cha katikati	0.594	0.208	0.520
centimeter	sentimita	0.427	0.280	0.380
centipede	centipede	0.296	0.399	0.361
central	kati	0.640	0.356	0.621
centrality	centrality	0.571	0.312	0.709
centralization	centralization	0.521	0.440	0.702
centralize	kuzingatia	0.684	0.427	0.802
centrally	katikati	0.729	0.280	0.700
centrifugal	centrifugal	0.306	0.651	0.480
centrifuge	centrifuge	0.495	0.622	0.527
centurion	centurion	0.590	0.447	0.696
century	karne	0.407	0.347	0.735
ceramic	kauri	0.521	0.255	0.371
ceramics	keramik	0.573	0.250	0.373
cereal	nafaka	0.612	0.206	0.316
cereals	nafaka	0.719	0.224	0.311
cerebral	ubongo	0.408	0.509	0.627
ceremonial	sherehe	0.771	0.540	0.691
ceremony	sherehe	0.760	0.559	0.761
certain	fulani	0.760	0.358	0.673
certainty	uhakika	0.781	0.400	0.769
certifiable	kuthibitishwa	0.714	0.427	0.662
certificate	cheti	0.786	0.377	0.746
certified	kuthibitishwa	0.781	0.422	0.806
certify	kuthibitisha	0.866	0.400	0.746
cervical	kizazi	0.375	0.413	0.445
cervix	kizazi	0.429	0.360	0.340
cess	cess	0.427	0.375	0.406
cessation	kukoma	0.414	0.385	0.358
cesspool	cesspool	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	makapi	0.333	0.327	0.188
chafing	chafing	0.430	0.415	0.368
chagrin	chagrin	0.104	0.704	0.472
chagrined	kuadhibiwa	0.112	0.745	0.361
chai	chai	0.500	0.375	0.363
chain	mnyororo	0.378	0.500	0.547
chainsaw	chainsaw	0.367	0.804	0.636
chair	mwenyekiti	0.562	0.082	0.276
chairman	mwenyekiti	0.656	0.567	0.933
chairperson	mwenyekiti	0.730	0.657	0.966
chairwoman	mwenyekiti	0.719	0.664	0.953
chaise	chaise	0.406	0.349	0.327
chalet	kambi	0.653	0.349	0.278
chalice	chalice	0.633	0.286	0.529
chalk	chaki	0.385	0.185	0.121
challenge	changamoto	0.469	0.922	0.713
challenger	mpinzani	0.417	0.755	0.652
chamber	chumba	0.583	0.373	0.455
chambermaid	chambermaid	0.594	0.375	0.336
chambers	vyumba	0.542	0.442	0.388
chameleon	chameleon	0.490	0.580	0.345
champ	shamba	0.854	0.754	0.896
champagne	champagne	0.760	0.600	0.454
champion	bingwa	0.890	0.880	0.945
championship	michuano	0.833	0.800	0.880
chance	nafasi	0.833	0.551	0.525
chancellor	Kansela	0.646	0.500	0.887
chandelier	chandelier	0.615	0.542	0.366
chandler	chandler	0.510	0.452	0.454
change	mabadiliko	0.625	0.575	0.606
changeable	kubadilika	0.490	0.480	0.528
changed	iliyopita	0.594	0.375	0.491
changer	kubadilisha	0.583	0.519	0.567
changing	kubadilisha	0.571	0.569	0.461
channel	kituo	0.490	0.287	0.405
chant	mimba	0.771	0.698	0.650
chaos	machafuko	0.016	0.923	0.373
chaotic	machafuko	0.115	0.847	0.442
chap	chap	0.550	0.410	0.345
chapel	chapel	0.573	0.240	0.440
chaperon	kiongozi	0.500	0.520	0.404
chaplain	mwalimu	0.582	0.370	0.577
chapman	chapman	0.562	0.529	0.465
chaps	chaps	0.350	0.462	0.350
chapter	sura	0.580	0.308	0.461
char	char	0.554	0.361	0.404
character	tabia	0.667	0.373	0.686
characteristic	tabia	0.583	0.328	0.538
characterize	tabia	0.729	0.471	0.735
charade	mchezaji	0.458	0.550	0.346
charcoal	mkaa	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	malipo	0.510	0.633	0.785
chargeable	inayoweza kulipwa	0.551	0.550	0.453
charger	Chaja	0.531	0.418	0.545
chariot	gari	0.684	0.550	0.491
charisma	charisma	0.938	0.591	0.759
charismatic	charismatic	0.938	0.684	0.849
charitable	misaada	0.865	0.380	0.593
charity	upendo	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	charm	0.833	0.363	0.649
charmed	imefungwa	0.938	0.570	0.769
charmer	mpangaji	0.882	0.683	0.782
charming	haibadilika	0.917	0.660	0.764
charred	ilipangwa	0.208	0.676	0.373
chart	chati	0.469	0.317	0.330
charter	mkataba	0.677	0.382	0.518
chartered	iliyopangwa	0.569	0.460	0.490
chase	kufuata	0.396	0.878	0.623
chased	kufukuzwa	0.188	0.830	0.287
chaser	chaser	0.375	0.830	0.645
chasm	shimo	0.265	0.579	0.500
chassis	chasisi	0.406	0.342	0.444
chaste	safi	0.408	0.248	0.453
chastened	aliadhibiwa	0.156	0.580	0.345
chastisement	adhabu	0.156	0.852	0.462
chastity	usafi	0.469	0.392	0.509
chat	sungumza	0.729	0.400	0.346
chateau	chateau	0.615	0.464	0.702
chatter	chatter	0.560	0.450	0.347
chatterbox	lebo ya mazungumzo	0.459	0.548	0.482
chattering	kuzungumza	0.460	0.663	0.304
chatty	chatty	0.594	0.548	0.345
chauffeur	mkufunzi	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	nafuu	0.612	0.471	0.272
cheapened	haipatikani	0.471	0.611	0.282
cheapskate	nafuu	0.148	0.482	0.327
cheat	kudanganya	0.125	0.776	0.400
cheater	kusita	0.104	0.920	0.333
check	angalia	0.523	0.552	0.602
checkbook	kijitabu	0.552	0.284	0.364
checker	kuangalia	0.330	0.417	0.553
checkered	checkered	0.459	0.316	0.336
checkers	checkers	0.676	0.451	0.437
checklist	orodha	0.561	0.521	0.552
checkmate	kuangalia	0.667	0.708	0.750
checkout	Angalia	0.597	0.510	0.670
checkpoint	kuangalia	0.571	0.323	0.812
checkup	kuchunguza	0.500	0.435	0.491
cheek	shavu	0.670	0.314	0.421
cheeks	mashavu	0.708	0.324	0.282
cheeky	cheeky	0.434	0.679	0.410
cheep	cheep	0.367	0.380	0.373
cheer	furaha	0.938	0.784	0.845
cheered	furaha	0.875	0.648	0.790
cheerful	furaha	0.990	0.720	0.696
cheerfulness	furaha	0.969	0.802	0.675
cheering	furaha	0.815	0.824	0.642
cheerleader	cheerleader	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	wasio na furaha	0.204	0.373	0.167
cheers	furaha	0.948	0.770	0.702
cheery	sherehe	0.949	0.657	0.486
cheese	jibini	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	cheesy	0.470	0.471	0.179
cheetah	cheta	0.469	0.770	0.667
chef	chef	0.854	0.411	0.570
chemical	kemikali	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	kemia	0.408	0.575	0.610
chemistry	kemia	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	chemotherapy	0.163	0.689	0.517
cheque	angalia	0.698	0.529	0.660
cherish	cherish	0.896	0.491	0.652
cherishing	kuvutia	0.836	0.380	0.625
cherry	cherry	0.688	0.186	0.250
cherub	kerubi	0.663	0.340	0.455
chess	chess	0.656	0.363	0.518
chest	kifua	0.520	0.429	0.481
chestnut	chestnut	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	kutafuna	0.520	0.490	0.404
chewy	chewy	0.625	0.418	0.390
chic	chic	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	kuku	0.771	0.602	0.387
chicken	kuku	0.594	0.306	0.394
chicken pox	tetekuwanga	0.194	0.510	0.415
chickenpox	tetekuwanga	0.173	0.562	0.357
chief	mkuu	0.520	0.544	0.869
chiefly	hasa	0.600	0.587	0.764
chieftain	kiongozi	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	mtoto	0.912	0.460	0.413
childbirth	kuzaa	0.604	0.861	0.673
childhood	utoto	0.865	0.413	0.307
childish	mtoto	0.573	0.442	0.230
childless	hawana watoto	0.310	0.400	0.396
childlike	kama mtoto	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	watoto	0.857	0.538	0.435
chili	pilipili	0.592	0.566	0.433
chill	tamaa	0.837	0.206	0.482
chilled	zimehifadhiwa	0.521	0.340	0.482
chilling	kuchia	0.208	0.850	0.358
chilly	hasira	0.329	0.459	0.408
chime	chime	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	chimes	0.625	0.490	0.402
chimney	chimney	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	chimpanzee	0.500	0.633	0.387
chin	kiti	0.571	0.310	0.269
china	China	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	Chip	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	kupiga	0.354	0.452	0.353
chiropractor	chiropractor	0.420	0.549	0.651
chirp	piga	0.469	0.602	0.365
chirping	kupiga	0.500	0.463	0.360
chisel	chisel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	chitchat	0.673	0.455	0.403
chivalry	chivalry	0.857	0.380	0.848
chloride	kloridi	0.265	0.387	0.474
chlorine	klorini	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	chokoleti	0.885	0.480	0.418
choice	uchaguzi	0.745	0.520	0.664
choir	chora	0.704	0.298	0.473
choke	kuvuta	0.167	0.788	0.676
cholera	kolera	0.020	0.867	0.507
cholesterol	cholesterol	0.198	0.583	0.398
choose	kuchagua	0.615	0.542	0.648
choosing	kuchagua	0.719	0.529	0.689
choosy	choosy	0.280	0.760	0.712
chop	kula	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	kupiga	0.560	0.625	0.362
chops	chops	0.612	0.420	0.269
choral	choral	0.852	0.290	0.421
chord	chord	0.729	0.394	0.539
chords	chords	0.639	0.406	0.388
chore	chore	0.406	0.462	0.500
choreographer	choreographer	0.646	0.639	0.625
choreography	choreography	0.812	0.750	0.547
chorus	chorus	0.620	0.417	0.500
chosen	waliochaguliwa	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	christ	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	christening	0.725	0.382	0.650
christian	Kikristo	0.760	0.241	0.591
christmas	Krismasi	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	Krismasi	0.837	0.588	0.515
chromatic	chromatic	0.407	0.413	0.435
chromatography	chromatografia	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	chromosomu	0.500	0.296	0.548
chronic	sugu	0.255	0.615	0.464
chronicle	mwandishi	0.427	0.571	0.586
chronograph	kronograph	0.500	0.392	0.529
chronological	kigeolojia	0.594	0.445	0.600
chubby	chubby	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	chuckle	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	chunk	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	kanisa	0.708	0.198	0.610
churchyard	kanisa la kanisa	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	sigara	0.306	0.463	0.346
cigarette	sigara	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
