Word	Finnish-fi	Valence	Arousal	Dominance
committal	passitus	0.472	0.519	0.582
committed	sitoutunut	0.710	0.542	0.712
committee	komitea	0.592	0.392	0.721
commodity	hyödyke	0.615	0.394	0.537
commodore	kommodori	0.427	0.530	0.636
common	yhteinen	0.600	0.127	0.318
commoner	aateliton	0.448	0.365	0.327
commonly	yleisesti	0.604	0.170	0.574
commonplace	arkipäiväinen	0.520	0.337	0.442
commons	commons	0.633	0.396	0.623
commonwealth	kansainyhteisön	0.630	0.406	0.702
commotion	hälinä	0.490	0.700	0.646
communal	yhteisöllinen	0.592	0.321	0.556
commune	kunta	0.500	0.488	0.655
communicable	tarttuva	0.796	0.491	0.623
communicate	tiedottaa	0.823	0.410	0.696
communication	viestintä	0.837	0.400	0.649
communicative	viestinnällinen	0.847	0.560	0.637
communicator	kommunikaattori	0.573	0.509	0.796
communion	yhteys	0.765	0.357	0.607
communism	kommunismi	0.264	0.570	0.623
communist	kommunistinen	0.265	0.702	0.632
community	Yhteisö	0.750	0.350	0.659
commutation	työmatkaliikenne	0.469	0.431	0.652
commutative	kommutatiivinen	0.667	0.442	0.569
commute	lieventää	0.622	0.582	0.565
commuter	työmatkalainen	0.646	0.520	0.512
comp	Comp	0.573	0.450	0.371
compact	kompakti	0.458	0.417	0.673
compaction	tiivistys	0.531	0.471	0.582
compactness	tiiviyttä	0.582	0.352	0.454
companion	kumppani	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	toveruus	0.833	0.438	0.792
company	yhtiö	0.906	0.425	0.798
comparable	vertailukelpoinen	0.562	0.443	0.458
comparative	vertaileva	0.470	0.273	0.562
comparatively	verrattain	0.604	0.391	0.538
compare	vertailla	0.552	0.408	0.524
comparison	vertailu	0.583	0.456	0.492
compartment	lokero	0.500	0.389	0.607
compass	kompassi	0.541	0.307	0.529
compassion	myötätunto	0.735	0.258	0.509
compassionate	myötätuntoinen	0.857	0.404	0.411
compatibility	yhteensopivuus	0.816	0.450	0.673
compatible	yhteensopiva	0.892	0.387	0.638
compel	pakottaa	0.200	0.847	0.625
compelled	pakko	0.333	0.654	0.347
compelling	pakottava	0.698	0.570	0.870
compendium	tiivistelmä	0.610	0.461	0.537
compensate	hyvittää	0.612	0.429	0.762
compensation	korvaus	0.775	0.469	0.598
compensatory	korvaavia	0.589	0.490	0.700
compete	kilpailla	0.573	0.745	0.786
competence	pätevyys	0.615	0.802	0.823
competency	pätevyys	0.768	0.775	0.764
competent	pätevä	0.865	0.560	0.904
competition	kilpailu	0.580	0.790	0.798
competitive	kilpailukykyinen	0.447	0.718	0.908
competitor	kilpailija	0.612	0.959	0.861
compilation	kokoelma	0.530	0.512	0.606
compile	koota	0.600	0.413	0.519
complacency	omahyväisyys	0.604	0.503	0.519
complacent	omahyväinen	0.625	0.452	0.518
complain	kannella	0.143	0.682	0.360
complaint	valitus	0.143	0.606	0.281
complement	täydentää	0.760	0.277	0.600
complementary	täydentävä	0.714	0.320	0.586
complete	saattaa loppuun	0.750	0.414	0.809
completed	valmistunut	0.823	0.357	0.777
completely	täysin	0.730	0.370	0.690
completeness	täydellisyys	0.823	0.433	0.769
completing	Suoritettuaan	0.614	0.500	0.769
completion	valmistuminen	0.656	0.470	0.525
complex	monimutkainen	0.388	0.608	0.550
complexed	kompleksoitu	0.312	0.577	0.612
complexion	ihonväri	0.521	0.520	0.380
complexity	monimutkaisuus	0.479	0.620	0.595
compliance	noudattaminen	0.750	0.462	0.750
compliant	mukautuva	0.677	0.310	0.519
complicate	hankaloittaa	0.210	0.657	0.404
complicated	monimutkainen	0.211	0.660	0.455
complication	komplikaatio	0.365	0.726	0.330
complicity	rikoskumppanuus	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	ilmainen	0.823	0.413	0.435
comply	täytettävä	0.806	0.370	0.638
complying	täyttävät	0.729	0.423	0.590
compo	Compo	0.500	0.346	0.390
component	komponentti	0.531	0.382	0.525
compose	säveltää	0.639	0.432	0.694
composed	kokoonpanossa	0.684	0.385	0.682
composer	säveltäjä	0.822	0.588	0.691
composite	yhdistelmä	0.591	0.459	0.620
composition	sävellys	0.765	0.408	0.652
compost	komposti	0.480	0.404	0.441
composure	maltti	0.802	0.354	0.717
compound	yhdiste	0.635	0.385	0.735
comprehend	ymmärtää	0.875	0.365	0.689
comprehension	ymmärtäminen	0.908	0.387	0.688
comprehensive	kattava	0.796	0.385	0.644
compress	puristaa	0.406	0.412	0.460
compressed	tiivistetty	0.323	0.396	0.388
compressible	puristuva	0.622	0.392	0.585
compression	puristus	0.646	0.521	0.579
compressor	kompressori	0.418	0.481	0.630
comprise	käsittää	0.839	0.373	0.669
compromise	vaarantaa	0.677	0.520	0.805
comptroller	tilintarkastaja	0.402	0.481	0.866
compulsion	pakko	0.118	0.760	0.604
compulsive	pakonomainen	0.347	0.871	0.573
compulsory	pakollinen	0.343	0.541	0.791
computable	laskettavissa	0.570	0.402	0.545
computation	laskeminen	0.583	0.429	0.697
compute	laskea	0.531	0.408	0.564
computer	tietokone	0.802	0.356	0.639
computerized	tietokoneistettu	0.677	0.450	0.657
computing	tietojenkäsittely	0.745	0.398	0.695
comrade	toveri	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	ketju	0.480	0.593	0.539
concave	kovera	0.441	0.349	0.349
conceal	salata	0.312	0.436	0.306
concealed	piilotettu	0.344	0.363	0.352
concealment	salaaminen	0.302	0.570	0.390
concede	myöntää	0.670	0.324	0.473
conceit	itserakkaus	0.354	0.625	0.309
conceited	omahyväinen	0.194	0.667	0.473
conceivable	mahdollinen	0.730	0.350	0.613
conceive	ajatella	0.708	0.538	0.700
concentrate	keskittää	0.750	0.439	0.743
concentration	keskittyminen	0.735	0.500	0.722
concentric	samankeskinen	0.730	0.479	0.635
concept	konsepti	0.573	0.265	0.632
conception	käsitys	0.694	0.490	0.614
concern	koskea	0.250	0.734	0.463
concerned	huolestunut	0.292	0.698	0.350
concert	konsertti	0.938	0.867	0.718
concerto	konsertto	0.613	0.759	0.679
concession	myönnytys	0.588	0.423	0.615
concessional	ehdoin	0.770	0.493	0.657
conch	kotilo	0.583	0.306	0.339
concierge	portinvartija	0.480	0.343	0.343
conciliation	sovittelu	0.792	0.475	0.726
concise	suppea	0.583	0.298	0.620
conclave	konklaavi	0.573	0.440	0.611
conclude	solmia	0.530	0.267	0.679
concluding	päätös-	0.531	0.382	0.603
conclusion	johtopäätös	0.615	0.377	0.659
conclusive	ratkaiseva	0.500	0.427	0.745
concoction	keitos	0.448	0.459	0.417
concomitant	liittyvä	0.427	0.482	0.727
concord	sopu	0.677	0.320	0.586
concordance	konkordanssin	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	väenpaljous	0.740	0.657	0.528
concrete	betoni	0.633	0.420	0.547
concubine	jalkavaimo	0.388	0.594	0.476
concur	yhtyä	0.459	0.394	0.429
concurrence	suostumus	0.764	0.627	0.613
concurrent	samanaikainen	0.573	0.547	0.741
concurring	concurring	0.573	0.600	0.681
concussion	aivotärähdys	0.072	0.708	0.482
condemn	tuomita	0.102	0.793	0.625
condemnation	tuomitseminen	0.133	0.725	0.449
condensation	tiivistyminen	0.510	0.316	0.538
condensed	tiivistyneen	0.598	0.415	0.623
condescending	alentuva	0.583	0.363	0.593
condescension	alentuvaisuus	0.521	0.377	0.565
condiment	mauste	0.520	0.333	0.433
condition	kunto	0.500	0.469	0.519
conditional	ehdollinen	0.521	0.343	0.556
conditionally	ehdollisesti	0.396	0.419	0.617
conditioned	loppukäsitellyn	0.490	0.417	0.616
conditioner	hoitoaine	0.781	0.360	0.538
conditioning	ilmastointi	0.440	0.468	0.617
conditions	olosuhteet	0.551	0.441	0.593
condo	huoneisto	0.439	0.288	0.607
condolence	surunvalittelut	0.260	0.443	0.404
condolences	osanottonsa	0.198	0.480	0.288
condom	kondomi	0.406	0.637	0.500
condone	suvaita	0.571	0.441	0.619
condor	kondori	0.573	0.388	0.519
conducive	edistävä	0.775	0.479	0.679
conduct	käytös	0.453	0.510	0.750
conduction	johtuminen	0.530	0.557	0.717
conductivity	johtokyky	0.583	0.575	0.642
conductor	kapellimestari	0.677	0.663	0.621
conduit	putki	0.470	0.302	0.413
cone	kartio	0.417	0.208	0.343
confederacy	valtioliitto	0.590	0.541	0.736
confederate	liittoutunut	0.551	0.546	0.792
confederation	valtioliitto	0.663	0.404	0.830
confer	antaa	0.573	0.482	0.583
conference	konferenssi	0.688	0.615	0.606
confess	tunnustaa	0.360	0.712	0.431
confession	tunnustus	0.469	0.642	0.460
confessional	rippituoli	0.458	0.392	0.629
confessions	Confessions	0.325	0.538	0.658
confetti	konfetit	0.781	0.573	0.250
confidant	uskottu ystävä	0.837	0.633	0.631
confide	tunnustaa jklle	0.669	0.472	0.595
confidence	luottamus	0.959	0.276	0.943
confident	luottavainen	0.765	0.324	0.723
confidential	salassa pidettävä	0.643	0.471	0.761
confidentiality	luottamuksellisuus	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	kokoonpano	0.540	0.443	0.591
confine	rajoittaa	0.327	0.551	0.538
confined	rajoitettu	0.286	0.472	0.444
confinement	synnytys	0.333	0.656	0.520
confines	rajojen	0.396	0.386	0.542
confirm	vahvistaa	0.802	0.439	0.806
confirmation	vahvistus	0.812	0.480	0.692
confirmatory	Uudistettujen	0.656	0.500	0.683
confirmed	vahvistettu	0.760	0.490	0.764
confiscate	takavarikoida	0.250	0.625	0.482
confiscation	takavarikointi	0.208	0.706	0.586
conflagration	suurpalo	0.344	0.721	0.594
conflict	konflikti	0.335	0.906	0.471
conflicting	ristiriitainen	0.173	0.738	0.553
confluence	yhtymäkohta	0.677	0.598	0.565
conform	mukautua	0.479	0.380	0.375
conformance	vaatimustenmukaisuuden	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	yhdenmukaisuus	0.645	0.363	0.579
confound	hämmentää	0.347	0.529	0.333
confounded	kirottu	0.333	0.528	0.264
confront	kohdata	0.281	0.760	0.746
confrontation	yhteenotto	0.177	0.870	0.658
confuse	sekoittaa	0.100	0.580	0.270
confused	hämmentynyt	0.220	0.650	0.179
confusing	hämmentävä	0.229	0.690	0.222
confusion	sekaannus	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	samanhenkinen	0.820	0.412	0.620
congenital	synnynnäinen	0.448	0.434	0.427
congestion	ruuhka	0.271	0.654	0.491
conglomerate	monialayritys	0.500	0.500	0.838
conglomeration	rykelmä	0.541	0.720	0.670
congrats	Onnittelut	0.930	0.726	0.775
congratulate	onnitella	0.927	0.724	0.784
congratulation	onnittelu	0.948	0.780	0.717
congratulations	onnea	0.960	0.755	0.719
congratulatory	onnittelu-	0.959	0.616	0.689
congregate	kokoontua	0.653	0.530	0.733
congregation	seurakunta	0.561	0.490	0.700
congress	kongressi	0.449	0.444	0.857
congressional	kongressin	0.552	0.491	0.848
congressman	kansanedustaja	0.438	0.471	0.877
congruence	kongruenssi	0.656	0.472	0.577
conic	kartiomainen	0.510	0.368	0.379
conical	kartiomainen	0.490	0.422	0.471
conjecture	otaksuma	0.396	0.398	0.534
conjugal	aviollinen	0.698	0.510	0.688
conjugate	konjugaatti	0.583	0.420	0.467
conjugation	konjugaatio	0.479	0.429	0.582
conjunction	yhdessä	0.520	0.472	0.509
conjunctive	yhdistetyssä	0.487	0.444	0.639
conjure	loihtia	0.385	0.679	0.645
conjuring	loihtivat	0.224	0.653	0.694
conk	nenä	0.340	0.469	0.404
connect	kytkeä	0.724	0.299	0.536
connected	kytketty	0.816	0.550	0.612
connection	yhteys	0.729	0.560	0.655
connective	yhdistävä	0.719	0.491	0.764
connoisseur	tuntija	0.760	0.461	0.769
conquer	valloittaa	0.694	0.873	0.971
conquering	valloittavat	0.760	0.873	0.936
conqueror	valloittaja	0.604	0.809	0.930
conquest	valloitus	0.710	0.702	0.833
conscience	omatunto	0.663	0.375	0.721
conscientious	tunnollinen	0.688	0.404	0.688
conscious	tajuissaan	0.740	0.333	0.705
consciousness	tajunta	0.840	0.483	0.755
conscription	asevelvollisuus	0.396	0.775	0.642
consecrated	siunattu	0.663	0.500	0.800
consecration	vihkiminen	0.771	0.418	0.804
consecutive	peräkkäinen	0.663	0.418	0.643
consensual	yhteisymmärrykseen	0.663	0.417	0.655
consensus	yhteisymmärrys	0.627	0.358	0.625
consent	suostumus	0.750	0.500	0.620
consenting	suostumuksensa	0.727	0.406	0.693
consequence	seuraus	0.240	0.721	0.593
consequent	seuraava	0.663	0.471	0.625
conservation	säilyttäminen	0.832	0.401	0.606
conservatism	konservatismi	0.406	0.369	0.633
conservative	konservatiivinen	0.615	0.316	0.788
conservatory	konservatorio	0.635	0.240	0.729
conserve	säästää	0.690	0.347	0.573
consider	harkita	0.677	0.368	0.579
considerable	huomattava	0.653	0.314	0.683
considerate	huomaavainen	0.781	0.380	0.633
consideration	harkinta	0.589	0.380	0.687
consignee	vastaanottaja	0.635	0.385	0.602
consignment	tavaralähetys	0.490	0.440	0.500
consist	muodostuvat	0.823	0.386	0.580
consistency	johdonmukaisuus	0.714	0.500	0.887
consistent	johdonmukainen	0.786	0.431	0.726
consolation	lohdutus	0.408	0.250	0.304
console	konsoli	0.625	0.398	0.415
consoled	lohdutti	0.700	0.343	0.452
consolidate	lujittaa	0.880	0.440	0.870
consolidated	konsolidoitu	0.700	0.366	0.784
consolidation	vakauttaminen	0.604	0.445	0.776
consonant	konsonantti	0.500	0.347	0.417
consort	puoliso	0.632	0.509	0.630
conspicuous	silmiinpistävä	0.479	0.520	0.596
conspiracy	salaliitto	0.125	0.787	0.652
conspirator	salaliittolainen	0.271	0.786	0.707
conspire	vehkeillä	0.206	0.740	0.520
constable	poliisikonstaapeli	0.573	0.667	0.764
constancy	muuttumattomuus	0.786	0.443	0.763
constant	jatkuva	0.740	0.296	0.686
constantly	alituisesti	0.663	0.561	0.700
constellation	tähdistö	0.719	0.533	0.775
consternation	tyrmistys	0.167	0.680	0.469
constipation	ummetus	0.079	0.612	0.231
constituency	vaalipiiri	0.500	0.480	0.696
constituent	aineosa	0.573	0.500	0.827
constituents	ainesosia	0.573	0.414	0.833
constitute	muodostaa	0.812	0.349	0.906
constitution	perustuslaki	0.590	0.380	0.889
constitutional	perustuslaillinen	0.633	0.418	0.827
constitutionality	perustuslainmukaisuuden	0.612	0.439	0.853
constrain	rajoittaa	0.261	0.500	0.500
constrained	rajoittavat	0.135	0.537	0.357
constraint	rajoite	0.323	0.550	0.481
construct	rakentaa	0.750	0.648	0.792
construction	rakentaminen	0.848	0.612	0.759
constructive	rakentava	0.860	0.570	0.812
construe	tulkita	0.602	0.519	0.553
consul	konsuli	0.573	0.354	0.688
consulate	konsulaatti	0.561	0.453	0.694
consult	konsultoida	0.755	0.370	0.441
consultant	konsultti	0.770	0.344	0.808
consultation	kuuleminen	0.660	0.463	0.625
consume	kuluttaa	0.427	0.620	0.509
consumer	kuluttaja	0.507	0.551	0.677
consuming	kuluttaa	0.573	0.541	0.536
consummate	täydellistää	0.551	0.540	0.558
consummation	täyttymys	0.583	0.676	0.661
consumption	kulutus	0.390	0.531	0.538
contact	ottaa yhteyttä	0.719	0.424	0.526
contagion	tartunta	0.208	0.630	0.535
contagious	tarttuva	0.184	0.725	0.400
contain	sisältää	0.542	0.490	0.658
container	kontti	0.551	0.396	0.561
containment	hillitseminen	0.411	0.491	0.618
contaminate	saastuttaa	0.140	0.611	0.426
contaminated	saastunut	0.040	0.500	0.368
contamination	saastuminen	0.125	0.610	0.375
contemplate	miettiä	0.740	0.347	0.642
contemplation	miettiminen	0.552	0.324	0.627
contemplative	mietiskelevä	0.729	0.308	0.739
contemporaneous	samanaikainen	0.640	0.373	0.591
contemporary	nykyajan	0.720	0.365	0.569
contempt	ylenkatse	0.206	0.635	0.396
contemptible	halveksittava	0.146	0.657	0.471
contemptuous	halveksiva	0.204	0.500	0.375
contend	väittää	0.510	0.657	0.731
contender	haastaja	0.480	0.790	0.681
contending	väittäen	0.490	0.698	0.716
content	pitoisuus	0.764	0.296	0.559
contented	tyytyväinen	0.857	0.612	0.746
contention	väite	0.375	0.510	0.738
contentious	riidanalainen	0.422	0.573	0.637
contentment	tyytyväisyys	0.875	0.610	0.782
contents	sisällys	0.656	0.375	0.550
contest	kilpailu	0.667	0.698	0.717
contestant	kilpailija	0.760	0.530	0.602
context	konteksti	0.531	0.300	0.553
contiguous	rajakkain	0.375	0.450	0.500
continence	pidättyvyys	0.450	0.396	0.469
continent	maanosa	0.551	0.373	0.833
continental	mannermainen	0.486	0.350	0.755
contingency	ennakoimattomia	0.396	0.500	0.670
contingent	satunnainen	0.470	0.531	0.659
continual	jatkuva	0.500	0.423	0.685
continually	jatkuvasti	0.646	0.438	0.698
continuance	jatkuminen	0.729	0.510	0.652
continuation	jatkaminen	0.615	0.470	0.566
continue	jatkaa	0.630	0.427	0.612
continued	jatkui	0.635	0.440	0.500
continuing	jatkuva	0.667	0.500	0.520
continuity	jatkuvuus	0.781	0.439	0.684
continuous	jatkuva	0.625	0.509	0.580
continuously	jatkuvasti	0.719	0.417	0.702
continuum	jatkumo	0.677	0.390	0.491
contour	muoto	0.589	0.265	0.414
contraband	salakuljetustavara	0.177	0.875	0.670
contraception	ehkäisy	0.296	0.518	0.525
contract	sopimus	0.594	0.412	0.636
contracted	supistui	0.344	0.557	0.449
contractile	supistumiskykyinen	0.480	0.586	0.569
contracting	sopimukselle	0.594	0.490	0.769
contraction	supistuminen	0.292	0.755	0.603
contractor	urakoitsija	0.592	0.479	0.727
contradict	ristiriidassa	0.160	0.598	0.482
contradiction	ristiriitaisuus	0.250	0.660	0.377
contradictory	ristiriitainen	0.365	0.651	0.421
contraption	härveli	0.448	0.590	0.491
contrary	päinvastainen	0.327	0.449	0.338
contrast	kontrasti	0.480	0.406	0.520
contrasted	contrasted	0.521	0.538	0.491
contravene	rikkoa	0.357	0.618	0.472
contravention	rikkomus	0.344	0.627	0.593
contribute	edistävät	0.806	0.350	0.795
contribution	panos	0.854	0.452	0.760
contributor	avustaja	0.844	0.510	0.760
contrite	katuva	0.347	0.363	0.473
contrition	katumus	0.347	0.583	0.463
contrived	teennäinen	0.408	0.530	0.458
control	ohjaus	0.729	0.352	0.808
controller	ohjain	0.469	0.712	0.868
controlling	valvontaan	0.490	0.441	0.885
controversial	kiistanalainen	0.271	0.858	0.538
controversy	kiista	0.250	0.819	0.600
contusion	ruhje	0.167	0.565	0.509
conundrum	arvoitus	0.354	0.524	0.408
convalescent	toipilas-	0.458	0.480	0.269
convection	konvektio	0.521	0.494	0.526
convene	kokoontua	0.583	0.676	0.636
convenience	sopivuus	0.781	0.448	0.613
conveniences	mukavuudet	0.802	0.412	0.693
convenient	mukava	0.846	0.491	0.574
convent	luostari	0.480	0.217	0.594
convention	sopimus	0.622	0.622	0.704
conventional	tavanomainen	0.594	0.292	0.634
converge	yhtyä	0.635	0.471	0.539
convergence	lähentyminen	0.551	0.491	0.625
convergent	konvergentti	0.781	0.490	0.696
conversant	perehtynyt	0.724	0.360	0.542
conversation	keskustelu	0.750	0.510	0.609
conversational	puhekielen	0.719	0.431	0.596
conversationalist	keskustelija	0.719	0.467	0.667
converse	päinvastainen	0.594	0.406	0.598
conversing	keskustellessaan	0.755	0.409	0.442
conversion	muuntaminen	0.480	0.605	0.736
convert	muuntaa	0.551	0.538	0.704
converted	muunnettu	0.663	0.418	0.686
convertible	avoauto	0.542	0.529	0.717
convex	kupera	0.438	0.427	0.445
convexity	kuperuus	0.449	0.354	0.484
convey	välittää	0.719	0.633	0.708
conveyance	kuljetus	0.615	0.520	0.455
conveyancing	luovutuskirjoja	0.375	0.479	0.663
convict	tuomittu	0.177	0.840	0.477
conviction	vakaumus	0.615	0.704	0.826
convince	vakuuttaa	0.708	0.539	0.763
convinced	vakuuttunut	0.750	0.500	0.630
convincing	vakuuttava	0.760	0.527	0.900
convocation	kokous	0.538	0.611	0.663
convoluted	mutkikas	0.323	0.614	0.433
convolution	poimu	0.417	0.559	0.527
convoy	saattue	0.500	0.671	0.639
coo	kujertaa	0.490	0.439	0.500
cook	kokki	0.847	0.500	0.412
cookbook	keittokirja	0.602	0.346	0.398
cooker	liesi	0.592	0.373	0.407
cookery	ruoanlaitto	0.633	0.368	0.345
cookie	pikkuleipä	0.792	0.306	0.250
cookies	keksit	0.823	0.451	0.316
cooking	ruoanlaitto	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	viileä	0.885	0.540	0.781
coolant	jäähdytysneste	0.720	0.412	0.456
cooler	jäähdytin	0.664	0.375	0.460
cooling	jäähdytys	0.469	0.324	0.392
coolness	viileys	0.490	0.307	0.548
coon	neekeri	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	tehdä yhteistyötä	0.898	0.451	0.582
cooperating	yhteistyössä	0.760	0.390	0.693
cooperation	yhteistyö	0.847	0.473	0.686
cooperative	osuuskunta	0.816	0.461	0.670
coordinate	koordinoida	0.698	0.429	0.694
coordination	koordinaatio	0.677	0.454	0.789
coordinator	koordinaattori	0.750	0.510	0.850
cop	poliisi	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	selviytyä	0.592	0.647	0.709
copier	kopiokone	0.459	0.345	0.390
copilot	lentoperämies	0.640	0.538	0.573
coping	selviytyminen	0.562	0.630	0.613
copious	runsas	0.427	0.462	0.527
copper	kupari-	0.580	0.260	0.500
copter	kopteri	0.571	0.704	0.569
copy	kopio	0.460	0.240	0.263
copycat	apina	0.449	0.580	0.443
copying	kopiointi	0.448	0.315	0.404
copyright	tekijänoikeus	0.458	0.402	0.663
coral	koralli	0.802	0.231	0.425
coral snake	korallikäärme	0.276	0.712	0.607
cord	johto	0.388	0.378	0.358
cordial	sydämellinen	0.823	0.312	0.482
cordless	langaton	0.667	0.441	0.528
cordon	nyöri	0.469	0.317	0.380
corduroy	vakosametti	0.570	0.324	0.357
core	ydin	0.721	0.378	0.540
cork	korkki	0.347	0.250	0.281
corkscrew	korkkiruuvi	0.427	0.443	0.445
corn	maissi	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	sarveiskalvo	0.521	0.346	0.443
corned	corned	0.459	0.441	0.425
corner	kulma	0.400	0.296	0.366
cornerstone	kulmakivi	0.550	0.388	0.596
cornet	kornetti	0.507	0.520	0.415
cornfield	viljapelto	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	reunuslista	0.458	0.441	0.295
cornstarch	maissitärkkelys	0.643	0.299	0.337
corny	korni	0.448	0.370	0.221
corollary	luonnollinen seuraus	0.458	0.469	0.366
corona	korona	0.818	0.439	0.745
coronary	sepelvaltimo-	0.567	0.613	0.509
coronation	kruunajaiset	0.792	0.592	0.836
coroner	oikeuslääkäri	0.323	0.558	0.526
corporal	ruumiillinen	0.582	0.490	0.596
corporate	yritys-	0.592	0.454	0.745
corporation	yhtiö	0.429	0.332	0.873
corporeal	ruumiillinen	0.520	0.350	0.461
corps	joukot	0.551	0.453	0.483
corpse	ruumis	0.094	0.657	0.232
corpsman	Corpsman	0.439	0.469	0.651
corpus	corpus	0.543	0.340	0.490
corral	aitaus	0.606	0.662	0.422
correct	oikea	0.857	0.306	0.723
correction	korjaus	0.448	0.485	0.558
correctional	vankeinhoidon	0.292	0.713	0.602
corrective	korjaavia	0.448	0.528	0.613
correctness	oikeellisuutta	0.796	0.450	0.649
correlation	korrelaatio	0.596	0.462	0.571
correlative	korrelatiivinen	0.510	0.402	0.571
correspond	vastata	0.710	0.452	0.545
correspondence	kirjeenvaihto	0.663	0.423	0.491
correspondent	kirjeenvaihtaja	0.573	0.565	0.712
corresponding	vastaava	0.740	0.423	0.618
corridor	käytävä	0.604	0.589	0.592
corroborate	vahvistaa	0.671	0.471	0.616
corroboration	vahvistus	0.625	0.431	0.733
corrosion	korroosio	0.156	0.610	0.348
corrosive	syövyttävä	0.140	0.618	0.570
corrupt	turmeltunut	0.020	0.806	0.500
corrupting	turmelee	0.062	0.804	0.380
corruption	korruptio	0.052	0.830	0.549
corsage	kukkakimppu	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	korsetti	0.490	0.520	0.381
cortex	aivokuori	0.594	0.439	0.529
cortical	aivokuoren	0.380	0.423	0.536
cortisone	kortisoni	0.427	0.395	0.456
corvette	korvetti	0.551	0.520	0.598
cosmetic	kosmeettinen	0.625	0.304	0.308
cosmetics	kosmetiikka	0.765	0.464	0.472
cosmic	kosminen	0.663	0.538	0.692
cosmology	kosmologia	0.651	0.438	0.637
cosmopolitan	kosmopoliittinen	0.823	0.510	0.760
cosmos	maailmankaikkeus	0.860	0.478	0.664
cost	kustannus	0.365	0.420	0.439
costly	kallis	0.316	0.650	0.642
costume	puku	0.548	0.510	0.374
cosy	kodikas	0.847	0.255	0.518
cot	vauvansänky	0.625	0.230	0.278
cote	katos	0.439	0.344	0.324
cottage	mökki	0.600	0.279	0.361
cotton	puuvilla	0.639	0.071	0.240
couch	sohva	0.594	0.082	0.198
cougar	puuma	0.438	0.588	0.538
cough	yskä	0.255	0.627	0.241
council	neuvosto	0.875	0.279	0.635
councilman	kaupunginvaltuutettu	0.531	0.367	0.793
counsel	neuvo	0.594	0.519	0.730
counseling	neuvonta	0.667	0.480	0.704
counsellor	neuvonantaja	0.823	0.327	0.740
counselor	neuvonantaja	0.873	0.365	0.706
count	Kreivi	0.594	0.389	0.492
countdown	lähtölaskenta	0.438	0.692	0.490
countenance	ilme	0.635	0.440	0.690
counter	laskuri	0.439	0.478	0.750
counteract	ehkäistä	0.378	0.542	0.688
counterattack	vastahyökkäys	0.281	0.951	0.764
counterbalance	vastapaino	0.520	0.480	0.627
counterclaim	vastakanne	0.398	0.760	0.651
counterfeit	väärennetty	0.094	0.694	0.451
counterpart	vastine	0.448	0.608	0.577
counterpoint	kontrapunkti	0.438	0.509	0.538
countess	kreivitär	0.562	0.440	0.670
countless	lukematon	0.520	0.566	0.534
country	maa	0.698	0.394	0.693
countryman	maanmies	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	maaseutu	0.732	0.288	0.327
counts	laskee	0.343	0.373	0.500
county	lääni	0.479	0.368	0.545
coup	vallankaappaus	0.275	0.815	0.607
coupe	coupe	0.479	0.460	0.482
couple	pari	0.806	0.605	0.607
coupled	kytketty	0.612	0.286	0.650
coupling	kytkentä	0.594	0.479	0.555
coupon	kuponki	0.704	0.300	0.421
courage	rohkeus	0.830	0.728	0.849
courageous	rohkea	0.918	0.587	0.879
courier	kuriiri	0.551	0.383	0.441
courses	kurssit	0.735	0.412	0.534
coursing	jäniksenajo	0.542	0.472	0.546
court	tuomioistuin	0.479	0.769	0.827
courteous	kohtelias	0.937	0.396	0.529
courtesy	kohteliaisuus	0.927	0.287	0.431
courthouse	oikeustalo	0.571	0.503	0.818
courtroom	oikeussali	0.385	0.670	0.887
courts	tuomioistuimet	0.367	0.710	0.816
courtship	kosiskelu	0.667	0.490	0.654
courtside	courtside	0.592	0.391	0.434
courtyard	piha	0.503	0.365	0.355
cousin	serkku	0.675	0.394	0.427
cousins	serkut	0.760	0.409	0.464
cove	lahti	0.500	0.304	0.370
coven	noitapiirin	0.458	0.578	0.591
covenant	liitto	0.594	0.462	0.667
cover	peite	0.365	0.240	0.471
coverage	kattavuus	0.767	0.413	0.629
covered	katettu	0.562	0.340	0.644
covering	päällyste	0.615	0.382	0.583
covert	peitelty	0.500	0.570	0.508
covet	himoita	0.302	0.779	0.524
coveted	himoittu	0.661	0.730	0.625
cow	lehmä	0.449	0.230	0.300
