Word	Samoan-sm	Valence	Arousal	Dominance
cripple	pipili	0.094	0.392	0.161
crippled	pipili	0.035	0.358	0.236
crippling	pipili	0.156	0.598	0.391
crisis	faʻalavelave	0.208	0.811	0.431
crisp	faanatinati	0.776	0.692	0.508
crispy	maaleale	0.656	0.550	0.509
criterion	faitioga	0.396	0.410	0.736
critic	faitioga	0.264	0.604	0.686
critical	taua	0.312	0.802	0.545
criticise	faitio	0.073	0.700	0.452
criticism	faitioga	0.115	0.563	0.505
criticize	faitio	0.143	0.708	0.473
criticized	faitio	0.240	0.600	0.311
critique	faitio	0.302	0.760	0.537
critter	faitio	0.542	0.539	0.482
croak	talofa	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	keke	0.552	0.216	0.327
crocodile	tarako	0.344	0.708	0.610
croft	kesi	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	gaogao	0.171	0.765	0.550
crooked	piopio	0.146	0.594	0.305
crop	seleselega	0.615	0.260	0.500
croquet	croquet	0.551	0.519	0.407
cross	koluse	0.448	0.321	0.569
cross country	alalafaga	0.531	0.441	0.529
crossbow	kolisi	0.344	0.598	0.560
crossed	sopoia	0.431	0.490	0.508
crossfire	uila afi	0.316	0.896	0.722
crossing	laasia	0.549	0.349	0.451
crossover	kesi	0.559	0.550	0.500
crosswalk	uila	0.557	0.441	0.380
crossword	felafolafoaiga	0.611	0.423	0.455
crotch	tafaʻi	0.521	0.637	0.447
crouch	toso	0.281	0.606	0.312
crouched	punou	0.333	0.363	0.279
crouching	faʻatau	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	faletalimalo	0.224	0.439	0.363
crowbar	faʻailoga	0.406	0.531	0.386
crowd	toʻatele	0.350	0.827	0.731
crowded	tumu	0.694	0.286	0.585
crowds	motu o tagata	0.469	0.723	0.806
crown	pale	0.708	0.572	0.737
crowning	palealii	0.773	0.594	0.831
crucial	taua tele	0.541	0.657	0.777
cruciate	faʻatauvaʻa	0.429	0.435	0.585
crucifix	faasatauro	0.469	0.480	0.510
crucifixion	faasatauroga	0.135	0.857	0.541
crucify	faasatauro	0.146	0.878	0.573
crud	faʻanenefu	0.312	0.330	0.444
crude	leaga	0.198	0.402	0.357
cruel	saua	0.122	0.866	0.391
cruelly	agaleaga	0.146	0.790	0.471
cruelty	saua	0.092	0.836	0.536
cruise	uila	0.740	0.442	0.683
cruise ship	vaa folau	0.878	0.650	0.500
cruiser	faimalaga	0.737	0.490	0.608
cruising	osofaʻi	0.886	0.580	0.560
crumb	malepelepe	0.417	0.255	0.216
crumble	malepelepe	0.333	0.480	0.423
crumbling	malepelepe	0.167	0.696	0.308
crummy	fati	0.125	0.531	0.224
crunch	fagu	0.292	0.630	0.406
crunchy	faʻanoanoa	0.625	0.560	0.539
crusade	osofaʻiga	0.592	0.720	0.709
crusader	taʻavale	0.439	0.588	0.548
crush	malepe	0.271	0.676	0.582
crushed	paʻu	0.167	0.647	0.300
crusher	fasia	0.271	0.709	0.598
crushing	solo	0.219	0.755	0.411
crust	fagu	0.542	0.337	0.456
crusty	faʻamaʻi	0.625	0.531	0.473
crutch	toso	0.302	0.294	0.302
crux	faʻatau	0.469	0.558	0.519
cry	tagi	0.133	0.627	0.255
crybaby	faʻaipoipo	0.375	0.702	0.311
crying	tagi	0.153	0.704	0.208
crypt	tagi	0.156	0.431	0.386
cryptic	cryptic	0.296	0.516	0.474
cryptography	faʻataʻitaʻiga	0.490	0.415	0.650
crystal	tioata	0.618	0.270	0.508
crystalline	tioata	0.765	0.235	0.534
crystallization	tioata	0.600	0.449	0.565
cub	kupita	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	fagu	0.469	0.226	0.274
cubic	kupita	0.458	0.306	0.407
cubicle	lapisi	0.479	0.343	0.417
cuckold	lapisi	0.210	0.573	0.230
cuckoo	kesi	0.420	0.459	0.284
cucumber	kukama	0.490	0.235	0.237
cuddle	laʻau	0.885	0.559	0.475
cuddled	faʻanofo	0.906	0.547	0.567
cuddles	fusi	0.847	0.382	0.500
cuddling	faʻapipiʻi	0.917	0.562	0.433
cue	faʻailoa	0.521	0.433	0.484
cuff	fagu	0.469	0.453	0.387
cuisine	meaai	0.714	0.365	0.390
culinary	meaʻai	0.654	0.443	0.519
cull	talo	0.365	0.702	0.464
culminate	faʻamaeaina	0.667	0.550	0.602
culmination	pito i luga	0.656	0.586	0.695
culpability	nofosala	0.112	0.745	0.368
culpable	tausalaina	0.140	0.700	0.319
culprit	tausalaina	0.062	0.676	0.333
cult	agavaʻa	0.448	0.535	0.648
cultivate	atinaʻe	0.708	0.410	0.598
cultivated	totoina	0.837	0.343	0.564
cultivation	faʻatoʻaga	0.625	0.324	0.462
cultural	aganuu	0.802	0.390	0.623
culture	aganuu	0.753	0.304	0.675
cultured	agavaʻa	0.635	0.429	0.625
culvert	alalaupapa	0.337	0.324	0.343
cumbersome	vaivai	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	faitogafiti	0.604	0.685	0.683
cunt	tausoga	0.135	0.673	0.377
cup	ipu	0.615	0.167	0.231
cupboard	ipu	0.553	0.200	0.304
cupcake	cupcake	0.656	0.333	0.344
cupping	fufulu	0.490	0.610	0.402
cur	cur	0.440	0.519	0.460
curable	faʻamalolo	0.823	0.292	0.574
curate	curate	0.726	0.418	0.526
curative	faʻamaʻi	0.667	0.318	0.613
curator	faipule	0.688	0.389	0.688
curb	vaʻai	0.472	0.371	0.402
curd	curd	0.542	0.442	0.278
cure	fofo	0.719	0.377	0.623
curfew	taufetuli	0.219	0.618	0.623
curiosity	fiailoa	0.750	0.755	0.463
curious	fia iloa	0.635	0.600	0.483
curl	curl	0.385	0.452	0.351
curling	siaki	0.583	0.592	0.400
currency	tupe	0.583	0.418	0.592
current	taimi nei	0.625	0.312	0.612
curriculum	mataupu aoaoina	0.708	0.306	0.620
curry	curry	0.633	0.345	0.302
curse	fetuu	0.033	0.720	0.375
cursed	fetuuina	0.083	0.783	0.393
cursing	fetuu	0.112	0.860	0.446
cursory	fetalaiga	0.423	0.451	0.431
curt	toso	0.245	0.610	0.452
curtail	faʻailoga	0.306	0.439	0.497
curtailment	faʻasolosolo	0.230	0.578	0.431
curtain	pupuni	0.698	0.278	0.304
curtains	pupuni	0.615	0.123	0.342
curtsy	pupuni	0.635	0.412	0.598
curvature	curvature	0.417	0.367	0.447
curve	pupuni	0.480	0.375	0.307
curved	fao	0.542	0.407	0.337
curvilinear	curvilinear	0.480	0.575	0.411
cushion	uila	0.653	0.221	0.292
cushy	vavao	0.823	0.283	0.395
cusp	faʻauʻu	0.667	0.710	0.700
cuss	kili	0.354	0.538	0.443
cussed	faʻailoa	0.156	0.625	0.454
custard	siaki	0.618	0.260	0.293
custodial	leoleo	0.418	0.462	0.718
custodian	leoleo	0.594	0.625	0.528
custody	puipuiga	0.494	0.472	0.675
custom	masani	0.552	0.382	0.688
customary	aganuu	0.700	0.253	0.561
customer	tagata faʻatau	0.562	0.430	0.673
customized	faʻapitoa	0.625	0.504	0.590
cut	tipi	0.490	0.490	0.393
cutaneous	mataʻutia	0.365	0.370	0.328
cute	aulelei	0.920	0.528	0.579
cuticle	toso	0.340	0.320	0.377
cutie	tipi	0.638	0.528	0.464
cutlass	lapisi	0.173	0.648	0.528
cutlery	lapisi	0.552	0.300	0.345
cutoff	tipi ese	0.432	0.510	0.518
cutter	oti	0.427	0.731	0.583
cutters	tagata tipi	0.197	0.653	0.491
cutthroat	oti	0.110	0.823	0.663
cutting	oti	0.448	0.375	0.536
cutting board	laupapa tipi	0.337	0.540	0.342
cuttings	toso	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	cyanide	0.229	0.667	0.545
cyberspace	cyberpace	0.677	0.594	0.611
cycle	taamilosaga	0.635	0.400	0.533
cyclical	cyclical	0.380	0.450	0.554
cyclist	uila	0.684	0.582	0.576
cyclone	afā	0.416	0.796	0.673
cylinder	fagu	0.459	0.324	0.447
cylindrical	paʻu	0.458	0.294	0.414
cymbal	sumepalo	0.542	0.363	0.362
cynic	maasiasi	0.135	0.632	0.473
cynical	faʻatau	0.156	0.760	0.474
cynicism	maasiasi	0.104	0.780	0.454
cyst	uila	0.173	0.578	0.312
cystic	cystic	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	cytoplasm	0.378	0.442	0.474
czar	tupu	0.480	0.348	0.643
dab	pala	0.510	0.337	0.340
dabble	taʻavale	0.550	0.530	0.491
dabbling	faʻataʻoto	0.562	0.726	0.676
dad	tama	0.857	0.412	0.786
daddy	Tama	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	daemon	0.333	0.490	0.500
daft	taʻavale	0.255	0.436	0.157
dagger	magger	0.224	0.797	0.613
daily	i aso uma	0.653	0.347	0.473
dainty	tainty	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	susu	0.633	0.255	0.462
daisy	daisy	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	aʻa	0.622	0.270	0.365
dam	afu	0.250	0.553	0.394
damage	faʻaleagaina	0.059	0.726	0.403
damaged	faaleagaina	0.104	0.635	0.182
damages	faʻaleagaina	0.082	0.760	0.310
dame	tamaʻitaʻi	0.694	0.480	0.500
damn	leai	0.073	0.784	0.431
damnation	faʻasalaga	0.135	0.750	0.416
damned	faʻamaonia	0.100	0.760	0.465
damp	susu	0.360	0.279	0.210
dampened	faʻamaʻa	0.271	0.422	0.336
damper	faʻamaʻi	0.459	0.378	0.473
damsel	teine	0.719	0.475	0.400
dance	siva	0.894	0.840	0.551
dancer	tagata siva	0.740	0.768	0.545
dancing	siva	0.885	0.868	0.444
dandruff	meaʻai	0.398	0.298	0.293
dandy	dandy	0.673	0.520	0.630
danger	lamatiaga	0.115	0.923	0.673
dangerous	matautia	0.020	0.941	0.658
dangerously	matautia	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	siva	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	faʻatau	0.770	0.560	0.698
dare	fefe	0.677	0.788	0.684
daredevil	maredevil	0.429	0.714	0.653
daresay	laresay	0.540	0.451	0.490
daring	fefe	0.583	0.840	0.711
dark	pogisa	0.198	0.398	0.426
darken	pogisa	0.250	0.471	0.382
darkened	pogisa	0.135	0.440	0.452
darkly	pogisa	0.219	0.548	0.443
darkness	pogisa	0.102	0.602	0.418
darkroom	pogisa	0.188	0.627	0.423
darkside	pogisa	0.102	0.690	0.365
darling	alofagia	0.885	0.370	0.608
darn	darn	0.115	0.765	0.418
dart	toso	0.417	0.608	0.500
dash	faasee	0.574	0.312	0.324
dashboard	laupapa	0.510	0.371	0.595
dashed	faʻanoanoa	0.276	0.393	0.338
dashing	faʻanofo	0.612	0.627	0.799
dastardly	vave	0.208	0.688	0.270
data	faʻamaumauga	0.500	0.250	0.426
database	database	0.604	0.286	0.644
date	aso	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	afa'fine	0.908	0.415	0.455
dawdle	taʻavale	0.479	0.464	0.357
dawn	taeao	0.827	0.235	0.519
dawned	vaveao	0.694	0.471	0.473
day	aso	0.719	0.269	0.389
daybreak	le vaveao	0.802	0.358	0.474
daycare	aso tausi tausiga	0.776	0.481	0.360
daydream	aso	0.750	0.337	0.456
daydreaming	tafaoga faamasani	0.776	0.360	0.479
daylight	aso malamalama	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	aso	0.750	0.324	0.454
daze	tagi	0.245	0.735	0.329
dazed	osooso	0.300	0.697	0.277
dazzle	taofi	0.730	0.782	0.683
dazzling	mataʻutia	0.854	0.880	0.767
deacon	tiakono	0.531	0.430	0.736
deactivate	taofiofia	0.235	0.447	0.392
dead	oti	0.052	0.454	0.194
deadbeat	oti	0.229	0.453	0.368
deadline	aso faʻamuta	0.214	0.615	0.460
deadlines	taimi tapunia	0.406	0.769	0.411
deadlock	siaki	0.170	0.418	0.323
deadly	oti	0.143	0.849	0.554
deaf	tutuli	0.186	0.324	0.161
deafening	faʻalogo	0.281	0.835	0.482
deafness	tutuli	0.125	0.413	0.219
deal	taulimaina	0.719	0.599	0.543
dealer	faʻatau	0.799	0.615	0.683
dealership	fefaʻatauaʻiga	0.541	0.430	0.629
dealing	taulimaina	0.724	0.415	0.598
dealings	fefaʻatauaiga	0.600	0.491	0.480
dean	taʻavale	0.612	0.469	0.723
dear	pele	0.880	0.434	0.629
dearest	pele	0.902	0.427	0.508
dearth	oge	0.156	0.539	0.255
death	maliu	0.031	0.720	0.472
deathbed	oti	0.051	0.652	0.311
deathly	maliu	0.073	0.771	0.682
debacle	paʻu	0.156	0.606	0.266
debased	leaga	0.219	0.529	0.170
debatable	faʻafefe	0.181	0.610	0.474
debate	finauga	0.408	0.691	0.683
debauchery	faʻatafuna	0.354	0.901	0.500
debenture	aitalafu	0.417	0.500	0.466
debilitating	faʻavaivaia	0.125	0.490	0.308
debit	aitalafu	0.333	0.400	0.474
debrief	toesea	0.247	0.343	0.549
debriefing	otootoga	0.427	0.580	0.456
debris	otaota	0.135	0.396	0.327
debt	aitalafu	0.204	0.598	0.336
debtor	tagata nofo aitalafu	0.219	0.546	0.160
debut	amataga	0.806	0.606	0.629
debutante	amataga	0.771	0.627	0.454
decade	sefulu tausaga	0.531	0.402	0.665
decadence	leaga	0.237	0.455	0.291
decadent	faʻaleagaina	0.290	0.559	0.324
decaf	decaf	0.480	0.324	0.353
decanter	pala	0.438	0.567	0.510
decathlon	decathlon	0.573	0.753	0.620
decay	pala	0.143	0.312	0.170
decayed	faaleagaina	0.017	0.375	0.169
decaying	pala	0.073	0.510	0.214
deceased	ua maliu	0.021	0.538	0.188
decedent	taimi	0.423	0.481	0.415
deceit	taufaasese	0.020	0.696	0.343
deceitful	taufaasese	0.071	0.788	0.371
deceive	faasese	0.094	0.775	0.414
deceived	faaseseina	0.059	0.673	0.302
deceiving	faaseseina	0.099	0.636	0.426
december	Tesema	0.740	0.540	0.464
decency	amiolelei	0.750	0.235	0.634
decent	lelei	0.823	0.296	0.653
deception	taufaasese	0.090	0.745	0.370
deceptive	taufaasese	0.027	0.605	0.294
decide	filifili	0.656	0.540	0.855
decidedly	filifili	0.750	0.480	0.843
deciduous	toso	0.385	0.353	0.282
decimal	fua faʻatau	0.507	0.259	0.305
decimeter	decimeter	0.520	0.292	0.377
decipher	filifili	0.417	0.630	0.652
decision	filifiliga	0.646	0.510	0.839
decisive	filifili	0.740	0.509	0.935
deck	toso	0.420	0.333	0.394
declaration	tautinoga	0.551	0.590	0.714
declaratory	taʻutaʻu	0.635	0.582	0.673
declare	taʻutaʻu	0.677	0.623	0.668
declination	faʻaitiitia	0.250	0.549	0.311
decline	faʻaitiitia	0.173	0.491	0.240
declining	faʻaitiitia	0.328	0.400	0.264
deco	teuteu	0.625	0.274	0.356
decode	faʻaitiitia	0.551	0.510	0.640
decoder	faʻaiʻuga	0.562	0.340	0.686
decompose	lafoaʻi	0.194	0.596	0.241
decomposed	faʻavae	0.073	0.442	0.231
decomposition	faʻavae	0.133	0.600	0.263
decompress	tosoina	0.438	0.430	0.509
decompression	faʻalavelave	0.208	0.520	0.311
decontamination	faʻaleagaina	0.611	0.538	0.573
decor	meaʻai	0.734	0.311	0.573
decorate	teuteu	0.954	0.370	0.404
decorating	teuteu	0.863	0.548	0.462
decoration	teuteuga	0.878	0.553	0.526
decorative	teuteu	0.908	0.460	0.381
decorator	teuteu	0.840	0.471	0.455
decorum	amio leaga	0.802	0.327	0.462
decoy	teuteu	0.149	0.460	0.330
decrease	faaitiitia	0.125	0.360	0.267
decreased	faaitiitia	0.224	0.271	0.170
decreasing	faʻaititia	0.320	0.346	0.224
decree	tusi	0.552	0.478	0.746
decrement	palaʻai	0.255	0.427	0.373
decrepit	faʻaleagaina	0.156	0.490	0.225
decry	decry	0.400	0.814	0.548
decryption	decryption	0.459	0.445	0.600
dedicate	faapaia	0.823	0.431	0.588
dedication	faapaiaga	0.867	0.471	0.682
deduce	toso	0.490	0.510	0.466
deduct	toso	0.355	0.330	0.412
deductible	toesea	0.375	0.286	0.455
deduction	toesega	0.438	0.462	0.527
deed	feagaiga	0.520	0.320	0.592
deejay	tusijay	0.551	0.630	0.473
deem	manatu	0.594	0.529	0.690
deep	loloto	0.490	0.473	0.657
deepen	faʻaloloto	0.625	0.530	0.776
deer	tia	0.583	0.375	0.292
defamation	taufaaleaga	0.110	0.670	0.481
defamatory	taufaaleaga	0.143	0.688	0.402
default	leai se totogi	0.459	0.343	0.712
defeat	toilalo	0.092	0.500	0.224
defeated	faʻailoga	0.104	0.582	0.145
defeatist	toilalo	0.163	0.567	0.315
defect	faaletonu	0.135	0.561	0.185
defection	teteʻe	0.146	0.594	0.330
defective	le lelei	0.122	0.580	0.274
defector	tagata maʻi	0.163	0.696	0.286
defend	puipui	0.698	0.722	0.670
defendant	ua molia	0.250	0.710	0.491
defended	puipuia	0.663	0.451	0.582
defender	tagata puipui	0.639	0.708	0.750
defending	puipuia	0.604	0.871	0.812
defense	puipuiga	0.652	0.698	0.802
defenseless	leai se puipuiga	0.143	0.357	0.105
defensible	lē mafai	0.740	0.509	0.593
defensive	puipuiga	0.542	0.640	0.678
defer	tolopo	0.245	0.459	0.317
deference	manatu	0.510	0.396	0.447
deferral	tolopoina	0.765	0.542	0.327
deferring	tolopoina	0.343	0.500	0.413
defiance	teteʻe	0.333	0.780	0.760
defiant	lē fiafia	0.250	0.792	0.769
defibrillator	defibrillator	0.398	0.663	0.431
deficiency	le atoatoa	0.073	0.373	0.179
deficient	le lava	0.240	0.464	0.132
deficit	faaletonu	0.358	0.500	0.269
define	faʻamalamalama	0.688	0.415	0.632
defined	faʻamatalaina	0.670	0.214	0.646
definite	manino	0.708	0.292	0.741
definition	faʻamatalaga	0.573	0.375	0.579
definitive	mautinoa	0.583	0.479	0.787
deflate	faʻatau	0.148	0.404	0.237
deflation	taufaaleaga	0.287	0.536	0.407
deflect	faʻafefete	0.133	0.491	0.482
deflection	feteʻenaʻi	0.188	0.500	0.382
defloration	faʻatauvaʻa	0.188	0.690	0.434
deform	pala	0.112	0.654	0.284
deformed	leaga	0.198	0.435	0.308
deformity	leaga	0.160	0.569	0.241
defraud	taufaasese	0.175	0.635	0.314
defray	faʻaleagaina	0.375	0.598	0.653
defrost	faʻaleagaina	0.427	0.317	0.389
deft	au	0.719	0.575	0.849
defunct	taʻutaʻu	0.112	0.491	0.272
defuse	faʻatau	0.167	0.480	0.430
defy	faʻatau	0.353	0.884	0.657
degeneracy	degeneracy	0.143	0.720	0.298
degenerate	agavaʻa	0.069	0.724	0.264
degeneration	faʻaleagaina	0.245	0.578	0.371
degradation	faʻaleagaina	0.160	0.608	0.315
degrade	faʻaleagaina	0.083	0.500	0.184
degraded	faʻaleagaina	0.167	0.433	0.205
degrading	faʻaleagaina	0.031	0.583	0.232
degree	tikeri	0.724	0.365	0.663
dehydrated	faamalolo	0.310	0.685	0.212
dehydration	vai inu	0.188	0.472	0.259
dejected	faanoanoa	0.104	0.654	0.347
delay	tuai	0.204	0.510	0.162
delayed	tuai	0.188	0.490	0.216
delectable	faʻamalosi	0.781	0.642	0.718
delegate	sui	0.612	0.491	0.658
delegation	tuuina atu malosiaga	0.562	0.431	0.609
delete	tape	0.292	0.298	0.409
deleterious	solo	0.297	0.725	0.440
deletion	solo	0.062	0.506	0.462
deli	au	0.561	0.448	0.447
deliberate	mafaufau	0.551	0.654	0.682
deliberation	feutagaiga	0.561	0.678	0.596
deliberative	filifiliga	0.392	0.552	0.573
delicacy	meaʻai	0.812	0.279	0.336
delicate	faʻamalosi	0.583	0.294	0.366
delicatessen	faʻamalosi	0.656	0.474	0.400
delicious	suamalie	0.927	0.650	0.589
delight	fiafia	0.949	0.666	0.647
delighted	fiafia	0.938	0.664	0.685
delightful	fiafia	0.918	0.735	0.644
delineate	faʻamanatu	0.448	0.430	0.445
delineation	faʻataʻitaʻiga	0.521	0.402	0.314
delinquency	sese	0.135	0.860	0.508
delinquent	lē faʻaaoga	0.051	0.904	0.500
delirious	fiafia	0.219	0.774	0.538
delirium	faʻasalaga	0.233	0.694	0.484
deliver	laveaʻi	0.583	0.370	0.582
deliverance	laveaʻi	0.750	0.520	0.658
delivery	tuʻuina atu	0.704	0.461	0.786
dell	faʻalelei	0.458	0.380	0.453
delta	Delta	0.551	0.343	0.509
delude	valea	0.143	0.627	0.353
deluge	lologa	0.245	0.714	0.612
delusion	taufaasese	0.344	0.647	0.400
delusional	taufaasese	0.219	0.745	0.327
deluxe	fiafiaga	0.792	0.612	0.755
delve	delve	0.469	0.529	0.684
demand	manaʻoga	0.292	0.673	0.500
demanding	faʻamalosia	0.396	0.750	0.828
demeaned	faalumaina	0.271	0.520	0.212
demeaning	faalumaina	0.104	0.645	0.308
demeanor	uiga masani	0.633	0.433	0.657
demented	faʻanoanoa	0.088	0.787	0.309
dementia	teteʻe	0.092	0.779	0.337
demise	oti	0.104	0.596	0.456
demo	demo	0.510	0.314	0.423
democracy	faatemokarasi	0.680	0.500	0.840
democrat	faatemokalasi	0.582	0.400	0.755
democratic	faatemokalasi	0.802	0.519	0.798
demographic	numera	0.459	0.356	0.594
demolish	talepe	0.125	0.632	0.700
demolished	faʻaumatia	0.271	0.647	0.353
demolition	talepe	0.133	0.827	0.541
demon	temoni	0.037	0.908	0.509
demonic	temoni	0.146	0.875	0.600
demonstrable	faʻaalia	0.735	0.471	0.749
demonstrate	faʻaali	0.771	0.552	0.839
demonstrated	faaalia	0.617	0.500	0.649
demonstrating	faʻaalia	0.698	0.571	0.693
demonstration	faatinoga	0.551	0.676	0.679
demonstrative	faʻataʻitaʻiga	0.656	0.528	0.736
demonstrator	faʻataʻitaʻiga	0.520	0.598	0.733
demoralized	vaivai	0.082	0.590	0.149
demos	demas	0.418	0.370	0.368
demure	mea leaga	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	faʻaleagaina	0.230	0.509	0.417
denial	faafitia	0.194	0.435	0.318
denied	faafitia	0.188	0.604	0.333
denim	denim	0.520	0.382	0.327
denomination	igoa	0.490	0.363	0.429
denominational	lotu	0.458	0.375	0.679
denominator	faʻasologa	0.450	0.410	0.613
denote	faʻaalia	0.448	0.471	0.534
denounce	faʻasalaga	0.083	0.780	0.426
dense	mea manogi	0.354	0.343	0.536
density	tele	0.602	0.471	0.561
dent	tootoo	0.306	0.606	0.325
dental	nifo	0.573	0.404	0.463
dentist	fomai nifo	0.479	0.620	0.642
dentistry	fomai nifo	0.429	0.570	0.569
dentists	fomai nifo	0.364	0.600	0.582
denunciation	faʻasalaga	0.146	0.830	0.561
deny	faafitia	0.316	0.667	0.321
denying	faafitia	0.080	0.542	0.272
deodorant	deodorant	0.480	0.265	0.269
depart	alu ese	0.398	0.480	0.444
departed	alu ese	0.245	0.536	0.391
department	matagaluega	0.708	0.358	0.642
departmental	matagaluega	0.612	0.422	0.446
departure	aluese	0.573	0.500	0.426
depend	faalagolago	0.388	0.429	0.358
dependable	faʻatuatuaina	0.880	0.357	0.741
dependant	faalagolago	0.357	0.404	0.451
dependence	faalagolago	0.250	0.451	0.433
dependency	faalagolago	0.429	0.365	0.356
dependent	faalagolago	0.354	0.455	0.404
depict	faʻaalia	0.663	0.529	0.723
depicting	faʻaali	0.490	0.566	0.602
depletion	toʻaga	0.153	0.370	0.236
deplorable	mea leaga	0.135	0.657	0.230
deplore	atuatuvale	0.135	0.575	0.373
deploy	faʻapipiʻi	0.500	0.520	0.585
deployment	faʻapipiʻiina	0.510	0.520	0.612
deport	aveese	0.167	0.667	0.546
deportation	ave ese	0.104	0.786	0.450
depose	lafo	0.286	0.420	0.451
deposit	teuina	0.540	0.379	0.483
depositary	tagata faʻamau	0.604	0.431	0.500
deposition	lafoina	0.394	0.510	0.471
depository	fale teu	0.551	0.373	0.481
depot	nofoaga	0.635	0.255	0.471
depraved	leaga	0.031	0.837	0.395
depravity	leaga	0.115	0.854	0.453
depreciate	faaitiitia	0.270	0.623	0.445
depreciated	faʻanoanoa	0.135	0.672	0.250
depreciation	toesega	0.143	0.571	0.386
depress	faanoanoa	0.219	0.635	0.528
depressed	faanoanoa	0.024	0.445	0.136
depressing	faanoanoaga	0.146	0.559	0.216
depression	faanoanoaga	0.031	0.520	0.232
depressive	faanoanoaga	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	faoa	0.194	0.610	0.413
deprive	aveese	0.271	0.591	0.340
deprived	leai	0.354	0.506	0.536
depth	loloto	0.708	0.561	0.759
deputy	sui	0.429	0.530	0.787
derail	toso	0.108	0.802	0.375
deranged	vavae ese	0.376	0.868	0.357
derelict	tusi	0.208	0.470	0.237
derision	taufaalili	0.265	0.670	0.292
derivation	faʻamatalaga	0.521	0.519	0.644
derivative	faʻavae	0.541	0.491	0.508
derive	maua mai	0.396	0.324	0.360
dermal	afua	0.385	0.406	0.443
dermatologist	o le dermatologist	0.531	0.358	0.528
dermatology	dermatology	0.422	0.500	0.556
derogation	faʻasalaga	0.208	0.460	0.327
derogatory	faʻaleagaina	0.122	0.580	0.404
descend	alu ifo i lalo	0.385	0.535	0.231
descendant	fanau	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	alu ifo	0.219	0.493	0.250
descent	tupuaga	0.300	0.402	0.158
describe	faamatala	0.542	0.472	0.555
description	faʻamatalaga	0.582	0.425	0.596
descriptive	faamatalaina	0.667	0.352	0.570
desecrate	leaga	0.255	0.806	0.509
desecration	leaga	0.125	0.833	0.564
desert	toafa	0.469	0.279	0.389
deserted	faʻanoanoa	0.156	0.480	0.214
deserter	faʻanoanoa	0.122	0.710	0.366
desertion	faʻaumatiaga	0.122	0.630	0.289
deserve	talafeagai	0.802	0.436	0.613
deserved	tatau	0.781	0.582	0.689
deserving	talafeagai	0.802	0.596	0.858
design	mamanu	0.796	0.327	0.632
designate	filifilia	0.531	0.538	0.683
designated	atofaina	0.500	0.412	0.616
designation	igoa	0.612	0.571	0.675
designed	mamanu	0.745	0.380	0.595
designer	mamanu	0.875	0.519	0.670
designing	mamanu	0.792	0.355	0.552
desirability	manaʻomia	0.684	0.550	0.675
desirable	manaomia	0.740	0.735	0.750
desire	naunau	0.896	0.692	0.647
desiring	manaʻo	0.814	0.821	0.632
desirous	naunau	0.719	0.824	0.562
desist	aloese	0.220	0.358	0.291
desk	kesi	0.510	0.135	0.422
desolate	nofofua	0.104	0.320	0.228
desolation	faatafunaga	0.073	0.481	0.273
despair	faanoanoa	0.115	0.794	0.245
despairing	faanoanoa	0.073	0.735	0.286
despatch	faʻailoga	0.448	0.400	0.613
desperado	desperado	0.260	0.745	0.361
desperate	atuatuvale	0.083	0.842	0.337
desperation	atuatuvale	0.125	0.904	0.419
despicable	inoino	0.146	0.710	0.255
despise	inoino	0.167	0.745	0.296
despondent	lotovaivai	0.133	0.378	0.221
despotic	inoino	0.141	0.824	0.592
despotism	inoino	0.255	0.696	0.620
dessert	suamalie	0.755	0.491	0.404
destination	malaga	0.708	0.471	0.637
destined	faamoemoeina	0.698	0.462	0.617
destiny	taunuuga	0.781	0.413	0.611
destitute	matitiva	0.130	0.451	0.222
destroy	faʻaumatia	0.046	0.935	0.635
destroyed	faʻaumatia	0.031	0.696	0.288
destroyer	faʻaumatia	0.083	0.830	0.543
destroying	faʻaumatia	0.041	0.828	0.660
destruct	faʻaumatia	0.071	0.868	0.525
destruction	faʻaumatia	0.102	0.929	0.613
