Word	Sundanese-su	Valence	Arousal	Dominance
defloration	defloration	0.188	0.690	0.434
deform	deform	0.112	0.654	0.284
deformed	cacad	0.198	0.435	0.308
deformity	deformity	0.160	0.569	0.241
defraud	ngagasab duit lain hakna	0.175	0.635	0.314
defray	defray	0.375	0.598	0.653
defrost	defrost	0.427	0.317	0.389
deft	deft	0.719	0.575	0.849
defunct	defunct	0.112	0.491	0.272
defuse	defuse	0.167	0.480	0.430
defy	defy	0.353	0.884	0.657
degeneracy	degeneracy	0.143	0.720	0.298
degenerate	degenerate	0.069	0.724	0.264
degeneration	degeneration	0.245	0.578	0.371
degradation	degradasi	0.160	0.608	0.315
degrade	nguraikeun	0.083	0.500	0.184
degraded	didegradasi	0.167	0.433	0.205
degrading	ngahinakeun	0.031	0.583	0.232
degree	darajat	0.724	0.365	0.663
dehydrated	dehydrated	0.310	0.685	0.212
dehydration	dehidrasi	0.188	0.472	0.259
dejected	dejected	0.104	0.654	0.347
delay	nunda	0.204	0.510	0.162
delayed	nyangsang	0.188	0.490	0.216
delectable	delectable	0.781	0.642	0.718
delegate	utusan	0.612	0.491	0.658
delegation	utusan	0.562	0.431	0.609
delete	mupus	0.292	0.298	0.409
deleterious	deleterious	0.297	0.725	0.440
deletion	ngahapus	0.062	0.506	0.462
deli	Deli	0.561	0.448	0.447
deliberate	ngahaja	0.551	0.654	0.682
deliberation	musyawarah	0.561	0.678	0.596
deliberative	deliberative	0.392	0.552	0.573
delicacy	ngeunah	0.812	0.279	0.336
delicate	hipu	0.583	0.294	0.366
delicatessen	warung	0.656	0.474	0.400
delicious	raos	0.927	0.650	0.589
delight	delight	0.949	0.666	0.647
delighted	Atoh pisan	0.938	0.664	0.685
delightful	pikaresepeun pisan	0.918	0.735	0.644
delineate	delineate	0.448	0.430	0.445
delineation	delineation	0.521	0.402	0.314
delinquency	delinquency	0.135	0.860	0.508
delinquent	delinquent	0.051	0.904	0.500
delirious	delirious	0.219	0.774	0.538
delirium	delirium	0.233	0.694	0.484
deliver	ngirim	0.583	0.370	0.582
deliverance	deliverance	0.750	0.520	0.658
delivery	pangiriman	0.704	0.461	0.786
dell	Dell	0.458	0.380	0.453
delta	delta	0.551	0.343	0.509
delude	delude	0.143	0.627	0.353
deluge	Koruptor	0.245	0.714	0.612
delusion	delusion	0.344	0.647	0.400
delusional	delusional	0.219	0.745	0.327
deluxe	DELUXE	0.792	0.612	0.755
delve	delve	0.469	0.529	0.684
demand	pamenta	0.292	0.673	0.500
demanding	loba pamentaanana	0.396	0.750	0.828
demeaned	demeaned	0.271	0.520	0.212
demeaning	demeaning	0.104	0.645	0.308
demeanor	demeanor	0.633	0.433	0.657
demented	demented	0.088	0.787	0.309
dementia	pikun	0.092	0.779	0.337
demise	demise	0.104	0.596	0.456
demo	demo	0.510	0.314	0.423
democracy	demokrasi	0.680	0.500	0.840
democrat	demokrat	0.582	0.400	0.755
democratic	demokratis	0.802	0.519	0.798
demographic	demografi	0.459	0.356	0.594
demolish	demolish	0.125	0.632	0.700
demolished	dibongkar	0.271	0.647	0.353
demolition	demolition	0.133	0.827	0.541
demon	setan	0.037	0.908	0.509
demonic	demonic	0.146	0.875	0.600
demonstrable	demonstrable	0.735	0.471	0.749
demonstrate	demonstrasian	0.771	0.552	0.839
demonstrated	nunjukkeun	0.617	0.500	0.649
demonstrating	demonstrating	0.698	0.571	0.693
demonstration	demonstrasi	0.551	0.676	0.679
demonstrative	demonstrative	0.656	0.528	0.736
demonstrator	demonstrator	0.520	0.598	0.733
demoralized	demoralized	0.082	0.590	0.149
demos	demo	0.418	0.370	0.368
demure	demure	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	deniability	0.230	0.509	0.417
denial	panolakan	0.194	0.435	0.318
denied	nampik	0.188	0.604	0.333
denim	denim	0.520	0.382	0.327
denomination	denomination	0.490	0.363	0.429
denominational	denominational	0.458	0.375	0.679
denominator	pangbagi	0.450	0.410	0.613
denote	denote	0.448	0.471	0.534
denounce	nyawad	0.083	0.780	0.426
dense	kandel	0.354	0.343	0.536
density	dénsitas	0.602	0.471	0.561
dent	penyok	0.306	0.606	0.325
dental	dental	0.573	0.404	0.463
dentist	dokter huntu	0.479	0.620	0.642
dentistry	kedokteran gigi	0.429	0.570	0.569
dentists	dokter gigi	0.364	0.600	0.582
denunciation	denunciation	0.146	0.830	0.561
deny	nyangkal	0.316	0.667	0.321
denying	denying	0.080	0.542	0.272
deodorant	deodorant	0.480	0.265	0.269
depart	mangkat	0.398	0.480	0.444
departed	undur	0.245	0.536	0.391
department	departemen	0.708	0.358	0.642
departmental	departmental	0.612	0.422	0.446
departure	kamangkatan	0.573	0.500	0.426
depend	ngagantung	0.388	0.429	0.358
dependable	bisa diandelkeun	0.880	0.357	0.741
dependant	kagantung	0.357	0.404	0.451
dependence	deudeuieun	0.250	0.451	0.433
dependency	kagumantungan	0.429	0.365	0.356
dependent	kagantung	0.354	0.455	0.404
depict	kondisi	0.663	0.529	0.723
depicting	ngagambarkeun	0.490	0.566	0.602
depletion	depletion	0.153	0.370	0.236
deplorable	deplorable	0.135	0.657	0.230
deplore	deplore	0.135	0.575	0.373
deploy	nyebarkeun	0.500	0.520	0.585
deployment	deployment	0.510	0.520	0.612
deport	nundung	0.167	0.667	0.546
deportation	carana nundung	0.104	0.786	0.450
depose	depose	0.286	0.420	0.451
deposit	neundeun duit	0.540	0.379	0.483
depositary	nyimpen	0.604	0.431	0.500
deposition	déposisi	0.394	0.510	0.471
depository	depository	0.551	0.373	0.481
depot	depot	0.635	0.255	0.471
depraved	depraved	0.031	0.837	0.395
depravity	depravity	0.115	0.854	0.453
depreciate	depreciate	0.270	0.623	0.445
depreciated	depreciated	0.135	0.672	0.250
depreciation	depreciation	0.143	0.571	0.386
depress	depress	0.219	0.635	0.528
depressed	depresi	0.024	0.445	0.136
depressing	neken	0.146	0.559	0.216
depression	rarasaan kateken	0.031	0.520	0.232
depressive	depressive	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	deprivation	0.194	0.610	0.413
deprive	nyabut	0.271	0.591	0.340
deprived	dicabut	0.354	0.506	0.536
depth	jerona	0.708	0.561	0.759
deputy	timbalan	0.429	0.530	0.787
derail	derail	0.108	0.802	0.375
deranged	deranged	0.376	0.868	0.357
derelict	derelict	0.208	0.470	0.237
derision	derision	0.265	0.670	0.292
derivation	derivasi	0.521	0.519	0.644
derivative	turunan	0.541	0.491	0.508
derive	nurunkeun	0.396	0.324	0.360
dermal	dermal	0.385	0.406	0.443
dermatologist	dermatologist	0.531	0.358	0.528
dermatology	dermatology	0.422	0.500	0.556
derogation	derogation	0.208	0.460	0.327
derogatory	derogatory	0.122	0.580	0.404
descend	turun	0.385	0.535	0.231
descendant	katurunan	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	nurun	0.219	0.493	0.250
descent	turunan	0.300	0.402	0.158
describe	ngagambarkeun	0.542	0.472	0.555
description	gambaran	0.582	0.425	0.596
descriptive	deskriptif	0.667	0.352	0.570
desecrate	desecrate	0.255	0.806	0.509
desecration	desecration	0.125	0.833	0.564
desert	ninggalkeun	0.469	0.279	0.389
deserted	deserted	0.156	0.480	0.214
deserter	deserter	0.122	0.710	0.366
desertion	pindah ka pihak musuh	0.122	0.630	0.289
deserve	boga hak	0.802	0.436	0.613
deserved	deserved	0.781	0.582	0.689
deserving	deserving	0.802	0.596	0.858
design	rarancang	0.796	0.327	0.632
designate	nunjuk	0.531	0.538	0.683
designated	ditunjuk	0.500	0.412	0.616
designation	designation	0.612	0.571	0.675
designed	dirancang	0.745	0.380	0.595
designer	jelema nu nyieun rarancang	0.875	0.519	0.670
designing	ngarancang	0.792	0.355	0.552
desirability	desirability	0.684	0.550	0.675
desirable	desirable	0.740	0.735	0.750
desire	kahayang	0.896	0.692	0.647
desiring	desiring	0.814	0.821	0.632
desirous	desirous	0.719	0.824	0.562
desist	desist	0.220	0.358	0.291
desk	meja	0.510	0.135	0.422
desolate	kapencil	0.104	0.320	0.228
desolation	desolation	0.073	0.481	0.273
despair	putus harepan	0.115	0.794	0.245
despairing	despairing	0.073	0.735	0.286
despatch	despatch	0.448	0.400	0.613
desperado	desperado	0.260	0.745	0.361
desperate	putus harepan	0.083	0.842	0.337
desperation	desperation	0.125	0.904	0.419
despicable	hina	0.146	0.710	0.255
despise	nganggap hina	0.167	0.745	0.296
despondent	despondent	0.133	0.378	0.221
despotic	despotic	0.141	0.824	0.592
despotism	despotism	0.255	0.696	0.620
dessert	kadaharan panungtup	0.755	0.491	0.404
destination	tujuan	0.708	0.471	0.637
destined	Linggarjati	0.698	0.462	0.617
destiny	takdir	0.781	0.413	0.611
destitute	malarat	0.130	0.451	0.222
destroy	ngahancurkeun	0.046	0.935	0.635
destroyed	ancur	0.031	0.696	0.288
destroyer	kapal keur ngahancurkeun musuh	0.083	0.830	0.543
destroying	ngaruksak	0.041	0.828	0.660
destruct	destruct	0.071	0.868	0.525
destruction	karuksakan	0.102	0.929	0.613
destructive	destructive	0.177	0.870	0.713
detach	nyoekkeun	0.357	0.625	0.450
detached	detached	0.280	0.396	0.216
detachment	detachment	0.243	0.700	0.443
detail	kawincikan nepi ka bubuk leutikna	0.514	0.406	0.528
detailed	wincik	0.603	0.314	0.472
details	rinci	0.583	0.367	0.481
detain	nahan	0.351	0.345	0.430
detainee	detainee	0.306	0.510	0.321
detect	manggihan	0.531	0.520	0.565
detectable	bisa didéteksi	0.479	0.539	0.649
detection	detéksi	0.708	0.567	0.538
detective	detektip	0.500	0.764	0.901
detector	detektor	0.459	0.630	0.724
detention	panahanan	0.265	0.698	0.562
deter	ngahalangan	0.344	0.537	0.567
detergent	deterjen	0.458	0.304	0.426
deteriorate	deteriorate	0.083	0.471	0.202
deteriorated	mudun	0.053	0.549	0.237
deteriorating	deteriorating	0.104	0.459	0.112
deterioration	deterioration	0.130	0.512	0.283
determinable	determinable	0.625	0.565	0.723
determinate	determinate	0.630	0.314	0.772
determination	kateguhan	0.776	0.725	0.795
determine	nangtukeun	0.612	0.368	0.776
determined	ditangtukeun	0.760	0.528	0.673
deterrent	tangkal	0.292	0.461	0.385
detest	detest	0.083	0.800	0.492
detestation	detestation	0.177	0.637	0.412
detonate	ngabitukeun	0.375	0.850	0.696
detonation	detonation	0.167	0.931	0.741
detonator	detonator	0.207	0.875	0.750
detour	jalan muter	0.398	0.539	0.309
detract	detract	0.344	0.438	0.368
detriment	detriment	0.281	0.538	0.263
detrimental	detrimental	0.203	0.679	0.387
detritus	detritus	0.276	0.353	0.363
deuce	deuce	0.479	0.338	0.425
deutschmark	deutschmark	0.439	0.431	0.509
devalued	devalued	0.321	0.462	0.212
devastate	ngahancurkeun	0.021	0.796	0.509
devastated	devastated	0.120	0.544	0.264
devastating	dahsyat	0.104	0.856	0.419
devastation	devastation	0.090	0.904	0.472
develop	ngawangun	0.771	0.670	0.821
developer	pamekar	0.844	0.653	0.864
developing	ngamekarkeun	0.833	0.587	0.714
development	pangwangunan	0.827	0.500	0.796
deviant	deviant	0.094	0.589	0.398
deviate	nyimpang	0.173	0.562	0.269
deviating	deviating	0.354	0.634	0.536
deviation	nyimpang	0.105	0.513	0.336
device	pakakas	0.562	0.404	0.627
devil	setan	0.161	0.900	0.611
deviled	deviled	0.347	0.559	0.358
devilish	devilish	0.073	0.865	0.490
devious	devious	0.250	0.519	0.259
devise	ngamanahan	0.551	0.557	0.670
devoid	devoid	0.219	0.436	0.300
devolution	devolution	0.345	0.434	0.425
devolve	devolve	0.367	0.427	0.596
devote	muja sapenuh ati	0.802	0.490	0.642
devoted	devoted	0.867	0.320	0.698
devotee	devotee	0.816	0.461	0.577
devotion	muja sapenuh ati	0.802	0.561	0.673
devotional	devotional	0.740	0.394	0.655
devour	devour	0.344	0.888	0.574
devout	taat	0.620	0.357	0.464
dew	ibun	0.604	0.225	0.464
dexter	Dexter	0.458	0.473	0.444
dexterity	dexterity	0.771	0.673	0.864
dextrose	dékstrosa	0.333	0.402	0.323
diabetes	diabetes	0.051	0.472	0.279
diabetic	diabetik	0.125	0.269	0.237
diabolical	diabolical	0.102	0.912	0.456
diagnose	nangtukeun jenis panyakitna	0.378	0.520	0.714
diagnosis	carana nangtukeun rupa panyakitna	0.571	0.500	0.819
diagnostic	diagnostik	0.417	0.483	0.635
diagnostics	diagnostics	0.540	0.440	0.750
diagonal	diagonal	0.500	0.343	0.410
diagram	diagram	0.562	0.357	0.445
dial	piringan	0.620	0.427	0.596
dialect	basa nu dihiji tempat	0.635	0.422	0.526
dialectic	jembar	0.510	0.540	0.638
dialogue	dialog	0.599	0.441	0.625
dialysis	dialysis	0.194	0.567	0.407
diameter	diameter	0.427	0.298	0.483
diamond	inten	0.910	0.606	0.769
diamonds	intan	0.927	0.684	0.917
diaper	popok	0.409	0.274	0.155
diaphragm	diafragma	0.459	0.337	0.517
diarrhea	mencret	0.092	0.684	0.143
diarrhoea	mencret	0.038	0.692	0.250
diary	buku catetan tiap poe	0.698	0.292	0.464
diatribe	diatribe	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	dibs	0.510	0.410	0.391
dice	dadu	0.458	0.441	0.264
dicey	dicey	0.290	0.833	0.727
dichotomous	dichotomous	0.365	0.452	0.538
dichotomy	dikotomi	0.323	0.482	0.483
dick	kontol	0.208	0.500	0.462
dickhead	dickhead	0.115	0.608	0.284
dicks	dicks	0.310	0.694	0.358
dictate	ngadikte	0.480	0.423	0.668
dictation	dikte	0.255	0.378	0.627
dictator	diktator	0.073	0.760	0.862
dictatorial	dictatorial	0.204	0.770	0.840
dictatorship	diktator	0.082	0.806	0.784
diction	diksi	0.439	0.373	0.679
dictionary	kamus	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	didactic	0.645	0.480	0.673
diddle	diddle	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	maot	0.021	0.650	0.327
diesel	solar	0.490	0.327	0.448
diet	diit	0.429	0.235	0.398
dietary	dietary	0.551	0.220	0.261
differ	bénten	0.230	0.398	0.396
difference	bédana	0.474	0.560	0.483
differences	Bedana	0.365	0.582	0.342
different	béda	0.612	0.394	0.473
differential	diferensial	0.520	0.378	0.535
differentiation	diferensiasi	0.367	0.561	0.535
differently	béda	0.480	0.431	0.506
differing	béda	0.418	0.410	0.455
difficult	hese	0.235	0.700	0.508
difficulties	kasusah	0.082	0.784	0.357
difficulty	kasulitan	0.079	0.740	0.368
diffuse	diffuse	0.430	0.431	0.321
diffusion	difusi	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	ngancurkeun	0.720	0.413	0.483
digestion	ngancuran	0.531	0.410	0.455
digestive	pencernaan	0.542	0.413	0.434
digit	angka	0.447	0.286	0.333
digital	digital	0.740	0.382	0.529
dignified	dignified	0.766	0.481	0.635
dignify	dignify	0.854	0.588	0.735
dignity	martabat	0.844	0.391	0.873
digress	digress	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	NO TRANSLATION	0.360	0.384	0.490
dilapidated	dilapidated	0.229	0.618	0.286
dilatation	dilatation	0.385	0.574	0.368
dilation	ngaleuleuskeun	0.347	0.490	0.578
dildo	kabayang	0.536	0.587	0.491
dilemma	dilema	0.153	0.590	0.430
diligence	karajinan	0.688	0.423	0.700
diligent	rajin	0.760	0.426	0.759
dill	Dill	0.427	0.360	0.373
diluent	diluent	0.417	0.344	0.332
dilute	ngencerkeun	0.275	0.192	0.349
diluted	diluted	0.469	0.310	0.229
dilution	éncér	0.445	0.337	0.352
dim	taram	0.398	0.321	0.273
dime	récéh	0.653	0.317	0.345
dimension	ukuran	0.592	0.415	0.627
dimensional	diménsi	0.561	0.484	0.596
diminish	ngeureunan	0.240	0.357	0.167
diminished	sabagean gede	0.156	0.269	0.196
diminution	diminution	0.316	0.296	0.245
diminutive	diminutive	0.323	0.200	0.109
dimwit	dimwit	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	dahar peuting	0.821	0.519	0.478
diner	diner	0.643	0.302	0.538
dinghy	kolek	0.510	0.269	0.325
dingo	dingo	0.608	0.472	0.346
dingy	dingy	0.156	0.483	0.343
dining	dining	0.724	0.350	0.459
dinky	dinky	0.357	0.451	0.358
dinner	dahar peuting	0.823	0.392	0.379
dinnertime	dinnertime	0.796	0.406	0.341
dinosaur	dinosaurus	0.448	0.630	0.596
dint	dint	0.378	0.480	0.492
diocesan	diocesan	0.520	0.283	0.518
diocese	diocese	0.510	0.288	0.575
diorama	diorama	0.592	0.441	0.462
dioxide	dioksida	0.354	0.433	0.456
dip	turun	0.516	0.583	0.397
diploma	diploma	0.750	0.462	0.731
diplomacy	diplomasi	0.740	0.396	0.774
diplomat	diplomat	0.563	0.262	0.868
diplomatic	diplomatik	0.653	0.363	0.918
dipper	dipper	0.548	0.361	0.348
dippy	dippy	0.430	0.402	0.340
dipstick	dipstick	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	langsung	0.793	0.403	0.650
directed	diarahkeun	0.542	0.490	0.541
direction	tuju	0.719	0.330	0.684
directive	diréktif	0.604	0.530	0.918
directly	langsung	0.747	0.400	0.702
director	nu mingpin pausahaan	0.688	0.580	0.912
directory	pitunjuk	0.439	0.413	0.538
dirt	kokotor	0.112	0.500	0.236
dirty	kotor	0.153	0.460	0.170
disability	hal nu henteu mampuh	0.073	0.482	0.173
disable	nganonaktipkeun	0.115	0.430	0.269
disabled	cacad	0.308	0.443	0.235
disadvantage	kaayaan nu ngarugikeun	0.150	0.377	0.282
disaffected	disaffected	0.176	0.410	0.291
disagree	teu satuju	0.133	0.590	0.345
disagreeable	disagreeable	0.042	0.643	0.178
disagreeing	disagreeing	0.255	0.643	0.350
disagreement	kaayaan teu satuju	0.104	0.618	0.236
disallow	disallow	0.156	0.519	0.424
disallowed	disallowed	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	ngaleungit	0.143	0.441	0.350
disappearance	kaleungitan	0.214	0.698	0.367
disappearing	ngiles	0.167	0.427	0.379
disappoint	nguciwakeun	0.150	0.633	0.288
disappointed	kuciwa	0.071	0.472	0.241
disappointing	nguciwakeun	0.073	0.640	0.200
disappointment	kuciwaan	0.115	0.490	0.336
disapproval	cawad	0.085	0.551	0.367
disapprove	nyempad	0.160	0.594	0.445
disapproved	disapproved	0.104	0.550	0.114
disapproving	disapproving	0.245	0.625	0.452
disarm	ngarampas pakarang	0.292	0.528	0.613
disarray	disarray	0.198	0.657	0.223
disaster	bencana	0.082	0.892	0.433
disastrous	anu mawa musibah	0.071	0.741	0.439
disband	ngabubarkeun	0.302	0.491	0.417
disbelief	kaayaan teu percaya	0.188	0.409	0.373
disbelieve	kafir	0.188	0.441	0.352
disburse	disburse	0.418	0.473	0.353
disbursement	pencairan	0.240	0.443	0.435
disc	disc	0.622	0.410	0.426
discard	Piceun	0.240	0.343	0.337
discarded	dipiceun	0.229	0.460	0.308
discards	discards	0.240	0.464	0.391
discern	discern	0.459	0.566	0.518
discernible	discernible	0.427	0.441	0.481
discerning	discerning	0.542	0.584	0.780
discernment	discernment	0.408	0.471	0.694
discharge	ngalesotkeun	0.427	0.538	0.578
disciple	murid	0.765	0.385	0.462
disciplinary	disiplin	0.562	0.593	0.796
discipline	disiplin	0.615	0.471	0.806
disciplined	disiplin	0.728	0.450	0.750
disclaim	disclaim	0.235	0.509	0.321
disclaimer	bantahan	0.367	0.571	0.542
disclose	nyingkab	0.490	0.570	0.545
disclosed	diungkabkeun	0.271	0.575	0.546
disclosure	nyingkaban	0.500	0.615	0.710
disco	disko	0.710	0.806	0.575
discoloration	discoloration	0.224	0.373	0.414
discolored	discolored	0.204	0.340	0.269
discomfort	teu ngarareunah	0.153	0.719	0.272
disconcerted	disconcerted	0.100	0.612	0.288
disconcerting	disconcerting	0.106	0.549	0.269
disconnect	mutuskeun	0.438	0.292	0.191
disconnected	dipegatkeun	0.292	0.276	0.173
disconnection	disconnection	0.167	0.283	0.277
disconnects	disconnects	0.256	0.357	0.241
discontent	discontent	0.240	0.530	0.263
discontinuance	discontinuance	0.123	0.741	0.337
discontinue	ngaeureunkeun	0.354	0.396	0.349
discontinuity	discontinuity	0.303	0.439	0.250
discontinuous	discontinuous	0.233	0.409	0.316
discord	discord	0.115	0.882	0.465
discount	potongan harga	0.724	0.530	0.302
discounted	potongan	0.677	0.471	0.430
discourage	ngaleutikeun hate	0.184	0.443	0.267
discouraged	discouraged	0.220	0.304	0.090
discouragement	discouragement	0.112	0.319	0.206
discouraging	ngalemahkeun	0.167	0.469	0.281
discourse	wacana	0.410	0.550	0.803
discover	manggih	0.771	0.793	0.673
discovery	pamanggihan	0.823	0.627	0.814
discredit	discredit	0.075	0.529	0.355
discredited	discredited	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	hal nu henteu sajalan	0.260	0.643	0.417
discrete	diskrit	0.585	0.231	0.429
discretion	kawijaksanaan	0.552	0.320	0.685
discretionary	discretionary	0.520	0.365	0.446
discriminate	ngabentenkeun	0.125	0.761	0.366
discriminating	discriminating	0.160	0.783	0.462
discrimination	pilih kasih	0.051	0.724	0.379
discus	discus	0.542	0.423	0.343
discuss	reriungan	0.396	0.769	0.509
discussion	diskusi	0.333	0.842	0.536
disdain	disdain	0.153	0.446	0.441
disdainful	disdainful	0.097	0.480	0.263
disease	panyakit	0.041	0.539	0.333
diseased	diseased	0.123	0.510	0.134
disembodied	disembodied	0.167	0.620	0.412
disengage	disengage	0.406	0.529	0.304
disengagement	paleupasan	0.327	0.373	0.395
disfigured	disfigured	0.153	0.613	0.336
disgrace	aeb	0.061	0.531	0.331
disgraced	disgraced	0.071	0.661	0.250
disgraceful	ngerakeun	0.082	0.702	0.240
disgruntled	disgruntled	0.104	0.658	0.442
disguise	nyamur	0.573	0.694	0.431
disguised	disguised	0.500	0.615	0.326
disgust	geuleuh	0.052	0.775	0.317
disgusted	disgusted	0.051	0.773	0.274
disgusting	pikageuleuhan	0.031	0.796	0.245
dish	asakan	0.552	0.255	0.264
disheartened	disheartened	0.153	0.343	0.238
disheartening	disheartening	0.010	0.353	0.224
dishonest	teu jujur	0.191	0.491	0.163
dishonesty	dishonesty	0.094	0.592	0.348
dishonor	dishonor	0.104	0.620	0.185
dishonorable	dishonorable	0.112	0.641	0.280
dishwasher	pangwasuh piring	0.480	0.296	0.324
disillusionment	disillusionment	0.051	0.519	0.190
disinclination	disinclination	0.125	0.491	0.330
disincline	disincline	0.458	0.454	0.278
disinclined	disinclined	0.385	0.442	0.364
disinfect	disinfect	0.448	0.388	0.648
disinfectant	disinféktan	0.531	0.429	0.460
disinfection	disinfection	0.517	0.556	0.473
disinformation	disinformation	0.230	0.577	0.260
disingenuous	disingenuous	0.194	0.509	0.204
disintegrate	disintegrate	0.143	0.660	0.364
disintegration	disintegration	0.094	0.551	0.381
disinterested	disinterested	0.398	0.284	0.392
disjoint	disjoint	0.351	0.385	0.322
disjointed	disjointed	0.323	0.518	0.365
disjunctive	disjunctive	0.286	0.481	0.400
disk	cakram	0.573	0.423	0.412
diskette	diskette	0.531	0.255	0.391
dislike	daek	0.156	0.406	0.321
disliked	disliked	0.062	0.510	0.221
disliking	disliking	0.163	0.637	0.366
dislocated	dislocated	0.125	0.625	0.200
dislocation	dislocation	0.229	0.565	0.373
dislodge	dislodge	0.214	0.769	0.356
disloyal	disloyal	0.062	0.582	0.245
disloyalty	disloyalty	0.187	0.716	0.267
dismal	dismal	0.194	0.450	0.192
dismantle	ngabongkar	0.347	0.644	0.462
dismay	dismay	0.314	0.681	0.459
dismayed	dismayed	0.165	0.735	0.389
dismemberment	dismemberment	0.104	0.860	0.470
dismiss	ngabubarkeun	0.167	0.541	0.509
dismissal	bubaran	0.153	0.723	0.271
dismissive	dismissive	0.188	0.541	0.430
dismount	dismount	0.361	0.423	0.391
disobedience	hal nu henteu patuh	0.051	0.868	0.369
disobedient	henteu patuh	0.276	0.706	0.353
disobey	henteu patuh	0.143	0.556	0.491
disorder	gangguan	0.115	0.816	0.218
disordered	disordered	0.210	0.714	0.288
disorderly	disorderly	0.188	0.748	0.385
disorganized	disorganized	0.052	0.507	0.184
disorientation	disorientation	0.163	0.472	0.212
disoriented	disoriented	0.227	0.643	0.227
disown	disown	0.153	0.637	0.368
disparage	disparage	0.092	0.663	0.336
disparaging	disparaging	0.102	0.626	0.411
disparate	disparate	0.438	0.500	0.368
disparity	disparity	0.208	0.482	0.361
dispassionate	dispassionate	0.199	0.217	0.218
dispatch	dispatch	0.317	0.417	0.555
dispatcher	dispatcher	0.365	0.704	0.652
dispel	dispel	0.388	0.402	0.411
dispensary	dispensary	0.406	0.380	0.606
dispensation	dispensasi	0.388	0.462	0.490
dispense	dispense	0.561	0.520	0.518
dispenser	dispenser	0.583	0.392	0.470
dispersal	dispersal	0.388	0.507	0.421
disperse	ngabubarkeun	0.375	0.569	0.434
dispersed	dispersed	0.344	0.490	0.274
dispersion	dispersi	0.270	0.604	0.350
dispirited	dispirited	0.204	0.280	0.142
displace	mindahkeun	0.424	0.541	0.454
displaced	lunta	0.281	0.472	0.291
displacement	kapindahan	0.276	0.531	0.481
displacency	displacency	0.500	0.528	0.642
display	mamerkeun	0.677	0.325	0.400
displease	displease	0.021	0.702	0.286
displeased	displeased	0.135	0.690	0.400
displeasure	displeasure	0.115	0.559	0.250
disposable	disposable	0.271	0.439	0.250
disposal	pembuangan	0.135	0.608	0.396
dispose	dispose	0.548	0.538	0.559
disposed	disposed	0.688	0.441	0.625
disposition	disposition	0.663	0.542	0.734
dispossessed	dispossessed	0.354	0.577	0.331
disprove	ngabantah	0.375	0.625	0.613
dispute	pasea	0.219	0.750	0.585
disqualification	disqualification	0.066	0.677	0.330
disqualified	disqualified	0.129	0.464	0.232
disqualify	disqualify	0.208	0.595	0.267
disquieted	disquieted	0.229	0.850	0.290
disregard	disregard	0.177	0.647	0.308
disregarded	disregarded	0.260	0.458	0.283
disrelish	disrelish	0.375	0.471	0.304
disreputable	disreputable	0.104	0.688	0.353
disrepute	disrepute	0.208	0.630	0.292
disrespect	disrespect	0.062	0.637	0.302
disrespectful	cucungah	0.031	0.694	0.273
disrupt	ngacowkeun	0.265	0.640	0.349
disrupting	disrupting	0.186	0.557	0.339
disruption	kariweuh	0.235	0.735	0.436
disruptive	disruptive	0.255	0.755	0.575
dissatisfaction	dissatisfaction	0.115	0.663	0.202
dissatisfied	teu sugema	0.042	0.561	0.291
dissect	dissect	0.367	0.750	0.595
dissection	dissection	0.276	0.632	0.462
disseminate	nyebarkeun	0.562	0.608	0.750
dissemination	sosialisasi	0.476	0.551	0.583
dissension	dissension	0.250	0.618	0.414
dissent	dissent	0.300	0.655	0.407
dissenting	dissenting	0.208	0.552	0.366
dissertation	disertasi	0.312	0.575	0.575
disservice	disservice	0.250	0.794	0.480
dissident	dissident	0.350	0.582	0.413
dissimilar	dissimilar	0.276	0.461	0.472
dissipate	dissipate	0.385	0.368	0.355
dissipated	dissipated	0.281	0.421	0.231
dissociation	disosiasi	0.135	0.555	0.471
dissociative	dissociative	0.281	0.615	0.397
dissolution	disolusi	0.204	0.464	0.349
dissolve	ngaleyurkeun	0.271	0.490	0.410
dissonance	dissonance	0.173	0.471	0.336
dissuade	dissuade	0.482	0.500	0.350
distal	distal	0.410	0.401	0.438
distance	jarak	0.233	0.317	0.418
distant	tebih	0.229	0.324	0.269
distaste	distaste	0.184	0.625	0.370
distasteful	distasteful	0.264	0.676	0.222
distillate	distillate	0.500	0.347	0.382
distillation	distilasi	0.396	0.436	0.575
distilled	sulingan	0.427	0.573	0.500
