Word	Nepali-ne	Valence	Arousal	Dominance
collegiate	महाविद्यालय	0.592	0.461	0.678
collide	ट्वीटर गर्नुहोस्	0.271	0.892	0.557
collie	कोला	0.562	0.308	0.328
collision	टक्कर	0.245	0.848	0.585
collocation	टाउको दुखाइ	0.637	0.360	0.594
colloquial	रंगमंच	0.604	0.363	0.368
collusion	भ्रम	0.365	0.510	0.400
cologne	कोलोन	0.677	0.413	0.552
colon	colon	0.449	0.394	0.384
colonel	colonel	0.459	0.592	0.890
colonial	औपनिवेशिक	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	कोलोनोस्कोपी	0.208	0.524	0.466
colony	कलोनी	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	रंग	0.786	0.280	0.402
coloration	रंग	0.541	0.520	0.443
colored	रंगीन	0.806	0.317	0.275
colorful	रंगीन	0.850	0.520	0.519
coloring	रंग	0.781	0.469	0.353
colorless	रंगहीन	0.354	0.340	0.250
colors	रंगहरू	0.875	0.349	0.340
colossal	असाधारण	0.698	0.692	0.900
colt	बर्फ	0.561	0.587	0.543
columbine	कोलम्बीन	0.520	0.521	0.407
column	स्तम्भ	0.480	0.250	0.670
columnar	स्तम्भ	0.448	0.340	0.491
columnist	स्तम्भकार	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	coma	0.219	0.255	0.302
comatose	comatose	0.143	0.438	0.433
comb	comb	0.490	0.123	0.268
combat	लडाई	0.302	0.846	0.833
combatant	लडाकू	0.531	0.853	0.780
combative	संयोजन	0.381	0.690	0.816
combination	संयोजन	0.708	0.480	0.726
combinatorial	combinatorial	0.561	0.436	0.428
combine	गठबन्धन	0.663	0.442	0.533
combined	संयुक्त	0.622	0.370	0.500
combo	combo	0.698	0.439	0.453
combustible	मिल्ने	0.386	0.650	0.750
combustion	दहन	0.457	0.807	0.591
come	आउनुहोस्	0.529	0.269	0.558
comeback	फिर्ता	0.580	0.409	0.555
comedian	हास्य अभिनेता	0.812	0.735	0.598
comedy	हास्य	0.918	0.555	0.490
comet	comet	0.704	0.679	0.471
comfort	सान्त्वना	0.863	0.231	0.670
comfortable	आरामदायक	0.927	0.163	0.473
comforter	सहकर्मी	0.618	0.275	0.302
comforting	सान्त्वनादायक	0.906	0.337	0.620
comfy	comfy	0.930	0.241	0.625
comic	हास्य	0.917	0.459	0.387
comical	हास्य	0.844	0.737	0.327
comics	हास्य	0.690	0.556	0.384
coming	आउँदैछ	0.653	0.417	0.500
comma	अल्पविराम	0.344	0.269	0.242
command	आदेश	0.427	0.790	0.849
commandant	कमांडर	0.622	0.700	0.943
commandeer	कमांडर	0.552	0.639	0.931
commander	कमान्डर	0.531	0.615	0.906
commanding	कमान्डर	0.562	0.664	0.925
commandment	आदेश	0.656	0.490	0.876
commando	कमांडो	0.323	0.710	0.817
commemorate	स्मरण गर्नुहोस्	0.812	0.602	0.636
commemoration	स्मारक	0.719	0.615	0.754
commemorative	स्मारक	0.750	0.438	0.754
commence	सुरु गर्नुहोस्	0.760	0.585	0.741
commend	प्रशंसा गर्नुहोस्	0.906	0.694	0.711
commendable	प्रशंसनीय	0.786	0.570	0.555
commendation	प्रशंसा	0.911	0.500	0.639
commensurate	संवेदनशील	0.610	0.304	0.550
comment	टिप्पणी गर्नुहोस्	0.667	0.417	0.379
commentary	टिप्पणी	0.602	0.402	0.446
commentator	टिप्पणीकार	0.492	0.510	0.607
commerce	वाणिज्य	0.646	0.500	0.788
commercial	व्यापारिक	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	commissary	0.385	0.500	0.788
commission	आयोग	0.677	0.480	0.571
commissioner	आयुक्त	0.602	0.449	0.949
commit	प्रतिबद्ध	0.365	0.529	0.491
commitment	प्रतिबद्धताको	0.714	0.710	0.843
committal	committal	0.472	0.519	0.582
committed	प्रतिबद्ध	0.710	0.542	0.712
committee	समिति	0.592	0.392	0.721
commodity	वस्तु	0.615	0.394	0.537
commodore	कमोडिटी	0.427	0.530	0.636
common	सामान्य	0.600	0.127	0.318
commoner	सामान्य	0.448	0.365	0.327
commonly	सामान्यतः	0.604	0.170	0.574
commonplace	सामान्य	0.520	0.337	0.442
commons	commons	0.633	0.396	0.623
commonwealth	सामान्यतया	0.630	0.406	0.702
commotion	भक्ति	0.490	0.700	0.646
communal	communal	0.592	0.321	0.556
commune	कम्यून	0.500	0.488	0.655
communicable	संवाददाता	0.796	0.491	0.623
communicate	कुराकानी गर्नुहोस्	0.823	0.410	0.696
communication	संचार	0.837	0.400	0.649
communicative	संवाद	0.847	0.560	0.637
communicator	संवाददाता	0.573	0.509	0.796
communion	communion	0.765	0.357	0.607
communism	communism	0.264	0.570	0.623
communist	कम्युनिस्ट	0.265	0.702	0.632
community	समुदाय	0.750	0.350	0.659
commutation	commutation	0.469	0.431	0.652
commutative	commutative	0.667	0.442	0.569
commute	कम गर्नुहोस्	0.622	0.582	0.565
commuter	कम्यूटर	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	कम्पैक्ट	0.458	0.417	0.673
compaction	सम्मिश्रण	0.531	0.471	0.582
compactness	कम्पैक्टनेस	0.582	0.352	0.454
companion	साथी	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	companionship	0.833	0.438	0.792
company	कम्पनी	0.906	0.425	0.798
comparable	तुलनायोग्य	0.562	0.443	0.458
comparative	तुलनात्मक	0.470	0.273	0.562
comparatively	तुलनात्मक रूपमा	0.604	0.391	0.538
compare	तुलना गर्नुहोस्	0.552	0.408	0.524
comparison	तुलना	0.583	0.456	0.492
compartment	डिब्बा	0.500	0.389	0.607
compass	कम्पास	0.541	0.307	0.529
compassion	दयालु	0.735	0.258	0.509
compassionate	दयालु	0.857	0.404	0.411
compatibility	अनुकूलता	0.816	0.450	0.673
compatible	संगत	0.892	0.387	0.638
compel	compel	0.200	0.847	0.625
compelled	बाध्यता	0.333	0.654	0.347
compelling	सम्मोहक	0.698	0.570	0.870
compendium	कम्पनियम	0.610	0.461	0.537
compensate	क्षतिपूर्ति	0.612	0.429	0.762
compensation	क्षतिपूर्ति	0.775	0.469	0.598
compensatory	क्षतिपूर्ति	0.589	0.490	0.700
compete	प्रतिस्पर्धा गर्नुहोस्	0.573	0.745	0.786
competence	क्षमता	0.615	0.802	0.823
competency	क्षमता	0.768	0.775	0.764
competent	सक्षम	0.865	0.560	0.904
competition	प्रतिस्पर्धा	0.580	0.790	0.798
competitive	प्रतिस्पर्धी	0.447	0.718	0.908
competitor	प्रतियोगी	0.612	0.959	0.861
compilation	संकलन	0.530	0.512	0.606
compile	संकलन गर्नुहोस्	0.600	0.413	0.519
complacency	बधाई छ	0.604	0.503	0.519
complacent	अनुचित	0.625	0.452	0.518
complain	शिकायत	0.143	0.682	0.360
complaint	उजुरी	0.143	0.606	0.281
complement	पूरै	0.760	0.277	0.600
complementary	पूरै	0.714	0.320	0.586
complete	पूरा	0.750	0.414	0.809
completed	पूरा भयो	0.823	0.357	0.777
completely	पुरा तरिकाले	0.730	0.370	0.690
completeness	पूर्णता	0.823	0.433	0.769
completing	पूरै	0.614	0.500	0.769
completion	पूरा भयो	0.656	0.470	0.525
complex	जटिल	0.388	0.608	0.550
complexed	जटिल	0.312	0.577	0.612
complexion	रंग	0.521	0.520	0.380
complexity	जटिलता	0.479	0.620	0.595
compliance	अनुपालन	0.750	0.462	0.750
compliant	अनुपालन	0.677	0.310	0.519
complicate	जटिल	0.210	0.657	0.404
complicated	जटिल	0.211	0.660	0.455
complication	जटिलता	0.365	0.726	0.330
complicity	जटिलता	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	मानार्थ	0.823	0.413	0.435
comply	पालन ​​गर्नुहोस्	0.806	0.370	0.638
complying	पालन ​​गर्दै	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	घटक	0.531	0.382	0.525
compose	रचना	0.639	0.432	0.694
composed	बनाइएको	0.684	0.385	0.682
composer	संगीतकार	0.822	0.588	0.691
composite	समग्र	0.591	0.459	0.620
composition	रचना	0.765	0.408	0.652
compost	कम्पोस्ट गर्नुहोस्	0.480	0.404	0.441
composure	कम्पोजर	0.802	0.354	0.717
compound	कम्पाउन्ड	0.635	0.385	0.735
comprehend	बुझ्दछन्	0.875	0.365	0.689
comprehension	समझ	0.908	0.387	0.688
comprehensive	व्यापक	0.796	0.385	0.644
compress	कम्प्रेस गर्नुहोस्	0.406	0.412	0.460
compressed	संकुचित	0.323	0.396	0.388
compressible	compressible	0.622	0.392	0.585
compression	संपीडन	0.646	0.521	0.579
compressor	कम्प्रेसर	0.418	0.481	0.630
comprise	समावेश गर्नुहोस्	0.839	0.373	0.669
compromise	समझौता	0.677	0.520	0.805
comptroller	कम्पुट्रोलर	0.402	0.481	0.866
compulsion	बाध्यता	0.118	0.760	0.604
compulsive	अनिवार्य	0.347	0.871	0.573
compulsory	अनिवार्य	0.343	0.541	0.791
computable	कम्प्यूट योग्य	0.570	0.402	0.545
computation	गणना	0.583	0.429	0.697
compute	रचना गर्नुहोस्	0.531	0.408	0.564
computer	कम्प्युटर	0.802	0.356	0.639
computerized	कम्प्यूटरीकृत	0.677	0.450	0.657
computing	कम्प्यूटिंग	0.745	0.398	0.695
comrade	comrade	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	concatenation	0.480	0.593	0.539
concave	concave	0.441	0.349	0.349
conceal	लुकाउनुहोस्	0.312	0.436	0.306
concealed	लुकेको छ	0.344	0.363	0.352
concealment	लुकाउने	0.302	0.570	0.390
concede	concede	0.670	0.324	0.473
conceit	लुकाउनुहोस्	0.354	0.625	0.309
conceited	लुकेको	0.194	0.667	0.473
conceivable	कल्पनायोग्य	0.730	0.350	0.613
conceive	गर्भ गर्न	0.708	0.538	0.700
concentrate	ध्यान दिनुहोस्	0.750	0.439	0.743
concentration	एकाग्रता	0.735	0.500	0.722
concentric	concentric	0.730	0.479	0.635
concept	अवधारणा	0.573	0.265	0.632
conception	अवधारणा	0.694	0.490	0.614
concern	चिन्ता	0.250	0.734	0.463
concerned	चिन्तित	0.292	0.698	0.350
concert	संगीत कार्यक्रम	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	रियायत	0.588	0.423	0.615
concessional	रौतहट	0.770	0.493	0.657
conch	conch	0.583	0.306	0.339
concierge	दरबार	0.480	0.343	0.343
conciliation	सहमति	0.792	0.475	0.726
concise	संक्षिप्त	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	समाप्ति गर्नुहोस्	0.530	0.267	0.679
concluding	समाप्ति	0.531	0.382	0.603
conclusion	निष्कर्ष	0.615	0.377	0.659
conclusive	निर्णायक	0.500	0.427	0.745
concoction	कोण	0.448	0.459	0.417
concomitant	concomitant	0.427	0.482	0.727
concord	concord	0.677	0.320	0.586
concordance	Concordance	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	सङ्ग्रह	0.740	0.657	0.528
concrete	कंक्रीट	0.633	0.420	0.547
concubine	concubine	0.388	0.594	0.476
concur	concur	0.459	0.394	0.429
concurrence	समता	0.764	0.627	0.613
concurrent	समकालीन	0.573	0.547	0.741
concurring	सङ्गठन	0.573	0.600	0.681
concussion	concussion	0.072	0.708	0.482
condemn	दोषी	0.102	0.793	0.625
condemnation	दोषी	0.133	0.725	0.449
condensation	संक्षेपण	0.510	0.316	0.538
condensed	गाँसिएको	0.598	0.415	0.623
condescending	संवेदना	0.583	0.363	0.593
condescension	condescension	0.521	0.377	0.565
condiment	मसाले	0.520	0.333	0.433
condition	अवस्था	0.500	0.469	0.519
conditional	सशर्त	0.521	0.343	0.556
conditionally	वास्तवमा	0.396	0.419	0.617
conditioned	कर्तव्य	0.490	0.417	0.616
conditioner	कंडीशनर	0.781	0.360	0.538
conditioning	क्यान्सर	0.440	0.468	0.617
conditions	सर्तहरू	0.551	0.441	0.593
condo	condo	0.439	0.288	0.607
condolence	सतावट	0.260	0.443	0.404
condolences	सतावट	0.198	0.480	0.288
condom	कंडोम	0.406	0.637	0.500
condone	condone	0.571	0.441	0.619
condor	कन्डक्टर	0.573	0.388	0.519
conducive	अनुकूल	0.775	0.479	0.679
conduct	आचरण	0.453	0.510	0.750
conduction	चालन	0.530	0.557	0.717
conductivity	चालकता	0.583	0.575	0.642
conductor	कंडक्टर	0.677	0.663	0.621
conduit	कन्डुड	0.470	0.302	0.413
cone	सोली	0.417	0.208	0.343
confederacy	Confederacy	0.590	0.541	0.736
confederate	संघीयता	0.551	0.546	0.792
confederation	संघीयता	0.663	0.404	0.830
confer	कन्फर गर्नुहोस्	0.573	0.482	0.583
conference	सम्मेलन	0.688	0.615	0.606
confess	स्वीकार गर्नुहोस्	0.360	0.712	0.431
confession	सहमति	0.469	0.642	0.460
confessional	सहमति	0.458	0.392	0.629
confessions	सहमति	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	संधै	0.837	0.633	0.631
confide	बन्द गर्नुहोस्	0.669	0.472	0.595
confidence	निर्धक्क	0.959	0.276	0.943
confident	विश्वास	0.765	0.324	0.723
confidential	गोप्य	0.643	0.471	0.761
confidentiality	गोप्यता	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	कन्फिगरेसन	0.540	0.443	0.591
confine	बन्द गर्नुहोस्	0.327	0.551	0.538
confined	सीमित	0.286	0.472	0.444
confinement	बन्द	0.333	0.656	0.520
confines	बन्द गर्दछ	0.396	0.386	0.542
confirm	पुष्टि गर्नुहोस्	0.802	0.439	0.806
confirmation	पुष्टिकरण	0.812	0.480	0.692
confirmatory	पुष्टि	0.656	0.500	0.683
confirmed	पुष्टि भयो	0.760	0.490	0.764
confiscate	भत्किएको	0.250	0.625	0.482
confiscation	भत्किएको	0.208	0.706	0.586
conflagration	कन्फ्लग्रेसन	0.344	0.721	0.594
conflict	विवाद	0.335	0.906	0.471
conflicting	विवादित	0.173	0.738	0.553
confluence	संगोष्ठी	0.677	0.598	0.565
conform	अनुरूप गर्नुहोस्	0.479	0.380	0.375
conformance	conformance	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	अनुकूलता	0.645	0.363	0.579
confound	गम्भीर	0.347	0.529	0.333
confounded	भंग भयो	0.333	0.528	0.264
confront	सामना गर्नुहोस्	0.281	0.760	0.746
confrontation	टकराव	0.177	0.870	0.658
confuse	भ्रमित गर्नुहोस्	0.100	0.580	0.270
confused	भ्रमित	0.220	0.650	0.179
confusing	भ्रमित	0.229	0.690	0.222
confusion	भ्रम	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	congenial	0.820	0.412	0.620
congenital	जन्मजात	0.448	0.434	0.427
congestion	भित्री भाग	0.271	0.654	0.491
conglomerate	संघीयता	0.500	0.500	0.838
conglomeration	संघीयता	0.541	0.720	0.670
congrats	बधाई छ	0.930	0.726	0.775
congratulate	बधाई छ	0.927	0.724	0.784
congratulation	बधाई छ	0.948	0.780	0.717
congratulations	बधाई छ	0.960	0.755	0.719
congratulatory	बधाई छ	0.959	0.616	0.689
congregate	मण्डली	0.653	0.530	0.733
congregation	मण्डली	0.561	0.490	0.700
congress	कांग्रेस	0.449	0.444	0.857
congressional	कांग्रेस	0.552	0.491	0.848
congressman	कांग्रेस	0.438	0.471	0.877
congruence	congruence	0.656	0.472	0.577
conic	कोनिक	0.510	0.368	0.379
conical	शास्त्रीय	0.490	0.422	0.471
conjecture	अनुमान	0.396	0.398	0.534
conjugal	मंगोलियन	0.698	0.510	0.688
conjugate	conjugate	0.583	0.420	0.467
conjugation	conjugation	0.479	0.429	0.582
conjunction	संयोजन	0.520	0.472	0.509
conjunctive	संयोजक	0.487	0.444	0.639
conjure	conjure	0.385	0.679	0.645
conjuring	conjuring	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	जडान गर्नुहोस्	0.724	0.299	0.536
connected	जोडिएको	0.816	0.550	0.612
connection	जडान	0.729	0.560	0.655
connective	कनेक्टिविटी	0.719	0.491	0.764
connoisseur	connoisseur	0.760	0.461	0.769
conquer	विजय गर्नुहोस्	0.694	0.873	0.971
conquering	विजयी हुनुहोस्	0.760	0.873	0.936
conqueror	विजेता	0.604	0.809	0.930
conquest	विजय	0.710	0.702	0.833
conscience	अन्तस्करण	0.663	0.375	0.721
conscientious	ईमानदार	0.688	0.404	0.688
conscious	होशियार	0.740	0.333	0.705
consciousness	चेतना	0.840	0.483	0.755
conscription	बलात्कार	0.396	0.775	0.642
consecrated	उद्धार गरियो	0.663	0.500	0.800
consecration	अभिषेक	0.771	0.418	0.804
consecutive	लगातार	0.663	0.418	0.643
consensual	सहमति	0.663	0.417	0.655
consensus	सहमति	0.627	0.358	0.625
consent	सहमति	0.750	0.500	0.620
consenting	सहमति	0.727	0.406	0.693
consequence	परिणाम	0.240	0.721	0.593
consequent	फलस्वरूप	0.663	0.471	0.625
conservation	संरक्षण	0.832	0.401	0.606
conservatism	रूढिवादी	0.406	0.369	0.633
conservative	रूढ़िवादी	0.615	0.316	0.788
conservatory	रूढ़िवादी	0.635	0.240	0.729
conserve	सुरक्षित राख्नुहोस्	0.690	0.347	0.573
consider	विचार गर्नुहोस्	0.677	0.368	0.579
considerable	उल्लेखनीय	0.653	0.314	0.683
considerate	विचार	0.781	0.380	0.633
consideration	विचार	0.589	0.380	0.687
consignee	कुटनी	0.635	0.385	0.602
consignment	भत्ता	0.490	0.440	0.500
consist	समावेश छ	0.823	0.386	0.580
consistency	स्थिरता	0.714	0.500	0.887
consistent	लगातार	0.786	0.431	0.726
consolation	सोसाइटी	0.408	0.250	0.304
console	कन्सोल	0.625	0.398	0.415
consoled	निस्केको	0.700	0.343	0.452
consolidate	सङ्कलन गर्नुहोस्	0.880	0.440	0.870
consolidated	समेकित	0.700	0.366	0.784
consolidation	समेकन	0.604	0.445	0.776
consonant	कांस्य	0.500	0.347	0.417
consort	consort	0.632	0.509	0.630
conspicuous	सुन्दर	0.479	0.520	0.596
conspiracy	साजिश	0.125	0.787	0.652
conspirator	साजिशकर्ता	0.271	0.786	0.707
conspire	conspire	0.206	0.740	0.520
constable	constable	0.573	0.667	0.764
constancy	constancy	0.786	0.443	0.763
constant	निरन्तर	0.740	0.296	0.686
constantly	लगातार	0.663	0.561	0.700
constellation	तारामण्डल	0.719	0.533	0.775
consternation	सहमति	0.167	0.680	0.469
constipation	कब्ज	0.079	0.612	0.231
constituency	निर्वाचन क्षेत्र	0.500	0.480	0.696
constituent	घटक	0.573	0.500	0.827
constituents	घटक	0.573	0.414	0.833
constitute	बनाउँछ	0.812	0.349	0.906
constitution	संविधान	0.590	0.380	0.889
constitutional	संवैधानिक	0.633	0.418	0.827
constitutionality	संविधान	0.612	0.439	0.853
constrain	बाधा	0.261	0.500	0.500
constrained	विचलित	0.135	0.537	0.357
constraint	बाधा	0.323	0.550	0.481
construct	निर्माण	0.750	0.648	0.792
construction	निर्माण	0.848	0.612	0.759
constructive	रचनात्मक	0.860	0.570	0.812
construe	घृणा गर्नुहोस्	0.602	0.519	0.553
consul	consul	0.573	0.354	0.688
consulate	कन्सुलर	0.561	0.453	0.694
consult	परामर्श	0.755	0.370	0.441
consultant	सलाहकार	0.770	0.344	0.808
consultation	परामर्श	0.660	0.463	0.625
consume	उपभोग गर्नुहोस्	0.427	0.620	0.509
consumer	उपभोक्ता	0.507	0.551	0.677
consuming	खानुहुन्छ	0.573	0.541	0.536
consummate	खपत	0.551	0.540	0.558
consummation	खपत	0.583	0.676	0.661
consumption	खपत	0.390	0.531	0.538
contact	सम्पर्क गर्नुहोस्	0.719	0.424	0.526
contagion	संयोग	0.208	0.630	0.535
contagious	संक्रामक	0.184	0.725	0.400
contain	समावेश गर्दछ	0.542	0.490	0.658
container	कन्टेनर	0.551	0.396	0.561
containment	अवतरण	0.411	0.491	0.618
contaminate	संक्रामक	0.140	0.611	0.426
contaminated	दूषित	0.040	0.500	0.368
contamination	संदूषण	0.125	0.610	0.375
contemplate	मन पराउँछन्	0.740	0.347	0.642
contemplation	चिन्तन	0.552	0.324	0.627
contemplative	आकस्मिक	0.729	0.308	0.739
contemporaneous	समकालीन	0.640	0.373	0.591
contemporary	समकालीन	0.720	0.365	0.569
contempt	घृणा गर्नुहोस्	0.206	0.635	0.396
contemptible	घृणात्मक	0.146	0.657	0.471
contemptuous	घृणित	0.204	0.500	0.375
contend	विवादित	0.510	0.657	0.731
contender	दावेदार	0.480	0.790	0.681
contending	विवादित	0.490	0.698	0.716
content	सामग्री	0.764	0.296	0.559
contented	सन्तुलित	0.857	0.612	0.746
contention	विवाद	0.375	0.510	0.738
contentious	विवादास्पद	0.422	0.573	0.637
contentment	सन्तुष्टि	0.875	0.610	0.782
contents	सामग्री	0.656	0.375	0.550
contest	प्रतियोगिता	0.667	0.698	0.717
contestant	प्रतियोगी	0.760	0.530	0.602
context	सन्दर्भ	0.531	0.300	0.553
contiguous	असम्भव	0.375	0.450	0.500
continence	continence	0.450	0.396	0.469
continent	महादेश	0.551	0.373	0.833
continental	महाद्वीपीय	0.486	0.350	0.755
contingency	आकस्मिक	0.396	0.500	0.670
contingent	आकस्मिक	0.470	0.531	0.659
continual	निरन्तर	0.500	0.423	0.685
continually	लगातार	0.646	0.438	0.698
continuance	निरन्तरता	0.729	0.510	0.652
continuation	निरन्तरता	0.615	0.470	0.566
continue	जारी राख्नुहोस्	0.630	0.427	0.612
continued	जारी राख्यो	0.635	0.440	0.500
continuing	जारी	0.667	0.500	0.520
continuity	निरन्तरता	0.781	0.439	0.684
continuous	निरन्तर	0.625	0.509	0.580
continuously	लगातार	0.719	0.417	0.702
continuum	निरंतर	0.677	0.390	0.491
contour	समोच्च	0.589	0.265	0.414
contraband	contraband	0.177	0.875	0.670
contraception	गर्भपात	0.296	0.518	0.525
contract	अनुबंध	0.594	0.412	0.636
contracted	अनुबंधित	0.344	0.557	0.449
contractile	ठेकेदार	0.480	0.586	0.569
contracting	अनुबंध	0.594	0.490	0.769
contraction	संकुचन	0.292	0.755	0.603
contractor	ठेकेदार	0.592	0.479	0.727
contradict	विरोधाभास	0.160	0.598	0.482
contradiction	विरोधाभास	0.250	0.660	0.377
contradictory	विरोधाभास	0.365	0.651	0.421
contraption	संकुचन	0.448	0.590	0.491
contrary	यसको विपरीत	0.327	0.449	0.338
contrast	यसको विपरीत	0.480	0.406	0.520
contrasted	यसको विपरीत	0.521	0.538	0.491
contravene	विनाश	0.357	0.618	0.472
contravention	विरोध	0.344	0.627	0.593
contribute	योगदान	0.806	0.350	0.795
contribution	योगदान	0.854	0.452	0.760
contributor	योगदानकर्ता	0.844	0.510	0.760
contrite	द्रष्टव्य	0.347	0.363	0.473
contrition	संक्रमण	0.347	0.583	0.463
contrived	विवादित	0.408	0.530	0.458
control	नियन्त्रण गर्नुहोस्	0.729	0.352	0.808
controller	नियन्त्रक	0.469	0.712	0.868
controlling	नियन्त्रण गर्दै	0.490	0.441	0.885
controversial	विवादास्पद	0.271	0.858	0.538
controversy	विवाद	0.250	0.819	0.600
contusion	संयोग	0.167	0.565	0.509
conundrum	conundrum	0.354	0.524	0.408
convalescent	सम्भावना	0.458	0.480	0.269
convection	संवहन	0.521	0.494	0.526
convene	convene	0.583	0.676	0.636
convenience	सुविधा	0.781	0.448	0.613
conveniences	conveniences	0.802	0.412	0.693
convenient	सुविधाजनक	0.846	0.491	0.574
convent	कन्वर्ट	0.480	0.217	0.594
convention	सम्मेलन	0.622	0.622	0.704
conventional	पारंपरिक	0.594	0.292	0.634
converge	कनवर्ट गर्नुहोस्	0.635	0.471	0.539
convergence	अभिसरण	0.551	0.491	0.625
convergent	अभियोग	0.781	0.490	0.696
conversant	कुराकानी	0.724	0.360	0.542
conversation	कुराकानी	0.750	0.510	0.609
conversational	कुराकानी	0.719	0.431	0.596
conversationalist	conversationalist	0.719	0.467	0.667
converse	कुराकानी	0.594	0.406	0.598
conversing	कुराकानी गर्दै	0.755	0.409	0.442
conversion	रूपान्तरण	0.480	0.605	0.736
convert	रूपान्तरण गर्नुहोस्	0.551	0.538	0.704
converted	परिवर्तित	0.663	0.418	0.686
convertible	परिवर्तनीय	0.542	0.529	0.717
convex	convex	0.438	0.427	0.445
convexity	इज्जत	0.449	0.354	0.484
convey	वितरण गर्नुहोस्	0.719	0.633	0.708
conveyance	सञ्चार	0.615	0.520	0.455
conveyancing	वितरण	0.375	0.479	0.663
convict	दोषी	0.177	0.840	0.477
conviction	दोषी	0.615	0.704	0.826
convince	सहमत हुनुहोस्	0.708	0.539	0.763
convinced	आश्वस्त	0.750	0.500	0.630
convincing	सहमत हुनुहोस्	0.760	0.527	0.900
convocation	कूटनीति	0.538	0.611	0.663
convoluted	ठगिएको	0.323	0.614	0.433
convolution	संकल्प	0.417	0.559	0.527
convoy	कन्सर्ट	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	पकाउनुहोस्	0.847	0.500	0.412
cookbook	कुकबुक	0.602	0.346	0.398
cooker	कुकर	0.592	0.373	0.407
cookery	पसल	0.633	0.368	0.345
cookie	कुकीज	0.792	0.306	0.250
cookies	कुकीजहरू	0.823	0.451	0.316
cooking	पकाउने	0.694	0.510	0.434
cookout	कुकुर	0.680	0.406	0.482
cool	शांत	0.885	0.540	0.781
coolant	कूलेंट	0.720	0.412	0.456
cooler	कूलर	0.664	0.375	0.460
cooling	कूलिंग	0.469	0.324	0.392
coolness	कूलता	0.490	0.307	0.548
coon	कोन	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	सहयोग गर्नुहोस्	0.898	0.451	0.582
cooperating	सहयोग	0.760	0.390	0.693
cooperation	सहयोग	0.847	0.473	0.686
cooperative	सहकारी	0.816	0.461	0.670
coordinate	समन्वय	0.698	0.429	0.694
coordination	समन्वय गर्नुहोस्	0.677	0.454	0.789
coordinator	समन्वयक	0.750	0.510	0.850
cop	प्रतिलिपि	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	सामना गर्नुहोस्	0.592	0.647	0.709
copier	copier	0.459	0.345	0.390
copilot	Copilot	0.640	0.538	0.573
coping	तामाङ	0.562	0.630	0.613
copious	प्रतिलिपि	0.427	0.462	0.527
copper	तामाङ	0.580	0.260	0.500
copter	Copter	0.571	0.704	0.569
copy	कापी	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	प्रतिलिपि गर्दै	0.448	0.315	0.404
copyright	प्रतिलिपि अधिकार	0.458	0.402	0.663
coral	कोरल	0.802	0.231	0.425
coral snake	कोरल सांप	0.276	0.712	0.607
cord	कर्ड	0.388	0.378	0.358
cordial	cordial	0.823	0.312	0.482
cordless	ताररहित	0.667	0.441	0.528
cordon	कर्डन	0.469	0.317	0.380
corduroy	corduroy	0.570	0.324	0.357
core	कोर	0.721	0.378	0.540
cork	बिक्रो	0.347	0.250	0.281
corkscrew	corkscrew	0.427	0.443	0.445
corn	मकै	0.594	0.196	0.292
cornball	कर्नबल	0.479	0.378	0.325
cornbread	क्यान्सर	0.643	0.304	0.302
cornea	कोर्निया	0.521	0.346	0.443
corned	कडा	0.459	0.441	0.425
corner	कुना	0.400	0.296	0.366
cornerstone	कोस्टस्टोन	0.550	0.388	0.596
cornet	कोनेट	0.507	0.520	0.415
cornfield	cornfield	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	कोरेस	0.458	0.441	0.295
cornstarch	कन्सस्ट्राक	0.643	0.299	0.337
corny	कोसी	0.448	0.370	0.221
corollary	कोलोरी	0.458	0.469	0.366
corona	कोरोना	0.818	0.439	0.745
coronary	कोरोनरी	0.567	0.613	0.509
coronation	कोलोनेशन	0.792	0.592	0.836
coroner	कोरोनर	0.323	0.558	0.526
