Word	Irish-ga	Valence	Arousal	Dominance
coke	cóc	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	fuar	0.398	0.538	0.348
coldly	fuar	0.365	0.358	0.407
coldness	fuar	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	coliseum	0.612	0.663	0.704
collaborate	comhoibriú	0.816	0.449	0.559
collaboration	comhoibriú	0.885	0.628	0.741
collaborator	comhoibritheoir	0.729	0.320	0.769
collage	collage	0.680	0.321	0.375
collagen	collagen	0.541	0.245	0.450
collapse	titim	0.208	0.689	0.342
collar	collar	0.656	0.442	0.446
collarbone	collarbone	0.420	0.427	0.306
collate	comhlánaigh	0.438	0.448	0.580
collateral	comhthaobhachta	0.531	0.422	0.717
collation	comhdhlúthú	0.520	0.333	0.508
colleague	comhghleacaí	0.740	0.413	0.600
collect	bailigh	0.635	0.481	0.491
collected	bailíodh	0.570	0.402	0.588
collection	bailiúchán	0.725	0.311	0.588
collective	comhchoiteann	0.583	0.458	0.698
collectively	le chéile	0.817	0.573	0.533
collector	bailitheoir	0.552	0.481	0.648
college	Coláiste	0.700	0.467	0.746
collegiate	coláisteach	0.592	0.461	0.678
collide	collide	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	imbhualadh	0.245	0.848	0.585
collocation	comhshocrú	0.637	0.360	0.594
colloquial	comhfhreagrach	0.604	0.363	0.368
collusion	comhchruinniú	0.365	0.510	0.400
cologne	Köln	0.677	0.413	0.552
colon	idirstad	0.449	0.394	0.384
colonel	coilíneach	0.459	0.592	0.890
colonial	coilíneach	0.553	0.327	0.613
colonic	coilíneach	0.333	0.420	0.430
colonoscopy	colonoscopy	0.208	0.524	0.466
colony	coilíneacht	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	dath	0.786	0.280	0.402
coloration	coloration	0.541	0.520	0.443
colored	daite	0.806	0.317	0.275
colorful	ildaite	0.850	0.520	0.519
coloring	dathú	0.781	0.469	0.353
colorless	gan dath	0.354	0.340	0.250
colors	dathanna	0.875	0.349	0.340
colossal	colossal	0.698	0.692	0.900
colt	colt	0.561	0.587	0.543
columbine	columbine	0.520	0.521	0.407
column	colún	0.480	0.250	0.670
columnar	columnar	0.448	0.340	0.491
columnist	colúnóir	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	coma	0.219	0.255	0.302
comatose	comatose	0.143	0.438	0.433
comb	cíor	0.490	0.123	0.268
combat	comhrac	0.302	0.846	0.833
combatant	comhracóir	0.531	0.853	0.780
combative	cobhsaí	0.381	0.690	0.816
combination	teaglaim	0.708	0.480	0.726
combinatorial	combinatorial	0.561	0.436	0.428
combine	le chéile	0.663	0.442	0.533
combined	le chéile	0.622	0.370	0.500
combo	teaglama	0.698	0.439	0.453
combustible	indóite	0.386	0.650	0.750
combustion	dócháin	0.457	0.807	0.591
come	teacht	0.529	0.269	0.558
comeback	tar ar ais	0.580	0.409	0.555
comedian	ceoltóir	0.812	0.735	0.598
comedy	greann	0.918	0.555	0.490
comet	comet	0.704	0.679	0.471
comfort	chompord	0.863	0.231	0.670
comfortable	compordach	0.927	0.163	0.473
comforter	comforter	0.618	0.275	0.302
comforting	comforting	0.906	0.337	0.620
comfy	comfy	0.930	0.241	0.625
comic	comic	0.917	0.459	0.387
comical	comical	0.844	0.737	0.327
comics	comics	0.690	0.556	0.384
coming	ag teacht	0.653	0.417	0.500
comma	coma	0.344	0.269	0.242
command	ordú	0.427	0.790	0.849
commandant	ceannasaí	0.622	0.700	0.943
commandeer	ceannasaí	0.552	0.639	0.931
commander	ceannasaí	0.531	0.615	0.906
commanding	ag ordú	0.562	0.664	0.925
commandment	ordú	0.656	0.490	0.876
commando	comando	0.323	0.710	0.817
commemorate	comóradh	0.812	0.602	0.636
commemoration	comóradh	0.719	0.615	0.754
commemorative	cuimhneacháin	0.750	0.438	0.754
commence	tosaithe	0.760	0.585	0.741
commend	moladh	0.906	0.694	0.711
commendable	is inmholta	0.786	0.570	0.555
commendation	moladh	0.911	0.500	0.639
commensurate	comhréireach	0.610	0.304	0.550
comment	trácht	0.667	0.417	0.379
commentary	tráchtaireacht	0.602	0.402	0.446
commentator	tráchtaire	0.492	0.510	0.607
commerce	tráchtáil	0.646	0.500	0.788
commercial	tráchtála	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	comaitéireacht	0.385	0.500	0.788
commission	coimisiún	0.677	0.480	0.571
commissioner	coimisinéir	0.602	0.449	0.949
commit	tiomantas	0.365	0.529	0.491
commitment	tiomantas	0.714	0.710	0.843
committal	ciorcal	0.472	0.519	0.582
committed	tiomanta	0.710	0.542	0.712
committee	coiste	0.592	0.392	0.721
commodity	tráchtearra	0.615	0.394	0.537
commodore	commodore	0.427	0.530	0.636
common	coitianta	0.600	0.127	0.318
commoner	coitianta	0.448	0.365	0.327
commonly	go coitianta	0.604	0.170	0.574
commonplace	coitianta	0.520	0.337	0.442
commons	comónta	0.633	0.396	0.623
commonwealth	comhlathas	0.630	0.406	0.702
commotion	comórtas	0.490	0.700	0.646
communal	pobail	0.592	0.321	0.556
commune	commune	0.500	0.488	0.655
communicable	cumarsáide	0.796	0.491	0.623
communicate	cumarsáid a dhéanamh	0.823	0.410	0.696
communication	cumarsáid	0.837	0.400	0.649
communicative	cumarsáideach	0.847	0.560	0.637
communicator	cumarsáid	0.573	0.509	0.796
communion	comaoineach	0.765	0.357	0.607
communism	cumannachas	0.264	0.570	0.623
communist	cumannach	0.265	0.702	0.632
community	pobail	0.750	0.350	0.659
commutation	comóradh	0.469	0.431	0.652
commutative	comóideach	0.667	0.442	0.569
commute	taisteal	0.622	0.582	0.565
commuter	comaitéara	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	dlúth	0.458	0.417	0.673
compaction	cnaipeadh	0.531	0.471	0.582
compactness	dlúthdhiosca	0.582	0.352	0.454
companion	companion	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	companionship	0.833	0.438	0.792
company	cuideachta	0.906	0.425	0.798
comparable	inchomparáide	0.562	0.443	0.458
comparative	comparáideach	0.470	0.273	0.562
comparatively	i gcomparáid leis	0.604	0.391	0.538
compare	comparáid a dhéanamh	0.552	0.408	0.524
comparison	comparáid	0.583	0.456	0.492
compartment	urrann	0.500	0.389	0.607
compass	compás	0.541	0.307	0.529
compassion	trua	0.735	0.258	0.509
compassionate	trua	0.857	0.404	0.411
compatibility	comhoiriúnacht	0.816	0.450	0.673
compatible	comhoiriúnach	0.892	0.387	0.638
compel	iallach	0.200	0.847	0.625
compelled	tiomanta	0.333	0.654	0.347
compelling	láidir	0.698	0.570	0.870
compendium	compendium	0.610	0.461	0.537
compensate	cúiteamh	0.612	0.429	0.762
compensation	cúiteamh	0.775	0.469	0.598
compensatory	cúitimh	0.589	0.490	0.700
compete	dul san iomaíocht	0.573	0.745	0.786
competence	inniúlacht	0.615	0.802	0.823
competency	inniúlacht	0.768	0.775	0.764
competent	inniúil	0.865	0.560	0.904
competition	iomaíocht	0.580	0.790	0.798
competitive	iomaíoch	0.447	0.718	0.908
competitor	iomaitheoir	0.612	0.959	0.861
compilation	tiomsú	0.530	0.512	0.606
compile	a thiomsú	0.600	0.413	0.519
complacency	áthas	0.604	0.503	0.519
complacent	taitneach	0.625	0.452	0.518
complain	gearán a dhéanamh	0.143	0.682	0.360
complaint	gearán	0.143	0.606	0.281
complement	comhlánú	0.760	0.277	0.600
complementary	comhlántach	0.714	0.320	0.586
complete	iomlán	0.750	0.414	0.809
completed	críochnaithe	0.823	0.357	0.777
completely	go hiomlán	0.730	0.370	0.690
completeness	iomláine	0.823	0.433	0.769
completing	ag críochnú	0.614	0.500	0.769
completion	críochnaithe	0.656	0.470	0.525
complex	casta	0.388	0.608	0.550
complexed	casta	0.312	0.577	0.612
complexion	casta	0.521	0.520	0.380
complexity	castacht	0.479	0.620	0.595
compliance	comhlíonadh	0.750	0.462	0.750
compliant	comhlíontach	0.677	0.310	0.519
complicate	casta	0.210	0.657	0.404
complicated	achrannach	0.211	0.660	0.455
complication	deacracht	0.365	0.726	0.330
complicity	deacracht	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	complimentary	0.823	0.413	0.435
comply	comhlíonann	0.806	0.370	0.638
complying	ag comhlíonadh	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	comhpháirt	0.531	0.382	0.525
compose	comhdhéanamh	0.639	0.432	0.694
composed	comhdhéanta	0.684	0.385	0.682
composer	cumadóir	0.822	0.588	0.691
composite	cumaisc	0.591	0.459	0.620
composition	comhdhéanamh	0.765	0.408	0.652
compost	múirín	0.480	0.404	0.441
composure	cumaisc	0.802	0.354	0.717
compound	cumaisc	0.635	0.385	0.735
comprehend	tuiscint	0.875	0.365	0.689
comprehension	tuiscint	0.908	0.387	0.688
comprehensive	cuimsitheach	0.796	0.385	0.644
compress	comhbhrúite	0.406	0.412	0.460
compressed	comhbhrúite	0.323	0.396	0.388
compressible	comhbhrúite	0.622	0.392	0.585
compression	comhbhrúite	0.646	0.521	0.579
compressor	comhbhrúiteoir	0.418	0.481	0.630
comprise	comhdhéanta	0.839	0.373	0.669
compromise	comhréiteach	0.677	0.520	0.805
comptroller	reachtóir	0.402	0.481	0.866
compulsion	éigeantacht	0.118	0.760	0.604
compulsive	éigeantach	0.347	0.871	0.573
compulsory	éigeantach	0.343	0.541	0.791
computable	computable	0.570	0.402	0.545
computation	ríomh	0.583	0.429	0.697
compute	ríomh	0.531	0.408	0.564
computer	ríomhaire	0.802	0.356	0.639
computerized	ríomhairithe	0.677	0.450	0.657
computing	ríomhaireachta	0.745	0.398	0.695
comrade	comrade	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	concatenation	0.480	0.593	0.539
concave	cuasach	0.441	0.349	0.349
conceal	ceilt	0.312	0.436	0.306
concealed	folaithe	0.344	0.363	0.352
concealment	ceilt	0.302	0.570	0.390
concede	gealltanas	0.670	0.324	0.473
conceit	ceaptha	0.354	0.625	0.309
conceited	ceaptha	0.194	0.667	0.473
conceivable	is dócha	0.730	0.350	0.613
conceive	ceapadh	0.708	0.538	0.700
concentrate	díriú	0.750	0.439	0.743
concentration	tiúchan	0.735	0.500	0.722
concentric	comhchruinnithe	0.730	0.479	0.635
concept	coincheap	0.573	0.265	0.632
conception	conception	0.694	0.490	0.614
concern	imní	0.250	0.734	0.463
concerned	i gceist	0.292	0.698	0.350
concert	ceolchoirm	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	lamháltais	0.588	0.423	0.615
concessional	lamháltais	0.770	0.493	0.657
conch	conch	0.583	0.306	0.339
concierge	concierge	0.480	0.343	0.343
conciliation	comhréiteach	0.792	0.475	0.726
concise	gonta	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	deireadh	0.530	0.267	0.679
concluding	ag críochnú	0.531	0.382	0.603
conclusion	conclúid	0.615	0.377	0.659
conclusive	dochloíte	0.500	0.427	0.745
concoction	concoction	0.448	0.459	0.417
concomitant	concomitant	0.427	0.482	0.727
concord	concord	0.677	0.320	0.586
concordance	concordance	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	suíochán	0.740	0.657	0.528
concrete	coincréite	0.633	0.420	0.547
concubine	concubine	0.388	0.594	0.476
concur	concur	0.459	0.394	0.429
concurrence	comhthoiliú	0.764	0.627	0.613
concurrent	comhthráthach	0.573	0.547	0.741
concurring	ag teacht le chéile	0.573	0.600	0.681
concussion	concussion	0.072	0.708	0.482
condemn	cáineadh	0.102	0.793	0.625
condemnation	cáineadh	0.133	0.725	0.449
condensation	comhdhlúthú	0.510	0.316	0.538
condensed	comhdhlúite	0.598	0.415	0.623
condescending	condescending	0.583	0.363	0.593
condescension	coinséis	0.521	0.377	0.565
condiment	condiment	0.520	0.333	0.433
condition	riocht	0.500	0.469	0.519
conditional	coinníollach	0.521	0.343	0.556
conditionally	coinníollach	0.396	0.419	0.617
conditioned	oiriúnaithe	0.490	0.417	0.616
conditioner	oiriúntóir	0.781	0.360	0.538
conditioning	oiriúnaithe	0.440	0.468	0.617
conditions	coinníollacha	0.551	0.441	0.593
condo	condo	0.439	0.288	0.607
condolence	condolence	0.260	0.443	0.404
condolences	coimhlint	0.198	0.480	0.288
condom	coiscín	0.406	0.637	0.500
condone	coinníoll	0.571	0.441	0.619
condor	condor	0.573	0.388	0.519
conducive	a chabhródh	0.775	0.479	0.679
conduct	iompar	0.453	0.510	0.750
conduction	seoladh	0.530	0.557	0.717
conductivity	seoltacht	0.583	0.575	0.642
conductor	seoltóir	0.677	0.663	0.621
conduit	seoltán	0.470	0.302	0.413
cone	cón	0.417	0.208	0.343
confederacy	comhcheangailte	0.590	0.541	0.736
confederate	coimhdeacht	0.551	0.546	0.792
confederation	coinbhinsiún	0.663	0.404	0.830
confer	thug	0.573	0.482	0.583
conference	comhdháil	0.688	0.615	0.606
confess	admháil	0.360	0.712	0.431
confession	admháil	0.469	0.642	0.460
confessional	confessional	0.458	0.392	0.629
confessions	confessions	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	confidant	0.837	0.633	0.631
confide	deimhin	0.669	0.472	0.595
confidence	muinín	0.959	0.276	0.943
confident	muiníneach	0.765	0.324	0.723
confidential	faoi ​​rún	0.643	0.471	0.761
confidentiality	rúndacht	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	cumraíocht	0.540	0.443	0.591
confine	teorannú	0.327	0.551	0.538
confined	teoranta	0.286	0.472	0.444
confinement	teorannú	0.333	0.656	0.520
confines	teorainneacha	0.396	0.386	0.542
confirm	daingniú	0.802	0.439	0.806
confirmation	daingniú	0.812	0.480	0.692
confirmatory	dearbhaithe	0.656	0.500	0.683
confirmed	deimhnithe	0.760	0.490	0.764
confiscate	coigistiú	0.250	0.625	0.482
confiscation	coigistiú	0.208	0.706	0.586
conflagration	mearbhall	0.344	0.721	0.594
conflict	coimhlint	0.335	0.906	0.471
conflicting	coimhlintí	0.173	0.738	0.553
confluence	confluence	0.677	0.598	0.565
conform	cloí leis	0.479	0.380	0.375
conformance	comhréireacht	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	comhréireacht	0.645	0.363	0.579
confound	confound	0.347	0.529	0.333
confounded	mearbhall	0.333	0.528	0.264
confront	dul i ngleic leo	0.281	0.760	0.746
confrontation	confrontation	0.177	0.870	0.658
confuse	mearbhall	0.100	0.580	0.270
confused	mearbhall	0.220	0.650	0.179
confusing	mearbhall	0.229	0.690	0.222
confusion	mearbhall	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	congenial	0.820	0.412	0.620
congenital	galar	0.448	0.434	0.427
congestion	brú tráchta	0.271	0.654	0.491
conglomerate	iomláin	0.500	0.500	0.838
conglomeration	cruinniú	0.541	0.720	0.670
congrats	comhchruinnithe	0.930	0.726	0.775
congratulate	comhghairdeas	0.927	0.724	0.784
congratulation	comhghairdeas	0.948	0.780	0.717
congratulations	comhghairdeas	0.960	0.755	0.719
congratulatory	comhghairdeas	0.959	0.616	0.689
congregate	cruinnigh	0.653	0.530	0.733
congregation	pobal	0.561	0.490	0.700
congress	comhdháil	0.449	0.444	0.857
congressional	comhdháil	0.552	0.491	0.848
congressman	comhghleacaí	0.438	0.471	0.877
congruence	comhchruinniú	0.656	0.472	0.577
conic	conic	0.510	0.368	0.379
conical	cónúil	0.490	0.422	0.471
conjecture	conjecture	0.396	0.398	0.534
conjugal	comhchreidmheach	0.698	0.510	0.688
conjugate	comhcheangal	0.583	0.420	0.467
conjugation	comhchruinniú	0.479	0.429	0.582
conjunction	comhcheangal	0.520	0.472	0.509
conjunctive	comhchomhairleach	0.487	0.444	0.639
conjure	coinnigh	0.385	0.679	0.645
conjuring	ag caint	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	ceangal	0.724	0.299	0.536
connected	ceangailte	0.816	0.550	0.612
connection	nasc	0.729	0.560	0.655
connective	nascach	0.719	0.491	0.764
connoisseur	connoisseur	0.760	0.461	0.769
conquer	conquer	0.694	0.873	0.971
conquering	conquering	0.760	0.873	0.936
conqueror	conqueror	0.604	0.809	0.930
conquest	conquest	0.710	0.702	0.833
conscience	coinsias	0.663	0.375	0.721
conscientious	coinsiasach	0.688	0.404	0.688
conscious	comhfhiosach	0.740	0.333	0.705
consciousness	Chonaic	0.840	0.483	0.755
conscription	cóipeáil	0.396	0.775	0.642
consecrated	coisithe	0.663	0.500	0.800
consecration	consecration	0.771	0.418	0.804
consecutive	i ndiaidh a chéile	0.663	0.418	0.643
consensual	comhsheasmhach	0.663	0.417	0.655
consensus	comhaontú	0.627	0.358	0.625
consent	toiliú	0.750	0.500	0.620
consenting	ag toiliú	0.727	0.406	0.693
consequence	iarmhairt	0.240	0.721	0.593
consequent	dá bhrí sin	0.663	0.471	0.625
conservation	caomhnú	0.832	0.401	0.606
conservatism	caomhnachas	0.406	0.369	0.633
conservative	coimeádach	0.615	0.316	0.788
conservatory	caomhnú	0.635	0.240	0.729
conserve	a chaomhnú	0.690	0.347	0.573
consider	mheas	0.677	0.368	0.579
considerable	mór	0.653	0.314	0.683
considerate	measartha	0.781	0.380	0.633
consideration	breithniú	0.589	0.380	0.687
consignee	coinsíní	0.635	0.385	0.602
consignment	coinsíneacht	0.490	0.440	0.500
consist	comhdhéanta	0.823	0.386	0.580
consistency	comhsheasmhacht	0.714	0.500	0.887
consistent	comhsheasmhach	0.786	0.431	0.726
consolation	sólás	0.408	0.250	0.304
console	consól	0.625	0.398	0.415
consoled	consoled	0.700	0.343	0.452
consolidate	comhdhlúthú	0.880	0.440	0.870
consolidated	comhdhlúite	0.700	0.366	0.784
consolidation	comhdhlúthú	0.604	0.445	0.776
consonant	consonant	0.500	0.347	0.417
consort	coibhneas	0.632	0.509	0.630
conspicuous	feiceálach	0.479	0.520	0.596
conspiracy	comhcheilg	0.125	0.787	0.652
conspirator	conspirator	0.271	0.786	0.707
conspire	conspire	0.206	0.740	0.520
constable	constable	0.573	0.667	0.764
constancy	seasmhacht	0.786	0.443	0.763
constant	tairiseach	0.740	0.296	0.686
constantly	i gcónaí	0.663	0.561	0.700
constellation	réaltbhuíon	0.719	0.533	0.775
consternation	suaimhneas	0.167	0.680	0.469
constipation	constipation	0.079	0.612	0.231
constituency	dáilcheantar	0.500	0.480	0.696
constituent	comhábhair	0.573	0.500	0.827
constituents	comhábhair	0.573	0.414	0.833
constitute	ionann	0.812	0.349	0.906
constitution	bunreacht	0.590	0.380	0.889
constitutional	bunreachtúil	0.633	0.418	0.827
constitutionality	bunreachtúlacht	0.612	0.439	0.853
constrain	srian	0.261	0.500	0.500
constrained	srianta	0.135	0.537	0.357
constraint	srian	0.323	0.550	0.481
construct	tógáil	0.750	0.648	0.792
construction	tógáil	0.848	0.612	0.759
constructive	cuiditheach	0.860	0.570	0.812
construe	tógáil	0.602	0.519	0.553
consul	consul	0.573	0.354	0.688
consulate	consalacht	0.561	0.453	0.694
consult	dul i gcomhairle	0.755	0.370	0.441
consultant	comhairleoir	0.770	0.344	0.808
consultation	comhairliúchán	0.660	0.463	0.625
consume	ithe	0.427	0.620	0.509
consumer	tomhaltóir	0.507	0.551	0.677
consuming	ag caitheamh	0.573	0.541	0.536
consummate	consummate	0.551	0.540	0.558
consummation	consummation	0.583	0.676	0.661
consumption	caitheamh	0.390	0.531	0.538
contact	déan teagmháil	0.719	0.424	0.526
contagion	ionghabháil	0.208	0.630	0.535
contagious	tógálach	0.184	0.725	0.400
contain	tá	0.542	0.490	0.658
container	coimeádán	0.551	0.396	0.561
containment	coimeádán	0.411	0.491	0.618
contaminate	éilliú	0.140	0.611	0.426
contaminated	éillithe	0.040	0.500	0.368
contamination	éilliú	0.125	0.610	0.375
contemplate	machnamh	0.740	0.347	0.642
contemplation	machnamh	0.552	0.324	0.627
contemplative	measartha	0.729	0.308	0.739
contemporaneous	comhaimseartha	0.640	0.373	0.591
contemporary	comhaimseartha	0.720	0.365	0.569
contempt	díspeagadh	0.206	0.635	0.396
contemptible	díspeagtha	0.146	0.657	0.471
contemptuous	mealltach	0.204	0.500	0.375
contend	contend	0.510	0.657	0.731
contender	contender	0.480	0.790	0.681
contending	contending	0.490	0.698	0.716
content	ábhar	0.764	0.296	0.559
contented	sásta	0.857	0.612	0.746
contention	cionta	0.375	0.510	0.738
contentious	contúirteach	0.422	0.573	0.637
contentment	sásamh	0.875	0.610	0.782
contents	ábhar	0.656	0.375	0.550
contest	comórtas	0.667	0.698	0.717
contestant	iomaitheoir	0.760	0.530	0.602
context	comhthéacs	0.531	0.300	0.553
contiguous	tadhlach	0.375	0.450	0.500
continence	leanúnach	0.450	0.396	0.469
continent	mór-roinn	0.551	0.373	0.833
continental	mór-roinn	0.486	0.350	0.755
contingency	teagmhas	0.396	0.500	0.670
contingent	teagmhasach	0.470	0.531	0.659
continual	leanúnach	0.500	0.423	0.685
continually	go leanúnach	0.646	0.438	0.698
continuance	leanúnachas	0.729	0.510	0.652
continuation	leanúint	0.615	0.470	0.566
continue	leanúint ar aghaidh	0.630	0.427	0.612
continued	ar lean	0.635	0.440	0.500
continuing	leanúint ar aghaidh	0.667	0.500	0.520
continuity	leanúnachas	0.781	0.439	0.684
continuous	leanúnach	0.625	0.509	0.580
continuously	leanúnach	0.719	0.417	0.702
continuum	leanúnachas	0.677	0.390	0.491
contour	contour	0.589	0.265	0.414
contraband	contrabhanna	0.177	0.875	0.670
contraception	frithghiniúint	0.296	0.518	0.525
contract	conradh	0.594	0.412	0.636
contracted	chonradh	0.344	0.557	0.449
contractile	contractile	0.480	0.586	0.569
contracting	conarthach	0.594	0.490	0.769
contraction	crapadh	0.292	0.755	0.603
contractor	conraitheoir	0.592	0.479	0.727
contradict	contrártha	0.160	0.598	0.482
contradiction	contrártha	0.250	0.660	0.377
contradictory	contrárthach	0.365	0.651	0.421
contraption	contraption	0.448	0.590	0.491
contrary	contrártha	0.327	0.449	0.338
contrast	gcodarsnacht leis	0.480	0.406	0.520
contrasted	comhshó	0.521	0.538	0.491
contravene	sárú	0.357	0.618	0.472
contravention	sárú	0.344	0.627	0.593
contribute	cur	0.806	0.350	0.795
contribution	ranníocaíocht	0.854	0.452	0.760
contributor	rannpháirtí	0.844	0.510	0.760
contrite	bródúil	0.347	0.363	0.473
contrition	contrition	0.347	0.583	0.463
contrived	fuarthas	0.408	0.530	0.458
control	smacht	0.729	0.352	0.808
controller	rialaitheoir	0.469	0.712	0.868
controlling	rialú	0.490	0.441	0.885
controversial	conspóideach	0.271	0.858	0.538
controversy	conspóid	0.250	0.819	0.600
contusion	contusion	0.167	0.565	0.509
conundrum	conundrum	0.354	0.524	0.408
convalescent	teilifís	0.458	0.480	0.269
convection	convection	0.521	0.494	0.526
convene	comóradh	0.583	0.676	0.636
convenience	áise	0.781	0.448	0.613
conveniences	áiseanna	0.802	0.412	0.693
convenient	áisiúil	0.846	0.491	0.574
convent	monaill	0.480	0.217	0.594
convention	coinbhinsiún	0.622	0.622	0.704
conventional	traidisiúnta	0.594	0.292	0.634
converge	converge	0.635	0.471	0.539
convergence	cóineasú	0.551	0.491	0.625
convergent	convergent	0.781	0.490	0.696
conversant	comhrá	0.724	0.360	0.542
conversation	comhrá	0.750	0.510	0.609
conversational	comhrá	0.719	0.431	0.596
conversationalist	cainteoir	0.719	0.467	0.667
converse	comhrá	0.594	0.406	0.598
conversing	ag comhrá	0.755	0.409	0.442
conversion	comhshó	0.480	0.605	0.736
convert	thiontú	0.551	0.538	0.704
converted	thiontú	0.663	0.418	0.686
convertible	inchomhshóite	0.542	0.529	0.717
convex	dronnach	0.438	0.427	0.445
convexity	dronnach	0.449	0.354	0.484
convey	cuir in iúl	0.719	0.633	0.708
conveyance	tíolacas	0.615	0.520	0.455
conveyancing	tíolacadh	0.375	0.479	0.663
convict	ciontach	0.177	0.840	0.477
conviction	ciontú	0.615	0.704	0.826
convince	Cuir ina luí air	0.708	0.539	0.763
convinced	cinnte	0.750	0.500	0.630
convincing	cinnte	0.760	0.527	0.900
convocation	cruinniú	0.538	0.611	0.663
convoluted	convoluted	0.323	0.614	0.433
convolution	convolution	0.417	0.559	0.527
convoy	convoy	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	cócaireacht	0.847	0.500	0.412
cookbook	leabhar cócaireachta	0.602	0.346	0.398
cooker	cócaire	0.592	0.373	0.407
cookery	cócaireacht	0.633	0.368	0.345
cookie	fianán	0.792	0.306	0.250
cookies	fianáin	0.823	0.451	0.316
cooking	cócaireacht	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	cool	0.885	0.540	0.781
coolant	chuisnithe	0.720	0.412	0.456
cooler	leis	0.664	0.375	0.460
cooling	fuaraithe	0.469	0.324	0.392
coolness	coolness	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	comhoibriú	0.898	0.451	0.582
cooperating	comhoibriú	0.760	0.390	0.693
cooperation	comhar	0.847	0.473	0.686
cooperative	comharchumann	0.816	0.461	0.670
coordinate	comhordú	0.698	0.429	0.694
coordination	comhordú	0.677	0.454	0.789
coordinator	comhordaitheoir	0.750	0.510	0.850
cop	cop	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	dul i ngleic	0.592	0.647	0.709
copier	copier	0.459	0.345	0.390
copilot	copilot	0.640	0.538	0.573
coping	ag déileáil	0.562	0.630	0.613
copious	copious	0.427	0.462	0.527
copper	copar	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	cóip	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	cóipeáil	0.448	0.315	0.404
copyright	cóipcheart	0.458	0.402	0.663
coral	coiréil	0.802	0.231	0.425
coral snake	nathair coiréil	0.276	0.712	0.607
cord	corda	0.388	0.378	0.358
cordial	cobhsaí	0.823	0.312	0.482
cordless	gan sreang	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	corduroy	0.570	0.324	0.357
core	croílár	0.721	0.378	0.540
cork	corc	0.347	0.250	0.281
corkscrew	corkscrew	0.427	0.443	0.445
corn	arbhar	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	cornea	0.521	0.346	0.443
corned	corned	0.459	0.441	0.425
corner	cúinne	0.400	0.296	0.366
cornerstone	bunchloch	0.550	0.388	0.596
cornet	cornet	0.507	0.520	0.415
cornfield	cornfield	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornice	0.458	0.441	0.295
cornstarch	cornstarch	0.643	0.299	0.337
corny	corny	0.448	0.370	0.221
corollary	corollary	0.458	0.469	0.366
corona	corona	0.818	0.439	0.745
coronary	corónach	0.567	0.613	0.509
coronation	corónú	0.792	0.592	0.836
coroner	cróinéir	0.323	0.558	0.526
corporal	corparáideach	0.582	0.490	0.596
corporate	corparáideach	0.592	0.454	0.745
corporation	corparáid	0.429	0.332	0.873
corporeal	corporeach	0.520	0.350	0.461
corps	cór	0.551	0.453	0.483
corpse	corpse	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	corpas	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	ceart	0.857	0.306	0.723
correction	ceartú	0.448	0.485	0.558
correctional	ceartúcháin	0.292	0.713	0.602
corrective	ceartaitheach	0.448	0.528	0.613
correctness	ceartas	0.796	0.450	0.649
correlation	comhghaol	0.596	0.462	0.571
correlative	coibhneasta	0.510	0.402	0.571
