Word	Yoruba-yo	Valence	Arousal	Dominance
conflict	ija	0.335	0.906	0.471
conflicting	ni ariyanjiyan	0.173	0.738	0.553
confluence	confluence	0.677	0.598	0.565
conform	faramọ	0.479	0.380	0.375
conformance	ibamu	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	ibamu	0.645	0.363	0.579
confound	confound	0.347	0.529	0.333
confounded	confounded	0.333	0.528	0.264
confront	dojuko	0.281	0.760	0.746
confrontation	idaja	0.177	0.870	0.658
confuse	adaru	0.100	0.580	0.270
confused	dapo	0.220	0.650	0.179
confusing	airoju	0.229	0.690	0.222
confusion	iparuru	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	congenial	0.820	0.412	0.620
congenital	ilera	0.448	0.434	0.427
congestion	isokuso	0.271	0.654	0.491
conglomerate	conglomerate	0.500	0.500	0.838
conglomeration	conglomeration	0.541	0.720	0.670
congrats	fun ọpẹ	0.930	0.726	0.775
congratulate	ṣe idunnu	0.927	0.724	0.784
congratulation	idunnu	0.948	0.780	0.717
congratulations	idunnu	0.960	0.755	0.719
congratulatory	alaafia	0.959	0.616	0.689
congregate	kojọpọ	0.653	0.530	0.733
congregation	ijọ	0.561	0.490	0.700
congress	Ile Asofin	0.449	0.444	0.857
congressional	Kongiresonali	0.552	0.491	0.848
congressman	congressman	0.438	0.471	0.877
congruence	agbara	0.656	0.472	0.577
conic	conic	0.510	0.368	0.379
conical	conical	0.490	0.422	0.471
conjecture	conjecture	0.396	0.398	0.534
conjugal	conjugal	0.698	0.510	0.688
conjugate	conjugate	0.583	0.420	0.467
conjugation	ajọṣepọ	0.479	0.429	0.582
conjunction	conjunction	0.520	0.472	0.509
conjunctive	conjunctive	0.487	0.444	0.639
conjure	conjure	0.385	0.679	0.645
conjuring	conjuring	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	sopọ	0.724	0.299	0.536
connected	ti sopọ	0.816	0.550	0.612
connection	isopọ	0.729	0.560	0.655
connective	Asopọmọra	0.719	0.491	0.764
connoisseur	connoisseur	0.760	0.461	0.769
conquer	ṣẹgun	0.694	0.873	0.971
conquering	ṣẹgun	0.760	0.873	0.936
conqueror	oludari	0.604	0.809	0.930
conquest	iṣẹgun	0.710	0.702	0.833
conscience	ẹrí-ọkàn	0.663	0.375	0.721
conscientious	miiwu	0.688	0.404	0.688
conscious	mimọ	0.740	0.333	0.705
consciousness	aiji	0.840	0.483	0.755
conscription	igbasilẹ	0.396	0.775	0.642
consecrated	mimọ	0.663	0.500	0.800
consecration	ifi-ara-mimọ	0.771	0.418	0.804
consecutive	itẹlera	0.663	0.418	0.643
consensual	igbimọ	0.663	0.417	0.655
consensus	ijabọ	0.627	0.358	0.625
consent	ase	0.750	0.500	0.620
consenting	Gbigba	0.727	0.406	0.693
consequence	awọn abajade	0.240	0.721	0.593
consequent	abajade	0.663	0.471	0.625
conservation	itoju	0.832	0.401	0.606
conservatism	Conservatism	0.406	0.369	0.633
conservative	Konsafetifu	0.615	0.316	0.788
conservatory	igbimọ	0.635	0.240	0.729
conserve	tọju	0.690	0.347	0.573
consider	ro	0.677	0.368	0.579
considerable	akude	0.653	0.314	0.683
considerate	ṣe akiyesi	0.781	0.380	0.633
consideration	imọran	0.589	0.380	0.687
consignee	oluwa	0.635	0.385	0.602
consignment	fifiranṣẹ	0.490	0.440	0.500
consist	jẹ	0.823	0.386	0.580
consistency	aitasera	0.714	0.500	0.887
consistent	ibamu	0.786	0.431	0.726
consolation	itunu	0.408	0.250	0.304
console	console	0.625	0.398	0.415
consoled	tù	0.700	0.343	0.452
consolidate	fikun	0.880	0.440	0.870
consolidated	agbasọpo	0.700	0.366	0.784
consolidation	iṣeduro	0.604	0.445	0.776
consonant	ti o ṣe deede	0.500	0.347	0.417
consort	igbimọ	0.632	0.509	0.630
conspicuous	aṣiṣe	0.479	0.520	0.596
conspiracy	atimọra	0.125	0.787	0.652
conspirator	igbimọ	0.271	0.786	0.707
conspire	gbimọ	0.206	0.740	0.520
constable	ẹru	0.573	0.667	0.764
constancy	igbagbogbo	0.786	0.443	0.763
constant	igbakan	0.740	0.296	0.686
constantly	nigbagbogbo	0.663	0.561	0.700
constellation	atigọpọ	0.719	0.533	0.775
consternation	ojuju	0.167	0.680	0.469
constipation	àìrígbẹyà	0.079	0.612	0.231
constituency	agbegbe	0.500	0.480	0.696
constituent	agbegbe	0.573	0.500	0.827
constituents	awọn agbegbe	0.573	0.414	0.833
constitute	jẹ	0.812	0.349	0.906
constitution	t'olofin	0.590	0.380	0.889
constitutional	t'olofin	0.633	0.418	0.827
constitutionality	ofin-ofin	0.612	0.439	0.853
constrain	dojukọ	0.261	0.500	0.500
constrained	ti rọ	0.135	0.537	0.357
constraint	iyatọ	0.323	0.550	0.481
construct	ile-iṣẹ	0.750	0.648	0.792
construction	Ikọle	0.848	0.612	0.759
constructive	iṣẹ-ṣiṣe	0.860	0.570	0.812
construe	idọ	0.602	0.519	0.553
consul	oluwa	0.573	0.354	0.688
consulate	consulate	0.561	0.453	0.694
consult	alakoso	0.755	0.370	0.441
consultant	ajùmọsọrọ	0.770	0.344	0.808
consultation	ijumọsọrọ	0.660	0.463	0.625
consume	run	0.427	0.620	0.509
consumer	onibara	0.507	0.551	0.677
consuming	n gba	0.573	0.541	0.536
consummate	mimu	0.551	0.540	0.558
consummation	mu opin	0.583	0.676	0.661
consumption	agbara	0.390	0.531	0.538
contact	olubasọrọ	0.719	0.424	0.526
contagion	contagion	0.208	0.630	0.535
contagious	ran	0.184	0.725	0.400
contain	ni awọn	0.542	0.490	0.658
container	gba eiyan	0.551	0.396	0.561
containment	awọn ipilẹ	0.411	0.491	0.618
contaminate	ti doti	0.140	0.611	0.426
contaminated	ti doti	0.040	0.500	0.368
contamination	aibikita	0.125	0.610	0.375
contemplate	ronu	0.740	0.347	0.642
contemplation	iṣaro	0.552	0.324	0.627
contemplative	asọtẹlẹ	0.729	0.308	0.739
contemporaneous	ọjọ-ọjọ	0.640	0.373	0.591
contemporary	imusin	0.720	0.365	0.569
contempt	ẹgan	0.206	0.635	0.396
contemptible	ohun ti o ni imọran	0.146	0.657	0.471
contemptuous	contemptuous	0.204	0.500	0.375
contend	jà	0.510	0.657	0.731
contender	contender	0.480	0.790	0.681
contending	ti njija	0.490	0.698	0.716
content	akoonu	0.764	0.296	0.559
contented	contented	0.857	0.612	0.746
contention	ariyanjiyan	0.375	0.510	0.738
contentious	ariyanjiyan	0.422	0.573	0.637
contentment	igbadun inu	0.875	0.610	0.782
contents	awọn akoonu	0.656	0.375	0.550
contest	idije	0.667	0.698	0.717
contestant	idije	0.760	0.530	0.602
context	o tọ	0.531	0.300	0.553
contiguous	ti o wa	0.375	0.450	0.500
continence	itesiwaju	0.450	0.396	0.469
continent	continent	0.551	0.373	0.833
continental	continental	0.486	0.350	0.755
contingency	aibikita	0.396	0.500	0.670
contingent	airotele	0.470	0.531	0.659
continual	nigbagbogbo	0.500	0.423	0.685
continually	nigbagbogbo	0.646	0.438	0.698
continuance	tẹsiwaju	0.729	0.510	0.652
continuation	itesiwaju	0.615	0.470	0.566
continue	tẹsiwaju	0.630	0.427	0.612
continued	tesiwaju	0.635	0.440	0.500
continuing	tẹsiwaju	0.667	0.500	0.520
continuity	ilosiwaju	0.781	0.439	0.684
continuous	lemọlemọfún	0.625	0.509	0.580
continuously	nigbagbogbo	0.719	0.417	0.702
continuum	ilosiwaju	0.677	0.390	0.491
contour	atokun	0.589	0.265	0.414
contraband	contraband	0.177	0.875	0.670
contraception	itọju oyun	0.296	0.518	0.525
contract	adehun	0.594	0.412	0.636
contracted	ti ṣe adehun	0.344	0.557	0.449
contractile	atilẹyin ọja	0.480	0.586	0.569
contracting	n ṣe adehun	0.594	0.490	0.769
contraction	ihamọ	0.292	0.755	0.603
contractor	alagbaṣe	0.592	0.479	0.727
contradict	lodi	0.160	0.598	0.482
contradiction	alatako	0.250	0.660	0.377
contradictory	lodi	0.365	0.651	0.421
contraption	titọ	0.448	0.590	0.491
contrary	lodi si	0.327	0.449	0.338
contrast	itansan	0.480	0.406	0.520
contrasted	ṣe iyatọ	0.521	0.538	0.491
contravene	lodi	0.357	0.618	0.472
contravention	idena	0.344	0.627	0.593
contribute	tiwon	0.806	0.350	0.795
contribution	ilowosi	0.854	0.452	0.760
contributor	olùkópa	0.844	0.510	0.760
contrite	laanu	0.347	0.363	0.473
contrition	irojẹ	0.347	0.583	0.463
contrived	ti ṣiṣẹ	0.408	0.530	0.458
control	iṣakoso	0.729	0.352	0.808
controller	oludari	0.469	0.712	0.868
controlling	iṣakoso	0.490	0.441	0.885
controversial	ariyanjiyan	0.271	0.858	0.538
controversy	ariyanjiyan	0.250	0.819	0.600
contusion	idoti	0.167	0.565	0.509
conundrum	conundrum	0.354	0.524	0.408
convalescent	convalescent	0.458	0.480	0.269
convection	convection	0.521	0.494	0.526
convene	darapọ	0.583	0.676	0.636
convenience	atokuro	0.781	0.448	0.613
conveniences	awọn ibaraẹnisọrọ	0.802	0.412	0.693
convenient	rọrun	0.846	0.491	0.574
convent	convent	0.480	0.217	0.594
convention	apejọ	0.622	0.622	0.704
conventional	ti aṣa	0.594	0.292	0.634
converge	converge	0.635	0.471	0.539
convergence	iyipada	0.551	0.491	0.625
convergent	convergent	0.781	0.490	0.696
conversant	sọrọ	0.724	0.360	0.542
conversation	ibaraẹnisọrọ	0.750	0.510	0.609
conversational	ibaraẹnisọrọ	0.719	0.431	0.596
conversationalist	ibaraẹnisọrọ	0.719	0.467	0.667
converse	Agbegbe	0.594	0.406	0.598
conversing	ijiroro	0.755	0.409	0.442
conversion	iyipada	0.480	0.605	0.736
convert	iyipada	0.551	0.538	0.704
converted	yipada	0.663	0.418	0.686
convertible	alayipada	0.542	0.529	0.717
convex	convex	0.438	0.427	0.445
convexity	fifiranṣẹ	0.449	0.354	0.484
convey	gbejade	0.719	0.633	0.708
conveyance	ipolowo	0.615	0.520	0.455
conveyancing	imuduro	0.375	0.479	0.663
convict	oluwa	0.177	0.840	0.477
conviction	idalẹjọ	0.615	0.704	0.826
convince	ṣe idaniloju	0.708	0.539	0.763
convinced	gbagbọ	0.750	0.500	0.630
convincing	ni idaniloju	0.760	0.527	0.900
convocation	ipejọpọ	0.538	0.611	0.663
convoluted	ẹjọ	0.323	0.614	0.433
convolution	gbaniyanju	0.417	0.559	0.527
convoy	convoy	0.500	0.671	0.639
coo	Coo	0.490	0.439	0.500
cook	Cook	0.847	0.500	0.412
cookbook	Iwe-kikọ kika	0.602	0.346	0.398
cooker	oluṣeto ounjẹ	0.592	0.373	0.407
cookery	cookery	0.633	0.368	0.345
cookie	kukisi	0.792	0.306	0.250
cookies	kukisi	0.823	0.451	0.316
cooking	sise	0.694	0.510	0.434
cookout	agbon	0.680	0.406	0.482
cool	itura	0.885	0.540	0.781
coolant	ọṣọ	0.720	0.412	0.456
cooler	tutu	0.664	0.375	0.460
cooling	itutu agbaiye	0.469	0.324	0.392
coolness	itura	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	ṣiṣẹpọ	0.898	0.451	0.582
cooperating	ṣiṣẹpọ	0.760	0.390	0.693
cooperation	ifowosowopo	0.847	0.473	0.686
cooperative	ifowosowopo	0.816	0.461	0.670
coordinate	ipoidojuko	0.698	0.429	0.694
coordination	iṣakoso	0.677	0.454	0.789
coordinator	alakoso	0.750	0.510	0.850
cop	cop	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	bawa	0.592	0.647	0.709
copier	copier	0.459	0.345	0.390
copilot	copilot	0.640	0.538	0.573
coping	dida	0.562	0.630	0.613
copious	copious	0.427	0.462	0.527
copper	Ejò	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	daakọ	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	didaakọ	0.448	0.315	0.404
copyright	aṣẹ-aṣẹ	0.458	0.402	0.663
coral	iyun	0.802	0.231	0.425
coral snake	ejo apan	0.276	0.712	0.607
cord	okun	0.388	0.378	0.358
cordial	cordial	0.823	0.312	0.482
cordless	ailopin	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	corduroy	0.570	0.324	0.357
core	mojuto	0.721	0.378	0.540
cork	Koki	0.347	0.250	0.281
corkscrew	corkscrew	0.427	0.443	0.445
corn	agbado	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	cornea	0.521	0.346	0.443
corned	corned	0.459	0.441	0.425
corner	igun	0.400	0.296	0.366
cornerstone	cornerstone	0.550	0.388	0.596
cornet	cornet	0.507	0.520	0.415
cornfield	majẹko	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornice	0.458	0.441	0.295
cornstarch	cornstarch	0.643	0.299	0.337
corny	corny	0.448	0.370	0.221
corollary	corollary	0.458	0.469	0.366
corona	Corona	0.818	0.439	0.745
coronary	iṣọn-alọ ọkan	0.567	0.613	0.509
coronation	iṣọkan	0.792	0.592	0.836
coroner	coroner	0.323	0.558	0.526
corporal	corporal	0.582	0.490	0.596
corporate	ajọpọ	0.592	0.454	0.745
corporation	ajọṣepọ	0.429	0.332	0.873
corporeal	ara ẹni	0.520	0.350	0.461
corps	ara	0.551	0.453	0.483
corpse	okú	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	kọn	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	tọ	0.857	0.306	0.723
correction	atunṣe	0.448	0.485	0.558
correctional	atunṣe	0.292	0.713	0.602
corrective	corrective	0.448	0.528	0.613
correctness	atunse	0.796	0.450	0.649
correlation	ibamu	0.596	0.462	0.571
correlative	atunṣe	0.510	0.402	0.571
correspond	baamu	0.710	0.452	0.545
correspondence	lẹta	0.663	0.423	0.491
correspondent	oniroyin	0.573	0.565	0.712
corresponding	bamu	0.740	0.423	0.618
corridor	ọdẹdẹ	0.604	0.589	0.592
corroborate	alapọ	0.671	0.471	0.616
corroboration	atunse	0.625	0.431	0.733
corrosion	iparun	0.156	0.610	0.348
corrosive	corrosive	0.140	0.618	0.570
corrupt	bajẹ	0.020	0.806	0.500
corrupting	ibajẹ	0.062	0.804	0.380
corruption	ibajẹ	0.052	0.830	0.549
corsage	corsage	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	corset	0.490	0.520	0.381
cortex	kotesi	0.594	0.439	0.529
cortical	cortical	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	corvette	0.551	0.520	0.598
cosmetic	ohun ikunra	0.625	0.304	0.308
cosmetics	Kosimetik	0.765	0.464	0.472
cosmic	agba aye	0.663	0.538	0.692
cosmology	Ẹkọ ile-aye	0.651	0.438	0.637
cosmopolitan	alapọ	0.823	0.510	0.760
cosmos	cosmos	0.860	0.478	0.664
cost	iye owo	0.365	0.420	0.439
costly	iye owo	0.316	0.650	0.642
costume	aso ere	0.548	0.510	0.374
cosy	farabale	0.847	0.255	0.518
cot	ọwọn	0.625	0.230	0.278
cote	ipolowo	0.439	0.344	0.324
cottage	Ile kekere	0.600	0.279	0.361
cotton	owu	0.639	0.071	0.240
couch	ijoko	0.594	0.082	0.198
cougar	cougar	0.438	0.588	0.538
cough	Ikọaláìdúró	0.255	0.627	0.241
council	igbimọ	0.875	0.279	0.635
councilman	igbimọ	0.531	0.367	0.793
counsel	imoran	0.594	0.519	0.730
counseling	imọran	0.667	0.480	0.704
counsellor	Oludamoran	0.823	0.327	0.740
counselor	Oludamoran	0.873	0.365	0.706
count	ka	0.594	0.389	0.492
countdown	kika	0.438	0.692	0.490
countenance	oju oju	0.635	0.440	0.690
counter	Ohunka	0.439	0.478	0.750
counteract	kọsẹ	0.378	0.542	0.688
counterattack	aṣoju	0.281	0.951	0.764
counterbalance	Aṣeyọri	0.520	0.480	0.627
counterclaim	counterclaim	0.398	0.760	0.651
counterfeit	ẹtan	0.094	0.694	0.451
counterpart	counterpart	0.448	0.608	0.577
counterpoint	counterpoint	0.438	0.509	0.538
countess	countess	0.562	0.440	0.670
countless	ailopin	0.520	0.566	0.534
country	orilẹ-ede	0.698	0.394	0.693
countryman	countryman	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	igberiko	0.732	0.288	0.327
counts	ṣe pataki	0.343	0.373	0.500
county	county	0.479	0.368	0.545
coup	pelu	0.275	0.815	0.607
coupe	ọkọ ayọkẹlẹ	0.479	0.460	0.482
couple	tọkọtaya	0.806	0.605	0.607
coupled	pelu	0.612	0.286	0.650
coupling	pipọpọ	0.594	0.479	0.555
coupon	coupon	0.704	0.300	0.421
courage	igboya	0.830	0.728	0.849
courageous	alagbara	0.918	0.587	0.879
courier	Oluranse	0.551	0.383	0.441
courses	courses	0.735	0.412	0.534
coursing	bibẹrẹ	0.542	0.472	0.546
court	ẹjọ	0.479	0.769	0.827
courteous	alawọ	0.937	0.396	0.529
courtesy	iteriba	0.927	0.287	0.431
courthouse	ile-igbimọ	0.571	0.503	0.818
courtroom	ile-igbimọ	0.385	0.670	0.887
courts	awọn ile-ẹjọ	0.367	0.710	0.816
courtship	ajọṣepọ	0.667	0.490	0.654
courtside	ile-ẹjọ	0.592	0.391	0.434
courtyard	àgbàlá	0.503	0.365	0.355
cousin	cousin	0.675	0.394	0.427
cousins	awọn ibatan	0.760	0.409	0.464
cove	ṣojukokoro	0.500	0.304	0.370
coven	ti ṣẹ	0.458	0.578	0.591
covenant	majẹmu	0.594	0.462	0.667
cover	ideri	0.365	0.240	0.471
coverage	agbegbe	0.767	0.413	0.629
covered	bo	0.562	0.340	0.644
covering	bora	0.615	0.382	0.583
covert	Iboju	0.500	0.570	0.508
covet	ifẹkufẹ	0.302	0.779	0.524
coveted	ṣojukokoro	0.661	0.730	0.625
cow	Maalu	0.449	0.230	0.300
coward	alarin	0.102	0.490	0.149
cowardice	aṣoju	0.133	0.621	0.167
cowardly	laanu	0.102	0.385	0.127
cowboy	ọdọmọkunrin	0.594	0.625	0.695
cowgirl	maalu	0.541	0.566	0.554
cowhand	maalu	0.438	0.480	0.596
cowhide	ọsin	0.458	0.324	0.333
cowl	Maalu	0.427	0.450	0.232
coworker	alabaṣiṣẹpọ	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	farabale	0.910	0.356	0.545
crab	akan	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	kiraki	0.302	0.625	0.400
cracked	sisan	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	isanwo	0.327	0.557	0.286
crackle	crackle	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	jojolo	0.776	0.194	0.333
craft	iṣẹ iṣẹ	0.760	0.321	0.539
crafts	iṣẹ ọnà	0.667	0.380	0.391
craftsman	oniṣere	0.719	0.310	0.583
craftsmanship	iṣẹ-ọnà	0.823	0.373	0.571
crafty	ọlọgbọn	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	ti papọ	0.406	0.740	0.466
cramp	cramp	0.194	0.796	0.340
cramped	ti a ni	0.240	0.567	0.360
cranberry	Cranberry	0.793	0.330	0.363
cranberry juice	Cranberry oje	0.622	0.321	0.281
crane	crane	0.396	0.417	0.589
cranial	cranial	0.354	0.510	0.583
cranium	iyẹfun	0.439	0.491	0.725
crank	ibẹrẹ nkan	0.448	0.275	0.417
cranky	cranky	0.194	0.776	0.396
cranny	cranny	0.194	0.471	0.250
crap	apẹrẹ	0.083	0.644	0.167
crappy	crappy	0.039	0.582	0.208
craps	craps	0.375	0.420	0.273
crash	jamba	0.194	0.906	0.355
crass	irisi	0.223	0.490	0.466
crate	Iwọn	0.427	0.173	0.274
crater	crater	0.450	0.647	0.529
crave	crave	0.625	0.510	0.731
craving	ifẹkufẹ	0.510	0.755	0.636
crawfish	crawfish	0.510	0.427	0.342
crawl	ra ko	0.479	0.519	0.467
crayon	Pencil	0.604	0.260	0.185
crayons	crayons	0.684	0.366	0.405
craze	sisun	0.255	0.657	0.435
crazed	crazed	0.153	0.877	0.417
craziness	craziness	0.238	0.908	0.255
crazy	irikuri	0.156	0.843	0.321
creak	igbasilẹ	0.344	0.670	0.411
creaking	rirọ	0.302	0.743	0.415
cream	ipara	0.688	0.259	0.220
creamed	creamed	0.723	0.273	0.288
creamer	creamer	0.594	0.192	0.269
creamy	creamy	0.823	0.337	0.345
crease	jinjin	0.440	0.286	0.300
create	ṣẹda	0.786	0.588	0.789
creation	ẹda	0.927	0.575	0.868
creative	Creative	0.917	0.518	0.788
creativity	àtinúdá	0.938	0.684	0.815
creator	Ẹlẹda	0.865	0.592	0.856
creature	eda	0.669	0.625	0.620
credence	ijẹrisi	0.760	0.460	0.737
credential	iwe eri	0.735	0.337	0.597
credentials	awọn iwe eri	0.708	0.373	0.675
credibility	igbekele	0.875	0.427	0.809
credible	gbagbọ	0.917	0.441	0.750
credit	gbese	0.673	0.549	0.648
credit card	kaddi kirediti	0.670	0.550	0.640
creditable	ẹda	0.802	0.510	0.742
credited	ti a ka	0.781	0.390	0.691
crediting	ijẹrisi	0.673	0.550	0.741
creditor	onigbese	0.479	0.594	0.689
creed	igbagbọ	0.573	0.245	0.544
creek	ti nrakò	0.552	0.392	0.330
creep	wiwun	0.354	0.647	0.361
creeper	aṣiṣe	0.429	0.558	0.366
creeping	ti nrakò	0.292	0.613	0.282
creepy	ti nrakò	0.125	0.861	0.373
cremation	isunmi	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	Agbegbe	0.698	0.382	0.407
crest	Ijoko	0.458	0.333	0.333
crestfallen	crestfallen	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretins	0.094	0.741	0.328
crevice	ẹda	0.361	0.471	0.275
crew	atuko	0.604	0.598	0.735
crewman	crewman	0.602	0.580	0.548
crib	ibusun yara	0.653	0.240	0.407
cricket	Ere Kiriketi	0.423	0.539	0.370
cried	kigbe	0.167	0.612	0.254
crime	ilufin	0.071	0.943	0.630
criminal	odaran	0.021	0.830	0.529
criminality	odaran	0.122	0.863	0.580
crimp	furo	0.260	0.557	0.396
crimson	Crimson	0.667	0.385	0.370
cringe	ti o ni	0.245	0.840	0.377
cripple	ipara	0.094	0.392	0.161
crippled	ti rọ	0.035	0.358	0.236
crippling	ipalara	0.156	0.598	0.391
crisis	aawọ	0.208	0.811	0.431
crisp	agaran	0.776	0.692	0.508
crispy	crispy	0.656	0.550	0.509
criterion	abawọn	0.396	0.410	0.736
critic	ọlọtẹ	0.264	0.604	0.686
critical	pataki	0.312	0.802	0.545
criticise	ẹri	0.073	0.700	0.452
criticism	ẹjọ	0.115	0.563	0.505
criticize	ẹri	0.143	0.708	0.473
criticized	ti ṣofintoto	0.240	0.600	0.311
critique	idajọ	0.302	0.760	0.537
critter	oluwadi	0.542	0.539	0.482
croak	kọn	0.337	0.346	0.298
croc	Croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	crockery	0.552	0.216	0.327
crocodile	ooni	0.344	0.708	0.610
croft	ti o da	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	koni	0.171	0.765	0.550
crooked	rọrùn	0.146	0.594	0.305
crop	irugbin na	0.615	0.260	0.500
croquet	Croquet	0.551	0.519	0.407
cross	agbelebu	0.448	0.321	0.569
cross country	jakejado orilẹ-ede	0.531	0.441	0.529
crossbow	crossbow	0.344	0.598	0.560
crossed	rekoja	0.431	0.490	0.508
crossfire	crossfire	0.316	0.896	0.722
crossing	Líla	0.549	0.349	0.451
crossover	adakoja	0.559	0.550	0.500
crosswalk	crosswalk	0.557	0.441	0.380
crossword	ọrọ-ọrọ	0.611	0.423	0.455
crotch	crotch	0.521	0.637	0.447
crouch	ku	0.281	0.606	0.312
crouched	ti ku	0.333	0.363	0.279
crouching	crouching	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	kuroo	0.224	0.439	0.363
crowbar	crowbar	0.406	0.531	0.386
crowd	eniyan	0.350	0.827	0.731
crowded	gbọran	0.694	0.286	0.585
crowds	eniyan	0.469	0.723	0.806
crown	ade	0.708	0.572	0.737
crowning	crowning	0.773	0.594	0.831
crucial	pataki	0.541	0.657	0.777
cruciate	ti ṣagbe	0.429	0.435	0.585
crucifix	crucifix	0.469	0.480	0.510
crucifixion	agbelebu	0.135	0.857	0.541
crucify	kàn mọ agbelebu	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	robi	0.198	0.402	0.357
cruel	onilara	0.122	0.866	0.391
cruelly	cruelly	0.146	0.790	0.471
cruelty	ìkà	0.092	0.836	0.536
cruise	ọkọ oju omi	0.740	0.442	0.683
cruise ship	ọkọ oju omi	0.878	0.650	0.500
cruiser	irinja	0.737	0.490	0.608
cruising	gbigbe ọkọ	0.886	0.580	0.560
crumb	ipara	0.417	0.255	0.216
crumble	isisile	0.333	0.480	0.423
crumbling	ipalara	0.167	0.696	0.308
crummy	crummy	0.125	0.531	0.224
crunch	crunch	0.292	0.630	0.406
crunchy	crunchy	0.625	0.560	0.539
crusade	crusade	0.592	0.720	0.709
crusader	alagbamu	0.439	0.588	0.548
crush	fifun pa	0.271	0.676	0.582
crushed	ti pa	0.167	0.647	0.300
crusher	crusher	0.271	0.709	0.598
crushing	crushing	0.219	0.755	0.411
crust	erunrun	0.542	0.337	0.456
crusty	crusty	0.625	0.531	0.473
crutch	Ekuro	0.302	0.294	0.302
crux	crux	0.469	0.558	0.519
cry	kigbe	0.133	0.627	0.255
crybaby	kigbe	0.375	0.702	0.311
crying	kigbe	0.153	0.704	0.208
crypt	crypt	0.156	0.431	0.386
cryptic	cryptic	0.296	0.516	0.474
cryptography	cryptography	0.490	0.415	0.650
crystal	okuta momọ gara	0.618	0.270	0.508
crystalline	okuta	0.765	0.235	0.534
crystallization	ifarahan	0.600	0.449	0.565
cub	kub	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	kuubu	0.469	0.226	0.274
cubic	kubik	0.458	0.306	0.407
cubicle	cubicle	0.479	0.343	0.417
cuckold	cuckold	0.210	0.573	0.230
cuckoo	ẹda	0.420	0.459	0.284
cucumber	kukumba	0.490	0.235	0.237
cuddle	cuddle	0.885	0.559	0.475
cuddled	cuddled	0.906	0.547	0.567
cuddles	awọn apọn	0.847	0.382	0.500
cuddling	cuddling	0.917	0.562	0.433
cue	iwo	0.521	0.433	0.484
cuff	fọọmu	0.469	0.453	0.387
cuisine	onjewiwa	0.714	0.365	0.390
culinary	Onje wiwa	0.654	0.443	0.519
cull	akọmalu	0.365	0.702	0.464
culminate	ipari	0.667	0.550	0.602
culmination	ipari	0.656	0.586	0.695
culpability	ibajẹ	0.112	0.745	0.368
culpable	ti o jẹ ibajẹ	0.140	0.700	0.319
culprit	aṣiṣẹ	0.062	0.676	0.333
cult	egbeokunkun	0.448	0.535	0.648
cultivate	cultivate	0.708	0.410	0.598
cultivated	gbin	0.837	0.343	0.564
cultivation	ogbin	0.625	0.324	0.462
cultural	asa	0.802	0.390	0.623
culture	asa	0.753	0.304	0.675
cultured	gbin	0.635	0.429	0.625
culvert	ti n ṣagbe	0.337	0.324	0.343
cumbersome	cumbersome	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	ọlọgbọn	0.604	0.685	0.683
cunt	aṣoju	0.135	0.673	0.377
cup	ago	0.615	0.167	0.231
cupboard	ile-iwe	0.553	0.200	0.304
