Word	Luxembourgish-lb	Valence	Arousal	Dominance
bequeath	beweegt	0.743	0.500	0.741
bequest	bequest	0.661	0.398	0.882
bereaved	deeleen	0.104	0.479	0.221
bereavement	de Keelen	0.265	0.677	0.500
bereft	berouegt	0.229	0.490	0.336
beret	beret	0.542	0.240	0.327
bergamot	Bergamot	0.510	0.365	0.339
berlin	berlin	0.592	0.423	0.571
berserk	berserk	0.398	0.556	0.480
berth	berth	0.295	0.337	0.596
beryllium	Beryllium	0.417	0.412	0.425
beseech	bësschen	0.330	0.441	0.600
beset	besetzt	0.385	0.717	0.317
bestdayever	Beschtentum	0.760	0.646	0.593
bestfeeling	bestfeeling	0.806	0.509	0.625
bestfriends	bescht Frënn	0.934	0.662	0.647
bestial	Bestial	0.260	0.761	0.674
besties	beschäftegt	0.888	0.509	0.614
bestow	bestueden	0.656	0.560	0.642
bestseller	beschte Verkeefer	0.771	0.643	0.700
bet	wetten	0.385	0.698	0.432
beta	Beta	0.710	0.370	0.439
betray	ausliwwert	0.042	0.870	0.536
betrayal	ze verréngeren	0.083	0.719	0.418
betrayed	verroden	0.122	0.769	0.308
betrothed	geflücht	0.833	0.630	0.667
betterment	Verbesserung	0.898	0.536	0.769
betting	Wetten	0.237	0.804	0.411
betty	Betty	0.542	0.358	0.381
bevel	Schräinjitt	0.757	0.406	0.454
beverage	Gedrénks	0.635	0.490	0.389
bevy	bevy	0.429	0.460	0.541
beware	behalen	0.151	0.596	0.518
bewilder	beandrockt	0.306	0.571	0.289
bewildered	verroden	0.230	0.630	0.300
bewilderment	verbrannt	0.312	0.716	0.216
bias	viru kuerzem	0.400	0.370	0.541
biased	ofgebaut	0.271	0.302	0.368
bib	de Bicher	0.385	0.396	0.339
bible	Bibel	0.719	0.225	0.726
biblical	biblesch	0.635	0.304	0.712
bibliography	Bibliographie	0.622	0.204	0.528
bicarbonate	Bikarbonat	0.479	0.337	0.438
bicentennial	batizennial	0.541	0.423	0.507
biceps	Bizeps	0.592	0.588	0.602
bicker	bäi	0.143	0.643	0.552
bickering	ze iwwerstoen	0.122	0.800	0.536
bicolor	bicolor	0.580	0.327	0.404
bicycle	Vëlo	0.708	0.519	0.425
bid	Offer	0.760	0.530	0.655
bidder	Offer ofginn	0.465	0.474	0.433
bidding	Offeren	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	biennial	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	Bifurcatioun	0.385	0.625	0.352
big	grouss ass	0.802	0.588	0.812
bigamy	Bigamie	0.327	0.696	0.482
bigday	groussaalt	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	Biggie	0.531	0.481	0.500
bighorn	Bighorn	0.480	0.547	0.580
bigmouth	Bigmouth	0.417	0.577	0.430
bigot	Bigot	0.479	0.745	0.517
bigoted	gefouert ginn	0.153	0.760	0.462
bigotry	Viruerteler	0.356	0.737	0.481
bike	Vëlo	0.708	0.500	0.333
biker	Biker	0.604	0.710	0.567
bikini	Bikini	0.730	0.639	0.353
bilateral	bilateral	0.633	0.343	0.491
bilayer	bilayer	0.438	0.398	0.388
bile	Galle	0.157	0.461	0.324
bilge	Bilge	0.316	0.392	0.412
bilingual	zweesproocheg	0.735	0.490	0.606
bill	Rechnung	0.396	0.402	0.535
billboard	Billboard	0.594	0.317	0.481
billet	Rechnung	0.479	0.583	0.500
billiard	Billiard	0.719	0.616	0.543
billiards	Kaffi	0.643	0.559	0.387
billing	ze féiren	0.406	0.481	0.670
billion	Milliarden	0.719	0.564	0.782
billionaire	bilateral	0.806	0.667	0.923
billy	billy	0.490	0.397	0.375
bimbo	bimbo	0.396	0.370	0.300
bimonthly	bimonthly	0.408	0.298	0.471
bin	bin	0.422	0.304	0.327
binary	binary	0.490	0.356	0.420
bind	kruet	0.398	0.462	0.448
binder	ze bindelen	0.438	0.250	0.308
bindery	Bindery	0.548	0.388	0.482
binding	verbindlech ass	0.438	0.425	0.640
bing	bing	0.573	0.453	0.415
binge	ze ginn	0.304	0.650	0.500
bingo	bingo	0.735	0.667	0.429
binocular	Binokular	0.531	0.344	0.426
binoculars	Teleskop	0.490	0.309	0.411
binomial	binomial	0.600	0.406	0.426
bio	Bio	0.612	0.225	0.490
biochemical	biochemesch	0.367	0.481	0.618
biochemist	Biochemiker	0.471	0.449	0.717
biochemistry	Biochemie	0.552	0.531	0.596
biogenesis	Biogenese	0.594	0.442	0.697
biographer	Biograph	0.708	0.427	0.617
biography	Biographie	0.698	0.229	0.718
biological	biologesch	0.590	0.410	0.615
biologist	Biologe	0.625	0.453	0.693
biology	Biologie	0.479	0.274	0.546
bionic	bionësch	0.571	0.570	0.788
biopsy	Biopsie	0.323	0.657	0.481
biosphere	Biosphär	0.684	0.351	0.579
bipartite	bipartite	0.365	0.480	0.464
bipolar	bipolare sinn	0.208	0.685	0.426
birch	Birèk	0.562	0.346	0.382
bird	Vugel	0.729	0.357	0.364
birdcage	Pëtzkraaft	0.480	0.398	0.318
birdie	Vogelzort	0.594	0.394	0.407
birdman	Vogelziger	0.490	0.567	0.604
birth	Gebuert	0.896	0.655	0.536
birthday	Gebuertsdag	0.969	0.844	0.575
birthing	Gebuert	0.796	0.877	0.519
birthmark	Gebuertsdag	0.630	0.461	0.500
birthplace	Gebuertsplaz	0.781	0.290	0.491
birthright	Ierfschaftsrecht	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	Kichelcher	0.888	0.260	0.231
bisexual	bisexuell sinn	0.438	0.765	0.459
bishop	Bëschofssëtz	0.594	0.184	0.725
bison	Bësch	0.573	0.433	0.557
bisque	Bësch	0.693	0.443	0.312
bistro	Bistro	0.594	0.472	0.396
bit	loossen	0.427	0.310	0.225
bitch	gesouch	0.276	0.740	0.343
bitchy	bitchy	0.188	0.700	0.373
bite	Muer	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	bitsy	0.510	0.388	0.382
bitter	bëssen	0.218	0.627	0.411
bitterly	bitterly	0.194	0.685	0.362
bitterness	Batterkeet	0.115	0.633	0.270
bittersweet	Bëtter	0.469	0.569	0.474
bitty	bitty	0.469	0.271	0.257
bitumen	Bitumen	0.375	0.235	0.307
biweekly	zweewanneg	0.581	0.337	0.455
biz	biz	0.500	0.473	0.473
bizarre	bizarren	0.379	0.620	0.392
blab	Pabeier	0.438	0.425	0.353
blabbermouth	blabbermouth	0.323	0.640	0.422
black	schwaarz	0.326	0.339	0.390
black snake	schwaarz Schlaang	0.104	0.860	0.612
blackberry	Blackberry	0.667	0.413	0.453
blackbird	Blackbird	0.520	0.340	0.405
blackboard	Tafel	0.469	0.255	0.287
blacken	schwaarz	0.208	0.500	0.228
blackface	blackface	0.302	0.490	0.441
blackjack	Blackjack	0.419	0.679	0.452
blacklist	wochteg	0.133	0.750	0.396
blackmail	Häre brengen	0.094	0.802	0.482
blackmailer	blackmailer	0.092	0.780	0.472
blackness	Schwaarz	0.260	0.480	0.406
blackout	verwalt	0.126	0.530	0.349
blacksmith	Schmëdd	0.480	0.531	0.702
bladder	der Bléih	0.406	0.412	0.330
blade	blade	0.378	0.602	0.594
blame	zouloossen	0.115	0.640	0.309
blameless	Laascht	0.759	0.196	0.343
bland	blatzeg	0.300	0.226	0.157
blank	eidel	0.531	0.229	0.250
blanket	Decken	0.740	0.132	0.391
blare	blénken	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	blasphemesch	0.210	0.755	0.491
blasphemy	Gotteslästerung	0.146	0.794	0.406
blast	Héichuewen	0.167	0.929	0.777
blaster	Blaster	0.459	0.538	0.554
blastoff	blastoff	0.357	0.865	0.736
blatant	gewisen	0.327	0.677	0.675
blather	blatter	0.344	0.481	0.382
blaze	Feier ëmkreest	0.698	0.467	0.658
blazer	Blazer	0.635	0.385	0.417
blazing	gefleegt	0.594	0.896	0.735
bleach	bleechen	0.336	0.282	0.337
bleak	geweeht	0.204	0.427	0.272
bleed	geklomm	0.041	0.843	0.346
bleeder	Bleeder	0.260	0.852	0.356
bleeding	Blutungen	0.135	0.817	0.408
bleep	verstanen huet	0.479	0.667	0.345
blemish	Ongléck	0.219	0.558	0.272
blemished	gäeren	0.173	0.469	0.370
blend	Mëschung	0.469	0.452	0.463
blender	Mixer ginn	0.602	0.534	0.351
blending	ze vermëschen	0.560	0.418	0.637
bless	erbäi	0.929	0.269	0.588
blessed	geseent	0.910	0.279	0.696
blessing	Segen	0.929	0.264	0.800
blessings	Blessuren	0.929	0.361	0.623
bleu	bleu	0.460	0.354	0.379
blight	schmaache gelooss	0.271	0.771	0.429
blighted	geschmiert	0.146	0.615	0.296
blimp	Blëtz	0.600	0.410	0.532
blind	blann	0.156	0.360	0.184
blinded	blann	0.245	0.471	0.231
blindfold	erbléckt	0.448	0.684	0.337
blindfolded	erbléckt ginn	0.208	0.564	0.209
blinding	blann	0.304	0.596	0.406
blindly	blann ginn	0.439	0.598	0.278
blindness	Blindheet	0.245	0.480	0.196
blink	ze blénken	0.552	0.316	0.324
blip	blécken	0.529	0.461	0.418
bliss	vill Glëck	0.816	0.500	0.782
blissful	glécklech	0.885	0.639	0.676
blister	ze gebrauchen	0.407	0.538	0.402
blistering	ze erklären	0.344	0.569	0.390
blitz	Blitz	0.417	0.722	0.789
blizzard	gemëscht	0.375	0.726	0.417
bloat	bloat	0.229	0.694	0.298
bloated	gebacken	0.167	0.593	0.424
blob	Blob	0.500	0.376	0.298
block	blockéieren	0.286	0.350	0.402
blockade	blockade	0.380	0.519	0.510
blockage	ze blockéieren	0.250	0.608	0.444
blockbuster	Blockbuster	0.730	0.676	0.883
blockhead	blockhead	0.163	0.333	0.148
blog	Blog	0.639	0.390	0.432
bloke	blockéieren	0.450	0.479	0.545
blond	blond	0.590	0.490	0.490
blonde	blond	0.698	0.545	0.412
blood	Blutt	0.219	0.684	0.585
bloodbath	Bluddungen	0.060	0.971	0.475
bloodhound	Bluddhaarung	0.327	0.462	0.538
bloodless	Blutt ouni	0.292	0.390	0.212
bloodline	Bluttzocker	0.510	0.657	0.604
bloodshed	Bluttzocker	0.048	0.942	0.525
bloodshot	Blutt	0.188	0.810	0.482
bloodstream	Blutt	0.552	0.530	0.528
bloodthirsty	Bluttherberg	0.052	0.804	0.644
bloody	bluddeger	0.031	0.910	0.518
bloom	Bléi	0.816	0.453	0.587
bloomers	Bléimer	0.521	0.587	0.395
blooming	bléien	0.860	0.452	0.593
blossom	Bléien	0.792	0.275	0.309
blot	Blot	0.365	0.304	0.223
blotched	opgeblockt	0.133	0.562	0.264
blotter	Blotter	0.360	0.298	0.280
blouse	Bluse	0.580	0.190	0.302
blow	verdeelt	0.316	0.750	0.570
blower	gebremst	0.564	0.550	0.536
blowfish	Pissen gefuer	0.344	0.420	0.389
blowing	gewiskt	0.521	0.472	0.434
blowjob	Piss	0.460	0.784	0.387
blown	geklappt	0.333	0.548	0.412
blowout	Émissioun	0.398	0.792	0.616
blowtorch	Schlag verhënnert	0.520	0.730	0.510
blubber	Blubber	0.388	0.260	0.360
bluddy	roueg	0.312	0.528	0.442
blue	blo	0.646	0.137	0.291
blue spruce	blo Fësch	0.559	0.335	0.364
blueberry	souzeso	0.656	0.185	0.365
bluebird	bluebird	0.573	0.350	0.450
bluegrass	bluegrass	0.573	0.441	0.395
bluejay	bluejay	0.635	0.520	0.310
blueprint	Plang	0.490	0.173	0.425
blues	Blues	0.469	0.220	0.287
bluff	Bluff	0.418	0.286	0.377
bluish	blo	0.604	0.245	0.382
blunder	geschloen	0.135	0.635	0.145
blunt	stomp	0.551	0.680	0.925
blur	erënneren	0.268	0.471	0.205
blurred	verwackelt	0.320	0.367	0.231
blurry	roueg	0.059	0.385	0.218
blurt	Blëtz	0.408	0.439	0.441
blush	rosen	0.698	0.610	0.445
blushing	ronderëm	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	Wëld	0.406	0.500	0.351
board	Bord	0.592	0.255	0.385
board game	Brietspill	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	matzefléien	0.531	0.402	0.534
boardroom	Forum behaalen	0.555	0.566	0.661
boards	de Conseils	0.469	0.270	0.524
boardwalk	Boardwalk	0.643	0.481	0.549
boast	bretzen	0.520	0.586	0.569
boastful	bedréit	0.490	0.806	0.695
boasting	Aart a Weis	0.417	0.620	0.602
boat	Boot	0.516	0.420	0.554
boathouse	Boathouse	0.592	0.380	0.404
boating	Booter	0.638	0.613	0.557
boatload	Bootload	0.365	0.415	0.485
boatman	Boatman	0.592	0.573	0.562
bobbin	Spadséiergank	0.429	0.472	0.353
bobcat	bobcat	0.562	0.490	0.529
bobsled	bobsled	0.667	0.613	0.325
bode	bode	0.344	0.406	0.411
bodega	Terrain	0.573	0.307	0.398
bodice	Bieder	0.390	0.471	0.386
bodily	onkohärent	0.594	0.481	0.557
body	Kierper	0.694	0.461	0.571
bodyguard	Bodyguard	0.510	0.710	0.754
bog	d 'Keese passéiert	0.302	0.361	0.365
bogey	bogey	0.380	0.519	0.368
bogeyman	bugeyman	0.388	0.708	0.517
bogus	bogus	0.219	0.353	0.144
bohemian	Bohemianer	0.622	0.500	0.407
boil	kachen	0.417	0.684	0.433
boiler	Boiler	0.561	0.590	0.509
boilerplate	Boilerplate	0.398	0.519	0.387
boiling	ze kachen	0.302	0.690	0.526
boisterous	opfalend	0.385	0.806	0.565
bold	fett	0.490	0.271	0.483
boldness	déif genuch	0.806	0.684	0.814
bollocks	bollocks	0.448	0.471	0.327
bolster	ausgedréckt	0.708	0.471	0.569
bolt	Schrauwen	0.354	0.363	0.426
bolus	Bolus	0.426	0.491	0.352
bomb	Bombe	0.167	0.912	0.750
bombard	bombardéiert	0.156	0.961	0.777
bombardier	bombardier	0.240	0.863	0.787
bombardment	bombardéiert	0.146	0.959	0.742
bombed	bombardéiert	0.051	0.851	0.627
bomber	Bomber	0.125	0.837	0.810
bombers	Bommen	0.173	0.920	0.787
bombing	Bommen	0.167	0.963	0.732
bombshell	bombshell	0.327	0.868	0.693
bonanza	Bonanza	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	verbonne sinn	0.667	0.519	0.630
bondage	Bondage	0.146	0.705	0.355
bonding	Bonding	0.594	0.442	0.509
bonds	Obligatiounen	0.740	0.472	0.583
bondsman	Bondsman	0.469	0.497	0.675
bone	Knach	0.337	0.370	0.413
bonehead	Béier	0.337	0.521	0.518
boner	besser	0.344	0.612	0.393
bones	Schanken	0.281	0.343	0.358
bonfire	Feierowend	0.480	0.719	0.473
bong	bong	0.333	0.566	0.375
bonkers	bonkers	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	Mooss	0.406	0.509	0.473
bonny	Bonny	0.561	0.404	0.444
bonsai	bonsai	0.714	0.235	0.375
bonus	Bonus	0.857	0.620	0.682
bony	Knascht	0.445	0.462	0.330
boo	Boo	0.153	0.676	0.309
boob	Boob	0.694	0.600	0.392
booby	Box mécht	0.396	0.423	0.185
booger	Booger	0.399	0.537	0.427
boogeyman	Boogeyman	0.292	0.559	0.567
boogie	Boogie	0.590	0.543	0.400
book	Buch	0.802	0.210	0.606
bookcase	opstoe gelooss	0.553	0.221	0.490
bookie	Bookie	0.344	0.633	0.618
booking	ze buchen	0.708	0.503	0.583
bookish	Bicher	0.604	0.236	0.430
bookkeeper	Bookkeeper	0.480	0.363	0.468
bookkeeping	Bookkeeping	0.520	0.214	0.592
booklet	Broschür	0.510	0.270	0.351
bookmaker	vu BookMaker	0.583	0.804	0.633
bookmark	Lieszeechen	0.543	0.441	0.415
books	Bicher	0.729	0.115	0.430
bookseller	Librairie	0.583	0.317	0.456
bookshop	Bicherbuttek	0.688	0.291	0.389
bookstore	Librairie	0.771	0.180	0.503
bookworm	Bookworm	0.563	0.337	0.316
boom	Boom	0.604	0.655	0.731
boomer	Boomer	0.480	0.539	0.441
boomerang	Boomerang	0.531	0.625	0.500
booming	boomt	0.688	0.554	0.661
boon	boon	0.878	0.294	0.642
boooo	NO TRANSLATION	0.271	0.549	0.255
boost	opgoen	0.865	0.730	0.750
booster	Booster	0.755	0.600	0.800
boot	boot	0.438	0.650	0.625
booth	Stänn	0.531	0.400	0.310
bootleg	Boot	0.357	0.519	0.466
bootlegger	Booter	0.354	0.649	0.541
boots	Stiwwelen	0.602	0.255	0.350
booty	Beooty	0.663	0.587	0.784
booze	Alkohol	0.265	0.745	0.431
bop	bop	0.429	0.490	0.426
bopper	Bopper	0.398	0.530	0.385
border	Grenz	0.406	0.382	0.424
bordering	Grenz	0.643	0.382	0.438
borderline	Grenz	0.449	0.520	0.490
bore	Buedem	0.417	0.440	0.455
boreal	Boreal	0.582	0.348	0.400
bored	langweileg	0.153	0.167	0.196
boredom	schloen	0.167	0.139	0.255
borer	Drénk	0.302	0.549	0.578
boring	langweileg	0.194	0.217	0.125
born	gebuer	0.865	0.509	0.591
boron	Bord	0.441	0.370	0.375
borough	Héichbuerg	0.429	0.343	0.380
borrow	léinen	0.398	0.573	0.282
borrower	léinen	0.439	0.423	0.763
bosom	Buslinn	0.612	0.588	0.404
boss	Chef	0.310	0.627	0.954
bossy	bossy	0.240	0.824	0.750
boston	Boston	0.643	0.380	0.580
botanical	botanesch	0.660	0.259	0.491
botanist	Botaniker	0.651	0.240	0.456
botany	Botany	0.604	0.201	0.500
bother	stierwen	0.208	0.780	0.370
bothering	ze stéieren	0.208	0.764	0.449
bottle	Fläsch	0.469	0.236	0.336
bottleneck	Eng kleng Angscht	0.284	0.471	0.287
bottling	Bouillon	0.365	0.333	0.370
bottom	ënnen	0.417	0.370	0.291
bottomless	enkelt	0.310	0.470	0.368
botulism	Botulismus	0.292	0.575	0.386
boulder	Boulder	0.461	0.309	0.531
bounce	ze stéieren	0.375	0.633	0.386
bouncer	bouncer	0.490	0.653	0.655
bouncy	bouncy	0.562	0.565	0.429
bound	gebonnen	0.417	0.667	0.310
boundary	Grenz	0.561	0.427	0.518
boundless	ouni Grenzlos	0.684	0.642	0.652
bounds	Grenzen	0.378	0.426	0.604
bountiful	grouss ass	0.854	0.596	0.759
bounty	grouss	0.760	0.755	0.833
bouquet	Bouquet	0.724	0.352	0.306
bourbon	Bourbon	0.602	0.490	0.517
bourgeois	biergop	0.439	0.593	0.682
bourgeoisie	Bourgeoisie	0.357	0.417	0.767
bourse	Bourse	0.530	0.230	0.336
bout	ofgeschloss	0.208	0.808	0.679
boutique	Buttek	0.745	0.490	0.441
bouttime	geschmaacht	0.588	0.373	0.410
bovine	Babeeschutz	0.449	0.255	0.353
bow	ze verloossen	0.530	0.306	0.408
bowed	verbeet	0.410	0.418	0.368
bowel	Déieregaart	0.306	0.417	0.391
bowels	Dären	0.194	0.448	0.362
bowl	Schossel	0.625	0.377	0.358
bowler	Bowler	0.552	0.633	0.481
bowling	Bowling	0.656	0.431	0.309
bowls	Schësselcher	0.551	0.280	0.277
box	Këscht	0.500	0.179	0.312
boxcar	Boxcar	0.420	0.469	0.421
boxer	Boxer	0.490	0.810	0.802
boxers	Boxer	0.375	0.880	0.654
boxing	Boxsport	0.427	0.854	0.645
boy	Jong	0.646	0.392	0.445
boycott	onkloer	0.112	0.690	0.505
boyfriend	Frënd	0.781	0.604	0.547
boyhood	Jongfra	0.729	0.745	0.500
boyish	boyish	0.698	0.562	0.462
boysenberry	Houwald	0.646	0.409	0.475
bozo	bozo	0.388	0.364	0.298
bra	Béier	0.672	0.529	0.509
brace	Haftung	0.610	0.385	0.364
bracelet	Bracelet	0.776	0.340	0.322
braces	Klameren	0.500	0.337	0.568
brachial	Brachial	0.388	0.363	0.464
bracket	Klammer	0.490	0.350	0.682
brackets	Klammeren	0.573	0.281	0.435
brackish	brackesch	0.469	0.368	0.421
brad	Brad	0.490	0.385	0.402
brag	nidderegt	0.347	0.545	0.578
braid	Kutsch	0.427	0.222	0.216
brain	Gehir	0.667	0.441	0.823
brainless	Gehalt	0.138	0.310	0.224
brains	Hänn	0.663	0.557	0.722
brainstorm	Brainstorm	0.794	0.784	0.636
brainwash	Gehir	0.198	0.647	0.481
brainy	Braine	0.708	0.520	0.648
brake	gebremst	0.312	0.481	0.310
bran	Tauxen	0.688	0.433	0.483
branch	Ofleeër	0.538	0.206	0.250
branching	bäigedroen	0.520	0.422	0.472
brand	Mark	0.562	0.284	0.547
brandy	Cognac	0.600	0.590	0.487
brash	zerbrach	0.360	0.814	0.552
brass	Messeren	0.500	0.320	0.490
brass knuckle	Messer knuckle	0.406	0.449	0.518
brassiere	Brassiere	0.510	0.469	0.336
brat	Brat	0.312	0.440	0.231
bratwurst	Bratwurst	0.510	0.490	0.464
bravado	bravado	0.479	0.510	0.527
brave	Mut	0.837	0.750	0.917
bravery	Tapferkeet	0.898	0.745	0.868
brawl	Brëll	0.104	0.938	0.603
brawn	brawn	0.438	0.402	0.544
brazen	Hëtzt	0.292	0.640	0.518
breach	ze bremsen	0.177	0.745	0.423
bread	Brout	0.660	0.314	0.342
breadth	Breet	0.667	0.490	0.644
break	briechen	0.610	0.265	0.370
breakable	ofbriechen	0.194	0.667	0.408
breakaway	Breakaway	0.479	0.802	0.519
breakdown	ofbauen	0.365	0.423	0.361
breaker	erhéicht huet	0.323	0.527	0.520
breakers	bremsen	0.469	0.588	0.439
breakfast	Kaffi	0.885	0.330	0.429
breaking and entering	ze bremsen an erakommen	0.418	0.729	0.500
breakingnews	Ausbreedung	0.500	0.552	0.607
breakneck	Pausen	0.254	0.833	0.604
breakthrough	dréchene Schoss	0.680	0.525	0.718
breakup	sech trennen	0.250	0.720	0.357
breast	Broscht	0.753	0.429	0.500
breath	Ace	0.684	0.392	0.451
breathe	ophalen	0.833	0.373	0.518
breather	ze maachen	0.624	0.471	0.388
breathless	atemlech	0.323	0.490	0.222
breathtaking	atemberaubend	0.936	0.792	0.921
breech	Breeche	0.500	0.637	0.422
breeches	Boxen	0.365	0.457	0.333
breed	Rass	0.490	0.441	0.578
breeder	Ziichter	0.645	0.481	0.605
breeding	der Zucht	0.667	0.481	0.610
breeze	Wand	0.837	0.284	0.370
breezy	léifkrees	0.531	0.472	0.482
brethren	Bridder	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	Kopp	0.459	0.434	0.375
brew	brong	0.740	0.538	0.758
brewery	Brauerei	0.710	0.622	0.510
brewing	Brauerei	0.740	0.593	0.609
briar	briar	0.493	0.375	0.407
bribe	Bestiechung ugesinn	0.112	0.690	0.472
bribery	bestrooft	0.135	0.775	0.585
brick	Zillen	0.217	0.418	0.368
bridal	Braut	0.823	0.655	0.596
bride	Braut	0.840	0.708	0.579
bridegroom	Bräitchemann	0.809	0.736	0.527
bridesmaid	Jongfraen	0.748	0.519	0.618
bridge	Bréck	0.625	0.324	0.519
bridle	Bridle	0.427	0.367	0.386
brief	Kuerz gefrot	0.469	0.300	0.279
briefcase	e Koffer	0.542	0.206	0.442
briefing	Briefing	0.612	0.333	0.702
briefly	kuerz	0.686	0.314	0.330
brig	brig	0.573	0.539	0.500
brigade	Brigade	0.604	0.710	0.828
bright	hell sinn	0.890	0.527	0.812
brighten	brightenen	0.760	0.547	0.649
brightens	helleren	0.771	0.611	0.613
brighter	méi hell	0.918	0.698	0.833
brightness	Hellegkeet	0.938	0.623	0.660
brilliance	Brillanz	0.990	0.673	0.830
brilliant	brilliant	0.939	0.575	0.923
brim	Rand	0.469	0.333	0.330
brimming	oppassen	0.656	0.690	0.758
brimstone	Fëmmert	0.357	0.520	0.440
brine	Saier	0.333	0.481	0.361
bring	bréngen	0.635	0.460	0.462
brink	baal	0.375	0.413	0.356
brisk	méisseg	0.719	0.745	0.742
brisket	brisket	0.552	0.378	0.222
bristle	Borscht	0.375	0.375	0.326
brittle	zerbriechlech	0.276	0.490	0.272
bro	Br	0.794	0.349	0.684
broach	zerwéiert	0.438	0.439	0.675
broad	breed	0.762	0.365	0.637
broadcast	Emissioun	0.615	0.587	0.355
broadcasting	Diffusiounsinstallatiounen	0.542	0.700	0.706
broaden	Verbreedung	0.678	0.602	0.610
broadside	Broadview	0.459	0.316	0.462
broadsword	geschreift	0.469	0.573	0.615
brocade	Brocade	0.500	0.327	0.464
broccoli	Broccoli	0.469	0.200	0.283
brochure	Brochure	0.552	0.226	0.391
broil	verdeelt	0.510	0.404	0.330
broke	gebrach	0.245	0.590	0.370
broken	gebrach	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	briechen	0.130	0.598	0.227
broker	broker	0.582	0.462	0.600
brokerage	Brokerage	0.479	0.500	0.500
bromide	Bromid	0.347	0.425	0.411
bronco	bronco	0.500	0.510	0.473
bronze	Bronze	0.622	0.333	0.526
brooch	Brosch	0.531	0.260	0.380
brood	bäibruecht	0.633	0.519	0.434
brooding	verdeelt	0.327	0.367	0.333
brook	Baach	0.594	0.347	0.412
broom	Biesem	0.385	0.154	0.302
broomstick	Biesstock	0.410	0.265	0.227
broth	Bouillon	0.500	0.245	0.168
brothel	Bord	0.255	0.886	0.418
brother	Brudder	0.823	0.361	0.546
brotherhood	Brudderschaft	0.990	0.471	0.760
brotherly	Brudder	0.865	0.306	0.596
brow	ze iwwerloossen	0.562	0.311	0.481
brown	brong	0.396	0.202	0.293
brownstone	Brongstein	0.559	0.423	0.439
browse	sicht	0.635	0.750	0.592
brrr	brrr	0.373	0.540	0.282
bruise	bruise	0.133	0.640	0.474
bruising	bruising	0.084	0.520	0.422
brunch	Brunch	0.406	0.363	0.343
brunette	brunette	0.802	0.528	0.529
brunt	brunt	0.204	0.750	0.349
brush	Pinsel	0.490	0.265	0.186
brutal	brutal	0.122	0.882	0.643
brutality	Brutalitéit	0.122	0.832	0.571
brute	frësch	0.115	0.547	0.379
brutish	brutesch	0.270	0.837	0.588
bubble	Blieder	0.774	0.213	0.364
bubbling	Blubberen	0.500	0.438	0.384
bubbly	Schampes	0.698	0.608	0.462
bubonic	bubonesch	0.280	0.530	0.394
buck	Gléck	0.677	0.577	0.720
buckaroo	buckaroo	0.448	0.469	0.479
bucket	Eemer	0.408	0.167	0.336
buckle	Boss	0.416	0.373	0.361
buckled	gebakot ginn	0.427	0.358	0.439
bucko	bucko	0.439	0.455	0.465
buckshot	buckshot	0.255	0.740	0.322
buckwheat	Buckhehe	0.490	0.471	0.434
bud	kafen	0.460	0.402	0.333
buddha	Buddha	0.690	0.198	0.604
buddhism	Budhismus	0.510	0.115	0.673
buddhist	buddhistesch	0.570	0.182	0.481
budding	ervirgestrach hunn	0.490	0.500	0.355
buddy	Buddy	0.884	0.585	0.655
budge	ze retten	0.719	0.755	0.543
budget	Budget	0.643	0.396	0.731
buff	Buff	0.561	0.425	0.361
buffalo	Büffel	0.469	0.528	0.527
buffer	Buffer	0.520	0.474	0.350
buffering	gefiermt ginn	0.479	0.468	0.381
buffet	Buffet	0.656	0.546	0.519
buffoon	Buffon	0.344	0.651	0.290
bug	Fehler	0.286	0.500	0.246
bugaboo	bugaboo	0.439	0.491	0.441
bugged	bëssi genervt	0.561	0.439	0.500
bugger	Bugger	0.312	0.627	0.474
buggy	buggy	0.500	0.509	0.327
bugle	bugle	0.479	0.588	0.391
bugler	bugler	0.542	0.540	0.393
build	bauen	0.771	0.546	0.806
builder	Buedem	0.660	0.642	0.701
building	ze bauen	0.705	0.288	0.673
buildings	Gebaier	0.582	0.380	0.552
buildup	opbauen	0.490	0.509	0.623
bulb	loossen	0.562	0.208	0.300
bulbous	geféierlech	0.390	0.442	0.430
bulge	Ausbuchtung	0.260	0.487	0.400
bulimic	bulimesch	0.092	0.570	0.373
