Word	Marathi-mr	Valence	Arousal	Dominance
backhoe	बॅकहॉ	0.398	0.554	0.562
backoff	बॅकऑफ	0.104	0.396	0.240
backpack	बॅकपॅक	0.729	0.278	0.333
backpacker	बॅकपॅकर	0.510	0.730	0.460
backroom	बॅकरूम	0.406	0.500	0.387
backseat	बॅकसीट	0.388	0.330	0.237
backside	मागील बाजू	0.182	0.417	0.342
backtrack	बॅकट्रॅक	0.312	0.525	0.278
backup	बॅकअप	0.520	0.510	0.553
backward	मागे	0.309	0.367	0.250
backwardness	मागासलेपणा	0.240	0.500	0.136
backwards	मागील बाजूस	0.302	0.372	0.330
backwater	बॅकवॉटर	0.312	0.410	0.161
backwoods	बॅकवुडस	0.541	0.350	0.482
backyard	घरामागील अंगण	0.552	0.280	0.302
bacon	बेकन	0.698	0.406	0.295
bacteria	जीवाणू	0.177	0.553	0.570
bacterial	जिवाणू	0.156	0.500	0.473
bacterium	जीवाणू	0.194	0.545	0.345
bad	वाईट	0.125	0.625	0.373
badass	बदमाश	0.255	0.775	0.745
badday	NO TRANSLATION	0.327	0.449	0.373
badfeeling	NO TRANSLATION	0.250	0.559	0.365
badge	बॅज	0.567	0.488	0.691
badger	बॅजर	0.344	0.429	0.357
badhabit	NO TRANSLATION	0.184	0.594	0.311
badly	वाईट रीतीने	0.073	0.509	0.286
badness	वाईटपणा	0.094	0.823	0.463
baffle	गोंधळून जाणे	0.344	0.442	0.482
baffled	गोंधळावलेला	0.151	0.600	0.339
bag	पिशवी	0.500	0.250	0.314
bagel	बेगल	0.531	0.363	0.340
baggage	सामान	0.610	0.363	0.427
baggie	बॅगी	0.367	0.427	0.366
baggy	बेबी	0.521	0.278	0.452
bagman	बॅगमन	0.506	0.500	0.394
bagpipes	बॅगिपीस	0.541	0.556	0.412
bail	जामीन	0.373	0.520	0.561
bailiff	बेलीफ	0.347	0.519	0.759
bait	आमिष	0.276	0.327	0.296
bake	बेक करावे	0.867	0.418	0.519
bakery	बेकरी	0.802	0.500	0.380
baking	बेकिंग	0.549	0.455	0.451
bal	NO TRANSLATION	0.490	0.412	0.432
balance	शिल्लक	0.684	0.265	0.735
balanced	संतुलित	0.806	0.255	0.745
balcony	बाल्कनी	0.562	0.392	0.380
bald	टक्कल	0.306	0.184	0.268
balding	बालपणा	0.302	0.363	0.368
baldy	बाल्डी	0.398	0.385	0.396
bale	बेल	0.437	0.363	0.412
balk	बॉक	0.229	0.451	0.415
ball	बॉल	0.740	0.427	0.317
ballad	पोवाडा	0.792	0.284	0.424
ballast	निळसर	0.354	0.423	0.287
ballerina	बॅलेरिना	0.802	0.660	0.475
ballet	नृत्यनाट्य	0.656	0.480	0.358
ballgame	चेंडूचा खेळ	0.781	0.790	0.407
ballistic	बॅलेस्टिक	0.260	0.806	0.685
ballistics	बेलिस्टिक	0.271	0.787	0.610
balloon	बलून	0.729	0.245	0.315
ballot	मतपत्रिका	0.521	0.361	0.358
ballpark	बेलपार्क	0.724	0.694	0.529
ballplayer	बॉलप्लेअर	0.719	0.764	0.566
ballpoint	बॉलपॉइंट	0.596	0.337	0.318
ballroom	बॉलरूम	0.847	0.635	0.448
ballsy	बॉलीझ	0.531	0.491	0.414
balm	मलम	0.625	0.275	0.414
balmy	मौल्यवान	0.684	0.327	0.545
balsam	सुगंधी उटणे	0.663	0.250	0.385
balsamic	मृदू करणारे	0.582	0.283	0.447
bam	बेम	0.427	0.472	0.390
bamboo	बांबू	0.646	0.222	0.356
ban	NO TRANSLATION	0.146	0.689	0.587
banana	केळी	0.612	0.230	0.241
band	बँड	0.648	0.552	0.525
bandage	मलमपट्टी	0.220	0.327	0.286
bandanna	NO TRANSLATION	0.562	0.276	0.277
bandit	डाकू	0.094	0.796	0.567
bandstand	बॅन्डस्टँड	0.735	0.536	0.520
bandwagon	बंदर	0.625	0.651	0.509
bandwidth	बँडविड्थ	0.714	0.337	0.548
bane	विष	0.265	0.694	0.366
bang	मोठा आवाज	0.265	0.951	0.740
banger	बॅन्जर	0.378	0.540	0.538
banish	मनातून काढून टाकणे	0.163	0.677	0.543
banished	निर्लज्ज	0.052	0.713	0.370
banishment	हद्दपारी	0.160	0.775	0.298
banister	बॅनिस्टर	0.418	0.410	0.332
banjo	बॅंजो	0.469	0.400	0.370
bank	बँक	0.562	0.327	0.675
banker	बँकर	0.586	0.588	0.792
banking	बँकिंग	0.510	0.327	0.500
bankroll	बँकोल	0.469	0.570	0.509
bankrupt	दिवाळखोर	0.163	0.673	0.337
bankruptcy	दिवाळखोरी	0.010	0.696	0.209
banner	बॅनर	0.521	0.408	0.474
banquet	मेजवानी	0.765	0.571	0.600
banshee	बन्सी	0.408	0.565	0.481
banter	थट्टा	0.594	0.677	0.464
banzai	NO TRANSLATION	0.550	0.510	0.443
baptism	बाप्तिस्मा	0.844	0.384	0.566
baptismal	बाप्तिस्म्यासंबंधी	0.646	0.343	0.625
baptize	बाप्तिस्मा द्या	0.739	0.426	0.594
bar	बार	0.500	0.531	0.481
barb	चिडखोर	0.448	0.365	0.417
barbarian	जंगली	0.323	0.896	0.713
barbaric	रानटी	0.235	0.798	0.738
barbarism	रानटीपणा	0.190	0.815	0.614
barbecue	बार्बेक्यु	0.792	0.643	0.456
barbed	काटेरी तार	0.177	0.594	0.455
barber	न्हावी	0.543	0.459	0.356
barbershop	नाईशॉप	0.597	0.441	0.382
barbie doll	बार्बी बाहुली	0.729	0.370	0.330
bard	बारद	0.470	0.410	0.439
bare	बेअर	0.333	0.717	0.296
bareback	जरा मागे	0.500	0.356	0.373
barefoot	अनवाणी	0.445	0.373	0.241
barely	केवळ	0.448	0.183	0.268
barf	बारफ	0.340	0.491	0.394
bargain	सौदा	0.653	0.533	0.670
bargaining	सौदेबाजी	0.622	0.640	0.642
barge	बागे	0.469	0.388	0.465
baritone	बॅरिटोन	0.592	0.529	0.500
barium	रुप्यासारखा पांढरा मऊ धातू	0.406	0.353	0.377
bark	झाडाची साल	0.360	0.602	0.395
barkeep	बर्किप	0.480	0.500	0.454
barks	भुंकतो	0.427	0.694	0.325
barley	बार्ली	0.614	0.212	0.296
barmaid	बारमाड	0.521	0.472	0.440
barman	बर्मान	0.594	0.610	0.400
barn	गुदाम	0.510	0.452	0.425
barnacle	बार्नाकल	0.408	0.337	0.457
barney	बार्नी	0.451	0.378	0.440
barnyard	धान्याचे कोठार	0.510	0.353	0.336
barometer	बॅरोमीटर	0.388	0.273	0.545
baron	जहागीरदार	0.520	0.358	0.709
baroness	औदासिन्य	0.625	0.453	0.755
baroque	विचित्र	0.490	0.357	0.418
barrack	बराक	0.378	0.500	0.455
barracuda	बाराक्युडा	0.333	0.713	0.510
barrage	मोठे धरण	0.388	0.871	0.627
barred	प्रतिबंधित	0.143	0.741	0.535
barrel	बॅरेल	0.429	0.298	0.474
barren	नापीक	0.173	0.373	0.221
barricade	अडथळा	0.323	0.667	0.673
barrier	अडथळा	0.333	0.480	0.562
barring	वगळता	0.292	0.670	0.420
barrister	बॅरिस्टर	0.469	0.570	0.792
barroom	बॅररूम	0.686	0.619	0.470
barrow	बॅरो	0.479	0.363	0.362
bartender	बारटेंडर	0.573	0.698	0.585
barter	वस्तुविनिमय	0.465	0.559	0.596
base	बेस	0.635	0.298	0.553
baseball	बेसबॉल	0.660	0.760	0.563
baseball bat	बेसबॉल बॅट	0.667	0.567	0.509
baseboard	बेसबोर्ड	0.396	0.198	0.405
baseless	निराधार	0.292	0.382	0.375
baseline	आधाररेखा	0.483	0.367	0.509
baseman	baseman	0.604	0.449	0.462
basement	तळघर	0.388	0.500	0.268
bases	पायांवर	0.569	0.236	0.591
bash	बाश	0.385	0.546	0.463
bashful	चिडखोर	0.400	0.406	0.217
basic	मूलभूत	0.643	0.102	0.395
basics	मूलतत्त्वे	0.688	0.311	0.491
basil	तुळस	0.534	0.274	0.309
basilica	बॅसिलिका	0.612	0.302	0.639
basin	बेसिन	0.552	0.231	0.398
basis	आधार	0.602	0.260	0.426
bask	बास्क	0.760	0.330	0.381
basket	टोपली	0.458	0.227	0.336
basketball	बास्केटबॉल	0.814	0.764	0.435
bass	बास	0.427	0.206	0.268
bass guitar	बास गिटार	0.738	0.370	0.294
basso	NO TRANSLATION	0.417	0.420	0.439
bassoon	खोल आवाजाचे एक मुखवाद्य	0.500	0.433	0.310
bastard	अनियमित	0.094	0.692	0.289
bastarding	प्रतिबंधित	0.104	0.608	0.269
bastards	कमी किमतीचा	0.082	0.680	0.422
bastion	बुरूजावर	0.531	0.500	0.596
bat	बॅट	0.324	0.409	0.480
batch	बॅच	0.560	0.357	0.357
batching	बॅचिंग	0.484	0.420	0.518
bate	NO TRANSLATION	0.429	0.525	0.464
bath	अंघोळ	0.725	0.260	0.263
bathe	स्नान करणे	0.677	0.294	0.371
bathhouse	स्नानगृह	0.602	0.380	0.459
bathing	आंघोळीसाठी	0.740	0.276	0.361
bathrobe	आंघोळ	0.531	0.442	0.394
bathroom	बाथरूम	0.561	0.283	0.345
bathtub	बाथटब	0.625	0.240	0.318
bathymetry	बाथमिेट्री	0.432	0.480	0.509
baton	बॅटन	0.272	0.235	0.519
battalion	बटालियन	0.333	0.818	0.795
batter	पिठात लावा	0.561	0.245	0.373
battered	पस्त	0.080	0.790	0.306
battering	पिटाईंग	0.210	0.798	0.490
battery	बॅटरी	0.480	0.425	0.442
battle	लढाई	0.365	0.945	0.868
battled	लढले	0.292	0.794	0.575
battlefield	रणांगण	0.133	0.918	0.781
battleground	रणक्षेत्र	0.156	0.958	0.812
battlements	रणगाडा	0.276	0.441	0.530
battleship	युद्धनौका	0.479	0.750	0.726
batty	फलटण	0.375	0.619	0.274
bauble	बाऊबल	0.698	0.429	0.255
bawdy	मूर्ख	0.184	0.823	0.508
bawl	गोंधळ	0.385	0.880	0.561
bay	बे	0.719	0.365	0.569
bayonet	संगीन	0.263	0.775	0.561
bayou	bayou	0.469	0.431	0.324
bazaar	बाजार	0.604	0.340	0.500
bazooka	बझूका	0.302	0.824	0.634
bday	बीडे	0.729	0.600	0.415
be	व्हा	0.670	0.240	0.554
beach	समुद्रकिनारा	0.885	0.529	0.455
beaches	किनारे	0.865	0.500	0.538
beacon	बीकन	0.580	0.407	0.537
bead	मणी	0.592	0.388	0.381
beading	बेंडिंग	0.542	0.320	0.398
beads	मणी	0.673	0.388	0.552
beady	चिडखोर	0.448	0.417	0.443
beagle	बीगल	0.649	0.470	0.395
beak	चोच	0.375	0.363	0.411
beaker	बीकर	0.420	0.410	0.391
beam	तुळई	0.584	0.349	0.382
beaming	beaming	0.892	0.654	0.587
bean	बीन	0.667	0.269	0.264
beanbag	बीनबॅग	0.450	0.380	0.340
beanie	बीनी	0.500	0.230	0.263
bear	अस्वल	0.448	0.570	0.475
bearable	सोयीस्कर	0.542	0.375	0.605
beard	दाढी	0.490	0.261	0.371
bearded	दाढीवाला	0.439	0.337	0.391
bearer	वाहक	0.571	0.547	0.676
bearing	पत्करणे	0.571	0.367	0.474
bearings	बीयरिंग्ज	0.418	0.490	0.426
bearish	मंदीचा	0.521	0.549	0.324
bearskin	बीरस्किन	0.333	0.398	0.464
beast	पशू	0.214	0.780	0.732
beastly	क्रूरतापूर्वक	0.146	0.874	0.843
beat	विजय	0.279	0.647	0.492
beaten	झालेला	0.083	0.846	0.265
beater	बीटर	0.438	0.545	0.482
beating	पराभव	0.153	0.833	0.481
beatnik	बीटानिक	0.429	0.510	0.382
beau	प्रियकर	0.612	0.440	0.432
beautification	सौंदर्यप्रदर्शन	0.885	0.575	0.725
beautiful	सुंदर	0.875	0.614	0.648
beautify	सुंदर करा	0.898	0.592	0.736
beauty	सौंदर्य	0.842	0.600	0.644
beaver	बीव्हर	0.490	0.344	0.393
bebop	बबॉप	0.482	0.490	0.358
beck	बेक	0.580	0.375	0.418
beckon	आलिंगन	0.663	0.455	0.452
become	बनू	0.641	0.583	0.643
bed	बेड	0.604	0.173	0.327
bedding	बेडिंग	0.704	0.276	0.377
bedpan	बेडन	0.510	0.400	0.362
bedrock	मुलभूत तत्त्वे	0.561	0.340	0.598
bedroom	शयनकक्ष	0.744	0.296	0.491
bedside	बेडसाइड	0.604	0.167	0.375
bedspread	बेडप्रेडिट	0.551	0.139	0.292
bedtime	निजायची वेळ	0.673	0.314	0.373
bee	मधमाशी	0.520	0.509	0.309
beef	गोमांस	0.582	0.312	0.492
beefsteak	गायीच्या मासाचा भाजलेला मोठा तुकडा	0.594	0.391	0.455
beehive	घुमटाकार केशरचना	0.541	0.700	0.422
beep	बीप	0.595	0.541	0.304
beeper	बीपर	0.438	0.720	0.441
beer	बिअर	0.592	0.654	0.500
bees	मधमाश्या	0.562	0.635	0.412
beeswax	मोम	0.583	0.402	0.375
beetle	बीटल	0.323	0.356	0.295
befall	घडणे	0.520	0.663	0.585
befitting	योग्य	0.708	0.333	0.394
befriend	मित्र	0.930	0.624	0.471
befuddled	मुरुम	0.156	0.714	0.269
beg	भिक्षा मागणे	0.292	0.608	0.328
beggar	भिकारी	0.240	0.402	0.116
begging	भीक मागत	0.292	0.461	0.202
begin	सुरू	0.677	0.569	0.763
beginner	नवशिक्या	0.490	0.480	0.387
beginning	सुरवात	0.816	0.528	0.558
beginnings	सुरुवातीस	0.837	0.527	0.600
begrudge	बेधडकपणा	0.177	0.731	0.377
begun	सुरु करा	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	वागणे	0.677	0.363	0.747
behavior	वर्तन	0.594	0.442	0.813
behavioral	वर्तणुकीशी	0.612	0.440	0.708
behemoth	बीम्होथ	0.583	0.781	0.853
behest	हुकूम	0.602	0.350	0.720
behold	पाहा, पाहा	0.610	0.284	0.449
beholden	ऐकणे	0.296	0.555	0.212
beholder	पाहणारा	0.714	0.491	0.520
beige	कोरे	0.490	0.222	0.224
belated	विलक्षण	0.240	0.400	0.214
belay	ढिले	0.500	0.472	0.702
belch	बेलच	0.194	0.562	0.240
belief	विश्वास	0.896	0.375	0.656
believable	विश्वासार्ह	0.866	0.390	0.676
believe	विश्वास ठेवा	0.781	0.370	0.682
believed	विश्वास ठेवला	0.500	0.562	0.547
believer	विश्वास ठेवणारा	0.725	0.445	0.564
believing	विश्वास ठेवत	0.870	0.418	0.833
belittle	क्षुल्लक	0.122	0.417	0.250
belittled	ढेकूळ	0.177	0.392	0.226
bell	घंटा	0.552	0.510	0.505
bellboy	बेलबॉय	0.542	0.363	0.302
bellhop	बेलहॉप	0.500	0.287	0.318
belligerent	भांडखोर	0.344	0.680	0.594
bellman	बेलमॅन	0.540	0.250	0.371
bellow	डरकाळी फोडणे	0.248	0.337	0.212
bellows	ध्रुव	0.458	0.515	0.429
belly	पोट	0.510	0.388	0.387
bellybutton	बेलीबटन	0.531	0.283	0.360
bellyful	पोटभर	0.347	0.806	0.519
belong	संबंधित	0.643	0.405	0.569
belongings	जिंदगी	0.592	0.380	0.750
beloved	प्रिय	0.969	0.613	0.708
belt	बेल्ट	0.541	0.322	0.445
beluga	बेलुगा	0.510	0.333	0.482
bemused	दयनीय	0.281	0.490	0.278
bench	खंडपीठ	0.571	0.289	0.544
bend	वाकणे	0.571	0.324	0.368
bender	शिरच्छेद	0.490	0.510	0.466
bending	वाकणे	0.448	0.565	0.455
beneath	खाली	0.354	0.173	0.233
benedictory	आकृत्या	0.677	0.438	0.481
benefactor	दाता	0.833	0.578	0.755
beneficial	फायदेशीर	0.820	0.579	0.703
beneficiary	लाभार्थी	0.776	0.399	0.616
benefit	फायदा	0.906	0.422	0.806
benevolence	उपकार	0.786	0.340	0.717
benevolent	उदार	0.786	0.407	0.651
benign	सौम्य	0.694	0.440	0.509
bent	वाकलेला	0.375	0.453	0.298
benzene	बेंझिन	0.439	0.459	0.403
bequeath	वेश करील	0.743	0.500	0.741
bequest	वारसा	0.661	0.398	0.882
bereaved	दुःखी	0.104	0.479	0.221
bereavement	वियोग	0.265	0.677	0.500
bereft	निरुपयोगी	0.229	0.490	0.336
beret	कुरबूर	0.542	0.240	0.327
bergamot	बर्मेरमोटी	0.510	0.365	0.339
berlin	बर्लिन	0.592	0.423	0.571
berserk	रागीट	0.398	0.556	0.480
berth	बर्थ	0.295	0.337	0.596
beryllium	बेरिलियम	0.417	0.412	0.425
beseech	विनवणी करणे	0.330	0.441	0.600
beset	घेरणे	0.385	0.717	0.317
bestdayever	आतापर्यंतचा सर्वात उत्तम दिवस	0.760	0.646	0.593
bestfeeling	शुभचिंतक	0.806	0.509	0.625
bestfriends	सर्वोत्तम फ्रेंड्स	0.934	0.662	0.647
bestial	उत्तम दर्जाचा	0.260	0.761	0.674
besties	बेस्टीज	0.888	0.509	0.614
bestow	बहाल करणे	0.656	0.560	0.642
bestseller	बेस्टसेलर	0.771	0.643	0.700
bet	पैज	0.385	0.698	0.432
beta	बीटा	0.710	0.370	0.439
betray	विश्वासघात करणे	0.042	0.870	0.536
betrayal	विश्वासघात	0.083	0.719	0.418
betrayed	विश्वासघात	0.122	0.769	0.308
betrothed	वाग्दत्त केले	0.833	0.630	0.667
betterment	सुधारणा	0.898	0.536	0.769
betting	बेटिंग	0.237	0.804	0.411
betty	बेट्टी	0.542	0.358	0.381
bevel	बेवल	0.757	0.406	0.454
beverage	पेय	0.635	0.490	0.389
bevy	माळा	0.429	0.460	0.541
beware	सावध रहा	0.151	0.596	0.518
bewilder	गोंधळ	0.306	0.571	0.289
bewildered	आश्चर्याने	0.230	0.630	0.300
bewilderment	गोंधळ	0.312	0.716	0.216
bias	बायस	0.400	0.370	0.541
biased	पक्षपाती	0.271	0.302	0.368
bib	बीब	0.385	0.396	0.339
bible	बायबल	0.719	0.225	0.726
biblical	बायबलसंबंधी	0.635	0.304	0.712
bibliography	ग्रंथसूची	0.622	0.204	0.528
bicarbonate	बायकार्बोनेट	0.479	0.337	0.438
bicentennial	द्विशतसांवत्सरिक	0.541	0.423	0.507
biceps	बाईप्स	0.592	0.588	0.602
bicker	बकरी	0.143	0.643	0.552
bickering	भांडणे	0.122	0.800	0.536
bicolor	बायकोलर	0.580	0.327	0.404
bicycle	सायकल	0.708	0.519	0.425
bid	बोली	0.760	0.530	0.655
bidder	दाता	0.465	0.474	0.433
bidding	बोली	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	द्वैवार्षिक	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	दोन भागात विभाजन	0.385	0.625	0.352
big	मोठा	0.802	0.588	0.812
bigamy	वेश्या	0.327	0.696	0.482
bigday	मोठा दिवस	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	मोठी गोष्ट	0.531	0.481	0.500
bighorn	मोठे शिंग	0.480	0.547	0.580
bigmouth	बढाईखोर	0.417	0.577	0.430
bigot	बंड्या	0.479	0.745	0.517
bigoted	धर्मोपदेशक	0.153	0.760	0.462
bigotry	धर्मांध	0.356	0.737	0.481
bike	दुचाकी	0.708	0.500	0.333
biker	दुचाकीस्वार	0.604	0.710	0.567
bikini	बिकिनी	0.730	0.639	0.353
bilateral	द्विपक्षीय	0.633	0.343	0.491
bilayer	बिलेयर	0.438	0.398	0.388
bile	पित्त	0.157	0.461	0.324
bilge	बिली	0.316	0.392	0.412
bilingual	द्विभाषिक	0.735	0.490	0.606
bill	बिल	0.396	0.402	0.535
billboard	बिलबोर्ड	0.594	0.317	0.481
billet	बिलेट	0.479	0.583	0.500
billiard	बिलियर्ड	0.719	0.616	0.543
billiards	बिलियर्डस्	0.643	0.559	0.387
billing	बिलिंग	0.406	0.481	0.670
billion	अब्ज	0.719	0.564	0.782
billionaire	अब्जाधीश	0.806	0.667	0.923
billy	बिली	0.490	0.397	0.375
bimbo	बिमबो	0.396	0.370	0.300
bimonthly	द्विमासिक	0.408	0.298	0.471
bin	बिन	0.422	0.304	0.327
binary	बायनरी	0.490	0.356	0.420
bind	बांधणी करा	0.398	0.462	0.448
binder	दंडगोल	0.438	0.250	0.308
bindery	बाइंडरी	0.548	0.388	0.482
binding	बंधनकारक	0.438	0.425	0.640
bing	बिंग	0.573	0.453	0.415
binge	द्विलिंगी	0.304	0.650	0.500
bingo	बिंगो	0.735	0.667	0.429
binocular	द्विनेत्री	0.531	0.344	0.426
binoculars	द्विनेत्री	0.490	0.309	0.411
binomial	द्विपदी	0.600	0.406	0.426
bio	जैव	0.612	0.225	0.490
biochemical	जैवरासायनिक	0.367	0.481	0.618
biochemist	बायोकेमिस्ट	0.471	0.449	0.717
biochemistry	बायोकेमेस्ट्री	0.552	0.531	0.596
biogenesis	जीवोत्पादन	0.594	0.442	0.697
biographer	चरित्रकार	0.708	0.427	0.617
biography	जीवनचरित्र	0.698	0.229	0.718
biological	जैविक	0.590	0.410	0.615
biologist	जीवशास्त्रज्ञ	0.625	0.453	0.693
biology	जीवशास्त्र	0.479	0.274	0.546
bionic	बायोनिक	0.571	0.570	0.788
biopsy	बायोप्सी	0.323	0.657	0.481
biosphere	बायोस्फीअर	0.684	0.351	0.579
bipartite	द्विपक्षीय	0.365	0.480	0.464
bipolar	द्विध्रुवीय	0.208	0.685	0.426
birch	बर्च झाडापासून तयार केलेले	0.562	0.346	0.382
bird	पक्षी	0.729	0.357	0.364
birdcage	फुलपाखरा	0.480	0.398	0.318
birdie	बर्डी	0.594	0.394	0.407
birdman	पक्षीमित्र	0.490	0.567	0.604
birth	जन्म	0.896	0.655	0.536
birthday	वाढदिवस	0.969	0.844	0.575
birthing	बिरिंग	0.796	0.877	0.519
birthmark	जन्मतारीख	0.630	0.461	0.500
birthplace	जन्मस्थान	0.781	0.290	0.491
birthright	जन्मसिद्ध हक्क	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	बिस्किट	0.888	0.260	0.231
bisexual	उभयलिंगी	0.438	0.765	0.459
bishop	बिशप	0.594	0.184	0.725
bison	बायसन	0.573	0.433	0.557
bisque	बिस्किट	0.693	0.443	0.312
bistro	बिस्त्रो	0.594	0.472	0.396
bit	बिट	0.427	0.310	0.225
bitch	कोल्ही	0.276	0.740	0.343
bitchy	कुत्री	0.188	0.700	0.373
bite	कापणे	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	बिट्सी	0.510	0.388	0.382
bitter	कडू	0.218	0.627	0.411
bitterly	कडवटपणे	0.194	0.685	0.362
bitterness	कटुता	0.115	0.633	0.270
bittersweet	बिटरबिट	0.469	0.569	0.474
bitty	लहान	0.469	0.271	0.257
bitumen	बिटुमन	0.375	0.235	0.307
biweekly	द्विसाप्ताहिकपणे	0.581	0.337	0.455
biz	बिझ	0.500	0.473	0.473
bizarre	विचित्र	0.379	0.620	0.392
blab	बडबड	0.438	0.425	0.353
blabbermouth	ब्लॅबरमाउथ	0.323	0.640	0.422
black	काळा	0.326	0.339	0.390
black snake	काळे साप	0.104	0.860	0.612
blackberry	ब्लॅकबेरी	0.667	0.413	0.453
blackbird	ब्लॅकबर्ड	0.520	0.340	0.405
blackboard	ब्लॅकबोर्ड	0.469	0.255	0.287
blacken	काळे करणे	0.208	0.500	0.228
blackface	ब्लॅक फेस	0.302	0.490	0.441
blackjack	ब्लॅकजॅक	0.419	0.679	0.452
blacklist	काळीसूची	0.133	0.750	0.396
blackmail	ब्लॅकमेल	0.094	0.802	0.482
blackmailer	ब्लॅकमेलर	0.092	0.780	0.472
blackness	काळीज	0.260	0.480	0.406
blackout	ब्लॅकआउट	0.126	0.530	0.349
blacksmith	लोहार	0.480	0.531	0.702
bladder	मूत्राशय	0.406	0.412	0.330
blade	ब्लेड	0.378	0.602	0.594
blame	दोष	0.115	0.640	0.309
blameless	निर्दोष	0.759	0.196	0.343
bland	सौम्य	0.300	0.226	0.157
blank	रिक्त	0.531	0.229	0.250
blanket	आच्छादन	0.740	0.132	0.391
blare	ब्लारे	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	निंद्य	0.210	0.755	0.491
blasphemy	निंदा	0.146	0.794	0.406
blast	स्फोट	0.167	0.929	0.777
blaster	ब्लास्टर	0.459	0.538	0.554
blastoff	ब्लास्टॉफ	0.357	0.865	0.736
blatant	निर्लज्ज	0.327	0.677	0.675
blather	मूर्खपणा	0.344	0.481	0.382
blaze	झगमगाट	0.698	0.467	0.658
blazer	रंगवलेले जोडीदार	0.635	0.385	0.417
blazing	तेजस्वी	0.594	0.896	0.735
bleach	पूड	0.336	0.282	0.337
bleak	उदास	0.204	0.427	0.272
bleed	रक्तस्राव	0.041	0.843	0.346
bleeder	ब्लीडर	0.260	0.852	0.356
bleeding	रक्तस्त्राव	0.135	0.817	0.408
bleep	बधीर	0.479	0.667	0.345
blemish	दोष	0.219	0.558	0.272
blemished	कलंक	0.173	0.469	0.370
blend	मिश्रित करणे	0.469	0.452	0.463
blender	ब्लेंडर	0.602	0.534	0.351
blending	मिश्रण	0.560	0.418	0.637
bless	आशीर्वाद	0.929	0.269	0.588
blessed	धन्य	0.910	0.279	0.696
blessing	आशीर्वाद	0.929	0.264	0.800
blessings	आशीर्वाद	0.929	0.361	0.623
bleu	ब्लू	0.460	0.354	0.379
blight	अनिष्ट परिणाम	0.271	0.771	0.429
blighted	धूसर	0.146	0.615	0.296
blimp	ब्लींप	0.600	0.410	0.532
blind	अंध	0.156	0.360	0.184
blinded	आंधळा	0.245	0.471	0.231
blindfold	डोळे पक्के	0.448	0.684	0.337
blindfolded	डोळे पटला	0.208	0.564	0.209
blinding	आंधळे करणारे	0.304	0.596	0.406
blindly	अंधपणाने	0.439	0.598	0.278
blindness	अंधत्व	0.245	0.480	0.196
blink	डोळे मिचकावणे	0.552	0.316	0.324
blip	फोडणे	0.529	0.461	0.418
bliss	आनंद	0.816	0.500	0.782
blissful	सुखी	0.885	0.639	0.676
blister	फोड	0.407	0.538	0.402
blistering	फोड येणे	0.344	0.569	0.390
blitz	ब्लिझ	0.417	0.722	0.789
blizzard	बर्फाचे वादळ	0.375	0.726	0.417
bloat	फोड येणे	0.229	0.694	0.298
bloated	फुगलेला	0.167	0.593	0.424
blob	ब्लॉब	0.500	0.376	0.298
block	ब्लॉक करा	0.286	0.350	0.402
blockade	नाकेबंदी	0.380	0.519	0.510
blockage	अडथळा	0.250	0.608	0.444
blockbuster	ब्लॉकबस्टर	0.730	0.676	0.883
blockhead	ब्लॉकहेड	0.163	0.333	0.148
blog	ब्लॉग	0.639	0.390	0.432
bloke	बोकड	0.450	0.479	0.545
blond	गोरा	0.590	0.490	0.490
blonde	सोनेरी	0.698	0.545	0.412
blood	रक्त	0.219	0.684	0.585
bloodbath	रक्तगट	0.060	0.971	0.475
bloodhound	रक्तस्राव	0.327	0.462	0.538
bloodless	रक्तहीन	0.292	0.390	0.212
bloodline	रक्तपेढी	0.510	0.657	0.604
bloodshed	रक्तपात	0.048	0.942	0.525
bloodshot	रक्त गोळी	0.188	0.810	0.482
bloodstream	रक्तप्रवाह	0.552	0.530	0.528
bloodthirsty	रक्तपिपासू	0.052	0.804	0.644
bloody	रक्तरंजित	0.031	0.910	0.518
bloom	मोहोर	0.816	0.453	0.587
bloomers	ब्लूमर्स	0.521	0.587	0.395
blooming	फुलणारा	0.860	0.452	0.593
blossom	बहर	0.792	0.275	0.309
blot	डाग	0.365	0.304	0.223
blotched	अस्पष्ट	0.133	0.562	0.264
blotter	कलंक	0.360	0.298	0.280
blouse	ब्लाउज	0.580	0.190	0.302
blow	फुंकणे	0.316	0.750	0.570
blower	ब्लोअर	0.564	0.550	0.536
blowfish	ब्लोफिश	0.344	0.420	0.389
blowing	शिट्टी	0.521	0.472	0.434
blowjob	blowjob	0.460	0.784	0.387
blown	उडवलेला	0.333	0.548	0.412
blowout	झटका	0.398	0.792	0.616
blowtorch	ब्लो टॉर्च	0.520	0.730	0.510
