Word	Haitian Creole-ht	Valence	Arousal	Dominance
chalet	Chalè	0.653	0.349	0.278
chalice	chalè	0.633	0.286	0.529
chalk	lakre	0.385	0.185	0.121
challenge	defi	0.469	0.922	0.713
challenger	pwovokatè	0.417	0.755	0.652
chamber	chanm	0.583	0.373	0.455
chambermaid	chanm	0.594	0.375	0.336
chambers	chanm	0.542	0.442	0.388
chameleon	Chameleon	0.490	0.580	0.345
champ	Champ	0.854	0.754	0.896
champagne	chanpay	0.760	0.600	0.454
champion	chanpyon	0.890	0.880	0.945
championship	chanpyona	0.833	0.800	0.880
chance	chans	0.833	0.551	0.525
chancellor	Chanselye	0.646	0.500	0.887
chandelier	chandelye	0.615	0.542	0.366
chandler	chandler	0.510	0.452	0.454
change	chanjman	0.625	0.575	0.606
changeable	chanjan	0.490	0.480	0.528
changed	chanje	0.594	0.375	0.491
changer	chanje	0.583	0.519	0.567
changing	chanje	0.571	0.569	0.461
channel	chanèl	0.490	0.287	0.405
chant	chant	0.771	0.698	0.650
chaos	dezòd	0.016	0.923	0.373
chaotic	chaotic	0.115	0.847	0.442
chap	chap	0.550	0.410	0.345
chapel	chapèl	0.573	0.240	0.440
chaperon	chaperon	0.500	0.520	0.404
chaplain	chaplèn	0.582	0.370	0.577
chapman	chapman	0.562	0.529	0.465
chaps	chap	0.350	0.462	0.350
chapter	chapit	0.580	0.308	0.461
char	Char	0.554	0.361	0.404
character	karaktè	0.667	0.373	0.686
characteristic	karakteristik	0.583	0.328	0.538
characterize	karakterize	0.729	0.471	0.735
charade	charade	0.458	0.550	0.346
charcoal	chabon	0.302	0.186	0.342
chardonnay	chardoney	0.677	0.567	0.492
charge	chaj	0.510	0.633	0.785
chargeable	peye	0.551	0.550	0.453
charger	plato	0.531	0.418	0.545
chariot	cha lagè	0.684	0.550	0.491
charisma	karismatik	0.938	0.591	0.759
charismatic	karismatik	0.938	0.684	0.849
charitable	charitab	0.865	0.380	0.593
charity	charite	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	cham	0.833	0.363	0.649
charmed	cham	0.938	0.570	0.769
charmer	chik	0.882	0.683	0.782
charming	bon	0.917	0.660	0.764
charred	chire	0.208	0.676	0.373
chart	tablo	0.469	0.317	0.330
charter	charter school	0.677	0.382	0.518
chartered	chartered	0.569	0.460	0.490
chase	kouri dèyè	0.396	0.878	0.623
chased	kouri dèyè	0.188	0.830	0.287
chaser	chaser	0.375	0.830	0.645
chasm	Difisil	0.265	0.579	0.500
chassis	chasi	0.406	0.342	0.444
chaste	chase	0.408	0.248	0.453
chastened	chastened	0.156	0.580	0.345
chastisement	chastisement	0.156	0.852	0.462
chastity	chastete	0.469	0.392	0.509
chat	chat	0.729	0.400	0.346
chateau	chato	0.615	0.464	0.702
chatter	chatter	0.560	0.450	0.347
chatterbox	chatterbox	0.459	0.548	0.482
chattering	chattering	0.460	0.663	0.304
chatty	diskite	0.594	0.548	0.345
chauffeur	chofè	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	bon mache	0.612	0.471	0.272
cheapened	cheapened	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	tronpe	0.125	0.776	0.400
cheater	tronpeur	0.104	0.920	0.333
check	tcheke	0.523	0.552	0.602
checkbook	chèkbook	0.552	0.284	0.364
checker	chèk	0.330	0.417	0.553
checkered	tcheke	0.459	0.316	0.336
checkers	dam	0.676	0.451	0.437
checklist	lis verifikasyon	0.561	0.521	0.552
checkmate	chèk la	0.667	0.708	0.750
checkout	kesye	0.597	0.510	0.670
checkpoint	pòs	0.571	0.323	0.812
checkup	tcheke	0.500	0.435	0.491
cheek	souf	0.670	0.314	0.421
cheeks	machwè	0.708	0.324	0.282
cheeky	kulote	0.434	0.679	0.410
cheep	fwape	0.367	0.380	0.373
cheer	aplodi	0.938	0.784	0.845
cheered	fè fèt	0.875	0.648	0.790
cheerful	kè kontan	0.990	0.720	0.696
cheerfulness	kè kontan	0.969	0.802	0.675
cheering	bat bwavo	0.815	0.824	0.642
cheerleader	cheerleader	0.923	0.746	0.657
cheerleading	Majorèt	0.698	0.769	0.404
cheerless	kè kontan	0.204	0.373	0.167
cheers	cheers	0.948	0.770	0.702
cheery	cheery	0.949	0.657	0.486
cheese	fwomaj	0.740	0.280	0.281
cheeseburger	Cheeseburger	0.802	0.529	0.336
cheesecake	fwomaj	0.860	0.276	0.238
cheesy	cheesy	0.470	0.471	0.179
cheetah	cheetah	0.469	0.770	0.667
chef	chef	0.854	0.411	0.570
chemical	chimik	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	magazen	0.408	0.575	0.610
chemistry	chimi	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	chimyoterapi	0.163	0.689	0.517
cheque	tcheke	0.698	0.529	0.660
cherish	cherish	0.896	0.491	0.652
cherishing	cherishing	0.836	0.380	0.625
cherry	Cherry	0.688	0.186	0.250
cherub	Cherub	0.663	0.340	0.455
chess	damye	0.656	0.363	0.518
chest	pwatrin	0.520	0.429	0.481
chestnut	chestnut	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	moulen	0.520	0.490	0.404
chewy	chewy	0.625	0.418	0.390
chic	chik	0.870	0.624	0.380
chicane	chikane	0.357	0.460	0.481
chick	Chick	0.771	0.602	0.387
chicken	poul	0.594	0.306	0.394
chicken pox	poul pox	0.194	0.510	0.415
chickenpox	saranpyon	0.173	0.562	0.357
chief	chèf	0.520	0.544	0.869
chiefly	prensipalman	0.600	0.587	0.764
chieftain	chèf	0.343	0.529	0.860
chiffon	Chifon	0.406	0.230	0.250
child	timoun	0.912	0.460	0.413
childbirth	akouchman	0.604	0.861	0.673
childhood	timoun	0.865	0.413	0.307
childish	timoun	0.573	0.442	0.230
childless	san pitit	0.310	0.400	0.396
childlike	timoun	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	timoun yo	0.857	0.538	0.435
chili	chili	0.592	0.566	0.433
chill	fredi	0.837	0.206	0.482
chilled	frèt	0.521	0.340	0.482
chilling	refrijerasyon	0.208	0.850	0.358
chilly	frwa	0.329	0.459	0.408
chime	chimye	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	kriye	0.625	0.490	0.402
chimney	chemine	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	chenpanze	0.500	0.633	0.387
chin	manton	0.571	0.310	0.269
china	Lachin	0.561	0.443	0.556
chinchilla	Chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	Chinook	0.408	0.497	0.491
chip	chip	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	chip	0.354	0.452	0.353
chiropractor	kiropratisyen	0.420	0.549	0.651
chirp	sirèt	0.469	0.602	0.365
chirping	chirping	0.500	0.463	0.360
chisel	tisèl	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	chitchat	0.673	0.455	0.403
chivalry	rivalite	0.857	0.380	0.848
chloride	klori	0.265	0.387	0.474
chlorine	klò	0.306	0.327	0.332
chloroform	kloroform	0.281	0.370	0.393
chocolate	chokola	0.885	0.480	0.418
choice	chwa	0.745	0.520	0.664
choir	koral	0.704	0.298	0.473
choke	toufe	0.167	0.788	0.676
cholera	kolera	0.020	0.867	0.507
cholesterol	kolestewòl	0.198	0.583	0.398
choose	chwazi	0.615	0.542	0.648
choosing	chwazi	0.719	0.529	0.689
choosy	choosy	0.280	0.760	0.712
chop	koupe	0.250	0.655	0.467
chopper	elikoptè	0.594	0.560	0.509
choppers	chopè yo	0.469	0.745	0.691
chopping	koupe	0.560	0.625	0.362
chops	chop	0.612	0.420	0.269
choral	koral	0.852	0.290	0.421
chord	kòd	0.729	0.394	0.539
chords	kòd	0.639	0.406	0.388
chore	chire	0.406	0.462	0.500
choreographer	koregraf	0.646	0.639	0.625
choreography	koregrafi	0.812	0.750	0.547
chorus	koral	0.620	0.417	0.500
chosen	chwazi	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	Kris la	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	batèm	0.725	0.382	0.650
christian	kretyen	0.760	0.241	0.591
christmas	Nwèl	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	Nwèl	0.875	0.698	0.602
christmastime	christmastime	0.837	0.588	0.515
chromatic	kromatik	0.407	0.413	0.435
chromatography	chromatografi	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	kwomozòm	0.500	0.296	0.548
chronic	kwonik	0.255	0.615	0.464
chronicle	kwonik	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	kwonolojik	0.594	0.445	0.600
chubby	chubby	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	chuckle	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chom	0.911	0.347	0.518
chummy	chyen	0.760	0.420	0.610
chump	chòk	0.375	0.451	0.304
chunk	moso	0.365	0.287	0.214
chunky	grosye	0.520	0.517	0.509
church	legliz	0.708	0.198	0.610
churchyard	sou lakou a	0.296	0.444	0.347
churn	fèb	0.316	0.491	0.407
chute	Chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	kiao	0.542	0.426	0.409
cider	sidr	0.530	0.346	0.398
cigar	siga	0.306	0.463	0.346
cigarette	sigarèt	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	Cinch	0.450	0.490	0.387
cinder	souri	0.350	0.260	0.157
cinema	sinema	0.698	0.538	0.500
cinematic	Cinemas	0.663	0.490	0.600
cinematographer	Cinematographer	0.792	0.455	0.711
cinematography	sinema	0.781	0.571	0.625
cinnamon	kannèl	0.600	0.250	0.292
cipher	Chifè	0.490	0.414	0.500
circle	sèk	0.480	0.290	0.343
circling	koule	0.510	0.654	0.336
circuit	sikwi	0.586	0.461	0.707
circuitry	sikwi	0.596	0.615	0.536
circular	sikilè	0.562	0.342	0.417
circulate	sikile	0.612	0.388	0.320
circulation	sikilasyon	0.735	0.520	0.657
circulatory	sikilatwa	0.592	0.575	0.545
circumcision	sikonsizyon	0.327	0.657	0.528
circumference	sikonferans	0.458	0.255	0.488
circumferential	sikonferans	0.551	0.422	0.509
circumscribed	sikonskri	0.365	0.539	0.569
circumstance	sikonstans	0.520	0.565	0.596
circumstances	sikonstans	0.562	0.527	0.464
circumstantial	enpotan	0.500	0.538	0.519
circumvent	kontourne	0.316	0.642	0.383
circumvention	kontourne	0.531	0.571	0.473
circus	sirk	0.724	0.637	0.432
cirque	sèk	0.604	0.647	0.467
cirrhosis	sirwaz	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	sitèn	0.541	0.413	0.432
citadel	Sitadèl	0.585	0.464	0.602
citation	sitasyon	0.570	0.549	0.508
cite	site	0.625	0.454	0.532
citizen	sitwayen ameriken	0.631	0.250	0.586
citizenship	sitwayènte	0.786	0.404	0.723
citrine	Sitrin	0.375	0.400	0.420
citrus	Citrus	0.469	0.368	0.375
city	vil la	0.847	0.531	0.508
citywide	vil la	0.592	0.509	0.707
civic	sivik	0.653	0.240	0.573
civics	sivik	0.700	0.279	0.720
civil	sivil	0.521	0.281	0.517
civilian	sivil	0.700	0.229	0.598
civilians	sivil yo	0.490	0.448	0.525
civility	sivilite	0.760	0.306	0.679
civilization	sivilizasyon	0.823	0.452	0.839
civilized	sivilize	0.792	0.231	0.796
clad	rekouvèr	0.583	0.373	0.481
claim	reklamasyon	0.255	0.760	0.473
claimant	reklamatè	0.271	0.690	0.779
clairvoyant	klèrvwayan	0.765	0.531	0.897
clam	klam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	koupi	0.354	0.440	0.236
clamor	rimè	0.438	0.643	0.360
clamp	kranpon	0.541	0.388	0.454
clan	fanmi	0.562	0.491	0.686
clandestine	klandesten	0.425	0.677	0.469
clang	sonnen	0.459	0.520	0.510
clap	bat bravo	0.779	0.731	0.529
clapper	briyan	0.500	0.229	0.420
clapping	bat bravo	0.823	0.894	0.686
clarification	klarifikasyon	0.802	0.461	0.613
clarify	klarifye	0.652	0.535	0.625
clarinet	klarèt	0.592	0.453	0.411
clarion	klarion	0.500	0.443	0.422
clarity	klè	0.796	0.310	0.631
clash	konfli	0.293	0.918	0.453
clashing	eklatman	0.177	0.764	0.575
clasp	agraf	0.448	0.375	0.241
class	klas	0.656	0.314	0.522
classic	klasik	0.690	0.260	0.611
classic rock	wòch klasik	0.729	0.571	0.588
classical	klasik	0.643	0.198	0.536
classics	klasik	0.750	0.333	0.510
classification	klasifikasyon	0.583	0.423	0.613
classified	klase	0.571	0.460	0.663
classify	klasifye	0.646	0.411	0.720
classmate	kamarad klas	0.781	0.400	0.593
classroom	sal klas la	0.539	0.292	0.363
classy	élégance	0.917	0.410	0.649
clatter	clatter	0.418	0.820	0.387
clause	kloz	0.480	0.409	0.528
clauses	Paragraf	0.449	0.429	0.545
claustrophobia	klostrofobi	0.125	0.840	0.333
claustrophobic	klostrofob	0.092	0.755	0.400
clavicle	klavikul	0.398	0.400	0.452
claw	grif	0.260	0.600	0.598
claws	grif	0.281	0.698	0.562
clay	ajil	0.542	0.250	0.267
clean	netwaye	0.827	0.170	0.500
cleaner	cleaner	0.604	0.556	0.375
cleaning	netwaye	0.595	0.396	0.427
cleanliness	pwòpte	0.816	0.363	0.609
cleanly	netwaye	0.823	0.352	0.583
cleanse	Geri	0.625	0.310	0.660
cleanser	netwayaj	0.604	0.353	0.433
cleansing	netwayaj	0.729	0.298	0.472
cleanup	netwaye	0.729	0.314	0.451
clear	klè	0.857	0.327	0.573
clearance	clearance	0.542	0.459	0.473
clearing	netwaye	0.680	0.333	0.509
clearness	klète	0.875	0.316	0.689
cleat	klè	0.486	0.260	0.361
cleavage	klivaj	0.542	0.602	0.454
cleave	kole	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	klou	0.615	0.360	0.595
cleft	fann	0.306	0.442	0.360
clemency	pitye	0.594	0.417	0.397
clench	Fèmen	0.438	0.618	0.580
clergy	klèje	0.531	0.312	0.575
clergyman	klèje	0.594	0.330	0.556
cleric	Klerik	0.521	0.324	0.589
clerical	Biwo	0.520	0.396	0.491
clerk	grefye	0.500	0.579	0.509
clerkship	sekretè	0.582	0.380	0.596
clever	entelijan	0.896	0.353	0.729
cleverness	entelijan	0.878	0.509	0.921
click	klike sou	0.536	0.365	0.268
clicker	klakèt	0.418	0.490	0.463
client	kliyan	0.583	0.450	0.618
clientele	kliyantèl	0.625	0.577	0.508
cliff	falèz	0.361	0.620	0.509
climate	klima	0.635	0.240	0.483
climatology	klimatoloji	0.531	0.367	0.541
climax	Pi gwo pwen	0.735	0.853	0.667
climb	monte	0.615	0.660	0.604
climber	Kelenbe	0.573	0.716	0.735
clinch	malad	0.469	0.538	0.430
cling	rete kole	0.417	0.620	0.588
clingy	clingy	0.224	0.460	0.370
clinic	klinik	0.469	0.439	0.600
clinical	klinik	0.337	0.412	0.640
clink	klinke	0.458	0.462	0.319
clip	Clip	0.438	0.310	0.381
clipboard	clipboard	0.594	0.255	0.423
clipper	Clipper	0.293	0.422	0.383
clipping	taye	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	klitoris	0.625	0.844	0.464
cloak	rad	0.469	0.188	0.333
cloaking	krochi	0.521	0.595	0.389
cloakroom	twalèt	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	revèy	0.677	0.173	0.407
clockwork	mekanik	0.490	0.373	0.528
clod	grod	0.375	0.404	0.365
clog	bouche	0.104	0.618	0.454
cloister	Kreolatè	0.438	0.413	0.475
clone	klon	0.406	0.471	0.524
cloning	klonaj	0.216	0.696	0.679
close	fèmen	0.292	0.260	0.263
closed	fèmen	0.240	0.164	0.318
closeness	pwòch	0.796	0.237	0.450
closet	klozèt	0.531	0.204	0.330
closure	fèmti	0.229	0.220	0.412
clot	kay	0.150	0.558	0.275
cloth	twal	0.510	0.190	0.287
clothe	abiye	0.797	0.330	0.481
clothes	rad	0.833	0.270	0.414
clothesline	rad sou liy	0.582	0.324	0.366
clothing	rad	0.750	0.343	0.407
cloud	nwaj	0.740	0.133	0.342
clouded	nwaj	0.240	0.213	0.302
cloudiness	klèness	0.469	0.250	0.343
clouds	nwaj	0.735	0.195	0.324
cloudy	twoub	0.281	0.280	0.202
clout	kou	0.584	0.636	0.704
clove	griye	0.439	0.296	0.315
clover	trèfl	0.605	0.340	0.364
cloves	dan	0.427	0.218	0.396
clown	kloun	0.650	0.598	0.300
clowns	Makakri	0.600	0.673	0.391
club	klib	0.646	0.618	0.393
clubhouse	Clubhouse	0.694	0.571	0.493
clubs	klib	0.723	0.530	0.591
cluck	glise	0.390	0.490	0.353
clue	siy	0.653	0.380	0.412
clueless	clueless	0.350	0.333	0.161
clump	kònen	0.551	0.480	0.582
clumsy	maladwa	0.125	0.420	0.144
clunk	kloun	0.448	0.472	0.407
cluster	grap	0.490	0.458	0.446
clutch	anbreyaj	0.383	0.500	0.491
clutches	anbreyaj	0.542	0.373	0.528
clutter	dezord	0.135	0.598	0.400
coach	antrenè	0.633	0.823	0.735
coachman	antrenè	0.479	0.394	0.509
coagulation	koagulasyon	0.381	0.558	0.436
coal	chabon	0.360	0.241	0.340
coalesce	koalesce	0.479	0.434	0.529
coalition	kowalisyon	0.490	0.730	0.673
coarse	koryas	0.333	0.481	0.481
coast	kòt	0.719	0.396	0.458
coastal	bò lanmè	0.604	0.370	0.510
coaster	coaster	0.612	0.788	0.627
coastline	litoral la	0.745	0.282	0.441
coat	rad	0.677	0.256	0.464
coating	kouch	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	cobalt	0.408	0.325	0.441
cobble	chodyè	0.448	0.385	0.368
cobbler	kòdonye	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	kokayin	0.156	0.840	0.373
cock	kòk chante	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	koke	0.459	0.460	0.423
cockpit	kabin	0.520	0.424	0.343
cockroach	ravèt	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	bwason	0.740	0.480	0.381
cocky	kòk chante	0.260	0.784	0.519
cocoa	kakawo	0.776	0.255	0.322
coconut	kokoye	0.622	0.265	0.227
cocoon	kokon	0.470	0.280	0.290
cod	Kòd	0.510	0.321	0.304
code	Kòd	0.583	0.308	0.491
codeine	Codeine	0.375	0.582	0.436
codex	kodèk	0.531	0.488	0.524
codfish	kodfish	0.490	0.245	0.300
codification	kodifikasyon	0.448	0.400	0.698
codify	kodifye	0.448	0.410	0.679
coding	kodaj	0.442	0.344	0.667
coed	koud	0.469	0.531	0.481
coefficient	koefisyan	0.677	0.415	0.702
coerce	fè kòlè	0.260	0.741	0.517
coercion	presyon	0.330	0.708	0.577
coercive	coercive	0.479	0.670	0.506
coexist	coexist	0.708	0.460	0.536
coexistence	viv ansanm	0.588	0.472	0.638
coexisting	coexisting	0.551	0.349	0.648
coffee	kafe	0.823	0.418	0.309
coffee table	tab kafe	0.720	0.339	0.295
coffeehouse	kafe	0.694	0.357	0.307
coffeepot	coffeepot	0.760	0.333	0.312
coffin	sèkèy	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	cogent	0.765	0.479	0.836
cognac	konyak	0.615	0.510	0.430
cognate	cognate	0.615	0.350	0.398
cognition	koyisyon	0.635	0.344	0.706
cognitive	koyitif	0.513	0.401	0.634
cohabitation	koabitasyon	0.646	0.526	0.598
coherence	koerans	0.720	0.406	0.788
coherent	aderan	0.698	0.281	0.500
cohesion	Jwenti	0.604	0.536	0.555
cohesive	limenm	0.531	0.470	0.603
cohort	kòwòt	0.459	0.551	0.566
coil	bobin	0.448	0.343	0.298
coiled	woule	0.378	0.518	0.389
coin	pyès monnen	0.677	0.574	0.445
coinage	coinage	0.500	0.400	0.545
coincide	kowenside	0.635	0.490	0.593
coincidence	konyensidans	0.612	0.450	0.518
coincident	kokenn	0.562	0.385	0.602
coincidental	okazyonèl	0.646	0.481	0.337
coinciding	konyenside	0.673	0.373	0.623
coke	Coke	0.404	0.461	0.397
cola	kola	0.469	0.325	0.240
cold	frèt	0.398	0.538	0.348
coldly	frèt	0.365	0.358	0.407
coldness	fredi	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	kolik	0.135	0.736	0.361
coliseum	kolye	0.612	0.663	0.704
collaborate	kolabore	0.816	0.449	0.559
collaboration	kolaborasyon	0.885	0.628	0.741
collaborator	kolaboratè	0.729	0.320	0.769
collage	kolaj	0.680	0.321	0.375
collagen	kolagen an	0.541	0.245	0.450
collapse	tonbe	0.208	0.689	0.342
collar	kolye	0.656	0.442	0.446
collarbone	klavarbone	0.420	0.427	0.306
collate	kolore	0.438	0.448	0.580
collateral	kolateral	0.531	0.422	0.717
collation	kolasyon	0.520	0.333	0.508
colleague	kolèg	0.740	0.413	0.600
collect	kolekte	0.635	0.481	0.491
collected	kolekte	0.570	0.402	0.588
collection	koleksyon	0.725	0.311	0.588
collective	kolektif	0.583	0.458	0.698
collectively	kolektivman	0.817	0.573	0.533
collector	pèseptè	0.552	0.481	0.648
college	kolèj	0.700	0.467	0.746
collegiate	kolèj	0.592	0.461	0.678
collide	kolizyon	0.271	0.892	0.557
collie	kolye	0.562	0.308	0.328
collision	kolizyon	0.245	0.848	0.585
collocation	kolokasyon	0.637	0.360	0.594
colloquial	kolok	0.604	0.363	0.368
collusion	konplisite	0.365	0.510	0.400
cologne	Kolòy	0.677	0.413	0.552
colon	kolon	0.449	0.394	0.384
colonel	kolonèl	0.459	0.592	0.890
colonial	kolonyal	0.553	0.327	0.613
colonic	koloni	0.333	0.420	0.430
colonoscopy	kolonoskopi	0.208	0.524	0.466
colony	koloni	0.716	0.353	0.593
colophon	kolofòn	0.500	0.408	0.385
color	koulè	0.786	0.280	0.402
coloration	kolorasyon	0.541	0.520	0.443
colored	koulè	0.806	0.317	0.275
colorful	kolore	0.850	0.520	0.519
coloring	koloran	0.781	0.469	0.353
colorless	san koulè	0.354	0.340	0.250
colors	koulè	0.875	0.349	0.340
colossal	kolosal	0.698	0.692	0.900
colt	jenn ti gason	0.561	0.587	0.543
columbine	kolumbin	0.520	0.521	0.407
column	kolòn	0.480	0.250	0.670
columnar	kolon	0.448	0.340	0.491
columnist	kroniker	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	koma	0.219	0.255	0.302
comatose	komati	0.143	0.438	0.433
comb	peny	0.490	0.123	0.268
combat	konba	0.302	0.846	0.833
combatant	konbatan	0.531	0.853	0.780
combative	konbatif	0.381	0.690	0.816
combination	konbinezon	0.708	0.480	0.726
combinatorial	konbinatwar	0.561	0.436	0.428
combine	konbine	0.663	0.442	0.533
combined	konbine	0.622	0.370	0.500
combo	Combo	0.698	0.439	0.453
combustible	konbistib	0.386	0.650	0.750
combustion	konbisyon	0.457	0.807	0.591
come	vini	0.529	0.269	0.558
comeback	retounen	0.580	0.409	0.555
comedian	komedyen	0.812	0.735	0.598
comedy	komedyen	0.918	0.555	0.490
comet	komèt	0.704	0.679	0.471
comfort	konfò	0.863	0.231	0.670
comfortable	konfòtab	0.927	0.163	0.473
comforter	konsole	0.618	0.275	0.302
comforting	rekonfòte	0.906	0.337	0.620
comfy	konfòtab	0.930	0.241	0.625
comic	komik	0.917	0.459	0.387
comical	komik	0.844	0.737	0.327
comics	komik	0.690	0.556	0.384
coming	vini	0.653	0.417	0.500
comma	vigil	0.344	0.269	0.242
command	lòd	0.427	0.790	0.849
commandant	kòmandan	0.622	0.700	0.943
commandeer	Commandeer	0.552	0.639	0.931
commander	kòmandan	0.531	0.615	0.906
commanding	kòmandan	0.562	0.664	0.925
commandment	kòmandman	0.656	0.490	0.876
commando	komando	0.323	0.710	0.817
commemorate	komemore	0.812	0.602	0.636
commemoration	komemorasyon	0.719	0.615	0.754
commemorative	komemoratif	0.750	0.438	0.754
commence	kòmanse	0.760	0.585	0.741
commend	felisite	0.906	0.694	0.711
commendable	louanj	0.786	0.570	0.555
commendation	Felansasyon	0.911	0.500	0.639
commensurate	koresponn	0.610	0.304	0.550
comment	kòmantè	0.667	0.417	0.379
commentary	kòmantè	0.602	0.402	0.446
commentator	kòmantatè	0.492	0.510	0.607
commerce	komès	0.646	0.500	0.788
commercial	komèsyal	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	komisyonè	0.385	0.500	0.788
commission	komisyon	0.677	0.480	0.571
commissioner	komisyonè	0.602	0.449	0.949
commit	komèt	0.365	0.529	0.491
commitment	angajman	0.714	0.710	0.843
committal	komèt	0.472	0.519	0.582
committed	komèt	0.710	0.542	0.712
committee	komite	0.592	0.392	0.721
commodity	komodite	0.615	0.394	0.537
commodore	komodore	0.427	0.530	0.636
common	komen	0.600	0.127	0.318
commoner	jeneralman	0.448	0.365	0.327
commonly	souvan	0.604	0.170	0.574
commonplace	Choudrant	0.520	0.337	0.442
commons	komons	0.633	0.396	0.623
commonwealth	Commonwealth	0.630	0.406	0.702
commotion	ankourajman	0.490	0.700	0.646
communal	kominal	0.592	0.321	0.556
commune	komin	0.500	0.488	0.655
communicable	kominike	0.796	0.491	0.623
communicate	kominike	0.823	0.410	0.696
communication	kominikasyon	0.837	0.400	0.649
communicative	kominikasyon	0.847	0.560	0.637
communicator	kominikatè	0.573	0.509	0.796
communion	kominyon	0.765	0.357	0.607
communism	kominis	0.264	0.570	0.623
communist	kominis	0.265	0.702	0.632
community	kominote a	0.750	0.350	0.659
commutation	komitasyon	0.469	0.431	0.652
commutative	komutatif	0.667	0.442	0.569
commute	vwayaje	0.622	0.582	0.565
commuter	pasaje	0.646	0.520	0.512
comp	konp	0.573	0.450	0.371
compact	kontra enfòmèl ant	0.458	0.417	0.673
compaction	konpaksyon	0.531	0.471	0.582
compactness	konpaksyon	0.582	0.352	0.454
companion	konpayon	0.770	0.377	0.618
companionless	konpayon	0.271	0.259	0.200
companionship	konpayon	0.833	0.438	0.792
company	konpayi	0.906	0.425	0.798
comparable	konparab	0.562	0.443	0.458
comparative	konparatif	0.470	0.273	0.562
comparatively	comparativement	0.604	0.391	0.538
compare	konpare	0.552	0.408	0.524
comparison	konparezon	0.583	0.456	0.492
compartment	lòj	0.500	0.389	0.607
compass	konpa	0.541	0.307	0.529
compassion	konpasyon	0.735	0.258	0.509
compassionate	konpasyon	0.857	0.404	0.411
compatibility	konpatibilite	0.816	0.450	0.673
compatible	konpatib	0.892	0.387	0.638
compel	fòse	0.200	0.847	0.625
compelled	fòse	0.333	0.654	0.347
compelling	konvenkan	0.698	0.570	0.870
compendium	Compendium	0.610	0.461	0.537
compensate	konpanse	0.612	0.429	0.762
compensation	konpansasyon	0.775	0.469	0.598
compensatory	konpansasyon	0.589	0.490	0.700
compete	fè konpetisyon	0.573	0.745	0.786
competence	konpetans	0.615	0.802	0.823
competency	konpetans	0.768	0.775	0.764
competent	konpetan	0.865	0.560	0.904
competition	konpetisyon	0.580	0.790	0.798
competitive	konpetitif	0.447	0.718	0.908
competitor	konkiran	0.612	0.959	0.861
compilation	konpilasyon	0.530	0.512	0.606
compile	konpile	0.600	0.413	0.519
