Word	Japanese-ja	Valence	Arousal	Dominance
coding	コーディング	0.442	0.344	0.667
coed	結婚した	0.469	0.531	0.481
coefficient	係数	0.677	0.415	0.702
coerce	強姦	0.260	0.741	0.517
coercion	強要	0.330	0.708	0.577
coercive	強制的	0.479	0.670	0.506
coexist	共存する	0.708	0.460	0.536
coexistence	共存	0.588	0.472	0.638
coexisting	共存する	0.551	0.349	0.648
coffee	コーヒー	0.823	0.418	0.309
coffee table	コー​​ヒーテーブル	0.720	0.339	0.295
coffeehouse	喫茶店	0.694	0.357	0.307
coffeepot	コーヒーポット	0.760	0.333	0.312
coffin	棺	0.073	0.432	0.343
cog	コグ	0.427	0.343	0.363
cogent	志願者	0.765	0.479	0.836
cognac	コニャック	0.615	0.510	0.430
cognate	同種の	0.615	0.350	0.398
cognition	認知	0.635	0.344	0.706
cognitive	認知	0.513	0.401	0.634
cohabitation	同棲	0.646	0.526	0.598
coherence	コヒーレンス	0.720	0.406	0.788
coherent	コヒーレントな	0.698	0.281	0.500
cohesion	凝集	0.604	0.536	0.555
cohesive	粘着性の	0.531	0.470	0.603
cohort	コホート	0.459	0.551	0.566
coil	コイル	0.448	0.343	0.298
coiled	巻かれた	0.378	0.518	0.389
coin	コイン	0.677	0.574	0.445
coinage	貨幣	0.500	0.400	0.545
coincide	一致する	0.635	0.490	0.593
coincidence	一致	0.612	0.450	0.518
coincident	一致する	0.562	0.385	0.602
coincidental	偶然	0.646	0.481	0.337
coinciding	一致する	0.673	0.373	0.623
coke	コークス	0.404	0.461	0.397
cola	コーラ	0.469	0.325	0.240
cold	コールド	0.398	0.538	0.348
coldly	冷たく	0.365	0.358	0.407
coldness	寒さ	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	コールスロー	0.707	0.312	0.336
colic	疝痛	0.135	0.736	0.361
coliseum	コロシアム	0.612	0.663	0.704
collaborate	協力する	0.816	0.449	0.559
collaboration	コラボレーション	0.885	0.628	0.741
collaborator	協力者	0.729	0.320	0.769
collage	コラージュ	0.680	0.321	0.375
collagen	コラーゲン	0.541	0.245	0.450
collapse	崩壊	0.208	0.689	0.342
collar	襟	0.656	0.442	0.446
collarbone	鎖骨	0.420	0.427	0.306
collate	照合する	0.438	0.448	0.580
collateral	担保	0.531	0.422	0.717
collation	照合	0.520	0.333	0.508
colleague	同僚	0.740	0.413	0.600
collect	集める	0.635	0.481	0.491
collected	集めました	0.570	0.402	0.588
collection	コレクション	0.725	0.311	0.588
collective	集団	0.583	0.458	0.698
collectively	集合的に	0.817	0.573	0.533
collector	コレクタ	0.552	0.481	0.648
college	カレッジ	0.700	0.467	0.746
collegiate	大学生	0.592	0.461	0.678
collide	衝突する	0.271	0.892	0.557
collie	コリー	0.562	0.308	0.328
collision	衝突	0.245	0.848	0.585
collocation	コロケーション	0.637	0.360	0.594
colloquial	口語	0.604	0.363	0.368
collusion	共謀	0.365	0.510	0.400
cologne	コロンヌ	0.677	0.413	0.552
colon	結腸	0.449	0.394	0.384
colonel	大佐	0.459	0.592	0.890
colonial	コロニアル	0.553	0.327	0.613
colonic	結腸の	0.333	0.420	0.430
colonoscopy	大腸内視鏡検査	0.208	0.524	0.466
colony	コロニー	0.716	0.353	0.593
colophon	コロフォン	0.500	0.408	0.385
color	色	0.786	0.280	0.402
coloration	着色	0.541	0.520	0.443
colored	着色	0.806	0.317	0.275
colorful	カラフル	0.850	0.520	0.519
coloring	着色	0.781	0.469	0.353
colorless	無色	0.354	0.340	0.250
colors	色	0.875	0.349	0.340
colossal	巨大	0.698	0.692	0.900
colt	コルト	0.561	0.587	0.543
columbine	コルンビン	0.520	0.521	0.407
column	カラム	0.480	0.250	0.670
columnar	円柱	0.448	0.340	0.491
columnist	コラムニスト	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	コマ	0.219	0.255	0.302
comatose	昏睡	0.143	0.438	0.433
comb	櫛	0.490	0.123	0.268
combat	戦闘	0.302	0.846	0.833
combatant	戦闘員	0.531	0.853	0.780
combative	戦闘的	0.381	0.690	0.816
combination	組み合わせ	0.708	0.480	0.726
combinatorial	コンビナトリアル	0.561	0.436	0.428
combine	結合する	0.663	0.442	0.533
combined	結合された	0.622	0.370	0.500
combo	コンボ	0.698	0.439	0.453
combustible	燃える	0.386	0.650	0.750
combustion	燃焼	0.457	0.807	0.591
come	来る	0.529	0.269	0.558
comeback	戻って	0.580	0.409	0.555
comedian	コメディアン	0.812	0.735	0.598
comedy	コメディー	0.918	0.555	0.490
comet	彗星	0.704	0.679	0.471
comfort	快適	0.863	0.231	0.670
comfortable	快適	0.927	0.163	0.473
comforter	慰める	0.618	0.275	0.302
comforting	慰め	0.906	0.337	0.620
comfy	心地よい	0.930	0.241	0.625
comic	漫画	0.917	0.459	0.387
comical	コミカル	0.844	0.737	0.327
comics	漫画	0.690	0.556	0.384
coming	到来	0.653	0.417	0.500
comma	コンマ	0.344	0.269	0.242
command	コマンド	0.427	0.790	0.849
commandant	司令官	0.622	0.700	0.943
commandeer	指揮官	0.552	0.639	0.931
commander	指揮官	0.531	0.615	0.906
commanding	指揮	0.562	0.664	0.925
commandment	命令	0.656	0.490	0.876
commando	コマンド	0.323	0.710	0.817
commemorate	記念碑	0.812	0.602	0.636
commemoration	記念	0.719	0.615	0.754
commemorative	記念	0.750	0.438	0.754
commence	始める	0.760	0.585	0.741
commend	賞賛する	0.906	0.694	0.711
commendable	立派な	0.786	0.570	0.555
commendation	表彰	0.911	0.500	0.639
commensurate	相応しい	0.610	0.304	0.550
comment	コメント	0.667	0.417	0.379
commentary	解説	0.602	0.402	0.446
commentator	コメンテーター	0.492	0.510	0.607
commerce	コマース	0.646	0.500	0.788
commercial	商業の	0.806	0.490	0.528
commie	コミエ	0.385	0.519	0.454
commissary	代理人	0.385	0.500	0.788
commission	手数料	0.677	0.480	0.571
commissioner	コミッショナー	0.602	0.449	0.949
commit	コミット	0.365	0.529	0.491
commitment	コミットメント	0.714	0.710	0.843
committal	コミット	0.472	0.519	0.582
committed	コミットした	0.710	0.542	0.712
committee	委員会	0.592	0.392	0.721
commodity	商品	0.615	0.394	0.537
commodore	コモア	0.427	0.530	0.636
common	一般	0.600	0.127	0.318
commoner	平民	0.448	0.365	0.327
commonly	一般的に	0.604	0.170	0.574
commonplace	普段の	0.520	0.337	0.442
commons	コモンズ	0.633	0.396	0.623
commonwealth	連邦	0.630	0.406	0.702
commotion	騒ぎ	0.490	0.700	0.646
communal	共同体	0.592	0.321	0.556
commune	コミューン	0.500	0.488	0.655
communicable	通信可能な	0.796	0.491	0.623
communicate	通信する	0.823	0.410	0.696
communication	コミュニケーション	0.837	0.400	0.649
communicative	コミュニケーション的	0.847	0.560	0.637
communicator	コミュニケータ	0.573	0.509	0.796
communion	聖体拝領	0.765	0.357	0.607
communism	共産主義	0.264	0.570	0.623
communist	共産主義者	0.265	0.702	0.632
community	コミュニティ	0.750	0.350	0.659
commutation	転流	0.469	0.431	0.652
commutative	可換	0.667	0.442	0.569
commute	通勤する	0.622	0.582	0.565
commuter	通勤者	0.646	0.520	0.512
comp	コンプ	0.573	0.450	0.371
compact	コンパクト	0.458	0.417	0.673
compaction	圧縮	0.531	0.471	0.582
compactness	コンパクトさ	0.582	0.352	0.454
companion	コンパニオン	0.770	0.377	0.618
companionless	仲間なし	0.271	0.259	0.200
companionship	仲間	0.833	0.438	0.792
company	会社	0.906	0.425	0.798
comparable	匹敵します	0.562	0.443	0.458
comparative	比較	0.470	0.273	0.562
comparatively	比較的	0.604	0.391	0.538
compare	比較する	0.552	0.408	0.524
comparison	比較	0.583	0.456	0.492
compartment	区画	0.500	0.389	0.607
compass	コンパス	0.541	0.307	0.529
compassion	思いやり	0.735	0.258	0.509
compassionate	思いやりのある	0.857	0.404	0.411
compatibility	互換性	0.816	0.450	0.673
compatible	互換性のある	0.892	0.387	0.638
compel	強います	0.200	0.847	0.625
compelled	強制された	0.333	0.654	0.347
compelling	説得力のある	0.698	0.570	0.870
compendium	大要	0.610	0.461	0.537
compensate	補償する	0.612	0.429	0.762
compensation	補償	0.775	0.469	0.598
compensatory	代償	0.589	0.490	0.700
compete	競争する	0.573	0.745	0.786
competence	能力	0.615	0.802	0.823
competency	コンピテンシー	0.768	0.775	0.764
competent	有能な	0.865	0.560	0.904
competition	コンペ	0.580	0.790	0.798
competitive	競争する	0.447	0.718	0.908
competitor	競合他社	0.612	0.959	0.861
compilation	コンパイル	0.530	0.512	0.606
compile	コンパイル	0.600	0.413	0.519
complacency	自己満足	0.604	0.503	0.519
complacent	満足している	0.625	0.452	0.518
complain	文句を言う	0.143	0.682	0.360
complaint	苦情	0.143	0.606	0.281
complement	補体	0.760	0.277	0.600
complementary	相補的な	0.714	0.320	0.586
complete	コンプリート	0.750	0.414	0.809
completed	完成した	0.823	0.357	0.777
completely	完全に	0.730	0.370	0.690
completeness	完全	0.823	0.433	0.769
completing	完了	0.614	0.500	0.769
completion	完了	0.656	0.470	0.525
complex	複合体	0.388	0.608	0.550
complexed	錯化された	0.312	0.577	0.612
complexion	顔色	0.521	0.520	0.380
complexity	複雑	0.479	0.620	0.595
compliance	コンプライアンス	0.750	0.462	0.750
compliant	準拠する	0.677	0.310	0.519
complicate	複雑にする	0.210	0.657	0.404
complicated	複雑な	0.211	0.660	0.455
complication	合併症	0.365	0.726	0.330
complicity	共謀	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	無料	0.823	0.413	0.435
comply	遵守する	0.806	0.370	0.638
complying	準拠する	0.729	0.423	0.590
compo	コンポ	0.500	0.346	0.390
component	成分	0.531	0.382	0.525
compose	合成する	0.639	0.432	0.694
composed	構成された	0.684	0.385	0.682
composer	作曲家	0.822	0.588	0.691
composite	複合	0.591	0.459	0.620
composition	組成	0.765	0.408	0.652
compost	堆肥	0.480	0.404	0.441
composure	落ち着き	0.802	0.354	0.717
compound	化合物	0.635	0.385	0.735
comprehend	理解する	0.875	0.365	0.689
comprehension	理解	0.908	0.387	0.688
comprehensive	包括的な	0.796	0.385	0.644
compress	圧縮する	0.406	0.412	0.460
compressed	圧縮された	0.323	0.396	0.388
compressible	圧縮可能な	0.622	0.392	0.585
compression	圧縮	0.646	0.521	0.579
compressor	コンプレッサー	0.418	0.481	0.630
comprise	含む	0.839	0.373	0.669
compromise	妥協	0.677	0.520	0.805
comptroller	従業員	0.402	0.481	0.866
compulsion	強制	0.118	0.760	0.604
compulsive	強迫的	0.347	0.871	0.573
compulsory	強制	0.343	0.541	0.791
computable	計算可能な	0.570	0.402	0.545
computation	計算	0.583	0.429	0.697
compute	計算する	0.531	0.408	0.564
computer	コンピューター	0.802	0.356	0.639
computerized	コンピュータ化された	0.677	0.450	0.657
computing	計算	0.745	0.398	0.695
comrade	同志	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	連結	0.480	0.593	0.539
concave	凹面の	0.441	0.349	0.349
conceal	隠す	0.312	0.436	0.306
concealed	隠蔽された	0.344	0.363	0.352
concealment	隠蔽	0.302	0.570	0.390
concede	譲歩する	0.670	0.324	0.473
conceit	うぬぼれ	0.354	0.625	0.309
conceited	思いやりのある	0.194	0.667	0.473
conceivable	考えられる	0.730	0.350	0.613
conceive	思う	0.708	0.538	0.700
concentrate	集中	0.750	0.439	0.743
concentration	濃度	0.735	0.500	0.722
concentric	同心円の	0.730	0.479	0.635
concept	概念	0.573	0.265	0.632
conception	概念	0.694	0.490	0.614
concern	懸念	0.250	0.734	0.463
concerned	心配している	0.292	0.698	0.350
concert	コンサート	0.938	0.867	0.718
concerto	協奏曲	0.613	0.759	0.679
concession	租界	0.588	0.423	0.615
concessional	譲歩的	0.770	0.493	0.657
conch	コーチ	0.583	0.306	0.339
concierge	コンシェルジュ	0.480	0.343	0.343
conciliation	調停	0.792	0.475	0.726
concise	簡潔な	0.583	0.298	0.620
conclave	コンクラーベ	0.573	0.440	0.611
conclude	結論づける	0.530	0.267	0.679
concluding	結論	0.531	0.382	0.603
conclusion	結論	0.615	0.377	0.659
conclusive	決定的	0.500	0.427	0.745
concoction	合併	0.448	0.459	0.417
concomitant	付随する	0.427	0.482	0.727
concord	コンコルド	0.677	0.320	0.586
concordance	一致	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	コンコース	0.740	0.657	0.528
concrete	コンクリート	0.633	0.420	0.547
concubine	小便	0.388	0.594	0.476
concur	同意する	0.459	0.394	0.429
concurrence	同意	0.764	0.627	0.613
concurrent	同時	0.573	0.547	0.741
concurring	同意する	0.573	0.600	0.681
concussion	脳震盪	0.072	0.708	0.482
condemn	非難する	0.102	0.793	0.625
condemnation	非難	0.133	0.725	0.449
condensation	結露	0.510	0.316	0.538
condensed	凝縮した	0.598	0.415	0.623
condescending	勘違いする	0.583	0.363	0.593
condescension	軽蔑	0.521	0.377	0.565
condiment	調味料	0.520	0.333	0.433
condition	調子	0.500	0.469	0.519
conditional	条件付き	0.521	0.343	0.556
conditionally	条件付きで	0.396	0.419	0.617
conditioned	条件付き	0.490	0.417	0.616
conditioner	コンディショナー	0.781	0.360	0.538
conditioning	コンディショニング	0.440	0.468	0.617
conditions	条件	0.551	0.441	0.593
condo	コンドミニアム	0.439	0.288	0.607
condolence	弔慰	0.260	0.443	0.404
condolences	お悔やみ	0.198	0.480	0.288
condom	コンドーム	0.406	0.637	0.500
condone	許す	0.571	0.441	0.619
condor	コンドル	0.573	0.388	0.519
conducive	助ける	0.775	0.479	0.679
conduct	行動	0.453	0.510	0.750
conduction	伝導	0.530	0.557	0.717
conductivity	導電性	0.583	0.575	0.642
conductor	導体	0.677	0.663	0.621
conduit	導管	0.470	0.302	0.413
cone	円錐	0.417	0.208	0.343
confederacy	連合	0.590	0.541	0.736
confederate	連合国	0.551	0.546	0.792
confederation	連合	0.663	0.404	0.830
confer	与える	0.573	0.482	0.583
conference	会議	0.688	0.615	0.606
confess	告白する	0.360	0.712	0.431
confession	告白	0.469	0.642	0.460
confessional	告白する	0.458	0.392	0.629
confessions	自白	0.325	0.538	0.658
confetti	紙吹雪	0.781	0.573	0.250
confidant	腹心	0.837	0.633	0.631
confide	信じる	0.669	0.472	0.595
confidence	信頼	0.959	0.276	0.943
confident	自信を持って	0.765	0.324	0.723
confidential	機密	0.643	0.471	0.761
confidentiality	秘密	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	設定	0.540	0.443	0.591
confine	閉じ込める	0.327	0.551	0.538
confined	閉じ込められた	0.286	0.472	0.444
confinement	閉じ込め	0.333	0.656	0.520
confines	閉じ込める	0.396	0.386	0.542
confirm	確認する	0.802	0.439	0.806
confirmation	確認	0.812	0.480	0.692
confirmatory	確認の	0.656	0.500	0.683
confirmed	確認済み	0.760	0.490	0.764
confiscate	没収する	0.250	0.625	0.482
confiscation	没収	0.208	0.706	0.586
conflagration	火災	0.344	0.721	0.594
conflict	紛争	0.335	0.906	0.471
conflicting	矛盾する	0.173	0.738	0.553
confluence	合流	0.677	0.598	0.565
conform	適合	0.479	0.380	0.375
conformance	適合	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	適合	0.645	0.363	0.579
confound	混乱する	0.347	0.529	0.333
confounded	混乱した	0.333	0.528	0.264
confront	対峙する	0.281	0.760	0.746
confrontation	対決	0.177	0.870	0.658
confuse	混乱させる	0.100	0.580	0.270
confused	混乱した	0.220	0.650	0.179
confusing	混乱する	0.229	0.690	0.222
confusion	混乱	0.255	0.667	0.277
conga	コンガ	0.469	0.529	0.440
congenial	味方の	0.820	0.412	0.620
congenital	先天性の	0.448	0.434	0.427
congestion	混雑	0.271	0.654	0.491
conglomerate	大企業	0.500	0.500	0.838
conglomeration	集塊	0.541	0.720	0.670
congrats	おめでとう	0.930	0.726	0.775
congratulate	おめでとう	0.927	0.724	0.784
congratulation	おめでとう	0.948	0.780	0.717
congratulations	おめでとう	0.960	0.755	0.719
congratulatory	お祝い	0.959	0.616	0.689
congregate	集合する	0.653	0.530	0.733
congregation	会衆	0.561	0.490	0.700
congress	会議	0.449	0.444	0.857
congressional	議会	0.552	0.491	0.848
congressman	議員	0.438	0.471	0.877
congruence	合同	0.656	0.472	0.577
conic	円錐形	0.510	0.368	0.379
conical	コニカル	0.490	0.422	0.471
conjecture	推測	0.396	0.398	0.534
conjugal	夫婦	0.698	0.510	0.688
conjugate	コンジュゲート	0.583	0.420	0.467
conjugation	共役	0.479	0.429	0.582
conjunction	連合	0.520	0.472	0.509
conjunctive	結合的	0.487	0.444	0.639
conjure	呪文	0.385	0.679	0.645
conjuring	思い通りの	0.224	0.653	0.694
conk	コンク	0.340	0.469	0.404
connect	接続する	0.724	0.299	0.536
connected	接続された	0.816	0.550	0.612
connection	接続	0.729	0.560	0.655
connective	結合	0.719	0.491	0.764
connoisseur	愛好家	0.760	0.461	0.769
conquer	征服する	0.694	0.873	0.971
conquering	征服する	0.760	0.873	0.936
conqueror	征服者	0.604	0.809	0.930
conquest	征服	0.710	0.702	0.833
conscience	良心	0.663	0.375	0.721
conscientious	良心的な	0.688	0.404	0.688
conscious	意識的な	0.740	0.333	0.705
consciousness	意識	0.840	0.483	0.755
conscription	徴兵	0.396	0.775	0.642
consecrated	聖餐された	0.663	0.500	0.800
consecration	奉献	0.771	0.418	0.804
consecutive	連続	0.663	0.418	0.643
consensual	合意	0.663	0.417	0.655
consensus	コンセンサス	0.627	0.358	0.625
consent	同意	0.750	0.500	0.620
consenting	合意	0.727	0.406	0.693
consequence	結果	0.240	0.721	0.593
consequent	結果的な	0.663	0.471	0.625
conservation	保全	0.832	0.401	0.606
conservatism	保守主義	0.406	0.369	0.633
conservative	保守的な	0.615	0.316	0.788
conservatory	コンサバトリー	0.635	0.240	0.729
conserve	節約する	0.690	0.347	0.573
consider	検討する	0.677	0.368	0.579
considerable	かなりの	0.653	0.314	0.683
considerate	思慮深い	0.781	0.380	0.633
consideration	考慮	0.589	0.380	0.687
consignee	荷受人	0.635	0.385	0.602
consignment	委託	0.490	0.440	0.500
consist	構成する	0.823	0.386	0.580
consistency	一貫性	0.714	0.500	0.887
consistent	整合性のある	0.786	0.431	0.726
consolation	慰め	0.408	0.250	0.304
console	コンソール	0.625	0.398	0.415
consoled	慰められた	0.700	0.343	0.452
consolidate	統合する	0.880	0.440	0.870
consolidated	連結	0.700	0.366	0.784
consolidation	連結	0.604	0.445	0.776
consonant	子音	0.500	0.347	0.417
consort	コンソート	0.632	0.509	0.630
conspicuous	目立つ	0.479	0.520	0.596
conspiracy	陰謀	0.125	0.787	0.652
conspirator	共謀者	0.271	0.786	0.707
conspire	共謀する	0.206	0.740	0.520
constable	警備員	0.573	0.667	0.764
constancy	恒常	0.786	0.443	0.763
constant	定数	0.740	0.296	0.686
constantly	常に	0.663	0.561	0.700
constellation	星座	0.719	0.533	0.775
consternation	驚き	0.167	0.680	0.469
constipation	便秘	0.079	0.612	0.231
constituency	選挙区	0.500	0.480	0.696
constituent	成分	0.573	0.500	0.827
constituents	成分	0.573	0.414	0.833
constitute	〜を構成する	0.812	0.349	0.906
constitution	憲法	0.590	0.380	0.889
constitutional	憲法	0.633	0.418	0.827
constitutionality	合憲	0.612	0.439	0.853
constrain	制約する	0.261	0.500	0.500
constrained	拘束された	0.135	0.537	0.357
constraint	制約	0.323	0.550	0.481
construct	構成する	0.750	0.648	0.792
construction	建設	0.848	0.612	0.759
constructive	建設的	0.860	0.570	0.812
construe	解釈する	0.602	0.519	0.553
consul	領事	0.573	0.354	0.688
consulate	領事館	0.561	0.453	0.694
consult	相談する	0.755	0.370	0.441
consultant	コンサルタント	0.770	0.344	0.808
consultation	相談	0.660	0.463	0.625
consume	消費する	0.427	0.620	0.509
consumer	消費者	0.507	0.551	0.677
consuming	消費する	0.573	0.541	0.536
consummate	完成品	0.551	0.540	0.558
consummation	完成	0.583	0.676	0.661
consumption	消費	0.390	0.531	0.538
contact	接触	0.719	0.424	0.526
contagion	伝染	0.208	0.630	0.535
contagious	伝染する	0.184	0.725	0.400
contain	含む	0.542	0.490	0.658
container	コンテナ	0.551	0.396	0.561
containment	封じ込め	0.411	0.491	0.618
contaminate	汚染する	0.140	0.611	0.426
contaminated	汚染された	0.040	0.500	0.368
contamination	汚染	0.125	0.610	0.375
contemplate	熟慮する	0.740	0.347	0.642
contemplation	熟考	0.552	0.324	0.627
contemplative	瞑想的な	0.729	0.308	0.739
contemporaneous	同時	0.640	0.373	0.591
contemporary	コンテンポラリー	0.720	0.365	0.569
contempt	軽蔑	0.206	0.635	0.396
contemptible	軽蔑的な	0.146	0.657	0.471
contemptuous	軽蔑的な	0.204	0.500	0.375
contend	争う	0.510	0.657	0.731
contender	競争者	0.480	0.790	0.681
contending	競合する	0.490	0.698	0.716
content	コンテンツ	0.764	0.296	0.559
contented	満足	0.857	0.612	0.746
contention	競合	0.375	0.510	0.738
contentious	争う	0.422	0.573	0.637
contentment	満足	0.875	0.610	0.782
contents	内容	0.656	0.375	0.550
contest	コンテスト	0.667	0.698	0.717
contestant	競技者	0.760	0.530	0.602
context	コンテキスト	0.531	0.300	0.553
contiguous	連続した	0.375	0.450	0.500
continence	統制	0.450	0.396	0.469
continent	大陸	0.551	0.373	0.833
continental	コンチネンタル	0.486	0.350	0.755
contingency	不測の事態	0.396	0.500	0.670
contingent	偶発的	0.470	0.531	0.659
continual	継続的	0.500	0.423	0.685
continually	継続的に	0.646	0.438	0.698
continuance	継続	0.729	0.510	0.652
continuation	継続	0.615	0.470	0.566
continue	持続する	0.630	0.427	0.612
continued	続ける	0.635	0.440	0.500
continuing	続ける	0.667	0.500	0.520
continuity	連続	0.781	0.439	0.684
continuous	連続	0.625	0.509	0.580
continuously	連続的に	0.719	0.417	0.702
continuum	連続体	0.677	0.390	0.491
contour	輪郭	0.589	0.265	0.414
contraband	密輸品	0.177	0.875	0.670
contraception	避妊	0.296	0.518	0.525
contract	契約する	0.594	0.412	0.636
contracted	契約した	0.344	0.557	0.449
contractile	収縮性の	0.480	0.586	0.569
contracting	収縮する	0.594	0.490	0.769
contraction	収縮	0.292	0.755	0.603
contractor	請負業者	0.592	0.479	0.727
contradict	矛盾する	0.160	0.598	0.482
contradiction	矛盾	0.250	0.660	0.377
contradictory	矛盾する	0.365	0.651	0.421
contraption	制動	0.448	0.590	0.491
contrary	反対の	0.327	0.449	0.338
contrast	コントラスト	0.480	0.406	0.520
contrasted	対比	0.521	0.538	0.491
contravene	違反	0.357	0.618	0.472
contravention	違反	0.344	0.627	0.593
contribute	貢献する	0.806	0.350	0.795
contribution	貢献	0.854	0.452	0.760
contributor	投稿者	0.844	0.510	0.760
contrite	悔恨	0.347	0.363	0.473
contrition	反論	0.347	0.583	0.463
contrived	考案された	0.408	0.530	0.458
control	コントロール	0.729	0.352	0.808
controller	コントローラ	0.469	0.712	0.868
controlling	制御する	0.490	0.441	0.885
controversial	議論の余地のある	0.271	0.858	0.538
controversy	論争	0.250	0.819	0.600
contusion	挫折	0.167	0.565	0.509
conundrum	謎	0.354	0.524	0.408
convalescent	回復期の	0.458	0.480	0.269
convection	対流	0.521	0.494	0.526
convene	招集する	0.583	0.676	0.636
convenience	利便性	0.781	0.448	0.613
conveniences	便利な	0.802	0.412	0.693
convenient	便利	0.846	0.491	0.574
convent	修道院	0.480	0.217	0.594
convention	コンベンション	0.622	0.622	0.704
conventional	従来の	0.594	0.292	0.634
converge	収束する	0.635	0.471	0.539
convergence	収束	0.551	0.491	0.625
convergent	収束する	0.781	0.490	0.696
conversant	精通	0.724	0.360	0.542
conversation	会話	0.750	0.510	0.609
conversational	会話	0.719	0.431	0.596
conversationalist	会話主義者	0.719	0.467	0.667
converse	話す	0.594	0.406	0.598
conversing	会話する	0.755	0.409	0.442
conversion	変換	0.480	0.605	0.736
convert	変換する	0.551	0.538	0.704
converted	変換された	0.663	0.418	0.686
convertible	コンバーチブル	0.542	0.529	0.717
convex	凸面	0.438	0.427	0.445
convexity	凸状	0.449	0.354	0.484
convey	伝える	0.719	0.633	0.708
conveyance	運搬	0.615	0.520	0.455
conveyancing	搬送	0.375	0.479	0.663
convict	罪を犯す	0.177	0.840	0.477
conviction	信念	0.615	0.704	0.826
convince	説得する	0.708	0.539	0.763
convinced	確信している	0.750	0.500	0.630
convincing	説得力のある	0.760	0.527	0.900
convocation	招集	0.538	0.611	0.663
convoluted	複雑な	0.323	0.614	0.433
convolution	畳み込み	0.417	0.559	0.527
convoy	コンボイ	0.500	0.671	0.639
coo	クオ	0.490	0.439	0.500
cook	クック	0.847	0.500	0.412
cookbook	料理本	0.602	0.346	0.398
cooker	炊飯器	0.592	0.373	0.407
cookery	料理	0.633	0.368	0.345
cookie	クッキー	0.792	0.306	0.250
cookies	クッキー	0.823	0.451	0.316
cooking	料理	0.694	0.510	0.434
cookout	クックアウト	0.680	0.406	0.482
cool	クール	0.885	0.540	0.781
coolant	冷却剤	0.720	0.412	0.456
cooler	クーラー	0.664	0.375	0.460
cooling	冷却	0.469	0.324	0.392
coolness	冷たさ	0.490	0.307	0.548
coon	クオン	0.490	0.460	0.400
coop	コープ	0.612	0.445	0.650
cooperate	協力する	0.898	0.451	0.582
cooperating	協力する	0.760	0.390	0.693
cooperation	協力	0.847	0.473	0.686
cooperative	協力的	0.816	0.461	0.670
coordinate	座標	0.698	0.429	0.694
coordination	調整	0.677	0.454	0.789
coordinator	コーディネーター	0.750	0.510	0.850
cop	警官	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	対処する	0.592	0.647	0.709
copier	複写機	0.459	0.345	0.390
copilot	副操縦士	0.640	0.538	0.573
coping	対処する	0.562	0.630	0.613
copious	豊富な	0.427	0.462	0.527
copper	銅	0.580	0.260	0.500
copter	ヘリコプター	0.571	0.704	0.569
copy	コピー	0.460	0.240	0.263
copycat	コピーキャット	0.449	0.580	0.443
copying	コピー	0.448	0.315	0.404
copyright	著作権	0.458	0.402	0.663
coral	コーラル	0.802	0.231	0.425
coral snake	サンゴヘビ	0.276	0.712	0.607
cord	コード	0.388	0.378	0.358
cordial	心のこもった	0.823	0.312	0.482
cordless	コードレス	0.667	0.441	0.528
cordon	コードン	0.469	0.317	0.380
corduroy	コーデュロイ	0.570	0.324	0.357
core	コア	0.721	0.378	0.540
cork	コルク	0.347	0.250	0.281
corkscrew	コルクスクリュー	0.427	0.443	0.445
corn	コーン	0.594	0.196	0.292
cornball	コーンボール	0.479	0.378	0.325
cornbread	コーンブレッド	0.643	0.304	0.302
cornea	角膜	0.521	0.346	0.443
corned	コンディション	0.459	0.441	0.425
corner	コーナー	0.400	0.296	0.366
cornerstone	礎石	0.550	0.388	0.596
cornet	コルネット	0.507	0.520	0.415
cornfield	コーンフィールド	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	コニシェス	0.458	0.441	0.295
cornstarch	コーンスターチ	0.643	0.299	0.337
corny	うまくいく	0.448	0.370	0.221
corollary	必然的	0.458	0.469	0.366
corona	コロナ	0.818	0.439	0.745
coronary	冠状	0.567	0.613	0.509
coronation	戴冠	0.792	0.592	0.836
coroner	検死官	0.323	0.558	0.526
corporal	伍長	0.582	0.490	0.596
corporate	企業	0.592	0.454	0.745
corporation	株式会社	0.429	0.332	0.873
corporeal	体的	0.520	0.350	0.461
corps	軍団	0.551	0.453	0.483
corpse	死体	0.094	0.657	0.232
corpsman	部隊員	0.439	0.469	0.651
corpus	コーパス	0.543	0.340	0.490
corral	コラール	0.606	0.662	0.422
correct	正しい	0.857	0.306	0.723
correction	補正	0.448	0.485	0.558
correctional	矯正	0.292	0.713	0.602
corrective	矯正	0.448	0.528	0.613
correctness	正当性	0.796	0.450	0.649
correlation	相関	0.596	0.462	0.571
