Word	Hawaiian-haw	Valence	Arousal	Dominance
babble	kūkā	0.552	0.441	0.204
babbling	kūkā	0.396	0.418	0.241
babe	ke keiki	0.860	0.536	0.424
baboon	pāpuni	0.357	0.410	0.429
baby	ke keiki	0.837	0.365	0.455
babysit	ke keiki	0.719	0.587	0.398
babysitter	kahu hānai	0.656	0.415	0.408
baccalaureate	heleʻole	0.729	0.510	0.480
baccarat	baccarat	0.583	0.497	0.436
bachelor	bachelor	0.667	0.406	0.600
bachelorette	ke bachelorette	0.735	0.780	0.465
back	hoʻi	0.438	0.353	0.336
backboard	hoʻihoʻi	0.480	0.259	0.436
backbone	ka iwi hope	0.538	0.464	0.620
backdoor	ke kāʻei	0.344	0.410	0.333
backdrop	nā mea hope	0.320	0.309	0.444
backer	kākoʻo	0.646	0.375	0.537
backfire	ke kākoʻo	0.265	0.612	0.491
backgammon	backgammon	0.580	0.410	0.390
background	ʻike	0.399	0.357	0.498
backhand	hoʻihoʻi	0.427	0.449	0.390
backhoe	backhoe	0.398	0.554	0.562
backoff	hoʻihoʻi	0.104	0.396	0.240
backpack	kāʻei hope	0.729	0.278	0.333
backpacker	ke kākoʻo	0.510	0.730	0.460
backroom	kahua kiko	0.406	0.500	0.387
backseat	hoʻi hope	0.388	0.330	0.237
backside	i hope	0.182	0.417	0.342
backtrack	hoʻihoʻi	0.312	0.525	0.278
backup	kope	0.520	0.510	0.553
backward	i hope	0.309	0.367	0.250
backwardness	hoʻi hope	0.240	0.500	0.136
backwards	i hope	0.302	0.372	0.330
backwater	ka wai	0.312	0.410	0.161
backwoods	hoʻihoʻi	0.541	0.350	0.482
backyard	nā mea hope	0.552	0.280	0.302
bacon	pākani	0.698	0.406	0.295
bacteria	huaʻai	0.177	0.553	0.570
bacterial	huaʻona	0.156	0.500	0.473
bacterium	hua'ōlelo	0.194	0.545	0.345
bad	hewa	0.125	0.625	0.373
badass	hewa	0.255	0.775	0.745
badday	NO TRANSLATION	0.327	0.449	0.373
badfeeling	NO TRANSLATION	0.250	0.559	0.365
badge	helu	0.567	0.488	0.691
badger	nui	0.344	0.429	0.357
badhabit	NO TRANSLATION	0.184	0.594	0.311
badly	hewa	0.073	0.509	0.286
badness	hewa	0.094	0.823	0.463
baffle	Pāleʻa	0.344	0.442	0.482
baffled	ua hoʻopauʻia	0.151	0.600	0.339
bag	eke	0.500	0.250	0.314
bagel	kepeke	0.531	0.363	0.340
baggage	ukana	0.610	0.363	0.427
baggie	ka baggie	0.367	0.427	0.366
baggy	ka lole	0.521	0.278	0.452
bagman	kālepa	0.506	0.500	0.394
bagpipes	putea	0.541	0.556	0.412
bail	leka	0.373	0.520	0.561
bailiff	ka lekana	0.347	0.519	0.759
bait	pua	0.276	0.327	0.296
bake	kuke	0.867	0.418	0.519
bakery	ka palaoa	0.802	0.500	0.380
baking	ka palaoa	0.549	0.455	0.451
bal	NO TRANSLATION	0.490	0.412	0.432
balance	pale	0.684	0.265	0.735
balanced	kaulike	0.806	0.255	0.745
balcony	ka balcony	0.562	0.392	0.380
bald	'ōleʻa	0.306	0.184	0.268
balding	pale	0.302	0.363	0.368
baldy	pale	0.398	0.385	0.396
bale	kale	0.437	0.363	0.412
balk	ʻohu	0.229	0.451	0.415
ball	kapi	0.740	0.427	0.317
ballad	nā ballad	0.792	0.284	0.424
ballast	pilaha	0.354	0.423	0.287
ballerina	ballerina	0.802	0.660	0.475
ballet	bona	0.656	0.480	0.358
ballgame	ka ballgame	0.781	0.790	0.407
ballistic	ka ballistic	0.260	0.806	0.685
ballistics	nā kāleʻa	0.271	0.787	0.610
balloon	ka pāpale	0.729	0.245	0.315
ballot	pālota	0.521	0.361	0.358
ballpark	kapikala	0.724	0.694	0.529
ballplayer	kapikala	0.719	0.764	0.566
ballpoint	ʻO ka pale huli	0.596	0.337	0.318
ballroom	ke keʻokeʻo	0.847	0.635	0.448
ballsy	pōkole	0.531	0.491	0.414
balm	pama	0.625	0.275	0.414
balmy	pulu	0.684	0.327	0.545
balsam	balsama	0.663	0.250	0.385
balsamic	balsamic	0.582	0.283	0.447
bam	ʻohe	0.427	0.472	0.390
bamboo	ʻohe	0.646	0.222	0.356
ban	NO TRANSLATION	0.146	0.689	0.587
banana	banana	0.612	0.230	0.241
band	ka hui	0.648	0.552	0.525
bandage	kāwele	0.220	0.327	0.286
bandanna	NO TRANSLATION	0.562	0.276	0.277
bandit	kālepa	0.094	0.796	0.567
bandstand	kākākūkā	0.735	0.536	0.520
bandwagon	kāleka	0.625	0.651	0.509
bandwidth	ka bandwidth	0.714	0.337	0.548
bane	e	0.265	0.694	0.366
bang	Pā	0.265	0.951	0.740
banger	pākū	0.378	0.540	0.538
banish	e kue	0.163	0.677	0.543
banished	ua hoʻokuʻuʻia	0.052	0.713	0.370
banishment	ke kipakuʻia	0.160	0.775	0.298
banister	hale inoa	0.418	0.410	0.332
banjo	hale	0.469	0.400	0.370
bank	kāleka	0.562	0.327	0.675
banker	hale kūʻai	0.586	0.588	0.792
banking	waihona kālā	0.510	0.327	0.500
bankroll	ka bankroll	0.469	0.570	0.509
bankrupt	ka mea banekorupa	0.163	0.673	0.337
bankruptcy	hale kūʻai	0.010	0.696	0.209
banner	hae	0.521	0.408	0.474
banquet	pāʻina	0.765	0.571	0.600
banshee	banahee	0.408	0.565	0.481
banter	pale	0.594	0.677	0.464
banzai	NO TRANSLATION	0.550	0.510	0.443
baptism	ka bapetizo	0.844	0.384	0.566
baptismal	ka bapetizoʻana	0.646	0.343	0.625
baptize	bapetizo	0.739	0.426	0.594
bar	pā	0.500	0.531	0.481
barb	pā	0.448	0.365	0.417
barbarian	malihini	0.323	0.896	0.713
barbaric	kūkā	0.235	0.798	0.738
barbarism	kahi kīhai	0.190	0.815	0.614
barbecue	ka bale	0.792	0.643	0.456
barbed	pale	0.177	0.594	0.455
barber	ka makua	0.543	0.459	0.356
barbershop	hale kūkā	0.597	0.441	0.382
barbie doll	pākuʻi barbie	0.729	0.370	0.330
bard	ka papa	0.470	0.410	0.439
bare	ʻaʻohe maka	0.333	0.717	0.296
bareback	paleback	0.500	0.356	0.373
barefoot	ka wāwae kāmaʻa	0.445	0.373	0.241
barely	me ka liʻiliʻi	0.448	0.183	0.268
barf	ka pa	0.340	0.491	0.394
bargain	maikaʻi	0.653	0.533	0.670
bargaining	ke kālepaʻana	0.622	0.640	0.642
barge	ka pā	0.469	0.388	0.465
baritone	ka pa	0.592	0.529	0.500
barium	kalemu	0.406	0.353	0.377
bark	kahe	0.360	0.602	0.395
barkeep	kālepa	0.480	0.500	0.454
barks	nā barks	0.427	0.694	0.325
barley	barley	0.614	0.212	0.296
barmaid	ka wahine	0.521	0.472	0.440
barman	ʻo Barman	0.594	0.610	0.400
barn	hale puaʻa	0.510	0.452	0.425
barnacle	hale noho	0.408	0.337	0.457
barney	ka barney	0.451	0.378	0.440
barnyard	barnyard	0.510	0.353	0.336
barometer	barometer	0.388	0.273	0.545
baron	Pale	0.520	0.358	0.709
baroness	kūleʻa	0.625	0.453	0.755
baroque	baroque	0.490	0.357	0.418
barrack	ka pā	0.378	0.500	0.455
barracuda	barracuda	0.333	0.713	0.510
barrage	pilikia	0.388	0.871	0.627
barred	paleʻia	0.143	0.741	0.535
barrel	kāleʻela	0.429	0.298	0.474
barren	pā	0.173	0.373	0.221
barricade	ka pā	0.323	0.667	0.673
barrier	pale	0.333	0.480	0.562
barring	e pale	0.292	0.670	0.420
barrister	loio	0.469	0.570	0.792
barroom	ka pa	0.686	0.619	0.470
barrow	kele	0.479	0.363	0.362
bartender	kelepa	0.573	0.698	0.585
barter	kālepa	0.465	0.559	0.596
base	kumu	0.635	0.298	0.553
baseball	ka pīhili	0.660	0.760	0.563
baseball bat	pā pīhili	0.667	0.567	0.509
baseboard	ka papa	0.396	0.198	0.405
baseless	ke kumuʻole	0.292	0.382	0.375
baseline	ka hopena	0.483	0.367	0.509
baseman	ke aloha	0.604	0.449	0.462
basement	lalo	0.388	0.500	0.268
bases	nā kumu	0.569	0.236	0.591
bash	ke kī	0.385	0.546	0.463
bashful	Pāleʻa	0.400	0.406	0.217
basic	ke kumu	0.643	0.102	0.395
basics	nā kumuhana	0.688	0.311	0.491
basil	ka basil	0.534	0.274	0.309
basilica	ka basilica	0.612	0.302	0.639
basin	ke kīʻaha	0.552	0.231	0.398
basis	kumu	0.602	0.260	0.426
bask	ke kī	0.760	0.330	0.381
basket	basket	0.458	0.227	0.336
basketball	basketball	0.814	0.764	0.435
bass	ke kī	0.427	0.206	0.268
bass guitar	ke kīʻaha bass	0.738	0.370	0.294
basso	NO TRANSLATION	0.417	0.420	0.439
bassoon	ke kumuhana	0.500	0.433	0.310
bastard	ka wahine	0.094	0.692	0.289
bastarding	kūkala	0.104	0.608	0.269
bastards	nā pāpale	0.082	0.680	0.422
bastion	ke kīʻaha	0.531	0.500	0.596
bat	pā	0.324	0.409	0.480
batch	ka papa	0.560	0.357	0.357
batching	ke kaua	0.484	0.420	0.518
bate	NO TRANSLATION	0.429	0.525	0.464
bath	kaʻauʻau	0.725	0.260	0.263
bathe	ʻauʻau	0.677	0.294	0.371
bathhouse	ka hale holoi	0.602	0.380	0.459
bathing	eʻauʻau ana	0.740	0.276	0.361
bathrobe	i kahi kapa	0.531	0.442	0.394
bathroom	lua	0.561	0.283	0.345
bathtub	kaʻauʻau	0.625	0.240	0.318
bathymetry	ka waikiko	0.432	0.480	0.509
baton	ʻo baton	0.272	0.235	0.519
battalion	koa	0.333	0.818	0.795
batter	pākuʻi	0.561	0.245	0.373
battered	ua paʻi	0.080	0.790	0.306
battering	ke kāʻei	0.210	0.798	0.490
battery	kelepona	0.480	0.425	0.442
battle	ke kaua	0.365	0.945	0.868
battled	ua kaua	0.292	0.794	0.575
battlefield	kahua kaua	0.133	0.918	0.781
battleground	kahua kaua	0.156	0.958	0.812
battlements	ke kaua	0.276	0.441	0.530
battleship	ka moku kaua	0.479	0.750	0.726
batty	ke kīʻaha	0.375	0.619	0.274
bauble	bauble	0.698	0.429	0.255
bawdy	ala	0.184	0.823	0.508
bawl	bawl	0.385	0.880	0.561
bay	keku	0.719	0.365	0.569
bayonet	bayonet	0.263	0.775	0.561
bayou	bayou	0.469	0.431	0.324
bazaar	kūkā	0.604	0.340	0.500
bazooka	bazooka	0.302	0.824	0.634
bday	lā	0.729	0.600	0.415
be	e	0.670	0.240	0.554
beach	kahakai	0.885	0.529	0.455
beaches	kahakai	0.865	0.500	0.538
beacon	hiku	0.580	0.407	0.537
bead	puʻu	0.592	0.388	0.381
beading	kūleʻa	0.542	0.320	0.398
beads	nā pāleka	0.673	0.388	0.552
beady	kūleʻa	0.448	0.417	0.443
beagle	beagle	0.649	0.470	0.395
beak	beak	0.375	0.363	0.411
beaker	beaker	0.420	0.410	0.391
beam	ke kuhi	0.584	0.349	0.382
beaming	kūkala	0.892	0.654	0.587
bean	bean	0.667	0.269	0.264
beanbag	beanbag	0.450	0.380	0.340
beanie	beanie	0.500	0.230	0.263
bear	ka bear	0.448	0.570	0.475
bearable	hiki ke pale	0.542	0.375	0.605
beard	ʻumiʻumi	0.490	0.261	0.371
bearded	bearded	0.439	0.337	0.391
bearer	ka mea lawe	0.571	0.547	0.676
bearing	e halihali ana	0.571	0.367	0.474
bearings	nā bearings	0.418	0.490	0.426
bearish	bearish	0.521	0.549	0.324
bearskin	bele	0.333	0.398	0.464
beast	holoholona	0.214	0.780	0.732
beastly	holoholona	0.146	0.874	0.843
beat	e paʻi	0.279	0.647	0.492
beaten	hahauʻia	0.083	0.846	0.265
beater	hahau	0.438	0.545	0.482
beating	e hahau ana	0.153	0.833	0.481
beatnik	ka paʻi	0.429	0.510	0.382
beau	maikaʻi	0.612	0.440	0.432
beautification	maikaʻi	0.885	0.575	0.725
beautiful	uʻi	0.875	0.614	0.648
beautify	e hoʻonani	0.898	0.592	0.736
beauty	maikaʻi	0.842	0.600	0.644
beaver	beaver	0.490	0.344	0.393
bebop	bebop	0.482	0.490	0.358
beck	e lele	0.580	0.375	0.418
beckon	ke kuhi	0.663	0.455	0.452
become	e lilo	0.641	0.583	0.643
bed	hiamoe	0.604	0.173	0.327
bedding	ka moe	0.704	0.276	0.377
bedpan	moe moe	0.510	0.400	0.362
bedrock	ke moe	0.561	0.340	0.598
bedroom	hale moe	0.744	0.296	0.491
bedside	moe	0.604	0.167	0.375
bedspread	nā moe	0.551	0.139	0.292
bedtime	ka wā e moe ai	0.673	0.314	0.373
bee	pipi	0.520	0.509	0.309
beef	pipi	0.582	0.312	0.492
beefsteak	beefsteak	0.594	0.391	0.455
beehive	pipi	0.541	0.700	0.422
beep	beep	0.595	0.541	0.304
beeper	e hoʻopiha	0.438	0.720	0.441
beer	ka bera	0.592	0.654	0.500
bees	ka pi	0.562	0.635	0.412
beeswax	beeswax	0.583	0.402	0.375
beetle	ka pipi	0.323	0.356	0.295
befall	hāʻule	0.520	0.663	0.585
befitting	kūpono	0.708	0.333	0.394
befriend	aloha	0.930	0.624	0.471
befuddled	e hoʻokuʻuʻia	0.156	0.714	0.269
beg	noi	0.292	0.608	0.328
beggar	noi	0.240	0.402	0.116
begging	noi	0.292	0.461	0.202
begin	hoʻomaka	0.677	0.569	0.763
beginner	hoʻomaka	0.490	0.480	0.387
beginning	hoʻomaka	0.816	0.528	0.558
beginnings	hoʻomaka	0.837	0.527	0.600
begrudge	kūleʻa	0.177	0.731	0.377
begun	hoʻomaka	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	hana	0.677	0.363	0.747
behavior	ke kūlana	0.594	0.442	0.813
behavioral	hana	0.612	0.440	0.708
behemoth	behemota	0.583	0.781	0.853
behest	e	0.602	0.350	0.720
behold	aia hoʻi	0.610	0.284	0.449
beholden	aia hoʻi	0.296	0.555	0.212
beholder	nana	0.714	0.491	0.520
beige	beige	0.490	0.222	0.224
belated	e pili ana	0.240	0.400	0.214
belay	belay	0.500	0.472	0.702
belch	kālepa	0.194	0.562	0.240
belief	manaʻoʻiʻo	0.896	0.375	0.656
believable	manaʻoʻiʻo	0.866	0.390	0.676
believe	e manaʻoʻiʻo	0.781	0.370	0.682
believed	ua manaʻoʻiʻo	0.500	0.562	0.547
believer	manaoio	0.725	0.445	0.564
believing	manaʻoʻiʻo	0.870	0.418	0.833
belittle	ke kuhi	0.122	0.417	0.250
belittled	ke kuhihewa	0.177	0.392	0.226
bell	bele	0.552	0.510	0.505
bellboy	ke mele	0.542	0.363	0.302
bellhop	ka hui	0.500	0.287	0.318
belligerent	kamaka	0.344	0.680	0.594
bellman	ka mea kani	0.540	0.250	0.371
bellow	ka makani	0.248	0.337	0.212
bellows	ka makani	0.458	0.515	0.429
belly	ka'ōpū	0.510	0.388	0.387
bellybutton	ka'ōpū	0.531	0.283	0.360
bellyful	'ōpū	0.347	0.806	0.519
belong	no	0.643	0.405	0.569
belongings	nā mea	0.592	0.380	0.750
beloved	e alohaʻia	0.969	0.613	0.708
belt	belp	0.541	0.322	0.445
beluga	beluga	0.510	0.333	0.482
bemused	e hoʻonuiʻia	0.281	0.490	0.278
bench	wahi	0.571	0.289	0.544
bend	e kūlou	0.571	0.324	0.368
bender	kūkā	0.490	0.510	0.466
bending	kūlou	0.448	0.565	0.455
beneath	lalo	0.354	0.173	0.233
benedictory	Halehonua	0.677	0.438	0.481
benefactor	lokomaikaʻi	0.833	0.578	0.755
beneficial	pono	0.820	0.579	0.703
beneficiary	nā mea kōkua	0.776	0.399	0.616
benefit	pōmaikaʻi	0.906	0.422	0.806
benevolence	maikaʻi	0.786	0.340	0.717
benevolent	maikaʻi	0.786	0.407	0.651
benign	kauā	0.694	0.440	0.509
bent	kūlou	0.375	0.453	0.298
benzene	Benzene	0.439	0.459	0.403
bequeath	e hoʻomaha	0.743	0.500	0.741
bequest	ʻOiwi	0.661	0.398	0.882
bereaved	ua kanikau	0.104	0.479	0.221
bereavement	ke kaumaha	0.265	0.677	0.500
bereft	ua hoʻomaka	0.229	0.490	0.336
beret	beret	0.542	0.240	0.327
bergamot	ka bergamot	0.510	0.365	0.339
berlin	ka pele	0.592	0.423	0.571
berserk	berserk	0.398	0.556	0.480
berth	ke hoʻomoe	0.295	0.337	0.596
beryllium	beryllium	0.417	0.412	0.425
beseech	noi	0.330	0.441	0.600
beset	hoʻopilikiaʻia	0.385	0.717	0.317
bestdayever	hihihihihihi	0.760	0.646	0.593
bestfeeling	maikaʻi loa	0.806	0.509	0.625
bestfriends	hoapili	0.934	0.662	0.647
bestial	maikaʻi	0.260	0.761	0.674
besties	maikaʻi	0.888	0.509	0.614
bestow	hāʻawi	0.656	0.560	0.642
bestseller	makaikai	0.771	0.643	0.700
bet	pā	0.385	0.698	0.432
beta	beta	0.710	0.370	0.439
betray	ke kumakaia	0.042	0.870	0.536
betrayal	ke kumakaia	0.083	0.719	0.418
betrayed	e kumakaia	0.122	0.769	0.308
betrothed	hoʻopiʻiʻia	0.833	0.630	0.667
betterment	maikaʻi	0.898	0.536	0.769
betting	kūkala	0.237	0.804	0.411
betty	maikaʻi	0.542	0.358	0.381
bevel	bevel	0.757	0.406	0.454
beverage	ka mea inu	0.635	0.490	0.389
bevy	bevy	0.429	0.460	0.541
beware	e makaala	0.151	0.596	0.518
bewilder	make	0.306	0.571	0.289
bewildered	e hoʻopiliʻia	0.230	0.630	0.300
bewilderment	haʻalulu	0.312	0.716	0.216
bias	ʻike	0.400	0.370	0.541
biased	makemakeʻia	0.271	0.302	0.368
bib	ʻike	0.385	0.396	0.339
bible	Bible	0.719	0.225	0.726
biblical	ʻO ke Bible	0.635	0.304	0.712
bibliography	nā hua'ōlelo	0.622	0.204	0.528
bicarbonate	ke kīʻaha	0.479	0.337	0.438
bicentennial	bicentennial	0.541	0.423	0.507
biceps	nā biceps	0.592	0.588	0.602
bicker	bicker	0.143	0.643	0.552
bickering	nā hakakā	0.122	0.800	0.536
bicolor	bicolor	0.580	0.327	0.404
bicycle	ke kaʻa	0.708	0.519	0.425
bid	haʻi	0.760	0.530	0.655
bidder	ka mea koho	0.465	0.474	0.433
bidding	kūkā	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	makahiki hoʻomaha	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	ka bifurcation	0.385	0.625	0.352
big	nui	0.802	0.588	0.812
bigamy	maikaʻi	0.327	0.696	0.482
bigday	nui	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	nui	0.531	0.481	0.500
bighorn	nui	0.480	0.547	0.580
bigmouth	nuimouth	0.417	0.577	0.430
bigot	nui	0.479	0.745	0.517
bigoted	nui	0.153	0.760	0.462
bigotry	nui	0.356	0.737	0.481
bike	kekeke	0.708	0.500	0.333
biker	biker	0.604	0.710	0.567
bikini	bikini	0.730	0.639	0.353
bilateral	ʻO ka pilina	0.633	0.343	0.491
bilayer	bilayer	0.438	0.398	0.388
bile	bile	0.157	0.461	0.324
bilge	e ala	0.316	0.392	0.412
bilingual	'ōleloʻelua	0.735	0.490	0.606
bill	ka pānui	0.396	0.402	0.535
billboard	pilalapala	0.594	0.317	0.481
billet	palapala	0.479	0.583	0.500
billiard	Billiard	0.719	0.616	0.543
billiards	bila bila	0.643	0.559	0.387
billing	ka hoʻokaeʻana	0.406	0.481	0.670
billion	piliona	0.719	0.564	0.782
billionaire	piliona	0.806	0.667	0.923
billy	ka uku	0.490	0.397	0.375
bimbo	bima	0.396	0.370	0.300
bimonthly	pīpī	0.408	0.298	0.471
bin	pā	0.422	0.304	0.327
binary	pila	0.490	0.356	0.420
bind	kau	0.398	0.462	0.448
binder	lili	0.438	0.250	0.308
bindery	kāwili	0.548	0.388	0.482
binding	paʻa	0.438	0.425	0.640
bing	bing	0.573	0.453	0.415
binge	e	0.304	0.650	0.500
bingo	bingo	0.735	0.667	0.429
binocular	binocular	0.531	0.344	0.426
binoculars	nā mea ala	0.490	0.309	0.411
binomial	binomial	0.600	0.406	0.426
bio	ola	0.612	0.225	0.490
biochemical	nā mea kanu lāʻau	0.367	0.481	0.618
biochemist	ka mea kanu lāʻau	0.471	0.449	0.717
biochemistry	nā mea kanu lāʻau	0.552	0.531	0.596
biogenesis	nā mea kanu	0.594	0.442	0.697
biographer	ka mea hoʻopuka puke	0.708	0.427	0.617
biography	ʻike wikiō	0.698	0.229	0.718
biological	ke ola honua	0.590	0.410	0.615
biologist	ola honua	0.625	0.453	0.693
biology	ke koloʻo	0.479	0.274	0.546
bionic	nā bionic	0.571	0.570	0.788
biopsy	nā lāʻau kanu	0.323	0.657	0.481
biosphere	ke ola	0.684	0.351	0.579
bipartite	ka pōpō	0.365	0.480	0.464
bipolar	bipolar	0.208	0.685	0.426
birch	birch	0.562	0.346	0.382
bird	manu	0.729	0.357	0.364
birdcage	manu manu	0.480	0.398	0.318
birdie	manuie	0.594	0.394	0.407
birdman	kanaka manu	0.490	0.567	0.604
birth	hānau	0.896	0.655	0.536
birthday	lā hānau	0.969	0.844	0.575
birthing	kekahi mea	0.796	0.877	0.519
birthmark	hānau hānau	0.630	0.461	0.500
birthplace	kahi hānau	0.781	0.290	0.491
birthright	ke kūlana hānau	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	pīkiki	0.888	0.260	0.231
bisexual	bisexual	0.438	0.765	0.459
bishop	bishop	0.594	0.184	0.725
bison	bison	0.573	0.433	0.557
bisque	ka bisiki	0.693	0.443	0.312
bistro	bistro	0.594	0.472	0.396
bit	bit	0.427	0.310	0.225
bitch	bitch	0.276	0.740	0.343
bitchy	pākī	0.188	0.700	0.373
bite	hoʻopau	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	maikaʻi	0.510	0.388	0.382
bitter	ʻawaʻawa	0.218	0.627	0.411
bitterly	eha	0.194	0.685	0.362
bitterness	ʻawaʻawa	0.115	0.633	0.270
bittersweet	hoʻoponopono	0.469	0.569	0.474
bitty	nui	0.469	0.271	0.257
bitumen	bitumen	0.375	0.235	0.307
biweekly	biweekly	0.581	0.337	0.455
biz	biz	0.500	0.473	0.473
bizarre	nui	0.379	0.620	0.392
blab	pale	0.438	0.425	0.353
blabbermouth	blabbermouth	0.323	0.640	0.422
black	ʻeleʻele	0.326	0.339	0.390
black snake	snakeʻeleʻele	0.104	0.860	0.612
blackberry	blackberry	0.667	0.413	0.453
blackbird	ʻeleʻele	0.520	0.340	0.405
blackboard	papa pāʻani	0.469	0.255	0.287
blacken	ʻeleʻele	0.208	0.500	0.228
blackface	ʻeleʻele	0.302	0.490	0.441
blackjack	pōkole	0.419	0.679	0.452
blacklist	blacklist	0.133	0.750	0.396
blackmail	ka hōʻailona	0.094	0.802	0.482
blackmailer	blackmailer	0.092	0.780	0.472
blackness	ʻeleʻele	0.260	0.480	0.406
blackout	pōpō	0.126	0.530	0.349
blacksmith	makamae	0.480	0.531	0.702
bladder	hua'ōlelo	0.406	0.412	0.330
blade	maka	0.378	0.602	0.594
blame	hewa	0.115	0.640	0.309
blameless	halaʻole	0.759	0.196	0.343
bland	hoʻopili	0.300	0.226	0.157
blank	pākuʻi	0.531	0.229	0.250
blanket	ka pākeke	0.740	0.132	0.391
blare	maikaʻi	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	'ōlelo hōʻino	0.210	0.755	0.491
blasphemy	'ōlelo hōʻino	0.146	0.794	0.406
blast	'ō'ō	0.167	0.929	0.777
blaster	blaster	0.459	0.538	0.554
blastoff	ka makani	0.357	0.865	0.736
blatant	kūkala	0.327	0.677	0.675
blather	kekahi	0.344	0.481	0.382
blaze	pale	0.698	0.467	0.658
blazer	blazer	0.635	0.385	0.417
blazing	ke ahi	0.594	0.896	0.735
bleach	pākile	0.336	0.282	0.337
bleak	hōʻino	0.204	0.427	0.272
bleed	ua heʻe ka wai	0.041	0.843	0.346
bleeder	kahuna nui	0.260	0.852	0.356
bleeding	kaheʻana	0.135	0.817	0.408
bleep	pākī	0.479	0.667	0.345
blemish	hala kīnā	0.219	0.558	0.272
blemished	kūleʻa	0.173	0.469	0.370
blend	hui pū	0.469	0.452	0.463
blender	blender	0.602	0.534	0.351
blending	Hoʻohui	0.560	0.418	0.637
bless	hoʻomaikaʻi	0.929	0.269	0.588
blessed	pōmaikaʻi	0.910	0.279	0.696
blessing	pōmaikaʻi	0.929	0.264	0.800
blessings	pōmaikaʻi	0.929	0.361	0.623
bleu	Blueu	0.460	0.354	0.379
blight	nā hua'ōlelo	0.271	0.771	0.429
blighted	ua pōʻino	0.146	0.615	0.296
blimp	blimp	0.600	0.410	0.532
blind	makapō	0.156	0.360	0.184
blinded	ua makapō	0.245	0.471	0.231
blindfold	ʻO ka maka	0.448	0.684	0.337
blindfolded	i uhiʻia nā maka	0.208	0.564	0.209
blinding	makapō	0.304	0.596	0.406
blindly	makapō	0.439	0.598	0.278
blindness	makapō	0.245	0.480	0.196
blink	e hoʻokuʻi	0.552	0.316	0.324
blip	pōpō	0.529	0.461	0.418
bliss	pōmaikaʻi	0.816	0.500	0.782
blissful	pōmaikaʻi	0.885	0.639	0.676
blister	pōkole	0.407	0.538	0.402
blistering	pōpū	0.344	0.569	0.390
blitz	maikaʻi	0.417	0.722	0.789
blizzard	ka hua	0.375	0.726	0.417
bloat	e pā	0.229	0.694	0.298
bloated	pau	0.167	0.593	0.424
blob	pā	0.500	0.376	0.298
block	i ka pō	0.286	0.350	0.402
blockade	ke kāohi	0.380	0.519	0.510
blockage	ka paʻi	0.250	0.608	0.444
blockbuster	ka pahuhopu	0.730	0.676	0.883
blockhead	ke poʻo	0.163	0.333	0.148
blog	blog	0.639	0.390	0.432
bloke	bloke	0.450	0.479	0.545
blond	polina	0.590	0.490	0.490
blonde	polina	0.698	0.545	0.412
blood	ke koko	0.219	0.684	0.585
bloodbath	ke koko	0.060	0.971	0.475
bloodhound	ke koko	0.327	0.462	0.538
bloodless	kokoʻole	0.292	0.390	0.212
bloodline	ke koko	0.510	0.657	0.604
bloodshed	i ke koko	0.048	0.942	0.525
bloodshot	i ke koko	0.188	0.810	0.482
bloodstream	ke koko	0.552	0.530	0.528
bloodthirsty	ke koko	0.052	0.804	0.644
bloody	koko	0.031	0.910	0.518
bloom	pua	0.816	0.453	0.587
bloomers	nā pua	0.521	0.587	0.395
blooming	ke pua	0.860	0.452	0.593
blossom	pua	0.792	0.275	0.309
blot	holoi	0.365	0.304	0.223
blotched	holoiʻia	0.133	0.562	0.264
blotter	e holoi	0.360	0.298	0.280
blouse	ke kapa	0.580	0.190	0.302
blow	pā	0.316	0.750	0.570
blower	pupuhi	0.564	0.550	0.536
blowfish	ka pahu	0.344	0.420	0.389
blowing	pākī	0.521	0.472	0.434
blowjob	hiho	0.460	0.784	0.387
blown	puhi	0.333	0.548	0.412
blowout	ke anu	0.398	0.792	0.616
blowtorch	blowtorch	0.520	0.730	0.510
blubber	pōpō	0.388	0.260	0.360
bluddy	nā meaʻokoʻa	0.312	0.528	0.442
blue	polū	0.646	0.137	0.291
blue spruce	polu polu	0.559	0.335	0.364
blueberry	uhie	0.656	0.185	0.365
bluebird	bluebird	0.573	0.350	0.450
bluegrass	nā mea uliuli	0.573	0.441	0.395
bluejay	bluejay	0.635	0.520	0.310
blueprint	papa kuhikuhi	0.490	0.173	0.425
blues	nā blues	0.469	0.220	0.287
bluff	bluff	0.418	0.286	0.377
bluish	bluish	0.604	0.245	0.382
blunder	pōʻino	0.135	0.635	0.145
blunt	kūleʻa	0.551	0.680	0.925
blur	pale	0.268	0.471	0.205
blurred	ua pōʻino	0.320	0.367	0.231
blurry	pōpō	0.059	0.385	0.218
blurt	kūpū	0.408	0.439	0.441
blush	e hoʻonā	0.698	0.610	0.445
