Word	Corsican-co	Valence	Arousal	Dominance
chastened	chastened	0.156	0.580	0.345
chastisement	chastisement	0.156	0.852	0.462
chastity	casteddi	0.469	0.392	0.509
chat	chat	0.729	0.400	0.346
chateau	castello	0.615	0.464	0.702
chatter	chatter	0.560	0.450	0.347
chatterbox	chatterbox	0.459	0.548	0.482
chattering	parlà	0.460	0.663	0.304
chatty	chatty	0.594	0.548	0.345
chauffeur	chauffeur	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	prezzu	0.612	0.471	0.272
cheapened	abbia	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	tramuntana	0.125	0.776	0.400
cheater	cheater	0.104	0.920	0.333
check	verificà	0.523	0.552	0.602
checkbook	chjappi	0.552	0.284	0.364
checker	cuntrollu	0.330	0.417	0.553
checkered	cuntrolla	0.459	0.316	0.336
checkers	cuntrolli	0.676	0.451	0.437
checklist	lista di verificatu	0.561	0.521	0.552
checkmate	cumpatatu	0.667	0.708	0.750
checkout	cuntrolla	0.597	0.510	0.670
checkpoint	puntu di cuntrollu	0.571	0.323	0.812
checkup	verificatu	0.500	0.435	0.491
cheek	u mastru	0.670	0.314	0.421
cheeks	guderdi	0.708	0.324	0.282
cheeky	chjucu	0.434	0.679	0.410
cheep	cheep	0.367	0.380	0.373
cheer	animu	0.938	0.784	0.845
cheered	vuleva	0.875	0.648	0.790
cheerful	allegru	0.990	0.720	0.696
cheerfulness	felicità	0.969	0.802	0.675
cheering	vitture	0.815	0.824	0.642
cheerleader	cheerleader	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	senza parolle	0.204	0.373	0.167
cheers	A salute	0.948	0.770	0.702
cheery	cheery	0.949	0.657	0.486
cheese	furmagliu	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	cursu	0.470	0.471	0.179
cheetah	guepardo	0.469	0.770	0.667
chef	chef	0.854	0.411	0.570
chemical	chimica	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	chimicu	0.408	0.575	0.610
chemistry	chimica	0.625	0.520	0.694
chemo	chimucal	0.214	0.686	0.444
chemotherapy	quimioterapia	0.163	0.689	0.517
cheque	verificà	0.698	0.529	0.660
cherish	cherish	0.896	0.491	0.652
cherishing	cherishing	0.836	0.380	0.625
cherry	ciliegia	0.688	0.186	0.250
cherub	cherub	0.663	0.340	0.455
chess	ajessatu	0.656	0.363	0.518
chest	pettu	0.520	0.429	0.481
chestnut	castagnina	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	curariti	0.520	0.490	0.404
chewy	mastru	0.625	0.418	0.390
chic	chic	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	pulcino	0.771	0.602	0.387
chicken	puddastra	0.594	0.306	0.394
chicken pox	varicella	0.194	0.510	0.415
chickenpox	varicella	0.173	0.562	0.357
chief	capu	0.520	0.544	0.869
chiefly	principalmenti	0.600	0.587	0.764
chieftain	capu	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	zitellu	0.912	0.460	0.413
childbirth	pieno	0.604	0.861	0.673
childhood	zitiddina	0.865	0.413	0.307
childish	infantil	0.573	0.442	0.230
childless	senza zitellu	0.310	0.400	0.396
childlike	figghiu figghiu	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	i zitelli	0.857	0.538	0.435
chili	chili	0.592	0.566	0.433
chill	chill	0.837	0.206	0.482
chilled	chilled	0.521	0.340	0.482
chilling	chilling	0.208	0.850	0.358
chilly	chilly	0.329	0.459	0.408
chime	chime	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	campane	0.625	0.490	0.402
chimney	cammisa	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	chimpanzee	0.500	0.633	0.387
chin	Chin	0.571	0.310	0.269
china	china	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	chip	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	cicciottu	0.418	0.588	0.500
chipping	chipping	0.354	0.452	0.353
chiropractor	chiropraviu	0.420	0.549	0.651
chirp	chirp	0.469	0.602	0.365
chirping	chirping	0.500	0.463	0.360
chisel	cincel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	chitchat	0.673	0.455	0.403
chivalry	chivalrie	0.857	0.380	0.848
chloride	chloride	0.265	0.387	0.474
chlorine	chlorine	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	Chocolate	0.885	0.480	0.418
choice	scelta	0.745	0.520	0.664
choir	coru	0.704	0.298	0.473
choke	choke	0.167	0.788	0.676
cholera	colerà	0.020	0.867	0.507
cholesterol	colesterol	0.198	0.583	0.398
choose	sceglie	0.615	0.542	0.648
choosing	sceglie	0.719	0.529	0.689
choosy	choosy	0.280	0.760	0.712
chop	chop	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	tagliatu	0.560	0.625	0.362
chops	chuletoni	0.612	0.420	0.269
choral	cororal	0.852	0.290	0.421
chord	chord	0.729	0.394	0.539
chords	accordi	0.639	0.406	0.388
chore	cori	0.406	0.462	0.500
choreographer	coreista	0.646	0.639	0.625
choreography	coreografia	0.812	0.750	0.547
chorus	chœur	0.620	0.417	0.500
chosen	sceltu	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	pesce	0.510	0.324	0.241
christ	Cristu	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	christening	0.725	0.382	0.650
christian	cristiana	0.760	0.241	0.591
christmas	Natale	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	christmastime	0.837	0.588	0.515
chromatic	cromatica	0.407	0.413	0.435
chromatography	cromatografia	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	cromu	0.458	0.404	0.447
chromosome	cromusomu	0.500	0.296	0.548
chronic	cronica	0.255	0.615	0.464
chronicle	cronica	0.427	0.571	0.586
chronograph	cronu di	0.500	0.392	0.529
chronological	cronulogica	0.594	0.445	0.600
chubby	chubby	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	ricchizza	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	chunk	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	chiesa	0.708	0.198	0.610
churchyard	chjesa	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	sidru	0.530	0.346	0.398
cigar	cigar	0.306	0.463	0.346
cigarette	cigarette	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	cinema	0.698	0.538	0.500
cinematic	cinematic	0.663	0.490	0.600
cinematographer	cinematographer	0.792	0.455	0.711
cinematography	cinematografia	0.781	0.571	0.625
cinnamon	cannella	0.600	0.250	0.292
cipher	cifra	0.490	0.414	0.500
circle	circhiu	0.480	0.290	0.343
circling	circunna	0.510	0.654	0.336
circuit	circuitu	0.586	0.461	0.707
circuitry	circuitu	0.596	0.615	0.536
circular	circular	0.562	0.342	0.417
circulate	Circulate	0.612	0.388	0.320
circulation	circulazione	0.735	0.520	0.657
circulatory	circulatori	0.592	0.575	0.545
circumcision	circuncisioni	0.327	0.657	0.528
circumference	circunfirenza	0.458	0.255	0.488
circumferential	circumferential	0.551	0.422	0.509
circumscribed	circumscrittu	0.365	0.539	0.569
circumstance	circustanza	0.520	0.565	0.596
circumstances	circustanze	0.562	0.527	0.464
circumstantial	circunstancial	0.500	0.538	0.519
circumvent	circonda	0.316	0.642	0.383
circumvention	l 'avvintazione	0.531	0.571	0.473
circus	circus	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirrusisimu	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	cisterna	0.541	0.413	0.432
citadel	citadella	0.585	0.464	0.602
citation	citazione	0.570	0.549	0.508
cite	cite	0.625	0.454	0.532
citizen	citadinu	0.631	0.250	0.586
citizenship	a citadinanza	0.786	0.404	0.723
citrine	citrinu	0.375	0.400	0.420
citrus	agrumi	0.469	0.368	0.375
city	cità	0.847	0.531	0.508
citywide	cità	0.592	0.509	0.707
civic	civic	0.653	0.240	0.573
civics	civics	0.700	0.279	0.720
civil	civili	0.521	0.281	0.517
civilian	civili	0.700	0.229	0.598
civilians	civili	0.490	0.448	0.525
civility	civirtà	0.760	0.306	0.679
civilization	civilizazione	0.823	0.452	0.839
civilized	civilizzatu	0.792	0.231	0.796
clad	vistutu	0.583	0.373	0.481
claim	sustene	0.255	0.760	0.473
claimant	riclamà	0.271	0.690	0.779
clairvoyant	clarividente	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	scrusciu	0.438	0.643	0.360
clamp	clamp	0.541	0.388	0.454
clan	clan	0.562	0.491	0.686
clandestine	clandistini	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	clap	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	battimani	0.823	0.894	0.686
clarification	esicuzzioni	0.802	0.461	0.613
clarify	esclare	0.652	0.535	0.625
clarinet	clarinetto	0.592	0.453	0.411
clarion	clarion	0.500	0.443	0.422
clarity	sicura	0.796	0.310	0.631
clash	scontru	0.293	0.918	0.453
clashing	scontru	0.177	0.764	0.575
clasp	clasp	0.448	0.375	0.241
class	class	0.656	0.314	0.522
classic	classicu	0.690	0.260	0.611
classic rock	roccia classica	0.729	0.571	0.588
classical	classica	0.643	0.198	0.536
classics	classichi	0.750	0.333	0.510
classification	classificazione	0.583	0.423	0.613
classified	classificatu	0.571	0.460	0.663
classify	classificà	0.646	0.411	0.720
classmate	cumpagnu di scola	0.781	0.400	0.593
classroom	aula	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	chjappa	0.418	0.820	0.387
clause	clause	0.480	0.409	0.528
clauses	clausi	0.449	0.429	0.545
claustrophobia	claustrofobia	0.125	0.840	0.333
claustrophobic	claustrofobia	0.092	0.755	0.400
clavicle	clavicule	0.398	0.400	0.452
claw	gattu	0.260	0.600	0.598
claws	arraggiati	0.281	0.698	0.562
clay	arcuni	0.542	0.250	0.267
clean	pulita	0.827	0.170	0.500
cleaner	puliti	0.604	0.556	0.375
cleaning	pulizia	0.595	0.396	0.427
cleanliness	pulizziari	0.816	0.363	0.609
cleanly	pulita	0.823	0.352	0.583
cleanse	pulizziari	0.625	0.310	0.660
cleanser	cleanser	0.604	0.353	0.433
cleansing	purificazione	0.729	0.298	0.472
cleanup	pulì	0.729	0.314	0.451
clear	claramente	0.857	0.327	0.573
clearance	azione	0.542	0.459	0.473
clearing	abbastanza	0.680	0.333	0.509
clearness	clarità	0.875	0.316	0.689
cleat	cleat	0.486	0.260	0.361
cleavage	split	0.542	0.602	0.454
cleave	ciacca	0.296	0.545	0.389
cleaver	cleaver	0.240	0.627	0.434
clef	clef	0.615	0.360	0.595
cleft	cleft	0.306	0.442	0.360
clemency	clemenza	0.594	0.417	0.397
clench	clench	0.438	0.618	0.580
clergy	cleru	0.531	0.312	0.575
clergyman	cleru	0.594	0.330	0.556
cleric	cleric	0.521	0.324	0.589
clerical	clerical	0.520	0.396	0.491
clerk	misticu	0.500	0.579	0.509
clerkship	abbrivimentu	0.582	0.380	0.596
clever	intelligente	0.896	0.353	0.729
cleverness	intelligenza	0.878	0.509	0.921
click	cliccate	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	cliente	0.583	0.450	0.618
clientele	a clientella	0.625	0.577	0.508
cliff	scogliu	0.361	0.620	0.509
climate	clima	0.635	0.240	0.483
climatology	climatologia	0.531	0.367	0.541
climax	climax	0.735	0.853	0.667
climb	scavalca	0.615	0.660	0.604
climber	scalatore	0.573	0.716	0.735
clinch	scherzu	0.469	0.538	0.430
cling	arraggiari	0.417	0.620	0.588
clingy	misericordia	0.224	0.460	0.370
clinic	clinica	0.469	0.439	0.600
clinical	clinica	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	clip	0.438	0.310	0.381
clipboard	u clipboard	0.594	0.255	0.423
clipper	clipper	0.293	0.422	0.383
clipping	clipping	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	mantellu	0.469	0.188	0.333
cloaking	cloaking	0.521	0.595	0.389
cloakroom	a robba	0.690	0.254	0.397
clobber	ubligatoriu	0.396	0.578	0.464
clock	u clock	0.677	0.173	0.407
clockwork	travagliu di schernu	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	clog	0.104	0.618	0.454
cloister	cloister	0.438	0.413	0.475
clone	clone	0.406	0.471	0.524
cloning	clunazzioni	0.216	0.696	0.679
close	vicinu	0.292	0.260	0.263
closed	chjusu	0.240	0.164	0.318
closeness	a vicinanza	0.796	0.237	0.450
closet	armaleddu	0.531	0.204	0.330
closure	pècura	0.229	0.220	0.412
clot	clot	0.150	0.558	0.275
cloth	tùnica	0.510	0.190	0.287
clothe	vistutu	0.797	0.330	0.481
clothes	vistimenti	0.833	0.270	0.414
clothesline	tela	0.582	0.324	0.366
clothing	vistimentu	0.750	0.343	0.407
cloud	nuvola	0.740	0.133	0.342
clouded	nìmula	0.240	0.213	0.302
cloudiness	nuvità	0.469	0.250	0.343
clouds	nuvuli	0.735	0.195	0.324
cloudy	nuvole	0.281	0.280	0.202
clout	pensamentu	0.584	0.636	0.704
clove	u crava	0.439	0.296	0.315
clover	clover	0.605	0.340	0.364
cloves	craci	0.427	0.218	0.396
clown	clown	0.650	0.598	0.300
clowns	pagliacci	0.600	0.673	0.391
club	club	0.646	0.618	0.393
clubhouse	clubhouse	0.694	0.571	0.493
clubs	i clubs	0.723	0.530	0.591
cluck	chjappu	0.390	0.490	0.353
clue	clue	0.653	0.380	0.412
clueless	micca disprezzu	0.350	0.333	0.161
clump	clump	0.551	0.480	0.582
clumsy	bagnu	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	cluster	0.490	0.458	0.446
clutch	embrague	0.383	0.500	0.491
clutches	imbullette	0.542	0.373	0.528
clutter	inutore	0.135	0.598	0.400
coach	coach	0.633	0.823	0.735
coachman	coachman	0.479	0.394	0.509
coagulation	coagulation	0.381	0.558	0.436
coal	carbone	0.360	0.241	0.340
coalesce	cungiusce	0.479	0.434	0.529
coalition	a coalition	0.490	0.730	0.673
coarse	brutale	0.333	0.481	0.481
coast	costa	0.719	0.396	0.458
coastal	custiera	0.604	0.370	0.510
coaster	munita	0.612	0.788	0.627
coastline	costa	0.745	0.282	0.441
coat	giacca	0.677	0.256	0.464
coating	u revestimentu	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	cobalt	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	cobbler	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	cocaine	0.156	0.840	0.373
cock	cazzo	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	cockpit	0.520	0.424	0.343
cockroach	cuccagna	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	cocktail	0.740	0.480	0.381
cocky	arraggiatu	0.260	0.784	0.519
cocoa	cacao	0.776	0.255	0.322
coconut	coccu	0.622	0.265	0.227
cocoon	capucu	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	codice	0.583	0.308	0.491
codeine	codeine	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	codificazione	0.448	0.400	0.698
codify	codificà	0.448	0.410	0.679
coding	codificazione	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	coefficient	0.677	0.415	0.702
coerce	cumbattimentu	0.260	0.741	0.517
coercion	curazioni	0.330	0.708	0.577
coercive	coercitivu	0.479	0.670	0.506
coexist	coexist	0.708	0.460	0.536
coexistence	esse attese	0.588	0.472	0.638
coexisting	cunisciiscenu	0.551	0.349	0.648
coffee	caffè	0.823	0.418	0.309
coffee table	tavola	0.720	0.339	0.295
coffeehouse	cafeehouse	0.694	0.357	0.307
coffeepot	caffè	0.760	0.333	0.312
coffin	casottu	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	cogent	0.765	0.479	0.836
cognac	cognac	0.615	0.510	0.430
cognate	cunnini	0.615	0.350	0.398
cognition	a cugnizzioni	0.635	0.344	0.706
cognitive	cugnitivi	0.513	0.401	0.634
cohabitation	a cunvivimentu	0.646	0.526	0.598
coherence	coherenza	0.720	0.406	0.788
coherent	coherent	0.698	0.281	0.500
cohesion	a cuesione	0.604	0.536	0.555
cohesive	cohesive	0.531	0.470	0.603
cohort	cohort	0.459	0.551	0.566
coil	bobina	0.448	0.343	0.298
coiled	culurita	0.378	0.518	0.389
coin	munita	0.677	0.574	0.445
coinage	munita	0.500	0.400	0.545
coincide	coincide	0.635	0.490	0.593
coincidence	a cunccidenza	0.612	0.450	0.518
coincident	accunsintutu	0.562	0.385	0.602
coincidental	a cuincidenza	0.646	0.481	0.337
coinciding	coincide	0.673	0.373	0.623
coke	coke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	friddi	0.398	0.538	0.348
coldly	friddu	0.365	0.358	0.407
coldness	frizza	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	coliseum	0.612	0.663	0.704
collaborate	cullabbura	0.816	0.449	0.559
collaboration	cullaburazione	0.885	0.628	0.741
collaborator	collaboratore	0.729	0.320	0.769
collage	collage	0.680	0.321	0.375
collagen	collagen	0.541	0.245	0.450
collapse	culleghju	0.208	0.689	0.342
collar	collar	0.656	0.442	0.446
collarbone	collarbone	0.420	0.427	0.306
collate	cunta	0.438	0.448	0.580
collateral	colateral	0.531	0.422	0.717
collation	a colacionazione	0.520	0.333	0.508
colleague	cullega	0.740	0.413	0.600
collect	racogli	0.635	0.481	0.491
collected	cullittatu	0.570	0.402	0.588
collection	cullezzione	0.725	0.311	0.588
collective	cullettivu	0.583	0.458	0.698
collectively	colettori	0.817	0.573	0.533
collector	colector	0.552	0.481	0.648
college	università	0.700	0.467	0.746
collegiate	collegiata	0.592	0.461	0.678
collide	chjucheghja	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	colisazione	0.245	0.848	0.585
collocation	colocation	0.637	0.360	0.594
colloquial	coloquial	0.604	0.363	0.368
collusion	cunvinzione	0.365	0.510	0.400
cologne	cologne	0.677	0.413	0.552
colon	colon	0.449	0.394	0.384
colonel	culuneddu	0.459	0.592	0.890
colonial	culuniali	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	colonoscopy	0.208	0.524	0.466
colony	culunia	0.716	0.353	0.593
colophon	colofonu	0.500	0.408	0.385
color	culore	0.786	0.280	0.402
coloration	culori	0.541	0.520	0.443
colored	culurata	0.806	0.317	0.275
colorful	culurita	0.850	0.520	0.519
coloring	dipinci	0.781	0.469	0.353
colorless	culpulu	0.354	0.340	0.250
colors	culori	0.875	0.349	0.340
colossal	colosale	0.698	0.692	0.900
colt	colt	0.561	0.587	0.543
columbine	columbine	0.520	0.521	0.407
column	culonna	0.480	0.250	0.670
columnar	culuneddu	0.448	0.340	0.491
columnist	columnist	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	coma	0.219	0.255	0.302
comatose	comatose	0.143	0.438	0.433
comb	pente	0.490	0.123	0.268
combat	cummattimentu	0.302	0.846	0.833
combatant	cummuventi	0.531	0.853	0.780
combative	cummattiri	0.381	0.690	0.816
combination	cumminazzioni	0.708	0.480	0.726
combinatorial	combinatoriu	0.561	0.436	0.428
combine	mischjà	0.663	0.442	0.533
combined	cumminatu	0.622	0.370	0.500
combo	combo	0.698	0.439	0.453
combustible	combustible	0.386	0.650	0.750
combustion	combustion	0.457	0.807	0.591
come	vene	0.529	0.269	0.558
comeback	ritornu	0.580	0.409	0.555
comedian	cummedienti	0.812	0.735	0.598
comedy	cummedia	0.918	0.555	0.490
comet	cometi	0.704	0.679	0.471
comfort	cunfortu	0.863	0.231	0.670
comfortable	cunfurmate	0.927	0.163	0.473
comforter	cunfortu	0.618	0.275	0.302
comforting	cunsulazione	0.906	0.337	0.620
comfy	comfy	0.930	0.241	0.625
comic	comic	0.917	0.459	0.387
comical	comicu	0.844	0.737	0.327
comics	comicci	0.690	0.556	0.384
coming	avvicinà	0.653	0.417	0.500
comma	comma	0.344	0.269	0.242
command	cumannu	0.427	0.790	0.849
commandant	cumannanti	0.622	0.700	0.943
commandeer	commandeer	0.552	0.639	0.931
commander	cumannanti	0.531	0.615	0.906
commanding	cumandanti	0.562	0.664	0.925
commandment	u cumandamentu	0.656	0.490	0.876
commando	cummandu	0.323	0.710	0.817
commemorate	commémorate	0.812	0.602	0.636
commemoration	cummemorazione	0.719	0.615	0.754
commemorative	commemorative	0.750	0.438	0.754
commence	cumencia	0.760	0.585	0.741
commend	furtificà	0.906	0.694	0.711
commendable	ricunnisciute	0.786	0.570	0.555
commendation	commemorazione	0.911	0.500	0.639
commensurate	currispunniu	0.610	0.304	0.550
comment	cummentarii	0.667	0.417	0.379
commentary	cummentariu	0.602	0.402	0.446
commentator	commentatore	0.492	0.510	0.607
commerce	cummerciu	0.646	0.500	0.788
commercial	cummerciale	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	cumissariu	0.385	0.500	0.788
commission	cumissioni	0.677	0.480	0.571
commissioner	cummissariu	0.602	0.449	0.949
commit	cumunicari	0.365	0.529	0.491
commitment	impegnu	0.714	0.710	0.843
committal	turnitate	0.472	0.519	0.582
committed	cumpostu	0.710	0.542	0.712
committee	cumitariu	0.592	0.392	0.721
commodity	cummerciu	0.615	0.394	0.537
commodore	commodore	0.427	0.530	0.636
common	cumuni	0.600	0.127	0.318
commoner	cagiunati	0.448	0.365	0.327
commonly	cumunamenti	0.604	0.170	0.574
commonplace	cumunu	0.520	0.337	0.442
commons	cumuni	0.633	0.396	0.623
commonwealth	Commonwealth	0.630	0.406	0.702
commotion	cummossa	0.490	0.700	0.646
communal	cumuna	0.592	0.321	0.556
commune	cumuna	0.500	0.488	0.655
communicable	cumunicativa	0.796	0.491	0.623
communicate	cumunicà	0.823	0.410	0.696
communication	cumunicazione	0.837	0.400	0.649
communicative	cumunicativa	0.847	0.560	0.637
communicator	cumunicaturi	0.573	0.509	0.796
communion	cummunione	0.765	0.357	0.607
communism	cumunismu	0.264	0.570	0.623
communist	cumunista	0.265	0.702	0.632
community	comunità	0.750	0.350	0.659
commutation	cummutazione	0.469	0.431	0.652
commutative	cunghjunta	0.667	0.442	0.569
commute	commute	0.622	0.582	0.565
commuter	commuter	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	compactu	0.458	0.417	0.673
compaction	cumpatizzioni	0.531	0.471	0.582
compactness	a cumpatenza	0.582	0.352	0.454
companion	cumpagnu	0.770	0.377	0.618
companionless	cumpagnu	0.271	0.259	0.200
companionship	cumpagnu	0.833	0.438	0.792
company	cumpagnia	0.906	0.425	0.798
comparable	paragunabbili	0.562	0.443	0.458
comparative	cumparativa	0.470	0.273	0.562
comparatively	cumparativi	0.604	0.391	0.538
compare	paragunate	0.552	0.408	0.524
comparison	paraguni	0.583	0.456	0.492
compartment	compartimentu	0.500	0.389	0.607
compass	compass	0.541	0.307	0.529
compassion	cumpassione	0.735	0.258	0.509
compassionate	cumpassione	0.857	0.404	0.411
compatibility	cumpatibilità	0.816	0.450	0.673
compatible	cumpatibili	0.892	0.387	0.638
compel	u so cumpurtamentu	0.200	0.847	0.625
compelled	custrinciuti	0.333	0.654	0.347
compelling	cose	0.698	0.570	0.870
compendium	cumpendiu	0.610	0.461	0.537
compensate	cumpensà	0.612	0.429	0.762
compensation	cumpensazione	0.775	0.469	0.598
compensatory	cumpensu	0.589	0.490	0.700
compete	cumpete	0.573	0.745	0.786
competence	cumpetenza	0.615	0.802	0.823
competency	cumpetenza	0.768	0.775	0.764
competent	cumpetente	0.865	0.560	0.904
competition	cumpetizione	0.580	0.790	0.798
competitive	cumpetitiva	0.447	0.718	0.908
competitor	cumpetituri	0.612	0.959	0.861
compilation	compilation	0.530	0.512	0.606
compile	cumpilà	0.600	0.413	0.519
complacency	cumpiacenza	0.604	0.503	0.519
complacent	cumpiacenti	0.625	0.452	0.518
complain	lagnosa	0.143	0.682	0.360
complaint	motivazione	0.143	0.606	0.281
complement	cumpensà	0.760	0.277	0.600
complementary	cumplementarii	0.714	0.320	0.586
complete	cumpleta	0.750	0.414	0.809
completed	cumpletu	0.823	0.357	0.777
completely	cumpletu	0.730	0.370	0.690
completeness	cumplette	0.823	0.433	0.769
completing	cumplettenu	0.614	0.500	0.769
completion	cumpritatu	0.656	0.470	0.525
complex	cumplessu	0.388	0.608	0.550
complexed	cumplessu	0.312	0.577	0.612
complexion	piuma	0.521	0.520	0.380
complexity	cumplessità	0.479	0.620	0.595
compliance	u cumpletu	0.750	0.462	0.750
compliant	cumpletu	0.677	0.310	0.519
complicate	cumpone	0.210	0.657	0.404
complicated	cumplessu	0.211	0.660	0.455
complication	cumplimenti	0.365	0.726	0.330
complicity	cumpatenza	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	cumpletu	0.823	0.413	0.435
comply	accunsentiscenu	0.806	0.370	0.638
complying	cumpensà	0.729	0.423	0.590
compo	cumpostu	0.500	0.346	0.390
component	cumpunente	0.531	0.382	0.525
compose	cumpone	0.639	0.432	0.694
composed	cumpostu	0.684	0.385	0.682
composer	cumpusitori	0.822	0.588	0.691
composite	cumposti	0.591	0.459	0.620
composition	cumpusizioni	0.765	0.408	0.652
compost	cumpostu	0.480	0.404	0.441
composure	cumpusizioni	0.802	0.354	0.717
compound	cumpostu	0.635	0.385	0.735
comprehend	capì	0.875	0.365	0.689
comprehension	a capiscenu	0.908	0.387	0.688
comprehensive	cumpletu	0.796	0.385	0.644
compress	cumpressa	0.406	0.412	0.460
compressed	cumpressata	0.323	0.396	0.388
compressible	compressible	0.622	0.392	0.585
compression	cumpressione	0.646	0.521	0.579
compressor	cumpresseur	0.418	0.481	0.630
comprise	comprise	0.839	0.373	0.669
compromise	cumprumissione	0.677	0.520	0.805
comptroller	comptroller	0.402	0.481	0.866
compulsion	compulsione	0.118	0.760	0.604
compulsive	cumpulsivu	0.347	0.871	0.573
compulsory	obligatoriu	0.343	0.541	0.791
computable	computable	0.570	0.402	0.545
computation	cumputizzioni	0.583	0.429	0.697
compute	calculà	0.531	0.408	0.564
computer	computer	0.802	0.356	0.639
computerized	informatizatu	0.677	0.450	0.657
computing	informatica	0.745	0.398	0.695
comrade	cumpagnu	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	a cuncatenazioni	0.480	0.593	0.539
