Word	Telugu-te	Valence	Arousal	Dominance
croissant	croissant	0.745	0.330	0.430
crook	నిజాయతీలేని	0.171	0.765	0.550
crooked	వంకర	0.146	0.594	0.305
crop	పంట	0.615	0.260	0.500
croquet	కర్ర	0.551	0.519	0.407
cross	క్రాస్	0.448	0.321	0.569
cross country	క్రాస్ కంట్రీ	0.531	0.441	0.529
crossbow	క్రాస్బౌ	0.344	0.598	0.560
crossed	దాటింది	0.431	0.490	0.508
crossfire	ఎదురుకాల్పుల్లో	0.316	0.896	0.722
crossing	క్రాసింగ్	0.549	0.349	0.451
crossover	క్రాస్ఓవర్	0.559	0.550	0.500
crosswalk	crosswalk	0.557	0.441	0.380
crossword	క్రాస్వర్డ్	0.611	0.423	0.455
crotch	పంగ	0.521	0.637	0.447
crouch	పొంచి	0.281	0.606	0.312
crouched	వ్యక్తి	0.333	0.363	0.279
crouching	వంగి కూర్చొని	0.261	0.429	0.345
croupier	క్రౌపియర్	0.531	0.519	0.404
crow	కాకి	0.224	0.439	0.363
crowbar	గునపంతో	0.406	0.531	0.386
crowd	ప్రేక్షకులు	0.350	0.827	0.731
crowded	రద్దీ	0.694	0.286	0.585
crowds	సమూహాలు	0.469	0.723	0.806
crown	కిరీటం	0.708	0.572	0.737
crowning	పట్టాభిషేకం	0.773	0.594	0.831
crucial	కీలకమైన	0.541	0.657	0.777
cruciate	క్రూసియేట్	0.429	0.435	0.585
crucifix	క్రుసిఫిక్స్	0.469	0.480	0.510
crucifixion	శిలువ	0.135	0.857	0.541
crucify	అమితంగా	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	ముడి	0.198	0.402	0.357
cruel	క్రూరమైన	0.122	0.866	0.391
cruelly	దంతాలు	0.146	0.790	0.471
cruelty	క్రూరత్వం	0.092	0.836	0.536
cruise	క్రూయిజ్	0.740	0.442	0.683
cruise ship	ప్రయానికుల ఓడ	0.878	0.650	0.500
cruiser	క్రూయిజర్	0.737	0.490	0.608
cruising	క్రూజింగ్	0.886	0.580	0.560
crumb	చిన్న ముక్క	0.417	0.255	0.216
crumble	కృంగిపోవడం	0.333	0.480	0.423
crumbling	నాసిరకం	0.167	0.696	0.308
crummy	crummy	0.125	0.531	0.224
crunch	క్రంచ్	0.292	0.630	0.406
crunchy	crunchy	0.625	0.560	0.539
crusade	క్రూసేడ్	0.592	0.720	0.709
crusader	క్రూసేడర్	0.439	0.588	0.548
crush	ప్రేమను	0.271	0.676	0.582
crushed	చూర్ణం	0.167	0.647	0.300
crusher	క్రషర్	0.271	0.709	0.598
crushing	అణిచివేయడం	0.219	0.755	0.411
crust	క్రస్ట్	0.542	0.337	0.456
crusty	కరకరలాడే	0.625	0.531	0.473
crutch	ఊతకర్ర	0.302	0.294	0.302
crux	ఆయువుపట్టు	0.469	0.558	0.519
cry	క్రై	0.133	0.627	0.255
crybaby	ఏడుపు గొట్టు	0.375	0.702	0.311
crying	ఏడుపు	0.153	0.704	0.208
crypt	గోరీ	0.156	0.431	0.386
cryptic	నిగూఢ	0.296	0.516	0.474
cryptography	గూఢ లిపి శాస్త్రం	0.490	0.415	0.650
crystal	క్రిస్టల్	0.618	0.270	0.508
crystalline	స్ఫటికాకార	0.765	0.235	0.534
crystallization	క్రిస్టలీకరణ	0.600	0.449	0.565
cub	పిల్ల	0.646	0.382	0.284
cubby	చిన్న గది	0.354	0.385	0.360
cube	క్యూబ్	0.469	0.226	0.274
cubic	క్యూబిక్	0.458	0.306	0.407
cubicle	క్యూబికల్	0.479	0.343	0.417
cuckold	cuckold	0.210	0.573	0.230
cuckoo	కోకిల	0.420	0.459	0.284
cucumber	దోసకాయ	0.490	0.235	0.237
cuddle	గట్టిగా కౌగిలించుకొనుట	0.885	0.559	0.475
cuddled	cuddled	0.906	0.547	0.567
cuddles	cuddles	0.847	0.382	0.500
cuddling	cuddling	0.917	0.562	0.433
cue	క్యూ	0.521	0.433	0.484
cuff	కఫ్	0.469	0.453	0.387
cuisine	వంటకాలు	0.714	0.365	0.390
culinary	పాక	0.654	0.443	0.519
cull	కల్	0.365	0.702	0.464
culminate	చివరి దశకు చేరుకుంటున్న	0.667	0.550	0.602
culmination	ఉన్నతస్థితి	0.656	0.586	0.695
culpability	అపరాధం	0.112	0.745	0.368
culpable	దోషపూరిత	0.140	0.700	0.319
culprit	అపరాధి	0.062	0.676	0.333
cult	కల్ట్	0.448	0.535	0.648
cultivate	పండించడం	0.708	0.410	0.598
cultivated	సాగు	0.837	0.343	0.564
cultivation	సాగు	0.625	0.324	0.462
cultural	సాంస్కృతిక	0.802	0.390	0.623
culture	సంస్కృతి	0.753	0.304	0.675
cultured	సంస్కారవంతంగా	0.635	0.429	0.625
culvert	కల్వర్టులు	0.337	0.324	0.343
cumbersome	గజిబిజిగా	0.259	0.623	0.292
cumulus	మేఘ శకలాలు	0.570	0.433	0.432
cunning	మోసపూరిత	0.604	0.685	0.683
cunt	కంట్	0.135	0.673	0.377
cup	కప్	0.615	0.167	0.231
cupboard	అల్మరా	0.553	0.200	0.304
cupcake	కప్ కేక్	0.656	0.333	0.344
cupping	గిన్నె వంటి గుంట అగుట	0.490	0.610	0.402
cur	ప్రస్తు	0.440	0.519	0.460
curable	ఉపశమనం పొందవచ్చు	0.823	0.292	0.574
curate	పూనుకున్నాడు	0.726	0.418	0.526
curative	నివారణ	0.667	0.318	0.613
curator	క్యూరేటర్	0.688	0.389	0.688
curb	కాలిబాటలు	0.472	0.371	0.402
curd	పెరుగుతో	0.542	0.442	0.278
cure	నివారణ	0.719	0.377	0.623
curfew	కర్ఫ్యూ	0.219	0.618	0.623
curiosity	ఉత్సుకత	0.750	0.755	0.463
curious	ఆసక్తికరమైన	0.635	0.600	0.483
curl	కర్ల్	0.385	0.452	0.351
curling	కర్లింగ్	0.583	0.592	0.400
currency	కరెన్సీ	0.583	0.418	0.592
current	ప్రస్తుత	0.625	0.312	0.612
curriculum	పాఠ్యాంశాలు	0.708	0.306	0.620
curry	కూర	0.633	0.345	0.302
curse	శాపం	0.033	0.720	0.375
cursed	నిందించారు	0.083	0.783	0.393
cursing	cursing	0.112	0.860	0.446
cursory	తొందరలో	0.423	0.451	0.431
curt	కర్ట్	0.245	0.610	0.452
curtail	తగ్గిస్తుంటే	0.306	0.439	0.497
curtailment	కుదించబడటం	0.230	0.578	0.431
curtain	పరదా	0.698	0.278	0.304
curtains	కర్టెన్లు	0.615	0.123	0.342
curtsy	ఆమోదం	0.635	0.412	0.598
curvature	వక్రత	0.417	0.367	0.447
curve	వక్రత	0.480	0.375	0.307
curved	వక్ర	0.542	0.407	0.337
curvilinear	కిందనుంచి	0.480	0.575	0.411
cushion	పరిపుష్టి	0.653	0.221	0.292
cushy	cushy	0.823	0.283	0.395
cusp	దంతాగ్రం	0.667	0.710	0.700
cuss	cuss	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	కస్టర్డ్	0.618	0.260	0.293
custodial	నిర్భంధ	0.418	0.462	0.718
custodian	సంరక్షకుడు	0.594	0.625	0.528
custody	అదుపు	0.494	0.472	0.675
custom	కస్టమ్	0.552	0.382	0.688
customary	ఆచార	0.700	0.253	0.561
customer	కస్టమర్	0.562	0.430	0.673
customized	అనుకూలీకరించిన	0.625	0.504	0.590
cut	కట్	0.490	0.490	0.393
cutaneous	చర్మ సంబంధమైన	0.365	0.370	0.328
cute	అందమైన	0.920	0.528	0.579
cuticle	పైపొర	0.340	0.320	0.377
cutie	అందమైన పడుచుపిల్ల	0.638	0.528	0.464
cutlass	కట్లాస్	0.173	0.648	0.528
cutlery	కత్తులు	0.552	0.300	0.345
cutoff	కత్తిరించిన	0.432	0.510	0.518
cutter	కట్టర్	0.427	0.731	0.583
cutters	కట్టర్లు	0.197	0.653	0.491
cutthroat	కట్ త్రోట్	0.110	0.823	0.663
cutting	కట్టింగ్	0.448	0.375	0.536
cutting board	కటింగ్ బోర్డు	0.337	0.540	0.342
cuttings	కోత	0.479	0.392	0.433
cwt	CWT	0.500	0.410	0.384
cyanide	సైనైడ్	0.229	0.667	0.545
cyberspace	సైబర్స్పేస్	0.677	0.594	0.611
cycle	చక్రం	0.635	0.400	0.533
cyclical	చక్రీయ	0.380	0.450	0.554
cyclist	సైక్లిస్ట్	0.684	0.582	0.576
cyclone	తుఫాను	0.416	0.796	0.673
cylinder	సిలిండర్	0.459	0.324	0.447
cylindrical	స్థూపాకార	0.458	0.294	0.414
cymbal	కంచుతాళం	0.542	0.363	0.362
cynic	మనుష్యద్వేషి	0.135	0.632	0.473
cynical	విరక్త	0.156	0.760	0.474
cynicism	ద్వేషం	0.104	0.780	0.454
cyst	తిత్తి	0.173	0.578	0.312
cystic	సిస్టిక్	0.314	0.481	0.400
cytomegalovirus	సైటోమెగాలోవైరస్కి	0.186	0.657	0.443
cytoplasm	సైటోప్లాజమ్	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	DAB	0.510	0.337	0.340
dabble	డిబిల్	0.550	0.530	0.491
dabbling	dabbling	0.562	0.726	0.676
dad	తండ్రి	0.857	0.412	0.786
daddy	నాన్న	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	డెమోన్	0.333	0.490	0.500
daft	డఫ్ట్	0.255	0.436	0.157
dagger	బాకు	0.224	0.797	0.613
daily	రోజువారీ	0.653	0.347	0.473
dainty	అందంగా	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	పాల	0.633	0.255	0.462
daisy	డైసీ	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	డేల్	0.622	0.270	0.365
dam	ఆనకట్ట	0.250	0.553	0.394
damage	నష్టం	0.059	0.726	0.403
damaged	దెబ్బతిన్న	0.104	0.635	0.182
damages	నష్టపరిహారం	0.082	0.760	0.310
dame	డామే	0.694	0.480	0.500
damn	తిట్టు	0.073	0.784	0.431
damnation	దూషణలు	0.135	0.750	0.416
damned	హేయమైన	0.100	0.760	0.465
damp	తడిగా	0.360	0.279	0.210
dampened	dampened	0.271	0.422	0.336
damper	damper	0.459	0.378	0.473
damsel	సుందరి	0.719	0.475	0.400
dance	నృత్య	0.894	0.840	0.551
dancer	నర్తకి	0.740	0.768	0.545
dancing	డ్యాన్స్	0.885	0.868	0.444
dandruff	చుండ్రు	0.398	0.298	0.293
dandy	దండి	0.673	0.520	0.630
danger	ప్రమాదం	0.115	0.923	0.673
dangerous	ప్రమాదకరమైన	0.020	0.941	0.658
dangerously	ప్రమాదకరమైన	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	కట్టేవారు	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	దుస్తులు ధరించుట	0.770	0.560	0.698
dare	ధైర్యం	0.677	0.788	0.684
daredevil	డేర్డెవిల్	0.429	0.714	0.653
daresay	విశ్వసించుటకు సిద్ధంగానుండు	0.540	0.451	0.490
daring	ధైర్యంగా	0.583	0.840	0.711
dark	కృష్ణ	0.198	0.398	0.426
darken	darken	0.250	0.471	0.382
darkened	అంధకారములో	0.135	0.440	0.452
darkly	హాస్యాస్పదమైనది	0.219	0.548	0.443
darkness	చీకటి	0.102	0.602	0.418
darkroom	చీకటి గది	0.188	0.627	0.423
darkside	చీకటి వైపు	0.102	0.690	0.365
darling	డార్లింగ్	0.885	0.370	0.608
darn	రంధ్రాన్ని సరి చేయు	0.115	0.765	0.418
dart	డార్ట్	0.417	0.608	0.500
dash	డాష్	0.574	0.312	0.324
dashboard	డాష్బోర్డ్	0.510	0.371	0.595
dashed	గీతల	0.276	0.393	0.338
dashing	చురుకైన	0.612	0.627	0.799
dastardly	dastardly	0.208	0.688	0.270
data	సమాచారం	0.500	0.250	0.426
database	డేటాబేస్	0.604	0.286	0.644
date	తేదీ	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	కుమార్తె	0.908	0.415	0.455
dawdle	పచార్లు చేయు	0.479	0.464	0.357
dawn	డాన్	0.827	0.235	0.519
dawned	గుర్తించింది	0.694	0.471	0.473
day	రోజు	0.719	0.269	0.389
daybreak	ప్రాతః కాలంలో	0.802	0.358	0.474
daycare	డేకేర్	0.776	0.481	0.360
daydream	పగటి కల	0.750	0.337	0.456
daydreaming	daydreaming	0.776	0.360	0.479
daylight	పట్టపగలు	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	పగటి	0.750	0.324	0.454
daze	డేజ్	0.245	0.735	0.329
dazed	dazed	0.300	0.697	0.277
dazzle	సమ్మోహనం	0.730	0.782	0.683
dazzling	మిరుమిట్లు	0.854	0.880	0.767
deacon	డీకన్	0.531	0.430	0.736
deactivate	సోమరిగాచేయు	0.235	0.447	0.392
dead	డెడ్	0.052	0.454	0.194
deadbeat	deadbeat	0.229	0.453	0.368
deadline	గడువు	0.214	0.615	0.460
deadlines	సమయాలు	0.406	0.769	0.411
deadlock	ప్రతిష్ఠంభన	0.170	0.418	0.323
deadly	ఘోరమైన	0.143	0.849	0.554
deaf	చెవిటి	0.186	0.324	0.161
deafening	deafening	0.281	0.835	0.482
deafness	చెవుడు	0.125	0.413	0.219
deal	ఒప్పందం	0.719	0.599	0.543
dealer	డీలర్	0.799	0.615	0.683
dealership	డీలర్	0.541	0.430	0.629
dealing	వ్యవహరించే	0.724	0.415	0.598
dealings	వ్యవహారాలకు	0.600	0.491	0.480
dean	డీన్	0.612	0.469	0.723
dear	ప్రియమైన	0.880	0.434	0.629
dearest	ప్రియమైన	0.902	0.427	0.508
dearth	కరవు	0.156	0.539	0.255
death	మరణం	0.031	0.720	0.472
deathbed	మరణ	0.051	0.652	0.311
deathly	డెత్లీ	0.073	0.771	0.682
debacle	ఓటమి	0.156	0.606	0.266
debased	హీనమైన	0.219	0.529	0.170
debatable	చర్చనీయాంశంగా	0.181	0.610	0.474
debate	చర్చ	0.408	0.691	0.683
debauchery	జారత్వం	0.354	0.901	0.500
debenture	పెట్టుబడిదారులు	0.417	0.500	0.466
debilitating	బలహీనపరిచే	0.125	0.490	0.308
debit	డెబిట్	0.333	0.400	0.474
debrief	debrief	0.247	0.343	0.549
debriefing	debriefing	0.427	0.580	0.456
debris	శిధిలాలు	0.135	0.396	0.327
debt	రుణ	0.204	0.598	0.336
debtor	రుణగ్రహీత	0.219	0.546	0.160
debut	తొలి	0.806	0.606	0.629
debutante	కొత్తగా	0.771	0.627	0.454
decade	దశాబ్దం	0.531	0.402	0.665
decadence	దిగజారుడుతనానికి	0.237	0.455	0.291
decadent	క్షీణదశలో	0.290	0.559	0.324
decaf	decaf	0.480	0.324	0.353
decanter	డికాంటరులో	0.438	0.567	0.510
decathlon	డెకాథ్లాన్	0.573	0.753	0.620
decay	క్షయం	0.143	0.312	0.170
decayed	పుచ్చిన	0.017	0.375	0.169
decaying	నశించిన	0.073	0.510	0.214
deceased	మరణించిన	0.021	0.538	0.188
decedent	decedent	0.423	0.481	0.415
deceit	మోసం	0.020	0.696	0.343
deceitful	మాయమైన	0.071	0.788	0.371
deceive	మోసం	0.094	0.775	0.414
deceived	మోసపోయానని	0.059	0.673	0.302
deceiving	మోసగించడం	0.099	0.636	0.426
december	డిసెంబర్	0.740	0.540	0.464
decency	బిడియం	0.750	0.235	0.634
decent	మంచి	0.823	0.296	0.653
deception	మోసాన్ని	0.090	0.745	0.370
deceptive	మోసపూరిత	0.027	0.605	0.294
decide	నిర్ణయించుకుంటారు	0.656	0.540	0.855
decidedly	నిర్ణయాత్మక	0.750	0.480	0.843
deciduous	ఆకురాల్చే	0.385	0.353	0.282
decimal	దశాంశ	0.507	0.259	0.305
decimeter	decimeter	0.520	0.292	0.377
decipher	అర్థమును	0.417	0.630	0.652
decision	నిర్ణయం	0.646	0.510	0.839
decisive	నిర్ణయాత్మక	0.740	0.509	0.935
deck	డెక్	0.420	0.333	0.394
declaration	డిక్లరేషన్	0.551	0.590	0.714
declaratory	ప్రకటనాత్మక	0.635	0.582	0.673
declare	డిక్లేర్	0.677	0.623	0.668
declination	ప్రసరణయందు	0.250	0.549	0.311
decline	క్షీణత	0.173	0.491	0.240
declining	క్షీణిస్తున్న	0.328	0.400	0.264
deco	డెకో	0.625	0.274	0.356
decode	డీకోడ్	0.551	0.510	0.640
decoder	డికోడర్	0.562	0.340	0.686
decompose	క్రుళ్ళి	0.194	0.596	0.241
decomposed	కుళ్ళిపోయిన	0.073	0.442	0.231
decomposition	కుళ్ళిన	0.133	0.600	0.263
decompress	decompress	0.438	0.430	0.509
decompression	ఒత్తిడి తగ్గించడం	0.208	0.520	0.311
decontamination	కల్మష	0.611	0.538	0.573
decor	ఆకృతి	0.734	0.311	0.573
decorate	అలంకరించేందుకు	0.954	0.370	0.404
decorating	అలంకరణ	0.863	0.548	0.462
decoration	అలంకరణ	0.878	0.553	0.526
decorative	అలంకరణ	0.908	0.460	0.381
decorator	డెకరేటర్	0.840	0.471	0.455
decorum	మర్యాదతో ఉన్నదనే	0.802	0.327	0.462
decoy	వంచకుడు	0.149	0.460	0.330
decrease	తగ్గిస్తాయి	0.125	0.360	0.267
decreased	తగ్గింది	0.224	0.271	0.170
decreasing	తగ్గుతోంది	0.320	0.346	0.224
decree	డిక్రీ	0.552	0.478	0.746
decrement	తరుగుదల	0.255	0.427	0.373
decrepit	బలహీనత	0.156	0.490	0.225
decry	ఖండిస్తారు	0.400	0.814	0.548
decryption	గుప్తలేఖన	0.459	0.445	0.600
dedicate	అంకితం	0.823	0.431	0.588
dedication	అంకితం	0.867	0.471	0.682
deduce	రాబట్టడానికి	0.490	0.510	0.466
deduct	తీసివేయు	0.355	0.330	0.412
deductible	మినహాయించగల	0.375	0.286	0.455
deduction	మినహాయింపు	0.438	0.462	0.527
deed	దస్తావేజు	0.520	0.320	0.592
deejay	డీజే	0.551	0.630	0.473
deem	పరిగణించు	0.594	0.529	0.690
deep	లోతైన	0.490	0.473	0.657
deepen	తీవ్రంగా	0.625	0.530	0.776
deer	జింక	0.583	0.375	0.292
defamation	పరువు నష్టం	0.110	0.670	0.481
defamatory	అపవాదు	0.143	0.688	0.402
default	డిఫాల్ట్	0.459	0.343	0.712
defeat	ఓటమి	0.092	0.500	0.224
defeated	ఓడించబడింది	0.104	0.582	0.145
defeatist	defeatist	0.163	0.567	0.315
defect	లోపం	0.135	0.561	0.185
defection	ఫిరాయింపుల	0.146	0.594	0.330
defective	లోపభూయిష్ట	0.122	0.580	0.274
defector	ఫిరాయింపుదారుడు	0.163	0.696	0.286
defend	రక్షించడానికి	0.698	0.722	0.670
defendant	ప్రతివాది	0.250	0.710	0.491
defended	సమర్థించారు	0.663	0.451	0.582
defender	డిఫెండర్	0.639	0.708	0.750
defending	డిఫెండింగ్	0.604	0.871	0.812
defense	రక్షణ	0.652	0.698	0.802
defenseless	రక్షణ	0.143	0.357	0.105
defensible	రక్షణాత్మక	0.740	0.509	0.593
defensive	రక్షణ	0.542	0.640	0.678
defer	వాయిదా	0.245	0.459	0.317
deference	గౌరవం	0.510	0.396	0.447
deferral	వాయిదా	0.765	0.542	0.327
deferring	విబేధించాడు	0.343	0.500	0.413
defiance	ధిక్కరణ	0.333	0.780	0.760
defiant	ధిక్కార	0.250	0.792	0.769
defibrillator	డీఫైబ్రిలేటర్	0.398	0.663	0.431
deficiency	లోపం	0.073	0.373	0.179
deficient	లోపం	0.240	0.464	0.132
deficit	లోటు	0.358	0.500	0.269
define	నిర్వచించే	0.688	0.415	0.632
defined	నిర్వచించిన	0.670	0.214	0.646
definite	ఖచ్చితమైన	0.708	0.292	0.741
definition	నిర్వచనం	0.573	0.375	0.579
definitive	నిశ్చయాత్మక	0.583	0.479	0.787
deflate	ద్రవ్య విలువను	0.148	0.404	0.237
deflation	ప్రతి ద్రవ్యోల్బణం	0.287	0.536	0.407
deflect	రాకుండా	0.133	0.491	0.482
deflection	విక్షేపం	0.188	0.500	0.382
defloration	కన్నెచెర చీలిక	0.188	0.690	0.434
deform	విరూపణ	0.112	0.654	0.284
deformed	వైకల్యంతో	0.198	0.435	0.308
deformity	వైకల్యం	0.160	0.569	0.241
defraud	మోసం	0.175	0.635	0.314
defray	తగినంతగా సేకరించుట	0.375	0.598	0.653
defrost	కరిగించే	0.427	0.317	0.389
deft	తెలివిగల	0.719	0.575	0.849
defunct	వాడుకలోలేని	0.112	0.491	0.272
defuse	తగ్గించడము	0.167	0.480	0.430
defy	అంగీకరించని	0.353	0.884	0.657
degeneracy	క్షీణించుట	0.143	0.720	0.298
degenerate	దిగజారిన	0.069	0.724	0.264
degeneration	క్షీణత	0.245	0.578	0.371
degradation	అధోకరణం	0.160	0.608	0.315
degrade	అధోకరణం	0.083	0.500	0.184
degraded	దిగజారిన	0.167	0.433	0.205
degrading	అవమానకర	0.031	0.583	0.232
degree	డిగ్రీ	0.724	0.365	0.663
dehydrated	నిర్జలీకరణ	0.310	0.685	0.212
dehydration	నిర్జలీకరణ	0.188	0.472	0.259
dejected	భాధ పడే	0.104	0.654	0.347
delay	ఆలస్యం	0.204	0.510	0.162
delayed	ఆలస్యం	0.188	0.490	0.216
delectable	ఇవే	0.781	0.642	0.718
delegate	ప్రతినిధి	0.612	0.491	0.658
delegation	ప్రతినిధి బృందం	0.562	0.431	0.609
delete	తొలగించండి	0.292	0.298	0.409
deleterious	విషతుల్య	0.297	0.725	0.440
deletion	తొలగింపు	0.062	0.506	0.462
deli	డెలి	0.561	0.448	0.447
deliberate	ఉద్దేశపూర్వక	0.551	0.654	0.682
deliberation	ఆలోచనల	0.561	0.678	0.596
deliberative	డెలిబరేట్	0.392	0.552	0.573
delicacy	రుచికరమైన	0.812	0.279	0.336
delicate	సున్నితమైన	0.583	0.294	0.366
delicatessen	డెలికస్థీన్	0.656	0.474	0.400
delicious	రుచికరమైన	0.927	0.650	0.589
delight	ఆనందం	0.949	0.666	0.647
delighted	ఆనందపరిచింది	0.938	0.664	0.685
delightful	చూడముచ్చటగా	0.918	0.735	0.644
delineate	ప్రదర్శిస్తుండటం	0.448	0.430	0.445
delineation	వర్ణన	0.521	0.402	0.314
delinquency	జప్తు	0.135	0.860	0.508
delinquent	నేరాలుగా	0.051	0.904	0.500
delirious	డెలిరస్	0.219	0.774	0.538
delirium	సన్నిపాతం	0.233	0.694	0.484
deliver	బట్వాడా	0.583	0.370	0.582
deliverance	విమోచన	0.750	0.520	0.658
delivery	డెలివరీ	0.704	0.461	0.786
dell	డెల్	0.458	0.380	0.453
delta	డెల్టా	0.551	0.343	0.509
delude	తప్పుదోవ	0.143	0.627	0.353
deluge	వెల్లువలో	0.245	0.714	0.612
delusion	మాయ	0.344	0.647	0.400
delusional	అవాస్తవ నమ్మకాలను	0.219	0.745	0.327
deluxe	డీలక్స్	0.792	0.612	0.755
delve	నిరోధం	0.469	0.529	0.684
demand	డిమాండ్	0.292	0.673	0.500
demanding	డిమాండ్	0.396	0.750	0.828
demeaned	demeaned	0.271	0.520	0.212
demeaning	కించపరిచే	0.104	0.645	0.308
demeanor	వైఖరిలో	0.633	0.433	0.657
demented	పట్టిన	0.088	0.787	0.309
dementia	చిత్తవైకల్యం	0.092	0.779	0.337
demise	మరణానికి	0.104	0.596	0.456
demo	డెమో	0.510	0.314	0.423
democracy	ప్రజాస్వామ్యం	0.680	0.500	0.840
democrat	డెమొక్రాట్	0.582	0.400	0.755
democratic	ప్రజాస్వామ్య	0.802	0.519	0.798
demographic	జనాభా	0.459	0.356	0.594
demolish	పడగొట్టి	0.125	0.632	0.700
demolished	నేలమట్టం	0.271	0.647	0.353
demolition	కూల్చివేత	0.133	0.827	0.541
demon	భూతం	0.037	0.908	0.509
demonic	దెయ్యాల	0.146	0.875	0.600
demonstrable	demonstrable	0.735	0.471	0.749
demonstrate	ప్రదర్శించేందుకు	0.771	0.552	0.839
demonstrated	ప్రదర్శించారు	0.617	0.500	0.649
demonstrating	నిరూపించడం	0.698	0.571	0.693
demonstration	ప్రదర్శన	0.551	0.676	0.679
demonstrative	తావు	0.656	0.528	0.736
demonstrator	ప్రదర్శన	0.520	0.598	0.733
demoralized	నిరుత్సాహం	0.082	0.590	0.149
demos	ప్రదర్శనలు	0.418	0.370	0.368
demure	గంభీరంగా	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	deniability	0.230	0.509	0.417
denial	తిరస్కరణ	0.194	0.435	0.318
denied	ఖండించింది	0.188	0.604	0.333
denim	డెనిమ్	0.520	0.382	0.327
denomination	విలువ కలిగిన	0.490	0.363	0.429
denominational	అన్య	0.458	0.375	0.679
denominator	హారం	0.450	0.410	0.613
denote	సూచించడానికి	0.448	0.471	0.534
denounce	బహిరంగంగా	0.083	0.780	0.426
dense	దట్టమైన	0.354	0.343	0.536
density	డెన్సిటీ	0.602	0.471	0.561
dent	ఫలితము	0.306	0.606	0.325
dental	దంత	0.573	0.404	0.463
dentist	దంతవైద్యుడు	0.479	0.620	0.642
dentistry	డెంటిస్ట్రీ	0.429	0.570	0.569
dentists	దంతవైద్యులు	0.364	0.600	0.582
denunciation	నింద	0.146	0.830	0.561
deny	తిరస్కరించాలని	0.316	0.667	0.321
denying	కొట్టిపారేసిన	0.080	0.542	0.272
deodorant	దుర్గంధనాశని	0.480	0.265	0.269
depart	తిరిగి వెళ్ళు	0.398	0.480	0.444
departed	వెళ్ళిపోయాడు	0.245	0.536	0.391
department	శాఖ	0.708	0.358	0.642
departmental	విభాగపు	0.612	0.422	0.446
departure	నిష్క్రమణ	0.573	0.500	0.426
depend	ఆధారపడి	0.388	0.429	0.358
dependable	ఆధారపడదగిన	0.880	0.357	0.741
dependant	ఆధారపడి	0.357	0.404	0.451
dependence	ఆధారపడటం	0.250	0.451	0.433
dependency	డిపెండెన్సీ	0.429	0.365	0.356
dependent	ఆధారపడి	0.354	0.455	0.404
depict	వర్ణిస్తాయి	0.663	0.529	0.723
depicting	చిత్రీకరిస్తున్న	0.490	0.566	0.602
depletion	క్షీణత	0.153	0.370	0.236
deplorable	ఒక్కసారి	0.135	0.657	0.230
deplore	నిందించినా	0.135	0.575	0.373
deploy	మోహరించేందుకు	0.500	0.520	0.585
deployment	విస్తరణ	0.510	0.520	0.612
deport	దేశమునుండి	0.167	0.667	0.546
deportation	బహిష్కరణకు	0.104	0.786	0.450
depose	పదవీచ్యుతుని	0.286	0.420	0.451
deposit	డిపాజిట్	0.540	0.379	0.483
depositary	డిపాజిటరీ	0.604	0.431	0.500
deposition	నిక్షేపణ	0.394	0.510	0.471
depository	డిపాజిటరీ	0.551	0.373	0.481
depot	డిపో	0.635	0.255	0.471
depraved	నైతికంగా హీనమైన	0.031	0.837	0.395
depravity	దుర్మార్గం	0.115	0.854	0.453
depreciate	తగ్గించు	0.270	0.623	0.445
depreciated	విలువ తగ్గుతున్న	0.135	0.672	0.250
depreciation	తరుగుదల	0.143	0.571	0.386
depress	పోగొట్టడానికి	0.219	0.635	0.528
depressed	అణగారిన	0.024	0.445	0.136
depressing	నిరుత్సాహపరిచిన	0.146	0.559	0.216
depression	మాంద్యం	0.031	0.520	0.232
depressive	నిస్పృహ	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	లేమి	0.194	0.610	0.413
deprive	అందకుండా	0.271	0.591	0.340
deprived	దూరంచేసి	0.354	0.506	0.536
depth	లోతు	0.708	0.561	0.759
deputy	డిప్యూటీ	0.429	0.530	0.787
derail	రావడాన్ని అడ్డుకోవడానికి	0.108	0.802	0.375
deranged	కలతపెట్టే	0.376	0.868	0.357
derelict	వదిలివేసిన	0.208	0.470	0.237
derision	పరిహాస	0.265	0.670	0.292
derivation	వ్యుత్పత్తి	0.521	0.519	0.644
derivative	డెరివేటివ్	0.541	0.491	0.508
