Word	Afrikaans-af	Valence	Arousal	Dominance
equalization	gelykmaking	0.625	0.422	0.423
equalize	gelyk	0.738	0.281	0.574
equalizer	gelykmaker	0.604	0.451	0.586
equally	ewe	0.625	0.264	0.436
equate	gelyk	0.724	0.382	0.624
equation	vergelyking	0.479	0.384	0.608
equator	ewenaar	0.550	0.302	0.462
equatorial	ekwatoriale	0.550	0.271	0.593
equestrian	ruiter	0.633	0.519	0.417
equidistant	ewe ver	0.375	0.406	0.509
equilibration	ewewig	0.724	0.317	0.593
equilibrium	ewewig	0.676	0.235	0.620
equip	toerus	0.650	0.519	0.713
equipment	toerusting	0.745	0.495	0.700
equitable	billike	0.714	0.286	0.750
equity	billikheid	0.792	0.304	0.614
equivalence	ekwivalensie	0.663	0.250	0.582
equivalent	ekwivalent	0.646	0.347	0.500
equivocal	dubbelsinnige	0.327	0.482	0.257
era	era	0.615	0.407	0.449
eradicate	uit te wis	0.260	0.690	0.686
eradication	uitwissing	0.208	0.788	0.685
erase	vee	0.240	0.260	0.321
eraser	uitveër	0.458	0.209	0.311
erasure	uitwissing	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	rig	0.643	0.885	0.627
erectile	erektiele	0.542	0.796	0.625
erection	oprigting	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	erodeer	0.208	0.643	0.580
erosion	erosie	0.312	0.770	0.465
erotic	erotiese	0.625	0.946	0.683
erotica	erotica	0.781	0.870	0.579
err	dwaal	0.146	0.660	0.236
errand	taak	0.385	0.519	0.482
errant	dwalend	0.205	0.602	0.375
erratic	wisselvallige	0.271	0.503	0.217
erratum	erratum	0.327	0.528	0.436
erroneous	foutiewe	0.057	0.561	0.245
error	fout	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	geleerde	0.719	0.434	0.774
erupt	uitbars	0.188	0.820	0.818
eruption	uitbarsting	0.156	0.913	0.733
escalade	Escalade	0.480	0.724	0.442
escalate	eskaleer	0.653	0.714	0.728
escalating	stygende	0.646	0.724	0.518
escalation	eskalasie	0.571	0.807	0.582
escalator	roltrap	0.500	0.530	0.518
escape	ontsnapping	0.367	0.765	0.448
escaped	ontsnap	0.365	0.755	0.518
escarpment	platorand	0.406	0.553	0.470
eschew	vermy	0.184	0.438	0.370
escort	escort	0.729	0.480	0.608
escrow	borg	0.449	0.520	0.613
esophagus	slukderm	0.429	0.454	0.464
esoteric	esoteriese	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	spioenasie	0.312	0.750	0.620
espouse	voorstaan	0.802	0.529	0.598
espresso	espresso	0.677	0.620	0.508
esprit	esprit	0.552	0.431	0.407
esquire	Esquire	0.604	0.542	0.518
essay	opstel	0.559	0.411	0.530
essayist	essayis	0.656	0.460	0.462
essence	wese	0.663	0.369	0.575
essential	noodsaaklik	0.812	0.405	0.759
essentially	wese	0.750	0.373	0.802
establish	vestig	0.708	0.500	0.688
established	gestig	0.796	0.394	0.694
establishment	vestiging	0.690	0.398	0.631
estate	boedel	0.653	0.385	0.647
esteem	agting	0.745	0.380	0.679
esteemed	gewaardeerde	0.694	0.418	0.531
esthetic	estetiese	0.635	0.360	0.558
estimable	lofwaardige	0.796	0.408	0.630
estimate	skatting	0.719	0.469	0.517
estimation	skatting	0.740	0.480	0.589
estoppel	estoppel	0.354	0.459	0.482
estranged	vervreemde	0.156	0.382	0.377
estrogen	estrogeen	0.580	0.500	0.425
estuary	monding	0.469	0.278	0.482
etch	ets	0.510	0.367	0.598
etching	ets	0.567	0.491	0.575
eternal	ewige	0.854	0.409	0.843
eternity	ewigheid	0.765	0.520	0.911
ethanol	etanol	0.333	0.410	0.534
ether	eter	0.490	0.306	0.412
ethereal	eteriese	0.520	0.419	0.518
ethic	etiek	0.786	0.260	0.791
ethical	etiese	0.854	0.324	0.634
ethics	etiek	0.658	0.296	0.731
ethnic	etniese	0.583	0.373	0.555
ethnography	etnografie	0.571	0.373	0.549
etiology	etiologie	0.500	0.385	0.639
etiquette	etiket	0.604	0.350	0.421
etymology	etimologie	0.531	0.370	0.529
eucalyptus	bloekombome	0.602	0.308	0.418
euchre	Euchre	0.470	0.459	0.442
eugenics	eugenetika	0.448	0.530	0.518
eulogistic	lovend	0.740	0.623	0.694
eulogium	eulogium	0.542	0.482	0.655
eulogize	ophemelen	0.850	0.518	0.679
eulogy	huldeblyk	0.625	0.443	0.667
euphemism	eufemisme	0.418	0.453	0.491
euphoria	euforie	0.769	0.955	0.648
euphoric	euforiese	0.745	0.904	0.588
euro	euro	0.680	0.441	0.521
euthanasia	genadedood	0.229	0.716	0.325
evacuate	ontruim	0.354	0.792	0.314
evacuation	ontruiming	0.160	0.755	0.582
evade	ontduik	0.304	0.490	0.342
evaluate	evalueer	0.663	0.640	0.649
evaluation	evaluering	0.542	0.667	0.764
evanescence	Evanescence	0.527	0.519	0.458
evangelical	evangeliese	0.602	0.389	0.602
evangelist	evangelis	0.582	0.464	0.702
evangelistic	evangelisasie	0.660	0.375	0.612
evaporate	verdamp	0.357	0.469	0.402
evaporation	verdamping	0.556	0.346	0.388
evasion	ontduiking	0.229	0.510	0.418
evasive	ontwykende	0.117	0.596	0.425
eve	vooraand	0.612	0.378	0.440
evening	aand	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	gebeurtenis	0.745	0.673	0.664
eventful	gevoel	0.543	0.837	0.510
eventual	uiteindelike	0.633	0.459	0.413
eventuality	gebeurlikheid	0.469	0.627	0.527
evergreen	immergroen	0.729	0.471	0.546
everlasting	ewige	0.740	0.413	0.809
evermore	ewig	0.677	0.450	0.403
everyday	elke dag	0.740	0.392	0.472
everyman	Elke man	0.522	0.333	0.535
evict	uitsit	0.042	0.632	0.377
eviction	uitsetting	0.185	0.731	0.455
evidence	bewyse	0.500	0.500	0.778
evident	duidelik	0.633	0.444	0.664
evidentiary	bewysregtelike	0.448	0.541	0.717
evil	kwaad	0.040	0.827	0.545
evoke	roep	0.438	0.341	0.500
evolution	evolusie	0.781	0.657	0.854
evolutionary	evolusionêre	0.796	0.673	0.825
evolve	ontwikkel	0.655	0.692	0.896
ewe	ooi	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	vererger	0.323	0.776	0.580
exacerbation	verergering	0.344	0.810	0.480
exact	presiese	0.719	0.354	0.685
exacting	veeleisende	0.448	0.673	0.767
exaggerate	oordryf	0.193	0.760	0.529
exaggerated	oordrewe	0.224	0.885	0.732
exaggeration	oordrywing	0.312	0.775	0.582
exalt	verhef	0.656	0.750	0.745
exaltation	verheffing	0.594	0.892	0.673
exalted	verhewe	0.676	0.845	0.696
exam	eksamen	0.479	0.663	0.577
examination	ondersoek	0.378	0.657	0.679
examine	ondersoek	0.615	0.623	0.786
examiner	eksaminator	0.406	0.575	0.812
example	byvoorbeeld	0.542	0.337	0.510
exasperated	bitter	0.229	0.816	0.377
exasperation	wanhoop	0.214	0.833	0.483
excavate	uitgrawe	0.583	0.613	0.635
excavation	uitgrawing	0.540	0.644	0.527
excavator	graaf	0.427	0.673	0.649
exceed	oorskry	0.500	0.827	0.586
exceeding	oorskry	0.500	0.802	0.668
excel	excel	0.561	0.363	0.466
excellence	uitnemendheid	0.958	0.620	0.907
excellent	uitstekende	0.970	0.587	0.870
excelsior	excelsior	0.700	0.625	0.611
excepting	Uitgezonderd	0.408	0.413	0.526
exception	uitsondering	0.469	0.600	0.544
exceptional	uitsonderlike	0.806	0.740	0.933
excerpt	uittreksel	0.437	0.367	0.543
excess	meer	0.385	0.889	0.712
excessive	oormatige	0.417	0.731	0.601
excessively	oormatig	0.449	0.882	0.716
exchange	ruil	0.740	0.569	0.491
excise	aksyns	0.448	0.561	0.577
excision	eksisie	0.260	0.480	0.519
excitability	opgewondenheid	0.906	0.910	0.724
excitable	prikkelbare	0.803	0.939	0.629
excitation	opwekking	0.792	0.958	0.750
excite	opgewonde	0.823	0.950	0.668
excited	opgewonde	0.908	0.931	0.709
excitement	opwinding	0.896	0.684	0.731
exciting	opwindend	0.950	0.792	0.789
exclaim	uitroep	0.635	0.711	0.639
exclamation	uitroep	0.612	0.745	0.598
exclude	uitsluit	0.292	0.500	0.530
excluded	uitgesluit	0.061	0.540	0.134
excluding	uitgesluit	0.271	0.550	0.324
exclusion	uitsluiting	0.240	0.530	0.389
exclusive	eksklusiewe	0.792	0.630	0.653
excrement	ontlasting	0.041	0.558	0.221
excretion	uitskeiding	0.285	0.650	0.457
excruciating	helse	0.083	0.837	0.345
excursion	uitstappie	0.625	0.714	0.627
excuse	verskoning	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	uit te voer	0.327	0.708	0.769
execution	uitvoering	0.160	0.811	0.713
executioner	laksman	0.235	0.816	0.676
executive	uitvoerende	0.704	0.449	0.894
executor	eksekuteur	0.365	0.755	0.759
exegesis	eksegese	0.458	0.472	0.491
exemplar	Model	0.844	0.537	0.625
exemplary	voorbeeldige	0.833	0.343	0.729
exemplify	voorbeeld	0.735	0.506	0.783
exempt	vrygestel	0.588	0.455	0.664
exemption	vrystelling	0.531	0.578	0.627
exercise	oefening	0.750	0.789	0.625
exert	uit te oefen	0.694	0.735	0.806
exertion	inspanning	0.663	0.755	0.717
exhale	uitasem	0.542	0.490	0.411
exhaust	uitlaat	0.546	0.710	0.337
exhausted	uitgeput	0.123	0.423	0.202
exhaustion	uitputting	0.366	0.633	0.269
exhaustive	uitputtende	0.388	0.635	0.604
exhibit	uitstalling	0.688	0.633	0.708
exhibition	uitstalling	0.698	0.590	0.531
exhilarated	opgevrolijkend	0.890	0.963	0.759
exhilarating	opwindende	0.917	0.823	0.810
exhilaration	opwinding	0.792	0.868	0.783
exhort	vermaan	0.378	0.660	0.745
exhortation	vermaning	0.531	0.624	0.580
exhumation	opgrawing	0.177	0.586	0.473
exhume	opgrawe	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	ballingskap	0.184	0.630	0.483
exist	bestaan	0.857	0.421	0.788
existence	bestaan	0.760	0.513	0.771
existent	bestaan ​​nie	0.635	0.490	0.635
existential	eksistensiële	0.583	0.510	0.638
existing	bestaande	0.802	0.344	0.750
exit	uitgang	0.370	0.353	0.399
exodus	uittog	0.286	0.663	0.567
exonerate	skoonmaak	0.592	0.500	0.538
exorbitant	buitensporige	0.398	0.865	0.825
exorcism	duiweluitdrywing	0.163	0.980	0.557
exorcist	exorcist	0.219	0.906	0.716
exotic	eksotiese	0.840	0.711	0.727
expand	uit te brei	0.792	0.559	0.686
expanded	uitgebrei	0.760	0.406	0.689
expanse	uitspansel	0.594	0.529	0.689
expansion	uitbreiding	0.776	0.618	0.787
expansive	uitgestrekte	0.708	0.650	0.778
expatriate	uitgewekene	0.265	0.764	0.391
expect	verwag	0.469	0.327	0.377
expectance	expectance	0.552	0.724	0.660
expectancy	verwagting	0.581	0.622	0.558
expectant	verwagtende	0.708	0.650	0.474
expectation	verwagting	0.771	0.690	0.707
expected	verwag	0.729	0.412	0.545
expecting	verwag	0.561	0.450	0.302
expediency	opportunisme	0.604	0.443	0.703
expedient	raadsaam	0.885	0.461	0.454
expedite	bespoedig	0.571	0.858	0.798
expedition	ekspedisie	0.735	0.802	0.620
expeditious	spoedige	0.602	0.645	0.773
expel	skors	0.281	0.725	0.452
expendable	besteebare	0.479	0.490	0.423
expenditure	uitgawes	0.250	0.608	0.603
expense	koste	0.317	0.451	0.377
expenses	uitgawes	0.240	0.633	0.396
expensive	duur	0.323	0.540	0.530
experience	ervaring	0.827	0.618	0.905
experienced	ervaar	0.771	0.613	0.914
experiences	ervarings	0.793	0.647	0.795
experiment	eksperiment	0.479	0.720	0.675
experimental	eksperimentele	0.417	0.764	0.396
experimentation	eksperimentering	0.637	0.769	0.767
experimenter	eksperimenteerder	0.708	0.710	0.700
expert	kenner	0.776	0.646	0.911
expertise	kundigheid	0.792	0.589	0.925
expiration	verstryking	0.265	0.539	0.463
expire	verval	0.573	0.745	0.702
expired	verval	0.198	0.394	0.200
expiry	verval	0.194	0.434	0.382
explain	verduidelik	0.719	0.517	0.736
explanation	verduideliking	0.615	0.610	0.825
explanatory	verklarende	0.573	0.433	0.688
expletive	vloek	0.357	0.567	0.536
explication	uiteensetting	0.510	0.445	0.602
explicit	eksplisiete	0.562	0.694	0.734
explode	ontplof	0.277	0.885	0.773
exploit	ontgin	0.312	0.878	0.660
exploitation	uitbuiting	0.156	0.920	0.718
exploration	eksplorasie	0.594	0.650	0.773
exploratory	verkennende	0.653	0.690	0.698
explore	verken	0.776	0.660	0.727
explorer	ontdekkingsreisiger	0.729	0.663	0.714
explosion	ontploffing	0.167	0.960	0.767
explosions	ontploffings	0.123	0.860	0.594
explosive	plofbare	0.156	0.943	0.663
expo	expo	0.610	0.562	0.500
exponent	eksponent	0.529	0.510	0.845
exponential	eksponensiële	0.704	0.588	0.763
export	uitvoer	0.567	0.661	0.755
exportation	uitvoer	0.760	0.633	0.673
expose	bloot te stel	0.344	0.643	0.537
exposed	blootgestel	0.471	0.661	0.509
exposition	uiteensetting	0.521	0.627	0.655
expository	verklarende	0.706	0.653	0.636
exposure	blootstelling	0.570	0.830	0.630
expound	uiteen te sit	0.438	0.575	0.740
express	uit te druk	0.760	0.623	0.691
expression	uitdrukking	0.790	0.650	0.721
expressive	ekspressiewe	0.755	0.724	0.685
expressway	snelweg	0.633	0.635	0.587
expropriation	onteiening	0.188	0.735	0.788
expulsion	uitsetting	0.190	0.790	0.529
exquisite	pragtige	0.892	0.644	0.604
exquisitely	pragtig	0.849	0.728	0.723
extant	bestaande	0.646	0.390	0.523
extend	uit te brei	0.646	0.570	0.689
extendable	uit te brei	0.660	0.592	0.722
extended	uitgebrei	0.570	0.304	0.649
extension	uitbreiding	0.490	0.510	0.529
extensive	uitgebreide	0.635	0.520	0.760
extent	mate	0.646	0.451	0.602
exterior	buite	0.542	0.400	0.627
exterminate	uit te wis	0.177	0.857	0.736
extermination	uitwissing	0.190	0.860	0.616
exterminator	Exterminator	0.344	0.804	0.887
external	eksterne	0.479	0.341	0.509
externally	ekstern	0.643	0.521	0.568
extinct	uitgesterf	0.112	0.491	0.412
extinction	uitwissing	0.104	0.750	0.611
extinguish	blus	0.240	0.576	0.482
extinguisher	brandblusser	0.707	0.379	0.543
extol	vul	0.582	0.667	0.456
extort	ontwringen	0.052	0.827	0.570
extortion	afpersing	0.112	0.868	0.630
extra	ekstra	0.656	0.551	0.745
extract	uittreksel	0.565	0.402	0.519
extracting	onttrek	0.521	0.709	0.689
extraction	onttrekking	0.418	0.740	0.526
extractor	extractor	0.302	0.536	0.519
extracurricular	buitemuurse	0.457	0.471	0.743
extradition	uitlewering	0.229	0.627	0.554
extrajudicial	buitegeregtelike	0.365	0.686	0.667
extramural	buitemuurse	0.336	0.559	0.537
extraneous	vreemde	0.276	0.625	0.478
extraordinaire	extraordinaire	0.847	0.864	0.898
extraordinary	buitengewone	0.969	0.728	0.860
extraterrestrial	buiteaardse	0.510	0.833	0.792
extravagance	spandabelrigheid	0.531	0.802	0.700
extravagant	buitensporig	0.720	0.763	0.812
extravaganza	extravaganza	0.646	0.786	0.906
extreme	uiterste	0.318	0.800	0.721
extreme anticipation	uiterste afwagting	0.551	0.740	0.704
extreme disgust	uiterste afkeer	0.052	0.873	0.456
extreme surprise	uiterste verrassing	0.833	0.935	0.676
extreme trust	uiterste vertroue	0.826	0.713	0.922
extremely	uiters	0.635	0.827	0.886
extremely negative	uiters negatief	0.030	0.786	0.311
extremely positive	uiters positief	0.993	0.730	0.839
extremity	uiteinde	0.408	0.588	0.583
extricate	bevry	0.542	0.510	0.543
extrinsic	ekstrinsieke	0.510	0.479	0.636
extrusion	extrusie	0.229	0.660	0.545
exuberance	uitbundig	0.698	0.816	0.787
exude	straal	0.375	0.519	0.411
eye	oog	0.531	0.265	0.425
eyeball	oogbal	0.526	0.422	0.420
eyebrow	wenkbrou	0.510	0.198	0.222
eyeful	eyeful	0.802	0.500	0.676
eyeglass	Brill	0.531	0.236	0.286
eyeglasses	bril	0.561	0.269	0.306
eyelash	ooghaar	0.480	0.250	0.278
eyelet	ogies	0.632	0.298	0.346
eyeliner	eyeliner	0.688	0.349	0.347
eyepiece	oogstuk	0.418	0.347	0.480
eyes	oë	0.760	0.279	0.432
eyesight	sig	0.750	0.226	0.343
eyewitness	ooggetuie	0.541	0.686	0.698
fab	fab	0.490	0.380	0.406
fable	fabel	0.663	0.387	0.389
fabled	fabelagtige	0.625	0.538	0.545
fabric	stof	0.635	0.190	0.345
fabricate	vervaardig	0.636	0.491	0.779
fabricated	opgemaak	0.418	0.427	0.555
fabrication	vervaardiging	0.573	0.587	0.705
fabulous	fantastiese	0.979	0.660	0.797
facade	fasade	0.520	0.333	0.518
face	gesig	0.571	0.173	0.453
faceless	gesiglose	0.230	0.406	0.173
facet	faset	0.667	0.324	0.382
facial	gesig	0.594	0.429	0.433
facile	NO TRANSLATION	0.740	0.264	0.307
facilitate	fasiliteer	0.812	0.333	0.509
facility	fasiliteit	0.625	0.500	0.654
facing	die gesig staar	0.604	0.406	0.550
facsimile	faks	0.490	0.500	0.543
fact	feit	0.683	0.333	0.618
faction	faksie	0.469	0.430	0.448
factor	faktor	0.635	0.365	0.678
factory	fabriek	0.500	0.500	0.683
facts	feite	0.688	0.471	0.693
factual	feitelike	0.656	0.440	0.545
faculties	fakulteite	0.643	0.431	0.760
faculty	Fakulteit	0.615	0.412	0.732
fad	gier	0.663	0.520	0.570
fade	vervaag	0.354	0.333	0.245
faded	verbleikte	0.302	0.275	0.194
faeces	ontlasting	0.184	0.476	0.175
fag	fag	0.122	0.653	0.331
faggot	faggot	0.219	0.643	0.292
fail	misluk	0.177	0.578	0.154
failing	versuim	0.125	0.490	0.268
failure	mislukking	0.167	0.575	0.139
fain	NO TRANSLATION	0.479	0.417	0.426
faint	moeg	0.063	0.429	0.167
fainting	floute	0.333	0.510	0.214
fair	billike	0.812	0.557	0.643
fairly	redelik	0.790	0.406	0.750
fairness	regverdigheid	0.740	0.317	0.552
fairway	skoonveld	0.541	0.510	0.500
fairy	feetjie	0.776	0.408	0.413
faith	geloof	0.833	0.220	0.763
faithful	getrou	0.888	0.333	0.627
faithfulness	getrouheid	0.833	0.426	0.602
faithless	Ongelowige	0.102	0.683	0.304
fake	vals	0.073	0.554	0.268
faker	vervalser	0.245	0.630	0.480
falafel	falafel	0.560	0.402	0.351
falcon	Falcon	0.557	0.580	0.678
fall	val	0.177	0.657	0.221
fallacious	valse	0.271	0.587	0.390
fallacy	dwaling	0.112	0.561	0.430
fallback	terugval	0.458	0.358	0.508
fallible	feilbare	0.365	0.537	0.402
falling	val	0.202	0.716	0.306
fallopian	fallopiese	0.297	0.390	0.464
fallout	neerslag	0.428	0.356	0.373
fallow	braak	0.375	0.368	0.464
false	ONWAAR	0.120	0.404	0.240
falsehood	leuens	0.031	0.625	0.384
falsely	valslik	0.083	0.480	0.265
falsification	vervalsing	0.173	0.720	0.490
falsified	vervals	0.042	0.630	0.306
falsify	vervals	0.115	0.657	0.409
falsity	valsheid	0.120	0.689	0.186
falter	wankel	0.421	0.650	0.346
fame	roem	0.896	0.755	0.852
famed	bekend	0.878	0.750	0.819
familiar	bekend	0.906	0.330	0.615
familiarity	bekendheid	0.854	0.346	0.616
familiarize	vertroud te maak	0.760	0.365	0.654
family	gesin	0.968	0.383	0.643
familytime	familie tyd	0.939	0.420	0.679
famine	hongersnood	0.163	0.679	0.310
famished	honger	0.177	0.654	0.282
famous	beroemde	0.916	0.775	0.882
famously	beroemde	0.856	0.765	0.787
fan	fan	0.781	0.429	0.357
fanatic	fanatiese	0.573	0.780	0.629
fanatical	fanatiese	0.555	0.830	0.714
fanaticism	fanatisme	0.292	0.896	0.566
fanciful	denkbeeldig	0.677	0.592	0.342
fancy	fancy	0.854	0.673	0.534
fandango	Fandango	0.490	0.591	0.429
fanfare	fanfare	0.656	0.640	0.437
fang	NO TRANSLATION	0.175	0.491	0.455
fangs	slagtande	0.286	0.598	0.434
fanning	Fanning	0.615	0.330	0.236
fantasia	Fantasia	0.898	0.694	0.436
fantasize	fantaseer	0.771	0.660	0.356
fantastic	fantastiese	0.969	0.696	0.831
fantasy	fantasie	0.880	0.627	0.474
faraway	ver	0.365	0.356	0.285
farce	klug	0.265	0.667	0.246
farcical	klug	0.406	0.481	0.259
fare	tarief	0.490	0.425	0.645
farewell	afskeid	0.130	0.500	0.591
farm	plaas	0.781	0.327	0.297
farmer	boer	0.677	0.432	0.464
farmhouse	plaashuis	0.690	0.330	0.444
farming	boer	0.580	0.414	0.568
farmland	plaasgrond	0.729	0.363	0.509
faro	Faro	0.544	0.349	0.357
fart	poep	0.194	0.439	0.264
farther	verder	0.418	0.500	0.430
fascia	fascia	0.480	0.366	0.356
fascinate	bekoor	0.854	0.683	0.802
fascinated	gefassineer	0.812	0.714	0.788
fascinating	fassinerende	0.979	0.817	0.784
fascination	bekoring	0.885	0.773	0.835
fascism	fascisme	0.104	0.740	0.695
fascist	fascistiese	0.200	0.755	0.527
fashion	mode	0.827	0.616	0.589
fashionable	modieus	0.750	0.510	0.605
fastball	Fast Ball	0.688	0.679	0.575
fasten	vas	0.458	0.585	0.529
fastener	sluiting	0.577	0.377	0.491
fastening	bevestiging	0.594	0.473	0.554
fasting	vas	0.388	0.370	0.394
fat	vet	0.198	0.353	0.237
fatal	noodlottige	0.061	0.775	0.509
fatalism	fatalisme	0.208	0.694	0.631
fatality	doodmaak	0.062	0.798	0.595
fate	lot	0.571	0.479	0.712
fated	noodlottig	0.582	0.472	0.692
fateful	noodlottige	0.290	0.583	0.402
fathead	domkop	0.296	0.527	0.463
father	pa	0.812	0.333	0.824
fatherhood	vaderskap	0.885	0.519	0.682
fatherland	vaderland	0.729	0.469	0.778
fatherly	vaderlike	0.865	0.363	0.712
fathom	peil	0.520	0.410	0.523
fatigue	moegheid	0.173	0.378	0.265
fatigued	moeg	0.146	0.433	0.245
fatso	fatso	0.286	0.394	0.336
fatten	vet	0.375	0.549	0.363
fatty	vetterige	0.286	0.361	0.325
faucet	kraan	0.427	0.278	0.356
fault	fout	0.188	0.558	0.184
faultless	foutlose	0.792	0.500	0.741
faulty	foutiewe	0.184	0.520	0.378
faun	Faun	0.490	0.303	0.376
fauna	fauna	0.646	0.346	0.404
faux	faux	0.291	0.490	0.204
favor	ten gunste van	0.812	0.308	0.519
favorable	gunstige	0.952	0.380	0.788
favorite	gunsteling	0.885	0.590	0.691
favoriteholiday	NO TRANSLATION	0.867	0.618	0.582
favoritism	begunstiging	0.582	0.559	0.658
fawn	ligbruin	0.626	0.360	0.284
fax	faks	0.406	0.368	0.304
faze	NO TRANSLATION	0.417	0.515	0.382
fear	vrees	0.073	0.840	0.293
feared	gevrees	0.240	0.733	0.509
fearful	bang	0.083	0.482	0.278
fearfully	vreeslik	0.112	0.567	0.271
fearing	vrees	0.125	0.566	0.256
fearless	vreeslose	0.810	0.806	0.760
fears	vrese	0.061	0.821	0.306
fearsome	vreesaanjaende	0.115	0.900	0.586
feasibility	lewensvatbaarheid	0.653	0.490	0.741
feasible	haalbaar	0.694	0.388	0.611
feast	fees	0.979	0.724	0.680
feat	feat	0.750	0.706	0.849
feather	veer	0.677	0.208	0.144
feathered	geveer	0.438	0.288	0.214
feature	funksie	0.667	0.314	0.679
features	kenmerke	0.667	0.433	0.509
febrile	koors	0.429	0.578	0.414
fecal	fecale	0.255	0.528	0.213
feces	ontlasting	0.240	0.407	0.307
fecundity	vrugbaarheid	0.688	0.591	0.683
fed	gevoed	0.602	0.370	0.482
federal	federale	0.530	0.459	0.859
federation	federasie	0.633	0.354	0.763
fedup	siek en sat	0.327	0.500	0.352
fee	fooi	0.354	0.386	0.556
feeble	slap	0.157	0.280	0.109
feed	voer	0.812	0.429	0.739
feedback	terugvoer	0.622	0.557	0.645
feeder	voerder	0.604	0.452	0.713
feel	voel	0.802	0.602	0.596
feelgood	voel goed	0.990	0.441	0.621
feeling	gevoel	0.806	0.329	0.531
feelingdown	NO TRANSLATION	0.490	0.457	0.567
feelinggood	NO TRANSLATION	0.940	0.449	0.655
feet	voete	0.510	0.240	0.292
feign	Stel	0.340	0.394	0.356
feigned	geveinsde	0.173	0.602	0.333
feisty	vurige	0.592	0.853	0.789
felicity	Felicity	0.913	0.704	0.793
feline	kat	0.615	0.745	0.509
fell	val	0.255	0.462	0.250
feller	Feller	0.406	0.622	0.617
fellow	mede	0.745	0.298	0.570
fellowship	gemeenskap	0.900	0.429	0.778
felon	misdadiger	0.111	0.898	0.455
felony	misdaad	0.206	0.808	0.472
felt	gevoel	0.643	0.417	0.566
female	vroulike	0.857	0.520	0.625
feminine	vroulike	0.802	0.520	0.394
femininity	vroulikheid	0.750	0.479	0.451
feminism	feminisme	0.541	0.570	0.636
feminist	feministiese	0.510	0.560	0.585
femme	NO TRANSLATION	0.551	0.529	0.398
femoral	femorale	0.417	0.324	0.566
femur	femur	0.408	0.289	0.413
fen	NO TRANSLATION	0.490	0.276	0.379
fence	heining	0.500	0.198	0.398
fenced	omhein	0.323	0.430	0.429
fencing	omheining	0.542	0.654	0.539
fend	lot	0.646	0.731	0.537
fender	modderskerm	0.369	0.459	0.476
fennel	vinkel	0.573	0.277	0.389
ferment	fermenteer	0.375	0.531	0.418
fermentation	fermentasie	0.420	0.567	0.473
fern	varing	0.602	0.240	0.290
ferocious	kwaai	0.167	0.915	0.776
ferocity	wild	0.235	0.906	0.746
ferret	krimpvarkie	0.385	0.391	0.398
ferry	pont	0.604	0.509	0.389
ferryboat	NO TRANSLATION	0.594	0.452	0.553
fertile	vrugbare	0.888	0.408	0.704
fertility	vrugbaarheid	0.885	0.529	0.726
fertilize	bemes	0.708	0.443	0.542
fertilizer	kunsmis	0.438	0.463	0.565
fervent	vurige	0.646	0.632	0.773
fervor	ywer	0.573	0.769	0.651
fess	gesny	0.395	0.420	0.370
fest	fest	0.704	0.574	0.402
festival	fees	0.870	0.706	0.714
festive	feestelike	0.854	0.740	0.764
fetal	fetale	0.388	0.308	0.364
fetch	haal	0.479	0.363	0.491
fete	NO TRANSLATION	0.580	0.551	0.465
fetish	fetish	0.307	0.706	0.500
fetus	fetus	0.479	0.519	0.395
feud	vete	0.146	0.796	0.312
feudal	feodale	0.367	0.370	0.610
feudalism	feodalisme	0.229	0.465	0.607
fever	koors	0.194	0.674	0.364
feverish	koorsig	0.385	0.696	0.436
fiancee	NO TRANSLATION	0.959	0.626	0.556
fiasco	fiasko	0.167	0.600	0.200
fiat	Fiat	0.520	0.418	0.446
fib	fib	0.438	0.510	0.361
fiber	vesel	0.719	0.284	0.390
fiberglass	veselglas	0.451	0.451	0.443
fibrosis	fibrose	0.160	0.469	0.546
fibrous	veselagtige	0.480	0.441	0.464
fickle	wisselvallige	0.406	0.481	0.346
fiction	fiksie	0.438	0.657	0.441
fictional	fiktiewe	0.430	0.490	0.340
fictitious	fiktiewe	0.224	0.444	0.293
fiddle	viool	0.571	0.449	0.391
fiddler	Fiddler	0.615	0.580	0.500
fidelity	getrouheid	0.765	0.580	0.709
fidgety	kriewelrig	0.229	0.786	0.351
fiduciary	fidusiêre	0.375	0.400	0.509
field	veld	0.640	0.380	0.336
field hockey	Veldhokkie	0.602	0.786	0.518
fielder	veldwerker	0.583	0.378	0.415
fiend	monster	0.146	0.903	0.608
fiendish	duiwel	0.167	0.846	0.591
fierce	kwaai	0.281	0.877	0.759
fiery	vurige	0.418	0.850	0.721
fiesta	Fiesta	0.927	0.779	0.655
fiesty	NO TRANSLATION	0.571	0.663	0.472
fifteen	vyftien	0.490	0.290	0.443
fifty	vyftig	0.571	0.368	0.439
fig	Fig	0.573	0.390	0.339
