Word	Frisian-fy	Valence	Arousal	Dominance
digest	digest	0.720	0.413	0.483
digestion	digestion	0.531	0.410	0.455
digestive	digestive	0.542	0.413	0.434
digit	digit	0.447	0.286	0.333
digital	digitaal	0.740	0.382	0.529
dignified	weardich	0.766	0.481	0.635
dignify	dignify	0.854	0.588	0.735
dignity	weardichheid	0.844	0.391	0.873
digress	ôfbrekke	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	dike	0.360	0.384	0.490
dilapidated	ferwûne	0.229	0.618	0.286
dilatation	dilataasje	0.385	0.574	0.368
dilation	dilation	0.347	0.490	0.578
dildo	dildo	0.536	0.587	0.491
dilemma	dilemma	0.153	0.590	0.430
diligence	iver	0.688	0.423	0.700
diligent	fleurich	0.760	0.426	0.759
dill	dill	0.427	0.360	0.373
diluent	diluent	0.417	0.344	0.332
dilute	ferwiderje	0.275	0.192	0.349
diluted	ferwiderje	0.469	0.310	0.229
dilution	ferwidering	0.445	0.337	0.352
dim	dim	0.398	0.321	0.273
dime	dime	0.653	0.317	0.345
dimension	diminsje	0.592	0.415	0.627
dimensional	dimensional	0.561	0.484	0.596
diminish	ferminderje	0.240	0.357	0.167
diminished	fermindere	0.156	0.269	0.196
diminution	fermindering	0.316	0.296	0.245
diminutive	ferminderje	0.323	0.200	0.109
dimwit	dimwit	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	dine	0.821	0.519	0.478
diner	diner	0.643	0.302	0.538
dinghy	dinghy	0.510	0.269	0.325
dingo	dingo	0.608	0.472	0.346
dingy	dingy	0.156	0.483	0.343
dining	dining	0.724	0.350	0.459
dinky	dinky	0.357	0.451	0.358
dinner	iten	0.823	0.392	0.379
dinnertime	itenstiid	0.796	0.406	0.341
dinosaur	dinosaurus	0.448	0.630	0.596
dint	dint	0.378	0.480	0.492
diocesan	dioseeske	0.520	0.283	0.518
diocese	Dioseske	0.510	0.288	0.575
diorama	diorama	0.592	0.441	0.462
dioxide	dioxide	0.354	0.433	0.456
dip	dip	0.516	0.583	0.397
diploma	diploma	0.750	0.462	0.731
diplomacy	diplomaat	0.740	0.396	0.774
diplomat	diplomaat	0.563	0.262	0.868
diplomatic	diplomaat	0.653	0.363	0.918
dipper	dipper	0.548	0.361	0.348
dippy	dippy	0.430	0.402	0.340
dipstick	dipstick	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	direkt	0.793	0.403	0.650
directed	rjochte	0.542	0.490	0.541
direction	rjochting	0.719	0.330	0.684
directive	direkteur	0.604	0.530	0.918
directly	direkt	0.747	0.400	0.702
director	direkteur	0.688	0.580	0.912
directory	directory	0.439	0.413	0.538
dirt	smoargens	0.112	0.500	0.236
dirty	smoarch	0.153	0.460	0.170
disability	ynvaliditeit	0.073	0.482	0.173
disable	útskeakelje	0.115	0.430	0.269
disabled	ynvalide	0.308	0.443	0.235
disadvantage	neidiel	0.150	0.377	0.282
disaffected	disaffected	0.176	0.410	0.291
disagree	net iens	0.133	0.590	0.345
disagreeable	geweldich	0.042	0.643	0.178
disagreeing	net iens	0.255	0.643	0.350
disagreement	Ungelokens	0.104	0.618	0.236
disallow	ôfbrekke	0.156	0.519	0.424
disallowed	ûntslein	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	ferdwine	0.143	0.441	0.350
disappearance	ferdwining	0.214	0.698	0.367
disappearing	ferdwine	0.167	0.427	0.379
disappoint	ûntbrekke	0.150	0.633	0.288
disappointed	teloarsteld	0.071	0.472	0.241
disappointing	teloarstellend	0.073	0.640	0.200
disappointment	teloarstelling	0.115	0.490	0.336
disapproval	disapproval	0.085	0.551	0.367
disapprove	ôfbrekke	0.160	0.594	0.445
disapproved	ûntslein	0.104	0.550	0.114
disapproving	ôfwikend	0.245	0.625	0.452
disarm	disarm	0.292	0.528	0.613
disarray	ôfbrekke	0.198	0.657	0.223
disaster	ramp	0.082	0.892	0.433
disastrous	funest	0.071	0.741	0.439
disband	disband	0.302	0.491	0.417
disbelief	ûnleauw	0.188	0.409	0.373
disbelieve	ûnleauwe	0.188	0.441	0.352
disburse	ôfbrekke	0.418	0.473	0.353
disbursement	ôfbieding	0.240	0.443	0.435
disc	disk	0.622	0.410	0.426
discard	ferwiderje	0.240	0.343	0.337
discarded	ôfwike	0.229	0.460	0.308
discards	ûntslach	0.240	0.464	0.391
discern	erkennen	0.459	0.566	0.518
discernible	erkennbar	0.427	0.441	0.481
discerning	ynsjoch	0.542	0.584	0.780
discernment	discernment	0.408	0.471	0.694
discharge	ôfslach	0.427	0.538	0.578
disciple	dissipel	0.765	0.385	0.462
disciplinary	disiplinêr	0.562	0.593	0.796
discipline	dissipline	0.615	0.471	0.806
disciplined	disiplinearre	0.728	0.450	0.750
disclaim	disclaim	0.235	0.509	0.321
disclaimer	disclaimer	0.367	0.571	0.542
disclose	bekend meitsje	0.490	0.570	0.545
disclosed	disclosed	0.271	0.575	0.546
disclosure	disclosure	0.500	0.615	0.710
disco	disco	0.710	0.806	0.575
discoloration	ferfroulingen	0.224	0.373	0.414
discolored	ferfalt	0.204	0.340	0.269
discomfort	discomfort	0.153	0.719	0.272
disconcerted	besmette	0.100	0.612	0.288
disconcerting	misbrûk	0.106	0.549	0.269
disconnect	ôfskiede	0.438	0.292	0.191
disconnected	ôfsluten	0.292	0.276	0.173
disconnection	ôfsluting	0.167	0.283	0.277
disconnects	ôfsknept	0.256	0.357	0.241
discontent	Untstean	0.240	0.530	0.263
discontinuance	diskontinuaasje	0.123	0.741	0.337
discontinue	stopje	0.354	0.396	0.349
discontinuity	diskontinuiteit	0.303	0.439	0.250
discontinuous	diskontinuist	0.233	0.409	0.316
discord	Ungelok	0.115	0.882	0.465
discount	koarting	0.724	0.530	0.302
discounted	redendearre	0.677	0.471	0.430
discourage	ûntmunt	0.184	0.443	0.267
discouraged	ûntmoedige	0.220	0.304	0.090
discouragement	ûntrou	0.112	0.319	0.206
discouraging	ûntkrêftigje	0.167	0.469	0.281
discourse	diskusje	0.410	0.550	0.803
discover	ûntdekke	0.771	0.793	0.673
discovery	ûntdekking	0.823	0.627	0.814
discredit	diskredyt	0.075	0.529	0.355
discredited	diskredyt	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	diskrepânsje	0.260	0.643	0.417
discrete	diskrete	0.585	0.231	0.429
discretion	diskretion	0.552	0.320	0.685
discretionary	diskriminaasje	0.520	0.365	0.446
discriminate	diskriminearje	0.125	0.761	0.366
discriminating	diskriminearjend	0.160	0.783	0.462
discrimination	diskriminaasje	0.051	0.724	0.379
discus	diskusje	0.542	0.423	0.343
discuss	diskusjearje	0.396	0.769	0.509
discussion	diskusje	0.333	0.842	0.536
disdain	ferfalle	0.153	0.446	0.441
disdainful	ûngeduldich	0.097	0.480	0.263
disease	sykte	0.041	0.539	0.333
diseased	sykte	0.123	0.510	0.134
disembodied	disembodied	0.167	0.620	0.412
disengage	ûntbrekke	0.406	0.529	0.304
disengagement	disengagement	0.327	0.373	0.395
disfigured	disfigured	0.153	0.613	0.336
disgrace	skande	0.061	0.531	0.331
disgraced	ôfgryslik	0.071	0.661	0.250
disgraceful	skamje	0.082	0.702	0.240
disgruntled	disgruntled	0.104	0.658	0.442
disguise	fergriemje	0.573	0.694	0.431
disguised	ferkocht	0.500	0.615	0.326
disgust	wearze	0.052	0.775	0.317
disgusted	ôfgryslik	0.051	0.773	0.274
disgusting	ôfgryslik	0.031	0.796	0.245
dish	plat	0.552	0.255	0.264
disheartened	ferwûnen	0.153	0.343	0.238
disheartening	ûnrjocht	0.010	0.353	0.224
dishonest	ûnearlik	0.191	0.491	0.163
dishonesty	ûnwittendheid	0.094	0.592	0.348
dishonor	Wetter - Agrarwetter	0.104	0.620	0.185
dishonorable	ûnskuldich	0.112	0.641	0.280
dishwasher	ôfwaskmasjine	0.480	0.296	0.324
disillusionment	disillusionment	0.051	0.519	0.190
disinclination	disinclination	0.125	0.491	0.330
disincline	disline	0.458	0.454	0.278
disinclined	disinclined	0.385	0.442	0.364
disinfect	disinfect	0.448	0.388	0.648
disinfectant	disinfektant	0.531	0.429	0.460
disinfection	disinfection	0.517	0.556	0.473
disinformation	disinformation	0.230	0.577	0.260
disingenuous	ûntbrekt	0.194	0.509	0.204
disintegrate	ûntbrekke	0.143	0.660	0.364
disintegration	disintegration	0.094	0.551	0.381
disinterested	disinterested	0.398	0.284	0.392
disjoint	disjoint	0.351	0.385	0.322
disjointed	disjointed	0.323	0.518	0.365
disjunctive	disjunktyf	0.286	0.481	0.400
disk	skiif	0.573	0.423	0.412
diskette	diskette	0.531	0.255	0.391
dislike	ôfwike	0.156	0.406	0.321
disliked	ferdwûn	0.062	0.510	0.221
disliking	ferdwine	0.163	0.637	0.366
dislocated	dislocated	0.125	0.625	0.200
dislocation	dislokaasje	0.229	0.565	0.373
dislodge	dislodge	0.214	0.769	0.356
disloyal	disloyal	0.062	0.582	0.245
disloyalty	disloyalty	0.187	0.716	0.267
dismal	geweldich	0.194	0.450	0.192
dismantle	ôfbrekke	0.347	0.644	0.462
dismay	ferrassing	0.314	0.681	0.459
dismayed	ferwûne	0.165	0.735	0.389
dismemberment	fersmoarging	0.104	0.860	0.470
dismiss	ôfreizgje	0.167	0.541	0.509
dismissal	ûntslach	0.153	0.723	0.271
dismissive	ôfwikend	0.188	0.541	0.430
dismount	ôfbrekke	0.361	0.423	0.391
disobedience	disobedience	0.051	0.868	0.369
disobedient	disobedient	0.276	0.706	0.353
disobey	disobey	0.143	0.556	0.491
disorder	disoarder	0.115	0.816	0.218
disordered	ûnregelmjittich	0.210	0.714	0.288
disorderly	disorderly	0.188	0.748	0.385
disorganized	disorganized	0.052	0.507	0.184
disorientation	disorientaasje	0.163	0.472	0.212
disoriented	disorientearre	0.227	0.643	0.227
disown	ôfwike	0.153	0.637	0.368
disparage	ferdwine	0.092	0.663	0.336
disparaging	disparaging	0.102	0.626	0.411
disparate	ferskille	0.438	0.500	0.368
disparity	disparity	0.208	0.482	0.361
dispassionate	dispassionate	0.199	0.217	0.218
dispatch	ferfange	0.317	0.417	0.555
dispatcher	dispatcher	0.365	0.704	0.652
dispel	disel	0.388	0.402	0.411
dispensary	dispensary	0.406	0.380	0.606
dispensation	dispensaasje	0.388	0.462	0.490
dispense	ûntbrekke	0.561	0.520	0.518
dispenser	dispenser	0.583	0.392	0.470
dispersal	dispersieel	0.388	0.507	0.421
disperse	disperse	0.375	0.569	0.434
dispersed	dispersearre	0.344	0.490	0.274
dispersion	dispersion	0.270	0.604	0.350
dispirited	ferwiderje	0.204	0.280	0.142
displace	ferwiderje	0.424	0.541	0.454
displaced	ferpletterje	0.281	0.472	0.291
displacement	ferpleatst	0.276	0.531	0.481
displacency	displacency	0.500	0.528	0.642
display	skerm	0.677	0.325	0.400
displease	ferdwine	0.021	0.702	0.286
displeased	fereale	0.135	0.690	0.400
displeasure	displeasure	0.115	0.559	0.250
disposable	disposabel	0.271	0.439	0.250
disposal	Wetter - Agrarwetter	0.135	0.608	0.396
dispose	dispose	0.548	0.538	0.559
disposed	Wetter - Agrarwetter	0.688	0.441	0.625
disposition	disposysje	0.663	0.542	0.734
dispossessed	útstapke	0.354	0.577	0.331
disprove	fersprate	0.375	0.625	0.613
dispute	diskusje	0.219	0.750	0.585
disqualification	disqualifikaasje	0.066	0.677	0.330
disqualified	disqualified	0.129	0.464	0.232
disqualify	disqualify	0.208	0.595	0.267
disquieted	ferwûne	0.229	0.850	0.290
disregard	ôfwike	0.177	0.647	0.308
disregarded	net oardere	0.260	0.458	0.283
disrelish	ferdylgje	0.375	0.471	0.304
disreputable	ûnreputabele	0.104	0.688	0.353
disrepute	disrepute	0.208	0.630	0.292
disrespect	disrespect	0.062	0.637	0.302
disrespectful	disrespectful	0.031	0.694	0.273
disrupt	ôfbrekke	0.265	0.640	0.349
disrupting	ôfbrekke	0.186	0.557	0.339
disruption	disruption	0.235	0.735	0.436
disruptive	ferbrekke	0.255	0.755	0.575
dissatisfaction	Unbefrediging	0.115	0.663	0.202
dissatisfied	net tefreden	0.042	0.561	0.291
dissect	dissect	0.367	0.750	0.595
dissection	dissection	0.276	0.632	0.462
disseminate	ferbrekke	0.562	0.608	0.750
dissemination	fersprieding	0.476	0.551	0.583
dissension	dissension	0.250	0.618	0.414
dissent	dissent	0.300	0.655	0.407
dissenting	dissenting	0.208	0.552	0.366
dissertation	dissertaasje	0.312	0.575	0.575
disservice	disservice	0.250	0.794	0.480
dissident	dissident	0.350	0.582	0.413
dissimilar	dissimilar	0.276	0.461	0.472
dissipate	ûntbrekke	0.385	0.368	0.355
dissipated	ferdwûn	0.281	0.421	0.231
dissociation	dissociation	0.135	0.555	0.471
dissociative	dissociative	0.281	0.615	0.397
dissolution	dissolution	0.204	0.464	0.349
dissolve	oplosse	0.271	0.490	0.410
dissonance	dissonance	0.173	0.471	0.336
dissuade	ôfbrekke	0.482	0.500	0.350
distal	distal	0.410	0.401	0.438
distance	ôfstân	0.233	0.317	0.418
distant	fier	0.229	0.324	0.269
distaste	distaste	0.184	0.625	0.370
distasteful	ferdoarn	0.264	0.676	0.222
distillate	distillate	0.500	0.347	0.382
distillation	destillaasje	0.396	0.436	0.575
distilled	distillearre	0.427	0.573	0.500
distinct	ûnderskiede	0.542	0.578	0.509
distinction	ûnderskied	0.584	0.571	0.750
distinctive	ûnderskiedend	0.885	0.520	0.604
distinguish	ûnderskiede	0.675	0.471	0.600
distinguishable	ûnderskiede	0.635	0.530	0.727
distinguished	ûnderskiede	0.823	0.593	0.759
distinguishing	ûnderskiede	0.622	0.363	0.640
distort	fersteurje	0.100	0.740	0.366
distorted	ferwurde	0.250	0.521	0.280
distortion	Ferfoarming	0.299	0.570	0.380
distract	distract	0.241	0.609	0.336
distracted	ôfwike	0.194	0.392	0.213
distracting	distraasje	0.445	0.583	0.400
distraction	distraction	0.402	0.557	0.390
distraught	distraught	0.115	0.903	0.264
distress	need	0.073	0.840	0.396
distressed	eangst	0.143	0.771	0.324
distressing	distressing	0.075	0.750	0.375
distribute	distribuearje	0.643	0.596	0.709
distribution	Distribúsje	0.635	0.548	0.788
distributor	distributor	0.702	0.447	0.718
district	distrikt	0.438	0.327	0.660
distrust	mistrouwen	0.060	0.670	0.276
disturb	stjerre	0.175	0.760	0.481
disturbance	stoarm	0.146	0.907	0.404
disturbed	fersteurde	0.125	0.870	0.305
disturbing	fersteure	0.146	0.792	0.439
disuse	net brûke	0.229	0.229	0.202
disused	disuse	0.250	0.302	0.186
ditch	sleat	0.357	0.364	0.322
ditto	ditto	0.449	0.418	0.411
ditty	ditty	0.470	0.433	0.334
diurnal	tydlik	0.714	0.296	0.443
diva	diva	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	dûke	0.583	0.531	0.500
diver	diver	0.594	0.520	0.564
diverge	diverge	0.375	0.657	0.520
divergence	divergenheid	0.429	0.615	0.687
divergent	divergent	0.449	0.660	0.587
diverging	divergen	0.417	0.613	0.573
divers	diversen	0.583	0.580	0.602
diverse	ferskillend	0.562	0.519	0.604
diversified	diversified	0.602	0.538	0.549
diversify	diversify	0.656	0.588	0.464
diversion	ôfwikseling	0.740	0.821	0.714
diversionary	diversionary	0.551	0.587	0.300
diversity	ferskaat	0.806	0.472	0.711
divert	ôfbrekke	0.344	0.622	0.407
diverting	ferdwine	0.396	0.571	0.537
divest	fertsjinje	0.365	0.547	0.424
divested	ôfwiksele	0.333	0.449	0.311
divestment	ferkeap	0.302	0.509	0.382
divide	ferdiele	0.333	0.520	0.417
divided	ferdield	0.271	0.623	0.391
dividend	dividend	0.583	0.491	0.566
divination	divyzje	0.500	0.650	0.545
divine	godlik	0.918	0.571	0.885
divinity	divinaasje	0.896	0.559	0.774
divisible	te dielen	0.323	0.462	0.411
division	ferdieling	0.370	0.481	0.472
divisor	divisor	0.344	0.517	0.455
divorce	skieding	0.042	0.700	0.385
divorcee	skiede	0.153	0.610	0.481
divulge	fertel	0.531	0.718	0.467
divvy	divyzje	0.351	0.462	0.429
dizziness	dizziness	0.229	0.555	0.254
dizzy	dizzy	0.199	0.582	0.193
do	dwaan	0.670	0.548	0.536
doable	docht	0.760	0.404	0.675
doc	doc	0.458	0.317	0.392
docile	docile	0.604	0.259	0.264
dock	dock	0.490	0.409	0.481
docked	docked	0.281	0.754	0.398
docket	dûke	0.505	0.509	0.607
docking	docking	0.354	0.596	0.587
doctor	dokter	0.700	0.531	0.861
doctorate	doktoraat	0.776	0.479	0.841
doctrinal	doctrinal	0.510	0.373	0.673
doctrine	doctrine	0.500	0.394	0.769
document	dokumint	0.594	0.240	0.667
documentary	dokumintêre	0.622	0.213	0.596
documentation	dokumintaasje	0.719	0.290	0.667
documents	dokuminten	0.530	0.250	0.587
dodge	Dodge	0.333	0.760	0.509
dodger	dodger	0.427	0.454	0.490
dodging	dodging	0.396	0.654	0.382
dodgy	dodgy	0.281	0.510	0.254
dodo	dodo	0.438	0.306	0.353
doe	doe	0.550	0.336	0.336
doer	doer	0.724	0.550	0.728
dog	hûn	0.704	0.500	0.407
dogface	dogface	0.219	0.470	0.264
dogged	dogged	0.255	0.750	0.594
doggy	doggy	0.646	0.491	0.404
doghouse	doghouse	0.438	0.417	0.340
dogma	dogma	0.530	0.460	0.719
dogmatic	dogmatysk	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	doings	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	dojo	0.500	0.435	0.455
doldrums	doldrums	0.229	0.425	0.266
dole	dole	0.448	0.402	0.348
doll	pop	0.729	0.321	0.330
dollar	dollar	0.755	0.632	0.694
dollhouse	dollhouse	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	dolfyn	0.776	0.350	0.414
domain	domein	0.573	0.549	0.828
dome	dome	0.620	0.398	0.509
domestic	húshâldlik	0.729	0.327	0.500
domesticated	domestyk	0.635	0.360	0.294
domestication	domestication	0.594	0.390	0.435
domicile	domicile	0.604	0.292	0.529
domiciled	domiciled	0.542	0.340	0.516
dominance	dominânsje	0.542	0.775	0.839
dominant	dominant	0.406	0.854	0.893
dominate	dominje	0.439	0.814	0.953
dominating	dominante	0.427	0.769	0.902
domination	dominaasje	0.505	0.786	0.959
dominatrix	dominatrix	0.390	0.727	0.709
dominion	dominaasje	0.542	0.704	0.890
domino	domino	0.594	0.510	0.473
don	don	0.646	0.454	0.702
donate	jouwe	0.774	0.462	0.577
donation	donaasje	0.792	0.398	0.602
donkey	ezel	0.406	0.367	0.245
donor	donor	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	gjin panyk	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	doodle	0.604	0.402	0.376
doom	doom	0.073	0.750	0.442
doomed	ferwûne	0.041	0.755	0.301
doomsday	doomsday	0.125	0.861	0.670
door	doar	0.549	0.189	0.421
doorbell	doorbell	0.564	0.500	0.307
doorknob	doorknob	0.406	0.553	0.462
doorman	doorman	0.570	0.371	0.491
doormat	doormat	0.458	0.269	0.267
doornail	doornail	0.459	0.370	0.423
doorstep	doorstep	0.531	0.274	0.391
doorway	doorway	0.573	0.304	0.496
dopamine	dopamine	0.548	0.469	0.426
dope	dope	0.295	0.855	0.425
dopey	dopey	0.320	0.380	0.365
dork	dork	0.272	0.519	0.361
dorky	dorky	0.302	0.480	0.390
dorm	dorm	0.719	0.194	0.327
dormant	dormant	0.385	0.245	0.245
dormitory	dormitorium	0.633	0.204	0.382
dorsal	dorsal	0.449	0.360	0.445
dosage	dosage	0.344	0.450	0.490
dose	dose	0.458	0.490	0.427
dossier	dossier	0.357	0.380	0.544
dot	dot	0.434	0.290	0.391
doting	doting	0.888	0.415	0.426
dotted	dotted	0.480	0.347	0.426
dotty	dotty	0.375	0.402	0.393
double	dûbel	0.677	0.378	0.569
doubled	ferwachte	0.427	0.536	0.560
doublet	doublet	0.420	0.431	0.500
doubling	dûbeld	0.459	0.452	0.464
doubt	twivel	0.395	0.351	0.231
doubtful	twivel	0.250	0.465	0.241
doubting	twivelje	0.224	0.560	0.189
doubtless	geweldich	0.688	0.415	0.689
doubts	twifel	0.306	0.448	0.305
douche	douche	0.490	0.413	0.397
douchebags	douchebags	0.327	0.587	0.366
dough	daai	0.588	0.229	0.391
doughboy	doughboy	0.365	0.443	0.396
doughnut	donut	0.663	0.380	0.279
dour	dur	0.360	0.404	0.325
douse	douse	0.365	0.453	0.412
dove	do	0.729	0.235	0.437
down	omleech	0.208	0.330	0.264
downcast	Wetter - Agrarwetter	0.071	0.500	0.222
downer	downer	0.120	0.594	0.226
downfall	ferdoarn	0.200	0.717	0.182
downfield	downfield	0.521	0.330	0.380
downhearted	ferdoarn	0.119	0.461	0.255
downhill	downhill	0.292	0.573	0.279
download	download	0.602	0.490	0.503
downpour	ferdwine	0.328	0.602	0.481
downright	oprjocht	0.625	0.454	0.679
downriver	downriver	0.542	0.469	0.279
downside	neidiel	0.190	0.400	0.246
downtime	downtime	0.240	0.226	0.324
downward	nei ûnderen	0.188	0.347	0.255
downy	downy	0.630	0.170	0.255
dowry	dowry	0.604	0.453	0.544
doze	doze	0.592	0.200	0.405
dozen	dozen	0.583	0.343	0.425
drab	drab	0.327	0.300	0.242
draft	ûntwerp	0.438	0.360	0.351
drafty	drafty	0.458	0.500	0.518
drag	dragje	0.388	0.606	0.348
dragon	draak	0.541	0.821	0.712
dragonfly	dragonfly	0.571	0.373	0.357
drain	drain	0.277	0.470	0.222
drainage	drainage	0.219	0.354	0.307
drained	drained	0.310	0.441	0.352
draining	draining	0.337	0.396	0.304
drainpipe	drainpipe	0.417	0.413	0.277
drake	drake	0.467	0.411	0.452
drama	drama	0.430	0.755	0.481
dramaqueen	NO TRANSLATION	0.337	0.682	0.482
dramatic	dramatysk	0.367	0.780	0.443
drape	drape	0.417	0.439	0.404
drapery	drapery	0.479	0.220	0.223
drastic	drastysk	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	ûntwerp	0.465	0.245	0.316
draw	tekenje	0.704	0.449	0.481
drawback	tekoart	0.302	0.422	0.148
drawbridge	drawbridge	0.551	0.557	0.438
drawer	drawer	0.429	0.196	0.292
drawers	skuorre	0.539	0.260	0.236
drawing	tekening	0.698	0.216	0.333
dread	dread	0.153	0.792	0.368
dreaded	dreaded	0.122	0.706	0.460
dreadful	dreadful	0.092	0.786	0.348
dreadfully	dreadfully	0.246	0.806	0.306
dreading	dreading	0.125	0.760	0.377
dream	dream	0.844	0.157	0.328
dreamboat	dreamboat	0.776	0.491	0.458
dreamer	dreamer	0.820	0.394	0.455
dreaming	dreamen	0.854	0.320	0.336
dreamland	dreamland	0.844	0.471	0.566
dreams	dreamen	0.865	0.415	0.530
dreamt	dreamden	0.812	0.380	0.518
dreamy	dreamlike	0.837	0.350	0.500
dreary	dreary	0.260	0.490	0.324
dredge	dredge	0.427	0.445	0.444
drenched	dronken	0.302	0.361	0.388
dress	jurk	0.760	0.300	0.345
dresser	dresser	0.604	0.398	0.473
dressmaker	dressmaker	0.698	0.460	0.483
dressy	dressy	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	droege	0.427	0.260	0.385
drier	drier	0.306	0.347	0.392
drift	drift	0.316	0.520	0.375
drifted	drifted	0.312	0.542	0.310
drifter	drifter	0.449	0.512	0.391
driftwood	driftwood	0.321	0.283	0.439
drill	drill	0.250	0.602	0.573
drink	drinke	0.650	0.552	0.474
drinker	drinker	0.365	0.735	0.441
drinking	drinke	0.562	0.459	0.317
drinks	dranken	0.729	0.656	0.412
drip	drip	0.392	0.193	0.175
dripping	drippen	0.302	0.257	0.267
drive	ride	0.625	0.689	0.713
drivel	drivel	0.398	0.469	0.463
driver	sjauffeur	0.553	0.538	0.637
driveway	oplieding	0.612	0.392	0.689
drizzle	heiter	0.521	0.353	0.319
droll	droll	0.459	0.573	0.422
drone	dronken	0.429	0.686	0.596
drones	dronken	0.398	0.577	0.588
drool	drool	0.385	0.398	0.204
drooping	drooping	0.245	0.558	0.353
droopy	droopy	0.438	0.350	0.297
drop	falle	0.479	0.321	0.291
droplet	droplet	0.625	0.208	0.194
dropout	útfalle	0.253	0.550	0.481
dropper	dropper	0.333	0.216	0.236
drought	droechte	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	dronken	0.071	0.860	0.270
drowsiness	drogens	0.260	0.194	0.303
drowsy	drôsy	0.375	0.180	0.240
drudgery	drudgery	0.094	0.522	0.241
drug	drug	0.214	0.790	0.453
drug dealing	drugshannel	0.042	0.843	0.500
drugged	drogen	0.102	0.750	0.321
druggist	druggist	0.240	0.561	0.417
drugs	drugs	0.167	0.750	0.368
drugstore	drogisterij	0.490	0.343	0.518
druid	druide	0.517	0.445	0.481
drum	drum	0.615	0.679	0.339
drummer	drummer	0.646	0.700	0.564
drumming	drumming	0.594	0.750	0.426
drunk	dronken	0.194	0.800	0.250
drunk driving	dronken fytsen	0.073	0.900	0.306
drunkard	dronken	0.240	0.873	0.250
drunken	dronken	0.155	0.849	0.250
drunkenness	dronkenheid	0.214	0.774	0.336
dry	droech	0.363	0.169	0.311
dryer	dryer	0.479	0.343	0.277
dryness	droegeheid	0.292	0.296	0.263
dual	dual	0.573	0.330	0.384
dualism	dualisme	0.490	0.406	0.536
duality	duality	0.438	0.520	0.503
dub	dub	0.510	0.480	0.387
dubious	dubieuze	0.414	0.480	0.198
duchess	dochter	0.656	0.548	0.711
duck	duck	0.594	0.337	0.236
ducking	ducking	0.344	0.573	0.294
duckling	duckling	0.602	0.353	0.263
ducky	ducky	0.520	0.430	0.368
duct	duct	0.449	0.435	0.430
ductile	duktile	0.508	0.420	0.433
dud	dud	0.167	0.455	0.246
dude	dude	0.809	0.356	0.615
duds	doden	0.347	0.311	0.339
due	Wetter - Agrarwetter	0.562	0.340	0.467
duel	duel	0.271	0.696	0.589
dues	dues	0.367	0.461	0.288
duet	duet	0.694	0.693	0.527
duffel	duffel	0.500	0.400	0.384
dugout	dugout	0.490	0.370	0.463
duh	duh	0.357	0.461	0.364
duke	duke	0.667	0.440	0.669
dull	dull	0.194	0.120	0.185
dullard	dullard	0.450	0.480	0.365
dumb	stom	0.188	0.330	0.151
dumbasses	dumbasses	0.316	0.590	0.363
dumbbell	dumbbell	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	dumfound	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	dummy	0.440	0.144	0.250
dump	dump	0.345	0.500	0.370
dumpling	dumpling	0.580	0.321	0.360
dumps	dumps	0.302	0.583	0.365
dumpster	dumpster	0.229	0.418	0.101
dun	dun	0.458	0.431	0.339
dunce	dunce	0.188	0.327	0.146
dune	dún	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	dungeon	0.276	0.608	0.440
dunk	dunk	0.406	0.333	0.475
duo	duo	0.510	0.500	0.447
dupe	dupe	0.184	0.760	0.327
duplex	duplex	0.592	0.452	0.467
duplicate	duplikaat	0.521	0.490	0.338
duplication	duplication	0.480	0.564	0.577
duplicity	duplijkheid	0.406	0.500	0.578
durability	duorsumens	0.750	0.398	0.813
durable	duorsume	0.740	0.294	0.688
duration	doer	0.656	0.370	0.536
duress	duress	0.302	0.569	0.612
dusk	dusk	0.532	0.276	0.519
dusky	dusky	0.229	0.528	0.324
dust	stof	0.344	0.246	0.241
duster	duster	0.408	0.265	0.296
