Word	Vietnamese-vi	Valence	Arousal	Dominance
constituency	cử tri	0.500	0.480	0.696
constituent	thành phần	0.573	0.500	0.827
constituents	thành phần	0.573	0.414	0.833
constitute	cấu tạo	0.812	0.349	0.906
constitution	hiến pháp	0.590	0.380	0.889
constitutional	hiến pháp	0.633	0.418	0.827
constitutionality	tính hợp hiến	0.612	0.439	0.853
constrain	hạn chế	0.261	0.500	0.500
constrained	bị ràng buộc	0.135	0.537	0.357
constraint	hạn chế	0.323	0.550	0.481
construct	xây dựng	0.750	0.648	0.792
construction	xây dựng	0.848	0.612	0.759
constructive	xây dựng	0.860	0.570	0.812
construe	construe	0.602	0.519	0.553
consul	lãnh sự	0.573	0.354	0.688
consulate	lãnh sự quán	0.561	0.453	0.694
consult	tư vấn	0.755	0.370	0.441
consultant	tư vấn	0.770	0.344	0.808
consultation	tư vấn	0.660	0.463	0.625
consume	tiêu thụ	0.427	0.620	0.509
consumer	khách hàng	0.507	0.551	0.677
consuming	tiêu thụ	0.573	0.541	0.536
consummate	consummate	0.551	0.540	0.558
consummation	sự hoàn thành	0.583	0.676	0.661
consumption	tiêu thụ	0.390	0.531	0.538
contact	tiếp xúc	0.719	0.424	0.526
contagion	sự lây lan	0.208	0.630	0.535
contagious	truyền nhiễm	0.184	0.725	0.400
contain	chứa	0.542	0.490	0.658
container	thùng đựng hàng	0.551	0.396	0.561
containment	ngăn chặn	0.411	0.491	0.618
contaminate	làm ô uế	0.140	0.611	0.426
contaminated	bị ô nhiễm	0.040	0.500	0.368
contamination	ô nhiễm	0.125	0.610	0.375
contemplate	thưởng ngoạn	0.740	0.347	0.642
contemplation	sự suy ngẫm	0.552	0.324	0.627
contemplative	chiêm niệm	0.729	0.308	0.739
contemporaneous	đồng thời	0.640	0.373	0.591
contemporary	đồng thời	0.720	0.365	0.569
contempt	khinh miệt	0.206	0.635	0.396
contemptible	đáng trách	0.146	0.657	0.471
contemptuous	khinh thường	0.204	0.500	0.375
contend	tranh đấu	0.510	0.657	0.731
contender	người tranh đấu	0.480	0.790	0.681
contending	tranh đấu	0.490	0.698	0.716
content	Nội dung	0.764	0.296	0.559
contented	hài lòng	0.857	0.612	0.746
contention	tranh chấp	0.375	0.510	0.738
contentious	gây tranh cãi	0.422	0.573	0.637
contentment	sự thỏa mãn	0.875	0.610	0.782
contents	nội dung	0.656	0.375	0.550
contest	Cuộc thi	0.667	0.698	0.717
contestant	thí sinh	0.760	0.530	0.602
context	bối cảnh	0.531	0.300	0.553
contiguous	tiếp giáp	0.375	0.450	0.500
continence	liên tục	0.450	0.396	0.469
continent	lục địa	0.551	0.373	0.833
continental	lục địa	0.486	0.350	0.755
contingency	dự phòng	0.396	0.500	0.670
contingent	đội ngũ	0.470	0.531	0.659
continual	liên tục	0.500	0.423	0.685
continually	liên tục	0.646	0.438	0.698
continuance	sự tiếp tục	0.729	0.510	0.652
continuation	sự tiếp tục	0.615	0.470	0.566
continue	tiếp tục	0.630	0.427	0.612
continued	tiếp tục	0.635	0.440	0.500
continuing	tiếp tục	0.667	0.500	0.520
continuity	liên tục	0.781	0.439	0.684
continuous	liên tiếp	0.625	0.509	0.580
continuously	liên tục	0.719	0.417	0.702
continuum	liên tục	0.677	0.390	0.491
contour	viền	0.589	0.265	0.414
contraband	lậu	0.177	0.875	0.670
contraception	biện pháp tránh thai	0.296	0.518	0.525
contract	hợp đồng	0.594	0.412	0.636
contracted	ký hợp đồng	0.344	0.557	0.449
contractile	co lại	0.480	0.586	0.569
contracting	ký hợp đồng	0.594	0.490	0.769
contraction	co lại	0.292	0.755	0.603
contractor	nhà thầu	0.592	0.479	0.727
contradict	mâu thuẫn	0.160	0.598	0.482
contradiction	mâu thuẫn	0.250	0.660	0.377
contradictory	mâu thuẫn	0.365	0.651	0.421
contraption	contraption	0.448	0.590	0.491
contrary	trái lại	0.327	0.449	0.338
contrast	tương phản	0.480	0.406	0.520
contrasted	tương phản	0.521	0.538	0.491
contravene	trái với	0.357	0.618	0.472
contravention	trái ngược	0.344	0.627	0.593
contribute	Góp phần	0.806	0.350	0.795
contribution	sự đóng góp	0.854	0.452	0.760
contributor	người đóng góp	0.844	0.510	0.760
contrite	ăn năn	0.347	0.363	0.473
contrition	sự thay đổi	0.347	0.583	0.463
contrived	giả vờ	0.408	0.530	0.458
control	điều khiển	0.729	0.352	0.808
controller	bộ điều khiển	0.469	0.712	0.868
controlling	kiểm soát	0.490	0.441	0.885
controversial	gây tranh cãi	0.271	0.858	0.538
controversy	tranh cãi	0.250	0.819	0.600
contusion	sự can thiệp	0.167	0.565	0.509
conundrum	câu hỏi hóc búa	0.354	0.524	0.408
convalescent	nghỉ dưỡng	0.458	0.480	0.269
convection	đối lưu	0.521	0.494	0.526
convene	triệu tập	0.583	0.676	0.636
convenience	tiện	0.781	0.448	0.613
conveniences	tiện nghi	0.802	0.412	0.693
convenient	tiện lợi	0.846	0.491	0.574
convent	tu viện	0.480	0.217	0.594
convention	quy ước	0.622	0.622	0.704
conventional	thông thường	0.594	0.292	0.634
converge	hội tụ	0.635	0.471	0.539
convergence	hội tụ	0.551	0.491	0.625
convergent	hội tụ	0.781	0.490	0.696
conversant	thân giao	0.724	0.360	0.542
conversation	cuộc hội thoại	0.750	0.510	0.609
conversational	đàm thoại	0.719	0.431	0.596
conversationalist	người đàm thoại	0.719	0.467	0.667
converse	ngược	0.594	0.406	0.598
conversing	trò chuyện	0.755	0.409	0.442
conversion	chuyển đổi	0.480	0.605	0.736
convert	đổi	0.551	0.538	0.704
converted	chuyển đổi	0.663	0.418	0.686
convertible	có thể chuyển đổi	0.542	0.529	0.717
convex	lồi	0.438	0.427	0.445
convexity	lồi lõm	0.449	0.354	0.484
convey	chuyên chở	0.719	0.633	0.708
conveyance	vận chuyển	0.615	0.520	0.455
conveyancing	chuyển tải	0.375	0.479	0.663
convict	kết án	0.177	0.840	0.477
conviction	lòng tin chắc, sự kết án, phán quyết	0.615	0.704	0.826
convince	thuyết phục	0.708	0.539	0.763
convinced	thuyết phục	0.750	0.500	0.630
convincing	thuyết phục	0.760	0.527	0.900
convocation	sự triệu hồi	0.538	0.611	0.663
convoluted	phức tạp	0.323	0.614	0.433
convolution	chập chững	0.417	0.559	0.527
convoy	hộ tống	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	nấu ăn	0.847	0.500	0.412
cookbook	sách dạy nấu ăn	0.602	0.346	0.398
cooker	nồi cơm điện	0.592	0.373	0.407
cookery	nấu ăn	0.633	0.368	0.345
cookie	bánh quy	0.792	0.306	0.250
cookies	bánh quy	0.823	0.451	0.316
cooking	nấu nướng	0.694	0.510	0.434
cookout	nấu ăn	0.680	0.406	0.482
cool	mát mẻ	0.885	0.540	0.781
coolant	chất làm mát	0.720	0.412	0.456
cooler	cái lạnh	0.664	0.375	0.460
cooling	làm mát	0.469	0.324	0.392
coolness	sự mát mẻ	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	hợp tác	0.898	0.451	0.582
cooperating	hợp tác	0.760	0.390	0.693
cooperation	hợp tác	0.847	0.473	0.686
cooperative	hợp tác xã	0.816	0.461	0.670
coordinate	danh từ: Tọa độ	0.698	0.429	0.694
coordination	sự phối hợp	0.677	0.454	0.789
coordinator	điều phối viên	0.750	0.510	0.850
cop	cảnh sát	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	đối phó	0.592	0.647	0.709
copier	máy photocopy	0.459	0.345	0.390
copilot	phi công phụ	0.640	0.538	0.573
coping	đối phó	0.562	0.630	0.613
copious	dồi dào	0.427	0.462	0.527
copper	đồng	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	sao chép	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	sao chép	0.448	0.315	0.404
copyright	bản quyền	0.458	0.402	0.663
coral	san hô	0.802	0.231	0.425
coral snake	rắn san hô	0.276	0.712	0.607
cord	dây	0.388	0.378	0.358
cordial	thân mật	0.823	0.312	0.482
cordless	không dây	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	vải to sợi	0.570	0.324	0.357
core	cốt lõi	0.721	0.378	0.540
cork	nút bần	0.347	0.250	0.281
corkscrew	corkscrew	0.427	0.443	0.445
corn	Ngô	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	bánh ngô	0.643	0.304	0.302
cornea	giác mạc	0.521	0.346	0.443
corned	có lõi	0.459	0.441	0.425
corner	góc	0.400	0.296	0.366
cornerstone	nền tảng	0.550	0.388	0.596
cornet	cornet	0.507	0.520	0.415
cornfield	Cánh đồng ngô	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornice	0.458	0.441	0.295
cornstarch	bột ngô	0.643	0.299	0.337
corny	xưa	0.448	0.370	0.221
corollary	hệ quả	0.458	0.469	0.366
corona	corona	0.818	0.439	0.745
coronary	mạch vành	0.567	0.613	0.509
coronation	đăng quang	0.792	0.592	0.836
coroner	coroner	0.323	0.558	0.526
corporal	thuộc về quân đội	0.582	0.490	0.596
corporate	công ty	0.592	0.454	0.745
corporation	tập đoàn	0.429	0.332	0.873
corporeal	NULL	0.520	0.350	0.461
corps	quân đoàn	0.551	0.453	0.483
corpse	xác chết	0.094	0.657	0.232
corpsman	người lính	0.439	0.469	0.651
corpus	corpus	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	chính xác	0.857	0.306	0.723
correction	điều chỉnh	0.448	0.485	0.558
correctional	sửa chữa	0.292	0.713	0.602
corrective	khắc phục	0.448	0.528	0.613
correctness	tính chính xác	0.796	0.450	0.649
correlation	sự tương quan	0.596	0.462	0.571
correlative	tương quan	0.510	0.402	0.571
correspond	trao đổi thư tín	0.710	0.452	0.545
correspondence	thư tín	0.663	0.423	0.491
correspondent	phóng viên	0.573	0.565	0.712
corresponding	tương ứng	0.740	0.423	0.618
corridor	hành lang	0.604	0.589	0.592
corroborate	làm chứng	0.671	0.471	0.616
corroboration	corroboration	0.625	0.431	0.733
corrosion	ăn mòn	0.156	0.610	0.348
corrosive	ăn mòn	0.140	0.618	0.570
corrupt	hư hỏng	0.020	0.806	0.500
corrupting	hư hỏng	0.062	0.804	0.380
corruption	tham nhũng	0.052	0.830	0.549
corsage	phần trên áo đàn bà	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	corset	0.490	0.520	0.381
cortex	vỏ não	0.594	0.439	0.529
cortical	vỏ não	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	corvette	0.551	0.520	0.598
cosmetic	mỹ phẩm	0.625	0.304	0.308
cosmetics	mỹ phẩm	0.765	0.464	0.472
cosmic	vũ trụ	0.663	0.538	0.692
cosmology	vũ trụ học	0.651	0.438	0.637
cosmopolitan	khắp thế giới	0.823	0.510	0.760
cosmos	vũ trụ	0.860	0.478	0.664
cost	Giá cả	0.365	0.420	0.439
costly	tốn kém	0.316	0.650	0.642
costume	trang phục	0.548	0.510	0.374
cosy	ấm cúng	0.847	0.255	0.518
cot	cái nôi	0.625	0.230	0.278
cote	cote	0.439	0.344	0.324
cottage	nhà nhỏ	0.600	0.279	0.361
cotton	bông	0.639	0.071	0.240
couch	đi văng	0.594	0.082	0.198
cougar	báo sư tử	0.438	0.588	0.538
cough	ho	0.255	0.627	0.241
council	hội đồng	0.875	0.279	0.635
councilman	ủy viên hội đồng	0.531	0.367	0.793
counsel	tư vấn	0.594	0.519	0.730
counseling	tư vấn	0.667	0.480	0.704
counsellor	người cố vấn	0.823	0.327	0.740
counselor	người cố vấn	0.873	0.365	0.706
count	đếm	0.594	0.389	0.492
countdown	đếm ngược	0.438	0.692	0.490
countenance	vẻ bề ngoài	0.635	0.440	0.690
counter	quầy tính tiền	0.439	0.478	0.750
counteract	chống lại	0.378	0.542	0.688
counterattack	phản công	0.281	0.951	0.764
counterbalance	sự đối trọng	0.520	0.480	0.627
counterclaim	phản đối	0.398	0.760	0.651
counterfeit	giả mạo	0.094	0.694	0.451
counterpart	đối tác	0.448	0.608	0.577
counterpoint	đối trọng	0.438	0.509	0.538
countess	nữ bá tước	0.562	0.440	0.670
countless	vô số	0.520	0.566	0.534
country	Quốc gia	0.698	0.394	0.693
countryman	đồng hương	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	nông thôn	0.732	0.288	0.327
counts	đếm	0.343	0.373	0.500
county	quận	0.479	0.368	0.545
coup	cuộc đảo chính	0.275	0.815	0.607
coupe	coupe	0.479	0.460	0.482
couple	cặp đôi	0.806	0.605	0.607
coupled	ghép đôi	0.612	0.286	0.650
coupling	khớp nối	0.594	0.479	0.555
coupon	phiếu mua hàng	0.704	0.300	0.421
courage	lòng can đảm	0.830	0.728	0.849
courageous	can đảm	0.918	0.587	0.879
courier	chuyển phát nhanh	0.551	0.383	0.441
courses	các khóa học	0.735	0.412	0.534
coursing	coursing	0.542	0.472	0.546
court	tòa án	0.479	0.769	0.827
courteous	lịch sự	0.937	0.396	0.529
courtesy	lịch sự	0.927	0.287	0.431
courthouse	tòa án	0.571	0.503	0.818
courtroom	phòng xử án	0.385	0.670	0.887
courts	tòa án	0.367	0.710	0.816
courtship	sự tán tỉnh	0.667	0.490	0.654
courtside	tòa án	0.592	0.391	0.434
courtyard	sân	0.503	0.365	0.355
cousin	anh chị em họ	0.675	0.394	0.427
cousins	anh chị em họ	0.760	0.409	0.464
cove	cove	0.500	0.304	0.370
coven	coven	0.458	0.578	0.591
covenant	khế ước	0.594	0.462	0.667
cover	che	0.365	0.240	0.471
coverage	phủ sóng	0.767	0.413	0.629
covered	che	0.562	0.340	0.644
covering	bao gồm	0.615	0.382	0.583
covert	bí mật	0.500	0.570	0.508
covet	covet	0.302	0.779	0.524
coveted	thèm muốn	0.661	0.730	0.625
cow	con bò	0.449	0.230	0.300
coward	nhát gan	0.102	0.490	0.149
cowardice	hèn nhát	0.133	0.621	0.167
cowardly	hèn nhát	0.102	0.385	0.127
cowboy	cao bồi	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	bò	0.438	0.480	0.596
cowhide	da bò	0.458	0.324	0.333
cowl	cowl	0.427	0.450	0.232
coworker	đồng nghiệp	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	ấm cúng	0.910	0.356	0.545
crab	cua	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	vết nứt	0.302	0.625	0.400
cracked	nứt	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	nứt	0.327	0.557	0.286
crackle	kêu lách cách	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	cái nôi	0.776	0.194	0.333
craft	nghề thủ công	0.760	0.321	0.539
crafts	đồ thủ công	0.667	0.380	0.391
craftsman	thợ thủ công	0.719	0.310	0.583
craftsmanship	nghề thủ công	0.823	0.373	0.571
crafty	xảo trá	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	nhồi nhét	0.354	0.730	0.598
crammed	nhồi nhét	0.406	0.740	0.466
cramp	chuột rút	0.194	0.796	0.340
cramped	chật chội	0.240	0.567	0.360
cranberry	cây Nam việt quất	0.793	0.330	0.363
cranberry juice	nước ép nam việt quất	0.622	0.321	0.281
crane	máy trục	0.396	0.417	0.589
cranial	sọ	0.354	0.510	0.583
cranium	cranium	0.439	0.491	0.725
crank	tay quây	0.448	0.275	0.417
cranky	cáu kỉnh	0.194	0.776	0.396
cranny	sự quấy rầy	0.194	0.471	0.250
crap	crap	0.083	0.644	0.167
crappy	điên rồ	0.039	0.582	0.208
craps	craps	0.375	0.420	0.273
crash	tai nạn	0.194	0.906	0.355
crass	quạ	0.223	0.490	0.466
crate	thùng	0.427	0.173	0.274
crater	miệng núi lửa	0.450	0.647	0.529
crave	khao khát	0.625	0.510	0.731
craving	khao khát	0.510	0.755	0.636
crawfish	con tôm	0.510	0.427	0.342
crawl	thu thập thông tin	0.479	0.519	0.467
crayon	bút sáp màu	0.604	0.260	0.185
crayons	bút chì màu	0.684	0.366	0.405
craze	cơn sốt	0.255	0.657	0.435
crazed	điên cuồng	0.153	0.877	0.417
craziness	sự điên rồ	0.238	0.908	0.255
crazy	khùng	0.156	0.843	0.321
creak	creak	0.344	0.670	0.411
creaking	ọp ẹp	0.302	0.743	0.415
cream	kem	0.688	0.259	0.220
creamed	có kem	0.723	0.273	0.288
creamer	creamer	0.594	0.192	0.269
creamy	kem	0.823	0.337	0.345
crease	nếp nhăn	0.440	0.286	0.300
create	tạo nên	0.786	0.588	0.789
creation	sự sáng tạo	0.927	0.575	0.868
creative	sáng tạo	0.917	0.518	0.788
creativity	sáng tạo	0.938	0.684	0.815
creator	người sáng tạo	0.865	0.592	0.856
creature	sinh vật	0.669	0.625	0.620
credence	sự tin cậy	0.760	0.460	0.737
credential	chứng chỉ	0.735	0.337	0.597
credentials	thông tin xác thực	0.708	0.373	0.675
credibility	uy tín	0.875	0.427	0.809
credible	đáng tin cậy	0.917	0.441	0.750
credit	tín dụng	0.673	0.549	0.648
credit card	thẻ tín dụng	0.670	0.550	0.640
creditable	có thể khấu trừ	0.802	0.510	0.742
credited	ghi có	0.781	0.390	0.691
crediting	tín dụng	0.673	0.550	0.741
creditor	chủ nợ	0.479	0.594	0.689
creed	tín điều	0.573	0.245	0.544
creek	Lạch nhỏ	0.552	0.392	0.330
creep	leo	0.354	0.647	0.361
creeper	cây leo	0.429	0.558	0.366
creeping	leo	0.292	0.613	0.282
creepy	rùng mình	0.125	0.861	0.373
cremation	hỏa táng	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	hình bán nguyệt	0.698	0.382	0.407
crest	đỉnh	0.458	0.333	0.333
crestfallen	crestfallen	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretin	0.094	0.741	0.328
crevice	đường nứt, kẽ hở	0.361	0.471	0.275
crew	phi hành đoàn	0.604	0.598	0.735
crewman	thuyền viên	0.602	0.580	0.548
crib	cũi	0.653	0.240	0.407
cricket	con dế	0.423	0.539	0.370
cried	khóc	0.167	0.612	0.254
crime	tội ác	0.071	0.943	0.630
criminal	tội phạm	0.021	0.830	0.529
criminality	tội phạm	0.122	0.863	0.580
crimp	uốn cong	0.260	0.557	0.396
crimson	màu đỏ thẫm	0.667	0.385	0.370
cringe	rìa	0.245	0.840	0.377
cripple	làm tê liệt	0.094	0.392	0.161
crippled	làm tê liệt	0.035	0.358	0.236
crippling	làm tê liệt	0.156	0.598	0.391
crisis	cuộc khủng hoảng	0.208	0.811	0.431
crisp	sắc nét	0.776	0.692	0.508
crispy	giòn	0.656	0.550	0.509
criterion	tiêu chí	0.396	0.410	0.736
critic	nhà phê bình	0.264	0.604	0.686
critical	chỉ trích	0.312	0.802	0.545
criticise	chỉ trích	0.073	0.700	0.452
criticism	sự chỉ trích	0.115	0.563	0.505
criticize	chỉ trích	0.143	0.708	0.473
criticized	bị chỉ trích	0.240	0.600	0.311
critique	phê bình	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	tiếng kêu	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	đồ sành sứ	0.552	0.216	0.327
crocodile	Cá sấu	0.344	0.708	0.610
croft	croft	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	kẻ lừa đảo	0.171	0.765	0.550
crooked	quanh co	0.146	0.594	0.305
crop	mùa vụ	0.615	0.260	0.500
croquet	croquet	0.551	0.519	0.407
cross	vượt qua	0.448	0.321	0.569
cross country	xuyên quốc gia	0.531	0.441	0.529
crossbow	nỏ	0.344	0.598	0.560
crossed	vượt qua	0.431	0.490	0.508
crossfire	crossfire	0.316	0.896	0.722
crossing	băng qua	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	lối đi qua đường	0.557	0.441	0.380
crossword	ô chữ	0.611	0.423	0.455
crotch	háng	0.521	0.637	0.447
crouch	crouch	0.281	0.606	0.312
crouched	cúi xuống	0.333	0.363	0.279
crouching	cúi mình	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	con quạ	0.224	0.439	0.363
crowbar	xà beng	0.406	0.531	0.386
crowd	đám đông	0.350	0.827	0.731
crowded	Đông người	0.694	0.286	0.585
crowds	đám đông	0.469	0.723	0.806
crown	Vương miện	0.708	0.572	0.737
crowning	vương miện	0.773	0.594	0.831
crucial	quan trọng	0.541	0.657	0.777
cruciate	đóng đinh	0.429	0.435	0.585
crucifix	cây thánh giá	0.469	0.480	0.510
crucifixion	đóng đinh	0.135	0.857	0.541
crucify	đóng đinh	0.146	0.878	0.573
crud	tiếng kêu	0.312	0.330	0.444
crude	dầu thô	0.198	0.402	0.357
cruel	hung ác	0.122	0.866	0.391
cruelly	tàn nhẫn	0.146	0.790	0.471
cruelty	tàn ác	0.092	0.836	0.536
cruise	hành trình	0.740	0.442	0.683
cruise ship	Tàu du lịch	0.878	0.650	0.500
cruiser	tàu tuần dương	0.737	0.490	0.608
cruising	bay	0.886	0.580	0.560
crumb	vụn vặt	0.417	0.255	0.216
crumble	bể nát ra	0.333	0.480	0.423
crumbling	đổ nát	0.167	0.696	0.308
crummy	dể thương	0.125	0.531	0.224
crunch	khủng hoảng	0.292	0.630	0.406
crunchy	giòn	0.625	0.560	0.539
crusade	cuộc thập tự chinh	0.592	0.720	0.709
crusader	thập tự chinh	0.439	0.588	0.548
crush	nghiền nát	0.271	0.676	0.582
crushed	nghiền	0.167	0.647	0.300
crusher	máy nghiền	0.271	0.709	0.598
crushing	nghiền nát	0.219	0.755	0.411
crust	vỏ trái đất	0.542	0.337	0.456
crusty	giòn	0.625	0.531	0.473
crutch	cái nạng	0.302	0.294	0.302
crux	điểm mấu chốt	0.469	0.558	0.519
cry	khóc	0.133	0.627	0.255
crybaby	em be khoc nhe	0.375	0.702	0.311
crying	khóc	0.153	0.704	0.208
crypt	crypt	0.156	0.431	0.386
cryptic	khó hiểu	0.296	0.516	0.474
cryptography	mã hóa	0.490	0.415	0.650
crystal	pha lê	0.618	0.270	0.508
crystalline	tinh thể	0.765	0.235	0.534
crystallization	sự kết tinh	0.600	0.449	0.565
cub	hình khối	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	khối lập phương	0.469	0.226	0.274
cubic	hình khối	0.458	0.306	0.407
cubicle	tủ	0.479	0.343	0.417
cuckold	cho mọc sừng	0.210	0.573	0.230
cuckoo	chim cu	0.420	0.459	0.284
cucumber	quả dưa chuột	0.490	0.235	0.237
cuddle	ôm	0.885	0.559	0.475
cuddled	ôm ấp	0.906	0.547	0.567
cuddles	âu yếm	0.847	0.382	0.500
cuddling	âu yếm	0.917	0.562	0.433
cue	gợi ý	0.521	0.433	0.484
cuff	cổ tay áo	0.469	0.453	0.387
cuisine	ẩm thực	0.714	0.365	0.390
culinary	ẩm thực	0.654	0.443	0.519
cull	cull	0.365	0.702	0.464
culminate	lên đến đỉnh điểm	0.667	0.550	0.602
culmination	đỉnh cao	0.656	0.586	0.695
culpability	khả năng	0.112	0.745	0.368
culpable	có thể ăn được	0.140	0.700	0.319
culprit	thủ phạm	0.062	0.676	0.333
cult	giáo phái	0.448	0.535	0.648
cultivate	cày cấy	0.708	0.410	0.598
cultivated	trồng trọt	0.837	0.343	0.564
cultivation	canh tác	0.625	0.324	0.462
cultural	văn hóa	0.802	0.390	0.623
culture	văn hóa	0.753	0.304	0.675
cultured	nuôi cấy	0.635	0.429	0.625
culvert	cống	0.337	0.324	0.343
cumbersome	rườm rà	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	xảo quyệt	0.604	0.685	0.683
cunt	lồn	0.135	0.673	0.377
cup	cái chén	0.615	0.167	0.231
cupboard	cái tủ	0.553	0.200	0.304
cupcake	cupcake	0.656	0.333	0.344
cupping	thử nếm	0.490	0.610	0.402
cur	hay gây	0.440	0.519	0.460
curable	có thể chữa được	0.823	0.292	0.574
curate	cai trị	0.726	0.418	0.526
curative	chữa bệnh	0.667	0.318	0.613
curator	người phụ trách	0.688	0.389	0.688
curb	lề đường	0.472	0.371	0.402
curd	Đông lại	0.542	0.442	0.278
cure	chữa khỏi	0.719	0.377	0.623
curfew	giờ giới nghiêm	0.219	0.618	0.623
curiosity	sự tò mò	0.750	0.755	0.463
curious	Hiếu kỳ	0.635	0.600	0.483
curl	curl	0.385	0.452	0.351
curling	quăn	0.583	0.592	0.400
currency	tiền tệ	0.583	0.418	0.592
current	hiện hành	0.625	0.312	0.612
curriculum	chương trình giáo dục	0.708	0.306	0.620
curry	cà ri	0.633	0.345	0.302
curse	nguyền rủa	0.033	0.720	0.375
cursed	bị nguyền rủa	0.083	0.783	0.393
cursing	chửi rủa	0.112	0.860	0.446
cursory	mau	0.423	0.451	0.431
curt	curt	0.245	0.610	0.452
curtail	cắt tóc	0.306	0.439	0.497
curtailment	sự cắt giảm	0.230	0.578	0.431
curtain	tấm màn	0.698	0.278	0.304
curtains	rèm cửa	0.615	0.123	0.342
curtsy	uốn cong	0.635	0.412	0.598
curvature	độ cong	0.417	0.367	0.447
curve	đường cong	0.480	0.375	0.307
curved	cong	0.542	0.407	0.337
curvilinear	uốn cong	0.480	0.575	0.411
cushion	gối	0.653	0.221	0.292
cushy	cushy	0.823	0.283	0.395
cusp	cusp	0.667	0.710	0.700
cuss	cuss	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	bánh trứng	0.618	0.260	0.293
custodial	sự trông nom	0.418	0.462	0.718
custodian	người trông nom	0.594	0.625	0.528
custody	sự giam cầm	0.494	0.472	0.675
custom	tập quán	0.552	0.382	0.688
customary	phong tục	0.700	0.253	0.561
customer	khách hàng	0.562	0.430	0.673
customized	tùy chỉnh	0.625	0.504	0.590
cut	cắt tỉa	0.490	0.490	0.393
cutaneous	thuộc về da	0.365	0.370	0.328
cute	dễ thương	0.920	0.528	0.579
cuticle	lớp biểu bì	0.340	0.320	0.377
cutie	cutie	0.638	0.528	0.464
cutlass	cái gọng	0.173	0.648	0.528
cutlery	dao kéo	0.552	0.300	0.345
cutoff	cắt	0.432	0.510	0.518
cutter	máy cắt	0.427	0.731	0.583
cutters	máy cắt	0.197	0.653	0.491
cutthroat	đau đớn	0.110	0.823	0.663
cutting	sự cắt	0.448	0.375	0.536
cutting board	thớt	0.337	0.540	0.342
cuttings	cành giâm	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	xianua	0.229	0.667	0.545
cyberspace	không gian mạng	0.677	0.594	0.611
cycle	chu kỳ	0.635	0.400	0.533
cyclical	theo chu kỳ	0.380	0.450	0.554
cyclist	người đi xe đạp	0.684	0.582	0.576
cyclone	lốc xoáy	0.416	0.796	0.673
cylinder	hình trụ	0.459	0.324	0.447
cylindrical	hình trụ	0.458	0.294	0.414
cymbal	cymbal	0.542	0.363	0.362
cynic	cynic	0.135	0.632	0.473
cynical	Hoài nghi	0.156	0.760	0.474
cynicism	hoài nghi	0.104	0.780	0.454
cyst	u nang	0.173	0.578	0.312
cystic	cystic	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	tế bào chất	0.378	0.442	0.474
czar	hoàng đế	0.480	0.348	0.643
dab	thoa	0.510	0.337	0.340
dabble	dabble	0.550	0.530	0.491
dabbling	dabbling	0.562	0.726	0.676
dad	cha	0.857	0.412	0.786
daddy	cha	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	daemon	0.333	0.490	0.500
