Word	Kazakh-kk	Valence	Arousal	Dominance
cervical	мойны	0.375	0.413	0.445
cervix	жатыр мойны	0.429	0.360	0.340
cess	бас тарту	0.427	0.375	0.406
cessation	тоқтату	0.414	0.385	0.358
cesspool	шұңқыр	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	шөп	0.333	0.327	0.188
chafing	боран	0.430	0.415	0.368
chagrin	шагрин	0.104	0.704	0.472
chagrined	шағылысқан	0.112	0.745	0.361
chai	chai	0.500	0.375	0.363
chain	шынжыр	0.378	0.500	0.547
chainsaw	тізбек	0.367	0.804	0.636
chair	орындық	0.562	0.082	0.276
chairman	төрағасы	0.656	0.567	0.933
chairperson	төрағасы	0.730	0.657	0.966
chairwoman	төраға	0.719	0.664	0.953
chaise	шезлонги	0.406	0.349	0.327
chalet	шале	0.653	0.349	0.278
chalice	шале	0.633	0.286	0.529
chalk	бор	0.385	0.185	0.121
challenge	шақыру	0.469	0.922	0.713
challenger	үміткер	0.417	0.755	0.652
chamber	камера	0.583	0.373	0.455
chambermaid	chambermaid	0.594	0.375	0.336
chambers	камералар	0.542	0.442	0.388
chameleon	хамелеон	0.490	0.580	0.345
champ	чемпион	0.854	0.754	0.896
champagne	Шампан	0.760	0.600	0.454
champion	чемпионы	0.890	0.880	0.945
championship	чемпионаты	0.833	0.800	0.880
chance	мүмкіндік	0.833	0.551	0.525
chancellor	канцлер	0.646	0.500	0.887
chandelier	шамдар	0.615	0.542	0.366
chandler	шандер	0.510	0.452	0.454
change	өзгерту	0.625	0.575	0.606
changeable	өзгермелі	0.490	0.480	0.528
changed	өзгерді	0.594	0.375	0.491
changer	айырбастаушы	0.583	0.519	0.567
changing	өзгерту	0.571	0.569	0.461
channel	арна	0.490	0.287	0.405
chant	ән айту	0.771	0.698	0.650
chaos	хаос	0.016	0.923	0.373
chaotic	хаотикалық	0.115	0.847	0.442
chap	б	0.550	0.410	0.345
chapel	шіркеу	0.573	0.240	0.440
chaperon	шаперон	0.500	0.520	0.404
chaplain	діни қызметкер	0.582	0.370	0.577
chapman	қолбасшы	0.562	0.529	0.465
chaps	кескіндер	0.350	0.462	0.350
chapter	бөлім	0.580	0.308	0.461
char	char	0.554	0.361	0.404
character	таңба	0.667	0.373	0.686
characteristic	сипаттамасы	0.583	0.328	0.538
characterize	сипаттайды	0.729	0.471	0.735
charade	шаржа	0.458	0.550	0.346
charcoal	көмір	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	зарядтау	0.510	0.633	0.785
chargeable	ақылы	0.551	0.550	0.453
charger	зарядтағыш	0.531	0.418	0.545
chariot	арба	0.684	0.550	0.491
charisma	харизма	0.938	0.591	0.759
charismatic	харизматикалық	0.938	0.684	0.849
charitable	қайырымдылық	0.865	0.380	0.593
charity	қайырымдылық	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	очарование	0.833	0.363	0.649
charmed	Таң қалдым	0.938	0.570	0.769
charmer	сүйкімді адам	0.882	0.683	0.782
charming	очаровательная	0.917	0.660	0.764
charred	қышқылданған	0.208	0.676	0.373
chart	диаграмма	0.469	0.317	0.330
charter	жарғы	0.677	0.382	0.518
chartered	жалға берілді	0.569	0.460	0.490
chase	қудалау	0.396	0.878	0.623
chased	қуылды	0.188	0.830	0.287
chaser	бақылаушы	0.375	0.830	0.645
chasm	жырығы	0.265	0.579	0.500
chassis	шасси	0.406	0.342	0.444
chaste	таза	0.408	0.248	0.453
chastened	жазылған	0.156	0.580	0.345
chastisement	азаптау	0.156	0.852	0.462
chastity	тазалық	0.469	0.392	0.509
chat	чат	0.729	0.400	0.346
chateau	шато	0.615	0.464	0.702
chatter	сұхбат	0.560	0.450	0.347
chatterbox	чат-шлейф	0.459	0.548	0.482
chattering	сөйлесу	0.460	0.663	0.304
chatty	сөйлесу	0.594	0.548	0.345
chauffeur	шофер	0.500	0.353	0.471
chauvinist	шовинист	0.310	0.539	0.527
cheap	арзан	0.612	0.471	0.272
cheapened	арзандады	0.471	0.611	0.282
cheapskate	арзан	0.148	0.482	0.327
cheat	алдау	0.125	0.776	0.400
cheater	алдамшы	0.104	0.920	0.333
check	тексеру	0.523	0.552	0.602
checkbook	чек кітапшасы	0.552	0.284	0.364
checker	бақылаушы	0.330	0.417	0.553
checkered	шелек	0.459	0.316	0.336
checkers	дойбы	0.676	0.451	0.437
checklist	бақылау тізімі	0.561	0.521	0.552
checkmate	шәкіртақы	0.667	0.708	0.750
checkout	шығу	0.597	0.510	0.670
checkpoint	бақылау-өткізу пункті	0.571	0.323	0.812
checkup	тексеру	0.500	0.435	0.491
cheek	щек	0.670	0.314	0.421
cheeks	щеки	0.708	0.324	0.282
cheeky	щеки	0.434	0.679	0.410
cheep	кеудеше	0.367	0.380	0.373
cheer	көңіл көтеру	0.938	0.784	0.845
cheered	көңілді болды	0.875	0.648	0.790
cheerful	көңілді	0.990	0.720	0.696
cheerfulness	көңілділік	0.969	0.802	0.675
cheering	риза	0.815	0.824	0.642
cheerleader	черлидер	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	бақытсыз	0.204	0.373	0.167
cheers	көңіл көтеру	0.948	0.770	0.702
cheery	қуанышты	0.949	0.657	0.486
cheese	ірімшік	0.740	0.280	0.281
cheeseburger	чизбургер	0.802	0.529	0.336
cheesecake	пирожный	0.860	0.276	0.238
cheesy	тегіс	0.470	0.471	0.179
cheetah	геапа	0.469	0.770	0.667
chef	аспазшы	0.854	0.411	0.570
chemical	химиялық заттар	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	химик	0.408	0.575	0.610
chemistry	химия	0.625	0.520	0.694
chemo	химиотерапия	0.214	0.686	0.444
chemotherapy	химиотерапия	0.163	0.689	0.517
cheque	тексеру	0.698	0.529	0.660
cherish	бағалаңыз	0.896	0.491	0.652
cherishing	ұмтылу	0.836	0.380	0.625
cherry	шие	0.688	0.186	0.250
cherub	керуб	0.663	0.340	0.455
chess	шахмат	0.656	0.363	0.518
chest	кеуде	0.520	0.429	0.481
chestnut	талшын	0.714	0.210	0.294
chevron	шеврон	0.469	0.469	0.598
chew	шайнайды	0.520	0.490	0.404
chewy	шайнайтын	0.625	0.418	0.390
chic	сәнді	0.870	0.624	0.380
chicane	шикан	0.357	0.460	0.481
chick	балапан	0.771	0.602	0.387
chicken	тауық	0.594	0.306	0.394
chicken pox	желшешек	0.194	0.510	0.415
chickenpox	желшешек	0.173	0.562	0.357
chief	басшы	0.520	0.544	0.869
chiefly	негізінен	0.600	0.587	0.764
chieftain	басшы	0.343	0.529	0.860
chiffon	шифон	0.406	0.230	0.250
child	бала	0.912	0.460	0.413
childbirth	босану	0.604	0.861	0.673
childhood	балалық шақ	0.865	0.413	0.307
childish	балалар	0.573	0.442	0.230
childless	баласыз	0.310	0.400	0.396
childlike	бала тәрізді	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	балалар	0.857	0.538	0.435
chili	чили	0.592	0.566	0.433
chill	салқын	0.837	0.206	0.482
chilled	салқындатылған	0.521	0.340	0.482
chilling	салқындату	0.208	0.850	0.358
chilly	салқын	0.329	0.459	0.408
chime	үні	0.573	0.541	0.464
chimera	химера	0.292	0.582	0.372
chimes	шыңдалады	0.625	0.490	0.402
chimney	мұржа	0.583	0.286	0.225
chimp	шимпанзе	0.394	0.588	0.345
chimpanzee	шимпанзе	0.500	0.633	0.387
chin	иек	0.571	0.310	0.269
china	Қытай	0.561	0.443	0.556
chinchilla	шиншилла	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	чинук	0.408	0.497	0.491
chip	чип	0.479	0.382	0.452
chipmunk	бурундук	0.573	0.562	0.409
chipper	чиппер	0.418	0.588	0.500
chipping	чипов	0.354	0.452	0.353
chiropractor	широпрактор	0.420	0.549	0.651
chirp	сәттілік	0.469	0.602	0.365
chirping	шыңдау	0.500	0.463	0.360
chisel	өткір	0.469	0.404	0.452
chiseler	чизелер	0.429	0.606	0.464
chit	хит	0.490	0.352	0.321
chitchat	өсек	0.673	0.455	0.403
chivalry	шеберлігі	0.857	0.380	0.848
chloride	хлорид	0.265	0.387	0.474
chlorine	хлор	0.306	0.327	0.332
chloroform	хлороформ	0.281	0.370	0.393
chocolate	шоколад	0.885	0.480	0.418
choice	таңдау	0.745	0.520	0.664
choir	хор	0.704	0.298	0.473
choke	шөгуді	0.167	0.788	0.676
cholera	тырысқақ	0.020	0.867	0.507
cholesterol	холестеринді	0.198	0.583	0.398
choose	таңдау	0.615	0.542	0.648
choosing	таңдау	0.719	0.529	0.689
choosy	таңдау	0.280	0.760	0.712
chop	кесу	0.250	0.655	0.467
chopper	ұсақтағыш	0.594	0.560	0.509
choppers	ұсақтағыштар	0.469	0.745	0.691
chopping	кесу	0.560	0.625	0.362
chops	бұқалар	0.612	0.420	0.269
choral	хор	0.852	0.290	0.421
chord	аккорд	0.729	0.394	0.539
chords	Ақордада	0.639	0.406	0.388
chore	ең бастысы	0.406	0.462	0.500
choreographer	хореограф	0.646	0.639	0.625
choreography	хореография	0.812	0.750	0.547
chorus	хор	0.620	0.417	0.500
chosen	таңдалған	0.865	0.449	0.833
chow	шошқа	0.573	0.490	0.390
chowder	шошқа	0.510	0.324	0.241
christ	христ	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	крещение	0.725	0.382	0.650
christian	христиан	0.760	0.241	0.591
christmas	Рождество	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	христиандық	0.875	0.698	0.602
christmastime	Кристмаста	0.837	0.588	0.515
chromatic	хроматикалық	0.407	0.413	0.435
chromatography	хроматография	0.480	0.537	0.535
chrome	хром	0.582	0.373	0.421
chromium	хром	0.458	0.404	0.447
chromosome	хромосома	0.500	0.296	0.548
chronic	созылмалы	0.255	0.615	0.464
chronicle	жазба	0.427	0.571	0.586
chronograph	хронограф	0.500	0.392	0.529
chronological	хронологиялық	0.594	0.445	0.600
chubby	тұмсық	0.531	0.427	0.304
chuck	қапсырма	0.542	0.509	0.413
chuckle	күледі	0.844	0.736	0.481
chug	шұбар	0.401	0.413	0.358
chum	чум	0.911	0.347	0.518
chummy	чемми	0.760	0.420	0.610
chump	соққы	0.375	0.451	0.304
chunk	тілім	0.365	0.287	0.214
chunky	тегіс	0.520	0.517	0.509
church	шіркеу	0.708	0.198	0.610
churchyard	шіркеу алаңы	0.296	0.444	0.347
churn	жылжыту	0.316	0.491	0.407
chute	шұңқыр	0.580	0.745	0.455
chutney	чутни	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	сидр	0.530	0.346	0.398
cigar	сигара	0.306	0.463	0.346
cigarette	темекі	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	қысқа	0.450	0.490	0.387
cinder	күлді	0.350	0.260	0.157
cinema	кинотеатр	0.698	0.538	0.500
cinematic	кинематография	0.663	0.490	0.600
cinematographer	кинематограф	0.792	0.455	0.711
cinematography	кинематография	0.781	0.571	0.625
cinnamon	даршын	0.600	0.250	0.292
cipher	шифры	0.490	0.414	0.500
circle	шеңбер	0.480	0.290	0.343
circling	айналдыру	0.510	0.654	0.336
circuit	тізбек	0.586	0.461	0.707
circuitry	схема	0.596	0.615	0.536
circular	дөңгелек	0.562	0.342	0.417
circulate	айналдыру	0.612	0.388	0.320
circulation	айналымы	0.735	0.520	0.657
circulatory	қан айналымы	0.592	0.575	0.545
circumcision	сүндеттелді	0.327	0.657	0.528
circumference	айналдыра	0.458	0.255	0.488
circumferential	айналмалы	0.551	0.422	0.509
circumscribed	шектелген	0.365	0.539	0.569
circumstance	жағдай	0.520	0.565	0.596
circumstances	мән-жайлар	0.562	0.527	0.464
circumstantial	қатаң	0.500	0.538	0.519
circumvent	айналып өту	0.316	0.642	0.383
circumvention	айналып өту	0.531	0.571	0.473
circus	цирк	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	цирроз	0.079	0.602	0.370
cirrus	цирр	0.470	0.451	0.348
cistern	цистерна	0.541	0.413	0.432
citadel	цитадель	0.585	0.464	0.602
citation	сілтеме	0.570	0.549	0.508
cite	сілтеме	0.625	0.454	0.532
citizen	азамат	0.631	0.250	0.586
citizenship	азаматтық	0.786	0.404	0.723
citrine	цитрин	0.375	0.400	0.420
citrus	цитрус	0.469	0.368	0.375
city	қала	0.847	0.531	0.508
citywide	Жалпы қалалық	0.592	0.509	0.707
civic	азаматтық	0.653	0.240	0.573
civics	азаматтар	0.700	0.279	0.720
civil	азаматтық	0.521	0.281	0.517
civilian	азаматтық	0.700	0.229	0.598
civilians	азаматтық тұлғалар	0.490	0.448	0.525
civility	сыпайылық	0.760	0.306	0.679
civilization	өркениет	0.823	0.452	0.839
civilized	өркениетті	0.792	0.231	0.796
clad	жабылған	0.583	0.373	0.481
claim	Талап	0.255	0.760	0.473
claimant	талапкер	0.271	0.690	0.779
clairvoyant	күлкілі	0.765	0.531	0.897
clam	қоқыс	0.442	0.302	0.272
clambake	тұтқаны	0.542	0.540	0.429
clammy	қытырлақ	0.354	0.440	0.236
clamor	қоқыс	0.438	0.643	0.360
clamp	қысқыш	0.541	0.388	0.454
clan	кланы	0.562	0.491	0.686
clandestine	жасырын	0.425	0.677	0.469
clang	білек	0.459	0.520	0.510
clap	шапалақтап	0.779	0.731	0.529
clapper	клапер	0.500	0.229	0.420
clapping	ұрып-соғу	0.823	0.894	0.686
clarification	түсіндіру	0.802	0.461	0.613
clarify	нақтылау	0.652	0.535	0.625
clarinet	кларнет	0.592	0.453	0.411
clarion	түсіндіру	0.500	0.443	0.422
clarity	айқындық	0.796	0.310	0.631
clash	қақтығыс	0.293	0.918	0.453
clashing	қақтығысты	0.177	0.764	0.575
clasp	қысқыш	0.448	0.375	0.241
class	сынып	0.656	0.314	0.522
classic	классикалық	0.690	0.260	0.611
classic rock	классикалық рок	0.729	0.571	0.588
classical	классикалық	0.643	0.198	0.536
classics	классиктер	0.750	0.333	0.510
classification	жіктеу	0.583	0.423	0.613
classified	жіктелген	0.571	0.460	0.663
classify	жіктеу	0.646	0.411	0.720
classmate	сыныптас	0.781	0.400	0.593
classroom	сыныпта	0.539	0.292	0.363
classy	классикалық	0.917	0.410	0.649
clatter	қоқыс	0.418	0.820	0.387
clause	тармақ	0.480	0.409	0.528
clauses	тармақтар	0.449	0.429	0.545
claustrophobia	клаустрофобия	0.125	0.840	0.333
claustrophobic	клострофобты	0.092	0.755	0.400
clavicle	клавиша	0.398	0.400	0.452
claw	тығын	0.260	0.600	0.598
claws	кілттер	0.281	0.698	0.562
clay	саз	0.542	0.250	0.267
clean	таза	0.827	0.170	0.500
cleaner	тазартқыш	0.604	0.556	0.375
cleaning	тазалау	0.595	0.396	0.427
cleanliness	тазалық	0.816	0.363	0.609
cleanly	таза	0.823	0.352	0.583
cleanse	тазалаңыз	0.625	0.310	0.660
cleanser	тазартқыш	0.604	0.353	0.433
cleansing	тазарту	0.729	0.298	0.472
cleanup	жинап қою	0.729	0.314	0.451
clear	анық	0.857	0.327	0.573
clearance	тазарту	0.542	0.459	0.473
clearing	клиринг	0.680	0.333	0.509
clearness	айқындық	0.875	0.316	0.689
cleat	кілті	0.486	0.260	0.361
cleavage	бөлшектеу	0.542	0.602	0.454
cleave	жабылады	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	clef	0.615	0.360	0.595
cleft	жарықтар	0.306	0.442	0.360
clemency	кешірім	0.594	0.417	0.397
clench	жыртылған	0.438	0.618	0.580
clergy	дінбасылары	0.531	0.312	0.575
clergyman	діни қызметкер	0.594	0.330	0.556
cleric	діни қызметкер	0.521	0.324	0.589
clerical	клерик	0.520	0.396	0.491
clerk	клерк	0.500	0.579	0.509
clerkship	қызметкер	0.582	0.380	0.596
clever	ақылды	0.896	0.353	0.729
cleverness	ақылдылық	0.878	0.509	0.921
click	нұқыңыз	0.536	0.365	0.268
clicker	нұқыңыз	0.418	0.490	0.463
client	клиент	0.583	0.450	0.618
clientele	клиент	0.625	0.577	0.508
cliff	жартас	0.361	0.620	0.509
climate	климат	0.635	0.240	0.483
climatology	климатология	0.531	0.367	0.541
climax	шыңы	0.735	0.853	0.667
climb	көтерілу	0.615	0.660	0.604
climber	альпинист	0.573	0.716	0.735
clinch	клин	0.469	0.538	0.430
cling	жабысу	0.417	0.620	0.588
clingy	жабысқақ	0.224	0.460	0.370
clinic	клиника	0.469	0.439	0.600
clinical	клиникалық	0.337	0.412	0.640
clink	клинка	0.458	0.462	0.319
clip	клип	0.438	0.310	0.381
clipboard	аралық сақтағыш	0.594	0.255	0.423
clipper	кескіш	0.293	0.422	0.383
clipping	қию	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	клитор	0.625	0.844	0.464
cloak	жадағай	0.469	0.188	0.333
cloaking	жасырыну	0.521	0.595	0.389
cloakroom	гардероб	0.690	0.254	0.397
clobber	клоббер	0.396	0.578	0.464
clock	сағат	0.677	0.173	0.407
clockwork	сағаттық жұмыс	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	жабық	0.104	0.618	0.454
cloister	монастырь	0.438	0.413	0.475
clone	клондау	0.406	0.471	0.524
cloning	клондау	0.216	0.696	0.679
close	жабық	0.292	0.260	0.263
closed	жабық	0.240	0.164	0.318
closeness	жақындығы	0.796	0.237	0.450
closet	шкаф	0.531	0.204	0.330
closure	жабу	0.229	0.220	0.412
clot	қылқалам	0.150	0.558	0.275
cloth	мата	0.510	0.190	0.287
clothe	киіңіз	0.797	0.330	0.481
clothes	киім	0.833	0.270	0.414
clothesline	киім сызығы	0.582	0.324	0.366
clothing	киім	0.750	0.343	0.407
cloud	бұлт	0.740	0.133	0.342
clouded	бұлтты	0.240	0.213	0.302
cloudiness	Бұлттылық	0.469	0.250	0.343
clouds	бұлт	0.735	0.195	0.324
cloudy	бұлтты	0.281	0.280	0.202
clout	қоқыс	0.584	0.636	0.704
clove	қылқалам	0.439	0.296	0.315
clover	клевер	0.605	0.340	0.364
cloves	түйіршіктер	0.427	0.218	0.396
clown	клоун	0.650	0.598	0.300
clowns	клоундар	0.600	0.673	0.391
club	клубы	0.646	0.618	0.393
clubhouse	клуб үйі	0.694	0.571	0.493
clubs	клубтар	0.723	0.530	0.591
cluck	сыпырғыш	0.390	0.490	0.353
clue	түйсік	0.653	0.380	0.412
clueless	клинесса	0.350	0.333	0.161
clump	шоғырланған	0.551	0.480	0.582
clumsy	жасырын	0.125	0.420	0.144
clunk	тоқырау	0.448	0.472	0.407
cluster	кластер	0.490	0.458	0.446
clutch	ілінісу	0.383	0.500	0.491
clutches	муфталар	0.542	0.373	0.528
clutter	қақтығыстар	0.135	0.598	0.400
coach	жаттықтырушы	0.633	0.823	0.735
coachman	вагоншы	0.479	0.394	0.509
coagulation	коагуляция	0.381	0.558	0.436
coal	көмір	0.360	0.241	0.340
coalesce	бірігу	0.479	0.434	0.529
coalition	одақ	0.490	0.730	0.673
coarse	өрескел	0.333	0.481	0.481
coast	жағалауы	0.719	0.396	0.458
coastal	жағалау	0.604	0.370	0.510
coaster	ғарышкер	0.612	0.788	0.627
coastline	жағалау сызығы	0.745	0.282	0.441
coat	пальто	0.677	0.256	0.464
coating	жабу	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	кобальт	0.408	0.325	0.441
cobble	құмыра	0.448	0.385	0.368
cobbler	шабуылшы	0.510	0.415	0.318
cobra	кобра	0.312	0.712	0.600
cocaine	кокаин	0.156	0.840	0.373
cock	шошқа	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	шірік	0.459	0.460	0.423
cockpit	кокпит	0.520	0.424	0.343
cockroach	тарақан	0.188	0.667	0.196
cocksucker	шошқа	0.083	0.764	0.339
cocktail	коктейль	0.740	0.480	0.381
cocky	ұнамсыз	0.260	0.784	0.519
cocoa	какао	0.776	0.255	0.322
coconut	кокос	0.622	0.265	0.227
cocoon	кокон	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	код	0.583	0.308	0.491
codeine	кодеин	0.375	0.582	0.436
codex	кодексі	0.531	0.488	0.524
codfish	кофе	0.490	0.245	0.300
codification	кодтау	0.448	0.400	0.698
codify	кодтаңыз	0.448	0.410	0.679
coding	кодтау	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	коэффициенті	0.677	0.415	0.702
coerce	мәжбүрлеу	0.260	0.741	0.517
coercion	мәжбүрлеу	0.330	0.708	0.577
coercive	мәжбүрлеу	0.479	0.670	0.506
coexist	өмір сүреді	0.708	0.460	0.536
coexistence	өмір сүру	0.588	0.472	0.638
coexisting	бар	0.551	0.349	0.648
coffee	кофе	0.823	0.418	0.309
coffee table	кофе үстелі	0.720	0.339	0.295
coffeehouse	кофехана	0.694	0.357	0.307
coffeepot	күзетші	0.760	0.333	0.312
coffin	табыт	0.073	0.432	0.343
cog	тоқтауы	0.427	0.343	0.363
cogent	тоғыз	0.765	0.479	0.836
cognac	коньяк	0.615	0.510	0.430
cognate	танымал	0.615	0.350	0.398
cognition	таным	0.635	0.344	0.706
cognitive	когнитивті	0.513	0.401	0.634
cohabitation	бірлесу	0.646	0.526	0.598
coherence	когерентность	0.720	0.406	0.788
coherent	келісілген	0.698	0.281	0.500
cohesion	біріктіру	0.604	0.536	0.555
cohesive	үйлесімді	0.531	0.470	0.603
cohort	когорты	0.459	0.551	0.566
coil	катушкалар	0.448	0.343	0.298
coiled	қапталған	0.378	0.518	0.389
coin	монета	0.677	0.574	0.445
coinage	монета жасалған	0.500	0.400	0.545
coincide	сәйкес келеді	0.635	0.490	0.593
coincidence	сәйкестік	0.612	0.450	0.518
coincident	сәйкес келеді	0.562	0.385	0.602
coincidental	кездейсоқтық	0.646	0.481	0.337
coinciding	сәйкес келеді	0.673	0.373	0.623
coke	кокс	0.404	0.461	0.397
cola	кола	0.469	0.325	0.240
cold	суық	0.398	0.538	0.348
coldly	суық	0.365	0.358	0.407
coldness	салқындық	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	кользаулы	0.707	0.312	0.336
colic	колики	0.135	0.736	0.361
coliseum	колизей	0.612	0.663	0.704
collaborate	бірлесіп жұмыс істеу	0.816	0.449	0.559
collaboration	ынтымақтастық	0.885	0.628	0.741
collaborator	серіктес	0.729	0.320	0.769
collage	коллаж	0.680	0.321	0.375
collagen	коллаген	0.541	0.245	0.450
collapse	құлдырау	0.208	0.689	0.342
collar	жағыңыз	0.656	0.442	0.446
collarbone	кольмбон	0.420	0.427	0.306
collate	салыстыру	0.438	0.448	0.580
collateral	қамтамасыз ету	0.531	0.422	0.717
collation	салыстыру	0.520	0.333	0.508
colleague	әріптесі	0.740	0.413	0.600
collect	жинау	0.635	0.481	0.491
collected	жиналды	0.570	0.402	0.588
collection	коллекция	0.725	0.311	0.588
collective	ұжым	0.583	0.458	0.698
collectively	ұжымдық түрде	0.817	0.573	0.533
collector	коллекционер	0.552	0.481	0.648
college	колледж	0.700	0.467	0.746
collegiate	колледж	0.592	0.461	0.678
collide	соқтығысу	0.271	0.892	0.557
collie	Колли	0.562	0.308	0.328
collision	соқтығысу	0.245	0.848	0.585
collocation	араластыру	0.637	0.360	0.594
colloquial	сөйлесу	0.604	0.363	0.368
collusion	келісу	0.365	0.510	0.400
cologne	одеколон	0.677	0.413	0.552
colon	қос нүкте	0.449	0.394	0.384
colonel	полковник	0.459	0.592	0.890
colonial	отаршылдық	0.553	0.327	0.613
colonic	колониялық	0.333	0.420	0.430
colonoscopy	колоноскопия	0.208	0.524	0.466
colony	колониясы	0.716	0.353	0.593
colophon	колофон	0.500	0.408	0.385
color	түсі	0.786	0.280	0.402
coloration	бояу	0.541	0.520	0.443
colored	түсті	0.806	0.317	0.275
colorful	түрлі-түсті	0.850	0.520	0.519
coloring	бояу	0.781	0.469	0.353
colorless	түссіз	0.354	0.340	0.250
colors	түстер	0.875	0.349	0.340
colossal	ұлы	0.698	0.692	0.900
colt	кольт	0.561	0.587	0.543
columbine	колумбин	0.520	0.521	0.407
column	баған	0.480	0.250	0.670
columnar	columnar	0.448	0.340	0.491
columnist	шолушы	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	кома	0.219	0.255	0.302
comatose	коматоза	0.143	0.438	0.433
comb	тарақ	0.490	0.123	0.268
combat	күрес	0.302	0.846	0.833
combatant	жауынгер	0.531	0.853	0.780
combative	күресуші	0.381	0.690	0.816
combination	комбинациясы	0.708	0.480	0.726
combinatorial	комбинаторлық	0.561	0.436	0.428
combine	комбайн	0.663	0.442	0.533
combined	аралас	0.622	0.370	0.500
combo	қоспа	0.698	0.439	0.453
combustible	жанғыш	0.386	0.650	0.750
combustion	жану	0.457	0.807	0.591
come	келіңіз	0.529	0.269	0.558
comeback	қайту	0.580	0.409	0.555
comedian	комик	0.812	0.735	0.598
comedy	комедия	0.918	0.555	0.490
comet	комета	0.704	0.679	0.471
comfort	жайлылық	0.863	0.231	0.670
comfortable	ыңғайлы	0.927	0.163	0.473
comforter	жайландырғыш	0.618	0.275	0.302
comforting	жайландыратын	0.906	0.337	0.620
comfy	ыңғайлы	0.930	0.241	0.625
comic	комикс	0.917	0.459	0.387
comical	күлкілі	0.844	0.737	0.327
comics	комикстер	0.690	0.556	0.384
coming	келеді	0.653	0.417	0.500
comma	үтір	0.344	0.269	0.242
command	команда	0.427	0.790	0.849
commandant	комендант	0.622	0.700	0.943
commandeer	командир	0.552	0.639	0.931
commander	командирі	0.531	0.615	0.906
commanding	бұйрық	0.562	0.664	0.925
commandment	өсиет	0.656	0.490	0.876
commando	команда	0.323	0.710	0.817
commemorate	еске алыңыз	0.812	0.602	0.636
commemoration	еске алу	0.719	0.615	0.754
commemorative	естелік	0.750	0.438	0.754
commence	басталады	0.760	0.585	0.741
commend	мақтау	0.906	0.694	0.711
commendable	мақтауға лайық	0.786	0.570	0.555
commendation	мақтау	0.911	0.500	0.639
commensurate	сәйкес келеді	0.610	0.304	0.550
comment	түсініктеме	0.667	0.417	0.379
commentary	түсініктеме	0.602	0.402	0.446
commentator	түсіндіруші	0.492	0.510	0.607
commerce	сауда	0.646	0.500	0.788
commercial	коммерциялық	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	комиссариат	0.385	0.500	0.788
commission	комиссия	0.677	0.480	0.571
commissioner	комиссары	0.602	0.449	0.949
commit	міндеттеме	0.365	0.529	0.491
commitment	міндеттеме	0.714	0.710	0.843
committal	міндеттеме	0.472	0.519	0.582
committed	жасалды	0.710	0.542	0.712
committee	Комитет	0.592	0.392	0.721
commodity	тауар	0.615	0.394	0.537
commodore	commodore	0.427	0.530	0.636
common	жалпы	0.600	0.127	0.318
commoner	жалпы	0.448	0.365	0.327
commonly	әдетте	0.604	0.170	0.574
commonplace	әдеттегідей	0.520	0.337	0.442
commons	ортақ	0.633	0.396	0.623
commonwealth	серіктестік	0.630	0.406	0.702
commotion	қасіретін	0.490	0.700	0.646
communal	коммуналдық	0.592	0.321	0.556
commune	коммун	0.500	0.488	0.655
communicable	жұқпалы	0.796	0.491	0.623
communicate	қарым-қатынас жасау	0.823	0.410	0.696
communication	байланыс	0.837	0.400	0.649
communicative	коммуникативті	0.847	0.560	0.637
communicator	коммуникатор	0.573	0.509	0.796
communion	қарым-қатынас	0.765	0.357	0.607
communism	коммунизм	0.264	0.570	0.623
communist	коммунист	0.265	0.702	0.632
community	қауымдастық	0.750	0.350	0.659
commutation	коммутация	0.469	0.431	0.652
