Word	Cebuano-ceb	Valence	Arousal	Dominance
chloride	chloride	0.265	0.387	0.474
chlorine	klorin	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	chocolate	0.885	0.480	0.418
choice	pagpili	0.745	0.520	0.664
choir	choir	0.704	0.298	0.473
choke	nahigmata	0.167	0.788	0.676
cholera	cholera	0.020	0.867	0.507
cholesterol	kolesterol	0.198	0.583	0.398
choose	pagpili	0.615	0.542	0.648
choosing	pagpili	0.719	0.529	0.689
choosy	choosy	0.280	0.760	0.712
chop	chop	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	pagputol	0.560	0.625	0.362
chops	chops	0.612	0.420	0.269
choral	choral	0.852	0.290	0.421
chord	chord	0.729	0.394	0.539
chords	chords	0.639	0.406	0.388
chore	trabaho	0.406	0.462	0.500
choreographer	koreographer	0.646	0.639	0.625
choreography	koreograpiya	0.812	0.750	0.547
chorus	chorus	0.620	0.417	0.500
chosen	gipili	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	christ	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	christening	0.725	0.382	0.650
christian	christian	0.760	0.241	0.591
christmas	Pasko	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	panahon sa Pasko	0.837	0.588	0.515
chromatic	chromatic	0.407	0.413	0.435
chromatography	chromatography	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	chromosome	0.500	0.296	0.548
chronic	chronic	0.255	0.615	0.464
chronicle	cronicle	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	kronolohikal	0.594	0.445	0.600
chubby	tambok	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	nanghupaw	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	chunk	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	simbahan	0.708	0.198	0.610
churchyard	balay sa simbahan	0.296	0.444	0.347
churn	misakit ang	0.316	0.491	0.407
chute	chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	sigarilyo	0.306	0.463	0.346
cigarette	sigarilyo	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	sine	0.698	0.538	0.500
cinematic	cinematic	0.663	0.490	0.600
cinematographer	cinematographer	0.792	0.455	0.711
cinematography	cinematography	0.781	0.571	0.625
cinnamon	cinnamon	0.600	0.250	0.292
cipher	cipher	0.490	0.414	0.500
circle	lingin	0.480	0.290	0.343
circling	nagtuyok	0.510	0.654	0.336
circuit	sirkito	0.586	0.461	0.707
circuitry	circuitry	0.596	0.615	0.536
circular	circular	0.562	0.342	0.417
circulate	maglibot	0.612	0.388	0.320
circulation	sirkulasyon	0.735	0.520	0.657
circulatory	circulatory	0.592	0.575	0.545
circumcision	pagtuli	0.327	0.657	0.528
circumference	sirkumperensiya	0.458	0.255	0.488
circumferential	palibut	0.551	0.422	0.509
circumscribed	gilimitahan	0.365	0.539	0.569
circumstance	kahimtang	0.520	0.565	0.596
circumstances	kahimtang	0.562	0.527	0.464
circumstantial	istorya	0.500	0.538	0.519
circumvent	likayi	0.316	0.642	0.383
circumvention	paglikay	0.531	0.571	0.473
circus	sirkus	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirrhosis	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	cistern	0.541	0.413	0.432
citadel	citadel	0.585	0.464	0.602
citation	citation	0.570	0.549	0.508
cite	paghisgot	0.625	0.454	0.532
citizen	citizen	0.631	0.250	0.586
citizenship	pagkalungsoranon	0.786	0.404	0.723
citrine	Citrine	0.375	0.400	0.420
citrus	citrus	0.469	0.368	0.375
city	lungsod	0.847	0.531	0.508
citywide	sa tibuok siyudad	0.592	0.509	0.707
civic	civic	0.653	0.240	0.573
civics	civics	0.700	0.279	0.720
civil	sibil	0.521	0.281	0.517
civilian	sibilyan	0.700	0.229	0.598
civilians	mga sibilyan	0.490	0.448	0.525
civility	pagkamaunongon	0.760	0.306	0.679
civilization	sibilisasyon	0.823	0.452	0.839
civilized	sibilisado	0.792	0.231	0.796
clad	nakasulud	0.583	0.373	0.481
claim	pag-angkon	0.255	0.760	0.473
claimant	nangangkon	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	pag-clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	pagsinggit	0.438	0.643	0.360
clamp	clamp	0.541	0.388	0.454
clan	ang banay	0.562	0.491	0.686
clandestine	clandestine	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	magpakpak	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	pagpalakpak	0.823	0.894	0.686
clarification	pagklaro	0.802	0.461	0.613
clarify	pagklaro	0.652	0.535	0.625
clarinet	clarinet	0.592	0.453	0.411
clarion	clarion	0.500	0.443	0.422
clarity	pagklaro	0.796	0.310	0.631
clash	panagsangka	0.293	0.918	0.453
clashing	pagsumpo	0.177	0.764	0.575
clasp	pagbitay	0.448	0.375	0.241
class	klase	0.656	0.314	0.522
classic	classic	0.690	0.260	0.611
classic rock	classic rock	0.729	0.571	0.588
classical	klasikal	0.643	0.198	0.536
classics	classics	0.750	0.333	0.510
classification	pagklasipikar	0.583	0.423	0.613
classified	classified	0.571	0.460	0.663
classify	pagklasipikar	0.646	0.411	0.720
classmate	classmate	0.781	0.400	0.593
classroom	klasehanan	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	pagsupak	0.418	0.820	0.387
clause	clause	0.480	0.409	0.528
clauses	clauses	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
claustrophobic	claustrophobic	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	claw	0.260	0.600	0.598
claws	claws	0.281	0.698	0.562
clay	yutang kulonon	0.542	0.250	0.267
clean	limpyo	0.827	0.170	0.500
cleaner	maglimpyo	0.604	0.556	0.375
cleaning	pagpanglimpyo	0.595	0.396	0.427
cleanliness	kalimpyo	0.816	0.363	0.609
cleanly	hinlo	0.823	0.352	0.583
cleanse	paglimpyo	0.625	0.310	0.660
cleanser	cleanser	0.604	0.353	0.433
cleansing	paghinlo	0.729	0.298	0.472
cleanup	paglimpyo	0.729	0.314	0.451
clear	tin-aw	0.857	0.327	0.573
clearance	clearance	0.542	0.459	0.473
clearing	paghawan	0.680	0.333	0.509
clearness	katin-awan	0.875	0.316	0.689
cleat	cleat	0.486	0.260	0.361
cleavage	cleavage	0.542	0.602	0.454
cleave	huptan	0.296	0.545	0.389
cleaver	tigpamutol	0.240	0.627	0.434
clef	clef	0.615	0.360	0.595
cleft	guba	0.306	0.442	0.360
clemency	pagmapailubon	0.594	0.417	0.397
clench	pagkalipong	0.438	0.618	0.580
clergy	klero	0.531	0.312	0.575
clergyman	klero	0.594	0.330	0.556
cleric	cleric	0.521	0.324	0.589
clerical	clerical	0.520	0.396	0.491
clerk	klerk	0.500	0.579	0.509
clerkship	clerkship	0.582	0.380	0.596
clever	maalamon	0.896	0.353	0.729
cleverness	kinaadman	0.878	0.509	0.921
click	i-klik	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	kliyente	0.583	0.450	0.618
clientele	mga kliyente	0.625	0.577	0.508
cliff	pangpang	0.361	0.620	0.509
climate	klima	0.635	0.240	0.483
climatology	climatology	0.531	0.367	0.541
climax	kinatapusan	0.735	0.853	0.667
climb	pagsaka	0.615	0.660	0.604
climber	tigkatkat	0.573	0.716	0.735
clinch	clinch	0.469	0.538	0.430
cling	pagpugong	0.417	0.620	0.588
clingy	hanap	0.224	0.460	0.370
clinic	klinika	0.469	0.439	0.600
clinical	clinical	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	clip	0.438	0.310	0.381
clipboard	clipboard	0.594	0.255	0.423
clipper	gunting	0.293	0.422	0.383
clipping	pagputol	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	kupo	0.469	0.188	0.333
cloaking	pagtan-aw	0.521	0.595	0.389
cloakroom	puy-anan	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	orasan	0.677	0.173	0.407
clockwork	bulok nga hulagway	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	clog	0.104	0.618	0.454
cloister	cloister	0.438	0.413	0.475
clone	clone	0.406	0.471	0.524
cloning	pag-clone	0.216	0.696	0.679
close	suod nga	0.292	0.260	0.263
closed	sirado	0.240	0.164	0.318
closeness	pagkasuod	0.796	0.237	0.450
closet	closet	0.531	0.204	0.330
closure	pagsira	0.229	0.220	0.412
clot	clot	0.150	0.558	0.275
cloth	panapton	0.510	0.190	0.287
clothe	sinina	0.797	0.330	0.481
clothes	mga sinina	0.833	0.270	0.414
clothesline	nga sinina	0.582	0.324	0.366
clothing	sinina	0.750	0.343	0.407
cloud	panganod	0.740	0.133	0.342
clouded	mapuno	0.240	0.213	0.302
cloudiness	kahayag	0.469	0.250	0.343
clouds	mga panganod	0.735	0.195	0.324
cloudy	madagma	0.281	0.280	0.202
clout	pagpatay	0.584	0.636	0.704
clove	clove	0.439	0.296	0.315
clover	clover	0.605	0.340	0.364
cloves	cloves	0.427	0.218	0.396
clown	clown	0.650	0.598	0.300
clowns	clowns	0.600	0.673	0.391
club	club	0.646	0.618	0.393
clubhouse	clubhouse	0.694	0.571	0.493
clubs	clubs	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	pahibal-an	0.653	0.380	0.412
clueless	wala'y klaro	0.350	0.333	0.161
clump	clump	0.551	0.480	0.582
clumsy	clumsy	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	cluster	0.490	0.458	0.446
clutch	clutch	0.383	0.500	0.491
clutches	clutches	0.542	0.373	0.528
clutter	pagkaputol	0.135	0.598	0.400
coach	coach	0.633	0.823	0.735
coachman	coachman	0.479	0.394	0.509
coagulation	pag-ayo	0.381	0.558	0.436
coal	karbon	0.360	0.241	0.340
coalesce	nagkahiusa	0.479	0.434	0.529
coalition	koalisyon	0.490	0.730	0.673
coarse	coarse	0.333	0.481	0.481
coast	baybayon	0.719	0.396	0.458
coastal	baybay	0.604	0.370	0.510
coaster	coaster	0.612	0.788	0.627
coastline	baybayon	0.745	0.282	0.441
coat	sinina	0.677	0.256	0.464
coating	taklap, sapaw	0.620	0.440	0.596
coax	pagsul-ob	0.367	0.400	0.447
cobalt	cobalt	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	cobbler	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	cocaine	0.156	0.840	0.373
cock	manok	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	gubot	0.459	0.460	0.423
cockpit	cockpit	0.520	0.424	0.343
cockroach	kan-anan	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	Cocktail	0.740	0.480	0.381
cocky	hugaw	0.260	0.784	0.519
cocoa	kakaw	0.776	0.255	0.322
coconut	lubi	0.622	0.265	0.227
cocoon	kape	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	Code	0.583	0.308	0.491
codeine	codeine	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	codification	0.448	0.400	0.698
codify	codify	0.448	0.410	0.679
coding	coding	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	coefficient	0.677	0.415	0.702
coerce	pagpugos	0.260	0.741	0.517
coercion	pagpamugos	0.330	0.708	0.577
coercive	pagpamugos	0.479	0.670	0.506
coexist	mag-uban	0.708	0.460	0.536
coexistence	magkahiusa	0.588	0.472	0.638
coexisting	nagapadayon	0.551	0.349	0.648
coffee	kape	0.823	0.418	0.309
coffee table	kape nga kape	0.720	0.339	0.295
coffeehouse	coffeehouse	0.694	0.357	0.307
coffeepot	coffeepot	0.760	0.333	0.312
coffin	lungon	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	cogent	0.765	0.479	0.836
cognac	cognac	0.615	0.510	0.430
cognate	cognate	0.615	0.350	0.398
cognition	cognition	0.635	0.344	0.706
cognitive	panghunahuna	0.513	0.401	0.634
cohabitation	pagpuyo-puyo	0.646	0.526	0.598
coherence	pagkauyon	0.720	0.406	0.788
coherent	nagkauyon	0.698	0.281	0.500
cohesion	panaghiusa	0.604	0.536	0.555
cohesive	cohesive	0.531	0.470	0.603
cohort	cohort	0.459	0.551	0.566
coil	coil	0.448	0.343	0.298
coiled	naglihok	0.378	0.518	0.389
coin	sensilyo	0.677	0.574	0.445
coinage	coinage	0.500	0.400	0.545
coincide	magkahiusa	0.635	0.490	0.593
coincidence	sulagma	0.612	0.450	0.518
coincident	suliran	0.562	0.385	0.602
coincidental	sulagma	0.646	0.481	0.337
coinciding	magkahiusa	0.673	0.373	0.623
coke	coke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	katugnaw	0.398	0.538	0.348
coldly	sa katugnaw	0.365	0.358	0.407
coldness	kabugnaw	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	koliseum	0.612	0.663	0.704
collaborate	magtinabangay	0.816	0.449	0.559
collaboration	kolaborasyon	0.885	0.628	0.741
collaborator	kolaborator	0.729	0.320	0.769
collage	collage	0.680	0.321	0.375
collagen	collagen	0.541	0.245	0.450
collapse	mahugno	0.208	0.689	0.342
collar	kulyar	0.656	0.442	0.446
collarbone	kuwelyo	0.420	0.427	0.306
collate	pag-collate	0.438	0.448	0.580
collateral	garantiya	0.531	0.422	0.717
collation	pagkumpirma	0.520	0.333	0.508
colleague	kauban	0.740	0.413	0.600
collect	pagkolekta	0.635	0.481	0.491
collected	nakolekta	0.570	0.402	0.588
collection	pagkolekta	0.725	0.311	0.588
collective	kolektibo	0.583	0.458	0.698
collectively	sa tanan	0.817	0.573	0.533
collector	collector	0.552	0.481	0.648
college	kolehiyo	0.700	0.467	0.746
collegiate	collegiate	0.592	0.461	0.678
collide	nagbangga	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	banggaan	0.245	0.848	0.585
collocation	paghugpong	0.637	0.360	0.594
colloquial	kolokyal	0.604	0.363	0.368
collusion	paghiusa	0.365	0.510	0.400
cologne	cologne	0.677	0.413	0.552
colon	colon	0.449	0.394	0.384
colonel	koronel	0.459	0.592	0.890
colonial	kolonyal	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	colonoscopy	0.208	0.524	0.466
colony	kolonya	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	kolor	0.786	0.280	0.402
coloration	kolor	0.541	0.520	0.443
colored	kolor	0.806	0.317	0.275
colorful	mabulokon	0.850	0.520	0.519
coloring	pagkolor	0.781	0.469	0.353
colorless	walay kolor	0.354	0.340	0.250
colors	mga kolor	0.875	0.349	0.340
colossal	dako kaayo	0.698	0.692	0.900
colt	colt	0.561	0.587	0.543
columbine	columbine	0.520	0.521	0.407
column	kolum	0.480	0.250	0.670
columnar	kolumnar	0.448	0.340	0.491
columnist	kolumnista	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	koma	0.219	0.255	0.302
comatose	koma	0.143	0.438	0.433
comb	comb	0.490	0.123	0.268
combat	away	0.302	0.846	0.833
combatant	away	0.531	0.853	0.780
combative	combative	0.381	0.690	0.816
combination	kombinasyon	0.708	0.480	0.726
combinatorial	combinatorial	0.561	0.436	0.428
combine	paghiusa	0.663	0.442	0.533
combined	gihiusa	0.622	0.370	0.500
combo	combo	0.698	0.439	0.453
combustible	dali	0.386	0.650	0.750
combustion	pagkasunog	0.457	0.807	0.591
come	umari ka	0.529	0.269	0.558
comeback	Pagbalik	0.580	0.409	0.555
comedian	komedyante	0.812	0.735	0.598
comedy	comedy	0.918	0.555	0.490
comet	kometa	0.704	0.679	0.471
comfort	paghupay	0.863	0.231	0.670
comfortable	komportable	0.927	0.163	0.473
comforter	Maghuhupay	0.618	0.275	0.302
comforting	makapahupay	0.906	0.337	0.620
comfy	komportable	0.930	0.241	0.625
comic	komiks	0.917	0.459	0.387
comical	makalingaw	0.844	0.737	0.327
comics	komiks	0.690	0.556	0.384
coming	pag-anhi	0.653	0.417	0.500
comma	koma	0.344	0.269	0.242
command	sugo	0.427	0.790	0.849
commandant	komandante	0.622	0.700	0.943
commandeer	komander	0.552	0.639	0.931
commander	kumander	0.531	0.615	0.906
commanding	pagmando	0.562	0.664	0.925
commandment	sugo	0.656	0.490	0.876
commando	komando	0.323	0.710	0.817
commemorate	paghandum	0.812	0.602	0.636
commemoration	paghandum	0.719	0.615	0.754
commemorative	commemorative	0.750	0.438	0.754
commence	magsugod	0.760	0.585	0.741
commend	pagdayeg	0.906	0.694	0.711
commendable	dalaygon	0.786	0.570	0.555
commendation	pagdayeg	0.911	0.500	0.639
commensurate	komitado	0.610	0.304	0.550
comment	komentaryo	0.667	0.417	0.379
commentary	komentaryo	0.602	0.402	0.446
commentator	komentarista	0.492	0.510	0.607
commerce	komersiyo	0.646	0.500	0.788
commercial	commercial	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	commissary	0.385	0.500	0.788
commission	komisyon	0.677	0.480	0.571
commissioner	komisyonado	0.602	0.449	0.949
commit	pagbuhat	0.365	0.529	0.491
commitment	pasalig	0.714	0.710	0.843
committal	committal	0.472	0.519	0.582
committed	nahimo	0.710	0.542	0.712
committee	komite	0.592	0.392	0.721
commodity	produkto	0.615	0.394	0.537
commodore	komodore	0.427	0.530	0.636
common	komon	0.600	0.127	0.318
commoner	ordinaryong tawo	0.448	0.365	0.327
commonly	kasagaran	0.604	0.170	0.574
commonplace	ordinaryo na kaayo	0.520	0.337	0.442
commons	mga commons	0.633	0.396	0.623
commonwealth	komonwelt	0.630	0.406	0.702
commotion	kaguliyang	0.490	0.700	0.646
communal	communal	0.592	0.321	0.556
commune	komyun	0.500	0.488	0.655
communicable	makontak	0.796	0.491	0.623
communicate	makigsulti	0.823	0.410	0.696
communication	komunikasyon	0.837	0.400	0.649
communicative	komunikasyon	0.847	0.560	0.637
communicator	communicator	0.573	0.509	0.796
communion	pakig-ambit	0.765	0.357	0.607
communism	komunismo	0.264	0.570	0.623
communist	Komunista	0.265	0.702	0.632
community	komunidad	0.750	0.350	0.659
commutation	pagbag-o	0.469	0.431	0.652
commutative	commutative	0.667	0.442	0.569
commute	mobiyahe	0.622	0.582	0.565
commuter	commuter	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	compact	0.458	0.417	0.673
compaction	pagkompetensya	0.531	0.471	0.582
compactness	compactness	0.582	0.352	0.454
companion	kauban	0.770	0.377	0.618
companionless	walay kauban	0.271	0.259	0.200
companionship	pakig-uban	0.833	0.438	0.792
company	kompaniya	0.906	0.425	0.798
comparable	ikatandi	0.562	0.443	0.458
comparative	comparative	0.470	0.273	0.562
comparatively	kon itandi	0.604	0.391	0.538
compare	itandi	0.552	0.408	0.524
comparison	pagtandi	0.583	0.456	0.492
compartment	lawak	0.500	0.389	0.607
compass	kompas	0.541	0.307	0.529
compassion	kalooy	0.735	0.258	0.509
compassionate	maloloy-on	0.857	0.404	0.411
compatibility	pagkompetensya	0.816	0.450	0.673
compatible	nahiuyon	0.892	0.387	0.638
compel	pagpugos	0.200	0.847	0.625
compelled	gipugos	0.333	0.654	0.347
compelling	makakombinser	0.698	0.570	0.870
compendium	compendium	0.610	0.461	0.537
compensate	pagbayad	0.612	0.429	0.762
compensation	bayad	0.775	0.469	0.598
compensatory	ang bayad	0.589	0.490	0.700
compete	makigkompetensya	0.573	0.745	0.786
competence	katakus	0.615	0.802	0.823
competency	katakus	0.768	0.775	0.764
competent	sarang	0.865	0.560	0.904
competition	kompetisyon	0.580	0.790	0.798
competitive	competitive	0.447	0.718	0.908
competitor	kakompetensya	0.612	0.959	0.861
compilation	paghugpong	0.530	0.512	0.606
compile	pagtipon	0.600	0.413	0.519
complacency	pagkalma	0.604	0.503	0.519
complacent	wala'y paglaum	0.625	0.452	0.518
complain	moreklamo	0.143	0.682	0.360
complaint	reklamo	0.143	0.606	0.281
complement	katimbang	0.760	0.277	0.600
complementary	komplementaryo	0.714	0.320	0.586
complete	kompleto	0.750	0.414	0.809
completed	nahuman	0.823	0.357	0.777
completely	hingpit	0.730	0.370	0.690
completeness	pagkakompleto	0.823	0.433	0.769
completing	pagkompleto	0.614	0.500	0.769
completion	pagkompleto	0.656	0.470	0.525
complex	komplikado	0.388	0.608	0.550
complexed	gisulayan	0.312	0.577	0.612
complexion	sulaw	0.521	0.520	0.380
complexity	komplikado	0.479	0.620	0.595
compliance	pagsunod	0.750	0.462	0.750
compliant	misunod	0.677	0.310	0.519
complicate	palihug	0.210	0.657	0.404
complicated	komplikado	0.211	0.660	0.455
complication	komplikasyon	0.365	0.726	0.330
complicity	pagsinabtanay	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	kompleto	0.823	0.413	0.435
comply	pagtuman	0.806	0.370	0.638
complying	pagtuman	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	component	0.531	0.382	0.525
compose	paghimo	0.639	0.432	0.694
composed	gisulat	0.684	0.385	0.682
composer	kompositor	0.822	0.588	0.691
composite	composite	0.591	0.459	0.620
composition	komposisyon	0.765	0.408	0.652
compost	compost	0.480	0.404	0.441
composure	pagkompetensya	0.802	0.354	0.717
compound	compound	0.635	0.385	0.735
comprehend	sabton	0.875	0.365	0.689
comprehension	pagsabot	0.908	0.387	0.688
comprehensive	komprehensibo	0.796	0.385	0.644
compress	idasok	0.406	0.412	0.460
compressed	compressed	0.323	0.396	0.388
compressible	mapugngan	0.622	0.392	0.585
compression	kompresiyon	0.646	0.521	0.579
compressor	compressor	0.418	0.481	0.630
comprise	naglangkob	0.839	0.373	0.669
compromise	pagkompromiso	0.677	0.520	0.805
comptroller	comptroller	0.402	0.481	0.866
compulsion	pagpugos	0.118	0.760	0.604
compulsive	mapugsanon	0.347	0.871	0.573
compulsory	gikinahanglan	0.343	0.541	0.791
computable	gikompirma	0.570	0.402	0.545
computation	pagkuwenta	0.583	0.429	0.697
compute	ikumpara	0.531	0.408	0.564
computer	computer	0.802	0.356	0.639
computerized	computerized	0.677	0.450	0.657
computing	pagkompyuter	0.745	0.398	0.695
comrade	kauban	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	pagdugtong	0.480	0.593	0.539
concave	huyang	0.441	0.349	0.349
conceal	pagtago	0.312	0.436	0.306
concealed	natago	0.344	0.363	0.352
concealment	pagtago	0.302	0.570	0.390
concede	pag-angkon	0.670	0.324	0.473
conceit	Gipanghambog	0.354	0.625	0.309
conceited	mapahitas-on	0.194	0.667	0.473
conceivable	mahunahuna	0.730	0.350	0.613
conceive	nanamkon	0.708	0.538	0.700
concentrate	pag-concentrate	0.750	0.439	0.743
concentration	konsentrasyon	0.735	0.500	0.722
concentric	concentric	0.730	0.479	0.635
concept	konsepto	0.573	0.265	0.632
conception	pagsamkon	0.694	0.490	0.614
concern	kabalaka	0.250	0.734	0.463
concerned	nabalaka	0.292	0.698	0.350
concert	konsyerto	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	pagtugot	0.588	0.423	0.615
concessional	concessional	0.770	0.493	0.657
conch	conch	0.583	0.306	0.339
concierge	concierge	0.480	0.343	0.343
conciliation	panaghiusa	0.792	0.475	0.726
concise	sulud	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	makahinapos	0.530	0.267	0.679
concluding	pagtapos	0.531	0.382	0.603
conclusion	konklusyon	0.615	0.377	0.659
conclusive	konklusyon	0.500	0.427	0.745
concoction	pagsagol	0.448	0.459	0.417
concomitant	duyog	0.427	0.482	0.727
concord	concord	0.677	0.320	0.586
concordance	concordance	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	paglangoy	0.740	0.657	0.528
concrete	kongkreto	0.633	0.420	0.547
concubine	puyopuyo	0.388	0.594	0.476
concur	uyon	0.459	0.394	0.429
concurrence	pag-uyon	0.764	0.627	0.613
concurrent	kasamtangan	0.573	0.547	0.741
concurring	pag-uyon	0.573	0.600	0.681
concussion	pagkurog	0.072	0.708	0.482
condemn	pagahukman sa silot	0.102	0.793	0.625
condemnation	panghimaraut	0.133	0.725	0.449
condensation	kondensasyon	0.510	0.316	0.538
condensed	gipaubos	0.598	0.415	0.623
condescending	pagpaubos	0.583	0.363	0.593
condescension	pagpaubos	0.521	0.377	0.565
condiment	pahumot	0.520	0.333	0.433
condition	kondisyon	0.500	0.469	0.519
conditional	kondisyonal	0.521	0.343	0.556
conditionally	kondisyonal	0.396	0.419	0.617
conditioned	giandam	0.490	0.417	0.616
conditioner	kondisyoner	0.781	0.360	0.538
conditioning	pag-conditioning	0.440	0.468	0.617
conditions	kahimtang	0.551	0.441	0.593
condo	condo	0.439	0.288	0.607
condolence	pahasubo	0.260	0.443	0.404
condolences	pahalipay	0.198	0.480	0.288
condom	condom	0.406	0.637	0.500
condone	pagkonsentra	0.571	0.441	0.619
condor	condor	0.573	0.388	0.519
conducive	maayo	0.775	0.479	0.679
conduct	pagdumala	0.453	0.510	0.750
conduction	pagbalhin	0.530	0.557	0.717
conductivity	konduktibo	0.583	0.575	0.642
conductor	konduktor	0.677	0.663	0.621
conduit	agianan	0.470	0.302	0.413
cone	cone	0.417	0.208	0.343
confederacy	pagkompetensya	0.590	0.541	0.736
confederate	nagkahiusa	0.551	0.546	0.792
confederation	kompederasyon	0.663	0.404	0.830
confer	pagtugyan	0.573	0.482	0.583
conference	komperensya	0.688	0.615	0.606
confess	pagkumpisal	0.360	0.712	0.431
confession	pagsugid	0.469	0.642	0.460
confessional	pagkumpirma	0.458	0.392	0.629
confessions	pagkumpisal	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	confidant	0.837	0.633	0.631
confide	pagsugid	0.669	0.472	0.595
confidence	pagsalig	0.959	0.276	0.943
confident	masaligon	0.765	0.324	0.723
confidential	kompidensyal	0.643	0.471	0.761
confidentiality	confidentiality	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	pagsumpo	0.540	0.443	0.591
confine	pagkontrol	0.327	0.551	0.538
confined	nahimutang	0.286	0.472	0.444
confinement	pagkabilanggo	0.333	0.656	0.520
confines	gilimitahan	0.396	0.386	0.542
confirm	sa pagmatuod sa	0.802	0.439	0.806
confirmation	pagkumpirma	0.812	0.480	0.692
confirmatory	confirmatory	0.656	0.500	0.683
confirmed	gikumpirma	0.760	0.490	0.764
confiscate	pagkumpiskar	0.250	0.625	0.482
confiscation	pagsakmit	0.208	0.706	0.586
conflagration	pagkasunog	0.344	0.721	0.594
conflict	away	0.335	0.906	0.471
conflicting	nagkasumpaki	0.173	0.738	0.553
confluence	panagkita	0.677	0.598	0.565
