Word	Slovak-sk	Valence	Arousal	Dominance
embark	nalodiť	0.541	0.550	0.619
embarrass	uviesť do rozpakov	0.082	0.667	0.364
embarrassed	v rozpakoch	0.184	0.560	0.246
embarrassing	trápny	0.226	0.809	0.225
embarrassment	rozpaky	0.143	0.685	0.226
embassy	veľvyslanectvo	0.622	0.333	0.758
embattled	angažovaný	0.235	0.724	0.421
embed	vložiť	0.417	0.554	0.670
embellish	ozdobiť	0.842	0.500	0.769
embellishment	výzdoba	0.673	0.449	0.405
embers	žeravé uhlíky	0.490	0.481	0.508
embezzlement	sprenevera	0.143	0.827	0.435
embezzler	defraudant	0.146	0.823	0.491
emblem	symbol	0.640	0.330	0.754
emblematic	obrazný	0.771	0.459	0.798
embodiment	stelesnenie	0.562	0.690	0.663
embolism	embólia	0.104	0.660	0.302
embossed	reliéfne	0.531	0.481	0.500
embrace	objatie	0.949	0.490	0.452
embroidered	vyšívaný	0.677	0.279	0.407
embroidery	výšivka	0.781	0.358	0.280
embroiled	zapletený	0.337	0.721	0.420
embryo	embryo	0.673	0.469	0.453
embryonic	zárodočný	0.573	0.453	0.598
emcee	konferenciér	0.694	0.577	0.691
emerald	smaragd	0.740	0.363	0.726
emerge	vynoriť sa	0.602	0.594	0.731
emergence	vznik	0.276	0.857	0.676
emergency	núdzový	0.200	0.900	0.571
emeritus	emeritný	0.633	0.402	0.735
emery	šmirgeľ	0.469	0.583	0.472
emetophobia	NO TRANSLATION	0.243	0.620	0.403
emigrate	emigrovať	0.356	0.812	0.508
emigration	emigrácia	0.564	0.664	0.432
eminence	eminencia	0.816	0.644	0.837
eminent	prominentnej	0.740	0.620	0.830
eminently	neobyčajne	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	emisar	0.562	0.462	0.636
emission	emisie	0.510	0.453	0.591
emit	vyžarovať	0.638	0.445	0.510
emo	emo	0.354	0.314	0.226
emotion	emócia	0.693	0.873	0.696
emotional	citový	0.779	0.714	0.526
emotive	emotívny	0.917	0.741	0.525
empathic	empatické	0.760	0.570	0.558
empathize	vcítiť	0.802	0.591	0.660
empathy	empatia	0.729	0.349	0.545
emperor	cisár	0.651	0.704	0.962
emphasis	dôraz	0.653	0.745	0.816
emphasize	zdôrazniť	0.510	0.605	0.769
emphatic	dôrazný	0.615	0.707	0.732
emphysema	dýchavičnosť	0.156	0.556	0.336
empire	ríše	0.688	0.730	0.944
empirical	empirický	0.500	0.510	0.574
empiricism	empirizmus	0.583	0.460	0.547
employ	zamestnať	0.729	0.481	0.702
employee	zamestnanec	0.582	0.361	0.481
employer	zamestnávateľ	0.663	0.518	0.767
employment	zamestnanosť	0.750	0.594	0.611
emporium	obchodné stredisko	0.622	0.556	0.724
empower	zmocniť	0.694	0.779	0.891
empress	cisárovná	0.716	0.669	0.855
emptiness	prázdnota	0.177	0.173	0.184
emption	emption	0.570	0.406	0.458
empty	prázdny	0.188	0.183	0.081
emu	emu	0.420	0.358	0.330
emulate	emulovať	0.438	0.340	0.549
emulsion	emulzie	0.562	0.431	0.453
enable	umožniť	0.760	0.491	0.782
enablement	Enablement	0.600	0.451	0.750
enact	nariadiť	0.680	0.564	0.598
enactment	uzákonenia	0.667	0.612	0.769
enamel	smalt	0.594	0.280	0.306
encampment	ležanie	0.677	0.573	0.605
enchant	očarovať	0.873	0.650	0.643
enchanted	zakliaty	0.917	0.633	0.687
enchanting	očarujúce	0.917	0.681	0.708
enchantment	okúzlenie	0.816	0.775	0.647
enchantress	kúzelníčka	0.398	0.663	0.479
enchilada	Enchilada	0.542	0.553	0.371
encircle	obklopiť	0.460	0.500	0.519
encircling	obkľučovať	0.510	0.368	0.557
enclave	enkláva	0.531	0.333	0.580
enclose	priložiť	0.531	0.477	0.473
enclosure	ohrada	0.417	0.375	0.490
encode	zakódovať	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	chválorečenie	0.541	0.451	0.519
encompass	zahŕňať	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	stretnutiu	0.865	0.702	0.689
encourage	povzbudiť	0.896	0.580	0.704
encouraged	povzbudil	0.953	0.702	0.657
encouragement	povzbudenie	0.865	0.700	0.759
encouraging	povzbudivý	0.823	0.583	0.755
encroach	zasahovať	0.302	0.742	0.702
encroachment	neoprávnený zásah	0.255	0.736	0.620
encrypt	zašifrovať	0.500	0.387	0.500
encryption	šifrovanie	0.547	0.415	0.474
encumbrance	bremeno	0.300	0.521	0.480
encyclopedia	encyklopédie	0.679	0.320	0.645
end	koniec	0.198	0.349	0.298
end table	koncová tabuľka	0.541	0.480	0.482
endanger	ohroziť	0.115	0.885	0.404
endangered	ohrozený	0.083	0.885	0.430
endangerment	ohrozenie	0.167	0.873	0.519
endearing	roztomilý	0.663	0.434	0.604
endeavor	usilovať	0.677	0.755	0.765
ended	ukončený	0.302	0.500	0.500
endemic	endemitom	0.406	0.480	0.483
endgame	koniec hry	0.449	0.538	0.526
ending	koncovka	0.344	0.365	0.492
endless	nekonečný	0.347	0.462	0.472
endocarditis	endokarditída	0.235	0.587	0.412
endorse	súhlasiť	0.592	0.392	0.472
endorsement	schválenie	0.834	0.360	0.611
endow	dotovať	0.684	0.398	0.609
endowed	obdarený	0.755	0.510	0.769
endowment	nadácie	0.685	0.578	0.647
endpapers	predsádky	0.542	0.400	0.339
endpoint	endpoint	0.311	0.410	0.448
endurance	vytrvalosť	0.592	0.745	0.760
endure	vydržať	0.320	0.610	0.574
enduring	znesiteľný	0.633	0.459	0.768
enema	klystír	0.281	0.673	0.268
enemy	nepriateľ	0.135	0.794	0.591
energetic	energický	0.847	0.868	0.902
energize	povzbudiť	0.792	0.810	0.875
energy	energie	0.944	0.725	0.868
enforce	vynútiť	0.583	0.644	0.836
enforcement	vynútenie	0.594	0.571	0.736
enforcer	vymáhača	0.398	0.612	0.639
engage	zamestnať	0.771	0.796	0.713
engaged	zasnúbený	0.837	0.596	0.849
engagement	stretnutiu	0.906	0.587	0.807
engaging	podmanivý	0.948	0.612	0.862
engender	splodiť	0.561	0.741	0.688
engine	motor	0.615	0.644	0.676
engineer	inžinier	0.719	0.500	0.875
engineering	strojárstvo	0.735	0.471	0.836
engrave	vyryť	0.486	0.442	0.517
engraved	ryté	0.542	0.375	0.473
engraver	rytec	0.552	0.417	0.500
engraving	rytina	0.604	0.430	0.442
engrossed	zabraný	0.541	0.471	0.304
engrossing	pútajúci pozornosť	0.698	0.702	0.750
engulf	pohltiť	0.398	0.573	0.500
enhance	zvýšiť	0.802	0.578	0.814
enhancement	zvýšenie	0.877	0.490	0.741
enigma	hádanka	0.513	0.700	0.500
enigmatic	záhadný	0.469	0.589	0.679
enjoin	nariadiť	0.594	0.454	0.732
enjoy	Užite si to	0.959	0.725	0.750
enjoyable	príjemný	1.000	0.481	0.605
enjoying	teší	0.908	0.759	0.759
enjoyment	potešenie	0.930	0.612	0.716
enlarge	zväčšiť	0.735	0.606	0.688
enlarged	zväčšený	0.673	0.490	0.518
enlargement	zväčšenie	0.677	0.577	0.616
enlighten	osvietiť	0.729	0.549	0.667
enlightened	osvietený	0.956	0.566	0.700
enlightening	osvietený	0.825	0.729	0.727
enlightenment	osvietenie	0.837	0.549	0.619
enlist	zapísať	0.510	0.370	0.483
enliven	oživiť	0.833	0.683	0.702
enmity	nepriateľstvo	0.094	0.706	0.382
ennui	nuda	0.406	0.461	0.316
enormity	obludnosť	0.594	0.648	0.848
enormous	obrovský	0.677	0.665	0.886
enormously	ohromne	0.760	0.694	0.872
enraged	rozzúrený	0.083	0.962	0.636
enrich	obohatiť	0.896	0.731	0.705
enroll	zapísať	0.696	0.530	0.611
enrollment	zápis	0.667	0.391	0.698
ensemble	súbor	0.697	0.418	0.586
ensign	podporučík	0.663	0.270	0.545
enslave	zotročiť	0.073	0.800	0.481
enslaved	zotročený	0.104	0.720	0.321
enslavement	zotročenie	0.086	0.635	0.302
ensue	nasledovať	0.698	0.363	0.332
ensure	zaistiť	0.737	0.406	0.759
entail	znamenať	0.484	0.630	0.645
entangled	zapletený	0.319	0.578	0.357
entanglement	zapletenie	0.302	0.765	0.248
enter	vstúpiť	0.708	0.470	0.500
enterprise	podnik	0.760	0.392	0.754
enterprising	podnikavý	0.865	0.784	0.875
entertain	baviť	0.918	0.684	0.598
entertained	pobaviť	0.902	0.644	0.712
entertainer	konferenciér	0.888	0.709	0.759
entertaining	zábavný	0.833	0.658	0.660
entertainment	zábava	0.847	0.750	0.569
enthralled	fascinovaní	0.745	0.602	0.615
enthusiasm	nadšenie	0.938	0.816	0.798
enthusiast	nadšenec	0.867	0.810	0.875
enthusiastic	nadšený	0.885	0.868	0.848
entice	lákať	0.521	0.887	0.518
entire	celý	0.689	0.462	0.698
entirety	celistvosť	0.854	0.460	0.804
entitle	oprávniť	0.729	0.333	0.827
entity	bytosť	0.542	0.402	0.670
entomology	entomológia	0.438	0.396	0.545
entourage	sprievod	0.491	0.567	0.467
entrails	vnútornosti	0.365	0.538	0.387
entrance	vchod	0.698	0.393	0.526
entrapment	zachytenie	0.177	0.604	0.441
entreat	zaklínať	0.304	0.560	0.462
entree	entrée	0.615	0.477	0.624
entrepreneur	podnikateľ	0.885	0.704	0.920
entrust	zveriť	0.693	0.310	0.630
entry	vstup	0.552	0.353	0.602
enumerate	vymenovať	0.521	0.390	0.491
enumeration	výpočet	0.548	0.327	0.534
envelope	obálka	0.604	0.275	0.377
envious	závistlivý	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	prostredie	0.646	0.194	0.528
environmental	ekologický	0.633	0.313	0.664
environs	okolia	0.561	0.288	0.345
envision	Envision	0.625	0.449	0.483
envoy	vyslanec	0.531	0.375	0.586
envy	závisť	0.240	0.704	0.427
enzyme	enzým	0.562	0.277	0.481
ephemeral	prchavý	0.500	0.312	0.377
ephemeris	efemeridy	0.640	0.380	0.528
epic	epos	0.857	0.713	0.830
epidemic	epidémie	0.092	0.830	0.611
epidermis	pokožka	0.418	0.490	0.426
epidural	epidurálna	0.347	0.452	0.525
epilepsy	epilepsie	0.061	0.854	0.250
epileptic	epileptický	0.146	0.794	0.340
epilogue	epilóg	0.582	0.353	0.466
epiphany	zjavenie	0.625	0.596	0.526
episcopal	biskupský	0.542	0.314	0.750
episode	epizóda	0.719	0.367	0.509
episodic	epizodický	0.531	0.542	0.462
epistle	epištola	0.604	0.417	0.535
epitaph	epitaf	0.276	0.323	0.442
epithet	epiteton	0.530	0.394	0.524
epitome	stelesnenie	0.510	0.500	0.667
epoch	epocha	0.553	0.343	0.797
equal	rovný	0.781	0.178	0.407
equality	rovnosť	0.898	0.305	0.716
equalization	vyrovnanie	0.625	0.422	0.423
equalize	vyrovnať	0.738	0.281	0.574
equalizer	ekvalizér	0.604	0.451	0.586
equally	rovnako	0.625	0.264	0.436
equate	porovnávať	0.724	0.382	0.624
equation	rovnice	0.479	0.384	0.608
equator	rovník	0.550	0.302	0.462
equatorial	rovníkový	0.550	0.271	0.593
equestrian	jazdecký	0.633	0.519	0.417
equidistant	rovnako vzdialený	0.375	0.406	0.509
equilibration	vyrovnanie	0.724	0.317	0.593
equilibrium	rovnováha	0.676	0.235	0.620
equip	vybaviť	0.650	0.519	0.713
equipment	zariadenie	0.745	0.495	0.700
equitable	spravodlivý	0.714	0.286	0.750
equity	spravodlivosť	0.792	0.304	0.614
equivalence	rovnocennosť	0.663	0.250	0.582
equivalent	ekvivalentná	0.646	0.347	0.500
equivocal	dvojzmyselný	0.327	0.482	0.257
era	éra	0.615	0.407	0.449
eradicate	vykoreniť	0.260	0.690	0.686
eradication	vyhladenie	0.208	0.788	0.685
erase	vymazať	0.240	0.260	0.321
eraser	guma	0.458	0.209	0.311
erasure	vymazanie	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	vzpriamený	0.643	0.885	0.627
erectile	vztyčitelný	0.542	0.796	0.625
erection	erekcie	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	erodovať	0.208	0.643	0.580
erosion	erózia	0.312	0.770	0.465
erotic	erotický	0.625	0.946	0.683
erotica	erotika	0.781	0.870	0.579
err	chybovať	0.146	0.660	0.236
errand	pochôdzka	0.385	0.519	0.482
errant	potulný	0.205	0.602	0.375
erratic	nevyrovnaný	0.271	0.503	0.217
erratum	tlačová chyba	0.327	0.528	0.436
erroneous	mylný	0.057	0.561	0.245
error	chyba	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	učený	0.719	0.434	0.774
erupt	vybuchnúť	0.188	0.820	0.818
eruption	výbuch	0.156	0.913	0.733
escalade	escalade	0.480	0.724	0.442
escalate	stupňovať	0.653	0.714	0.728
escalating	stupňujúci	0.646	0.724	0.518
escalation	vystupňovaniu	0.571	0.807	0.582
escalator	eskalátor	0.500	0.530	0.518
escape	uniknúť	0.367	0.765	0.448
escaped	unikol	0.365	0.755	0.518
escarpment	zráz	0.406	0.553	0.470
eschew	vyhýbať sa	0.184	0.438	0.370
escort	sprievod	0.729	0.480	0.608
escrow	Escrow	0.449	0.520	0.613
esophagus	pažerák	0.429	0.454	0.464
esoteric	ezoterická	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	špionáž	0.312	0.750	0.620
espouse	vydať sa	0.802	0.529	0.598
espresso	espresso	0.677	0.620	0.508
esprit	duch	0.552	0.431	0.407
esquire	vážený pán	0.604	0.542	0.518
essay	esej	0.559	0.411	0.530
essayist	esejista	0.656	0.460	0.462
essence	esencie	0.663	0.369	0.575
essential	nevyhnutný	0.812	0.405	0.759
essentially	v podstate	0.750	0.373	0.802
establish	zriadiť	0.708	0.500	0.688
established	stanovený	0.796	0.394	0.694
establishment	zriadenie	0.690	0.398	0.631
estate	hodnosť	0.653	0.385	0.647
esteem	úcta	0.745	0.380	0.679
esteemed	vážený	0.694	0.418	0.531
esthetic	estetický	0.635	0.360	0.558
estimable	vážený	0.796	0.408	0.630
estimate	odhad	0.719	0.469	0.517
estimation	odhad	0.740	0.480	0.589
estoppel	uplatnením právnych prekážok	0.354	0.459	0.482
estranged	odcudzený	0.156	0.382	0.377
estrogen	estrogén	0.580	0.500	0.425
estuary	ústie	0.469	0.278	0.482
etch	leptať	0.510	0.367	0.598
etching	lept	0.567	0.491	0.575
eternal	večný	0.854	0.409	0.843
eternity	večnosť	0.765	0.520	0.911
ethanol	etanol	0.333	0.410	0.534
ether	éter	0.490	0.306	0.412
ethereal	éterický	0.520	0.419	0.518
ethic	etický	0.786	0.260	0.791
ethical	etický	0.854	0.324	0.634
ethics	etika	0.658	0.296	0.731
ethnic	etnický	0.583	0.373	0.555
ethnography	etnografia	0.571	0.373	0.549
etiology	etiológie	0.500	0.385	0.639
etiquette	etiketa	0.604	0.350	0.421
etymology	etymológia	0.531	0.370	0.529
eucalyptus	eukalyptus	0.602	0.308	0.418
euchre	kartová hra	0.470	0.459	0.442
eugenics	eugenika	0.448	0.530	0.518
eulogistic	pochvalný	0.740	0.623	0.694
eulogium	eulogium	0.542	0.482	0.655
eulogize	velebiť	0.850	0.518	0.679
eulogy	velebenie	0.625	0.443	0.667
euphemism	eufemizmus	0.418	0.453	0.491
euphoria	eufória	0.769	0.955	0.648
euphoric	euforický	0.745	0.904	0.588
euro	euro	0.680	0.441	0.521
euthanasia	eutanázie	0.229	0.716	0.325
evacuate	evakuovať	0.354	0.792	0.314
evacuation	evakuácia	0.160	0.755	0.582
evade	vyhnúť	0.304	0.490	0.342
evaluate	ohodnotiť	0.663	0.640	0.649
evaluation	ohodnotenie	0.542	0.667	0.764
evanescence	miznutie	0.527	0.519	0.458
evangelical	evanjelický	0.602	0.389	0.602
evangelist	evanjelista	0.582	0.464	0.702
evangelistic	evanjelizačné	0.660	0.375	0.612
evaporate	vypariť	0.357	0.469	0.402
evaporation	vyparovanie	0.556	0.346	0.388
evasion	vyhnutie	0.229	0.510	0.418
evasive	vyhýbavý	0.117	0.596	0.425
eve	predvečer	0.612	0.378	0.440
evening	večer	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	udalosť	0.745	0.673	0.664
eventful	rušný	0.543	0.837	0.510
eventual	eventuálnej	0.633	0.459	0.413
eventuality	možnosť	0.469	0.627	0.527
evergreen	evergreen	0.729	0.471	0.546
everlasting	večný	0.740	0.413	0.809
evermore	naveky	0.677	0.450	0.403
everyday	každý deň	0.740	0.392	0.472
everyman	každý muž	0.522	0.333	0.535
evict	vypudiť	0.042	0.632	0.377
eviction	vypudenie	0.185	0.731	0.455
evidence	dôkaz	0.500	0.500	0.778
evident	evidentné	0.633	0.444	0.664
evidentiary	dôkazné	0.448	0.541	0.717
evil	zlo	0.040	0.827	0.545
evoke	vyvolať	0.438	0.341	0.500
evolution	vývoj	0.781	0.657	0.854
evolutionary	vývojový	0.796	0.673	0.825
evolve	vyvinúť	0.655	0.692	0.896
ewe	ovce	0.429	0.216	0.277
ex	bývalý	0.250	0.520	0.306
exacerbate	zhoršiť	0.323	0.776	0.580
exacerbation	zhoršenie	0.344	0.810	0.480
exact	presný	0.719	0.354	0.685
exacting	prísny	0.448	0.673	0.767
exaggerate	preháňať	0.193	0.760	0.529
exaggerated	prehnaný	0.224	0.885	0.732
exaggeration	preháňania	0.312	0.775	0.582
exalt	povýšiť	0.656	0.750	0.745
exaltation	povýšenie	0.594	0.892	0.673
exalted	vysoký	0.676	0.845	0.696
exam	skúška	0.479	0.663	0.577
examination	skúška	0.378	0.657	0.679
examine	preskúmať	0.615	0.623	0.786
examiner	skúšajúci	0.406	0.575	0.812
example	príklad	0.542	0.337	0.510
exasperated	podráždený	0.229	0.816	0.377
exasperation	rozčúlenie	0.214	0.833	0.483
excavate	vyhĺbiť	0.583	0.613	0.635
excavation	vyhĺbenie	0.540	0.644	0.527
excavator	rýpadlo	0.427	0.673	0.649
exceed	prekročiť	0.500	0.827	0.586
exceeding	prekročenie	0.500	0.802	0.668
excel	vynikať	0.561	0.363	0.466
excellence	dokonalosť	0.958	0.620	0.907
excellent	vynikajúci	0.970	0.587	0.870
excelsior	Excelsior	0.700	0.625	0.611
excepting	okrem čoho	0.408	0.413	0.526
exception	výnimka	0.469	0.600	0.544
exceptional	výnimočný	0.806	0.740	0.933
excerpt	výňatok	0.437	0.367	0.543
excess	prebytok	0.385	0.889	0.712
excessive	nadmerný	0.417	0.731	0.601
excessively	nadmerne	0.449	0.882	0.716
exchange	výmena	0.740	0.569	0.491
excise	spotrebná daň	0.448	0.561	0.577
excision	vyrezanie	0.260	0.480	0.519
excitability	vzrušivosť	0.906	0.910	0.724
excitable	vznetlivý	0.803	0.939	0.629
excitation	podráždenie	0.792	0.958	0.750
excite	rozčúliť	0.823	0.950	0.668
excited	vzrušený	0.908	0.931	0.709
excitement	vzrušenie	0.896	0.684	0.731
exciting	vzrušujúce	0.950	0.792	0.789
exclaim	zvolať	0.635	0.711	0.639
exclamation	zvolanie	0.612	0.745	0.598
exclude	vylúčiť	0.292	0.500	0.530
excluded	vylúčené	0.061	0.540	0.134
excluding	nepočítajúc	0.271	0.550	0.324
exclusion	vylúčenie	0.240	0.530	0.389
exclusive	výhradný	0.792	0.630	0.653
excrement	exkrement	0.041	0.558	0.221
excretion	vylučovanie	0.285	0.650	0.457
excruciating	neznesiteľný	0.083	0.837	0.345
excursion	výlet	0.625	0.714	0.627
excuse	ospravedlnenie	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	popraviť	0.327	0.708	0.769
execution	poprava	0.160	0.811	0.713
executioner	kat	0.235	0.816	0.676
executive	výkonný	0.704	0.449	0.894
executor	vykonávateľ	0.365	0.755	0.759
exegesis	exegéza	0.458	0.472	0.491
exemplar	vzor	0.844	0.537	0.625
exemplary	príkladný	0.833	0.343	0.729
exemplify	ilustrovať	0.735	0.506	0.783
exempt	oslobodený	0.588	0.455	0.664
exemption	oslobodenie	0.531	0.578	0.627
exercise	cvičenie	0.750	0.789	0.625
exert	prejaviť	0.694	0.735	0.806
exertion	námaha	0.663	0.755	0.717
exhale	vydychovať	0.542	0.490	0.411
exhaust	výfuk	0.546	0.710	0.337
exhausted	vyčerpaný	0.123	0.423	0.202
exhaustion	vyčerpania	0.366	0.633	0.269
exhaustive	vyčerpávajúci	0.388	0.635	0.604
exhibit	exponát	0.688	0.633	0.708
exhibition	výstava	0.698	0.590	0.531
exhilarated	veselý	0.890	0.963	0.759
exhilarating	osviežujúci	0.917	0.823	0.810
exhilaration	rozjarenosť	0.792	0.868	0.783
exhort	nabádať	0.378	0.660	0.745
exhortation	napomenutie	0.531	0.624	0.580
exhumation	exhumácia	0.177	0.586	0.473
exhume	exhumovať	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	exil	0.184	0.630	0.483
exist	existovať	0.857	0.421	0.788
existence	existencie	0.760	0.513	0.771
existent	neexistujúce	0.635	0.490	0.635
existential	existenciálnu	0.583	0.510	0.638
existing	existujúce	0.802	0.344	0.750
exit	VÝCHOD	0.370	0.353	0.399
exodus	exodus	0.286	0.663	0.567
exonerate	ospravedlniť	0.592	0.500	0.538
exorbitant	horibilné	0.398	0.865	0.825
exorcism	zaklínania	0.163	0.980	0.557
exorcist	Vyháňač diabla	0.219	0.906	0.716
exotic	exotický	0.840	0.711	0.727
expand	zväčšiť	0.792	0.559	0.686
expanded	rozšírený	0.760	0.406	0.689
expanse	rozloha	0.594	0.529	0.689
expansion	expanzia	0.776	0.618	0.787
expansive	expanzívna	0.708	0.650	0.778
expatriate	vypovedať z vlasti	0.265	0.764	0.391
expect	očakávať	0.469	0.327	0.377
expectance	očakávania	0.552	0.724	0.660
expectancy	očakávania	0.581	0.622	0.558
expectant	čakajúci	0.708	0.650	0.474
expectation	očakávania	0.771	0.690	0.707
expected	očakávaný	0.729	0.412	0.545
expecting	čaká	0.561	0.450	0.302
expediency	účelnosť	0.604	0.443	0.703
expedient	účelný	0.885	0.461	0.454
expedite	urýchliť	0.571	0.858	0.798
expedition	expedície	0.735	0.802	0.620
expeditious	urýchlené	0.602	0.645	0.773
expel	vyhostiť	0.281	0.725	0.452
expendable	postrádateľný	0.479	0.490	0.423
expenditure	výdavok	0.250	0.608	0.603
expense	výdavok	0.317	0.451	0.377
expenses	výdavky	0.240	0.633	0.396
expensive	drahý	0.323	0.540	0.530
experience	skúsenosť	0.827	0.618	0.905
experienced	skúsený	0.771	0.613	0.914
experiences	skúsenosti	0.793	0.647	0.795
experiment	experiment	0.479	0.720	0.675
experimental	experimentálne	0.417	0.764	0.396
experimentation	experimentovanie	0.637	0.769	0.767
experimenter	experimentátor	0.708	0.710	0.700
expert	expert	0.776	0.646	0.911
expertise	odbornosť	0.792	0.589	0.925
expiration	expirácia	0.265	0.539	0.463
expire	vypršať	0.573	0.745	0.702
expired	expirovaný	0.198	0.394	0.200
expiry	uplynutí	0.194	0.434	0.382
explain	vysvetliť	0.719	0.517	0.736
explanation	vysvetlenie	0.615	0.610	0.825
explanatory	vysvetľujúce	0.573	0.433	0.688
expletive	zvolanie	0.357	0.567	0.536
explication	vysvetlenie	0.510	0.445	0.602
explicit	výslovný	0.562	0.694	0.734
explode	explodovať	0.277	0.885	0.773
exploit	ťažiť	0.312	0.878	0.660
exploitation	vykorisťovania	0.156	0.920	0.718
exploration	prieskum	0.594	0.650	0.773
exploratory	prieskumný	0.653	0.690	0.698
explore	preskúmať	0.776	0.660	0.727
explorer	cestovateľ	0.729	0.663	0.714
explosion	výbuch	0.167	0.960	0.767
explosions	výbuchy	0.123	0.860	0.594
explosive	výbušný	0.156	0.943	0.663
expo	expo	0.610	0.562	0.500
exponent	exponent	0.529	0.510	0.845
exponential	exponenciálny	0.704	0.588	0.763
export	export	0.567	0.661	0.755
exportation	vývoz	0.760	0.633	0.673
expose	vystaviť	0.344	0.643	0.537
exposed	vystavený	0.471	0.661	0.509
exposition	expozície	0.521	0.627	0.655
expository	vystavený	0.706	0.653	0.636
exposure	expozície	0.570	0.830	0.630
expound	vyložiť	0.438	0.575	0.740
express	expresné	0.760	0.623	0.691
expression	vyjadrenie	0.790	0.650	0.721
expressive	expresívne	0.755	0.724	0.685
expressway	diaľnice	0.633	0.635	0.587
expropriation	vyvlastnenie	0.188	0.735	0.788
expulsion	vyhostenie	0.190	0.790	0.529
exquisite	znamenitý	0.892	0.644	0.604
exquisitely	nádherne	0.849	0.728	0.723
extant	existujúce	0.646	0.390	0.523
extend	predĺžiť	0.646	0.570	0.689
extendable	rozšíriteľný	0.660	0.592	0.722
extended	predĺžený	0.570	0.304	0.649
extension	predĺženie	0.490	0.510	0.529
extensive	rozsiahly	0.635	0.520	0.760
extent	rozsah	0.646	0.451	0.602
exterior	exteriér	0.542	0.400	0.627
exterminate	vyhladiť	0.177	0.857	0.736
extermination	vyhubenie	0.190	0.860	0.616
exterminator	kto vyhubí	0.344	0.804	0.887
external	externý	0.479	0.341	0.509
externally	zvonka	0.643	0.521	0.568
extinct	vyhynutý	0.112	0.491	0.412
extinction	vyhynutie	0.104	0.750	0.611
extinguish	uhasiť	0.240	0.576	0.482
extinguisher	hasiaci prístroj	0.707	0.379	0.543
extol	vychvaľovať	0.582	0.667	0.456
extort	vydierať	0.052	0.827	0.570
extortion	vydieranie	0.112	0.868	0.630
extra	extra	0.656	0.551	0.745
extract	výťažok	0.565	0.402	0.519
extracting	vyťahovanie	0.521	0.709	0.689
extraction	ťažba	0.418	0.740	0.526
extractor	odsávač	0.302	0.536	0.519
extracurricular	mimoškolských	0.457	0.471	0.743
extradition	vydanie	0.229	0.627	0.554
extrajudicial	mimosúdne	0.365	0.686	0.667
extramural	extramurálne	0.336	0.559	0.537
extraneous	cudzie	0.276	0.625	0.478
extraordinaire	neobyčajný	0.847	0.864	0.898
extraordinary	neobyčajný	0.969	0.728	0.860
extraterrestrial	mimozemský	0.510	0.833	0.792
extravagance	výstrednosť	0.531	0.802	0.700
extravagant	výstredný	0.720	0.763	0.812
extravaganza	fantastická	0.646	0.786	0.906
extreme	extrémnej	0.318	0.800	0.721
extreme anticipation	extrémne očakávania	0.551	0.740	0.704
extreme disgust	extrémne znechutenie	0.052	0.873	0.456
extreme surprise	extrémne prekvapenie	0.833	0.935	0.676
extreme trust	extrémnu dôveru	0.826	0.713	0.922
extremely	nesmierne	0.635	0.827	0.886
extremely negative	extrémne negatívny	0.030	0.786	0.311
extremely positive	mimoriadne pozitívne	0.993	0.730	0.839
extremity	končatina	0.408	0.588	0.583
extricate	vyslobodiť	0.542	0.510	0.543
extrinsic	vonkajšie	0.510	0.479	0.636
extrusion	vytlačovanie	0.229	0.660	0.545
exuberance	hojnosť	0.698	0.816	0.787
exude	vyžarovať	0.375	0.519	0.411
eye	očné	0.531	0.265	0.425
eyeball	očná buľva	0.526	0.422	0.420
eyebrow	obočie	0.510	0.198	0.222
eyeful	eyeful	0.802	0.500	0.676
eyeglass	okuliare	0.531	0.236	0.286
eyeglasses	okuliare	0.561	0.269	0.306
eyelash	riasa	0.480	0.250	0.278
eyelet	pútko	0.632	0.298	0.346
eyeliner	očné linky	0.688	0.349	0.347
eyepiece	okulár	0.418	0.347	0.480
eyes	oči	0.760	0.279	0.432
eyesight	zrak	0.750	0.226	0.343
eyewitness	očitý svedok	0.541	0.686	0.698
fab	fab	0.490	0.380	0.406
fable	bájka	0.663	0.387	0.389
fabled	legendárny	0.625	0.538	0.545
fabric	tkanina	0.635	0.190	0.345
fabricate	vymyslieť	0.636	0.491	0.779
fabricated	vymyslený	0.418	0.427	0.555
fabrication	výmysel	0.573	0.587	0.705
fabulous	báječný	0.979	0.660	0.797
facade	fasáda	0.520	0.333	0.518
face	tvár	0.571	0.173	0.453
faceless	anonymný	0.230	0.406	0.173
