Word	German-de	Valence	Arousal	Dominance
endangerment	Gefährdung	0.167	0.873	0.519
endearing	liebenswert	0.663	0.434	0.604
endeavor	bemühen	0.677	0.755	0.765
ended	beendet	0.302	0.500	0.500
endemic	endemisch	0.406	0.480	0.483
endgame	Endspiel	0.449	0.538	0.526
ending	Ende	0.344	0.365	0.492
endless	endlos	0.347	0.462	0.472
endocarditis	Endokarditis	0.235	0.587	0.412
endorse	befürworten	0.592	0.392	0.472
endorsement	Billigung	0.834	0.360	0.611
endow	schenken	0.684	0.398	0.609
endowed	ausgestattet	0.755	0.510	0.769
endowment	Ausstattung	0.685	0.578	0.647
endpapers	Vorsätze	0.542	0.400	0.339
endpoint	Endpunkt	0.311	0.410	0.448
endurance	Ausdauer	0.592	0.745	0.760
endure	ertragen	0.320	0.610	0.574
enduring	ausdauernd	0.633	0.459	0.768
enema	Einlauf	0.281	0.673	0.268
enemy	Feind	0.135	0.794	0.591
energetic	energetisch	0.847	0.868	0.902
energize	ansporn	0.792	0.810	0.875
energy	Energie	0.944	0.725	0.868
enforce	erzwingen	0.583	0.644	0.836
enforcement	Durchsetzung	0.594	0.571	0.736
enforcer	Vollstrecker	0.398	0.612	0.639
engage	engagieren	0.771	0.796	0.713
engaged	beschäftigt, verlobt	0.837	0.596	0.849
engagement	Engagement	0.906	0.587	0.807
engaging	engagiert	0.948	0.612	0.862
engender	erzeugen	0.561	0.741	0.688
engine	Motor	0.615	0.644	0.676
engineer	Ingenieur	0.719	0.500	0.875
engineering	Ingenieurwesen	0.735	0.471	0.836
engrave	gravieren	0.486	0.442	0.517
engraved	graviert	0.542	0.375	0.473
engraver	Graveur	0.552	0.417	0.500
engraving	Gravur	0.604	0.430	0.442
engrossed	vertieft	0.541	0.471	0.304
engrossing	fesselnd	0.698	0.702	0.750
engulf	verschlingen	0.398	0.573	0.500
enhance	verbessern	0.802	0.578	0.814
enhancement	Erweiterung	0.877	0.490	0.741
enigma	Rätsel	0.513	0.700	0.500
enigmatic	rätselhaft	0.469	0.589	0.679
enjoin	gebieten	0.594	0.454	0.732
enjoy	genießen	0.959	0.725	0.750
enjoyable	angenehm	1.000	0.481	0.605
enjoying	genießen	0.908	0.759	0.759
enjoyment	Vergnügen	0.930	0.612	0.716
enlarge	vergrößern	0.735	0.606	0.688
enlarged	vergrößert	0.673	0.490	0.518
enlargement	Erweiterung	0.677	0.577	0.616
enlighten	erleuchten	0.729	0.549	0.667
enlightened	erleuchtet	0.956	0.566	0.700
enlightening	aufschlussreich	0.825	0.729	0.727
enlightenment	Aufklärung	0.837	0.549	0.619
enlist	gewinnen	0.510	0.370	0.483
enliven	beleben	0.833	0.683	0.702
enmity	Feindschaft	0.094	0.706	0.382
ennui	Langeweile	0.406	0.461	0.316
enormity	Ungeheuerlichkeit	0.594	0.648	0.848
enormous	enorm	0.677	0.665	0.886
enormously	enorm	0.760	0.694	0.872
enraged	wütend	0.083	0.962	0.636
enrich	bereichern	0.896	0.731	0.705
enroll	einschreiben	0.696	0.530	0.611
enrollment	Einschreibung	0.667	0.391	0.698
ensemble	Ensemble	0.697	0.418	0.586
ensign	Fähnrich	0.663	0.270	0.545
enslave	versklaven	0.073	0.800	0.481
enslaved	versklavt	0.104	0.720	0.321
enslavement	Versklavung	0.086	0.635	0.302
ensue	erfolgen	0.698	0.363	0.332
ensure	dafür sorgen	0.737	0.406	0.759
entail	mit sich bringen	0.484	0.630	0.645
entangled	verstrickt	0.319	0.578	0.357
entanglement	Verstrickung	0.302	0.765	0.248
enter	eingeben	0.708	0.470	0.500
enterprise	Unternehmen	0.760	0.392	0.754
enterprising	unternehmungslustig	0.865	0.784	0.875
entertain	unterhalten	0.918	0.684	0.598
entertained	unterhalten	0.902	0.644	0.712
entertainer	Entertainer	0.888	0.709	0.759
entertaining	unterhaltsam	0.833	0.658	0.660
entertainment	Unterhaltung	0.847	0.750	0.569
enthralled	bezaubert	0.745	0.602	0.615
enthusiasm	Begeisterung	0.938	0.816	0.798
enthusiast	Enthusiast	0.867	0.810	0.875
enthusiastic	begeistert	0.885	0.868	0.848
entice	locken	0.521	0.887	0.518
entire	ganz	0.689	0.462	0.698
entirety	Gesamtheit	0.854	0.460	0.804
entitle	berechtigen	0.729	0.333	0.827
entity	Entität	0.542	0.402	0.670
entomology	Entomologie	0.438	0.396	0.545
entourage	Gefolge	0.491	0.567	0.467
entrails	Eingeweide	0.365	0.538	0.387
entrance	Eingang	0.698	0.393	0.526
entrapment	Einklemmung	0.177	0.604	0.441
entreat	anflehen	0.304	0.560	0.462
entree	Hauptgericht	0.615	0.477	0.624
entrepreneur	Unternehmer	0.885	0.704	0.920
entrust	anvertrauen	0.693	0.310	0.630
entry	Eintrag	0.552	0.353	0.602
enumerate	aufzählen	0.521	0.390	0.491
enumeration	Aufzählung	0.548	0.327	0.534
envelope	Briefumschlag	0.604	0.275	0.377
envious	neidisch	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	Umgebung	0.646	0.194	0.528
environmental	Umwelt	0.633	0.313	0.664
environs	Umgebung	0.561	0.288	0.345
envision	vorstellen	0.625	0.449	0.483
envoy	Gesandte	0.531	0.375	0.586
envy	Neid	0.240	0.704	0.427
enzyme	Enzym	0.562	0.277	0.481
ephemeral	flüchtig	0.500	0.312	0.377
ephemeris	Ephemeriden	0.640	0.380	0.528
epic	Epos	0.857	0.713	0.830
epidemic	Epidemie	0.092	0.830	0.611
epidermis	Epidermis	0.418	0.490	0.426
epidural	epidural	0.347	0.452	0.525
epilepsy	Epilepsie	0.061	0.854	0.250
epileptic	epileptisch	0.146	0.794	0.340
epilogue	Epilog	0.582	0.353	0.466
epiphany	Offenbarung	0.625	0.596	0.526
episcopal	bischöflich	0.542	0.314	0.750
episode	Folge	0.719	0.367	0.509
episodic	episodisch	0.531	0.542	0.462
epistle	Brief	0.604	0.417	0.535
epitaph	Epitaph	0.276	0.323	0.442
epithet	Beiname	0.530	0.394	0.524
epitome	Inbegriff	0.510	0.500	0.667
epoch	Epoche	0.553	0.343	0.797
equal	gleich	0.781	0.178	0.407
equality	Gleichberechtigung	0.898	0.305	0.716
equalization	Ausgleich	0.625	0.422	0.423
equalize	entzerren	0.738	0.281	0.574
equalizer	Equalizer	0.604	0.451	0.586
equally	gleichermaßen	0.625	0.264	0.436
equate	gleichsetzen	0.724	0.382	0.624
equation	Gleichung	0.479	0.384	0.608
equator	Äquator	0.550	0.302	0.462
equatorial	äquatorial	0.550	0.271	0.593
equestrian	Reiter	0.633	0.519	0.417
equidistant	äquidistant	0.375	0.406	0.509
equilibration	Äquilibrierung	0.724	0.317	0.593
equilibrium	Gleichgewicht	0.676	0.235	0.620
equip	ausrüsten	0.650	0.519	0.713
equipment	Ausrüstung	0.745	0.495	0.700
equitable	gerecht	0.714	0.286	0.750
equity	Eigenkapital	0.792	0.304	0.614
equivalence	Gleichwertigkeit	0.663	0.250	0.582
equivalent	gleichwertig	0.646	0.347	0.500
equivocal	zweideutig	0.327	0.482	0.257
era	Epoche	0.615	0.407	0.449
eradicate	auszurotten	0.260	0.690	0.686
eradication	Ausrottung	0.208	0.788	0.685
erase	löschen	0.240	0.260	0.321
eraser	Radiergummi	0.458	0.209	0.311
erasure	Löschen	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	aufrecht	0.643	0.885	0.627
erectile	erektil	0.542	0.796	0.625
erection	Erektion	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	erodieren	0.208	0.643	0.580
erosion	Erosion	0.312	0.770	0.465
erotic	erotisch	0.625	0.946	0.683
erotica	Erotik	0.781	0.870	0.579
err	err	0.146	0.660	0.236
errand	Auftrag	0.385	0.519	0.482
errant	fehlgeleitet	0.205	0.602	0.375
erratic	sprunghaft	0.271	0.503	0.217
erratum	Erratum	0.327	0.528	0.436
erroneous	fehlerhaft	0.057	0.561	0.245
error	Error	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	gelehrt	0.719	0.434	0.774
erupt	ausbrechen	0.188	0.820	0.818
eruption	Eruption	0.156	0.913	0.733
escalade	Eskalade	0.480	0.724	0.442
escalate	eskalieren	0.653	0.714	0.728
escalating	eskaliert	0.646	0.724	0.518
escalation	Eskalation	0.571	0.807	0.582
escalator	Rolltreppe	0.500	0.530	0.518
escape	Flucht	0.367	0.765	0.448
escaped	entkam	0.365	0.755	0.518
escarpment	Böschung	0.406	0.553	0.470
eschew	vermeiden	0.184	0.438	0.370
escort	begleiten	0.729	0.480	0.608
escrow	Schief	0.449	0.520	0.613
esophagus	Speiseröhre	0.429	0.454	0.464
esoteric	esoterisch	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	Spionage	0.312	0.750	0.620
espouse	zu unterstützen	0.802	0.529	0.598
espresso	Espresso	0.677	0.620	0.508
esprit	Esprit	0.552	0.431	0.407
esquire	Esquire	0.604	0.542	0.518
essay	Aufsatz	0.559	0.411	0.530
essayist	Essayist	0.656	0.460	0.462
essence	Wesen	0.663	0.369	0.575
essential	wesentlich	0.812	0.405	0.759
essentially	im Wesentlichen	0.750	0.373	0.802
establish	Gründen	0.708	0.500	0.688
established	etabliert	0.796	0.394	0.694
establishment	Einrichtung	0.690	0.398	0.631
estate	Immobilien	0.653	0.385	0.647
esteem	Wertschätzung	0.745	0.380	0.679
esteemed	geschätzt	0.694	0.418	0.531
esthetic	ästhetisch	0.635	0.360	0.558
estimable	schätzbar	0.796	0.408	0.630
estimate	schätzen	0.719	0.469	0.517
estimation	Einschätzung	0.740	0.480	0.589
estoppel	estoppel	0.354	0.459	0.482
estranged	entfremdet	0.156	0.382	0.377
estrogen	Östrogen	0.580	0.500	0.425
estuary	Mündung	0.469	0.278	0.482
etch	ätzen	0.510	0.367	0.598
etching	Radierung	0.567	0.491	0.575
eternal	ewig	0.854	0.409	0.843
eternity	Ewigkeit	0.765	0.520	0.911
ethanol	Ethanol	0.333	0.410	0.534
ether	Äther	0.490	0.306	0.412
ethereal	ätherisch	0.520	0.419	0.518
ethic	Ethik	0.786	0.260	0.791
ethical	ethisch	0.854	0.324	0.634
ethics	Ethik	0.658	0.296	0.731
ethnic	ethnisch	0.583	0.373	0.555
ethnography	Ethnographie	0.571	0.373	0.549
etiology	Ätiologie	0.500	0.385	0.639
etiquette	Etikette	0.604	0.350	0.421
etymology	Etymologie	0.531	0.370	0.529
eucalyptus	Eukalyptus	0.602	0.308	0.418
euchre	Euchre	0.470	0.459	0.442
eugenics	Eugenik	0.448	0.530	0.518
eulogistic	Lobgesang	0.740	0.623	0.694
eulogium	Eulogium	0.542	0.482	0.655
eulogize	loben	0.850	0.518	0.679
eulogy	Lobrede	0.625	0.443	0.667
euphemism	Euphemismus	0.418	0.453	0.491
euphoria	Euphorie	0.769	0.955	0.648
euphoric	euphorisch	0.745	0.904	0.588
euro	Euro	0.680	0.441	0.521
euthanasia	Euthanasie	0.229	0.716	0.325
evacuate	evakuieren	0.354	0.792	0.314
evacuation	Evakuierung	0.160	0.755	0.582
evade	ausweichen	0.304	0.490	0.342
evaluate	bewerten	0.663	0.640	0.649
evaluation	Auswertung	0.542	0.667	0.764
evanescence	Vergänglichkeit	0.527	0.519	0.458
evangelical	evangelisch	0.602	0.389	0.602
evangelist	Evangelist	0.582	0.464	0.702
evangelistic	evangelistisch	0.660	0.375	0.612
evaporate	verdampfen	0.357	0.469	0.402
evaporation	Verdunstung	0.556	0.346	0.388
evasion	Ausweichen	0.229	0.510	0.418
evasive	ausweichend	0.117	0.596	0.425
eve	Vorabend	0.612	0.378	0.440
evening	Abend	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	Veranstaltung	0.745	0.673	0.664
eventful	ereignisreich	0.543	0.837	0.510
eventual	eventuell	0.633	0.459	0.413
eventuality	Fall	0.469	0.627	0.527
evergreen	immergrün	0.729	0.471	0.546
everlasting	ewig	0.740	0.413	0.809
evermore	immer	0.677	0.450	0.403
everyday	jeden Tag	0.740	0.392	0.472
everyman	jeder Mann	0.522	0.333	0.535
evict	vertreiben	0.042	0.632	0.377
eviction	Vertreibung	0.185	0.731	0.455
evidence	Beweise	0.500	0.500	0.778
evident	offensichtlich	0.633	0.444	0.664
evidentiary	Beweismittel	0.448	0.541	0.717
evil	böse	0.040	0.827	0.545
evoke	hervorrufen	0.438	0.341	0.500
evolution	Evolution	0.781	0.657	0.854
evolutionary	evolutionär	0.796	0.673	0.825
evolve	entwickeln	0.655	0.692	0.896
ewe	Mutterschaf	0.429	0.216	0.277
ex	Ex	0.250	0.520	0.306
exacerbate	verschärfen	0.323	0.776	0.580
exacerbation	Exazerbation	0.344	0.810	0.480
exact	genau	0.719	0.354	0.685
exacting	anspruchsvoll	0.448	0.673	0.767
exaggerate	übertreiben	0.193	0.760	0.529
exaggerated	übertrieben	0.224	0.885	0.732
exaggeration	Übertreibung	0.312	0.775	0.582
exalt	erhöhen	0.656	0.750	0.745
exaltation	Erhöhung	0.594	0.892	0.673
exalted	erhaben	0.676	0.845	0.696
exam	Prüfung	0.479	0.663	0.577
examination	Untersuchung	0.378	0.657	0.679
examine	untersuchen	0.615	0.623	0.786
examiner	Prüfer	0.406	0.575	0.812
example	Beispiel	0.542	0.337	0.510
exasperated	verärgert	0.229	0.816	0.377
exasperation	Verzweiflung	0.214	0.833	0.483
excavate	ausgraben	0.583	0.613	0.635
excavation	Ausgrabung	0.540	0.644	0.527
excavator	Bagger	0.427	0.673	0.649
exceed	überschreiten	0.500	0.827	0.586
exceeding	Überschreitung	0.500	0.802	0.668
excel	übertreffen	0.561	0.363	0.466
excellence	Exzellenz	0.958	0.620	0.907
excellent	Ausgezeichnet	0.970	0.587	0.870
excelsior	Holzwolle	0.700	0.625	0.611
excepting	ausgenommen von	0.408	0.413	0.526
exception	Ausnahme	0.469	0.600	0.544
exceptional	außergewöhnlich	0.806	0.740	0.933
excerpt	Auszug	0.437	0.367	0.543
excess	Überschuss	0.385	0.889	0.712
excessive	übermäßig	0.417	0.731	0.601
excessively	übermäßig	0.449	0.882	0.716
exchange	Austausch-	0.740	0.569	0.491
excise	Verbrauchsteuer	0.448	0.561	0.577
excision	Exzision	0.260	0.480	0.519
excitability	Erregbarkeit	0.906	0.910	0.724
excitable	erregbar	0.803	0.939	0.629
excitation	Erregung	0.792	0.958	0.750
excite	anregen	0.823	0.950	0.668
excited	aufgeregt	0.908	0.931	0.709
excitement	Aufregung	0.896	0.684	0.731
exciting	aufregend	0.950	0.792	0.789
exclaim	ausrufen	0.635	0.711	0.639
exclamation	Ausruf	0.612	0.745	0.598
exclude	ausschließen	0.292	0.500	0.530
excluded	ausgeschlossen	0.061	0.540	0.134
excluding	ohne	0.271	0.550	0.324
exclusion	Ausschluss	0.240	0.530	0.389
exclusive	exklusiv	0.792	0.630	0.653
excrement	Kot	0.041	0.558	0.221
excretion	Ausscheidung	0.285	0.650	0.457
excruciating	quälend	0.083	0.837	0.345
excursion	Ausflug	0.625	0.714	0.627
excuse	Ausrede	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	ausführen	0.327	0.708	0.769
execution	Ausführung	0.160	0.811	0.713
executioner	Henker	0.235	0.816	0.676
executive	Exekutive	0.704	0.449	0.894
executor	Testamentsvollstrecker	0.365	0.755	0.759
exegesis	Exegese	0.458	0.472	0.491
exemplar	Exemplar	0.844	0.537	0.625
exemplary	exemplarisch	0.833	0.343	0.729
exemplify	Beispielhaft	0.735	0.506	0.783
exempt	befreit	0.588	0.455	0.664
exemption	Befreiung	0.531	0.578	0.627
exercise	Übung	0.750	0.789	0.625
exert	ausüben	0.694	0.735	0.806
exertion	Anstrengung	0.663	0.755	0.717
exhale	ausatmen	0.542	0.490	0.411
exhaust	Auspuff	0.546	0.710	0.337
exhausted	erschöpft	0.123	0.423	0.202
exhaustion	Erschöpfung	0.366	0.633	0.269
exhaustive	erschöpfend	0.388	0.635	0.604
exhibit	Ausstellungsstück	0.688	0.633	0.708
exhibition	Ausstellung	0.698	0.590	0.531
exhilarated	beschwingt	0.890	0.963	0.759
exhilarating	berauschend	0.917	0.823	0.810
exhilaration	Hochgefühl	0.792	0.868	0.783
exhort	ermahnen	0.378	0.660	0.745
exhortation	Ermahnung	0.531	0.624	0.580
exhumation	Exhumierung	0.177	0.586	0.473
exhume	exhumieren	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	Exil	0.184	0.630	0.483
exist	existieren	0.857	0.421	0.788
existence	Existenz	0.760	0.513	0.771
existent	existent	0.635	0.490	0.635
existential	existenziell	0.583	0.510	0.638
existing	bestehende	0.802	0.344	0.750
exit	Ausfahrt	0.370	0.353	0.399
exodus	Exodus	0.286	0.663	0.567
exonerate	entlasten	0.592	0.500	0.538
exorbitant	exorbitant	0.398	0.865	0.825
exorcism	Exorzismus	0.163	0.980	0.557
exorcist	Exorzist	0.219	0.906	0.716
exotic	exotisch	0.840	0.711	0.727
expand	erweitern	0.792	0.559	0.686
expanded	erweitert	0.760	0.406	0.689
expanse	Weite	0.594	0.529	0.689
expansion	Erweiterung	0.776	0.618	0.787
expansive	ausdehnend	0.708	0.650	0.778
expatriate	Auswanderer	0.265	0.764	0.391
expect	erwarten von	0.469	0.327	0.377
expectance	Erwartung	0.552	0.724	0.660
expectancy	Erwartung	0.581	0.622	0.558
expectant	erwartungsvoll	0.708	0.650	0.474
expectation	Erwartung	0.771	0.690	0.707
expected	erwartet	0.729	0.412	0.545
expecting	erwartet	0.561	0.450	0.302
expediency	Zweckmäßigkeit	0.604	0.443	0.703
expedient	zweckmäßig	0.885	0.461	0.454
expedite	beschleunigen	0.571	0.858	0.798
expedition	Expedition	0.735	0.802	0.620
expeditious	zügig	0.602	0.645	0.773
expel	vertreiben	0.281	0.725	0.452
expendable	entbehrlich	0.479	0.490	0.423
expenditure	Ausgaben	0.250	0.608	0.603
expense	Kosten	0.317	0.451	0.377
expenses	Kosten	0.240	0.633	0.396
expensive	teuer	0.323	0.540	0.530
experience	Erfahrung	0.827	0.618	0.905
experienced	erfahren	0.771	0.613	0.914
experiences	Erfahrungen	0.793	0.647	0.795
experiment	Experiment	0.479	0.720	0.675
experimental	Experimental-	0.417	0.764	0.396
experimentation	Experimentieren	0.637	0.769	0.767
experimenter	Experimentator	0.708	0.710	0.700
expert	Experte	0.776	0.646	0.911
expertise	Sachverstand	0.792	0.589	0.925
expiration	Ablauf	0.265	0.539	0.463
expire	verfallen	0.573	0.745	0.702
expired	abgelaufen	0.198	0.394	0.200
expiry	Ablauf	0.194	0.434	0.382
explain	erklären	0.719	0.517	0.736
explanation	Erläuterung	0.615	0.610	0.825
explanatory	erläuternd	0.573	0.433	0.688
expletive	Kraftausdruck	0.357	0.567	0.536
explication	Explikation	0.510	0.445	0.602
explicit	explizit	0.562	0.694	0.734
explode	explodieren	0.277	0.885	0.773
exploit	Ausbeuten	0.312	0.878	0.660
exploitation	Ausbeutung	0.156	0.920	0.718
exploration	Erkundung	0.594	0.650	0.773
exploratory	explorativ	0.653	0.690	0.698
explore	erkunden	0.776	0.660	0.727
explorer	Forscher	0.729	0.663	0.714
explosion	Explosion	0.167	0.960	0.767
explosions	Explosionen	0.123	0.860	0.594
explosive	explosiv	0.156	0.943	0.663
expo	Messe	0.610	0.562	0.500
exponent	Exponent	0.529	0.510	0.845
exponential	exponentiell	0.704	0.588	0.763
export	Export	0.567	0.661	0.755
exportation	Ausfuhr	0.760	0.633	0.673
expose	entlarven	0.344	0.643	0.537
exposed	ausgesetzt	0.471	0.661	0.509
exposition	Exposition	0.521	0.627	0.655
expository	Enthüllung	0.706	0.653	0.636
exposure	Exposition	0.570	0.830	0.630
expound	erläutern	0.438	0.575	0.740
express	ausdrücken	0.760	0.623	0.691
expression	Ausdruck	0.790	0.650	0.721
expressive	ausdrucksvoll	0.755	0.724	0.685
expressway	Schnellstraße	0.633	0.635	0.587
expropriation	Enteignung	0.188	0.735	0.788
expulsion	Vertreibung	0.190	0.790	0.529
exquisite	exquisit	0.892	0.644	0.604
exquisitely	exquisit	0.849	0.728	0.723
extant	vorhanden	0.646	0.390	0.523
extend	erweitern	0.646	0.570	0.689
extendable	Erweiterbar	0.660	0.592	0.722
extended	verlängert	0.570	0.304	0.649
extension	Erweiterung	0.490	0.510	0.529
extensive	umfangreich	0.635	0.520	0.760
extent	Umfang	0.646	0.451	0.602
exterior	Außen	0.542	0.400	0.627
exterminate	vernichten	0.177	0.857	0.736
extermination	Vernichtung	0.190	0.860	0.616
exterminator	Kammerjäger	0.344	0.804	0.887
external	extern	0.479	0.341	0.509
externally	extern	0.643	0.521	0.568
extinct	ausgestorben	0.112	0.491	0.412
extinction	Aussterben	0.104	0.750	0.611
extinguish	löschen	0.240	0.576	0.482
extinguisher	Feuerlöscher	0.707	0.379	0.543
extol	verherrlichen	0.582	0.667	0.456
extort	erpressen	0.052	0.827	0.570
extortion	Erpressung	0.112	0.868	0.630
extra	extra	0.656	0.551	0.745
extract	Extrakt	0.565	0.402	0.519
extracting	extrahieren	0.521	0.709	0.689
extraction	Extraktion	0.418	0.740	0.526
extractor	Extraktor	0.302	0.536	0.519
extracurricular	außerhalb des Lehrplans	0.457	0.471	0.743
extradition	Auslieferung	0.229	0.627	0.554
extrajudicial	außergerichtlich	0.365	0.686	0.667
extramural	extramural	0.336	0.559	0.537
extraneous	überflüssig	0.276	0.625	0.478
extraordinaire	außergewöhnlich	0.847	0.864	0.898
extraordinary	außergewöhnlich	0.969	0.728	0.860
extraterrestrial	außerirdisch	0.510	0.833	0.792
extravagance	Extravaganz	0.531	0.802	0.700
extravagant	extravagant	0.720	0.763	0.812
extravaganza	Extravaganz	0.646	0.786	0.906
extreme	extrem	0.318	0.800	0.721
extreme anticipation	extreme Vorfreude	0.551	0.740	0.704
extreme disgust	extremer Ekel	0.052	0.873	0.456
extreme surprise	extreme Überraschung	0.833	0.935	0.676
extreme trust	extremes Vertrauen	0.826	0.713	0.922
extremely	äußerst	0.635	0.827	0.886
extremely negative	extrem negativ	0.030	0.786	0.311
extremely positive	sehr positiv	0.993	0.730	0.839
extremity	Extremität	0.408	0.588	0.583
extricate	befreien	0.542	0.510	0.543
extrinsic	extrinsisch	0.510	0.479	0.636
extrusion	Extrusion	0.229	0.660	0.545
exuberance	Überschwang	0.698	0.816	0.787
exude	verströmen	0.375	0.519	0.411
eye	Auge	0.531	0.265	0.425
eyeball	Augapfel	0.526	0.422	0.420
eyebrow	Augenbraue	0.510	0.198	0.222
eyeful	augenfällig	0.802	0.500	0.676
eyeglass	Brille	0.531	0.236	0.286
eyeglasses	Brille	0.561	0.269	0.306
eyelash	Wimper	0.480	0.250	0.278
eyelet	Öse	0.632	0.298	0.346
eyeliner	Eyeliner	0.688	0.349	0.347
eyepiece	Okular	0.418	0.347	0.480
eyes	Augen	0.760	0.279	0.432
eyesight	Sehvermögen	0.750	0.226	0.343
eyewitness	Augenzeuge	0.541	0.686	0.698
fab	fabelhaft	0.490	0.380	0.406
fable	Fabel	0.663	0.387	0.389
fabled	sagenhaft	0.625	0.538	0.545
fabric	Stoff	0.635	0.190	0.345
fabricate	fabrizieren	0.636	0.491	0.779
fabricated	hergestellt	0.418	0.427	0.555
fabrication	Herstellung	0.573	0.587	0.705
fabulous	fabelhaft	0.979	0.660	0.797
facade	Fassade	0.520	0.333	0.518
face	Gesicht	0.571	0.173	0.453
faceless	gesichtslos	0.230	0.406	0.173
facet	Facette	0.667	0.324	0.382
facial	Gesichts-	0.594	0.429	0.433
facile	NO TRANSLATION	0.740	0.264	0.307
facilitate	erleichtern	0.812	0.333	0.509
facility	Einrichtung	0.625	0.500	0.654
facing	zugewandt	0.604	0.406	0.550
facsimile	Faksimile	0.490	0.500	0.543
fact	Tatsache	0.683	0.333	0.618
faction	Fraktion	0.469	0.430	0.448
factor	Faktor	0.635	0.365	0.678
factory	Fabrik	0.500	0.500	0.683
facts	Fakten	0.688	0.471	0.693
factual	sachlich	0.656	0.440	0.545
faculties	Fakultäten	0.643	0.431	0.760
faculty	Fakultät	0.615	0.412	0.732
fad	Mode	0.663	0.520	0.570
fade	verblassen	0.354	0.333	0.245
faded	verblasst	0.302	0.275	0.194
faeces	Kot	0.184	0.476	0.175
fag	Kippe	0.122	0.653	0.331
faggot	Schwuchtel	0.219	0.643	0.292
fail	Scheitern	0.177	0.578	0.154
failing	Versagen	0.125	0.490	0.268
failure	Fehler	0.167	0.575	0.139
fain	NO TRANSLATION	0.479	0.417	0.426
faint	Ohnmacht	0.063	0.429	0.167
fainting	Ohnmacht	0.333	0.510	0.214
fair	Messe	0.812	0.557	0.643
fairly	ziemlich	0.790	0.406	0.750
fairness	Gerechtigkeit	0.740	0.317	0.552
fairway	Fahrrinne	0.541	0.510	0.500
fairy	Fee	0.776	0.408	0.413
faith	Glauben	0.833	0.220	0.763
faithful	treu	0.888	0.333	0.627
faithfulness	Treue	0.833	0.426	0.602
faithless	treulos	0.102	0.683	0.304
fake	Fälschung	0.073	0.554	0.268
faker	Schwindler	0.245	0.630	0.480
falafel	Falafel	0.560	0.402	0.351
falcon	Falke	0.557	0.580	0.678
fall	fallen	0.177	0.657	0.221
fallacious	trügerisch	0.271	0.587	0.390
fallacy	Irrtum	0.112	0.561	0.430
fallback	Zurückfallen	0.458	0.358	0.508
fallible	fehlbar	0.365	0.537	0.402
falling	fallen	0.202	0.716	0.306
fallopian	Eileiter	0.297	0.390	0.464
fallout	ausfallen	0.428	0.356	0.373
fallow	Brache	0.375	0.368	0.464
false	FALSCH	0.120	0.404	0.240
falsehood	Lüge	0.031	0.625	0.384
falsely	fälschlicherweise	0.083	0.480	0.265
falsification	Fälschung	0.173	0.720	0.490
falsified	gefälscht	0.042	0.630	0.306
falsify	verfälschen	0.115	0.657	0.409
falsity	Falschheit	0.120	0.689	0.186
falter	schwanken	0.421	0.650	0.346
fame	Ruhm	0.896	0.755	0.852
famed	berühmt	0.878	0.750	0.819
familiar	familiär	0.906	0.330	0.615
familiarity	Vertrautheit	0.854	0.346	0.616
familiarize	sich einarbeiten	0.760	0.365	0.654
family	Familie	0.968	0.383	0.643
familytime	Familienzeit	0.939	0.420	0.679
famine	Hungersnot	0.163	0.679	0.310
famished	ausgehungert	0.177	0.654	0.282
famous	berühmt	0.916	0.775	0.882
famously	berühmt	0.856	0.765	0.787
fan	Ventilator	0.781	0.429	0.357
fanatic	Fanatiker	0.573	0.780	0.629
fanatical	fanatisch	0.555	0.830	0.714
fanaticism	Fanatismus	0.292	0.896	0.566
fanciful	fantasievoll	0.677	0.592	0.342
fancy	schick	0.854	0.673	0.534
fandango	Fandango	0.490	0.591	0.429
fanfare	Fanfare	0.656	0.640	0.437
fang	NO TRANSLATION	0.175	0.491	0.455
fangs	Reißzähne	0.286	0.598	0.434
fanning	Fächerung	0.615	0.330	0.236
fantasia	Fantasie	0.898	0.694	0.436
fantasize	phantasieren	0.771	0.660	0.356
fantastic	Fantastisch	0.969	0.696	0.831
fantasy	Fantasie	0.880	0.627	0.474
faraway	weit weg	0.365	0.356	0.285
farce	Farce	0.265	0.667	0.246
farcical	Farce	0.406	0.481	0.259
fare	Fahrpreis	0.490	0.425	0.645
farewell	Abschied	0.130	0.500	0.591
farm	Bauernhof	0.781	0.327	0.297
farmer	Farmer	0.677	0.432	0.464
farmhouse	Bauernhaus	0.690	0.330	0.444
farming	Landwirtschaft	0.580	0.414	0.568
farmland	Ackerland	0.729	0.363	0.509
faro	Faro	0.544	0.349	0.357
fart	Furz	0.194	0.439	0.264
farther	weiter	0.418	0.500	0.430
fascia	Faszie	0.480	0.366	0.356
fascinate	faszinieren	0.854	0.683	0.802
fascinated	fasziniert	0.812	0.714	0.788
