Word	Slovenian-sl	Valence	Arousal	Dominance
evermore	vedno več	0.677	0.450	0.403
everyday	vsak dan	0.740	0.392	0.472
everyman	vsak moški	0.522	0.333	0.535
evict	izseliti	0.042	0.632	0.377
eviction	izselitev	0.185	0.731	0.455
evidence	dokazov	0.500	0.500	0.778
evident	očitno	0.633	0.444	0.664
evidentiary	dokazni list	0.448	0.541	0.717
evil	zlo	0.040	0.827	0.545
evoke	evoke	0.438	0.341	0.500
evolution	evolucijo	0.781	0.657	0.854
evolutionary	evolucijski	0.796	0.673	0.825
evolve	evoluirati	0.655	0.692	0.896
ewe	ovca	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	poslabša	0.323	0.776	0.580
exacerbation	poslabšanje	0.344	0.810	0.480
exact	točno	0.719	0.354	0.685
exacting	zahtevno	0.448	0.673	0.767
exaggerate	Pretiravajte	0.193	0.760	0.529
exaggerated	pretirano	0.224	0.885	0.732
exaggeration	pretiravanje	0.312	0.775	0.582
exalt	exalt	0.656	0.750	0.745
exaltation	exaltation	0.594	0.892	0.673
exalted	vzvišeno	0.676	0.845	0.696
exam	izpit	0.479	0.663	0.577
examination	pregled	0.378	0.657	0.679
examine	preučiti	0.615	0.623	0.786
examiner	izpraševalec	0.406	0.575	0.812
example	primer	0.542	0.337	0.510
exasperated	razburjen	0.229	0.816	0.377
exasperation	razburjenje	0.214	0.833	0.483
excavate	izkopati	0.583	0.613	0.635
excavation	izkopavanje	0.540	0.644	0.527
excavator	bager	0.427	0.673	0.649
exceed	presega	0.500	0.827	0.586
exceeding	presega	0.500	0.802	0.668
excel	excel	0.561	0.363	0.466
excellence	odličnost	0.958	0.620	0.907
excellent	odlično	0.970	0.587	0.870
excelsior	Excelsior	0.700	0.625	0.611
excepting	razen	0.408	0.413	0.526
exception	izjema	0.469	0.600	0.544
exceptional	izjemno	0.806	0.740	0.933
excerpt	izvleček	0.437	0.367	0.543
excess	presežek	0.385	0.889	0.712
excessive	pretirano	0.417	0.731	0.601
excessively	pretirano	0.449	0.882	0.716
exchange	izmenjavo	0.740	0.569	0.491
excise	trošarine	0.448	0.561	0.577
excision	izrezek	0.260	0.480	0.519
excitability	razburljivost	0.906	0.910	0.724
excitable	razburljivo	0.803	0.939	0.629
excitation	vzburjenje	0.792	0.958	0.750
excite	vznemirjaj	0.823	0.950	0.668
excited	navdušen	0.908	0.931	0.709
excitement	vznemirjenje	0.896	0.684	0.731
exciting	vznemirljivo	0.950	0.792	0.789
exclaim	izvleček	0.635	0.711	0.639
exclamation	vzklik	0.612	0.745	0.598
exclude	izključite	0.292	0.500	0.530
excluded	izključeni	0.061	0.540	0.134
excluding	brez	0.271	0.550	0.324
exclusion	izključitev	0.240	0.530	0.389
exclusive	izključno	0.792	0.630	0.653
excrement	iztrebki	0.041	0.558	0.221
excretion	izločanje	0.285	0.650	0.457
excruciating	moteče	0.083	0.837	0.345
excursion	ekskurzija	0.625	0.714	0.627
excuse	izgovor	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	Izvedi	0.327	0.708	0.769
execution	izvedba	0.160	0.811	0.713
executioner	izvršitelj	0.235	0.816	0.676
executive	izvršni	0.704	0.449	0.894
executor	izvršitelj	0.365	0.755	0.759
exegesis	eksegeza	0.458	0.472	0.491
exemplar	Primer	0.844	0.537	0.625
exemplary	zgledno	0.833	0.343	0.729
exemplify	ponazoriti	0.735	0.506	0.783
exempt	oproščeni	0.588	0.455	0.664
exemption	oprostitev	0.531	0.578	0.627
exercise	vadba	0.750	0.789	0.625
exert	izvaja	0.694	0.735	0.806
exertion	napor	0.663	0.755	0.717
exhale	izdihni	0.542	0.490	0.411
exhaust	izpušni sistem	0.546	0.710	0.337
exhausted	izčrpan	0.123	0.423	0.202
exhaustion	izčrpanost	0.366	0.633	0.269
exhaustive	izčrpen	0.388	0.635	0.604
exhibit	razstavi	0.688	0.633	0.708
exhibition	razstava	0.698	0.590	0.531
exhilarated	vznemirjen	0.890	0.963	0.759
exhilarating	vznemirljivo	0.917	0.823	0.810
exhilaration	razburjenje	0.792	0.868	0.783
exhort	opozarjajo	0.378	0.660	0.745
exhortation	spodbuda	0.531	0.624	0.580
exhumation	ekshumacija	0.177	0.586	0.473
exhume	ekshumiraj	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	izgnanstvo	0.184	0.630	0.483
exist	obstajajo	0.857	0.421	0.788
existence	obstoj	0.760	0.513	0.771
existent	obstaja	0.635	0.490	0.635
existential	eksistencialni	0.583	0.510	0.638
existing	obstoječe	0.802	0.344	0.750
exit	izhod	0.370	0.353	0.399
exodus	exodus	0.286	0.663	0.567
exonerate	oprostite	0.592	0.500	0.538
exorbitant	pretirano	0.398	0.865	0.825
exorcism	eksorcizem	0.163	0.980	0.557
exorcist	eksorcist	0.219	0.906	0.716
exotic	eksotična	0.840	0.711	0.727
expand	razširiti	0.792	0.559	0.686
expanded	razširil	0.760	0.406	0.689
expanse	prostranstvo	0.594	0.529	0.689
expansion	širitev	0.776	0.618	0.787
expansive	ekspanzivno	0.708	0.650	0.778
expatriate	izseljenec	0.265	0.764	0.391
expect	pričakovati	0.469	0.327	0.377
expectance	pričakovanje	0.552	0.724	0.660
expectancy	pričakovanja	0.581	0.622	0.558
expectant	pričakovano	0.708	0.650	0.474
expectation	pričakovanja	0.771	0.690	0.707
expected	pričakovano	0.729	0.412	0.545
expecting	pričakujejo	0.561	0.450	0.302
expediency	primernost	0.604	0.443	0.703
expedient	primeren	0.885	0.461	0.454
expedite	pospešiti	0.571	0.858	0.798
expedition	ekspedicija	0.735	0.802	0.620
expeditious	hitra	0.602	0.645	0.773
expel	Izginiti	0.281	0.725	0.452
expendable	poraba	0.479	0.490	0.423
expenditure	izdatkov	0.250	0.608	0.603
expense	stroške	0.317	0.451	0.377
expenses	stroški	0.240	0.633	0.396
expensive	draga	0.323	0.540	0.530
experience	izkušnje	0.827	0.618	0.905
experienced	izkušeni	0.771	0.613	0.914
experiences	izkušnje	0.793	0.647	0.795
experiment	poskus	0.479	0.720	0.675
experimental	eksperimentalni	0.417	0.764	0.396
experimentation	eksperimentiranje	0.637	0.769	0.767
experimenter	eksperimentator	0.708	0.710	0.700
expert	strokovnjak	0.776	0.646	0.911
expertise	strokovno znanje	0.792	0.589	0.925
expiration	potekel	0.265	0.539	0.463
expire	poteče	0.573	0.745	0.702
expired	potekel	0.198	0.394	0.200
expiry	prenehanje veljavnosti	0.194	0.434	0.382
explain	pojasnite	0.719	0.517	0.736
explanation	razlago	0.615	0.610	0.825
explanatory	pojasnila	0.573	0.433	0.688
expletive	Izgovoren	0.357	0.567	0.536
explication	eksplikacija	0.510	0.445	0.602
explicit	eksplicitno	0.562	0.694	0.734
explode	eksplodira	0.277	0.885	0.773
exploit	izkoriščati	0.312	0.878	0.660
exploitation	izkoriščanje	0.156	0.920	0.718
exploration	raziskovanje	0.594	0.650	0.773
exploratory	raziskovalno	0.653	0.690	0.698
explore	raziskati	0.776	0.660	0.727
explorer	raziskovalec	0.729	0.663	0.714
explosion	eksplozija	0.167	0.960	0.767
explosions	eksplozije	0.123	0.860	0.594
explosive	eksplozivno	0.156	0.943	0.663
expo	expo	0.610	0.562	0.500
exponent	eksponent	0.529	0.510	0.845
exponential	eksponentni	0.704	0.588	0.763
export	izvoz	0.567	0.661	0.755
exportation	izvoz	0.760	0.633	0.673
expose	izpostaviti	0.344	0.643	0.537
exposed	izpostavljeni	0.471	0.661	0.509
exposition	ekspozicija	0.521	0.627	0.655
expository	razlaga	0.706	0.653	0.636
exposure	izpostavljenost	0.570	0.830	0.630
expound	razložiti	0.438	0.575	0.740
express	izrazite	0.760	0.623	0.691
expression	izraz	0.790	0.650	0.721
expressive	izrazno	0.755	0.724	0.685
expressway	hitre ceste	0.633	0.635	0.587
expropriation	razlastitev	0.188	0.735	0.788
expulsion	izgon	0.190	0.790	0.529
exquisite	izvrstno	0.892	0.644	0.604
exquisitely	Odlično	0.849	0.728	0.723
extant	obstoječe	0.646	0.390	0.523
extend	razširiti	0.646	0.570	0.689
extendable	podaljša	0.660	0.592	0.722
extended	podaljšan	0.570	0.304	0.649
extension	razširitev	0.490	0.510	0.529
extensive	obsežen	0.635	0.520	0.760
extent	obseg	0.646	0.451	0.602
exterior	zunanjost	0.542	0.400	0.627
exterminate	iztrebiti	0.177	0.857	0.736
extermination	iztrebljanje	0.190	0.860	0.616
exterminator	exterminator	0.344	0.804	0.887
external	zunanji	0.479	0.341	0.509
externally	zunaj	0.643	0.521	0.568
extinct	izumrla	0.112	0.491	0.412
extinction	izumrtje	0.104	0.750	0.611
extinguish	ugasnejo	0.240	0.576	0.482
extinguisher	gasilni aparat	0.707	0.379	0.543
extol	extol	0.582	0.667	0.456
extort	izsiljevanje	0.052	0.827	0.570
extortion	izsiljevanje	0.112	0.868	0.630
extra	ekstra	0.656	0.551	0.745
extract	izvleček	0.565	0.402	0.519
extracting	ekstrahiranje	0.521	0.709	0.689
extraction	ekstrakcija	0.418	0.740	0.526
extractor	ekstraktor	0.302	0.536	0.519
extracurricular	izvenšolski	0.457	0.471	0.743
extradition	izročitev	0.229	0.627	0.554
extrajudicial	izvensodno	0.365	0.686	0.667
extramural	zunanjost	0.336	0.559	0.537
extraneous	tuja	0.276	0.625	0.478
extraordinaire	ekstraordinaire	0.847	0.864	0.898
extraordinary	izredno	0.969	0.728	0.860
extraterrestrial	zunajzemeljsko	0.510	0.833	0.792
extravagance	ekstravaganca	0.531	0.802	0.700
extravagant	ekstravagantno	0.720	0.763	0.812
extravaganza	ekstravaganca	0.646	0.786	0.906
extreme	ekstremno	0.318	0.800	0.721
extreme anticipation	ekstremno pričakovanje	0.551	0.740	0.704
extreme disgust	skrajno gnusoba	0.052	0.873	0.456
extreme surprise	ekstremno presenečenje	0.833	0.935	0.676
extreme trust	ekstremno zaupanje	0.826	0.713	0.922
extremely	izredno	0.635	0.827	0.886
extremely negative	zelo negativno	0.030	0.786	0.311
extremely positive	izredno pozitiven	0.993	0.730	0.839
extremity	konec	0.408	0.588	0.583
extricate	izstreliti	0.542	0.510	0.543
extrinsic	zunaj	0.510	0.479	0.636
extrusion	iztiskanje	0.229	0.660	0.545
exuberance	izobilje	0.698	0.816	0.787
exude	Izlučiti	0.375	0.519	0.411
eye	oči	0.531	0.265	0.425
eyeball	Eyeball	0.526	0.422	0.420
eyebrow	obrvi	0.510	0.198	0.222
eyeful	Eyeful	0.802	0.500	0.676
eyeglass	očal	0.531	0.236	0.286
eyeglasses	očala	0.561	0.269	0.306
eyelash	trepalnica	0.480	0.250	0.278
eyelet	očesca	0.632	0.298	0.346
eyeliner	Eyeliner	0.688	0.349	0.347
eyepiece	okular	0.418	0.347	0.480
eyes	oči	0.760	0.279	0.432
eyesight	vid	0.750	0.226	0.343
eyewitness	očividec	0.541	0.686	0.698
fab	fab	0.490	0.380	0.406
fable	fable	0.663	0.387	0.389
fabled	fabled	0.625	0.538	0.545
fabric	tkanine	0.635	0.190	0.345
fabricate	izdelati	0.636	0.491	0.779
fabricated	izdelani	0.418	0.427	0.555
fabrication	izdelava	0.573	0.587	0.705
fabulous	čudovito	0.979	0.660	0.797
facade	fasada	0.520	0.333	0.518
face	obraz	0.571	0.173	0.453
faceless	brez obraza	0.230	0.406	0.173
facet	facet	0.667	0.324	0.382
facial	obraza	0.594	0.429	0.433
facile	NO TRANSLATION	0.740	0.264	0.307
facilitate	olajšati	0.812	0.333	0.509
facility	objekt	0.625	0.500	0.654
facing	sooča	0.604	0.406	0.550
facsimile	faksimile	0.490	0.500	0.543
fact	dejstvo	0.683	0.333	0.618
faction	frakcija	0.469	0.430	0.448
factor	faktor	0.635	0.365	0.678
factory	tovarne	0.500	0.500	0.683
facts	dejstva	0.688	0.471	0.693
factual	dejansko	0.656	0.440	0.545
faculties	fakultete	0.643	0.431	0.760
faculty	fakulteta	0.615	0.412	0.732
fad	mada	0.663	0.520	0.570
fade	zbledi	0.354	0.333	0.245
faded	bledi	0.302	0.275	0.194
faeces	blato	0.184	0.476	0.175
fag	fag	0.122	0.653	0.331
faggot	peder	0.219	0.643	0.292
fail	neuspeh	0.177	0.578	0.154
failing	neuspeh	0.125	0.490	0.268
failure	neuspeh	0.167	0.575	0.139
fain	NO TRANSLATION	0.479	0.417	0.426
faint	Slabo	0.063	0.429	0.167
fainting	omedlevica	0.333	0.510	0.214
fair	pošteno	0.812	0.557	0.643
fairly	pošteno	0.790	0.406	0.750
fairness	poštenost	0.740	0.317	0.552
fairway	plovne poti	0.541	0.510	0.500
fairy	vila	0.776	0.408	0.413
faith	vera	0.833	0.220	0.763
faithful	zvest	0.888	0.333	0.627
faithfulness	zvestoba	0.833	0.426	0.602
faithless	brez vere	0.102	0.683	0.304
fake	ponaredek	0.073	0.554	0.268
faker	faker	0.245	0.630	0.480
falafel	falafel	0.560	0.402	0.351
falcon	sokol	0.557	0.580	0.678
fall	padec	0.177	0.657	0.221
fallacious	napačno	0.271	0.587	0.390
fallacy	zmota	0.112	0.561	0.430
fallback	pasti nazaj	0.458	0.358	0.508
fallible	zmožen	0.365	0.537	0.402
falling	padec	0.202	0.716	0.306
fallopian	jajcevod	0.297	0.390	0.464
fallout	padec	0.428	0.356	0.373
fallow	prah	0.375	0.368	0.464
false	FALSE	0.120	0.404	0.240
falsehood	laž	0.031	0.625	0.384
falsely	lažno	0.083	0.480	0.265
falsification	ponarejanje	0.173	0.720	0.490
falsified	ponarejena	0.042	0.630	0.306
falsify	ponarejeni	0.115	0.657	0.409
falsity	lažno	0.120	0.689	0.186
falter	drek	0.421	0.650	0.346
fame	slavo	0.896	0.755	0.852
famed	slaven	0.878	0.750	0.819
familiar	znano	0.906	0.330	0.615
familiarity	poznavanje	0.854	0.346	0.616
familiarize	Seznanite se	0.760	0.365	0.654
family	družina	0.968	0.383	0.643
familytime	čas za družino	0.939	0.420	0.679
famine	lakoto	0.163	0.679	0.310
famished	famished	0.177	0.654	0.282
famous	slavni	0.916	0.775	0.882
famously	znano	0.856	0.765	0.787
fan	ventilator	0.781	0.429	0.357
fanatic	fanatik	0.573	0.780	0.629
fanatical	fanatično	0.555	0.830	0.714
fanaticism	fanatizem	0.292	0.896	0.566
fanciful	domišljija	0.677	0.592	0.342
fancy	fancy	0.854	0.673	0.534
fandango	fandango	0.490	0.591	0.429
fanfare	fanfare	0.656	0.640	0.437
fang	NO TRANSLATION	0.175	0.491	0.455
fangs	fangs	0.286	0.598	0.434
fanning	fanning	0.615	0.330	0.236
fantasia	fantazija	0.898	0.694	0.436
fantasize	fantazirati	0.771	0.660	0.356
fantastic	fantastično	0.969	0.696	0.831
fantasy	fantazija	0.880	0.627	0.474
faraway	daleč stran	0.365	0.356	0.285
farce	farsa	0.265	0.667	0.246
farcical	farsi	0.406	0.481	0.259
fare	prevoznina	0.490	0.425	0.645
farewell	slovo	0.130	0.500	0.591
farm	kmetija	0.781	0.327	0.297
farmer	kmet	0.677	0.432	0.464
farmhouse	kmetija	0.690	0.330	0.444
farming	kmetovanje	0.580	0.414	0.568
farmland	kmetijska zemljišča	0.729	0.363	0.509
faro	faro	0.544	0.349	0.357
fart	prdec	0.194	0.439	0.264
farther	dlje	0.418	0.500	0.430
fascia	fascija	0.480	0.366	0.356
fascinate	fascinantno	0.854	0.683	0.802
fascinated	fasciniran	0.812	0.714	0.788
fascinating	fascinantno	0.979	0.817	0.784
fascination	fascinacija	0.885	0.773	0.835
fascism	fašizem	0.104	0.740	0.695
fascist	fašista	0.200	0.755	0.527
fashion	moda	0.827	0.616	0.589
fashionable	modno	0.750	0.510	0.605
fastball	fastball	0.688	0.679	0.575
fasten	pritrdite	0.458	0.585	0.529
fastener	sponko	0.577	0.377	0.491
fastening	pritrditev	0.594	0.473	0.554
fasting	post	0.388	0.370	0.394
fat	maščobe	0.198	0.353	0.237
fatal	smrtno	0.061	0.775	0.509
fatalism	fatalizem	0.208	0.694	0.631
fatality	smrtnost	0.062	0.798	0.595
fate	usoda	0.571	0.479	0.712
fated	soroden	0.582	0.472	0.692
fateful	usodno	0.290	0.583	0.402
fathead	debelost	0.296	0.527	0.463
father	Oče	0.812	0.333	0.824
fatherhood	očetovstvo	0.885	0.519	0.682
fatherland	domovina	0.729	0.469	0.778
fatherly	očetov	0.865	0.363	0.712
fathom	fathom	0.520	0.410	0.523
fatigue	utrujenost	0.173	0.378	0.265
fatigued	utrujenost	0.146	0.433	0.245
fatso	fatso	0.286	0.394	0.336
fatten	fatten	0.375	0.549	0.363
fatty	maščobo	0.286	0.361	0.325
faucet	pipa	0.427	0.278	0.356
fault	napaka	0.188	0.558	0.184
faultless	brezhibno	0.792	0.500	0.741
faulty	napačno	0.184	0.520	0.378
faun	faun	0.490	0.303	0.376
fauna	favna	0.646	0.346	0.404
faux	faux	0.291	0.490	0.204
favor	uslugo	0.812	0.308	0.519
favorable	ugodno	0.952	0.380	0.788
favorite	najljubši	0.885	0.590	0.691
favoriteholiday	NO TRANSLATION	0.867	0.618	0.582
favoritism	favoritizem	0.582	0.559	0.658
fawn	rjava	0.626	0.360	0.284
fax	faks	0.406	0.368	0.304
faze	NO TRANSLATION	0.417	0.515	0.382
fear	strah	0.073	0.840	0.293
feared	strah	0.240	0.733	0.509
fearful	strah	0.083	0.482	0.278
fearfully	strašno	0.112	0.567	0.271
fearing	strah	0.125	0.566	0.256
fearless	neustrašen	0.810	0.806	0.760
fears	strahove	0.061	0.821	0.306
fearsome	strahovito	0.115	0.900	0.586
feasibility	izvedljivost	0.653	0.490	0.741
feasible	izvedljivo	0.694	0.388	0.611
feast	praznik	0.979	0.724	0.680
feat	feat	0.750	0.706	0.849
feather	pero	0.677	0.208	0.144
feathered	pernate	0.438	0.288	0.214
feature	funkcija	0.667	0.314	0.679
features	Lastnosti	0.667	0.433	0.509
febrile	febrilno	0.429	0.578	0.414
fecal	fekal	0.255	0.528	0.213
feces	iztrebki	0.240	0.407	0.307
fecundity	plodnost	0.688	0.591	0.683
fed	hranjenje	0.602	0.370	0.482
federal	zvezno	0.530	0.459	0.859
federation	zveze	0.633	0.354	0.763
fedup	NO TRANSLATION	0.327	0.500	0.352
fee	pristojbina	0.354	0.386	0.556
feeble	slaboten	0.157	0.280	0.109
feed	krmo	0.812	0.429	0.739
feedback	povratne informacije	0.622	0.557	0.645
feeder	dovodnik	0.604	0.452	0.713
feel	počutim	0.802	0.602	0.596
feelgood	počutiti se dobro	0.990	0.441	0.621
feeling	občutek	0.806	0.329	0.531
feelingdown	NO TRANSLATION	0.490	0.457	0.567
feelinggood	NO TRANSLATION	0.940	0.449	0.655
feet	stopala	0.510	0.240	0.292
feign	feign	0.340	0.394	0.356
feigned	krivda	0.173	0.602	0.333
feisty	Pohoten	0.592	0.853	0.789
felicity	sreča	0.913	0.704	0.793
feline	mačk	0.615	0.745	0.509
fell	padla	0.255	0.462	0.250
feller	feller	0.406	0.622	0.617
fellow	kolega	0.745	0.298	0.570
fellowship	štipendija	0.900	0.429	0.778
felon	zločinec	0.111	0.898	0.455
felony	zločin	0.206	0.808	0.472
felt	čutil	0.643	0.417	0.566
female	žensko	0.857	0.520	0.625
feminine	žensko	0.802	0.520	0.394
femininity	ženskost	0.750	0.479	0.451
feminism	feminizem	0.541	0.570	0.636
feminist	feministka	0.510	0.560	0.585
femme	NO TRANSLATION	0.551	0.529	0.398
femoral	stegnenice	0.417	0.324	0.566
femur	femur	0.408	0.289	0.413
fen	NO TRANSLATION	0.490	0.276	0.379
fence	ograjo	0.500	0.198	0.398
fenced	ograjen	0.323	0.430	0.429
fencing	ograje	0.542	0.654	0.539
fend	odbiti	0.646	0.731	0.537
fender	blatnik	0.369	0.459	0.476
fennel	komarček	0.573	0.277	0.389
ferment	fermentiranje	0.375	0.531	0.418
fermentation	fermentacija	0.420	0.567	0.473
fern	praproti	0.602	0.240	0.290
ferocious	svoboden	0.167	0.915	0.776
ferocity	ferocity	0.235	0.906	0.746
ferret	belega dihurja	0.385	0.391	0.398
ferry	trajekt	0.604	0.509	0.389
ferryboat	NO TRANSLATION	0.594	0.452	0.553
fertile	plodno	0.888	0.408	0.704
fertility	plodnost	0.885	0.529	0.726
fertilize	gnojiti	0.708	0.443	0.542
fertilizer	gnojilo	0.438	0.463	0.565
fervent	goreč	0.646	0.632	0.773
fervor	strah	0.573	0.769	0.651
fess	fess	0.395	0.420	0.370
fest	fest	0.704	0.574	0.402
festival	festival	0.870	0.706	0.714
festive	praznično	0.854	0.740	0.764
fetal	plod	0.388	0.308	0.364
fetch	prinesi	0.479	0.363	0.491
fete	NO TRANSLATION	0.580	0.551	0.465
fetish	fetiš	0.307	0.706	0.500
fetus	plod	0.479	0.519	0.395
feud	spopad	0.146	0.796	0.312
feudal	fevdalno	0.367	0.370	0.610
feudalism	fevdalizem	0.229	0.465	0.607
fever	povišana telesna temperatura	0.194	0.674	0.364
feverish	grozljivo	0.385	0.696	0.436
fiancee	NO TRANSLATION	0.959	0.626	0.556
fiasco	fiasco	0.167	0.600	0.200
fiat	fiat	0.520	0.418	0.446
fib	fib	0.438	0.510	0.361
fiber	vlakno	0.719	0.284	0.390
fiberglass	steklena vlakna	0.451	0.451	0.443
fibrosis	fibroza	0.160	0.469	0.546
fibrous	vlaknat	0.480	0.441	0.464
fickle	prekleto	0.406	0.481	0.346
fiction	fikcija	0.438	0.657	0.441
fictional	izmišljen	0.430	0.490	0.340
fictitious	fiktivno	0.224	0.444	0.293
fiddle	grdo	0.571	0.449	0.391
fiddler	fiddler	0.615	0.580	0.500
fidelity	zvestoba	0.765	0.580	0.709
fidgety	neumni	0.229	0.786	0.351
fiduciary	fiduciar	0.375	0.400	0.509
field	polje	0.640	0.380	0.336
field hockey	hokej	0.602	0.786	0.518
fielder	fielder	0.583	0.378	0.415
fiend	fiend	0.146	0.903	0.608
fiendish	neumnost	0.167	0.846	0.591
fierce	ostro	0.281	0.877	0.759
fiery	ognjeno	0.418	0.850	0.721
fiesta	fiesta	0.927	0.779	0.655
fiesty	NO TRANSLATION	0.571	0.663	0.472
fifteen	petnajst	0.490	0.290	0.443
fifty	petdeset	0.571	0.368	0.439
fig	sl	0.573	0.390	0.339
fight	boj	0.531	0.868	0.809
fighter	borec	0.637	0.760	0.898
fighting	boj	0.292	0.885	0.783
fights	bori	0.070	0.920	0.712
figment	figment	0.552	0.316	0.533
figurative	figurativno	0.479	0.450	0.634
figure	številka	0.688	0.328	0.509
figurine	figurica	0.760	0.283	0.258
filament	filament	0.510	0.452	0.377
filamentous	filamentno	0.531	0.480	0.516
file	mapa	0.480	0.316	0.463
filet	filet	0.615	0.392	0.291
filibuster	filibuster	0.271	0.714	0.508
filigree	filigransko	0.576	0.408	0.514
filing	vložitev	0.620	0.420	0.700
filings	vložki	0.323	0.412	0.340
fill	izpolnite	0.729	0.449	0.637
filler	polnilo	0.531	0.347	0.529
fillet	filet	0.745	0.415	0.378
filling	polnjenje	0.510	0.382	0.525
filly	Fila	0.479	0.564	0.519
film	film	0.823	0.491	0.566
filmmaker	filmski ustvarjalec	0.704	0.510	0.635
filmy	NO TRANSLATION	0.583	0.510	0.425
filter	filter	0.440	0.296	0.260
filth	prst	0.194	0.592	0.319
filthy	prljavo	0.115	0.714	0.321
filtration	filtracija	0.407	0.520	0.255
fin	NO TRANSLATION	0.333	0.340	0.377
final	končno	0.276	0.575	0.508
finale	finale	0.406	0.330	0.468
finalist	finalist	0.833	0.686	0.736
finality	dokončnost	0.615	0.368	0.627
finalize	dokončati	0.556	0.550	0.578
finalized	končano	0.245	0.210	0.608
finally	končno	0.583	0.433	0.465
finance	finance	0.753	0.431	0.843
financial	finančno	0.667	0.500	0.722
financier	financerja	0.602	0.500	0.778
finch	finch	0.438	0.444	0.358
find	najti	0.774	0.555	0.580
finder	iskalec	0.360	0.550	0.630
finding	ugotovitev	0.796	0.469	0.664
fine	V redu	0.823	0.240	0.647
finery	lepila	0.562	0.479	0.636
finesse	finesse	0.740	0.387	0.412
finger	prst	0.321	0.264	0.291
fingernail	noht	0.418	0.415	0.153
fingerprint	prstni odtis	0.583	0.404	0.570
fingerscrossed	NO TRANSLATION	0.573	0.540	0.356
finish	konča	0.471	0.429	0.545
finished	končal	0.510	0.387	0.570
finite	končno	0.384	0.347	0.293
fink	fink	0.410	0.514	0.439
fir	jelka	0.521	0.275	0.306
fire	ogenj	0.380	0.804	0.635
firearm	strelno orožje	0.086	0.943	0.864
firearms	strelno orožje	0.220	0.943	0.821
fireball	ognjena krogla	0.302	0.777	0.664
firecracker	petarda	0.474	0.741	0.434
firefight	požar	0.153	0.920	0.664
firefighter	gasilec	0.637	0.770	0.773
firefly	svetilka	0.622	0.410	0.363
firehouse	gasilska hiša	0.594	0.689	0.627
firelight	svetilka	0.677	0.504	0.639
fireman	gasilec	0.583	0.745	0.755
fireplace	kamin	0.667	0.380	0.417
firepower	ognjeno moč	0.375	0.941	0.810
fireproof	ognjevarno	0.684	0.679	0.723
fireside	ognjišče	0.684	0.377	0.394
firestorm	ogenj	0.180	0.929	0.766
firewall	požarni zid	0.485	0.602	0.629
firewood	drva	0.520	0.348	0.263
firework	ognjemet	0.786	0.904	0.593
fireworks	ognjemet	0.735	0.863	0.579
firing	streljanje	0.188	0.931	0.803
firm	trdno	0.635	0.380	0.728
firmament	neumen	0.750	0.407	0.660
firmly	trdno	0.786	0.510	0.777
firmness	trdnost	0.823	0.479	0.939
first	najprej	0.625	0.500	0.788
firstborn	prvorojenec	0.786	0.490	0.695
firstworldprobs	NO TRANSLATION	0.458	0.612	0.483
fiscal	fiskalni	0.500	0.582	0.845
fish	ribe	0.510	0.280	0.250
fisherman	ribič	0.656	0.461	0.546
fishery	ribištvo	0.574	0.503	0.519
fishing	ribolov	0.677	0.283	0.405
fishing boat	ribiški čoln	0.521	0.403	0.627
fishy	riba	0.224	0.601	0.471
fissile	cepljive	0.333	0.490	0.380
fission	cepitev	0.386	0.500	0.567
fissure	razpok	0.333	0.510	0.431
fist	pest	0.333	0.686	0.481
fistfight	fistfight	0.208	0.902	0.543
fistful	fistful	0.500	0.509	0.500
fistula	fistula	0.312	0.481	0.330
fit	fit	0.604	0.450	0.632
fitness	fitnes	0.875	0.529	0.810
fits	Ujema	0.571	0.363	0.580
fitted	opremljena	0.507	0.404	0.673
fitting	opremljanje	0.612	0.441	0.638
fittings	pribor	0.531	0.404	0.409
five	pet	0.510	0.221	0.298
fiver	fiver	0.458	0.469	0.517
fix	popravi	0.760	0.538	0.519
fixable	popravljiv	0.724	0.470	0.645
fixation	fiksacija	0.562	0.459	0.655
fixed	določen	0.684	0.167	0.509
fixer	fiksir	0.633	0.375	0.606
fixture	napeljava	0.663	0.216	0.409
fixtures	napeljave	0.643	0.330	0.370
fizz	fizz	0.459	0.708	0.349
fjord	fjord	0.510	0.404	0.463
flabbergast	flabbergast	0.480	0.679	0.547
flabbergasted	vdihnjen	0.312	0.802	0.342
flabby	mrzlo	0.292	0.358	0.250
flaccid	Flaccid	0.156	0.400	0.151
flag	zastava	0.592	0.378	0.536
flagging	označevanje	0.521	0.519	0.509
flagpole	flagpole	0.500	0.394	0.458
flagrant	flagrant	0.286	0.673	0.455
flagship	vodilni	0.592	0.587	0.703
flagstaff	flagstaff	0.520	0.517	0.500
flair	Užitek	0.775	0.471	0.676
flak	flak	0.390	0.600	0.600
flake	kosmiči	0.385	0.388	0.289
flaky	luskav	0.363	0.509	0.279
flamboyant	čudovito	0.615	0.794	0.705
flame	plamen	0.448	0.574	0.615
flamethrower	flamethrower	0.160	0.882	0.683
flaming	plamen	0.406	0.645	0.558
flamingo	flamingo	0.667	0.451	0.482
flammable	vnetljivo	0.216	0.800	0.715
flan	flan	0.604	0.304	0.198
flange	prirobnica	0.500	0.306	0.390
