Word	Turkish-tr	Valence	Arousal	Dominance
drowsiness	uyuşukluk	0.260	0.194	0.303
drowsy	uykulu	0.375	0.180	0.240
drudgery	angarya	0.094	0.522	0.241
drug	ilaç	0.214	0.790	0.453
drug dealing	Uyuşturucu tacirliği	0.042	0.843	0.500
drugged	uyuşturulmuş	0.102	0.750	0.321
druggist	eczacı	0.240	0.561	0.417
drugs	ilaçlar	0.167	0.750	0.368
drugstore	eczane	0.490	0.343	0.518
druid	büyücü	0.517	0.445	0.481
drum	davul	0.615	0.679	0.339
drummer	davulcu	0.646	0.700	0.564
drumming	davul	0.594	0.750	0.426
drunk	sarhoş	0.194	0.800	0.250
drunk driving	sarhoş sürücü	0.073	0.900	0.306
drunkard	ayyaş	0.240	0.873	0.250
drunken	sarhoş	0.155	0.849	0.250
drunkenness	sarhoşluk	0.214	0.774	0.336
dry	kuru	0.363	0.169	0.311
dryer	kurutma makinesi	0.479	0.343	0.277
dryness	kuruluk	0.292	0.296	0.263
dual	çift	0.573	0.330	0.384
dualism	ikilik	0.490	0.406	0.536
duality	ikilik	0.438	0.520	0.503
dub	ad takmak	0.510	0.480	0.387
dubious	şüpheli	0.414	0.480	0.198
duchess	düşes	0.656	0.548	0.711
duck	ördek	0.594	0.337	0.236
ducking	ıslanma	0.344	0.573	0.294
duckling	ördek yavrusu	0.602	0.353	0.263
ducky	aziz	0.520	0.430	0.368
duct	kanal	0.449	0.435	0.430
ductile	yumuşak	0.508	0.420	0.433
dud	karşılıksız çek	0.167	0.455	0.246
dude	kanka	0.809	0.356	0.615
duds	elbiseler	0.347	0.311	0.339
due	nedeniyle	0.562	0.340	0.467
duel	düello	0.271	0.696	0.589
dues	aidat	0.367	0.461	0.288
duet	düet	0.694	0.693	0.527
duffel	spor kıyafeti	0.500	0.400	0.384
dugout	yeraltı sığınağı	0.490	0.370	0.463
duh	duh	0.357	0.461	0.364
duke	dük	0.667	0.440	0.669
dull	donuk	0.194	0.120	0.185
dullard	sersem	0.450	0.480	0.365
dumb	dilsiz	0.188	0.330	0.151
dumbasses	dumbasses	0.316	0.590	0.363
dumbbell	halter	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	hayret ettirmek	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	kukla	0.440	0.144	0.250
dump	çöplük	0.345	0.500	0.370
dumpling	meyveli börek	0.580	0.321	0.360
dumps	çöplük	0.302	0.583	0.365
dumpster	çöplüğü	0.229	0.418	0.101
dun	boz	0.458	0.431	0.339
dunce	mankafa	0.188	0.327	0.146
dune	kumul	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	zindan	0.276	0.608	0.440
dunk	daldırmak	0.406	0.333	0.475
duo	düet	0.510	0.500	0.447
dupe	gırgır geçmek	0.184	0.760	0.327
duplex	dubleks	0.592	0.452	0.467
duplicate	çift	0.521	0.490	0.338
duplication	kopya	0.480	0.564	0.577
duplicity	iki yüzlülük	0.406	0.500	0.578
durability	dayanıklılık	0.750	0.398	0.813
durable	dayanıklı	0.740	0.294	0.688
duration	süre	0.656	0.370	0.536
duress	zorlama	0.302	0.569	0.612
dusk	akşam karanlığı	0.532	0.276	0.519
dusky	esmer	0.229	0.528	0.324
dust	toz	0.344	0.246	0.241
duster	silgi	0.408	0.265	0.296
dustpan	faraş	0.609	0.466	0.371
dusty	tozlu	0.406	0.294	0.255
dutiful	saygılı	0.724	0.245	0.585
duty	görev	0.583	0.579	0.651
dwarf	cüce	0.370	0.340	0.288
dwarfed	bodur	0.365	0.265	0.293
dweeb	dweeb	0.354	0.446	0.327
dwell	yaşamak	0.698	0.245	0.611
dweller	oturan	0.615	0.304	0.500
dwelling	Konut	0.765	0.330	0.481
dye	boya	0.479	0.314	0.371
dying	ölen	0.040	0.664	0.422
dyke	lezbiyen	0.438	0.396	0.566
dynamic	dinamik	0.724	0.750	0.836
dynamical	dinamik	0.786	0.730	0.827
dynamics	dinamik	0.745	0.682	0.774
dynamite	dinamit	0.344	0.860	0.783
dynamo	dinamo	0.531	0.650	0.593
dynasty	hanedan	0.725	0.588	0.936
dysentery	dizanteri	0.260	0.528	0.345
dysfunction	fonksiyon bozukluğu	0.156	0.410	0.386
dysfunctional	işlevsiz	0.125	0.558	0.307
dyspepsia	hazımsızlık	0.212	0.470	0.460
eager	istekli	0.521	0.812	0.306
eagerness	şevk	0.406	0.621	0.443
eagle	kartal	0.604	0.594	0.679
ear	kulak	0.469	0.216	0.231
earful	azar	0.533	0.462	0.443
earl	Kont	0.582	0.461	0.794
earlier	daha erken	0.562	0.352	0.339
early	erken	0.633	0.373	0.426
earn	kazanmak	0.865	0.769	0.817
earnest	ciddi	0.653	0.380	0.670
earnestly	ciddiyetle	0.847	0.490	0.717
earnestness	ciddiyet	0.812	0.373	0.615
earnings	kazanç	0.938	0.650	0.875
earpiece	kulaklık	0.583	0.286	0.452
earring	küpe	0.583	0.520	0.500
earrings	küpe	0.676	0.346	0.517
earshot	işitme menzili	0.552	0.332	0.408
earth	toprak	0.750	0.225	0.614
earthenware	toprak	0.552	0.210	0.320
earthling	dünyalı	0.531	0.412	0.570
earthly	dünyevi	0.625	0.318	0.518
earthquake	deprem	0.073	0.930	0.812
earthy	dünyevi	0.375	0.413	0.404
ease	kolaylaştırmak	0.796	0.385	0.491
easel	şövale	0.694	0.340	0.527
easement	irtifak hakkı	0.479	0.345	0.302
easily	kolayca	0.885	0.279	0.453
east	Doğu	0.510	0.250	0.317
eastbound	doğuya giden	0.541	0.408	0.402
eastern	doğu	0.521	0.420	0.480
easy	kolay	0.865	0.194	0.373
easygoing	Uyumlu	0.823	0.276	0.538
eat	yemek	0.731	0.500	0.464
eater	yiyen	0.459	0.337	0.510
eating	yemek yiyor	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	gizlice dinlemek	0.375	0.710	0.368
eavesdropping	Telekulak	0.490	0.380	0.441
ebb	cezir	0.354	0.451	0.404
ebony	abanoz	0.490	0.317	0.400
ebullient	coşkun	0.659	0.856	0.746
eccentric	eksantrik	0.531	0.806	0.721
eccentricity	acayiplik	0.408	0.735	0.745
ecclesiastical	dini	0.673	0.270	0.660
echelon	kademe	0.490	0.404	0.425
echinacea	ekinezya	0.592	0.418	0.454
echo	Eko	0.573	0.373	0.345
eclectic	eklektik	0.646	0.542	0.508
eclipse	tutulma	0.541	0.469	0.616
ecliptic	ekliptik	0.531	0.520	0.556
ecological	ekolojik	0.885	0.290	0.607
economic	ekonomik	0.561	0.408	0.639
economical	ekonomik	0.667	0.564	0.673
economics	ekonomi bilimi	0.625	0.481	0.632
economy	ekonomi	0.583	0.434	0.771
ecosystem	ekosistem	0.729	0.259	0.633
ecstasy	coşku	0.796	0.922	0.655
ecstatic	mest olmus	0.875	0.769	0.742
ecumenical	kiliselerin evrenselleşmesi ile ilgili	0.561	0.450	0.547
eddy	girdap	0.500	0.394	0.350
edema	ödem	0.250	0.519	0.318
edge	kenar	0.439	0.470	0.468
edging	kenar süsü	0.479	0.394	0.370
edgy	sinirli	0.281	0.895	0.306
edible	yenilebilir	0.750	0.425	0.497
edict	ferman	0.316	0.547	0.560
edification	terbiye etme	0.625	0.481	0.697
edifice	yapı	0.551	0.403	0.610
edit	Düzenle	0.510	0.410	0.544
editing	kurgu	0.604	0.404	0.493
edition	baskı	0.542	0.455	0.564
editor	editör	0.772	0.431	0.673
editorial	başyazı	0.583	0.330	0.570
educate	Eğitmek	0.760	0.380	0.728
educated	eğitimli	0.816	0.297	0.625
education	Eğitim	0.896	0.275	0.840
educational	eğitici	0.745	0.457	0.764
educator	eğitmen	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	yılanbalığı	0.292	0.564	0.487
eerie	ürkütücü	0.265	0.771	0.442
effect	Efekt	0.570	0.518	0.608
effective	etkili	0.844	0.632	0.891
effectiveness	etki	0.640	0.654	0.812
effects	Etkileri	0.470	0.578	0.379
effectual	etkili	0.776	0.559	0.820
effectually	effectually	0.724	0.500	0.594
effectuate	gerçekleştirmek	0.510	0.602	0.679
effeminate	kadınsı	0.337	0.619	0.291
efficacious	etkili	0.823	0.698	0.845
efficacy	etki	0.802	0.490	0.906
efficiency	verim	0.802	0.509	0.892
efficient	verimli	0.959	0.604	0.830
effigy	büst	0.510	0.440	0.401
effort	çaba	0.698	0.778	0.858
effortless	zahmetsiz	0.626	0.090	0.352
effusion	efüzyon	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	Yumurta	0.684	0.241	0.293
egghead	aydın	0.316	0.492	0.284
eggnog	yumurta likörü	0.635	0.360	0.259
eggplant	patlıcan	0.592	0.152	0.323
eggshell	yumurta kabuğu	0.408	0.269	0.212
ego	benlik	0.328	0.576	0.593
egomaniac	egomaniac	0.133	0.708	0.596
egotistical	egoist	0.156	0.667	0.363
egregious	yaman	0.150	0.716	0.442
egress	çıkış	0.490	0.429	0.287
eight	sekiz	0.540	0.199	0.315
eighteen	onsekiz	0.523	0.340	0.404
eighth	sekizinci	0.531	0.226	0.380
eighty	seksen	0.500	0.300	0.453
ejaculate	boşalmak	0.604	0.896	0.604
ejaculation	boşalma	0.615	0.893	0.547
eject	çıkarmak	0.434	0.656	0.559
ejection	çıkarma	0.188	0.836	0.554
elaborate	ayrıntılı	0.561	0.367	0.680
elaboration	özen	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	geçmek	0.514	0.440	0.455
elapsed	geçen	0.583	0.451	0.493
elastic	elastik	0.656	0.518	0.385
elasticity	elastikiyet	0.635	0.452	0.582
elated	mutlu	0.792	0.960	0.725
elation	sevinç	0.740	0.853	0.623
elbow	dirsek	0.448	0.133	0.254
eld	geçmiş zaman	0.471	0.292	0.451
elder	yaşça büyük	0.448	0.153	0.462
elderly	yaşlı	0.615	0.212	0.283
elders	yaşlılar	0.602	0.260	0.441
eldest	en yaşlı	0.625	0.471	0.741
elect	seçilmiş	0.667	0.554	0.661
election	seçim	0.625	0.519	0.651
elective	seçmeli	0.612	0.380	0.623
elector	seçmen	0.479	0.520	0.766
electoral	seçim	0.490	0.631	0.602
electorate	seçmenler	0.560	0.380	0.696
electric	elektrik	0.458	0.708	0.512
electric slide	elektrikli slayt	0.542	0.660	0.536
electrical	elektrik	0.531	0.620	0.688
electrician	elektrikçi	0.449	0.590	0.620
electricity	elektrik	0.698	0.810	0.733
electrify	heyecanlandırmak	0.520	0.769	0.737
electrocute	elektrikle idam etmek	0.271	0.731	0.555
electrocution	elektrikle idam	0.177	0.844	0.692
electromagnetic	elektromanyetik	0.531	0.632	0.683
electron	elektron	0.520	0.455	0.560
electronic	elektronik	0.571	0.490	0.704
electronics	elektronik	0.708	0.545	0.574
elegance	zarafet	0.918	0.396	0.824
elegant	zarif	0.865	0.500	0.685
element	eleman	0.531	0.259	0.481
elemental	temel	0.627	0.306	0.711
elementary	temel	0.594	0.286	0.686
elements	elementler	0.510	0.312	0.462
elephant	fil	0.531	0.510	0.615
elevate	yükseltmek	0.812	0.500	0.804
elevated	yüksek	0.704	0.594	0.620
elevation	yükseklik	0.760	0.759	0.711
elevator	asansör	0.562	0.604	0.676
eleven	on bir	0.449	0.250	0.430
eleventh	onbirinci	0.594	0.329	0.357
elf	cin	0.460	0.457	0.315
elicit	çıkarmak	0.406	0.594	0.658
eligible	uygun	0.750	0.400	0.518
eliminate	elemek	0.265	0.670	0.324
elimination	eliminasyon	0.052	0.667	0.431
elite	seçkinler	0.688	0.704	0.737
elitist	seçkinci	0.500	0.606	0.656
elixir	iksir	0.708	0.587	0.604
elk	Kanada geyiği	0.439	0.337	0.340
ell	arşın	0.469	0.418	0.373
ellipse	elips	0.531	0.410	0.479
ellipsis	eksilti	0.653	0.358	0.314
ellipsoid	elipsoid	0.500	0.440	0.419
elliptic	eliptik	0.500	0.431	0.528
elliptical	eliptik	0.338	0.385	0.490
elm	karaağaç	0.510	0.345	0.321
elongate	uzatmak	0.583	0.385	0.540
elongation	uzama	0.561	0.500	0.500
elope	kaçmak	0.396	0.694	0.528
eloquence	belagat	0.729	0.490	0.804
eloquent	anlamlı	0.870	0.680	0.741
elucidate	aydınlatmak	0.583	0.509	0.518
elucidation	açıklama	0.650	0.574	0.586
elude	sıyrılmak	0.438	0.521	0.464
elusive	yakalanması zor	0.229	0.615	0.466
emaciated	bir deri bir kemik	0.103	0.541	0.151
email	E-posta	0.698	0.230	0.456
emanate	sızmak	0.653	0.464	0.554
emancipation	azat etme	0.704	0.684	0.763
embankment	set	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	atılmak	0.541	0.550	0.619
embarrass	utandırmak	0.082	0.667	0.364
embarrassed	mahçup	0.184	0.560	0.246
embarrassing	utandırıcı	0.226	0.809	0.225
embarrassment	sıkıntı	0.143	0.685	0.226
embassy	elçilik	0.622	0.333	0.758
embattled	güç durumda	0.235	0.724	0.421
embed	Göm	0.417	0.554	0.670
embellish	süslemek	0.842	0.500	0.769
embellishment	süsleme	0.673	0.449	0.405
embers	köz	0.490	0.481	0.508
embezzlement	ihtilâs	0.143	0.827	0.435
embezzler	kasa hırsızı	0.146	0.823	0.491
emblem	amblem	0.640	0.330	0.754
emblematic	sembolik	0.771	0.459	0.798
embodiment	şekillenme	0.562	0.690	0.663
embolism	damar tıkanıklığı	0.104	0.660	0.302
embossed	kabartmalı	0.531	0.481	0.500
embrace	kucaklamak	0.949	0.490	0.452
embroidered	işlemeli	0.677	0.279	0.407
embroidery	nakış	0.781	0.358	0.280
embroiled	karmakarışık	0.337	0.721	0.420
embryo	embriyo	0.673	0.469	0.453
embryonic	embriyonik	0.573	0.453	0.598
emcee	sergilemek	0.694	0.577	0.691
emerald	zümrüt	0.740	0.363	0.726
emerge	çıkmak	0.602	0.594	0.731
emergence	çıkma	0.276	0.857	0.676
emergency	acil Durum	0.200	0.900	0.571
emeritus	emekli	0.633	0.402	0.735
emery	zımpara	0.469	0.583	0.472
emetophobia	NO TRANSLATION	0.243	0.620	0.403
emigrate	göç etmek	0.356	0.812	0.508
emigration	göç	0.564	0.664	0.432
eminence	itibar	0.816	0.644	0.837
eminent	seçkin	0.740	0.620	0.830
eminently	fazlasıyla	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	temsilci	0.562	0.462	0.636
emission	emisyon	0.510	0.453	0.591
emit	yaymak	0.638	0.445	0.510
emo	emo	0.354	0.314	0.226
emotion	duygu	0.693	0.873	0.696
emotional	duygusal	0.779	0.714	0.526
emotive	duygusal	0.917	0.741	0.525
empathic	empati	0.760	0.570	0.558
empathize	karşısındakinin duygularını hissetmek	0.802	0.591	0.660
empathy	empati	0.729	0.349	0.545
emperor	imparator	0.651	0.704	0.962
emphasis	vurgu	0.653	0.745	0.816
emphasize	vurgu yapmak	0.510	0.605	0.769
emphatic	vurgulu	0.615	0.707	0.732
emphysema	anfizem	0.156	0.556	0.336
empire	imparatorluk	0.688	0.730	0.944
empirical	deneysel	0.500	0.510	0.574
empiricism	şarlatanlık	0.583	0.460	0.547
employ	kullanmak	0.729	0.481	0.702
employee	işçi	0.582	0.361	0.481
employer	işveren	0.663	0.518	0.767
employment	iş	0.750	0.594	0.611
emporium	market	0.622	0.556	0.724
empower	güçlendirmek	0.694	0.779	0.891
empress	imparatoriçe	0.716	0.669	0.855
emptiness	boşluk	0.177	0.173	0.184
emption	satın alma hakkı	0.570	0.406	0.458
empty	boş	0.188	0.183	0.081
emu	koşucu devekuşu	0.420	0.358	0.330
emulate	taklit	0.438	0.340	0.549
emulsion	emülsiyon	0.562	0.431	0.453
enable	etkinleştirme	0.760	0.491	0.782
enablement	etkinleştirme	0.600	0.451	0.750
enact	sahnelemek	0.680	0.564	0.598
enactment	yürürlüğe girmesi	0.667	0.612	0.769
enamel	emaye	0.594	0.280	0.306
encampment	kamp	0.677	0.573	0.605
enchant	büyülemek	0.873	0.650	0.643
enchanted	büyülü	0.917	0.633	0.687
enchanting	büyüleyici	0.917	0.681	0.708
enchantment	büyü	0.816	0.775	0.647
enchantress	büyücü kadın	0.398	0.663	0.479
enchilada	enchilada'nın	0.542	0.553	0.371
encircle	kuşatmak	0.460	0.500	0.519
encircling	çevreleyen	0.510	0.368	0.557
enclave	yerleşim bölgesi	0.531	0.333	0.580
enclose	çevrelemek	0.531	0.477	0.473
enclosure	kuşatma	0.417	0.375	0.490
encode	kodlamak	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	kaside	0.541	0.451	0.519
encompass	kapsamak	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	karşılaşma	0.865	0.702	0.689
encourage	teşvik etmek	0.896	0.580	0.704
encouraged	cesaretlendirmemişti	0.953	0.702	0.657
encouragement	teşvik	0.865	0.700	0.759
encouraging	teşvik edici	0.823	0.583	0.755
encroach	tecâvüz etmek	0.302	0.742	0.702
encroachment	aşma	0.255	0.736	0.620
encrypt	şifrelemek	0.500	0.387	0.500
encryption	şifreleme	0.547	0.415	0.474
encumbrance	yük	0.300	0.521	0.480
encyclopedia	ansiklopedi	0.679	0.320	0.645
end	son	0.198	0.349	0.298
end table	son masa	0.541	0.480	0.482
endanger	tehlikeye atmak	0.115	0.885	0.404
endangered	nesli tükenmekte	0.083	0.885	0.430
endangerment	tehlike	0.167	0.873	0.519
endearing	çekici	0.663	0.434	0.604
endeavor	gayret	0.677	0.755	0.765
ended	Bitti	0.302	0.500	0.500
endemic	yöresel	0.406	0.480	0.483
endgame	Oyunun sonu	0.449	0.538	0.526
ending	bitirme	0.344	0.365	0.492
endless	sonsuz	0.347	0.462	0.472
endocarditis	endokardit	0.235	0.587	0.412
endorse	desteklemek	0.592	0.392	0.472
endorsement	ciro	0.834	0.360	0.611
endow	bağışlamak	0.684	0.398	0.609
endowed	bahşedilen	0.755	0.510	0.769
endowment	bağış	0.685	0.578	0.647
endpapers	endpapers	0.542	0.400	0.339
endpoint	son nokta	0.311	0.410	0.448
endurance	dayanıklılık	0.592	0.745	0.760
endure	katlanmak	0.320	0.610	0.574
enduring	sürekli	0.633	0.459	0.768
enema	lavman	0.281	0.673	0.268
enemy	düşman	0.135	0.794	0.591
energetic	enerjik	0.847	0.868	0.902
energize	enerji	0.792	0.810	0.875
energy	enerji	0.944	0.725	0.868
enforce	zorlamak	0.583	0.644	0.836
enforcement	zorlama	0.594	0.571	0.736
enforcer	Kiralık katil	0.398	0.612	0.639
engage	tutmak	0.771	0.796	0.713
engaged	nişanlı	0.837	0.596	0.849
engagement	nişan	0.906	0.587	0.807
engaging	çekici	0.948	0.612	0.862
engender	doğurmak	0.561	0.741	0.688
engine	motor	0.615	0.644	0.676
engineer	mühendis	0.719	0.500	0.875
engineering	mühendislik	0.735	0.471	0.836
engrave	oymak	0.486	0.442	0.517
engraved	kazınmış	0.542	0.375	0.473
engraver	oymacı	0.552	0.417	0.500
engraving	gravür	0.604	0.430	0.442
engrossed	dalmış	0.541	0.471	0.304
engrossing	düşündürücü	0.698	0.702	0.750
engulf	yutmak	0.398	0.573	0.500
enhance	artırmak	0.802	0.578	0.814
enhancement	artırma	0.877	0.490	0.741
enigma	bilmece	0.513	0.700	0.500
enigmatic	esrarengiz	0.469	0.589	0.679
enjoin	emretmek	0.594	0.454	0.732
enjoy	keyfini çıkarın	0.959	0.725	0.750
enjoyable	zevkli	1.000	0.481	0.605
enjoying	keyfi	0.908	0.759	0.759
enjoyment	hoşlanma	0.930	0.612	0.716
enlarge	büyütmek	0.735	0.606	0.688
enlarged	büyütülmüş	0.673	0.490	0.518
enlargement	genişleme	0.677	0.577	0.616
enlighten	aydınlatmak	0.729	0.549	0.667
enlightened	aydın	0.956	0.566	0.700
enlightening	aydınlatıcı	0.825	0.729	0.727
enlightenment	aydınlatma	0.837	0.549	0.619
enlist	kaydetmek	0.510	0.370	0.483
enliven	canlandırmak	0.833	0.683	0.702
enmity	düşmanlık	0.094	0.706	0.382
ennui	can sıkıntısı	0.406	0.461	0.316
enormity	iğrençlik	0.594	0.648	0.848
enormous	muazzam	0.677	0.665	0.886
enormously	çok	0.760	0.694	0.872
enraged	öfkeli	0.083	0.962	0.636
enrich	zenginleştirmek	0.896	0.731	0.705
enroll	kaydetmek	0.696	0.530	0.611
enrollment	kayıt	0.667	0.391	0.698
ensemble	topluluk	0.697	0.418	0.586
ensign	sancak	0.663	0.270	0.545
enslave	esir etmek	0.073	0.800	0.481
enslaved	köle	0.104	0.720	0.321
enslavement	köleleştirme	0.086	0.635	0.302
ensue	doğmak	0.698	0.363	0.332
ensure	sağlamak	0.737	0.406	0.759
entail	yol açmak	0.484	0.630	0.645
entangled	dolaşık	0.319	0.578	0.357
entanglement	dolaşıklık	0.302	0.765	0.248
enter	girmek	0.708	0.470	0.500
enterprise	kuruluş	0.760	0.392	0.754
enterprising	girişimci	0.865	0.784	0.875
entertain	eğlendirmek	0.918	0.684	0.598
entertained	ağırladı	0.902	0.644	0.712
entertainer	şovmen	0.888	0.709	0.759
entertaining	eğlenceli	0.833	0.658	0.660
entertainment	eğlence	0.847	0.750	0.569
enthralled	büyülenmiş	0.745	0.602	0.615
enthusiasm	coşku	0.938	0.816	0.798
enthusiast	hayran	0.867	0.810	0.875
enthusiastic	hevesli	0.885	0.868	0.848
entice	ikna etmek	0.521	0.887	0.518
entire	tüm	0.689	0.462	0.698
entirety	bütünlük	0.854	0.460	0.804
entitle	adlandırmak	0.729	0.333	0.827
entity	varlık	0.542	0.402	0.670
entomology	entomoloji	0.438	0.396	0.545
entourage	muhit	0.491	0.567	0.467
entrails	bağırsaklar	0.365	0.538	0.387
entrance	Giriş	0.698	0.393	0.526
entrapment	tuzak	0.177	0.604	0.441
entreat	yalvarmak	0.304	0.560	0.462
entree	antre	0.615	0.477	0.624
entrepreneur	girişimci	0.885	0.704	0.920
entrust	emanet etmek	0.693	0.310	0.630
entry	giriş	0.552	0.353	0.602
enumerate	saymak	0.521	0.390	0.491
enumeration	sayım	0.548	0.327	0.534
envelope	zarf	0.604	0.275	0.377
envious	kıskanç	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	çevre	0.646	0.194	0.528
environmental	çevre	0.633	0.313	0.664
environs	etraf	0.561	0.288	0.345
envision	gözünün önüne getirmek	0.625	0.449	0.483
envoy	elçi	0.531	0.375	0.586
envy	imrenme	0.240	0.704	0.427
enzyme	enzim	0.562	0.277	0.481
ephemeral	fani	0.500	0.312	0.377
ephemeris	efemerisi	0.640	0.380	0.528
epic	epik	0.857	0.713	0.830
epidemic	salgın	0.092	0.830	0.611
epidermis	epidermis	0.418	0.490	0.426
epidural	epidural	0.347	0.452	0.525
epilepsy	epilepsi	0.061	0.854	0.250
epileptic	epileptik	0.146	0.794	0.340
epilogue	son söz	0.582	0.353	0.466
epiphany	görünüş	0.625	0.596	0.526
episcopal	piskoposlar ile ilgili	0.542	0.314	0.750
episode	bölüm	0.719	0.367	0.509
episodic	olaylı	0.531	0.542	0.462
epistle	mektup	0.604	0.417	0.535
epitaph	kitabe	0.276	0.323	0.442
epithet	sıfat	0.530	0.394	0.524
epitome	özet	0.510	0.500	0.667
epoch	çağ	0.553	0.343	0.797
equal	eşit	0.781	0.178	0.407
equality	eşitlik	0.898	0.305	0.716
equalization	eşitleme	0.625	0.422	0.423
equalize	eşitlemek	0.738	0.281	0.574
equalizer	ekolayzer	0.604	0.451	0.586
equally	aynı derecede	0.625	0.264	0.436
equate	eşitlemek	0.724	0.382	0.624
equation	denklem	0.479	0.384	0.608
equator	ekvator	0.550	0.302	0.462
equatorial	ekvatoral	0.550	0.271	0.593
equestrian	atlı	0.633	0.519	0.417
equidistant	eşit uzaklıkta	0.375	0.406	0.509
equilibration	dengeleme	0.724	0.317	0.593
equilibrium	denge	0.676	0.235	0.620
equip	donatmak	0.650	0.519	0.713
equipment	ekipman	0.745	0.495	0.700
equitable	adil	0.714	0.286	0.750
equity	Eşitlik	0.792	0.304	0.614
equivalence	denklik	0.663	0.250	0.582
equivalent	eşdeğer	0.646	0.347	0.500
equivocal	belirsiz	0.327	0.482	0.257
era	çağ	0.615	0.407	0.449
eradicate	kökünü kurutmak	0.260	0.690	0.686
eradication	yok etme	0.208	0.788	0.685
erase	silmek	0.240	0.260	0.321
eraser	silgi	0.458	0.209	0.311
erasure	silme	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	dik	0.643	0.885	0.627
erectile	erektil	0.542	0.796	0.625
erection	ereksiyon	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	aşındırmak	0.208	0.643	0.580
erosion	erozyon	0.312	0.770	0.465
erotic	erotik	0.625	0.946	0.683
erotica	erotik konulu eserler	0.781	0.870	0.579
err	yanılmak	0.146	0.660	0.236
errand	ayak işleri	0.385	0.519	0.482
errant	serseri	0.205	0.602	0.375
erratic	düzensiz	0.271	0.503	0.217
erratum	dizgi hatası	0.327	0.528	0.436
erroneous	hatalı	0.057	0.561	0.245
error	hata	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	bilgili	0.719	0.434	0.774
erupt	patlamak	0.188	0.820	0.818
eruption	püskürme	0.156	0.913	0.733
escalade	merdivenle çıkarak saldırmak	0.480	0.724	0.442
escalate	kızıştırmak	0.653	0.714	0.728
escalating	tırmanan	0.646	0.724	0.518
escalation	kızışma	0.571	0.807	0.582
escalator	yürüyen merdiven	0.500	0.530	0.518
escape	kaçış	0.367	0.765	0.448
escaped	kaçtı	0.365	0.755	0.518
escarpment	eğimli yüzey	0.406	0.553	0.470
eschew	sakınmak	0.184	0.438	0.370
escort	eskort	0.729	0.480	0.608
escrow	alıkoyma	0.449	0.520	0.613
esophagus	yemek borusu	0.429	0.454	0.464
esoteric	ezoterik	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	casusluk	0.312	0.750	0.620
espouse	benimsemek	0.802	0.529	0.598
espresso	espresso	0.677	0.620	0.508
esprit	neşe	0.552	0.431	0.407
esquire	bey	0.604	0.542	0.518
essay	deneme	0.559	0.411	0.530
essayist	deneme yazarı	0.656	0.460	0.462
essence	öz	0.663	0.369	0.575
essential	gerekli	0.812	0.405	0.759
essentially	esasen	0.750	0.373	0.802
establish	kurmak	0.708	0.500	0.688
established	kurulmuş	0.796	0.394	0.694
establishment	kuruluş	0.690	0.398	0.631
estate	arazi	0.653	0.385	0.647
esteem	saygı	0.745	0.380	0.679
esteemed	saygın	0.694	0.418	0.531
esthetic	estetik	0.635	0.360	0.558
estimable	saygıdeğer	0.796	0.408	0.630
estimate	tahmin	0.719	0.469	0.517
estimation	tahmin	0.740	0.480	0.589
estoppel	önceki ifadenin savunmayı engellemesi	0.354	0.459	0.482
estranged	uzaklaşmış	0.156	0.382	0.377
estrogen	estrojen	0.580	0.500	0.425
estuary	haliç	0.469	0.278	0.482
etch	oymak	0.510	0.367	0.598
etching	gravür	0.567	0.491	0.575
eternal	sonsuz	0.854	0.409	0.843
eternity	sonsuzluk	0.765	0.520	0.911
ethanol	etanol	0.333	0.410	0.534
ether	eter	0.490	0.306	0.412
ethereal	ruhani	0.520	0.419	0.518
ethic	etik	0.786	0.260	0.791
ethical	ahlâki	0.854	0.324	0.634
ethics	ahlâk	0.658	0.296	0.731
ethnic	etnik	0.583	0.373	0.555
ethnography	etnografya	0.571	0.373	0.549
etiology	etiyoloji	0.500	0.385	0.639
etiquette	görgü kuralları	0.604	0.350	0.421
etymology	etimoloji	0.531	0.370	0.529
eucalyptus	okaliptüs	0.602	0.308	0.418
