"label","text","googleScore","VADER"
"Neutral","se escucho bacan ese dia en el estadio ya que estaba lleno",0,0
"Positive","what is this song called btw i loved it ive watched it so many times before",0.7,0.599
"Positive","Thank you Diana for all of them. Loved ithem yesterday and love them today",0.7,0.891
"Positive","I saw Roger Waters performing Dark Side of the Moon and others on July 12, 2007 at Darien Lake, NY, best show ever. He opened with this song, but the visuals were different; in my opinion, way cooler, because instead of a picture, it was the video of the hammers marching along with the rhytum of the music, occasionally changing from white to red, and back. To agree with you, perfect song to open with!",0.3,0.904
"Neutral","an i swear this track says amilli so much that it can get annoying lol check out chamillionaire's swagger like us rmx... NASTTTYY",0.3,0.45
"Neutral","afiurfcuvv98mupuugo",0.1,0
"Positive","I was 6 yrs old and my Elementary School bus driver would play it on my bus to school....Cool huh....",0.1,0.34
"Positive","first view comment and rate good video",0.3,0.44
"Positive","The beautiful story of our origins is bringing us together as the people of the one race... the human race.",0.4,0.599
"Neutral","Ron Paul 2012",0.2,0
"Positive","Nekoooooooooooooooooooooooooooooooooooooooooo my case",0.1,0
"Positive","The greys are real, this is proofreally nice song 5/5",0.5,0.421
"Neutral","i was looking for this tutorial from a long time actualy i was knowing all the steps untill you load the shader color with the image i didn't know maya actually figure out to load automaticaly all the image sequence to be corespondent with frames , and i ceck lots of tutorials and you are the first one ho do this thanks alot ,i configure the plane diferently and maya does the calculation for me ,i drop the plane then i go in inputs with 3 height 2 and after i scale x and z:8 to optain 24/16",-0.8,0.202
"Negative","what a horrible dream!",-0.5,-0.42
"Positive","Now live in USA , but proud to say I come from a good English navy family. Both Grandfathers Father and about eight other family members.",0.4,0.84
"Negative","Actually, if you can't tell that my text, containing four words, was sarcastic, then there's no point explaining further... 9:24 wasted of both our lives dude. Peace.",-0.4,-0.44
"Negative","Americans are thick...believe me, I've been living amongst them for the past ten years.",0.3,0
"Negative","sad thing is, is that this will probly happen in real life",0,-0.477
"Positive","wow what a super fabulous Mum you are..your children are sure to have some fantastic keepsakes..you are so creative and talented i love all your work",0.9,0.982
"Positive","It realy touches u if u think how much theyhave and how much we have today in america...I saw it at church a week ago and I cried its realy sad...my church is rasing money to build and fill a fresh water well in Kenya...and we are almost there!",0.1,0.271
"Positive","@10cx thank you :D",0.7,0.7
"Neutral","so what does gquit meen game quit?",-0.1,0
"Negative","get fucked yankee boy i aint no helpless woman or child you think you can bully so go fuc yaself...ok YA!",-0.5,-0.875
"Neutral","No kidding, I remember my first video camera, lol!",0.2,0.518
"Neutral","What would be the first step to ask a girl out ?",-0.1,0
"Negative","Just because something affects society doesn't classify it as a ""social issue."" Every issue affects society, so by that logic every issue is a ""social issue"" and why even put ""social"" in there, just call them ""issues.""lol fuck semantics anyways.Capitalism may be greed based, but that's because we're greedy by nature, civilized or not. Also, calling people idiots for not bowing to your beliefs does nothing to convince anybody.",-0.5,-0.8
"Negative","@Catherine8raw His immune system was already low before the TB and Hepatitis hit. He had an accident where he cut his knee I believe, when he was a teenager, and he got the HPV infection. But unfortunately his immune system was unable to beat it so he gre",0.1,-0.431
"Neutral","The story was on We Got to Do Better (Hot Ghetto Mess) this week on BET!!",-0.5,0.246
"Negative","The show in general is well... stupid and Michelle just makes it all much worse she's such a loser wannabe Feminist.",-0.8,-0.832
"Positive","i have to do this before i die!!!",0,-0.698
"Positive","Thanks Pascal",0.6,0.44
"Positive","You guys are legittt!",0.1,0
"Neutral","the weapon... the foot ahhh this guy cracks me up.",0,-0.296
"Neutral","Thats not a 08, thats a 06 or 07 Classic, this body style was completely phased out in 08 for the GMT-900 Platform.",-0.4,0
"Neutral","@TheSpazmAttack you will get the hang of it",0.1,0
"Negative","Hope she catches fire. Her opponent sure handed her a sure fire shovel to bury him with.",0,0.402
"Neutral","I'm going to take a wild guess and say Eddie long ain't gonna be there",-0.2,0
"Neutral","yuppie flu?",-0.2,-0.382
"Neutral","this was very informative could you make one for (please come to boston) by kenny loggins?!",0.6,0.38
"Neutral","2 hours and 35 minutes.",0,0
"Neutral","I think you're refering to Rosie O'Donnel sitting next to her.",0.3,0
"Negative","@EvilDoR wow. they had better make it so all classes are open to all genders quick or their reputation is going to take a hit",0.3,0.772
"Neutral","Sounds like your tomatoes aren't being pollinated. Do you have enough bees in your area? You can pollinate your tomatoes yourself with a small paint brush. Just touch each tomatoe blossom with the tip of the paintbrush as a bee would do. You should get a better yield. Also, thin out the bloooms so you only have two tomatoes on each stem. This will allow them to develop into bigger, more tastey tomatoes. Good luck.",0,0.909
"Positive","Mises' Cable network would be awesome.",0.5,0.625
"Neutral","@varunlele lots of rebuilds :S thats wut happeneds in a 2 stroke",-0.1,-0.296
"Neutral","what the hell was she doing with her underwear down?",-0.4,-0.681
"Positive","She had the voice of an Angel. The moment you hear her you fall in love with her.",0.4,0.637
"Positive","that park looks amazing",0.6,0.586
"Positive","what a beautiful song.",0.4,0.599
"Neutral","@biggayal1992 Next to Victory with a bronze statue of ADM Jellicoe on the bridge.",0.5,0
"Neutral","@Cr3ater yea it does look a little dry huh? I BBQ mine, glaze it, and keep the fat on to keep it juicy",0,0
"Positive","dude this is sweet this made is so ultra fast its unbelievable thanx XD",0.8,0.851
"Neutral","how he die! he looked in good shape!",0.1,-0.379
"Neutral","my little girl cant stop watching",0.6,0.176
"Neutral","o_o",0.1,-0.128
"Positive","i love deidara and sasori!!!! *fangirl squeal then faints*",0.5,0.748
"Positive","tru genius",0.5,0
"Neutral","Noa: yea, you woulda been OK as long as the roux was in the same temperature range as the stock AND the stock was not too ""greasy"" to begin with (SUBSCRIBE! see ""magic dinner party video"" for stock scumming & degreasing techniques). For demi's- I still MUCH prefer: 1) au natural 2) Arrowroot slurry over roux. keep it up, Kid, your gonna do fine.",0,0.856
"Neutral","What song is this??",-0.5,0
"Neutral","thats right man homey",0.4,0
"Positive","Still my favourite album from Esem.",0.8,0
"Positive","I love this video production, even though it may be ""amateur"". It definitely struck a chord with me, and the narration is perfect in my humble opinion. Great job!",0.7,0.932
"Positive","i have a twin sister and her name is rosemary hope miss rosemary gets well soon she is just a sweetie and sooo is rickey !!!! :0)",0.2,0.83
"Neutral","Then Mary's head is lit on fire",0.4,-0.34
"Neutral","guygiuybhb bbhjui",0.1,0
"Negative","ITS ABOUT TIME!",0.1,0
"Positive","ahh man, thats how im gonna propose to my soulmate :)",0.7,0.785
"Neutral","trimakasih mas riyanto 2000 atas uploudingnya hj karisma saya juga orang madiun kok yg skrng berada di usa.",0,0
"Negative","who the fuck said fuck oy nope nigga fuck u oyyy night was gooody ",-0.7,-0.631
"Negative","the diffrence is in america its not a god in japan it is america changed it to burning gundam becuz it might be offending some ppl calling gundam a god",-0.4,-0.461
"Neutral","BBBBBBBBB lol please",0.2,0.686
"Neutral","@scudFDL i just wish they showed it a bit clearer..",0.6,0.402
"Positive","love the song..da video is kinda dark",0.5,0.637
"Positive","Another great video. Thanks!",0.7,0.807
"Neutral","505!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0.2,0
"Neutral","And then it got quiet",0.2,0
"Positive","I wass theree! (L)",0.2,0.616
"Negative","You asswipe.",0,0
"Positive","Thanks for your kind comment! I picked this little whistle up in a thrift store for $2 about three months ago, sanitized it, played it once and set it aside - it sounded REALLY rough. Today I took it out and tweaked it a little and I was pretty pleased with the tone. Again, thanks! Looking forward to more videos from you as well!",0.3,0.962
"Positive","this my straight issh.. she went hard on this.. big ups to pharell for helpin her make this! two geniuses at wk!",0,0.27
"Positive","AWESOME THANK U :) NAMASTE SUNSHINE SMILES :)",0.7,0.958
"Neutral","do you need to be a specific class to do this glitch like soldier or adept etc?",0,0.361
"Neutral","what album is this one? anybody?",-0.1,0
"Positive","omg i miss you too. holy crap Nique (i know how to say your nickname but not spell it lol)im gonna send you a note",0.1,-0.273
"Neutral","sneaky! but not very good loot>.>",-0.3,-0.634
"Neutral","please upload this movie",0,0.318
"Negative","He says multiple times that an angel said that he's going to see Jehovah. Fascinating. An angel uses a mistranslation of the name YHWH (Yahweh) from the middle ages (1500 a.d. or so). I don't see why an angel would use a mistranslated name when referring to Almighty God in His Heaven.",0.3,0.836
"Neutral","@philosophic9 we are just starting to show it at festivals so hopefully sometime next year to the public... you can follow the film on Twitter (@rubblekings) for screening updates...",0.3,0.67
"Neutral","There are Anderson PowerPoles that go up to 75W... I try to use Anderson's for everything I do. Just makes everything universal.",0.2,0
"Neutral","Because it's hard to save up money in the original. Besides, you're always gonna buy new weapons because the enemies get tougher. For example, you don't need to buy the Walloper (though it will help in Gaspar), you absolutely need to buy the Devastator, since it's gonna have to be your first big source of damage UNTIL you buy the R.Y.N.O.",0,-0.681
"Neutral","It's ""From Yesterday"" by 30 seconds to Mars",-0.1,0
"Negative","this video is boring",-0.6,-0.318
"Neutral","also, does this video make the showwx look brighter, darker, or the same as in real life?",0,0.382
"Positive","I love O Fortuna, its such an epic peice of poetry. I am gonna use it as a trailer for one my videos. I'm not trying to advertise my channel either. I'm just saying how cool this song is. I first heard it on Son of Jackass. I thought the way they used it was halarious XD",0.1,0.847
"Positive","oh man!..... batista and undertaker are two of my favorite wrestlers!!!!",0.5,0.633
"Neutral","gracias por subirla..hace tiempo la andaba buscando...pa primera vez q la vi fue hace un a?o en estados unidos y por desgracia fue en hallowen...estaba q me cagaba el 30 de octubre para salir al desfile de disfraces...pero esta perra esta pelicula..pinche ni?o asesino..",-0.1,0
"Negative","omg, she is so dumb.",-0.7,-0.556
"Positive","Thank you for this beautiful song. Rest in Peace Monsieur Brel.",0.5,0.872
"Neutral","@WhoYouCantSee SWIM has had long lasting residual effects with DMT....... people need to face it, no mind altering drug is ever going to be good for you, however there many people who can put their mind under continual abuse via psychedelics and be fine,",0.1,-0.402
"Neutral","i was talking about p2p genius. have you seen all the famous pkers they train range up first? range of ish,kids ranqe etc? then they get melee stats.",0,0
"Neutral","Glad that 10cc, Suzi Quatro, The Sweet, and Wizzard are coming up soon - the major Glam rock bands than Gary Glitter!",0.6,0.742
"Neutral","I saw this tour in Boston and I swear the beginning of Stand Back was different. It was a sound a wave that started out soft and no one knew what song was coming till it got louder and louder and then the synths kicked in. Does anyone else remember this? No-I wasn't high!",-0.4,-0.4
"Positive","Awesome, I needed a guide on this achievement.",0.8,0.625
"Neutral","lol haha and then the double back and they wont even be able to do it",-0.6,0.747
"Positive","Baddest assed beat ever heard.. Kinda like that Young Jeezy beat...",-0.1,0.298
"Neutral","@KFCNYUKAA lulz.",0.2,0.459
"Neutral","only one lyric I'm not sure about that may be wrong due to watching his live performances change in brackets [ ]:You're my bad habit babyYou're myYou're taking my souldown to the level [O]",0.5,-0.821
"Positive","1:00 i eat grilled cheeses with a sliced pickle also , i love the contrastin flavor of the dill pickle taste and the crispness of it against the softy gooey and somewhat sweet melted cheese and buttery toasted bread",0.7,0.785
"Positive","I absolutely love this Apron! I think I'll make a couple for my Great-Granddaughters for Christmas. Thanks a bunch!",0.7,0.839
"Positive",": )",0.1,0
"Positive","I like how you're not sponsored. Keep it real. Looking forward to what you have to offer!",0.5,0.42
"Neutral","how long will it last before you do it again?",-0.2,0
"Neutral","my call outLondonTeyonaAllisonCeliaNatalieSandraThaliaCourtneyNijahJessica FoEliminated - Aminat",0.1,0
"Positive","wow, my mind is completely blown. i would give anything to draw like that! :D",0.4,0.872
"Positive","you are absolutely correct !!",0.4,0
"Positive","sooo cute....! i am totally doing this",0.4,0.509
"Positive","I love how you can hear people in the audience singing ""Cherry blossom girl""They sound beautiful live!",0.5,0.855
"Neutral","@NuraHawk It wasnt that hard! :)",0.3,-0.356
"Positive","...and what if the world is really depressing? God didnt heal you? You are speaking to thousands of people and they are listening !!! Spiritually you hang on to Jesus like you never have before. This IS healed !!! You have to hold on to this truth- Jesus died for you when the world didnt care. Onward Christian !!! remember your love for Christ? Shine before the world !!!",0,0.608
"Positive","Oh, yeah I subscribed and marked this as my favorite.",0.4,0.637
"Neutral","Is this crazy Macadoodle Fife?",-0.3,-0.34
"Neutral","godbless alex jones and dr scott whitaker",0.6,0
"Negative","I'd fucking kick the living shit out of the driver after the race............... Track him down and pound him down relentlessly..................... Go to his house and fuck his wife.",-0.3,-0.796
"Negative","Genies in bottles, toothpaste in tubes.... Is it too much to ask, that these ""highly educated"" people we elect to office can clearly literate their ideas, take responsibility and solve problems? oh wait......yes it is. People who once held these same positions 50 years ago, thought marijuana caused Blacks and Mexicans to rape white women, that ""reefer madness"" was real.How long can an oligarchy monkey fuck the truth and we stand around and take it? SPEAK OUT!",-0.1,-0.864
"Positive","BEST EVER!!!!!!!!!!!!!!!!!!!!!!!!!!",0.8,0.748
"Positive","I love this look! Thanks for the vid!",0.7,0.826
"Neutral","haha well said",0.3,0.625
"Neutral","booty bag?",-0.1,0
"Positive","LOL cool vid, I'VE BEEN THERE!!!!! XD u guys seem really cool!",0.7,0.94
"Positive","i""m a big fan of the wall and i will tell all of you why the wall is all of me and avrey time i see the wall movey or here th cd and i just get the feling of that i belong to the wall.",0.2,0.318
"Neutral","Oh, Wonder boy is upset!",-0.5,-0.439
"Neutral","si asi como pelea culea puta madre",0.3,0
"Positive","My daughter is 1/2 Khmer/Cambodian and she loves this song. She is 3 and loves to dance to it. Too bad her grandfather (Nay Koy) is an azzhole lol.",0.4,0.805
"Neutral","Sounds like am saturday lol",0.1,0.705
"Negative","if a man talk about another man when that man aint present that man dont listen.thats true shit",-0.6,0.151
"Neutral","...Maybe they could get Aaron for Ling?",-0.1,0
"Positive","Hee Hee! at 0:03... I see THUMB!Wonderful return bC2! This piece is *so* quirky-cool... sort of a classical-jazz audio-dada-ist set of flavors to it... I think.It's amazing to me how well what you play fits, yet is so distinctly YOU... such versatility!",0.4,0.908
"Positive","@7PietroNe1 ",0.1,0
"Positive","Thanks Yeadon",0.6,0.44
"Positive","I love your vids, keep em coming! Its really great for guys like me who can't get get the game right now! :)",0.8,0.94
"Neutral","I wana a pet pot belly piggy!",0.1,0
"Positive","Every track on this CD is a masterpiece. Gould playing of Gibbons and Byrd is the equal of his Bach playing. The Sweelinck is also great.",0.7,0.896
"Neutral","I was refering to people like ""charlesischuck "" who obviously thinks he's a present day Einstein.",0.1,0.361
"Positive","Thankyou for doing this :)",0.7,0.459
"Neutral","@SounzNice Where is that specified in the bible?",-0.2,0
"Positive","Nice, I like this piece. Brings back memories. (what little I have) I kinda wish I was there",0.7,0.772
"Neutral","@MatthiasVargas not really. while it is true in the NC case, as there are directly contradicting laws, in the case of banning christianity for example, it says, congress shall make no law, and not that such law could not be made by a state. so a state law",-0.2,-0.178
"Positive","how much did it cost you guys to build that??? cuz i would buy one 4 sure.",-0.1,0.429
"Neutral","cat fight at 5:30",0.2,-0.382
"Positive","Subhanallah, Love This So Much",0.9,0.637
"Positive","Great",0.7,0.625
"Neutral","batgammon black????????",-0.3,0
"Negative","I tuned my greenwood and it blew up. Not whilst tuning, I mean when I got back to Ganton, some guy jacked it so I kept shooting him and the car blew up.",-0.3,0
"Neutral","That was a deffo win for the boy in blue. He was robbed.",0,0.586
"Neutral","you are completely right",0,0
"Neutral","Thanks , looks easy but effective.....",0.7,0.794
"Positive","Fantastic! I love Jack Lemmon!! Thanks so much for uploading this.",0.7,0.911
"Positive","@AnneWorld no it dosent, it messes up the bow though >.> like i snapped almost all the hairs on mine.... but you can get some amazing sounds with some creativity and a wah ;D",-0.2,0.899
"Neutral","@Nintendomanwill Of course that wasn't an experienced audience, his traditional seminar ended before this lecture, probably it should be for undergraduate students, but even today confusion between public and private are common due to keynes, it is necess",-0.7,-0.421
"Negative","hey mk pur3...FUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUCK YOU",0.1,0
"Positive","Excellent video! It does a great job of promoting the Capital District and all of its assets to high technology.",0.8,0.906
"Positive","@kblank18 I agree. Man, I remember it putting the hurt on charizard o_o. I always loved that pokemon because it was so powerful. ",0.1,0.68
"Neutral","Cool pack....can it fit on the JUMBO VERSIPACK?",0.6,0.586
"Positive","lol, the sioux deserved this win reason is because they basically outplay every team and mario lamourauex would have kicked marvins ass, mario has been in so many fights lol st cloud wont go very far with poor defense and sioux defense #3 in the country YA YA!!!!",-0.1,0.624
"Positive","love this song man. im a huge stoopid fan. are you from san diego by any chance? i got a waffle perc too, amazing hit.",0.2,0.927
"Neutral","If you can meet naughty women benaughtyman.info",0.2,0
"Positive","Aston <3 iluu xxx",0.3,0.44
"Positive","Ugly Organ is by far their best.",0.1,0.226
"Neutral","here's a site ya all will love video2mp3(dot)net you can convert youtube videos to mp3s for free without downloading any programs and you can get the music that you want all the time",0.4,0.832
"Neutral","My dad uses Sta-Sound for his dog. She was shot as a 3 year old and had a bad limp ever since. After 5 days of use, she no longer limps and can run again.",0.2,-0.691
"Positive","that was awesome",0.6,0.625
"Positive","Thanks for the helpful video, but do you know how to make them run?",0.5,0.431
"Neutral","bling 989 i hope your not talkin about this song if you are listen a little closer brother peace.",0.2,0.73
"Positive","Excelente el video... me fascina...gracias",0.8,0
"Positive","wow this is a good lecture. Sorry for the facetiousness.",0,0.751
"Neutral","rong send ung isa kong comment sentido kumon pre!! ^^",0.5,0
"Neutral","its gonna end up being a draw. i wanna be a vintage wrestler, lol.",0.2,0.519
"Negative","Einstein believed in God, you doubt his existance, its obious that you're being foolish right now.",-0.4,-0.361
"Positive","i am so turned on right now i'm going to explode. thank you for this video. 8-]```",0.3,0.361
"Neutral","I never saw anybody working that fast at the boat school.",0,0
"Neutral","Troi, ban khen thiet hay gia bo vay? Muon cam on ban lam nhung khong biet ban khen that hay khen deu.",0,-0.896
"Positive","@iissyy123 Give Chris a little credit. It was his first time on the camera end and I think he did a good job. Thanks for the info and catch ya later.",0.5,0.797
"Positive","FREE MY BOI BOOSIE.........",0.3,0.511
"Positive","very very very very nice video add me on gunbound and gunbound, drift, and if u play luminary",0.7,0.721
"Positive","love this. great scampering music. (right, Karen??) thanks Barbara its a joy to revisit these with the lovely images",0.4,0.965
"Neutral","6.2 engines do have there weaknesses like overheating but u can upgrade the fan and coolent system. also the heads are known to get spider cracks in them. and cranks break from the harmonic balencer rubber rotting away throwing it off balance. and people put in stud girdles on the lower end to prevent main bearing web cracks. i know people put in gear drives to replace the timing chains too. as for the 86 sub it cracks on the frame where the steering box bolts on. but theres a brace to fix that.",0,0.153
"Neutral","Burnout Legends/Revenge FTW!",0.5,0.616
"Positive","Salaam",0.1,0
"Positive","xD I love them. And the midnight ramblers",0.5,0.838
"Neutral","@mbt9000 I really don't know but when it does ill put in a new serial key im sure there be more serials key in the future",0,-0.19
"Neutral","anyone who knos bout lockerz pm me ur email and i'll invite you",0.3,0.153
"Positive","they're awesome<33333",0.8,0
"Neutral","Presvetli Pavle ...",0.1,0
"Neutral","Pasa el tiempo y uno ya no es un chiquillo. Como adulto joven apreciaba el estilo picaresco de los Troveros Criollos pero como un duo, Garland-Perez. Sin embargo, en mi mente me titileaban los nombres de Pejovez y Ladd. Esta marinera del maestro Manuel Acosta, ha terminado por confirmar mis lejanos recuerdos. Que epoca la de los cincuenta en el siglo pasado. Cuanta musica criolla se hizo, cuantos conjuntos, solistas, compositores y autores alcanzaron la gloria. Viva la musica criolla carajo!",0.3,-0.571
"Neutral","yay my eyes wont roll away!",0,0.571
"Neutral","hair grew in a hour !! funny looks cute!",0.6,0.777
"Positive","Aww Armaan's so sweet it was so cute how he interacted with Minnie! :D",0.8,0.88
"Positive","This is an awesome woman of God. I am truly inspired to do what God is requiring of me for such a time as this.",0.8,0.925
"Negative","dr.weaver is just plain mean..",-0.4,0
"Positive","i really miss him today was the day the four jt kids died and it madde me tthink of paul and his amazing small i love u dude i hope i can talk to u soon again",0.3,0.808
"Positive","love him his sooo gud",0.5,0.637
"Negative","This is some boring crap. No wonder the youth in America are uninterested in politics.",-0.7,-0.727
"Negative","like this stuff isn't market driven? also, since when has size, thickness of paint, all that ""grand"" oily urgency, ever been an index of how good a painting is...oy.",-0.2,0.813
"Neutral","He could be right here. I think its too early to buy commodities here though",0.1,0
"Negative","Okay, even his own brother suspected him while he suspected his brother. So even though it hurts that Duen suspects, she really can't be blamed, especially since she HASN'T known him that long (like his brother has) and he refuses to explain stuff to her.! arg. But, I still find her pushiness a little annoying. I don't care about her believing him, but I wish she'd believe HER brother's prediction. oh well...",0.2,-0.3
"Neutral","@gokory no, I do not add water until day 18... If you have an automatic egg turner, you would be removing that on the 18th day and the developing eggs would be placed on the screen bottom, water would be in the trough beneath the wire screen. It does not",-0.4,-0.296
"Positive","that is pretty damn kewl,, who woulda thought a huge aluminium bridge tough enough to support a abrams! sweeeet",0.9,0.764
"Positive","@iimoneysignsii ",0.1,0
"Negative","bitch is crazy!",-0.1,-0.757
"Negative","@vinny1010 this means an even worse scenario of hyperinflation here. I agree it would give those who see what is happening time to prepare, but lets not forget that the longer this goes on the worse our problems will be when it is finally over.",-0.5,-0.791
"Neutral","He was almost stopped, and too slow to take off.",-0.5,-0.155
"Neutral","do they sell it in stores?",0,0
"Positive","Hell yes. Thank you for uploading this video.",0.4,-0.103
"Positive","saw this last night...AMAZING!! really, they all did such a great job!!! i'd go see it over and over again!!!",0.9,0.741
"Positive","those pics of izzi murder is very nice i wish i could meet her great video and good coise of song u picked for the video",0.4,0.81
"Neutral","Check out DNA activation synchronicity, that's no maybe. The Universe is NOT a ""giant maybe""- read about Unified Field Theory - Youtube search Nassim Haramein's work. The time is always NOW, you are not random and ""maybe"".",-0.2,0.103
"Positive","I've seen this shelter and it's wonderful. So much TLC for all the cats.",0.4,0.572
"Neutral","i put bon wen in a table of conlangs in the 'conlang' article on wikipedia but it removed it :(",-0.7,-0.593
"Neutral","my hardware installer doesnt detect it.",-0.6,0
"Positive","Agreed everyone!! JUST LOVE IT~~",0.5,0.823
"Positive","thank god for the BBC",0.4,0.557
"Neutral","@EvanEatsPie -.- It's from audioswap lol, and what's wrong with My Shooter!?! >:O",-0.1,-0.368
"Neutral","also it's muted sirens, not a new siren. (source, lyrics in the book of lyrics with the limited edition album)",-0.2,-0.226
"Positive","i love ha so much",0.6,0.765
"Neutral","weird....",-0.4,-0.178
"Neutral","1 thing plus a 2nd thing equals a third thing,yes. i saw this long ago. peace",0.2,0.542
"Positive","damn Chris! Just when I thought Cosmo was my favorite song from you, I come across this and now I can't decide. Another great original song! And after a second listen, I realized ""six lane highway"" was a very clever metaphor haha AWESOME. Can't wait to hear more originals!",0.4,0.911
"Neutral","I agree with you",-0.1,0.361
"Neutral","pedicure chairs looks uncomfortable &+ no massage..",-0.7,-0.586
"Neutral","And another thing: Where do you find these washers? Lowes and Home Depot DOES NOT CARRY these washers. I spent a half of day and about a half of a tank of gas to find a 25 cents washer. God have mercy on my soul.",0,0.557
"Negative","that glass looks like itd really be painful for a human face X(",-0.6,-0.173
"Positive","Just absolutely beautiful.",0.7,0.636
"Positive","...Morning Musume ft. Captain Falcon XDMan you are the master of H!P remixes.",0,0
"Positive","this is my 1st favorite boondox song my 2nd favorite song is sippin",0.7,0.718
"Neutral","4:50 kid gets EMP in care package =)",0.5,0.751
"Positive","youre work is amazing. actually, at school we are doing a thing for ""a person you would like to teach at your school and why"" normally, when writing i rush through (about 3 lines at the most), but when writing about mark crilley i go half a page!",0.1,0.533
"Positive","Very nice!",0.7,0.524
"Positive","Superb on the live set too - a great song. SImone Felice has put together a great band - so good to hear his heart ticking!",0.8,0.95
"Positive","this song is pretty good this is a good song so ill put it in my ipod..........",0.7,0.71
"Neutral","Actually, they were not made for children, but for the general public as a more affordable way to buy records. They were produced between 1914-1923. If you check out Little Wonder # 249 I have on here, there's a lot of background and history of these great records I added with that song. Thanks for listening!",0.3,0.895
"Negative","STOP SITTING ON THE BILL AND BE A AMERICAN! WE NEED A SENETOR AND SENATE THAT WILL STOP THE HOA IN TEXAS AND MAKE US A PART OF THE UNITED STATES AGAIN, HOA IS UN AMERICAN!",-0.1,-0.292
"Negative","When he said Melee was better he was obviously talking about gameplay. Yes Brawl owns Melee when it comes to features. However Classic, Allstar, Event Match and ESPECIALLY Targets were butchered in Brawl. You can't even use online against Melee anyway because Brawl was a duel laired disk and the gamecube didn't have Wifi connection. Okay here's where Brawl dies in my eyes. The gameplay...IT WAS NOOBED! FOR THE CASUAL GAMERS! Almost all of the hitstun was removed, and they added tripping, and...",0,0.863
"Negative","lol,SHUT UP!!!writer rage",0.1,-0.668
"Neutral","Cuireann an fh?st?ip gliondar ar mo chro?. Caighde?n ard taifeadta agus an t-?bhar thar a bheith suimi?l. Maith sibh a chail?n?!",0,0
"Positive","This car is fantastic! I drove one last week and absolutely loved it! It looks gorgeous, rides so well and is so nippy for a 1.0-litre you don't need anything else! Go for the 1.0-litre manual and you won't even have to pay road tax! Brilliant!",0.5,0.963
"Positive","@Turnback Good response.",0.7,0.44
"Positive","Yes but losing doesnt mean dying. The Japanese had a code of honour. They WOULD win or die trying. Terrifying and Brave. Dont say cowardly as its ANYTHING but.",0,0.688
"Positive","Great !!",0.8,0.689
"Neutral","y didnt joe get sick? i thought he was closer 2 nick, but glad they always try 2 be healthy",0,0.856
"Positive","to hear this song make me go up and dance to the music.Love tradition Khmer dance(Ramvong).",0.9,0
"Positive","imma marry her!",0.5,0
"Neutral","allah yarahmou l'algerie makhdou3a.???",0,0
"Neutral","honest to god my ancestor is William Penn",0.2,0.66
"Negative","Capitalism is the final chapter in historic evolution of THE TYRANNY OF PRIVATE PROPERTY RELATIONSHIP? of alienation,exploitation and suffering of humanity, a Market mechanism where minority interest is the NEGATION OF OUR COMMON HUMANITY IN COOPERATION and HARMONY. We shall overcome the structure of minority power and oppression and reclaim our l planet for a world of cooperation for our common needs and well being, expressing our energetic creative potentials in freedom of being.",0.2,0.955
"Neutral","kieran is like my sis she will like think there's something wrong with her and think she needs to go to the dr or stay home from school or whatever",-0.2,0.226
"Positive","Part 2 of 9 - After watching it - reconciliation of Lebanese people is a true democracy. Nadin, best ever film directed for the west and east and of course for the whole world. . Truly a great film. I loved it and liked it. Excellent piece of work.",0.6,0.976
"Negative","@yakamuci and your a fag",-0.8,-0.477
"Neutral","so when mr kraft said his ex wife was behind it he knew she was a witch?",-0.3,-0.361
"Positive","love the tune from 4:15 to 5:40",0.5,0.637
"Positive","I find this very captivating, awe inspiring. A very impressive interpretation of the song and it's meaning, where the hell was my animation class in middle or high school? Damn.. I would have loved to have a chance to take that.",0.5,0.644
"Positive","cool vid!!!!! i guess the guy that cut away had his reserve repact due the next day!!!!!!",0.5,0.333
"Positive","i love when the media spends weeks talking about how they shouldn't be talking about something.",0.3,0.637
"Neutral","@HuskyRusky ",0.1,0
"Positive","omg thats just ....wow i cant even describe how amazing that was BEAUTIFUL AWSOMNESS!!!",0.8,0.934
"Neutral","@daboss777888 this was 2004",0.1,0
"Neutral","What would happen if Weegee fought against Light from Deathnote in Mugen? Who would win?",-0.2,0.433
"Negative","Sad thing about the Maxima is that it SUCKS unless it's loaded up with features. what sucks about it is the way it feels and handles and the S model's suspension is WAY too soft and bouncy. the gas pedal allows no modulation, and the car isn't the easiest feeling to drive. I'm talking about the base model S only, the loaded up ones with sport suspension are awesome though.",-0.1,-0.824
"Neutral","lol how she gonna have makeup on coming out the water",0.4,0.519
"Neutral","have these comments become a random circle of randomness?. good moc kid. good to see a mocer near my age.",0,0.7
"Neutral","wher do u order your kits from",0.2,0
"Neutral","yes you get it.welcome to my website rotarycuttertools cOm get more info.",0.2,0.402
"Neutral","I've enjoyed Chrysler ever since I rode in my great aunt's 1971 Imperial",0.6,0.813
"Neutral","Huffdaddy72801- you are offering false, misleading teachings on christianity. Your so-called 'bilblical unitarianism' doesn't exist anywhere in the bible as anyone who reads and studies the Bible knows quite clearly",-0.6,0.075
