English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Persian Word
cake	0	0	0	0	0	0	0	0	0	0	کیک
calamity	0	0	0	0	0	0	0	1	0	0	فاجعه
calcareous	0	0	0	0	0	0	0	0	0	0	آهکی
calculate	0	0	0	0	0	0	0	0	0	0	محاسبه
calculated	0	0	0	0	0	0	0	0	0	0	محاسبه شد
calculating	0	0	0	0	0	1	0	0	0	0	محاسبه کردن
calculation	0	1	0	0	0	0	0	0	0	0	محاسبه
calculator	0	0	0	0	0	0	1	0	0	1	ماشین حساب
calculus	0	0	0	0	0	0	0	0	0	0	حساب دیفرانسیل و انتگرال
calendar	0	0	0	0	0	0	0	0	0	0	تقویم
calender	0	0	0	0	0	0	0	0	0	0	تقویم
calf	0	0	0	0	1	0	1	0	0	1	گوساله
caliber	0	0	0	0	0	0	0	0	0	0	کالیبر
calibrate	0	0	0	0	0	0	0	0	0	0	کالیبره کردن
calico	0	0	0	0	0	0	0	0	0	0	چلوار
calipers	0	0	0	0	0	0	0	0	0	0	کولیس ها
call	0	0	0	0	0	0	0	0	0	0	زنگ زدن
calligraphy	0	0	0	0	0	0	0	0	0	0	خوشنویسی
calling	0	0	0	0	0	0	0	0	0	0	صدا زدن
callous	1	0	1	0	0	1	0	0	0	0	بی احساس
calls	0	1	0	0	0	1	0	0	0	1	تماس می گیرد
calm	0	0	0	0	0	0	1	0	0	0	آرام
calmness	0	0	0	0	0	0	0	0	0	0	آرامش
caloric	0	0	0	0	0	0	0	0	0	0	کالری
calorie	0	0	0	0	0	0	0	0	0	0	کالری
calorimeter	0	0	0	0	0	0	0	0	0	0	کالری سنج
cam	0	0	0	0	0	0	0	0	0	0	طب مکمل و جایگزین
camber	0	0	0	0	0	0	0	0	0	0	کمبر
camel	0	0	0	0	0	0	0	0	0	0	شتر
cameo	0	0	0	0	0	0	0	0	0	0	کوتاه
cameraman	0	0	0	0	0	0	0	0	0	0	فیلمبردار
camisole	0	0	0	0	0	0	0	0	0	0	کامیزول
camouflage	0	0	0	0	0	0	0	0	1	0	استتار
camouflaged	0	0	0	0	0	0	0	0	1	0	استتار شده
camp	0	0	0	0	0	0	0	0	0	0	اردوگاه
campaign	0	0	0	0	0	0	0	0	0	0	پویش
campaigner	0	0	0	0	0	0	0	0	0	0	مبارز
campaigning	1	0	0	1	0	1	0	0	0	0	مبارزات انتخاباتی
campus	0	0	0	0	0	0	0	0	0	0	محوطه دانشگاه
canal	0	0	0	0	0	0	0	0	0	0	کانال
canary	0	0	0	0	0	0	1	0	0	0	قناری
cancel	0	0	0	0	0	1	0	1	0	0	لغو
canceling	0	0	0	0	0	0	0	0	0	0	لغو کردن
cancellation	0	0	0	0	0	0	0	0	0	0	لغو
cancer	1	0	1	1	0	1	0	1	0	0	سرطان
candid	0	1	0	0	1	0	1	0	1	1	صریح
candidacy	0	0	0	0	0	0	0	0	0	0	نامزدی
candidate	0	0	0	0	0	0	1	0	0	0	نامزد
candied	0	0	0	0	0	0	1	0	0	0	آب نبات
candle	0	0	0	0	0	0	0	0	0	0	شمع
candlelight	0	0	0	0	0	0	0	0	0	0	نور شمع
candlestick	0	0	0	0	0	0	0	0	0	0	شمعدان
candor	0	0	0	0	0	0	0	0	0	0	رک بودن
candy	0	0	0	0	0	0	0	0	0	0	آب نبات
cane	1	0	0	1	0	0	0	0	0	0	نیشکر
canine	0	0	0	0	0	0	0	0	0	0	سگ سگ
canister	0	0	0	0	0	0	0	0	0	0	قوطی
canker	1	0	1	0	0	1	0	0	0	0	شانکر
cannibal	0	0	1	1	0	1	0	0	0	0	آدمخوار
cannibalism	0	0	1	0	0	1	0	0	0	0	ادم خواری
canning	0	0	0	0	0	0	0	0	0	0	کنسرو کردن
cannon	1	0	0	1	0	1	0	0	0	0	توپ
canoe	0	0	0	0	0	0	0	0	0	0	قایق رانی
canon	0	0	0	0	0	0	0	0	0	0	کانون
canonical	0	0	0	0	0	0	0	0	0	0	ابتدایی
canons	0	0	0	0	0	0	0	0	0	1	قوانین
canopy	0	0	0	0	0	0	0	0	0	0	سایبان
canteen	0	0	0	0	0	0	0	0	0	0	سالن غذاخوری
canterbury	0	0	0	0	0	0	0	0	0	0	کانتربری
cantilever	0	0	0	0	0	0	0	0	0	0	کنسول
canto	0	0	0	0	0	0	0	0	0	0	کانتو
canton	0	0	0	0	0	0	0	0	0	0	کانتون
canvas	0	0	0	0	0	0	0	0	0	0	بوم
canvass	0	0	0	0	0	0	0	0	0	0	بوم نقاشی
cap	0	1	0	0	0	0	0	0	0	1	کلاه لبه دار
capability	0	0	0	0	0	0	0	0	0	0	قابلیت
capable	0	0	0	0	0	0	0	0	0	0	توانا
capacity	0	0	0	0	0	0	0	0	0	0	ظرفیت
cape	0	0	0	0	0	0	0	0	0	0	شنل
caper	0	0	0	0	0	0	0	0	0	0	کپر
capillary	0	0	0	0	0	0	0	0	0	0	مویرگی
capital	0	0	0	0	0	0	0	0	0	0	سرمایه، پایتخت
capitalist	0	0	0	0	0	0	1	0	0	0	سرمایه دار
capitals	0	0	0	0	0	0	0	0	0	0	سرمایه ها
capitation	0	0	0	0	0	0	0	0	0	0	کاپیتاسیون
capitol	0	0	0	0	0	0	0	0	0	0	کاپیتول
capitulation	0	0	0	0	0	0	0	0	0	0	کاپیتولاسیون
caprice	0	0	0	0	0	0	0	0	0	0	هوسبازی
capricious	0	0	0	0	0	0	0	0	0	0	دمدمی مزاج
caps	0	0	0	0	0	0	0	0	0	0	کلاه ها
capsule	0	0	0	0	0	0	0	0	0	0	کپسول
captain	0	0	0	0	0	0	1	0	0	0	کاپیتان
caption	0	0	0	0	0	0	0	0	0	0	عنوان
captivate	0	1	0	0	1	0	1	0	1	1	اسیر کردن
captivating	0	0	0	0	0	0	1	0	0	0	فریبنده
captive	0	0	0	1	0	1	0	1	0	0	اسیر
captivity	0	0	0	0	0	1	0	1	0	0	اسارت
captor	0	0	0	1	0	1	0	0	0	0	اسیر کننده
capture	0	0	0	0	0	1	0	0	0	0	گرفتن
car	0	0	0	0	0	0	0	0	0	0	ماشین
caramel	0	0	0	0	0	0	0	0	0	0	کارامل
carat	0	0	0	0	0	0	0	0	0	0	قیراط
caravan	0	0	0	0	0	0	0	0	0	0	کاروان
carbon	0	0	0	0	0	0	0	0	0	0	کربن
carcass	0	0	1	1	0	1	0	1	0	0	لاشه
carcinoma	0	0	0	1	0	1	0	1	0	0	سرطان
card	0	0	0	0	0	0	0	0	0	0	کارت
cardigan	0	0	0	0	0	0	0	0	0	0	ژاکت کش باف پشمی
cardinal	0	0	0	0	0	0	0	0	0	0	اصلی
cardiomyopathy	0	0	0	1	0	1	0	1	0	0	کاردیومیوپاتی
cards	0	0	0	0	0	0	0	0	0	0	کارت ها
care	0	0	0	0	0	0	0	0	0	0	مراقبت
career	0	1	0	0	0	0	1	0	0	0	حرفه
careful	0	0	0	0	0	0	1	0	0	0	مراقب باشید
carefully	0	0	0	0	0	0	1	0	0	0	با دقت
carelessness	1	0	1	0	0	1	0	0	0	0	سهل انگاری - بی دقتی
caress	0	0	0	0	0	0	1	0	0	0	نوازش
caret	0	0	0	0	0	0	0	0	0	0	مراقبت
caretaker	0	0	0	0	0	0	1	0	0	1	سرایدار
cargo	0	0	0	0	0	0	0	0	0	0	محموله
caribou	0	0	0	0	0	0	0	0	0	0	کاریبو
caricature	0	0	0	0	0	1	0	0	0	0	کاریکاتور
caries	0	0	1	0	0	1	0	0	0	0	پوسیدگی
carnage	1	0	1	1	0	1	0	1	1	0	قتل عام
carnal	0	0	0	0	0	1	0	0	0	0	نفسانی
carnation	0	0	0	0	0	0	0	0	0	0	میخک
carnivorous	0	0	0	1	0	1	0	0	0	0	گوشتخوار
carol	0	0	0	0	1	0	1	0	0	1	سرود
carousel	0	0	0	0	0	0	0	0	0	0	چرخ فلک
carpenter	0	0	0	0	0	0	0	0	0	0	نجار
carriage	0	0	0	0	0	0	0	0	0	0	کالسکه
carried	0	0	0	0	0	0	0	0	0	0	انجام
carrier	0	0	0	0	0	0	0	0	0	0	حامل
carry	0	0	0	0	0	0	0	0	0	0	حمل
carrying	0	0	0	0	0	0	0	0	0	0	حمل کردن
cart	0	0	0	0	0	0	0	0	0	0	سبد خرید
cartel	0	0	0	0	0	1	0	0	0	0	کارتل
carter	0	0	0	0	0	0	0	0	0	0	کارتر
cartilage	0	0	0	0	0	0	0	0	0	0	غضروف
cartographic	0	0	0	0	0	0	0	0	0	0	نقشه کشی
cartography	0	0	0	0	0	0	0	0	0	0	نقشه کشی
cartoon	0	0	0	0	0	0	0	0	0	0	کارتون
cartouche	0	0	0	0	0	0	0	0	0	0	کارتوش
cartridge	0	0	0	1	0	0	0	0	0	0	کارتریج
carve	0	0	0	0	0	0	0	0	0	0	تراشیدن
carver	0	0	0	0	0	0	0	0	0	0	منبت کار
carving	0	0	0	0	0	0	0	0	0	0	کنده کاری
cascade	0	0	0	0	0	0	1	0	0	0	آبشار
case	0	0	0	1	0	1	0	1	0	0	مورد
casein	0	0	0	0	0	0	0	0	0	0	کازئین
cash	1	1	0	1	1	0	1	0	0	1	پول نقد
cashier	0	0	0	0	0	0	0	0	0	1	صندوقدار
cashmere	0	0	0	0	0	0	0	0	0	0	ترمه
casing	0	0	0	0	0	0	0	0	0	0	پوشش
casino	0	0	0	0	0	0	0	0	0	0	کازینو
cask	0	0	0	0	0	0	0	0	0	0	چلیک
casket	0	0	0	1	0	1	0	1	0	0	تابوت
cast	0	0	0	0	0	0	0	0	0	0	قالب
caste	0	0	0	0	0	1	0	0	0	0	کاست
caster	0	0	0	0	0	0	0	0	0	0	کاستور
castle	0	0	0	0	0	0	0	0	0	0	قلعه
castor	0	0	0	0	0	0	0	0	0	0	کرچک
casual	0	0	0	0	0	0	0	0	0	0	گاه به گاه
casually	0	0	0	0	0	0	0	0	0	0	به طور اتفاقی
casualty	1	0	0	1	0	1	0	1	0	0	سانحه، کشته
cat	0	0	0	0	0	0	0	0	0	0	گربه
catabolism	0	0	0	0	0	0	0	0	0	0	کاتابولیسم
catalog	0	0	0	0	0	0	0	0	0	0	کاتالوگ
catalogue	0	0	0	0	0	0	0	0	0	0	کاتالوگ
catalysis	0	0	0	0	0	0	0	0	0	0	کاتالیزور
catalytic	0	0	0	0	0	0	0	0	0	0	کاتالیزوری
catamaran	0	0	0	0	0	0	0	0	0	0	کاتاماران
catapult	0	0	0	0	0	0	0	0	0	0	منجنیق
cataract	0	1	0	1	0	1	0	1	0	0	آب مروارید
catastrophe	1	0	1	1	0	1	0	1	1	0	فاجعه
catch	0	0	0	0	0	0	0	0	1	0	گرفتن
catching	0	0	0	0	0	0	0	0	0	0	گرفتن
catechism	0	0	1	0	0	0	0	0	0	0	تعلیم و تربیت
categorical	0	0	0	0	0	0	1	0	0	0	طبقه بندی شده
category	0	0	0	0	0	0	0	0	0	0	دسته بندی
cater	0	0	0	0	0	0	1	0	0	0	تهیه غذا
caterer	0	0	0	0	0	0	0	0	0	0	غذاساز
caterpillar	0	0	0	0	0	0	0	0	0	0	کرم ابریشم
cates	0	0	0	0	0	0	0	0	0	0	cats
cathartic	0	0	0	0	0	0	1	0	0	0	کاتارتیک
cathedral	0	0	0	0	1	0	1	0	0	1	کلیسای جامع
catheter	0	0	0	0	0	1	0	0	0	0	کاتتر
catnip	0	0	0	0	0	0	0	0	0	0	ماهی گربه ای
cattle	0	0	0	0	0	0	0	0	0	0	گاو
caucus	0	0	0	0	0	0	0	0	0	0	گروه
caudal	0	0	0	0	0	0	0	0	0	0	دمی
caulk	0	0	0	0	0	0	0	0	0	0	درز زدن
causal	0	0	0	0	0	0	0	0	0	0	علّی
causality	0	0	0	0	0	0	0	0	0	0	علیت
causation	0	0	0	0	0	0	0	0	0	0	علیت
caused	0	0	0	0	0	0	0	0	0	0	باعث
causeway	0	0	0	0	0	0	0	0	0	0	سرگذر
caution	1	1	0	1	0	1	0	0	0	0	احتیاط
cautionary	0	0	0	1	0	0	0	0	0	0	هشدار دهنده
cautious	0	1	0	1	0	0	1	0	0	1	محتاط
cautiously	0	0	0	1	0	0	1	0	0	0	بااحتیاط، محتاطانه
cavalry	0	0	0	0	0	0	0	0	0	0	سواره نظام
cave	0	0	0	0	0	0	0	0	0	0	غار
caveat	0	0	0	0	0	0	0	0	0	0	هشدار
cavern	0	0	0	0	0	0	0	0	0	0	غار
cavernous	0	0	0	0	0	0	0	0	0	0	غاردار
cavity	0	0	0	0	0	0	0	0	0	0	حفره
cayenne	0	0	0	0	0	0	0	0	0	0	فلفل قرمز
cease	0	0	0	0	0	0	0	0	0	0	دست کشیدن
ceaseless	0	0	0	0	0	0	0	0	0	0	بی وقفه
cede	0	0	0	0	0	1	0	0	0	0	واگذار کردن
ceiling	0	0	0	0	0	0	0	0	0	0	سقف
celebrant	0	0	0	0	0	0	0	0	0	0	جشن
celebrated	0	1	0	0	1	0	1	0	0	0	جشن گرفت
celebrating	0	1	0	0	1	0	1	0	0	0	جشن گرفتن
celebration	0	1	0	0	1	0	1	0	1	1	جشن
celebrity	1	1	1	0	1	1	1	0	1	1	فرد مشهور
celestial	0	1	0	0	1	0	1	0	0	0	آسمانی
celibacy	0	0	0	0	0	0	0	0	0	0	تجرد
cell	0	0	0	0	0	0	0	0	0	0	سلول
cellar	0	0	0	0	0	0	0	0	0	0	انبار
cellular	0	0	0	0	0	0	0	0	0	0	سلولی
celluloid	0	0	0	0	0	0	0	0	0	0	سلولوئید
cement	0	1	0	0	0	0	0	0	0	1	سیمان
cemented	0	0	0	0	0	0	0	0	0	0	سیمانی شده
cemetery	0	0	0	1	0	1	0	1	0	0	قبرستان
censor	1	0	1	1	0	1	0	0	0	1	سانسور
censure	0	0	0	0	0	1	0	0	0	0	انتقاد
census	0	0	0	0	0	0	0	0	0	0	سرشماری
cent	0	0	0	0	0	0	0	0	0	0	سنت
centenary	0	0	0	0	0	0	0	0	0	0	صد سالگی
centennial	0	0	0	0	0	0	0	0	0	0	صد ساله
center	0	0	0	0	0	0	1	0	0	1	مرکز
centimeter	0	0	0	0	0	0	0	0	0	0	سانتی متر
central	0	0	0	0	0	0	0	0	0	0	مرکزی
centrality	0	0	0	0	0	0	0	0	0	0	مرکزیت
centralization	0	0	0	0	0	0	0	0	0	0	تمرکز
centralize	0	0	0	0	0	0	0	0	0	0	متمرکز کردن
centrally	0	0	0	0	0	0	0	0	0	0	مرکزی
centrifugal	0	0	0	0	0	0	0	0	0	0	گریز از مرکز
centrifuge	0	0	0	0	0	0	0	0	0	0	سانتریفیوژ
centurion	0	0	0	0	0	0	1	0	0	0	سنتور
century	0	0	0	0	0	0	0	0	0	0	قرن
ceramics	0	0	0	0	0	0	0	0	0	0	سرامیک
cereal	0	0	0	0	0	0	0	0	0	0	غلات
cereals	0	0	0	0	0	0	0	0	0	0	غلات
cerebral	0	0	0	0	0	0	1	0	0	0	مغزی
ceremonial	0	0	0	0	0	0	0	0	0	0	تشریفاتی
ceremony	0	0	0	0	1	0	1	0	1	0	مراسم
certainty	0	0	0	0	0	0	1	0	0	0	یقین - اطمینان - قطعیت
certificate	0	0	0	0	0	0	0	0	0	0	گواهی
certify	0	0	0	0	0	0	0	0	0	1	گواهی کند
cess	0	0	1	0	0	1	0	0	0	0	cess
cessation	0	0	0	0	0	1	0	0	0	0	توقف
chaff	1	0	0	1	0	1	0	0	0	0	کاه. پوسته
chafing	0	0	0	0	0	1	0	0	0	0	چف کردن
chagrin	0	0	1	0	0	1	0	1	0	0	ناراحتی
chain	0	0	0	0	0	0	0	0	0	0	زنجیر
chair	0	0	0	0	0	0	0	0	0	0	صندلی
chairman	0	0	0	0	0	0	1	0	0	1	رئيس هیئت مدیره
chairperson	0	0	0	0	0	0	0	0	0	0	رئیس
chairwoman	0	0	0	0	0	0	1	0	0	1	رئیس
chaise	0	0	0	0	0	0	0	0	0	0	صندلی صندلی
chalet	0	0	0	0	0	0	0	0	0	0	کلبه
chalice	0	0	0	0	0	0	0	0	0	0	جام
chalk	0	0	0	0	0	0	0	0	0	0	گچ
challenge	1	0	0	1	0	1	0	0	0	0	چالش
chamber	0	0	0	0	0	0	0	0	0	0	محفظه - اتاق
chambers	0	0	0	0	0	0	0	0	0	0	اتاق ها
chameleon	0	0	0	0	0	0	0	0	0	0	آفتابپرست
champagne	0	0	0	0	0	0	0	0	0	0	شامپاین
champion	0	1	0	0	1	0	1	0	0	1	قهرمان
chance	0	0	0	0	0	0	0	0	1	0	شانس. فرصت
chancellor	0	0	0	0	0	0	0	0	0	1	صدراعظم
chandelier	0	0	0	0	0	0	0	0	0	0	لوستر
chandler	0	0	0	0	0	0	0	0	0	0	چندلر
change	0	0	0	1	0	0	0	0	0	0	تغییر دادن
changeable	0	1	0	0	0	0	0	0	1	0	تغییر پذیر
changed	0	0	0	0	0	0	0	0	0	0	تغییر کرد
changer	0	0	0	0	0	0	0	0	0	0	تغییر دهنده
changing	0	0	0	0	0	0	0	0	0	0	تغییر می کند
channel	0	0	0	0	0	0	0	0	0	0	کانال
chant	1	1	0	0	1	0	1	0	1	0	شعار دادن
chaos	1	0	0	1	0	1	0	1	0	0	آشوب
chaotic	1	0	0	0	0	1	0	0	0	0	بی نظم
chap	0	0	0	0	0	0	0	0	0	0	فصل
chapel	0	0	0	0	0	0	0	0	0	0	نمازخانه
chaplain	0	0	0	0	0	0	0	0	0	1	روحانی
chapman	0	0	0	0	0	0	0	0	0	0	چپمن
chaps	0	0	0	0	0	0	0	0	0	0	فصل
chapter	0	0	0	0	0	0	0	0	0	0	فصل
char	0	0	0	0	0	0	0	0	0	0	کاراکتر
character	0	0	0	0	0	0	0	0	0	0	شخصیت
characteristic	0	0	0	0	0	0	0	0	0	0	مشخصه
characterize	0	0	0	0	0	0	0	0	0	0	مشخص کردن
charade	0	0	0	0	0	1	0	0	0	0	حرام
charcoal	0	0	0	0	0	0	0	0	0	0	زغال چوبی
charge	0	0	0	0	0	0	0	0	0	0	شارژ
chargeable	0	0	0	1	0	1	0	1	0	0	قابل شارژ
charger	0	0	0	0	0	0	1	0	0	0	شارژر
chariot	0	0	0	0	0	0	0	0	0	0	ارابه
charitable	0	1	0	0	1	0	1	0	0	1	خیریه
charity	0	0	0	0	1	0	1	0	0	0	خیریه
charm	0	0	0	0	0	0	1	0	0	0	افسون
charmed	0	0	0	0	1	1	1	0	0	0	افسون شده
charmer	0	0	0	0	0	0	0	0	0	0	افسونگر
charming	0	0	0	0	0	0	1	0	0	0	جذاب
chart	0	0	0	0	0	0	0	0	0	1	چارت سازمانی
charter	0	0	0	0	0	0	0	0	0	0	منشور
chartered	0	0	0	0	0	0	0	0	0	0	اجاره شده
chase	0	0	0	0	0	1	0	0	0	0	تعقیب
chasm	0	0	0	1	0	0	0	0	0	0	شکاف عظیم
chastisement	0	0	0	0	0	1	0	0	0	0	تنبیه
chastity	0	1	0	0	0	0	1	0	0	1	عفت
chat	0	0	0	0	0	0	0	0	0	0	چت کردن
chateau	0	0	0	0	0	0	0	0	0	0	قلعه
chatter	0	0	0	0	0	0	0	0	0	0	پچ پچ کردن
chattering	0	0	0	0	0	0	1	0	0	0	پچ پچ کردن
chatty	0	0	0	0	0	1	0	0	0	0	پرحرف
chauffeur	0	0	0	0	0	0	0	0	0	0	کمک راننده
cheap	0	0	0	0	0	1	0	0	0	0	ارزان
cheat	1	0	1	0	0	1	0	0	0	0	تقلب
check	0	0	0	0	0	0	0	0	0	0	بررسی
checker	0	0	0	0	0	0	0	0	0	0	چکر
checkered	0	0	0	0	0	0	0	0	0	0	شطرنجی
checkers	0	0	0	0	0	0	0	0	0	0	چکرز
checklist	0	0	0	0	0	0	1	0	0	1	چک لیست
cheek	0	0	0	0	0	0	0	0	0	0	گونه
cheeks	0	0	0	0	0	0	0	0	0	0	گونه ها
cheep	0	0	0	0	0	0	0	0	0	0	ارزان
cheer	0	1	0	0	1	0	1	0	1	1	تشویق کردن
cheerful	0	0	0	0	1	0	1	0	1	0	بشاش
cheerfulness	0	1	0	0	1	0	1	0	0	1	نشاط
cheering	0	0	0	0	1	0	1	0	0	0	تشویق کردن
cheery	0	1	0	0	1	0	1	0	0	0	شاد
cheesecake	0	0	0	0	0	1	0	0	0	0	چیزکیک
cheetah	0	0	0	0	0	0	0	0	0	0	یوزپلنگ
chemise	0	0	0	0	0	0	0	0	0	0	لباس زنانه
chemist	0	0	0	0	0	0	1	0	0	1	شیمیدان
chemistry	0	0	0	0	0	0	0	0	0	0	علم شیمی
cheque	0	0	0	0	0	0	0	0	0	0	بررسی
cherish	0	1	0	0	1	0	1	0	1	1	گرامی داشتن
cherry	0	0	0	0	0	0	1	0	0	0	گیلاس
chess	0	0	0	0	0	0	0	0	0	0	شطرنج
chest	0	0	0	0	0	0	0	0	0	0	قفسه سینه
chestnut	0	0	0	0	0	0	0	0	0	0	فندق
chevron	0	0	0	0	0	0	0	0	0	0	شورون
chew	0	0	0	0	0	0	0	0	0	0	جویدن
chic	0	0	0	0	0	0	0	0	0	0	شیک
chicane	0	1	0	0	0	1	0	0	1	1	شیکن
chicken	0	0	0	1	0	0	0	0	0	0	مرغ
chief	0	0	0	0	0	0	0	0	0	0	رئیس
chiefly	0	0	0	0	0	0	0	0	0	0	عمدتا
chieftain	0	0	0	0	0	0	1	0	0	0	رئیس
child	0	1	0	0	1	0	1	0	0	0	کودک
childbirth	0	0	0	0	0	0	0	0	0	0	زایمان
childhood	0	0	0	0	1	0	1	0	0	0	دوران کودکی
childish	0	0	0	0	0	1	0	0	0	0	کودکانه
chill	0	0	0	0	0	0	0	0	0	0	سرد شدن
chilly	0	0	0	0	0	1	0	0	0	0	سرد
chime	0	0	0	0	0	0	0	0	0	0	صدای زنگ
chimera	0	0	0	1	0	0	0	0	1	0	واهی
chimes	0	0	0	0	0	0	0	0	0	0	زنگ زدن
chimney	0	0	0	0	0	0	0	0	0	0	دودکش
china	0	0	0	0	0	0	0	0	0	0	چین
chine	0	0	0	0	0	0	0	0	0	0	چینی
chinook	0	0	0	0	0	0	0	0	0	0	شینوک
chip	0	0	0	0	0	0	0	0	0	0	تراشه
chipping	0	0	0	0	0	0	0	0	0	0	خرد کردن
chirp	0	0	0	0	1	0	1	0	0	0	چهچهچه
chisel	0	0	0	0	0	0	1	0	0	0	اسکنه
chit	0	0	0	0	0	0	0	0	0	0	چیت
chivalry	0	0	0	0	0	0	1	0	0	0	جوانمردی
chloroform	0	0	0	0	0	1	0	0	0	0	کلروفرم
chocolate	0	1	0	0	1	0	1	0	0	1	شکلات
choice	0	0	0	0	0	0	1	0	0	0	انتخاب
choir	0	0	0	0	1	0	1	0	0	1	گروه کر
choke	1	0	0	0	0	1	0	1	0	0	خفه کردن
cholera	0	0	1	1	0	1	0	1	0	0	وبا
choose	0	0	0	0	0	0	0	0	0	0	انتخاب کنید
choosing	0	0	0	0	0	0	0	0	0	0	انتخاب کردن
chop	0	0	0	0	0	1	0	0	0	0	تکه کردن
chopping	0	0	0	0	0	0	0	0	0	0	خرد کردن
chops	0	0	0	0	0	0	0	0	0	0	ریز ریز کردن
choral	0	0	0	0	1	0	1	0	0	0	کرال
chords	0	0	0	0	0	0	0	0	0	0	آکورد
chore	0	0	0	0	0	1	0	0	0	0	کارهای عادی و روزمره
chorus	0	0	0	0	0	0	1	0	0	0	گروه کر
chosen	0	0	0	0	0	0	1	0	0	0	انتخاب شده است
chowder	0	0	0	0	0	0	1	0	0	0	آبگوشت
christening	0	0	0	0	0	0	0	0	0	0	تعمید
chromatic	0	0	0	0	0	0	0	0	0	0	رنگی
chromatography	0	0	0	0	0	0	0	0	0	0	کروماتوگرافی
chromosome	0	0	0	0	0	0	0	0	0	0	کروموزوم
chronic	0	0	0	0	0	1	0	1	0	0	مزمن
chronicle	0	0	0	0	0	0	1	0	0	1	تاريخچه
chronograph	0	0	0	0	0	0	0	0	0	0	کرنوگراف
chronological	0	0	0	0	0	0	0	0	0	0	زمانی
chuck	0	0	0	0	0	0	0	0	0	0	دور انداختن
chuckle	0	1	0	0	1	0	1	0	1	1	خندیدن
chunk	0	0	0	0	0	0	0	0	0	0	تکه
chunky	0	0	0	0	0	0	0	0	0	0	درشت
church	0	1	0	0	1	0	1	0	0	1	کلیسا
churchyard	0	0	0	0	0	0	0	0	0	0	حیاط کلیسا
churn	0	0	0	0	0	0	0	0	0	0	سر خوردن
chute	0	0	0	0	0	0	0	0	0	0	ناودان
chutney	0	0	0	0	0	0	0	0	0	0	یک نوع ترشی با ادویه
ciao	0	0	0	0	0	0	0	0	0	0	ciao
cider	0	0	0	0	0	0	1	0	0	0	شراب سیب
cigar	0	0	0	0	0	0	0	0	0	0	سیگار برگ
cigarette	0	0	0	0	0	1	0	0	0	0	سیگار
cinch	0	0	0	0	0	0	0	0	0	0	چنگ زدن
cinder	0	0	0	0	0	0	0	0	0	0	خاکستر
cinema	0	0	0	0	0	0	0	0	0	0	سینما
cinematographer	0	0	0	0	0	0	0	0	0	0	فیلمبردار
cinematography	0	0	0	0	0	0	0	0	0	0	فیلمبرداری
cinnamon	0	0	0	0	0	0	0	0	0	0	دارچین
cipher	0	0	0	0	0	0	0	0	0	0	رمزگذاری
circle	0	0	0	0	0	0	0	0	0	0	دایره
circling	0	0	0	0	0	0	0	0	0	0	حلقه زدن
circuit	0	0	0	0	0	0	0	0	0	0	جریان
circular	0	0	0	0	0	0	0	0	0	0	گرد
circulate	0	0	0	0	0	0	0	0	0	0	گردش کند
circulation	0	0	0	0	0	0	0	0	0	0	جریان
circumcision	0	0	0	0	0	0	1	0	0	0	ختنه کردن
circumference	0	0	0	0	0	0	0	0	0	0	دور
circumferential	0	0	0	0	0	0	0	0	0	0	دورتادور
circumscribed	0	0	0	0	0	0	0	0	0	0	محدود شده است
circumstance	0	0	0	0	0	0	0	0	0	0	چگونگی، امر، تفصیل، شرایط محیط، پیش امد، شرح
circumstantial	0	0	0	0	0	0	0	0	0	0	شرایطی
circumvention	0	0	0	0	0	1	1	0	0	0	دور زدن
circus	0	0	0	0	0	0	0	0	0	0	سیرک
cirrus	0	0	0	0	0	0	0	0	0	0	سیروس
cistern	0	0	0	0	0	0	0	0	0	0	مخزن
citadel	0	0	0	0	0	0	0	0	0	0	ارگ
citation	0	0	0	0	0	0	0	0	0	0	نقل قول
citizen	0	0	0	0	0	0	1	0	0	0	شهروند
citrine	0	0	0	0	0	0	0	0	0	0	سیترین
city	0	0	0	0	0	0	0	0	0	0	شهر
civic	0	0	0	0	0	0	0	0	0	0	مدنی
civil	0	0	0	0	0	0	1	0	0	0	مدنی
civilian	0	0	0	0	0	0	0	0	0	0	غیر نظامی
civility	0	0	0	0	0	0	1	0	0	0	مدنیت
civilization	0	0	0	0	0	0	1	0	0	1	تمدن
civilized	0	0	0	0	1	0	1	0	0	1	متمدن
clad	0	0	0	0	0	0	0	0	0	0	پوشیده شده
claim	0	0	0	0	0	0	0	0	0	0	مطالبه
claimant	1	0	1	0	0	0	0	0	0	0	مدعی
clairvoyant	0	0	0	0	0	0	1	0	0	0	روشن بین
clam	0	0	0	0	0	0	0	0	0	0	صدف
clamor	1	1	1	0	0	1	0	0	1	0	سر و صدا
clamp	0	0	0	0	0	0	0	0	0	0	گیره
clan	0	0	0	0	0	0	0	0	0	1	قبیله
clandestine	0	0	0	0	0	0	0	0	0	0	مخفیانه
clap	0	1	0	0	1	0	1	0	0	1	کف زدن
clarify	0	0	0	0	0	0	1	0	0	0	روشن کردن
clarinet	0	0	0	0	0	0	0	0	0	0	کلارینت
clarion	0	0	0	0	0	0	0	0	0	0	روشن کردن
clarity	0	0	0	0	0	0	0	0	0	0	وضوح
clash	1	0	0	0	0	1	0	0	0	0	درگیری
clashing	1	0	0	1	0	1	0	0	0	0	درگیری
clasp	0	0	0	0	0	0	0	0	0	0	گیره
