Word	Danish-da	Valence	Arousal	Dominance
beak	næb	0.375	0.363	0.411
beaker	bæger	0.420	0.410	0.391
beam	bjælke	0.584	0.349	0.382
beaming	strålende	0.892	0.654	0.587
bean	bønne	0.667	0.269	0.264
beanbag	sækkestol	0.450	0.380	0.340
beanie	beanie	0.500	0.230	0.263
bear	bjørn	0.448	0.570	0.475
bearable	tålelig	0.542	0.375	0.605
beard	skæg	0.490	0.261	0.371
bearded	skæggede	0.439	0.337	0.391
bearer	ihændehaver	0.571	0.547	0.676
bearing	leje	0.571	0.367	0.474
bearings	lejer	0.418	0.490	0.426
bearish	bearish	0.521	0.549	0.324
bearskin	bjørneskind	0.333	0.398	0.464
beast	dyr	0.214	0.780	0.732
beastly	væmmelig	0.146	0.874	0.843
beat	slå	0.279	0.647	0.492
beaten	slået	0.083	0.846	0.265
beater	tæppebanker	0.438	0.545	0.482
beating	prygl	0.153	0.833	0.481
beatnik	beatnik	0.429	0.510	0.382
beau	beau	0.612	0.440	0.432
beautification	forskønnelse	0.885	0.575	0.725
beautiful	smuk	0.875	0.614	0.648
beautify	forskønne	0.898	0.592	0.736
beauty	skønhed	0.842	0.600	0.644
beaver	bæver	0.490	0.344	0.393
bebop	bebop	0.482	0.490	0.358
beck	beck	0.580	0.375	0.418
beckon	vinke	0.663	0.455	0.452
become	blive	0.641	0.583	0.643
bed	seng	0.604	0.173	0.327
bedding	sengetøj	0.704	0.276	0.377
bedpan	bækken	0.510	0.400	0.362
bedrock	grundfjeld	0.561	0.340	0.598
bedroom	soveværelse	0.744	0.296	0.491
bedside	bedside	0.604	0.167	0.375
bedspread	sengetæppe	0.551	0.139	0.292
bedtime	sengetid	0.673	0.314	0.373
bee	bi	0.520	0.509	0.309
beef	bøf	0.582	0.312	0.492
beefsteak	engelsk bøf	0.594	0.391	0.455
beehive	bikube	0.541	0.700	0.422
beep	bip	0.595	0.541	0.304
beeper	beeper	0.438	0.720	0.441
beer	øl	0.592	0.654	0.500
bees	bier	0.562	0.635	0.412
beeswax	bivoks	0.583	0.402	0.375
beetle	bille	0.323	0.356	0.295
befall	tilstøde	0.520	0.663	0.585
befitting	befitting	0.708	0.333	0.394
befriend	befriend	0.930	0.624	0.471
befuddled	befuddled	0.156	0.714	0.269
beg	tigge	0.292	0.608	0.328
beggar	tigger	0.240	0.402	0.116
begging	tigger	0.292	0.461	0.202
begin	begynde	0.677	0.569	0.763
beginner	nybegynder	0.490	0.480	0.387
beginning	starten	0.816	0.528	0.558
beginnings	begyndelser	0.837	0.527	0.600
begrudge	unde	0.177	0.731	0.377
begun	begyndt	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	opføre sig	0.677	0.363	0.747
behavior	opførsel	0.594	0.442	0.813
behavioral	adfærdsmæssige	0.612	0.440	0.708
behemoth	behemoth	0.583	0.781	0.853
behest	foranledning	0.602	0.350	0.720
behold	beskue	0.610	0.284	0.449
beholden	afhængighedsforhold	0.296	0.555	0.212
beholder	beskueren	0.714	0.491	0.520
beige	beige	0.490	0.222	0.224
belated	forsinket	0.240	0.400	0.214
belay	sikringsanordning	0.500	0.472	0.702
belch	bøvse	0.194	0.562	0.240
belief	tro	0.896	0.375	0.656
believable	troværdig	0.866	0.390	0.676
believe	tro på	0.781	0.370	0.682
believed	troede	0.500	0.562	0.547
believer	troende	0.725	0.445	0.564
believing	tro	0.870	0.418	0.833
belittle	forklejne	0.122	0.417	0.250
belittled	nedgjort	0.177	0.392	0.226
bell	klokke	0.552	0.510	0.505
bellboy	piccolo	0.542	0.363	0.302
bellhop	piccolo	0.500	0.287	0.318
belligerent	krigsførende	0.344	0.680	0.594
bellman	bellman	0.540	0.250	0.371
bellow	Bellow	0.248	0.337	0.212
bellows	bælge	0.458	0.515	0.429
belly	bug	0.510	0.388	0.387
bellybutton	navle	0.531	0.283	0.360
bellyful	bellyful	0.347	0.806	0.519
belong	tilhører	0.643	0.405	0.569
belongings	ejendele	0.592	0.380	0.750
beloved	elskede	0.969	0.613	0.708
belt	bælte	0.541	0.322	0.445
beluga	beluga	0.510	0.333	0.482
bemused	undrende	0.281	0.490	0.278
bench	bænk	0.571	0.289	0.544
bend	bøje	0.571	0.324	0.368
bender	Bender	0.490	0.510	0.466
bending	bøjning	0.448	0.565	0.455
beneath	under	0.354	0.173	0.233
benedictory	benedictory	0.677	0.438	0.481
benefactor	velgører	0.833	0.578	0.755
beneficial	gavnlig	0.820	0.579	0.703
beneficiary	støttemodtager	0.776	0.399	0.616
benefit	fordel	0.906	0.422	0.806
benevolence	velvilje	0.786	0.340	0.717
benevolent	velvillige	0.786	0.407	0.651
benign	godartet	0.694	0.440	0.509
bent	bøjet	0.375	0.453	0.298
benzene	benzen	0.439	0.459	0.403
bequeath	testamentere	0.743	0.500	0.741
bequest	arv	0.661	0.398	0.882
bereaved	efterladte	0.104	0.479	0.221
bereavement	dødsfald	0.265	0.677	0.500
bereft	blottet	0.229	0.490	0.336
beret	baret	0.542	0.240	0.327
bergamot	bergamot	0.510	0.365	0.339
berlin	Berlin	0.592	0.423	0.571
berserk	amok	0.398	0.556	0.480
berth	køje	0.295	0.337	0.596
beryllium	beryllium	0.417	0.412	0.425
beseech	bønfalder	0.330	0.441	0.600
beset	plaget	0.385	0.717	0.317
bestdayever	bedste dag nogensinde	0.760	0.646	0.593
bestfeeling	bestfeeling	0.806	0.509	0.625
bestfriends	bedste venner	0.934	0.662	0.647
bestial	dyrisk	0.260	0.761	0.674
besties	besties	0.888	0.509	0.614
bestow	skænke	0.656	0.560	0.642
bestseller	bedst sælgende	0.771	0.643	0.700
bet	vædde	0.385	0.698	0.432
beta	beta	0.710	0.370	0.439
betray	forråde	0.042	0.870	0.536
betrayal	forræderi	0.083	0.719	0.418
betrayed	bedraget	0.122	0.769	0.308
betrothed	trolovet	0.833	0.630	0.667
betterment	gavn	0.898	0.536	0.769
betting	væddemål	0.237	0.804	0.411
betty	betty	0.542	0.358	0.381
bevel	bevel	0.757	0.406	0.454
beverage	drik	0.635	0.490	0.389
bevy	sværm	0.429	0.460	0.541
beware	pas på	0.151	0.596	0.518
bewilder	forvirre	0.306	0.571	0.289
bewildered	Forvirret	0.230	0.630	0.300
bewilderment	forvirring	0.312	0.716	0.216
bias	partiskhed	0.400	0.370	0.541
biased	forudindtaget	0.271	0.302	0.368
bib	hagesmæk	0.385	0.396	0.339
bible	bibel	0.719	0.225	0.726
biblical	bibelsk	0.635	0.304	0.712
bibliography	bibliografi	0.622	0.204	0.528
bicarbonate	bicarbonat	0.479	0.337	0.438
bicentennial	bicentennial	0.541	0.423	0.507
biceps	biceps	0.592	0.588	0.602
bicker	småskændes	0.143	0.643	0.552
bickering	skænderier	0.122	0.800	0.536
bicolor	bicolor	0.580	0.327	0.404
bicycle	cykel	0.708	0.519	0.425
bid	bud	0.760	0.530	0.655
bidder	tilbudsgiver	0.465	0.474	0.433
bidding	bud	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	biennale	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	tvedeling	0.385	0.625	0.352
big	stor	0.802	0.588	0.812
bigamy	bigami	0.327	0.696	0.482
bigday	stor dag	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	biggie	0.531	0.481	0.500
bighorn	stort horn	0.480	0.547	0.580
bigmouth	stor mund	0.417	0.577	0.430
bigot	selvretfærdig	0.479	0.745	0.517
bigoted	bigot	0.153	0.760	0.462
bigotry	fordomme	0.356	0.737	0.481
bike	cykel	0.708	0.500	0.333
biker	biker	0.604	0.710	0.567
bikini	bikini	0.730	0.639	0.353
bilateral	bilaterale	0.633	0.343	0.491
bilayer	dobbeltlag	0.438	0.398	0.388
bile	galde	0.157	0.461	0.324
bilge	sump	0.316	0.392	0.412
bilingual	tosproget	0.735	0.490	0.606
bill	regning	0.396	0.402	0.535
billboard	billboard	0.594	0.317	0.481
billet	billets	0.479	0.583	0.500
billiard	billard	0.719	0.616	0.543
billiards	billard	0.643	0.559	0.387
billing	fakturering	0.406	0.481	0.670
billion	milliard	0.719	0.564	0.782
billionaire	milliardær	0.806	0.667	0.923
billy	billy	0.490	0.397	0.375
bimbo	bimbo	0.396	0.370	0.300
bimonthly	hver anden måned	0.408	0.298	0.471
bin	beholder	0.422	0.304	0.327
binary	binær	0.490	0.356	0.420
bind	binde	0.398	0.462	0.448
binder	bindemiddel	0.438	0.250	0.308
bindery	bogbinderi	0.548	0.388	0.482
binding	binding	0.438	0.425	0.640
bing	bing	0.573	0.453	0.415
binge	binge	0.304	0.650	0.500
bingo	bingo	0.735	0.667	0.429
binocular	kikkert	0.531	0.344	0.426
binoculars	kikkert	0.490	0.309	0.411
binomial	binomial	0.600	0.406	0.426
bio	bio	0.612	0.225	0.490
biochemical	biokemisk	0.367	0.481	0.618
biochemist	biokemiker	0.471	0.449	0.717
biochemistry	biokemi	0.552	0.531	0.596
biogenesis	biogenese	0.594	0.442	0.697
biographer	biograf	0.708	0.427	0.617
biography	biografi	0.698	0.229	0.718
biological	biologisk	0.590	0.410	0.615
biologist	biolog	0.625	0.453	0.693
biology	biologi	0.479	0.274	0.546
bionic	bionic	0.571	0.570	0.788
biopsy	biopsi	0.323	0.657	0.481
biosphere	biosfæren	0.684	0.351	0.579
bipartite	todelt	0.365	0.480	0.464
bipolar	bipolar	0.208	0.685	0.426
birch	birk	0.562	0.346	0.382
bird	fugl	0.729	0.357	0.364
birdcage	fuglebur	0.480	0.398	0.318
birdie	birdie	0.594	0.394	0.407
birdman	Birdman	0.490	0.567	0.604
birth	fødsel	0.896	0.655	0.536
birthday	fødselsdag	0.969	0.844	0.575
birthing	fødsel	0.796	0.877	0.519
birthmark	modermærke	0.630	0.461	0.500
birthplace	fødested	0.781	0.290	0.491
birthright	fødselsret	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	kiks	0.888	0.260	0.231
bisexual	biseksuel	0.438	0.765	0.459
bishop	biskop	0.594	0.184	0.725
bison	bison	0.573	0.433	0.557
bisque	bisque	0.693	0.443	0.312
bistro	bistro	0.594	0.472	0.396
bit	bit	0.427	0.310	0.225
bitch	tæve	0.276	0.740	0.343
bitchy	spydig	0.188	0.700	0.373
bite	bid	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	bitsy	0.510	0.388	0.382
bitter	bitter	0.218	0.627	0.411
bitterly	bittert	0.194	0.685	0.362
bitterness	bitterhed	0.115	0.633	0.270
bittersweet	bittersød	0.469	0.569	0.474
bitty	bitte	0.469	0.271	0.257
bitumen	bitumen	0.375	0.235	0.307
biweekly	hver anden uge	0.581	0.337	0.455
biz	biz	0.500	0.473	0.473
bizarre	bizar	0.379	0.620	0.392
blab	blab	0.438	0.425	0.353
blabbermouth	sludrechatol	0.323	0.640	0.422
black	sort	0.326	0.339	0.390
black snake	sort slange	0.104	0.860	0.612
blackberry	brombær	0.667	0.413	0.453
blackbird	solsort	0.520	0.340	0.405
blackboard	tavle	0.469	0.255	0.287
blacken	sværte	0.208	0.500	0.228
blackface	Blackface	0.302	0.490	0.441
blackjack	blackjack	0.419	0.679	0.452
blacklist	sortliste	0.133	0.750	0.396
blackmail	afpresse	0.094	0.802	0.482
blackmailer	pengeafpresser	0.092	0.780	0.472
blackness	sorthed	0.260	0.480	0.406
blackout	blackout	0.126	0.530	0.349
blacksmith	grovsmed	0.480	0.531	0.702
bladder	blære	0.406	0.412	0.330
blade	klinge	0.378	0.602	0.594
blame	bebrejde	0.115	0.640	0.309
blameless	uden skyld	0.759	0.196	0.343
bland	kedelig	0.300	0.226	0.157
blank	blank	0.531	0.229	0.250
blanket	tæppe	0.740	0.132	0.391
blare	gjalde	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	blasfemisk	0.210	0.755	0.491
blasphemy	blasfemi	0.146	0.794	0.406
blast	blast	0.167	0.929	0.777
blaster	blaster	0.459	0.538	0.554
blastoff	Affyring	0.357	0.865	0.736
blatant	åbenlys	0.327	0.677	0.675
blather	blather	0.344	0.481	0.382
blaze	blis	0.698	0.467	0.658
blazer	blazer	0.635	0.385	0.417
blazing	flammende	0.594	0.896	0.735
bleach	blege	0.336	0.282	0.337
bleak	dyster	0.204	0.427	0.272
bleed	bløde	0.041	0.843	0.346
bleeder	bløder	0.260	0.852	0.356
bleeding	blødende	0.135	0.817	0.408
bleep	bippe	0.479	0.667	0.345
blemish	skamplet	0.219	0.558	0.272
blemished	beskadigede	0.173	0.469	0.370
blend	blanding	0.469	0.452	0.463
blender	blender	0.602	0.534	0.351
blending	blanding	0.560	0.418	0.637
bless	velsigne	0.929	0.269	0.588
blessed	velsignet	0.910	0.279	0.696
blessing	velsignelse	0.929	0.264	0.800
blessings	velsignelser	0.929	0.361	0.623
bleu	bleu	0.460	0.354	0.379
blight	afsvide	0.271	0.771	0.429
blighted	ødelagt	0.146	0.615	0.296
blimp	luftskib	0.600	0.410	0.532
blind	blind	0.156	0.360	0.184
blinded	blindet	0.245	0.471	0.231
blindfold	bind for øjnene	0.448	0.684	0.337
blindfolded	bind for øjnene	0.208	0.564	0.209
blinding	blændende	0.304	0.596	0.406
blindly	blindt	0.439	0.598	0.278
blindness	blindhed	0.245	0.480	0.196
blink	blinke	0.552	0.316	0.324
blip	blip	0.529	0.461	0.418
bliss	lyksalighed	0.816	0.500	0.782
blissful	salig	0.885	0.639	0.676
blister	vabel	0.407	0.538	0.402
blistering	blærer	0.344	0.569	0.390
blitz	blitz	0.417	0.722	0.789
blizzard	snestorm	0.375	0.726	0.417
bloat	bloat	0.229	0.694	0.298
bloated	oppustet	0.167	0.593	0.424
blob	klat	0.500	0.376	0.298
block	blok	0.286	0.350	0.402
blockade	blokade	0.380	0.519	0.510
blockage	blokering	0.250	0.608	0.444
blockbuster	blockbuster	0.730	0.676	0.883
blockhead	dumrian	0.163	0.333	0.148
blog	blog	0.639	0.390	0.432
bloke	bloke	0.450	0.479	0.545
blond	blond	0.590	0.490	0.490
blonde	blond	0.698	0.545	0.412
blood	blod	0.219	0.684	0.585
bloodbath	blodbad	0.060	0.971	0.475
bloodhound	blodhund	0.327	0.462	0.538
bloodless	ublodig	0.292	0.390	0.212
bloodline	afstamning	0.510	0.657	0.604
bloodshed	blodsudgydelse	0.048	0.942	0.525
bloodshot	blodskudte	0.188	0.810	0.482
bloodstream	blodbanen	0.552	0.530	0.528
bloodthirsty	blodtørstige	0.052	0.804	0.644
bloody	blodig	0.031	0.910	0.518
bloom	flor	0.816	0.453	0.587
bloomers	bloomers	0.521	0.587	0.395
blooming	blomstrende	0.860	0.452	0.593
blossom	blomst	0.792	0.275	0.309
blot	blottet	0.365	0.304	0.223
blotched	blotched	0.133	0.562	0.264
blotter	blotter	0.360	0.298	0.280
blouse	bluse	0.580	0.190	0.302
blow	blæse	0.316	0.750	0.570
blower	blæser	0.564	0.550	0.536
blowfish	blowfish	0.344	0.420	0.389
blowing	blæser	0.521	0.472	0.434
blowjob	blowjob	0.460	0.784	0.387
blown	blæst	0.333	0.548	0.412
blowout	blowout	0.398	0.792	0.616
blowtorch	blæselampe	0.520	0.730	0.510
blubber	spæk	0.388	0.260	0.360
bluddy	bluddy	0.312	0.528	0.442
blue	blå	0.646	0.137	0.291
blue spruce	blå gran	0.559	0.335	0.364
blueberry	blåbær	0.656	0.185	0.365
bluebird	bluebird	0.573	0.350	0.450
bluegrass	bluegrass	0.573	0.441	0.395
bluejay	Bluejay	0.635	0.520	0.310
blueprint	blueprint	0.490	0.173	0.425
blues	blues	0.469	0.220	0.287
bluff	bluff	0.418	0.286	0.377
bluish	blålig	0.604	0.245	0.382
blunder	bommert	0.135	0.635	0.145
blunt	sløv	0.551	0.680	0.925
blur	sløring	0.268	0.471	0.205
blurred	sløret	0.320	0.367	0.231
blurry	sløret	0.059	0.385	0.218
blurt	buse	0.408	0.439	0.441
blush	rødme	0.698	0.610	0.445
blushing	rødmende	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	og sender	0.406	0.500	0.351
board	bestyrelse	0.592	0.255	0.385
board game	brætspil	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	boarding	0.531	0.402	0.534
boardroom	bestyrelseslokale	0.555	0.566	0.661
boards	brædder	0.469	0.270	0.524
boardwalk	boardwalk	0.643	0.481	0.549
boast	prale	0.520	0.586	0.569
boastful	pralende	0.490	0.806	0.695
boasting	pral	0.417	0.620	0.602
boat	båd	0.516	0.420	0.554
boathouse	bådehus	0.592	0.380	0.404
boating	sejlsport	0.638	0.613	0.557
boatload	boatload	0.365	0.415	0.485
boatman	bådfører	0.592	0.573	0.562
bobbin	spolen	0.429	0.472	0.353
bobcat	bobcat	0.562	0.490	0.529
bobsled	bobslæde	0.667	0.613	0.325
bode	bode	0.344	0.406	0.411
bodega	bodega	0.573	0.307	0.398
bodice	overdelen	0.390	0.471	0.386
bodily	fysisk	0.594	0.481	0.557
body	legeme	0.694	0.461	0.571
bodyguard	livvagt	0.510	0.710	0.754
bog	mose	0.302	0.361	0.365
bogey	bogey	0.380	0.519	0.368
bogeyman	skræmmebillede	0.388	0.708	0.517
bogus	fup	0.219	0.353	0.144
bohemian	boheme	0.622	0.500	0.407
boil	koge	0.417	0.684	0.433
boiler	kedel	0.561	0.590	0.509
boilerplate	standardtekst	0.398	0.519	0.387
boiling	kogning	0.302	0.690	0.526
boisterous	larmende	0.385	0.806	0.565
bold	dristig	0.490	0.271	0.483
boldness	dristighed	0.806	0.684	0.814
bollocks	nosser	0.448	0.471	0.327
bolster	styrke	0.708	0.471	0.569
bolt	Bolt	0.354	0.363	0.426
bolus	bolus	0.426	0.491	0.352
bomb	bombe	0.167	0.912	0.750
bombard	bombardere	0.156	0.961	0.777
bombardier	bombardier	0.240	0.863	0.787
bombardment	bombardement	0.146	0.959	0.742
bombed	bombet	0.051	0.851	0.627
bomber	bombefly	0.125	0.837	0.810
bombers	bombefly	0.173	0.920	0.787
bombing	bombardement	0.167	0.963	0.732
bombshell	bombe	0.327	0.868	0.693
bonanza	bonanza	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	bånd	0.667	0.519	0.630
bondage	trældom	0.146	0.705	0.355
bonding	bonding	0.594	0.442	0.509
bonds	obligationer	0.740	0.472	0.583
bondsman	bondsman	0.469	0.497	0.675
bone	knogle	0.337	0.370	0.413
bonehead	bonehead	0.337	0.521	0.518
boner	boner	0.344	0.612	0.393
bones	knogler	0.281	0.343	0.358
bonfire	bål	0.480	0.719	0.473
bong	bong	0.333	0.566	0.375
bonkers	skrupskør	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	motorhjelm	0.406	0.509	0.473
bonny	bonny	0.561	0.404	0.444
bonsai	bonsai	0.714	0.235	0.375
bonus	bonus	0.857	0.620	0.682
bony	knoklet	0.445	0.462	0.330
boo	bøh	0.153	0.676	0.309
boob	Boob	0.694	0.600	0.392
booby	booby	0.396	0.423	0.185
booger	booger	0.399	0.537	0.427
boogeyman	Boogeyman	0.292	0.559	0.567
boogie	boogie	0.590	0.543	0.400
book	Bestil	0.802	0.210	0.606
bookcase	reol	0.553	0.221	0.490
bookie	bookmaker	0.344	0.633	0.618
booking	booking	0.708	0.503	0.583
bookish	boglig	0.604	0.236	0.430
bookkeeper	bogholder	0.480	0.363	0.468
bookkeeping	bogføring	0.520	0.214	0.592
booklet	brochure	0.510	0.270	0.351
bookmaker	bookmaker	0.583	0.804	0.633
bookmark	bogmærke	0.543	0.441	0.415
books	bøger	0.729	0.115	0.430
bookseller	boghandler	0.583	0.317	0.456
bookshop	boghandel	0.688	0.291	0.389
bookstore	boghandel	0.771	0.180	0.503
bookworm	bogorm	0.563	0.337	0.316
boom	boom	0.604	0.655	0.731
boomer	boomer	0.480	0.539	0.441
boomerang	boomerang	0.531	0.625	0.500
booming	blomstrende	0.688	0.554	0.661
boon	velsignelse	0.878	0.294	0.642
boooo	NO TRANSLATION	0.271	0.549	0.255
boost	løft	0.865	0.730	0.750
booster	booster	0.755	0.600	0.800
boot	støvle	0.438	0.650	0.625
booth	kabine	0.531	0.400	0.310
bootleg	piratkopi	0.357	0.519	0.466
bootlegger	bootlegger	0.354	0.649	0.541
boots	støvler	0.602	0.255	0.350
booty	bytte	0.663	0.587	0.784
booze	sprut	0.265	0.745	0.431
bop	bop	0.429	0.490	0.426
bopper	Bopper	0.398	0.530	0.385
border	grænse	0.406	0.382	0.424
bordering	grænser	0.643	0.382	0.438
borderline	borderline	0.449	0.520	0.490
bore	bore	0.417	0.440	0.455
boreal	boreal	0.582	0.348	0.400
bored	keder sig	0.153	0.167	0.196
boredom	kedsomhed	0.167	0.139	0.255
borer	borer	0.302	0.549	0.578
boring	kedelig	0.194	0.217	0.125
born	Født	0.865	0.509	0.591
boron	bor	0.441	0.370	0.375
borough	købstad	0.429	0.343	0.380
borrow	låne	0.398	0.573	0.282
borrower	låntager	0.439	0.423	0.763
bosom	barm	0.612	0.588	0.404
boss	chef	0.310	0.627	0.954
bossy	kommanderende	0.240	0.824	0.750
boston	boston	0.643	0.380	0.580
botanical	botanisk	0.660	0.259	0.491
botanist	botaniker	0.651	0.240	0.456
botany	botanik	0.604	0.201	0.500
bother	forstyrre	0.208	0.780	0.370
bothering	generer	0.208	0.764	0.449
bottle	flaske	0.469	0.236	0.336
bottleneck	flaskehals	0.284	0.471	0.287
bottling	aftapning	0.365	0.333	0.370
bottom	bund	0.417	0.370	0.291
bottomless	bundløs	0.310	0.470	0.368
botulism	botulisme	0.292	0.575	0.386
boulder	kampesten	0.461	0.309	0.531
bounce	bounce	0.375	0.633	0.386
bouncer	udsmider	0.490	0.653	0.655
bouncy	hoppende	0.562	0.565	0.429
bound	bundet	0.417	0.667	0.310
boundary	grænse	0.561	0.427	0.518
boundless	grænseløs	0.684	0.642	0.652
bounds	bounds	0.378	0.426	0.604
bountiful	sprudlende	0.854	0.596	0.759
bounty	dusør	0.760	0.755	0.833
bouquet	buket	0.724	0.352	0.306
bourbon	bourbon	0.602	0.490	0.517
bourgeois	borgerlig	0.439	0.593	0.682
bourgeoisie	borgerskabet	0.357	0.417	0.767
bourse	bourse	0.530	0.230	0.336
bout	Bout	0.208	0.808	0.679
boutique	boutique	0.745	0.490	0.441
bouttime	NO TRANSLATION	0.588	0.373	0.410
bovine	kvæg	0.449	0.255	0.353
bow	sløjfe	0.530	0.306	0.408
bowed	bøjede	0.410	0.418	0.368
bowel	tarm	0.306	0.417	0.391
bowels	tarme	0.194	0.448	0.362
bowl	skål	0.625	0.377	0.358
bowler	bowler	0.552	0.633	0.481
bowling	bowling	0.656	0.431	0.309
bowls	skåle	0.551	0.280	0.277
box	boks	0.500	0.179	0.312
boxcar	boxcar	0.420	0.469	0.421
boxer	bokser	0.490	0.810	0.802
boxers	boksere	0.375	0.880	0.654
boxing	boksning	0.427	0.854	0.645
boy	dreng	0.646	0.392	0.445
boycott	boykot	0.112	0.690	0.505
boyfriend	kæreste	0.781	0.604	0.547
boyhood	drengeår	0.729	0.745	0.500
boyish	drenget	0.698	0.562	0.462
boysenberry	boysenberry	0.646	0.409	0.475
bozo	bozo	0.388	0.364	0.298
bra	bh	0.672	0.529	0.509
brace	tandbøjle	0.610	0.385	0.364
bracelet	armbånd	0.776	0.340	0.322
braces	seler	0.500	0.337	0.568
brachial	brachialis	0.388	0.363	0.464
bracket	beslag	0.490	0.350	0.682
brackets	beslag	0.573	0.281	0.435
brackish	brakvand	0.469	0.368	0.421
brad	brad	0.490	0.385	0.402
brag	prale	0.347	0.545	0.578
braid	fletning	0.427	0.222	0.216
brain	hjerne	0.667	0.441	0.823
brainless	hjernedøde	0.138	0.310	0.224
brains	hjerner	0.663	0.557	0.722
brainstorm	brainstorm	0.794	0.784	0.636
brainwash	hjernevaske	0.198	0.647	0.481
brainy	hjernemæssig	0.708	0.520	0.648
brake	bremse	0.312	0.481	0.310
bran	klid	0.688	0.433	0.483
branch	afdeling	0.538	0.206	0.250
branching	forgrening	0.520	0.422	0.472
brand	mærke	0.562	0.284	0.547
brandy	brandy	0.600	0.590	0.487
brash	pågående	0.360	0.814	0.552
brass	messing	0.500	0.320	0.490
brass knuckle	messingknæk	0.406	0.449	0.518
brassiere	brystholder	0.510	0.469	0.336
brat	møgunge	0.312	0.440	0.231
bratwurst	bratwurst	0.510	0.490	0.464
bravado	bravado	0.479	0.510	0.527
brave	modig	0.837	0.750	0.917
bravery	tapperhed	0.898	0.745	0.868
brawl	slagsmål	0.104	0.938	0.603
brawn	råstyrke	0.438	0.402	0.544
brazen	fræk	0.292	0.640	0.518
breach	brud	0.177	0.745	0.423
bread	brød	0.660	0.314	0.342
breadth	bredde	0.667	0.490	0.644
break	pause	0.610	0.265	0.370
breakable	skør	0.194	0.667	0.408
breakaway	udbrydergruppe	0.479	0.802	0.519
breakdown	sammenbrud	0.365	0.423	0.361
breaker	breaker	0.323	0.527	0.520
breakers	breakers	0.469	0.588	0.439
breakfast	morgenmad	0.885	0.330	0.429
breaking and entering	bryde og komme ind	0.418	0.729	0.500
breakingnews	seneste nyt	0.500	0.552	0.607
breakneck	halsbrækkende	0.254	0.833	0.604
breakthrough	bryde igennem	0.680	0.525	0.718
breakup	slå op	0.250	0.720	0.357
breast	bryst	0.753	0.429	0.500
breath	åndedrag	0.684	0.392	0.451
breathe	træk vejret	0.833	0.373	0.518
breather	åndehuller	0.624	0.471	0.388
breathless	åndeløs	0.323	0.490	0.222
breathtaking	betagende	0.936	0.792	0.921
breech	bundstykket	0.500	0.637	0.422
breeches	knickers	0.365	0.457	0.333
breed	race	0.490	0.441	0.578
breeder	opdrætter	0.645	0.481	0.605
breeding	avl	0.667	0.481	0.610
breeze	brise	0.837	0.284	0.370
breezy	breezy	0.531	0.472	0.482
brethren	brødre	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	kortfattethed	0.459	0.434	0.375
brew	brygge	0.740	0.538	0.758
brewery	bryggeri	0.710	0.622	0.510
brewing	brygning	0.740	0.593	0.609
briar	briar	0.493	0.375	0.407
bribe	bestikke	0.112	0.690	0.472
bribery	bestikkelse	0.135	0.775	0.585
brick	mursten	0.217	0.418	0.368
bridal	brude	0.823	0.655	0.596
bride	brud	0.840	0.708	0.579
bridegroom	Brudgom	0.809	0.736	0.527
bridesmaid	brudepige	0.748	0.519	0.618
bridge	bro	0.625	0.324	0.519
bridle	hovedtøj	0.427	0.367	0.386
brief	kort	0.469	0.300	0.279
briefcase	mappe	0.542	0.206	0.442
briefing	briefing	0.612	0.333	0.702
briefly	kort	0.686	0.314	0.330
brig	brig	0.573	0.539	0.500
brigade	brigade	0.604	0.710	0.828
bright	lyse	0.890	0.527	0.812
brighten	lysne	0.760	0.547	0.649
brightens	lysere	0.771	0.611	0.613
brighter	lysere	0.918	0.698	0.833
brightness	lysstyrke	0.938	0.623	0.660
brilliance	glans	0.990	0.673	0.830
brilliant	strålende	0.939	0.575	0.923
brim	skygge	0.469	0.333	0.330
brimming	fyldt	0.656	0.690	0.758
brimstone	svovl	0.357	0.520	0.440
brine	saltvand	0.333	0.481	0.361
bring	tage med	0.635	0.460	0.462
brink	randen	0.375	0.413	0.356
brisk	rask	0.719	0.745	0.742
brisket	spidsbryst	0.552	0.378	0.222
bristle	stritter	0.375	0.375	0.326
brittle	skør	0.276	0.490	0.272
bro	brormand	0.794	0.349	0.684
broach	broach	0.438	0.439	0.675
broad	bred	0.762	0.365	0.637
broadcast	udsende	0.615	0.587	0.355
broadcasting	udsendelse	0.542	0.700	0.706
