Word	Malayalam-ml	Valence	Arousal	Dominance
cabin	ചെറിയമുറി	0.643	0.292	0.430
cabinet	കാബിനറ്റ്	0.552	0.306	0.465
cable	കേബിൾ	0.583	0.245	0.434
caboodle	caboodle	0.529	0.521	0.325
caboose	caboose	0.440	0.453	0.438
cabriolet	ഗബ്രിയേൽ	0.667	0.525	0.472
cache	കാഷെ	0.552	0.348	0.389
cacophony	കടലാസ്	0.408	0.562	0.440
cactus	കള്ളിച്ചെടി	0.439	0.412	0.284
cad	കാഡ്	0.447	0.406	0.404
cadaver	വഞ്ചകൻ	0.030	0.690	0.260
caddie	NO TRANSLATION	0.521	0.435	0.259
caddy	കാഡി	0.580	0.470	0.380
cadence	ശ്രദ്ധിക്കുക	0.427	0.473	0.355
cadet	കേഡറ്റ്	0.504	0.393	0.664
cafe	കഫേ	0.781	0.392	0.358
cafeteria	കഫറ്റീരിയ	0.757	0.400	0.382
caffeine	കഫീൻ	0.562	0.759	0.500
cage	കൂട്ടിൽ	0.316	0.333	0.352
cagey	വൃത്തികെട്ട	0.542	0.363	0.582
cahoots	കാത്ത്	0.312	0.696	0.474
cairn	കെയിൻ	0.260	0.435	0.254
cake	കേക്ക്	0.810	0.375	0.287
cakewalk	കാവ്വാക്ക്	0.719	0.510	0.447
calamari	കലമിയ	0.521	0.312	0.406
calamitous	അപകടം	0.219	0.685	0.500
calamity	ദുരന്തം	0.122	0.795	0.343
calcareous	വർഗത്തിൽപ്പെട്ട	0.490	0.368	0.462
calcium	കാൽസ്യം	0.600	0.346	0.479
calculate	കണക്കുകൂട്ടുക	0.490	0.452	0.440
calculated	കണക്കാക്കിയത്	0.633	0.425	0.683
calculating	കണക്കുകൂട്ടുന്നു	0.458	0.430	0.625
calculation	കണക്കുകൂട്ടല്	0.646	0.453	0.606
calculator	കാൽക്കുലേറ്റർ	0.513	0.283	0.588
calculus	കാൽക്കുലസ്	0.360	0.360	0.562
calendar	കലണ്ടർ	0.480	0.212	0.473
calender	NO TRANSLATION	0.531	0.275	0.451
calf	കാളക്കുട്ടിയെ	0.531	0.366	0.336
caliber	കാലിബർ	0.429	0.551	0.606
calibrate	കാലിബ്രേറ്റ് ചെയ്യുക	0.552	0.460	0.623
calico	കാലിക്കോ	0.406	0.338	0.491
calipers	കാലിപ്പകർപ്പുകൾ	0.480	0.510	0.481
calisthenics	കാളിസ്തെനിക്സ്	0.562	0.663	0.545
call	വിളി	0.594	0.627	0.558
callback	തിരിച്ചു വിളിക്കുക	0.524	0.529	0.434
caller	കോളർ	0.646	0.615	0.472
calligraphy	കാലിഗ്രാഫി	0.620	0.216	0.500
calling	വിളിക്കുന്നു	0.646	0.590	0.483
callous	കാപട്യമാണ്	0.245	0.500	0.386
calls	കോളുകൾ	0.608	0.431	0.551
calm	ശാന്തം	0.875	0.100	0.282
calming	ശമിപ്പിക്കൽ	0.885	0.105	0.360
calmness	ശാന്തത	0.934	0.105	0.394
caloric	കലോറിക്	0.327	0.483	0.448
calorie	കലോറി	0.333	0.540	0.427
calorimeter	കലോറിമേറ്റർ	0.406	0.560	0.414
cam	കാമുകൻ	0.448	0.363	0.355
camaraderie	കാമറാഡി	0.833	0.510	0.648
camber	മരപ്പണി	0.430	0.382	0.439
camcorder	ക്യാംകോർഡർ	0.556	0.422	0.454
camel	ഒട്ടകം	0.540	0.282	0.314
cameo	കമി	0.573	0.457	0.509
camera	ക്യാമറ	0.640	0.288	0.379
cameraman	ക്യാമറ	0.542	0.452	0.542
camisole	camisole	0.497	0.250	0.375
camouflage	പകവീട്ടുക	0.438	0.585	0.450
camouflaged	NO TRANSLATION	0.350	0.422	0.562
camp	ക്യാമ്പ്	0.622	0.617	0.594
campaign	കാമ്പെയ്ൻ	0.602	0.730	0.823
campaigner	കാമ്പയിൻ	0.592	0.698	0.821
campaigning	പ്രചാരണം	0.531	0.663	0.741
camper	ക്യാമ്പർ	0.573	0.529	0.482
campfire	ക്യാമ്പ് ഫയർ	0.677	0.509	0.436
camping	ക്യാമ്പിംഗ്	0.653	0.529	0.480
campsite	ക്യാമ്പ്സൈറ്റ്	0.680	0.490	0.547
campus	കാമ്പസ്	0.604	0.388	0.519
can	കഴിയും	0.662	0.360	0.454
can opener	തുറക്കാൻ കഴിയും	0.444	0.491	0.308
canal	കനാൽ	0.673	0.259	0.321
canary	കാനറി	0.582	0.276	0.265
cancel	റദ്ദാക്കുക	0.214	0.306	0.368
canceling	റദ്ദാക്കൽ	0.229	0.470	0.349
cancellation	റദ്ദാക്കൽ	0.224	0.431	0.389
cancer	അർബുദം	0.052	0.694	0.529
candid	നിസ്സംഗത	0.667	0.349	0.458
candidacy	സ്ഥാനാർത്ഥി	0.490	0.657	0.696
candidate	കാൻഡിഡേറ്റ്	0.596	0.490	0.804
candied	കാൻഡിഡേറ്റ് ചെയ്തു	0.713	0.330	0.360
candle	മെഴുകുതിരി	0.602	0.221	0.344
candlelight	മെഴുകുതിരി വെളിച്ചം	0.789	0.294	0.417
candles	മെഴുകുതിരികൾ	0.615	0.206	0.268
candlestick	മെഴുകുതിരി	0.448	0.531	0.534
candor	സുന്ദരി	0.740	0.389	0.607
candy	കാൻഡി	0.930	0.425	0.384
cane	ചൂരല് വടി	0.459	0.298	0.398
canine	പരുപ്പ്	0.573	0.569	0.425
canister	കാസ്റ്റിംഗ്	0.553	0.271	0.403
canker	കാൻസർ	0.262	0.469	0.427
cannabis	കഞ്ചാവ്	0.271	0.500	0.564
canned	ടിന്നിലടച്ച	0.398	0.357	0.298
cannibal	കാൻബാബൽ	0.122	0.824	0.480
cannibalism	നരകം	0.094	0.890	0.583
canning	കാനിംഗ്	0.490	0.392	0.259
cannon	പീരങ്കി	0.529	0.676	0.811
cannonball	പീരങ്കി	0.344	0.840	0.759
canoe	കനോ	0.542	0.300	0.418
canon	കാനോൻ	0.385	0.519	0.541
canonical	കാനോനിക്കൽ	0.542	0.410	0.620
canons	കനണുകൾ	0.385	0.588	0.593
canopy	മേലാപ്പ്	0.615	0.264	0.398
cantaloupe	കാന്റലൂപ്പ്	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	കാന്റീൻ	0.688	0.600	0.514
canterbury	കാന്റർബറി	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	കാൻറ്റൈൽവർ	0.357	0.618	0.421
cantina	കാൻഡിന	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	കന്റോൺ	0.542	0.472	0.536
cantstandit	NO TRANSLATION	0.418	0.546	0.343
cantwin	കാറ്റ്വിൻ	0.260	0.509	0.298
canvas	കാൻവാസുകൾ	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	കാൻവാസൻ	0.468	0.731	0.634
cap	തൊപ്പി	0.612	0.240	0.375
capability	കഴിവ്	0.833	0.571	0.730
capable	ശേഷി	0.765	0.587	0.547
capacity	ശേഷി	0.719	0.411	0.806
cape	കേപ്പ്	0.531	0.235	0.357
caper	കപ്പ്	0.510	0.370	0.326
capillary	കാൻസിലറി	0.469	0.365	0.395
capital	മൂലധനം	0.520	0.500	0.798
capitalism	മുതലാളിത്തം	0.448	0.686	0.848
capitalist	മുതലാളി	0.352	0.577	0.821
capitalize	മുതലെടുക്കുക	0.771	0.601	0.885
capitals	തലസ്ഥാനങ്ങൾ	0.755	0.500	0.655
capitation	കാപ്പിറ്റൽ	0.479	0.529	0.589
capitol	കാപിറ്റോൾ	0.535	0.375	0.705
capitulation	കീഴടങ്ങൽ	0.375	0.546	0.615
cappuccino	കാപ്പക്കുനോ	0.792	0.279	0.384
caprice	കാപ്രിസ്	0.333	0.640	0.430
capricious	കാപ്രിക്കോസ്	0.221	0.650	0.500
caps	ക്യാപ്സ്	0.510	0.221	0.368
capslock	വലിയക്ഷരം	0.330	0.394	0.398
capsule	കാപ്സ്യൂൾ	0.583	0.290	0.570
captain	ക്യാപ്റ്റൻ	0.552	0.653	0.966
caption	അടിക്കുറിപ്പ്	0.814	0.292	0.379
captivate	പിടിക്കുക	0.698	0.604	0.723
captivating	ആകർഷണീയമായ	0.895	0.594	0.816
captive	തടവുകാരൻ	0.235	0.558	0.411
captivity	അടിമത്തം	0.225	0.493	0.387
captor	ക്യാപ്റ്റർ	0.347	0.625	0.612
capture	പിടിച്ചെടുക്കുക	0.357	0.650	0.537
car	കാർ	0.776	0.540	0.500
caramel	വഴുതന	0.901	0.363	0.400
carat	കാരറ്റ്	0.823	0.604	0.676
caravan	കാരവൻ	0.635	0.559	0.455
carbon	കാർബൺ	0.604	0.360	0.350
carburetor	കാർബറേറ്റർ	0.469	0.612	0.555
carcass	മൃതദേഹം	0.115	0.529	0.309
carcinoma	അർബുദം	0.153	0.692	0.440
card	കാർഡ്	0.531	0.269	0.436
cardboard	കാർഡ്ബോർഡ്	0.500	0.173	0.309
cardiac	ഹൃദയാഘാതം	0.344	0.765	0.615
cardigan	cardigan	0.599	0.324	0.264
cardinal	കർദിനാൾ	0.583	0.358	0.712
cardiologist	കാർഡിയോളജിസ്റ്റ്	0.458	0.630	0.814
cardiology	കാർഡിയോളജി	0.203	0.545	0.605
cardiomyopathy	കാർഡിമോമിയോ ചികിത്സ	0.177	0.645	0.537
cards	കാർഡുകൾ	0.568	0.317	0.320
care	കെയർ	0.729	0.370	0.500
career	ജീവിതം	0.740	0.712	0.606
carefree	ഉറക്കമില്ലായ്മ	0.755	0.220	0.500
careful	ശ്രദ്ധിക്കുക	0.625	0.538	0.530
carefully	ശ്രദ്ധാപൂർവ്വം	0.698	0.330	0.544
careless	അശ്രദ്ധ	0.255	0.431	0.125
carelessness	അശ്രദ്ധ	0.245	0.482	0.330
caress	ആലിംഗനം	0.833	0.418	0.509
caret	ശ്രദ്ധിക്കുക	0.656	0.402	0.527
caretaker	കെയർ ടക്കർ	0.714	0.531	0.759
cargo	കാർഗോ	0.408	0.444	0.455
caribou	കരിബൗ	0.562	0.452	0.342
caricature	നർമ്മം	0.604	0.373	0.383
caries	ഉത്പന്നങ്ങൾ	0.115	0.569	0.283
caring	ശ്രദ്ധിക്കുക	0.635	0.469	0.500
carjack	കാർജാക്ക്	0.438	0.682	0.439
carnage	കൂട്ടക്കൊല	0.406	0.600	0.558
carnal	ജഡിക	0.417	0.679	0.421
carnation	കാർണേഷൻ	0.653	0.357	0.431
carnival	കാർണിവൽ	0.927	0.888	0.555
carnivorous	മാംസഭോജിയായ	0.224	0.613	0.651
carol	കരോൾ	0.673	0.412	0.436
carols	കരോൾ	0.847	0.420	0.491
carousel	കറൗസൽ	0.704	0.500	0.412
carp	കരിമീൻ	0.531	0.324	0.375
carpal	കാർപൽ	0.449	0.327	0.420
carpenter	ആശാരി	0.521	0.550	0.519
carpentry	മരപ്പണി	0.561	0.459	0.518
carpet	പരവതാനി	0.520	0.170	0.339
carpeting	കാർപെട്ടിംഗ്	0.542	0.312	0.444
carpool	കാർപൂൾ	0.625	0.509	0.500
carriage	വണ്ടി	0.650	0.538	0.491
carried	വഹിച്ചു	0.490	0.382	0.534
carrier	കാരിയർ	0.533	0.588	0.638
carrot	കാരറ്റ്	0.500	0.235	0.279
carry	വഹിക്കുക	0.635	0.380	0.500
carrying	ചുമക്കുന്നു	0.656	0.557	0.443
carsick	carsick	0.224	0.574	0.255
cart	കാർട്ട്	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	കാർട്ടൽ	0.438	0.394	0.602
carter	കാർട്ടർ	0.312	0.480	0.431
cartilage	തരുണാസ്ഥി	0.438	0.370	0.407
cartographic	കാർട്ടോഗ്രാഫിക്	0.490	0.348	0.424
cartography	കാർട്ടോഗ്രാഫി	0.520	0.300	0.579
carton	കാർടൺ	0.286	0.186	0.241
cartoon	ഹാസചിതം	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	വഞ്ചി	0.458	0.500	0.407
carve	കൊയ്തെടുക്കുക	0.469	0.443	0.598
carver	കർവർ	0.418	0.500	0.500
carving	കൊത്തുപണി	0.541	0.444	0.368
cascade	കാസ്കേഡ്	0.735	0.509	0.395
case	കേസ്	0.427	0.275	0.441
casein	കസിൻ	0.470	0.436	0.415
cash	പണം	0.867	0.552	0.714
cashier	കാഷ്യയർ	0.615	0.413	0.484
cashmere	കശ്മീരി	0.653	0.452	0.439
casing	കേസിംഗ്	0.458	0.327	0.328
casino	കാസിനോ	0.542	0.684	0.568
cask	cask	0.490	0.398	0.444
casket	കോസ്കറ്റ്	0.125	0.490	0.346
casserole	കാസറോൾ	0.570	0.360	0.328
cassette	കാസറ്റ്	0.490	0.334	0.355
cast	കാസ്റ്റുചെയ്യുക	0.558	0.620	0.517
castaway	ദുരുപയോഗപ്പെടുത്തുക	0.208	0.646	0.422
caste	ജാതി	0.510	0.333	0.374
caster	കാസ്റ്റർ	0.604	0.670	0.647
castle	കോട്ട	0.680	0.396	0.718
castor	കാസ്റ്റർ	0.583	0.337	0.368
castrate	കാസ്റ്റേറ്റ്	0.177	0.485	0.519
castration	കാസ്ട്രേഷൻ	0.198	0.735	0.381
casual	കാഷ്വൽ	0.643	0.224	0.385
casually	സാമാന്യം	0.658	0.290	0.333
casualty	അപകടസാധ്യത	0.235	0.274	0.132
cat	പൂച്ച	0.667	0.260	0.370
catabolism	കാറ്റാബലിസം	0.265	0.573	0.605
catalog	കാറ്റലോഗ്	0.561	0.221	0.573
catalogue	കാറ്റലോഗ്	0.647	0.327	0.533
catalysis	തിളക്കം	0.385	0.559	0.531
catalyst	രാസപ്രവർത്തകൻ	0.604	0.509	0.585
catalytic	catalytic	0.562	0.519	0.563
catamaran	കട്ടമരൻ	0.571	0.566	0.526
catapult	പൂച്ച	0.480	0.830	0.649
cataract	തിമിരം	0.406	0.545	0.549
catastrophe	ദുരന്തം	0.146	0.952	0.670
catastrophic	വിനാശകരമായ	0.071	0.934	0.598
catatonic	കറ്റതോണിക്ക്	0.255	0.500	0.509
catch	പിടിക്കുക	0.531	0.437	0.552
catcher	ക്യാച്ചർ	0.653	0.413	0.540
catching	പിടിക്കുന്നു	0.490	0.788	0.644
catchphrase	catchphrase	0.698	0.423	0.433
catchy	ആകർഷണീയമായ	0.677	0.441	0.462
catechism	മതവിദ്വേഷം	0.656	0.236	0.613
categorical	ഗൌരവമായ	0.615	0.442	0.760
category	വിഭാഗം	0.571	0.264	0.521
cater	തീർന്നിരിക്കുന്നു	0.802	0.500	0.509
caterer	ഭക്ഷണശാല	0.550	0.557	0.644
caterpillar	കാറ്റർപില്ലർ	0.461	0.286	0.330
cates	കേറ്റ്സ്	0.370	0.394	0.407
catfish	മുഴു മത്സ്യം	0.458	0.337	0.296
cathartic	കത്തോലിക്കാ	0.450	0.510	0.604
cathedral	കത്തീഡ്രൽ	0.598	0.330	0.643
catheter	കാഥേറ്റർ	0.336	0.491	0.373
catholic	കാത്തോലിക്	0.646	0.240	0.575
cathouse	cathouse	0.327	0.375	0.363
catnip	catnip	0.439	0.381	0.296
cattle	കന്നുകാലി	0.622	0.340	0.445
catwalk	ക്യാറ്റ്വാക്ക്	0.698	0.436	0.464
caucus	കോക്കസ്	0.418	0.311	0.491
caudal	വട്ട	0.500	0.425	0.583
cauldron	കോൾഡ്രൺ	0.510	0.486	0.418
cauliflower	കോളിഫ്ലവർ	0.448	0.255	0.231
caulk	caulk	0.367	0.500	0.418
causal	കാരണമാകുക	0.562	0.367	0.491
causality	കാരണവും	0.500	0.378	0.336
causation	കാരണം	0.562	0.480	0.567
cause	കാരണം	0.469	0.373	0.486
caused	മൂലമുണ്ടാകുന്ന	0.344	0.520	0.382
causeway	വഴി	0.453	0.382	0.422
caution	ജാഗ്രത	0.552	0.712	0.547
cautionary	മുൻകരുതൽ	0.510	0.541	0.519
cautious	ശ്രദ്ധിക്കുക	0.470	0.445	0.517
cautiously	ജാഗ്രതയോടെ	0.510	0.388	0.525
cavalier	കുതിരപ്പട	0.735	0.462	0.713
cavalry	കുതിരപ്പട	0.667	0.727	0.794
cave	ഗുഹ	0.459	0.333	0.380
caveat	മുന്നറിയിപ്പ്	0.344	0.629	0.484
caveman	കേവ്മാൻ	0.235	0.644	0.482
cavern	ഗോവർ	0.323	0.360	0.365
cavernous	കരിങ്കല്ല്	0.354	0.548	0.462
caviar	കാവിയാർ	0.906	0.394	0.481
caving	caving	0.378	0.491	0.551
cavity	പോട്	0.466	0.385	0.379
cayenne	കായൽ	0.615	0.306	0.355
cease	ഇല്ലാതാകുക	0.388	0.250	0.420
ceasefire	വെടിനിർത്തൽ	0.542	0.594	0.567
ceaseless	നിർത്താതെ	0.378	0.704	0.658
cedar	ദേവദാരു	0.560	0.267	0.577
cede	ഹാജരാക്കണം	0.275	0.327	0.402
ceiling	പരിധി	0.520	0.224	0.366
celebrant	സെലിബ്രൻറ്	0.865	0.656	0.643
celebrate	ആഘോഷിക്കാൻ	0.917	0.857	0.859
celebrated	ആഘോഷിച്ചു	0.875	0.690	0.763
celebrating	ആഘോഷിക്കുന്നു	0.927	0.860	0.773
celebration	ആഘോഷം	0.939	0.824	0.880
celebrations	ആഘോഷങ്ങൾ	0.958	0.794	0.714
celebratory	ആഘോഷം	0.857	0.653	0.845
celebrity	സെലിബ്രിറ്റി	0.760	0.619	0.855
celery	മുള്ളങ്കി	0.396	0.147	0.223
celestial	ആകാശം	0.817	0.360	0.731
celibacy	ബ്രഹ്മചര്യം	0.302	0.276	0.509
celibate	ബ്രഹ്മചര്യം	0.419	0.387	0.391
cell	സെൽ	0.541	0.375	0.465
cellar	പറയിൻ	0.510	0.277	0.406
cellblock	സെൽബ്ലോക്ക്	0.186	0.570	0.500
cellist	സെലിസ്റ്റ്	0.667	0.500	0.486
cellmate	സെൽമാറ്റ്	0.167	0.684	0.349
cello	സെല്ലോ	0.635	0.324	0.528
cellophane	cellophane	0.648	0.282	0.289
cellular	സെല്ലുലാർ	0.643	0.398	0.517
cellulite	സെല്ലുലൈറ്റ്	0.200	0.384	0.256
celluloid	സെല്ലുലോയ്ഡ്	0.469	0.440	0.425
cement	സിമന്റ്	0.544	0.265	0.527
cemented	ഉറപ്പിച്ചു	0.429	0.382	0.537
cemetery	ശ്മശാനം	0.051	0.630	0.417
censor	സെൻസർ	0.344	0.276	0.538
censorship	സെൻസർഷിപ്പ്	0.219	0.698	0.421
censure	ശാസിക്കുക	0.219	0.653	0.417
census	കാനേഷുമാരി	0.449	0.289	0.553
cent	ശതമാനം	0.439	0.367	0.402
centenary	ശതാബ്ദി	0.604	0.440	0.642
centennial	നൂറ്റാണ്ട്	0.583	0.394	0.700
center	കേന്ദ്രം	0.643	0.231	0.431
centerfold	കേന്ദ്രം	0.571	0.407	0.485
centerpiece	കേന്ദ്രം	0.594	0.208	0.520
centimeter	സെന്റീമീറ്റർ	0.427	0.280	0.380
centipede	സെന്റീപിഡെ	0.296	0.399	0.361
central	കേന്ദ്ര	0.640	0.356	0.621
centrality	കേന്ദ്രം	0.571	0.312	0.709
centralization	കേന്ദ്രീകരണം	0.521	0.440	0.702
centralize	കേന്ദ്രീകൃതമാക്കുക	0.684	0.427	0.802
centrally	കേന്ദ്രത്തിൽ	0.729	0.280	0.700
centrifugal	അപകേന്ദ്രം	0.306	0.651	0.480
centrifuge	സെന്റീഫ്യൂജ്	0.495	0.622	0.527
centurion	സെഞ്ചൂറിയൻ	0.590	0.447	0.696
century	നൂറ്റാണ്ട്	0.407	0.347	0.735
ceramic	സെറാമിക്	0.521	0.255	0.371
ceramics	സെറാമിക്സ്	0.573	0.250	0.373
cereal	ധാന്യ	0.612	0.206	0.316
cereals	ധാന്യങ്ങൾ	0.719	0.224	0.311
cerebral	സെറിബ്രൽ	0.408	0.509	0.627
ceremonial	ആചാരപരമായ	0.771	0.540	0.691
ceremony	ചടങ്ങ്	0.760	0.559	0.761
certain	ചിലത്	0.760	0.358	0.673
certainty	ഉറപ്പാണ്	0.781	0.400	0.769
certifiable	certifiable	0.714	0.427	0.662
certificate	സർട്ടിഫിക്കറ്റ്	0.786	0.377	0.746
certified	സർട്ടിഫൈഡ്	0.781	0.422	0.806
certify	സാക്ഷ്യപ്പെടുത്തൂ	0.866	0.400	0.746
cervical	ഗർഭാശയത്തിലുള്ള	0.375	0.413	0.445
cervix	സെർവിക്സ്	0.429	0.360	0.340
cess	സെസ്സ്	0.427	0.375	0.406
cessation	നിർത്തലാക്കൽ	0.414	0.385	0.358
cesspool	സെസ്പുൾ	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	ചോക്കലേറ്റ്	0.333	0.327	0.188
chafing	ചെവി	0.430	0.415	0.368
chagrin	chagrin	0.104	0.704	0.472
chagrined	ചിറീകരിച്ചു	0.112	0.745	0.361
chai	ചായ്	0.500	0.375	0.363
chain	ചങ്ങല	0.378	0.500	0.547
chainsaw	ചങ്ങല	0.367	0.804	0.636
chair	കസേര	0.562	0.082	0.276
chairman	ചെയർമാൻ	0.656	0.567	0.933
chairperson	ചെയർപേഴ്സൺ	0.730	0.657	0.966
chairwoman	ചെയർപേൺ	0.719	0.664	0.953
chaise	ചായ്	0.406	0.349	0.327
chalet	ചാളറ്റ്	0.653	0.349	0.278
chalice	ചാളീസ്	0.633	0.286	0.529
chalk	ചോക്ക്	0.385	0.185	0.121
challenge	വെല്ലുവിളി	0.469	0.922	0.713
challenger	ചലഞ്ച്	0.417	0.755	0.652
chamber	ചേമ്പർ	0.583	0.373	0.455
chambermaid	ചാംമ്പ്ലെയിഡ്	0.594	0.375	0.336
chambers	അറകൾ	0.542	0.442	0.388
chameleon	ഓമല്ലോ	0.490	0.580	0.345
champ	ചാം	0.854	0.754	0.896
champagne	ഷാംപെയിൻ	0.760	0.600	0.454
champion	ചാമ്പ്യൻ	0.890	0.880	0.945
championship	ചാമ്പ്യൻഷിപ്പ്	0.833	0.800	0.880
chance	അവസരം	0.833	0.551	0.525
chancellor	ചാൻസലർ	0.646	0.500	0.887
chandelier	ചാൻഡലിജർ	0.615	0.542	0.366
chandler	ചാൻഡലർ	0.510	0.452	0.454
change	മാറ്റം	0.625	0.575	0.606
changeable	മാറ്റാവുന്ന	0.490	0.480	0.528
changed	മാറി	0.594	0.375	0.491
changer	മാറ്റം വരുത്തുക	0.583	0.519	0.567
changing	മാറ്റുന്നതിൽ	0.571	0.569	0.461
channel	ചാനൽ	0.490	0.287	0.405
chant	ഗാനം	0.771	0.698	0.650
chaos	കുഴപ്പം	0.016	0.923	0.373
chaotic	കുഴപ്പമില്ല	0.115	0.847	0.442
chap	chap	0.550	0.410	0.345
chapel	ചാപ്പൽ	0.573	0.240	0.440
chaperon	chaperon	0.500	0.520	0.404
chaplain	ചാപ്ലിൻ	0.582	0.370	0.577
chapman	ചാപ്മാൻ	0.562	0.529	0.465
chaps	ചാപ്സ്	0.350	0.462	0.350
chapter	അധ്യായം	0.580	0.308	0.461
char	ചാരി	0.554	0.361	0.404
character	പ്രതീകം	0.667	0.373	0.686
characteristic	സ്വഭാവം	0.583	0.328	0.538
characterize	സ്വഭാവം	0.729	0.471	0.735
charade	ചുംബനം	0.458	0.550	0.346
charcoal	കഞ്ചാവ്	0.302	0.186	0.342
chardonnay	ചന്ദനം	0.677	0.567	0.492
charge	ചാർജ്	0.510	0.633	0.785
chargeable	കുറ്റമറ്റത്	0.551	0.550	0.453
charger	ചാർജർ	0.531	0.418	0.545
chariot	രഥം	0.684	0.550	0.491
charisma	കരിഷ്മ	0.938	0.591	0.759
charismatic	ആകർഷകത്വം	0.938	0.684	0.849
charitable	ധനം	0.865	0.380	0.593
charity	ധർമ്മം	0.920	0.284	0.551
charlatan	ചാരതൻ	0.200	0.640	0.352
charm	ചാം	0.833	0.363	0.649
charmed	വശീകരിച്ചു	0.938	0.570	0.769
charmer	മന്ദഹസരം	0.882	0.683	0.782
charming	മനോഹരമായി	0.917	0.660	0.764
charred	കടിച്ച്	0.208	0.676	0.373
chart	ചാർട്ട്	0.469	0.317	0.330
charter	ചാർട്ടർ	0.677	0.382	0.518
chartered	ചാർട്ടർ ചെയ്തു	0.569	0.460	0.490
chase	പിന്തുടരുക	0.396	0.878	0.623
chased	പിന്തുടർന്നു	0.188	0.830	0.287
chaser	സാഹസർ	0.375	0.830	0.645
chasm	അസ്വസ്ഥത	0.265	0.579	0.500
chassis	ഷാസിസ്	0.406	0.342	0.444
chaste	നിശ്ചയം	0.408	0.248	0.453
chastened	ശിക്ഷിക്കപ്പെട്ടു	0.156	0.580	0.345
chastisement	ശിക്ഷിക്കുക	0.156	0.852	0.462
chastity	ചാരിതത്വം	0.469	0.392	0.509
chat	ചാറ്റ് ചെയ്യുക	0.729	0.400	0.346
chateau	ചാത്തൗ	0.615	0.464	0.702
chatter	തമാശ	0.560	0.450	0.347
chatterbox	ചാറ്റർബോക്സ്	0.459	0.548	0.482
chattering	ചിതറി	0.460	0.663	0.304
chatty	ചാറ്റി	0.594	0.548	0.345
chauffeur	chauffeur	0.500	0.353	0.471
chauvinist	സങ്കുചിതൻ	0.310	0.539	0.527
cheap	കുറഞ്ഞത്	0.612	0.471	0.272
cheapened	കുറഞ്ഞിരിക്കുന്നു	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	ചതിക്കുക	0.125	0.776	0.400
cheater	ചതിയൻ	0.104	0.920	0.333
check	ചെക്ക്	0.523	0.552	0.602
checkbook	ചെക്ക്ബുക്ക്	0.552	0.284	0.364
checker	ചെക്കർ	0.330	0.417	0.553
checkered	ചെറി	0.459	0.316	0.336
checkers	ചെക്കറുകൾ	0.676	0.451	0.437
checklist	ചെക്ക്ലിസ്റ്റ്	0.561	0.521	0.552
checkmate	ചെക്ക്മാറ്റ്	0.667	0.708	0.750
checkout	ചെക്ക് ഔട്ട്	0.597	0.510	0.670
checkpoint	ചെക്ക്പോയിന്റ്	0.571	0.323	0.812
checkup	ചെക്ക് അപ്പ്	0.500	0.435	0.491
cheek	കവിൾ	0.670	0.314	0.421
cheeks	കവിൾത്തടങ്ങൾ	0.708	0.324	0.282
cheeky	ചീത്ത	0.434	0.679	0.410
cheep	ചെവി	0.367	0.380	0.373
cheer	ധൈര്യപ്പെടുക	0.938	0.784	0.845
cheered	ഉന്മേഷവാനായി	0.875	0.648	0.790
cheerful	സന്തോഷത്തോടെ	0.990	0.720	0.696
cheerfulness	സന്തോഷം	0.969	0.802	0.675
cheering	ഉത്സാഹഭരിതമായ	0.815	0.824	0.642
cheerleader	ചിയർലീഡർ	0.923	0.746	0.657
cheerleading	ചിയർലീഡിംഗ്	0.698	0.769	0.404
cheerless	ഉഗ്രന്	0.204	0.373	0.167
cheers	ചിയേഴ്സ്	0.948	0.770	0.702
cheery	വഞ്ചി	0.949	0.657	0.486
cheese	ചീസ്	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	ചിക്കൻ	0.860	0.276	0.238
cheesy	വൃത്തികെട്ട	0.470	0.471	0.179
cheetah	ചീറ്റപ്പുര	0.469	0.770	0.667
chef	ഷെഫ്	0.854	0.411	0.570
chemical	രാസവസ്തു	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	രസതന്ത്രം	0.408	0.575	0.610
chemistry	രസതന്ത്രം	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	കീമോതെറാപ്പി	0.163	0.689	0.517
cheque	ചെക്ക്	0.698	0.529	0.660
cherish	ആശംസിക്കുന്നു	0.896	0.491	0.652
cherishing	ആശംസിക്കുന്നു	0.836	0.380	0.625
cherry	ചെറി	0.688	0.186	0.250
cherub	കെരൂബ്	0.663	0.340	0.455
chess	ചെസ്സ്	0.656	0.363	0.518
chest	നെഞ്ച്	0.520	0.429	0.481
