Word	French-fr	Valence	Arousal	Dominance
enliven	animer	0.833	0.683	0.702
enmity	hostilité	0.094	0.706	0.382
ennui	ennui	0.406	0.461	0.316
enormity	énormité	0.594	0.648	0.848
enormous	énorme	0.677	0.665	0.886
enormously	énormément	0.760	0.694	0.872
enraged	furieux	0.083	0.962	0.636
enrich	enrichir	0.896	0.731	0.705
enroll	inscrire	0.696	0.530	0.611
enrollment	inscription	0.667	0.391	0.698
ensemble	ensemble	0.697	0.418	0.586
ensign	insigne	0.663	0.270	0.545
enslave	asservir	0.073	0.800	0.481
enslaved	esclave	0.104	0.720	0.321
enslavement	asservissement	0.086	0.635	0.302
ensue	résulter	0.698	0.363	0.332
ensure	assurer	0.737	0.406	0.759
entail	entraîner	0.484	0.630	0.645
entangled	enchevêtré	0.319	0.578	0.357
entanglement	enchevêtrement	0.302	0.765	0.248
enter	entrer	0.708	0.470	0.500
enterprise	entreprise	0.760	0.392	0.754
enterprising	entreprenant	0.865	0.784	0.875
entertain	divertir	0.918	0.684	0.598
entertained	amusé	0.902	0.644	0.712
entertainer	artiste	0.888	0.709	0.759
entertaining	divertissant	0.833	0.658	0.660
entertainment	divertissement	0.847	0.750	0.569
enthralled	captivé	0.745	0.602	0.615
enthusiasm	enthousiasme	0.938	0.816	0.798
enthusiast	passionné	0.867	0.810	0.875
enthusiastic	enthousiaste	0.885	0.868	0.848
entice	attirer	0.521	0.887	0.518
entire	tout	0.689	0.462	0.698
entirety	intégralité	0.854	0.460	0.804
entitle	droit	0.729	0.333	0.827
entity	entité	0.542	0.402	0.670
entomology	entomologie	0.438	0.396	0.545
entourage	entourage	0.491	0.567	0.467
entrails	entrailles	0.365	0.538	0.387
entrance	entrée	0.698	0.393	0.526
entrapment	piégeage	0.177	0.604	0.441
entreat	supplier	0.304	0.560	0.462
entree	entrée	0.615	0.477	0.624
entrepreneur	entrepreneur	0.885	0.704	0.920
entrust	confier	0.693	0.310	0.630
entry	entrée	0.552	0.353	0.602
enumerate	énumérer	0.521	0.390	0.491
enumeration	énumération	0.548	0.327	0.534
envelope	enveloppe	0.604	0.275	0.377
envious	envieux	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	environnement	0.646	0.194	0.528
environmental	environnement	0.633	0.313	0.664
environs	environs	0.561	0.288	0.345
envision	envisager	0.625	0.449	0.483
envoy	envoyé	0.531	0.375	0.586
envy	envie	0.240	0.704	0.427
enzyme	enzyme	0.562	0.277	0.481
ephemeral	éphémère	0.500	0.312	0.377
ephemeris	éphémérides	0.640	0.380	0.528
epic	épique	0.857	0.713	0.830
epidemic	épidémie	0.092	0.830	0.611
epidermis	épiderme	0.418	0.490	0.426
epidural	péridurale	0.347	0.452	0.525
epilepsy	épilepsie	0.061	0.854	0.250
epileptic	épileptique	0.146	0.794	0.340
epilogue	épilogue	0.582	0.353	0.466
epiphany	Épiphanie	0.625	0.596	0.526
episcopal	épiscopal	0.542	0.314	0.750
episode	épisode	0.719	0.367	0.509
episodic	épisodique	0.531	0.542	0.462
epistle	épître	0.604	0.417	0.535
epitaph	épitaphe	0.276	0.323	0.442
epithet	épithète	0.530	0.394	0.524
epitome	exemple	0.510	0.500	0.667
epoch	époque	0.553	0.343	0.797
equal	égal	0.781	0.178	0.407
equality	égalité	0.898	0.305	0.716
equalization	égalisation	0.625	0.422	0.423
equalize	égaliser	0.738	0.281	0.574
equalizer	égaliseur	0.604	0.451	0.586
equally	également	0.625	0.264	0.436
equate	assimiler	0.724	0.382	0.624
equation	équation	0.479	0.384	0.608
equator	équateur	0.550	0.302	0.462
equatorial	équatorial	0.550	0.271	0.593
equestrian	équestre	0.633	0.519	0.417
equidistant	équidistant	0.375	0.406	0.509
equilibration	équilibration	0.724	0.317	0.593
equilibrium	équilibre	0.676	0.235	0.620
equip	équiper	0.650	0.519	0.713
equipment	équipement	0.745	0.495	0.700
equitable	équitable	0.714	0.286	0.750
equity	équité	0.792	0.304	0.614
equivalence	équivalence	0.663	0.250	0.582
equivalent	équivalent	0.646	0.347	0.500
equivocal	équivoque	0.327	0.482	0.257
era	ère	0.615	0.407	0.449
eradicate	éradiquer	0.260	0.690	0.686
eradication	éradication	0.208	0.788	0.685
erase	effacer	0.240	0.260	0.321
eraser	la gomme	0.458	0.209	0.311
erasure	effacement	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	ériger	0.643	0.885	0.627
erectile	érectile	0.542	0.796	0.625
erection	érection	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	éroder	0.208	0.643	0.580
erosion	érosion	0.312	0.770	0.465
erotic	érotique	0.625	0.946	0.683
erotica	érotique	0.781	0.870	0.579
err	se tromper	0.146	0.660	0.236
errand	course	0.385	0.519	0.482
errant	errant	0.205	0.602	0.375
erratic	erratique	0.271	0.503	0.217
erratum	erratum	0.327	0.528	0.436
erroneous	erroné	0.057	0.561	0.245
error	Erreur	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	érudit	0.719	0.434	0.774
erupt	éclater	0.188	0.820	0.818
eruption	éruption	0.156	0.913	0.733
escalade	escalade	0.480	0.724	0.442
escalate	intensifier	0.653	0.714	0.728
escalating	escalade	0.646	0.724	0.518
escalation	escalade	0.571	0.807	0.582
escalator	escalier mécanique	0.500	0.530	0.518
escape	échapper	0.367	0.765	0.448
escaped	échappé	0.365	0.755	0.518
escarpment	escarpement	0.406	0.553	0.470
eschew	éviter	0.184	0.438	0.370
escort	escorte	0.729	0.480	0.608
escrow	escroc	0.449	0.520	0.613
esophagus	œsophage	0.429	0.454	0.464
esoteric	ésotérique	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	espionnage	0.312	0.750	0.620
espouse	adopter	0.802	0.529	0.598
espresso	Expresso	0.677	0.620	0.508
esprit	esprit	0.552	0.431	0.407
esquire	écuyer	0.604	0.542	0.518
essay	essai	0.559	0.411	0.530
essayist	essayiste	0.656	0.460	0.462
essence	essence	0.663	0.369	0.575
essential	essentiel	0.812	0.405	0.759
essentially	essentiellement	0.750	0.373	0.802
establish	établir	0.708	0.500	0.688
established	établi	0.796	0.394	0.694
establishment	établissement	0.690	0.398	0.631
estate	biens	0.653	0.385	0.647
esteem	estime	0.745	0.380	0.679
esteemed	estimé	0.694	0.418	0.531
esthetic	esthétique	0.635	0.360	0.558
estimable	estimable	0.796	0.408	0.630
estimate	estimation	0.719	0.469	0.517
estimation	estimation	0.740	0.480	0.589
estoppel	estoppel	0.354	0.459	0.482
estranged	séparé	0.156	0.382	0.377
estrogen	oestrogène	0.580	0.500	0.425
estuary	estuaire	0.469	0.278	0.482
etch	graver	0.510	0.367	0.598
etching	gravure	0.567	0.491	0.575
eternal	éternel	0.854	0.409	0.843
eternity	éternité	0.765	0.520	0.911
ethanol	éthanol	0.333	0.410	0.534
ether	éther	0.490	0.306	0.412
ethereal	éthéré	0.520	0.419	0.518
ethic	éthique	0.786	0.260	0.791
ethical	éthique	0.854	0.324	0.634
ethics	éthique	0.658	0.296	0.731
ethnic	ethnique	0.583	0.373	0.555
ethnography	ethnographie	0.571	0.373	0.549
etiology	étiologie	0.500	0.385	0.639
etiquette	étiquette	0.604	0.350	0.421
etymology	étymologie	0.531	0.370	0.529
eucalyptus	eucalyptus	0.602	0.308	0.418
euchre	euchre	0.470	0.459	0.442
eugenics	eugénisme	0.448	0.530	0.518
eulogistic	élogieux	0.740	0.623	0.694
eulogium	eulogium	0.542	0.482	0.655
eulogize	faire l'éloge	0.850	0.518	0.679
eulogy	éloge	0.625	0.443	0.667
euphemism	euphémisme	0.418	0.453	0.491
euphoria	euphorie	0.769	0.955	0.648
euphoric	euphorique	0.745	0.904	0.588
euro	euro	0.680	0.441	0.521
euthanasia	euthanasie	0.229	0.716	0.325
evacuate	évacuer	0.354	0.792	0.314
evacuation	évacuation	0.160	0.755	0.582
evade	éluder	0.304	0.490	0.342
evaluate	évaluer	0.663	0.640	0.649
evaluation	évaluation	0.542	0.667	0.764
evanescence	évanescence	0.527	0.519	0.458
evangelical	évangélique	0.602	0.389	0.602
evangelist	évangéliste	0.582	0.464	0.702
evangelistic	évangélique	0.660	0.375	0.612
evaporate	évaporer	0.357	0.469	0.402
evaporation	évaporation	0.556	0.346	0.388
evasion	évasion	0.229	0.510	0.418
evasive	évasif	0.117	0.596	0.425
eve	veille	0.612	0.378	0.440
evening	soir	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	un événement	0.745	0.673	0.664
eventful	mouvementé	0.543	0.837	0.510
eventual	éventuel	0.633	0.459	0.413
eventuality	éventualité	0.469	0.627	0.527
evergreen	à feuilles persistantes	0.729	0.471	0.546
everlasting	éternel	0.740	0.413	0.809
evermore	toujours	0.677	0.450	0.403
everyday	tous les jours	0.740	0.392	0.472
everyman	chaque homme	0.522	0.333	0.535
evict	expulser	0.042	0.632	0.377
eviction	expulsion	0.185	0.731	0.455
evidence	preuve	0.500	0.500	0.778
evident	évident	0.633	0.444	0.664
evidentiary	preuve	0.448	0.541	0.717
evil	mal	0.040	0.827	0.545
evoke	évoquer	0.438	0.341	0.500
evolution	évolution	0.781	0.657	0.854
evolutionary	évolutionniste	0.796	0.673	0.825
evolve	évoluer	0.655	0.692	0.896
ewe	brebis	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	exacerber	0.323	0.776	0.580
exacerbation	exacerbation	0.344	0.810	0.480
exact	exact	0.719	0.354	0.685
exacting	exigeant	0.448	0.673	0.767
exaggerate	exagérer	0.193	0.760	0.529
exaggerated	exagéré	0.224	0.885	0.732
exaggeration	exagération	0.312	0.775	0.582
exalt	exalter	0.656	0.750	0.745
exaltation	exaltation	0.594	0.892	0.673
exalted	exalté	0.676	0.845	0.696
exam	examen	0.479	0.663	0.577
examination	examen	0.378	0.657	0.679
examine	examiner	0.615	0.623	0.786
examiner	examinateur	0.406	0.575	0.812
example	Exemple	0.542	0.337	0.510
exasperated	exaspéré	0.229	0.816	0.377
exasperation	exaspération	0.214	0.833	0.483
excavate	creuser	0.583	0.613	0.635
excavation	les fouilles	0.540	0.644	0.527
excavator	pelle	0.427	0.673	0.649
exceed	dépasser	0.500	0.827	0.586
exceeding	dépassement	0.500	0.802	0.668
excel	exceller	0.561	0.363	0.466
excellence	excellence	0.958	0.620	0.907
excellent	excellent	0.970	0.587	0.870
excelsior	excelsior	0.700	0.625	0.611
excepting	excepté	0.408	0.413	0.526
exception	exception	0.469	0.600	0.544
exceptional	exceptionnel	0.806	0.740	0.933
excerpt	extrait	0.437	0.367	0.543
excess	excès	0.385	0.889	0.712
excessive	excessif	0.417	0.731	0.601
excessively	excessivement	0.449	0.882	0.716
exchange	échange	0.740	0.569	0.491
excise	exciser	0.448	0.561	0.577
excision	excision	0.260	0.480	0.519
excitability	excitabilité	0.906	0.910	0.724
excitable	excitable	0.803	0.939	0.629
excitation	excitation	0.792	0.958	0.750
excite	exciter	0.823	0.950	0.668
excited	excité	0.908	0.931	0.709
excitement	excitation	0.896	0.684	0.731
exciting	passionnant	0.950	0.792	0.789
exclaim	exclamer	0.635	0.711	0.639
exclamation	exclamation	0.612	0.745	0.598
exclude	exclure	0.292	0.500	0.530
excluded	exclu	0.061	0.540	0.134
excluding	à l'exclusion	0.271	0.550	0.324
exclusion	exclusion	0.240	0.530	0.389
exclusive	exclusif	0.792	0.630	0.653
excrement	excrément	0.041	0.558	0.221
excretion	excrétion	0.285	0.650	0.457
excruciating	atroce	0.083	0.837	0.345
excursion	excursion	0.625	0.714	0.627
excuse	excuse	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	exécuter	0.327	0.708	0.769
execution	exécution	0.160	0.811	0.713
executioner	bourreau	0.235	0.816	0.676
executive	exécutif	0.704	0.449	0.894
executor	exécuteur	0.365	0.755	0.759
exegesis	exégèse	0.458	0.472	0.491
exemplar	exemple	0.844	0.537	0.625
exemplary	exemplaire	0.833	0.343	0.729
exemplify	exemplifier	0.735	0.506	0.783
exempt	exempter	0.588	0.455	0.664
exemption	exemption	0.531	0.578	0.627
exercise	exercice	0.750	0.789	0.625
exert	exercer	0.694	0.735	0.806
exertion	effort	0.663	0.755	0.717
exhale	exhaler	0.542	0.490	0.411
exhaust	échappement	0.546	0.710	0.337
exhausted	épuisé	0.123	0.423	0.202
exhaustion	épuisement	0.366	0.633	0.269
exhaustive	complet	0.388	0.635	0.604
exhibit	exposition	0.688	0.633	0.708
exhibition	exposition	0.698	0.590	0.531
exhilarated	exalté	0.890	0.963	0.759
exhilarating	exaltant	0.917	0.823	0.810
exhilaration	euphorie	0.792	0.868	0.783
exhort	exhorter	0.378	0.660	0.745
exhortation	exhortation	0.531	0.624	0.580
exhumation	exhumation	0.177	0.586	0.473
exhume	exhumer	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	exilé	0.184	0.630	0.483
exist	exister	0.857	0.421	0.788
existence	existence	0.760	0.513	0.771
existent	existant	0.635	0.490	0.635
existential	existentiel	0.583	0.510	0.638
existing	existant	0.802	0.344	0.750
exit	Sortie	0.370	0.353	0.399
exodus	exode	0.286	0.663	0.567
exonerate	disculper	0.592	0.500	0.538
exorbitant	exorbitant	0.398	0.865	0.825
exorcism	exorcisme	0.163	0.980	0.557
exorcist	exorciste	0.219	0.906	0.716
exotic	exotique	0.840	0.711	0.727
expand	développer	0.792	0.559	0.686
expanded	étendu	0.760	0.406	0.689
expanse	étendue	0.594	0.529	0.689
expansion	expansion	0.776	0.618	0.787
expansive	expansif	0.708	0.650	0.778
expatriate	expatrié	0.265	0.764	0.391
expect	attendre	0.469	0.327	0.377
expectance	attente	0.552	0.724	0.660
expectancy	attente	0.581	0.622	0.558
expectant	expectative	0.708	0.650	0.474
expectation	attente	0.771	0.690	0.707
expected	attendu	0.729	0.412	0.545
expecting	attendant	0.561	0.450	0.302
expediency	opportunité	0.604	0.443	0.703
expedient	opportun	0.885	0.461	0.454
expedite	accélérer	0.571	0.858	0.798
expedition	expédition	0.735	0.802	0.620
expeditious	expéditif	0.602	0.645	0.773
expel	expulser	0.281	0.725	0.452
expendable	consommable	0.479	0.490	0.423
expenditure	dépense	0.250	0.608	0.603
expense	frais	0.317	0.451	0.377
expenses	dépenses	0.240	0.633	0.396
expensive	coûteux	0.323	0.540	0.530
experience	expérience	0.827	0.618	0.905
experienced	expérimenté	0.771	0.613	0.914
experiences	expériences	0.793	0.647	0.795
experiment	expérience	0.479	0.720	0.675
experimental	expérimental	0.417	0.764	0.396
experimentation	expérimentation	0.637	0.769	0.767
experimenter	expérimentateur	0.708	0.710	0.700
expert	expert	0.776	0.646	0.911
expertise	compétence	0.792	0.589	0.925
expiration	expiration	0.265	0.539	0.463
expire	expirer	0.573	0.745	0.702
expired	expiré	0.198	0.394	0.200
expiry	expiration	0.194	0.434	0.382
explain	Explique	0.719	0.517	0.736
explanation	explication	0.615	0.610	0.825
explanatory	explicatif	0.573	0.433	0.688
expletive	explétif	0.357	0.567	0.536
explication	explication	0.510	0.445	0.602
explicit	explicite	0.562	0.694	0.734
explode	exploser	0.277	0.885	0.773
exploit	exploit	0.312	0.878	0.660
exploitation	exploitation	0.156	0.920	0.718
exploration	exploration	0.594	0.650	0.773
exploratory	exploratoire	0.653	0.690	0.698
explore	explorer	0.776	0.660	0.727
explorer	explorateur	0.729	0.663	0.714
explosion	explosion	0.167	0.960	0.767
explosions	explosions	0.123	0.860	0.594
explosive	explosif	0.156	0.943	0.663
expo	expo	0.610	0.562	0.500
exponent	exposant	0.529	0.510	0.845
exponential	exponentiel	0.704	0.588	0.763
export	exportation	0.567	0.661	0.755
exportation	exportation	0.760	0.633	0.673
expose	exposer	0.344	0.643	0.537
exposed	exposé	0.471	0.661	0.509
exposition	exposition	0.521	0.627	0.655
expository	expositoire	0.706	0.653	0.636
exposure	exposition	0.570	0.830	0.630
expound	exposer	0.438	0.575	0.740
express	Express	0.760	0.623	0.691
expression	expression	0.790	0.650	0.721
expressive	expressif	0.755	0.724	0.685
expressway	voie express	0.633	0.635	0.587
expropriation	expropriation	0.188	0.735	0.788
expulsion	expulsion	0.190	0.790	0.529
exquisite	exquis	0.892	0.644	0.604
exquisitely	exquisement	0.849	0.728	0.723
extant	existant	0.646	0.390	0.523
extend	étendre	0.646	0.570	0.689
extendable	extensible	0.660	0.592	0.722
extended	élargi	0.570	0.304	0.649
extension	extension	0.490	0.510	0.529
extensive	extensif	0.635	0.520	0.760
extent	ampleur	0.646	0.451	0.602
exterior	extérieur	0.542	0.400	0.627
exterminate	exterminer	0.177	0.857	0.736
extermination	extermination	0.190	0.860	0.616
exterminator	exterminateur	0.344	0.804	0.887
external	externe	0.479	0.341	0.509
externally	extérieurement	0.643	0.521	0.568
extinct	disparu	0.112	0.491	0.412
extinction	extinction	0.104	0.750	0.611
extinguish	éteindre	0.240	0.576	0.482
extinguisher	extincteur	0.707	0.379	0.543
extol	exalter	0.582	0.667	0.456
extort	extorquer	0.052	0.827	0.570
extortion	extorsion	0.112	0.868	0.630
extra	supplémentaire	0.656	0.551	0.745
extract	extrait	0.565	0.402	0.519
extracting	extraire	0.521	0.709	0.689
extraction	extraction	0.418	0.740	0.526
extractor	extracteur	0.302	0.536	0.519
extracurricular	périscolaire	0.457	0.471	0.743
extradition	extradition	0.229	0.627	0.554
extrajudicial	extrajudiciaire	0.365	0.686	0.667
extramural	extra-muros	0.336	0.559	0.537
extraneous	étranger	0.276	0.625	0.478
extraordinaire	extraordinaire	0.847	0.864	0.898
extraordinary	extraordinaire	0.969	0.728	0.860
extraterrestrial	extra-terrestre	0.510	0.833	0.792
extravagance	extravagance	0.531	0.802	0.700
extravagant	extravagant	0.720	0.763	0.812
extravaganza	extravagance	0.646	0.786	0.906
extreme	extrême	0.318	0.800	0.721
extreme anticipation	anticipation extrême	0.551	0.740	0.704
extreme disgust	dégoût extrême	0.052	0.873	0.456
extreme surprise	surprise extrême	0.833	0.935	0.676
extreme trust	confiance extrême	0.826	0.713	0.922
extremely	extrêmement	0.635	0.827	0.886
extremely negative	extrêmement négatif	0.030	0.786	0.311
extremely positive	extrêmement positif	0.993	0.730	0.839
extremity	extrémité	0.408	0.588	0.583
extricate	dégager	0.542	0.510	0.543
extrinsic	extrinsèque	0.510	0.479	0.636
extrusion	extrusion	0.229	0.660	0.545
exuberance	exubérance	0.698	0.816	0.787
exude	exsuder	0.375	0.519	0.411
eye	œil	0.531	0.265	0.425
eyeball	globe oculaire	0.526	0.422	0.420
eyebrow	sourcil	0.510	0.198	0.222
eyeful	attentif	0.802	0.500	0.676
eyeglass	monocle	0.531	0.236	0.286
eyeglasses	lunettes	0.561	0.269	0.306
eyelash	cil	0.480	0.250	0.278
eyelet	œillet	0.632	0.298	0.346
eyeliner	eye-liner	0.688	0.349	0.347
eyepiece	oculaire	0.418	0.347	0.480
eyes	les yeux	0.760	0.279	0.432
eyesight	vue	0.750	0.226	0.343
eyewitness	témoin oculaire	0.541	0.686	0.698
fab	Fab	0.490	0.380	0.406
fable	fable	0.663	0.387	0.389
fabled	légendaire	0.625	0.538	0.545
fabric	en tissu	0.635	0.190	0.345
fabricate	fabriquer	0.636	0.491	0.779
fabricated	fabriqué	0.418	0.427	0.555
fabrication	fabrication	0.573	0.587	0.705
fabulous	fabuleux	0.979	0.660	0.797
facade	façade	0.520	0.333	0.518
face	visage	0.571	0.173	0.453
faceless	sans visage	0.230	0.406	0.173
facet	facette	0.667	0.324	0.382
facial	visage	0.594	0.429	0.433
facile	NO TRANSLATION	0.740	0.264	0.307
facilitate	faciliter	0.812	0.333	0.509
facility	établissement	0.625	0.500	0.654
facing	orienté vers	0.604	0.406	0.550
facsimile	facsimilé	0.490	0.500	0.543
fact	fait	0.683	0.333	0.618
faction	faction	0.469	0.430	0.448
factor	facteur	0.635	0.365	0.678
factory	usine	0.500	0.500	0.683
facts	faits	0.688	0.471	0.693
factual	factuel	0.656	0.440	0.545
faculties	facultés	0.643	0.431	0.760
faculty	la faculté	0.615	0.412	0.732
fad	mode	0.663	0.520	0.570
fade	fondu	0.354	0.333	0.245
faded	délavé	0.302	0.275	0.194
faeces	fèces	0.184	0.476	0.175
fag	pédé	0.122	0.653	0.331
faggot	fagot	0.219	0.643	0.292
fail	échouer	0.177	0.578	0.154
failing	échouer	0.125	0.490	0.268
failure	échec	0.167	0.575	0.139
fain	NO TRANSLATION	0.479	0.417	0.426
faint	perdre connaissance	0.063	0.429	0.167
fainting	évanouissement	0.333	0.510	0.214
fair	juste	0.812	0.557	0.643
fairly	équitablement	0.790	0.406	0.750
fairness	justice	0.740	0.317	0.552
fairway	fairway	0.541	0.510	0.500
fairy	Fée	0.776	0.408	0.413
faith	Foi	0.833	0.220	0.763
faithful	fidèle	0.888	0.333	0.627
faithfulness	fidélité	0.833	0.426	0.602
faithless	déloyal	0.102	0.683	0.304
fake	faux	0.073	0.554	0.268
faker	faker	0.245	0.630	0.480
falafel	falafel	0.560	0.402	0.351
falcon	faucon	0.557	0.580	0.678
fall	tomber	0.177	0.657	0.221
fallacious	fallacieux	0.271	0.587	0.390
fallacy	erreur	0.112	0.561	0.430
fallback	se retirer	0.458	0.358	0.508
fallible	faillible	0.365	0.537	0.402
falling	chute	0.202	0.716	0.306
fallopian	fallope	0.297	0.390	0.464
fallout	Tomber	0.428	0.356	0.373
fallow	jachère	0.375	0.368	0.464
false	FAUX	0.120	0.404	0.240
falsehood	mensonge	0.031	0.625	0.384
falsely	faussement	0.083	0.480	0.265
falsification	falsification	0.173	0.720	0.490
falsified	falsifié	0.042	0.630	0.306
falsify	falsifier	0.115	0.657	0.409
falsity	fausseté	0.120	0.689	0.186
falter	vaciller	0.421	0.650	0.346
fame	célébrité	0.896	0.755	0.852
famed	célèbre	0.878	0.750	0.819
familiar	familier	0.906	0.330	0.615
familiarity	familiarité	0.854	0.346	0.616
familiarize	se familiariser	0.760	0.365	0.654
family	famille	0.968	0.383	0.643
familytime	du temps en famille	0.939	0.420	0.679
famine	famine	0.163	0.679	0.310
famished	affamé	0.177	0.654	0.282
famous	célèbre	0.916	0.775	0.882
famously	fameusement	0.856	0.765	0.787
fan	ventilateur	0.781	0.429	0.357
fanatic	fanatique	0.573	0.780	0.629
fanatical	fanatique	0.555	0.830	0.714
fanaticism	fanatisme	0.292	0.896	0.566
fanciful	fantaisiste	0.677	0.592	0.342
fancy	fantaisie	0.854	0.673	0.534
fandango	fandango	0.490	0.591	0.429
fanfare	fanfare	0.656	0.640	0.437
fang	NO TRANSLATION	0.175	0.491	0.455
fangs	crocs	0.286	0.598	0.434
fanning	attiser	0.615	0.330	0.236
fantasia	fantaisie	0.898	0.694	0.436
fantasize	fantasmer	0.771	0.660	0.356
fantastic	fantastique	0.969	0.696	0.831
fantasy	fantaisie	0.880	0.627	0.474
faraway	loin	0.365	0.356	0.285
farce	farce	0.265	0.667	0.246
farcical	grotesque	0.406	0.481	0.259
fare	tarif	0.490	0.425	0.645
farewell	adieu	0.130	0.500	0.591
farm	ferme	0.781	0.327	0.297
farmer	agriculteur	0.677	0.432	0.464
farmhouse	ferme	0.690	0.330	0.444
farming	agriculture	0.580	0.414	0.568
farmland	les terres agricoles	0.729	0.363	0.509
faro	faro	0.544	0.349	0.357
fart	Pet	0.194	0.439	0.264
farther	plus loin	0.418	0.500	0.430
fascia	fascia	0.480	0.366	0.356
fascinate	fasciner	0.854	0.683	0.802
fascinated	fasciné	0.812	0.714	0.788
fascinating	fascinant	0.979	0.817	0.784
fascination	fascination	0.885	0.773	0.835
fascism	fascisme	0.104	0.740	0.695
fascist	fasciste	0.200	0.755	0.527
fashion	mode	0.827	0.616	0.589
fashionable	à la mode	0.750	0.510	0.605
fastball	balle rapide	0.688	0.679	0.575
fasten	boucler	0.458	0.585	0.529
fastener	attache	0.577	0.377	0.491
fastening	fixation	0.594	0.473	0.554
fasting	jeûne	0.388	0.370	0.394
fat	graisse	0.198	0.353	0.237
fatal	fatal	0.061	0.775	0.509
fatalism	fatalisme	0.208	0.694	0.631
fatality	Fatalité	0.062	0.798	0.595
fate	sort	0.571	0.479	0.712
fated	condamné	0.582	0.472	0.692
fateful	fatidique	0.290	0.583	0.402
fathead	fathead	0.296	0.527	0.463
father	père	0.812	0.333	0.824
fatherhood	paternité	0.885	0.519	0.682
fatherland	patrie	0.729	0.469	0.778
fatherly	paternel	0.865	0.363	0.712
fathom	brasse	0.520	0.410	0.523
fatigue	fatigue	0.173	0.378	0.265
fatigued	fatigué	0.146	0.433	0.245
fatso	fatso	0.286	0.394	0.336
fatten	engraisser	0.375	0.549	0.363
fatty	gras	0.286	0.361	0.325
faucet	robinet	0.427	0.278	0.356
fault	faute	0.188	0.558	0.184
faultless	irréprochable	0.792	0.500	0.741
faulty	défectueux	0.184	0.520	0.378
faun	faune	0.490	0.303	0.376
fauna	faune	0.646	0.346	0.404
faux	faux	0.291	0.490	0.204
favor	favoriser	0.812	0.308	0.519
favorable	favorable	0.952	0.380	0.788
favorite	préféré	0.885	0.590	0.691
favoriteholiday	NO TRANSLATION	0.867	0.618	0.582
favoritism	favoritisme	0.582	0.559	0.658
fawn	faon	0.626	0.360	0.284
fax	fax	0.406	0.368	0.304
faze	NO TRANSLATION	0.417	0.515	0.382
fear	peur	0.073	0.840	0.293
feared	craignait	0.240	0.733	0.509
fearful	craintif	0.083	0.482	0.278
fearfully	craintivement	0.112	0.567	0.271
fearing	craignant	0.125	0.566	0.256
fearless	sans peur	0.810	0.806	0.760
fears	craintes	0.061	0.821	0.306
fearsome	redoutable	0.115	0.900	0.586
feasibility	faisabilité	0.653	0.490	0.741
feasible	réalisable	0.694	0.388	0.611
feast	le banquet	0.979	0.724	0.680
feat	exploit	0.750	0.706	0.849
feather	plume	0.677	0.208	0.144
feathered	à plumes	0.438	0.288	0.214
feature	fonctionnalité	0.667	0.314	0.679
features	fonctionnalités	0.667	0.433	0.509
febrile	fébrile	0.429	0.578	0.414
fecal	fécale	0.255	0.528	0.213
feces	excréments	0.240	0.407	0.307
fecundity	fécondité	0.688	0.591	0.683
fed	nourris	0.602	0.370	0.482
federal	fédéral	0.530	0.459	0.859
federation	fédération	0.633	0.354	0.763
fedup	marre	0.327	0.500	0.352
fee	frais	0.354	0.386	0.556
feeble	faible	0.157	0.280	0.109
feed	alimentation	0.812	0.429	0.739
feedback	retour d'information	0.622	0.557	0.645
feeder	chargeur	0.604	0.452	0.713
feel	ressentir	0.802	0.602	0.596
feelgood	se sentir bien	0.990	0.441	0.621
feeling	sentiment	0.806	0.329	0.531
feelingdown	NO TRANSLATION	0.490	0.457	0.567
feelinggood	NO TRANSLATION	0.940	0.449	0.655
feet	pieds	0.510	0.240	0.292
feign	feindre	0.340	0.394	0.356
feigned	feint	0.173	0.602	0.333
feisty	fougueuse	0.592	0.853	0.789
felicity	félicité	0.913	0.704	0.793
feline	félin	0.615	0.745	0.509
fell	est tombée	0.255	0.462	0.250
feller	abatteur	0.406	0.622	0.617
fellow	compagnon	0.745	0.298	0.570
fellowship	camaraderie	0.900	0.429	0.778
felon	criminel	0.111	0.898	0.455
felony	crime	0.206	0.808	0.472
felt	se sentait	0.643	0.417	0.566
female	femelle	0.857	0.520	0.625
feminine	féminin	0.802	0.520	0.394
femininity	la féminité	0.750	0.479	0.451
feminism	féminisme	0.541	0.570	0.636
feminist	féministe	0.510	0.560	0.585
femme	NO TRANSLATION	0.551	0.529	0.398
femoral	fémoral	0.417	0.324	0.566
femur	fémur	0.408	0.289	0.413
fen	NO TRANSLATION	0.490	0.276	0.379
fence	clôture	0.500	0.198	0.398
fenced	clôturé	0.323	0.430	0.429
fencing	escrime	0.542	0.654	0.539
fend	repousser	0.646	0.731	0.537
fender	aile	0.369	0.459	0.476
