Word	Bengali-bn	Valence	Arousal	Dominance
bouquet	ফুলের তোড়া	0.724	0.352	0.306
bourbon	বোরবন	0.602	0.490	0.517
bourgeois	সংরক্ষণশীল	0.439	0.593	0.682
bourgeoisie	মধ্যবিত্ত	0.357	0.417	0.767
bourse	বিদেশের শেয়ার বাজার	0.530	0.230	0.336
bout	উপলক্ষ	0.208	0.808	0.679
boutique	সর্বাধুনিক ফ্যাশনের জিনিসপত্র	0.745	0.490	0.441
bouttime	NO TRANSLATION	0.588	0.373	0.410
bovine	জড়বুদ্ধি	0.449	0.255	0.353
bow	নম	0.530	0.306	0.408
bowed	bowed	0.410	0.418	0.368
bowel	অন্ত্র	0.306	0.417	0.391
bowels	গর্ভ	0.194	0.448	0.362
bowl	বাটি	0.625	0.377	0.358
bowler	বোলার	0.552	0.633	0.481
bowling	বোলিং	0.656	0.431	0.309
bowls	বাটি	0.551	0.280	0.277
box	বক্স	0.500	0.179	0.312
boxcar	ওয়াগনের	0.420	0.469	0.421
boxer	মুষ্টিযোদ্ধা	0.490	0.810	0.802
boxers	মুষ্টিযোদ্ধাদের	0.375	0.880	0.654
boxing	বক্সিং	0.427	0.854	0.645
boy	ছেলে	0.646	0.392	0.445
boycott	বয়কট	0.112	0.690	0.505
boyfriend	প্রেমিক	0.781	0.604	0.547
boyhood	বাল্যকাল	0.729	0.745	0.500
boyish	বালকসুলভ	0.698	0.562	0.462
boysenberry	boysenberry	0.646	0.409	0.475
bozo	বোজো	0.388	0.364	0.298
bra	ব্রা	0.672	0.529	0.509
brace	যুগল	0.610	0.385	0.364
bracelet	ব্রেসলেট	0.776	0.340	0.322
braces	ধনুর্বন্ধনী	0.500	0.337	0.568
brachial	brachial	0.388	0.363	0.464
bracket	বন্ধনী	0.490	0.350	0.682
brackets	বন্ধনী	0.573	0.281	0.435
brackish	ষৎ লোণা	0.469	0.368	0.421
brad	সরু চেপটা পেরেক-বিশেষ	0.490	0.385	0.402
brag	জাঁক	0.347	0.545	0.578
braid	বিনুনি	0.427	0.222	0.216
brain	মস্তিষ্ক	0.667	0.441	0.823
brainless	নির্বোধ	0.138	0.310	0.224
brains	ঘিলু	0.663	0.557	0.722
brainstorm	মানসিক বিপর্যয়জনিত আবেগাদির উচ্ছ্বাস	0.794	0.784	0.636
brainwash	মগজ-ধোলাই	0.198	0.647	0.481
brainy	মাথাল	0.708	0.520	0.648
brake	ব্রেক	0.312	0.481	0.310
bran	তুষ	0.688	0.433	0.483
branch	শাখা	0.538	0.206	0.250
branching	শাখাবিন্যাস	0.520	0.422	0.472
brand	তরবার	0.562	0.284	0.547
brandy	ব্র্যান্ডি	0.600	0.590	0.487
brash	ঢেকুর	0.360	0.814	0.552
brass	পিতল	0.500	0.320	0.490
brass knuckle	পিতল গিঁট	0.406	0.449	0.518
brassiere	কাঁচুলি	0.510	0.469	0.336
brat	ছোঁড়া	0.312	0.440	0.231
bratwurst	bratwurst	0.510	0.490	0.464
bravado	বাহাদুরি	0.479	0.510	0.527
brave	সাহসী	0.837	0.750	0.917
bravery	সাহস	0.898	0.745	0.868
brawl	তোলপাড়	0.104	0.938	0.603
brawn	মাংসপেশী	0.438	0.402	0.544
brazen	নির্লজ্জ	0.292	0.640	0.518
breach	লঙ্ঘন	0.177	0.745	0.423
bread	রুটি	0.660	0.314	0.342
breadth	পানা	0.667	0.490	0.644
break	বিরতি	0.610	0.265	0.370
breakable	ভঙ্গুর	0.194	0.667	0.408
breakaway	বিচ্ছিন্নতাকামী	0.479	0.802	0.519
breakdown	ভাঙ্গন	0.365	0.423	0.361
breaker	ঊর্মিভঙ্গ	0.323	0.527	0.520
breakers	ভঙ্গকারী	0.469	0.588	0.439
breakfast	ব্রেকফাস্ট	0.885	0.330	0.429
breaking and entering	ভাঙ্গা এবং প্রবেশ করানো	0.418	0.729	0.500
breakingnews	সদ্যপ্রাপ্ত সংবাদ	0.500	0.552	0.607
breakneck	বিপজ্জনক	0.254	0.833	0.604
breakthrough	শত্রুবূহ্যভেদ	0.680	0.525	0.718
breakup	বিচ্ছিন্ন	0.250	0.720	0.357
breast	স্তন	0.753	0.429	0.500
breath	শ্বাস	0.684	0.392	0.451
breathe	শ্বাস ফেলা	0.833	0.373	0.518
breather	সাময়িক বিশ্রাম	0.624	0.471	0.388
breathless	রূদ্ধশ্বাস	0.323	0.490	0.222
breathtaking	উত্তেজনাপূর্ণ	0.936	0.792	0.921
breech	চোগা	0.500	0.637	0.422
breeches	পাজামাবিশেষ	0.365	0.457	0.333
breed	শাবক	0.490	0.441	0.578
breeder	পালক	0.645	0.481	0.605
breeding	প্রজনন	0.667	0.481	0.610
breeze	মৃদুমন্দ বাতাস	0.837	0.284	0.370
breezy	ঝরঝরে	0.531	0.472	0.482
brethren	গুরুভাই	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	সংক্ষিপ্ততা	0.459	0.434	0.375
brew	ফন্দি আঁটা	0.740	0.538	0.758
brewery	ভাঁটিখানা	0.710	0.622	0.510
brewing	বানানোর	0.740	0.593	0.609
briar	বনগোলাপ	0.493	0.375	0.407
bribe	ঘুষ	0.112	0.690	0.472
bribery	উত্কোচ গ্রহণ	0.135	0.775	0.585
brick	ইট	0.217	0.418	0.368
bridal	দাম্পত্য	0.823	0.655	0.596
bride	নববধূ	0.840	0.708	0.579
bridegroom	বর	0.809	0.736	0.527
bridesmaid	নিতকনে	0.748	0.519	0.618
bridge	সেতু	0.625	0.324	0.519
bridle	লাগাম	0.427	0.367	0.386
brief	সংক্ষিপ্ত	0.469	0.300	0.279
briefcase	ব্রিফকেস	0.542	0.206	0.442
briefing	ব্রিফিংয়ে	0.612	0.333	0.702
briefly	সংক্ষেপে	0.686	0.314	0.330
brig	পোতবিশেষ	0.573	0.539	0.500
brigade	সৈন্যদলবিশেষ	0.604	0.710	0.828
bright	উজ্জ্বল	0.890	0.527	0.812
brighten	রাঙান	0.760	0.547	0.649
brightens	উজ্জ্বল	0.771	0.611	0.613
brighter	উজ্জ্বল	0.918	0.698	0.833
brightness	উজ্জ্বলতা	0.938	0.623	0.660
brilliance	প্রতিভা	0.990	0.673	0.830
brilliant	উজ্জ্বল	0.939	0.575	0.923
brim	ধারি	0.469	0.333	0.330
brimming	উদ্বেল	0.656	0.690	0.758
brimstone	গন্ধক	0.357	0.520	0.440
brine	সমুদ্র	0.333	0.481	0.361
bring	আনা	0.635	0.460	0.462
brink	কিনারা	0.375	0.413	0.356
brisk	প্রাণবন্ত	0.719	0.745	0.742
brisket	সিনার মাংস	0.552	0.378	0.222
bristle	কূর্চ	0.375	0.375	0.326
brittle	ভঙ্গুর	0.276	0.490	0.272
bro	ভাই	0.794	0.349	0.684
broach	উচ্চারণ করা	0.438	0.439	0.675
broad	প্রশস্ত	0.762	0.365	0.637
broadcast	ব্রডকাস্ট	0.615	0.587	0.355
broadcasting	সম্প্রচার	0.542	0.700	0.706
broaden	উদার করা	0.678	0.602	0.610
broadside	রণপোতের একপার্শ্বস্থিত সমুদয় কামান	0.459	0.316	0.462
broadsword	চত্তড়া ধারবিশিষ্ট তরবারি	0.469	0.573	0.615
brocade	জরি	0.500	0.327	0.464
broccoli	ব্রোকলি	0.469	0.200	0.283
brochure	ইস্তাহার	0.552	0.226	0.391
broil	বচসা	0.510	0.404	0.330
broke	কপর্দকশূন্য	0.245	0.590	0.370
broken	ভাঙা	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	ভাঙ্গা হৃদয়	0.130	0.598	0.227
broker	দালাল	0.582	0.462	0.600
brokerage	দালালি	0.479	0.500	0.500
bromide	নীরস মন্তব্য	0.347	0.425	0.411
bronco	বন্য ঘোড়াবিশেষ	0.500	0.510	0.473
bronze	ব্রোঞ্জ	0.622	0.333	0.526
brooch	ব্রোচ	0.531	0.260	0.380
brood	শাবক	0.633	0.519	0.434
brooding	ব্রীডিং	0.327	0.367	0.333
brook	সহ্য করা	0.594	0.347	0.412
broom	ঝাড়ু	0.385	0.154	0.302
broomstick	ঝাঁটার হাতল	0.410	0.265	0.227
broth	ঝোল	0.500	0.245	0.168
brothel	বেশ্যালয়	0.255	0.886	0.418
brother	ভাই	0.823	0.361	0.546
brotherhood	ভ্রাতৃত্ব	0.990	0.471	0.760
brotherly	ভ্রাতৃভাবে	0.865	0.306	0.596
brow	ললাট	0.562	0.311	0.481
brown	বাদামী	0.396	0.202	0.293
brownstone	বাদামি-পাথর	0.559	0.423	0.439
browse	ব্রাউজ	0.635	0.750	0.592
brrr	বাপরে	0.373	0.540	0.282
bruise	কালশিটে দাগ	0.133	0.640	0.474
bruising	চূর্ণ	0.084	0.520	0.422
brunch	ব্রাঞ্চ	0.406	0.363	0.343
brunette	শ্যামাঙ্গিনী	0.802	0.528	0.529
brunt	ধকল	0.204	0.750	0.349
brush	ব্রাশ	0.490	0.265	0.186
brutal	পাশবিক	0.122	0.882	0.643
brutality	পশুত্ব	0.122	0.832	0.571
brute	নরপশু	0.115	0.547	0.379
brutish	পাশবিক	0.270	0.837	0.588
bubble	বুদ্বুদ	0.774	0.213	0.364
bubbling	সাড়া জাগানো	0.500	0.438	0.384
bubbly	বুদ্বুদপূর্ণ	0.698	0.608	0.462
bubonic	গ্রান্থিস্ফীতিসহ উত্পন্ন	0.280	0.530	0.394
buck	হরিণ	0.677	0.577	0.720
buckaroo	buckaroo	0.448	0.469	0.479
bucket	বালতি	0.408	0.167	0.336
buckle	বক্ল	0.416	0.373	0.361
buckled	buckled	0.427	0.358	0.439
bucko	অহংকারী	0.439	0.455	0.465
buckshot	ছর্রা	0.255	0.740	0.322
buckwheat	বাজরা	0.490	0.471	0.434
bud	কুঁড়ি	0.460	0.402	0.333
buddha	বুদ্ধ	0.690	0.198	0.604
buddhism	বৌদ্ধধর্ম	0.510	0.115	0.673
buddhist	বৌদ্ধ	0.570	0.182	0.481
budding	স্ফুটনোন্মুখ	0.490	0.500	0.355
buddy	দোস্ত	0.884	0.585	0.655
budge	নাড়া	0.719	0.755	0.543
budget	বাজেট	0.643	0.396	0.731
buff	মহিষচর্ম	0.561	0.425	0.361
buffalo	মহিষ	0.469	0.528	0.527
buffer	বাফার	0.520	0.474	0.350
buffering	বাফার উপলব্ধ	0.479	0.468	0.381
buffet	ঘুষা	0.656	0.546	0.519
buffoon	ভাঁড়	0.344	0.651	0.290
bug	বাগ	0.286	0.500	0.246
bugaboo	জুজু	0.439	0.491	0.441
bugged	bugged	0.561	0.439	0.500
bugger	জঘন্য ব্যক্তি	0.312	0.627	0.474
buggy	বগী	0.500	0.509	0.327
bugle	ভেঁপু	0.479	0.588	0.391
bugler	রণশিঙ্গা-বাদক	0.542	0.540	0.393
build	নির্মাণ করা	0.771	0.546	0.806
builder	নির্মাতা	0.660	0.642	0.701
building	ভবন	0.705	0.288	0.673
buildings	ভবন	0.582	0.380	0.552
buildup	তৈরি কর	0.490	0.509	0.623
bulb	কন্দ	0.562	0.208	0.300
bulbous	কন্দাকার	0.390	0.442	0.430
bulge	স্ফীতি	0.260	0.487	0.400
bulimic	bulimic	0.092	0.570	0.373
bulk	বপু	0.469	0.413	0.509
bulkhead	জাহাজের মধ্যে জলরোধক বেষ্টনী	0.312	0.425	0.402
bulky	ভারী	0.427	0.591	0.750
bull	ষাঁড়	0.521	0.640	0.644
bulldog	কুকুরবিশেষ	0.494	0.650	0.530
bulldozer	ট্র্যাক্টর	0.459	0.549	0.643
bullet	গুলি	0.408	0.794	0.634
bulletin	বুলেটিন	0.573	0.294	0.361
bulletproof	বন্দুকের গুলিদ্বারা অভেদ্য	0.750	0.721	0.779
bullfighter	মানুষ ষাঁড়ের লড়াই করে	0.448	0.794	0.664
bullfrog	Bullfrog	0.344	0.481	0.422
bullheaded	মোটামাথা	0.229	0.740	0.516
bullhorn	ষাঁড়ের শিঙের	0.510	0.653	0.736
bullion	জরির ঝালর	0.693	0.558	0.729
bullock	বলদ	0.281	0.402	0.375
bullpen	bullpen	0.480	0.549	0.500
bullshit	বাজে কথা	0.042	0.676	0.183
bully	চমত্কার	0.257	0.755	0.564
bulwark	আত্মরক্ষার উপায়	0.551	0.552	0.675
bum	পশ্চাদ্দেশ	0.281	0.451	0.155
bumblebee	bumblebee	0.469	0.493	0.321
bummed	bummed	0.296	0.430	0.227
bummer	অকর্মা	0.163	0.500	0.267
bump	আচমকা	0.286	0.458	0.368
bumper	বাম্পার	0.385	0.573	0.518
bumpy	অসমান	0.306	0.683	0.419
bun	NO TRANSLATION	0.424	0.306	0.268
bunch	গুচ্ছ	0.552	0.358	0.473
bundle	পাঁজা	0.510	0.343	0.434
bungalow	কুঠী	0.562	0.352	0.406
bungee	বাঙ্গি	0.637	0.545	0.327
bunghole	বাংহোল	0.286	0.426	0.396
bunion	bunion	0.276	0.340	0.290
bunk	পালান	0.438	0.332	0.339
bunker	বাধা	0.375	0.673	0.773
bunkhouse	bunkhouse	0.470	0.414	0.407
bunny	শশ	0.740	0.325	0.194
bunt	পালের মধ্যভাগ	0.417	0.422	0.349
buoy	বয়া	0.562	0.280	0.284
buoyancy	প্লবতা	0.625	0.373	0.538
buoyant	প্রফুল্ল	0.625	0.441	0.497
bur	চোরকাঁটা	0.385	0.353	0.314
burden	বোঝা	0.367	0.583	0.697
burdened	ভারাক্রান্ত	0.429	0.519	0.565
burdensome	দুর্বহ	0.229	0.696	0.419
bureau	অফিস	0.562	0.373	0.618
bureaucracy	আমলাতন্ত্র	0.380	0.578	0.740
bureaucrat	আমলা	0.208	0.519	0.598
bureaucratic	আমলাতান্ত্রিক	0.280	0.630	0.573
burger	বার্গার	0.688	0.568	0.398
burglar	সিঁধেল চোর	0.050	0.769	0.404
burglary	সিঁধ কাটিয়া চুরি	0.146	0.918	0.543
burial	সমাধি	0.203	0.577	0.333
buried	প্রোথিত	0.133	0.530	0.370
burke	শ্বাসরুদ্ধ করিয়া মারা	0.466	0.441	0.451
burlap	পাট-কাপড়	0.429	0.462	0.411
burlesque	প্যারডি	0.327	0.615	0.343
burly	মোটাসোটা	0.562	0.650	0.750
burn	পোড়া	0.219	0.783	0.509
burned	পোড়া	0.163	0.603	0.347
burner	দহনকারী	0.296	0.816	0.446
burning	জ্বলন্ত	0.229	0.760	0.412
burnished	পালিশ করা	0.520	0.580	0.464
burnout	পোড়াইয়া সম্পূর্ণ ধ্বংস করা	0.219	0.445	0.240
burnt	দগ্ধ	0.082	0.713	0.356
burp	ঢেকুর	0.219	0.594	0.432
burr	চোরকাঁটা	0.390	0.426	0.308
burrito	বারিটো	0.688	0.294	0.166
burro	NO TRANSLATION	0.400	0.356	0.318
burrow	গর্ত করা	0.438	0.280	0.355
bursary	ছাত্রবৃত্তি	0.729	0.462	0.571
burst	বিস্ফোরণ	0.156	0.894	0.845
bury	সমাহিত করা	0.077	0.571	0.346
bus	বাস	0.407	0.411	0.400
busboy	NO TRANSLATION	0.510	0.453	0.441
bush	গুল্ম	0.413	0.220	0.315
bushel	শুষ্ক দ্রব্যের পরিমাণবিশেষ	0.417	0.387	0.368
bushy	জঙ্গলময়	0.562	0.321	0.427
business	ব্যবসায়	0.688	0.569	0.755
business man	NO TRANSLATION	0.530	0.598	0.933
businessman	ব্যবসায়ী	0.653	0.510	0.802
businesswoman	NO TRANSLATION	0.719	0.500	0.764
busload	busload	0.561	0.481	0.492
buss	চুম্বন	0.469	0.500	0.391
bust	বক্ষ	0.520	0.500	0.420
busted	busted	0.204	0.676	0.345
buster	বাস্টার	0.469	0.491	0.483
bustle	ছুটাছুটি	0.347	0.814	0.445
bustling	শশব্যস্ততা	0.490	0.850	0.528
busy	ব্যস্ত	0.402	0.500	0.474
busybody	অনধিকারচর্চাকারী	0.255	0.634	0.472
butane	রাসায়নিক যৌগ	0.442	0.483	0.380
butcher	কসাই	0.500	0.575	0.608
butler	খানসামা	0.469	0.225	0.438
butt	গুঁতা	0.347	0.725	0.336
butter	মাখন	0.650	0.292	0.202
buttercup	ঝুমকাজাতীয় স্বর্ণবর্ণ পুষ্পবিশেষ	0.562	0.482	0.422
butterfly	প্রজাপতি	0.892	0.327	0.314
buttermilk	ঘোল	0.633	0.311	0.304
butterscotch	butterscotch	0.708	0.510	0.356
buttery	মাখনের ন্যায়	0.625	0.318	0.303
buttock	পাছা	0.429	0.600	0.288
buttocks	নিতম্ব	0.458	0.677	0.365
button	বোতাম	0.520	0.220	0.343
buttress	আলম্ব	0.438	0.684	0.721
buxom	গোলগাল	0.562	0.719	0.547
buy	কেনা	0.771	0.769	0.612
buyer	ক্রেতা	0.613	0.519	0.649
buying	ক্রয়	0.665	0.784	0.589
buzz	গুঁজন	0.333	0.686	0.375
buzzard	বাজপাখি	0.350	0.500	0.225
buzzed	buzzed	0.583	0.549	0.448
buzzer	হর্ণ	0.549	0.716	0.480
buzzing	buzzing	0.430	0.588	0.370
bye	বিদায়	0.375	0.398	0.321
bygone	অতীত	0.229	0.310	0.315
bylaw	উপবিধি	0.469	0.373	0.725
byline	বাইলাইন	0.469	0.450	0.435
bypass	পার্শ্বপথ	0.429	0.418	0.353
bystander	নিরীক্ষক	0.480	0.462	0.491
byte	সংবাদের একক	0.490	0.380	0.407
byzantine	কনস্ট্যাণ্টিনোপলের	0.546	0.443	0.492
cab	ট্যাক্সি	0.438	0.490	0.421
cabal	চক্রান্ত করা	0.500	0.406	0.573
cabana	ছোট ঘর	0.698	0.296	0.407
cabaret	সরাই	0.677	0.656	0.482
cabbage	বাঁধাকপি	0.398	0.225	0.264
cabbie	cabbie	0.521	0.417	0.429
cabernet	কেবারনেট	0.543	0.420	0.480
cabin	কেবিন	0.643	0.292	0.430
cabinet	মন্ত্রিসভা	0.552	0.306	0.465
cable	তারের	0.583	0.245	0.434
caboodle	caboodle	0.529	0.521	0.325
caboose	রন্ধনশালা	0.440	0.453	0.438
cabriolet	এক্কাগাড়িবিশেষ	0.667	0.525	0.472
cache	ক্যাশে	0.552	0.348	0.389
cacophony	শ্রুতিকটুতা	0.408	0.562	0.440
cactus	ফণীমনসা	0.439	0.412	0.284
cad	লুচ্চা	0.447	0.406	0.404
cadaver	বিশীর্ণ দেহ	0.030	0.690	0.260
caddie	NO TRANSLATION	0.521	0.435	0.259
caddy	চা রাখিবার আধার	0.580	0.470	0.380
cadence	সুরের মুর্ছনা	0.427	0.473	0.355
cadet	যুদ্ধবিদ্যাশিক্ষার্থী	0.504	0.393	0.664
cafe	ক্যাফে	0.781	0.392	0.358
cafeteria	ক্যাফেটারিয়া	0.757	0.400	0.382
caffeine	ক্যাফিন	0.562	0.759	0.500
cage	খাঁচা	0.316	0.333	0.352
cagey	সুচতুর	0.542	0.363	0.582
cahoots	চক্রান্তে লিপ্ত	0.312	0.696	0.474
cairn	শিলাস্তূপ	0.260	0.435	0.254
cake	পিষ্টক	0.810	0.375	0.287
cakewalk	সহজ কাজ	0.719	0.510	0.447
calamari	calamari	0.521	0.312	0.406
calamitous	বিপজ্জনক	0.219	0.685	0.500
calamity	ক্লেশ	0.122	0.795	0.343
calcareous	চুনযুক্ত	0.490	0.368	0.462
calcium	ক্যালসিয়াম	0.600	0.346	0.479
calculate	গণনা করা	0.490	0.452	0.440
calculated	গণিত	0.633	0.425	0.683
calculating	গণক	0.458	0.430	0.625
calculation	হিসাব	0.646	0.453	0.606
calculator	গণক	0.513	0.283	0.588
calculus	পাথুরি	0.360	0.360	0.562
calendar	পাঁজি	0.480	0.212	0.473
calender	NO TRANSLATION	0.531	0.275	0.451
calf	বাছুর	0.531	0.366	0.336
caliber	ধীশক্তি	0.429	0.551	0.606
calibrate	শক্তির পরিমাপ করা	0.552	0.460	0.623
calico	বস্ত্রবিশেষ	0.406	0.338	0.491
calipers	ব্যাস মাপিবার যঁত্রবিশেষ	0.480	0.510	0.481
calisthenics	শক্তিলাভের জন্য ব্যায়াম	0.562	0.663	0.545
call	কল	0.594	0.627	0.558
callback	কলব্যাক	0.524	0.529	0.434
caller	আহ্বানকারী	0.646	0.615	0.472
calligraphy	শিল্পস্বরুপহস্তলিপি	0.620	0.216	0.500
calling	কলিং	0.646	0.590	0.483
callous	অনুভূতিহীন	0.245	0.500	0.386
calls	কল	0.608	0.431	0.551
calm	শান্ত	0.875	0.100	0.282
calming	প্রশান্ত ভাব	0.885	0.105	0.360
calmness	নিস্তব্ধতা	0.934	0.105	0.394
caloric	তাপসম্বন্ধীয়	0.327	0.483	0.448
calorie	উত্তাপের মাপবিশেষ	0.333	0.540	0.427
calorimeter	তাপপরিমাপক যন্ত্র	0.406	0.560	0.414
cam	চাকার অংশবিশেষ	0.448	0.363	0.355
camaraderie	সহকর্মীদের মধ্যে অন্তরঙ্গতা ত্ত পরম্পরের প্রতি আস্থা	0.833	0.510	0.648
camber	উত্তল বক্রতা	0.430	0.382	0.439
camcorder	ক্যামকডারের	0.556	0.422	0.454
camel	উট	0.540	0.282	0.314
cameo	খোদাই-করা মূতিযুক্ত মণিবিশেষ	0.573	0.457	0.509
camera	ক্যামেরা	0.640	0.288	0.379
cameraman	আলোকচিত্র-গ্রহণকারী	0.542	0.452	0.542
camisole	টেপ	0.497	0.250	0.375
camouflage	ছদ্মবেশ	0.438	0.585	0.450
camouflaged	NO TRANSLATION	0.350	0.422	0.562
camp	শিবির	0.622	0.617	0.594
campaign	প্রচারণা	0.602	0.730	0.823
campaigner	প্রবীণ সৈনিক	0.592	0.698	0.821
campaigning	প্রচারণার	0.531	0.663	0.741
camper	ক্যাম্পার	0.573	0.529	0.482
campfire	ক্যাম্প ফায়ার	0.677	0.509	0.436
camping	ক্যাম্পিং	0.653	0.529	0.480
campsite	ক্যাম্পিং সাইট	0.680	0.490	0.547
campus	বিদ্যায়তন	0.604	0.388	0.519
can	করতে পারেন	0.662	0.360	0.454
can opener	খুলতে পারেন	0.444	0.491	0.308
canal	খাল	0.673	0.259	0.321
canary	হলদে	0.582	0.276	0.265
cancel	বাতিল	0.214	0.306	0.368
canceling	বাতিল	0.229	0.470	0.349
cancellation	বাতিলের	0.224	0.431	0.389
cancer	ক্যান্সার	0.052	0.694	0.529
candid	অকপট	0.667	0.349	0.458
candidacy	প্রার্থী	0.490	0.657	0.696
candidate	প্রার্থী	0.596	0.490	0.804
candied	তোষামোদকারী	0.713	0.330	0.360
candle	বাতি	0.602	0.221	0.344
candlelight	সন্ধ্যাকাল	0.789	0.294	0.417
candles	মোমবাতি	0.615	0.206	0.268
candlestick	পিলসুজ	0.448	0.531	0.534
candor	অকপটতা	0.740	0.389	0.607
candy	মিছরি	0.930	0.425	0.384
cane	বেত	0.459	0.298	0.398
canine	কুকুরের	0.573	0.569	0.425
canister	টিন	0.553	0.271	0.403
canker	কীট	0.262	0.469	0.427
cannabis	ভাং	0.271	0.500	0.564
canned	ধাতুপাত্রে রক্ষিত	0.398	0.357	0.298
cannibal	রাক্ষস	0.122	0.824	0.480
cannibalism	নরমাংসভক্ষণপ্রথা	0.094	0.890	0.583
canning	চতুর	0.490	0.392	0.259
cannon	কামান	0.529	0.676	0.811
cannonball	গোলাগুলি	0.344	0.840	0.759
canoe	শাল্তি	0.542	0.300	0.418
canon	অনুশাসন	0.385	0.519	0.541
canonical	আনুশাসনিক	0.542	0.410	0.620
canons	ধর্মীয় অনুশাসন অনুসারে	0.385	0.588	0.593
canopy	শামিয়ানা	0.615	0.264	0.398
cantaloupe	ফুটি	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	ক্যান্টিন	0.688	0.600	0.514
canterbury	ক্যাঁতারবেরী	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	বড় খিলান	0.357	0.618	0.421
cantina	cantina	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	বিভিন্ন প্রদেশে বিভক্ত করা	0.542	0.472	0.536
cantstandit	cantstandit	0.418	0.546	0.343
cantwin	cantwin	0.260	0.509	0.298
canvas	ক্যানভাস	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	গভীর খাদ	0.468	0.731	0.634
cap	টুপি	0.612	0.240	0.375
capability	সামর্থ্য	0.833	0.571	0.730
capable	সক্ষম	0.765	0.587	0.547
capacity	ধারণক্ষমতা	0.719	0.411	0.806
cape	অন্তরীপ	0.531	0.235	0.357
caper	লম্ফ	0.510	0.370	0.326
capillary	কৈশিক	0.469	0.365	0.395
capital	রাজধানী	0.520	0.500	0.798
capitalism	পুঁজিবাদ	0.448	0.686	0.848
capitalist	পুঁজিবাদী	0.352	0.577	0.821
capitalize	নিজ সুবিধার্থে প্রয়োগ করা	0.771	0.601	0.885
capitals	রাজধানীতে	0.755	0.500	0.655
capitation	মাথট	0.479	0.529	0.589
capitol	দেবরাজ জুপিটারের মন্দির	0.535	0.375	0.705
capitulation	আত্মসমর্পণ	0.375	0.546	0.615
cappuccino	কাপাচিনো	0.792	0.279	0.384
caprice	আবদার	0.333	0.640	0.430
capricious	খামখেয়ালী	0.221	0.650	0.500
caps	ক্যাপ	0.510	0.221	0.368
capslock	ক্যাপস লক	0.330	0.394	0.398
capsule	ক্যাপসুল	0.583	0.290	0.570
captain	অধিনায়ক	0.552	0.653	0.966
caption	ক্যাপশন	0.814	0.292	0.379
captivate	মাত করা	0.698	0.604	0.723
captivating	চিত্তাকর্ষক	0.895	0.594	0.816
captive	বন্দী	0.235	0.558	0.411
captivity	বন্দিদশা	0.225	0.493	0.387
captor	বন্দিকারী	0.347	0.625	0.612
capture	গ্রেপ্তার	0.357	0.650	0.537
car	গাড়ী	0.776	0.540	0.500
caramel	দগ্ধ শর্করা	0.901	0.363	0.400
carat	ক্যারেট	0.823	0.604	0.676
caravan	ভ্রমণকারী মরূযাত্রিদল	0.635	0.559	0.455
carbon	কারবন	0.604	0.360	0.350
carburetor	অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র	0.469	0.612	0.555
carcass	পশুর মৃতদেহ	0.115	0.529	0.309
carcinoma	একপ্রকার কর্কটরোগ	0.153	0.692	0.440
card	কার্ড	0.531	0.269	0.436
cardboard	পিচবোর্ড	0.500	0.173	0.309
cardiac	হৃত্পিণ্ডসংবন্ধীয়	0.344	0.765	0.615
cardigan	পশমী গেঁজী	0.599	0.324	0.264
cardinal	অঙ্কবাচক	0.583	0.358	0.712
cardiologist	হৃদরোগ বিশেষজ্ঞ	0.458	0.630	0.814
cardiology	হৃদ্বিজ্ঞান	0.203	0.545	0.605
cardiomyopathy	cardiomyopathy	0.177	0.645	0.537
cards	তাস	0.568	0.317	0.320
care	যত্ন	0.729	0.370	0.500
career	পেশা	0.740	0.712	0.606
carefree	ভাবনাহীন	0.755	0.220	0.500
careful	সাবধান	0.625	0.538	0.530
carefully	সাবধানে	0.698	0.330	0.544
careless	উদ্বেগহীন	0.255	0.431	0.125
carelessness	অসতর্কতা	0.245	0.482	0.330
caress	আদর	0.833	0.418	0.509
caret	কাকপদ	0.656	0.402	0.527
caretaker	তত্ত্বাবধায়ক	0.714	0.531	0.759
cargo	জাহাজী মাল	0.408	0.444	0.455
caribou	Caribou	0.562	0.452	0.342
caricature	ব্যঙ্গচিত্র	0.604	0.373	0.383
caries	অস্থির ক্ষয়রোগ	0.115	0.569	0.283
caring	যত্নশীল	0.635	0.469	0.500
carjack	carjack	0.438	0.682	0.439
carnage	হত্যাকাণ্ড	0.406	0.600	0.558
carnal	জাগতিক	0.417	0.679	0.421
carnation	গোলাপী পাতলবর্ণ	0.653	0.357	0.431
carnival	ভ্রাম্যমাণ আনন্দমেলা	0.927	0.888	0.555
carnivorous	মাংসাশী	0.224	0.613	0.651
carol	সংকীর্তন	0.673	0.412	0.436
carols	ক্যারোল	0.847	0.420	0.491
carousel	ক্যারোজেল	0.704	0.500	0.412
