Word	Somali-so	Valence	Arousal	Dominance
cuticle	xajin	0.340	0.320	0.377
cutie	cutie	0.638	0.528	0.464
cutlass	xayeysiis	0.173	0.648	0.528
cutlery	cutlery	0.552	0.300	0.345
cutoff	gooyay ama jaray	0.432	0.510	0.518
cutter	cutter	0.427	0.731	0.583
cutters	jaranjaro	0.197	0.653	0.491
cutthroat	gooyo	0.110	0.823	0.663
cutting	jarida	0.448	0.375	0.536
cutting board	jarista	0.337	0.540	0.342
cuttings	gooyn	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	cyanide	0.229	0.667	0.545
cyberspace	shabakadda	0.677	0.594	0.611
cycle	wareegga	0.635	0.400	0.533
cyclical	duufaan	0.380	0.450	0.554
cyclist	baaskiilka	0.684	0.582	0.576
cyclone	duufaan	0.416	0.796	0.673
cylinder	silyley	0.459	0.324	0.447
cylindrical	cylindrical	0.458	0.294	0.414
cymbal	heeso	0.542	0.363	0.362
cynic	cynic	0.135	0.632	0.473
cynical	caynical	0.156	0.760	0.474
cynicism	qalbi xumo	0.104	0.780	0.454
cyst	cyst	0.173	0.578	0.312
cystic	cystic	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	cytoplasm	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	dab	0.510	0.337	0.340
dabble	sheyga	0.550	0.530	0.491
dabbling	gabbasho	0.562	0.726	0.676
dad	aabe	0.857	0.412	0.786
daddy	aabe	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	daemon	0.333	0.490	0.500
daft	dheef	0.255	0.436	0.157
dagger	toorreey	0.224	0.797	0.613
daily	maalin walba	0.653	0.347	0.473
dainty	dainty	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	caano	0.633	0.255	0.462
daisy	Daisy	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	dale	0.622	0.270	0.365
dam	biyo	0.250	0.553	0.394
damage	dhaawac	0.059	0.726	0.403
damaged	dhaawacmay	0.104	0.635	0.182
damages	magdhow	0.082	0.760	0.310
dame	dame	0.694	0.480	0.500
damn	damn	0.073	0.784	0.431
damnation	dammaanad	0.135	0.750	0.416
damned	lumay	0.100	0.760	0.465
damp	qoyan	0.360	0.279	0.210
dampened	dampened	0.271	0.422	0.336
damper	damper	0.459	0.378	0.473
damsel	gabadh	0.719	0.475	0.400
dance	qoob ka ciyaarka	0.894	0.840	0.551
dancer	cayaaraha	0.740	0.768	0.545
dancing	qoob ka ciyaarka	0.885	0.868	0.444
dandruff	xannibaadda	0.398	0.298	0.293
dandy	dandy	0.673	0.520	0.630
danger	khatarta	0.115	0.923	0.673
dangerous	halis ah	0.020	0.941	0.658
dangerously	halis ah	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	dangle	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	dapper	0.770	0.560	0.698
dare	isku day	0.677	0.788	0.684
daredevil	daredevil	0.429	0.714	0.653
daresay	daresay	0.540	0.451	0.490
daring	darid	0.583	0.840	0.711
dark	madow	0.198	0.398	0.426
darken	madow	0.250	0.471	0.382
darkened	madow	0.135	0.440	0.452
darkly	madow	0.219	0.548	0.443
darkness	gudcur	0.102	0.602	0.418
darkroom	madow	0.188	0.627	0.423
darkside	madow	0.102	0.690	0.365
darling	jacayl	0.885	0.370	0.608
darn	darn	0.115	0.765	0.418
dart	dar	0.417	0.608	0.500
dash	xishoodka	0.574	0.312	0.324
dashboard	dashboard	0.510	0.371	0.595
dashed	gooyay	0.276	0.393	0.338
dashing	nadiifinta	0.612	0.627	0.799
dastardly	dastardly	0.208	0.688	0.270
data	xogta	0.500	0.250	0.426
database	xogta	0.604	0.286	0.644
date	taariikhda	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	gabadh	0.908	0.415	0.455
dawdle	dawdle	0.479	0.464	0.357
dawn	waaba	0.827	0.235	0.519
dawned	oo kacday	0.694	0.471	0.473
day	maalin	0.719	0.269	0.389
daybreak	dayrta	0.802	0.358	0.474
daycare	xanaanada caruurta	0.776	0.481	0.360
daydream	daydream	0.750	0.337	0.456
daydreaming	daydreaming	0.776	0.360	0.479
daylight	dayrka	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	maalintii	0.750	0.324	0.454
daze	daze	0.245	0.735	0.329
dazed	gariiray	0.300	0.697	0.277
dazzle	yaabay	0.730	0.782	0.683
dazzling	naxdin leh	0.854	0.880	0.767
deacon	deacon	0.531	0.430	0.736
deactivate	joojin	0.235	0.447	0.392
dead	dhintay	0.052	0.454	0.194
deadbeat	dhimasho	0.229	0.453	0.368
deadline	ugu dambeyntii	0.214	0.615	0.460
deadlines	waqtiyada loo qabtay	0.406	0.769	0.411
deadlock	dhimasho	0.170	0.418	0.323
deadly	dhimasho	0.143	0.849	0.554
deaf	dhagool	0.186	0.324	0.161
deafening	Dhegeysiga	0.281	0.835	0.482
deafness	dhega la'aanta	0.125	0.413	0.219
deal	heshiis	0.719	0.599	0.543
dealer	iibiyaha	0.799	0.615	0.683
dealership	ganacsiga	0.541	0.430	0.629
dealing	wax ka qabashada	0.724	0.415	0.598
dealings	waxqabadka	0.600	0.491	0.480
dean	dean	0.612	0.469	0.723
dear	qaali	0.880	0.434	0.629
dearest	qaali	0.902	0.427	0.508
dearth	dearth	0.156	0.539	0.255
death	dhimasho	0.031	0.720	0.472
deathbed	dhimasho	0.051	0.652	0.311
deathly	dhimasho	0.073	0.771	0.682
debacle	ciribtirka	0.156	0.606	0.266
debased	debed	0.219	0.529	0.170
debatable	la xalin karo	0.181	0.610	0.474
debate	Dood	0.408	0.691	0.683
debauchery	dhibaatada	0.354	0.901	0.500
debenture	deynta	0.417	0.500	0.466
debilitating	Dhibaatada	0.125	0.490	0.308
debit	debit	0.333	0.400	0.474
debrief	dulqaad	0.247	0.343	0.549
debriefing	dood-bixinta	0.427	0.580	0.456
debris	burburka	0.135	0.396	0.327
debt	deyn	0.204	0.598	0.336
debtor	deynta	0.219	0.546	0.160
debut	ugu horeyn	0.806	0.606	0.629
debutante	horudhac	0.771	0.627	0.454
decade	toban sano	0.531	0.402	0.665
decadence	cows	0.237	0.455	0.291
decadent	ciriiri	0.290	0.559	0.324
decaf	saaran	0.480	0.324	0.353
decanter	decanter	0.438	0.567	0.510
decathlon	decathlon	0.573	0.753	0.620
decay	burburay	0.143	0.312	0.170
decayed	burburay	0.017	0.375	0.169
decaying	burburinta	0.073	0.510	0.214
deceased	dhintay	0.021	0.538	0.188
decedent	ficil	0.423	0.481	0.415
deceit	khiyaanada	0.020	0.696	0.343
deceitful	khiyaanayn	0.071	0.788	0.371
deceive	khiyaamo	0.094	0.775	0.414
deceived	la khiyaaneeyey	0.059	0.673	0.302
deceiving	khiyaanayn	0.099	0.636	0.426
december	Diseembar	0.740	0.540	0.464
decency	daacadnimo	0.750	0.235	0.634
decent	fiican	0.823	0.296	0.653
deception	been-abuur	0.090	0.745	0.370
deceptive	khiyaano	0.027	0.605	0.294
decide	go'aanso	0.656	0.540	0.855
decidedly	go'aansadeen	0.750	0.480	0.843
deciduous	go'doomin	0.385	0.353	0.282
decimal	tobanle	0.507	0.259	0.305
decimeter	decimeter	0.520	0.292	0.377
decipher	fadlan	0.417	0.630	0.652
decision	go'aanka	0.646	0.510	0.839
decisive	go'aamiye	0.740	0.509	0.935
deck	qashinka	0.420	0.333	0.394
declaration	cadeyn	0.551	0.590	0.714
declaratory	cadeyn	0.635	0.582	0.673
declare	sheeg	0.677	0.623	0.668
declination	hoos u dhac	0.250	0.549	0.311
decline	hoos u dhac	0.173	0.491	0.240
declining	hoos u dhac	0.328	0.400	0.264
deco	deco	0.625	0.274	0.356
decode	go'aamiyo	0.551	0.510	0.640
decoder	decoder	0.562	0.340	0.686
decompose	burburin	0.194	0.596	0.241
decomposed	gooyay	0.073	0.442	0.231
decomposition	burburinta	0.133	0.600	0.263
decompress	xakameynaya	0.438	0.430	0.509
decompression	fadeexad	0.208	0.520	0.311
decontamination	sun-saaridda	0.611	0.538	0.573
decor	qurxinta	0.734	0.311	0.573
decorate	qurxin	0.954	0.370	0.404
decorating	qurxinta	0.863	0.548	0.462
decoration	qurxinta	0.878	0.553	0.526
decorative	qurxinta	0.908	0.460	0.381
decorator	qurxinta	0.840	0.471	0.455
decorum	dariiqa	0.802	0.327	0.462
decoy	qoyaan	0.149	0.460	0.330
decrease	hoos u dhac	0.125	0.360	0.267
decreased	hoos u dhacay	0.224	0.271	0.170
decreasing	hoos u dhac	0.320	0.346	0.224
decree	amar	0.552	0.478	0.746
decrement	hoos u dhac	0.255	0.427	0.373
decrepit	dhimasho	0.156	0.490	0.225
decry	gooyso	0.400	0.814	0.548
decryption	furfurid	0.459	0.445	0.600
dedicate	adoo dedejinaya	0.823	0.431	0.588
dedication	ku kalsoonaanta	0.867	0.471	0.682
deduce	iska dhig	0.490	0.510	0.466
deduct	ka jarid	0.355	0.330	0.412
deductible	laga jari karo	0.375	0.286	0.455
deduction	dhimista	0.438	0.462	0.527
deed	shaqeeyey	0.520	0.320	0.592
deejay	deejay	0.551	0.630	0.473
deem	deem	0.594	0.529	0.690
deep	qoto dheer	0.490	0.473	0.657
deepen	qoto dheer	0.625	0.530	0.776
deer	deer	0.583	0.375	0.292
defamation	jaahwareerka	0.110	0.670	0.481
defamatory	niyad jab	0.143	0.688	0.402
default	default	0.459	0.343	0.712
defeat	jabinta	0.092	0.500	0.224
defeated	laga adkaaday	0.104	0.582	0.145
defeatist	guuldareyaha	0.163	0.567	0.315
defect	cillad	0.135	0.561	0.185
defection	goosashada	0.146	0.594	0.330
defective	khalad	0.122	0.580	0.274
defector	gardaro	0.163	0.696	0.286
defend	difaac	0.698	0.722	0.670
defendant	eedaysanaha	0.250	0.710	0.491
defended	difaacay	0.663	0.451	0.582
defender	difaac	0.639	0.708	0.750
defending	difaac	0.604	0.871	0.812
defense	difaaca	0.652	0.698	0.802
defenseless	difaac la'aan	0.143	0.357	0.105
defensible	difensible	0.740	0.509	0.593
defensive	difaac	0.542	0.640	0.678
defer	dib u dhig	0.245	0.459	0.317
deference	dareenka	0.510	0.396	0.447
deferral	dib u dhigis	0.765	0.542	0.327
deferring	dib u dhigista	0.343	0.500	0.413
defiance	diidmo	0.333	0.780	0.760
defiant	daacad ah	0.250	0.792	0.769
defibrillator	defibrillator	0.398	0.663	0.431
deficiency	yaraanta	0.073	0.373	0.179
deficient	liidata	0.240	0.464	0.132
deficit	khasaare	0.358	0.500	0.269
define	qeexaan	0.688	0.415	0.632
defined	qeexay	0.670	0.214	0.646
definite	qeexan	0.708	0.292	0.741
definition	qeexidda	0.573	0.375	0.579
definitive	qeexan	0.583	0.479	0.787
deflate	Diido	0.148	0.404	0.237
deflation	jaban	0.287	0.536	0.407
deflect	isdhaafsi	0.133	0.491	0.482
deflection	is-beddel	0.188	0.500	0.382
defloration	xumeyn	0.188	0.690	0.434
deform	deform	0.112	0.654	0.284
deformed	deformed	0.198	0.435	0.308
deformity	deformity	0.160	0.569	0.241
defraud	caymis	0.175	0.635	0.314
defray	difray	0.375	0.598	0.653
defrost	defrost	0.427	0.317	0.389
deft	ciyaaraha	0.719	0.575	0.849
defunct	fadlan	0.112	0.491	0.272
defuse	gooyo	0.167	0.480	0.430
defy	diidmo	0.353	0.884	0.657
degeneracy	degenaanta	0.143	0.720	0.298
degenerate	kacsanaan	0.069	0.724	0.264
degeneration	xumayn	0.245	0.578	0.371
degradation	xumeyn	0.160	0.608	0.315
degrade	degrade	0.083	0.500	0.184
degraded	burburay	0.167	0.433	0.205
degrading	sharaf-ridid	0.031	0.583	0.232
degree	shahaadada	0.724	0.365	0.663
dehydrated	Fuuqbax	0.310	0.685	0.212
dehydration	Fuuqbax	0.188	0.472	0.259
dejected	diyaarsan	0.104	0.654	0.347
delay	daahitaan	0.204	0.510	0.162
delayed	dib u dhac	0.188	0.490	0.216
delectable	raaxo leh	0.781	0.642	0.718
delegate	Wakiil	0.612	0.491	0.658
delegation	Wafdi	0.562	0.431	0.609
delete	tirtir	0.292	0.298	0.409
deleterious	gardarrada	0.297	0.725	0.440
deletion	tirtirid	0.062	0.506	0.462
deli	deli	0.561	0.448	0.447
deliberate	si ula kac ah	0.551	0.654	0.682
deliberation	la-talin	0.561	0.678	0.596
deliberative	talabixin	0.392	0.552	0.573
delicacy	raaxeysiga	0.812	0.279	0.336
delicate	jilicsan	0.583	0.294	0.366
delicatessen	dhajinta	0.656	0.474	0.400
delicious	delicious	0.927	0.650	0.589
delight	farxad	0.949	0.666	0.647
delighted	aad u faraxsan	0.938	0.664	0.685
delightful	farxad leh	0.918	0.735	0.644
delineate	cadayn	0.448	0.430	0.445
delineation	qeexitaan	0.521	0.402	0.314
delinquency	dambi	0.135	0.860	0.508
delinquent	been ah	0.051	0.904	0.500
delirious	runtii	0.219	0.774	0.538
delirium	delirium	0.233	0.694	0.484
deliver	bixinta	0.583	0.370	0.582
deliverance	badbaadinta	0.750	0.520	0.658
delivery	bixinta	0.704	0.461	0.786
dell	dell	0.458	0.380	0.453
delta	delta	0.551	0.343	0.509
delude	been	0.143	0.627	0.353
deluge	Duufaan	0.245	0.714	0.612
delusion	been abuur	0.344	0.647	0.400
delusional	been abuur	0.219	0.745	0.327
deluxe	deluxe	0.792	0.612	0.755
delve	diidmo	0.469	0.529	0.684
demand	dalbasho	0.292	0.673	0.500
demanding	dalbasho	0.396	0.750	0.828
demeaned	gardaro ah	0.271	0.520	0.212
demeaning	nacaybka	0.104	0.645	0.308
demeanor	demeanor	0.633	0.433	0.657
demented	demented	0.088	0.787	0.309
dementia	waallida	0.092	0.779	0.337
demise	demis	0.104	0.596	0.456
demo	demo	0.510	0.314	0.423
democracy	dimuqraadiyad	0.680	0.500	0.840
democrat	dimuqraadi	0.582	0.400	0.755
democratic	dimuqraadiyad	0.802	0.519	0.798
demographic	demographic	0.459	0.356	0.594
demolish	burburin	0.125	0.632	0.700
demolished	burburay	0.271	0.647	0.353
demolition	burburinta	0.133	0.827	0.541
demon	jinni	0.037	0.908	0.509
demonic	jinni	0.146	0.875	0.600
demonstrable	la muujin karo	0.735	0.471	0.749
demonstrate	muuji	0.771	0.552	0.839
demonstrated	muujiyey	0.617	0.500	0.649
demonstrating	muujinta	0.698	0.571	0.693
demonstration	bandhigid	0.551	0.676	0.679
demonstrative	dibad baxyo	0.656	0.528	0.736
demonstrator	mudaaharaad	0.520	0.598	0.733
demoralized	niyad jabay	0.082	0.590	0.149
demos	demos	0.418	0.370	0.368
demure	demure	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	dambi	0.230	0.509	0.417
denial	diidmada	0.194	0.435	0.318
denied	beeniyay	0.188	0.604	0.333
denim	denim	0.520	0.382	0.327
denomination	diinta	0.490	0.363	0.429
denominational	diinta	0.458	0.375	0.679
denominator	hoose	0.450	0.410	0.613
denote	tilmaamey	0.448	0.471	0.534
denounce	diidmo	0.083	0.780	0.426
dense	cufan	0.354	0.343	0.536
density	cufnaanta	0.602	0.471	0.561
dent	dent	0.306	0.606	0.325
dental	ilkaha	0.573	0.404	0.463
dentist	dhakhtarka ilkaha	0.479	0.620	0.642
dentistry	dhakhtarka ilkaha	0.429	0.570	0.569
dentists	dhakhaatiirta ilkaha	0.364	0.600	0.582
denunciation	diidmada	0.146	0.830	0.561
deny	diid	0.316	0.667	0.321
denying	diidid	0.080	0.542	0.272
deodorant	deodorant	0.480	0.265	0.269
depart	bax	0.398	0.480	0.444
departed	tegey	0.245	0.536	0.391
department	waaxda	0.708	0.358	0.642
departmental	waaxda	0.612	0.422	0.446
departure	baxa	0.573	0.500	0.426
depend	ku xiran	0.388	0.429	0.358
dependable	ku tiirsanaan karo	0.880	0.357	0.741
dependant	ku tiirsan	0.357	0.404	0.451
dependence	ku tiirsanaan	0.250	0.451	0.433
dependency	ku tiirsanaanta	0.429	0.365	0.356
dependent	ku tiirsan	0.354	0.455	0.404
depict	sawir	0.663	0.529	0.723
depicting	sawiridda	0.490	0.566	0.602
depletion	Dhimashada	0.153	0.370	0.236
deplorable	dhibban	0.135	0.657	0.230
deplore	gardarrada	0.135	0.575	0.373
deploy	la geeyo	0.500	0.520	0.585
deployment	dirista	0.510	0.520	0.612
deport	masaafurin	0.167	0.667	0.546
deportation	masaafurin	0.104	0.786	0.450
depose	ka dhigtaa	0.286	0.420	0.451
deposit	deebaaji	0.540	0.379	0.483
depositary	kaydinta	0.604	0.431	0.500
deposition	qulqulka	0.394	0.510	0.471
depository	kaydinta	0.551	0.373	0.481
depot	kaydka	0.635	0.255	0.471
depraved	naaqusay	0.031	0.837	0.395
depravity	qummanaanta	0.115	0.854	0.453
depreciate	qiimo la'aan	0.270	0.623	0.445
depreciated	qiimo jaban	0.135	0.672	0.250
depreciation	Dhimista	0.143	0.571	0.386
depress	niyad jab	0.219	0.635	0.528
depressed	niyad jabay	0.024	0.445	0.136
depressing	niyadjab	0.146	0.559	0.216
depression	niyadjab	0.031	0.520	0.232
depressive	niyad jab	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	laga mamnuuco	0.194	0.610	0.413
deprive	lagama yaabo	0.271	0.591	0.340
deprived	laga reebay	0.354	0.506	0.536
depth	qoto dheer	0.708	0.561	0.759
deputy	ku-xigeenka	0.429	0.530	0.787
derail	ka baxa	0.108	0.802	0.375
deranged	dulqaadan	0.376	0.868	0.357
derelict	deriska	0.208	0.470	0.237
derision	murugo	0.265	0.670	0.292
derivation	kala-saarid	0.521	0.519	0.644
derivative	deriska	0.541	0.491	0.508
derive	keena	0.396	0.324	0.360
dermal	dermal	0.385	0.406	0.443
dermatologist	maqaarka	0.531	0.358	0.528
dermatology	maqaarka	0.422	0.500	0.556
derogation	derogeynta	0.208	0.460	0.327
derogatory	fadeexad	0.122	0.580	0.404
descend	soo degso	0.385	0.535	0.231
descendant	farcanka	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	hoos u dhacaya	0.219	0.493	0.250
descent	ka soo jeeda	0.300	0.402	0.158
describe	sharax	0.542	0.472	0.555
description	sharaxaad	0.582	0.425	0.596
descriptive	sharraxeyn	0.667	0.352	0.570
desecrate	nadiif	0.255	0.806	0.509
desecration	jeexasho	0.125	0.833	0.564
desert	lamadeg	0.469	0.279	0.389
deserted	ka baxsan	0.156	0.480	0.214
deserter	degeenta	0.122	0.710	0.366
desertion	leexashada	0.122	0.630	0.289
deserve	u qalmaan	0.802	0.436	0.613
deserved	u qalantay	0.781	0.582	0.689
deserving	u qalma	0.802	0.596	0.858
design	naqshadeynta	0.796	0.327	0.632
designate	magacaabi	0.531	0.538	0.683
designated	loo qoondeeyey	0.500	0.412	0.616
designation	magacaabida	0.612	0.571	0.675
designed	loogu talagalay	0.745	0.380	0.595
designer	naqshadeeye	0.875	0.519	0.670
designing	naqshadeynta	0.792	0.355	0.552
desirability	rabitaanka	0.684	0.550	0.675
desirable	suurad wacan	0.740	0.735	0.750
desire	rabitaan	0.896	0.692	0.647
desiring	rabto	0.814	0.821	0.632
desirous	rabto	0.719	0.824	0.562
desist	joojin	0.220	0.358	0.291
desk	miiska	0.510	0.135	0.422
desolate	burburin	0.104	0.320	0.228
desolation	burburinta	0.073	0.481	0.273
despair	quusasho	0.115	0.794	0.245
despairing	quusto	0.073	0.735	0.286
despatch	quusto	0.448	0.400	0.613
desperado	Desperado	0.260	0.745	0.361
desperate	quus ah	0.083	0.842	0.337
desperation	quusasho	0.125	0.904	0.419
despicable	niyad jab	0.146	0.710	0.255
despise	quudhsan	0.167	0.745	0.296
despondent	murugo	0.133	0.378	0.221
despotic	quusto	0.141	0.824	0.592
despotism	jaahwareer	0.255	0.696	0.620
dessert	macmacaanka	0.755	0.491	0.404
destination	meesha	0.708	0.471	0.637
destined	ku qulqulaya	0.698	0.462	0.617
destiny	kadiba	0.781	0.413	0.611
destitute	nasiib daro	0.130	0.451	0.222
destroy	burburin	0.046	0.935	0.635
destroyed	burburay	0.031	0.696	0.288
destroyer	burburiyaha	0.083	0.830	0.543
destroying	burburinta	0.041	0.828	0.660
destruct	burburin	0.071	0.868	0.525
destruction	burburinta	0.102	0.929	0.613
destructive	burburin	0.177	0.870	0.713
detach	kala tag	0.357	0.625	0.450
detached	kala go'ay	0.280	0.396	0.216
detachment	kala-saarista	0.243	0.700	0.443
detail	faahfaahin	0.514	0.406	0.528
detailed	faahfaahsan	0.603	0.314	0.472
details	faahfaahin	0.583	0.367	0.481
detain	xiro	0.351	0.345	0.430
detainee	xirxiray	0.306	0.510	0.321
detect	ogaadaan	0.531	0.520	0.565
detectable	la ogaan karo	0.479	0.539	0.649
detection	ogaanshaha	0.708	0.567	0.538
detective	Digniin	0.500	0.764	0.901
detector	gawaarida	0.459	0.630	0.724
detention	xabsiga	0.265	0.698	0.562
deter	gardarrada	0.344	0.537	0.567
detergent	saabuunta	0.458	0.304	0.426
deteriorate	xumayn	0.083	0.471	0.202
deteriorated	sii xumaatay	0.053	0.549	0.237
deteriorating	sii xumaanayso	0.104	0.459	0.112
deterioration	sii xumaan	0.130	0.512	0.283
determinable	la garan karo	0.625	0.565	0.723
determinate	go'aamiyo	0.630	0.314	0.772
determination	go'aaminta	0.776	0.725	0.795
determine	go'aamiso	0.612	0.368	0.776
determined	go'aamiyey	0.760	0.528	0.673
deterrent	cabsida	0.292	0.461	0.385
detest	gardarrada	0.083	0.800	0.492
detestation	nacayb	0.177	0.637	0.412
detonate	qarxin	0.375	0.850	0.696
detonation	qarxin	0.167	0.931	0.741
detonator	qaraxa	0.207	0.875	0.750
detour	isugudbinta	0.398	0.539	0.309
detract	gooyaan	0.344	0.438	0.368
detriment	dhib badan	0.281	0.538	0.263
detrimental	halis ah	0.203	0.679	0.387
detritus	detritus	0.276	0.353	0.363
deuce	deuce	0.479	0.338	0.425
deutschmark	deutschmark	0.439	0.431	0.509
devalued	dhimay	0.321	0.462	0.212
devastate	burburin	0.021	0.796	0.509
devastated	burburay	0.120	0.544	0.264
devastating	burburin	0.104	0.856	0.419
devastation	burburin	0.090	0.904	0.472
develop	horumarin	0.771	0.670	0.821
developer	horumariye	0.844	0.653	0.864
developing	horumarinta	0.833	0.587	0.714
development	horumarin	0.827	0.500	0.796
deviant	iwm	0.094	0.589	0.398
deviate	dhicin	0.173	0.562	0.269
deviating	gaabis ah	0.354	0.634	0.536
deviation	is-beddelka	0.105	0.513	0.336
device	qalab	0.562	0.404	0.627
devil	Ibliisku	0.161	0.900	0.611
deviled	beeneyaal	0.347	0.559	0.358
devilish	Ibliisku	0.073	0.865	0.490
devious	khiyaano	0.250	0.519	0.259
devise	samee	0.551	0.557	0.670
devoid	ka baxsan	0.219	0.436	0.300
devolution	awood baahinta	0.345	0.434	0.425
devolve	gooyaan	0.367	0.427	0.596
devote	Iskuday	0.802	0.490	0.642
devoted	u go'an	0.867	0.320	0.698
devotee	xayeysiin	0.816	0.461	0.577
devotion	ixtiraamka	0.802	0.561	0.673
devotional	diin ahaan	0.740	0.394	0.655
devour	wada cun	0.344	0.888	0.574
devout	diin	0.620	0.357	0.464
dew	dhar	0.604	0.225	0.464
dexter	dexter	0.458	0.473	0.444
dexterity	garsoorka	0.771	0.673	0.864
dextrose	dextrose	0.333	0.402	0.323
diabetes	sonkorowga	0.051	0.472	0.279
diabetic	macaanka	0.125	0.269	0.237
diabolical	diabolical	0.102	0.912	0.456
diagnose	baaritaan	0.378	0.520	0.714
diagnosis	ogaanshaha	0.571	0.500	0.819
diagnostic	ogaanshaha baaritaanka	0.417	0.483	0.635
diagnostics	ogaanshaha baaritaanka	0.540	0.440	0.750
diagonal	xagasha	0.500	0.343	0.410
diagram	Jaantus	0.562	0.357	0.445
dial	garaac	0.620	0.427	0.596
dialect	lahjada	0.635	0.422	0.526
dialectic	lahjada	0.510	0.540	0.638
dialogue	wadahadal	0.599	0.441	0.625
dialysis	sifeynta	0.194	0.567	0.407
diameter	dhexroor	0.427	0.298	0.483
diamond	dheeman	0.910	0.606	0.769
diamonds	dheeman	0.927	0.684	0.917
diaper	xafaayad	0.409	0.274	0.155
diaphragm	diaphragm	0.459	0.337	0.517
diarrhea	shuban	0.092	0.684	0.143
diarrhoea	shuban	0.038	0.692	0.250
diary	xusuusqorka	0.698	0.292	0.464
diatribe	diarribe	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	dibudhiska	0.510	0.410	0.391
dice	dil	0.458	0.441	0.264
dicey	Dicey	0.290	0.833	0.727
dichotomous	dichotomous	0.365	0.452	0.538
dichotomy	diopotomy	0.323	0.482	0.483
dick	dick	0.208	0.500	0.462
dickhead	dickhead	0.115	0.608	0.284
dicks	dicks	0.310	0.694	0.358
dictate	oo kali ah	0.480	0.423	0.668
dictation	ereyga	0.255	0.378	0.627
dictator	kaligii taliye	0.073	0.760	0.862
dictatorial	kali taliye	0.204	0.770	0.840
dictatorship	kaligii talisnimada	0.082	0.806	0.784
diction	qoob	0.439	0.373	0.679
dictionary	qaamuuska	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	didactic	0.645	0.480	0.673
diddle	gardarrada	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	dhintay	0.021	0.650	0.327
diesel	naaftada	0.490	0.327	0.448
diet	cunto	0.429	0.235	0.398
dietary	cunto	0.551	0.220	0.261
differ	kala duwan	0.230	0.398	0.396
difference	kala duwanaansho	0.474	0.560	0.483
differences	kala duwanaanshaha	0.365	0.582	0.342
different	kala duwan	0.612	0.394	0.473
differential	kala duwanaansho	0.520	0.378	0.535
differentiation	kala duwanaanta	0.367	0.561	0.535
differently	si kala duwan	0.480	0.431	0.506
differing	kala duwan	0.418	0.410	0.455
difficult	way adag tahay	0.235	0.700	0.508
difficulties	dhibaatooyin	0.082	0.784	0.357
difficulty	adag	0.079	0.740	0.368
diffuse	isbeddel	0.430	0.431	0.321
diffusion	kala saarid	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	dheefshiidka	0.720	0.413	0.483
digestion	dheefshiidka	0.531	0.410	0.455
digestive	dheefshiidka	0.542	0.413	0.434
digit	god	0.447	0.286	0.333
digital	dijitaal	0.740	0.382	0.529
dignified	sharaf leh	0.766	0.481	0.635
dignify	sharaf	0.854	0.588	0.735
dignity	sharaf	0.844	0.391	0.873
digress	khayaali	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	dike	0.360	0.384	0.490
dilapidated	xannibay	0.229	0.618	0.286
dilatation	Kala saarid	0.385	0.574	0.368
dilation	kicinta	0.347	0.490	0.578
dildo	marwo	0.536	0.587	0.491
dilemma	murugo	0.153	0.590	0.430
diligence	dadaal	0.688	0.423	0.700
diligent	si taxadar leh	0.760	0.426	0.759
dill	dill	0.427	0.360	0.373
diluent	xujo	0.417	0.344	0.332
dilute	dilaac	0.275	0.192	0.349
diluted	la badhxay	0.469	0.310	0.229
dilution	qulqulka	0.445	0.337	0.352
dim	qarsoodi	0.398	0.321	0.273
dime	dime	0.653	0.317	0.345
dimension	cabbir	0.592	0.415	0.627
dimensional	cabbir	0.561	0.484	0.596
diminish	dhimin	0.240	0.357	0.167
diminished	hoos u dhacay	0.156	0.269	0.196
diminution	hoos u dhac	0.316	0.296	0.245
diminutive	yareyn	0.323	0.200	0.109
dimwit	dimwit	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	cunto	0.821	0.519	0.478
diner	diner	0.643	0.302	0.538
