Word	Myanmar (Burmese)-my	Valence	Arousal	Dominance
carnation	ဇော်မွှားပန်း	0.653	0.357	0.431
carnival	ပျြောပှဲသဘငျ	0.927	0.888	0.555
carnivorous	အသားစား	0.224	0.613	0.651
carol	Carol	0.673	0.412	0.436
carols	Carol	0.847	0.420	0.491
carousel	ဝိုင်းလေး	0.704	0.500	0.412
carp	ငါးသိုင်း	0.531	0.324	0.375
carpal	carpal	0.449	0.327	0.420
carpenter	လက်သမား	0.521	0.550	0.519
carpentry	လက်သမားအတတ်ပညာ	0.561	0.459	0.518
carpet	ကော်ဇော	0.520	0.170	0.339
carpeting	ကော်ဇော	0.542	0.312	0.444
carpool	ကားကြုံ	0.625	0.509	0.500
carriage	ရထားတှဲ	0.650	0.538	0.491
carried	သယ်ဆောင်	0.490	0.382	0.534
carrier	လေယာဉ်တင်သင်္ဘော	0.533	0.588	0.638
carrot	မုန်လာဥနီ	0.500	0.235	0.279
carry	သယ်ဆောင်သည်	0.635	0.380	0.500
carrying	တင်ဆောင်လာသော	0.656	0.557	0.443
carsick	carsick	0.224	0.574	0.255
cart	လှည်း	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	ဂိုဏ်း	0.438	0.394	0.602
carter	Carter	0.312	0.480	0.431
cartilage	အရိုးနု	0.438	0.370	0.407
cartographic	cartographic	0.490	0.348	0.424
cartography	cartography	0.520	0.300	0.579
carton	စက္ဏူထူ	0.286	0.186	0.241
cartoon	လက်ရေးရုပ်ပုံကြီး	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	ကျည်တောင့်	0.458	0.500	0.407
carve	ထု	0.469	0.443	0.598
carver	Carver	0.418	0.500	0.500
carving	သစျသားပနျးပွောကျ	0.541	0.444	0.368
cascade	အဆငျ့ဆငျ့	0.735	0.509	0.395
case	အမှု	0.427	0.275	0.441
casein	casein	0.470	0.436	0.415
cash	ငွေသား	0.867	0.552	0.714
cashier	ငှေကိုငျစာရေး	0.615	0.413	0.484
cashmere	cashmere	0.653	0.452	0.439
casing	ထည်	0.458	0.327	0.328
casino	ဇါတ်ရုံ	0.542	0.684	0.568
cask	စည်	0.490	0.398	0.444
casket	သေတ္တာကလေး	0.125	0.490	0.346
casserole	casserole	0.570	0.360	0.328
cassette	ကက်ဆက်	0.490	0.334	0.355
cast	သွန်းပုံ	0.558	0.620	0.517
castaway	သင်္ဘောပျက်။ ရေမျောကမ်းတင်ဖြစ်နေသူ	0.208	0.646	0.422
caste	ဇာတ်	0.510	0.333	0.374
caster	caster	0.604	0.670	0.647
castle	ရဲတိုက်	0.680	0.396	0.718
castor	Castor	0.583	0.337	0.368
castrate	သင်း	0.177	0.485	0.519
castration	သင်း	0.198	0.735	0.381
casual	မတော်တဆဖြစ်သော	0.643	0.224	0.385
casually	နှင့်အနောက်တိုင်း	0.658	0.290	0.333
casualty	ဒဏ်ရာရသူ	0.235	0.274	0.132
cat	ကွောငျ	0.667	0.260	0.370
catabolism	catabolism	0.265	0.573	0.605
catalog	စာရင်း	0.561	0.221	0.573
catalogue	စာရင်း	0.647	0.327	0.533
catalysis	ဓါတ်ကူပစ္စည်းများ	0.385	0.559	0.531
catalyst	ဓာတ်ကူပစ္စည်း	0.604	0.509	0.585
catalytic	catalytic	0.562	0.519	0.563
catamaran	မြွှာပူး	0.571	0.566	0.526
catapult	လောက်လွှဲ မှနေ. လွှတ်	0.480	0.830	0.649
cataract	အတွင်းတိမ်	0.406	0.545	0.549
catastrophe	ကပ်ဘေးဒုက္ခ	0.146	0.952	0.670
catastrophic	ကပ်ဘေးဆိုင်ရာ	0.071	0.934	0.598
catatonic	catatonic	0.255	0.500	0.509
catch	ဖမ်း	0.531	0.437	0.552
catcher	Catcher	0.653	0.413	0.540
catching	ဖမ်း	0.490	0.788	0.644
catchphrase	ဖမ်းစားသောစာပိုဒ်	0.698	0.423	0.433
catchy	မှတ်မိလွယ်တဲ့	0.677	0.441	0.462
catechism	အနနေဲ့ဘာသာရေးအမေး	0.656	0.236	0.613
categorical	အမျိုးအစား	0.615	0.442	0.760
category	အမျိုးအစား	0.571	0.264	0.521
cater	ခစား	0.802	0.500	0.509
caterer	ခစား	0.550	0.557	0.644
caterpillar	ခူကောင်	0.461	0.286	0.330
cates	Cate	0.370	0.394	0.407
catfish	ငါးခူ	0.458	0.337	0.296
cathartic	cathartic	0.450	0.510	0.604
cathedral	ဘုရားရှိခိုးကြောငျး	0.598	0.330	0.643
catheter	ပြွန်	0.336	0.491	0.373
catholic	ကက်သလစ်ဘာသာဝင်	0.646	0.240	0.575
cathouse	cathouse	0.327	0.375	0.363
catnip	catnip	0.439	0.381	0.296
cattle	တိရစ္ဆာန်များ	0.622	0.340	0.445
catwalk	ရှေ့လျှောက်လမ်းပေါ်မှာ	0.698	0.436	0.464
caucus	Caucus	0.418	0.311	0.491
caudal	caudal	0.500	0.425	0.583
cauldron	အိုးကင်း	0.510	0.486	0.418
cauliflower	ပန်းဂေါ်ဖီ	0.448	0.255	0.231
caulk	caulk	0.367	0.500	0.418
causal	ကြောင်းကျိုးဆက်စပ်	0.562	0.367	0.491
causality	ကြောင်းကျိုးဆက်စပ်	0.500	0.378	0.336
causation	causation	0.562	0.480	0.567
cause	အကွောငျး	0.469	0.373	0.486
caused	စေသော	0.344	0.520	0.382
causeway	တာရိုး	0.453	0.382	0.422
caution	သတိ	0.552	0.712	0.547
cautionary	သတိပေး	0.510	0.541	0.519
cautious	သတိရှိသော	0.470	0.445	0.517
cautiously	သတိ	0.510	0.388	0.525
cavalier	အစ်အောက်	0.735	0.462	0.713
cavalry	မြင်းတပ်	0.667	0.727	0.794
cave	ဂူ	0.459	0.333	0.380
caveat	မလုပ်မီမဆုံးဖြတ်မီအချို့အချက်များကိုစဥ်းစားရန်သတိပေးခြင်း	0.344	0.629	0.484
caveman	caveman	0.235	0.644	0.482
cavern	ဂူ	0.323	0.360	0.365
cavernous	ဂူ	0.354	0.548	0.462
caviar	caviar	0.906	0.394	0.481
caving	လြှော့အရှုံးပေး	0.378	0.491	0.551
cavity	ဂလိုင်	0.466	0.385	0.379
cayenne	Cayenne	0.615	0.306	0.355
cease	ရပ်စဲ	0.388	0.250	0.420
ceasefire	အပစ်အခတ်ရပ်စဲရေး	0.542	0.594	0.567
ceaseless	ceaseless	0.378	0.704	0.658
cedar	အာရဇ်ပင်	0.560	0.267	0.577
cede	ထံပေးအပ်	0.275	0.327	0.402
ceiling	မျက်နှာကြက်	0.520	0.224	0.366
celebrant	Celebrity	0.865	0.656	0.643
celebrate	ဆင်နွှဲ	0.917	0.857	0.859
celebrated	ဂုဏျ	0.875	0.690	0.763
celebrating	ကျင်းပနေ	0.927	0.860	0.773
celebration	အခမ်းအနား	0.939	0.824	0.880
celebrations	အထိမ်းအမှတ်ပွဲများကျင်းပ	0.958	0.794	0.714
celebratory	အောင်ပွဲခံ	0.857	0.653	0.845
celebrity	အနုပညာရှင်	0.760	0.619	0.855
celery	တရုတ်နံနံ	0.396	0.147	0.223
celestial	ကောငျးကငျ	0.817	0.360	0.731
celibacy	အိမ်မထောင်ဘဲနေခြင်း	0.302	0.276	0.509
celibate	celibate	0.419	0.387	0.391
cell	ဆဲလ်	0.541	0.375	0.465
cellar	အိမ်အောက်ခန်း	0.510	0.277	0.406
cellblock	cellblock	0.186	0.570	0.500
cellist	cellist	0.667	0.500	0.486
cellmate	cellmate	0.167	0.684	0.349
cello	cello	0.635	0.324	0.528
cellophane	cellophane	0.648	0.282	0.289
cellular	ဆယ်လူလာ	0.643	0.398	0.517
cellulite	cellulite	0.200	0.384	0.256
celluloid	celluloid	0.469	0.440	0.425
cement	အင်္ဂတေ	0.544	0.265	0.527
cemented	ခိုင်မြဲ	0.429	0.382	0.537
cemetery	သင်းချိုး	0.051	0.630	0.417
censor	ဆင်ဆာလူကြီး	0.344	0.276	0.538
censorship	ဆင်ဆာဖြတ်တောက်မှု	0.219	0.698	0.421
censure	အပြစ်တင်ချက်	0.219	0.653	0.417
census	သန်းခေါင်စာရင်းကောက်ယူ	0.449	0.289	0.553
cent	ရာခိုင်နှုန်း	0.439	0.367	0.402
centenary	centenary	0.604	0.440	0.642
centennial	Centennial	0.583	0.394	0.700
center	အလယ်ဗဟို	0.643	0.231	0.431
centerfold	centerfold	0.571	0.407	0.485
centerpiece	အဓိကကျတဲ့အကြောင်းရင်း	0.594	0.208	0.520
centimeter	စင်တီမီတာ	0.427	0.280	0.380
centipede	ပိုးနသန်းကောင်	0.296	0.399	0.361
central	အလယ်ပိုင်း	0.640	0.356	0.621
centrality	အဓိကဗဟို	0.571	0.312	0.709
centralization	ဗဟိုချုပ်ကိုင်မှု	0.521	0.440	0.702
centralize	စုရုံး	0.684	0.427	0.802
centrally	ဗဟို	0.729	0.280	0.700
centrifugal	centrifugal	0.306	0.651	0.480
centrifuge	centrifugal	0.495	0.622	0.527
centurion	တပ်မှူး	0.590	0.447	0.696
century	ရာစု	0.407	0.347	0.735
ceramic	အိုးလုပ်ငန်းနျင့်ဆိုင်သော	0.521	0.255	0.371
ceramics	ကြွေထည်	0.573	0.250	0.373
cereal	စပါးမျိုး	0.612	0.206	0.316
cereals	စီရီရယ်	0.719	0.224	0.311
cerebral	ဦးနှောက်	0.408	0.509	0.627
ceremonial	အမျိုးဘာသာအခမ်းအနားနျင့်ဆိုင်သော	0.771	0.540	0.691
ceremony	အခမ်းအနား	0.760	0.559	0.761
certain	အချို့	0.760	0.358	0.673
certainty	မုချဖြစ်မှု	0.781	0.400	0.769
certifiable	Certified	0.714	0.427	0.662
certificate	လက်မှတ်	0.786	0.377	0.746
certified	certified ရရှိထားပြီး	0.781	0.422	0.806
certify	မှနျကွောငျးလကျမှတျစာဖွငျ့သကျသေ	0.866	0.400	0.746
cervical	သားအိမ်ခေါင်းကင်ဆာ	0.375	0.413	0.445
cervix	သားအိမ်ခေါင်း	0.429	0.360	0.340
cess	အခွန်	0.427	0.375	0.406
cessation	ချုပ်ရာ	0.414	0.385	0.358
cesspool	cesspool	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	ဖွဲ	0.333	0.327	0.188
chafing	chafing	0.430	0.415	0.368
chagrin	သတိထား	0.104	0.704	0.472
chagrined	သတိထား	0.112	0.745	0.361
chai	Chai	0.500	0.375	0.363
chain	ကွင်းကြိုး	0.378	0.500	0.547
chainsaw	chainsaw	0.367	0.804	0.636
chair	ကုလားထိုင်	0.562	0.082	0.276
chairman	ဥက္ကဋ္ဌဦး	0.656	0.567	0.933
chairperson	ဥက္ကဌ	0.730	0.657	0.966
chairwoman	ဥက္ကဋ္ဌ	0.719	0.664	0.953
chaise	chaise	0.406	0.349	0.327
chalet	chalet	0.653	0.349	0.278
chalice	chalice	0.633	0.286	0.529
chalk	မွေဖွူ	0.385	0.185	0.121
challenge	စိန်ခေါ်မှု	0.469	0.922	0.713
challenger	အန်တုသူ	0.417	0.755	0.652
chamber	အခန်းမ	0.583	0.373	0.455
chambermaid	chambermaid	0.594	0.375	0.336
chambers	အခန်းများ	0.542	0.442	0.388
chameleon	ပုတ်သင်ညို	0.490	0.580	0.345
champ	Champ	0.854	0.754	0.896
champagne	ရှန်ပိန်	0.760	0.600	0.454
champion	တံခွန်စိုက်သူ	0.890	0.880	0.945
championship	တံခှနျစိုကျပွိုငျပှဲ	0.833	0.800	0.880
chance	အခွင့်အလမ်း	0.833	0.551	0.525
chancellor	အကြီးအမှူး	0.646	0.500	0.887
chandelier	chandelier	0.615	0.542	0.366
chandler	Chandler	0.510	0.452	0.454
change	ပွောငျးလဲခွငျး	0.625	0.575	0.606
changeable	ပွောငျးနိုငျသော	0.490	0.480	0.528
changed	ပြောင်းလဲသွားတယ်	0.594	0.375	0.491
changer	changer	0.583	0.519	0.567
changing	ပြောင်းလဲနေတဲ့	0.571	0.569	0.461
channel	ရုပ်သံလိုင်း	0.490	0.287	0.405
chant	ဓမ္မသီချင်း	0.771	0.698	0.650
chaos	ကမောက်ကမ	0.016	0.923	0.373
chaotic	ကမောက်ကမဖြစ်သော	0.115	0.847	0.442
chap	အခန်း	0.550	0.410	0.345
chapel	ဘုရားရှိခိုးကြောငျးငယျ	0.573	0.240	0.440
chaperon	chaperon	0.500	0.520	0.404
chaplain	ခရစ်ယန်ဂိုဏ်းသင်းအုပ်	0.582	0.370	0.577
chapman	ချပ်မန်း	0.562	0.529	0.465
chaps	CHAP	0.350	0.462	0.350
chapter	အခနျးကွီး	0.580	0.308	0.461
char	char	0.554	0.361	0.404
character	ဇာတ်ကောင်	0.667	0.373	0.686
characteristic	သီးခြားထင်ရှားသော	0.583	0.328	0.538
characterize	သွင်ပြင်လက္ခဏာများ	0.729	0.471	0.735
charade	charade	0.458	0.550	0.346
charcoal	မီးသှေး	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	စှဲဆို	0.510	0.633	0.785
chargeable	နှော	0.551	0.550	0.453
charger	charger ကို	0.531	0.418	0.545
chariot	ရထားကို	0.684	0.550	0.491
charisma	ဆွဲဆောင်	0.938	0.591	0.759
charismatic	သြဇာ	0.938	0.684	0.849
charitable	ကုသိုလ်ဖြစ်	0.865	0.380	0.593
charity	မေတ္တာ	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	တပ်မက်ဘွယ်ကောင်းခြင်း	0.833	0.363	0.649
charmed	နှစ်သက်မိပြီး	0.938	0.570	0.769
charmer	charmer	0.882	0.683	0.782
charming	အလွန်နှစ်သက်ဘွယ်ကောင်းသော	0.917	0.660	0.764
charred	များမှာမီးကျွမ်းနေပြီး	0.208	0.676	0.373
chart	ဇယား	0.469	0.317	0.330
charter	ပဍိညာဉ်စာချုပ်	0.677	0.382	0.518
chartered	Chartered	0.569	0.460	0.490
chase	လိုက်လံ	0.396	0.878	0.623
chased	လိုက်.	0.188	0.830	0.287
chaser	Chaser	0.375	0.830	0.645
chasm	တွင်းနက်	0.265	0.579	0.500
chassis	ကိုယ်ထည်	0.406	0.342	0.444
chaste	ကွ	0.408	0.248	0.453
chastened	ကင်းလွတ်	0.156	0.580	0.345
chastisement	ဆုံး	0.156	0.852	0.462
chastity	chastity	0.469	0.392	0.509
chat	ချက်တင်	0.729	0.400	0.346
chateau	chateau	0.615	0.464	0.702
chatter	စကားများသော	0.560	0.450	0.347
chatterbox	chatterbox	0.459	0.548	0.482
chattering	စကားများသော	0.460	0.663	0.304
chatty	chatty	0.594	0.548	0.345
chauffeur	ကားမောင်းသမား	0.500	0.353	0.471
chauvinist	မျက်ကန်းမျိုးချစ်များ	0.310	0.539	0.527
cheap	စျေးပေါ	0.612	0.471	0.272
cheapened	cheapened	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	လိမ်လည်	0.125	0.776	0.400
cheater	cheater	0.104	0.920	0.333
check	စစ်ဆေးခြင်း	0.523	0.552	0.602
checkbook	ချက်နဲ့	0.552	0.284	0.364
checker	စစ်	0.330	0.417	0.553
checkered	ကွက်	0.459	0.316	0.336
checkers	Checker	0.676	0.451	0.437
checklist	စစ်ဆေးရမည့်စာရင်း	0.561	0.521	0.552
checkmate	checkmate	0.667	0.708	0.750
checkout	ထွက်ခွာသည်	0.597	0.510	0.670
checkpoint	စစ်ဆေးရေးဂိတ်	0.571	0.323	0.812
checkup	ဆေးစစ်ခြင်း	0.500	0.435	0.491
cheek	ပါး	0.670	0.314	0.421
cheeks	ပါး	0.708	0.324	0.282
cheeky	cheeky	0.434	0.679	0.410
cheep	cheep	0.367	0.380	0.373
cheer	ရွှင်လန်း	0.938	0.784	0.845
cheered	မှီဝဲခြင်း	0.875	0.648	0.790
cheerful	ရွှင်လန်းသော	0.990	0.720	0.696
cheerfulness	ပြုသောသူသည်စေတနာစိတ်	0.969	0.802	0.675
cheering	ပေးနေသော	0.815	0.824	0.642
cheerleader	cheerleader တ	0.923	0.746	0.657
cheerleading	အားပေးစေရန်လှုံ့ဆော်ခြင်း	0.698	0.769	0.404
cheerless	သန့်	0.204	0.373	0.167
cheers	ရွှင်လန်း	0.948	0.770	0.702
cheery	cheery	0.949	0.657	0.486
cheese	ဒိန်ခဲ	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	cheesy	0.470	0.471	0.179
cheetah	ကျားသစ်ကြုတ်	0.469	0.770	0.667
chef	ထမင်းချက်ခေါင်း	0.854	0.411	0.570
chemical	ဓါတုဗေဒ	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	ဓါတုဗေဒဆရာ	0.408	0.575	0.610
chemistry	ဓါတုဗေဒပညာ	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	ဓာတုကုထုံး	0.163	0.689	0.517
cheque	စစ်ဆေးခြင်း	0.698	0.529	0.660
cherish	မြတ်နိုး	0.896	0.491	0.652
cherishing	cherishing	0.836	0.380	0.625
cherry	ချယ်ရီသီး	0.688	0.186	0.250
cherub	ခေရုဗိမ်	0.663	0.340	0.455
chess	စစ်တုရင်	0.656	0.363	0.518
chest	သေတ္တာ	0.520	0.429	0.481
chestnut	သစ်အယ်သီး	0.714	0.210	0.294
chevron	Chevron	0.469	0.469	0.598
chew	ဝါး	0.520	0.490	0.404
chewy	chewy	0.625	0.418	0.390
chic	chic	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	ယင်း	0.771	0.602	0.387
chicken	ကြက်သား	0.594	0.306	0.394
chicken pox	ရေကျောက်	0.194	0.510	0.415
chickenpox	ရေကျောက်	0.173	0.562	0.357
chief	ကာကွယ်ရေးဦးစီးချုပ်	0.520	0.544	0.869
chiefly	အများအားဖြင့်	0.600	0.587	0.764
chieftain	မင်း	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	ကလေး	0.912	0.460	0.413
childbirth	သားဖွါးမြင်ခြင်း	0.604	0.861	0.673
childhood	ငယ်စဉ်ကလေးဘဝ	0.865	0.413	0.307
childish	သူငယ်နှင့်တူသော	0.573	0.442	0.230
childless	တသက်လုံးသားမရဘဲ	0.310	0.400	0.396
childlike	childlike	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	ကလေးများ	0.857	0.538	0.435
chili	ငရုတ်သီး	0.592	0.566	0.433
chill	Chilling	0.837	0.206	0.482
chilled	မျြးစိမျ့စိမျ့	0.521	0.340	0.482
chilling	chilling	0.208	0.850	0.358
chilly	ရှိအေးမြသော	0.329	0.459	0.408
chime	ဆွဲလဲ	0.573	0.541	0.464
chimera	Chimera	0.292	0.582	0.372
chimes	ဆွဲလဲ	0.625	0.490	0.402
chimney	မီးခိုးတိုင်	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	အာဖရိကတိုက်လူဝံ	0.500	0.633	0.387
chin	မေးစေ့	0.571	0.310	0.269
china	တရုတ်နိုင်ငံ	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	Chinook	0.408	0.497	0.491
chip	ချစ်ပ်	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	chipping	0.354	0.452	0.353
chiropractor	chiropractor	0.420	0.549	0.651
chirp	တေးဆိုသံ	0.469	0.602	0.365
chirping	တေးဆိုသံ	0.500	0.463	0.360
chisel	ဆောက်	0.469	0.404	0.452
chiseler	ဆောက်	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	chitchat	0.673	0.455	0.403
chivalry	chivalry	0.857	0.380	0.848
chloride	ကလိုရိုက်	0.265	0.387	0.474
chlorine	ကလိုရင်း	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	ခြော့ကလကျ	0.885	0.480	0.418
choice	ရှေးခယျြခွငျး	0.745	0.520	0.664
choir	သံပြိုင်တေးဆိုသူလူစု	0.704	0.298	0.473
choke	နင်စေ	0.167	0.788	0.676
cholera	ကာလဝမ်းရောဂါ	0.020	0.867	0.507
cholesterol	လက်စထရော	0.198	0.583	0.398
choose	ရှေးခယျြ	0.615	0.542	0.648
choosing	ရွေးချယ်ခြင်း	0.719	0.529	0.689
choosy	ဇီဇာကြောင်	0.280	0.760	0.712
chop	ခုတ်ဖြတ်ခြင်း	0.250	0.655	0.467
chopper	ပုဆိန်တို	0.594	0.560	0.509
choppers	ရဟတ်ယာဉ်	0.469	0.745	0.691
chopping	ခုတ်ဖြတ်ခြင်း	0.560	0.625	0.362
chops	ခုတ်ဖြတ်ခြင်း	0.612	0.420	0.269
choral	choral	0.852	0.290	0.421
chord	ကြိုး	0.729	0.394	0.539
chords	ကြိုး	0.639	0.406	0.388
chore	ကျခံထား	0.406	0.462	0.500
choreographer	Choreographer	0.646	0.639	0.625
choreography	ကွက်	0.812	0.750	0.547
chorus	သံပြိုင်တေးဆိုသူလူစု	0.620	0.417	0.500
chosen	ရှေးခယျြ	0.865	0.449	0.833
chow	Chow	0.573	0.490	0.390
chowder	Chowder	0.510	0.324	0.241
christ	ခရစ်တော်	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	နာမည်	0.725	0.382	0.650
christian	ခရစ်ယာန်ဘာသာ	0.760	0.241	0.591
christmas	ခရစ်စမတ်	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	ခရစ်စမတ်ကာလ	0.837	0.588	0.515
chromatic	chromatic	0.407	0.413	0.435
chromatography	Chromatography	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	ခရိုမီယမ်	0.458	0.404	0.447
chromosome	ခရိုမိုဆုန်း	0.500	0.296	0.548
chronic	ရှည်ကြာသော	0.255	0.615	0.464
chronicle	မှတ်တမ်း	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	နှစ်လနေ့ရက်အစီအစဉ်အတိုင်းဖြစ်သော	0.594	0.445	0.600
chubby	ဝဝကစ်ကစ်, ဖောင်းဖောင်းမို့မို့	0.531	0.427	0.304
chuck	Chuck	0.542	0.509	0.413
chuckle	chuckle	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	အတုံးအတစ်	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	ဘုရားရှိခိုးကြောငျး	0.708	0.198	0.610
churchyard	သင်းချိုင်း	0.296	0.444	0.347
churn	အလွန်အမင်း	0.316	0.491	0.407
chute	ဖွညျးညှငျးစှာရလြှောဆငျးခွငျး	0.580	0.745	0.455
chutney	ချတ္တနီး	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	ဆေးပြင်းလိပ်	0.306	0.463	0.346
cigarette	စီးကရက်	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	ရုပ်ရှင်ရုံ	0.698	0.538	0.500
cinematic	ရုပ်ရှင်	0.663	0.490	0.600
cinematographer	ရိုက်ကူးရေးခေါင်းဆောင်	0.792	0.455	0.711
cinematography	ရုပ်ရှင်ပညာ	0.781	0.571	0.625
cinnamon	သစ်ကြမ်းပိုး	0.600	0.250	0.292
cipher	cipher	0.490	0.414	0.500
circle	အဝိုင်း	0.480	0.290	0.343
circling	ကိုဝိုငျး	0.510	0.654	0.336
circuit	ဆားကစ်	0.586	0.461	0.707
circuitry	circuitry	0.596	0.615	0.536
circular	ဝိုင်းသော	0.562	0.342	0.417
circulate	လှည့်လည်	0.612	0.388	0.320
circulation	သှေးလှညျ့ခွငျး	0.735	0.520	0.657
circulatory	သွေးလည်ပတ်မှု	0.592	0.575	0.545
circumcision	အရေဖျားလှီး	0.327	0.657	0.528
circumference	အဝန်း	0.458	0.255	0.488
circumferential	circumferential	0.551	0.422	0.509
circumscribed	နေရ	0.365	0.539	0.569
circumstance	အခြေအနေ	0.520	0.565	0.596
circumstances	အခွအေန	0.562	0.527	0.464
circumstantial	အသေးစိတ်။ အကျယ်ဘော်ပြသော	0.500	0.538	0.519
circumvent	ကျော်လွှား	0.316	0.642	0.383
circumvention	ရှောင်တိမ်း	0.531	0.571	0.473
circus	ဆပ်ကပ်	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	အသည်းခြောက်	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	ရေလှောင်ကန်	0.541	0.413	0.432
citadel	နန်းတော်	0.585	0.464	0.602
citation	ဆင့်ခေါ်ချက်	0.570	0.549	0.508
cite	ဆင့်ခေါ်	0.625	0.454	0.532
citizen	နိုင်ငံသား	0.631	0.250	0.586
citizenship	နိုင်ငံသားအဖြစ်	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	Citrus	0.469	0.368	0.375
city	မြို့	0.847	0.531	0.508
citywide	မြို့လုံးဆိုင်ရာ	0.592	0.509	0.707
civic	လူထု	0.653	0.240	0.573
civics	နိုင်ငံသားနှင့်ဆိုင်သည်များ	0.700	0.279	0.720
civil	အရပ်ဖက်	0.521	0.281	0.517
civilian	အရပ်သား	0.700	0.229	0.598
civilians	အရပ်သားများ	0.490	0.448	0.525
civility	လူ့ယဉ်ကျေးမှု	0.760	0.306	0.679
civilization	ယဉျကြေးမှု	0.823	0.452	0.839
civilized	ယဉျကြေးသော	0.792	0.231	0.796
clad	ဝတ်	0.583	0.373	0.481
claim	တောင်းဆိုမှု	0.255	0.760	0.473
claimant	တောင်းဆိုသူ	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	ယောက်သွား	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	စေး	0.354	0.440	0.236
clamor	ဆူညံ	0.438	0.643	0.360
clamp	ညှပ်	0.541	0.388	0.454
clan	လူစု	0.562	0.491	0.686
clandestine	လျှို့ဝှက်	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	ခတ်သံ	0.779	0.731	0.529
clapper	ဆန်	0.500	0.229	0.420
clapping	သြဘာသံ	0.823	0.894	0.686
clarification	ကြည်လင်သန့်စေခြင်း	0.802	0.461	0.613
clarify	ကြည်လင်သန့်စေ	0.652	0.535	0.625
clarinet	Clarinet	0.592	0.453	0.411
clarion	ဖိ	0.500	0.443	0.422
clarity	ရှင်းလင်းခြင်း	0.796	0.310	0.631
clash	တိုက်ခိုက်	0.293	0.918	0.453
clashing	အဲဒီလိုရှုပ်ရှက်ခတ်	0.177	0.764	0.575
clasp	ချိတ်	0.448	0.375	0.241
class	အတန်းအစား	0.656	0.314	0.522
classic	ဂန္	0.690	0.260	0.611
classic rock	ဂန္ရော့ခ်	0.729	0.571	0.588
classical	စံတင်လောက်သော	0.643	0.198	0.536
classics	ဂန္	0.750	0.333	0.510
classification	အမြိုးခှဲခွားခွငျး	0.583	0.423	0.613
classified	ခွဲခြား	0.571	0.460	0.663
classify	အမြိုးခှဲခွား	0.646	0.411	0.720
classmate	အတန်းဖော်	0.781	0.400	0.593
classroom	စာသင်ခန်း	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	ပြောဆိုချက်များ	0.418	0.820	0.387
clause	အချက်	0.480	0.409	0.528
clauses	ဝါကျ	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
claustrophobic	claustrophobic	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
