Word	Khmer-km	Valence	Arousal	Dominance
coma	សន្លប់	0.219	0.255	0.302
comatose	ឆ្អឹង	0.143	0.438	0.433
comb	កំប៉េះ	0.490	0.123	0.268
combat	ប្រយុទ្ធ	0.302	0.846	0.833
combatant	អ្នកប្រយុទ្ធ	0.531	0.853	0.780
combative	combative	0.381	0.690	0.816
combination	បន្សំ	0.708	0.480	0.726
combinatorial	combinatorial	0.561	0.436	0.428
combine	ផ្សំ	0.663	0.442	0.533
combined	រួមបញ្ចូល	0.622	0.370	0.500
combo	បន្សំ	0.698	0.439	0.453
combustible	អាចឆេះបាន	0.386	0.650	0.750
combustion	្រំមហះ	0.457	0.807	0.591
come	មក	0.529	0.269	0.558
comeback	ត្រលប់មកវិញ	0.580	0.409	0.555
comedian	តារាកំប្លែង	0.812	0.735	0.598
comedy	កំប្លែង	0.918	0.555	0.490
comet	ផ្កាយដុះកន្ទុយ	0.704	0.679	0.471
comfort	ការលួងលោម	0.863	0.231	0.670
comfortable	មាន​ផា​សុខភាព	0.927	0.163	0.473
comforter	អ្នកលួងលោម	0.618	0.275	0.302
comforting	ការលួងលោម	0.906	0.337	0.620
comfy	ល្អ	0.930	0.241	0.625
comic	ថ្លុក	0.917	0.459	0.387
comical	កំប្លែង	0.844	0.737	0.327
comics	រឿងកំប្លែង	0.690	0.556	0.384
coming	មក	0.653	0.417	0.500
comma	សញ្ញាក្បៀស	0.344	0.269	0.242
command	ពាក្យបញ្ជា	0.427	0.790	0.849
commandant	មេបញ្ជាការ	0.622	0.700	0.943
commandeer	បញ្ជា	0.552	0.639	0.931
commander	មេបញ្ជាការ	0.531	0.615	0.906
commanding	បញ្ជា	0.562	0.664	0.925
commandment	បទបញ្ជា	0.656	0.490	0.876
commando	commando	0.323	0.710	0.817
commemorate	រំលឹក	0.812	0.602	0.636
commemoration	ការរំឭក	0.719	0.615	0.754
commemorative	ពិធីរំលឹក	0.750	0.438	0.754
commence	ចាប់ផ្តើម	0.760	0.585	0.741
commend	សរសើរ	0.906	0.694	0.711
commendable	គួរឱ្យសរសើរ	0.786	0.570	0.555
commendation	ការសរសើរ	0.911	0.500	0.639
commensurate	សមាមាត្រ	0.610	0.304	0.550
comment	ផ្ដល់មតិ	0.667	0.417	0.379
commentary	អត្ថាធិប្បាយ	0.602	0.402	0.446
commentator	អ្នកអត្ថាធិប្បាយ	0.492	0.510	0.607
commerce	ពាណិជ្ជកម្ម	0.646	0.500	0.788
commercial	ពាណិជ្ជកម្ម	0.806	0.490	0.528
commie	ក្បត់	0.385	0.519	0.454
commissary	ស្នងការ	0.385	0.500	0.788
commission	គណៈកម្មការ	0.677	0.480	0.571
commissioner	ស្នងការ	0.602	0.449	0.949
commit	ប្រព្រឹត្ត	0.365	0.529	0.491
commitment	ការប្តេជ្ញា	0.714	0.710	0.843
committal	committal	0.472	0.519	0.582
committed	ប្តេជ្ញា	0.710	0.542	0.712
committee	គណៈកម្មាធិ	0.592	0.392	0.721
commodity	ទំនិញ	0.615	0.394	0.537
commodore	ទំនិញ	0.427	0.530	0.636
common	ធម្មតា	0.600	0.127	0.318
commoner	ធម្មតា	0.448	0.365	0.327
commonly	ជាទូទៅ	0.604	0.170	0.574
commonplace	ធម្មតា	0.520	0.337	0.442
commons	សាមញ្ញ	0.633	0.396	0.623
commonwealth	ភាពជាពលរដ្ឋ	0.630	0.406	0.702
commotion	ចលាចល	0.490	0.700	0.646
communal	ឃុំ	0.592	0.321	0.556
commune	ឃុំ	0.500	0.488	0.655
communicable	អាចចម្លងបាន	0.796	0.491	0.623
communicate	ទំនាក់ទំនង	0.823	0.410	0.696
communication	ការ​ទំនាក់ទំនង	0.837	0.400	0.649
communicative	ទំនាក់ទំនង	0.847	0.560	0.637
communicator	អ្នកទំនាក់ទំនង	0.573	0.509	0.796
communion	រួមគ្នា	0.765	0.357	0.607
communism	កុម្មុយនិស្ត	0.264	0.570	0.623
communist	កុម្មុយនិស្ត	0.265	0.702	0.632
community	សហគមន៍	0.750	0.350	0.659
commutation	ការប្ដូរ	0.469	0.431	0.652
commutative	ប្រែប្រួល	0.667	0.442	0.569
commute	ធ្វើដំណើរ	0.622	0.582	0.565
commuter	ធ្វើដំណើរ	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	បង្រួម	0.458	0.417	0.673
compaction	បង្រួម	0.531	0.471	0.582
compactness	បង្រួម	0.582	0.352	0.454
companion	ដៃគូ	0.770	0.377	0.618
companionless	គ្មានដៃគូ	0.271	0.259	0.200
companionship	ភាពជាដៃគូ	0.833	0.438	0.792
company	ក្រុមហ៊ុន	0.906	0.425	0.798
comparable	ប្រៀបធៀប	0.562	0.443	0.458
comparative	ប្រៀបធៀប	0.470	0.273	0.562
comparatively	ប្រៀបធៀប	0.604	0.391	0.538
compare	ប្រៀបធៀប	0.552	0.408	0.524
comparison	ប្រៀបធៀប	0.583	0.456	0.492
compartment	ថ្នាក់	0.500	0.389	0.607
compass	ត្រីវិស័យ	0.541	0.307	0.529
compassion	មេត្តាធម៌	0.735	0.258	0.509
compassionate	មេត្តាករុណា	0.857	0.404	0.411
compatibility	ភាពឆបគ្នា	0.816	0.450	0.673
compatible	ឆបគ្នា	0.892	0.387	0.638
compel	បង្ខំ	0.200	0.847	0.625
compelled	បង្ខំ	0.333	0.654	0.347
compelling	គួរឱ្យទាក់ទាញ	0.698	0.570	0.870
compendium	គណនា	0.610	0.461	0.537
compensate	ទូទាត់សង	0.612	0.429	0.762
compensation	សំណង	0.775	0.469	0.598
compensatory	សំណង	0.589	0.490	0.700
compete	ប្រកួតប្រជែង	0.573	0.745	0.786
competence	សមត្ថភាព	0.615	0.802	0.823
competency	សមត្ថភាព	0.768	0.775	0.764
competent	សមត្ថកិច្ច	0.865	0.560	0.904
competition	ការប្រកួតប្រជែង	0.580	0.790	0.798
competitive	ការប្រកួតប្រជែង	0.447	0.718	0.908
competitor	គូប្រជែង	0.612	0.959	0.861
compilation	ការចងក្រង	0.530	0.512	0.606
compile	ចងក្រង	0.600	0.413	0.519
complacency	ភាពឆ្អែតឆ្អន់	0.604	0.503	0.519
complacent	ពេញចិត្ត	0.625	0.452	0.518
complain	ត្អូញត្អែរ	0.143	0.682	0.360
complaint	ពាក្យបណ្តឹង	0.143	0.606	0.281
complement	បំពេញ	0.760	0.277	0.600
complementary	បំពេញ	0.714	0.320	0.586
complete	បញ្ចប់	0.750	0.414	0.809
completed	បានបញ្ចប់	0.823	0.357	0.777
completely	ទាំងស្រុង	0.730	0.370	0.690
completeness	ពេញលេញ	0.823	0.433	0.769
completing	បំពេញ	0.614	0.500	0.769
completion	បញ្ចប់	0.656	0.470	0.525
complex	ស្មុគស្មាញ	0.388	0.608	0.550
complexed	ស្មុគស្មាញ	0.312	0.577	0.612
complexion	ស្បែក	0.521	0.520	0.380
complexity	ស្មុគស្មាញ	0.479	0.620	0.595
compliance	អនុលោមភាព	0.750	0.462	0.750
compliant	អនុលោម	0.677	0.310	0.519
complicate	ស្មុគស្មាញ	0.210	0.657	0.404
complicated	ភាព​ស្មុគស្មាញ	0.211	0.660	0.455
complication	ផលវិបាក	0.365	0.726	0.330
complicity	ការផ្សំគំនិត	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	complimentary	0.823	0.413	0.435
comply	អនុលោមតាម	0.806	0.370	0.638
complying	អនុលោម	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	សមាស​ភាគ	0.531	0.382	0.525
compose	តែង	0.639	0.432	0.694
composed	តែង	0.684	0.385	0.682
composer	អ្នកនិពន្ធ	0.822	0.588	0.691
composite	សមាសធាតុ	0.591	0.459	0.620
composition	ការ​តែង​និពន្ធ	0.765	0.408	0.652
compost	ជីកំប៉ុស	0.480	0.404	0.441
composure	ស្ងប់	0.802	0.354	0.717
compound	បរិវេណ	0.635	0.385	0.735
comprehend	យល់	0.875	0.365	0.689
comprehension	ការយល់ដឹង	0.908	0.387	0.688
comprehensive	ទូលំទូលាយ	0.796	0.385	0.644
compress	បង្ហាប់	0.406	0.412	0.460
compressed	បានបង្ហាប់	0.323	0.396	0.388
compressible	អាចបង្រួមបាន	0.622	0.392	0.585
compression	ការបង្ហាប់	0.646	0.521	0.579
compressor	ម៉ាស៊ីនបង្ហាប់	0.418	0.481	0.630
comprise	រួម	0.839	0.373	0.669
compromise	សម្រុះសម្រួល	0.677	0.520	0.805
comptroller	គណនេយ្យករ	0.402	0.481	0.866
compulsion	បង្ខំ	0.118	0.760	0.604
compulsive	បង្ខំ	0.347	0.871	0.573
compulsory	កាតព្វកិច្ច	0.343	0.541	0.791
computable	អាចគណនាបាន	0.570	0.402	0.545
computation	ការគណនា	0.583	0.429	0.697
compute	គណនា	0.531	0.408	0.564
computer	កុំព្យូទ័រ	0.802	0.356	0.639
computerized	កុំព្យូទ័រ	0.677	0.450	0.657
computing	កុំព្យូទ័រ	0.745	0.398	0.695
comrade	មិត្ត	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	ផ្សំ	0.480	0.593	0.539
concave	concave	0.441	0.349	0.349
conceal	លាក់	0.312	0.436	0.306
concealed	លាក់ទុក	0.344	0.363	0.352
concealment	ការលាក់បាំង	0.302	0.570	0.390
concede	ទទួលស្គាល់	0.670	0.324	0.473
conceit	អំនួត	0.354	0.625	0.309
conceited	លាក់	0.194	0.667	0.473
conceivable	សារធាតុចិញ្ចឹម	0.730	0.350	0.613
conceive	មានផ្ទៃពោះ	0.708	0.538	0.700
concentrate	ផ្តោតអារម្មណ៍	0.750	0.439	0.743
concentration	ការប្រមូលផ្តុំ	0.735	0.500	0.722
concentric	ប្រមូលផ្ដុំ	0.730	0.479	0.635
concept	គំនិត	0.573	0.265	0.632
conception	ទស្សនៈ	0.694	0.490	0.614
concern	ការព្រួយបារម្ភ	0.250	0.734	0.463
concerned	ការព្រួយបារម្ភ	0.292	0.698	0.350
concert	ការប្រគុំតន្ត្រី	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	សម្បទាន	0.588	0.423	0.615
concessional	សម្បទាន	0.770	0.493	0.657
conch	conch	0.583	0.306	0.339
concierge	អ្នកបំរើ	0.480	0.343	0.343
conciliation	ការផ្សះផ្សា	0.792	0.475	0.726
concise	សង្ខេប	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	បញ្ចប់	0.530	0.267	0.679
concluding	សន្និដ្ឋាន	0.531	0.382	0.603
conclusion	សេចក្តីសន្និដ្ឋាន	0.615	0.377	0.659
conclusive	សន្និដ្ឋាន	0.500	0.427	0.745
concoction	concoction	0.448	0.459	0.417
concomitant	concomitant	0.427	0.482	0.727
concord	ស្រប	0.677	0.320	0.586
concordance	ធូររលុង	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	ពិធីជប់លៀង	0.740	0.657	0.528
concrete	បេតុង	0.633	0.420	0.547
concubine	ស្នាញ់	0.388	0.594	0.476
concur	យល់ស្រប	0.459	0.394	0.429
concurrence	ការយល់ព្រម	0.764	0.627	0.613
concurrent	ស្របពេល	0.573	0.547	0.741
concurring	យល់ស្រប	0.573	0.600	0.681
concussion	ការប៉ះទង្គិច	0.072	0.708	0.482
condemn	ថ្កោលទោស	0.102	0.793	0.625
condemnation	ការផ្តន្ទាទោស	0.133	0.725	0.449
condensation	condensation	0.510	0.316	0.538
condensed	condensed	0.598	0.415	0.623
condescending	បង្អាប់បង្អាក់	0.583	0.363	0.593
condescension	condescension	0.521	0.377	0.565
condiment	condiment	0.520	0.333	0.433
condition	លក្ខខណ្ឌ	0.500	0.469	0.519
conditional	លក្ខខណ្ឌ	0.521	0.343	0.556
conditionally	លក្ខខណ្ឌ	0.396	0.419	0.617
conditioned	ត្រជាក់	0.490	0.417	0.616
conditioner	ម៉ាស៊ីនត្រជាក់	0.781	0.360	0.538
conditioning	លក្ខខណ្ឌ	0.440	0.468	0.617
conditions	លក្ខខណ្ឌ	0.551	0.441	0.593
condo	ខុនដូ	0.439	0.288	0.607
condolence	condolence	0.260	0.443	0.404
condolences	សូមចូលរួមមរណទុក្ខ	0.198	0.480	0.288
condom	ស្រោមអនាម័យ	0.406	0.637	0.500
condone	អភ័យ	0.571	0.441	0.619
condor	condor	0.573	0.388	0.519
conducive	អំណោយផល	0.775	0.479	0.679
conduct	ការប្រព្រឹត្ដ	0.453	0.510	0.750
conduction	conduction	0.530	0.557	0.717
conductivity	ដំណើរការ	0.583	0.575	0.642
conductor	អ្នកដឹកនាំ	0.677	0.663	0.621
conduit	conduit	0.470	0.302	0.413
cone	កោណ	0.417	0.208	0.343
confederacy	សហព័ន្ធ	0.590	0.541	0.736
confederate	សហព័ន្ធ	0.551	0.546	0.792
confederation	សហព័ន្ធ	0.663	0.404	0.830
confer	confer	0.573	0.482	0.583
conference	សន្និសីទ	0.688	0.615	0.606
confess	សារភាព	0.360	0.712	0.431
confession	សារភាព	0.469	0.642	0.460
confessional	confessional	0.458	0.392	0.629
confessions	ចម្លើយសារភាព	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	ទំនុកចិត្ត	0.837	0.633	0.631
confide	ទុកចិត្ត	0.669	0.472	0.595
confidence	ទំនុកចិត្ត	0.959	0.276	0.943
confident	ទំនុកចិត្ត	0.765	0.324	0.723
confidential	សម្ងាត់	0.643	0.471	0.761
confidentiality	ការសម្ងាត់	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	ការកំណត់​រចនាសម្ព័ន្ធ	0.540	0.443	0.591
confine	បង្ខូច	0.327	0.551	0.538
confined	បង្ខាំង	0.286	0.472	0.444
confinement	ការបង្ខាំង	0.333	0.656	0.520
confines	កំណត់	0.396	0.386	0.542
confirm	បញ្ជាក់	0.802	0.439	0.806
confirmation	ការបញ្ជាក់	0.812	0.480	0.692
confirmatory	បញ្ជាក់	0.656	0.500	0.683
confirmed	បានបញ្ជាក់	0.760	0.490	0.764
confiscate	រឹបអូស	0.250	0.625	0.482
confiscation	រឹបអូស	0.208	0.706	0.586
conflagration	ការបង្ក្រាប	0.344	0.721	0.594
conflict	ទំនាស់	0.335	0.906	0.471
conflicting	ការប៉ះទង្គិច	0.173	0.738	0.553
confluence	ចំណុចប្រសព្វ	0.677	0.598	0.565
conform	អនុលោម	0.479	0.380	0.375
conformance	អនុលោម	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	អនុលោម	0.645	0.363	0.579
confound	confound	0.347	0.529	0.333
confounded	យល់ច្រឡំ	0.333	0.528	0.264
confront	ប្រឈមមុខ	0.281	0.760	0.746
confrontation	ការប្រឈមមុខគ្នា	0.177	0.870	0.658
confuse	ច្រឡំ	0.100	0.580	0.270
confused	យល់ច្រឡំ	0.220	0.650	0.179
confusing	ច្រឡំ	0.229	0.690	0.222
confusion	ការយល់ច្រឡំ	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	ល្អ	0.820	0.412	0.620
congenital	កំណើត	0.448	0.434	0.427
congestion	ការកកស្ទះ	0.271	0.654	0.491
conglomerate	ក្រុមហ៊ុន	0.500	0.500	0.838
conglomeration	ការប្រមូលផ្តុំ	0.541	0.720	0.670
congrats	អបអរសាទរ	0.930	0.726	0.775
congratulate	អបអរសាទរ	0.927	0.724	0.784
congratulation	សូមអបអរសាទរ	0.948	0.780	0.717
congratulations	សូមអបអរសាទរ	0.960	0.755	0.719
congratulatory	អបអរសាទរ	0.959	0.616	0.689
congregate	ជួបជុំគ្នា	0.653	0.530	0.733
congregation	ក្រុមជំនុំ	0.561	0.490	0.700
congress	សមាជ	0.449	0.444	0.857
congressional	សមាជ	0.552	0.491	0.848
congressman	សមាជ	0.438	0.471	0.877
congruence	congruence	0.656	0.472	0.577
conic	សាជី	0.510	0.368	0.379
conical	រាងសាជី	0.490	0.422	0.471
conjecture	ការសន្និដ្ឋាន	0.396	0.398	0.534
conjugal	គូ	0.698	0.510	0.688
conjugate	ផ្សំ	0.583	0.420	0.467
conjugation	conjugation	0.479	0.429	0.582
conjunction	ការ​ភ្ជាប់	0.520	0.472	0.509
conjunctive	ការតភ្ជាប់	0.487	0.444	0.639
conjure	conjure	0.385	0.679	0.645
conjuring	conjuring	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	ភ្ជាប់	0.724	0.299	0.536
connected	បានតភ្ជាប់	0.816	0.550	0.612
connection	ការតភ្ជាប់	0.729	0.560	0.655
connective	តភ្ជាប់	0.719	0.491	0.764
connoisseur	connoisseur	0.760	0.461	0.769
conquer	យកឈ្នះ	0.694	0.873	0.971
conquering	យកឈ្នះ	0.760	0.873	0.936
conqueror	ជ័យជំនះ	0.604	0.809	0.930
conquest	សញ្ជ័យ	0.710	0.702	0.833
conscience	មនសិការ	0.663	0.375	0.721
conscientious	មនសិការ	0.688	0.404	0.688
conscious	ដឹង	0.740	0.333	0.705
consciousness	ស្មារតី	0.840	0.483	0.755
conscription	ការចុះបញ្ជិកា	0.396	0.775	0.642
consecrated	consecrated	0.663	0.500	0.800
consecration	ការឧទ្ទិស	0.771	0.418	0.804
consecutive	តជាប់គ្នា	0.663	0.418	0.643
consensual	កិច្ចព្រមព្រៀង	0.663	0.417	0.655
consensus	មតិឯកច្ឆន្ទ	0.627	0.358	0.625
consent	យល់ព្រម	0.750	0.500	0.620
consenting	យល់ព្រម	0.727	0.406	0.693
consequence	ផលវិបាក	0.240	0.721	0.593
consequent	ផលវិបាក	0.663	0.471	0.625
conservation	ការអភិរក្ស	0.832	0.401	0.606
conservatism	អភិរក្ស	0.406	0.369	0.633
conservative	អភិរក្ស	0.615	0.316	0.788
conservatory	អភិរក្ស	0.635	0.240	0.729
conserve	អភិរក្ស	0.690	0.347	0.573
consider	ពិចារណា	0.677	0.368	0.579
considerable	សន្ធឹកសន្ធាប់	0.653	0.314	0.683
considerate	ពិចារណា	0.781	0.380	0.633
consideration	ពិចារណា	0.589	0.380	0.687
consignee	អ្នកទទួល	0.635	0.385	0.602
consignment	ការដឹកជញ្ជូន	0.490	0.440	0.500
consist	មាន	0.823	0.386	0.580
consistency	ស្ថិរភាព	0.714	0.500	0.887
consistent	ស្រប	0.786	0.431	0.726
consolation	ការលួងលោម	0.408	0.250	0.304
console	កុងសូល	0.625	0.398	0.415
consoled	លួងលោម	0.700	0.343	0.452
consolidate	បង្រួបបង្រួម	0.880	0.440	0.870
consolidated	បញ្ចូលគ្នា	0.700	0.366	0.784
consolidation	ការ​ច្របាច់​បញ្ចូល​គ្នា	0.604	0.445	0.776
consonant	ព្យញ្ជនៈ	0.500	0.347	0.417
consort	ដៃគូ	0.632	0.509	0.630
conspicuous	គំនិត	0.479	0.520	0.596
conspiracy	ក្បត់	0.125	0.787	0.652
conspirator	អ្នកក្បត់	0.271	0.786	0.707
conspire	conspire	0.206	0.740	0.520
constable	Constable	0.573	0.667	0.764
constancy	ថេរ	0.786	0.443	0.763
constant	ថេរ	0.740	0.296	0.686
constantly	ជានិច្ច	0.663	0.561	0.700
constellation	ផ្កាយ	0.719	0.533	0.775
consternation	ការងងឹត	0.167	0.680	0.469
constipation	ការទល់លាមក	0.079	0.612	0.231
constituency	មណ្ឌល	0.500	0.480	0.696
constituent	constituent	0.573	0.500	0.827
constituents	constituents	0.573	0.414	0.833
constitute	បង្កើត	0.812	0.349	0.906
constitution	រដ្ឋធម្មនុញ្ញ	0.590	0.380	0.889
constitutional	រដ្ឋធម្មនុញ្ញ	0.633	0.418	0.827
constitutionality	ធម្មនុញ្ញ	0.612	0.439	0.853
constrain	បង្ខំ	0.261	0.500	0.500
constrained	ឧបសគ្គ	0.135	0.537	0.357
constraint	ឧបសគ្គ	0.323	0.550	0.481
construct	ស្ថាបនា	0.750	0.648	0.792
construction	សំណង់	0.848	0.612	0.759
constructive	ស្ថាបនា	0.860	0.570	0.812
construe	construe	0.602	0.519	0.553
consul	កុងស៊ុល	0.573	0.354	0.688
consulate	ស្ថានកុងស៊ុល	0.561	0.453	0.694
consult	ពិគ្រោះ	0.755	0.370	0.441
consultant	អ្នកពិគ្រោះយោបល់	0.770	0.344	0.808
consultation	ពិគ្រោះយោបល់	0.660	0.463	0.625
consume	ប្រើប្រាស់	0.427	0.620	0.509
consumer	អតិថិជន	0.507	0.551	0.677
consuming	ការប្រើប្រាស់	0.573	0.541	0.536
consummate	consummate	0.551	0.540	0.558
consummation	បញ្ចប់	0.583	0.676	0.661
consumption	ការប្រើប្រាស់	0.390	0.531	0.538
contact	ទំនាក់ទំនង	0.719	0.424	0.526
contagion	ការរីករាលដាល	0.208	0.630	0.535
contagious	ឆ្លង	0.184	0.725	0.400
contain	មាន	0.542	0.490	0.658
container	ធុង	0.551	0.396	0.561
containment	ទប់ស្កាត់	0.411	0.491	0.618
contaminate	កខ្វក់	0.140	0.611	0.426
contaminated	កខ្វក់	0.040	0.500	0.368
contamination	ការចម្លងរោគ	0.125	0.610	0.375
contemplate	សញ្ជឹងគិត	0.740	0.347	0.642
contemplation	ការសញ្ជឹងគិត	0.552	0.324	0.627
contemplative	contemplative	0.729	0.308	0.739
contemporaneous	contemporaneous	0.640	0.373	0.591
contemporary	សហសម័យ	0.720	0.365	0.569
contempt	មើលងាយ	0.206	0.635	0.396
contemptible	មើលងាយ	0.146	0.657	0.471
contemptuous	មើលងាយ	0.204	0.500	0.375
contend	តស៊ូ	0.510	0.657	0.731
contender	បូកសរុប	0.480	0.790	0.681
contending	ប្រកួតប្រជែង	0.490	0.698	0.716
content	មាតិកា	0.764	0.296	0.559
contented	ពេញចិត្ត	0.857	0.612	0.746
contention	ទំនាស់	0.375	0.510	0.738
contentious	ចម្រូងចម្រាស	0.422	0.573	0.637
contentment	ពេញចិត្ត	0.875	0.610	0.782
contents	មាតិកា	0.656	0.375	0.550
contest	ការប្រកួតប្រជែង	0.667	0.698	0.717
contestant	បេក្ខជន	0.760	0.530	0.602
context	បរិបទ	0.531	0.300	0.553
contiguous	ជាប់គ្នា	0.375	0.450	0.500
continence	continence	0.450	0.396	0.469
continent	ទ្វីប	0.551	0.373	0.833
continental	ទ្វីប	0.486	0.350	0.755
contingency	ភាពអាសន្ន	0.396	0.500	0.670
contingent	ក្រុម	0.470	0.531	0.659
continual	បន្ត	0.500	0.423	0.685
continually	បន្ត	0.646	0.438	0.698
continuance	បន្ត	0.729	0.510	0.652
continuation	បន្ត	0.615	0.470	0.566
continue	បន្ត	0.630	0.427	0.612
continued	បានបន្ត	0.635	0.440	0.500
continuing	បន្ត	0.667	0.500	0.520
continuity	បន្ត	0.781	0.439	0.684
continuous	បន្ត	0.625	0.509	0.580
continuously	បន្ត	0.719	0.417	0.702
continuum	បន្ត	0.677	0.390	0.491
contour	វណ្ឌវង្ក	0.589	0.265	0.414
contraband	ឃាត់ខ្លួន	0.177	0.875	0.670
contraception	ការពន្យាកំណើត	0.296	0.518	0.525
contract	កិច្ចសន្យា	0.594	0.412	0.636
contracted	ចុះកិច្ចសន្យា	0.344	0.557	0.449
contractile	contractile	0.480	0.586	0.569
contracting	ចុះកិច្ចសន្យា	0.594	0.490	0.769
contraction	ការធ្លាក់ចុះ	0.292	0.755	0.603
contractor	អ្នកម៉ៅការ	0.592	0.479	0.727
contradict	ផ្ទុយ	0.160	0.598	0.482
contradiction	ផ្ទុយ	0.250	0.660	0.377
contradictory	ផ្ទុយ	0.365	0.651	0.421
contraption	contraption	0.448	0.590	0.491
contrary	ផ្ទុយ	0.327	0.449	0.338
contrast	ផ្ទុយ	0.480	0.406	0.520
contrasted	ផ្ទុយ	0.521	0.538	0.491
contravene	បំពាន	0.357	0.618	0.472
contravention	ការបំពាន	0.344	0.627	0.593
contribute	រួមចំណែក	0.806	0.350	0.795
contribution	វិភាគទាន	0.854	0.452	0.760
contributor	អ្នកចូលរួម	0.844	0.510	0.760
contrite	ខកចិត្ត	0.347	0.363	0.473
contrition	ផ្ទុយ	0.347	0.583	0.463
contrived	contrived	0.408	0.530	0.458
control	គ្រប់គ្រង	0.729	0.352	0.808
controller	ឧបករណ៍បញ្ជា	0.469	0.712	0.868
controlling	គ្រប់គ្រង	0.490	0.441	0.885
controversial	ចម្រូង​ចម្រាស់	0.271	0.858	0.538
controversy	ភាពចម្រូងចម្រាស	0.250	0.819	0.600
contusion	លេប	0.167	0.565	0.509
conundrum	conundrum	0.354	0.524	0.408
convalescent	convalescent	0.458	0.480	0.269
convection	convection	0.521	0.494	0.526
convene	កោះហៅ	0.583	0.676	0.636
convenience	ភាពងាយស្រួល	0.781	0.448	0.613
conveniences	ភាពងាយស្រួល	0.802	0.412	0.693
convenient	ងាយស្រួល	0.846	0.491	0.574
convent	មហាវិហារ	0.480	0.217	0.594
convention	អនុសញ្ញា	0.622	0.622	0.704
conventional	សាមញ្ញ	0.594	0.292	0.634
converge	បង្រួម	0.635	0.471	0.539
convergence	ចំណុចរួម	0.551	0.491	0.625
convergent	បង្រួបបង្រួម	0.781	0.490	0.696
conversant	សន្ទនា	0.724	0.360	0.542
conversation	ការសន្ទនា	0.750	0.510	0.609
conversational	សន្ទនា	0.719	0.431	0.596
conversationalist	ការសន្ទនា	0.719	0.467	0.667
converse	សន្ទនា	0.594	0.406	0.598
conversing	សន្ទនា	0.755	0.409	0.442
conversion	ការបម្លែង	0.480	0.605	0.736
convert	បម្លែង	0.551	0.538	0.704
converted	បានបម្លែង	0.663	0.418	0.686
convertible	ប្តូរ	0.542	0.529	0.717
convex	ប៉ោង	0.438	0.427	0.445
convexity	ប៉ោង	0.449	0.354	0.484
convey	បញ្ជូន	0.719	0.633	0.708
conveyance	ការដឹកជញ្ជូន	0.615	0.520	0.455
conveyancing	បញ្ជូន	0.375	0.479	0.663
convict	ផ្តន្ទាទោស	0.177	0.840	0.477
conviction	ការផ្តន្ទាទោស	0.615	0.704	0.826
convince	បញ្ចុះបញ្ចូល	0.708	0.539	0.763
convinced	ជឿ	0.750	0.500	0.630
convincing	បញ្ចុះបញ្ចូល	0.760	0.527	0.900
convocation	ការកោះហៅ	0.538	0.611	0.663
convoluted	convoluted	0.323	0.614	0.433
convolution	convolution	0.417	0.559	0.527
convoy	ក្បួន	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	ចម្អិន	0.847	0.500	0.412
cookbook	សៀវភៅវិជ្ជា	0.602	0.346	0.398
cooker	ចង្ក្រាន	0.592	0.373	0.407
cookery	ចំអិនម្ហូប	0.633	0.368	0.345
cookie	ខូឃី	0.792	0.306	0.250
cookies	ខូឃីស៍	0.823	0.451	0.316
cooking	ចម្អិនអាហារ	0.694	0.510	0.434
cookout	ចម្អិនអាហារ	0.680	0.406	0.482
cool	ត្រជាក់	0.885	0.540	0.781
coolant	ត្រជាក់	0.720	0.412	0.456
cooler	ត្រជាក់	0.664	0.375	0.460
cooling	ត្រជាក់	0.469	0.324	0.392
coolness	ត្រជាក់	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	សហការ	0.898	0.451	0.582
cooperating	សហការ	0.760	0.390	0.693
cooperation	កិច្ចសហប្រតិបត្តិការ	0.847	0.473	0.686
cooperative	សហករណ៍	0.816	0.461	0.670
coordinate	សំរបសំរួល	0.698	0.429	0.694
coordination	ការសម្របសម្រួល	0.677	0.454	0.789
coordinator	អ្នកសម្របសម្រួល	0.750	0.510	0.850
cop	ប៉ូលិស	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	ដោះស្រាយ	0.592	0.647	0.709
copier	ចម្លង	0.459	0.345	0.390
copilot	copilot	0.640	0.538	0.573
coping	តស៊ូ	0.562	0.630	0.613
copious	copious	0.427	0.462	0.527
copper	ស្ពាន់	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
