Word	Nyanja (Chichewa)-ny	Valence	Arousal	Dominance
charmer	wosangalatsa	0.882	0.683	0.782
charming	zokongola	0.917	0.660	0.764
charred	adakalipira	0.208	0.676	0.373
chart	tchati	0.469	0.317	0.330
charter	charter	0.677	0.382	0.518
chartered	yotsatiridwa	0.569	0.460	0.490
chase	thamangitsani	0.396	0.878	0.623
chased	kuthamangitsidwa	0.188	0.830	0.287
chaser	chaser	0.375	0.830	0.645
chasm	chisokonezo	0.265	0.579	0.500
chassis	chasisi	0.406	0.342	0.444
chaste	zoyera	0.408	0.248	0.453
chastened	adzalangidwa	0.156	0.580	0.345
chastisement	chilango	0.156	0.852	0.462
chastity	chiyero	0.469	0.392	0.509
chat	kucheza	0.729	0.400	0.346
chateau	chateau	0.615	0.464	0.702
chatter	kulumikiza	0.560	0.450	0.347
chatterbox	chatterbox	0.459	0.548	0.482
chattering	kulankhula	0.460	0.663	0.304
chatty	chatty	0.594	0.548	0.345
chauffeur	woyendetsa	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	zotsika mtengo	0.612	0.471	0.272
cheapened	zotsika mtengo	0.471	0.611	0.282
cheapskate	zotsika mtengo	0.148	0.482	0.327
cheat	chinyengo	0.125	0.776	0.400
cheater	wonyengerera	0.104	0.920	0.333
check	fufuzani	0.523	0.552	0.602
checkbook	bukhu	0.552	0.284	0.364
checker	chofufuzira	0.330	0.417	0.553
checkered	oyang'anira	0.459	0.316	0.336
checkers	zofufuza	0.676	0.451	0.437
checklist	mndandanda	0.561	0.521	0.552
checkmate	yang'anani	0.667	0.708	0.750
checkout	Onani	0.597	0.510	0.670
checkpoint	zofufuzira	0.571	0.323	0.812
checkup	kokawunikidwa	0.500	0.435	0.491
cheek	masaya	0.670	0.314	0.421
cheeks	masaya	0.708	0.324	0.282
cheeky	cheeky	0.434	0.679	0.410
cheep	cheep	0.367	0.380	0.373
cheer	sangalalani	0.938	0.784	0.845
cheered	wosangalala	0.875	0.648	0.790
cheerful	wokondwa	0.990	0.720	0.696
cheerfulness	wokondwa	0.969	0.802	0.675
cheering	kusangalala	0.815	0.824	0.642
cheerleader	wosangalala	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	osasangalala	0.204	0.373	0.167
cheers	okondwa	0.948	0.770	0.702
cheery	chisangalalo	0.949	0.657	0.486
cheese	tchizi	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	cheesy	0.470	0.471	0.179
cheetah	cheetah	0.469	0.770	0.667
chef	mtsogoleri	0.854	0.411	0.570
chemical	mankhwala	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	katswiri wamagetsi	0.408	0.575	0.610
chemistry	chemistry	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	chemotherapy	0.163	0.689	0.517
cheque	fufuzani	0.698	0.529	0.660
cherish	cherish	0.896	0.491	0.652
cherishing	kukonda	0.836	0.380	0.625
cherry	tcheri	0.688	0.186	0.250
cherub	kerubi	0.663	0.340	0.455
chess	chess	0.656	0.363	0.518
chest	chifuwa	0.520	0.429	0.481
chestnut	mgoza	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	chew	0.520	0.490	0.404
chewy	chewy	0.625	0.418	0.390
chic	chic	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	nkhuku	0.771	0.602	0.387
chicken	nkhuku	0.594	0.306	0.394
chicken pox	nthomba	0.194	0.510	0.415
chickenpox	nthomba	0.173	0.562	0.357
chief	mkulu	0.520	0.544	0.869
chiefly	makamaka	0.600	0.587	0.764
chieftain	mtsogoleri	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	mwana	0.912	0.460	0.413
childbirth	kubereka	0.604	0.861	0.673
childhood	ubwana	0.865	0.413	0.307
childish	mwana	0.573	0.442	0.230
childless	wopanda mwana	0.310	0.400	0.396
childlike	ngati mwana	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	ana	0.857	0.538	0.435
chili	chili	0.592	0.566	0.433
chill	chill	0.837	0.206	0.482
chilled	chilled	0.521	0.340	0.482
chilling	kudandaula	0.208	0.850	0.358
chilly	chilly	0.329	0.459	0.408
chime	chime	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	chimes	0.625	0.490	0.402
chimney	chimanga	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	chimpanzi	0.500	0.633	0.387
chin	chin	0.571	0.310	0.269
china	China	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	Chip	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	kumatula	0.354	0.452	0.353
chiropractor	chiropractor	0.420	0.549	0.651
chirp	chirp	0.469	0.602	0.365
chirping	kuimba	0.500	0.463	0.360
chisel	chisel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	Chit	0.490	0.352	0.321
chitchat	Chitchat	0.673	0.455	0.403
chivalry	chivalry	0.857	0.380	0.848
chloride	chloride	0.265	0.387	0.474
chlorine	chlorini	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	chokoleti	0.885	0.480	0.418
choice	kusankha	0.745	0.520	0.664
choir	choyimba	0.704	0.298	0.473
choke	chokha	0.167	0.788	0.676
cholera	kolera	0.020	0.867	0.507
cholesterol	cholesterol	0.198	0.583	0.398
choose	sankhani	0.615	0.542	0.648
choosing	kusankha	0.719	0.529	0.689
choosy	choosy	0.280	0.760	0.712
chop	dulani	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	kudula	0.560	0.625	0.362
chops	chops	0.612	0.420	0.269
choral	chola	0.852	0.290	0.421
chord	nyimbo	0.729	0.394	0.539
chords	makola	0.639	0.406	0.388
chore	ntchito	0.406	0.462	0.500
choreographer	choreographer	0.646	0.639	0.625
choreography	choreography	0.812	0.750	0.547
chorus	chora	0.620	0.417	0.500
chosen	osankhidwa	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	christ	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	christening	0.725	0.382	0.650
christian	christian	0.760	0.241	0.591
christmas	christmas	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	nthawi ya Krismasi	0.837	0.588	0.515
chromatic	chromatic	0.407	0.413	0.435
chromatography	chromatography	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	chromosome	0.500	0.296	0.548
chronic	osatha	0.255	0.615	0.464
chronicle	mbiri	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	zochitika	0.594	0.445	0.600
chubby	chiwonongeko	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	zitsutsani	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	chunk	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	tchalitchi	0.708	0.198	0.610
churchyard	tchalitchi	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	cigar	0.306	0.463	0.346
cigarette	ndudu	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	cinema	0.698	0.538	0.500
cinematic	cinematic	0.663	0.490	0.600
cinematographer	wojambula zithunzi	0.792	0.455	0.711
cinematography	cinematography	0.781	0.571	0.625
cinnamon	sinamoni	0.600	0.250	0.292
cipher	chisa	0.490	0.414	0.500
circle	mzere	0.480	0.290	0.343
circling	kuzungulira	0.510	0.654	0.336
circuit	dera	0.586	0.461	0.707
circuitry	oyang'anira	0.596	0.615	0.536
circular	zozungulira	0.562	0.342	0.417
circulate	zimazungulira	0.612	0.388	0.320
circulation	kusindikizidwa	0.735	0.520	0.657
circulatory	kuzungulira	0.592	0.575	0.545
circumcision	mdulidwe	0.327	0.657	0.528
circumference	chiwerengero	0.458	0.255	0.488
circumferential	zosiyana	0.551	0.422	0.509
circumscribed	zozungulira	0.365	0.539	0.569
circumstance	zochitika	0.520	0.565	0.596
circumstances	zochitika	0.562	0.527	0.464
circumstantial	zochitika	0.500	0.538	0.519
circumvent	kusokoneza	0.316	0.642	0.383
circumvention	zozungulira	0.531	0.571	0.473
circus	masewera	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	chiwindi	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	chitsime	0.541	0.413	0.432
citadel	nyumba yachifumu	0.585	0.464	0.602
citation	ndemanga	0.570	0.549	0.508
cite	tchulani	0.625	0.454	0.532
citizen	nzika	0.631	0.250	0.586
citizenship	nzika	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	citrus	0.469	0.368	0.375
city	mudzi	0.847	0.531	0.508
citywide	Mzinda Wonse	0.592	0.509	0.707
civic	chikhalidwe	0.653	0.240	0.573
civics	chikhalidwe	0.700	0.279	0.720
civil	anthu	0.521	0.281	0.517
civilian	anthu wamba	0.700	0.229	0.598
civilians	anthu wamba	0.490	0.448	0.525
civility	chikhalidwe	0.760	0.306	0.679
civilization	chitukuko	0.823	0.452	0.839
civilized	wotukuka	0.792	0.231	0.796
clad	anaveka	0.583	0.373	0.481
claim	Funsani	0.255	0.760	0.473
claimant	wokonda	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	chifuwa	0.438	0.643	0.360
clamp	kumveka	0.541	0.388	0.454
clan	banja	0.562	0.491	0.686
clandestine	mwachinsinsi	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	kuomba	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	kukwapula	0.823	0.894	0.686
clarification	kufotokoza	0.802	0.461	0.613
clarify	fotokozani	0.652	0.535	0.625
clarinet	clarinet	0.592	0.453	0.411
clarion	clarion	0.500	0.443	0.422
clarity	chidziwitso	0.796	0.310	0.631
clash	kutsutsana	0.293	0.918	0.453
clashing	kuwomba	0.177	0.764	0.575
clasp	clasp	0.448	0.375	0.241
class	kalasi	0.656	0.314	0.522
classic	zamakono	0.690	0.260	0.611
classic rock	dothi lachikale	0.729	0.571	0.588
classical	zapamwamba	0.643	0.198	0.536
classics	zojambulajambula	0.750	0.333	0.510
classification	mndandanda	0.583	0.423	0.613
classified	zolemba	0.571	0.460	0.663
classify	sankhani	0.646	0.411	0.720
classmate	wophunzira naye	0.781	0.400	0.593
classroom	kalasi	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	clatter	0.418	0.820	0.387
clause	ndime	0.480	0.409	0.528
clauses	ndime	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
claustrophobic	claustrophobic	0.092	0.755	0.400
clavicle	chiwombankhanga	0.398	0.400	0.452
claw	claw	0.260	0.600	0.598
claws	ziphuphu	0.281	0.698	0.562
clay	dongo	0.542	0.250	0.267
clean	zoyera	0.827	0.170	0.500
cleaner	woyera	0.604	0.556	0.375
cleaning	kuyeretsa	0.595	0.396	0.427
cleanliness	ukhondo	0.816	0.363	0.609
cleanly	mwatsatanetsatane	0.823	0.352	0.583
cleanse	kuyeretsa	0.625	0.310	0.660
cleanser	woyeretsa	0.604	0.353	0.433
cleansing	kuyeretsa	0.729	0.298	0.472
cleanup	konza	0.729	0.314	0.451
clear	momveka bwino	0.857	0.327	0.573
clearance	chilolezo	0.542	0.459	0.473
clearing	kuchotsa	0.680	0.333	0.509
clearness	chidziwitso	0.875	0.316	0.689
cleat	tambani	0.486	0.260	0.361
cleavage	cleavage	0.542	0.602	0.454
cleave	gwirani	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	clef	0.615	0.360	0.595
cleft	kusokoneza	0.306	0.442	0.360
clemency	chisamaliro	0.594	0.417	0.397
clench	clench	0.438	0.618	0.580
clergy	atsogoleri	0.531	0.312	0.575
clergyman	mtsogoleri	0.594	0.330	0.556
cleric	mphunzitsi	0.521	0.324	0.589
clerical	atsogoleri	0.520	0.396	0.491
clerk	mlaliki	0.500	0.579	0.509
clerkship	mabungwe	0.582	0.380	0.596
clever	wanzeru	0.896	0.353	0.729
cleverness	luntha	0.878	0.509	0.921
click	dinani	0.536	0.365	0.268
clicker	chojambulira	0.418	0.490	0.463
client	wothandizira	0.583	0.450	0.618
clientele	kasitomala	0.625	0.577	0.508
cliff	khola	0.361	0.620	0.509
climate	nyengo	0.635	0.240	0.483
climatology	nyengo	0.531	0.367	0.541
climax	pachimake	0.735	0.853	0.667
climb	kukwera	0.615	0.660	0.604
climber	wokwera	0.573	0.716	0.735
clinch	kondomu	0.469	0.538	0.430
cling	gwiritsani	0.417	0.620	0.588
clingy	kumamatira	0.224	0.460	0.370
clinic	kachipatala	0.469	0.439	0.600
clinical	mankhwala	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	chojambula	0.438	0.310	0.381
clipboard	zojambulajambula	0.594	0.255	0.423
clipper	chopondera	0.293	0.422	0.383
clipping	kudula	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	chovala	0.469	0.188	0.333
cloaking	kuvala	0.521	0.595	0.389
cloakroom	cloakroom	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	koloko	0.677	0.173	0.407
clockwork	zojambula	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	chovala	0.104	0.618	0.454
cloister	cloister	0.438	0.413	0.475
clone	chingwe	0.406	0.471	0.524
cloning	kuponya	0.216	0.696	0.679
close	pafupi	0.292	0.260	0.263
closed	chatseka	0.240	0.164	0.318
closeness	kuyandikana	0.796	0.237	0.450
closet	chipinda	0.531	0.204	0.330
closure	kutseka	0.229	0.220	0.412
clot	chovala	0.150	0.558	0.275
cloth	nsalu	0.510	0.190	0.287
clothe	kuvala	0.797	0.330	0.481
clothes	zovala	0.833	0.270	0.414
clothesline	zovala	0.582	0.324	0.366
clothing	zovala	0.750	0.343	0.407
cloud	mtambo	0.740	0.133	0.342
clouded	adakalipira	0.240	0.213	0.302
cloudiness	kutentha	0.469	0.250	0.343
clouds	mitambo	0.735	0.195	0.324
cloudy	mitambo	0.281	0.280	0.202
clout	sungani	0.584	0.636	0.704
clove	clove	0.439	0.296	0.315
clover	clover	0.605	0.340	0.364
cloves	cloves	0.427	0.218	0.396
clown	osayankhula	0.650	0.598	0.300
clowns	nyimbo	0.600	0.673	0.391
club	chikwama	0.646	0.618	0.393
clubhouse	clubhouse	0.694	0.571	0.493
clubs	makandulo	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	chinsinsi	0.653	0.380	0.412
clueless	clueless	0.350	0.333	0.161
clump	clump	0.551	0.480	0.582
clumsy	zovuta	0.125	0.420	0.144
clunk	sungani	0.448	0.472	0.407
cluster	masango	0.490	0.458	0.446
clutch	gwirani	0.383	0.500	0.491
clutches	kumangirira	0.542	0.373	0.528
clutter	kuphatikiza	0.135	0.598	0.400
coach	mphunzitsi	0.633	0.823	0.735
coachman	mphunzitsi	0.479	0.394	0.509
coagulation	coagulation	0.381	0.558	0.436
coal	malasha	0.360	0.241	0.340
coalesce	coalesce	0.479	0.434	0.529
coalition	mgwirizano	0.490	0.730	0.673
coarse	wonyansa	0.333	0.481	0.481
coast	nyanja	0.719	0.396	0.458
coastal	m'mphepete mwa nyanja	0.604	0.370	0.510
coaster	zovuta	0.612	0.788	0.627
coastline	m'mphepete mwa nyanja	0.745	0.282	0.441
coat	malaya	0.677	0.256	0.464
coating	kuvala	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	cobalt	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	wosuta	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	cocaine	0.156	0.840	0.373
cock	tambala	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	cockpit	0.520	0.424	0.343
cockroach	cockroach	0.188	0.667	0.196
cocksucker	chokopa	0.083	0.764	0.339
cocktail	malo ogulitsa	0.740	0.480	0.381
cocky	cocky	0.260	0.784	0.519
cocoa	kakala	0.776	0.255	0.322
coconut	kokonati	0.622	0.265	0.227
cocoon	koka	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	code	0.583	0.308	0.491
codeine	codeine	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	kukonza	0.448	0.400	0.698
codify	codify	0.448	0.410	0.679
coding	kulembetsa	0.442	0.344	0.667
coed	yophimbika	0.469	0.531	0.481
coefficient	coefficient	0.677	0.415	0.702
coerce	pikani	0.260	0.741	0.517
coercion	kuumirizidwa	0.330	0.708	0.577
coercive	kuumirizidwa	0.479	0.670	0.506
coexist	khala limodzi	0.708	0.460	0.536
coexistence	kugwirizana	0.588	0.472	0.638
coexisting	kukhalapo	0.551	0.349	0.648
coffee	khofi	0.823	0.418	0.309
coffee table	tebulo laling'ono	0.720	0.339	0.295
coffeehouse	chophika	0.694	0.357	0.307
coffeepot	kapu	0.760	0.333	0.312
coffin	bokosi	0.073	0.432	0.343
cog	chingwe	0.427	0.343	0.363
cogent	osakayikira	0.765	0.479	0.836
cognac	mowa wamphesa	0.615	0.510	0.430
cognate	kuzindikira	0.615	0.350	0.398
cognition	kuzindikira	0.635	0.344	0.706
cognitive	chidziwitso	0.513	0.401	0.634
cohabitation	kugwirizana	0.646	0.526	0.598
coherence	mgwirizano	0.720	0.406	0.788
coherent	zogwirizana	0.698	0.281	0.500
cohesion	mgwirizano	0.604	0.536	0.555
cohesive	kuphatikiza	0.531	0.470	0.603
cohort	gulu	0.459	0.551	0.566
coil	chophimba	0.448	0.343	0.298
coiled	yophimbidwa	0.378	0.518	0.389
coin	ndalama	0.677	0.574	0.445
coinage	ndalama	0.500	0.400	0.545
coincide	zogwirizana	0.635	0.490	0.593
coincidence	mwangozi	0.612	0.450	0.518
coincident	zimagwirizana	0.562	0.385	0.602
coincidental	mwangozi	0.646	0.481	0.337
coinciding	kugwirizana	0.673	0.373	0.623
coke	coke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	kuzizira	0.398	0.538	0.348
coldly	ozizira	0.365	0.358	0.407
coldness	kuzizira	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	coliseum	0.612	0.663	0.704
collaborate	gwirizanitsani	0.816	0.449	0.559
collaboration	mgwirizano	0.885	0.628	0.741
collaborator	wothandizira	0.729	0.320	0.769
collage	collage	0.680	0.321	0.375
collagen	collagen	0.541	0.245	0.450
collapse	kugwa	0.208	0.689	0.342
collar	kolala	0.656	0.442	0.446
collarbone	collarbone	0.420	0.427	0.306
collate	sungani	0.438	0.448	0.580
collateral	dala	0.531	0.422	0.717
collation	kupanikizika	0.520	0.333	0.508
colleague	mnzako	0.740	0.413	0.600
collect	kusonkhanitsani	0.635	0.481	0.491
collected	anasonkhanitsidwa	0.570	0.402	0.588
collection	kusonkhanitsa	0.725	0.311	0.588
collective	gulu lonse	0.583	0.458	0.698
collectively	pamodzi	0.817	0.573	0.533
collector	wosonkhanitsa	0.552	0.481	0.648
college	koleji	0.700	0.467	0.746
collegiate	kusonkhana	0.592	0.461	0.678
collide	sungani	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	kugunda	0.245	0.848	0.585
collocation	kugawa	0.637	0.360	0.594
colloquial	colloquial	0.604	0.363	0.368
collusion	kusamvana	0.365	0.510	0.400
cologne	kondomu	0.677	0.413	0.552
colon	koloni	0.449	0.394	0.384
colonel	colonel	0.459	0.592	0.890
colonial	chikoloni	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	colonoscopy	0.208	0.524	0.466
colony	koloni	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	mtundu	0.786	0.280	0.402
coloration	mitundu	0.541	0.520	0.443
colored	zamitundu	0.806	0.317	0.275
colorful	zokongola	0.850	0.520	0.519
coloring	mitundu	0.781	0.469	0.353
colorless	osayera	0.354	0.340	0.250
colors	mitundu	0.875	0.349	0.340
colossal	wachikuda	0.698	0.692	0.900
colt	bulu	0.561	0.587	0.543
columbine	columbine	0.520	0.521	0.407
column	ndime	0.480	0.250	0.670
columnar	columnar	0.448	0.340	0.491
columnist	wolemba mabuku	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	coma	0.219	0.255	0.302
comatose	kuphatikiza	0.143	0.438	0.433
comb	chisa	0.490	0.123	0.268
combat	nkhondo	0.302	0.846	0.833
combatant	msilikali	0.531	0.853	0.780
combative	kuphwanya	0.381	0.690	0.816
combination	kuphatikiza	0.708	0.480	0.726
combinatorial	kusonkhana	0.561	0.436	0.428
combine	kuphatikiza	0.663	0.442	0.533
combined	kuphatikiza	0.622	0.370	0.500
combo	combo	0.698	0.439	0.453
combustible	zotentha	0.386	0.650	0.750
combustion	kuyaka	0.457	0.807	0.591
come	bwerani	0.529	0.269	0.558
comeback	Bwererani	0.580	0.409	0.555
comedian	wokondweretsa	0.812	0.735	0.598
comedy	zokondweretsa	0.918	0.555	0.490
comet	komabe	0.704	0.679	0.471
comfort	chitonthozo	0.863	0.231	0.670
comfortable	bwino	0.927	0.163	0.473
comforter	wotonthoza	0.618	0.275	0.302
comforting	kutonthoza	0.906	0.337	0.620
comfy	zosangalatsa	0.930	0.241	0.625
comic	zosangalatsa	0.917	0.459	0.387
comical	zosangalatsa	0.844	0.737	0.327
comics	makanema	0.690	0.556	0.384
coming	kubwera	0.653	0.417	0.500
comma	komabe	0.344	0.269	0.242
command	lamulo	0.427	0.790	0.849
commandant	mtsogoleri	0.622	0.700	0.943
commandeer	olamulira	0.552	0.639	0.931
commander	mtsogoleri	0.531	0.615	0.906
commanding	kulamula	0.562	0.664	0.925
commandment	lamulo	0.656	0.490	0.876
commando	commando	0.323	0.710	0.817
commemorate	kondwerera	0.812	0.602	0.636
commemoration	chikumbutso	0.719	0.615	0.754
commemorative	mwambo wokumbukira	0.750	0.438	0.754
commence	ayambe	0.760	0.585	0.741
commend	ayamikireni	0.906	0.694	0.711
commendable	oyamikirika	0.786	0.570	0.555
commendation	kuyamika	0.911	0.500	0.639
commensurate	komabe	0.610	0.304	0.550
comment	ndemanga	0.667	0.417	0.379
commentary	ndemanga	0.602	0.402	0.446
commentator	ndemanga	0.492	0.510	0.607
commerce	malonda	0.646	0.500	0.788
commercial	zamalonda	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	komiti	0.385	0.500	0.788
commission	ntchito	0.677	0.480	0.571
commissioner	komiti	0.602	0.449	0.949
commit	pereka	0.365	0.529	0.491
commitment	kudzipereka	0.714	0.710	0.843
committal	kuchita	0.472	0.519	0.582
committed	odzipereka	0.710	0.542	0.712
committee	komiti	0.592	0.392	0.721
commodity	katundu	0.615	0.394	0.537
commodore	zoyenera	0.427	0.530	0.636
common	wamba	0.600	0.127	0.318
commoner	commoner	0.448	0.365	0.327
commonly	kawirikawiri	0.604	0.170	0.574
commonplace	wamba	0.520	0.337	0.442
commons	komiti	0.633	0.396	0.623
commonwealth	commonwealth	0.630	0.406	0.702
commotion	chisokonezo	0.490	0.700	0.646
communal	zamagulu	0.592	0.321	0.556
commune	komiti	0.500	0.488	0.655
communicable	zowonjezereka	0.796	0.491	0.623
communicate	kulankhulana	0.823	0.410	0.696
communication	kulankhulana	0.837	0.400	0.649
communicative	kulankhula	0.847	0.560	0.637
communicator	wolankhulirana	0.573	0.509	0.796
communion	mgonero	0.765	0.357	0.607
communism	chikominisi	0.264	0.570	0.623
communist	wachikominisi	0.265	0.702	0.632
community	midzi	0.750	0.350	0.659
commutation	kusintha	0.469	0.431	0.652
commutative	kusintha	0.667	0.442	0.569
commute	komani	0.622	0.582	0.565
commuter	komitala	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	compact	0.458	0.417	0.673
compaction	compaction	0.531	0.471	0.582
compactness	kuphatikiza	0.582	0.352	0.454
companion	mnzanga	0.770	0.377	0.618
companionless	bwenzi	0.271	0.259	0.200
companionship	kucheza	0.833	0.438	0.792
company	kampani	0.906	0.425	0.798
comparable	zofanana	0.562	0.443	0.458
comparative	kufanana	0.470	0.273	0.562
comparatively	mofanana	0.604	0.391	0.538
compare	yerekezerani	0.552	0.408	0.524
comparison	kufanana	0.583	0.456	0.492
compartment	chipinda	0.500	0.389	0.607
compass	kampasi	0.541	0.307	0.529
compassion	chifundo	0.735	0.258	0.509
compassionate	chifundo	0.857	0.404	0.411
compatibility	kugwirizana	0.816	0.450	0.673
compatible	zogwirizana	0.892	0.387	0.638
compel	konzani	0.200	0.847	0.625
compelled	kukakamizika	0.333	0.654	0.347
compelling	kukakamiza	0.698	0.570	0.870
compendium	compendium	0.610	0.461	0.537
compensate	malipiro	0.612	0.429	0.762
compensation	malipiro	0.775	0.469	0.598
compensatory	malipiro	0.589	0.490	0.700
compete	mpikisano	0.573	0.745	0.786
competence	luso	0.615	0.802	0.823
competency	luso	0.768	0.775	0.764
competent	ali ndi luso	0.865	0.560	0.904
competition	mpikisano	0.580	0.790	0.798
competitive	mpikisano	0.447	0.718	0.908
competitor	mpikisano	0.612	0.959	0.861
compilation	kusonkhanitsa	0.530	0.512	0.606
compile	konzani	0.600	0.413	0.519
complacency	kusadandaula	0.604	0.503	0.519
complacent	osadandaula	0.625	0.452	0.518
complain	kudandaula	0.143	0.682	0.360
complaint	kudandaula	0.143	0.606	0.281
complement	kuthandizira	0.760	0.277	0.600
complementary	wothandizira	0.714	0.320	0.586
complete	malizitsani	0.750	0.414	0.809
completed	yomaliza	0.823	0.357	0.777
completely	kwathunthu	0.730	0.370	0.690
completeness	kukwanira	0.823	0.433	0.769
completing	kukwaniritsa	0.614	0.500	0.769
completion	kumaliza	0.656	0.470	0.525
complex	zovuta	0.388	0.608	0.550
complexed	zovuta	0.312	0.577	0.612
complexion	tsitsi	0.521	0.520	0.380
complexity	zovuta	0.479	0.620	0.595
compliance	kutsatira	0.750	0.462	0.750
compliant	zovomerezeka	0.677	0.310	0.519
complicate	kuphatikiza	0.210	0.657	0.404
complicated	zovuta	0.211	0.660	0.455
complication	zovuta	0.365	0.726	0.330
complicity	zovuta	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	zovomerezeka	0.823	0.413	0.435
comply	zitsatirani	0.806	0.370	0.638
complying	kutsatira	0.729	0.423	0.590
compo	kompo	0.500	0.346	0.390
component	chigawo	0.531	0.382	0.525
compose	kulemba	0.639	0.432	0.694
composed	analemba	0.684	0.385	0.682
composer	wopanga	0.822	0.588	0.691
