Word	Sesotho-st	Valence	Arousal	Dominance
concede	lumellane	0.670	0.324	0.473
conceit	ikhohomosa	0.354	0.625	0.309
conceited	ho ikhohomosa	0.194	0.667	0.473
conceivable	ho nahanoa	0.730	0.350	0.613
conceive	ho emola	0.708	0.538	0.700
concentrate	tsepamisa maikutlo	0.750	0.439	0.743
concentration	mahloriso	0.735	0.500	0.722
concentric	ho tsepamisa maikutlo	0.730	0.479	0.635
concept	khopolo	0.573	0.265	0.632
conception	ho emoloa	0.694	0.490	0.614
concern	ho tšoenyeha	0.250	0.734	0.463
concerned	tse amehang	0.292	0.698	0.350
concert	konsarete	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	tumello	0.588	0.423	0.615
concessional	ho fana ka tumello	0.770	0.493	0.657
conch	mochine	0.583	0.306	0.339
concierge	mohaho oa likoloi	0.480	0.343	0.343
conciliation	poelano	0.792	0.475	0.726
concise	e hlakileng	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	qetella	0.530	0.267	0.679
concluding	ho qetella	0.531	0.382	0.603
conclusion	qeto	0.615	0.377	0.659
conclusive	e tsitsitseng	0.500	0.427	0.745
concoction	concoction	0.448	0.459	0.417
concomitant	e khotsofatsang	0.427	0.482	0.727
concord	ho lumellana	0.677	0.320	0.586
concordance	ho lumellana	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	ho etsa joalo	0.740	0.657	0.528
concrete	konkreite	0.633	0.420	0.547
concubine	serethe	0.388	0.594	0.476
concur	ho lumellana	0.459	0.394	0.429
concurrence	ho lumellana	0.764	0.627	0.613
concurrent	motsotsoana	0.573	0.547	0.741
concurring	e lumellanang	0.573	0.600	0.681
concussion	tlhōlisano	0.072	0.708	0.482
condemn	nyatsa	0.102	0.793	0.625
condemnation	ho nyatsuoa	0.133	0.725	0.449
condensation	condensation	0.510	0.316	0.538
condensed	e khutsitsoeng	0.598	0.415	0.623
condescending	ho theola	0.583	0.363	0.593
condescension	kheloha	0.521	0.377	0.565
condiment	khotsofatsa	0.520	0.333	0.433
condition	boemo	0.500	0.469	0.519
conditional	maemo	0.521	0.343	0.556
conditionally	boemo ba maemo	0.396	0.419	0.617
conditioned	e hlophisitsoeng	0.490	0.417	0.616
conditioner	boemo ba boemo bo botle	0.781	0.360	0.538
conditioning	boemo ba maemo	0.440	0.468	0.617
conditions	maemo	0.551	0.441	0.593
condo	condo	0.439	0.288	0.607
condolence	matšeliso	0.260	0.443	0.404
condolences	matšeliso	0.198	0.480	0.288
condom	khohlopo	0.406	0.637	0.500
condone	lumella	0.571	0.441	0.619
condor	condor	0.573	0.388	0.519
conducive	e ntle	0.775	0.479	0.679
conduct	boitšoaro	0.453	0.510	0.750
conduction	ho khanna	0.530	0.557	0.717
conductivity	conductivity	0.583	0.575	0.642
conductor	mokhanni	0.677	0.663	0.621
conduit	ho khanna	0.470	0.302	0.413
cone	khoele	0.417	0.208	0.343
confederacy	confederacy	0.590	0.541	0.736
confederate	li kopantsoe	0.551	0.546	0.792
confederation	lichelete	0.663	0.404	0.830
confer	fana ka maikutlo	0.573	0.482	0.583
conference	seboka	0.688	0.615	0.606
confess	lumela	0.360	0.712	0.431
confession	ho ipolela	0.469	0.642	0.460
confessional	ho ipolela	0.458	0.392	0.629
confessions	lipolelo	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	e le sephiri	0.837	0.633	0.631
confide	bolella lipelaelo	0.669	0.472	0.595
confidence	kholiseho	0.959	0.276	0.943
confident	kholisehile	0.765	0.324	0.723
confidential	sephiri	0.643	0.471	0.761
confidentiality	bolotsana	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	tlhophiso	0.540	0.443	0.591
confine	koala	0.327	0.551	0.538
confined	koaletsoeng	0.286	0.472	0.444
confinement	ho koalloa chankaneng	0.333	0.656	0.520
confines	e koala	0.396	0.386	0.542
confirm	netefatsa	0.802	0.439	0.806
confirmation	netefatso	0.812	0.480	0.692
confirmatory	nete	0.656	0.500	0.683
confirmed	e tiisitsoe	0.760	0.490	0.764
confiscate	u amohele	0.250	0.625	0.482
confiscation	tlatlapuoa	0.208	0.706	0.586
conflagration	pherekano	0.344	0.721	0.594
conflict	lintoa	0.335	0.906	0.471
conflicting	ho loantšana	0.173	0.738	0.553
confluence	confluence	0.677	0.598	0.565
conform	lumellana	0.479	0.380	0.375
conformance	ho lumellana	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	ho lumellana	0.645	0.363	0.579
confound	ferekane	0.347	0.529	0.333
confounded	ba ferekane	0.333	0.528	0.264
confront	tobana	0.281	0.760	0.746
confrontation	ntoa	0.177	0.870	0.658
confuse	ferekanya	0.100	0.580	0.270
confused	ferekane	0.220	0.650	0.179
confusing	ho ferekanya	0.229	0.690	0.222
confusion	pherekano	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	congenial	0.820	0.412	0.620
congenital	congenital	0.448	0.434	0.427
congestion	ho ferekana	0.271	0.654	0.491
conglomerate	conglomerate	0.500	0.500	0.838
conglomeration	ho kopana	0.541	0.720	0.670
congrats	congrats	0.930	0.726	0.775
congratulate	leboha	0.927	0.724	0.784
congratulation	ho leboha	0.948	0.780	0.717
congratulations	ho leboha	0.960	0.755	0.719
congratulatory	ho leboha	0.959	0.616	0.689
congregate	bokana	0.653	0.530	0.733
congregation	phutheho	0.561	0.490	0.700
congress	congress	0.449	0.444	0.857
congressional	congressional	0.552	0.491	0.848
congressman	congressman	0.438	0.471	0.877
congruence	ho kopana	0.656	0.472	0.577
conic	mohopolo	0.510	0.368	0.379
conical	e lumellane	0.490	0.422	0.471
conjecture	ho nahana	0.396	0.398	0.534
conjugal	kopano	0.698	0.510	0.688
conjugate	kopanya	0.583	0.420	0.467
conjugation	ho nyalana	0.479	0.429	0.582
conjunction	selekane	0.520	0.472	0.509
conjunctive	e tsitsitseng	0.487	0.444	0.639
conjure	khotsofatsa	0.385	0.679	0.645
conjuring	ho bua	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	hokahanya	0.724	0.299	0.536
connected	e amanang	0.816	0.550	0.612
connection	kgokahanyo	0.729	0.560	0.655
connective	e ikemetseng	0.719	0.491	0.764
connoisseur	connoisseur	0.760	0.461	0.769
conquer	hlōla	0.694	0.873	0.971
conquering	ho hlōla	0.760	0.873	0.936
conqueror	mohlōli	0.604	0.809	0.930
conquest	ho hlōla	0.710	0.702	0.833
conscience	letsoalo	0.663	0.375	0.721
conscientious	ka hloko	0.688	0.404	0.688
conscious	ho ela hloko	0.740	0.333	0.705
consciousness	tsebo	0.840	0.483	0.755
conscription	ho ngolisoa ha molao	0.396	0.775	0.642
consecrated	ba halalelitsoe	0.663	0.500	0.800
consecration	ho ikhethela	0.771	0.418	0.804
consecutive	e latellanang	0.663	0.418	0.643
consensual	ho iketsetsa letho	0.663	0.417	0.655
consensus	tumellano	0.627	0.358	0.625
consent	tumello	0.750	0.500	0.620
consenting	lumela	0.727	0.406	0.693
consequence	liphello	0.240	0.721	0.593
consequent	ka lebaka leo	0.663	0.471	0.625
conservation	ho sireletsa	0.832	0.401	0.606
conservatism	conservatism	0.406	0.369	0.633
conservative	e hlokolosi	0.615	0.316	0.788
conservatory	tlhokomelo	0.635	0.240	0.729
conserve	boloka	0.690	0.347	0.573
consider	nahana	0.677	0.368	0.579
considerable	e ngata	0.653	0.314	0.683
considerate	ho nahanela	0.781	0.380	0.633
consideration	ho nahanela	0.589	0.380	0.687
consignee	mookameli	0.635	0.385	0.602
consignment	thepa	0.490	0.440	0.500
consist	e akaretsang	0.823	0.386	0.580
consistency	ho tsitsisa	0.714	0.500	0.887
consistent	e tsitsitseng	0.786	0.431	0.726
consolation	matšeliso	0.408	0.250	0.304
console	tšelisa	0.625	0.398	0.415
consoled	khothatso	0.700	0.343	0.452
consolidate	ho kopanya	0.880	0.440	0.870
consolidated	e kopantsoe	0.700	0.366	0.784
consolidation	ho kopanya	0.604	0.445	0.776
consonant	tse ling	0.500	0.347	0.417
consort	mokokotlo	0.632	0.509	0.630
conspicuous	e hlahelletseng	0.479	0.520	0.596
conspiracy	bolotsana	0.125	0.787	0.652
conspirator	moqapi	0.271	0.786	0.707
conspire	'momori	0.206	0.740	0.520
constable	e tsitsitseng	0.573	0.667	0.764
constancy	khafetsa	0.786	0.443	0.763
constant	khafetsa	0.740	0.296	0.686
constantly	kamehla	0.663	0.561	0.700
constellation	sehlopha sa linaleli	0.719	0.533	0.775
consternation	ho senya	0.167	0.680	0.469
constipation	ho patoa	0.079	0.612	0.231
constituency	constituency	0.500	0.480	0.696
constituent	e ikemetseng	0.573	0.500	0.827
constituents	likarolo	0.573	0.414	0.833
constitute	e theha	0.812	0.349	0.906
constitution	motheo	0.590	0.380	0.889
constitutional	molao-motheo	0.633	0.418	0.827
constitutionality	melao ea motheo	0.612	0.439	0.853
constrain	qobella	0.261	0.500	0.500
constrained	e hanngoe	0.135	0.537	0.357
constraint	thibelo	0.323	0.550	0.481
construct	ho haha	0.750	0.648	0.792
construction	ho haha	0.848	0.612	0.759
constructive	e hahang	0.860	0.570	0.812
construe	etsa joalo	0.602	0.519	0.553
consul	consul	0.573	0.354	0.688
consulate	setereke	0.561	0.453	0.694
consult	buisana	0.755	0.370	0.441
consultant	moeletsi	0.770	0.344	0.808
consultation	puisano	0.660	0.463	0.625
consume	ja	0.427	0.620	0.509
consumer	bareki	0.507	0.551	0.677
consuming	ho ja	0.573	0.541	0.536
consummate	ho ja	0.551	0.540	0.558
consummation	ho qeta nako	0.583	0.676	0.661
consumption	ho sebelisoa	0.390	0.531	0.538
contact	ikopanya	0.719	0.424	0.526
contagion	tšoaetso	0.208	0.630	0.535
contagious	e tšoaetsanoang	0.184	0.725	0.400
contain	e na le	0.542	0.490	0.658
container	setshelo	0.551	0.396	0.561
containment	tšenyo	0.411	0.491	0.618
contaminate	silafatsa	0.140	0.611	0.426
contaminated	e silafalitsoe	0.040	0.500	0.368
contamination	tšilafalo	0.125	0.610	0.375
contemplate	nahana	0.740	0.347	0.642
contemplation	ho nahanisisa	0.552	0.324	0.627
contemplative	ho nahanisisa	0.729	0.308	0.739
contemporaneous	ka nako e tšoanang	0.640	0.373	0.591
contemporary	mehleng ea kajeno	0.720	0.365	0.569
contempt	nyeliso	0.206	0.635	0.396
contemptible	e nyonyehang	0.146	0.657	0.471
contemptuous	ho nyenyefatsa	0.204	0.500	0.375
contend	qabana	0.510	0.657	0.731
contender	likhang	0.480	0.790	0.681
contending	ho phehisana	0.490	0.698	0.716
content	dikahare	0.764	0.296	0.559
contented	e khotsofetse	0.857	0.612	0.746
contention	ho hloka kutloano	0.375	0.510	0.738
contentious	tsekisano	0.422	0.573	0.637
contentment	khotsofalo	0.875	0.610	0.782
contents	tse ka hare	0.656	0.375	0.550
contest	tlhōlisano	0.667	0.698	0.717
contestant	mohlankana	0.760	0.530	0.602
context	moelelo	0.531	0.300	0.553
contiguous	ho kopana	0.375	0.450	0.500
continence	continence	0.450	0.396	0.469
continent	k'honthinente	0.551	0.373	0.833
continental	continental	0.486	0.350	0.755
contingency	tšohanyetso	0.396	0.500	0.670
contingent	ho pheta-pheta	0.470	0.531	0.659
continual	tsoela pele	0.500	0.423	0.685
continually	khafetsa	0.646	0.438	0.698
continuance	tsoelo-pele	0.729	0.510	0.652
continuation	tsoelo-pele	0.615	0.470	0.566
continue	tsoela pele	0.630	0.427	0.612
continued	a tsoela pele	0.635	0.440	0.500
continuing	ho tsoelapele	0.667	0.500	0.520
continuity	ho tsoela pele	0.781	0.439	0.684
continuous	e tsoelang pele	0.625	0.509	0.580
continuously	tsoelang pele	0.719	0.417	0.702
continuum	continuum	0.677	0.390	0.491
contour	phetoho	0.589	0.265	0.414
contraband	ho itšireletsa	0.177	0.875	0.670
contraception	thibelo ea bokhachane	0.296	0.518	0.525
contract	konteraka	0.594	0.412	0.636
contracted	e entsoeng tumellano	0.344	0.557	0.449
contractile	konteraka	0.480	0.586	0.569
contracting	ho etsa tumellano	0.594	0.490	0.769
contraction	thibelo	0.292	0.755	0.603
contractor	kontraka	0.592	0.479	0.727
contradict	e hanyetsa	0.160	0.598	0.482
contradiction	ho hanyetsa	0.250	0.660	0.377
contradictory	e hanyetsanoa	0.365	0.651	0.421
contraption	ho qoba	0.448	0.590	0.491
contrary	ho fapana	0.327	0.449	0.338
contrast	phapang	0.480	0.406	0.520
contrasted	e fapane	0.521	0.538	0.491
contravene	e hanyetsa	0.357	0.618	0.472
contravention	tlhekefetso	0.344	0.627	0.593
contribute	kenya letsoho	0.806	0.350	0.795
contribution	monehelo	0.854	0.452	0.760
contributor	mohoeletsi	0.844	0.510	0.760
contrite	e nyelisehile	0.347	0.363	0.473
contrition	tlhaloso	0.347	0.583	0.463
contrived	e hlahisitsoe	0.408	0.530	0.458
control	ho laola	0.729	0.352	0.808
controller	molaoli	0.469	0.712	0.868
controlling	ho laola	0.490	0.441	0.885
controversial	tsekisano	0.271	0.858	0.538
controversy	phehisano	0.250	0.819	0.600
contusion	pherekano	0.167	0.565	0.509
conundrum	conundrum	0.354	0.524	0.408
convalescent	convalescent	0.458	0.480	0.269
convection	convection	0.521	0.494	0.526
convene	lumellana	0.583	0.676	0.636
convenience	bonolo	0.781	0.448	0.613
conveniences	tse bonolo	0.802	0.412	0.693
convenient	e le bonolo	0.846	0.491	0.574
convent	setereke sa baitlami	0.480	0.217	0.594
convention	kopano	0.622	0.622	0.704
conventional	e tloaelehileng	0.594	0.292	0.634
converge	fetola	0.635	0.471	0.539
convergence	ho fetoha	0.551	0.491	0.625
convergent	fetola	0.781	0.490	0.696
conversant	e qoqa	0.724	0.360	0.542
conversation	moqoqo	0.750	0.510	0.609
conversational	ho qoqa	0.719	0.431	0.596
conversationalist	moqoqo	0.719	0.467	0.667
converse	buisana	0.594	0.406	0.598
conversing	ho qoqa	0.755	0.409	0.442
conversion	phetoho	0.480	0.605	0.736
convert	fetola	0.551	0.538	0.704
converted	e sokolohile	0.663	0.418	0.686
convertible	fetoha	0.542	0.529	0.717
convex	khotsofalo	0.438	0.427	0.445
convexity	khotsofalo	0.449	0.354	0.484
convey	fetisa	0.719	0.633	0.708
conveyance	ho tsamaisa	0.615	0.520	0.455
conveyancing	ho tsamaisa	0.375	0.479	0.663
convict	moahloli	0.177	0.840	0.477
conviction	kholiseho	0.615	0.704	0.826
convince	kholisa	0.708	0.539	0.763
convinced	kholisehile	0.750	0.500	0.630
convincing	e kholisang	0.760	0.527	0.900
convocation	kopano	0.538	0.611	0.663
convoluted	convoluted	0.323	0.614	0.433
convolution	convolution	0.417	0.559	0.527
convoy	moemeli	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	pheha	0.847	0.500	0.412
cookbook	cookbook	0.602	0.346	0.398
cooker	ho pheha	0.592	0.373	0.407
cookery	ho pheha	0.633	0.368	0.345
cookie	cookie	0.792	0.306	0.250
cookies	li-cookie	0.823	0.451	0.316
cooking	ho pheha	0.694	0.510	0.434
cookout	ho pheha	0.680	0.406	0.482
cool	pholile	0.885	0.540	0.781
coolant	e pholileng	0.720	0.412	0.456
cooler	pholile	0.664	0.375	0.460
cooling	ho pholile	0.469	0.324	0.392
coolness	pholileng	0.490	0.307	0.548
coon	ho kopana	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	sebelisana	0.898	0.451	0.582
cooperating	ho sebelisana	0.760	0.390	0.693
cooperation	tšebelisano	0.847	0.473	0.686
cooperative	ho sebelisana	0.816	0.461	0.670
coordinate	ho hokahanya	0.698	0.429	0.694
coordination	ho sebelisana	0.677	0.454	0.789
coordinator	mohokahanyi	0.750	0.510	0.850
cop	mohoeletsi	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	sebetsana	0.592	0.647	0.709
copier	kopitsa	0.459	0.345	0.390
copilot	copilot	0.640	0.538	0.573
coping	ho sebetsana	0.562	0.630	0.613
copious	e kopitsa	0.427	0.462	0.527
copper	koporo	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	kopitsa	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	ho kopitsa	0.448	0.315	0.404
copyright	copyright	0.458	0.402	0.663
coral	likorale	0.802	0.231	0.425
coral snake	noha ea coral	0.276	0.712	0.607
cord	mohala	0.388	0.378	0.358
cordial	e ntle	0.823	0.312	0.482
cordless	ho se na letho	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	corduroy	0.570	0.324	0.357
core	mokokotlo	0.721	0.378	0.540
cork	kork	0.347	0.250	0.281
corkscrew	motlakase	0.427	0.443	0.445
corn	poone	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	cornea	0.521	0.346	0.443
corned	li koaletsoe	0.459	0.441	0.425
corner	sekhutlo	0.400	0.296	0.366
cornerstone	lejoe la sekhutlo	0.550	0.388	0.596
cornet	cornet	0.507	0.520	0.415
cornfield	cornfield	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornice	0.458	0.441	0.295
cornstarch	cornstarch	0.643	0.299	0.337
corny	corny	0.448	0.370	0.221
corollary	corollary	0.458	0.469	0.366
corona	corona	0.818	0.439	0.745
coronary	coronary	0.567	0.613	0.509
coronation	coronation	0.792	0.592	0.836
coroner	coroner	0.323	0.558	0.526
corporal	khoebo	0.582	0.490	0.596
corporate	khoebo	0.592	0.454	0.745
corporation	corporation	0.429	0.332	0.873
corporeal	tse ling	0.520	0.350	0.461
corps	litopo	0.551	0.453	0.483
corpse	setopo	0.094	0.657	0.232
corpsman	sethunya	0.439	0.469	0.651
corpus	corpus	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	e nepahetse	0.857	0.306	0.723
correction	ho lokisoa	0.448	0.485	0.558
correctional	khalemelo	0.292	0.713	0.602
corrective	ho lokisoa	0.448	0.528	0.613
correctness	ho nepahala	0.796	0.450	0.649
correlation	ho tsamaisana	0.596	0.462	0.571
correlative	ho tsamaisana	0.510	0.402	0.571
correspond	lumellana	0.710	0.452	0.545
correspondence	mangolo	0.663	0.423	0.491
correspondent	mongoli	0.573	0.565	0.712
corresponding	e lumellanang	0.740	0.423	0.618
corridor	maralla	0.604	0.589	0.592
corroborate	ho tšehetsa	0.671	0.471	0.616
corroboration	ho sebelisana hantle	0.625	0.431	0.733
corrosion	ho bola	0.156	0.610	0.348
corrosive	tse nyenyane	0.140	0.618	0.570
corrupt	e senyehile	0.020	0.806	0.500
corrupting	ho senya	0.062	0.804	0.380
corruption	bobolu	0.052	0.830	0.549
corsage	corsage	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	corset	0.490	0.520	0.381
cortex	cortex	0.594	0.439	0.529
cortical	cortical	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	corvette	0.551	0.520	0.598
cosmetic	boithabiso	0.625	0.304	0.308
cosmetics	litlolo	0.765	0.464	0.472
cosmic	bohloeki	0.663	0.538	0.692
cosmology	cosmology	0.651	0.438	0.637
cosmopolitan	lichaba tse ngata	0.823	0.510	0.760
cosmos	bokahohle	0.860	0.478	0.664
cost	litšenyehelo	0.365	0.420	0.439
costly	e theko e boima	0.316	0.650	0.642
costume	liaparo	0.548	0.510	0.374
cosy	e monate	0.847	0.255	0.518
cot	koto	0.625	0.230	0.278
cote	palo	0.439	0.344	0.324
cottage	ntloana	0.600	0.279	0.361
cotton	k'hothone	0.639	0.071	0.240
couch	bethe	0.594	0.082	0.198
cougar	cougar	0.438	0.588	0.538
cough	ho khohlela	0.255	0.627	0.241
council	lekhotla	0.875	0.279	0.635
councilman	councilman	0.531	0.367	0.793
counsel	keletso	0.594	0.519	0.730
counseling	ho fana ka keletso	0.667	0.480	0.704
counsellor	moeletsi	0.823	0.327	0.740
counselor	moeletsi	0.873	0.365	0.706
count	bala	0.594	0.389	0.492
countdown	Countdown	0.438	0.692	0.490
countenance	sefahleho	0.635	0.440	0.690
counter	counter	0.439	0.478	0.750
counteract	hanyetsa	0.378	0.542	0.688
counterattack	counterattack	0.281	0.951	0.764
counterbalance	ho bapala	0.520	0.480	0.627
counterclaim	khahlanong le litlaleho	0.398	0.760	0.651
counterfeit	lefeela	0.094	0.694	0.451
counterpart	motsoalle	0.448	0.608	0.577
counterpoint	counterpoint	0.438	0.509	0.538
countess	ho ba le bomalimabe	0.562	0.440	0.670
countless	tse ngata	0.520	0.566	0.534
country	naha	0.698	0.394	0.693
countryman	nahaman	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	mahaeng	0.732	0.288	0.327
counts	ho bala	0.343	0.373	0.500
county	setereke	0.479	0.368	0.545
coup	ho loana	0.275	0.815	0.607
coupe	ho khaola	0.479	0.460	0.482
couple	banyalani	0.806	0.605	0.607
coupled	hammoho	0.612	0.286	0.650
coupling	ho kopanya	0.594	0.479	0.555
coupon	setlankane	0.704	0.300	0.421
courage	sebete	0.830	0.728	0.849
courageous	sebete	0.918	0.587	0.879
courier	courier	0.551	0.383	0.441
courses	lithuto	0.735	0.412	0.534
coursing	ho etsa lipatlisiso	0.542	0.472	0.546
court	lekhotla	0.479	0.769	0.827
courteous	e le ea mosa	0.937	0.396	0.529
courtesy	ka tlhompho	0.927	0.287	0.431
courthouse	lekhotla	0.571	0.503	0.818
courtroom	lekhotla la lekhotla	0.385	0.670	0.887
courts	makhotla	0.367	0.710	0.816
courtship	ho ratana	0.667	0.490	0.654
courtside	ka ntle	0.592	0.391	0.434
courtyard	lebaleng	0.503	0.365	0.355
cousin	motsoala	0.675	0.394	0.427
cousins	bo-motsoala	0.760	0.409	0.464
cove	khaba	0.500	0.304	0.370
coven	selekane	0.458	0.578	0.591
covenant	selekane	0.594	0.462	0.667
cover	sekoahelo	0.365	0.240	0.471
coverage	boitsebiso	0.767	0.413	0.629
covered	koahetsoeng	0.562	0.340	0.644
covering	sekoahelo	0.615	0.382	0.583
covert	sekoahelo	0.500	0.570	0.508
covet	cheseha	0.302	0.779	0.524
coveted	ho chacheha ka mohono	0.661	0.730	0.625
cow	khomo	0.449	0.230	0.300
coward	coward	0.102	0.490	0.149
cowardice	bokooa	0.133	0.621	0.167
cowardly	ka boikhohomoso	0.102	0.385	0.127
cowboy	cowboy	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	khoma	0.438	0.480	0.596
cowhide	khomo	0.458	0.324	0.333
cowl	khomo	0.427	0.450	0.232
coworker	mosebetsi-'moho	0.667	0.490	0.625
coy	e ntle	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	e monate	0.910	0.356	0.545
crab	lekhala	0.421	0.396	0.330
crabby	leqheka	0.198	0.812	0.370
crack	tsuba	0.302	0.625	0.400
cracked	e phunyeletsoeng	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	ho senya	0.327	0.557	0.286
crackle	ho qhoqha	0.327	0.643	0.481
crackpot	moferefere	0.260	0.602	0.245
cradle	tsoalo	0.776	0.194	0.333
craft	mesebetsi ea matsoho	0.760	0.321	0.539
crafts	mesebetsi ea matsoho	0.667	0.380	0.391
craftsman	setsebi sa mesebetsi ea matsoho	0.719	0.310	0.583
craftsmanship	tsebo ea matsoho	0.823	0.373	0.571
crafty	bolotsana	0.589	0.679	0.783
craig	ho tsuba	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	e kentse	0.406	0.740	0.466
cramp	khalase	0.194	0.796	0.340
cramped	e patisane	0.240	0.567	0.360
cranberry	cranberi	0.793	0.330	0.363
cranberry juice	lero la cranberry	0.622	0.321	0.281
crane	khalase	0.396	0.417	0.589
cranial	ho nyenyefatsa	0.354	0.510	0.583
cranium	khanya	0.439	0.491	0.725
crank	sekontiri	0.448	0.275	0.417
cranky	cranky	0.194	0.776	0.396
cranny	motsoakoane	0.194	0.471	0.250
crap	khaba	0.083	0.644	0.167
crappy	ho tsuba	0.039	0.582	0.208
craps	ho phunya	0.375	0.420	0.273
crash	ho oa	0.194	0.906	0.355
crass	moferefere	0.223	0.490	0.466
crate	khalase	0.427	0.173	0.274
crater	motlakase	0.450	0.647	0.529
crave	lakatsa	0.625	0.510	0.731
craving	takatso	0.510	0.755	0.636
crawfish	crawfish	0.510	0.427	0.342
crawl	khaba	0.479	0.519	0.467
crayon	krayone	0.604	0.260	0.185
crayons	crayone	0.684	0.366	0.405
craze	khaotsa	0.255	0.657	0.435
crazed	e tsositse	0.153	0.877	0.417
craziness	bohlanya	0.238	0.908	0.255
crazy	ea hlanya	0.156	0.843	0.321
creak	creak	0.344	0.670	0.411
creaking	creaking	0.302	0.743	0.415
cream	tranelate	0.688	0.259	0.220
creamed	e khabisitsoeng	0.723	0.273	0.288
creamer	e monate	0.594	0.192	0.269
creamy	e monate	0.823	0.337	0.345
crease	ho fola	0.440	0.286	0.300
create	bōpa	0.786	0.588	0.789
creation	pōpo	0.927	0.575	0.868
creative	ho bōpa	0.917	0.518	0.788
creativity	bokhoni	0.938	0.684	0.815
creator	moetsi	0.865	0.592	0.856
creature	sebōpuoa	0.669	0.625	0.620
credence	ho lumela	0.760	0.460	0.737
credential	bopaki	0.735	0.337	0.597
credentials	litšoaneleho	0.708	0.373	0.675
credibility	ho tšepahala	0.875	0.427	0.809
credible	hoa tšepahala	0.917	0.441	0.750
credit	mokitlane	0.673	0.549	0.648
credit card	karete ea mokitlane	0.670	0.550	0.640
creditable	ho khoneha	0.802	0.510	0.742
credited	nete	0.781	0.390	0.691
crediting	ho rekisa	0.673	0.550	0.741
creditor	mokoloto	0.479	0.594	0.689
creed	tumelo	0.573	0.245	0.544
creek	kreek	0.552	0.392	0.330
creep	e fofa	0.354	0.647	0.361
creeper	creeper	0.429	0.558	0.366
creeping	ho nyoloha	0.292	0.613	0.282
creepy	e makatsang	0.125	0.861	0.373
cremation	ho chesoa	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	pherekano	0.698	0.382	0.407
crest	ho hang	0.458	0.333	0.333
crestfallen	hahahahahahahaha	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretins	0.094	0.741	0.328
crevice	ho kopa	0.361	0.471	0.275
crew	basebetsi	0.604	0.598	0.735
crewman	motho ea sebetsang	0.602	0.580	0.548
crib	sefuba	0.653	0.240	0.407
cricket	krikete	0.423	0.539	0.370
cried	a lla	0.167	0.612	0.254
crime	tlōlo ea molao	0.071	0.943	0.630
criminal	senokoane	0.021	0.830	0.529
criminality	tlōlo ea molao	0.122	0.863	0.580
crimp	sekoli	0.260	0.557	0.396
crimson	krimsone	0.667	0.385	0.370
cringe	ho koala	0.245	0.840	0.377
cripple	ea holofetseng	0.094	0.392	0.161
crippled	holofetseng	0.035	0.358	0.236
crippling	ea holofetseng	0.156	0.598	0.391
crisis	tlokotsi	0.208	0.811	0.431
crisp	e hlabang	0.776	0.692	0.508
crispy	crispy	0.656	0.550	0.509
criterion	mohlala	0.396	0.410	0.736
critic	mohlahlobisisi	0.264	0.604	0.686
critical	ho bohlokoa	0.312	0.802	0.545
criticise	nyatsa	0.073	0.700	0.452
criticism	ho nyatsa	0.115	0.563	0.505
criticize	nyatsa	0.143	0.708	0.473
criticized	a nyatsuoa	0.240	0.600	0.311
critique	hlahisa maikutlo	0.302	0.760	0.537
critter	ho nyatsa	0.542	0.539	0.482
croak	croak	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	crockery	0.552	0.216	0.327
