Word	Bosnian-bs	Valence	Arousal	Dominance
eradication	iskorenjivanje	0.208	0.788	0.685
erase	izbrisati	0.240	0.260	0.321
eraser	eraser	0.458	0.209	0.311
erasure	brisanje	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	podignut	0.643	0.885	0.627
erectile	erektilna	0.542	0.796	0.625
erection	erekcija	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	erode	0.208	0.643	0.580
erosion	erozija	0.312	0.770	0.465
erotic	erotski	0.625	0.946	0.683
erotica	erotica	0.781	0.870	0.579
err	err	0.146	0.660	0.236
errand	errand	0.385	0.519	0.482
errant	zeznuti	0.205	0.602	0.375
erratic	erratic	0.271	0.503	0.217
erratum	erratum	0.327	0.528	0.436
erroneous	pogrešno	0.057	0.561	0.245
error	greška	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	erudite	0.719	0.434	0.774
erupt	erupt	0.188	0.820	0.818
eruption	erupcija	0.156	0.913	0.733
escalade	escalade	0.480	0.724	0.442
escalate	eskaliraju	0.653	0.714	0.728
escalating	eskalirajuće	0.646	0.724	0.518
escalation	eskalacija	0.571	0.807	0.582
escalator	eskalator	0.500	0.530	0.518
escape	bijeg	0.367	0.765	0.448
escaped	pobegla	0.365	0.755	0.518
escarpment	escarpment	0.406	0.553	0.470
eschew	eschew	0.184	0.438	0.370
escort	escort	0.729	0.480	0.608
escrow	deponovan	0.449	0.520	0.613
esophagus	ezofagus	0.429	0.454	0.464
esoteric	ezoteričan	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	špijunaža	0.312	0.750	0.620
espouse	espouse	0.802	0.529	0.598
espresso	espresso	0.677	0.620	0.508
esprit	esprit	0.552	0.431	0.407
esquire	esquire	0.604	0.542	0.518
essay	esej	0.559	0.411	0.530
essayist	esejista	0.656	0.460	0.462
essence	esencija	0.663	0.369	0.575
essential	esencijalno	0.812	0.405	0.759
essentially	esencijalno	0.750	0.373	0.802
establish	uspostaviti	0.708	0.500	0.688
established	uspostavljen	0.796	0.394	0.694
establishment	osnivanje	0.690	0.398	0.631
estate	nekretnine	0.653	0.385	0.647
esteem	esteem	0.745	0.380	0.679
esteemed	cenjen	0.694	0.418	0.531
esthetic	estetski	0.635	0.360	0.558
estimable	procijeniti	0.796	0.408	0.630
estimate	procjena	0.719	0.469	0.517
estimation	procjena	0.740	0.480	0.589
estoppel	estoppel	0.354	0.459	0.482
estranged	otuđeni	0.156	0.382	0.377
estrogen	estrogen	0.580	0.500	0.425
estuary	estuary	0.469	0.278	0.482
etch	etch	0.510	0.367	0.598
etching	jedrenje	0.567	0.491	0.575
eternal	večno	0.854	0.409	0.843
eternity	večnost	0.765	0.520	0.911
ethanol	etanol	0.333	0.410	0.534
ether	eter	0.490	0.306	0.412
ethereal	ethereal	0.520	0.419	0.518
ethic	etika	0.786	0.260	0.791
ethical	etično	0.854	0.324	0.634
ethics	etika	0.658	0.296	0.731
ethnic	etnički	0.583	0.373	0.555
ethnography	etnografija	0.571	0.373	0.549
etiology	etiologija	0.500	0.385	0.639
etiquette	etiketa	0.604	0.350	0.421
etymology	etimologija	0.531	0.370	0.529
eucalyptus	eukaliptus	0.602	0.308	0.418
euchre	euhre	0.470	0.459	0.442
eugenics	eugenics	0.448	0.530	0.518
eulogistic	eulogičan	0.740	0.623	0.694
eulogium	eulogij	0.542	0.482	0.655
eulogize	oprosti	0.850	0.518	0.679
eulogy	Eulogija	0.625	0.443	0.667
euphemism	eufemizam	0.418	0.453	0.491
euphoria	euforija	0.769	0.955	0.648
euphoric	euforičan	0.745	0.904	0.588
euro	euro	0.680	0.441	0.521
euthanasia	eutanazija	0.229	0.716	0.325
evacuate	evakuisati	0.354	0.792	0.314
evacuation	evakuacija	0.160	0.755	0.582
evade	izbjeći	0.304	0.490	0.342
evaluate	procijeniti	0.663	0.640	0.649
evaluation	evaluacija	0.542	0.667	0.764
evanescence	evanescence	0.527	0.519	0.458
evangelical	evangeličan	0.602	0.389	0.602
evangelist	evangelista	0.582	0.464	0.702
evangelistic	evangelistički	0.660	0.375	0.612
evaporate	ispariti	0.357	0.469	0.402
evaporation	isparavanje	0.556	0.346	0.388
evasion	izbjegavanje	0.229	0.510	0.418
evasive	neizravno	0.117	0.596	0.425
eve	Eve	0.612	0.378	0.440
evening	veče	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	događaj	0.745	0.673	0.664
eventful	događajno	0.543	0.837	0.510
eventual	eventualno	0.633	0.459	0.413
eventuality	eventuality	0.469	0.627	0.527
evergreen	zimzeleno	0.729	0.471	0.546
everlasting	večno	0.740	0.413	0.809
evermore	evermore	0.677	0.450	0.403
everyday	svaki dan	0.740	0.392	0.472
everyman	everyman	0.522	0.333	0.535
evict	iseliti	0.042	0.632	0.377
eviction	iseljenje	0.185	0.731	0.455
evidence	dokaze	0.500	0.500	0.778
evident	očigledno	0.633	0.444	0.664
evidentiary	dokazni materijal	0.448	0.541	0.717
evil	zlo	0.040	0.827	0.545
evoke	evoke	0.438	0.341	0.500
evolution	evolucija	0.781	0.657	0.854
evolutionary	evolucijski	0.796	0.673	0.825
evolve	evoluirati	0.655	0.692	0.896
ewe	eve	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	pogoršati	0.323	0.776	0.580
exacerbation	pogoršanje	0.344	0.810	0.480
exact	tačno	0.719	0.354	0.685
exacting	zahtevan	0.448	0.673	0.767
exaggerate	preuveličavaju	0.193	0.760	0.529
exaggerated	preterana	0.224	0.885	0.732
exaggeration	preterivanje	0.312	0.775	0.582
exalt	exalt	0.656	0.750	0.745
exaltation	exaltacija	0.594	0.892	0.673
exalted	exalted	0.676	0.845	0.696
exam	ispit	0.479	0.663	0.577
examination	ispitivanje	0.378	0.657	0.679
examine	ispitati	0.615	0.623	0.786
examiner	ispitivač	0.406	0.575	0.812
example	primer	0.542	0.337	0.510
exasperated	besan	0.229	0.816	0.377
exasperation	exasperation	0.214	0.833	0.483
excavate	iskopati	0.583	0.613	0.635
excavation	iskopavanje	0.540	0.644	0.527
excavator	bager	0.427	0.673	0.649
exceed	Prekoračiti	0.500	0.827	0.586
exceeding	iznad	0.500	0.802	0.668
excel	excel	0.561	0.363	0.466
excellence	izvrsnost	0.958	0.620	0.907
excellent	odličan	0.970	0.587	0.870
excelsior	excelsior	0.700	0.625	0.611
excepting	osim	0.408	0.413	0.526
exception	izuzetak	0.469	0.600	0.544
exceptional	izuzetan	0.806	0.740	0.933
excerpt	izvod	0.437	0.367	0.543
excess	višak	0.385	0.889	0.712
excessive	preterano	0.417	0.731	0.601
excessively	preterano	0.449	0.882	0.716
exchange	razmjenu	0.740	0.569	0.491
excise	akciza	0.448	0.561	0.577
excision	ekscizija	0.260	0.480	0.519
excitability	ekscitabilnost	0.906	0.910	0.724
excitable	uzbudljivo	0.803	0.939	0.629
excitation	uzbuđenje	0.792	0.958	0.750
excite	uzbuđuje	0.823	0.950	0.668
excited	uzbuđeni	0.908	0.931	0.709
excitement	uzbuđenje	0.896	0.684	0.731
exciting	uzbudljivo	0.950	0.792	0.789
exclaim	izvinite	0.635	0.711	0.639
exclamation	uzvikivanje	0.612	0.745	0.598
exclude	isključi	0.292	0.500	0.530
excluded	isključeni	0.061	0.540	0.134
excluding	isključujući	0.271	0.550	0.324
exclusion	isključivanje	0.240	0.530	0.389
exclusive	ekskluzivno	0.792	0.630	0.653
excrement	izlučak	0.041	0.558	0.221
excretion	izlučivanje	0.285	0.650	0.457
excruciating	mukotrpno	0.083	0.837	0.345
excursion	izlet	0.625	0.714	0.627
excuse	izgovor	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	izvrši	0.327	0.708	0.769
execution	izvršenje	0.160	0.811	0.713
executioner	izvršilac	0.235	0.816	0.676
executive	izvršni	0.704	0.449	0.894
executor	izvršilac	0.365	0.755	0.759
exegesis	exegesis	0.458	0.472	0.491
exemplar	primer	0.844	0.537	0.625
exemplary	primjer	0.833	0.343	0.729
exemplify	exemplify	0.735	0.506	0.783
exempt	oslobođen	0.588	0.455	0.664
exemption	izuzeće	0.531	0.578	0.627
exercise	vežbanje	0.750	0.789	0.625
exert	vršiti	0.694	0.735	0.806
exertion	napor	0.663	0.755	0.717
exhale	exhale	0.542	0.490	0.411
exhaust	izduv	0.546	0.710	0.337
exhausted	iscrpljena	0.123	0.423	0.202
exhaustion	iscrpljenost	0.366	0.633	0.269
exhaustive	iscrpan	0.388	0.635	0.604
exhibit	dokazni predmet	0.688	0.633	0.708
exhibition	izložba	0.698	0.590	0.531
exhilarated	exhilarated	0.890	0.963	0.759
exhilarating	exhilarating	0.917	0.823	0.810
exhilaration	exhilaration	0.792	0.868	0.783
exhort	exhort	0.378	0.660	0.745
exhortation	exhortation	0.531	0.624	0.580
exhumation	ekshumacija	0.177	0.586	0.473
exhume	ekshumirati	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	proterivanje	0.184	0.630	0.483
exist	postoje	0.857	0.421	0.788
existence	postojanje	0.760	0.513	0.771
existent	postoji	0.635	0.490	0.635
existential	egzistencijalno	0.583	0.510	0.638
existing	postojeće	0.802	0.344	0.750
exit	Izlaz	0.370	0.353	0.399
exodus	egzodus	0.286	0.663	0.567
exonerate	oprostite	0.592	0.500	0.538
exorbitant	prekomjeran	0.398	0.865	0.825
exorcism	egzorcizam	0.163	0.980	0.557
exorcist	egzorcista	0.219	0.906	0.716
exotic	egzotično	0.840	0.711	0.727
expand	proširiti	0.792	0.559	0.686
expanded	proširen	0.760	0.406	0.689
expanse	prostranstvo	0.594	0.529	0.689
expansion	proširenje	0.776	0.618	0.787
expansive	ekspanzivan	0.708	0.650	0.778
expatriate	iseljenik	0.265	0.764	0.391
expect	ocekujem	0.469	0.327	0.377
expectance	očekivanje	0.552	0.724	0.660
expectancy	očekivanje	0.581	0.622	0.558
expectant	očekivano	0.708	0.650	0.474
expectation	očekivanje	0.771	0.690	0.707
expected	očekivano	0.729	0.412	0.545
expecting	očekujući	0.561	0.450	0.302
expediency	ekspeditivnost	0.604	0.443	0.703
expedient	pogodno	0.885	0.461	0.454
expedite	ubrzati	0.571	0.858	0.798
expedition	ekspedicija	0.735	0.802	0.620
expeditious	ekspeditivan	0.602	0.645	0.773
expel	expel	0.281	0.725	0.452
expendable	potrošni	0.479	0.490	0.423
expenditure	rashodi	0.250	0.608	0.603
expense	trošak	0.317	0.451	0.377
expenses	troškovi	0.240	0.633	0.396
expensive	skupo	0.323	0.540	0.530
experience	iskustvo	0.827	0.618	0.905
experienced	iskusan	0.771	0.613	0.914
experiences	iskustva	0.793	0.647	0.795
experiment	eksperiment	0.479	0.720	0.675
experimental	eksperimentalno	0.417	0.764	0.396
experimentation	eksperimentisanje	0.637	0.769	0.767
experimenter	eksperimentator	0.708	0.710	0.700
expert	stručnjak	0.776	0.646	0.911
expertise	stručnost	0.792	0.589	0.925
expiration	isteklo	0.265	0.539	0.463
expire	ističe	0.573	0.745	0.702
expired	istekao	0.198	0.394	0.200
expiry	isteklo	0.194	0.434	0.382
explain	objasni	0.719	0.517	0.736
explanation	objašnjenje	0.615	0.610	0.825
explanatory	obrazloženje	0.573	0.433	0.688
expletive	obavezno	0.357	0.567	0.536
explication	eksplikacija	0.510	0.445	0.602
explicit	eksplicitno	0.562	0.694	0.734
explode	eksplodira	0.277	0.885	0.773
exploit	iskoristiti	0.312	0.878	0.660
exploitation	eksploatacija	0.156	0.920	0.718
exploration	istraživanje	0.594	0.650	0.773
exploratory	istraživački	0.653	0.690	0.698
explore	istražiti	0.776	0.660	0.727
explorer	istraživač	0.729	0.663	0.714
explosion	eksplozija	0.167	0.960	0.767
explosions	eksplozije	0.123	0.860	0.594
explosive	eksplozivno	0.156	0.943	0.663
expo	expo	0.610	0.562	0.500
exponent	eksponent	0.529	0.510	0.845
exponential	eksponencijalni	0.704	0.588	0.763
export	izvoz	0.567	0.661	0.755
exportation	izvoz	0.760	0.633	0.673
expose	izložiti	0.344	0.643	0.537
exposed	izloženo	0.471	0.661	0.509
exposition	ekspozicija	0.521	0.627	0.655
expository	izlagač	0.706	0.653	0.636
exposure	izloženost	0.570	0.830	0.630
expound	izgovor	0.438	0.575	0.740
express	ekspres	0.760	0.623	0.691
expression	izraz	0.790	0.650	0.721
expressive	izrazit	0.755	0.724	0.685
expressway	autoput	0.633	0.635	0.587
expropriation	eksproprijacija	0.188	0.735	0.788
expulsion	protjerivanje	0.190	0.790	0.529
exquisite	izvrsna	0.892	0.644	0.604
exquisitely	izvrsno	0.849	0.728	0.723
extant	dosadašnji	0.646	0.390	0.523
extend	produžiti	0.646	0.570	0.689
extendable	produžljiv	0.660	0.592	0.722
extended	proširen	0.570	0.304	0.649
extension	produženje	0.490	0.510	0.529
extensive	obiman	0.635	0.520	0.760
extent	obim	0.646	0.451	0.602
exterior	eksterijer	0.542	0.400	0.627
exterminate	istrebiti	0.177	0.857	0.736
extermination	istrebljenje	0.190	0.860	0.616
exterminator	istrebitelj	0.344	0.804	0.887
external	eksterno	0.479	0.341	0.509
externally	spolja	0.643	0.521	0.568
extinct	izumrla	0.112	0.491	0.412
extinction	izumiranje	0.104	0.750	0.611
extinguish	ugasiti	0.240	0.576	0.482
extinguisher	aparat za gašenje	0.707	0.379	0.543
extol	extol	0.582	0.667	0.456
extort	iznuđivanje	0.052	0.827	0.570
extortion	iznuđivanje	0.112	0.868	0.630
extra	ekstra	0.656	0.551	0.745
extract	ekstrakt	0.565	0.402	0.519
extracting	ekstrakcija	0.521	0.709	0.689
extraction	ekstrakcija	0.418	0.740	0.526
extractor	ekstraktor	0.302	0.536	0.519
extracurricular	vannastavna	0.457	0.471	0.743
extradition	ekstradiciju	0.229	0.627	0.554
extrajudicial	vanparnično	0.365	0.686	0.667
extramural	vanredno	0.336	0.559	0.537
extraneous	vanzemaljski	0.276	0.625	0.478
extraordinaire	extraordinaire	0.847	0.864	0.898
extraordinary	izvanredan	0.969	0.728	0.860
extraterrestrial	vanzemaljac	0.510	0.833	0.792
extravagance	ekstravagancija	0.531	0.802	0.700
extravagant	ekstravagantno	0.720	0.763	0.812
extravaganza	ekstravaganca	0.646	0.786	0.906
extreme	ekstremno	0.318	0.800	0.721
extreme anticipation	ekstremno očekivanje	0.551	0.740	0.704
extreme disgust	ekstremno odugovlačenje	0.052	0.873	0.456
extreme surprise	ekstremno iznenađenje	0.833	0.935	0.676
extreme trust	ekstremno poverenje	0.826	0.713	0.922
extremely	ekstremno	0.635	0.827	0.886
extremely negative	izuzetno negativan	0.030	0.786	0.311
extremely positive	izuzetno pozitivno	0.993	0.730	0.839
extremity	ekstremitet	0.408	0.588	0.583
extricate	ekstrirani	0.542	0.510	0.543
extrinsic	ekstrinzična	0.510	0.479	0.636
extrusion	ekstruzija	0.229	0.660	0.545
exuberance	bujnost	0.698	0.816	0.787
exude	izlučite	0.375	0.519	0.411
eye	oko	0.531	0.265	0.425
eyeball	očnu boju	0.526	0.422	0.420
eyebrow	obrva	0.510	0.198	0.222
eyeful	eyeful	0.802	0.500	0.676
eyeglass	eyeglass	0.531	0.236	0.286
eyeglasses	naočare	0.561	0.269	0.306
eyelash	trepavica	0.480	0.250	0.278
eyelet	eyelet	0.632	0.298	0.346
eyeliner	eyeliner	0.688	0.349	0.347
eyepiece	okular	0.418	0.347	0.480
eyes	oči	0.760	0.279	0.432
eyesight	vid	0.750	0.226	0.343
eyewitness	očevidac	0.541	0.686	0.698
fab	fab	0.490	0.380	0.406
fable	bajka	0.663	0.387	0.389
fabled	fabled	0.625	0.538	0.545
fabric	tkanina	0.635	0.190	0.345
fabricate	fabricate	0.636	0.491	0.779
fabricated	fabrički	0.418	0.427	0.555
fabrication	izmišljotina	0.573	0.587	0.705
fabulous	fantastično	0.979	0.660	0.797
facade	fasada	0.520	0.333	0.518
face	lice	0.571	0.173	0.453
faceless	beskrajno	0.230	0.406	0.173
facet	facet	0.667	0.324	0.382
facial	lica	0.594	0.429	0.433
facile	NO TRANSLATION	0.740	0.264	0.307
facilitate	olakšati	0.812	0.333	0.509
facility	objekt	0.625	0.500	0.654
facing	suočiti	0.604	0.406	0.550
facsimile	faksimil	0.490	0.500	0.543
fact	činjenica	0.683	0.333	0.618
faction	frakcija	0.469	0.430	0.448
factor	faktor	0.635	0.365	0.678
factory	fabrika	0.500	0.500	0.683
facts	činjenice	0.688	0.471	0.693
factual	činjenično	0.656	0.440	0.545
faculties	fakulteti	0.643	0.431	0.760
faculty	fakultet	0.615	0.412	0.732
fad	fad	0.663	0.520	0.570
fade	bledi	0.354	0.333	0.245
faded	izbledelo	0.302	0.275	0.194
faeces	fekalije	0.184	0.476	0.175
fag	fag	0.122	0.653	0.331
faggot	peder	0.219	0.643	0.292
fail	neuspešno	0.177	0.578	0.154
failing	neuspjeh	0.125	0.490	0.268
failure	neuspeh	0.167	0.575	0.139
fain	NO TRANSLATION	0.479	0.417	0.426
faint	bledi	0.063	0.429	0.167
fainting	nesvestica	0.333	0.510	0.214
fair	fer	0.812	0.557	0.643
fairly	pošteno	0.790	0.406	0.750
fairness	pravednost	0.740	0.317	0.552
fairway	plovni put	0.541	0.510	0.500
fairy	vila	0.776	0.408	0.413
faith	vjera	0.833	0.220	0.763
faithful	verni	0.888	0.333	0.627
faithfulness	vernost	0.833	0.426	0.602
faithless	bezvredan	0.102	0.683	0.304
fake	lažni	0.073	0.554	0.268
faker	faker	0.245	0.630	0.480
falafel	falafel	0.560	0.402	0.351
falcon	sokol	0.557	0.580	0.678
fall	pada	0.177	0.657	0.221
fallacious	pogrešno	0.271	0.587	0.390
fallacy	propust	0.112	0.561	0.430
fallback	povući se	0.458	0.358	0.508
fallible	pogrešno	0.365	0.537	0.402
falling	pada	0.202	0.716	0.306
fallopian	japansko	0.297	0.390	0.464
fallout	Ispasti	0.428	0.356	0.373
fallow	padobran	0.375	0.368	0.464
false	FALSE	0.120	0.404	0.240
falsehood	laž	0.031	0.625	0.384
falsely	lažno	0.083	0.480	0.265
falsification	falsifikovanje	0.173	0.720	0.490
falsified	falsifikovan	0.042	0.630	0.306
falsify	falsify	0.115	0.657	0.409
falsity	falsity	0.120	0.689	0.186
falter	falter	0.421	0.650	0.346
fame	poznat	0.896	0.755	0.852
famed	famed	0.878	0.750	0.819
familiar	poznat	0.906	0.330	0.615
familiarity	familiarity	0.854	0.346	0.616
familiarize	upoznajte	0.760	0.365	0.654
family	porodica	0.968	0.383	0.643
familytime	porodično vrijeme	0.939	0.420	0.679
famine	glad	0.163	0.679	0.310
famished	gladan	0.177	0.654	0.282
famous	poznat	0.916	0.775	0.882
famously	famozno	0.856	0.765	0.787
fan	ventilator	0.781	0.429	0.357
fanatic	fanatik	0.573	0.780	0.629
fanatical	fanatičan	0.555	0.830	0.714
fanaticism	fanatizam	0.292	0.896	0.566
fanciful	izmišljotine	0.677	0.592	0.342
fancy	fancy	0.854	0.673	0.534
fandango	fandango	0.490	0.591	0.429
fanfare	fanfare	0.656	0.640	0.437
fang	NO TRANSLATION	0.175	0.491	0.455
fangs	fangs	0.286	0.598	0.434
fanning	fanning	0.615	0.330	0.236
fantasia	fantazija	0.898	0.694	0.436
fantasize	fantazirati	0.771	0.660	0.356
fantastic	fantastično	0.969	0.696	0.831
fantasy	fantazija	0.880	0.627	0.474
faraway	daleko	0.365	0.356	0.285
farce	farsa	0.265	0.667	0.246
farcical	farcical	0.406	0.481	0.259
fare	fare	0.490	0.425	0.645
farewell	oproštaj	0.130	0.500	0.591
farm	farma	0.781	0.327	0.297
farmer	farmer	0.677	0.432	0.464
farmhouse	farma	0.690	0.330	0.444
farming	poljoprivreda	0.580	0.414	0.568
farmland	poljoprivredno zemljište	0.729	0.363	0.509
faro	faro	0.544	0.349	0.357
fart	prd	0.194	0.439	0.264
farther	dalje	0.418	0.500	0.430
fascia	fascia	0.480	0.366	0.356
fascinate	fascinantno	0.854	0.683	0.802
fascinated	fasciniran	0.812	0.714	0.788
fascinating	fascinantno	0.979	0.817	0.784
fascination	fascinacija	0.885	0.773	0.835
fascism	fašizam	0.104	0.740	0.695
fascist	fašista	0.200	0.755	0.527
fashion	moda	0.827	0.616	0.589
fashionable	moderan	0.750	0.510	0.605
fastball	fastball	0.688	0.679	0.575
fasten	pričvrstiti	0.458	0.585	0.529
fastener	pričvršćivač	0.577	0.377	0.491
fastening	pričvršćivanje	0.594	0.473	0.554
fasting	post	0.388	0.370	0.394
fat	mast	0.198	0.353	0.237
fatal	fatalan	0.061	0.775	0.509
fatalism	fatalizam	0.208	0.694	0.631
fatality	smrtnost	0.062	0.798	0.595
fate	sudbina	0.571	0.479	0.712
fated	sudbina	0.582	0.472	0.692
fateful	sudbonosno	0.290	0.583	0.402
fathead	fathead	0.296	0.527	0.463
father	otac	0.812	0.333	0.824
fatherhood	otac	0.885	0.519	0.682
fatherland	otadžbina	0.729	0.469	0.778
fatherly	otac	0.865	0.363	0.712
fathom	fathom	0.520	0.410	0.523
fatigue	umor	0.173	0.378	0.265
fatigued	umorni	0.146	0.433	0.245
fatso	fatso	0.286	0.394	0.336
fatten	pitaj	0.375	0.549	0.363
fatty	masnoće	0.286	0.361	0.325
faucet	česma	0.427	0.278	0.356
fault	greška	0.188	0.558	0.184
faultless	bezgrešno	0.792	0.500	0.741
faulty	pogrešno	0.184	0.520	0.378
faun	faun	0.490	0.303	0.376
fauna	fauna	0.646	0.346	0.404
faux	faux	0.291	0.490	0.204
favor	favor	0.812	0.308	0.519
favorable	povoljan	0.952	0.380	0.788
favorite	omiljeni	0.885	0.590	0.691
favoriteholiday	NO TRANSLATION	0.867	0.618	0.582
favoritism	favoritizam	0.582	0.559	0.658
fawn	pijani	0.626	0.360	0.284
fax	fax	0.406	0.368	0.304
faze	NO TRANSLATION	0.417	0.515	0.382
fear	strah	0.073	0.840	0.293
feared	strah	0.240	0.733	0.509
fearful	uplašen	0.083	0.482	0.278
fearfully	uplašeno	0.112	0.567	0.271
fearing	strahujući	0.125	0.566	0.256
fearless	neustrašivi	0.810	0.806	0.760
fears	strahovi	0.061	0.821	0.306
fearsome	strahovito	0.115	0.900	0.586
feasibility	izvodljivost	0.653	0.490	0.741
feasible	izvodljivo	0.694	0.388	0.611
feast	gozba	0.979	0.724	0.680
feat	feat	0.750	0.706	0.849
feather	pero	0.677	0.208	0.144
feathered	pero	0.438	0.288	0.214
feature	funkcija	0.667	0.314	0.679
features	karakteristike	0.667	0.433	0.509
febrile	febrilna	0.429	0.578	0.414
fecal	fecal	0.255	0.528	0.213
feces	feces	0.240	0.407	0.307
fecundity	plodnost	0.688	0.591	0.683
fed	hranjeni	0.602	0.370	0.482
federal	federalna	0.530	0.459	0.859
federation	federacija	0.633	0.354	0.763
fedup	fedup	0.327	0.500	0.352
fee	naknada	0.354	0.386	0.556
feeble	slaba	0.157	0.280	0.109
feed	hrani	0.812	0.429	0.739
feedback	povratne informacije	0.622	0.557	0.645
feeder	feeder	0.604	0.452	0.713
feel	osjećati	0.802	0.602	0.596
feelgood	osjećati se dobro	0.990	0.441	0.621
feeling	osećanje	0.806	0.329	0.531
feelingdown	NO TRANSLATION	0.490	0.457	0.567
feelinggood	NO TRANSLATION	0.940	0.449	0.655
feet	stopala	0.510	0.240	0.292
feign	feign	0.340	0.394	0.356
feigned	feigned	0.173	0.602	0.333
feisty	feisty	0.592	0.853	0.789
felicity	felicity	0.913	0.704	0.793
feline	feline	0.615	0.745	0.509
fell	pao	0.255	0.462	0.250
feller	berač	0.406	0.622	0.617
fellow	momak	0.745	0.298	0.570
fellowship	stipendija	0.900	0.429	0.778
felon	felon	0.111	0.898	0.455
felony	krivično djelo	0.206	0.808	0.472
felt	osećao se	0.643	0.417	0.566
female	žensko	0.857	0.520	0.625
feminine	ženstveno	0.802	0.520	0.394
femininity	ženstvenost	0.750	0.479	0.451
feminism	feminizam	0.541	0.570	0.636
feminist	feministkinja	0.510	0.560	0.585
femme	NO TRANSLATION	0.551	0.529	0.398
femoral	femoralno	0.417	0.324	0.566
femur	femur	0.408	0.289	0.413
fen	NO TRANSLATION	0.490	0.276	0.379
fence	Ograda	0.500	0.198	0.398
fenced	ograđen	0.323	0.430	0.429
fencing	mačevanje	0.542	0.654	0.539
fend	fend	0.646	0.731	0.537
fender	blatobran	0.369	0.459	0.476
fennel	komarac	0.573	0.277	0.389
ferment	ferment	0.375	0.531	0.418
fermentation	fermentacija	0.420	0.567	0.473
fern	papar	0.602	0.240	0.290
ferocious	divljač	0.167	0.915	0.776
ferocity	ferocity	0.235	0.906	0.746
ferret	ferret	0.385	0.391	0.398
ferry	trajekt	0.604	0.509	0.389
ferryboat	NO TRANSLATION	0.594	0.452	0.553
fertile	plodno	0.888	0.408	0.704
fertility	plodnost	0.885	0.529	0.726
fertilize	đubrivo	0.708	0.443	0.542
fertilizer	đubrivo	0.438	0.463	0.565
fervent	fervent	0.646	0.632	0.773
fervor	žudnja	0.573	0.769	0.651
fess	fess	0.395	0.420	0.370
fest	fest	0.704	0.574	0.402
festival	festival	0.870	0.706	0.714
festive	svečano	0.854	0.740	0.764
fetal	fetalni	0.388	0.308	0.364
fetch	donesi	0.479	0.363	0.491
fete	NO TRANSLATION	0.580	0.551	0.465
fetish	fetiš	0.307	0.706	0.500
fetus	fetus	0.479	0.519	0.395
feud	feud	0.146	0.796	0.312
feudal	feudalno	0.367	0.370	0.610
feudalism	feudalizam	0.229	0.465	0.607
fever	groznica	0.194	0.674	0.364
feverish	groznica	0.385	0.696	0.436
fiancee	NO TRANSLATION	0.959	0.626	0.556
fiasco	fiasko	0.167	0.600	0.200
fiat	fiat	0.520	0.418	0.446
fib	fib	0.438	0.510	0.361
fiber	vlakna	0.719	0.284	0.390
fiberglass	fiberglass	0.451	0.451	0.443
fibrosis	fibroza	0.160	0.469	0.546
fibrous	vlaknast	0.480	0.441	0.464
fickle	nestabilan	0.406	0.481	0.346
fiction	fikcija	0.438	0.657	0.441
fictional	fikcionalno	0.430	0.490	0.340
fictitious	fiktivna	0.224	0.444	0.293
fiddle	guzica	0.571	0.449	0.391
fiddler	fiddler	0.615	0.580	0.500
fidelity	vernost	0.765	0.580	0.709
fidgety	fidgety	0.229	0.786	0.351
fiduciary	fiducijar	0.375	0.400	0.509
field	polje	0.640	0.380	0.336
field hockey	Hokej na travi	0.602	0.786	0.518
fielder	fielder	0.583	0.378	0.415
fiend	fiend	0.146	0.903	0.608
fiendish	fiendish	0.167	0.846	0.591
fierce	žestoko	0.281	0.877	0.759
fiery	vatreno	0.418	0.850	0.721
fiesta	fiesta	0.927	0.779	0.655
fiesty	NO TRANSLATION	0.571	0.663	0.472
fifteen	petnaest	0.490	0.290	0.443
fifty	pedeset	0.571	0.368	0.439
fig	fig	0.573	0.390	0.339
fight	borba	0.531	0.868	0.809
fighter	borac	0.637	0.760	0.898
fighting	borbe	0.292	0.885	0.783
fights	bori se	0.070	0.920	0.712
figment	figment	0.552	0.316	0.533
figurative	figurativni	0.479	0.450	0.634
figure	figura	0.688	0.328	0.509
figurine	figurica	0.760	0.283	0.258
filament	filament	0.510	0.452	0.377
filamentous	filamentous	0.531	0.480	0.516
file	fajl	0.480	0.316	0.463
filet	filet	0.615	0.392	0.291
filibuster	filibuster	0.271	0.714	0.508
filigree	filigranski	0.576	0.408	0.514
filing	podnošenje prijave	0.620	0.420	0.700
filings	podneske	0.323	0.412	0.340
fill	popunite	0.729	0.449	0.637
filler	punilo	0.531	0.347	0.529
fillet	filet	0.745	0.415	0.378
filling	punjenje	0.510	0.382	0.525
filly	Filly	0.479	0.564	0.519
film	film	0.823	0.491	0.566
filmmaker	filmski stvaralac	0.704	0.510	0.635
filmy	NO TRANSLATION	0.583	0.510	0.425
