Word	Javanese-jw	Valence	Arousal	Dominance
cereal	sereal	0.612	0.206	0.316
cereals	sereal	0.719	0.224	0.311
cerebral	cerebral	0.408	0.509	0.627
ceremonial	ceremonial	0.771	0.540	0.691
ceremony	upacara	0.760	0.559	0.761
certain	mesthi	0.760	0.358	0.673
certainty	kepenak	0.781	0.400	0.769
certifiable	certifiable	0.714	0.427	0.662
certificate	sertifikat	0.786	0.377	0.746
certified	certified	0.781	0.422	0.806
certify	nandhakake	0.866	0.400	0.746
cervical	cervical	0.375	0.413	0.445
cervix	cervix	0.429	0.360	0.340
cess	cess	0.427	0.375	0.406
cessation	cessation	0.414	0.385	0.358
cesspool	cesspool	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	chaff	0.333	0.327	0.188
chafing	chafing	0.430	0.415	0.368
chagrin	bingung	0.104	0.704	0.472
chagrined	chagrined	0.112	0.745	0.361
chai	chai	0.500	0.375	0.363
chain	chain	0.378	0.500	0.547
chainsaw	chainsaw	0.367	0.804	0.636
chair	dhingklik	0.562	0.082	0.276
chairman	ketua	0.656	0.567	0.933
chairperson	ketua	0.730	0.657	0.966
chairwoman	ketua	0.719	0.664	0.953
chaise	chaise	0.406	0.349	0.327
chalet	chalet	0.653	0.349	0.278
chalice	chalice	0.633	0.286	0.529
chalk	kapur	0.385	0.185	0.121
challenge	tantangan	0.469	0.922	0.713
challenger	Challenger	0.417	0.755	0.652
chamber	kamar	0.583	0.373	0.455
chambermaid	chambermaid	0.594	0.375	0.336
chambers	kamar	0.542	0.442	0.388
chameleon	bungah	0.490	0.580	0.345
champ	juara	0.854	0.754	0.896
champagne	sampanye	0.760	0.600	0.454
champion	juara	0.890	0.880	0.945
championship	juara	0.833	0.800	0.880
chance	kasempatan	0.833	0.551	0.525
chancellor	Kanselir	0.646	0.500	0.887
chandelier	lampu gantung	0.615	0.542	0.366
chandler	chandler	0.510	0.452	0.454
change	ganti	0.625	0.575	0.606
changeable	ngganti	0.490	0.480	0.528
changed	diganti	0.594	0.375	0.491
changer	Changer	0.583	0.519	0.567
changing	ganti	0.571	0.569	0.461
channel	saluran	0.490	0.287	0.405
chant	sambat	0.771	0.698	0.650
chaos	kekacauan	0.016	0.923	0.373
chaotic	kacau	0.115	0.847	0.442
chap	chap	0.550	0.410	0.345
chapel	kapel	0.573	0.240	0.440
chaperon	chaperon	0.500	0.520	0.404
chaplain	chaplain	0.582	0.370	0.577
chapman	chapman	0.562	0.529	0.465
chaps	chaps	0.350	0.462	0.350
chapter	bab	0.580	0.308	0.461
char	char	0.554	0.361	0.404
character	karakter	0.667	0.373	0.686
characteristic	karakteristik	0.583	0.328	0.538
characterize	menehi ciri	0.729	0.471	0.735
charade	nyuwun pangapunten	0.458	0.550	0.346
charcoal	areng	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	ngisi	0.510	0.633	0.785
chargeable	bisa diisi	0.551	0.550	0.453
charger	pangisi daya	0.531	0.418	0.545
chariot	kreta	0.684	0.550	0.491
charisma	karisma	0.938	0.591	0.759
charismatic	karismatik	0.938	0.684	0.849
charitable	amal	0.865	0.380	0.593
charity	amal	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	Pesona	0.833	0.363	0.649
charmed	nengsemake	0.938	0.570	0.769
charmer	charmer	0.882	0.683	0.782
charming	nengsemake	0.917	0.660	0.764
charred	charred	0.208	0.676	0.373
chart	grafik	0.469	0.317	0.330
charter	charter	0.677	0.382	0.518
chartered	chartered	0.569	0.460	0.490
chase	mburu	0.396	0.878	0.623
chased	diudani	0.188	0.830	0.287
chaser	chaser	0.375	0.830	0.645
chasm	jurang	0.265	0.579	0.500
chassis	sasis	0.406	0.342	0.444
chaste	suci	0.408	0.248	0.453
chastened	chastened	0.156	0.580	0.345
chastisement	chastisement	0.156	0.852	0.462
chastity	chastity	0.469	0.392	0.509
chat	ngobrol	0.729	0.400	0.346
chateau	chateau	0.615	0.464	0.702
chatter	ngobrol	0.560	0.450	0.347
chatterbox	chatterbox	0.459	0.548	0.482
chattering	ngobrol	0.460	0.663	0.304
chatty	chatty	0.594	0.548	0.345
chauffeur	sopir	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	mirah	0.612	0.471	0.272
cheapened	cheapened	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	ngapusi	0.125	0.776	0.400
cheater	ngapusi	0.104	0.920	0.333
check	mrikso	0.523	0.552	0.602
checkbook	cek buku	0.552	0.284	0.364
checker	checker	0.330	0.417	0.553
checkered	kothak	0.459	0.316	0.336
checkers	checkers	0.676	0.451	0.437
checklist	priksa	0.561	0.521	0.552
checkmate	nggoleki	0.667	0.708	0.750
checkout	deloken	0.597	0.510	0.670
checkpoint	checkpoint	0.571	0.323	0.812
checkup	mriksa	0.500	0.435	0.491
cheek	pipi	0.670	0.314	0.421
cheeks	pipi	0.708	0.324	0.282
cheeky	cheeky	0.434	0.679	0.410
cheep	cheep	0.367	0.380	0.373
cheer	seneng	0.938	0.784	0.845
cheered	cheered	0.875	0.648	0.790
cheerful	nyenengake	0.990	0.720	0.696
cheerfulness	nyenengake	0.969	0.802	0.675
cheering	nyenengake	0.815	0.824	0.642
cheerleader	tukang nyoraki	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	apik banget	0.204	0.373	0.167
cheers	seneng banget	0.948	0.770	0.702
cheery	nyenengake	0.949	0.657	0.486
cheese	keju	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	cheesy	0.470	0.471	0.179
cheetah	cheetah	0.469	0.770	0.667
chef	kok	0.854	0.411	0.570
chemical	Kimia	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	chemist	0.408	0.575	0.610
chemistry	kimia	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	kemoterapi	0.163	0.689	0.517
cheque	mrikso	0.698	0.529	0.660
cherish	ngurmati	0.896	0.491	0.652
cherishing	cherishing	0.836	0.380	0.625
cherry	Cherry	0.688	0.186	0.250
cherub	kerub	0.663	0.340	0.455
chess	catur	0.656	0.363	0.518
chest	dodo	0.520	0.429	0.481
chestnut	Chestnut	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	nyuwek	0.520	0.490	0.404
chewy	nyenengake	0.625	0.418	0.390
chic	paling apik	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	cah ayu	0.771	0.602	0.387
chicken	pitik	0.594	0.306	0.394
chicken pox	pitik pox	0.194	0.510	0.415
chickenpox	cacar banyu	0.173	0.562	0.357
chief	wong kang mimpin	0.520	0.544	0.869
chiefly	utamane	0.600	0.587	0.764
chieftain	pemimpin	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	bocah	0.912	0.460	0.413
childbirth	babaran	0.604	0.861	0.673
childhood	bocah cilik	0.865	0.413	0.307
childish	bocah	0.573	0.442	0.230
childless	ora duwe anak	0.310	0.400	0.396
childlike	kaya bocah	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	bocah	0.857	0.538	0.435
chili	chili	0.592	0.566	0.433
chill	hawa dingin	0.837	0.206	0.482
chilled	chilled	0.521	0.340	0.482
chilling	nyenengake	0.208	0.850	0.358
chilly	chilly	0.329	0.459	0.408
chime	nyenengake	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	chimes	0.625	0.490	0.402
chimney	cerobong asep	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	simpanse	0.500	0.633	0.387
chin	dagu	0.571	0.310	0.269
china	china	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	chip	0.479	0.382	0.452
chipmunk	tingkah	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	chipping	0.354	0.452	0.353
chiropractor	chiropractor	0.420	0.549	0.651
chirp	chirp	0.469	0.602	0.365
chirping	chirping	0.500	0.463	0.360
chisel	chisel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	nyuwun pangapunten	0.490	0.352	0.321
chitchat	omong omong	0.673	0.455	0.403
chivalry	chivalry	0.857	0.380	0.848
chloride	klorida	0.265	0.387	0.474
chlorine	klorin	0.306	0.327	0.332
chloroform	kloroform	0.281	0.370	0.393
chocolate	coklat	0.885	0.480	0.418
choice	pilihan	0.745	0.520	0.664
choir	koor	0.704	0.298	0.473
choke	keselak	0.167	0.788	0.676
cholera	cholera	0.020	0.867	0.507
cholesterol	kolesterol	0.198	0.583	0.398
choose	milih	0.615	0.542	0.648
choosing	milih	0.719	0.529	0.689
choosy	choosy	0.280	0.760	0.712
chop	chop	0.250	0.655	0.467
chopper	helikopter	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	cacah	0.560	0.625	0.362
chops	chops	0.612	0.420	0.269
choral	choral	0.852	0.290	0.421
chord	penghubung	0.729	0.394	0.539
chords	kord	0.639	0.406	0.388
chore	tugas	0.406	0.462	0.500
choreographer	koreografer	0.646	0.639	0.625
choreography	koreografi	0.812	0.750	0.547
chorus	paduan suara	0.620	0.417	0.500
chosen	milih	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	Kristus	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	baptis	0.725	0.382	0.650
christian	Kristen	0.760	0.241	0.591
christmas	natal	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	liyana	0.875	0.698	0.602
christmastime	christmastime	0.837	0.588	0.515
chromatic	kromatik	0.407	0.413	0.435
chromatography	kromatografi	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	krom	0.458	0.404	0.447
chromosome	kromosom	0.500	0.296	0.548
chronic	kronis	0.255	0.615	0.464
chronicle	babad	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	kronologis	0.594	0.445	0.600
chubby	lemu	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	chuckle	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	cedhak	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	gereja	0.708	0.198	0.610
churchyard	griya sakit	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	pelindhung	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	cerutu	0.306	0.463	0.346
cigarette	rokok	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	wayang	0.698	0.538	0.500
cinematic	cinematic	0.663	0.490	0.600
cinematographer	cinematographer	0.792	0.455	0.711
cinematography	sinematografi	0.781	0.571	0.625
cinnamon	kayu manis	0.600	0.250	0.292
cipher	cipher	0.490	0.414	0.500
circle	bunder	0.480	0.290	0.343
circling	circling	0.510	0.654	0.336
circuit	sirkuit	0.586	0.461	0.707
circuitry	sirkuit	0.596	0.615	0.536
circular	bunder	0.562	0.342	0.417
circulate	ngedol	0.612	0.388	0.320
circulation	sirkulasi	0.735	0.520	0.657
circulatory	sirkulasi	0.592	0.575	0.545
circumcision	sunat	0.327	0.657	0.528
circumference	circumference	0.458	0.255	0.488
circumferential	circumferential	0.551	0.422	0.509
circumscribed	cedhak	0.365	0.539	0.569
circumstance	kahanan	0.520	0.565	0.596
circumstances	kahanan	0.562	0.527	0.464
circumstantial	circumstantial	0.500	0.538	0.519
circumvent	nglindhungi	0.316	0.642	0.383
circumvention	pengirangan	0.531	0.571	0.473
circus	sirkus	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	Cirrhosis	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	cistern	0.541	0.413	0.432
citadel	citadel	0.585	0.464	0.602
citation	Kutipan	0.570	0.549	0.508
cite	cite	0.625	0.454	0.532
citizen	warga	0.631	0.250	0.586
citizenship	kewarganegaraan	0.786	0.404	0.723
citrine	Citrine	0.375	0.400	0.420
citrus	sitrus	0.469	0.368	0.375
city	kutha	0.847	0.531	0.508
citywide	ing kutha	0.592	0.509	0.707
civic	civic	0.653	0.240	0.573
civics	sipil	0.700	0.279	0.720
civil	sipil	0.521	0.281	0.517
civilian	sipil	0.700	0.229	0.598
civilians	sipil	0.490	0.448	0.525
civility	civility	0.760	0.306	0.679
civilization	peradaban	0.823	0.452	0.839
civilized	civilized	0.792	0.231	0.796
clad	klambi	0.583	0.373	0.481
claim	pratelan	0.255	0.760	0.473
claimant	ngakoni	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	clamor	0.438	0.643	0.360
clamp	clamp	0.541	0.388	0.454
clan	klan	0.562	0.491	0.686
clandestine	clandestine	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	clap	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	clapping	0.823	0.894	0.686
clarification	klarifikasi	0.802	0.461	0.613
clarify	njlentrehake	0.652	0.535	0.625
clarinet	klarinet	0.592	0.453	0.411
clarion	clarion	0.500	0.443	0.422
clarity	kajelasan	0.796	0.310	0.631
clash	gelut	0.293	0.918	0.453
clashing	clashing	0.177	0.764	0.575
clasp	clasp	0.448	0.375	0.241
class	kelas	0.656	0.314	0.522
classic	klasik	0.690	0.260	0.611
classic rock	klasik rock	0.729	0.571	0.588
classical	klasik	0.643	0.198	0.536
classics	klasik	0.750	0.333	0.510
classification	klasifikasi	0.583	0.423	0.613
classified	diklasifikasikaké	0.571	0.460	0.663
classify	ngelas	0.646	0.411	0.720
classmate	classmate	0.781	0.400	0.593
classroom	kelas	0.539	0.292	0.363
classy	gaya	0.917	0.410	0.649
clatter	clatter	0.418	0.820	0.387
clause	klausa	0.480	0.409	0.528
clauses	klausa	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
claustrophobic	claustrophobic	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	cakar	0.260	0.600	0.598
claws	claws	0.281	0.698	0.562
clay	lempung	0.542	0.250	0.267
clean	resik	0.827	0.170	0.500
cleaner	resik	0.604	0.556	0.375
cleaning	cleaning	0.595	0.396	0.427
cleanliness	kebersihan	0.816	0.363	0.609
cleanly	cleanly	0.823	0.352	0.583
cleanse	gawe resik	0.625	0.310	0.660
cleanser	cleanser	0.604	0.353	0.433
cleansing	reresik	0.729	0.298	0.472
cleanup	ngresiki	0.729	0.314	0.451
clear	jelas	0.857	0.327	0.573
clearance	reresik	0.542	0.459	0.473
clearing	ngresiki	0.680	0.333	0.509
clearness	cetha	0.875	0.316	0.689
cleat	cleat	0.486	0.260	0.361
cleavage	pamindhahan	0.542	0.602	0.454
cleave	ngalahake	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	clef	0.615	0.360	0.595
cleft	cleft	0.306	0.442	0.360
clemency	clemency	0.594	0.417	0.397
clench	clench	0.438	0.618	0.580
clergy	pendhita	0.531	0.312	0.575
clergyman	clergyman	0.594	0.330	0.556
cleric	cleric	0.521	0.324	0.589
clerical	clerical	0.520	0.396	0.491
clerk	clerk	0.500	0.579	0.509
clerkship	clerkship	0.582	0.380	0.596
clever	pinter	0.896	0.353	0.729
cleverness	pinter	0.878	0.509	0.921
click	klik	0.536	0.365	0.268
clicker	klik	0.418	0.490	0.463
client	klien	0.583	0.450	0.618
clientele	langganan	0.625	0.577	0.508
cliff	jurang	0.361	0.620	0.509
climate	iklim	0.635	0.240	0.483
climatology	klimatologi	0.531	0.367	0.541
climax	climax	0.735	0.853	0.667
climb	climb	0.615	0.660	0.604
climber	climber	0.573	0.716	0.735
clinch	clinch	0.469	0.538	0.430
cling	cling	0.417	0.620	0.588
clingy	clingy	0.224	0.460	0.370
clinic	klinik	0.469	0.439	0.600
clinical	klinik	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	klip	0.438	0.310	0.381
clipboard	clipboard	0.594	0.255	0.423
clipper	clipper	0.293	0.422	0.383
clipping	clipping	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	jubah	0.469	0.188	0.333
cloaking	cloaking	0.521	0.595	0.389
cloakroom	cloakroom	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	jam	0.677	0.173	0.407
clockwork	jam	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	clog	0.104	0.618	0.454
cloister	cloister	0.438	0.413	0.475
clone	Klone	0.406	0.471	0.524
cloning	kloning	0.216	0.696	0.679
close	cedhak	0.292	0.260	0.263
closed	ditutup	0.240	0.164	0.318
closeness	closeness	0.796	0.237	0.450
closet	lemari	0.531	0.204	0.330
closure	penutupan	0.229	0.220	0.412
clot	clot	0.150	0.558	0.275
cloth	kain	0.510	0.190	0.287
clothe	sandhangan	0.797	0.330	0.481
clothes	klambi	0.833	0.270	0.414
clothesline	clothesline	0.582	0.324	0.366
clothing	sandhangan	0.750	0.343	0.407
cloud	maya	0.740	0.133	0.342
clouded	mendhung	0.240	0.213	0.302
cloudiness	awan	0.469	0.250	0.343
clouds	awan	0.735	0.195	0.324
cloudy	Mendung	0.281	0.280	0.202
clout	clout	0.584	0.636	0.704
clove	cengkeh	0.439	0.296	0.315
clover	semanggi	0.605	0.340	0.364
cloves	cengkeh	0.427	0.218	0.396
clown	badut	0.650	0.598	0.300
clowns	clowns	0.600	0.673	0.391
club	klub	0.646	0.618	0.393
clubhouse	kluwarga	0.694	0.571	0.493
clubs	klub	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	pitakon	0.653	0.380	0.412
clueless	clueless	0.350	0.333	0.161
clump	clump	0.551	0.480	0.582
clumsy	clumsy	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	cluster	0.490	0.458	0.446
clutch	clutch	0.383	0.500	0.491
clutches	clutches	0.542	0.373	0.528
clutter	keruwetan	0.135	0.598	0.400
coach	pelatih	0.633	0.823	0.735
coachman	pelatih	0.479	0.394	0.509
coagulation	koagulasi	0.381	0.558	0.436
coal	batu bara	0.360	0.241	0.340
coalesce	coalesce	0.479	0.434	0.529
coalition	koalisi	0.490	0.730	0.673
coarse	coarse	0.333	0.481	0.481
coast	pantai	0.719	0.396	0.458
coastal	pesisir	0.604	0.370	0.510
coaster	coaster	0.612	0.788	0.627
coastline	pantai	0.745	0.282	0.441
coat	jas	0.677	0.256	0.464
coating	lapisan	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	kobalt	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	cobbler	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	kokain	0.156	0.840	0.373
cock	pitik jago	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	kokpit	0.520	0.424	0.343
cockroach	kecoa	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	koktail	0.740	0.480	0.381
cocky	cocky	0.260	0.784	0.519
cocoa	coklat	0.776	0.255	0.322
coconut	klapa	0.622	0.265	0.227
cocoon	kepompong	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	kode	0.583	0.308	0.491
codeine	kodeine	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	codification	0.448	0.400	0.698
codify	codify	0.448	0.410	0.679
coding	coding	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	koefisien	0.677	0.415	0.702
coerce	maksa	0.260	0.741	0.517
coercion	kepeksa	0.330	0.708	0.577
coercive	coercive	0.479	0.670	0.506
coexist	coexist	0.708	0.460	0.536
coexistence	urip bebarengan	0.588	0.472	0.638
coexisting	coexisting	0.551	0.349	0.648
coffee	warung	0.823	0.418	0.309
coffee table	meja kopi	0.720	0.339	0.295
coffeehouse	coffeehouse	0.694	0.357	0.307
coffeepot	coffeepot	0.760	0.333	0.312
coffin	peti mati	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	cogent	0.765	0.479	0.836
cognac	cognac	0.615	0.510	0.430
cognate	cognate	0.615	0.350	0.398
cognition	kognisi	0.635	0.344	0.706
cognitive	kognitif	0.513	0.401	0.634
cohabitation	cohabitation	0.646	0.526	0.598
coherence	koheren	0.720	0.406	0.788
coherent	koheren	0.698	0.281	0.500
cohesion	kohesi	0.604	0.536	0.555
cohesive	cohesive	0.531	0.470	0.603
cohort	kelompok	0.459	0.551	0.566
coil	koil	0.448	0.343	0.298
coiled	nyawiji	0.378	0.518	0.389
coin	koin	0.677	0.574	0.445
coinage	koin	0.500	0.400	0.545
coincide	ketepakan	0.635	0.490	0.593
coincidence	kebetulan	0.612	0.450	0.518
coincident	coincident	0.562	0.385	0.602
coincidental	coincidental	0.646	0.481	0.337
coinciding	coinciding	0.673	0.373	0.623
coke	coke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	kadhemen	0.398	0.538	0.348
coldly	kadhemen	0.365	0.358	0.407
coldness	coldness	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	coliseum	0.612	0.663	0.704
collaborate	kolaborasi	0.816	0.449	0.559
collaboration	kolaborasi	0.885	0.628	0.741
collaborator	kolaborator	0.729	0.320	0.769
collage	kolase	0.680	0.321	0.375
collagen	kolagen	0.541	0.245	0.450
collapse	ambruk	0.208	0.689	0.342
collar	kerah	0.656	0.442	0.446
collarbone	kranjang	0.420	0.427	0.306
collate	kolase	0.438	0.448	0.580
collateral	jaminan	0.531	0.422	0.717
collation	collation	0.520	0.333	0.508
colleague	colleague	0.740	0.413	0.600
collect	ngumpulake	0.635	0.481	0.491
collected	diklumpukake	0.570	0.402	0.588
collection	koleksi	0.725	0.311	0.588
collective	bebarengan	0.583	0.458	0.698
collectively	bebarengan	0.817	0.573	0.533
collector	kolektor	0.552	0.481	0.648
college	College	0.700	0.467	0.746
collegiate	collegiate	0.592	0.461	0.678
collide	tabrakan	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	tabrakan	0.245	0.848	0.585
collocation	collocation	0.637	0.360	0.594
colloquial	coro	0.604	0.363	0.368
collusion	kolusi	0.365	0.510	0.400
cologne	cologne	0.677	0.413	0.552
colon	titik	0.449	0.394	0.384
colonel	Kolonel	0.459	0.592	0.890
colonial	kolonial	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	kolonoskopi	0.208	0.524	0.466
colony	koloni	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	werna	0.786	0.280	0.402
coloration	warna	0.541	0.520	0.443
colored	colored	0.806	0.317	0.275
colorful	warni	0.850	0.520	0.519
coloring	mewarna	0.781	0.469	0.353
colorless	ora ana werna	0.354	0.340	0.250
colors	werna	0.875	0.349	0.340
colossal	colossal	0.698	0.692	0.900
colt	colt	0.561	0.587	0.543
columbine	columbine	0.520	0.521	0.407
column	kolom	0.480	0.250	0.670
columnar	columnar	0.448	0.340	0.491
columnist	pawarta	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	koma	0.219	0.255	0.302
comatose	komatose	0.143	0.438	0.433
comb	sisir	0.490	0.123	0.268
combat	pertempuran	0.302	0.846	0.833
combatant	pejuang	0.531	0.853	0.780
combative	combative	0.381	0.690	0.816
combination	kombinasi	0.708	0.480	0.726
combinatorial	kombinatorial	0.561	0.436	0.428
combine	gabungke	0.663	0.442	0.533
combined	digabungake	0.622	0.370	0.500
combo	kumpulan	0.698	0.439	0.453
combustible	gampang diobong	0.386	0.650	0.750
combustion	pembakaran	0.457	0.807	0.591
come	teka	0.529	0.269	0.558
comeback	mbaleni	0.580	0.409	0.555
comedian	pelawak	0.812	0.735	0.598
comedy	komedi	0.918	0.555	0.490
comet	komet	0.704	0.679	0.471
comfort	comfort	0.863	0.231	0.670
comfortable	nyaman	0.927	0.163	0.473
comforter	penghibur	0.618	0.275	0.302
comforting	nyenengake	0.906	0.337	0.620
comfy	nyenengake	0.930	0.241	0.625
comic	komik	0.917	0.459	0.387
comical	lucu	0.844	0.737	0.327
comics	komik	0.690	0.556	0.384
coming	teka	0.653	0.417	0.500
comma	koma	0.344	0.269	0.242
command	dhawuhe	0.427	0.790	0.849
commandant	komandhan	0.622	0.700	0.943
commandeer	commandeer	0.552	0.639	0.931
commander	Panglima	0.531	0.615	0.906
commanding	pangandikane	0.562	0.664	0.925
commandment	angger-angger	0.656	0.490	0.876
commando	commando	0.323	0.710	0.817
commemorate	mengeti	0.812	0.602	0.636
commemoration	pengetan	0.719	0.615	0.754
commemorative	peringatan	0.750	0.438	0.754
commence	miwiti	0.760	0.585	0.741
commend	muji	0.906	0.694	0.711
commendable	pinujia	0.786	0.570	0.555
commendation	pamuji	0.911	0.500	0.639
commensurate	cocok	0.610	0.304	0.550
comment	Komentar	0.667	0.417	0.379
commentary	katrangan	0.602	0.402	0.446
commentator	pengarang	0.492	0.510	0.607
commerce	commerce	0.646	0.500	0.788
commercial	komersial	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	komisaris	0.385	0.500	0.788
commission	Komisi	0.677	0.480	0.571
commissioner	Komisioner	0.602	0.449	0.949
commit	tumindak	0.365	0.529	0.491
commitment	prasetya	0.714	0.710	0.843
committal	committal	0.472	0.519	0.582
committed	tumindak	0.710	0.542	0.712
committee	panitia	0.592	0.392	0.721
commodity	komoditas	0.615	0.394	0.537
commodore	komodore	0.427	0.530	0.636
common	umum	0.600	0.127	0.318
commoner	commoner	0.448	0.365	0.327
commonly	umum	0.604	0.170	0.574
commonplace	biasa wae	0.520	0.337	0.442
commons	commons	0.633	0.396	0.623
commonwealth	persemakmuran	0.630	0.406	0.702
commotion	geger	0.490	0.700	0.646
communal	komunal	0.592	0.321	0.556
commune	komune	0.500	0.488	0.655
communicable	communicable	0.796	0.491	0.623
communicate	komunikasi	0.823	0.410	0.696
communication	komunikasi	0.837	0.400	0.649
communicative	komunikasi	0.847	0.560	0.637
communicator	communicator	0.573	0.509	0.796
communion	komuni	0.765	0.357	0.607
communism	komunisme	0.264	0.570	0.623
communist	komunis	0.265	0.702	0.632
community	masyarakat	0.750	0.350	0.659
commutation	commutation	0.469	0.431	0.652
commutative	komutatif	0.667	0.442	0.569
commute	ngalih	0.622	0.582	0.565
commuter	komuter	0.646	0.520	0.512
comp	komp	0.573	0.450	0.371
compact	kompak	0.458	0.417	0.673
compaction	kompak	0.531	0.471	0.582
compactness	kompak	0.582	0.352	0.454
companion	kanca	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	companionship	0.833	0.438	0.792
company	perusahaan	0.906	0.425	0.798
comparable	sing bisa ditrapake	0.562	0.443	0.458
comparative	komparatif	0.470	0.273	0.562
comparatively	kanthi rélatif	0.604	0.391	0.538
compare	mbandhingaké	0.552	0.408	0.524
