Word	Estonian-et	Valence	Arousal	Dominance
bountiful	rikkalik	0.854	0.596	0.759
bounty	halastus	0.760	0.755	0.833
bouquet	kimp	0.724	0.352	0.306
bourbon	bourbon	0.602	0.490	0.517
bourgeois	kodanlik	0.439	0.593	0.682
bourgeoisie	kodanlus	0.357	0.417	0.767
bourse	börs	0.530	0.230	0.336
bout	viga	0.208	0.808	0.679
boutique	boutique	0.745	0.490	0.441
bouttime	bouttime	0.588	0.373	0.410
bovine	veis	0.449	0.255	0.353
bow	vibu	0.530	0.306	0.408
bowed	kummardunud	0.410	0.418	0.368
bowel	soole	0.306	0.417	0.391
bowels	süda	0.194	0.448	0.362
bowl	kaussi	0.625	0.377	0.358
bowler	pallur	0.552	0.633	0.481
bowling	bowling	0.656	0.431	0.309
bowls	potid	0.551	0.280	0.277
box	kasti	0.500	0.179	0.312
boxcar	karkass	0.420	0.469	0.421
boxer	poksija	0.490	0.810	0.802
boxers	poksijad	0.375	0.880	0.654
boxing	poks	0.427	0.854	0.645
boy	poiss	0.646	0.392	0.445
boycott	boikoteerima	0.112	0.690	0.505
boyfriend	poiss-sõber	0.781	0.604	0.547
boyhood	poissia	0.729	0.745	0.500
boyish	poisteline	0.698	0.562	0.462
boysenberry	boysenberry	0.646	0.409	0.475
bozo	bozo	0.388	0.364	0.298
bra	rinnahoidja	0.672	0.529	0.509
brace	traksidega	0.610	0.385	0.364
bracelet	käevõru	0.776	0.340	0.322
braces	traksid	0.500	0.337	0.568
brachial	Brachial	0.388	0.363	0.464
bracket	sulg	0.490	0.350	0.682
brackets	sulgudes	0.573	0.281	0.435
brackish	riimikas	0.469	0.368	0.421
brad	brad	0.490	0.385	0.402
brag	hiilgama	0.347	0.545	0.578
braid	punutud	0.427	0.222	0.216
brain	aju	0.667	0.441	0.823
brainless	ajukahjulik	0.138	0.310	0.224
brains	ajud	0.663	0.557	0.722
brainstorm	ajurünnak	0.794	0.784	0.636
brainwash	ajupesu	0.198	0.647	0.481
brainy	vaimne	0.708	0.520	0.648
brake	pidurdama	0.312	0.481	0.310
bran	kliid	0.688	0.433	0.483
branch	filiaal	0.538	0.206	0.250
branching	hargnev	0.520	0.422	0.472
brand	bränd	0.562	0.284	0.547
brandy	brändi	0.600	0.590	0.487
brash	tormakas	0.360	0.814	0.552
brass	messing	0.500	0.320	0.490
brass knuckle	messingipähkel	0.406	0.449	0.518
brassiere	rinnahoidja	0.510	0.469	0.336
brat	jõmpsikas	0.312	0.440	0.231
bratwurst	bratwurst	0.510	0.490	0.464
bravado	bravado	0.479	0.510	0.527
brave	vapper	0.837	0.750	0.917
bravery	vaprus	0.898	0.745	0.868
brawl	lööma	0.104	0.938	0.603
brawn	sügelemine	0.438	0.402	0.544
brazen	brazen	0.292	0.640	0.518
breach	rikkumine	0.177	0.745	0.423
bread	leib	0.660	0.314	0.342
breadth	laius	0.667	0.490	0.644
break	murda	0.610	0.265	0.370
breakable	lagunev	0.194	0.667	0.408
breakaway	lahku	0.479	0.802	0.519
breakdown	lagunema	0.365	0.423	0.361
breaker	kaitselüliti	0.323	0.527	0.520
breakers	kaitselülitid	0.469	0.588	0.439
breakfast	hommikusöök	0.885	0.330	0.429
breaking and entering	sissemurdmine	0.418	0.729	0.500
breakingnews	erakorralised uudised	0.500	0.552	0.607
breakneck	lööklaine	0.254	0.833	0.604
breakthrough	läbimurre	0.680	0.525	0.718
breakup	lahku minema	0.250	0.720	0.357
breast	rinnaga	0.753	0.429	0.500
breath	hingetõmme	0.684	0.392	0.451
breathe	hingake	0.833	0.373	0.518
breather	hingetõmme	0.624	0.471	0.388
breathless	hingeldav	0.323	0.490	0.222
breathtaking	hingemattev	0.936	0.792	0.921
breech	karvane	0.500	0.637	0.422
breeches	põlvpüksid	0.365	0.457	0.333
breed	tõug	0.490	0.441	0.578
breeder	kasvataja	0.645	0.481	0.605
breeding	aretamine	0.667	0.481	0.610
breeze	tuli	0.837	0.284	0.370
breezy	vilets	0.531	0.472	0.482
brethren	vennad	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	lühidust	0.459	0.434	0.375
brew	pruulima	0.740	0.538	0.758
brewery	õlletehas	0.710	0.622	0.510
brewing	pruulimine	0.740	0.593	0.609
briar	briar	0.493	0.375	0.407
bribe	altkäemaksu andmine	0.112	0.690	0.472
bribery	altkäemaks	0.135	0.775	0.585
brick	tellis	0.217	0.418	0.368
bridal	pruudi	0.823	0.655	0.596
bride	pruut	0.840	0.708	0.579
bridegroom	peigmees	0.809	0.736	0.527
bridesmaid	pruutneitsi	0.748	0.519	0.618
bridge	sild	0.625	0.324	0.519
bridle	vorster	0.427	0.367	0.386
brief	lühike	0.469	0.300	0.279
briefcase	kohver	0.542	0.206	0.442
briefing	infotund	0.612	0.333	0.702
briefly	lühidalt	0.686	0.314	0.330
brig	brig	0.573	0.539	0.500
brigade	brigaad	0.604	0.710	0.828
bright	särav	0.890	0.527	0.812
brighten	heledamaks	0.760	0.547	0.649
brightens	brillges	0.771	0.611	0.613
brighter	heledam	0.918	0.698	0.833
brightness	heledus	0.938	0.623	0.660
brilliance	sära	0.990	0.673	0.830
brilliant	suurepärane	0.939	0.575	0.923
brim	äär	0.469	0.333	0.330
brimming	viimistlemine	0.656	0.690	0.758
brimstone	vääni	0.357	0.520	0.440
brine	soolvees	0.333	0.481	0.361
bring	tuua	0.635	0.460	0.462
brink	äärele	0.375	0.413	0.356
brisk	kiire	0.719	0.745	0.742
brisket	rinnatükk	0.552	0.378	0.222
bristle	harjased	0.375	0.375	0.326
brittle	rabe	0.276	0.490	0.272
bro	bro	0.794	0.349	0.684
broach	tõmmata	0.438	0.439	0.675
broad	lai	0.762	0.365	0.637
broadcast	ringhääling	0.615	0.587	0.355
broadcasting	ringhääling	0.542	0.700	0.706
broaden	laiendama	0.678	0.602	0.610
broadside	laia taha	0.459	0.316	0.462
broadsword	sõnastik	0.469	0.573	0.615
brocade	brokaat	0.500	0.327	0.464
broccoli	brokkoli	0.469	0.200	0.283
brochure	brošüür	0.552	0.226	0.391
broil	praetud	0.510	0.404	0.330
broke	murdis	0.245	0.590	0.370
broken	katki	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	murtud südamega	0.130	0.598	0.227
broker	vahendaja	0.582	0.462	0.600
brokerage	maaklerlus	0.479	0.500	0.500
bromide	bromiid	0.347	0.425	0.411
bronco	bronco	0.500	0.510	0.473
bronze	pronks	0.622	0.333	0.526
brooch	pross	0.531	0.260	0.380
brood	poeginud	0.633	0.519	0.434
brooding	poegimine	0.327	0.367	0.333
brook	jõgi	0.594	0.347	0.412
broom	luud	0.385	0.154	0.302
broomstick	hambakivi	0.410	0.265	0.227
broth	puljong	0.500	0.245	0.168
brothel	bordell	0.255	0.886	0.418
brother	vend	0.823	0.361	0.546
brotherhood	vennaskond	0.990	0.471	0.760
brotherly	vendlikult	0.865	0.306	0.596
brow	noh	0.562	0.311	0.481
brown	pruun	0.396	0.202	0.293
brownstone	pruunikasvatus	0.559	0.423	0.439
browse	sirvige	0.635	0.750	0.592
brrr	brrr	0.373	0.540	0.282
bruise	verevalumid	0.133	0.640	0.474
bruising	verevalumid	0.084	0.520	0.422
brunch	Brunch	0.406	0.363	0.343
brunette	brünett	0.802	0.528	0.529
brunt	koormus	0.204	0.750	0.349
brush	harja	0.490	0.265	0.186
brutal	jõhker	0.122	0.882	0.643
brutality	jõhkrus	0.122	0.832	0.571
brute	jõhker	0.115	0.547	0.379
brutish	jõuline	0.270	0.837	0.588
bubble	mull	0.774	0.213	0.364
bubbling	mullitamine	0.500	0.438	0.384
bubbly	kihisev	0.698	0.608	0.462
bubonic	bubooniline	0.280	0.530	0.394
buck	buck	0.677	0.577	0.720
buckaroo	buckaroo	0.448	0.469	0.479
bucket	kopp	0.408	0.167	0.336
buckle	lukk	0.416	0.373	0.361
buckled	pandud	0.427	0.358	0.439
bucko	bucko	0.439	0.455	0.465
buckshot	tramp	0.255	0.740	0.322
buckwheat	tatar	0.490	0.471	0.434
bud	bud	0.460	0.402	0.333
buddha	buda	0.690	0.198	0.604
buddhism	budism	0.510	0.115	0.673
buddhist	budistlik	0.570	0.182	0.481
budding	järkjärguline	0.490	0.500	0.355
buddy	sõber	0.884	0.585	0.655
budge	liikuma	0.719	0.755	0.543
budget	eelarve	0.643	0.396	0.731
buff	puhver	0.561	0.425	0.361
buffalo	pühvlid	0.469	0.528	0.527
buffer	puhver	0.520	0.474	0.350
buffering	puhverdamine	0.479	0.468	0.381
buffet	buffet	0.656	0.546	0.519
buffoon	buffoon	0.344	0.651	0.290
bug	viga	0.286	0.500	0.246
bugaboo	bugaboo	0.439	0.491	0.441
bugged	bugged	0.561	0.439	0.500
bugger	kutt	0.312	0.627	0.474
buggy	lollakas	0.500	0.509	0.327
bugle	lööma	0.479	0.588	0.391
bugler	bugler	0.542	0.540	0.393
build	ehitama	0.771	0.546	0.806
builder	ehitaja	0.660	0.642	0.701
building	hoone	0.705	0.288	0.673
buildings	ehitised	0.582	0.380	0.552
buildup	üles ehitama	0.490	0.509	0.623
bulb	pirn	0.562	0.208	0.300
bulbous	sibulakujuline	0.390	0.442	0.430
bulge	pahkluu	0.260	0.487	0.400
bulimic	bulimic	0.092	0.570	0.373
bulk	lahtiselt	0.469	0.413	0.509
bulkhead	vahesein	0.312	0.425	0.402
bulky	kogukas	0.427	0.591	0.750
bull	pull	0.521	0.640	0.644
bulldog	buldog	0.494	0.650	0.530
bulldozer	buldooser	0.459	0.549	0.643
bullet	bullet	0.408	0.794	0.634
bulletin	bülletään	0.573	0.294	0.361
bulletproof	kuulikindel	0.750	0.721	0.779
bullfighter	härjaväeja	0.448	0.794	0.664
bullfrog	kuldkull	0.344	0.481	0.422
bullheaded	tibukesed	0.229	0.740	0.516
bullhorn	härjavärv	0.510	0.653	0.736
bullion	väärismetallikangid	0.693	0.558	0.729
bullock	härjavärv	0.281	0.402	0.375
bullpen	jõulupüstol	0.480	0.549	0.500
bullshit	jama	0.042	0.676	0.183
bully	kiusaja	0.257	0.755	0.564
bulwark	kaitsetõkk	0.551	0.552	0.675
bum	kallis	0.281	0.451	0.155
bumblebee	kimalaste	0.469	0.493	0.321
bummed	kukkunud	0.296	0.430	0.227
bummer	purjeja	0.163	0.500	0.267
bump	lööma	0.286	0.458	0.368
bumper	kaitseraud	0.385	0.573	0.518
bumpy	kallis	0.306	0.683	0.419
bun	NO TRANSLATION	0.424	0.306	0.268
bunch	kamp	0.552	0.358	0.473
bundle	kimp	0.510	0.343	0.434
bungalow	bungalo	0.562	0.352	0.406
bungee	benji	0.637	0.545	0.327
bunghole	bunghole	0.286	0.426	0.396
bunion	bunion	0.276	0.340	0.290
bunk	rumalus	0.438	0.332	0.339
bunker	punker	0.375	0.673	0.773
bunkhouse	bunkhouse	0.470	0.414	0.407
bunny	jänku	0.740	0.325	0.194
bunt	bunt	0.417	0.422	0.349
buoy	poi	0.562	0.280	0.284
buoyancy	ujuvus	0.625	0.373	0.538
buoyant	ujuv	0.625	0.441	0.497
bur	bur	0.385	0.353	0.314
burden	koorem	0.367	0.583	0.697
burdened	koormatud	0.429	0.519	0.565
burdensome	koormav	0.229	0.696	0.419
bureau	büroo	0.562	0.373	0.618
bureaucracy	bürokraatia	0.380	0.578	0.740
bureaucrat	bürokraat	0.208	0.519	0.598
bureaucratic	bürokraatlik	0.280	0.630	0.573
burger	burger	0.688	0.568	0.398
burglar	sissemurdja	0.050	0.769	0.404
burglary	murdvargus	0.146	0.918	0.543
burial	matmine	0.203	0.577	0.333
buried	maetud	0.133	0.530	0.370
burke	burke	0.466	0.441	0.451
burlap	salvrätik	0.429	0.462	0.411
burlesque	Burlesque	0.327	0.615	0.343
burly	tormakas	0.562	0.650	0.750
burn	põletada	0.219	0.783	0.509
burned	põles	0.163	0.603	0.347
burner	põleti	0.296	0.816	0.446
burning	põletamine	0.229	0.760	0.412
burnished	põletatud	0.520	0.580	0.464
burnout	läbi põlema	0.219	0.445	0.240
burnt	põles	0.082	0.713	0.356
burp	röhitsema	0.219	0.594	0.432
burr	söömine	0.390	0.426	0.308
burrito	burrito	0.688	0.294	0.166
burro	NO TRANSLATION	0.400	0.356	0.318
burrow	nurk	0.438	0.280	0.355
bursary	stipendium	0.729	0.462	0.571
burst	lõhkema	0.156	0.894	0.845
bury	matta	0.077	0.571	0.346
bus	buss	0.407	0.411	0.400
busboy	busboy	0.510	0.453	0.441
bush	bush	0.413	0.220	0.315
bushel	bushel	0.417	0.387	0.368
bushy	kummitav	0.562	0.321	0.427
business	äri	0.688	0.569	0.755
business man	NO TRANSLATION	0.530	0.598	0.933
businessman	ärimees	0.653	0.510	0.802
businesswoman	ärinaine	0.719	0.500	0.764
busload	busload	0.561	0.481	0.492
buss	buss	0.469	0.500	0.391
bust	büst	0.520	0.500	0.420
busted	vahele jäänud	0.204	0.676	0.345
buster	Buster	0.469	0.491	0.483
bustle	sebimine	0.347	0.814	0.445
bustling	tormakas	0.490	0.850	0.528
busy	hõivatud	0.402	0.500	0.474
busybody	busybody	0.255	0.634	0.472
butane	butaan	0.442	0.483	0.380
butcher	lihunik	0.500	0.575	0.608
butler	toidukorraldaja	0.469	0.225	0.438
butt	tagumik	0.347	0.725	0.336
butter	või	0.650	0.292	0.202
buttercup	buttercup	0.562	0.482	0.422
butterfly	liblikas	0.892	0.327	0.314
buttermilk	petipiim	0.633	0.311	0.304
butterscotch	butterscotch	0.708	0.510	0.356
buttery	võine	0.625	0.318	0.303
buttock	tuhar	0.429	0.600	0.288
buttocks	tuharad	0.458	0.677	0.365
button	nuppu	0.520	0.220	0.343
buttress	tugipunkt	0.438	0.684	0.721
buxom	buxom	0.562	0.719	0.547
buy	osta	0.771	0.769	0.612
buyer	ostja	0.613	0.519	0.649
buying	ostmine	0.665	0.784	0.589
buzz	buzz	0.333	0.686	0.375
buzzard	buzzard	0.350	0.500	0.225
buzzed	buzzed	0.583	0.549	0.448
buzzer	sädemeja	0.549	0.716	0.480
buzzing	sumin	0.430	0.588	0.370
bye	bye	0.375	0.398	0.321
bygone	möödas	0.229	0.310	0.315
bylaw	seadusega	0.469	0.373	0.725
byline	byline	0.469	0.450	0.435
bypass	ümbersõit	0.429	0.418	0.353
bystander	kõrvalseisja	0.480	0.462	0.491
byte	bait	0.490	0.380	0.407
byzantine	bütsantsi	0.546	0.443	0.492
cab	Takso	0.438	0.490	0.421
cabal	cabal	0.500	0.406	0.573
cabana	kaban	0.698	0.296	0.407
cabaret	kabaree	0.677	0.656	0.482
cabbage	kapsas	0.398	0.225	0.264
cabbie	cabbie	0.521	0.417	0.429
cabernet	kabeliühendus	0.543	0.420	0.480
cabin	salongi	0.643	0.292	0.430
cabinet	kabinet	0.552	0.306	0.465
cable	kaabel	0.583	0.245	0.434
caboodle	caboodle	0.529	0.521	0.325
caboose	caboose	0.440	0.453	0.438
cabriolet	kabriolett	0.667	0.525	0.472
cache	vahemälu	0.552	0.348	0.389
cacophony	kakofoonia	0.408	0.562	0.440
cactus	kaktus	0.439	0.412	0.284
cad	cad	0.447	0.406	0.404
cadaver	lõvi	0.030	0.690	0.260
caddie	NO TRANSLATION	0.521	0.435	0.259
caddy	Caddy	0.580	0.470	0.380
cadence	juhuslikkus	0.427	0.473	0.355
cadet	kadett	0.504	0.393	0.664
cafe	kohvik	0.781	0.392	0.358
cafeteria	kohvik	0.757	0.400	0.382
caffeine	kofeiin	0.562	0.759	0.500
cage	puur	0.316	0.333	0.352
cagey	cagey	0.542	0.363	0.582
cahoots	kohupiimad	0.312	0.696	0.474
cairn	cairn	0.260	0.435	0.254
cake	kook	0.810	0.375	0.287
cakewalk	Cakewalk	0.719	0.510	0.447
calamari	kalamari	0.521	0.312	0.406
calamitous	õnnetu	0.219	0.685	0.500
calamity	õnnetus	0.122	0.795	0.343
calcareous	lubjakivi	0.490	0.368	0.462
calcium	kaltsium	0.600	0.346	0.479
calculate	arvutama	0.490	0.452	0.440
calculated	arvutatud	0.633	0.425	0.683
calculating	arvutades	0.458	0.430	0.625
calculation	arvutus	0.646	0.453	0.606
calculator	kalkulaator	0.513	0.283	0.588
calculus	calculus	0.360	0.360	0.562
calendar	kalender	0.480	0.212	0.473
calender	NO TRANSLATION	0.531	0.275	0.451
calf	vasikas	0.531	0.366	0.336
caliber	kaliibriga	0.429	0.551	0.606
calibrate	kalibreerige	0.552	0.460	0.623
calico	kalico	0.406	0.338	0.491
calipers	kliimaseadmed	0.480	0.510	0.481
calisthenics	arstiteadus	0.562	0.663	0.545
call	helistama	0.594	0.627	0.558
callback	helista tagasi	0.524	0.529	0.434
caller	helistaja	0.646	0.615	0.472
calligraphy	kalligraafia	0.620	0.216	0.500
calling	kutsudes	0.646	0.590	0.483
callous	kallis	0.245	0.500	0.386
calls	kõned	0.608	0.431	0.551
calm	rahulik	0.875	0.100	0.282
calming	rahustav	0.885	0.105	0.360
calmness	rahulikkus	0.934	0.105	0.394
caloric	kaloriline	0.327	0.483	0.448
calorie	kalorit	0.333	0.540	0.427
calorimeter	kalorimeeter	0.406	0.560	0.414
cam	nukk	0.448	0.363	0.355
camaraderie	võrdsus	0.833	0.510	0.648
camber	kamber	0.430	0.382	0.439
camcorder	videokaamera	0.556	0.422	0.454
camel	kaamel	0.540	0.282	0.314
cameo	kameeja	0.573	0.457	0.509
camera	kaamera	0.640	0.288	0.379
cameraman	operaator	0.542	0.452	0.542
camisole	kapsel	0.497	0.250	0.375
camouflage	kamuflaaž	0.438	0.585	0.450
camouflaged	NO TRANSLATION	0.350	0.422	0.562
camp	laagrisse	0.622	0.617	0.594
campaign	kampaania	0.602	0.730	0.823
campaigner	võitleja	0.592	0.698	0.821
campaigning	kampaaniad	0.531	0.663	0.741
camper	laagris	0.573	0.529	0.482
campfire	lõkkeplats	0.677	0.509	0.436
camping	telkimine	0.653	0.529	0.480
campsite	puhkekülas või laagris	0.680	0.490	0.547
campus	ülikoolilinnak	0.604	0.388	0.519
can	saab	0.662	0.360	0.454
can opener	purgiavaja	0.444	0.491	0.308
canal	kanal	0.673	0.259	0.321
canary	kanariin	0.582	0.276	0.265
cancel	tühistada	0.214	0.306	0.368
canceling	tühistamine	0.229	0.470	0.349
cancellation	tühistamine	0.224	0.431	0.389
cancer	vähk	0.052	0.694	0.529
candid	siiralt	0.667	0.349	0.458
candidacy	kandidatuur	0.490	0.657	0.696
candidate	kandidaat	0.596	0.490	0.804
candied	suhkrustatud	0.713	0.330	0.360
candle	küünal	0.602	0.221	0.344
candlelight	küünlavalgus	0.789	0.294	0.417
candles	küünlad	0.615	0.206	0.268
candlestick	küünlajalg	0.448	0.531	0.534
candor	kummardus	0.740	0.389	0.607
candy	kristalliseerunud	0.930	0.425	0.384
cane	suhkruroo	0.459	0.298	0.398
canine	koer	0.573	0.569	0.425
canister	kanister	0.553	0.271	0.403
canker	katkestama	0.262	0.469	0.427
cannabis	kanepit	0.271	0.500	0.564
canned	konserveeritud	0.398	0.357	0.298
cannibal	kannibal	0.122	0.824	0.480
cannibalism	kannibalism	0.094	0.890	0.583
canning	konserveerimine	0.490	0.392	0.259
cannon	kahur	0.529	0.676	0.811
cannonball	Cannonball	0.344	0.840	0.759
canoe	kanuu	0.542	0.300	0.418
canon	kanon	0.385	0.519	0.541
canonical	kanooniline	0.542	0.410	0.620
canons	kanonid	0.385	0.588	0.593
canopy	kuppel	0.615	0.264	0.398
cantaloupe	küüslaugu	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	söökla	0.688	0.600	0.514
canterbury	canterbury	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	konsool	0.357	0.618	0.421
cantina	Cantina	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	kanton	0.542	0.472	0.536
cantstandit	NO TRANSLATION	0.418	0.546	0.343
cantwin	Cantwin	0.260	0.509	0.298
canvas	lõuend	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	kanjon	0.468	0.731	0.634
cap	kork	0.612	0.240	0.375
capability	võime	0.833	0.571	0.730
capable	võimeline	0.765	0.587	0.547
capacity	võimsus	0.719	0.411	0.806
cape	koobas	0.531	0.235	0.357
caper	kaper	0.510	0.370	0.326
capillary	kapillaar	0.469	0.365	0.395
capital	kapitali	0.520	0.500	0.798
capitalism	kapitalism	0.448	0.686	0.848
capitalist	kapitalistlik	0.352	0.577	0.821
capitalize	kapitaliseerima	0.771	0.601	0.885
capitals	pealinnad	0.755	0.500	0.655
capitation	üleujutus	0.479	0.529	0.589
capitol	capitol	0.535	0.375	0.705
capitulation	kapitulatsioon	0.375	0.546	0.615
cappuccino	cappuccino	0.792	0.279	0.384
caprice	caprice	0.333	0.640	0.430
capricious	kapriisne	0.221	0.650	0.500
caps	mütsid	0.510	0.221	0.368
capslock	kapslakk	0.330	0.394	0.398
capsule	kapsel	0.583	0.290	0.570
captain	kapten	0.552	0.653	0.966
caption	pealdis	0.814	0.292	0.379
captivate	haarama	0.698	0.604	0.723
captivating	võluv	0.895	0.594	0.816
captive	vangistuses	0.235	0.558	0.411
captivity	vangistus	0.225	0.493	0.387
captor	vangistaja	0.347	0.625	0.612
capture	püüdmine	0.357	0.650	0.537
car	auto	0.776	0.540	0.500
caramel	karamell	0.901	0.363	0.400
carat	karaat	0.823	0.604	0.676
caravan	haagissuvila	0.635	0.559	0.455
carbon	süsinik	0.604	0.360	0.350
carburetor	karburaator	0.469	0.612	0.555
carcass	rümp	0.115	0.529	0.309
carcinoma	kartsinoom	0.153	0.692	0.440
card	kaart	0.531	0.269	0.436
cardboard	papp	0.500	0.173	0.309
cardiac	südamehaigus	0.344	0.765	0.615
cardigan	kardigan	0.599	0.324	0.264
cardinal	kardinal	0.583	0.358	0.712
cardiologist	kardioloog	0.458	0.630	0.814
cardiology	kardioloogia	0.203	0.545	0.605
cardiomyopathy	kardiomüopaatia	0.177	0.645	0.537
cards	kaardid	0.568	0.317	0.320
care	hooli	0.729	0.370	0.500
career	karjäär	0.740	0.712	0.606
carefree	muretu	0.755	0.220	0.500
careful	ettevaatlik	0.625	0.538	0.530
carefully	hoolikalt	0.698	0.330	0.544
careless	hooletu	0.255	0.431	0.125
carelessness	hooletus	0.245	0.482	0.330
caress	kallis	0.833	0.418	0.509
caret	hoolitsema	0.656	0.402	0.527
caretaker	hooldaja	0.714	0.531	0.759
cargo	lasti	0.408	0.444	0.455
caribou	Caribou	0.562	0.452	0.342
caricature	karikatuur	0.604	0.373	0.383
caries	kariis	0.115	0.569	0.283
caring	hooliv	0.635	0.469	0.500
carjack	Carjack	0.438	0.682	0.439
carnage	tapmine	0.406	0.600	0.558
carnal	lihaloomuline	0.417	0.679	0.421
carnation	nelk	0.653	0.357	0.431
carnival	karneval	0.927	0.888	0.555
carnivorous	lihasööja	0.224	0.613	0.651
carol	Carol	0.673	0.412	0.436
carols	kellad	0.847	0.420	0.491
carousel	karussell	0.704	0.500	0.412
carp	karpkala	0.531	0.324	0.375
carpal	murtud	0.449	0.327	0.420
carpenter	puusepp	0.521	0.550	0.519
carpentry	puusepatööd	0.561	0.459	0.518
carpet	vaip	0.520	0.170	0.339
carpeting	vaipkatted	0.542	0.312	0.444
carpool	karupool	0.625	0.509	0.500
carriage	vedu	0.650	0.538	0.491
carried	veetud	0.490	0.382	0.534
carrier	vedaja	0.533	0.588	0.638
carrot	porgand	0.500	0.235	0.279
carry	kandma	0.635	0.380	0.500
carrying	kandma	0.656	0.557	0.443
carsick	carsick	0.224	0.574	0.255
cart	ostukorvi	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	kartell	0.438	0.394	0.602
carter	karter	0.312	0.480	0.431
cartilage	kõhr	0.438	0.370	0.407
cartographic	kartograafiline	0.490	0.348	0.424
cartography	kartograafia	0.520	0.300	0.579
carton	karp	0.286	0.186	0.241
cartoon	cartoon	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	kassett	0.458	0.500	0.407
carve	nikerdama	0.469	0.443	0.598
carver	carver	0.418	0.500	0.500
carving	nikerdus	0.541	0.444	0.368
cascade	kaskaadi	0.735	0.509	0.395
case	juhtum	0.427	0.275	0.441
casein	kaseiin	0.470	0.436	0.415
cash	sularahas	0.867	0.552	0.714
cashier	kassapidaja	0.615	0.413	0.484
cashmere	kašmiir	0.653	0.452	0.439
casing	korpus	0.458	0.327	0.328
casino	kasiino	0.542	0.684	0.568
cask	mahuti	0.490	0.398	0.444
casket	purskkaev	0.125	0.490	0.346
casserole	Pannkoogid	0.570	0.360	0.328
cassette	kassett	0.490	0.334	0.355
cast	valatud	0.558	0.620	0.517
castaway	ära visatud	0.208	0.646	0.422
caste	kaste	0.510	0.333	0.374
caster	ratas	0.604	0.670	0.647
castle	loss	0.680	0.396	0.718
castor	ratas	0.583	0.337	0.368
castrate	kastreeritud	0.177	0.485	0.519
castration	kastreerimine	0.198	0.735	0.381
casual	juhuslik	0.643	0.224	0.385
casually	juhuslikult	0.658	0.290	0.333
casualty	õnnetus	0.235	0.274	0.132
cat	kass	0.667	0.260	0.370
catabolism	katabolism	0.265	0.573	0.605
catalog	kataloogi	0.561	0.221	0.573
catalogue	kataloogi	0.647	0.327	0.533
catalysis	katalüüs	0.385	0.559	0.531
catalyst	katalüsaator	0.604	0.509	0.585
catalytic	katalüütiline	0.562	0.519	0.563
catamaran	katamaraan	0.571	0.566	0.526
catapult	katapuld	0.480	0.830	0.649
cataract	katarakt	0.406	0.545	0.549
catastrophe	katastroof	0.146	0.952	0.670
catastrophic	katastroofiline	0.071	0.934	0.598
catatonic	katatooniline	0.255	0.500	0.509
catch	saak	0.531	0.437	0.552
catcher	püüdja	0.653	0.413	0.540
catching	püüdmine	0.490	0.788	0.644
catchphrase	märke fraas	0.698	0.423	0.433
catchy	meeldejääv	0.677	0.441	0.462
catechism	katekism	0.656	0.236	0.613
categorical	kategooriline	0.615	0.442	0.760
category	kategooria	0.571	0.264	0.521
cater	teenindama	0.802	0.500	0.509
caterer	toitlustusettevõtja	0.550	0.557	0.644
caterpillar	roomik	0.461	0.286	0.330
cates	cates	0.370	0.394	0.407
catfish	säga	0.458	0.337	0.296
cathartic	katartik	0.450	0.510	0.604
cathedral	katedraal	0.598	0.330	0.643
catheter	kateeter	0.336	0.491	0.373
catholic	katoliiklik	0.646	0.240	0.575
cathouse	Katusekoda	0.327	0.375	0.363
catnip	kassipiim	0.439	0.381	0.296
cattle	veised	0.622	0.340	0.445
catwalk	katwalk	0.698	0.436	0.464
caucus	vestlusgrupp	0.418	0.311	0.491
caudal	Kaaudal	0.500	0.425	0.583
cauldron	pott	0.510	0.486	0.418
cauliflower	lillkapsas	0.448	0.255	0.231
caulk	kookuma	0.367	0.500	0.418
causal	põhjuslik	0.562	0.367	0.491
causality	põhjuslik põhjus	0.500	0.378	0.336
causation	põhjuslik põhjus	0.562	0.480	0.567
cause	põhjustada	0.469	0.373	0.486
caused	põhjustatud	0.344	0.520	0.382
causeway	maja tee	0.453	0.382	0.422
caution	ettevaatlik	0.552	0.712	0.547
cautionary	ettevaatlik	0.510	0.541	0.519
cautious	ettevaatlik	0.470	0.445	0.517
cautiously	ettevaatlikult	0.510	0.388	0.525
cavalier	kavalier	0.735	0.462	0.713
cavalry	ratsavägi	0.667	0.727	0.794
cave	koobas	0.459	0.333	0.380
caveat	hoiatus	0.344	0.629	0.484
caveman	koobasemeja	0.235	0.644	0.482
cavern	koobas	0.323	0.360	0.365
cavernous	cavernous	0.354	0.548	0.462
caviar	kaaviar	0.906	0.394	0.481
caving	kukkumine	0.378	0.491	0.551
cavity	õõnsus	0.466	0.385	0.379
