Word	Xhosa-xh	Valence	Arousal	Dominance
cayenne	cayenne	0.615	0.306	0.355
cease	ukuyeka	0.388	0.250	0.420
ceasefire	ukupheliswa komlilo	0.542	0.594	0.567
ceaseless	apheli	0.378	0.704	0.658
cedar	ngomsedare	0.560	0.267	0.577
cede	cede	0.275	0.327	0.402
ceiling	ilitye	0.520	0.224	0.366
celebrant	mbhiyozo	0.865	0.656	0.643
celebrate	bhiyozela	0.917	0.857	0.859
celebrated	bhiyozelwa	0.875	0.690	0.763
celebrating	bhiyozela	0.927	0.860	0.773
celebration	bhiyozo	0.939	0.824	0.880
celebrations	mbhiyozo	0.958	0.794	0.714
celebratory	bhiyozo	0.857	0.653	0.845
celebrity	udumo	0.760	0.619	0.855
celery	isileri	0.396	0.147	0.223
celestial	zulwini	0.817	0.360	0.731
celibacy	lelibacy	0.302	0.276	0.509
celibate	utywala	0.419	0.387	0.391
cell	iseli	0.541	0.375	0.465
cellar	esilayeni	0.510	0.277	0.406
cellblock	cellblock	0.186	0.570	0.500
cellist	cellist	0.667	0.500	0.486
cellmate	i cell cell	0.167	0.684	0.349
cello	cello	0.635	0.324	0.528
cellophane	cellophane	0.648	0.282	0.289
cellular	iselula	0.643	0.398	0.517
cellulite	cellulite	0.200	0.384	0.256
celluloid	celluloid	0.469	0.440	0.425
cement	samente	0.544	0.265	0.527
cemented	kuqinisekiswa	0.429	0.382	0.537
cemetery	amangcwaba	0.051	0.630	0.417
censor	censor	0.344	0.276	0.538
censorship	ukunyanzelisa	0.219	0.698	0.421
censure	ukugxeka	0.219	0.653	0.417
census	kubalo	0.449	0.289	0.553
cent	pesenti	0.439	0.367	0.402
centenary	ikhulu leminyaka	0.604	0.440	0.642
centennial	ikhulu leminyaka	0.583	0.394	0.700
center	kwiziko	0.643	0.231	0.431
centerfold	ehamba phambili	0.571	0.407	0.485
centerpiece	ngundoqo	0.594	0.208	0.520
centimeter	centimeter	0.427	0.280	0.380
centipede	centipede	0.296	0.399	0.361
central	ephakathi	0.640	0.356	0.621
centrality	ephakathi	0.571	0.312	0.709
centralization	ngundoqo	0.521	0.440	0.702
centralize	ukugxininisa	0.684	0.427	0.802
centrally	phakathi	0.729	0.280	0.700
centrifugal	centrifugal	0.306	0.651	0.480
centrifuge	centrifuge	0.495	0.622	0.527
centurion	ikhulu lekhulu	0.590	0.447	0.696
century	ngenkulungwane	0.407	0.347	0.735
ceramic	ikheramic	0.521	0.255	0.371
ceramics	iiceramics	0.573	0.250	0.373
cereal	cereal	0.612	0.206	0.316
cereals	okusanhlamvu	0.719	0.224	0.311
cerebral	cerebral	0.408	0.509	0.627
ceremonial	mthe ndeleko	0.771	0.540	0.691
ceremony	mthe ndeleko	0.760	0.559	0.761
certain	ezithile	0.760	0.358	0.673
certainty	qi niseka	0.781	0.400	0.769
certifiable	eqinisekisiwe	0.714	0.427	0.662
certificate	isatifikethi	0.786	0.377	0.746
certified	qi niweyo	0.781	0.422	0.806
certify	qi ni sekisa	0.866	0.400	0.746
cervical	yomlomo wesibeleko	0.375	0.413	0.445
cervix	wesibeleko	0.429	0.360	0.340
cess	cess	0.427	0.375	0.406
cessation	ukuyeka	0.414	0.385	0.358
cesspool	cesspool	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	umququ	0.333	0.327	0.188
chafing	ukukhanda	0.430	0.415	0.368
chagrin	ngcikivo	0.104	0.704	0.472
chagrined	utyhafile	0.112	0.745	0.361
chai	NO TRANSLATION	0.500	0.375	0.363
chain	ikhonkco	0.378	0.500	0.547
chainsaw	i-chainsaw	0.367	0.804	0.636
chair	sihlalo	0.562	0.082	0.276
chairman	sihlalo	0.656	0.567	0.933
chairperson	usihlalo	0.730	0.657	0.966
chairwoman	sihlalo	0.719	0.664	0.953
chaise	sihlalo	0.406	0.349	0.327
chalet	ikhefu	0.653	0.349	0.278
chalice	ikhekhe	0.633	0.286	0.529
chalk	isikhokelo	0.385	0.185	0.121
challenge	umngeni	0.469	0.922	0.713
challenger	mngeni	0.417	0.755	0.652
chamber	kwigumbi	0.583	0.373	0.455
chambermaid	ngumbhinqa	0.594	0.375	0.336
chambers	amagumbi	0.542	0.442	0.388
chameleon	kamele	0.490	0.580	0.345
champ	fowuni	0.854	0.754	0.896
champagne	Ishampeyini	0.760	0.600	0.454
champion	iqela	0.890	0.880	0.945
championship	iqhankqalazo	0.833	0.800	0.880
chance	ithuba	0.833	0.551	0.525
chancellor	chancellor	0.646	0.500	0.887
chandelier	umxhasi	0.615	0.542	0.366
chandler	umchangeli	0.510	0.452	0.454
change	utshintsho	0.625	0.575	0.606
changeable	zitshintsha	0.490	0.480	0.528
changed	utshintshile	0.594	0.375	0.491
changer	guqula	0.583	0.519	0.567
changing	utshintsha	0.571	0.569	0.461
channel	umzila	0.490	0.287	0.405
chant	ngoma	0.771	0.698	0.650
chaos	ingxabano	0.016	0.923	0.373
chaotic	utyhafile	0.115	0.847	0.442
chap	isahluko	0.550	0.410	0.345
chapel	kwintlanganiso	0.573	0.240	0.440
chaperon	umphathi	0.500	0.520	0.404
chaplain	mfundisi	0.582	0.370	0.577
chapman	i-chapman	0.562	0.529	0.465
chaps	uhamba	0.350	0.462	0.350
chapter	isahluko	0.580	0.308	0.461
char	char	0.554	0.361	0.404
character	umlingiswa	0.667	0.373	0.686
characteristic	uphawu	0.583	0.328	0.538
characterize	luphawu	0.729	0.471	0.735
charade	ukukhangela	0.458	0.550	0.346
charcoal	malahle	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	hlawula	0.510	0.633	0.785
chargeable	kuhlawulwa	0.551	0.550	0.453
charger	ishaja	0.531	0.418	0.545
chariot	inqwelo	0.684	0.550	0.491
charisma	u buhlungu	0.938	0.591	0.759
charismatic	ngomsindo	0.938	0.684	0.849
charitable	uncedo	0.865	0.380	0.593
charity	uthando	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	u mnandi	0.833	0.363	0.649
charmed	Utsalekile	0.938	0.570	0.769
charmer	ngumbhalo	0.882	0.683	0.782
charming	e mnandi	0.917	0.660	0.764
charred	yatsalwa	0.208	0.676	0.373
chart	ishati	0.469	0.317	0.330
charter	mqulu	0.677	0.382	0.518
chartered	ezichanekileyo	0.569	0.460	0.490
chase	sukela	0.396	0.878	0.623
chased	zixoshwa	0.188	0.830	0.287
chaser	umqhubi	0.375	0.830	0.645
chasm	umtshini	0.265	0.579	0.500
chassis	tshutshisi	0.406	0.342	0.444
chaste	cileyo	0.408	0.248	0.453
chastened	bahlwaywe	0.156	0.580	0.345
chastisement	sohlwaywa	0.156	0.852	0.462
chastity	ubumsulwa	0.469	0.392	0.509
chat	ncokola	0.729	0.400	0.346
chateau	chateau	0.615	0.464	0.702
chatter	ingxoxo	0.560	0.450	0.347
chatterbox	ibhokisi lokuxoxa	0.459	0.548	0.482
chattering	ukuxoxa	0.460	0.663	0.304
chatty	ingxoxo	0.594	0.548	0.345
chauffeur	umqhubi	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	ephantsi	0.612	0.471	0.272
cheapened	aphantsi	0.471	0.611	0.282
cheapskate	esincinci	0.148	0.482	0.327
cheat	ukukopela	0.125	0.776	0.400
cheater	ba xha	0.104	0.920	0.333
check	khangela	0.523	0.552	0.602
checkbook	ngxelo	0.552	0.284	0.364
checker	umhloli	0.330	0.417	0.553
checkered	i-checkered	0.459	0.316	0.336
checkers	bahloli	0.676	0.451	0.437
checklist	uluhlu lokuhlola	0.561	0.521	0.552
checkmate	khangela	0.667	0.708	0.750
checkout	phuma	0.597	0.510	0.670
checkpoint	yokujonga	0.571	0.323	0.812
checkup	Jonga	0.500	0.435	0.491
cheek	sidama	0.670	0.314	0.421
cheeks	zihlathini	0.708	0.324	0.282
cheeky	ihlazi	0.434	0.679	0.410
cheep	cheep	0.367	0.380	0.373
cheer	nwabile	0.938	0.784	0.845
cheered	bavuya	0.875	0.648	0.790
cheerful	vuyayo	0.990	0.720	0.696
cheerfulness	kuvuya	0.969	0.802	0.675
cheering	kuvuya	0.815	0.824	0.642
cheerleader	cheerleader	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	nwabile	0.204	0.373	0.167
cheers	Masinwabe	0.948	0.770	0.702
cheery	ukulila	0.949	0.657	0.486
cheese	ushizi	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	i cheesy	0.470	0.471	0.179
cheetah	cheetah	0.469	0.770	0.667
chef	umpheki	0.854	0.411	0.570
chemical	khemikhali	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	khemisti	0.408	0.575	0.610
chemistry	chemistry	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	chemotherapy	0.163	0.689	0.517
cheque	khangela	0.698	0.529	0.660
cherish	xabisa	0.896	0.491	0.652
cherishing	xabisa	0.836	0.380	0.625
cherry	itsheri	0.688	0.186	0.250
cherub	ikerubhi	0.663	0.340	0.455
chess	chess	0.656	0.363	0.518
chest	esifubeni	0.520	0.429	0.481
chestnut	i-chestnut	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	hlafuna	0.520	0.490	0.404
chewy	ukuhlaziya	0.625	0.418	0.390
chic	chic	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	inkukhu	0.771	0.602	0.387
chicken	inkukhu	0.594	0.306	0.394
chicken pox	iqhwiqhwi	0.194	0.510	0.415
chickenpox	iqhwiqhwi	0.173	0.562	0.357
chief	oyintloko	0.520	0.544	0.869
chiefly	ngokukodwa	0.600	0.587	0.764
chieftain	ngumphathi	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	umntwana	0.912	0.460	0.413
childbirth	kubeleka	0.604	0.861	0.673
childhood	ebuntwaneni	0.865	0.413	0.307
childish	umntwana	0.573	0.442	0.230
childless	engenabantwana	0.310	0.400	0.396
childlike	njengomntwana	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	bantwana	0.857	0.538	0.435
chili	isilili	0.592	0.566	0.433
chill	bhinqa	0.837	0.206	0.482
chilled	zifakwe	0.521	0.340	0.482
chilling	kubetha	0.208	0.850	0.358
chilly	kancinci	0.329	0.459	0.408
chime	i-chime	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	chimes	0.625	0.490	0.402
chimney	ityhuna	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	izimpukane	0.500	0.633	0.387
chin	nantoni	0.571	0.310	0.269
china	china	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	chip	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	ukukhupha	0.354	0.452	0.353
chiropractor	chiropractor	0.420	0.549	0.651
chirp	ukuphalaza	0.469	0.602	0.365
chirping	ukugquma	0.500	0.463	0.360
chisel	sisel	0.469	0.404	0.452
chiseler	i-chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	ncokola nje	0.673	0.455	0.403
chivalry	i-chivalry	0.857	0.380	0.848
chloride	chloride	0.265	0.387	0.474
chlorine	chlorine	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	tshokoleji	0.885	0.480	0.418
choice	kukhetha	0.745	0.520	0.664
choir	kweyara	0.704	0.298	0.473
choke	zinyuka	0.167	0.788	0.676
cholera	kholera	0.020	0.867	0.507
cholesterol	i-cholesterol	0.198	0.583	0.398
choose	ukhetha	0.615	0.542	0.648
choosing	ukhetha	0.719	0.529	0.689
choosy	ukhetho	0.280	0.760	0.712
chop	ukucima	0.250	0.655	0.467
chopper	umculi	0.594	0.560	0.509
choppers	iikhephe	0.469	0.745	0.691
chopping	kutyumba	0.560	0.625	0.362
chops	i-chops	0.612	0.420	0.269
choral	ngecala	0.852	0.290	0.421
chord	ikhefu	0.729	0.394	0.539
chords	zikhetho	0.639	0.406	0.388
chore	msebenzi	0.406	0.462	0.500
choreographer	choreographer	0.646	0.639	0.625
choreography	ukuchonga	0.812	0.750	0.547
chorus	chorus	0.620	0.417	0.500
chosen	ekhethiweyo	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	ikhetho	0.510	0.324	0.241
christ	christ	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	christening	0.725	0.382	0.650
christian	yobuKristu	0.760	0.241	0.591
christmas	Krisimesi	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	chrismassy	0.875	0.698	0.602
christmastime	kristmas	0.837	0.588	0.515
chromatic	chromatic	0.407	0.413	0.435
chromatography	chromatography	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	chromosome	0.500	0.296	0.548
chronic	engapheliyo	0.255	0.615	0.464
chronicle	ingxelo	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	ngexesha	0.594	0.445	0.600
chubby	i-chubby	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	kuhlutha	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	ikhonkco	0.365	0.287	0.214
chunky	ngqondweni	0.520	0.517	0.509
church	icawa	0.708	0.198	0.610
churchyard	icawa	0.296	0.444	0.347
churn	zihluthe	0.316	0.491	0.407
chute	chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	cigar	0.306	0.463	0.346
cigarette	ugwayi	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	i cinema	0.698	0.538	0.500
cinematic	cinematic	0.663	0.490	0.600
cinematographer	i-cinematographer	0.792	0.455	0.711
cinematography	i-cinematography	0.781	0.571	0.625
cinnamon	i sinamoni	0.600	0.250	0.292
cipher	cipher	0.490	0.414	0.500
circle	isangqa	0.480	0.290	0.343
circling	ukujikeleza	0.510	0.654	0.336
circuit	wesiphaluka	0.586	0.461	0.707
circuitry	besiphaluka	0.596	0.615	0.536
circular	setyhula	0.562	0.342	0.417
circulate	zijikeleza	0.612	0.388	0.320
circulation	ukusasazwa	0.735	0.520	0.657
circulatory	ejikelezayo	0.592	0.575	0.545
circumcision	lwaluko	0.327	0.657	0.528
circumference	kwinqanaba	0.458	0.255	0.488
circumferential	iimeko	0.551	0.422	0.509
circumscribed	ezijikelezayo	0.365	0.539	0.569
circumstance	imeko	0.520	0.565	0.596
circumstances	imeko	0.562	0.527	0.464
circumstantial	imeko	0.500	0.538	0.519
circumvent	ukujikeleza	0.316	0.642	0.383
circumvention	ngqungquthela	0.531	0.571	0.473
circus	kwesekisi	0.724	0.637	0.432
cirque	umgca	0.604	0.647	0.467
cirrhosis	i-cirrhosis	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	umthombo	0.541	0.413	0.432
citadel	citadel	0.585	0.464	0.602
citation	citation	0.570	0.549	0.508
cite	khankanya	0.625	0.454	0.532
citizen	ngummi	0.631	0.250	0.586
citizenship	kubemi	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	citrus	0.469	0.368	0.375
city	sixeko	0.847	0.531	0.508
citywide	ICitywide	0.592	0.509	0.707
civic	yoluntu	0.653	0.240	0.573
civics	yoluntu	0.700	0.279	0.720
civil	yoluntu	0.521	0.281	0.517
civilian	ngabantu	0.700	0.229	0.598
civilians	abahlali	0.490	0.448	0.525
civility	noluntu	0.760	0.306	0.679
civilization	impucuko	0.823	0.452	0.839
civilized	phucule	0.792	0.231	0.796
clad	bhinqa	0.583	0.373	0.481
claim	Kleyima	0.255	0.760	0.473
claimant	ummangali	0.271	0.690	0.779
clairvoyant	i-clairvoyant	0.765	0.531	0.897
clam	umgqomo	0.442	0.302	0.272
clambake	ukugquma	0.542	0.540	0.429
clammy	i-clammy	0.354	0.440	0.236
clamor	ukukhwaza	0.438	0.643	0.360
clamp	ukuphoqa	0.541	0.388	0.454
clan	kwintsapho	0.562	0.491	0.686
clandestine	ukunyuka	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	ukubetha	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	ukubetha	0.823	0.894	0.686
clarification	caciswa	0.802	0.461	0.613
clarify	cacisa	0.652	0.535	0.625
clarinet	i-clarinet	0.592	0.453	0.411
clarion	cacisa	0.500	0.443	0.422
clarity	cacile	0.796	0.310	0.631
clash	ngqubana	0.293	0.918	0.453
clashing	ukubetha	0.177	0.764	0.575
clasp	ukucacisa	0.448	0.375	0.241
class	kwiklasi	0.656	0.314	0.522
classic	yeklasi	0.690	0.260	0.611
classic rock	edwaleni	0.729	0.571	0.588
classical	zeklasi	0.643	0.198	0.536
classics	zeklasi	0.750	0.333	0.510
classification	udidi	0.583	0.423	0.613
classified	zihlulwe	0.571	0.460	0.663
classify	bahlule	0.646	0.411	0.720
classmate	ofunda nabo	0.781	0.400	0.593
classroom	eklasini	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	i-clatter	0.418	0.820	0.387
clause	isigatya	0.480	0.409	0.528
clauses	amagatya	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
claustrophobic	claustrophobic	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	ukuphosa	0.260	0.600	0.598
claws	zihlunu	0.281	0.698	0.562
clay	udongwe	0.542	0.250	0.267
clean	hla mbulukile	0.827	0.170	0.500
cleaner	kucoca	0.604	0.556	0.375
cleaning	kucoca	0.595	0.396	0.427
cleanliness	coceko	0.816	0.363	0.609
cleanly	cocekile	0.823	0.352	0.583
cleanse	hla mbulula	0.625	0.310	0.660
cleanser	hla mbulula	0.604	0.353	0.433
cleansing	hla mbulula	0.729	0.298	0.472
cleanup	coca	0.729	0.314	0.451
clear	kucace	0.857	0.327	0.573
clearance	imvume	0.542	0.459	0.473
clearing	kucima	0.680	0.333	0.509
clearness	kucace	0.875	0.316	0.689
cleat	cacisa	0.486	0.260	0.361
cleavage	ukucoca	0.542	0.602	0.454
cleave	qha ga mshelana	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	iqhosha	0.615	0.360	0.595
cleft	ukucoca	0.306	0.442	0.360
clemency	ukucima	0.594	0.417	0.397
clench	i-clench	0.438	0.618	0.580
clergy	abefundisi	0.531	0.312	0.575
clergyman	mfundisi	0.594	0.330	0.556
cleric	mfundisi	0.521	0.324	0.589
clerical	kubhala	0.520	0.396	0.491
clerk	nobhala	0.500	0.579	0.509
clerkship	nobhala	0.582	0.380	0.596
clever	bulumko	0.896	0.353	0.729
cleverness	buchule	0.878	0.509	0.921
click	nqakraza	0.536	0.365	0.268
clicker	nqakraza	0.418	0.490	0.463
client	umxhasi	0.583	0.450	0.618
clientele	umxhasi	0.625	0.577	0.508
cliff	kwintlanzi	0.361	0.620	0.509
climate	mozulu	0.635	0.240	0.483
climatology	zomoya	0.531	0.367	0.541
climax	kwinqanaba	0.735	0.853	0.667
climb	ukunyuka	0.615	0.660	0.604
climber	kancinci	0.573	0.716	0.735
clinch	klinikhi	0.469	0.538	0.430
cling	mbelela	0.417	0.620	0.588
clingy	ukunyanzela	0.224	0.460	0.370
clinic	klinikhi	0.469	0.439	0.600
clinical	klinikhi	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	klipu	0.438	0.310	0.381
clipboard	clipboard	0.594	0.255	0.423
clipper	clipper	0.293	0.422	0.383
clipping	ukucima	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	ingubo	0.469	0.188	0.333
cloaking	ukuvala	0.521	0.595	0.389
cloakroom	iingubo	0.690	0.254	0.397
clobber	i-clobber	0.396	0.578	0.464
clock	iwashi	0.677	0.173	0.407
clockwork	iwashi	0.490	0.373	0.528
clod	i-clod	0.375	0.404	0.365
clog	ingubo	0.104	0.618	0.454
cloister	i-cloister	0.438	0.413	0.475
clone	clone	0.406	0.471	0.524
cloning	ikhonkco	0.216	0.696	0.679
close	sondele	0.292	0.260	0.263
closed	valiwe	0.240	0.164	0.318
closeness	ku futshane	0.796	0.237	0.450
closet	ikhefu	0.531	0.204	0.330
closure	kuvalwa	0.229	0.220	0.412
clot	i-clot	0.150	0.558	0.275
cloth	ingubo	0.510	0.190	0.287
clothe	kunxiba	0.797	0.330	0.481
clothes	iingubo	0.833	0.270	0.414
clothesline	umgca wengubo	0.582	0.324	0.366
clothing	iimpahla	0.750	0.343	0.407
cloud	ifu	0.740	0.133	0.342
clouded	zihlutha	0.240	0.213	0.302
cloudiness	ukukhanya	0.469	0.250	0.343
clouds	amafu	0.735	0.195	0.324
cloudy	ifufu	0.281	0.280	0.202
clout	ukukhupha	0.584	0.636	0.704
clove	i clove	0.439	0.296	0.315
clover	i clover	0.605	0.340	0.364
cloves	i clove	0.427	0.218	0.396
clown	clown	0.650	0.598	0.300
clowns	clowns	0.600	0.673	0.391
club	iqela	0.646	0.618	0.393
clubhouse	clubhouse	0.694	0.571	0.493
clubs	iiklabhu	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	ngcaciso	0.653	0.380	0.412
clueless	nganto	0.350	0.333	0.161
clump	i-clump	0.551	0.480	0.582
clumsy	lukhulu	0.125	0.420	0.144
clunk	qhawula	0.448	0.472	0.407
cluster	iqela	0.490	0.458	0.446
clutch	kubamba	0.383	0.500	0.491
clutches	maqela	0.542	0.373	0.528
clutter	clutter	0.135	0.598	0.400
coach	umqeqeshi	0.633	0.823	0.735
coachman	ngumqeqeshi	0.479	0.394	0.509
coagulation	coagulation	0.381	0.558	0.436
coal	amalahle	0.360	0.241	0.340
coalesce	coalesce	0.479	0.434	0.529
coalition	u manyano	0.490	0.730	0.673
coarse	qhekeza	0.333	0.481	0.481
coast	wonxweme	0.719	0.396	0.458
coastal	wonxweme	0.604	0.370	0.510
coaster	ngxakini	0.612	0.788	0.627
coastline	wonxweme	0.745	0.282	0.441
coat	ingubo	0.677	0.256	0.464
coating	zokugqoka	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	cobalt	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	inyoka	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	cocaine	0.156	0.840	0.373
cock	iqhude	0.418	0.562	0.392
cockamamie	i-cockamamie	0.450	0.500	0.382
cockeyed	i cockeyed	0.459	0.460	0.423
cockpit	i-cockpit	0.520	0.424	0.343
cockroach	iqhubu	0.188	0.667	0.196
cocksucker	umququzeleli	0.083	0.764	0.339
cocktail	ivenkile	0.740	0.480	0.381
cocky	cocky	0.260	0.784	0.519
cocoa	icocoa	0.776	0.255	0.322
coconut	ikhokhonathi	0.622	0.265	0.227
cocoon	cocoon	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	ikhowudi	0.583	0.308	0.491
codeine	ikhowudi	0.375	0.582	0.436
codex	ikhowudi	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	codification	0.448	0.400	0.698
codify	qulunqa	0.448	0.410	0.679
coding	coding	0.442	0.344	0.667
coed	ubophe	0.469	0.531	0.481
coefficient	coefficient	0.677	0.415	0.702
coerce	ku nya nzelisa	0.260	0.741	0.517
coercion	nya nzeliswa	0.330	0.708	0.577
coercive	qinisa	0.479	0.670	0.506
coexist	ba hla nganisa	0.708	0.460	0.536
coexistence	ukuhlalisana	0.588	0.472	0.638
coexisting	ku hla nganisa	0.551	0.349	0.648
coffee	kofu	0.823	0.418	0.309
coffee table	itafile yekofu	0.720	0.339	0.295
coffeehouse	ihofi	0.694	0.357	0.307
coffeepot	coffeepot	0.760	0.333	0.312
coffin	ibhokisi	0.073	0.432	0.343
cog	ingcambu	0.427	0.343	0.363
cogent	eyaziwayo	0.765	0.479	0.836
cognac	icognac	0.615	0.510	0.430
cognate	qwa lasela	0.615	0.350	0.398
cognition	ukuqonda	0.635	0.344	0.706
cognitive	ingqiqo	0.513	0.401	0.634
cohabitation	ukuhlalisana	0.646	0.526	0.598
coherence	ngqi nelana	0.720	0.406	0.788
coherent	ehambelana	0.698	0.281	0.500
cohesion	u manyano	0.604	0.536	0.555
cohesive	ngokubambisana	0.531	0.470	0.603
cohort	liqela	0.459	0.551	0.566
coil	coil	0.448	0.343	0.298
coiled	coiled	0.378	0.518	0.389
coin	lwemali	0.677	0.574	0.445
coinage	lwemali	0.500	0.400	0.545
coincide	zihambelana	0.635	0.490	0.593
coincidence	ngenye indlela	0.612	0.450	0.518
coincident	ngqi nelana	0.562	0.385	0.602
coincidental	ngokungahambelani	0.646	0.481	0.337
coinciding	ngqi nelana	0.673	0.373	0.623
coke	coke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	kubanda	0.398	0.538	0.348
coldly	kubanda	0.365	0.358	0.407
coldness	kubanda	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	coliseum	0.612	0.663	0.704
collaborate	nzisane	0.816	0.449	0.559
collaboration	intsebenziswano	0.885	0.628	0.741
collaborator	mdibanisi	0.729	0.320	0.769
collage	collage	0.680	0.321	0.375
collagen	collagen	0.541	0.245	0.450
collapse	ukuwa	0.208	0.689	0.342
collar	ikhola	0.656	0.442	0.446
collarbone	collarbone	0.420	0.427	0.306
collate	iqokelele	0.438	0.448	0.580
collateral	zintlonelo	0.531	0.422	0.717
collation	i-collation	0.520	0.333	0.508
colleague	qabane	0.740	0.413	0.600
collect	qo kelela	0.635	0.481	0.491
collected	qo kelelwe	0.570	0.402	0.588
collection	ukuqokelela	0.725	0.311	0.588
collective	edibeneyo	0.583	0.458	0.698
collectively	ngokubambisana	0.817	0.573	0.533
collector	qo keleli	0.552	0.481	0.648
college	kholeji	0.700	0.467	0.746
collegiate	u qeqesho	0.592	0.461	0.678
collide	idibene	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	ukudibana	0.245	0.848	0.585
collocation	ulwahlulo	0.637	0.360	0.594
colloquial	edibeneyo	0.604	0.363	0.368
collusion	ukuhlanganiswa	0.365	0.510	0.400
cologne	cologne	0.677	0.413	0.552
colon	koloni	0.449	0.394	0.384
colonel	colonel	0.459	0.592	0.890
colonial	koloni	0.553	0.327	0.613
colonic	koloni	0.333	0.420	0.430
colonoscopy	colonoscopy	0.208	0.524	0.466
colony	koloni	0.716	0.353	0.593
colophon	i-coloni	0.500	0.408	0.385
color	umbala	0.786	0.280	0.402
coloration	imibala	0.541	0.520	0.443
colored	libala	0.806	0.317	0.275
colorful	ezimbala	0.850	0.520	0.519
coloring	umbala	0.781	0.469	0.353
colorless	ezingenambala	0.354	0.340	0.250
colors	imibala	0.875	0.349	0.340
colossal	zibala	0.698	0.692	0.900
colt	ithole	0.561	0.587	0.543
columbine	i-columbine	0.520	0.521	0.407
column	ikholomu	0.480	0.250	0.670
columnar	kwikholamu	0.448	0.340	0.491
columnist	umlobi	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	coma	0.219	0.255	0.302
