Word	Lithuanian-lt	Valence	Arousal	Dominance
casino	kazino	0.542	0.684	0.568
cask	konteineris	0.490	0.398	0.444
casket	karstas	0.125	0.490	0.346
casserole	tortas	0.570	0.360	0.328
cassette	kasetė	0.490	0.334	0.355
cast	mesti	0.558	0.620	0.517
castaway	nukryžiuotas	0.208	0.646	0.422
caste	kastos	0.510	0.333	0.374
caster	ratukas	0.604	0.670	0.647
castle	pilis	0.680	0.396	0.718
castor	rutulys	0.583	0.337	0.368
castrate	kastruoti	0.177	0.485	0.519
castration	kastracija	0.198	0.735	0.381
casual	atsitiktinis	0.643	0.224	0.385
casually	Kasdieniškai	0.658	0.290	0.333
casualty	nelaimingas atsitikimas	0.235	0.274	0.132
cat	katė	0.667	0.260	0.370
catabolism	katabolizmas	0.265	0.573	0.605
catalog	katalogas	0.561	0.221	0.573
catalogue	katalogas	0.647	0.327	0.533
catalysis	katalizė	0.385	0.559	0.531
catalyst	katalizatorius	0.604	0.509	0.585
catalytic	katalizinis	0.562	0.519	0.563
catamaran	katamaranas	0.571	0.566	0.526
catapult	katapulta	0.480	0.830	0.649
cataract	katarakta	0.406	0.545	0.549
catastrophe	katastrofa	0.146	0.952	0.670
catastrophic	katastrofiškas	0.071	0.934	0.598
catatonic	katatoninis	0.255	0.500	0.509
catch	gaudyti	0.531	0.437	0.552
catcher	gaudytojas	0.653	0.413	0.540
catching	gaudyti	0.490	0.788	0.644
catchphrase	frazė	0.698	0.423	0.433
catchy	Įsimintinas	0.677	0.441	0.462
catechism	katekizmas	0.656	0.236	0.613
categorical	kategoriškas	0.615	0.442	0.760
category	Kategorija	0.571	0.264	0.521
cater	patenkinti	0.802	0.500	0.509
caterer	maitinimo įstaiga	0.550	0.557	0.644
caterpillar	vikšras	0.461	0.286	0.330
cates	kates	0.370	0.394	0.407
catfish	šamas	0.458	0.337	0.296
cathartic	katartis	0.450	0.510	0.604
cathedral	katedra	0.598	0.330	0.643
catheter	kateteris	0.336	0.491	0.373
catholic	katalikų	0.646	0.240	0.575
cathouse	cathouse	0.327	0.375	0.363
catnip	Katžolė	0.439	0.381	0.296
cattle	galvijai	0.622	0.340	0.445
catwalk	podiumas	0.698	0.436	0.464
caucus	asociacija	0.418	0.311	0.491
caudal	Kaudalinis	0.500	0.425	0.583
cauldron	katilas	0.510	0.486	0.418
cauliflower	žiediniai kopūstai	0.448	0.255	0.231
caulk	šukti	0.367	0.500	0.418
causal	priežastinis	0.562	0.367	0.491
causality	priežastinis ryšys	0.500	0.378	0.336
causation	priežastinis ryšys	0.562	0.480	0.567
cause	priežastis	0.469	0.373	0.486
caused	sukelia	0.344	0.520	0.382
causeway	prievadas	0.453	0.382	0.422
caution	atsargiai	0.552	0.712	0.547
cautionary	atsargiai	0.510	0.541	0.519
cautious	atsargus	0.470	0.445	0.517
cautiously	atsargiai	0.510	0.388	0.525
cavalier	kavalierius	0.735	0.462	0.713
cavalry	kavalerija	0.667	0.727	0.794
cave	urvas	0.459	0.333	0.380
caveat	įspėjimas	0.344	0.629	0.484
caveman	urvinis žmogus	0.235	0.644	0.482
cavern	urvas	0.323	0.360	0.365
cavernous	cavernous	0.354	0.548	0.462
caviar	ikrai	0.906	0.394	0.481
caving	alksnis	0.378	0.491	0.551
cavity	ertmė	0.466	0.385	0.379
cayenne	Cayenne	0.615	0.306	0.355
cease	nustoti	0.388	0.250	0.420
ceasefire	ugnies nutraukimas	0.542	0.594	0.567
ceaseless	nepertraukiamas	0.378	0.704	0.658
cedar	kedras	0.560	0.267	0.577
cede	pasitraukti	0.275	0.327	0.402
ceiling	lubos	0.520	0.224	0.366
celebrant	švenčiantis	0.865	0.656	0.643
celebrate	švesti	0.917	0.857	0.859
celebrated	švenčiamas	0.875	0.690	0.763
celebrating	šventė	0.927	0.860	0.773
celebration	šventė	0.939	0.824	0.880
celebrations	šventės	0.958	0.794	0.714
celebratory	šventinis	0.857	0.653	0.845
celebrity	garsenybė	0.760	0.619	0.855
celery	salierai	0.396	0.147	0.223
celestial	dangus	0.817	0.360	0.731
celibacy	celibatas	0.302	0.276	0.509
celibate	celibate	0.419	0.387	0.391
cell	ląstelė	0.541	0.375	0.465
cellar	rūsys	0.510	0.277	0.406
cellblock	cellblock	0.186	0.570	0.500
cellist	violončelė	0.667	0.500	0.486
cellmate	kelnaitė	0.167	0.684	0.349
cello	violončelė	0.635	0.324	0.528
cellophane	celiopanas	0.648	0.282	0.289
cellular	ląstelinis	0.643	0.398	0.517
cellulite	celiulitas	0.200	0.384	0.256
celluloid	celiuloidas	0.469	0.440	0.425
cement	cementas	0.544	0.265	0.527
cemented	cementuotas	0.429	0.382	0.537
cemetery	kapinės	0.051	0.630	0.417
censor	cenzūra	0.344	0.276	0.538
censorship	cenzūra	0.219	0.698	0.421
censure	nepasitikėjimas	0.219	0.653	0.417
census	surašymas	0.449	0.289	0.553
cent	centų	0.439	0.367	0.402
centenary	šimtmetį	0.604	0.440	0.642
centennial	centennial	0.583	0.394	0.700
center	centras	0.643	0.231	0.431
centerfold	centerfold	0.571	0.407	0.485
centerpiece	centrinis elementas	0.594	0.208	0.520
centimeter	centimetras	0.427	0.280	0.380
centipede	šimtakas	0.296	0.399	0.361
central	centrinis	0.640	0.356	0.621
centrality	centrinė dalis	0.571	0.312	0.709
centralization	centralizacija	0.521	0.440	0.702
centralize	centralizuoti	0.684	0.427	0.802
centrally	centralizuotai	0.729	0.280	0.700
centrifugal	išcentrinis	0.306	0.651	0.480
centrifuge	centrifuga	0.495	0.622	0.527
centurion	centurionas	0.590	0.447	0.696
century	amžius	0.407	0.347	0.735
ceramic	keramika	0.521	0.255	0.371
ceramics	keramika	0.573	0.250	0.373
cereal	grūdų	0.612	0.206	0.316
cereals	javai	0.719	0.224	0.311
cerebral	cerebralinis	0.408	0.509	0.627
ceremonial	ceremonija	0.771	0.540	0.691
ceremony	ceremonija	0.760	0.559	0.761
certain	tam tikras	0.760	0.358	0.673
certainty	tikrumas	0.781	0.400	0.769
certifiable	sertifikuota	0.714	0.427	0.662
certificate	pažymėjimas	0.786	0.377	0.746
certified	sertifikuota	0.781	0.422	0.806
certify	patvirtinu	0.866	0.400	0.746
cervical	gimdos kaklelis	0.375	0.413	0.445
cervix	gimdos kaklelis	0.429	0.360	0.340
cess	cess	0.427	0.375	0.406
cessation	nutraukimas	0.414	0.385	0.358
cesspool	išmetimas	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	pelagai	0.333	0.327	0.188
chafing	švaistymas	0.430	0.415	0.368
chagrin	chagrin	0.104	0.704	0.472
chagrined	susižavėjęs	0.112	0.745	0.361
chai	Chai	0.500	0.375	0.363
chain	grandinė	0.378	0.500	0.547
chainsaw	grandininiai pjūklai	0.367	0.804	0.636
chair	kėdė	0.562	0.082	0.276
chairman	pirmininkas	0.656	0.567	0.933
chairperson	pirmininkas	0.730	0.657	0.966
chairwoman	pirmininkė	0.719	0.664	0.953
chaise	treniruotė	0.406	0.349	0.327
chalet	Chalet	0.653	0.349	0.278
chalice	čekis	0.633	0.286	0.529
chalk	kreida	0.385	0.185	0.121
challenge	iššūkis	0.469	0.922	0.713
challenger	varžovas	0.417	0.755	0.652
chamber	kamera	0.583	0.373	0.455
chambermaid	tarnautojas	0.594	0.375	0.336
chambers	kameros	0.542	0.442	0.388
chameleon	chameleonas	0.490	0.580	0.345
champ	čempinas	0.854	0.754	0.896
champagne	šampanas	0.760	0.600	0.454
champion	čempionas	0.890	0.880	0.945
championship	čempionatas	0.833	0.800	0.880
chance	tikimybė	0.833	0.551	0.525
chancellor	kancleris	0.646	0.500	0.887
chandelier	liustra	0.615	0.542	0.366
chandler	Chandler	0.510	0.452	0.454
change	keisti	0.625	0.575	0.606
changeable	kintamas	0.490	0.480	0.528
changed	pasikeitė	0.594	0.375	0.491
changer	keitiklis	0.583	0.519	0.567
changing	keičiasi	0.571	0.569	0.461
channel	kanalas	0.490	0.287	0.405
chant	skanduoti	0.771	0.698	0.650
chaos	chaosas	0.016	0.923	0.373
chaotic	chaotiškas	0.115	0.847	0.442
chap	sek	0.550	0.410	0.345
chapel	koplyčia	0.573	0.240	0.440
chaperon	chaperonas	0.500	0.520	0.404
chaplain	kapelionas	0.582	0.370	0.577
chapman	Chapmanas	0.562	0.529	0.465
chaps	kvailys	0.350	0.462	0.350
chapter	skyrius	0.580	0.308	0.461
char	char	0.554	0.361	0.404
character	charakteris	0.667	0.373	0.686
characteristic	charakteristika	0.583	0.328	0.538
characterize	apibūdinti	0.729	0.471	0.735
charade	šaradas	0.458	0.550	0.346
charcoal	medžio anglis	0.302	0.186	0.342
chardonnay	Chardonnay	0.677	0.567	0.492
charge	mokestis	0.510	0.633	0.785
chargeable	apmokestinamas	0.551	0.550	0.453
charger	įkroviklis	0.531	0.418	0.545
chariot	vežimėlis	0.684	0.550	0.491
charisma	charizma	0.938	0.591	0.759
charismatic	charizmatiškas	0.938	0.684	0.849
charitable	labdaros	0.865	0.380	0.593
charity	labdara	0.920	0.284	0.551
charlatan	charlatanas	0.200	0.640	0.352
charm	žavesio	0.833	0.363	0.649
charmed	susižavėjo	0.938	0.570	0.769
charmer	charmer	0.882	0.683	0.782
charming	žavus	0.917	0.660	0.764
charred	charred	0.208	0.676	0.373
chart	diagrama	0.469	0.317	0.330
charter	užsakomųjų	0.677	0.382	0.518
chartered	užsakyta	0.569	0.460	0.490
chase	Vytis	0.396	0.878	0.623
chased	persekiojo	0.188	0.830	0.287
chaser	chaser	0.375	0.830	0.645
chasm	tresmė	0.265	0.579	0.500
chassis	važiuoklė	0.406	0.342	0.444
chaste	kvaila	0.408	0.248	0.453
chastened	nubaustas	0.156	0.580	0.345
chastisement	bausmė	0.156	0.852	0.462
chastity	lvalumas	0.469	0.392	0.509
chat	pokalbis	0.729	0.400	0.346
chateau	pilis	0.615	0.464	0.702
chatter	pokalbis	0.560	0.450	0.347
chatterbox	girtuoklis	0.459	0.548	0.482
chattering	bangavimas	0.460	0.663	0.304
chatty	pokalbis	0.594	0.548	0.345
chauffeur	vairuotojas	0.500	0.353	0.471
chauvinist	šovinistas	0.310	0.539	0.527
cheap	pigus	0.612	0.471	0.272
cheapened	pigiau	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	apgauti	0.125	0.776	0.400
cheater	apgauti	0.104	0.920	0.333
check	patikrinti	0.523	0.552	0.602
checkbook	čekių knyga	0.552	0.284	0.364
checker	tikrintojas	0.330	0.417	0.553
checkered	klastingas	0.459	0.316	0.336
checkers	šaškės	0.676	0.451	0.437
checklist	kontrolinis sąrašas	0.561	0.521	0.552
checkmate	kontrolinis narys	0.667	0.708	0.750
checkout	atsiskaitymas	0.597	0.510	0.670
checkpoint	kontrolinis punktas	0.571	0.323	0.812
checkup	Patikrinti	0.500	0.435	0.491
cheek	skruostas	0.670	0.314	0.421
cheeks	skruostai	0.708	0.324	0.282
cheeky	įžūlus	0.434	0.679	0.410
cheep	pyragas	0.367	0.380	0.373
cheer	nudžiuginti	0.938	0.784	0.845
cheered	pasveikino	0.875	0.648	0.790
cheerful	linksmas	0.990	0.720	0.696
cheerfulness	linksmas	0.969	0.802	0.675
cheering	linksmas	0.815	0.824	0.642
cheerleader	"cheerleader"	0.923	0.746	0.657
cheerleading	"cheerleading"	0.698	0.769	0.404
cheerless	linksmas	0.204	0.373	0.167
cheers	sveikinimai	0.948	0.770	0.702
cheery	linksmas	0.949	0.657	0.486
cheese	sūris	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	sūrio pyragas	0.860	0.276	0.238
cheesy	sūrio	0.470	0.471	0.179
cheetah	Gepardas	0.469	0.770	0.667
chef	virėjas	0.854	0.411	0.570
chemical	cheminė medžiaga	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	chemikas	0.408	0.575	0.610
chemistry	chemija	0.625	0.520	0.694
chemo	chemija	0.214	0.686	0.444
chemotherapy	chemoterapija	0.163	0.689	0.517
cheque	patikrinti	0.698	0.529	0.660
cherish	puoselėti	0.896	0.491	0.652
cherishing	puoselėjant	0.836	0.380	0.625
cherry	vyšnia	0.688	0.186	0.250
cherub	cherubas	0.663	0.340	0.455
chess	Šachmatai	0.656	0.363	0.518
chest	krūtinė	0.520	0.429	0.481
chestnut	kaštonas	0.714	0.210	0.294
chevron	Chevronas	0.469	0.469	0.598
chew	kramtyti	0.520	0.490	0.404
chewy	kramtyti	0.625	0.418	0.390
chic	prašmatnus	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	viščiukas	0.771	0.602	0.387
chicken	vištiena	0.594	0.306	0.394
chicken pox	vėjaraupiai	0.194	0.510	0.415
chickenpox	vėjaraupiai	0.173	0.562	0.357
chief	vyriausiasis	0.520	0.544	0.869
chiefly	daugiausia	0.600	0.587	0.764
chieftain	vadas	0.343	0.529	0.860
chiffon	šifonas	0.406	0.230	0.250
child	vaikas	0.912	0.460	0.413
childbirth	gimdymas	0.604	0.861	0.673
childhood	vaikystę	0.865	0.413	0.307
childish	vaikiškas	0.573	0.442	0.230
childless	bevaikis	0.310	0.400	0.396
childlike	vaikiškas	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	vaikai	0.857	0.538	0.435
chili	čili	0.592	0.566	0.433
chill	atšaldyti	0.837	0.206	0.482
chilled	atšaldyti	0.521	0.340	0.482
chilling	atšaldymas	0.208	0.850	0.358
chilly	šiltas	0.329	0.459	0.408
chime	skambesys	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	dainos	0.625	0.490	0.402
chimney	kaminas	0.583	0.286	0.225
chimp	šimpanzė	0.394	0.588	0.345
chimpanzee	šimpanzė	0.500	0.633	0.387
chin	smakras	0.571	0.310	0.269
china	Kinija	0.561	0.443	0.556
chinchilla	šinšila	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	Chinook	0.408	0.497	0.491
chip	lustas	0.479	0.382	0.452
chipmunk	burundukas	0.573	0.562	0.409
chipper	smulkintuvas	0.418	0.588	0.500
chipping	skalda	0.354	0.452	0.353
chiropractor	chiropraktikas	0.420	0.549	0.651
chirp	chirp	0.469	0.602	0.365
chirping	skambesys	0.500	0.463	0.360
chisel	chisel	0.469	0.404	0.452
chiseler	kaltininkas	0.429	0.606	0.464
chit	pasidaryk	0.490	0.352	0.321
chitchat	trumpas pašnekesys, papliurpimas	0.673	0.455	0.403
chivalry	riteriai	0.857	0.380	0.848
chloride	chloridas	0.265	0.387	0.474
chlorine	chloras	0.306	0.327	0.332
chloroform	chloroformas	0.281	0.370	0.393
chocolate	šokoladas	0.885	0.480	0.418
choice	pasirinkimas	0.745	0.520	0.664
choir	choras	0.704	0.298	0.473
choke	užspringti	0.167	0.788	0.676
cholera	cholera	0.020	0.867	0.507
cholesterol	cholesterolis	0.198	0.583	0.398
choose	pasirinkti	0.615	0.542	0.648
choosing	pasirenkant	0.719	0.529	0.689
choosy	pasirinktas	0.280	0.760	0.712
chop	supjaustyti	0.250	0.655	0.467
chopper	smulkintuvas	0.594	0.560	0.509
choppers	smulkintuvai	0.469	0.745	0.691
chopping	supjaustyti	0.560	0.625	0.362
chops	kumpiai	0.612	0.420	0.269
choral	choras	0.852	0.290	0.421
chord	akordas	0.729	0.394	0.539
chords	akordai	0.639	0.406	0.388
chore	nuobodi namų ruoša	0.406	0.462	0.500
choreographer	choreografė	0.646	0.639	0.625
choreography	choreografija	0.812	0.750	0.547
chorus	choras	0.620	0.417	0.500
chosen	pasirinkta	0.865	0.449	0.833
chow	Čiau	0.573	0.490	0.390
chowder	berniukas	0.510	0.324	0.241
christ	krikščionis	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	krikštynos	0.725	0.382	0.650
christian	krikščionis	0.760	0.241	0.591
christmas	Kalėdos	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	Kalėdų laikas	0.837	0.588	0.515
chromatic	chromatinis	0.407	0.413	0.435
chromatography	chromatografija	0.480	0.537	0.535
chrome	chromas	0.582	0.373	0.421
chromium	chromas	0.458	0.404	0.447
chromosome	chromosoma	0.500	0.296	0.548
chronic	lėtinis	0.255	0.615	0.464
chronicle	kronika	0.427	0.571	0.586
chronograph	chronografas	0.500	0.392	0.529
chronological	chronologinis	0.594	0.445	0.600
chubby	pilnas	0.531	0.427	0.304
chuck	Chuckas	0.542	0.509	0.413
chuckle	siautėti	0.844	0.736	0.481
chug	kačiukas	0.401	0.413	0.358
chum	čum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	šaknis	0.375	0.451	0.304
chunk	riekė	0.365	0.287	0.214
chunky	kietas	0.520	0.517	0.509
church	bažnyčia	0.708	0.198	0.610
churchyard	šventoriaus	0.296	0.444	0.347
churn	pasipriešinimas	0.316	0.491	0.407
chute	latakas	0.580	0.745	0.455
chutney	Chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	sidras	0.530	0.346	0.398
cigar	cigaras	0.306	0.463	0.346
cigarette	cigarete	0.219	0.528	0.304
cilantro	cilindro	0.469	0.260	0.208
cinch	Cinch	0.450	0.490	0.387
cinder	šlakas	0.350	0.260	0.157
cinema	kinas	0.698	0.538	0.500
cinematic	kino teatras	0.663	0.490	0.600
cinematographer	cinematographer	0.792	0.455	0.711
cinematography	kinematografija	0.781	0.571	0.625
cinnamon	cinamonas	0.600	0.250	0.292
cipher	šifravimas	0.490	0.414	0.500
circle	ratas	0.480	0.290	0.343
circling	sukimasis	0.510	0.654	0.336
circuit	grandinė	0.586	0.461	0.707
circuitry	schema	0.596	0.615	0.536
circular	apskritas	0.562	0.342	0.417
circulate	cirkuliuoti	0.612	0.388	0.320
circulation	apyvarta	0.735	0.520	0.657
circulatory	kraujotaka	0.592	0.575	0.545
circumcision	apipjaustymas	0.327	0.657	0.528
circumference	perimetras	0.458	0.255	0.488
circumferential	perimetrinis	0.551	0.422	0.509
circumscribed	apribota	0.365	0.539	0.569
circumstance	aplinkybė	0.520	0.565	0.596
circumstances	aplinkybes	0.562	0.527	0.464
circumstantial	netiesioginis	0.500	0.538	0.519
circumvent	apeiti	0.316	0.642	0.383
circumvention	vengimas	0.531	0.571	0.473
circus	cirkas	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirozė	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	cisterna	0.541	0.413	0.432
citadel	citadelė	0.585	0.464	0.602
citation	citavimas	0.570	0.549	0.508
cite	citata	0.625	0.454	0.532
citizen	pilietis	0.631	0.250	0.586
citizenship	pilietybė	0.786	0.404	0.723
citrine	citrinas	0.375	0.400	0.420
citrus	citrusiniai vaisiai	0.469	0.368	0.375
city	miestas	0.847	0.531	0.508
citywide	Citywide	0.592	0.509	0.707
civic	pilietinis	0.653	0.240	0.573
civics	pilietiškumas	0.700	0.279	0.720
civil	civilinis	0.521	0.281	0.517
civilian	civilinis	0.700	0.229	0.598
civilians	civiliai gyventojai	0.490	0.448	0.525
civility	malonumas	0.760	0.306	0.679
civilization	civilizacija	0.823	0.452	0.839
civilized	civilizuotas	0.792	0.231	0.796
clad	plakiruoti	0.583	0.373	0.481
claim	pretenzija	0.255	0.760	0.473
claimant	ieškovas	0.271	0.690	0.779
clairvoyant	aiškiaregis	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	gobtuvėlis	0.542	0.540	0.429
clammy	drėgnas	0.354	0.440	0.236
clamor	šoktelėti	0.438	0.643	0.360
clamp	gnybtas	0.541	0.388	0.454
clan	klanas	0.562	0.491	0.686
clandestine	slapta	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	ploti	0.779	0.731	0.529
clapper	drožtuvas	0.500	0.229	0.420
clapping	plakimas	0.823	0.894	0.686
clarification	paaiškinimas	0.802	0.461	0.613
clarify	išsiaiškinti	0.652	0.535	0.625
clarinet	klarnetas	0.592	0.453	0.411
clarion	klarionas	0.500	0.443	0.422
clarity	aiškumas	0.796	0.310	0.631
clash	susidūrimas	0.293	0.918	0.453
clashing	susidūrimas	0.177	0.764	0.575
clasp	užsegimas	0.448	0.375	0.241
class	klasė	0.656	0.314	0.522
classic	klasikinis	0.690	0.260	0.611
classic rock	klasikinis rokas	0.729	0.571	0.588
classical	klasikinis	0.643	0.198	0.536
classics	klasika	0.750	0.333	0.510
classification	klasifikacija	0.583	0.423	0.613
classified	klasifikuojama	0.571	0.460	0.663
classify	klasifikuoti	0.646	0.411	0.720
classmate	klasiokas	0.781	0.400	0.593
classroom	klasė	0.539	0.292	0.363
classy	madingas	0.917	0.410	0.649
clatter	garsas	0.418	0.820	0.387
clause	sąlyga	0.480	0.409	0.528
clauses	išlygos	0.449	0.429	0.545
claustrophobia	klaustrofobija	0.125	0.840	0.333
claustrophobic	klaustrofobinis	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	kiškis	0.260	0.600	0.598
claws	nagai	0.281	0.698	0.562
clay	molis	0.542	0.250	0.267
clean	švarus	0.827	0.170	0.500
cleaner	švaresnis	0.604	0.556	0.375
cleaning	valymas	0.595	0.396	0.427
cleanliness	švara	0.816	0.363	0.609
cleanly	švariai	0.823	0.352	0.583
cleanse	valyti	0.625	0.310	0.660
cleanser	valiklis	0.604	0.353	0.433
cleansing	valymas	0.729	0.298	0.472
cleanup	Išvalyti	0.729	0.314	0.451
clear	aišku	0.857	0.327	0.573
clearance	klirensas	0.542	0.459	0.473
clearing	valymas	0.680	0.333	0.509
clearness	aiškumas	0.875	0.316	0.689
cleat	griovelis	0.486	0.260	0.361
cleavage	skilimas	0.542	0.602	0.454
cleave	atsikratyti	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	clef	0.615	0.360	0.595
cleft	skiltis	0.306	0.442	0.360
clemency	gailestingumas	0.594	0.417	0.397
clench	sutraukti	0.438	0.618	0.580
clergy	dvasininkai	0.531	0.312	0.575
clergyman	dvasininkas	0.594	0.330	0.556
cleric	klerikas	0.521	0.324	0.589
clerical	klerikas	0.520	0.396	0.491
clerk	sekretorius	0.500	0.579	0.509
clerkship	clerkship	0.582	0.380	0.596
clever	protingas	0.896	0.353	0.729
cleverness	protingumas	0.878	0.509	0.921
click	spustelėkite	0.536	0.365	0.268
clicker	"clicker"	0.418	0.490	0.463
client	klientas	0.583	0.450	0.618
clientele	klientai	0.625	0.577	0.508
cliff	uolos	0.361	0.620	0.509
climate	klimatas	0.635	0.240	0.483
climatology	klimatologija	0.531	0.367	0.541
climax	kulminacija	0.735	0.853	0.667
climb	lipti	0.615	0.660	0.604
climber	alpinistas	0.573	0.716	0.735
clinch	klinchas	0.469	0.538	0.430
cling	klijuoti	0.417	0.620	0.588
clingy	klampumas	0.224	0.460	0.370
clinic	klinika	0.469	0.439	0.600
clinical	klinikinis	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	klipas	0.438	0.310	0.381
clipboard	iškarpinę	0.594	0.255	0.423
clipper	kirpėjas	0.293	0.422	0.383
clipping	apkarpymas	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	klitoris	0.625	0.844	0.464
cloak	apsiaustas	0.469	0.188	0.333
cloaking	maskavimas	0.521	0.595	0.389
cloakroom	rūbinė	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	laikrodis	0.677	0.173	0.407
clockwork	laikrodis	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	užkimšti	0.104	0.618	0.454
cloister	vienuolynas	0.438	0.413	0.475
clone	klonas	0.406	0.471	0.524
cloning	klonavimas	0.216	0.696	0.679
close	Uždaryti	0.292	0.260	0.263
closed	uždaryta	0.240	0.164	0.318
closeness	artimas	0.796	0.237	0.450
closet	spinta	0.531	0.204	0.330
closure	uždarymas	0.229	0.220	0.412
clot	krešulys	0.150	0.558	0.275
cloth	audinys	0.510	0.190	0.287
clothe	apranga	0.797	0.330	0.481
clothes	drabužiai	0.833	0.270	0.414
clothesline	drabužių linija	0.582	0.324	0.366
clothing	apranga	0.750	0.343	0.407
cloud	debesys	0.740	0.133	0.342
clouded	debesuota	0.240	0.213	0.302
cloudiness	debesuotumas	0.469	0.250	0.343
clouds	debesys	0.735	0.195	0.324
cloudy	Debesuota	0.281	0.280	0.202
clout	įtaka	0.584	0.636	0.704
clove	gvazdikėliai	0.439	0.296	0.315
clover	dobilas	0.605	0.340	0.364
cloves	gvazdikėliai	0.427	0.218	0.396
clown	klounas	0.650	0.598	0.300
clowns	klaunai	0.600	0.673	0.391
club	klubas	0.646	0.618	0.393
clubhouse	klubo klubas	0.694	0.571	0.493
clubs	klubai	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	raktas	0.653	0.380	0.412
clueless	Clueless	0.350	0.333	0.161
clump	clump	0.551	0.480	0.582
clumsy	gremėzdiškas	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	klasteris	0.490	0.458	0.446
clutch	sankaba	0.383	0.500	0.491
clutches	sankabos	0.542	0.373	0.528
clutter	netvarką	0.135	0.598	0.400
coach	treneris	0.633	0.823	0.735
coachman	treneris	0.479	0.394	0.509
coagulation	krešėjimas	0.381	0.558	0.436
coal	anglis	0.360	0.241	0.340
coalesce	susijungia	0.479	0.434	0.529
coalition	koalicija	0.490	0.730	0.673
coarse	šiurkštus	0.333	0.481	0.481
coast	pakrantė	0.719	0.396	0.458
coastal	pakrantės	0.604	0.370	0.510
coaster	coaster	0.612	0.788	0.627
coastline	pakrantė	0.745	0.282	0.441
coat	kailis	0.677	0.256	0.464
coating	danga	0.620	0.440	0.596
coax	prisiminti	0.367	0.400	0.447
cobalt	kobaltas	0.408	0.325	0.441
cobble	bobble	0.448	0.385	0.368
cobbler	cobbler	0.510	0.415	0.318
cobra	kobra	0.312	0.712	0.600
cocaine	kokainas	0.156	0.840	0.373
cock	gaidys	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	kabina	0.520	0.424	0.343
cockroach	tarakonas	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	kokteilis	0.740	0.480	0.381
cocky	pasipūtęs	0.260	0.784	0.519
cocoa	kakava	0.776	0.255	0.322
coconut	kokosas	0.622	0.265	0.227
cocoon	kokonas	0.470	0.280	0.290
cod	menkė	0.510	0.321	0.304
code	kodas	0.583	0.308	0.491
codeine	kodeinas	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	menkė	0.490	0.245	0.300
codification	kodifikavimas	0.448	0.400	0.698
codify	kodifikuoti	0.448	0.410	0.679
coding	kodavimas	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	koeficientas	0.677	0.415	0.702
coerce	priversti	0.260	0.741	0.517
coercion	prievarta	0.330	0.708	0.577
coercive	prievartos	0.479	0.670	0.506
coexist	kartu egzistuoja	0.708	0.460	0.536
coexistence	sambūvio	0.588	0.472	0.638
coexisting	kartu egzistuojanti	0.551	0.349	0.648
coffee	kava	0.823	0.418	0.309
coffee table	kavos stalelis	0.720	0.339	0.295
coffeehouse	kavos namai	0.694	0.357	0.307
coffeepot	kavinukas	0.760	0.333	0.312
coffin	karstą	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	įtikinamai	0.765	0.479	0.836
cognac	konjakas	0.615	0.510	0.430
cognate	giminaitis	0.615	0.350	0.398
cognition	pažinimas	0.635	0.344	0.706
