Word	Dutch-nl	Valence	Arousal	Dominance
canonical	kanoniek	0.542	0.410	0.620
canons	canons	0.385	0.588	0.593
canopy	baldakijn	0.615	0.264	0.398
cantaloupe	kantaloepa	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	kantine	0.688	0.600	0.514
canterbury	Canterbury	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	console	0.357	0.618	0.421
cantina	cantina	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	kanton	0.542	0.472	0.536
cantstandit	cantstandit	0.418	0.546	0.343
cantwin	cantwin	0.260	0.509	0.298
canvas	canvas	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	canyon	0.468	0.731	0.634
cap	pet	0.612	0.240	0.375
capability	geschiktheid	0.833	0.571	0.730
capable	in staat	0.765	0.587	0.547
capacity	capaciteit	0.719	0.411	0.806
cape	kaap	0.531	0.235	0.357
caper	kappertje	0.510	0.370	0.326
capillary	capillair	0.469	0.365	0.395
capital	hoofdstad	0.520	0.500	0.798
capitalism	kapitalisme	0.448	0.686	0.848
capitalist	kapitalist	0.352	0.577	0.821
capitalize	kapitaliseren	0.771	0.601	0.885
capitals	hoofdsteden	0.755	0.500	0.655
capitation	capitation	0.479	0.529	0.589
capitol	Capitol	0.535	0.375	0.705
capitulation	capitulatie	0.375	0.546	0.615
cappuccino	cappuccino	0.792	0.279	0.384
caprice	gril	0.333	0.640	0.430
capricious	grillig	0.221	0.650	0.500
caps	caps	0.510	0.221	0.368
capslock	Caps Lock	0.330	0.394	0.398
capsule	capsule	0.583	0.290	0.570
captain	gezagvoerder	0.552	0.653	0.966
caption	onderschrift	0.814	0.292	0.379
captivate	boeien	0.698	0.604	0.723
captivating	boeiende	0.895	0.594	0.816
captive	gevangen	0.235	0.558	0.411
captivity	gevangenschap	0.225	0.493	0.387
captor	vanger	0.347	0.625	0.612
capture	gevangen nemen	0.357	0.650	0.537
car	auto	0.776	0.540	0.500
caramel	karamel	0.901	0.363	0.400
carat	karaat	0.823	0.604	0.676
caravan	caravan	0.635	0.559	0.455
carbon	koolstof	0.604	0.360	0.350
carburetor	carburator	0.469	0.612	0.555
carcass	karkas	0.115	0.529	0.309
carcinoma	carcinoom	0.153	0.692	0.440
card	kaart	0.531	0.269	0.436
cardboard	karton	0.500	0.173	0.309
cardiac	hart-	0.344	0.765	0.615
cardigan	Cardigan	0.599	0.324	0.264
cardinal	kardinaal	0.583	0.358	0.712
cardiologist	cardioloog	0.458	0.630	0.814
cardiology	cardiologie	0.203	0.545	0.605
cardiomyopathy	cardiomyopathie	0.177	0.645	0.537
cards	kaarten	0.568	0.317	0.320
care	zorg	0.729	0.370	0.500
career	carrière	0.740	0.712	0.606
carefree	zorgeloos	0.755	0.220	0.500
careful	voorzichtig	0.625	0.538	0.530
carefully	voorzichtig	0.698	0.330	0.544
careless	zorgeloos	0.255	0.431	0.125
carelessness	slordigheid	0.245	0.482	0.330
caress	strelen	0.833	0.418	0.509
caret	dakje	0.656	0.402	0.527
caretaker	huisbewaarder	0.714	0.531	0.759
cargo	lading	0.408	0.444	0.455
caribou	Caribou	0.562	0.452	0.342
caricature	karikatuur	0.604	0.373	0.383
caries	cariës	0.115	0.569	0.283
caring	zorgzaam	0.635	0.469	0.500
carjack	carjack	0.438	0.682	0.439
carnage	bloedbad	0.406	0.600	0.558
carnal	vleselijk	0.417	0.679	0.421
carnation	anjer	0.653	0.357	0.431
carnival	carnaval	0.927	0.888	0.555
carnivorous	vleesetend	0.224	0.613	0.651
carol	Carol	0.673	0.412	0.436
carols	carols	0.847	0.420	0.491
carousel	carrousel	0.704	0.500	0.412
carp	karper	0.531	0.324	0.375
carpal	carpaal	0.449	0.327	0.420
carpenter	timmerman	0.521	0.550	0.519
carpentry	timmerwerk	0.561	0.459	0.518
carpet	tapijt	0.520	0.170	0.339
carpeting	vloerbedekking	0.542	0.312	0.444
carpool	carpool	0.625	0.509	0.500
carriage	vervoer	0.650	0.538	0.491
carried	gedragen	0.490	0.382	0.534
carrier	carrier	0.533	0.588	0.638
carrot	wortel	0.500	0.235	0.279
carry	dragen	0.635	0.380	0.500
carrying	vervoer	0.656	0.557	0.443
carsick	carsick	0.224	0.574	0.255
cart	kar	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	kartel	0.438	0.394	0.602
carter	voerman	0.312	0.480	0.431
cartilage	kraakbeen	0.438	0.370	0.407
cartographic	cartografische	0.490	0.348	0.424
cartography	cartografie	0.520	0.300	0.579
carton	karton	0.286	0.186	0.241
cartoon	spotprent	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	patroon	0.458	0.500	0.407
carve	kerven	0.469	0.443	0.598
carver	voorsnijder	0.418	0.500	0.500
carving	snijwerk	0.541	0.444	0.368
cascade	cascade	0.735	0.509	0.395
case	geval	0.427	0.275	0.441
casein	caseïne	0.470	0.436	0.415
cash	contant geld	0.867	0.552	0.714
cashier	Kassa	0.615	0.413	0.484
cashmere	kasjmier	0.653	0.452	0.439
casing	omhulsel	0.458	0.327	0.328
casino	casino	0.542	0.684	0.568
cask	vat	0.490	0.398	0.444
casket	kistje	0.125	0.490	0.346
casserole	braadpan	0.570	0.360	0.328
cassette	cassette	0.490	0.334	0.355
cast	gegoten	0.558	0.620	0.517
castaway	verstoten	0.208	0.646	0.422
caste	kaste	0.510	0.333	0.374
caster	gieter	0.604	0.670	0.647
castle	kasteel	0.680	0.396	0.718
castor	castor	0.583	0.337	0.368
castrate	castreren	0.177	0.485	0.519
castration	castratie	0.198	0.735	0.381
casual	toevallig	0.643	0.224	0.385
casually	toevallig	0.658	0.290	0.333
casualty	ongeval	0.235	0.274	0.132
cat	kat	0.667	0.260	0.370
catabolism	katabolisme	0.265	0.573	0.605
catalog	catalogus	0.561	0.221	0.573
catalogue	catalogus	0.647	0.327	0.533
catalysis	katalyse	0.385	0.559	0.531
catalyst	katalysator	0.604	0.509	0.585
catalytic	katalytische	0.562	0.519	0.563
catamaran	katamaran	0.571	0.566	0.526
catapult	katapult	0.480	0.830	0.649
cataract	staar	0.406	0.545	0.549
catastrophe	catastrofe	0.146	0.952	0.670
catastrophic	katastrofisch	0.071	0.934	0.598
catatonic	catatonische	0.255	0.500	0.509
catch	vangst	0.531	0.437	0.552
catcher	vanger	0.653	0.413	0.540
catching	vangen	0.490	0.788	0.644
catchphrase	slogan	0.698	0.423	0.433
catchy	catchy	0.677	0.441	0.462
catechism	catechismus	0.656	0.236	0.613
categorical	categorisch	0.615	0.442	0.760
category	categorie	0.571	0.264	0.521
cater	tegemoet te komen	0.802	0.500	0.509
caterer	traiteur	0.550	0.557	0.644
caterpillar	rups-	0.461	0.286	0.330
cates	Cates	0.370	0.394	0.407
catfish	meerval	0.458	0.337	0.296
cathartic	purgeermiddel	0.450	0.510	0.604
cathedral	kathedraal	0.598	0.330	0.643
catheter	katheter	0.336	0.491	0.373
catholic	Katholiek	0.646	0.240	0.575
cathouse	cathouse	0.327	0.375	0.363
catnip	kattenkruid	0.439	0.381	0.296
cattle	vee	0.622	0.340	0.445
catwalk	catwalk	0.698	0.436	0.464
caucus	caucus	0.418	0.311	0.491
caudal	staart-	0.500	0.425	0.583
cauldron	ketel	0.510	0.486	0.418
cauliflower	bloemkool	0.448	0.255	0.231
caulk	kalefateren	0.367	0.500	0.418
causal	oorzakelijk	0.562	0.367	0.491
causality	oorzakelijk verband	0.500	0.378	0.336
causation	oorzakelijkheid	0.562	0.480	0.567
cause	oorzaak	0.469	0.373	0.486
caused	veroorzaakt	0.344	0.520	0.382
causeway	dam	0.453	0.382	0.422
caution	voorzichtigheid	0.552	0.712	0.547
cautionary	waarschuwend	0.510	0.541	0.519
cautious	voorzichtig	0.470	0.445	0.517
cautiously	behoedzaam	0.510	0.388	0.525
cavalier	ridder	0.735	0.462	0.713
cavalry	cavalerie	0.667	0.727	0.794
cave	grot	0.459	0.333	0.380
caveat	caveat	0.344	0.629	0.484
caveman	holbewoner	0.235	0.644	0.482
cavern	grot	0.323	0.360	0.365
cavernous	hol	0.354	0.548	0.462
caviar	kaviaar	0.906	0.394	0.481
caving	speleologie	0.378	0.491	0.551
cavity	holte	0.466	0.385	0.379
cayenne	cayenne	0.615	0.306	0.355
cease	ophouden	0.388	0.250	0.420
ceasefire	wapenstilstand	0.542	0.594	0.567
ceaseless	onophoudelijk	0.378	0.704	0.658
cedar	ceder	0.560	0.267	0.577
cede	afstaan	0.275	0.327	0.402
ceiling	plafond	0.520	0.224	0.366
celebrant	celebrant	0.865	0.656	0.643
celebrate	vieren	0.917	0.857	0.859
celebrated	beroemd	0.875	0.690	0.763
celebrating	vieren	0.927	0.860	0.773
celebration	viering	0.939	0.824	0.880
celebrations	vieringen	0.958	0.794	0.714
celebratory	feestelijke	0.857	0.653	0.845
celebrity	beroemdheid	0.760	0.619	0.855
celery	selderij	0.396	0.147	0.223
celestial	hemel-	0.817	0.360	0.731
celibacy	celibaat	0.302	0.276	0.509
celibate	celibatair	0.419	0.387	0.391
cell	cel	0.541	0.375	0.465
cellar	kelder	0.510	0.277	0.406
cellblock	cel blok	0.186	0.570	0.500
cellist	cellist	0.667	0.500	0.486
cellmate	celgenoot	0.167	0.684	0.349
cello	cello	0.635	0.324	0.528
cellophane	cellofaan	0.648	0.282	0.289
cellular	cellulair	0.643	0.398	0.517
cellulite	cellulitis	0.200	0.384	0.256
celluloid	celluloïde	0.469	0.440	0.425
cement	cement	0.544	0.265	0.527
cemented	gecementeerd	0.429	0.382	0.537
cemetery	begraafplaats	0.051	0.630	0.417
censor	censor	0.344	0.276	0.538
censorship	censuur	0.219	0.698	0.421
censure	afkeuring	0.219	0.653	0.417
census	volkstelling	0.449	0.289	0.553
cent	cent	0.439	0.367	0.402
centenary	eeuwfeest	0.604	0.440	0.642
centennial	honderdjarig	0.583	0.394	0.700
center	centrum	0.643	0.231	0.431
centerfold	centerfold	0.571	0.407	0.485
centerpiece	middelpunt	0.594	0.208	0.520
centimeter	centimeter	0.427	0.280	0.380
centipede	duizendpoot	0.296	0.399	0.361
central	centraal	0.640	0.356	0.621
centrality	centraliteit	0.571	0.312	0.709
centralization	centralisatie	0.521	0.440	0.702
centralize	centraliseren	0.684	0.427	0.802
centrally	centraal	0.729	0.280	0.700
centrifugal	centrifugaal	0.306	0.651	0.480
centrifuge	centrifuge	0.495	0.622	0.527
centurion	centurion	0.590	0.447	0.696
century	eeuw	0.407	0.347	0.735
ceramic	keramisch	0.521	0.255	0.371
ceramics	keramiek	0.573	0.250	0.373
cereal	cornflakes	0.612	0.206	0.316
cereals	granen	0.719	0.224	0.311
cerebral	hersen-	0.408	0.509	0.627
ceremonial	ceremonieel	0.771	0.540	0.691
ceremony	ceremonie	0.760	0.559	0.761
certain	zeker	0.760	0.358	0.673
certainty	zekerheid	0.781	0.400	0.769
certifiable	certificeerbaar	0.714	0.427	0.662
certificate	certificaat	0.786	0.377	0.746
certified	gecertificeerde	0.781	0.422	0.806
certify	waarmerken	0.866	0.400	0.746
cervical	hals-	0.375	0.413	0.445
cervix	hals	0.429	0.360	0.340
cess	Cess	0.427	0.375	0.406
cessation	het ophouden	0.414	0.385	0.358
cesspool	beerput	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	kaf	0.333	0.327	0.188
chafing	schuren	0.430	0.415	0.368
chagrin	verdriet	0.104	0.704	0.472
chagrined	chagrijnig	0.112	0.745	0.361
chai	chai	0.500	0.375	0.363
chain	keten	0.378	0.500	0.547
chainsaw	kettingzaag	0.367	0.804	0.636
chair	stoel	0.562	0.082	0.276
chairman	Voorzitter	0.656	0.567	0.933
chairperson	voorzitter	0.730	0.657	0.966
chairwoman	voorzitter	0.719	0.664	0.953
chaise	sjees	0.406	0.349	0.327
chalet	chalet	0.653	0.349	0.278
chalice	kelk	0.633	0.286	0.529
chalk	krijt	0.385	0.185	0.121
challenge	uitdaging	0.469	0.922	0.713
challenger	uitdager	0.417	0.755	0.652
chamber	kamer	0.583	0.373	0.455
chambermaid	kamermeisje	0.594	0.375	0.336
chambers	kamers	0.542	0.442	0.388
chameleon	kameleon	0.490	0.580	0.345
champ	champ	0.854	0.754	0.896
champagne	Champagne	0.760	0.600	0.454
champion	kampioen	0.890	0.880	0.945
championship	kampioenschap	0.833	0.800	0.880
chance	kans	0.833	0.551	0.525
chancellor	kanselier	0.646	0.500	0.887
chandelier	kroonluchter	0.615	0.542	0.366
chandler	kaarsenmaker	0.510	0.452	0.454
change	verandering	0.625	0.575	0.606
changeable	veranderlijk	0.490	0.480	0.528
changed	veranderd	0.594	0.375	0.491
changer	wisselaar	0.583	0.519	0.567
changing	veranderen	0.571	0.569	0.461
channel	kanaal	0.490	0.287	0.405
chant	zingen	0.771	0.698	0.650
chaos	chaos	0.016	0.923	0.373
chaotic	chaotisch	0.115	0.847	0.442
chap	kerel	0.550	0.410	0.345
chapel	kapel	0.573	0.240	0.440
chaperon	chaperonne	0.500	0.520	0.404
chaplain	kapelaan	0.582	0.370	0.577
chapman	venter	0.562	0.529	0.465
chaps	chaps	0.350	0.462	0.350
chapter	hoofdstuk	0.580	0.308	0.461
char	verkolen	0.554	0.361	0.404
character	karakter	0.667	0.373	0.686
characteristic	karakteristiek	0.583	0.328	0.538
characterize	karakteriseren	0.729	0.471	0.735
charade	charade	0.458	0.550	0.346
charcoal	houtskool	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	in rekening brengen	0.510	0.633	0.785
chargeable	laste	0.551	0.550	0.453
charger	lader	0.531	0.418	0.545
chariot	wagen	0.684	0.550	0.491
charisma	charisma	0.938	0.591	0.759
charismatic	charismatische	0.938	0.684	0.849
charitable	liefdadig	0.865	0.380	0.593
charity	goed doel	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	betoveren	0.833	0.363	0.649
charmed	ingenomen	0.938	0.570	0.769
charmer	tovenaar	0.882	0.683	0.782
charming	charmant	0.917	0.660	0.764
charred	verkoolde	0.208	0.676	0.373
chart	tabel	0.469	0.317	0.330
charter	charter	0.677	0.382	0.518
chartered	gecharterde	0.569	0.460	0.490
chase	jacht	0.396	0.878	0.623
chased	achtervolgd	0.188	0.830	0.287
chaser	jager	0.375	0.830	0.645
chasm	kloof	0.265	0.579	0.500
chassis	chassis	0.406	0.342	0.444
chaste	kuis	0.408	0.248	0.453
chastened	gekastijd	0.156	0.580	0.345
chastisement	kastijding	0.156	0.852	0.462
chastity	kuisheid	0.469	0.392	0.509
chat	babbelen	0.729	0.400	0.346
chateau	kasteel	0.615	0.464	0.702
chatter	klapperen	0.560	0.450	0.347
chatterbox	kletskous	0.459	0.548	0.482
chattering	chattering	0.460	0.663	0.304
chatty	spraakzaam	0.594	0.548	0.345
chauffeur	chauffeur	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	goedkoop	0.612	0.471	0.272
cheapened	cheapened	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	bedriegen	0.125	0.776	0.400
cheater	cheater	0.104	0.920	0.333
check	controleren	0.523	0.552	0.602
checkbook	chequeboek	0.552	0.284	0.364
checker	controleur	0.330	0.417	0.553
checkered	geruit	0.459	0.316	0.336
checkers	damspel	0.676	0.451	0.437
checklist	checklist	0.561	0.521	0.552
checkmate	schaakmat	0.667	0.708	0.750
checkout	uitchecken	0.597	0.510	0.670
checkpoint	checkpoint	0.571	0.323	0.812
checkup	controle	0.500	0.435	0.491
cheek	wang	0.670	0.314	0.421
cheeks	wangen	0.708	0.324	0.282
cheeky	brutaal	0.434	0.679	0.410
cheep	gepiep	0.367	0.380	0.373
cheer	juichen	0.938	0.784	0.845
cheered	juichten	0.875	0.648	0.790
cheerful	vrolijk	0.990	0.720	0.696
cheerfulness	opgewektheid	0.969	0.802	0.675
cheering	cheering	0.815	0.824	0.642
cheerleader	cheerleader	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	ongezellig	0.204	0.373	0.167
cheers	proost	0.948	0.770	0.702
cheery	vrolijk	0.949	0.657	0.486
cheese	kaas	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	kwarktaart	0.860	0.276	0.238
cheesy	kaasachtig	0.470	0.471	0.179
cheetah	cheetah	0.469	0.770	0.667
chef	chef	0.854	0.411	0.570
chemical	chemisch	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	scheikundige	0.408	0.575	0.610
chemistry	chemie	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	chemotherapie	0.163	0.689	0.517
cheque	controleren	0.698	0.529	0.660
cherish	koesteren	0.896	0.491	0.652
cherishing	koesteren	0.836	0.380	0.625
cherry	kers-	0.688	0.186	0.250
cherub	cherubijn	0.663	0.340	0.455
chess	schaak	0.656	0.363	0.518
chest	borst	0.520	0.429	0.481
chestnut	kastanje	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	kauwen	0.520	0.490	0.404
chewy	taai	0.625	0.418	0.390
chic	chique	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	kuiken	0.771	0.602	0.387
chicken	kip	0.594	0.306	0.394
chicken pox	waterpokken	0.194	0.510	0.415
chickenpox	waterpokken	0.173	0.562	0.357
chief	chef	0.520	0.544	0.869
chiefly	hoofdzakelijk	0.600	0.587	0.764
chieftain	opperhoofd	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	kind	0.912	0.460	0.413
childbirth	bevalling	0.604	0.861	0.673
childhood	kinderjaren	0.865	0.413	0.307
childish	kinderachtig	0.573	0.442	0.230
childless	kinderloos	0.310	0.400	0.396
childlike	kinderlijk	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	kinderen	0.857	0.538	0.435
chili	Chili	0.592	0.566	0.433
chill	kilte	0.837	0.206	0.482
chilled	gekoeld	0.521	0.340	0.482
chilling	koelen	0.208	0.850	0.358
chilly	koud	0.329	0.459	0.408
chime	klokkenspel	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	klokkenspel	0.625	0.490	0.402
chimney	schoorsteen	0.583	0.286	0.225
chimp	chimpansee	0.394	0.588	0.345
chimpanzee	chimpansee	0.500	0.633	0.387
chin	kin	0.571	0.310	0.269
china	China	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	spaander	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	chippen	0.354	0.452	0.353
chiropractor	chiropraxie	0.420	0.549	0.651
chirp	piepen	0.469	0.602	0.365
chirping	getjilp	0.500	0.463	0.360
chisel	beitel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	briefje	0.490	0.352	0.321
chitchat	gekeuvel	0.673	0.455	0.403
chivalry	ridderlijkheid	0.857	0.380	0.848
chloride	chloride	0.265	0.387	0.474
chlorine	chloor-	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	chocola	0.885	0.480	0.418
choice	keuze	0.745	0.520	0.664
choir	koor	0.704	0.298	0.473
choke	stikken	0.167	0.788	0.676
cholera	cholera	0.020	0.867	0.507
cholesterol	cholesterol	0.198	0.583	0.398
choose	Kiezen	0.615	0.542	0.648
choosing	kiezen	0.719	0.529	0.689
choosy	kieskeurig	0.280	0.760	0.712
chop	karbonade	0.250	0.655	0.467
chopper	bijl	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	hakken	0.560	0.625	0.362
chops	karbonades	0.612	0.420	0.269
choral	koor-	0.852	0.290	0.421
chord	akkoord	0.729	0.394	0.539
chords	akkoorden	0.639	0.406	0.388
chore	karwei	0.406	0.462	0.500
choreographer	choreograaf	0.646	0.639	0.625
choreography	choreography	0.812	0.750	0.547
chorus	koor	0.620	0.417	0.500
chosen	uitgekozen	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	Christus	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	doop	0.725	0.382	0.650
christian	Christelijk	0.760	0.241	0.591
christmas	Kerstmis	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	Kerst-	0.875	0.698	0.602
christmastime	kersttijd	0.837	0.588	0.515
chromatic	chromatisch	0.407	0.413	0.435
chromatography	chromatografie	0.480	0.537	0.535
chrome	chroom	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	chromosome	0.500	0.296	0.548
chronic	chronisch	0.255	0.615	0.464
chronicle	kroniek	0.427	0.571	0.586
chronograph	chronograaf	0.500	0.392	0.529
chronological	chronologisch	0.594	0.445	0.600
chubby	mollig	0.531	0.427	0.304
chuck	klauwplaat	0.542	0.509	0.413
chuckle	gniffel	0.844	0.736	0.481
chug	puffen	0.401	0.413	0.358
chum	kameraad	0.911	0.347	0.518
chummy	intiem	0.760	0.420	0.610
chump	Chump	0.375	0.451	0.304
chunk	brok	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	kerk	0.708	0.198	0.610
churchyard	kerkhof	0.296	0.444	0.347
churn	karnen	0.316	0.491	0.407
chute	chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	doei	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	sigaar	0.306	0.463	0.346
cigarette	sigaret	0.219	0.528	0.304
cilantro	koriander	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	sintel	0.350	0.260	0.157
cinema	bioscoop	0.698	0.538	0.500
cinematic	filmische	0.663	0.490	0.600
cinematographer	cameraman	0.792	0.455	0.711
cinematography	cinematografie	0.781	0.571	0.625
cinnamon	kaneel	0.600	0.250	0.292
cipher	cijfer	0.490	0.414	0.500
circle	cirkel	0.480	0.290	0.343
circling	cirkelen	0.510	0.654	0.336
circuit	circuit	0.586	0.461	0.707
circuitry	circuits	0.596	0.615	0.536
circular	circulaire	0.562	0.342	0.417
circulate	circuleren	0.612	0.388	0.320
circulation	circulatie	0.735	0.520	0.657
circulatory	bloedsomloop	0.592	0.575	0.545
circumcision	besnijdenis	0.327	0.657	0.528
circumference	omtrek	0.458	0.255	0.488
circumferential	omlopende	0.551	0.422	0.509
circumscribed	omcirkeld	0.365	0.539	0.569
circumstance	omstandigheid	0.520	0.565	0.596
circumstances	situatie	0.562	0.527	0.464
circumstantial	bijkomstig	0.500	0.538	0.519
circumvent	ontduiken	0.316	0.642	0.383
circumvention	omzeiling	0.531	0.571	0.473
circus	circus	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirrhosis	0.079	0.602	0.370
cirrus	vederwolk	0.470	0.451	0.348
cistern	regenbak	0.541	0.413	0.432
citadel	citadel	0.585	0.464	0.602
citation	citaat	0.570	0.549	0.508
cite	citeren	0.625	0.454	0.532
citizen	inwoner	0.631	0.250	0.586
citizenship	burgerschap	0.786	0.404	0.723
citrine	citroengeel	0.375	0.400	0.420
citrus	citrus-	0.469	0.368	0.375
city	stad	0.847	0.531	0.508
citywide	stadsbreed	0.592	0.509	0.707
civic	burgerlijk	0.653	0.240	0.573
civics	staatsinrichting	0.700	0.279	0.720
civil	civiel	0.521	0.281	0.517
civilian	civiel	0.700	0.229	0.598
civilians	burgers	0.490	0.448	0.525
civility	beleefdheid	0.760	0.306	0.679
civilization	beschaving	0.823	0.452	0.839
civilized	beschaafd	0.792	0.231	0.796
clad	gekleed	0.583	0.373	0.481
claim	vordering	0.255	0.760	0.473
claimant	eiser	0.271	0.690	0.779
clairvoyant	helderziende	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	klam	0.354	0.440	0.236
clamor	geschreeuw	0.438	0.643	0.360
clamp	klem	0.541	0.388	0.454
clan	stam	0.562	0.491	0.686
clandestine	clandestien	0.425	0.677	0.469
clang	kletteren	0.459	0.520	0.510
clap	klap	0.779	0.731	0.529
clapper	klepel	0.500	0.229	0.420
clapping	klappen	0.823	0.894	0.686
clarification	verduidelijking	0.802	0.461	0.613
clarify	nader toelichten	0.652	0.535	0.625
clarinet	klarinet	0.592	0.453	0.411
clarion	klaroen	0.500	0.443	0.422
clarity	helderheid	0.796	0.310	0.631
clash	botsen	0.293	0.918	0.453
clashing	botsende	0.177	0.764	0.575
clasp	sluiting	0.448	0.375	0.241
class	klasse	0.656	0.314	0.522
classic	klassiek	0.690	0.260	0.611
classic rock	klassieke rock	0.729	0.571	0.588
classical	klassiek	0.643	0.198	0.536
classics	classics	0.750	0.333	0.510
classification	classificatie	0.583	0.423	0.613
classified	geklasseerd	0.571	0.460	0.663
classify	classificeren	0.646	0.411	0.720
classmate	klasgenoot	0.781	0.400	0.593
classroom	klas	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	gekletter	0.418	0.820	0.387
clause	clausule	0.480	0.409	0.528
clauses	clausules	0.449	0.429	0.545
claustrophobia	claustrofobie	0.125	0.840	0.333
claustrophobic	claustrofobisch	0.092	0.755	0.400
clavicle	sleutelbeen	0.398	0.400	0.452
claw	klauw	0.260	0.600	0.598
claws	klauwen	0.281	0.698	0.562
clay	klei	0.542	0.250	0.267
clean	schoon	0.827	0.170	0.500
cleaner	schoonmaakster	0.604	0.556	0.375
cleaning	schoonmaak	0.595	0.396	0.427
cleanliness	zindelijkheid	0.816	0.363	0.609
cleanly	schoon	0.823	0.352	0.583
cleanse	reinigen	0.625	0.310	0.660
cleanser	cleanser	0.604	0.353	0.433
cleansing	reiniging	0.729	0.298	0.472
cleanup	opruimen	0.729	0.314	0.451
clear	duidelijk	0.857	0.327	0.573
clearance	opruiming	0.542	0.459	0.473
clearing	opheldering	0.680	0.333	0.509
clearness	helderheid	0.875	0.316	0.689
cleat	klamp	0.486	0.260	0.361
cleavage	decollete	0.542	0.602	0.454
cleave	klieven	0.296	0.545	0.389
cleaver	hakmes	0.240	0.627	0.434
clef	sleutel	0.615	0.360	0.595
cleft	spleet	0.306	0.442	0.360
clemency	genade	0.594	0.417	0.397
clench	ballen	0.438	0.618	0.580
clergy	geestelijkheid	0.531	0.312	0.575
clergyman	geestelijke	0.594	0.330	0.556
cleric	geestelijke	0.521	0.324	0.589
clerical	klerikaal	0.520	0.396	0.491
clerk	klerk	0.500	0.579	0.509
clerkship	klerkenbaantje	0.582	0.380	0.596
clever	knap	0.896	0.353	0.729
cleverness	handigheid	0.878	0.509	0.921
click	Klik	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	cliënt	0.583	0.450	0.618
clientele	cliënteel	0.625	0.577	0.508
cliff	klif	0.361	0.620	0.509
climate	klimaat	0.635	0.240	0.483
climatology	climatologie	0.531	0.367	0.541
climax	climax	0.735	0.853	0.667
climb	beklimmen	0.615	0.660	0.604
climber	klimmer	0.573	0.716	0.735
clinch	vastklinken	0.469	0.538	0.430
cling	kleven	0.417	0.620	0.588
clingy	plakkerig	0.224	0.460	0.370
clinic	kliniek	0.469	0.439	0.600
clinical	klinisch	0.337	0.412	0.640
clink	klinken	0.458	0.462	0.319
clip	klem	0.438	0.310	0.381
clipboard	klembord	0.594	0.255	0.423
clipper	klipper	0.293	0.422	0.383
clipping	knipsel	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
