Word	Lao-lo	Valence	Arousal	Dominance
chin	chin	0.571	0.310	0.269
china	ຈີນ	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	chip	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	chipping	0.354	0.452	0.353
chiropractor	chiropractor	0.420	0.549	0.651
chirp	chirp	0.469	0.602	0.365
chirping	chirping	0.500	0.463	0.360
chisel	chisel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	chitchat	0.673	0.455	0.403
chivalry	chivalry	0.857	0.380	0.848
chloride	chloride	0.265	0.387	0.474
chlorine	chlorine	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	ຊັອກໂກແລດ	0.885	0.480	0.418
choice	ທາງເລືອກ	0.745	0.520	0.664
choir	choir	0.704	0.298	0.473
choke	choke	0.167	0.788	0.676
cholera	cholera	0.020	0.867	0.507
cholesterol	cholesterol	0.198	0.583	0.398
choose	ເລືອກ	0.615	0.542	0.648
choosing	ເລືອກເອົາ	0.719	0.529	0.689
choosy	Choosy	0.280	0.760	0.712
chop	chop	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	chopping	0.560	0.625	0.362
chops	chops	0.612	0.420	0.269
choral	choral	0.852	0.290	0.421
chord	chord	0.729	0.394	0.539
chords	chords	0.639	0.406	0.388
chore	ເຮັດວຽກຫນັກ	0.406	0.462	0.500
choreographer	choreographer	0.646	0.639	0.625
choreography	choreography	0.812	0.750	0.547
chorus	chorus	0.620	0.417	0.500
chosen	ຖືກຄັດເລືອກ	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	christ	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	christening	0.725	0.382	0.650
christian	christian	0.760	0.241	0.591
christmas	christmas	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	christmastime	0.837	0.588	0.515
chromatic	chromatic	0.407	0.413	0.435
chromatography	chromatography	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	chromosome	0.500	0.296	0.548
chronic	ຊໍາເຮື້ອ	0.255	0.615	0.464
chronicle	chronicle	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	chronological	0.594	0.445	0.600
chubby	chubby	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	chuckle	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	chunk	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	ສາດສະຫນາຈັກ	0.708	0.198	0.610
churchyard	churchyard	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	ຫຼຸດລົງ	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	cigar	0.306	0.463	0.346
cigarette	ຢາສູບ	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	cinema	0.698	0.538	0.500
cinematic	cinematic	0.663	0.490	0.600
cinematographer	cinematographer	0.792	0.455	0.711
cinematography	cinematography	0.781	0.571	0.625
cinnamon	ຜັກທຽມ	0.600	0.250	0.292
cipher	cipher	0.490	0.414	0.500
circle	ວົງມົນ	0.480	0.290	0.343
circling	circling	0.510	0.654	0.336
circuit	circuit	0.586	0.461	0.707
circuitry	circuitry	0.596	0.615	0.536
circular	circular	0.562	0.342	0.417
circulate	circulate	0.612	0.388	0.320
circulation	ການໄຫຼວຽນຂອງ	0.735	0.520	0.657
circulatory	circulatory	0.592	0.575	0.545
circumcision	ການຂັດຂວາງ	0.327	0.657	0.528
circumference	circumference	0.458	0.255	0.488
circumferential	circumferential	0.551	0.422	0.509
circumscribed	circumscribed	0.365	0.539	0.569
circumstance	ເຫດການ	0.520	0.565	0.596
circumstances	ສະຖານະການ	0.562	0.527	0.464
circumstantial	circumstantial	0.500	0.538	0.519
circumvent	ຫລີກລ່ຽງ	0.316	0.642	0.383
circumvention	ການຂົ່ມຂູ່	0.531	0.571	0.473
circus	circus	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirrhosis	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	cistern	0.541	0.413	0.432
citadel	citadel	0.585	0.464	0.602
citation	citation	0.570	0.549	0.508
cite	ອ້າງເຖິງ	0.625	0.454	0.532
citizen	ພົນລະເມືອງ	0.631	0.250	0.586
citizenship	ພົນລະເມືອງ	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	citrus	0.469	0.368	0.375
city	ເມືອງ	0.847	0.531	0.508
citywide	ເມືອງທົ່ວປະເທດ	0.592	0.509	0.707
civic	civic	0.653	0.240	0.573
civics	civics	0.700	0.279	0.720
civil	ພົນລະເຮືອນ	0.521	0.281	0.517
civilian	ພົນລະເຮືອນ	0.700	0.229	0.598
civilians	ພົນລະເຮືອນ	0.490	0.448	0.525
civility	civility	0.760	0.306	0.679
civilization	ພົນລະເຮືອນ	0.823	0.452	0.839
civilized	ພົນລະເຮືອນ	0.792	0.231	0.796
clad	ຫຸ້ມ	0.583	0.373	0.481
claim	ຮ້ອງຂໍ	0.255	0.760	0.473
claimant	ຜູ້ຮ້ອງຂໍ	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	ຈົ່ມວ່າ	0.438	0.643	0.360
clamp	clamp	0.541	0.388	0.454
clan	clan	0.562	0.491	0.686
clandestine	clandestine	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	clap	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	ການຕົບມື	0.823	0.894	0.686
clarification	clarification	0.802	0.461	0.613
clarify	clarify	0.652	0.535	0.625
clarinet	clarinet	0.592	0.453	0.411
clarion	clarion	0.500	0.443	0.422
clarity	ຢ່າງຊັດເຈນ	0.796	0.310	0.631
clash	ການຕໍ່ສູ້	0.293	0.918	0.453
clashing	clashing	0.177	0.764	0.575
clasp	clasp	0.448	0.375	0.241
class	ຊັ້ນຮຽນ	0.656	0.314	0.522
classic	ຄາດສິກ	0.690	0.260	0.611
classic rock	ຄລາສສິກ Rock	0.729	0.571	0.588
classical	ຄລາສສິກ	0.643	0.198	0.536
classics	ຄລາສສິກ	0.750	0.333	0.510
classification	ການຈັດປະເພດ	0.583	0.423	0.613
classified	ຖືກຈັດປະເພດ	0.571	0.460	0.663
classify	ຈັດແບ່ງ	0.646	0.411	0.720
classmate	classmate	0.781	0.400	0.593
classroom	ຫ້ອງ​ຮຽນ	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	clatter	0.418	0.820	0.387
clause	clause	0.480	0.409	0.528
clauses	clauses	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
claustrophobic	claustrophobic	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	claw	0.260	0.600	0.598
claws	claws	0.281	0.698	0.562
clay	ດິນເຜົາ	0.542	0.250	0.267
clean	ສະອາດ	0.827	0.170	0.500
cleaner	ເຮັດຄວາມສະອາດ	0.604	0.556	0.375
cleaning	ທໍາຄວາມສະອາດ	0.595	0.396	0.427
cleanliness	ຄວາມສະອາດ	0.816	0.363	0.609
cleanly	ຢ່າງສະອາດ	0.823	0.352	0.583
cleanse	ເຮັດຄວາມສະອາດ	0.625	0.310	0.660
cleanser	cleanser	0.604	0.353	0.433
cleansing	ການຊໍາລະລ້າງ	0.729	0.298	0.472
cleanup	ເຮັດຄວາມສະອາດ	0.729	0.314	0.451
clear	ອະນາໄມ	0.857	0.327	0.573
clearance	ການອະນຸມັດ	0.542	0.459	0.473
clearing	clearing	0.680	0.333	0.509
clearness	ຄວາມຊັດເຈນ	0.875	0.316	0.689
cleat	cleat	0.486	0.260	0.361
cleavage	cleavage	0.542	0.602	0.454
cleave	ກຸນແຈ	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	clef	0.615	0.360	0.595
cleft	cleft	0.306	0.442	0.360
clemency	clemency	0.594	0.417	0.397
clench	clench	0.438	0.618	0.580
clergy	clergy	0.531	0.312	0.575
clergyman	clergyman	0.594	0.330	0.556
cleric	cleric	0.521	0.324	0.589
clerical	clerical	0.520	0.396	0.491
clerk	clerk	0.500	0.579	0.509
clerkship	ການຈ້າງງານ	0.582	0.380	0.596
clever	clever	0.896	0.353	0.729
cleverness	cleverness	0.878	0.509	0.921
click	ຄລິກ	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	ລູກ​ຄ້າ	0.583	0.450	0.618
clientele	ລູກຄ້າ	0.625	0.577	0.508
cliff	ຫໍຄອຍ	0.361	0.620	0.509
climate	ສະພາບອາກາດ	0.635	0.240	0.483
climatology	climatology	0.531	0.367	0.541
climax	climax	0.735	0.853	0.667
climb	ປີນຂຶ້ນ	0.615	0.660	0.604
climber	climber	0.573	0.716	0.735
clinch	clinch	0.469	0.538	0.430
cling	cling	0.417	0.620	0.588
clingy	clingy	0.224	0.460	0.370
clinic	ຄລີນິກ	0.469	0.439	0.600
clinical	clinical	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	clip	0.438	0.310	0.381
clipboard	clipboard	0.594	0.255	0.423
clipper	clipper	0.293	0.422	0.383
clipping	clipping	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	cloak	0.469	0.188	0.333
cloaking	cloaking	0.521	0.595	0.389
cloakroom	cloakroom	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	ໂມງ	0.677	0.173	0.407
clockwork	clockwork	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	clog	0.104	0.618	0.454
cloister	cloister	0.438	0.413	0.475
clone	clone	0.406	0.471	0.524
cloning	cloning	0.216	0.696	0.679
close	ປິດ	0.292	0.260	0.263
closed	ປິດ	0.240	0.164	0.318
closeness	ໃກ້ຊິດ	0.796	0.237	0.450
closet	closet	0.531	0.204	0.330
closure	ປິດ	0.229	0.220	0.412
clot	clot	0.150	0.558	0.275
cloth	ຜ້າຜ້າ	0.510	0.190	0.287
clothe	ແຕ່ງຕົວ	0.797	0.330	0.481
clothes	ເຄື່ອງນຸ່ງຫົ່ມ	0.833	0.270	0.414
clothesline	ເຄື່ອງນຸ່ງຫົ່ມ	0.582	0.324	0.366
clothing	ເຄື່ອງນຸ່ງຫົ່ມ	0.750	0.343	0.407
cloud	ຟັງ	0.740	0.133	0.342
clouded	clouded	0.240	0.213	0.302
cloudiness	cloudiness	0.469	0.250	0.343
clouds	ຟັງ	0.735	0.195	0.324
cloudy	ມີເມຄ	0.281	0.280	0.202
clout	clout	0.584	0.636	0.704
clove	clove	0.439	0.296	0.315
clover	clover	0.605	0.340	0.364
cloves	ຫົວຜັກທຽມ	0.427	0.218	0.396
clown	clown	0.650	0.598	0.300
clowns	clowns	0.600	0.673	0.391
club	club	0.646	0.618	0.393
clubhouse	clubhouse	0.694	0.571	0.493
clubs	ສະໂມສອນ	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	ຂໍ້ຄຶດ	0.653	0.380	0.412
clueless	clueless	0.350	0.333	0.161
clump	clump	0.551	0.480	0.582
clumsy	clumsy	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	cluster	0.490	0.458	0.446
clutch	clutch	0.383	0.500	0.491
clutches	clutches	0.542	0.373	0.528
clutter	ຂີ້ເຫຍື້ອ	0.135	0.598	0.400
coach	ຄູຝຶກສອນ	0.633	0.823	0.735
coachman	coachman	0.479	0.394	0.509
coagulation	coagulation	0.381	0.558	0.436
coal	ຖ່ານຫີນ	0.360	0.241	0.340
coalesce	coalesce	0.479	0.434	0.529
coalition	coalition	0.490	0.730	0.673
coarse	ຫຍາບ	0.333	0.481	0.481
coast	coast	0.719	0.396	0.458
coastal	ຊາຍຝັ່ງ	0.604	0.370	0.510
coaster	coaster	0.612	0.788	0.627
coastline	ຊາຍຝັ່ງ	0.745	0.282	0.441
coat	ເສື້ອຜ້າ	0.677	0.256	0.464
coating	ການເຄືອບ	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	cobalt	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	cobbler	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	cocaine	0.156	0.840	0.373
cock	cock	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	cockpit	0.520	0.424	0.343
cockroach	cockroach	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	cocktail	0.740	0.480	0.381
cocky	cocky	0.260	0.784	0.519
cocoa	cocoa	0.776	0.255	0.322
coconut	ຫມາກພ້າວ	0.622	0.265	0.227
cocoon	cocoon	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	ລະຫັດ	0.583	0.308	0.491
codeine	codeine	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	codification	0.448	0.400	0.698
codify	codify	0.448	0.410	0.679
coding	coding	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	coefficient	0.677	0.415	0.702
coerce	ຄວາມຫຍຸ້ງຍາກ	0.260	0.741	0.517
coercion	ການບັງຄັບ	0.330	0.708	0.577
coercive	ບັງຄັບ	0.479	0.670	0.506
coexist	ຮ່ວມກັນ	0.708	0.460	0.536
coexistence	coexistence	0.588	0.472	0.638
coexisting	ຮ່ວມກັນ	0.551	0.349	0.648
coffee	ກາ​ເຟ	0.823	0.418	0.309
coffee table	ໂຕະ​ກາ​ເຟ	0.720	0.339	0.295
coffeehouse	coffeehouse	0.694	0.357	0.307
coffeepot	coffeepot	0.760	0.333	0.312
coffin	coffin	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	cogent	0.765	0.479	0.836
cognac	cognac	0.615	0.510	0.430
cognate	cognate	0.615	0.350	0.398
cognition	cognition	0.635	0.344	0.706
cognitive	cognitive	0.513	0.401	0.634
cohabitation	ຮ່ວມກັນ	0.646	0.526	0.598
coherence	ຄວາມສອດຄ່ອງ	0.720	0.406	0.788
coherent	coherent	0.698	0.281	0.500
cohesion	ການເຊື່ອມໂຍງ	0.604	0.536	0.555
cohesive	cohesive	0.531	0.470	0.603
cohort	cohort	0.459	0.551	0.566
coil	coil	0.448	0.343	0.298
coiled	ປອກເປືອກ	0.378	0.518	0.389
coin	coin	0.677	0.574	0.445
coinage	coinage	0.500	0.400	0.545
coincide	coincide	0.635	0.490	0.593
coincidence	coincidence	0.612	0.450	0.518
coincident	coincident	0.562	0.385	0.602
coincidental	coincidental	0.646	0.481	0.337
coinciding	coinciding	0.673	0.373	0.623
coke	coke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	ເຢັນ	0.398	0.538	0.348
coldly	ເຢັນ	0.365	0.358	0.407
coldness	ຄວາມເຢັນ	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	coliseum	0.612	0.663	0.704
collaborate	ຮ່ວມມື	0.816	0.449	0.559
collaboration	ການຮ່ວມມື	0.885	0.628	0.741
collaborator	ຜູ້ຮ່ວມມື	0.729	0.320	0.769
collage	collage	0.680	0.321	0.375
collagen	collagen	0.541	0.245	0.450
collapse	collapse	0.208	0.689	0.342
collar	ຄໍ	0.656	0.442	0.446
collarbone	collarbone	0.420	0.427	0.306
collate	collate	0.438	0.448	0.580
collateral	ຫລັກປະກັນ	0.531	0.422	0.717
collation	collation	0.520	0.333	0.508
colleague	ເພື່ອນຮ່ວມງານ	0.740	0.413	0.600
collect	ເກັບກໍາ	0.635	0.481	0.491
collected	ເກັບກໍາຂໍ້ມູນ	0.570	0.402	0.588
collection	ເກັບກໍາຂໍ້ມູນ	0.725	0.311	0.588
collective	ຮ່ວມກັນ	0.583	0.458	0.698
collectively	ຮ່ວມກັນ	0.817	0.573	0.533
collector	ຜູ້ເກັບຂອງ	0.552	0.481	0.648
college	ວິທະຍາໄລ	0.700	0.467	0.746
collegiate	collegiate	0.592	0.461	0.678
collide	ຂັດຂວາງ	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	collision	0.245	0.848	0.585
collocation	collocation	0.637	0.360	0.594
colloquial	colloquial	0.604	0.363	0.368
collusion	collusion	0.365	0.510	0.400
cologne	cologne	0.677	0.413	0.552
colon	colon	0.449	0.394	0.384
colonel	colonel	0.459	0.592	0.890
colonial	ອານານິຄົມ	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	colonoscopy	0.208	0.524	0.466
colony	ອານານິຄົມ	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	ສີ	0.786	0.280	0.402
coloration	coloring	0.541	0.520	0.443
colored	ສີ	0.806	0.317	0.275
colorful	ສີສັນ	0.850	0.520	0.519
coloring	coloring	0.781	0.469	0.353
colorless	ບໍ່ມີສີ	0.354	0.340	0.250
colors	ສີ	0.875	0.349	0.340
colossal	colossal	0.698	0.692	0.900
colt	colt	0.561	0.587	0.543
columbine	columbine	0.520	0.521	0.407
column	ຄໍລໍາ	0.480	0.250	0.670
columnar	columnar	0.448	0.340	0.491
columnist	columnist	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	coma	0.219	0.255	0.302
comatose	comatose	0.143	0.438	0.433
comb	comb	0.490	0.123	0.268
combat	ການຕໍ່ສູ້	0.302	0.846	0.833
combatant	combatant	0.531	0.853	0.780
combative	combative	0.381	0.690	0.816
combination	ປະສົມປະສານ	0.708	0.480	0.726
combinatorial	combinatorial	0.561	0.436	0.428
combine	ສົມທົບ	0.663	0.442	0.533
combined	ລວມກັນ	0.622	0.370	0.500
combo	combo	0.698	0.439	0.453
combustible	ໄຟໄຫມ້	0.386	0.650	0.750
combustion	ການເຜົາໄຫມ້	0.457	0.807	0.591
come	ມາ	0.529	0.269	0.558
comeback	ກັບຄືນມາ	0.580	0.409	0.555
comedian	comedian	0.812	0.735	0.598
comedy	comedy	0.918	0.555	0.490
comet	comet	0.704	0.679	0.471
comfort	ຄວາມສະດວກສະບາຍ	0.863	0.231	0.670
comfortable	ສະດວກສະບາຍ	0.927	0.163	0.473
comforter	ຜູ້ປະສານງານ	0.618	0.275	0.302
comforting	ສະບາຍໃຈ	0.906	0.337	0.620
comfy	comfy	0.930	0.241	0.625
comic	comic	0.917	0.459	0.387
comical	comical	0.844	0.737	0.327
comics	comics	0.690	0.556	0.384
coming	ມາ	0.653	0.417	0.500
comma	comma	0.344	0.269	0.242
command	ຄໍາສັ່ງ	0.427	0.790	0.849
commandant	ຜູ້ບັນຊາການ	0.622	0.700	0.943
commandeer	commander	0.552	0.639	0.931
commander	ຄໍາສັ່ງ	0.531	0.615	0.906
commanding	commanding	0.562	0.664	0.925
commandment	ຄໍາສັ່ງ	0.656	0.490	0.876
commando	commando	0.323	0.710	0.817
commemorate	commemorate	0.812	0.602	0.636
commemoration	commemoration	0.719	0.615	0.754
commemorative	commemorative	0.750	0.438	0.754
commence	ເລີ່ມຕົ້ນ	0.760	0.585	0.741
commend	ຂອບໃຈ	0.906	0.694	0.711
commendable	ຫນ້າຊົມເຊີຍ	0.786	0.570	0.555
commendation	ການຍ້ອງຍໍ	0.911	0.500	0.639
commensurate	ສົມທຽບ	0.610	0.304	0.550
comment	comment	0.667	0.417	0.379
commentary	commentary	0.602	0.402	0.446
commentator	commentator	0.492	0.510	0.607
commerce	commerce	0.646	0.500	0.788
commercial	ການ​ຄ້າ	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	commissary	0.385	0.500	0.788
commission	ຄະນະກໍາມະການ	0.677	0.480	0.571
commissioner	ຄະນະກໍາມະການ	0.602	0.449	0.949
commit	ຫມັ້ນໃຈ	0.365	0.529	0.491
commitment	ຄໍາຫມັ້ນສັນຍາ	0.714	0.710	0.843
committal	committal	0.472	0.519	0.582
committed	ຫມັ້ນສັນຍາ	0.710	0.542	0.712
committee	ຄະນະກໍາມະການ	0.592	0.392	0.721
commodity	ສິນຄ້າ	0.615	0.394	0.537
commodore	commodore	0.427	0.530	0.636
common	ທົ່ວໄປ	0.600	0.127	0.318
commoner	commoner	0.448	0.365	0.327
commonly	ທົ່ວໄປ	0.604	0.170	0.574
commonplace	commonplace	0.520	0.337	0.442
commons	commons	0.633	0.396	0.623
commonwealth	commonwealth	0.630	0.406	0.702
commotion	ການສັບສົນ	0.490	0.700	0.646
communal	communal	0.592	0.321	0.556
commune	ເມືອງ	0.500	0.488	0.655
communicable	communicable	0.796	0.491	0.623
communicate	ຕິດຕໍ່ສື່ສານ	0.823	0.410	0.696
communication	ການສື່ສານ	0.837	0.400	0.649
communicative	communicative	0.847	0.560	0.637
communicator	communicator	0.573	0.509	0.796
communion	communion	0.765	0.357	0.607
communism	communism	0.264	0.570	0.623
communist	communist	0.265	0.702	0.632
community	ຊຸມຊົນ	0.750	0.350	0.659
commutation	ການປ່ຽນແປງ	0.469	0.431	0.652
commutative	commutative	0.667	0.442	0.569
commute	commute	0.622	0.582	0.565
commuter	commuter	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	ຫນາແຫນ້ນ	0.458	0.417	0.673
compaction	ການບີບອັດ	0.531	0.471	0.582
compactness	ຫນາແຫນ້ນ	0.582	0.352	0.454
companion	companion	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	companionship	0.833	0.438	0.792
company	ບໍລິສັດ	0.906	0.425	0.798
comparable	ທຽບເທົ່າ	0.562	0.443	0.458
comparative	ປຽບທຽບ	0.470	0.273	0.562
comparatively	ທຽບເທົ່າ	0.604	0.391	0.538
compare	ປຽບທຽບ	0.552	0.408	0.524
comparison	ການປຽບທຽບ	0.583	0.456	0.492
compartment	compartment	0.500	0.389	0.607
compass	ເຂັມທິດ	0.541	0.307	0.529
compassion	ຄວາມເມດຕາ	0.735	0.258	0.509
compassionate	ເຫັນອົກເຫັນໃຈ	0.857	0.404	0.411
compatibility	ຄວາມເຂົ້າກັນໄດ້	0.816	0.450	0.673
compatible	compatible	0.892	0.387	0.638
compel	ບັງຄັບ	0.200	0.847	0.625
compelled	ຖືກບັງຄັບ	0.333	0.654	0.347
compelling	ຫນ້າສົນໃຈ	0.698	0.570	0.870
compendium	compendium	0.610	0.461	0.537
compensate	ຊົດເຊີຍ	0.612	0.429	0.762
compensation	ການຊົດເຊີຍ	0.775	0.469	0.598
compensatory	compensatory	0.589	0.490	0.700
compete	ແຂ່ງຂັນ	0.573	0.745	0.786
competence	ຄວາມສາມາດ	0.615	0.802	0.823
competency	ຄວາມສາມາດ	0.768	0.775	0.764
competent	ມີອໍານາດ	0.865	0.560	0.904
competition	ການແຂ່ງຂັນ	0.580	0.790	0.798
competitive	ການແຂ່ງຂັນ	0.447	0.718	0.908
competitor	ຄູ່ແຂ່ງ	0.612	0.959	0.861
compilation	ການລວບລວມ	0.530	0.512	0.606
compile	compile	0.600	0.413	0.519
complacency	ຄວາມຫນ້າຢ້ານກົວ	0.604	0.503	0.519
complacent	ພໍໃຈ	0.625	0.452	0.518
complain	ຈົ່ມວ່າ	0.143	0.682	0.360
complaint	ຄໍາຮ້ອງທຸກ	0.143	0.606	0.281
complement	ສົມບູນ	0.760	0.277	0.600
complementary	complementary	0.714	0.320	0.586
complete	ສົມບູນ	0.750	0.414	0.809
completed	ແລ້ວສິ້ນ	0.823	0.357	0.777
completely	ສົມບູນ	0.730	0.370	0.690
completeness	ສົມບູນ	0.823	0.433	0.769
completing	ສໍາເລັດ	0.614	0.500	0.769
completion	ສິ້ນສຸດລົງ	0.656	0.470	0.525
complex	ສະລັບສັບຊ້ອນ	0.388	0.608	0.550
complexed	complexed	0.312	0.577	0.612
complexion	ຜິວເນື້ອສີຂາວ	0.521	0.520	0.380
complexity	ຄວາມສັບສົນ	0.479	0.620	0.595
compliance	ການປະຕິບັດຕາມ	0.750	0.462	0.750
compliant	compliant	0.677	0.310	0.519
complicate	complicate	0.210	0.657	0.404
complicated	ສັບສົນ	0.211	0.660	0.455
complication	complication	0.365	0.726	0.330
complicity	ຄວາມຮ່ວມມື	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	complimentary	0.823	0.413	0.435
comply	ປະຕິບັດຕາມ	0.806	0.370	0.638
complying	ປະຕິບັດຕາມ	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	ສ່ວນປະກອບ	0.531	0.382	0.525
compose	compose	0.639	0.432	0.694
composed	ປະກອບດ້ວຍ	0.684	0.385	0.682
composer	composer	0.822	0.588	0.691
composite	composite	0.591	0.459	0.620
composition	composition	0.765	0.408	0.652
compost	compost	0.480	0.404	0.441
composure	ຄວາມສະຫງົບ	0.802	0.354	0.717
compound	ປະສົມປະສານ	0.635	0.385	0.735
comprehend	ເຂົ້າໃຈ	0.875	0.365	0.689
comprehension	ຄວາມເຂົ້າໃຈ	0.908	0.387	0.688
comprehensive	ຄົບຖ້ວນ	0.796	0.385	0.644
compress	compress	0.406	0.412	0.460
compressed	compressed	0.323	0.396	0.388
compressible	ບີບອັດ	0.622	0.392	0.585
compression	ການບີບອັດ	0.646	0.521	0.579
compressor	ຄອມເພດເຊີ	0.418	0.481	0.630
comprise	ປະກອບມີ	0.839	0.373	0.669
compromise	compromise	0.677	0.520	0.805
comptroller	comptroller	0.402	0.481	0.866
compulsion	ການບັງຄັບ	0.118	0.760	0.604
compulsive	compulsive	0.347	0.871	0.573
compulsory	ບັງຄັບ	0.343	0.541	0.791
computable	ສາມາດບັນຈຸໄດ້	0.570	0.402	0.545
computation	ການຄິດໄລ່	0.583	0.429	0.697
compute	compute	0.531	0.408	0.564
computer	ຄອມພິວເຕີ	0.802	0.356	0.639
computerized	computerized	0.677	0.450	0.657
computing	ຄອມພິວເຕີ້	0.745	0.398	0.695
comrade	comrade	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	concatenation	0.480	0.593	0.539
concave	concave	0.441	0.349	0.349
conceal	ປົກປິດ	0.312	0.436	0.306
concealed	ຖືກປິດບັງ	0.344	0.363	0.352
concealment	ການປິດບັງ	0.302	0.570	0.390
concede	ຍອມຮັບ	0.670	0.324	0.473
conceit	ຂີ້ກຽດ	0.354	0.625	0.309
conceited	ຂີ້ກຽດ	0.194	0.667	0.473
conceivable	conceivable	0.730	0.350	0.613
conceive	conceive	0.708	0.538	0.700
concentrate	ເຂັ້ມຂຸ້ນ	0.750	0.439	0.743
concentration	ຄວາມເຂັ້ມຂົ້ນ	0.735	0.500	0.722
concentric	concentric	0.730	0.479	0.635
concept	ແນວຄິດ	0.573	0.265	0.632
conception	ແນວຄວາມຄິດ	0.694	0.490	0.614
concern	ເປັນຫ່ວງ	0.250	0.734	0.463
