Word	Arabic-ar	Valence	Arousal	Dominance
crate	قفص	0.427	0.173	0.274
crater	فوهة البركان	0.450	0.647	0.529
crave	حن	0.625	0.510	0.731
craving	حنين	0.510	0.755	0.636
crawfish	المتراجع عن	0.510	0.427	0.342
crawl	زحف	0.479	0.519	0.467
crayon	القلم للتلوين	0.604	0.260	0.185
crayons	أقلام تلوين	0.684	0.366	0.405
craze	جنون	0.255	0.657	0.435
crazed	مخبول	0.153	0.877	0.417
craziness	جنون	0.238	0.908	0.255
crazy	مجنون	0.156	0.843	0.321
creak	صرير	0.344	0.670	0.411
creaking	يئن تحت وطأتها	0.302	0.743	0.415
cream	كريم	0.688	0.259	0.220
creamed	مدهون	0.723	0.273	0.288
creamer	المقشدة أداة	0.594	0.192	0.269
creamy	دسم	0.823	0.337	0.345
crease	تجعد	0.440	0.286	0.300
create	خلق	0.786	0.588	0.789
creation	خلق	0.927	0.575	0.868
creative	خلاق	0.917	0.518	0.788
creativity	الإبداع	0.938	0.684	0.815
creator	المنشئ	0.865	0.592	0.856
creature	مخلوق	0.669	0.625	0.620
credence	تصديق	0.760	0.460	0.737
credential	الاعتماد	0.735	0.337	0.597
credentials	شهاداته	0.708	0.373	0.675
credibility	مصداقية	0.875	0.427	0.809
credible	معقول	0.917	0.441	0.750
credit	ائتمان	0.673	0.549	0.648
credit card	بطاقة ائتمان	0.670	0.550	0.640
creditable	NO TRANSLATION	0.802	0.510	0.742
credited	الفضل	0.781	0.390	0.691
crediting	الإعتمادات	0.673	0.550	0.741
creditor	دائن	0.479	0.594	0.689
creed	العقيدة	0.573	0.245	0.544
creek	جدول	0.552	0.392	0.330
creep	زحف	0.354	0.647	0.361
creeper	زاحف	0.429	0.558	0.366
creeping	زحف	0.292	0.613	0.282
creepy	مخيف	0.125	0.861	0.373
cremation	إحراق جثث الموتى	0.084	0.620	0.420
creole	الكريول	0.667	0.357	0.523
crepe	كريب	0.562	0.224	0.349
crescendo	اوجها	0.760	0.575	0.594
crescent	هلال	0.698	0.382	0.407
crest	قمة	0.458	0.333	0.333
crestfallen	مكتئب	0.235	0.346	0.175
cretin	القميء	0.265	0.583	0.312
cretins	المشوهون	0.094	0.741	0.328
crevice	شق	0.361	0.471	0.275
crew	طاقم	0.604	0.598	0.735
crewman	أفراد طاقمها	0.602	0.580	0.548
crib	الغش في الامتحانات	0.653	0.240	0.407
cricket	كريكيت	0.423	0.539	0.370
cried	بكت	0.167	0.612	0.254
crime	جريمة	0.071	0.943	0.630
criminal	مجرم	0.021	0.830	0.529
criminality	جريمة	0.122	0.863	0.580
crimp	تجعيد	0.260	0.557	0.396
crimson	قرمزي	0.667	0.385	0.370
cringe	قرفص	0.245	0.840	0.377
cripple	شل	0.094	0.392	0.161
crippled	أعرج	0.035	0.358	0.236
crippling	تعطيل	0.156	0.598	0.391
crisis	أزمة	0.208	0.811	0.431
crisp	هش	0.776	0.692	0.508
crispy	مقرمش	0.656	0.550	0.509
criterion	معيار	0.396	0.410	0.736
critic	الناقد	0.264	0.604	0.686
critical	حرج	0.312	0.802	0.545
criticise	ينتقد	0.073	0.700	0.452
criticism	نقد	0.115	0.563	0.505
criticize	ينتقد	0.143	0.708	0.473
criticized	انتقد	0.240	0.600	0.311
critique	نقد	0.302	0.760	0.537
critter	المخلوق	0.542	0.539	0.482
croak	تشاءم	0.337	0.346	0.298
croc	تمساح	0.327	0.452	0.451
crock	جرة	0.385	0.412	0.421
crockery	آنية فخارية	0.552	0.216	0.327
crocodile	تمساح	0.344	0.708	0.610
croft	حقل صغير مسور	0.531	0.429	0.421
croissant	كرواسون	0.745	0.330	0.430
crook	المحتال	0.171	0.765	0.550
crooked	معوج	0.146	0.594	0.305
crop	ا & قتصاص	0.615	0.260	0.500
croquet	كروكيت لعبة	0.551	0.519	0.407
cross	تعبر	0.448	0.321	0.569
cross country	عبر البلاد	0.531	0.441	0.529
crossbow	قوس ونشاب	0.344	0.598	0.560
crossed	عبرت	0.431	0.490	0.508
crossfire	نيران متقاطعة	0.316	0.896	0.722
crossing	العبور	0.549	0.349	0.451
crossover	عبور	0.559	0.550	0.500
crosswalk	ممر	0.557	0.441	0.380
crossword	الكلمات المتقاطعة	0.611	0.423	0.455
crotch	المنشعب	0.521	0.637	0.447
crouch	انحنى	0.281	0.606	0.312
crouched	جاثم	0.333	0.363	0.279
crouching	الرابض	0.261	0.429	0.345
croupier	موظف نادى القمار	0.531	0.519	0.404
crow	غراب	0.224	0.439	0.363
crowbar	المخل	0.406	0.531	0.386
crowd	يحشد	0.350	0.827	0.731
crowded	مزدحما	0.694	0.286	0.585
crowds	الحشود	0.469	0.723	0.806
crown	تاج	0.708	0.572	0.737
crowning	تتويج	0.773	0.594	0.831
crucial	مهم	0.541	0.657	0.777
cruciate	صليبي الشكل	0.429	0.435	0.585
crucifix	صليب	0.469	0.480	0.510
crucifixion	صلب	0.135	0.857	0.541
crucify	صلب	0.146	0.878	0.573
crud	الخام	0.312	0.330	0.444
crude	نفط خام	0.198	0.402	0.357
cruel	قاسي	0.122	0.866	0.391
cruelly	بوحشية	0.146	0.790	0.471
cruelty	قسوة	0.092	0.836	0.536
cruise	رحلة بحرية	0.740	0.442	0.683
cruise ship	سفينه سياحيه	0.878	0.650	0.500
cruiser	طراد	0.737	0.490	0.608
cruising	المبحرة	0.886	0.580	0.560
crumb	كسرة خبز	0.417	0.255	0.216
crumble	تدهور	0.333	0.480	0.423
crumbling	تفتت	0.167	0.696	0.308
crummy	تافه	0.125	0.531	0.224
crunch	سحق	0.292	0.630	0.406
crunchy	مقدد	0.625	0.560	0.539
crusade	حملة صليبية	0.592	0.720	0.709
crusader	صليبي	0.439	0.588	0.548
crush	سحق	0.271	0.676	0.582
crushed	مهروس	0.167	0.647	0.300
crusher	محطم	0.271	0.709	0.598
crushing	الساحق	0.219	0.755	0.411
crust	قشرة	0.542	0.337	0.456
crusty	قشري	0.625	0.531	0.473
crutch	عكاز	0.302	0.294	0.302
crux	صلب الموضوع	0.469	0.558	0.519
cry	يبكي	0.133	0.627	0.255
crybaby	ابك عزيزي	0.375	0.702	0.311
crying	بكاء	0.153	0.704	0.208
crypt	سرداب	0.156	0.431	0.386
cryptic	خفي	0.296	0.516	0.474
cryptography	التشفير	0.490	0.415	0.650
crystal	كريستال	0.618	0.270	0.508
crystalline	بلوري	0.765	0.235	0.534
crystallization	بلورة	0.600	0.449	0.565
cub	الشبل	0.646	0.382	0.284
cubby	حجيرة	0.354	0.385	0.360
cube	مكعب	0.469	0.226	0.274
cubic	مكعب	0.458	0.306	0.407
cubicle	زاوية	0.479	0.343	0.417
cuckold	ديوث	0.210	0.573	0.230
cuckoo	أبله	0.420	0.459	0.284
cucumber	خيار	0.490	0.235	0.237
cuddle	عناق	0.885	0.559	0.475
cuddled	محضون	0.906	0.547	0.567
cuddles	الحضن	0.847	0.382	0.500
cuddling	يحتضن	0.917	0.562	0.433
cue	جديلة	0.521	0.433	0.484
cuff	صفعة	0.469	0.453	0.387
cuisine	أطباق	0.714	0.365	0.390
culinary	مطبخي	0.654	0.443	0.519
cull	قطف	0.365	0.702	0.464
culminate	تكبد	0.667	0.550	0.602
culmination	الذروة	0.656	0.586	0.695
culpability	الملومية	0.112	0.745	0.368
culpable	مذنب	0.140	0.700	0.319
culprit	السبب	0.062	0.676	0.333
cult	عبادة	0.448	0.535	0.648
cultivate	زرع	0.708	0.410	0.598
cultivated	مزروع	0.837	0.343	0.564
cultivation	زراعة	0.625	0.324	0.462
cultural	ثقافي	0.802	0.390	0.623
culture	حضاره	0.753	0.304	0.675
cultured	مثقف	0.635	0.429	0.625
culvert	عبارة	0.337	0.324	0.343
cumbersome	ثقيل	0.259	0.623	0.292
cumulus	قزع	0.570	0.433	0.432
cunning	مكر	0.604	0.685	0.683
cunt	العضو التناسلي النسوي	0.135	0.673	0.377
cup	كوب	0.615	0.167	0.231
cupboard	مخزنة	0.553	0.200	0.304
cupcake	كاب كيك	0.656	0.333	0.344
cupping	الحجامة	0.490	0.610	0.402
cur	لئيم	0.440	0.519	0.460
curable	قابل للشفاء	0.823	0.292	0.574
curate	قسيس	0.726	0.418	0.526
curative	علاجي	0.667	0.318	0.613
curator	القيم على	0.688	0.389	0.688
curb	تطويق	0.472	0.371	0.402
curd	تخثر	0.542	0.442	0.278
cure	شفاء	0.719	0.377	0.623
curfew	حظر التجول	0.219	0.618	0.623
curiosity	حب الاستطلاع	0.750	0.755	0.463
curious	فضولي	0.635	0.600	0.483
curl	لفة	0.385	0.452	0.351
curling	متجعد	0.583	0.592	0.400
currency	دقة	0.583	0.418	0.592
current	تيار	0.625	0.312	0.612
curriculum	منهاج دراسي	0.708	0.306	0.620
curry	كاري	0.633	0.345	0.302
curse	لعنة	0.033	0.720	0.375
cursed	ملعون	0.083	0.783	0.393
cursing	اللعن	0.112	0.860	0.446
cursory	سطحي	0.423	0.451	0.431
curt	فظ	0.245	0.610	0.452
curtail	بتر	0.306	0.439	0.497
curtailment	تقليص	0.230	0.578	0.431
curtain	ستارة	0.698	0.278	0.304
curtains	ستائر	0.615	0.123	0.342
curtsy	curtsy	0.635	0.412	0.598
curvature	انحناء	0.417	0.367	0.447
curve	منحنى	0.480	0.375	0.307
curved	منحن	0.542	0.407	0.337
curvilinear	منحني الأضلاع	0.480	0.575	0.411
cushion	وسادة	0.653	0.221	0.292
cushy	هين	0.823	0.283	0.395
cusp	نتوء	0.667	0.710	0.700
cuss	لعنة	0.354	0.538	0.443
cussed	العناد	0.156	0.625	0.454
custard	كاسترد	0.618	0.260	0.293
custodial	الاحتجازية	0.418	0.462	0.718
custodian	وصي	0.594	0.625	0.528
custody	عهدة	0.494	0.472	0.675
custom	العادة	0.552	0.382	0.688
customary	معتاد	0.700	0.253	0.561
customer	زبون	0.562	0.430	0.673
customized	حسب الطلب	0.625	0.504	0.590
cut	يقطع	0.490	0.490	0.393
cutaneous	الجلدية	0.365	0.370	0.328
cute	جذاب	0.920	0.528	0.579
cuticle	بشرة	0.340	0.320	0.377
cutie	كتي	0.638	0.528	0.464
cutlass	السيف المقوس	0.173	0.648	0.528
cutlery	أدوات المائدة	0.552	0.300	0.345
cutoff	قطع	0.432	0.510	0.518
cutter	قاطعة	0.427	0.731	0.583
cutters	قطع	0.197	0.653	0.491
cutthroat	سفاح	0.110	0.823	0.663
cutting	قطع	0.448	0.375	0.536
cutting board	قطع المجلس	0.337	0.540	0.342
cuttings	قصاصات	0.479	0.392	0.433
cwt	يأتى	0.500	0.410	0.384
cyanide	السيانيد	0.229	0.667	0.545
cyberspace	الفضاء الإلكتروني	0.677	0.594	0.611
cycle	دورة	0.635	0.400	0.533
cyclical	دورية	0.380	0.450	0.554
cyclist	دراج	0.684	0.582	0.576
cyclone	الإعصار	0.416	0.796	0.673
cylinder	أسطوانة	0.459	0.324	0.447
cylindrical	أسطواني	0.458	0.294	0.414
cymbal	الصنج أداة موسيقية	0.542	0.363	0.362
cynic	ساخر	0.135	0.632	0.473
cynical	ساخر	0.156	0.760	0.474
cynicism	السخرية	0.104	0.780	0.454
cyst	كيس	0.173	0.578	0.312
cystic	مثاني	0.314	0.481	0.400
cytomegalovirus	الفيروس المضخم للخلايا	0.186	0.657	0.443
cytoplasm	السيتوبلازم	0.378	0.442	0.474
czar	قيصر	0.480	0.348	0.643
dab	ربت	0.510	0.337	0.340
dabble	اشتغل	0.550	0.530	0.491
dabbling	هاو	0.562	0.726	0.676
dad	أب	0.857	0.412	0.786
daddy	بابا	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	الخفي	0.333	0.490	0.500
daft	المعتوه	0.255	0.436	0.157
dagger	خنجر	0.224	0.797	0.613
daily	اليومي	0.653	0.347	0.473
dainty	لذيذ	0.604	0.284	0.424
daiquiri	ديكيري	0.670	0.519	0.400
dairy	الألبان	0.633	0.255	0.462
daisy	أقحوان	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	واد بلغة الشعر	0.622	0.270	0.365
dam	سد	0.250	0.553	0.394
damage	ضرر	0.059	0.726	0.403
damaged	التالفة	0.104	0.635	0.182
damages	خسائر	0.082	0.760	0.310
dame	سيدة	0.694	0.480	0.500
damn	اللعنة	0.073	0.784	0.431
damnation	اللعن	0.135	0.750	0.416
damned	ملعون	0.100	0.760	0.465
damp	رطب	0.360	0.279	0.210
dampened	قلل	0.271	0.422	0.336
damper	المثبط	0.459	0.378	0.473
damsel	آنسة	0.719	0.475	0.400
dance	رقص	0.894	0.840	0.551
dancer	راقصة	0.740	0.768	0.545
dancing	رقص	0.885	0.868	0.444
dandruff	قشرة الرأس	0.398	0.298	0.293
dandy	مدهش	0.673	0.520	0.630
danger	خطر	0.115	0.923	0.673
dangerous	خطير	0.020	0.941	0.658
dangerously	خطير	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	استرخى	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	أنيق	0.770	0.560	0.698
dare	تجرؤ	0.677	0.788	0.684
daredevil	متهور	0.429	0.714	0.653
daresay	نحسب	0.540	0.451	0.490
daring	جرأة	0.583	0.840	0.711
dark	داكن	0.198	0.398	0.426
darken	ظلم	0.250	0.471	0.382
darkened	مظلمة	0.135	0.440	0.452
darkly	بحزن	0.219	0.548	0.443
darkness	ظلام	0.102	0.602	0.418
darkroom	غرفة مظلمة	0.188	0.627	0.423
darkside	الجانب المظلم	0.102	0.690	0.365
darling	حبيبي	0.885	0.370	0.608
darn	الرتق	0.115	0.765	0.418
dart	وثبة	0.417	0.608	0.500
dash	اندفاع	0.574	0.312	0.324
dashboard	لوحة القيادة	0.510	0.371	0.595
dashed	متقطع	0.276	0.393	0.338
dashing	أنيق	0.612	0.627	0.799
dastardly	خسيس	0.208	0.688	0.270
data	البيانات	0.500	0.250	0.426
database	قاعدة البيانات	0.604	0.286	0.644
date	تاريخ	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	ابنة	0.908	0.415	0.455
dawdle	بدد	0.479	0.464	0.357
dawn	فجر	0.827	0.235	0.519
dawned	بزغ	0.694	0.471	0.473
day	يوم	0.719	0.269	0.389
daybreak	الفجر	0.802	0.358	0.474
daycare	الرعاية النهارية	0.776	0.481	0.360
daydream	احلام اليقظة	0.750	0.337	0.456
daydreaming	احلام اليقظة	0.776	0.360	0.479
daylight	ضوء النهار	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	النهار	0.750	0.324	0.454
daze	دوخ	0.245	0.735	0.329
dazed	مصاب بالدوار	0.300	0.697	0.277
dazzle	انبهار	0.730	0.782	0.683
dazzling	باهر	0.854	0.880	0.767
deacon	الشماس	0.531	0.430	0.736
deactivate	عطل	0.235	0.447	0.392
dead	ميت	0.052	0.454	0.194
deadbeat	مرهق	0.229	0.453	0.368
deadline	الموعد النهائي	0.214	0.615	0.460
deadlines	المواعيد النهائية	0.406	0.769	0.411
deadlock	مأزق	0.170	0.418	0.323
deadly	مميت	0.143	0.849	0.554
deaf	اطرش	0.186	0.324	0.161
deafening	أصم	0.281	0.835	0.482
deafness	صمم	0.125	0.413	0.219
deal	صفقة	0.719	0.599	0.543
dealer	تاجر	0.799	0.615	0.683
dealership	وكلاء	0.541	0.430	0.629
dealing	تعامل	0.724	0.415	0.598
dealings	علاقات	0.600	0.491	0.480
dean	عميد	0.612	0.469	0.723
dear	العزيز	0.880	0.434	0.629
dearest	محبوب	0.902	0.427	0.508
dearth	قلة	0.156	0.539	0.255
death	الموت	0.031	0.720	0.472
deathbed	فراش الموت	0.051	0.652	0.311
deathly	مميت	0.073	0.771	0.682
debacle	هزيمة	0.156	0.606	0.266
debased	الوضيع	0.219	0.529	0.170
debatable	قابل للمناقشة	0.181	0.610	0.474
debate	النقاش	0.408	0.691	0.683
debauchery	الفسوق	0.354	0.901	0.500
debenture	سند مالي	0.417	0.500	0.466
debilitating	المنهكة	0.125	0.490	0.308
debit	مدين	0.333	0.400	0.474
debrief	استجوب	0.247	0.343	0.549
debriefing	إستخلاص المعلومات	0.427	0.580	0.456
debris	حطام	0.135	0.396	0.327
debt	دين	0.204	0.598	0.336
debtor	مدين	0.219	0.546	0.160
debut	لاول مرة	0.806	0.606	0.629
debutante	فتاة تظهر للمرة الأولى في الإحتفلات الإجتماعية	0.771	0.627	0.454
decade	عقد	0.531	0.402	0.665
decadence	تفسخ	0.237	0.455	0.291
decadent	منحط	0.290	0.559	0.324
decaf	قهوة منزوعة الكافيين	0.480	0.324	0.353
decanter	المصفق	0.438	0.567	0.510
decathlon	مباراة عشارية	0.573	0.753	0.620
decay	تسوس	0.143	0.312	0.170
decayed	فاسد	0.017	0.375	0.169
decaying	المتحللة	0.073	0.510	0.214
deceased	متوفى	0.021	0.538	0.188
decedent	المتوفي	0.423	0.481	0.415
deceit	خداع	0.020	0.696	0.343
deceitful	مخادع	0.071	0.788	0.371
deceive	يخدع	0.094	0.775	0.414
deceived	خدع	0.059	0.673	0.302
deceiving	خداع	0.099	0.636	0.426
december	ديسمبر	0.740	0.540	0.464
decency	آداب	0.750	0.235	0.634
decent	لائق	0.823	0.296	0.653
deception	خداع	0.090	0.745	0.370
deceptive	مخادع	0.027	0.605	0.294
decide	قرر	0.656	0.540	0.855
decidedly	قطعا	0.750	0.480	0.843
deciduous	المتساقطة	0.385	0.353	0.282
decimal	عدد عشري	0.507	0.259	0.305
decimeter	العشرالمترى عشر المتر	0.520	0.292	0.377
decipher	حل الشفرة	0.417	0.630	0.652
decision	قرار	0.646	0.510	0.839
decisive	حاسم	0.740	0.509	0.935
deck	ظهر السفينة	0.420	0.333	0.394
declaration	إعلان	0.551	0.590	0.714
declaratory	تفسيري	0.635	0.582	0.673
declare	أعلن	0.677	0.623	0.668
declination	انحراف	0.250	0.549	0.311
decline	انخفاض	0.173	0.491	0.240
declining	انخفاض	0.328	0.400	0.264
deco	ديكو	0.625	0.274	0.356
decode	فك تشفير	0.551	0.510	0.640
decoder	فك	0.562	0.340	0.686
decompose	تتحلل	0.194	0.596	0.241
decomposed	فاسد	0.073	0.442	0.231
decomposition	تفكيك	0.133	0.600	0.263
decompress	أزال الضغط	0.438	0.430	0.509
decompression	إزالة الضغط	0.208	0.520	0.311
decontamination	إزالة التلوث	0.611	0.538	0.573
decor	ديكور	0.734	0.311	0.573
decorate	تزيين	0.954	0.370	0.404
decorating	تزيين	0.863	0.548	0.462
decoration	زخرفة	0.878	0.553	0.526
decorative	زخرفي	0.908	0.460	0.381
decorator	مزخرف	0.840	0.471	0.455
decorum	لياقة	0.802	0.327	0.462
decoy	شرك	0.149	0.460	0.330
decrease	تخفيض	0.125	0.360	0.267
decreased	انخفض	0.224	0.271	0.170
decreasing	تقليل	0.320	0.346	0.224
decree	مرسوم	0.552	0.478	0.746
decrement	إنقاص	0.255	0.427	0.373
decrepit	متداع للسقوط	0.156	0.490	0.225
decry	شجب	0.400	0.814	0.548
decryption	فك التشفير	0.459	0.445	0.600
dedicate	كرس	0.823	0.431	0.588
dedication	تفان	0.867	0.471	0.682
deduce	نستنتج	0.490	0.510	0.466
deduct	خصم	0.355	0.330	0.412
deductible	خصم	0.375	0.286	0.455
deduction	المستقطع	0.438	0.462	0.527
deed	الفعل	0.520	0.320	0.592
deejay	ديجي	0.551	0.630	0.473
deem	ترى	0.594	0.529	0.690
deep	عميق	0.490	0.473	0.657
deepen	تعمق	0.625	0.530	0.776
deer	الغزال	0.583	0.375	0.292
defamation	قذف	0.110	0.670	0.481
defamatory	افترائي	0.143	0.688	0.402
default	الافتراضي	0.459	0.343	0.712
defeat	هزيمة	0.092	0.500	0.224
defeated	هزم	0.104	0.582	0.145
defeatist	انهزامي	0.163	0.567	0.315
defect	خلل	0.135	0.561	0.185
defection	ارتداد	0.146	0.594	0.330
defective	معيب	0.122	0.580	0.274
defector	فار	0.163	0.696	0.286
defend	الدفاع	0.698	0.722	0.670
defendant	المدعى عليه	0.250	0.710	0.491
defended	دافع	0.663	0.451	0.582
defender	مدافع	0.639	0.708	0.750
defending	الدفاع	0.604	0.871	0.812
defense	دفاع	0.652	0.698	0.802
defenseless	مسالم	0.143	0.357	0.105
defensible	الدفاع عنها	0.740	0.509	0.593
defensive	دفاعي	0.542	0.640	0.678
defer	تأجيل	0.245	0.459	0.317
deference	احترام	0.510	0.396	0.447
deferral	تأجيل	0.765	0.542	0.327
deferring	تأجيل	0.343	0.500	0.413
defiance	تحد	0.333	0.780	0.760
defiant	غير هياب	0.250	0.792	0.769
defibrillator	جهاز الصدمات الكهربائية	0.398	0.663	0.431
deficiency	نقص	0.073	0.373	0.179
deficient	ناقص	0.240	0.464	0.132
deficit	العجز	0.358	0.500	0.269
define	حدد	0.688	0.415	0.632
defined	يعرف	0.670	0.214	0.646
definite	واضح	0.708	0.292	0.741
definition	فريف	0.573	0.375	0.579
definitive	نهائي	0.583	0.479	0.787
deflate	ضاءل	0.148	0.404	0.237
deflation	الانكماش	0.287	0.536	0.407
deflect	تشتيت	0.133	0.491	0.482
deflection	انحراف	0.188	0.500	0.382
defloration	فض البكاره	0.188	0.690	0.434
deform	تشوه	0.112	0.654	0.284
deformed	مشوه	0.198	0.435	0.308
deformity	تشويه	0.160	0.569	0.241
defraud	احتيال	0.175	0.635	0.314
defray	تحمل	0.375	0.598	0.653
defrost	أزال الصقيع	0.427	0.317	0.389
deft	ماهر	0.719	0.575	0.849
defunct	الميت	0.112	0.491	0.272
defuse	نزع فتيل	0.167	0.480	0.430
defy	تحدى	0.353	0.884	0.657
degeneracy	انحلال	0.143	0.720	0.298
degenerate	منحط	0.069	0.724	0.264
degeneration	انحطاط	0.245	0.578	0.371
degradation	انحلال	0.160	0.608	0.315
degrade	تتحلل	0.083	0.500	0.184
degraded	منحط	0.167	0.433	0.205
degrading	مهين	0.031	0.583	0.232
degree	الدرجة العلمية	0.724	0.365	0.663
dehydrated	مجففة	0.310	0.685	0.212
dehydration	تجفيف	0.188	0.472	0.259
dejected	مكتئب	0.104	0.654	0.347
delay	تأخير	0.204	0.510	0.162
delayed	مؤجل	0.188	0.490	0.216
delectable	لذيذ	0.781	0.642	0.718
delegate	مندوب	0.612	0.491	0.658
delegation	وفد	0.562	0.431	0.609
delete	حذف	0.292	0.298	0.409
deleterious	مؤذ	0.297	0.725	0.440
deletion	حذف	0.062	0.506	0.462
deli	أطعمة لذيذة	0.561	0.448	0.447
deliberate	متعمد	0.551	0.654	0.682
deliberation	تداول	0.561	0.678	0.596
deliberative	تداول	0.392	0.552	0.573
delicacy	رقة	0.812	0.279	0.336
delicate	دقيق او حساس	0.583	0.294	0.366
delicatessen	اضافات للطعام تجعله شهياً	0.656	0.474	0.400
delicious	لذيذ	0.927	0.650	0.589
delight	بهجة	0.949	0.666	0.647
delighted	في منتهى السعادة	0.938	0.664	0.685
delightful	لذيذ	0.918	0.735	0.644
delineate	تحدد	0.448	0.430	0.445
delineation	تخطيط	0.521	0.402	0.314
delinquency	الانحراف	0.135	0.860	0.508
delinquent	مذنب	0.051	0.904	0.500
delirious	هذياني	0.219	0.774	0.538
delirium	هذيان	0.233	0.694	0.484
deliver	ايصال	0.583	0.370	0.582
deliverance	خلاص	0.750	0.520	0.658
delivery	توصيل	0.704	0.461	0.786
dell	ديل	0.458	0.380	0.453
delta	دلتا	0.551	0.343	0.509
delude	خدع	0.143	0.627	0.353
deluge	غمر	0.245	0.714	0.612
delusion	وهم	0.344	0.647	0.400
delusional	الوهمية	0.219	0.745	0.327
deluxe	فاخر	0.792	0.612	0.755
delve	الخوض	0.469	0.529	0.684
demand	الطلب	0.292	0.673	0.500
demanding	مطالبة	0.396	0.750	0.828
demeaned	تهين	0.271	0.520	0.212
demeaning	مهينة	0.104	0.645	0.308
demeanor	سلوك	0.633	0.433	0.657
demented	مجنون	0.088	0.787	0.309
dementia	مرض عقلي	0.092	0.779	0.337
demise	زوال	0.104	0.596	0.456
demo	عرض	0.510	0.314	0.423
democracy	ديمقراطية	0.680	0.500	0.840
democrat	ديمقراطي	0.582	0.400	0.755
democratic	ديمقراطي	0.802	0.519	0.798
demographic	السكانية	0.459	0.356	0.594
demolish	هدم	0.125	0.632	0.700
demolished	هدم	0.271	0.647	0.353
demolition	هدم	0.133	0.827	0.541
demon	شيطان	0.037	0.908	0.509
demonic	شيطاني	0.146	0.875	0.600
demonstrable	ممكن إثباته	0.735	0.471	0.749
demonstrate	يتظاهر	0.771	0.552	0.839
demonstrated	تظاهر	0.617	0.500	0.649
demonstrating	التظاهر	0.698	0.571	0.693
demonstration	برهنة	0.551	0.676	0.679
demonstrative	إيضاحي	0.656	0.528	0.736
demonstrator	متظاهر	0.520	0.598	0.733
demoralized	الروح المعنوية	0.082	0.590	0.149
demos	العروض	0.418	0.370	0.368
demure	رزين	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	الإنكار	0.230	0.509	0.417
denial	إنكار	0.194	0.435	0.318
denied	رفض	0.188	0.604	0.333
denim	الدنيم	0.520	0.382	0.327
denomination	فئة	0.490	0.363	0.429
denominational	طائفية	0.458	0.375	0.679
denominator	المقام - صفة مشتركة - حالة	0.450	0.410	0.613
denote	دل	0.448	0.471	0.534
denounce	التنديد	0.083	0.780	0.426
dense	كثيف	0.354	0.343	0.536
density	كثافة	0.602	0.471	0.561
dent	صدمه خفيفه	0.306	0.606	0.325
dental	الأسنان	0.573	0.404	0.463
dentist	دكتورالاسنان	0.479	0.620	0.642
dentistry	طب الأسنان	0.429	0.570	0.569
dentists	أطباء الأسنان	0.364	0.600	0.582
denunciation	استنكار	0.146	0.830	0.561
deny	أنكر	0.316	0.667	0.321
denying	نافيا	0.080	0.542	0.272
deodorant	مزيل عرق	0.480	0.265	0.269
depart	تغادر	0.398	0.480	0.444
departed	الراحل	0.245	0.536	0.391
department	 قسم، أقسام	0.708	0.358	0.642
departmental	مصلحي	0.612	0.422	0.446
departure	مقال	0.573	0.500	0.426
depend	تعتمد	0.388	0.429	0.358
dependable	جدير بالثقة	0.880	0.357	0.741
dependant	يعتمد	0.357	0.404	0.451
dependence	اعتماد	0.250	0.451	0.433
dependency	الاعتماد	0.429	0.365	0.356
dependent	يعتمد	0.354	0.455	0.404
depict	تصف	0.663	0.529	0.723
depicting	تصور	0.490	0.566	0.602
depletion	نفاذ	0.153	0.370	0.236
deplorable	بائس	0.135	0.657	0.230
deplore	نشجب	0.135	0.575	0.373
deploy	نشر	0.500	0.520	0.585
deployment	نشر	0.510	0.520	0.612
deport	طرد	0.167	0.667	0.546
deportation	نفي	0.104	0.786	0.450
depose	عزل	0.286	0.420	0.451
deposit	الوديعة	0.540	0.379	0.483
depositary	الوديع	0.604	0.431	0.500
deposition	ترسيب	0.394	0.510	0.471
depository	مستودع	0.551	0.373	0.481
depot	مستودع	0.635	0.255	0.471
depraved	لئيم	0.031	0.837	0.395
depravity	فساد	0.115	0.854	0.453
depreciate	تنخفض قيمته	0.270	0.623	0.445
depreciated	تستهلك	0.135	0.672	0.250
depreciation	الاستهلاك	0.143	0.571	0.386
depress	خفض	0.219	0.635	0.528
depressed	مكتئب	0.024	0.445	0.136
depressing	محزن	0.146	0.559	0.216
depression	كآبة	0.031	0.520	0.232
depressive	كئيب	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	حرمان	0.194	0.610	0.413
deprive	تحرم	0.271	0.591	0.340
deprived	محروم	0.354	0.506	0.536
depth	عمق	0.708	0.561	0.759
deputy	النائب	0.429	0.530	0.787
derail	تعطيل	0.108	0.802	0.375
deranged	مختل	0.376	0.868	0.357
derelict	مهجور	0.208	0.470	0.237
derision	سخرية	0.265	0.670	0.292
