Word	Hausa-ha	Valence	Arousal	Dominance
backdrop	baya bayanan	0.320	0.309	0.444
backer	mai talla	0.646	0.375	0.537
backfire	backfire	0.265	0.612	0.491
backgammon	backgammon	0.580	0.410	0.390
background	bayanan	0.399	0.357	0.498
backhand	baya	0.427	0.449	0.390
backhoe	raƙuma	0.398	0.554	0.562
backoff	backoff	0.104	0.396	0.240
backpack	kati ta baya	0.729	0.278	0.333
backpacker	backpacker	0.510	0.730	0.460
backroom	ɗakin ajiya	0.406	0.500	0.387
backseat	backseat	0.388	0.330	0.237
backside	baya	0.182	0.417	0.342
backtrack	backtrack	0.312	0.525	0.278
backup	madadin	0.520	0.510	0.553
backward	baya	0.309	0.367	0.250
backwardness	baya	0.240	0.500	0.136
backwards	baya	0.302	0.372	0.330
backwater	ruwan sama	0.312	0.410	0.161
backwoods	backwoods	0.541	0.350	0.482
backyard	backyard	0.552	0.280	0.302
bacon	naman alade	0.698	0.406	0.295
bacteria	kwayoyin	0.177	0.553	0.570
bacterial	na kwayan	0.156	0.500	0.473
bacterium	kwayoyin	0.194	0.545	0.345
bad	m	0.125	0.625	0.373
badass	badass	0.255	0.775	0.745
badday	NO TRANSLATION	0.327	0.449	0.373
badfeeling	NO TRANSLATION	0.250	0.559	0.365
badge	lamba	0.567	0.488	0.691
badger	badger	0.344	0.429	0.357
badhabit	NO TRANSLATION	0.184	0.594	0.311
badly	mugun	0.073	0.509	0.286
badness	mugunta	0.094	0.823	0.463
baffle	baffle	0.344	0.442	0.482
baffled	baffled	0.151	0.600	0.339
bag	jaka	0.500	0.250	0.314
bagel	bagel	0.531	0.363	0.340
baggage	kaya	0.610	0.363	0.427
baggie	baggie	0.367	0.427	0.366
baggy	damuwa	0.521	0.278	0.452
bagman	bagman	0.506	0.500	0.394
bagpipes	kaya	0.541	0.556	0.412
bail	beli	0.373	0.520	0.561
bailiff	ma'aikacin kotu	0.347	0.519	0.759
bait	koto	0.276	0.327	0.296
bake	gasa	0.867	0.418	0.519
bakery	burodi	0.802	0.500	0.380
baking	yin burodi	0.549	0.455	0.451
bal	NO TRANSLATION	0.490	0.412	0.432
balance	daidaitawa	0.684	0.265	0.735
balanced	daidaita	0.806	0.255	0.745
balcony	baranda	0.562	0.392	0.380
bald	m	0.306	0.184	0.268
balding	balding	0.302	0.363	0.368
baldy	baldy	0.398	0.385	0.396
bale	bale	0.437	0.363	0.412
balk	balk	0.229	0.451	0.415
ball	ball	0.740	0.427	0.317
ballad	ballad	0.792	0.284	0.424
ballast	ballast	0.354	0.423	0.287
ballerina	yar rawa	0.802	0.660	0.475
ballet	ballet	0.656	0.480	0.358
ballgame	ballgame	0.781	0.790	0.407
ballistic	ballistic	0.260	0.806	0.685
ballistics	dabaru	0.271	0.787	0.610
balloon	ballon	0.729	0.245	0.315
ballot	jefa kuri'a	0.521	0.361	0.358
ballpark	ballpark	0.724	0.694	0.529
ballplayer	ballplayer	0.719	0.764	0.566
ballpoint	ballpoint	0.596	0.337	0.318
ballroom	ballroom	0.847	0.635	0.448
ballsy	ballsy	0.531	0.491	0.414
balm	balm	0.625	0.275	0.414
balmy	balmy	0.684	0.327	0.545
balsam	balsam	0.663	0.250	0.385
balsamic	balsamic	0.582	0.283	0.447
bam	bam	0.427	0.472	0.390
bamboo	bamboo	0.646	0.222	0.356
ban	NO TRANSLATION	0.146	0.689	0.587
banana	ayaba	0.612	0.230	0.241
band	band	0.648	0.552	0.525
bandage	bandeji	0.220	0.327	0.286
bandanna	NO TRANSLATION	0.562	0.276	0.277
bandit	bandit	0.094	0.796	0.567
bandstand	bandstand	0.735	0.536	0.520
bandwagon	bandwagon	0.625	0.651	0.509
bandwidth	bandwidth	0.714	0.337	0.548
bane	bane	0.265	0.694	0.366
bang	bang	0.265	0.951	0.740
banger	banger	0.378	0.540	0.538
banish	banish	0.163	0.677	0.543
banished	an dakatar	0.052	0.713	0.370
banishment	fitarwa	0.160	0.775	0.298
banister	banista	0.418	0.410	0.332
banjo	banjo	0.469	0.400	0.370
bank	bank	0.562	0.327	0.675
banker	banker	0.586	0.588	0.792
banking	banki	0.510	0.327	0.500
bankroll	bankroll	0.469	0.570	0.509
bankrupt	bashi	0.163	0.673	0.337
bankruptcy	bankruptcy	0.010	0.696	0.209
banner	banner	0.521	0.408	0.474
banquet	biki	0.765	0.571	0.600
banshee	banshee	0.408	0.565	0.481
banter	banter	0.594	0.677	0.464
banzai	NO TRANSLATION	0.550	0.510	0.443
baptism	baftisma	0.844	0.384	0.566
baptismal	baftisma	0.646	0.343	0.625
baptize	baftisma	0.739	0.426	0.594
bar	bar	0.500	0.531	0.481
barb	barb	0.448	0.365	0.417
barbarian	barbarian	0.323	0.896	0.713
barbaric	barbaric	0.235	0.798	0.738
barbarism	barbarism	0.190	0.815	0.614
barbecue	barbecue	0.792	0.643	0.456
barbed	barbed	0.177	0.594	0.455
barber	barber	0.543	0.459	0.356
barbershop	wurin aski	0.597	0.441	0.382
barbie doll	barbie doll	0.729	0.370	0.330
bard	bard	0.470	0.410	0.439
bare	baƙo	0.333	0.717	0.296
bareback	bareback	0.500	0.356	0.373
barefoot	bata	0.445	0.373	0.241
barely	kawai	0.448	0.183	0.268
barf	barf	0.340	0.491	0.394
bargain	ciniki	0.653	0.533	0.670
bargaining	ciniki	0.622	0.640	0.642
barge	barge	0.469	0.388	0.465
baritone	baritone	0.592	0.529	0.500
barium	barium	0.406	0.353	0.377
bark	haushi	0.360	0.602	0.395
barkeep	barkeep	0.480	0.500	0.454
barks	barks	0.427	0.694	0.325
barley	sha'ir	0.614	0.212	0.296
barmaid	barmaid	0.521	0.472	0.440
barman	barman	0.594	0.610	0.400
barn	barn	0.510	0.452	0.425
barnacle	yanki	0.408	0.337	0.457
barney	barney	0.451	0.378	0.440
barnyard	barnyard	0.510	0.353	0.336
barometer	barometer	0.388	0.273	0.545
baron	baron	0.520	0.358	0.709
baroness	baroness	0.625	0.453	0.755
baroque	Baroque	0.490	0.357	0.418
barrack	barrack	0.378	0.500	0.455
barracuda	barracuda	0.333	0.713	0.510
barrage	barrage	0.388	0.871	0.627
barred	kariya	0.143	0.741	0.535
barrel	ganga	0.429	0.298	0.474
barren	bakarare	0.173	0.373	0.221
barricade	barricade	0.323	0.667	0.673
barrier	shamaki	0.333	0.480	0.562
barring	barring	0.292	0.670	0.420
barrister	Barista	0.469	0.570	0.792
barroom	bargo	0.686	0.619	0.470
barrow	barrow	0.479	0.363	0.362
bartender	bartender	0.573	0.698	0.585
barter	barter	0.465	0.559	0.596
base	tushe	0.635	0.298	0.553
baseball	baseball	0.660	0.760	0.563
baseball bat	wasan kwallon baseball	0.667	0.567	0.509
baseboard	kwasfa	0.396	0.198	0.405
baseless	maras tushe	0.292	0.382	0.375
baseline	tushe	0.483	0.367	0.509
baseman	Baseman	0.604	0.449	0.462
basement	ginshiki	0.388	0.500	0.268
bases	asali	0.569	0.236	0.591
bash	bash	0.385	0.546	0.463
bashful	bashful	0.400	0.406	0.217
basic	asali	0.643	0.102	0.395
basics	kayan yau da kullum	0.688	0.311	0.491
basil	Basil	0.534	0.274	0.309
basilica	Basilica	0.612	0.302	0.639
basin	basin	0.552	0.231	0.398
basis	tushe	0.602	0.260	0.426
bask	bask	0.760	0.330	0.381
basket	kwando	0.458	0.227	0.336
basketball	kwando	0.814	0.764	0.435
bass	bass	0.427	0.206	0.268
bass guitar	bass guitar	0.738	0.370	0.294
basso	NO TRANSLATION	0.417	0.420	0.439
bassoon	Bassoon	0.500	0.433	0.310
bastard	bastard	0.094	0.692	0.289
bastarding	bastarding	0.104	0.608	0.269
bastards	bastards	0.082	0.680	0.422
bastion	bastion	0.531	0.500	0.596
bat	bat	0.324	0.409	0.480
batch	tsari	0.560	0.357	0.357
batching	batching	0.484	0.420	0.518
bate	NO TRANSLATION	0.429	0.525	0.464
bath	wanka	0.725	0.260	0.263
bathe	wanke	0.677	0.294	0.371
bathhouse	bathhouse	0.602	0.380	0.459
bathing	wanka	0.740	0.276	0.361
bathrobe	wanka	0.531	0.442	0.394
bathroom	gidan wanka	0.561	0.283	0.345
bathtub	bathtub	0.625	0.240	0.318
bathymetry	bathymetry	0.432	0.480	0.509
baton	baton	0.272	0.235	0.519
battalion	Battalion	0.333	0.818	0.795
batter	batter	0.561	0.245	0.373
battered	battered	0.080	0.790	0.306
battering	battering	0.210	0.798	0.490
battery	baturi	0.480	0.425	0.442
battle	yaki	0.365	0.945	0.868
battled	battled	0.292	0.794	0.575
battlefield	filin wasa	0.133	0.918	0.781
battleground	filin yaki	0.156	0.958	0.812
battlements	kullun	0.276	0.441	0.530
battleship	yakin basasa	0.479	0.750	0.726
batty	batty	0.375	0.619	0.274
bauble	bauble	0.698	0.429	0.255
bawdy	bawdy	0.184	0.823	0.508
bawl	bawl	0.385	0.880	0.561
bay	bay	0.719	0.365	0.569
bayonet	bayonet	0.263	0.775	0.561
bayou	bayou	0.469	0.431	0.324
bazaar	bazaar	0.604	0.340	0.500
bazooka	bazooka	0.302	0.824	0.634
bday	bday	0.729	0.600	0.415
be	zama	0.670	0.240	0.554
beach	rairayin bakin teku	0.885	0.529	0.455
beaches	rairayin bakin teku masu	0.865	0.500	0.538
beacon	beacon	0.580	0.407	0.537
bead	ƙwaro	0.592	0.388	0.381
beading	beading	0.542	0.320	0.398
beads	beads	0.673	0.388	0.552
beady	beady	0.448	0.417	0.443
beagle	beagle	0.649	0.470	0.395
beak	baki	0.375	0.363	0.411
beaker	beaker	0.420	0.410	0.391
beam	katako	0.584	0.349	0.382
beaming	layi	0.892	0.654	0.587
bean	wake	0.667	0.269	0.264
beanbag	beanbag	0.450	0.380	0.340
beanie	beanie	0.500	0.230	0.263
bear	hali	0.448	0.570	0.475
bearable	m	0.542	0.375	0.605
beard	gemu	0.490	0.261	0.371
bearded	bearded	0.439	0.337	0.391
bearer	mai ɗaukar hoto	0.571	0.547	0.676
bearing	hali	0.571	0.367	0.474
bearings	bearings	0.418	0.490	0.426
bearish	bearish	0.521	0.549	0.324
bearskin	fata	0.333	0.398	0.464
beast	dabba	0.214	0.780	0.732
beastly	wildly	0.146	0.874	0.843
beat	buga	0.279	0.647	0.492
beaten	dukan tsiya	0.083	0.846	0.265
beater	beater	0.438	0.545	0.482
beating	bugawa	0.153	0.833	0.481
beatnik	'yan sanda	0.429	0.510	0.382
beau	kyakkyawa	0.612	0.440	0.432
beautification	beautification	0.885	0.575	0.725
beautiful	kyau	0.875	0.614	0.648
beautify	kyau	0.898	0.592	0.736
beauty	kyakkyawa	0.842	0.600	0.644
beaver	beaver	0.490	0.344	0.393
bebop	bebop	0.482	0.490	0.358
beck	beck	0.580	0.375	0.418
beckon	beckon	0.663	0.455	0.452
become	zama	0.641	0.583	0.643
bed	gado	0.604	0.173	0.327
bedding	gado	0.704	0.276	0.377
bedpan	bedpan	0.510	0.400	0.362
bedrock	gado	0.561	0.340	0.598
bedroom	gida mai dakuna	0.744	0.296	0.491
bedside	bedide	0.604	0.167	0.375
bedspread	shimfidar litattafai	0.551	0.139	0.292
bedtime	kwanta barci	0.673	0.314	0.373
bee	kudan zuma	0.520	0.509	0.309
beef	naman sa	0.582	0.312	0.492
beefsteak	beefsteak	0.594	0.391	0.455
beehive	kudan zuma	0.541	0.700	0.422
beep	kara	0.595	0.541	0.304
beeper	beeper	0.438	0.720	0.441
beer	giya	0.592	0.654	0.500
bees	ƙudan zuma	0.562	0.635	0.412
beeswax	beeswax	0.583	0.402	0.375
beetle	ƙwaro	0.323	0.356	0.295
befall	ya faru	0.520	0.663	0.585
befitting	ya kamata	0.708	0.333	0.394
befriend	abokance	0.930	0.624	0.471
befuddled	befuddled	0.156	0.714	0.269
beg	roƙe	0.292	0.608	0.328
beggar	bara	0.240	0.402	0.116
begging	suna rokon	0.292	0.461	0.202
begin	fara	0.677	0.569	0.763
beginner	farawa	0.490	0.480	0.387
beginning	fara	0.816	0.528	0.558
beginnings	farkon	0.837	0.527	0.600
begrudge	begrudge	0.177	0.731	0.377
begun	fara	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	nuna hali	0.677	0.363	0.747
behavior	hali	0.594	0.442	0.813
behavioral	hali	0.612	0.440	0.708
behemoth	Behemoth	0.583	0.781	0.853
behest	behest	0.602	0.350	0.720
behold	ga shi	0.610	0.284	0.449
beholden	dubaen	0.296	0.555	0.212
beholder	mai gani	0.714	0.491	0.520
beige	m	0.490	0.222	0.224
belated	zama mai farin ciki	0.240	0.400	0.214
belay	belay	0.500	0.472	0.702
belch	belch	0.194	0.562	0.240
belief	imani	0.896	0.375	0.656
believable	m	0.866	0.390	0.676
believe	yi imani	0.781	0.370	0.682
believed	yi imani	0.500	0.562	0.547
believer	mai bi	0.725	0.445	0.564
believing	gaskantawa	0.870	0.418	0.833
belittle	belittle	0.122	0.417	0.250
belittled	belittled	0.177	0.392	0.226
bell	kararrawa	0.552	0.510	0.505
bellboy	bellboy	0.542	0.363	0.302
bellhop	bellhop	0.500	0.287	0.318
belligerent	belligerent	0.344	0.680	0.594
bellman	bellman	0.540	0.250	0.371
bellow	bellow	0.248	0.337	0.212
bellows	gurbin	0.458	0.515	0.429
belly	ciki	0.510	0.388	0.387
bellybutton	cikibutton	0.531	0.283	0.360
bellyful	ciki	0.347	0.806	0.519
belong	kasance	0.643	0.405	0.569
belongings	dukiya	0.592	0.380	0.750
beloved	ƙaunataccen	0.969	0.613	0.708
belt	bel	0.541	0.322	0.445
beluga	beluga	0.510	0.333	0.482
bemused	bemused	0.281	0.490	0.278
bench	benci	0.571	0.289	0.544
bend	tanƙwara	0.571	0.324	0.368
bender	bender	0.490	0.510	0.466
bending	lankwasawa	0.448	0.565	0.455
beneath	ƙasa	0.354	0.173	0.233
benedictory	benedictory	0.677	0.438	0.481
benefactor	mai jinƙai	0.833	0.578	0.755
beneficial	amfani	0.820	0.579	0.703
beneficiary	amfana	0.776	0.399	0.616
benefit	amfana	0.906	0.422	0.806
benevolence	benevolence	0.786	0.340	0.717
benevolent	alheri	0.786	0.407	0.651
benign	bashi	0.694	0.440	0.509
bent	lankwasa	0.375	0.453	0.298
benzene	benzene	0.439	0.459	0.403
bequeath	ƙulla	0.743	0.500	0.741
bequest	bequest	0.661	0.398	0.882
bereaved	warai	0.104	0.479	0.221
bereavement	bereavement	0.265	0.677	0.500
bereft	kullun	0.229	0.490	0.336
beret	beret	0.542	0.240	0.327
bergamot	bergamot	0.510	0.365	0.339
berlin	berlin	0.592	0.423	0.571
berserk	berserk	0.398	0.556	0.480
berth	baka	0.295	0.337	0.596
beryllium	beryllium	0.417	0.412	0.425
beseech	yin addu'a	0.330	0.441	0.600
beset	baƙi	0.385	0.717	0.317
bestdayever	bestdayever	0.760	0.646	0.593
bestfeeling	bestfeeling	0.806	0.509	0.625
bestfriends	mafi kyau	0.934	0.662	0.647
bestial	mafi kyau	0.260	0.761	0.674
besties	besties	0.888	0.509	0.614
bestow	ba da kyauta	0.656	0.560	0.642
bestseller	bestseller	0.771	0.643	0.700
bet	bet	0.385	0.698	0.432
beta	beta	0.710	0.370	0.439
betray	cin amana	0.042	0.870	0.536
betrayal	cin amana	0.083	0.719	0.418
betrayed	ci amanar	0.122	0.769	0.308
betrothed	wajaba	0.833	0.630	0.667
betterment	kyautatawa	0.898	0.536	0.769
betting	betting	0.237	0.804	0.411
betty	m	0.542	0.358	0.381
bevel	harsashi	0.757	0.406	0.454
beverage	abin sha	0.635	0.490	0.389
bevy	bevy	0.429	0.460	0.541
beware	yi hankali	0.151	0.596	0.518
bewilder	bewilder	0.306	0.571	0.289
bewildered	ƙaddara	0.230	0.630	0.300
bewilderment	damuwa	0.312	0.716	0.216
bias	bias	0.400	0.370	0.541
biased	ba da son zuciya ba	0.271	0.302	0.368
bib	Littafi	0.385	0.396	0.339
bible	Littafi Mai Tsarki	0.719	0.225	0.726
biblical	Littafi Mai Tsarki	0.635	0.304	0.712
bibliography	bibliography	0.622	0.204	0.528
bicarbonate	bicarbonate	0.479	0.337	0.438
bicentennial	bicentennial	0.541	0.423	0.507
biceps	biceps	0.592	0.588	0.602
bicker	bicker	0.143	0.643	0.552
bickering	bickering	0.122	0.800	0.536
bicolor	bicolor	0.580	0.327	0.404
bicycle	keke	0.708	0.519	0.425
bid	karo	0.760	0.530	0.655
bidder	bidda	0.465	0.474	0.433
bidding	bidarwa	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	biennial	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	bifurcation	0.385	0.625	0.352
big	babban	0.802	0.588	0.812
bigamy	bigamy	0.327	0.696	0.482
bigday	babban rana	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	biggie	0.531	0.481	0.500
bighorn	bighorn	0.480	0.547	0.580
bigmouth	bigmouth	0.417	0.577	0.430
bigot	babbanot	0.479	0.745	0.517
bigoted	babba	0.153	0.760	0.462
bigotry	bigotry	0.356	0.737	0.481
bike	keke	0.708	0.500	0.333
biker	biker	0.604	0.710	0.567
bikini	bikini	0.730	0.639	0.353
bilateral	bilateral	0.633	0.343	0.491
bilayer	bilayer	0.438	0.398	0.388
bile	bile	0.157	0.461	0.324
bilge	bilge	0.316	0.392	0.412
bilingual	bilingual	0.735	0.490	0.606
bill	lissafin	0.396	0.402	0.535
billboard	harsashi	0.594	0.317	0.481
billet	billet	0.479	0.583	0.500
billiard	Billiard	0.719	0.616	0.543
billiards	billiards	0.643	0.559	0.387
billing	cajin kudi	0.406	0.481	0.670
billion	biliyan	0.719	0.564	0.782
billionaire	billionaire	0.806	0.667	0.923
billy	Billy	0.490	0.397	0.375
bimbo	bimbo	0.396	0.370	0.300
bimonthly	bimonthly	0.408	0.298	0.471
bin	bin	0.422	0.304	0.327
binary	binary	0.490	0.356	0.420
bind	ɗaure	0.398	0.462	0.448
binder	bindiga	0.438	0.250	0.308
bindery	bindery	0.548	0.388	0.482
binding	dauri	0.438	0.425	0.640
bing	bing	0.573	0.453	0.415
binge	binge	0.304	0.650	0.500
bingo	bingo	0.735	0.667	0.429
binocular	binocular	0.531	0.344	0.426
binoculars	binoculars	0.490	0.309	0.411
binomial	binomial	0.600	0.406	0.426
bio	bio	0.612	0.225	0.490
biochemical	biochemical	0.367	0.481	0.618
biochemist	biochemist	0.471	0.449	0.717
biochemistry	biochemistry	0.552	0.531	0.596
biogenesis	kwayoyin halitta	0.594	0.442	0.697
biographer	mai ba da labari	0.708	0.427	0.617
biography	biography	0.698	0.229	0.718
biological	nazarin halittu	0.590	0.410	0.615
biologist	masanin halitta	0.625	0.453	0.693
biology	ilimin halitta	0.479	0.274	0.546
bionic	bionic	0.571	0.570	0.788
biopsy	biopsy	0.323	0.657	0.481
biosphere	biosphere	0.684	0.351	0.579
bipartite	bipartite	0.365	0.480	0.464
bipolar	gurbin	0.208	0.685	0.426
birch	birch	0.562	0.346	0.382
bird	tsuntsu	0.729	0.357	0.364
birdcage	tsuntsu	0.480	0.398	0.318
birdie	tsuntsu	0.594	0.394	0.407
birdman	tsuntsu	0.490	0.567	0.604
birth	haihuwa	0.896	0.655	0.536
birthday	birthday	0.969	0.844	0.575
birthing	buƙata	0.796	0.877	0.519
birthmark	martaba	0.630	0.461	0.500
birthplace	wurin haifuwa	0.781	0.290	0.491
birthright	matsakaicin haihuwa	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	kuki	0.888	0.260	0.231
bisexual	bisexual	0.438	0.765	0.459
bishop	bishop	0.594	0.184	0.725
bison	bison	0.573	0.433	0.557
bisque	bisque	0.693	0.443	0.312
bistro	bistro	0.594	0.472	0.396
bit	bit	0.427	0.310	0.225
bitch	Ciyawa	0.276	0.740	0.343
bitchy	bitchy	0.188	0.700	0.373
bite	ciji	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	bitsy	0.510	0.388	0.382
bitter	m	0.218	0.627	0.411
bitterly	m	0.194	0.685	0.362
bitterness	haushi	0.115	0.633	0.270
bittersweet	Karin bayani	0.469	0.569	0.474
bitty	bitty	0.469	0.271	0.257
bitumen	bitumen	0.375	0.235	0.307
biweekly	biweekly	0.581	0.337	0.455
biz	biz	0.500	0.473	0.473
bizarre	m	0.379	0.620	0.392
blab	launi	0.438	0.425	0.353
blabbermouth	blabbermouth	0.323	0.640	0.422
black	baki	0.326	0.339	0.390
black snake	baki maciji	0.104	0.860	0.612
blackberry	blackberry	0.667	0.413	0.453
blackbird	blackbird	0.520	0.340	0.405
blackboard	allo	0.469	0.255	0.287
blacken	blacken	0.208	0.500	0.228
blackface	blackface	0.302	0.490	0.441
blackjack	blackjack	0.419	0.679	0.452
blacklist	blacklist	0.133	0.750	0.396
blackmail	baƙaƙe	0.094	0.802	0.482
blackmailer	blackmailer	0.092	0.780	0.472
blackness	baki	0.260	0.480	0.406
blackout	baƙaƙe	0.126	0.530	0.349
blacksmith	makami	0.480	0.531	0.702
bladder	mafitsara	0.406	0.412	0.330
blade	ruwa	0.378	0.602	0.594
blame	zargi	0.115	0.640	0.309
blameless	marasa laifi	0.759	0.196	0.343
bland	bland	0.300	0.226	0.157
blank	blank	0.531	0.229	0.250
blanket	bargo	0.740	0.132	0.391
blare	m	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	sabo	0.210	0.755	0.491
blasphemy	sabo	0.146	0.794	0.406
blast	fashewa	0.167	0.929	0.777
blaster	blaster	0.459	0.538	0.554
blastoff	blastoff	0.357	0.865	0.736
blatant	blatant	0.327	0.677	0.675
blather	karamin	0.344	0.481	0.382
blaze	ƙona wuta	0.698	0.467	0.658
blazer	blazer	0.635	0.385	0.417
blazing	ƙonawa	0.594	0.896	0.735
bleach	Bleach	0.336	0.282	0.337
bleak	m	0.204	0.427	0.272
bleed	bugi	0.041	0.843	0.346
bleeder	jaka	0.260	0.852	0.356
bleeding	zub da jini	0.135	0.817	0.408
bleep	busa	0.479	0.667	0.345
blemish	bama	0.219	0.558	0.272
blemished	blemished	0.173	0.469	0.370
blend	gauraya	0.469	0.452	0.463
blender	blender	0.602	0.534	0.351
blending	blending	0.560	0.418	0.637
bless	albarka	0.929	0.269	0.588
blessed	albarka	0.910	0.279	0.696
blessing	albarka	0.929	0.264	0.800
blessings	albarka	0.929	0.361	0.623
bleu	blue	0.460	0.354	0.379
blight	Blight	0.271	0.771	0.429
blighted	m	0.146	0.615	0.296
blimp	blimp	0.600	0.410	0.532
blind	makãho	0.156	0.360	0.184
blinded	makanta	0.245	0.471	0.231
blindfold	ƙullufi	0.448	0.684	0.337
blindfolded	an rufe idanu	0.208	0.564	0.209
blinding	makanta	0.304	0.596	0.406
blindly	makanta	0.439	0.598	0.278
blindness	makanta	0.245	0.480	0.196
blink	busa	0.552	0.316	0.324
blip	blip	0.529	0.461	0.418
bliss	ni'ima	0.816	0.500	0.782
blissful	ni'ima	0.885	0.639	0.676
blister	damuwa	0.407	0.538	0.402
blistering	ciwo	0.344	0.569	0.390
blitz	blitz	0.417	0.722	0.789
blizzard	blizzard	0.375	0.726	0.417
bloat	bloat	0.229	0.694	0.298
bloated	m	0.167	0.593	0.424
blob	blob	0.500	0.376	0.298
block	toshe	0.286	0.350	0.402
blockade	ƙullawa	0.380	0.519	0.510
blockage	blockage	0.250	0.608	0.444
blockbuster	blockbuster	0.730	0.676	0.883
blockhead	makirci	0.163	0.333	0.148
blog	blog	0.639	0.390	0.432
bloke	bloke	0.450	0.479	0.545
blond	gashi	0.590	0.490	0.490
blonde	m	0.698	0.545	0.412
blood	jini	0.219	0.684	0.585
bloodbath	jinin jini	0.060	0.971	0.475
bloodhound	bloodhound	0.327	0.462	0.538
bloodless	marasa jini	0.292	0.390	0.212
bloodline	Rawan jini	0.510	0.657	0.604
bloodshed	zubar da jini	0.048	0.942	0.525
bloodshot	jinin jini	0.188	0.810	0.482
bloodstream	jini	0.552	0.530	0.528
bloodthirsty	jinin jini	0.052	0.804	0.644
bloody	jini	0.031	0.910	0.518
bloom	Bloom	0.816	0.453	0.587
bloomers	bloomers	0.521	0.587	0.395
blooming	blooming	0.860	0.452	0.593
blossom	fure	0.792	0.275	0.309
blot	cire	0.365	0.304	0.223
blotched	An cire shi	0.133	0.562	0.264
blotter	blotter	0.360	0.298	0.280
blouse	sutura	0.580	0.190	0.302
blow	buga	0.316	0.750	0.570
blower	blower	0.564	0.550	0.536
blowfish	buɗafi	0.344	0.420	0.389
blowing	busawa	0.521	0.472	0.434
blowjob	fashe	0.460	0.784	0.387
blown	kara	0.333	0.548	0.412
blowout	kariya	0.398	0.792	0.616
blowtorch	blowtorch	0.520	0.730	0.510
blubber	damuwa	0.388	0.260	0.360
bluddy	bluddy	0.312	0.528	0.442
blue	blue	0.646	0.137	0.291
blue spruce	blue spruce	0.559	0.335	0.364
blueberry	blueberry	0.656	0.185	0.365
bluebird	bluebird	0.573	0.350	0.450
bluegrass	bluegrass	0.573	0.441	0.395
bluejay	bluejay	0.635	0.520	0.310
blueprint	tsarin rubutu	0.490	0.173	0.425
blues	blues	0.469	0.220	0.287
bluff	bluff	0.418	0.286	0.377
bluish	bluish	0.604	0.245	0.382
blunder	ɓarna	0.135	0.635	0.145
blunt	m	0.551	0.680	0.925
blur	blur	0.268	0.471	0.205
blurred	bala'i	0.320	0.367	0.231
blurry	damuwa	0.059	0.385	0.218
blurt	ƙwaƙwalwa	0.408	0.439	0.441
blush	blush	0.698	0.610	0.445
blushing	blushing	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	boar	0.406	0.500	0.351
board	hukumar	0.592	0.255	0.385
board game	wasan hukumar	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	shiga shiga	0.531	0.402	0.534
boardroom	ɗakin ajiya	0.555	0.566	0.661
boards	allon	0.469	0.270	0.524
boardwalk	jirgin sama	0.643	0.481	0.549
boast	fariya	0.520	0.586	0.569
boastful	girman kai	0.490	0.806	0.695
boasting	alfahari	0.417	0.620	0.602
boat	jirgin ruwa	0.516	0.420	0.554
boathouse	jirgin ruwa	0.592	0.380	0.404
boating	boating	0.638	0.613	0.557
boatload	jirgin ruwa	0.365	0.415	0.485
boatman	jirgin ruwa	0.592	0.573	0.562
bobbin	bobbin	0.429	0.472	0.353
bobcat	bobcat	0.562	0.490	0.529
bobsled	bobsled	0.667	0.613	0.325
bode	bode	0.344	0.406	0.411
bodega	bodega	0.573	0.307	0.398
bodice	bodice	0.390	0.471	0.386
bodily	jiki	0.594	0.481	0.557
body	jiki	0.694	0.461	0.571
bodyguard	masu tsaron gida	0.510	0.710	0.754
bog	bog	0.302	0.361	0.365
bogey	bogey	0.380	0.519	0.368
bogeyman	bogeyman	0.388	0.708	0.517
bogus	buguwa	0.219	0.353	0.144
bohemian	bohemian	0.622	0.500	0.407
boil	tafasa	0.417	0.684	0.433
boiler	rawanin ruwa	0.561	0.590	0.509
boilerplate	kayan aiki	0.398	0.519	0.387
boiling	tafasa	0.302	0.690	0.526
boisterous	m	0.385	0.806	0.565
bold	m	0.490	0.271	0.483
boldness	ƙarfin hali	0.806	0.684	0.814
bollocks	bollocks	0.448	0.471	0.327
bolster	buƙata	0.708	0.471	0.569
bolt	kuskure	0.354	0.363	0.426
bolus	bolus	0.426	0.491	0.352
bomb	bam	0.167	0.912	0.750
bombard	bombard	0.156	0.961	0.777
bombardier	bombardier	0.240	0.863	0.787
bombardment	bombardment	0.146	0.959	0.742
bombed	bomb	0.051	0.851	0.627
bomber	fashe	0.125	0.837	0.810
bombers	masu fashewa	0.173	0.920	0.787
bombing	bom	0.167	0.963	0.732
