Word	Igbo-ig	Valence	Arousal	Dominance
child	nwa	0.912	0.460	0.413
childbirth	ịmụ nwa	0.604	0.861	0.673
childhood	n'oge nwata	0.865	0.413	0.307
childish	nwata	0.573	0.442	0.230
childless	enweghị nwa	0.310	0.400	0.396
childlike	dị ka nwata	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	ụmụ	0.857	0.538	0.435
chili	chili	0.592	0.566	0.433
chill	kpakpando	0.837	0.206	0.482
chilled	chilled	0.521	0.340	0.482
chilling	chilling	0.208	0.850	0.358
chilly	chilly	0.329	0.459	0.408
chime	chime	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	chimes	0.625	0.490	0.402
chimney	chimni	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	chimpanzee	0.500	0.633	0.387
chin	Eke	0.571	0.310	0.269
china	china	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	mgbawa	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	chipping	0.354	0.452	0.353
chiropractor	chiropractor	0.420	0.549	0.651
chirp	chi	0.469	0.602	0.365
chirping	chirping	0.500	0.463	0.360
chisel	chisel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	chitchat	0.673	0.455	0.403
chivalry	chivalry	0.857	0.380	0.848
chloride	chloride	0.265	0.387	0.474
chlorine	chlorine	0.306	0.327	0.332
chloroform	chloroform	0.281	0.370	0.393
chocolate	chocolate	0.885	0.480	0.418
choice	nhọrọ	0.745	0.520	0.664
choir	choir	0.704	0.298	0.473
choke	choke	0.167	0.788	0.676
cholera	cholera	0.020	0.867	0.507
cholesterol	cholesterol	0.198	0.583	0.398
choose	họrọ	0.615	0.542	0.648
choosing	ịhọrọ	0.719	0.529	0.689
choosy	họrọ	0.280	0.760	0.712
chop	iri	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	ịcha	0.560	0.625	0.362
chops	kporo	0.612	0.420	0.269
choral	choral	0.852	0.290	0.421
chord	kwadoro	0.729	0.394	0.539
chords	chords	0.639	0.406	0.388
chore	chore	0.406	0.462	0.500
choreographer	choreographer	0.646	0.639	0.625
choreography	choreography	0.812	0.750	0.547
chorus	egwu	0.620	0.417	0.500
chosen	ahọrọ	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	Kris	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	Krisening	0.725	0.382	0.650
christian	Kraịst	0.760	0.241	0.591
christmas	Krismas	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	Krismas	0.837	0.588	0.515
chromatic	chromatic	0.407	0.413	0.435
chromatography	chromatography	0.480	0.537	0.535
chrome	chrome	0.582	0.373	0.421
chromium	chromium	0.458	0.404	0.447
chromosome	chromosome	0.500	0.296	0.548
chronic	ala ala	0.255	0.615	0.464
chronicle	nyocha	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	usoro oge	0.594	0.445	0.600
chubby	ọhụụ	0.531	0.427	0.304
chuck	ncha	0.542	0.509	0.413
chuckle	chuckle	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	chum	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	chunk	0.365	0.287	0.214
chunky	chunky	0.520	0.517	0.509
church	ụka	0.708	0.198	0.610
churchyard	chọọchị	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	ada	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	siga	0.306	0.463	0.346
cigarette	sịga	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	sirima	0.698	0.538	0.500
cinematic	cinematic	0.663	0.490	0.600
cinematographer	onye na-ese vidio	0.792	0.455	0.711
cinematography	mmepụta ihe nkiri	0.781	0.571	0.625
cinnamon	pawuda	0.600	0.250	0.292
cipher	cipher	0.490	0.414	0.500
circle	gburugburu	0.480	0.290	0.343
circling	agbagharị	0.510	0.654	0.336
circuit	sekit	0.586	0.461	0.707
circuitry	circuitry	0.596	0.615	0.536
circular	okirikiri	0.562	0.342	0.417
circulate	gbara gburugburu	0.612	0.388	0.320
circulation	mgbasa ozi	0.735	0.520	0.657
circulatory	ọbara	0.592	0.575	0.545
circumcision	ibi úgwù	0.327	0.657	0.528
circumference	gbara gburugburu	0.458	0.255	0.488
circumferential	agafe	0.551	0.422	0.509
circumscribed	gbara gburugburu	0.365	0.539	0.569
circumstance	ọnọdụ	0.520	0.565	0.596
circumstances	ọnọdụ	0.562	0.527	0.464
circumstantial	dị mkpa	0.500	0.538	0.519
circumvent	gafere	0.316	0.642	0.383
circumvention	gabigara	0.531	0.571	0.473
circus	ihe nkiri	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirrhosis	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	olulu mmiri	0.541	0.413	0.432
citadel	citadel	0.585	0.464	0.602
citation	okwu	0.570	0.549	0.508
cite	ebe	0.625	0.454	0.532
citizen	nwa amaala	0.631	0.250	0.586
citizenship	ụmụ amaala	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	citrus	0.469	0.368	0.375
city	obodo	0.847	0.531	0.508
citywide	obodo dum	0.592	0.509	0.707
civic	obodo	0.653	0.240	0.573
civics	obodo	0.700	0.279	0.720
civil	obodo	0.521	0.281	0.517
civilian	ndị nkịtị	0.700	0.229	0.598
civilians	ndị nkịtị	0.490	0.448	0.525
civility	civility	0.760	0.306	0.679
civilization	mmepeanya	0.823	0.452	0.839
civilized	mepere anya	0.792	0.231	0.796
clad	mechie	0.583	0.373	0.481
claim	Mgbarakwa	0.255	0.760	0.473
claimant	onye na-ekwu okwu	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	nkpuchi	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	kpoo	0.438	0.643	0.360
clamp	mwepu	0.541	0.388	0.454
clan	ezinụlọ	0.562	0.491	0.686
clandestine	ezighi ezi	0.425	0.677	0.469
clang	mechie	0.459	0.520	0.510
clap	kpoo	0.779	0.731	0.529
clapper	mechie	0.500	0.229	0.420
clapping	na-akụchi	0.823	0.894	0.686
clarification	nkowa	0.802	0.461	0.613
clarify	dokwuo anya	0.652	0.535	0.625
clarinet	clarinet	0.592	0.453	0.411
clarion	nkpu	0.500	0.443	0.422
clarity	doo anya	0.796	0.310	0.631
clash	nsogbu	0.293	0.918	0.453
clashing	ịlụ ọgụ	0.177	0.764	0.575
clasp	nchikọta	0.448	0.375	0.241
class	klas	0.656	0.314	0.522
classic	kpochapụ	0.690	0.260	0.611
classic rock	kristal mara mma	0.729	0.571	0.588
classical	oge gboo	0.643	0.198	0.536
classics	akarị	0.750	0.333	0.510
classification	nhazi ọkwa	0.583	0.423	0.613
classified	nke a	0.571	0.460	0.663
classify	dozie	0.646	0.411	0.720
classmate	nwa klas gị	0.781	0.400	0.593
classroom	klas	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	kpoo	0.418	0.820	0.387
clause	nkowa	0.480	0.409	0.528
clauses	nkowa	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
claustrophobic	claustrophobic	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	ncha	0.260	0.600	0.598
claws	ncha	0.281	0.698	0.562
clay	ụrọ	0.542	0.250	0.267
clean	dị ọcha	0.827	0.170	0.500
cleaner	Cleaner	0.604	0.556	0.375
cleaning	nhicha	0.595	0.396	0.427
cleanliness	ịdị ọcha	0.816	0.363	0.609
cleanly	ọcha	0.823	0.352	0.583
cleanse	sacha	0.625	0.310	0.660
cleanser	ọcha	0.604	0.353	0.433
cleansing	ọcha	0.729	0.298	0.472
cleanup	hichapụ	0.729	0.314	0.451
clear	doro anya	0.857	0.327	0.573
clearance	nnyefe	0.542	0.459	0.473
clearing	nhichapu	0.680	0.333	0.509
clearness	doro anya	0.875	0.316	0.689
cleat	isi	0.486	0.260	0.361
cleavage	ikpochapu	0.542	0.602	0.454
cleave	kpochapụ	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	isi	0.615	0.360	0.595
cleft	ncha	0.306	0.442	0.360
clemency	ike	0.594	0.417	0.397
clench	clench	0.438	0.618	0.580
clergy	ndị ụkọchukwu	0.531	0.312	0.575
clergyman	onye ụkọchukwu	0.594	0.330	0.556
cleric	ụkọchukwu	0.521	0.324	0.589
clerical	ndị ụkọchukwu	0.520	0.396	0.491
clerk	odeakwụkwọ	0.500	0.579	0.509
clerkship	ụlọ akwụkwọ	0.582	0.380	0.596
clever	onye maara ihe	0.896	0.353	0.729
cleverness	nkọ	0.878	0.509	0.921
click	pịa	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	onye ahịa	0.583	0.450	0.618
clientele	ndị ahịa	0.625	0.577	0.508
cliff	elu ugwu	0.361	0.620	0.509
climate	ihu igwe	0.635	0.240	0.483
climatology	climatology	0.531	0.367	0.541
climax	oke	0.735	0.853	0.667
climb	arịgo	0.615	0.660	0.604
climber	arịgo elu	0.573	0.716	0.735
clinch	ụlọ	0.469	0.538	0.430
cling	jidesie ike	0.417	0.620	0.588
clingy	jidesie ike	0.224	0.460	0.370
clinic	ụlọ ọgwụ	0.469	0.439	0.600
clinical	ọgwụ	0.337	0.412	0.640
clink	clink	0.458	0.462	0.319
clip	clip	0.438	0.310	0.381
clipboard	ihe nhazi	0.594	0.255	0.423
clipper	clipper	0.293	0.422	0.383
clipping	clipping	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	uwe mgbokwasị	0.469	0.188	0.333
cloaking	ejiji	0.521	0.595	0.389
cloakroom	akwa igwe	0.690	0.254	0.397
clobber	na-ekpuchi	0.396	0.578	0.464
clock	elekere	0.677	0.173	0.407
clockwork	clockwork	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	clog	0.104	0.618	0.454
cloister	cloister	0.438	0.413	0.475
clone	mmepụta oyiri	0.406	0.471	0.524
cloning	cloning	0.216	0.696	0.679
close	nso	0.292	0.260	0.263
closed	mechiri	0.240	0.164	0.318
closeness	nsochi	0.796	0.237	0.450
closet	imechi	0.531	0.204	0.330
closure	mmechi	0.229	0.220	0.412
clot	clot	0.150	0.558	0.275
cloth	ákwà	0.510	0.190	0.287
clothe	uwe	0.797	0.330	0.481
clothes	uwe	0.833	0.270	0.414
clothesline	uwe akwa	0.582	0.324	0.366
clothing	uwe	0.750	0.343	0.407
cloud	igwe ojii	0.740	0.133	0.342
clouded	kpakpando	0.240	0.213	0.302
cloudiness	igwe ojii	0.469	0.250	0.343
clouds	igwe ojii	0.735	0.195	0.324
cloudy	igwe ojii	0.281	0.280	0.202
clout	ncha	0.584	0.636	0.704
clove	nchara	0.439	0.296	0.315
clover	clover	0.605	0.340	0.364
cloves	cloves	0.427	0.218	0.396
clown	ncha	0.650	0.598	0.300
clowns	clowns	0.600	0.673	0.391
club	osisi	0.646	0.618	0.393
clubhouse	ụlọ ụlọ	0.694	0.571	0.493
clubs	klọb	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	ihe ngosi	0.653	0.380	0.412
clueless	enweghị ntụpọ	0.350	0.333	0.161
clump	juputa	0.551	0.480	0.582
clumsy	enweghị ntụpọ	0.125	0.420	0.144
clunk	ike	0.448	0.472	0.407
cluster	ụyọkọ	0.490	0.458	0.446
clutch	njide	0.383	0.500	0.491
clutches	ejiri aka	0.542	0.373	0.528
clutter	njide	0.135	0.598	0.400
coach	nchịkwa	0.633	0.823	0.735
coachman	onye nhazi	0.479	0.394	0.509
coagulation	coagulation	0.381	0.558	0.436
coal	coal	0.360	0.241	0.340
coalesce	coalesce	0.479	0.434	0.529
coalition	mmekorita	0.490	0.730	0.673
coarse	oke nkpa	0.333	0.481	0.481
coast	n'ụsọ oké osimiri	0.719	0.396	0.458
coastal	n'ụsọ oké osimiri	0.604	0.370	0.510
coaster	na-eme njem	0.612	0.788	0.627
coastline	n'ụsọ oké osimiri	0.745	0.282	0.441
coat	uwe	0.677	0.256	0.464
coating	mkpuchi	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	cobalt	0.408	0.325	0.441
cobble	ọkpụkpụ	0.448	0.385	0.368
cobbler	ọkpụkpụ	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	cocaine	0.156	0.840	0.373
cock	n'ike mmụọ nsọ	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	ụgbọ elu	0.520	0.424	0.343
cockroach	eme ihe	0.188	0.667	0.196
cocksucker	cockwacker	0.083	0.764	0.339
cocktail	mmanya	0.740	0.480	0.381
cocky	cocky	0.260	0.784	0.519
cocoa	koko	0.776	0.255	0.322
coconut	akụ oyibo	0.622	0.265	0.227
cocoon	akwuru	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	koodu	0.583	0.308	0.491
codeine	codeine	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	nhazi	0.448	0.400	0.698
codify	codify	0.448	0.410	0.679
coding	nzuzo	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	ọnụọgụgụ	0.677	0.415	0.702
coerce	coerce	0.260	0.741	0.517
coercion	ike mmanye	0.330	0.708	0.577
coercive	mkparịta ụka	0.479	0.670	0.506
coexist	coexist	0.708	0.460	0.536
coexistence	enwe mmekọrịta	0.588	0.472	0.638
coexisting	na-ebikọ ọnụ	0.551	0.349	0.648
coffee	kọfị	0.823	0.418	0.309
coffee table	okpokoro kọfị	0.720	0.339	0.295
coffeehouse	kọfị	0.694	0.357	0.307
coffeepot	coffeepot	0.760	0.333	0.312
coffin	akpati	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	ego	0.765	0.479	0.836
cognac	cognac	0.615	0.510	0.430
cognate	chekwaa	0.615	0.350	0.398
cognition	cognition	0.635	0.344	0.706
cognitive	ezi uche	0.513	0.401	0.634
cohabitation	ịba ụba	0.646	0.526	0.598
coherence	mmekọrịta	0.720	0.406	0.788
coherent	dị mma	0.698	0.281	0.500
cohesion	cohesion	0.604	0.536	0.555
cohesive	cohesive	0.531	0.470	0.603
cohort	ngalaba	0.459	0.551	0.566
coil	mgbakwunye	0.448	0.343	0.298
coiled	weghaara	0.378	0.518	0.389
coin	ego	0.677	0.574	0.445
coinage	coinage	0.500	0.400	0.545
coincide	adaba	0.635	0.490	0.593
coincidence	emekorita	0.612	0.450	0.518
coincident	kwadoro	0.562	0.385	0.602
coincidental	na-agakọ	0.646	0.481	0.337
coinciding	adaba	0.673	0.373	0.623
coke	coke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	oyi	0.398	0.538	0.348
coldly	oyi	0.365	0.358	0.407
coldness	oyi	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	colic	0.135	0.736	0.361
coliseum	kolise	0.612	0.663	0.704
collaborate	imekota	0.816	0.449	0.559
collaboration	mmekorita	0.885	0.628	0.741
collaborator	onye na-emekọ ihe	0.729	0.320	0.769
collage	nhazi	0.680	0.321	0.375
collagen	ngwugwu	0.541	0.245	0.450
collapse	ida	0.208	0.689	0.342
collar	olu akwa	0.656	0.442	0.446
collarbone	akpụkpọ ụkwụ	0.420	0.427	0.306
collate	kpokọta	0.438	0.448	0.580
collateral	nkwenye	0.531	0.422	0.717
collation	nchịkọta	0.520	0.333	0.508
colleague	onye ọrụ	0.740	0.413	0.600
collect	nakọta	0.635	0.481	0.491
collected	anakọtara	0.570	0.402	0.588
collection	nchịkọta	0.725	0.311	0.588
collective	mkpokọta	0.583	0.458	0.698
collectively	otu	0.817	0.573	0.533
collector	nchịkọta	0.552	0.481	0.648
college	mahadum	0.700	0.467	0.746
collegiate	kollegiate	0.592	0.461	0.678
collide	zukọta	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	nkuku	0.245	0.848	0.585
collocation	ebe obibi	0.637	0.360	0.594
colloquial	mkparịta ụka	0.604	0.363	0.368
collusion	nkwekọrịta	0.365	0.510	0.400
cologne	cologne	0.677	0.413	0.552
colon	colon	0.449	0.394	0.384
colonel	colonel	0.459	0.592	0.890
colonial	colonial	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	colonoscopy	0.208	0.524	0.466
colony	ógbè	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	agba	0.786	0.280	0.402
coloration	agba	0.541	0.520	0.443
colored	acha	0.806	0.317	0.275
colorful	acha	0.850	0.520	0.519
coloring	agba	0.781	0.469	0.353
colorless	enweghị ntụpọ	0.354	0.340	0.250
colors	agba	0.875	0.349	0.340
colossal	agba	0.698	0.692	0.900
colt	nwa ehi	0.561	0.587	0.543
columbine	ụlọ akwụkwọ	0.520	0.521	0.407
column	kọlụm	0.480	0.250	0.670
columnar	nchịkọta	0.448	0.340	0.491
columnist	nhazi akwukwo	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	coma	0.219	0.255	0.302
comatose	mara mma	0.143	0.438	0.433
comb	mbo	0.490	0.123	0.268
combat	agha	0.302	0.846	0.833
combatant	onye agha	0.531	0.853	0.780
combative	agwakọta	0.381	0.690	0.816
combination	Nchikota	0.708	0.480	0.726
combinatorial	ejikọta ọnụ	0.561	0.436	0.428
combine	ikpokọta	0.663	0.442	0.533
combined	jikọtara	0.622	0.370	0.500
combo	ngwakọta	0.698	0.439	0.453
combustible	combustible	0.386	0.650	0.750
combustion	combustion	0.457	0.807	0.591
come	bia	0.529	0.269	0.558
comeback	laghachite azụ	0.580	0.409	0.555
comedian	comedian	0.812	0.735	0.598
comedy	ọchị	0.918	0.555	0.490
comet	comet	0.704	0.679	0.471
comfort	nkasi obi	0.863	0.231	0.670
comfortable	ntụsara ahụ	0.927	0.163	0.473
comforter	nkasi obi	0.618	0.275	0.302
comforting	nkasi obi	0.906	0.337	0.620
comfy	comfy	0.930	0.241	0.625
comic	ọchị	0.917	0.459	0.387
comical	ọchị	0.844	0.737	0.327
comics	ihe egwuregwu	0.690	0.556	0.384
coming	abịa	0.653	0.417	0.500
comma	njuma	0.344	0.269	0.242
command	iwu	0.427	0.790	0.849
commandant	onye ndu	0.622	0.700	0.943
commandeer	nhazi	0.552	0.639	0.931
commander	ọchịagha	0.531	0.615	0.906
commanding	na-enye iwu	0.562	0.664	0.925
commandment	iwu	0.656	0.490	0.876
commando	iwu	0.323	0.710	0.817
commemorate	eme ememe ncheta	0.812	0.602	0.636
commemoration	ememe ncheta	0.719	0.615	0.754
commemorative	ememe ncheta	0.750	0.438	0.754
commence	malite	0.760	0.585	0.741
commend	jaa ya mma	0.906	0.694	0.711
commendable	ezi mma	0.786	0.570	0.555
commendation	ịja mma	0.911	0.500	0.639
commensurate	bidoro	0.610	0.304	0.550
comment	okwu	0.667	0.417	0.379
commentary	nkọwa	0.602	0.402	0.446
commentator	akọwa	0.492	0.510	0.607
commerce	ahia	0.646	0.500	0.788
commercial	azụmahịa	0.806	0.490	0.528
commie	mma	0.385	0.519	0.454
commissary	nhazi	0.385	0.500	0.788
commission	ọrụ	0.677	0.480	0.571
commissioner	onye nlekọta	0.602	0.449	0.949
commit	eme	0.365	0.529	0.491
commitment	nkwa	0.714	0.710	0.843
committal	akwụ	0.472	0.519	0.582
committed	mere	0.710	0.542	0.712
committee	kọmitii	0.592	0.392	0.721
commodity	ahia	0.615	0.394	0.537
commodore	mma	0.427	0.530	0.636
common	nkịtị	0.600	0.127	0.318
commoner	ndi mmadu	0.448	0.365	0.327
commonly	ọtụtụ ndị	0.604	0.170	0.574
commonplace	ebe niile	0.520	0.337	0.442
commons	mma	0.633	0.396	0.623
commonwealth	obodo ndi mmadu	0.630	0.406	0.702
commotion	ọgba aghara	0.490	0.700	0.646
communal	obodo	0.592	0.321	0.556
commune	ogbako	0.500	0.488	0.655
communicable	ekwurịta okwu	0.796	0.491	0.623
communicate	okwu	0.823	0.410	0.696
communication	nkwurịta okwu	0.837	0.400	0.649
communicative	nkwurịta okwu	0.847	0.560	0.637
communicator	onye na-ekwurịta okwu	0.573	0.509	0.796
communion	udo	0.765	0.357	0.607
communism	kọmitii	0.264	0.570	0.623
communist	nkịta	0.265	0.702	0.632
community	obodo	0.750	0.350	0.659
commutation	ngbanwe	0.469	0.431	0.652
commutative	swutative	0.667	0.442	0.569
commute	gafee	0.622	0.582	0.565
commuter	gbanwee	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	kọmpat	0.458	0.417	0.673
compaction	compaction	0.531	0.471	0.582
compactness	compactness	0.582	0.352	0.454
companion	enyi	0.770	0.377	0.618
companionless	enweghị enyi	0.271	0.259	0.200
companionship	enyi	0.833	0.438	0.792
company	ụlọ ọrụ	0.906	0.425	0.798
comparable	tụnyere	0.562	0.443	0.458
comparative	atụnyere	0.470	0.273	0.562
comparatively	dịka	0.604	0.391	0.538
compare	tụnyere	0.552	0.408	0.524
comparison	tụnyere	0.583	0.456	0.492
compartment	ogige	0.500	0.389	0.607
compass	kọmpụ	0.541	0.307	0.529
compassion	ọmịiko	0.735	0.258	0.509
compassionate	nwe ọmịiko	0.857	0.404	0.411
compatibility	ndakọrịta	0.816	0.450	0.673
compatible	dakọtara	0.892	0.387	0.638
compel	ịmanye	0.200	0.847	0.625
compelled	amanye	0.333	0.654	0.347
compelling	na-akpali	0.698	0.570	0.870
compendium	compendium	0.610	0.461	0.537
compensate	kwụọ ụgwọ	0.612	0.429	0.762
compensation	ụgwọ	0.775	0.469	0.598
compensatory	na-akwụ ụgwọ	0.589	0.490	0.700
compete	mpi	0.573	0.745	0.786
competence	ike	0.615	0.802	0.823
competency	ike	0.768	0.775	0.764
competent	mara	0.865	0.560	0.904
competition	asọmpi	0.580	0.790	0.798
competitive	asọmpi	0.447	0.718	0.908
competitor	onye asọmpi	0.612	0.959	0.861
compilation	nchịkọta	0.530	0.512	0.606
compile	chịkọta	0.600	0.413	0.519
complacency	enweghị afọ ojuju	0.604	0.503	0.519
complacent	enwe obi iru ala	0.625	0.452	0.518
complain	mkpesa	0.143	0.682	0.360
complaint	mkpesa	0.143	0.606	0.281
complement	kwadoro	0.760	0.277	0.600
complementary	kwadoro	0.714	0.320	0.586
complete	zuru	0.750	0.414	0.809
completed	mechara	0.823	0.357	0.777
completely	kpamkpam	0.730	0.370	0.690
completeness	zuru ezu	0.823	0.433	0.769
completing	emecha	0.614	0.500	0.769
completion	mmecha	0.656	0.470	0.525
complex	mgbagwoju anya	0.388	0.608	0.550
complexed	mgbagwoju anya	0.312	0.577	0.612
complexion	mgbagwoju anya	0.521	0.520	0.380
complexity	mgbagwoju anya	0.479	0.620	0.595
compliance	nkwado	0.750	0.462	0.750
compliant	kwadoro ya	0.677	0.310	0.519
complicate	mechie	0.210	0.657	0.404
complicated	mgbagwoju anya	0.211	0.660	0.455
complication	mgbagwoju anya	0.365	0.726	0.330
complicity	ike	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	ekele	0.823	0.413	0.435
comply	kwenye	0.806	0.370	0.638
complying	na-ekwenye	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	akụrụngwa	0.531	0.382	0.525
compose	ide	0.639	0.432	0.694
composed	dere	0.684	0.385	0.682
composer	onye dere ya	0.822	0.588	0.691
composite	mejupụtara	0.591	0.459	0.620
composition	mejupụtara	0.765	0.408	0.652
compost	compost	0.480	0.404	0.441
composure	dị mma	0.802	0.354	0.717
compound	ụlọ	0.635	0.385	0.735
comprehend	ghọta	0.875	0.365	0.689
comprehension	nghọta	0.908	0.387	0.688
comprehensive	zuru ezu	0.796	0.385	0.644
compress	mpikota onu	0.406	0.412	0.460
compressed	tinye ya	0.323	0.396	0.388
compressible	ihe ike	0.622	0.392	0.585
compression	mkpakọ	0.646	0.521	0.579
compressor	mpịakọta	0.418	0.481	0.630
comprise	gụnyere	0.839	0.373	0.669
compromise	nkwenye	0.677	0.520	0.805
comptroller	ego	0.402	0.481	0.866
compulsion	mmanye	0.118	0.760	0.604
compulsive	ike	0.347	0.871	0.573
compulsory	onye mmanye	0.343	0.541	0.791
computable	nwere ike ịkọ	0.570	0.402	0.545
computation	nhazi	0.583	0.429	0.697
compute	tụlee	0.531	0.408	0.564
computer	kọmputa	0.802	0.356	0.639
computerized	kọmputa	0.677	0.450	0.657
computing	nhazi	0.745	0.398	0.695
comrade	enyi m	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	concatenation	0.480	0.593	0.539
concave	concave	0.441	0.349	0.349
conceal	zoo	0.312	0.436	0.306
concealed	zoro ezo	0.344	0.363	0.352
concealment	ezo	0.302	0.570	0.390
concede	kwenye	0.670	0.324	0.473
conceit	zoo	0.354	0.625	0.309
conceited	kwalite	0.194	0.667	0.473
conceivable	echepụta	0.730	0.350	0.613
conceive	nwa ime	0.708	0.538	0.700
concentrate	uche	0.750	0.439	0.743
concentration	itinye uche	0.735	0.500	0.722
concentric	concentric	0.730	0.479	0.635
concept	echiche	0.573	0.265	0.632
conception	echiche	0.694	0.490	0.614
concern	nchegbu	0.250	0.734	0.463
concerned	echegbu onwe ya	0.292	0.698	0.350
concert	egwu egwu	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	nkwenye	0.588	0.423	0.615
concessional	mgbapụta	0.770	0.493	0.657
conch	conch	0.583	0.306	0.339
concierge	concierge	0.480	0.343	0.343
conciliation	nkwekọrịta	0.792	0.475	0.726
concise	nkenke	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	kwubie	0.530	0.267	0.679
concluding	mechie	0.531	0.382	0.603
conclusion	nkwubi okwu	0.615	0.377	0.659
conclusive	obi ike	0.500	0.427	0.745
concoction	concoction	0.448	0.459	0.417
concomitant	obi ike	0.427	0.482	0.727
concord	nkwekọrịta	0.677	0.320	0.586
concordance	nkwekọrịta	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	nkwekọrịta	0.740	0.657	0.528
concrete	ihe	0.633	0.420	0.547
concubine	iko nwanyị	0.388	0.594	0.476
concur	nkwekọrịta	0.459	0.394	0.429
concurrence	nkwekọrịta	0.764	0.627	0.613
concurrent	onye na-akwado ọnụ	0.573	0.547	0.741
concurring	akwado	0.573	0.600	0.681
concussion	mkparịta ụka	0.072	0.708	0.482
condemn	ikpe	0.102	0.793	0.625
condemnation	ikpe	0.133	0.725	0.449
condensation	odide	0.510	0.316	0.538
condensed	condensed	0.598	0.415	0.623
condescending	na-edo onwe ha ala	0.583	0.363	0.593
condescension	dị ala	0.521	0.377	0.565
condiment	nkwenye	0.520	0.333	0.433
condition	ọnọdụ	0.500	0.469	0.519
conditional	ọnọdụ	0.521	0.343	0.556
