Word	Indonesian-id	Valence	Arousal	Dominance
drat	NO TRANSLATION	0.302	0.516	0.409
draught	konsep	0.465	0.245	0.316
draw	seri	0.704	0.449	0.481
drawback	kekurangan	0.302	0.422	0.148
drawbridge	jembatan angkat	0.551	0.557	0.438
drawer	laci	0.429	0.196	0.292
drawers	laci	0.539	0.260	0.236
drawing	gambar	0.698	0.216	0.333
dread	ketakutan	0.153	0.792	0.368
dreaded	ditakuti	0.122	0.706	0.460
dreadful	mengerikan	0.092	0.786	0.348
dreadfully	sangat	0.246	0.806	0.306
dreading	takut	0.125	0.760	0.377
dream	mimpi	0.844	0.157	0.328
dreamboat	dreamboat	0.776	0.491	0.458
dreamer	pengkhayal	0.820	0.394	0.455
dreaming	bermimpi	0.854	0.320	0.336
dreamland	alam mimpi	0.844	0.471	0.566
dreams	mimpi	0.865	0.415	0.530
dreamt	bermimpi	0.812	0.380	0.518
dreamy	termenung	0.837	0.350	0.500
dreary	suram	0.260	0.490	0.324
dredge	mengeruk	0.427	0.445	0.444
drenched	lepek	0.302	0.361	0.388
dress	gaun	0.760	0.300	0.345
dresser	lemari	0.604	0.398	0.473
dressmaker	penjahit	0.698	0.460	0.483
dressy	bergaya	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	kering	0.427	0.260	0.385
drier	pengering	0.306	0.347	0.392
drift	melayang	0.316	0.520	0.375
drifted	terhanyut	0.312	0.542	0.310
drifter	drifter	0.449	0.512	0.391
driftwood	kayu apung	0.321	0.283	0.439
drill	bor	0.250	0.602	0.573
drink	minum	0.650	0.552	0.474
drinker	peminum	0.365	0.735	0.441
drinking	minum	0.562	0.459	0.317
drinks	minuman	0.729	0.656	0.412
drip	menitik	0.392	0.193	0.175
dripping	menetes	0.302	0.257	0.267
drive	mendorong	0.625	0.689	0.713
drivel	meliur	0.398	0.469	0.463
driver	sopir	0.553	0.538	0.637
driveway	jalan masuk	0.612	0.392	0.689
drizzle	gerimis	0.521	0.353	0.319
droll	lucu	0.459	0.573	0.422
drone	dengung	0.429	0.686	0.596
drones	drone	0.398	0.577	0.588
drool	air liur	0.385	0.398	0.204
drooping	terkulai	0.245	0.558	0.353
droopy	murung	0.438	0.350	0.297
drop	penurunan	0.479	0.321	0.291
droplet	titis kecil	0.625	0.208	0.194
dropout	keluar	0.253	0.550	0.481
dropper	penitis	0.333	0.216	0.236
drought	kekeringan	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	menenggelamkan	0.071	0.860	0.270
drowsiness	kantuk	0.260	0.194	0.303
drowsy	mengantuk	0.375	0.180	0.240
drudgery	pekerjaan yg membosankan	0.094	0.522	0.241
drug	obat	0.214	0.790	0.453
drug dealing	pengedaran narkoba	0.042	0.843	0.500
drugged	dibius	0.102	0.750	0.321
druggist	apoteker	0.240	0.561	0.417
drugs	narkoba	0.167	0.750	0.368
drugstore	toko obat	0.490	0.343	0.518
druid	druid	0.517	0.445	0.481
drum	drum	0.615	0.679	0.339
drummer	drummer	0.646	0.700	0.564
drumming	drum	0.594	0.750	0.426
drunk	mabuk	0.194	0.800	0.250
drunk driving	mengemudi dalam keadaan mabuk	0.073	0.900	0.306
drunkard	pemabuk	0.240	0.873	0.250
drunken	mabuk	0.155	0.849	0.250
drunkenness	kemabukan	0.214	0.774	0.336
dry	kering	0.363	0.169	0.311
dryer	pengering	0.479	0.343	0.277
dryness	kekeringan	0.292	0.296	0.263
dual	ganda	0.573	0.330	0.384
dualism	dualisme	0.490	0.406	0.536
duality	dualitas	0.438	0.520	0.503
dub	menjuluki	0.510	0.480	0.387
dubious	meragukan	0.414	0.480	0.198
duchess	wanita bangsawan	0.656	0.548	0.711
duck	bebek	0.594	0.337	0.236
ducking	merunduk	0.344	0.573	0.294
duckling	anak itik	0.602	0.353	0.263
ducky	bebek	0.520	0.430	0.368
duct	saluran	0.449	0.435	0.430
ductile	elastis	0.508	0.420	0.433
dud	tak berguna	0.167	0.455	0.246
dude	bung	0.809	0.356	0.615
duds	pakaian	0.347	0.311	0.339
due	jatuh tempo	0.562	0.340	0.467
duel	duel	0.271	0.696	0.589
dues	iuran	0.367	0.461	0.288
duet	duet	0.694	0.693	0.527
duffel	ransel	0.500	0.400	0.384
dugout	ruang istirahat	0.490	0.370	0.463
duh	duh	0.357	0.461	0.364
duke	duke	0.667	0.440	0.669
dull	membosankan	0.194	0.120	0.185
dullard	orang bodoh	0.450	0.480	0.365
dumb	bodoh	0.188	0.330	0.151
dumbasses	tolol	0.316	0.590	0.363
dumbbell	halter	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	menakjubkan	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	bodoh	0.440	0.144	0.250
dump	membuang	0.345	0.500	0.370
dumpling	pangsit	0.580	0.321	0.360
dumps	kesedihan	0.302	0.583	0.365
dumpster	tempat sampah	0.229	0.418	0.101
dun	dun	0.458	0.431	0.339
dunce	orang bodoh	0.188	0.327	0.146
dune	bukit pasir	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	penjara bawah tanah	0.276	0.608	0.440
dunk	dunk	0.406	0.333	0.475
duo	duo	0.510	0.500	0.447
dupe	menipu	0.184	0.760	0.327
duplex	rangkap	0.592	0.452	0.467
duplicate	duplikat	0.521	0.490	0.338
duplication	duplikasi	0.480	0.564	0.577
duplicity	bermuka dua	0.406	0.500	0.578
durability	daya tahan	0.750	0.398	0.813
durable	tahan lama	0.740	0.294	0.688
duration	lamanya	0.656	0.370	0.536
duress	paksaan	0.302	0.569	0.612
dusk	senja	0.532	0.276	0.519
dusky	agak hitam	0.229	0.528	0.324
dust	debu	0.344	0.246	0.241
duster	kain lap	0.408	0.265	0.296
dustpan	pengki	0.609	0.466	0.371
dusty	berdebu	0.406	0.294	0.255
dutiful	patuh	0.724	0.245	0.585
duty	tugas	0.583	0.579	0.651
dwarf	kerdil	0.370	0.340	0.288
dwarfed	kekerdilan	0.365	0.265	0.293
dweeb	dweeb	0.354	0.446	0.327
dwell	tinggal	0.698	0.245	0.611
dweller	penghuni	0.615	0.304	0.500
dwelling	tempat tinggal	0.765	0.330	0.481
dye	pewarna	0.479	0.314	0.371
dying	sekarat	0.040	0.664	0.422
dyke	tanggul	0.438	0.396	0.566
dynamic	dinamis	0.724	0.750	0.836
dynamical	dinamis	0.786	0.730	0.827
dynamics	dinamika	0.745	0.682	0.774
dynamite	dinamit	0.344	0.860	0.783
dynamo	dinamo	0.531	0.650	0.593
dynasty	dinasti	0.725	0.588	0.936
dysentery	disentri	0.260	0.528	0.345
dysfunction	penyelewengan fungsi	0.156	0.410	0.386
dysfunctional	disfungsional	0.125	0.558	0.307
dyspepsia	dispepsia	0.212	0.470	0.460
eager	bersemangat	0.521	0.812	0.306
eagerness	keinginan	0.406	0.621	0.443
eagle	burung rajawali	0.604	0.594	0.679
ear	telinga	0.469	0.216	0.231
earful	earful	0.533	0.462	0.443
earl	pangeran	0.582	0.461	0.794
earlier	sebelumnya	0.562	0.352	0.339
early	awal	0.633	0.373	0.426
earn	dapatkan	0.865	0.769	0.817
earnest	sungguh-sungguh	0.653	0.380	0.670
earnestly	dengan sungguh-sungguh	0.847	0.490	0.717
earnestness	kesungguhan	0.812	0.373	0.615
earnings	pendapatan	0.938	0.650	0.875
earpiece	earpiece	0.583	0.286	0.452
earring	subang	0.583	0.520	0.500
earrings	anting-anting	0.676	0.346	0.517
earshot	jarak pendengaran	0.552	0.332	0.408
earth	bumi	0.750	0.225	0.614
earthenware	tembikar	0.552	0.210	0.320
earthling	penduduk bumi	0.531	0.412	0.570
earthly	duniawi	0.625	0.318	0.518
earthquake	gempa bumi	0.073	0.930	0.812
earthy	bersahaja	0.375	0.413	0.404
ease	meredakan	0.796	0.385	0.491
easel	kuda-kuda	0.694	0.340	0.527
easement	keenakan	0.479	0.345	0.302
easily	dengan mudah	0.885	0.279	0.453
east	timur	0.510	0.250	0.317
eastbound	yg menuju ke timur	0.541	0.408	0.402
eastern	Timur	0.521	0.420	0.480
easy	mudah	0.865	0.194	0.373
easygoing	mudah bergaul	0.823	0.276	0.538
eat	makan	0.731	0.500	0.464
eater	pemakan	0.459	0.337	0.510
eating	makan	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	menguping	0.375	0.710	0.368
eavesdropping	menguping	0.490	0.380	0.441
ebb	surut	0.354	0.451	0.404
ebony	kayu hitam	0.490	0.317	0.400
ebullient	ebullient	0.659	0.856	0.746
eccentric	eksentrik	0.531	0.806	0.721
eccentricity	keanehan	0.408	0.735	0.745
ecclesiastical	gerejawi	0.673	0.270	0.660
echelon	eselon	0.490	0.404	0.425
echinacea	echinacea	0.592	0.418	0.454
echo	gema	0.573	0.373	0.345
eclectic	eklektik	0.646	0.542	0.508
eclipse	gerhana	0.541	0.469	0.616
ecliptic	ekliptika	0.531	0.520	0.556
ecological	ekologis	0.885	0.290	0.607
economic	ekonomis	0.561	0.408	0.639
economical	ekonomis	0.667	0.564	0.673
economics	ekonomi	0.625	0.481	0.632
economy	ekonomi	0.583	0.434	0.771
ecosystem	ekosistem	0.729	0.259	0.633
ecstasy	ekstasi	0.796	0.922	0.655
ecstatic	luar biasa	0.875	0.769	0.742
ecumenical	ekumenis	0.561	0.450	0.547
eddy	eddy	0.500	0.394	0.350
edema	busung	0.250	0.519	0.318
edge	tepi	0.439	0.470	0.468
edging	tepi	0.479	0.394	0.370
edgy	gelisah	0.281	0.895	0.306
edible	dapat dimakan	0.750	0.425	0.497
edict	dekrit	0.316	0.547	0.560
edification	pendidikan	0.625	0.481	0.697
edifice	gedung	0.551	0.403	0.610
edit	sunting	0.510	0.410	0.544
editing	pengeditan	0.604	0.404	0.493
edition	edisi	0.542	0.455	0.564
editor	editor	0.772	0.431	0.673
editorial	tajuk rencana	0.583	0.330	0.570
educate	mendidik	0.760	0.380	0.728
educated	berpendidikan	0.816	0.297	0.625
education	pendidikan	0.896	0.275	0.840
educational	pendidikan	0.745	0.457	0.764
educator	pendidik	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	belut	0.292	0.564	0.487
eerie	ngeri	0.265	0.771	0.442
effect	efek	0.570	0.518	0.608
effective	efektif	0.844	0.632	0.891
effectiveness	efektivitas	0.640	0.654	0.812
effects	efek	0.470	0.578	0.379
effectual	mujarab	0.776	0.559	0.820
effectually	secara efektif	0.724	0.500	0.594
effectuate	menyelenggarakan	0.510	0.602	0.679
effeminate	banci	0.337	0.619	0.291
efficacious	manjur	0.823	0.698	0.845
efficacy	kemanjuran	0.802	0.490	0.906
efficiency	efisiensi	0.802	0.509	0.892
efficient	efisien	0.959	0.604	0.830
effigy	patung	0.510	0.440	0.401
effort	upaya	0.698	0.778	0.858
effortless	mudah	0.626	0.090	0.352
effusion	efusi	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	telur	0.684	0.241	0.293
egghead	orang terpelajar	0.316	0.492	0.284
eggnog	minuman telur kopyok	0.635	0.360	0.259
eggplant	terong	0.592	0.152	0.323
eggshell	kulit telur	0.408	0.269	0.212
ego	ego	0.328	0.576	0.593
egomaniac	egomaniac	0.133	0.708	0.596
egotistical	egois	0.156	0.667	0.363
egregious	mengerikan	0.150	0.716	0.442
egress	jalan keluar	0.490	0.429	0.287
eight	delapan	0.540	0.199	0.315
eighteen	delapan belas	0.523	0.340	0.404
eighth	kedelapan	0.531	0.226	0.380
eighty	delapan puluh	0.500	0.300	0.453
ejaculate	ejakulasi	0.604	0.896	0.604
ejaculation	ejakulasi	0.615	0.893	0.547
eject	mengeluarkan	0.434	0.656	0.559
ejection	penyemburan	0.188	0.836	0.554
elaborate	rumit	0.561	0.367	0.680
elaboration	elaborasi	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	berlalu	0.514	0.440	0.455
elapsed	berlalu	0.583	0.451	0.493
elastic	elastis	0.656	0.518	0.385
elasticity	elastisitas	0.635	0.452	0.582
elated	gembira	0.792	0.960	0.725
elation	kegembiraan	0.740	0.853	0.623
elbow	siku	0.448	0.133	0.254
eld	lapangan	0.471	0.292	0.451
elder	lebih tua	0.448	0.153	0.462
elderly	tua	0.615	0.212	0.283
elders	sesepuh	0.602	0.260	0.441
eldest	tertua	0.625	0.471	0.741
elect	memilih	0.667	0.554	0.661
election	pemilihan	0.625	0.519	0.651
elective	elektif	0.612	0.380	0.623
elector	pemilih	0.479	0.520	0.766
electoral	elektoral	0.490	0.631	0.602
electorate	para pemilih	0.560	0.380	0.696
electric	listrik	0.458	0.708	0.512
electric slide	slide listrik	0.542	0.660	0.536
electrical	listrik	0.531	0.620	0.688
electrician	montir listrik	0.449	0.590	0.620
electricity	listrik	0.698	0.810	0.733
electrify	menggemparkan	0.520	0.769	0.737
electrocute	melistrikkan	0.271	0.731	0.555
electrocution	listrik mati	0.177	0.844	0.692
electromagnetic	elektromagnetik	0.531	0.632	0.683
electron	elektron	0.520	0.455	0.560
electronic	elektronik	0.571	0.490	0.704
electronics	elektronik	0.708	0.545	0.574
elegance	keanggunan	0.918	0.396	0.824
elegant	anggun	0.865	0.500	0.685
element	elemen	0.531	0.259	0.481
elemental	elemental	0.627	0.306	0.711
elementary	dasar	0.594	0.286	0.686
elements	elemen	0.510	0.312	0.462
elephant	gajah	0.531	0.510	0.615
elevate	mengangkat	0.812	0.500	0.804
elevated	tinggi	0.704	0.594	0.620
elevation	ketinggian	0.760	0.759	0.711
elevator	tangga berjalan	0.562	0.604	0.676
eleven	sebelas	0.449	0.250	0.430
eleventh	kesebelas	0.594	0.329	0.357
elf	peri	0.460	0.457	0.315
elicit	memperoleh	0.406	0.594	0.658
eligible	berhak	0.750	0.400	0.518
eliminate	menghapuskan	0.265	0.670	0.324
elimination	eliminasi	0.052	0.667	0.431
elite	elite	0.688	0.704	0.737
elitist	elitis	0.500	0.606	0.656
elixir	eliksir	0.708	0.587	0.604
elk	rusa besar	0.439	0.337	0.340
ell	elo	0.469	0.418	0.373
ellipse	elips	0.531	0.410	0.479
ellipsis	elipsis	0.653	0.358	0.314
ellipsoid	ellipsoid	0.500	0.440	0.419
elliptic	berbentuk bulat panjang	0.500	0.431	0.528
elliptical	berbentuk bulat panjang	0.338	0.385	0.490
elm	elm	0.510	0.345	0.321
elongate	memanjangkan	0.583	0.385	0.540
elongation	pemanjangan	0.561	0.500	0.500
elope	lari dgn kekasih	0.396	0.694	0.528
eloquence	kelancaran berbicara	0.729	0.490	0.804
eloquent	fasih	0.870	0.680	0.741
elucidate	menjelaskan	0.583	0.509	0.518
elucidation	penjelasan	0.650	0.574	0.586
elude	menghindari	0.438	0.521	0.464
elusive	sukar dipahami	0.229	0.615	0.466
emaciated	kurus	0.103	0.541	0.151
email	e-mail	0.698	0.230	0.456
emanate	muncul	0.653	0.464	0.554
emancipation	emansipasi	0.704	0.684	0.763
embankment	tanggul	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	memulai	0.541	0.550	0.619
embarrass	memalukan	0.082	0.667	0.364
embarrassed	malu	0.184	0.560	0.246
embarrassing	memalukan	0.226	0.809	0.225
embarrassment	malu	0.143	0.685	0.226
embassy	kedutaan	0.622	0.333	0.758
embattled	diperangi	0.235	0.724	0.421
embed	menanamkan	0.417	0.554	0.670
embellish	membumbui	0.842	0.500	0.769
embellishment	perhiasan	0.673	0.449	0.405
embers	bara api	0.490	0.481	0.508
embezzlement	penggelapan	0.143	0.827	0.435
embezzler	embezzler	0.146	0.823	0.491
emblem	lambang	0.640	0.330	0.754
emblematic	bersifat lambang	0.771	0.459	0.798
embodiment	perwujudan	0.562	0.690	0.663
embolism	emboli	0.104	0.660	0.302
embossed	timbul	0.531	0.481	0.500
embrace	merangkul	0.949	0.490	0.452
embroidered	bersulam	0.677	0.279	0.407
embroidery	sulaman	0.781	0.358	0.280
embroiled	terlibat	0.337	0.721	0.420
embryo	embrio	0.673	0.469	0.453
embryonic	embrio	0.573	0.453	0.598
emcee	pembawa acara	0.694	0.577	0.691
emerald	zamrud	0.740	0.363	0.726
emerge	muncul	0.602	0.594	0.731
emergence	munculnya	0.276	0.857	0.676
emergency	keadaan darurat	0.200	0.900	0.571
emeritus	emeritus	0.633	0.402	0.735
emery	amril	0.469	0.583	0.472
emetophobia	emetophobia	0.243	0.620	0.403
emigrate	beremigrasi	0.356	0.812	0.508
emigration	emigrasi	0.564	0.664	0.432
eminence	keunggulan	0.816	0.644	0.837
eminent	terkenal	0.740	0.620	0.830
eminently	sungguh	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	utusan	0.562	0.462	0.636
emission	emisi	0.510	0.453	0.591
emit	memancarkan	0.638	0.445	0.510
emo	emo	0.354	0.314	0.226
emotion	emosi	0.693	0.873	0.696
emotional	emosional	0.779	0.714	0.526
emotive	emosi	0.917	0.741	0.525
empathic	empati	0.760	0.570	0.558
empathize	berempati	0.802	0.591	0.660
empathy	empati	0.729	0.349	0.545
emperor	kaisar	0.651	0.704	0.962
emphasis	tekanan	0.653	0.745	0.816
emphasize	menekankan	0.510	0.605	0.769
emphatic	tegas	0.615	0.707	0.732
emphysema	empisema	0.156	0.556	0.336
empire	Kekaisaran	0.688	0.730	0.944
empirical	empiris	0.500	0.510	0.574
empiricism	empirisme	0.583	0.460	0.547
employ	mempekerjakan	0.729	0.481	0.702
employee	karyawan	0.582	0.361	0.481
employer	majikan	0.663	0.518	0.767
employment	pekerjaan	0.750	0.594	0.611
emporium	emporium	0.622	0.556	0.724
empower	memberdayakan	0.694	0.779	0.891
empress	permaisuri	0.716	0.669	0.855
emptiness	kekosongan	0.177	0.173	0.184
emption	emption	0.570	0.406	0.458
empty	kosong	0.188	0.183	0.081
emu	emu	0.420	0.358	0.330
emulate	meniru	0.438	0.340	0.549
emulsion	emulsi	0.562	0.431	0.453
enable	memungkinkan	0.760	0.491	0.782
enablement	pemberdayaan	0.600	0.451	0.750
enact	menetapkan	0.680	0.564	0.598
enactment	berlakunya	0.667	0.612	0.769
enamel	email	0.594	0.280	0.306
encampment	perkemahan	0.677	0.573	0.605
enchant	mempesona	0.873	0.650	0.643
enchanted	terpesona	0.917	0.633	0.687
enchanting	mempesona	0.917	0.681	0.708
enchantment	pesona	0.816	0.775	0.647
enchantress	enchantress	0.398	0.663	0.479
enchilada	enchilada	0.542	0.553	0.371
encircle	mengelilingi	0.460	0.500	0.519
encircling	melingkari	0.510	0.368	0.557
enclave	daerah kantong	0.531	0.333	0.580
enclose	melampirkan	0.531	0.477	0.473
enclosure	lampiran	0.417	0.375	0.490
encode	menyandi	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	encomium	0.541	0.451	0.519
encompass	mencakup	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	pertemuan	0.865	0.702	0.689
encourage	mendorong	0.896	0.580	0.704
encouraged	didorong	0.953	0.702	0.657
encouragement	dorongan	0.865	0.700	0.759
encouraging	memberi semangat	0.823	0.583	0.755
encroach	mengganggu	0.302	0.742	0.702
encroachment	gangguan	0.255	0.736	0.620
encrypt	mengenkripsi	0.500	0.387	0.500
encryption	enkripsi	0.547	0.415	0.474
encumbrance	beban	0.300	0.521	0.480
encyclopedia	ensiklopedi	0.679	0.320	0.645
end	akhir	0.198	0.349	0.298
end table	akhir tabel	0.541	0.480	0.482
endanger	membahayakan	0.115	0.885	0.404
endangered	terancam punah	0.083	0.885	0.430
endangerment	membahayakan	0.167	0.873	0.519
endearing	menawan	0.663	0.434	0.604
endeavor	berusaha keras	0.677	0.755	0.765
ended	berakhir	0.302	0.500	0.500
endemic	endemis	0.406	0.480	0.483
endgame	akhir permainan	0.449	0.538	0.526
ending	akhir	0.344	0.365	0.492
endless	tanpa akhir	0.347	0.462	0.472
endocarditis	endokarditis	0.235	0.587	0.412
endorse	mengesahkan	0.592	0.392	0.472
endorsement	dukungan	0.834	0.360	0.611
endow	memberkati	0.684	0.398	0.609
endowed	diberkati	0.755	0.510	0.769
endowment	sumbangan	0.685	0.578	0.647
endpapers	endpapers	0.542	0.400	0.339
endpoint	titik akhir	0.311	0.410	0.448
endurance	daya tahan	0.592	0.745	0.760
endure	menanggung	0.320	0.610	0.574
enduring	abadi	0.633	0.459	0.768
enema	enema	0.281	0.673	0.268
enemy	musuh	0.135	0.794	0.591
energetic	energik	0.847	0.868	0.902
energize	memberi energi	0.792	0.810	0.875
energy	energi	0.944	0.725	0.868
enforce	melaksanakan	0.583	0.644	0.836
enforcement	pelaksanaan	0.594	0.571	0.736
enforcer	penegak hukum	0.398	0.612	0.639
engage	mengikutsertakan	0.771	0.796	0.713
engaged	bertunangan	0.837	0.596	0.849
engagement	pertunangan	0.906	0.587	0.807
engaging	menarik	0.948	0.612	0.862
engender	menimbulkan	0.561	0.741	0.688
engine	mesin	0.615	0.644	0.676
engineer	insinyur	0.719	0.500	0.875
engineering	teknik	0.735	0.471	0.836
engrave	mengukir	0.486	0.442	0.517
engraved	berukir	0.542	0.375	0.473
engraver	pengukir	0.552	0.417	0.500
engraving	ukiran	0.604	0.430	0.442
engrossed	asyik	0.541	0.471	0.304
engrossing	yg mengasyikkan	0.698	0.702	0.750
engulf	menelan	0.398	0.573	0.500
enhance	menambah	0.802	0.578	0.814
enhancement	peningkatan	0.877	0.490	0.741
enigma	enigma	0.513	0.700	0.500
enigmatic	penuh teka-teki	0.469	0.589	0.679
enjoin	memerintahkan	0.594	0.454	0.732
enjoy	Nikmati	0.959	0.725	0.750
enjoyable	menyenangkan	1.000	0.481	0.605
enjoying	menikmati	0.908	0.759	0.759
enjoyment	kenikmatan	0.930	0.612	0.716
enlarge	memperbesar	0.735	0.606	0.688
enlarged	diperbesar	0.673	0.490	0.518
enlargement	pembesaran	0.677	0.577	0.616
enlighten	mencerahkan	0.729	0.549	0.667
enlightened	tercerahkan	0.956	0.566	0.700
enlightening	mencerahkan	0.825	0.729	0.727
enlightenment	pencerahan	0.837	0.549	0.619
enlist	mendapatkan	0.510	0.370	0.483
enliven	memeriahkan	0.833	0.683	0.702
enmity	permusuhan	0.094	0.706	0.382
ennui	perasaan bosan	0.406	0.461	0.316
enormity	besarnya	0.594	0.648	0.848
enormous	besar sekali	0.677	0.665	0.886
enormously	sangat besar	0.760	0.694	0.872
enraged	sangat marah	0.083	0.962	0.636
enrich	memperkaya	0.896	0.731	0.705
enroll	mendaftar	0.696	0.530	0.611
enrollment	pendaftaran	0.667	0.391	0.698
ensemble	ansambel	0.697	0.418	0.586
ensign	bendera	0.663	0.270	0.545
enslave	memperbudak	0.073	0.800	0.481
enslaved	diperbudak	0.104	0.720	0.321
enslavement	perbudakan	0.086	0.635	0.302
ensue	terjadi	0.698	0.363	0.332
ensure	memastikan	0.737	0.406	0.759
entail	memerlukan	0.484	0.630	0.645
entangled	terjerat	0.319	0.578	0.357
entanglement	belitan	0.302	0.765	0.248
enter	memasukkan	0.708	0.470	0.500
enterprise	perusahaan	0.760	0.392	0.754
enterprising	giat	0.865	0.784	0.875
entertain	menghibur	0.918	0.684	0.598
entertained	terhibur	0.902	0.644	0.712
entertainer	penghibur	0.888	0.709	0.759
entertaining	menghibur	0.833	0.658	0.660
entertainment	hiburan	0.847	0.750	0.569
enthralled	terpesona	0.745	0.602	0.615
enthusiasm	antusiasme	0.938	0.816	0.798
enthusiast	penggemar	0.867	0.810	0.875
enthusiastic	antusias	0.885	0.868	0.848
entice	menarik	0.521	0.887	0.518
entire	seluruh	0.689	0.462	0.698
entirety	keseluruhan	0.854	0.460	0.804
entitle	berjudul	0.729	0.333	0.827
entity	kesatuan	0.542	0.402	0.670
entomology	ilmu serangga	0.438	0.396	0.545
entourage	rombongan	0.491	0.567	0.467
entrails	isi perut	0.365	0.538	0.387
entrance	jalan masuk	0.698	0.393	0.526
entrapment	jebakan	0.177	0.604	0.441
entreat	memohon	0.304	0.560	0.462
entree	hidangan utama	0.615	0.477	0.624
entrepreneur	pengusaha	0.885	0.704	0.920
entrust	mempercayakan	0.693	0.310	0.630
entry	masuk	0.552	0.353	0.602
enumerate	menghitung	0.521	0.390	0.491
enumeration	pencacahan	0.548	0.327	0.534
envelope	amplop	0.604	0.275	0.377
envious	iri	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	lingkungan Hidup	0.646	0.194	0.528
environmental	lingkungan	0.633	0.313	0.664
environs	lingkungan sekitar	0.561	0.288	0.345
envision	membayangkan	0.625	0.449	0.483
envoy	utusan	0.531	0.375	0.586
envy	iri	0.240	0.704	0.427
enzyme	enzim	0.562	0.277	0.481
ephemeral	tdk kekal	0.500	0.312	0.377
ephemeris	ephemeris	0.640	0.380	0.528
epic	epik	0.857	0.713	0.830
epidemic	wabah	0.092	0.830	0.611
epidermis	kulit ari	0.418	0.490	0.426
epidural	epidural	0.347	0.452	0.525
epilepsy	epilepsi	0.061	0.854	0.250
epileptic	epilepsi	0.146	0.794	0.340
epilogue	Epilog	0.582	0.353	0.466
epiphany	Epiphany	0.625	0.596	0.526
episcopal	episkopal	0.542	0.314	0.750
episode	episode	0.719	0.367	0.509
episodic	episodik	0.531	0.542	0.462
epistle	surat	0.604	0.417	0.535
epitaph	tulisan di batu nisan	0.276	0.323	0.442
epithet	julukan	0.530	0.394	0.524
epitome	lambang	0.510	0.500	0.667
epoch	masa	0.553	0.343	0.797
equal	sama	0.781	0.178	0.407
equality	persamaan	0.898	0.305	0.716
equalization	hal menyamakan	0.625	0.422	0.423
equalize	menyamakan	0.738	0.281	0.574
equalizer	equalizer	0.604	0.451	0.586
equally	sama	0.625	0.264	0.436
equate	menyamakan	0.724	0.382	0.624
equation	persamaan	0.479	0.384	0.608
equator	khatulistiwa	0.550	0.302	0.462
equatorial	khatulistiwa	0.550	0.271	0.593
equestrian	penunggang kuda	0.633	0.519	0.417
equidistant	sama jauh	0.375	0.406	0.509
equilibration	imbang	0.724	0.317	0.593
equilibrium	keseimbangan	0.676	0.235	0.620
equip	melengkapi	0.650	0.519	0.713
equipment	peralatan	0.745	0.495	0.700
equitable	adil	0.714	0.286	0.750
equity	keadilan	0.792	0.304	0.614
equivalence	persamaan derajatnya	0.663	0.250	0.582
equivalent	setara	0.646	0.347	0.500
equivocal	samar	0.327	0.482	0.257
era	era	0.615	0.407	0.449
eradicate	membasmi	0.260	0.690	0.686
eradication	pemberantasan	0.208	0.788	0.685
erase	menghapus	0.240	0.260	0.321
eraser	penghapus	0.458	0.209	0.311
erasure	penghapusan	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	tegak	0.643	0.885	0.627
erectile	ereksi	0.542	0.796	0.625
erection	pemasangan	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	mengikis	0.208	0.643	0.580
erosion	erosi	0.312	0.770	0.465
erotic	erotis	0.625	0.946	0.683
erotica	erotika	0.781	0.870	0.579
err	berbuat salah	0.146	0.660	0.236
errand	urusan	0.385	0.519	0.482
errant	bandel	0.205	0.602	0.375
erratic	tak menentu	0.271	0.503	0.217
erratum	ralat	0.327	0.528	0.436
erroneous	keliru	0.057	0.561	0.245
error	kesalahan	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	terpelajar	0.719	0.434	0.774
erupt	meletus	0.188	0.820	0.818
eruption	letusan	0.156	0.913	0.733
escalade	meningkat	0.480	0.724	0.442
escalate	meningkatkan	0.653	0.714	0.728
escalating	meningkat	0.646	0.724	0.518
escalation	eskalasi	0.571	0.807	0.582
