Word	Persian-fa	Valence	Arousal	Dominance
conjunctive	همجوشی	0.487	0.444	0.639
conjure	عجله کن	0.385	0.679	0.645
conjuring	التماس دعا	0.224	0.653	0.694
conk	مخروطی	0.340	0.469	0.404
connect	اتصال	0.724	0.299	0.536
connected	متصل	0.816	0.550	0.612
connection	ارتباط	0.729	0.560	0.655
connective	ارتباطی	0.719	0.491	0.764
connoisseur	خبره	0.760	0.461	0.769
conquer	تسخیر	0.694	0.873	0.971
conquering	فتح	0.760	0.873	0.936
conqueror	فاتح	0.604	0.809	0.930
conquest	فتح	0.710	0.702	0.833
conscience	وجدان	0.663	0.375	0.721
conscientious	با وجدان	0.688	0.404	0.688
conscious	هوشیار	0.740	0.333	0.705
consciousness	آگاهی	0.840	0.483	0.755
conscription	ارتش	0.396	0.775	0.642
consecrated	محکوم به	0.663	0.500	0.800
consecration	محکومیت	0.771	0.418	0.804
consecutive	متوالی	0.663	0.418	0.643
consensual	مشروط	0.663	0.417	0.655
consensus	اجماع، وفاق	0.627	0.358	0.625
consent	رضایت	0.750	0.500	0.620
consenting	رضایت	0.727	0.406	0.693
consequence	نتیجه	0.240	0.721	0.593
consequent	در نتیجه	0.663	0.471	0.625
conservation	حفاظت	0.832	0.401	0.606
conservatism	محافظه کارانه	0.406	0.369	0.633
conservative	محافظه کار	0.615	0.316	0.788
conservatory	آرامگاه	0.635	0.240	0.729
conserve	کنسرو	0.690	0.347	0.573
consider	در نظر گرفتن	0.677	0.368	0.579
considerable	قابل توجه	0.653	0.314	0.683
considerate	محتاطانه	0.781	0.380	0.633
consideration	توجه	0.589	0.380	0.687
consignee	گیرنده	0.635	0.385	0.602
consignment	محموله	0.490	0.440	0.500
consist	شامل	0.823	0.386	0.580
consistency	ثبات	0.714	0.500	0.887
consistent	استوار	0.786	0.431	0.726
consolation	تسلیم	0.408	0.250	0.304
console	کنسول	0.625	0.398	0.415
consoled	consoled	0.700	0.343	0.452
consolidate	تحکیم	0.880	0.440	0.870
consolidated	تلفیقی	0.700	0.366	0.784
consolidation	تثبیت	0.604	0.445	0.776
consonant	همخوان	0.500	0.347	0.417
consort	همسایه	0.632	0.509	0.630
conspicuous	آشکار	0.479	0.520	0.596
conspiracy	توطئه	0.125	0.787	0.652
conspirator	توطئه گر	0.271	0.786	0.707
conspire	توطئه	0.206	0.740	0.520
constable	کنسولگری	0.573	0.667	0.764
constancy	پایداری	0.786	0.443	0.763
constant	ثابت	0.740	0.296	0.686
constantly	به طور مداوم	0.663	0.561	0.700
constellation	صورت فلکی	0.719	0.533	0.775
consternation	تهدید	0.167	0.680	0.469
constipation	یبوست	0.079	0.612	0.231
constituency	حوزه انتخابیه	0.500	0.480	0.696
constituent	تشکیل دهنده	0.573	0.500	0.827
constituents	اجزاء	0.573	0.414	0.833
constitute	تشکیل می دهند	0.812	0.349	0.906
constitution	قانون اساسي	0.590	0.380	0.889
constitutional	مشروطه	0.633	0.418	0.827
constitutionality	قانون اساسی	0.612	0.439	0.853
constrain	محدود کردن	0.261	0.500	0.500
constrained	محدود است	0.135	0.537	0.357
constraint	محدودیت	0.323	0.550	0.481
construct	ساختن	0.750	0.648	0.792
construction	ساخت و ساز	0.848	0.612	0.759
constructive	سازنده	0.860	0.570	0.812
construe	تفسیر کنید	0.602	0.519	0.553
consul	کنسول	0.573	0.354	0.688
consulate	کنسولگری	0.561	0.453	0.694
consult	مشورت کردن	0.755	0.370	0.441
consultant	مشاور	0.770	0.344	0.808
consultation	مشاوره	0.660	0.463	0.625
consume	مصرف کردن	0.427	0.620	0.509
consumer	مصرف كننده	0.507	0.551	0.677
consuming	مصرف کننده	0.573	0.541	0.536
consummate	کامال	0.551	0.540	0.558
consummation	نتیجه گیری	0.583	0.676	0.661
consumption	مصرف	0.390	0.531	0.538
contact	تماس	0.719	0.424	0.526
contagion	مسمومیت	0.208	0.630	0.535
contagious	مسری	0.184	0.725	0.400
contain	حاوی	0.542	0.490	0.658
container	مخزن	0.551	0.396	0.561
containment	مهار	0.411	0.491	0.618
contaminate	آلودگی	0.140	0.611	0.426
contaminated	آلوده	0.040	0.500	0.368
contamination	آلودگی	0.125	0.610	0.375
contemplate	اندیشیدن	0.740	0.347	0.642
contemplation	تفکر	0.552	0.324	0.627
contemplative	اندیشمندانه	0.729	0.308	0.739
contemporaneous	هم زمان	0.640	0.373	0.591
contemporary	امروزی	0.720	0.365	0.569
contempt	تحقیر	0.206	0.635	0.396
contemptible	تحقیرآمیز	0.146	0.657	0.471
contemptuous	تحقیرآمیز	0.204	0.500	0.375
contend	متشکرم	0.510	0.657	0.731
contender	متقاعد کننده	0.480	0.790	0.681
contending	متضاد	0.490	0.698	0.716
content	محتوا	0.764	0.296	0.559
contented	دلسوز	0.857	0.612	0.746
contention	مخالفت	0.375	0.510	0.738
contentious	متضاد	0.422	0.573	0.637
contentment	قناعت	0.875	0.610	0.782
contents	فهرست	0.656	0.375	0.550
contest	مسابقه	0.667	0.698	0.717
contestant	مسابقه دهنده	0.760	0.530	0.602
context	متن نوشته	0.531	0.300	0.553
contiguous	پیوسته	0.375	0.450	0.500
continence	تداوم	0.450	0.396	0.469
continent	قاره	0.551	0.373	0.833
continental	قاره	0.486	0.350	0.755
contingency	احتمالی	0.396	0.500	0.670
contingent	مشروط	0.470	0.531	0.659
continual	مستمر	0.500	0.423	0.685
continually	به طور پیوسته	0.646	0.438	0.698
continuance	ادامه دادن	0.729	0.510	0.652
continuation	ادامه دادن	0.615	0.470	0.566
continue	ادامه هید	0.630	0.427	0.612
continued	ادامه داد	0.635	0.440	0.500
continuing	ادامه دادن	0.667	0.500	0.520
continuity	تداوم	0.781	0.439	0.684
continuous	مداوم	0.625	0.509	0.580
continuously	به طور مداوم	0.719	0.417	0.702
continuum	پیوستگی	0.677	0.390	0.491
contour	کانتور	0.589	0.265	0.414
contraband	قاچاق	0.177	0.875	0.670
contraception	پیشگیری از بارداری	0.296	0.518	0.525
contract	قرارداد	0.594	0.412	0.636
contracted	قرارداد	0.344	0.557	0.449
contractile	انقباض	0.480	0.586	0.569
contracting	قرارداد	0.594	0.490	0.769
contraction	اختصار	0.292	0.755	0.603
contractor	پیمانکار	0.592	0.479	0.727
contradict	متناقض است	0.160	0.598	0.482
contradiction	تناقض	0.250	0.660	0.377
contradictory	متناقض	0.365	0.651	0.421
contraption	انسداد	0.448	0.590	0.491
contrary	مخالف	0.327	0.449	0.338
contrast	تضاد	0.480	0.406	0.520
contrasted	مخالف	0.521	0.538	0.491
contravene	برعکس	0.357	0.618	0.472
contravention	نقض	0.344	0.627	0.593
contribute	مشارکت	0.806	0.350	0.795
contribution	مشارکت	0.854	0.452	0.760
contributor	مشارکت کننده	0.844	0.510	0.760
contrite	مشاجره	0.347	0.363	0.473
contrition	تبرئه	0.347	0.583	0.463
contrived	ساختگی	0.408	0.530	0.458
control	کنترل	0.729	0.352	0.808
controller	کنترل کننده	0.469	0.712	0.868
controlling	کنترل	0.490	0.441	0.885
controversial	بحث برانگیز	0.271	0.858	0.538
controversy	جنجال	0.250	0.819	0.600
contusion	مخلوط کردن	0.167	0.565	0.509
conundrum	عجله	0.354	0.524	0.408
convalescent	مقدماتی	0.458	0.480	0.269
convection	همرفت	0.521	0.494	0.526
convene	برگزار کن	0.583	0.676	0.636
convenience	راحتی	0.781	0.448	0.613
conveniences	راحتی	0.802	0.412	0.693
convenient	راحت	0.846	0.491	0.574
convent	کلیسا	0.480	0.217	0.594
convention	قرارداد	0.622	0.622	0.704
conventional	مرسوم	0.594	0.292	0.634
converge	همگرا	0.635	0.471	0.539
convergence	همگرایی	0.551	0.491	0.625
convergent	همگرا	0.781	0.490	0.696
conversant	گفتگو	0.724	0.360	0.542
conversation	گفتگو	0.750	0.510	0.609
conversational	مکالمه	0.719	0.431	0.596
conversationalist	گفتگو	0.719	0.467	0.667
converse	صحبت کردن	0.594	0.406	0.598
conversing	گفتگو	0.755	0.409	0.442
conversion	تبدیل	0.480	0.605	0.736
convert	تبدیل	0.551	0.538	0.704
converted	تبدیل شده است	0.663	0.418	0.686
convertible	قابل تبدیل	0.542	0.529	0.717
convex	محدب	0.438	0.427	0.445
convexity	محرک	0.449	0.354	0.484
convey	انتقال	0.719	0.633	0.708
conveyance	انتقال	0.615	0.520	0.455
conveyancing	تحویل	0.375	0.479	0.663
convict	محکوم کردن	0.177	0.840	0.477
conviction	محکومیت	0.615	0.704	0.826
convince	متقاعد کردن	0.708	0.539	0.763
convinced	متقاعد	0.750	0.500	0.630
convincing	متقاعد کننده	0.760	0.527	0.900
convocation	احضار	0.538	0.611	0.663
convoluted	پیچ خورده	0.323	0.614	0.433
convolution	کانولوشن	0.417	0.559	0.527
convoy	کاروان	0.500	0.671	0.639
coo	کوو	0.490	0.439	0.500
cook	پختن	0.847	0.500	0.412
cookbook	کتاب آشپزی	0.602	0.346	0.398
cooker	اجاق گاز	0.592	0.373	0.407
cookery	آشپزی	0.633	0.368	0.345
cookie	کوکی	0.792	0.306	0.250
cookies	بیسکویت ها	0.823	0.451	0.316
cooking	پخت و پز	0.694	0.510	0.434
cookout	پختن	0.680	0.406	0.482
cool	سرد	0.885	0.540	0.781
coolant	خنک کننده	0.720	0.412	0.456
cooler	خنک کننده	0.664	0.375	0.460
cooling	خنک کننده	0.469	0.324	0.392
coolness	خنک بودن	0.490	0.307	0.548
coon	کوون	0.490	0.460	0.400
coop	کوک	0.612	0.445	0.650
cooperate	همکاری کردن	0.898	0.451	0.582
cooperating	همکاری	0.760	0.390	0.693
cooperation	همکاری	0.847	0.473	0.686
cooperative	تعاونی	0.816	0.461	0.670
coordinate	هماهنگ كردن	0.698	0.429	0.694
coordination	هماهنگی	0.677	0.454	0.789
coordinator	هماهنگ کننده	0.750	0.510	0.850
cop	پلیس	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	مقابله کن	0.592	0.647	0.709
copier	کپی کردن	0.459	0.345	0.390
copilot	copilot	0.640	0.538	0.573
coping	مقابله	0.562	0.630	0.613
copious	فراوان	0.427	0.462	0.527
copper	فلز مس	0.580	0.260	0.500
copter	هلی کوپتر	0.571	0.704	0.569
copy	کپی کنید	0.460	0.240	0.263
copycat	کپی کردن	0.449	0.580	0.443
copying	کپی برداری	0.448	0.315	0.404
copyright	کپی رایت	0.458	0.402	0.663
coral	مرجان	0.802	0.231	0.425
coral snake	مار مرجانی	0.276	0.712	0.607
cord	طناب	0.388	0.378	0.358
cordial	صمیمانه	0.823	0.312	0.482
cordless	بی سیم	0.667	0.441	0.528
cordon	بندر	0.469	0.317	0.380
corduroy	بند ناف	0.570	0.324	0.357
core	هسته	0.721	0.378	0.540
cork	چوب پنبه	0.347	0.250	0.281
corkscrew	کمانشور	0.427	0.443	0.445
corn	ذرت	0.594	0.196	0.292
cornball	کرم گلابی	0.479	0.378	0.325
cornbread	ذرت	0.643	0.304	0.302
cornea	قرنیه	0.521	0.346	0.443
corned	قره قاط	0.459	0.441	0.425
corner	گوشه	0.400	0.296	0.366
cornerstone	سنگ زاویه، سنگ گوشه	0.550	0.388	0.596
cornet	cornet	0.507	0.520	0.415
cornfield	کوه نوردی	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	كرنسس	0.458	0.441	0.295
cornstarch	نشاسته ذرت	0.643	0.299	0.337
corny	کثیف	0.448	0.370	0.221
corollary	نتیجه گیری	0.458	0.469	0.366
corona	کرونا	0.818	0.439	0.745
coronary	کرونر	0.567	0.613	0.509
coronation	تاج گذاری	0.792	0.592	0.836
coroner	coroner	0.323	0.558	0.526
corporal	فیزیکی	0.582	0.490	0.596
corporate	شرکت های بزرگ، دارای شخصیت حقوقی	0.592	0.454	0.745
corporation	شرکت	0.429	0.332	0.873
corporeal	جسمی	0.520	0.350	0.461
corps	سپاه	0.551	0.453	0.483
corpse	جسد	0.094	0.657	0.232
corpsman	جسد	0.439	0.469	0.651
corpus	کپسول	0.543	0.340	0.490
corral	مرجانی	0.606	0.662	0.422
correct	درست	0.857	0.306	0.723
correction	تصحیح	0.448	0.485	0.558
correctional	اصلاحی	0.292	0.713	0.602
corrective	اصلاحیه	0.448	0.528	0.613
correctness	صحت	0.796	0.450	0.649
correlation	همبستگی	0.596	0.462	0.571
correlative	همبستگی	0.510	0.402	0.571
correspond	مطابقت	0.710	0.452	0.545
correspondence	مکاتبات	0.663	0.423	0.491
correspondent	خبرنگار	0.573	0.565	0.712
corresponding	متناظر	0.740	0.423	0.618
corridor	راهرو	0.604	0.589	0.592
corroborate	تأیید	0.671	0.471	0.616
corroboration	تأیید	0.625	0.431	0.733
corrosion	خوردگی	0.156	0.610	0.348
corrosive	خوردگی	0.140	0.618	0.570
corrupt	فاسد	0.020	0.806	0.500
corrupting	فساد	0.062	0.804	0.380
corruption	فساد	0.052	0.830	0.549
corsage	سینه بند	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	کرست	0.490	0.520	0.381
cortex	قشر	0.594	0.439	0.529
cortical	قشر	0.380	0.423	0.536
cortisone	کورتیزون	0.427	0.395	0.456
corvette	کرکت	0.551	0.520	0.598
cosmetic	لوازم آرایشی و بهداشتی	0.625	0.304	0.308
cosmetics	لوازم آرایشی	0.765	0.464	0.472
cosmic	کیهانی	0.663	0.538	0.692
cosmology	کیهانشناسی	0.651	0.438	0.637
cosmopolitan	شهری	0.823	0.510	0.760
cosmos	کیهان	0.860	0.478	0.664
cost	هزینه	0.365	0.420	0.439
costly	هزینه بر	0.316	0.650	0.642
costume	صحنه و لباس	0.548	0.510	0.374
cosy	دنج	0.847	0.255	0.518
cot	کلبه	0.625	0.230	0.278
cote	کویت	0.439	0.344	0.324
cottage	کلبه	0.600	0.279	0.361
cotton	پنبه	0.639	0.071	0.240
couch	نیمکت	0.594	0.082	0.198
cougar	گربه وحشی پشمالو	0.438	0.588	0.538
cough	سرفه کردن	0.255	0.627	0.241
council	شورا	0.875	0.279	0.635
councilman	شورای نگهبان	0.531	0.367	0.793
counsel	مشاوره	0.594	0.519	0.730
counseling	مشاوره	0.667	0.480	0.704
counsellor	مشاور	0.823	0.327	0.740
counselor	مشاور	0.873	0.365	0.706
count	شمردن	0.594	0.389	0.492
countdown	شمارش معکوس	0.438	0.692	0.490
countenance	چهره	0.635	0.440	0.690
counter	پیشخوان	0.439	0.478	0.750
counteract	مقابله کن	0.378	0.542	0.688
counterattack	ضد حمله	0.281	0.951	0.764
counterbalance	تعادل	0.520	0.480	0.627
counterclaim	تقاضای تقلب	0.398	0.760	0.651
counterfeit	تقلبی	0.094	0.694	0.451
counterpart	همتای	0.448	0.608	0.577
counterpoint	counterpoint	0.438	0.509	0.538
countess	حرف حساب	0.562	0.440	0.670
countless	بی شماری	0.520	0.566	0.534
country	کشور	0.698	0.394	0.693
countryman	هموطن	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	حومه شهر	0.732	0.288	0.327
counts	شمارش	0.343	0.373	0.500
county	شهرستان	0.479	0.368	0.545
coup	کودتا	0.275	0.815	0.607
coupe	کوپه	0.479	0.460	0.482
couple	زن و شوهر	0.806	0.605	0.607
coupled	همراه با	0.612	0.286	0.650
coupling	جفت	0.594	0.479	0.555
coupon	کوپن	0.704	0.300	0.421
courage	شجاعت	0.830	0.728	0.849
courageous	شجاع	0.918	0.587	0.879
courier	پیک	0.551	0.383	0.441
courses	دوره های آموزشی	0.735	0.412	0.534
coursing	فرماندهی	0.542	0.472	0.546
court	دادگاه	0.479	0.769	0.827
courteous	مودبانه	0.937	0.396	0.529
courtesy	حسن نیت ارائه میدهد	0.927	0.287	0.431
courthouse	دادگاه	0.571	0.503	0.818
courtroom	دادگاه	0.385	0.670	0.887
courts	دادگاه ها	0.367	0.710	0.816
courtship	نگاه کردن	0.667	0.490	0.654
courtside	دادگاه	0.592	0.391	0.434
courtyard	حیاط	0.503	0.365	0.355
cousin	عمو زاده	0.675	0.394	0.427
cousins	عموزاده ها	0.760	0.409	0.464
cove	کوه	0.500	0.304	0.370
coven	کوئن	0.458	0.578	0.591
covenant	پیمان	0.594	0.462	0.667
cover	پوشش	0.365	0.240	0.471
coverage	پوشش	0.767	0.413	0.629
covered	تحت پوشش	0.562	0.340	0.644
covering	پوشش	0.615	0.382	0.583
covert	پنهان	0.500	0.570	0.508
covet	خوشمزه	0.302	0.779	0.524
coveted	آرزو	0.661	0.730	0.625
cow	گاو	0.449	0.230	0.300
coward	ترسو	0.102	0.490	0.149
cowardice	بدبختی	0.133	0.621	0.167
cowardly	بدبختی	0.102	0.385	0.127
cowboy	گاوچران	0.594	0.625	0.695
cowgirl	دختر گاوچران	0.541	0.566	0.554
cowhand	گاو نر	0.438	0.480	0.596
cowhide	چرم گاو	0.458	0.324	0.333
cowl	گاو	0.427	0.450	0.232
coworker	همکار	0.667	0.490	0.625
coy	کثیف	0.347	0.330	0.213
coyote	کویوت	0.459	0.471	0.387
cozy	دنج	0.910	0.356	0.545
crab	خرچنگ	0.421	0.396	0.330
crabby	خرچنگ	0.198	0.812	0.370
crack	ترک	0.302	0.625	0.400
cracked	ترک خورده	0.224	0.520	0.228
cracker	کراکر	0.604	0.343	0.346
crackerjack	خرابکاری	0.567	0.509	0.426
cracking	ترک خوردن	0.327	0.557	0.286
crackle	ترک خوردن	0.327	0.643	0.481
crackpot	خرابکاری	0.260	0.602	0.245
cradle	گهواره	0.776	0.194	0.333
craft	مهارت	0.760	0.321	0.539
crafts	صنایع دستی	0.667	0.380	0.391
craftsman	کارگر	0.719	0.310	0.583
craftsmanship	ساخت، صنعتگری، استادکاری، استادی	0.823	0.373	0.571
crafty	فریبنده	0.589	0.679	0.783
craig	دیوانه	0.448	0.449	0.490
cram	ترم	0.354	0.730	0.598
crammed	پر شده	0.406	0.740	0.466
cramp	گرفتگی	0.194	0.796	0.340
cramped	تنگ	0.240	0.567	0.360
cranberry	کران بری	0.793	0.330	0.363
cranberry juice	آب ذغال اخته	0.622	0.321	0.281
crane	جرثقیل	0.396	0.417	0.589
cranial	جمجمه	0.354	0.510	0.583
cranium	سرفه	0.439	0.491	0.725
crank	میل لنگ	0.448	0.275	0.417
cranky	لعنتی	0.194	0.776	0.396
cranny	مدرج	0.194	0.471	0.250
crap	چرندیات	0.083	0.644	0.167
crappy	کم ارزش	0.039	0.582	0.208
craps	فرشته ها	0.375	0.420	0.273
crash	تصادف در	0.194	0.906	0.355
crass	کثیف	0.223	0.490	0.466
crate	جعبه	0.427	0.173	0.274
crater	دهانه	0.450	0.647	0.529
crave	طعنه زدن	0.625	0.510	0.731
craving	میل شدید به	0.510	0.755	0.636
crawfish	خرچنگ	0.510	0.427	0.342
crawl	خزیدن	0.479	0.519	0.467
crayon	مداد رنگی	0.604	0.260	0.185
crayons	مداد شمعی	0.684	0.366	0.405
craze	دیوانه	0.255	0.657	0.435
crazed	دیوانه شده	0.153	0.877	0.417
craziness	دیوانگی	0.238	0.908	0.255
crazy	دیوانه	0.156	0.843	0.321
creak	خندیدن	0.344	0.670	0.411
creaking	خندیدن	0.302	0.743	0.415
cream	کرم رنگ	0.688	0.259	0.220
creamed	خامه ای	0.723	0.273	0.288
creamer	کرم	0.594	0.192	0.269
creamy	خامه ای	0.823	0.337	0.345
crease	چرت زدن	0.440	0.286	0.300
create	ايجاد كردن	0.786	0.588	0.789
creation	ایجاد	0.927	0.575	0.868
creative	خلاق یا مبتکر	0.917	0.518	0.788
creativity	خلاقیت	0.938	0.684	0.815
creator	ایجاد کننده	0.865	0.592	0.856
creature	موجود	0.669	0.625	0.620
credence	اعتبار	0.760	0.460	0.737
credential	اعتبارنامه	0.735	0.337	0.597
credentials	مدارک تحصیلی	0.708	0.373	0.675
credibility	اعتبار	0.875	0.427	0.809
credible	قابل اعتماد	0.917	0.441	0.750
credit	اعتبار	0.673	0.549	0.648
credit card	کارت اعتباری	0.670	0.550	0.640
creditable	قابل اعتماد	0.802	0.510	0.742
credited	اعتبار داده شده	0.781	0.390	0.691
crediting	اعتباری	0.673	0.550	0.741
creditor	بدهکار	0.479	0.594	0.689
creed	عقیده	0.573	0.245	0.544
creek	نهر	0.552	0.392	0.330
creep	خزش	0.354	0.647	0.361
creeper	خزنده	0.429	0.558	0.366
creeping	خزنده	0.292	0.613	0.282
creepy	خزنده	0.125	0.861	0.373
cremation	کرم	0.084	0.620	0.420
creole	Creole	0.667	0.357	0.523
crepe	کرپ	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	هلال	0.698	0.382	0.407
crest	تاج	0.458	0.333	0.333
crestfallen	فرو ریختن	0.235	0.346	0.175
cretin	کرتین	0.265	0.583	0.312
cretins	کرتین	0.094	0.741	0.328
crevice	شکاف	0.361	0.471	0.275
crew	خدمه	0.604	0.598	0.735
crewman	خدمه	0.602	0.580	0.548
crib	گهواره	0.653	0.240	0.407
cricket	کریکت	0.423	0.539	0.370
cried	گریه کرد	0.167	0.612	0.254
crime	جرم	0.071	0.943	0.630
criminal	جنایی	0.021	0.830	0.529
criminality	جرم و جنایت	0.122	0.863	0.580
crimp	سرامیک	0.260	0.557	0.396
crimson	قرمز مایل به زرد	0.667	0.385	0.370
cringe	ریزش	0.245	0.840	0.377
cripple	فلج کردن	0.094	0.392	0.161
crippled	فلج شده	0.035	0.358	0.236
crippling	فلج	0.156	0.598	0.391
crisis	بحران	0.208	0.811	0.431
crisp	ترد	0.776	0.692	0.508
crispy	ترد	0.656	0.550	0.509
criterion	معیار	0.396	0.410	0.736
critic	منتقد	0.264	0.604	0.686
critical	بحرانی	0.312	0.802	0.545
criticise	انتقاد کنید	0.073	0.700	0.452
criticism	انتقاد	0.115	0.563	0.505
criticize	انتقاد کنید	0.143	0.708	0.473
criticized	انتقاد شدید	0.240	0.600	0.311
critique	انتقاد	0.302	0.760	0.537
critter	مخلوق	0.542	0.539	0.482
croak	کبریت کردن	0.337	0.346	0.298
croc	کروک	0.327	0.452	0.451
crock	کوزه کردن	0.385	0.412	0.421
crockery	قوری	0.552	0.216	0.327
crocodile	تمساح	0.344	0.708	0.610
croft	کرافت	0.531	0.429	0.421
croissant	کریسانت	0.745	0.330	0.430
crook	خم کردن	0.171	0.765	0.550
crooked	کج	0.146	0.594	0.305
crop	محصول	0.615	0.260	0.500
croquet	کروکیت	0.551	0.519	0.407
cross	صلیب	0.448	0.321	0.569
cross country	کشور متقابل	0.531	0.441	0.529
crossbow	کراوات	0.344	0.598	0.560
crossed	عبور کرد	0.431	0.490	0.508
crossfire	آتش سوزی	0.316	0.896	0.722
crossing	عبور	0.549	0.349	0.451
crossover	متقاطع	0.559	0.550	0.500
crosswalk	خط عابر پیاده	0.557	0.441	0.380
crossword	جدول کلمات متقاطع	0.611	0.423	0.455
crotch	فک	0.521	0.637	0.447
crouch	کوهنوردی	0.281	0.606	0.312
crouched	crouched	0.333	0.363	0.279
crouching	کوهنوردی	0.261	0.429	0.345
croupier	کروپه	0.531	0.519	0.404
crow	کلاغ	0.224	0.439	0.363
crowbar	لنگ	0.406	0.531	0.386
crowd	جمعیت	0.350	0.827	0.731
crowded	شلوغ	0.694	0.286	0.585
crowds	جمعیت	0.469	0.723	0.806
crown	تاج پادشاهی	0.708	0.572	0.737
crowning	تاج زدن	0.773	0.594	0.831
crucial	حیاتی	0.541	0.657	0.777
cruciate	صلیب	0.429	0.435	0.585
crucifix	مصلوب شدن	0.469	0.480	0.510
crucifixion	مصلوب شدن	0.135	0.857	0.541
crucify	مصلوب شدن	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	خام	0.198	0.402	0.357
cruel	ظالمانه	0.122	0.866	0.391
cruelly	بی رحمانه	0.146	0.790	0.471
cruelty	ظلم	0.092	0.836	0.536
cruise	کشتی تفریحی	0.740	0.442	0.683
cruise ship	کشتی کروز	0.878	0.650	0.500
cruiser	کروزر	0.737	0.490	0.608
cruising	کروز	0.886	0.580	0.560
crumb	خرده	0.417	0.255	0.216
crumble	فرو ریختن	0.333	0.480	0.423
crumbling	فرو ریختن	0.167	0.696	0.308
crummy	ضعیف	0.125	0.531	0.224
crunch	خراب کردن	0.292	0.630	0.406
crunchy	ترد	0.625	0.560	0.539
crusade	جنگ صلیبی	0.592	0.720	0.709
crusader	جنگجو	0.439	0.588	0.548
crush	خرد کردن	0.271	0.676	0.582
crushed	خرد شده	0.167	0.647	0.300
crusher	سنگ شکن	0.271	0.709	0.598
crushing	خرد کردن	0.219	0.755	0.411
crust	پوسته	0.542	0.337	0.456
crusty	پوسته پوسته شدن	0.625	0.531	0.473
crutch	اره	0.302	0.294	0.302
crux	کرم	0.469	0.558	0.519
cry	گریه کردن	0.133	0.627	0.255
crybaby	گریه کودک	0.375	0.702	0.311
crying	گریان	0.153	0.704	0.208
crypt	کریپت	0.156	0.431	0.386
cryptic	رمز گشایی	0.296	0.516	0.474
cryptography	رمزنگاری	0.490	0.415	0.650
crystal	کریستال	0.618	0.270	0.508
crystalline	بلورین	0.765	0.235	0.534
crystallization	کریستالیزاسیون	0.600	0.449	0.565
cub	توله	0.646	0.382	0.284
cubby	حشره	0.354	0.385	0.360
cube	مکعب	0.469	0.226	0.274
cubic	مکعب	0.458	0.306	0.407
cubicle	کابین	0.479	0.343	0.417
cuckold	شوهر زننده	0.210	0.573	0.230
cuckoo	کوسه	0.420	0.459	0.284
cucumber	خیار	0.490	0.235	0.237
cuddle	در اغوش گرفتن	0.885	0.559	0.475
cuddled	سوزش	0.906	0.547	0.567
cuddles	کتک زدن	0.847	0.382	0.500
cuddling	کتک زدن	0.917	0.562	0.433
cue	نشانه	0.521	0.433	0.484
cuff	کاف	0.469	0.453	0.387
cuisine	غذا	0.714	0.365	0.390
culinary	آشپزی	0.654	0.443	0.519
cull	پاک کن	0.365	0.702	0.464
culminate	بهم زدن	0.667	0.550	0.602
culmination	نقطه اوج	0.656	0.586	0.695
culpability	جرم	0.112	0.745	0.368
culpable	مجرم	0.140	0.700	0.319
culprit	مقصر	0.062	0.676	0.333
cult	فرقه	0.448	0.535	0.648
cultivate	کشت کن	0.708	0.410	0.598
cultivated	کشت شده	0.837	0.343	0.564
cultivation	کشت	0.625	0.324	0.462
cultural	فرهنگی	0.802	0.390	0.623
culture	فرهنگ	0.753	0.304	0.675
cultured	با فرهنگ	0.635	0.429	0.625
culvert	کولتور	0.337	0.324	0.343
cumbersome	سنگین	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	حیله گر	0.604	0.685	0.683
cunt	کس	0.135	0.673	0.377
cup	فنجان	0.615	0.167	0.231
cupboard	کابینت	0.553	0.200	0.304
cupcake	کیک کوچک	0.656	0.333	0.344
cupping	کوک کردن	0.490	0.610	0.402
cur	کنجکاو	0.440	0.519	0.460
curable	قابل درمان است	0.823	0.292	0.574
curate	دروغ گفتن	0.726	0.418	0.526
curative	درمانی	0.667	0.318	0.613
curator	تعميرگاه	0.688	0.389	0.688
curb	محدود کردن	0.472	0.371	0.402
curd	کشک	0.542	0.442	0.278
cure	درمان	0.719	0.377	0.623
curfew	مقررات حکومت نظامی وخاموشی در ساعت معین شب	0.219	0.618	0.623
curiosity	کنجکاوی	0.750	0.755	0.463
curious	کنجکاو	0.635	0.600	0.483
curl	حلقه	0.385	0.452	0.351
curling	پیچش یا حلقه زنی	0.583	0.592	0.400
currency	واحد پول	0.583	0.418	0.592
current	جاری	0.625	0.312	0.612
curriculum	برنامه تحصیلی	0.708	0.306	0.620
curry	ادویه کاری	0.633	0.345	0.302
curse	لعنت	0.033	0.720	0.375
cursed	لعنتی	0.083	0.783	0.393
cursing	لعنت کردن	0.112	0.860	0.446
cursory	مدرن	0.423	0.451	0.431
curt	کوره	0.245	0.610	0.452
curtail	محدود کردن	0.306	0.439	0.497
curtailment	محدودیت	0.230	0.578	0.431
