Word	Malagasy-mg	Valence	Arousal	Dominance
companion	mpiara-mitory	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	namana	0.833	0.438	0.792
company	orinasa	0.906	0.425	0.798
comparable	mitovy	0.562	0.443	0.458
comparative	fampitahana	0.470	0.273	0.562
comparatively	azo lazaina	0.604	0.391	0.538
compare	mampitaha	0.552	0.408	0.524
comparison	fampitahana	0.583	0.456	0.492
compartment	mampitohy	0.500	0.389	0.607
compass	manodidina	0.541	0.307	0.529
compassion	fangoraham-po	0.735	0.258	0.509
compassionate	fangorahana	0.857	0.404	0.411
compatibility	mifanentana	0.816	0.450	0.673
compatible	mifanaraka	0.892	0.387	0.638
compel	hanery	0.200	0.847	0.625
compelled	noterena	0.333	0.654	0.347
compelling	maharesy lahatra	0.698	0.570	0.870
compendium	famintinana	0.610	0.461	0.537
compensate	hanonitra	0.612	0.429	0.762
compensation	onitra	0.775	0.469	0.598
compensatory	fanonerana izany	0.589	0.490	0.700
compete	hifaninana	0.573	0.745	0.786
competence	fahaizana	0.615	0.802	0.823
competency	fahaiza-	0.768	0.775	0.764
competent	mahefa	0.865	0.560	0.904
competition	fifaninanana	0.580	0.790	0.798
competitive	mifaninana	0.447	0.718	0.908
competitor	mpifaninana	0.612	0.959	0.861
compilation	fanangonana	0.530	0.512	0.606
compile	manangona	0.600	0.413	0.519
complacency	niraika	0.604	0.503	0.519
complacent	afa-po	0.625	0.452	0.518
complain	hitaraina	0.143	0.682	0.360
complaint	fitarainana	0.143	0.606	0.281
complement	famenon'ny	0.760	0.277	0.600
complementary	mifameno	0.714	0.320	0.586
complete	feno	0.750	0.414	0.809
completed	vita ny	0.823	0.357	0.777
completely	tanteraka	0.730	0.370	0.690
completeness	feno	0.823	0.433	0.769
completing	nahavita	0.614	0.500	0.769
completion	vita	0.656	0.470	0.525
complex	sarotra	0.388	0.608	0.550
complexed	complexed	0.312	0.577	0.612
complexion	endrika	0.521	0.520	0.380
complexity	pitsiny	0.479	0.620	0.595
compliance	fanajana	0.750	0.462	0.750
compliant	mifanaraka tsara	0.677	0.310	0.519
complicate	manasarotra	0.210	0.657	0.404
complicated	sarotra	0.211	0.660	0.455
complication	olana anefa	0.365	0.726	0.330
complicity	firaisana tsikombakomba	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	fiderana	0.823	0.413	0.435
comply	hanaraka	0.806	0.370	0.638
complying	mifanaraka	0.729	0.423	0.590
compo	compo	0.500	0.346	0.390
component	singa fototra	0.531	0.382	0.525
compose	compose	0.639	0.432	0.694
composed	ahitana	0.684	0.385	0.682
composer	mpamoron-kira	0.822	0.588	0.691
composite	ankapobeny	0.591	0.459	0.620
composition	fifehezan	0.765	0.408	0.652
compost	zezika	0.480	0.404	0.441
composure	tony	0.802	0.354	0.717
compound	iombonana amin'ny	0.635	0.385	0.735
comprehend	mahatakatra	0.875	0.365	0.689
comprehension	fahazavan-	0.908	0.387	0.688
comprehensive	feno	0.796	0.385	0.644
compress	hamintinana ireo	0.406	0.412	0.460
compressed	Compressed	0.323	0.396	0.388
compressible	compressible	0.622	0.392	0.585
compression	famatrarana	0.646	0.521	0.579
compressor	compressor	0.418	0.481	0.630
comprise	ahitana	0.839	0.373	0.669
compromise	marimaritra iraisana	0.677	0.520	0.805
comptroller	comptroller	0.402	0.481	0.866
compulsion	tery	0.118	0.760	0.604
compulsive	compulsive	0.347	0.871	0.573
compulsory	maintsy	0.343	0.541	0.791
computable	computable	0.570	0.402	0.545
computation	computation	0.583	0.429	0.697
compute	compute	0.531	0.408	0.564
computer	solosaina	0.802	0.356	0.639
computerized	ordinatera	0.677	0.450	0.657
computing	computing	0.745	0.398	0.695
comrade	comrade	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	concatenation	0.480	0.593	0.539
concave	concave	0.441	0.349	0.349
conceal	hanafina	0.312	0.436	0.306
concealed	miafina	0.344	0.363	0.352
concealment	fanafenana	0.302	0.570	0.390
concede	miaiky	0.670	0.324	0.473
conceit	ho hendry	0.354	0.625	0.309
conceited	mieboebo	0.194	0.667	0.473
conceivable	heritreretina koa	0.730	0.350	0.613
conceive	Torontoronina	0.708	0.538	0.700
concentrate	mifantoka	0.750	0.439	0.743
concentration	fitanana	0.735	0.500	0.722
concentric	concentric	0.730	0.479	0.635
concept	foto-kevitra	0.573	0.265	0.632
conception	torontoronina	0.694	0.490	0.614
concern	olana	0.250	0.734	0.463
concerned	voakasik'izany	0.292	0.698	0.350
concert	fampisehoana	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	namelan'i	0.588	0.423	0.615
concessional	concessional	0.770	0.493	0.657
conch	anjombony	0.583	0.306	0.339
concierge	concierge	0.480	0.343	0.343
conciliation	conciliation	0.792	0.475	0.726
concise	fohy	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	milaza	0.530	0.267	0.679
concluding	famaranana	0.531	0.382	0.603
conclusion	famaranana	0.615	0.377	0.659
conclusive	kevitra	0.500	0.427	0.745
concoction	concoction	0.448	0.459	0.417
concomitant	concomitant	0.427	0.482	0.727
concord	ifanarahan'i	0.677	0.320	0.586
concordance	fizahan-teny	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	concourse	0.740	0.657	0.528
concrete	simenitra	0.633	0.420	0.547
concubine	vaditsindranon'i	0.388	0.594	0.476
concur	concur	0.459	0.394	0.429
concurrence	mifanaiky	0.764	0.627	0.613
concurrent	concurrent	0.573	0.547	0.741
concurring	concurring	0.573	0.600	0.681
concussion	concussion	0.072	0.708	0.482
condemn	manameloka	0.102	0.793	0.625
condemnation	fanamelohana	0.133	0.725	0.449
condensation	condensation	0.510	0.316	0.538
condensed	Voafintina	0.598	0.415	0.623
condescending	Miondrika	0.583	0.363	0.593
condescension	fiambanian	0.521	0.377	0.565
condiment	condiment	0.520	0.333	0.433
condition	toe-javatra	0.500	0.469	0.519
conditional	fepetra	0.521	0.343	0.556
conditionally	fepetra	0.396	0.419	0.617
conditioned	miankina	0.490	0.417	0.616
conditioner	-javatra mampahalefaka	0.781	0.360	0.538
conditioning	pana	0.440	0.468	0.617
conditions	toe-javatra	0.551	0.441	0.593
condo	condo	0.439	0.288	0.607
condolence	fampiononana	0.260	0.443	0.404
condolences	fiaraha-miory	0.198	0.480	0.288
condom	fimailo	0.406	0.637	0.500
condone	Nanala Tsiny	0.571	0.441	0.619
condor	Condor	0.573	0.388	0.519
conducive	sahaza	0.775	0.479	0.679
conduct	fitondran-tena	0.453	0.510	0.750
conduction	conduction	0.530	0.557	0.717
conductivity	conductivity	0.583	0.575	0.642
conductor	mpitarika	0.677	0.663	0.621
conduit	lakan-drano	0.470	0.302	0.413
cone	cone	0.417	0.208	0.343
confederacy	tetika fikomiana	0.590	0.541	0.736
confederate	mpihavana	0.551	0.546	0.792
confederation	Confederation	0.663	0.404	0.830
confer	manome	0.573	0.482	0.583
conference	amin 'ny Conference	0.688	0.615	0.606
confess	manaiky	0.360	0.712	0.431
confession	fiaiken-keloka	0.469	0.642	0.460
confessional	confessional	0.458	0.392	0.629
confessions	fitanisan-keloka	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	tsiambaratelony	0.837	0.633	0.631
confide	hamboraka	0.669	0.472	0.595
confidence	fahatokiana	0.959	0.276	0.943
confident	antoka	0.765	0.324	0.723
confidential	tsiambaratelo	0.643	0.471	0.761
confidentiality	tsiambaratelo	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	fanahafana	0.540	0.443	0.591
confine	velively	0.327	0.551	0.538
confined	afa-miala	0.286	0.472	0.444
confinement	monina	0.333	0.656	0.520
confines	voatsapa	0.396	0.386	0.542
confirm	manamafy	0.802	0.439	0.806
confirmation	ny fandraisana ho mpikambana	0.812	0.480	0.692
confirmatory	confirmatory	0.656	0.500	0.683
confirmed	noraisina ho mpikambana	0.760	0.490	0.764
confiscate	haka	0.250	0.625	0.482
confiscation	keriny	0.208	0.706	0.586
conflagration	adin'ny	0.344	0.721	0.594
conflict	fifandirana	0.335	0.906	0.471
conflicting	mifanohitra	0.173	0.738	0.553
confluence	confluence	0.677	0.598	0.565
conform	mifanaraka	0.479	0.380	0.375
conformance	conformance	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	fanarahana	0.645	0.363	0.579
confound	hampahamenatra	0.347	0.529	0.333
confounded	mangaihay	0.333	0.528	0.264
confront	miatrika	0.281	0.760	0.746
confrontation	fifandonana	0.177	0.870	0.658
confuse	afangaro	0.100	0.580	0.270
confused	sahiran-tsaina	0.220	0.650	0.179
confusing	mampisafotofoto	0.229	0.690	0.222
confusion	fifanjevoana	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	nifanaraka	0.820	0.412	0.620
congenital	hatrany am-bohoka	0.448	0.434	0.427
congestion	fitohanana	0.271	0.654	0.491
conglomerate	fitambaran'ny	0.500	0.500	0.838
conglomeration	conglomeration	0.541	0.720	0.670
congrats	Arahabaina	0.930	0.726	0.775
congratulate	hiarahaba	0.927	0.724	0.784
congratulation	congratulation	0.948	0.780	0.717
congratulations	Arahabaina	0.960	0.755	0.719
congratulatory	fiarahabana	0.959	0.616	0.689
congregate	hivory	0.653	0.530	0.733
congregation	fiangonana	0.561	0.490	0.700
congress	Kongresy	0.449	0.444	0.857
congressional	Kongresy	0.552	0.491	0.848
congressman	kaongresy	0.438	0.471	0.877
congruence	congruence	0.656	0.472	0.577
conic	conic	0.510	0.368	0.379
conical	bongo	0.490	0.422	0.471
conjecture	ampianarin'ny	0.396	0.398	0.534
conjugal	panambadiana	0.698	0.510	0.688
conjugate	conjugate	0.583	0.420	0.467
conjugation	Conjugation	0.479	0.429	0.582
conjunction	mpampitohy	0.520	0.472	0.509
conjunctive	mpampitohy	0.487	0.444	0.639
conjure	amin'ny famakafakana lahatsoratra	0.385	0.679	0.645
conjuring	mba hiantsoana	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	mifandray	0.724	0.299	0.536
connected	mifandray	0.816	0.550	0.612
connection	fifandraisana	0.729	0.560	0.655
connective	connective	0.719	0.491	0.764
connoisseur	connoisseur	0.760	0.461	0.769
conquer	mandresy	0.694	0.873	0.971
conquering	mandresy	0.760	0.873	0.936
conqueror	mpandresy	0.604	0.809	0.930
conquest	handresy	0.710	0.702	0.833
conscience	feon'ny fieritreretana	0.663	0.375	0.721
conscientious	feon'ny fieritreretany	0.688	0.404	0.688
conscious	mahatsiaro tena	0.740	0.333	0.705
consciousness	fahatsiarovan-tena	0.840	0.483	0.755
conscription	voantso ho	0.396	0.775	0.642
consecrated	voatokana	0.663	0.500	0.800
consecration	fanokanana	0.771	0.418	0.804
consecutive	misesy	0.663	0.418	0.643
consensual	ankilany	0.663	0.417	0.655
consensus	fifanarahana	0.627	0.358	0.625
consent	manaiky	0.750	0.500	0.620
consenting	nanaiky	0.727	0.406	0.693
consequence	vokatr'izany	0.240	0.721	0.593
consequent	vokatry	0.663	0.471	0.625
conservation	fiarovana ny tontolo iainana	0.832	0.401	0.606
conservatism	conservatism	0.406	0.369	0.633
conservative	mpandala ny mahazatra	0.615	0.316	0.788
conservatory	conservatory	0.635	0.240	0.729
conserve	hitahiry	0.690	0.347	0.573
consider	Diniho	0.677	0.368	0.579
considerable	be	0.653	0.314	0.683
considerate	fiheverana	0.781	0.380	0.633
consideration	fandinihana	0.589	0.380	0.687
consignee	olona andefasana entana	0.635	0.385	0.602
consignment	zato tany	0.490	0.440	0.500
consist	mifototra	0.823	0.386	0.580
consistency	tapaka	0.714	0.500	0.887
consistent	miovaova	0.786	0.431	0.726
consolation	fampiononana	0.408	0.250	0.304
console	hampionona	0.625	0.398	0.415
consoled	nampionona	0.700	0.343	0.452
consolidate	manamafy orina	0.880	0.440	0.870
consolidated	mivaingana	0.700	0.366	0.784
consolidation	fanamafisana	0.604	0.445	0.776
consonant	consonant	0.500	0.347	0.417
consort	vadin'ny	0.632	0.509	0.630
conspicuous	miharihary	0.479	0.520	0.596
conspiracy	niray tetika	0.125	0.787	0.652
conspirator	conspirator	0.271	0.786	0.707
conspire	tetika	0.206	0.740	0.520
constable	Constable	0.573	0.667	0.764
constancy	tapaka	0.786	0.443	0.763
constant	foana	0.740	0.296	0.686
constantly	foana	0.663	0.561	0.700
constellation	atonton-kintan'i	0.719	0.533	0.775
consternation	consternation	0.167	0.680	0.469
constipation	fitohanana	0.079	0.612	0.231
constituency	Faripiadidiam-	0.500	0.480	0.696
constituent	Panorenana	0.573	0.500	0.827
constituents	mpifidy azy	0.573	0.414	0.833
constitute	dia maneho	0.812	0.349	0.906
constitution	lalam-panorenana	0.590	0.380	0.889
constitutional	lalàm-panorenana	0.633	0.418	0.827
constitutionality	constitutionnalité	0.612	0.439	0.853
constrain	no manery	0.261	0.500	0.500
constrained	tery	0.135	0.537	0.357
constraint	-tery	0.323	0.550	0.481
construct	hanorina	0.750	0.648	0.792
construction	construction	0.848	0.612	0.759
constructive	mahasoa	0.860	0.570	0.812
construe	construe	0.602	0.519	0.553
consul	Kaonsily	0.573	0.354	0.688
consulate	masoivoho	0.561	0.453	0.694
consult	maka hevitra	0.755	0.370	0.441
consultant	mpanolo-tsaina	0.770	0.344	0.808
consultation	fakan-kevitra	0.660	0.463	0.625
consume	lanin'ny	0.427	0.620	0.509
consumer	mpanjifa	0.507	0.551	0.677
consuming	mandevona	0.573	0.541	0.536
consummate	tanterak'i	0.551	0.540	0.558
consummation	consummation	0.583	0.676	0.661
consumption	fihinanana	0.390	0.531	0.538
contact	fifandraisana	0.719	0.424	0.526
contagion	areti-mifindra	0.208	0.630	0.535
contagious	areti-mifindra	0.184	0.725	0.400
contain	misy	0.542	0.490	0.658
container	fitoeran-javatra	0.551	0.396	0.561
containment	containment	0.411	0.491	0.618
contaminate	ho nitera-pahavoazana	0.140	0.611	0.426
contaminated	voaloto	0.040	0.500	0.368
contamination	fandotoana	0.125	0.610	0.375
contemplate	mieritreritra	0.740	0.347	0.642
contemplation	fibanjinana	0.552	0.324	0.627
contemplative	Manjary	0.729	0.308	0.739
contemporaneous	contemporaneous	0.640	0.373	0.591
contemporary	maoderina	0.720	0.365	0.569
contempt	fanamavoana	0.206	0.635	0.396
contemptible	tsinontsinona	0.146	0.657	0.471
contemptuous	contemptuous	0.204	0.500	0.375
contend	miady	0.510	0.657	0.731
contender	ka hiady	0.480	0.790	0.681
contending	niady	0.490	0.698	0.716
content	afa-po	0.764	0.296	0.559
contented	afa-po	0.857	0.612	0.746
contention	fifandirana	0.375	0.510	0.738
contentious	tia ady	0.422	0.573	0.637
contentment	afa-po	0.875	0.610	0.782
contents	Hevitra ato Anatiny	0.656	0.375	0.550
contest	fifaninanana	0.667	0.698	0.717
contestant	mpifaninana	0.760	0.530	0.602
context	teny manodidina	0.531	0.300	0.553
contiguous	contiguous	0.375	0.450	0.500
continence	continence	0.450	0.396	0.469
continent	kaontinanta	0.551	0.373	0.833
continental	Continental	0.486	0.350	0.755
contingency	ho foana	0.396	0.500	0.670
contingent	hiankina	0.470	0.531	0.659
continual	mandrakariva	0.500	0.423	0.685
continually	mandrakariva	0.646	0.438	0.698
continuance	fanohizana	0.729	0.510	0.652
continuation	fitohizan'ny	0.615	0.470	0.566
continue	hanohy	0.630	0.427	0.612
continued	foana	0.635	0.440	0.500
continuing	mitohy	0.667	0.500	0.520
continuity	fitohizan'ny	0.781	0.439	0.684
continuous	mitohy	0.625	0.509	0.580
continuously	hatrany	0.719	0.417	0.702
continuum	fitohi-	0.677	0.390	0.491
contour	contour	0.589	0.265	0.414
contraband	Contraband	0.177	0.875	0.670
contraception	fanabeazana aizana	0.296	0.518	0.525
contract	fifanarahana	0.594	0.412	0.636
contracted	fifanarahana	0.344	0.557	0.449
contractile	contractile	0.480	0.586	0.569
contracting	Arakaraka	0.594	0.490	0.769
contraction	Contraction	0.292	0.755	0.603
contractor	mpiantoka	0.592	0.479	0.727
contradict	mifanohitra	0.160	0.598	0.482
contradiction	mifanohitra	0.250	0.660	0.377
contradictory	mifanohitra	0.365	0.651	0.421
contraption	contraption	0.448	0.590	0.491
contrary	mifanohitra	0.327	0.449	0.338
contrast	mifanohitra	0.480	0.406	0.520
contrasted	mifanohitra	0.521	0.538	0.491
contravene	mandika ny	0.357	0.618	0.472
contravention	izany tsy	0.344	0.627	0.593
contribute	mandray anjara	0.806	0.350	0.795
contribution	fandraisana anjara	0.854	0.452	0.760
contributor	mpiara-miasa	0.844	0.510	0.760
contrite	manenina	0.347	0.363	0.473
contrition	fanenenana	0.347	0.583	0.463
contrived	sarintsariny	0.408	0.530	0.458
control	fanaraha-maso	0.729	0.352	0.808
controller	-maso	0.469	0.712	0.868
controlling	mifehy	0.490	0.441	0.885
controversial	mahabe resaka	0.271	0.858	0.538
controversy	adihevitra	0.250	0.819	0.600
contusion	contusion	0.167	0.565	0.509
conundrum	conundrum	0.354	0.524	0.408
convalescent	convalescent	0.458	0.480	0.269
convection	convection	0.521	0.494	0.526
convene	nivory	0.583	0.676	0.636
convenience	tsy hanahirana	0.781	0.448	0.613
conveniences	mampiadana	0.802	0.412	0.693
convenient	mety	0.846	0.491	0.574
convent	drelijiozy	0.480	0.217	0.594
convention	fivoriambe	0.622	0.622	0.704
conventional	mahazatra	0.594	0.292	0.634
converge	converge	0.635	0.471	0.539
convergence	convergence	0.551	0.491	0.625
convergent	convergent	0.781	0.490	0.696
conversant	conversant	0.724	0.360	0.542
conversation	resaka	0.750	0.510	0.609
conversational	miresaka	0.719	0.431	0.596
conversationalist	conversationalist	0.719	0.467	0.667
converse	miresaka	0.594	0.406	0.598
conversing	niresaka	0.755	0.409	0.442
conversion	fiovam-po	0.480	0.605	0.736
convert	niova fo	0.551	0.538	0.704
converted	niova fo	0.663	0.418	0.686
convertible	convertible	0.542	0.529	0.717
convex	convex	0.438	0.427	0.445
convexity	convexity	0.449	0.354	0.484
convey	mampita	0.719	0.633	0.708
conveyance	pitaterana	0.615	0.520	0.455
conveyancing	conveyancing	0.375	0.479	0.663
convict	voaheloka	0.177	0.840	0.477
conviction	faharesen-dahatra	0.615	0.704	0.826
convince	handresy lahatra	0.708	0.539	0.763
convinced	resy lahatra	0.750	0.500	0.630
convincing	mandresy lahatra	0.760	0.527	0.900
convocation	fivoriana	0.538	0.611	0.663
convoluted	convoluted	0.323	0.614	0.433
convolution	convolution	0.417	0.559	0.527
convoy	fiara	0.500	0.671	0.639
coo	nitoloko	0.490	0.439	0.500
cook	mahandro	0.847	0.500	0.412
cookbook	Cookbook	0.602	0.346	0.398
cooker	cooker	0.592	0.373	0.407
cookery	cookery	0.633	0.368	0.345
cookie	mofomamy	0.792	0.306	0.250
cookies	mofomamy	0.823	0.451	0.316
cooking	mahandro sakafo	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	mangatsiatsiaka	0.885	0.540	0.781
coolant	coolant	0.720	0.412	0.456
cooler	mangatsiaka kokoa	0.664	0.375	0.460
cooling	hihena	0.469	0.324	0.392
coolness	coolness	0.490	0.307	0.548
coon	Coon	0.490	0.460	0.400
coop	tranon'akoho	0.612	0.445	0.650
cooperate	miara-miasa	0.898	0.451	0.582
cooperating	miara-miasa	0.760	0.390	0.693
cooperation	fiaraha-miasa	0.847	0.473	0.686
cooperative	fiaraha-miasa	0.816	0.461	0.670
coordinate	mandrindra	0.698	0.429	0.694
coordination	fandrindrana	0.677	0.454	0.789
coordinator	mpandrindra	0.750	0.510	0.850
cop	polisy	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	hiatrika	0.592	0.647	0.709
copier	copier	0.459	0.345	0.390
copilot	copilot	0.640	0.538	0.573
coping	miatrika	0.562	0.630	0.613
copious	copious	0.427	0.462	0.527
copper	varahina	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	dika mitovy	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	kopia	0.448	0.315	0.404
copyright	Copyright	0.458	0.402	0.663
coral	haran-dranomasina	0.802	0.231	0.425
coral snake	karaoke snake	0.276	0.712	0.607
cord	tady	0.388	0.378	0.358
cordial	sariaka	0.823	0.312	0.482
cordless	cordless	0.667	0.441	0.528
cordon	Cordon	0.469	0.317	0.380
corduroy	corduroy	0.570	0.324	0.357
core	fototra	0.721	0.378	0.540
cork	bosoa	0.347	0.250	0.281
corkscrew	corkscrew	0.427	0.443	0.445
corn	katsaka	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	cornea	0.521	0.346	0.443
corned	corned	0.459	0.441	0.425
corner	zoro	0.400	0.296	0.366
cornerstone	vato fehizoro	0.550	0.388	0.596
cornet	anjomara	0.507	0.520	0.415
cornfield	katsaka	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornice	0.458	0.441	0.295
cornstarch	cornstarch	0.643	0.299	0.337
corny	corny	0.448	0.370	0.221
corollary	corollary	0.458	0.469	0.366
corona	Corona	0.818	0.439	0.745
coronary	mpanelira	0.567	0.613	0.509
coronation	nanosotra	0.792	0.592	0.836
coroner	coroner	0.323	0.558	0.526
corporal	Corporal	0.582	0.490	0.596
corporate	orinasa	0.592	0.454	0.745
corporation	orinasa	0.429	0.332	0.873
corporeal	batana	0.520	0.350	0.461
corps	Corps	0.551	0.453	0.483
corpse	faty	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	Corpus	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	marina	0.857	0.306	0.723
correction	fanitsiana	0.448	0.485	0.558
correctional	correctional	0.292	0.713	0.602
corrective	manitsy	0.448	0.528	0.613
correctness	correct	0.796	0.450	0.649
correlation	fifandraisany	0.596	0.462	0.571
correlative	correlative	0.510	0.402	0.571
correspond	mifanitsy	0.710	0.452	0.545
correspondence	taratasy avy amin '	0.663	0.423	0.491
correspondent	iraky	0.573	0.565	0.712
corresponding	mifandraika	0.740	0.423	0.618
corridor	lalantsara	0.604	0.589	0.592
corroborate	Manamarina an'izay	0.671	0.471	0.616
corroboration	fanamarinan'ny	0.625	0.431	0.733
corrosion	harafesiny	0.156	0.610	0.348
corrosive	manimba tsikelikely	0.140	0.618	0.570
corrupt	ratsy	0.020	0.806	0.500
corrupting	dratsy	0.062	0.804	0.380
corruption	kolikoly	0.052	0.830	0.549
corsage	corsage	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	corset	0.490	0.520	0.381
cortex	cortex	0.594	0.439	0.529
cortical	mpanentana cortico	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	corvette	0.551	0.520	0.598
cosmetic	tarehy	0.625	0.304	0.308
cosmetics	makiazy	0.765	0.464	0.472
cosmic	cosmic	0.663	0.538	0.692
cosmology	mpandinika	0.651	0.438	0.637
cosmopolitan	cosmopolitan	0.823	0.510	0.760
cosmos	tontolo izao voarindra	0.860	0.478	0.664
cost	vidin'ny	0.365	0.420	0.439
costly	lafo vidy	0.316	0.650	0.642
costume	akanjo	0.548	0.510	0.374
cosy	Cozy	0.847	0.255	0.518
cot	fandriana	0.625	0.230	0.278
cote	Cote	0.439	0.344	0.324
cottage	trano rantsan-kazo	0.600	0.279	0.361
cotton	landihazo	0.639	0.071	0.240
couch	fandriana	0.594	0.082	0.198
cougar	cougar	0.438	0.588	0.538
cough	mikohaka	0.255	0.627	0.241
council	filan-kevitra	0.875	0.279	0.635
councilman	mpanorotsaina monisipaly	0.531	0.367	0.793
counsel	torohevitra	0.594	0.519	0.730
counseling	torohevitra	0.667	0.480	0.704
counsellor	mpanolo-tsaina	0.823	0.327	0.740
counselor	mpanolo-tsaina	0.873	0.365	0.706
count	manisa	0.594	0.389	0.492
countdown	Countdown	0.438	0.692	0.490
countenance	tarehy	0.635	0.440	0.690
counter	by MediaWiki	0.439	0.478	0.750
counteract	manohitra	0.378	0.542	0.688
counterattack	setrin'izany	0.281	0.951	0.764
counterbalance	hanonerana	0.520	0.480	0.627
counterclaim	counterclaim	0.398	0.760	0.651
counterfeit	sandoka	0.094	0.694	0.451
counterpart	mifanitsy	0.448	0.608	0.577
counterpoint	counterpoint	0.438	0.509	0.538
countess	countess	0.562	0.440	0.670
countless	maro	0.520	0.566	0.534
country	firenena	0.698	0.394	0.693
countryman	any ambanivohitra	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	ambanivohitra	0.732	0.288	0.327
counts	fanisana	0.343	0.373	0.500
county	County	0.479	0.368	0.545
coup	fanonganam-panjakana	0.275	0.815	0.607
coupe	Coupe	0.479	0.460	0.482
couple	mpivady	0.806	0.605	0.607
coupled	navitrany	0.612	0.286	0.650
coupling	efa voavitrana	0.594	0.479	0.555
coupon	tapakila	0.704	0.300	0.421
courage	herim-po	0.830	0.728	0.849
courageous	be herim-po	0.918	0.587	0.879
courier	iraka	0.551	0.383	0.441
courses	antokony	0.735	0.412	0.534
coursing	coursing	0.542	0.472	0.546
court	fitsarana	0.479	0.769	0.827
courteous	nahalala fomba	0.937	0.396	0.529
courtesy	fahalalam-pomba	0.927	0.287	0.431
courthouse	fitsarana	0.571	0.503	0.818
courtroom	fitsarana	0.385	0.670	0.887
courts	fitsarana	0.367	0.710	0.816
courtship	fiarahana	0.667	0.490	0.654
courtside	courtside	0.592	0.391	0.434
courtyard	kianja	0.503	0.365	0.355
cousin	mpiray tam-po	0.675	0.394	0.427
cousins	havany	0.760	0.409	0.464
cove	Cove	0.500	0.304	0.370
coven	coven	0.458	0.578	0.591
covenant	fanekempihavanana	0.594	0.462	0.667
cover	fonony	0.365	0.240	0.471
coverage	fandrakofana	0.767	0.413	0.629
covered	nandrakotra	0.562	0.340	0.644
covering	mandrakotra	0.615	0.382	0.583
covert	fierena	0.500	0.570	0.508
covet	mitsiriritra	0.302	0.779	0.524
coveted	notsiriritiny fatratra	0.661	0.730	0.625
cow	ombivavy	0.449	0.230	0.300
coward	kanosa	0.102	0.490	0.149
cowardice	kanosa	0.133	0.621	0.167
cowardly	kanosa	0.102	0.385	0.127
cowboy	Cowboy	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	cowhand	0.438	0.480	0.596
cowhide	cowhide	0.458	0.324	0.333
cowl	cowl	0.427	0.450	0.232
coworker	mpiara-miasa	0.667	0.490	0.625
coy	mody saro-kenatra	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	Cozy	0.910	0.356	0.545
crab	drakaka	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	mitresaka	0.302	0.625	0.400
cracked	vaky	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	famoretana	0.327	0.557	0.286
crackle	crackle	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	fandrian-jaza	0.776	0.194	0.333
craft	asa tanana	0.760	0.321	0.539
crafts	asa-tanana	0.667	0.380	0.391
craftsman	mpanao asa tanana	0.719	0.310	0.583
craftsmanship	asa tanana	0.823	0.373	0.571
crafty	fetsy	0.589	0.679	0.783
craig	Craig	0.448	0.449	0.490
cram	nifanizina	0.354	0.730	0.598
crammed	nifanizina	0.406	0.740	0.466
cramp	cramp	0.194	0.796	0.340
cramped	ety	0.240	0.567	0.360
cranberry	canneberge	0.793	0.330	0.363
cranberry juice	cranberry juice	0.622	0.321	0.281
crane	vanobe koa samy	0.396	0.417	0.589
cranial	cranial	0.354	0.510	0.583
cranium	cranium	0.439	0.491	0.725
crank	crank	0.448	0.275	0.417
cranky	cranky	0.194	0.776	0.396
