Word	Tamil-ta	Valence	Arousal	Dominance
disconcerting	நை	0.106	0.549	0.269
disconnect	துண்டிக்க	0.438	0.292	0.191
disconnected	துண்டிக்கப்பட்ட	0.292	0.276	0.173
disconnection	துண்டித்தல்	0.167	0.283	0.277
disconnects	சிதைவின்	0.256	0.357	0.241
discontent	அதிருப்தி	0.240	0.530	0.263
discontinuance	இடைநிறுத்தியதைத்	0.123	0.741	0.337
discontinue	நிறுத்தும்படியும்	0.354	0.396	0.349
discontinuity	தொடர்பின்மை	0.303	0.439	0.250
discontinuous	தொடர்ச்சியற்ற	0.233	0.409	0.316
discord	கூறின	0.115	0.882	0.465
discount	தள்ளுபடி	0.724	0.530	0.302
discounted	தள்ளுபடி	0.677	0.471	0.430
discourage	ஊக்கம்	0.184	0.443	0.267
discouraged	ஊக்கம்	0.220	0.304	0.090
discouragement	ஊக்கமின்மை	0.112	0.319	0.206
discouraging	கண்டிப்பது	0.167	0.469	0.281
discourse	சொற்பொழிவு	0.410	0.550	0.803
discover	கண்டறிய	0.771	0.793	0.673
discovery	கண்டுபிடிப்பு	0.823	0.627	0.814
discredit	இழிவுபடுத்தும்	0.075	0.529	0.355
discredited	மதிப்பிழந்த	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	முரண்பாடு	0.260	0.643	0.417
discrete	தனித்தியங்கும்	0.585	0.231	0.429
discretion	சுயேச்சையான	0.552	0.320	0.685
discretionary	விருப்புரிமை	0.520	0.365	0.446
discriminate	வேற்றுமையை	0.125	0.761	0.366
discriminating	பாகுபாடு	0.160	0.783	0.462
discrimination	பாகுபாடு	0.051	0.724	0.379
discus	தடகளம்	0.542	0.423	0.343
discuss	விவாதிக்க	0.396	0.769	0.509
discussion	விவாதம்	0.333	0.842	0.536
disdain	ஏளனத்துடன்	0.153	0.446	0.441
disdainful	ஏளனமாக	0.097	0.480	0.263
disease	நோய்	0.041	0.539	0.333
diseased	நோயுற்ற	0.123	0.510	0.134
disembodied	உடலற்ற	0.167	0.620	0.412
disengage	ஈடுபாடுநீக்கல்	0.406	0.529	0.304
disengagement	விடுவிக்கப்படும்	0.327	0.373	0.395
disfigured	சிதைக்கப்பட்டும்	0.153	0.613	0.336
disgrace	அவமதிப்புடன்	0.061	0.531	0.331
disgraced	ஏமாற்றுவது	0.071	0.661	0.250
disgraceful	அவமானகரமானது	0.082	0.702	0.240
disgruntled	அதிருப்தி	0.104	0.658	0.442
disguise	உருமாற்றிக்கொள்வான்	0.573	0.694	0.431
disguised	மாறுவேடமிட்டு	0.500	0.615	0.326
disgust	உங்களுடைய வெறுப்பை	0.052	0.775	0.317
disgusted	வெறுப்படைந்த	0.051	0.773	0.274
disgusting	வெறுக்கத்தக்க	0.031	0.796	0.245
dish	டிஷ்	0.552	0.255	0.264
disheartened	மனமுடைந்தார்	0.153	0.343	0.238
disheartening	இதயமில்லா	0.010	0.353	0.224
dishonest	நேர்மையற்ற	0.191	0.491	0.163
dishonesty	நேர்மையின்மை	0.094	0.592	0.348
dishonor	அவமானத்தையும்	0.104	0.620	0.185
dishonorable	அகெளரவம்	0.112	0.641	0.280
dishwasher	பாத்திரங்கழுவி	0.480	0.296	0.324
disillusionment	ஏமாற்றத்தைக் கண்டுள்ள	0.051	0.519	0.190
disinclination	disinclination	0.125	0.491	0.330
disincline	விருப்பமின்றி	0.458	0.454	0.278
disinclined	கையாளவில்லை	0.385	0.442	0.364
disinfect	சுத்தப்படுத்தாமல்	0.448	0.388	0.648
disinfectant	கிருமிநாசினி	0.531	0.429	0.460
disinfection	தொற்று	0.517	0.556	0.473
disinformation	தவறான தகவல்கள் இவற்றின்	0.230	0.577	0.260
disingenuous	கபடமான	0.194	0.509	0.204
disintegrate	சிதைக்கத்	0.143	0.660	0.364
disintegration	சிதைவின்	0.094	0.551	0.381
disinterested	பாரபட்சமில்லாத	0.398	0.284	0.392
disjoint	பொதுவற்ற	0.351	0.385	0.322
disjointed	ஒத்திசைவற்ற	0.323	0.518	0.365
disjunctive	பிரிநிலை இடைச்சொல்	0.286	0.481	0.400
disk	வட்டு	0.573	0.423	0.412
diskette	வட்டு	0.531	0.255	0.391
dislike	வெறுப்பு	0.156	0.406	0.321
disliked	வெறுக்கப்படும்	0.062	0.510	0.221
disliking	விரும்பாததில்	0.163	0.637	0.366
dislocated	இடமாற்றிவிட்டார்	0.125	0.625	0.200
dislocation	இடப்பெயர்வு	0.229	0.565	0.373
dislodge	இடம்பெயர்வதற்கு	0.214	0.769	0.356
disloyal	துரோகியாக	0.062	0.582	0.245
disloyalty	பணிவின்மை	0.187	0.716	0.267
dismal	மோசமான	0.194	0.450	0.192
dismantle	அகற்றும்	0.347	0.644	0.462
dismay	கண்டனத்தையும்	0.314	0.681	0.459
dismayed	கலங்கி	0.165	0.735	0.389
dismemberment	துண்டாக்குதல்	0.104	0.860	0.470
dismiss	பதவி நீக்கம்	0.167	0.541	0.509
dismissal	நீக்கம்	0.153	0.723	0.271
dismissive	நிராகரித்து	0.188	0.541	0.430
dismount	இறங்கு	0.361	0.423	0.391
disobedience	ஒத்துழையாமை	0.051	0.868	0.369
disobedient	கீழ்ப்படியாத	0.276	0.706	0.353
disobey	பின்பற்றாமல்	0.143	0.556	0.491
disorder	கோளாறு	0.115	0.816	0.218
disordered	ஒழுங்கீனம்	0.210	0.714	0.288
disorderly	ஒழுங்கற்ற	0.188	0.748	0.385
disorganized	ஒழுங்கற்ற	0.052	0.507	0.184
disorientation	இலக்கற்ற	0.163	0.472	0.212
disoriented	நிலைதவறி	0.227	0.643	0.227
disown	கைவிட்டுவிட்டேன்	0.153	0.637	0.368
disparage	கேவலப்படுத்தி	0.092	0.663	0.336
disparaging	இழிந்துரைப்பதைப்	0.102	0.626	0.411
disparate	முற்றிலும் வேறான	0.438	0.500	0.368
disparity	வேறுபாடு	0.208	0.482	0.361
dispassionate	நடுநிலைப் பார்வையில்	0.199	0.217	0.218
dispatch	அனுப்புதல்	0.317	0.417	0.555
dispatcher	அனுப்புனர்	0.365	0.704	0.652
dispel	விரட்ட	0.388	0.402	0.411
dispensary	மருந்தகம்	0.406	0.380	0.606
dispensation	பகிர்ந்தளிப்பதற்கு	0.388	0.462	0.490
dispense	தவிர்த்திட	0.561	0.520	0.518
dispenser	வழங்கி	0.583	0.392	0.470
dispersal	பரவல்	0.388	0.507	0.421
disperse	கலைக்க	0.375	0.569	0.434
dispersed	பிரிக்கப்பட்ட	0.344	0.490	0.274
dispersion	ஒளிச்சிதறல்	0.270	0.604	0.350
dispirited	சோர்வடைந்த	0.204	0.280	0.142
displace	இடமாற்றம்	0.424	0.541	0.454
displaced	இடம்பெயர்ந்த	0.281	0.472	0.291
displacement	இடப்பெயர்ச்சி	0.276	0.531	0.481
displacency	displacency	0.500	0.528	0.642
display	காட்சி	0.677	0.325	0.400
displease	அதிருப்யூட்டு	0.021	0.702	0.286
displeased	மனம் வருந்தி	0.135	0.690	0.400
displeasure	அதிருப்தியை	0.115	0.559	0.250
disposable	களைந்துவிடும்	0.271	0.439	0.250
disposal	அகற்றல்	0.135	0.608	0.396
dispose	அகற்றுவதில்	0.548	0.538	0.559
disposed	அகற்றப்பட்ட	0.688	0.441	0.625
disposition	மனநிலைதான்	0.663	0.542	0.734
dispossessed	dispossessed	0.354	0.577	0.331
disprove	மறுக்க	0.375	0.625	0.613
dispute	சர்ச்சை	0.219	0.750	0.585
disqualification	தகுதியிழப்பு	0.066	0.677	0.330
disqualified	தகுதிநீக்கம்	0.129	0.464	0.232
disqualify	தகுதியற்றவராக	0.208	0.595	0.267
disquieted	கலைத்தது	0.229	0.850	0.290
disregard	அவமதிப்பு	0.177	0.647	0.308
disregarded	அலட்சியம்	0.260	0.458	0.283
disrelish	disrelish	0.375	0.471	0.304
disreputable	மதிப்பற்ற	0.104	0.688	0.353
disrepute	மிகத்தாழ்வான	0.208	0.630	0.292
disrespect	அவமரியாதை	0.062	0.637	0.302
disrespectful	அவமானமாகவும்	0.031	0.694	0.273
disrupt	இடையூறு	0.265	0.640	0.349
disrupting	தடை செய்யும்	0.186	0.557	0.339
disruption	இடையூறு	0.235	0.735	0.436
disruptive	சீர்குலைக்கும்	0.255	0.755	0.575
dissatisfaction	அதிருப்தியை	0.115	0.663	0.202
dissatisfied	அதிருப்தி	0.042	0.561	0.291
dissect	வெட்டிச்சோதித்தலை	0.367	0.750	0.595
dissection	வெட்டிச்சோதித்தல்	0.276	0.632	0.462
disseminate	பரப்புவதற்கு	0.562	0.608	0.750
dissemination	பரவலுக்கான	0.476	0.551	0.583
dissension	கருத்து வேறுபாடு	0.250	0.618	0.414
dissent	எதிர்ப்பை	0.300	0.655	0.407
dissenting	எதிர்ப்போடு	0.208	0.552	0.366
dissertation	விளக்கவுரை	0.312	0.575	0.575
disservice	சேவையளிக்கவில்லை	0.250	0.794	0.480
dissident	கருத்து வேறுபாடு கொண்ட	0.350	0.582	0.413
dissimilar	வெவ்வேறு	0.276	0.461	0.472
dissipate	வெளியேற	0.385	0.368	0.355
dissipated	சீரழித்தன	0.281	0.421	0.231
dissociation	விலகல்	0.135	0.555	0.471
dissociative	தொடர்பறு	0.281	0.615	0.397
dissolution	கலைப்பு	0.204	0.464	0.349
dissolve	கலைக்கவும்	0.271	0.490	0.410
dissonance	ஒலியில் ஏற்படும் முரண்பாடு	0.173	0.471	0.336
dissuade	பிரிக்க	0.482	0.500	0.350
distal	சேய்மை	0.410	0.401	0.438
distance	தூரம்	0.233	0.317	0.418
distant	தொலைதூர	0.229	0.324	0.269
distaste	வெறுப்பு	0.184	0.625	0.370
distasteful	சுவாரஸ்யமற்றது	0.264	0.676	0.222
distillate	வடிதிரவம்	0.500	0.347	0.382
distillation	வடித்தல்	0.396	0.436	0.575
distilled	காய்ச்சி வடிகட்டிய	0.427	0.573	0.500
distinct	தனித்துவமான	0.542	0.578	0.509
distinction	வேறுபாட்டை	0.584	0.571	0.750
distinctive	தனித்துவமான	0.885	0.520	0.604
distinguish	வேறுபடுத்தி	0.675	0.471	0.600
distinguishable	வேறுபடுத்துவது	0.635	0.530	0.727
distinguished	புகழ்பெற்ற	0.823	0.593	0.759
distinguishing	தனித்துவமான	0.622	0.363	0.640
distort	சிதைத்து	0.100	0.740	0.366
distorted	சிதைந்துவிடும்	0.250	0.521	0.280
distortion	விலகல்	0.299	0.570	0.380
distract	திசைதிருப்ப	0.241	0.609	0.336
distracted	திசைதிருப்பப்பட்டு	0.194	0.392	0.213
distracting	கவனச்சிதறல்	0.445	0.583	0.400
distraction	கவனச்சிதறல்	0.402	0.557	0.390
distraught	கலக்கமடைந்த	0.115	0.903	0.264
distress	துயரத்தில்	0.073	0.840	0.396
distressed	இடர்பாட்டு	0.143	0.771	0.324
distressing	கவலையேற்படுத்தக்கூடிய	0.075	0.750	0.375
distribute	விநியோகிக்க	0.643	0.596	0.709
distribution	விநியோகம்	0.635	0.548	0.788
distributor	விநியோகஸ்தராக	0.702	0.447	0.718
district	மாவட்டம்	0.438	0.327	0.660
distrust	அவநம்பிக்கையாகும்	0.060	0.670	0.276
disturb	தொந்தரவு	0.175	0.760	0.481
disturbance	இடையூறு	0.146	0.907	0.404
disturbed	அமைதி குலைந்த	0.125	0.870	0.305
disturbing	குழப்பமான	0.146	0.792	0.439
disuse	உபயோகத்திலிருந்து	0.229	0.229	0.202
disused	உபயோகத்தில் இல்லாத	0.250	0.302	0.186
ditch	சாக்கடை	0.357	0.364	0.322
ditto	மேற்சொன்னதே	0.449	0.418	0.411
ditty	பாட்டு	0.470	0.433	0.334
diurnal	பகலில்	0.714	0.296	0.443
diva	டிவா	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	டைவ்	0.583	0.531	0.500
diver	மூழ்காளி	0.594	0.520	0.564
diverge	வேறுபாடுகின்றன	0.375	0.657	0.520
divergence	விலகுதல்	0.429	0.615	0.687
divergent	மாறுபட்ட	0.449	0.660	0.587
diverging	விலகுகின்ற	0.417	0.613	0.573
divers	பல்வேறு	0.583	0.580	0.602
diverse	பல்வேறு	0.562	0.519	0.604
diversified	தொன்மைவாய்ந்த	0.602	0.538	0.549
diversify	திருப்ப	0.656	0.588	0.464
diversion	திசை	0.740	0.821	0.714
diversionary	திசைதிருப்பும்	0.551	0.587	0.300
diversity	பன்முகத்தன்மை	0.806	0.472	0.711
divert	திசை திருப்ப	0.344	0.622	0.407
diverting	வேறு வழிகளில் திசைதிருப்ப	0.396	0.571	0.537
divest	ஆளானது	0.365	0.547	0.424
divested	அகற்றிக்கொண்டது	0.333	0.449	0.311
divestment	அம்பலப்படுத்துவதாக	0.302	0.509	0.382
divide	பிரி	0.333	0.520	0.417
divided	பிரிக்கப்பட்டுள்ளது	0.271	0.623	0.391
dividend	ஈவுத்தொகை	0.583	0.491	0.566
divination	கணிப்பு	0.500	0.650	0.545
divine	தெய்வீக	0.918	0.571	0.885
divinity	தெய்வீகத்தன்மை	0.896	0.559	0.774
divisible	வகுபடும்	0.323	0.462	0.411
division	பிரிவு	0.370	0.481	0.472
divisor	வகுக்குமெண்	0.344	0.517	0.455
divorce	விவாகரத்து	0.042	0.700	0.385
divorcee	மணவிலக்கு	0.153	0.610	0.481
divulge	வெளிப்படுத்துமாறு	0.531	0.718	0.467
divvy	divvy	0.351	0.462	0.429
dizziness	தலைச்சுற்றல்	0.229	0.555	0.254
dizzy	மயக்கம்	0.199	0.582	0.193
do	செய்	0.670	0.548	0.536
doable	செய்துமுடிக்கக்கூடியதாக	0.760	0.404	0.675
doc	ஆவணம்	0.458	0.317	0.392
docile	வசப்படுத்தத்தக்க	0.604	0.259	0.264
dock	கப்பல்துறை	0.490	0.409	0.481
docked	நறுக்கப்பட்ட	0.281	0.754	0.398
docket	வழக்கு பதிவு	0.505	0.509	0.607
docking	நறுக்குதல்	0.354	0.596	0.587
doctor	மருத்துவர்	0.700	0.531	0.861
doctorate	முனைவர்	0.776	0.479	0.841
doctrinal	கொள்கைச்	0.510	0.373	0.673
doctrine	கோட்பாட்டை	0.500	0.394	0.769
document	ஆவணம்	0.594	0.240	0.667
documentary	ஆவணப்படம்	0.622	0.213	0.596
documentation	ஆவணங்கள்	0.719	0.290	0.667
documents	ஆவணங்கள்	0.530	0.250	0.587
dodge	ஏமாற்றுவதற்கு	0.333	0.760	0.509
dodger	ஏமாற்றுபவர்	0.427	0.454	0.490
dodging	பொழிகிறார்	0.396	0.654	0.382
dodgy	அவலமான	0.281	0.510	0.254
dodo	டோடோ	0.438	0.306	0.353
doe	டோ	0.550	0.336	0.336
doer	வினையாற்றுபவர்க்கு	0.724	0.550	0.728
dog	நாய்	0.704	0.500	0.407
dogface	dogface	0.219	0.470	0.264
dogged	பின்தொடர்ந்தன	0.255	0.750	0.594
doggy	நாய்	0.646	0.491	0.404
doghouse	Doghouse	0.438	0.417	0.340
dogma	சமய மரபில்	0.530	0.460	0.719
dogmatic	சித்தாந்தத்தை	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	செய்கைகளை	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	டோஜோவில்	0.500	0.435	0.455
doldrums	உற்சாகம் இழக்க	0.229	0.425	0.266
dole	பிச்சை	0.448	0.402	0.348
doll	பொம்மை	0.729	0.321	0.330
dollar	டாலர்	0.755	0.632	0.694
dollhouse	சிறு வீடு	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	டால்பின்	0.776	0.350	0.414
domain	டொமைன்	0.573	0.549	0.828
dome	குவிமாடம்	0.620	0.398	0.509
domestic	உள்நாட்டு	0.729	0.327	0.500
domesticated	வளர்க்கப்படும்	0.635	0.360	0.294
domestication	வீட்டு வளர்ப்பு	0.594	0.390	0.435
domicile	உறைவிடம்	0.604	0.292	0.529
domiciled	குடியேறிய உறைவிடமாக்கிய நிலையகமுற்ற	0.542	0.340	0.516
dominance	ஆதிக்கத்தை	0.542	0.775	0.839
dominant	மேலாதிக்க	0.406	0.854	0.893
dominate	ஆதிக்கம்	0.439	0.814	0.953
dominating	ஆதிக்கம் செலுத்தும்	0.427	0.769	0.902
domination	ஆதிக்கம்	0.505	0.786	0.959
dominatrix	ஆரவல்லி	0.390	0.727	0.709
dominion	அரசாட்சி	0.542	0.704	0.890
domino	டோமினோ	0.594	0.510	0.473
don	தாதா	0.646	0.454	0.702
donate	தானம்	0.774	0.462	0.577
donation	நன்கொடை	0.792	0.398	0.602
donkey	கழுதை	0.406	0.367	0.245
donor	கொடை	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	டூடுல்	0.604	0.402	0.376
doom	டூம்	0.073	0.750	0.442
doomed	சபிக்கப்பட்ட	0.041	0.755	0.301
doomsday	இறுதிநாள்	0.125	0.861	0.670
door	கதவை	0.549	0.189	0.421
doorbell	காலிங்பெல்	0.564	0.500	0.307
doorknob	கதவின் பிடி	0.406	0.553	0.462
doorman	காவலாளி	0.570	0.371	0.491
doormat	doormat	0.458	0.269	0.267
doornail	doornail	0.459	0.370	0.423
doorstep	வீட்டு வாசலில்	0.531	0.274	0.391
doorway	வாசல் படியில்	0.573	0.304	0.496
dopamine	டோபமைன்	0.548	0.469	0.426
dope	மயக்கமருந்து	0.295	0.855	0.425
dopey	மயக்கநிலை	0.320	0.380	0.365
dork	மனக்குழப்பமான முட்டாள்	0.272	0.519	0.361
dorky	dorky	0.302	0.480	0.390
dorm	தங்குமிடம்	0.719	0.194	0.327
dormant	செயலற்று	0.385	0.245	0.245
dormitory	தங்குமிட	0.633	0.204	0.382
dorsal	முதுகுப்புற	0.449	0.360	0.445
dosage	அளவை	0.344	0.450	0.490
dose	அளவு பழக்கமே	0.458	0.490	0.427
dossier	கோப்புத் தொகுப்பு	0.357	0.380	0.544
dot	டாட்	0.434	0.290	0.391
doting	வயதான	0.888	0.415	0.426
dotted	புள்ளிவைத்து	0.480	0.347	0.426
dotty	அறிவு கூர்மையற்ற	0.375	0.402	0.393
double	இரட்டை	0.677	0.378	0.569
doubled	மடங்காக	0.427	0.536	0.560
doublet	ஊற்றுறிஞ்சியிணை	0.420	0.431	0.500
doubling	இரட்டிப்பாக்க	0.459	0.452	0.464
doubt	சந்தேகம்	0.395	0.351	0.231
doubtful	சந்தேகம்	0.250	0.465	0.241
doubting	சந்தேகிப்பது	0.224	0.560	0.189
doubtless	சந்தேகமின்றி	0.688	0.415	0.689
doubts	சந்தேகம்	0.306	0.448	0.305
douche	பீச்சுத்	0.490	0.413	0.397
douchebags	douchebags	0.327	0.587	0.366
dough	மாவை	0.588	0.229	0.391
doughboy	காலாட்படை வீரனும்	0.365	0.443	0.396
doughnut	கோளாறு	0.663	0.380	0.279
dour	கடுமையான	0.360	0.404	0.325
douse	அணைக்கவில்லை	0.365	0.453	0.412
dove	புறா	0.729	0.235	0.437
down	கீழ்	0.208	0.330	0.264
downcast	வருத்தமான	0.071	0.500	0.222
downer	downer	0.120	0.594	0.226
downfall	நாசம்	0.200	0.717	0.182
downfield	downfield	0.521	0.330	0.380
downhearted	மனமுடைந்து போன	0.119	0.461	0.255
downhill	கீழ்நோக்கி	0.292	0.573	0.279
download	பதிவிறக்க	0.602	0.490	0.503
downpour	மழை பெய்தது	0.328	0.602	0.481
downright	கலப்பில்லாத	0.625	0.454	0.679
downriver	நதியோரப்	0.542	0.469	0.279
downside	எதிர்மறையாக	0.190	0.400	0.246
downtime	செயல்படாத நேரத்தின்	0.240	0.226	0.324
downward	கீழ்நோக்கி	0.188	0.347	0.255
downy	டவுனி	0.630	0.170	0.255
dowry	வரதட்சினை	0.604	0.453	0.544
doze	அரைத்தூக்கம்	0.592	0.200	0.405
dozen	டஜன்	0.583	0.343	0.425
drab	ஒழுங்கு கெட்ட	0.327	0.300	0.242
draft	வரைவு	0.438	0.360	0.351
drafty	drafty	0.458	0.500	0.518
drag	இழுவை	0.388	0.606	0.348
dragon	டிராகன்	0.541	0.821	0.712
dragonfly	கொசுவை உண்டு வாழும் தும்பி	0.571	0.373	0.357
drain	வாய்க்கால்	0.277	0.470	0.222
drainage	வடிகால்	0.219	0.354	0.307
drained	வடிகட்டிய	0.310	0.441	0.352
draining	வடிகட்டி	0.337	0.396	0.304
drainpipe	drainpipe	0.417	0.413	0.277
drake	டிரேக்	0.467	0.411	0.452
drama	நாடகம்	0.430	0.755	0.481
dramaqueen	dramaqueen	0.337	0.682	0.482
dramatic	வியத்தகு	0.367	0.780	0.443
drape	மடிப்பில்	0.417	0.439	0.404
drapery	Drapery	0.479	0.220	0.223
drastic	கடுமையான	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	வரைவு	0.465	0.245	0.316
draw	வரைய	0.704	0.449	0.481
drawback	பின்னடைவு	0.302	0.422	0.148
drawbridge	drawbridge	0.551	0.557	0.438
drawer	அலமாரியை	0.429	0.196	0.292
drawers	இழுப்பறை	0.539	0.260	0.236
drawing	வரைதல்	0.698	0.216	0.333
dread	முகாந்தரத்திலும்	0.153	0.792	0.368
dreaded	அஞ்சினார்	0.122	0.706	0.460
dreadful	அச்சமூட்டும்	0.092	0.786	0.348
dreadfully	பயமின்றி	0.246	0.806	0.306
dreading	dreading	0.125	0.760	0.377
dream	கனவு	0.844	0.157	0.328
dreamboat	dreamboat	0.776	0.491	0.458
dreamer	வினைஞர்	0.820	0.394	0.455
dreaming	கனவு	0.854	0.320	0.336
dreamland	உதடுகளில்	0.844	0.471	0.566
dreams	கனவுகள்	0.865	0.415	0.530
dreamt	கனவு	0.812	0.380	0.518
dreamy	கனவு மிகுந்த	0.837	0.350	0.500
dreary	சாரமில்லாத	0.260	0.490	0.324
dredge	தோண்டித் துருவிப்	0.427	0.445	0.444
drenched	நனைந்து	0.302	0.361	0.388
dress	உடை	0.760	0.300	0.345
dresser	அலங்கார	0.604	0.398	0.473
dressmaker	உடை செய்பவர்	0.698	0.460	0.483
dressy	ஆடையுடன்	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	உலர்ந்த	0.427	0.260	0.385
drier	உலர்ந்த	0.306	0.347	0.392
drift	சறுக்கல்	0.316	0.520	0.375
drifted	விலகினர்	0.312	0.542	0.310
drifter	Drifter	0.449	0.512	0.391
driftwood	மிதக்கும்சிதறல்	0.321	0.283	0.439
drill	பயிற்சி	0.250	0.602	0.573
drink	பானம்	0.650	0.552	0.474
drinker	குடிப்பவனுக்கு	0.365	0.735	0.441
drinking	குடி	0.562	0.459	0.317
drinks	பானங்கள்	0.729	0.656	0.412
drip	சொட்டுநீர்	0.392	0.193	0.175
dripping	சொட்டாக	0.302	0.257	0.267
drive	இயக்கி	0.625	0.689	0.713
drivel	பிதற்றல்	0.398	0.469	0.463
driver	இயக்கி	0.553	0.538	0.637
driveway	வெளியாட்களை	0.612	0.392	0.689
drizzle	தூறல்	0.521	0.353	0.319
droll	droll	0.459	0.573	0.422
drone	டிரோன்	0.429	0.686	0.596
drones	ட்ரான்ஸ்	0.398	0.577	0.588
drool	எச்சில்வழிய	0.385	0.398	0.204
drooping	தொங்கிய	0.245	0.558	0.353
droopy	ட்ரூபி	0.438	0.350	0.297
drop	கைவிட	0.479	0.321	0.291
droplet	துளி	0.625	0.208	0.194
dropout	இடைநிற்றல்	0.253	0.550	0.481
dropper	துளிசொட்டி	0.333	0.216	0.236
drought	வறட்சி	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	மூழ்க	0.071	0.860	0.270
drowsiness	அயர்வு	0.260	0.194	0.303
drowsy	சோம்பேறித்தனமான	0.375	0.180	0.240
drudgery	கடும்உழைப்பு	0.094	0.522	0.241
drug	மருந்து	0.214	0.790	0.453
drug dealing	போதைப்பொருள் வியாபாரம்	0.042	0.843	0.500
drugged	போதை மருந்து கொடுக்கப்பட்டு	0.102	0.750	0.321
druggist	மருந்துக்கடைக்காரர்	0.240	0.561	0.417
drugs	மருந்துகள்	0.167	0.750	0.368
drugstore	மருந்துக்கடை	0.490	0.343	0.518
druid	பாதிரி	0.517	0.445	0.481
drum	டிரம்	0.615	0.679	0.339
drummer	டிரம்மர்	0.646	0.700	0.564
drumming	முரசறைதல்	0.594	0.750	0.426
drunk	குடித்துவிட்டு	0.194	0.800	0.250
drunk driving	குடித்துவிட்டு ஓட்டுநர்	0.073	0.900	0.306
drunkard	குடிகாரர்	0.240	0.873	0.250
drunken	குடிபோதையில்	0.155	0.849	0.250
drunkenness	போதையில்	0.214	0.774	0.336
dry	உலர்ந்த	0.363	0.169	0.311
dryer	உலர்த்தி	0.479	0.343	0.277
dryness	வறட்சி	0.292	0.296	0.263
dual	இரட்டை	0.573	0.330	0.384
dualism	இரட்டைப்	0.490	0.406	0.536
duality	இருமையியல்பு	0.438	0.520	0.503
dub	டப்	0.510	0.480	0.387
dubious	சந்தேகத்துக்குரிய	0.414	0.480	0.198
duchess	டச்சஸ்	0.656	0.548	0.711
duck	வாத்து	0.594	0.337	0.236
ducking	தடுத்தல்	0.344	0.573	0.294
duckling	வாத்துக்குஞ்சாகும்	0.602	0.353	0.263
ducky	டக்கி	0.520	0.430	0.368
duct	குழாய்	0.449	0.435	0.430
ductile	நீளும்	0.508	0.420	0.433
dud	பயனற்ற ஆள்	0.167	0.455	0.246
dude	நண்பா	0.809	0.356	0.615
duds	கந்தல் துணிகள்	0.347	0.311	0.339
due	காரணமாக	0.562	0.340	0.467
duel	நிகழ்ந்த	0.271	0.696	0.589
dues	நிலுவைகள்	0.367	0.461	0.288
duet	டூயட்	0.694	0.693	0.527
duffel	முரட்டு கம்பளி துணி	0.500	0.400	0.384
dugout	மரத்	0.490	0.370	0.463
duh	duh	0.357	0.461	0.364
duke	பிரபு	0.667	0.440	0.669
dull	மந்தமான	0.194	0.120	0.185
dullard	முட்டாள்	0.450	0.480	0.365
dumb	ஊமை	0.188	0.330	0.151
dumbasses	dumbasses	0.316	0.590	0.363
dumbbell	dumbbell	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	dumfound	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	போலி	0.440	0.144	0.250
dump	டம்ப்	0.345	0.500	0.370
dumpling	உருண்டைகள்	0.580	0.321	0.360
dumps	டம்ப்	0.302	0.583	0.365
dumpster	தேவையற்றதை வீசுவோர்	0.229	0.418	0.101
dun	டுன்	0.458	0.431	0.339
dunce	மக்கு	0.188	0.327	0.146
dune	மணல்மேடு	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	நிலவறையில்	0.276	0.608	0.440
dunk	வீசுதல்	0.406	0.333	0.475
duo	இரட்டையர்கள்	0.510	0.500	0.447
dupe	ஏமாளியான	0.184	0.760	0.327
duplex	இரட்டை	0.592	0.452	0.467
duplicate	நகல்	0.521	0.490	0.338
duplication	பிரதி	0.480	0.564	0.577
duplicity	இரட்டை	0.406	0.500	0.578
durability	ஆயுள்	0.750	0.398	0.813
durable	நீடித்த	0.740	0.294	0.688
duration	கால	0.656	0.370	0.536
duress	வற்புறுத்தலின்	0.302	0.569	0.612
dusk	அந்தி	0.532	0.276	0.519
dusky	மங்கிய	0.229	0.528	0.324
dust	தூசி	0.344	0.246	0.241
duster	தூசி தட்டும் துணி	0.408	0.265	0.296
dustpan	dustpan	0.609	0.466	0.371
dusty	தூசி	0.406	0.294	0.255
dutiful	பணிவான	0.724	0.245	0.585
duty	கடமை	0.583	0.579	0.651
dwarf	குள்ள	0.370	0.340	0.288
