Word	Albanian-sq	Valence	Arousal	Dominance
diabolical	djallëzor	0.102	0.912	0.456
diagnose	përcaktoj diagnozë	0.378	0.520	0.714
diagnosis	diagnozë	0.571	0.500	0.819
diagnostic	diagnostikues	0.417	0.483	0.635
diagnostics	Diagnostics	0.540	0.440	0.750
diagonal	diagonal	0.500	0.343	0.410
diagram	diagramë	0.562	0.357	0.445
dial	formoj numrin	0.620	0.427	0.596
dialect	dialekt	0.635	0.422	0.526
dialectic	dialektika	0.510	0.540	0.638
dialogue	dialog	0.599	0.441	0.625
dialysis	dializë	0.194	0.567	0.407
diameter	diametër	0.427	0.298	0.483
diamond	diamant	0.910	0.606	0.769
diamonds	karo	0.927	0.684	0.917
diaper	pelenë	0.409	0.274	0.155
diaphragm	diafragmë	0.459	0.337	0.517
diarrhea	diarre	0.092	0.684	0.143
diarrhoea	diarre	0.038	0.692	0.250
diary	ditar	0.698	0.292	0.464
diatribe	fjalim i ashpër	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	zar	0.510	0.410	0.391
dice	zare	0.458	0.441	0.264
dicey	dicey	0.290	0.833	0.727
dichotomous	dikotomik	0.365	0.452	0.538
dichotomy	ndarje në dy pjesë	0.323	0.482	0.483
dick	kar	0.208	0.500	0.462
dickhead	dickhead	0.115	0.608	0.284
dicks	dicks	0.310	0.694	0.358
dictate	diktat	0.480	0.423	0.668
dictation	diktim	0.255	0.378	0.627
dictator	diktator	0.073	0.760	0.862
dictatorial	diktatorial	0.204	0.770	0.840
dictatorship	diktaturë	0.082	0.806	0.784
diction	stil i të folurit	0.439	0.373	0.679
dictionary	Fjalor	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	didaktik	0.645	0.480	0.673
diddle	mashtroj	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	i vdekur	0.021	0.650	0.327
diesel	naftë	0.490	0.327	0.448
diet	dietë	0.429	0.235	0.398
dietary	diete	0.551	0.220	0.261
differ	ndryshojnë	0.230	0.398	0.396
difference	ndryshim	0.474	0.560	0.483
differences	dallimet	0.365	0.582	0.342
different	i ndryshëm	0.612	0.394	0.473
differential	diferencial	0.520	0.378	0.535
differentiation	diferencim	0.367	0.561	0.535
differently	ndryshe	0.480	0.431	0.506
differing	ndryshme	0.418	0.410	0.455
difficult	i vështirë	0.235	0.700	0.508
difficulties	vështirësi	0.082	0.784	0.357
difficulty	vështirësi	0.079	0.740	0.368
diffuse	përhap	0.430	0.431	0.321
diffusion	difuzion	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	tretet	0.720	0.413	0.483
digestion	tretje	0.531	0.410	0.455
digestive	që ndihmon tretjen e ushqimit	0.542	0.413	0.434
digit	shifër	0.447	0.286	0.333
digital	dixhital	0.740	0.382	0.529
dignified	me dinjitet	0.766	0.481	0.635
dignify	denjoj	0.854	0.588	0.735
dignity	dinjitet	0.844	0.391	0.873
digress	dal nga tema	0.271	0.625	0.411
digs	strofkë	0.448	0.670	0.635
dike	digë	0.360	0.384	0.490
dilapidated	i rrënuar	0.229	0.618	0.286
dilatation	zgjerim	0.385	0.574	0.368
dilation	zgjerim	0.347	0.490	0.578
dildo	dildo	0.536	0.587	0.491
dilemma	dilemë	0.153	0.590	0.430
diligence	zell	0.688	0.423	0.700
diligent	i zellshëm	0.760	0.426	0.759
dill	kopër	0.427	0.360	0.373
diluent	hollues	0.417	0.344	0.332
dilute	i holluar	0.275	0.192	0.349
diluted	i dobësuar	0.469	0.310	0.229
dilution	hollim	0.445	0.337	0.352
dim	i zbehtë	0.398	0.321	0.273
dime	i pavlefshëm	0.653	0.317	0.345
dimension	dimension	0.592	0.415	0.627
dimensional	përmasor	0.561	0.484	0.596
diminish	zvogelohet	0.240	0.357	0.167
diminished	i zvogëluar	0.156	0.269	0.196
diminution	pakësim	0.316	0.296	0.245
diminutive	i vogël	0.323	0.200	0.109
dimwit	budalla	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	shtroj	0.821	0.519	0.478
diner	vagon-restorant	0.643	0.302	0.538
dinghy	barkë e vogël indiane	0.510	0.269	0.325
dingo	qen i egër i australisë	0.608	0.472	0.346
dingy	i dyshimtë	0.156	0.483	0.343
dining	ngrënie	0.724	0.350	0.459
dinky	i veshur bukur	0.357	0.451	0.358
dinner	darkë	0.823	0.392	0.379
dinnertime	Koha e darkes	0.796	0.406	0.341
dinosaur	dinozaur	0.448	0.630	0.596
dint	gjurmë	0.378	0.480	0.492
diocesan	peshkop	0.520	0.283	0.518
diocese	dioqezë	0.510	0.288	0.575
diorama	diorama	0.592	0.441	0.462
dioxide	dyoksid	0.354	0.433	0.456
dip	rënie e horizontit	0.516	0.583	0.397
diploma	diplomë	0.750	0.462	0.731
diplomacy	diplomaci	0.740	0.396	0.774
diplomat	diplomat	0.563	0.262	0.868
diplomatic	diplomatik	0.653	0.363	0.918
dipper	Arusha e Madhe	0.548	0.361	0.348
dippy	i çmendur	0.430	0.402	0.340
dipstick	Matja	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	i drejtpërdrejtë	0.793	0.403	0.650
directed	drejtuar	0.542	0.490	0.541
direction	drejtim	0.719	0.330	0.684
directive	direktivë	0.604	0.530	0.918
directly	drejtpërdrejt	0.747	0.400	0.702
director	drejtor	0.688	0.580	0.912
directory	drejtori	0.439	0.413	0.538
dirt	i poshtër	0.112	0.500	0.236
dirty	pis	0.153	0.460	0.170
disability	paaftësi	0.073	0.482	0.173
disable	disable	0.115	0.430	0.269
disabled	i paaftë	0.308	0.443	0.235
disadvantage	dëm	0.150	0.377	0.282
disaffected	i pakënaqur	0.176	0.410	0.291
disagree	nuk bie dakort	0.133	0.590	0.345
disagreeable	i vrenjtur	0.042	0.643	0.178
disagreeing	mospajtim	0.255	0.643	0.350
disagreement	mosmarrëveshje	0.104	0.618	0.236
disallow	nuk lejoj	0.156	0.519	0.424
disallowed	ndaluar	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	zhduket	0.143	0.441	0.350
disappearance	zhdukje	0.214	0.698	0.367
disappearing	zhdukur	0.167	0.427	0.379
disappoint	gaboj	0.150	0.633	0.288
disappointed	i zhgënjyer	0.071	0.472	0.241
disappointing	zhgënjyes	0.073	0.640	0.200
disappointment	zhgënjim	0.115	0.490	0.336
disapproval	dënim	0.085	0.551	0.367
disapprove	nuk miratoj	0.160	0.594	0.445
disapproved	miratoi	0.104	0.550	0.114
disapproving	mospranues	0.245	0.625	0.452
disarm	çarmatos	0.292	0.528	0.613
disarray	rrëmujë	0.198	0.657	0.223
disaster	fatkeqësi	0.082	0.892	0.433
disastrous	shkatërrimtar	0.071	0.741	0.439
disband	shpërndaj	0.302	0.491	0.417
disbelief	mosbesim	0.188	0.409	0.373
disbelieve	nuk besojnë	0.188	0.441	0.352
disburse	paguaj	0.418	0.473	0.353
disbursement	disbursimi	0.240	0.443	0.435
disc	disk	0.622	0.410	0.426
discard	heq dorë nga	0.240	0.343	0.337
discarded	fshi	0.229	0.460	0.308
discards	discards	0.240	0.464	0.391
discern	dalloj	0.459	0.566	0.518
discernible	i dukshëm	0.427	0.441	0.481
discerning	i hollë	0.542	0.584	0.780
discernment	mprehtësi	0.408	0.471	0.694
discharge	shkarkim	0.427	0.538	0.578
disciple	dishepull	0.765	0.385	0.462
disciplinary	disiplinor	0.562	0.593	0.796
discipline	disipline	0.615	0.471	0.806
disciplined	i disiplinuar	0.728	0.450	0.750
disclaim	hedh poshtë	0.235	0.509	0.321
disclaimer	mohim	0.367	0.571	0.542
disclose	zbuloj	0.490	0.570	0.545
disclosed	zbulohen	0.271	0.575	0.546
disclosure	zbulim	0.500	0.615	0.710
disco	disko	0.710	0.806	0.575
discoloration	njollë	0.224	0.373	0.414
discolored	i zbardhur	0.204	0.340	0.269
discomfort	siklet	0.153	0.719	0.272
disconcerted	i dekurajuar	0.100	0.612	0.288
disconcerting	shqetësuese	0.106	0.549	0.269
disconnect	shqit	0.438	0.292	0.191
disconnected	shkëputur	0.292	0.276	0.173
disconnection	Shkyçja	0.167	0.283	0.277
disconnects	Shkëputet	0.256	0.357	0.241
discontent	pakënaqësi	0.240	0.530	0.263
discontinuance	ndërprerje	0.123	0.741	0.337
discontinue	ndërpritet	0.354	0.396	0.349
discontinuity	mungesë lidhjeje logjike	0.303	0.439	0.250
discontinuous	i shkëputur	0.233	0.409	0.316
discord	mosmarrëveshje	0.115	0.882	0.465
discount	zbritje	0.724	0.530	0.302
discounted	zbritur	0.677	0.471	0.430
discourage	dekurajoj	0.184	0.443	0.267
discouraged	dekurajuar	0.220	0.304	0.090
discouragement	dekurajim	0.112	0.319	0.206
discouraging	dekurajues	0.167	0.469	0.281
discourse	fjalim	0.410	0.550	0.803
discover	zbuloni	0.771	0.793	0.673
discovery	zbulim	0.823	0.627	0.814
discredit	diskreditoj	0.075	0.529	0.355
discredited	diskredituar	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	mospërputhje	0.260	0.643	0.417
discrete	i veçantë	0.585	0.231	0.429
discretion	liri veprimi	0.552	0.320	0.685
discretionary	diskrecionale	0.520	0.365	0.446
discriminate	diskriminoj	0.125	0.761	0.366
discriminating	diskriminues	0.160	0.783	0.462
discrimination	diskriminim	0.051	0.724	0.379
discus	disk	0.542	0.423	0.343
discuss	diskutoj	0.396	0.769	0.509
discussion	diskutim	0.333	0.842	0.536
disdain	përbuzje	0.153	0.446	0.441
disdainful	mospërfillës	0.097	0.480	0.263
disease	sëmundje	0.041	0.539	0.333
diseased	i sëmurë	0.123	0.510	0.134
disembodied	pa trup	0.167	0.620	0.412
disengage	shkëput	0.406	0.529	0.304
disengagement	shkëputje	0.327	0.373	0.395
disfigured	i shëmtuar	0.153	0.613	0.336
disgrace	turp	0.061	0.531	0.331
disgraced	poshtëruar	0.071	0.661	0.250
disgraceful	i turpshëm	0.082	0.702	0.240
disgruntled	i pakënaqur	0.104	0.658	0.442
disguise	fsheh	0.573	0.694	0.431
disguised	maskuar	0.500	0.615	0.326
disgust	neveri	0.052	0.775	0.317
disgusted	i lodhur	0.051	0.773	0.274
disgusting	i pështirë	0.031	0.796	0.245
dish	pjatë	0.552	0.255	0.264
disheartened	disheartened	0.153	0.343	0.238
disheartening	jashtëzakonisht e dobët	0.010	0.353	0.224
dishonest	i pandershëm	0.191	0.491	0.163
dishonesty	pandershmëri	0.094	0.592	0.348
dishonor	çnderim	0.104	0.620	0.185
dishonorable	i turpshëm	0.112	0.641	0.280
dishwasher	pjatalarëse	0.480	0.296	0.324
disillusionment	zhgënjim	0.051	0.519	0.190
disinclination	mosdashje	0.125	0.491	0.330
disincline	i heq gatishmërinë	0.458	0.454	0.278
disinclined	mosdashës	0.385	0.442	0.364
disinfect	dezinfektoj	0.448	0.388	0.648
disinfectant	dezinfektues	0.531	0.429	0.460
disinfection	dezinfektim	0.517	0.556	0.473
disinformation	dezinformata	0.230	0.577	0.260
disingenuous	i pasinqertë	0.194	0.509	0.204
disintegrate	shpërbëhet	0.143	0.660	0.364
disintegration	shpërbërje	0.094	0.551	0.381
disinterested	pa interes	0.398	0.284	0.392
disjoint	veçoj	0.351	0.385	0.322
disjointed	pa lidhje	0.323	0.518	0.365
disjunctive	disjunctive	0.286	0.481	0.400
disk	disk	0.573	0.423	0.412
diskette	diskette	0.531	0.255	0.391
dislike	antipati	0.156	0.406	0.321
disliked	mospëlqyera	0.062	0.510	0.221
disliking	disliking	0.163	0.637	0.366
dislocated	i ndrydhur	0.125	0.625	0.200
dislocation	përmbysje	0.229	0.565	0.373
dislodge	largoj	0.214	0.769	0.356
disloyal	i pabesë	0.062	0.582	0.245
disloyalty	tradhti	0.187	0.716	0.267
dismal	i dëshpëruar	0.194	0.450	0.192
dismantle	çmontoj	0.347	0.644	0.462
dismay	lebetit	0.314	0.681	0.459
dismayed	u trondit	0.165	0.735	0.389
dismemberment	shqyerje	0.104	0.860	0.470
dismiss	shkarkoj	0.167	0.541	0.509
dismissal	shkarkim	0.153	0.723	0.271
dismissive	dismissive	0.188	0.541	0.430
dismount	çmontoj	0.361	0.423	0.391
disobedience	mosbindje	0.051	0.868	0.369
disobedient	i pabindur	0.276	0.706	0.353
disobey	shkel	0.143	0.556	0.491
disorder	çrregullim	0.115	0.816	0.218
disordered	çrregulluar	0.210	0.714	0.288
disorderly	i çrregullt	0.188	0.748	0.385
disorganized	i çorganizuar	0.052	0.507	0.184
disorientation	disorientation	0.163	0.472	0.212
disoriented	çorientuar	0.227	0.643	0.227
disown	mohoj	0.153	0.637	0.368
disparage	ul	0.092	0.663	0.336
disparaging	i pagjind	0.102	0.626	0.411
disparate	i pangjashëm	0.438	0.500	0.368
disparity	pabarazi	0.208	0.482	0.361
dispassionate	i paanshëm	0.199	0.217	0.218
dispatch	njoftim	0.317	0.417	0.555
dispatcher	dispeçer	0.365	0.704	0.652
dispel	largoj	0.388	0.402	0.411
dispensary	punishte barnash në spital	0.406	0.380	0.606
dispensation	qeverim	0.388	0.462	0.490
dispense	jap	0.561	0.520	0.518
dispenser	bombol me vrimë nxjerrëse	0.583	0.392	0.470
dispersal	shpërhapje	0.388	0.507	0.421
disperse	shpërndaj	0.375	0.569	0.434
dispersed	të shpërndara	0.344	0.490	0.274
dispersion	dispersion	0.270	0.604	0.350
dispirited	i dërrmuar	0.204	0.280	0.142
displace	zhvendos	0.424	0.541	0.454
displaced	zhvendosur	0.281	0.472	0.291
displacement	zhvendosje	0.276	0.531	0.481
displacency	displacency	0.500	0.528	0.642
display	ekran	0.677	0.325	0.400
displease	bezdis	0.021	0.702	0.286
displeased	pëlqeu	0.135	0.690	0.400
displeasure	pakënaqësi	0.115	0.559	0.250
disposable	i disponueshëm	0.271	0.439	0.250
disposal	dispozicion	0.135	0.608	0.396
dispose	rregulloj	0.548	0.538	0.559
disposed	i predispozuar	0.688	0.441	0.625
disposition	natyrë	0.663	0.542	0.734
dispossessed	dëbuar	0.354	0.577	0.331
disprove	përgënjeshtroj	0.375	0.625	0.613
dispute	diskutim	0.219	0.750	0.585
disqualification	përjashtim	0.066	0.677	0.330
disqualified	i përjashtuar	0.129	0.464	0.232
disqualify	ndaloj	0.208	0.595	0.267
disquieted	shqetësove	0.229	0.850	0.290
disregard	mospërfillje	0.177	0.647	0.308
disregarded	shpërfillur	0.260	0.458	0.283
disrelish	mospëlqim	0.375	0.471	0.304
disreputable	i pandershëm	0.104	0.688	0.353
disrepute	diskreditim	0.208	0.630	0.292
disrespect	mosrespektim	0.062	0.637	0.302
disrespectful	i pasjellshëm	0.031	0.694	0.273
disrupt	përçaj	0.265	0.640	0.349
disrupting	ndërprerë	0.186	0.557	0.339
disruption	përçarje	0.235	0.735	0.436
disruptive	përçarës	0.255	0.755	0.575
dissatisfaction	pakënaqësi	0.115	0.663	0.202
dissatisfied	i pakënaqur	0.042	0.561	0.291
dissect	pres	0.367	0.750	0.595
dissection	autopsi	0.276	0.632	0.462
disseminate	shpërndaj	0.562	0.608	0.750
dissemination	përhapje	0.476	0.551	0.583
dissension	përçarje	0.250	0.618	0.414
dissent	mospajtim	0.300	0.655	0.407
dissenting	mospajtues	0.208	0.552	0.366
dissertation	disertacion	0.312	0.575	0.575
disservice	dëmtim	0.250	0.794	0.480
dissident	disident	0.350	0.582	0.413
dissimilar	i ndryshëm	0.276	0.461	0.472
dissipate	zhduket	0.385	0.368	0.355
dissipated	i shpërndarë	0.281	0.421	0.231
dissociation	veçim	0.135	0.555	0.471
dissociative	shkëputës	0.281	0.615	0.397
dissolution	shpërbërje	0.204	0.464	0.349
dissolve	tretet	0.271	0.490	0.410
dissonance	mosmarrëveshje	0.173	0.471	0.336
dissuade	zhbind	0.482	0.500	0.350
distal	skajor	0.410	0.401	0.438
distance	distancë	0.233	0.317	0.418
distant	i largët	0.229	0.324	0.269
distaste	neveri	0.184	0.625	0.370
distasteful	i papëlqyeshëm	0.264	0.676	0.222
distillate	esencë	0.500	0.347	0.382
distillation	distilim	0.396	0.436	0.575
distilled	i distiluar	0.427	0.573	0.500
distinct	i dallueshëm	0.542	0.578	0.509
distinction	dallim	0.584	0.571	0.750
distinctive	dallues	0.885	0.520	0.604
distinguish	të dallojë	0.675	0.471	0.600
distinguishable	i dallueshëm	0.635	0.530	0.727
distinguished	i shquar	0.823	0.593	0.759
distinguishing	dalluese	0.622	0.363	0.640
distort	shtrembëroj	0.100	0.740	0.366
distorted	i shtrembëruar	0.250	0.521	0.280
distortion	shtrembërim	0.299	0.570	0.380
distract	çmend	0.241	0.609	0.336
distracted	i hutuar	0.194	0.392	0.213
distracting	shkëputur	0.445	0.583	0.400
distraction	çmenduri	0.402	0.557	0.390
distraught	i shqetësuar	0.115	0.903	0.264
distress	ankth	0.073	0.840	0.396
distressed	i pikëlluar	0.143	0.771	0.324
distressing	i dhimbshëm	0.075	0.750	0.375
distribute	shpërndaj	0.643	0.596	0.709
distribution	shpërndarje	0.635	0.548	0.788
distributor	shpërndarës	0.702	0.447	0.718
district	rreth	0.438	0.327	0.660
distrust	mosbesim	0.060	0.670	0.276
disturb	shqetësoj	0.175	0.760	0.481
disturbance	shqetësim	0.146	0.907	0.404
disturbed	i shqetësuar	0.125	0.870	0.305
disturbing	shqetësues	0.146	0.792	0.439
disuse	mospërdorim	0.229	0.229	0.202
disused	disused	0.250	0.302	0.186
ditch	hendek	0.357	0.364	0.322
ditto	idem	0.449	0.418	0.411
ditty	këngë e thjeshtë e shkurtër	0.470	0.433	0.334
diurnal	ditor	0.714	0.296	0.443
diva	primadonë	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	pikiatë	0.583	0.531	0.500
diver	zhytës	0.594	0.520	0.564
diverge	ndryshojnë	0.375	0.657	0.520
divergence	divergjencë	0.429	0.615	0.687
divergent	divergjent	0.449	0.660	0.587
diverging	divergjente	0.417	0.613	0.573
divers	të ndryshëm	0.583	0.580	0.602
diverse	të ndryshme	0.562	0.519	0.604
diversified	i larmishëm	0.602	0.538	0.549
diversify	diversifikuar	0.656	0.588	0.464
diversion	diversion	0.740	0.821	0.714
diversionary	diversionary	0.551	0.587	0.300
diversity	diversitet	0.806	0.472	0.711
divert	largoj	0.344	0.622	0.407
diverting	devijues	0.396	0.571	0.537
divest	zhvesh	0.365	0.547	0.424
divested	zhveshur	0.333	0.449	0.311
divestment	Shpronësim	0.302	0.509	0.382
divide	përçaj	0.333	0.520	0.417
divided	i ndarë	0.271	0.623	0.391
dividend	dividend	0.583	0.491	0.566
divination	hamendje	0.500	0.650	0.545
divine	hyjnor	0.918	0.571	0.885
divinity	hyjni	0.896	0.559	0.774
divisible	i ndashëm	0.323	0.462	0.411
division	ndarje	0.370	0.481	0.472
divisor	pjesëtues	0.344	0.517	0.455
divorce	divorc	0.042	0.700	0.385
divorcee	grua e ndarë	0.153	0.610	0.481
divulge	nxjerr	0.531	0.718	0.467
divvy	divvy	0.351	0.462	0.429
dizziness	marramendje	0.229	0.555	0.254
dizzy	i trullosur	0.199	0.582	0.193
do	bëj	0.670	0.548	0.536
doable	që mund të bëhet	0.760	0.404	0.675
doc	doktor	0.458	0.317	0.392
docile	i urtë	0.604	0.259	0.264
dock	dok	0.490	0.409	0.481
docked	ankorua	0.281	0.754	0.398
docket	rend dite	0.505	0.509	0.607
docking	docking	0.354	0.596	0.587
doctor	mjek	0.700	0.531	0.861
doctorate	doktoratë	0.776	0.479	0.841
doctrinal	doktrinar	0.510	0.373	0.673
doctrine	doktrinë	0.500	0.394	0.769
document	dokument	0.594	0.240	0.667
documentary	dokumentar	0.622	0.213	0.596
documentation	dokumentim	0.719	0.290	0.667
documents	dokumentet	0.530	0.250	0.587
dodge	dredhi	0.333	0.760	0.509
dodger	mashtrues	0.427	0.454	0.490
dodging	dodging	0.396	0.654	0.382
dodgy	i dyshimtë	0.281	0.510	0.254
dodo	leshko	0.438	0.306	0.353
doe	drenushë	0.550	0.336	0.336
doer	bërës	0.724	0.550	0.728
dog	qen	0.704	0.500	0.407
dogface	dogface	0.219	0.470	0.264
dogged	i paepur	0.255	0.750	0.594
doggy	për t'u dukur	0.646	0.491	0.404
doghouse	stelë qeni	0.438	0.417	0.340
dogma	dogmë	0.530	0.460	0.719
dogmatic	dogmatik	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	veprimtari shoqërore	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	Dojo	0.500	0.435	0.455
doldrums	apati	0.229	0.425	0.266
dole	ua ndaj të varfërve	0.448	0.402	0.348
doll	kukull	0.729	0.321	0.330
dollar	dollar	0.755	0.632	0.694
dollhouse	shtëpi kukullash	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	delfin	0.776	0.350	0.414
domain	fushë	0.573	0.549	0.828
dome	kube	0.620	0.398	0.509
domestic	i brendshëm	0.729	0.327	0.500
domesticated	e zbutur	0.635	0.360	0.294
domestication	zbutje	0.594	0.390	0.435
domicile	vendbanim	0.604	0.292	0.529
domiciled	banues	0.542	0.340	0.516
dominance	mbizotërim	0.542	0.775	0.839
dominant	dominante	0.406	0.854	0.893
dominate	dominojnë	0.439	0.814	0.953
dominating	dominues	0.427	0.769	0.902
domination	sundim	0.505	0.786	0.959
dominatrix	dominatrix	0.390	0.727	0.709
dominion	sundim	0.542	0.704	0.890
domino	domino	0.594	0.510	0.473
don	don	0.646	0.454	0.702
donate	dhuroj	0.774	0.462	0.577
donation	dhurim	0.792	0.398	0.602
donkey	gomar	0.406	0.367	0.245
donor	dhurues	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	shkarravinë	0.604	0.402	0.376
doom	dënim	0.073	0.750	0.442
doomed	i dënuar	0.041	0.755	0.301
doomsday	fundi i botës	0.125	0.861	0.670
door	derë	0.549	0.189	0.421
doorbell	doorbell	0.564	0.500	0.307
doorknob	doorknob	0.406	0.553	0.462
doorman	portier	0.570	0.371	0.491
doormat	këmbësore	0.458	0.269	0.267
doornail	gozhdë me kokë të madhe	0.459	0.370	0.423
doorstep	shkallare	0.531	0.274	0.391
doorway	hapësirë ​​dere	0.573	0.304	0.496
dopamine	dopamine	0.548	0.469	0.426
dope	drogë	0.295	0.855	0.425
dopey	i droguar	0.320	0.380	0.365
dork	Dork	0.272	0.519	0.361
dorky	dorky	0.302	0.480	0.390
dorm	fjetore	0.719	0.194	0.327
dormant	në gjumë	0.385	0.245	0.245
dormitory	konvikt	0.633	0.204	0.382
dorsal	dorsal	0.449	0.360	0.445
dosage	dozim	0.344	0.450	0.490
dose	dozë	0.458	0.490	0.427
dossier	dosje	0.357	0.380	0.544
dot	pikë	0.434	0.290	0.391
doting	adhurues	0.888	0.415	0.426
dotted	pika-pika	0.480	0.347	0.426
dotty	i dobët	0.375	0.402	0.393
double	dyshe	0.677	0.378	0.569
doubled	dyfishuar	0.427	0.536	0.560
doublet	xhamadan	0.420	0.431	0.500
doubling	dyfishuar	0.459	0.452	0.464
doubt	dyshim	0.395	0.351	0.231
doubtful	i dyshimtë	0.250	0.465	0.241
doubting	dyshues	0.224	0.560	0.189
doubtless	pa dyshim	0.688	0.415	0.689
doubts	dyshime	0.306	0.448	0.305
douche	dush	0.490	0.413	0.397
douchebags	douchebags	0.327	0.587	0.366
dough	brumë	0.588	0.229	0.391
doughboy	ushtar këmbësor	0.365	0.443	0.396
doughnut	petull	0.663	0.380	0.279
dour	i sertë	0.360	0.404	0.325
douse	fik	0.365	0.453	0.412
dove	pëllumb	0.729	0.235	0.437
down	poshtë	0.208	0.330	0.264
downcast	i dëshpëruar	0.071	0.500	0.222
downer	Downer	0.120	0.594	0.226
downfall	rrënim	0.200	0.717	0.182
downfield	downfield	0.521	0.330	0.380
downhearted	downhearted	0.119	0.461	0.255
downhill	tatëpjetë	0.292	0.573	0.279
download	Shkarko	0.602	0.490	0.503
downpour	rrebesh	0.328	0.602	0.481
downright	i çiltër	0.625	0.454	0.679
downriver	downriver	0.542	0.469	0.279
downside	downside	0.190	0.400	0.246
downtime	kohë joproduktive	0.240	0.226	0.324
downward	në rënie	0.188	0.347	0.255
downy	me pupla	0.630	0.170	0.255
dowry	prikë	0.604	0.453	0.544
doze	bëj një sy gjumë	0.592	0.200	0.405
dozen	duzinë	0.583	0.343	0.425
drab	i zymtë	0.327	0.300	0.242
draft	draft	0.438	0.360	0.351
drafty	drafty	0.458	0.500	0.518
drag	zvarrit	0.388	0.606	0.348
dragon	dragua	0.541	0.821	0.712
dragonfly	pilivesë	0.571	0.373	0.357
drain	thahet	0.277	0.470	0.222
drainage	kullim	0.219	0.354	0.307
drained	i drenazhuar	0.310	0.441	0.352
draining	kullues	0.337	0.396	0.304
drainpipe	tub kullimi	0.417	0.413	0.277
drake	rosak	0.467	0.411	0.452
drama	dramë	0.430	0.755	0.481
dramaqueen	NO TRANSLATION	0.337	0.682	0.482
dramatic	dramatik	0.367	0.780	0.443
drape	varet	0.417	0.439	0.404
drapery	perde	0.479	0.220	0.223
drastic	ekstreme	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	draft	0.465	0.245	0.316
draw	barazim	0.704	0.449	0.481
drawback	pengesë	0.302	0.422	0.148
drawbridge	urë lëvizëse	0.551	0.557	0.438
drawer	sirtar	0.429	0.196	0.292
drawers	mbathje	0.539	0.260	0.236
drawing	vizatim	0.698	0.216	0.333
dread	tmerr	0.153	0.792	0.368
dreaded	dreaded	0.122	0.706	0.460
dreadful	i frikshëm	0.092	0.786	0.348
dreadfully	tmerrësisht	0.246	0.806	0.306
dreading	druheni	0.125	0.760	0.377
dream	ëndërr	0.844	0.157	0.328
dreamboat	Dreamboat	0.776	0.491	0.458
dreamer	ëndërrues	0.820	0.394	0.455
dreaming	ëndërroja	0.854	0.320	0.336
dreamland	vend i dëshiruar	0.844	0.471	0.566
dreams	ëndrrat	0.865	0.415	0.530
dreamt	ëndërruar	0.812	0.380	0.518
dreamy	i ëmbël	0.837	0.350	0.500
dreary	i zymtë	0.260	0.490	0.324
dredge	peshkoj me rrjetë fundore	0.427	0.445	0.444
drenched	përmbyt	0.302	0.361	0.388
dress	veshje	0.760	0.300	0.345
dresser	bufe	0.604	0.398	0.473
dressmaker	rrobaqepëse	0.698	0.460	0.483
dressy	serioze	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	e tharë	0.427	0.260	0.385
drier	makinë tharëse	0.306	0.347	0.392
drift	domethënie	0.316	0.520	0.375
drifted	përvjedhur	0.312	0.542	0.310
drifter	Drifter	0.449	0.512	0.391
driftwood	Driftwood	0.321	0.283	0.439
drill	stërvitje	0.250	0.602	0.573
drink	pije	0.650	0.552	0.474
drinker	pijanec	0.365	0.735	0.441
drinking	pijshëm	0.562	0.459	0.317
drinks	pije	0.729	0.656	0.412
drip	pikoj	0.392	0.193	0.175
dripping	dripping	0.302	0.257	0.267
drive	makinë	0.625	0.689	0.713
drivel	pallavra	0.398	0.469	0.463
driver	shofer	0.553	0.538	0.637
driveway	rrugë me pemë	0.612	0.392	0.689
drizzle	rigon	0.521	0.353	0.319
droll	karagjoz	0.459	0.573	0.422
drone	njeri që rri kot	0.429	0.686	0.596
drones	drones	0.398	0.577	0.588
drool	pallavra	0.385	0.398	0.204
drooping	venitje	0.245	0.558	0.353
droopy	droopy	0.438	0.350	0.297
drop	rënie	0.479	0.321	0.291
