Word	Tajik-tg	Valence	Arousal	Dominance
disastrous	фоҷиа	0.071	0.741	0.439
disband	пароканда	0.302	0.491	0.417
disbelief	беэътиноӣ	0.188	0.409	0.373
disbelieve	кофир	0.188	0.441	0.352
disburse	пардохт	0.418	0.473	0.353
disbursement	пардохт	0.240	0.443	0.435
disc	диск	0.622	0.410	0.426
discard	партофта шавад	0.240	0.343	0.337
discarded	партофта шудааст	0.229	0.460	0.308
discards	кашида мешаванд	0.240	0.464	0.391
discern	фаҳмед	0.459	0.566	0.518
discernible	намебошад	0.427	0.441	0.481
discerning	фаҳмидан	0.542	0.584	0.780
discernment	фаҳмиш	0.408	0.471	0.694
discharge	озод кардан	0.427	0.538	0.578
disciple	шогирд	0.765	0.385	0.462
disciplinary	интизорӣ	0.562	0.593	0.796
discipline	интизорӣ	0.615	0.471	0.806
disciplined	таърифшуда	0.728	0.450	0.750
disclaim	рад кардан	0.235	0.509	0.321
disclaimer	рад	0.367	0.571	0.542
disclose	ошкор карда мешавад	0.490	0.570	0.545
disclosed	ошкор карда шудааст	0.271	0.575	0.546
disclosure	ошкор кардан	0.500	0.615	0.710
disco	диски	0.710	0.806	0.575
discoloration	ранг кардан	0.224	0.373	0.414
discolored	ранг карда шудааст	0.204	0.340	0.269
discomfort	осеб надидааст	0.153	0.719	0.272
disconcerted	кашида шудааст	0.100	0.612	0.288
disconcerting	кашф кардан	0.106	0.549	0.269
disconnect	ҷудо кунед	0.438	0.292	0.191
disconnected	бурида шудааст	0.292	0.276	0.173
disconnection	буридан	0.167	0.283	0.277
disconnects	ҷудо мекунад	0.256	0.357	0.241
discontent	норозигӣ	0.240	0.530	0.263
discontinuance	бекоркунӣ	0.123	0.741	0.337
discontinue	қатъ кардан	0.354	0.396	0.349
discontinuity	қатъӣ	0.303	0.439	0.250
discontinuous	қатъ намешавад	0.233	0.409	0.316
discord	кашф кунед	0.115	0.882	0.465
discount	тахфиф	0.724	0.530	0.302
discounted	арзон	0.677	0.471	0.430
discourage	рӯҳафтода нашавед	0.184	0.443	0.267
discouraged	рӯҳафтода шуд	0.220	0.304	0.090
discouragement	рӯҳафтодагӣ	0.112	0.319	0.206
discouraging	рӯҳафтодагӣ	0.167	0.469	0.281
discourse	нусхабардорӣ	0.410	0.550	0.803
discover	кашф кунед	0.771	0.793	0.673
discovery	кашф	0.823	0.627	0.814
discredit	содда	0.075	0.529	0.355
discredited	рад кард	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	фарқият	0.260	0.643	0.417
discrete	диск	0.585	0.231	0.429
discretion	ихтиёрӣ	0.552	0.320	0.685
discretionary	ихтиёрӣ	0.520	0.365	0.446
discriminate	табъиз	0.125	0.761	0.366
discriminating	табъиз	0.160	0.783	0.462
discrimination	табъиз	0.051	0.724	0.379
discus	диск	0.542	0.423	0.343
discuss	муҳокима кунед	0.396	0.769	0.509
discussion	муҳокима	0.333	0.842	0.536
disdain	ноком	0.153	0.446	0.441
disdainful	ношинохта	0.097	0.480	0.263
disease	беморӣ	0.041	0.539	0.333
diseased	бемор	0.123	0.510	0.134
disembodied	нопадид шуд	0.167	0.620	0.412
disengage	фаромӯш накунед	0.406	0.529	0.304
disengagement	бекоркунӣ	0.327	0.373	0.395
disfigured	нопадид шудааст	0.153	0.613	0.336
disgrace	золимона	0.061	0.531	0.331
disgraced	нопадид шудааст	0.071	0.661	0.250
disgraceful	золимона	0.082	0.702	0.240
disgruntled	нопадид шудааст	0.104	0.658	0.442
disguise	пӯшида нест	0.573	0.694	0.431
disguised	пӯшида нест	0.500	0.615	0.326
disgust	ночор	0.052	0.775	0.317
disgusted	нопадид шудааст	0.051	0.773	0.274
disgusting	бадбахт	0.031	0.796	0.245
dish	табақ	0.552	0.255	0.264
disheartened	шубҳанок	0.153	0.343	0.238
disheartening	шубҳанок	0.010	0.353	0.224
dishonest	нодуруст	0.191	0.491	0.163
dishonesty	беэътиноӣ	0.094	0.592	0.348
dishonor	беэҳтиромӣ	0.104	0.620	0.185
dishonorable	беэҳтиромӣ	0.112	0.641	0.280
dishwasher	зарфшӯяк	0.480	0.296	0.324
disillusionment	беэътиноӣ	0.051	0.519	0.190
disinclination	нопадид шудан	0.125	0.491	0.330
disincline	рад	0.458	0.454	0.278
disinclined	рад кард	0.385	0.442	0.364
disinfect	безараргардонӣ	0.448	0.388	0.648
disinfectant	безараргардонӣ	0.531	0.429	0.460
disinfection	безараргардонӣ	0.517	0.556	0.473
disinformation	беэътиноӣ	0.230	0.577	0.260
disingenuous	ношинохта	0.194	0.509	0.204
disintegrate	пароканда	0.143	0.660	0.364
disintegration	пароканда	0.094	0.551	0.381
disinterested	бесавод нест	0.398	0.284	0.392
disjoint	пароканда	0.351	0.385	0.322
disjointed	фаромӯш накунед	0.323	0.518	0.365
disjunctive	дандонпизишкӣ	0.286	0.481	0.400
disk	диск	0.573	0.423	0.412
diskette	диски	0.531	0.255	0.391
dislike	нопадид шудааст	0.156	0.406	0.321
disliked	нопадид намешавад	0.062	0.510	0.221
disliking	ношинохта	0.163	0.637	0.366
dislocated	аз байн рафтанд	0.125	0.625	0.200
dislocation	дубора	0.229	0.565	0.373
dislodge	Дилшод	0.214	0.769	0.356
disloyal	беэътиноӣ кардан	0.062	0.582	0.245
disloyalty	беэътиноӣ	0.187	0.716	0.267
dismal	ногаҳон	0.194	0.450	0.192
dismantle	резед	0.347	0.644	0.462
dismay	нопадид шудааст	0.314	0.681	0.459
dismayed	нопадид шуд	0.165	0.735	0.389
dismemberment	ҷудо кардан	0.104	0.860	0.470
dismiss	озод карда шудааст	0.167	0.541	0.509
dismissal	озод кардан	0.153	0.723	0.271
dismissive	рад	0.188	0.541	0.430
dismount	ҷудо кунед	0.361	0.423	0.391
disobedience	беитоатӣ	0.051	0.868	0.369
disobedient	беитоатӣ	0.276	0.706	0.353
disobey	беитоӣ	0.143	0.556	0.491
disorder	вайрон шудан	0.115	0.816	0.218
disordered	танзим карда шудааст	0.210	0.714	0.288
disorderly	ғайриқонунӣ	0.188	0.748	0.385
disorganized	ғайриқонунӣ	0.052	0.507	0.184
disorientation	радкунӣ	0.163	0.472	0.212
disoriented	рад карда шудааст	0.227	0.643	0.227
disown	рад карда шуд	0.153	0.637	0.368
disparage	нопурра	0.092	0.663	0.336
disparaging	ғайриқонунӣ	0.102	0.626	0.411
disparate	пароканда	0.438	0.500	0.368
disparity	пароканда	0.208	0.482	0.361
dispassionate	данд	0.199	0.217	0.218
dispatch	фиристодан	0.317	0.417	0.555
dispatcher	фиристодан	0.365	0.704	0.652
dispel	данд	0.388	0.402	0.411
dispensary	пажӯҳишгоҳ	0.406	0.380	0.606
dispensation	фармоишӣ	0.388	0.462	0.490
dispense	тақсим карда мешавад	0.561	0.520	0.518
dispenser	фармоишгар	0.583	0.392	0.470
dispersal	пароканда	0.388	0.507	0.421
disperse	пароканда	0.375	0.569	0.434
dispersed	пароканда	0.344	0.490	0.274
dispersion	пароканда	0.270	0.604	0.350
dispirited	пажмурда мешавад	0.204	0.280	0.142
displace	аз куҷо пайдо шуд?	0.424	0.541	0.454
displaced	кӯчонида шудааст	0.281	0.472	0.291
displacement	гуреза	0.276	0.531	0.481
displacency	ҷойивазкунӣ	0.500	0.528	0.642
display	нишон дода мешавад	0.677	0.325	0.400
displease	розӣ нестанд	0.021	0.702	0.286
displeased	нопадид шуд	0.135	0.690	0.400
displeasure	бадбахтӣ	0.115	0.559	0.250
disposable	харида мешавад	0.271	0.439	0.250
disposal	харида мешавад	0.135	0.608	0.396
dispose	партофта мешавад	0.548	0.538	0.559
disposed	баста шудааст	0.688	0.441	0.625
disposition	ихтироъ	0.663	0.542	0.734
dispossessed	аз байн мераванд	0.354	0.577	0.331
disprove	рад кардан	0.375	0.625	0.613
dispute	мубоҳиса	0.219	0.750	0.585
disqualification	бекоркунӣ	0.066	0.677	0.330
disqualified	бекор карда шудааст	0.129	0.464	0.232
disqualify	канорагирӣ кунед	0.208	0.595	0.267
disquieted	шубҳанок	0.229	0.850	0.290
disregard	бедор бошед	0.177	0.647	0.308
disregarded	нопадид шудааст	0.260	0.458	0.283
disrelish	беэътиноӣ мекунанд	0.375	0.471	0.304
disreputable	ғайриоддӣ	0.104	0.688	0.353
disrepute	ноком	0.208	0.630	0.292
disrespect	беэҳтиромӣ	0.062	0.637	0.302
disrespectful	эҳтиромона	0.031	0.694	0.273
disrupt	вайрон мешавад	0.265	0.640	0.349
disrupting	вайрон шудан	0.186	0.557	0.339
disruption	вайрон шудан	0.235	0.735	0.436
disruptive	вайроншавии	0.255	0.755	0.575
dissatisfaction	қаноатмандӣ	0.115	0.663	0.202
dissatisfied	қаноатманд нест	0.042	0.561	0.291
dissect	решакан кунед	0.367	0.750	0.595
dissection	данд	0.276	0.632	0.462
disseminate	паҳн кардан	0.562	0.608	0.750
dissemination	паҳнкунӣ	0.476	0.551	0.583
dissension	Дунёи иқтисод	0.250	0.618	0.414
dissent	ошкоро	0.300	0.655	0.407
dissenting	рад	0.208	0.552	0.366
dissertation	диссертатсия	0.312	0.575	0.575
disservice	безараргардонӣ	0.250	0.794	0.480
dissident	мухолифат мекунанд	0.350	0.582	0.413
dissimilar	фарқ мекунад	0.276	0.461	0.472
dissipate	пажмурда мешавад	0.385	0.368	0.355
dissipated	таркиб ёфтааст	0.281	0.421	0.231
dissociation	фарсахҳо	0.135	0.555	0.471
dissociative	ихтилофот	0.281	0.615	0.397
dissolution	бекор карда шудааст	0.204	0.464	0.349
dissolve	пароканда	0.271	0.490	0.410
dissonance	партофташуда	0.173	0.471	0.336
dissuade	рабт дорад	0.482	0.500	0.350
distal	distal	0.410	0.401	0.438
distance	масофа	0.233	0.317	0.418
distant	дур	0.229	0.324	0.269
distaste	ҷарима	0.184	0.625	0.370
distasteful	золимона	0.264	0.676	0.222
distillate	distillate	0.500	0.347	0.382
distillation	distillation	0.396	0.436	0.575
distilled	distilled	0.427	0.573	0.500
distinct	фарқ мекунад	0.542	0.578	0.509
distinction	фарқ мекунад	0.584	0.571	0.750
distinctive	хусусан	0.885	0.520	0.604
distinguish	фарқ кунед	0.675	0.471	0.600
distinguishable	фарқ дорад	0.635	0.530	0.727
distinguished	фарқ мекунад	0.823	0.593	0.759
distinguishing	фарқ мекунад	0.622	0.363	0.640
distort	вайрон	0.100	0.740	0.366
distorted	вайрон карда шудааст	0.250	0.521	0.280
distortion	ғалат кардан	0.299	0.570	0.380
distract	хавотир нашавед	0.241	0.609	0.336
distracted	хавотир нашавед	0.194	0.392	0.213
distracting	пӯшида нест	0.445	0.583	0.400
distraction	ҳушдор додан	0.402	0.557	0.390
distraught	хавотир	0.115	0.903	0.264
distress	мушкилот	0.073	0.840	0.396
distressed	ғамгин	0.143	0.771	0.324
distressing	ғамгинӣ	0.075	0.750	0.375
distribute	паҳн кунед	0.643	0.596	0.709
distribution	тақсим карда мешавад	0.635	0.548	0.788
distributor	тақсимкунанда	0.702	0.447	0.718
district	ноҳия	0.438	0.327	0.660
distrust	боварӣ надоред	0.060	0.670	0.276
disturb	зараровар	0.175	0.760	0.481
disturbance	вайрон шудан	0.146	0.907	0.404
disturbed	хавотир	0.125	0.870	0.305
disturbing	бадбахтӣ	0.146	0.792	0.439
disuse	рад кардан	0.229	0.229	0.202
disused	рад карда шудааст	0.250	0.302	0.186
ditch	дуд	0.357	0.364	0.322
ditto	ditto	0.449	0.418	0.411
ditty	дитти	0.470	0.433	0.334
diurnal	рӯзона	0.714	0.296	0.443
diva	diva	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	дег	0.583	0.531	0.500
diver	diver	0.594	0.520	0.564
diverge	хавфнок	0.375	0.657	0.520
divergence	фарқият	0.429	0.615	0.687
divergent	гуногун аст	0.449	0.660	0.587
diverging	фарқ мекунад	0.417	0.613	0.573
divers	divers	0.583	0.580	0.602
diverse	гуногун аст	0.562	0.519	0.604
diversified	гуногунҷабҳа	0.602	0.538	0.549
diversify	диверсификатсия	0.656	0.588	0.464
diversion	фарогирӣ	0.740	0.821	0.714
diversionary	азнавсозӣ	0.551	0.587	0.300
diversity	гуногунрангӣ	0.806	0.472	0.711
divert	интиқол додан	0.344	0.622	0.407
diverting	интиқол додан	0.396	0.571	0.537
divest	лоақал	0.365	0.547	0.424
divested	фиристоданд	0.333	0.449	0.311
divestment	ҷилавгирӣ кардан	0.302	0.509	0.382
divide	ҷудо кунед	0.333	0.520	0.417
divided	тақсим карда мешавад	0.271	0.623	0.391
dividend	дивиденд	0.583	0.491	0.566
divination	фолклорӣ	0.500	0.650	0.545
divine	Худо	0.918	0.571	0.885
divinity	муқаддас	0.896	0.559	0.774
divisible	фасод	0.323	0.462	0.411
division	тақсим карда мешавад	0.370	0.481	0.472
divisor	тақсимкунанда	0.344	0.517	0.455
divorce	талоқ	0.042	0.700	0.385
divorcee	талоқ	0.153	0.610	0.481
divulge	тарҷума	0.531	0.718	0.467
divvy	вироиш	0.351	0.462	0.429
dizziness	саратон	0.229	0.555	0.254
dizzy	бесадо	0.199	0.582	0.193
do	кор кунед	0.670	0.548	0.536
doable	корношоям	0.760	0.404	0.675
doc	д	0.458	0.317	0.392
docile	Дунёи иқтисод	0.604	0.259	0.264
dock	Доктор	0.490	0.409	0.481
docked	данд	0.281	0.754	0.398
docket	десант	0.505	0.509	0.607
docking	толор	0.354	0.596	0.587
doctor	духтур	0.700	0.531	0.861
doctorate	докторантура	0.776	0.479	0.841
doctrinal	таълимот	0.510	0.373	0.673
doctrine	таълим	0.500	0.394	0.769
document	ҳуҷҷат	0.594	0.240	0.667
documentary	ҳуҷҷат	0.622	0.213	0.596
documentation	ҳуҷҷатҳо	0.719	0.290	0.667
documents	ҳуҷҷатҳо	0.530	0.250	0.587
dodge	Додгоҳ	0.333	0.760	0.509
dodger	додгер	0.427	0.454	0.490
dodging	манъ аст	0.396	0.654	0.382
dodgy	мантиқ	0.281	0.510	0.254
dodo	додо	0.438	0.306	0.353
doe	набошед	0.550	0.336	0.336
doer	амал мекунад	0.724	0.550	0.728
dog	саг	0.704	0.500	0.407
dogface	чӯб	0.219	0.470	0.264
dogged	сагон	0.255	0.750	0.594
doggy	doggy	0.646	0.491	0.404
doghouse	тухм	0.438	0.417	0.340
dogma	dogma	0.530	0.460	0.719
dogmatic	дандемикӣ	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	корҳо	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	dojo	0.500	0.435	0.455
doldrums	пурқувват	0.229	0.425	0.266
dole	данд	0.448	0.402	0.348
doll	лутфан	0.729	0.321	0.330
dollar	доллар	0.755	0.632	0.694
dollhouse	арабҳо	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	дффин	0.776	0.350	0.414
domain	домен	0.573	0.549	0.828
dome	гамбӯс	0.620	0.398	0.509
domestic	дохилӣ	0.729	0.327	0.500
domesticated	дохилӣ	0.635	0.360	0.294
domestication	оиладор шудан	0.594	0.390	0.435
domicile	манзил	0.604	0.292	0.529
domiciled	ҷойгир шудааст	0.542	0.340	0.516
dominance	ҳукмронӣ мекунанд	0.542	0.775	0.839
dominant	асосан	0.406	0.854	0.893
dominate	ҳукмронӣ мекунад	0.439	0.814	0.953
dominating	саргармӣ	0.427	0.769	0.902
domination	domination	0.505	0.786	0.959
dominatrix	асосан	0.390	0.727	0.709
dominion	ҳукмронӣ	0.542	0.704	0.890
domino	domino	0.594	0.510	0.473
don	д	0.646	0.454	0.702
donate	хайрия	0.774	0.462	0.577
donation	донор	0.792	0.398	0.602
donkey	Дон	0.406	0.367	0.245
donor	донор	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	дубл	0.604	0.402	0.376
doom	ҷазо дода мешавад	0.073	0.750	0.442
doomed	хафа шуд	0.041	0.755	0.301
doomsday	Садо Ояндасоз	0.125	0.861	0.670
door	дари хона	0.549	0.189	0.421
doorbell	дарвоза	0.564	0.500	0.307
doorknob	Анбар	0.406	0.553	0.462
doorman	ишора	0.570	0.371	0.491
doormat	шӯхӣ кунед	0.458	0.269	0.267
doornail	набера	0.459	0.370	0.423
doorstep	дарвоза	0.531	0.274	0.391
doorway	дари хона	0.573	0.304	0.496
dopamine	dopamin	0.548	0.469	0.426
dope	хомӯш	0.295	0.855	0.425
dopey	dopey	0.320	0.380	0.365
dork	шӯр	0.272	0.519	0.361
dorky	дӯрӣ	0.302	0.480	0.390
dorm	хоб	0.719	0.194	0.327
dormant	бесабаб нест	0.385	0.245	0.245
dormitory	хобгоҳ	0.633	0.204	0.382
dorsal	dorsal	0.449	0.360	0.445
dosage	тухм	0.344	0.450	0.490
dose	вояи	0.458	0.490	0.427
dossier	сабт	0.357	0.380	0.544
dot	dot	0.434	0.290	0.391
doting	тахминан	0.888	0.415	0.426
dotted	нуқта	0.480	0.347	0.426
dotty	dotty	0.375	0.402	0.393
double	дубора	0.677	0.378	0.569
doubled	ду баробар	0.427	0.536	0.560
doublet	дубора	0.420	0.431	0.500
doubling	doubling	0.459	0.452	0.464
doubt	шубҳа дорад	0.395	0.351	0.231
doubtful	шубҳанок аст	0.250	0.465	0.241
doubting	шубҳа доранд	0.224	0.560	0.189
doubtless	бешубҳа	0.688	0.415	0.689
doubts	шубҳаҳо	0.306	0.448	0.305
douche	дуд	0.490	0.413	0.397
douchebags	Дӯкҳо	0.327	0.587	0.366
dough	хамир	0.588	0.229	0.391
doughboy	хамиртуруши	0.365	0.443	0.396
doughnut	кулча	0.663	0.380	0.279
dour	хӯрокхӯрӣ	0.360	0.404	0.325
douse	дустӣ	0.365	0.453	0.412
dove	кабӯтар	0.729	0.235	0.437
down	Тафтиш	0.208	0.330	0.264
downcast	хомӯшӣ	0.071	0.500	0.222
downer	поёнтар	0.120	0.594	0.226
downfall	ба ҳалокат расиданд	0.200	0.717	0.182
downfield	поён	0.521	0.330	0.380
downhearted	нопадидшуда	0.119	0.461	0.255
downhill	дарахт	0.292	0.573	0.279
download	зеркашӣ	0.602	0.490	0.503
downpour	пастпарастӣ	0.328	0.602	0.481
downright	бадбахт	0.625	0.454	0.679
downriver	пастравии	0.542	0.469	0.279
downside	поён	0.190	0.400	0.246
downtime	дарсҳо	0.240	0.226	0.324
downward	поёнтар	0.188	0.347	0.255
downy	суст аст	0.630	0.170	0.255
dowry	Дунёи иқтисод	0.604	0.453	0.544
doze	дандон	0.592	0.200	0.405
dozen	дист	0.583	0.343	0.425
drab	дубора	0.327	0.300	0.242
draft	лоиҳа	0.438	0.360	0.351
drafty	пӯшида аст	0.458	0.500	0.518
drag	кашидан	0.388	0.606	0.348
dragon	аждаҳо	0.541	0.821	0.712
dragonfly	аждаҳо	0.571	0.373	0.357
drain	резиши он	0.277	0.470	0.222
drainage	дренаж	0.219	0.354	0.307
drained	резед	0.310	0.441	0.352
draining	дренаж	0.337	0.396	0.304
drainpipe	резиши сӯзишворӣ	0.417	0.413	0.277
drake	кашида шудааст	0.467	0.411	0.452
drama	драма	0.430	0.755	0.481
dramaqueen	NO TRANSLATION	0.337	0.682	0.482
dramatic	драмавӣ	0.367	0.780	0.443
drape	ванна	0.417	0.439	0.404
drapery	Драма	0.479	0.220	0.223
drastic	хеле сахт аст	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	лоиҳа	0.465	0.245	0.316
draw	кашида	0.704	0.449	0.481
drawback	заиф	0.302	0.422	0.148
drawbridge	англисӣ	0.551	0.557	0.438
drawer	лампа	0.429	0.196	0.292
drawers	лубнон	0.539	0.260	0.236
drawing	сурат мегирад	0.698	0.216	0.333
dread	тарсид	0.153	0.792	0.368
dreaded	тарсид	0.122	0.706	0.460
dreadful	шадид	0.092	0.786	0.348
dreadfully	шадидтар	0.246	0.806	0.306
dreading	тарсидан	0.125	0.760	0.377
dream	хоб	0.844	0.157	0.328
dreamboat	дреамбоат	0.776	0.491	0.458
dreamer	хоб	0.820	0.394	0.455
dreaming	хандидан	0.854	0.320	0.336
dreamland	орзу дорам	0.844	0.471	0.566
dreams	хобҳо	0.865	0.415	0.530
dreamt	хандид	0.812	0.380	0.518
dreamy	хоб	0.837	0.350	0.500
dreary	манъ аст	0.260	0.490	0.324
dredge	обхезӣ	0.427	0.445	0.444
drenched	шуста шуд	0.302	0.361	0.388
dress	либос	0.760	0.300	0.345
dresser	либос	0.604	0.398	0.473
dressmaker	дӯзандагӣ	0.698	0.460	0.483
dressy	зебо	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	хушк	0.427	0.260	0.385
drier	дандон	0.306	0.347	0.392
drift	ронанда	0.316	0.520	0.375
drifted	партофта шудааст	0.312	0.542	0.310
drifter	drifter	0.449	0.512	0.391
driftwood	driftwood	0.321	0.283	0.439
drill	дел	0.250	0.602	0.573
drink	нӯшидан	0.650	0.552	0.474
drinker	нӯшидан	0.365	0.735	0.441
drinking	нӯшидан	0.562	0.459	0.317
drinks	нӯшокӣ	0.729	0.656	0.412
drip	резед	0.392	0.193	0.175
dripping	dripping	0.302	0.257	0.267
drive	ронанда	0.625	0.689	0.713
drivel	ронанда	0.398	0.469	0.463
driver	ронанда	0.553	0.538	0.637
driveway	ронанда	0.612	0.392	0.689
drizzle	борон	0.521	0.353	0.319
droll	аҷиб аст	0.459	0.573	0.422
drone	drone	0.429	0.686	0.596
drones	drones	0.398	0.577	0.588
drool	дандон	0.385	0.398	0.204
drooping	дубора	0.245	0.558	0.353
droopy	драйв	0.438	0.350	0.297
drop	баста мешавад	0.479	0.321	0.291
droplet	қатрагӣ	0.625	0.208	0.194
dropout	берун партофтан	0.253	0.550	0.481
dropper	Драма	0.333	0.216	0.236
drought	хушксолӣ	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	ғарқ	0.071	0.860	0.270
drowsiness	пошидан	0.260	0.194	0.303
drowsy	ночиз	0.375	0.180	0.240
drudgery	драма	0.094	0.522	0.241
drug	маводи мухаддир	0.214	0.790	0.453
drug dealing	мубориза бар зидди маводи мухаддир	0.042	0.843	0.500
drugged	маводи мухаддир	0.102	0.750	0.321
druggist	дорухона	0.240	0.561	0.417
drugs	маводи мухаддир	0.167	0.750	0.368
drugstore	дорухона	0.490	0.343	0.518
druid	druid	0.517	0.445	0.481
drum	Драма	0.615	0.679	0.339
drummer	Драммер	0.646	0.700	0.564
drumming	drumming	0.594	0.750	0.426
drunk	Сигоркашӣ	0.194	0.800	0.250
drunk driving	ронанда	0.073	0.900	0.306
drunkard	Сигоркашӣ	0.240	0.873	0.250
drunken	мастӣ	0.155	0.849	0.250
drunkenness	мастӣ	0.214	0.774	0.336
dry	хушк	0.363	0.169	0.311
dryer	Кушодан	0.479	0.343	0.277
dryness	хушкӣ	0.292	0.296	0.263
dual	дуюм	0.573	0.330	0.384
dualism	Дунёи иқтисод	0.490	0.406	0.536
duality	дубора	0.438	0.520	0.503
dub	сиёҳ	0.510	0.480	0.387
dubious	шубҳанок	0.414	0.480	0.198
duchess	дубора	0.656	0.548	0.711
duck	мурғобӣ	0.594	0.337	0.236
ducking	дандинг	0.344	0.573	0.294
duckling	ношинос	0.602	0.353	0.263
ducky	ducky	0.520	0.430	0.368
duct	данд	0.449	0.435	0.430
ductile	дандила	0.508	0.420	0.433
dud	дуд	0.167	0.455	0.246
dude	мард	0.809	0.356	0.615
duds	дудҳо	0.347	0.311	0.339
due	сабаби	0.562	0.340	0.467
duel	дел	0.271	0.696	0.589
dues	Дунёи иқтисод	0.367	0.461	0.288
duet	данд	0.694	0.693	0.527
duffel	делел	0.500	0.400	0.384
dugout	курсӣ	0.490	0.370	0.463
duh	дҳ	0.357	0.461	0.364
duke	дук	0.667	0.440	0.669
dull	маҷрӯҳ	0.194	0.120	0.185
dullard	решакан	0.450	0.480	0.365
dumb	тела додан	0.188	0.330	0.151
dumbasses	кобед	0.316	0.590	0.363
dumbbell	гулӯла	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	дандон	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	думдор	0.440	0.144	0.250
dump	партовҳо	0.345	0.500	0.370
dumpling	шикастани	0.580	0.321	0.360
dumps	партофташуда	0.302	0.583	0.365
dumpster	партофташуда	0.229	0.418	0.101
dun	данд	0.458	0.431	0.339
dunce	dunce	0.188	0.327	0.146
dune	dune	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	мағзи сар	0.276	0.608	0.440
dunk	дубора	0.406	0.333	0.475
duo	дона	0.510	0.500	0.447
dupe	dupe	0.184	0.760	0.327
duplex	duplex	0.592	0.452	0.467
duplicate	такрори	0.521	0.490	0.338
duplication	такрори	0.480	0.564	0.577
duplicity	такрорӣ	0.406	0.500	0.578
durability	дарозмӯҳлат	0.750	0.398	0.813
durable	доимӣ	0.740	0.294	0.688
duration	давомнок	0.656	0.370	0.536
duress	данд	0.302	0.569	0.612
dusk	шабона	0.532	0.276	0.519
dusky	дузди	0.229	0.528	0.324
dust	чанг	0.344	0.246	0.241
duster	десант	0.408	0.265	0.296
dustpan	хокистарӣ	0.609	0.466	0.371
dusty	хокистарӣ	0.406	0.294	0.255
dutiful	хомӯш	0.724	0.245	0.585
duty	вазифа	0.583	0.579	0.651
dwarf	cwarf	0.370	0.340	0.288
dwarfed	сиёҳ	0.365	0.265	0.293
dweeb	данд	0.354	0.446	0.327
dwell	зиндагӣ мекунанд	0.698	0.245	0.611
dweller	сокинон	0.615	0.304	0.500
dwelling	манзил	0.765	0.330	0.481
dye	дона	0.479	0.314	0.371
dying	мурд	0.040	0.664	0.422
dyke	dyke	0.438	0.396	0.566
dynamic	динамикӣ	0.724	0.750	0.836
dynamical	динамикӣ	0.786	0.730	0.827
dynamics	динамикӣ	0.745	0.682	0.774
dynamite	динамит	0.344	0.860	0.783
dynamo	динамо	0.531	0.650	0.593
dynasty	династӣ	0.725	0.588	0.936
dysentery	дизентерия	0.260	0.528	0.345
dysfunction	бесабаб нест	0.156	0.410	0.386
dysfunctional	намебошад	0.125	0.558	0.307
dyspepsia	dpepsia	0.212	0.470	0.460
eager	хурсандӣ	0.521	0.812	0.306
eagerness	ҳавасманд	0.406	0.621	0.443
eagle	eagle	0.604	0.594	0.679
ear	гӯш	0.469	0.216	0.231
earful	ғамгин	0.533	0.462	0.443
earl	гӯш	0.582	0.461	0.794
earlier	пештар	0.562	0.352	0.339
early	барвақт	0.633	0.373	0.426
earn	ба даст овардан	0.865	0.769	0.817
earnest	самимона	0.653	0.380	0.670
earnestly	самимона	0.847	0.490	0.717
earnestness	самимият	0.812	0.373	0.615
earnings	даромадҳо	0.938	0.650	0.875
earpiece	гӯшмонак	0.583	0.286	0.452
earring	гӯшношунид	0.583	0.520	0.500
earrings	гӯшт	0.676	0.346	0.517
earshot	гӯшӣ	0.552	0.332	0.408
earth	замин	0.750	0.225	0.614
earthenware	заминҷунбӣ	0.552	0.210	0.320
earthling	заминҷунбӣ	0.531	0.412	0.570
earthly	заминӣ	0.625	0.318	0.518
earthquake	заминҷунбӣ	0.073	0.930	0.812
earthy	заминист	0.375	0.413	0.404
ease	осон аст	0.796	0.385	0.491
easel	нопурра	0.694	0.340	0.527
easement	иртибот	0.479	0.345	0.302
easily	осон	0.885	0.279	0.453
east	шарқ	0.510	0.250	0.317
eastbound	Шарқи наздик	0.541	0.408	0.402
eastern	шарқ	0.521	0.420	0.480
easy	осон	0.865	0.194	0.373
