Word	Yiddish-yi	Valence	Arousal	Dominance
continuum	קעסיידערדיק	0.677	0.390	0.491
contour	contour	0.589	0.265	0.414
contraband	קאָנטראַבאַנדע	0.177	0.875	0.670
contraception	קאַנטראַסעפּשאַן	0.296	0.518	0.525
contract	קאָנטראַקט	0.594	0.412	0.636
contracted	קאָנטראַקטעד	0.344	0.557	0.449
contractile	קאָנטראַקטילע	0.480	0.586	0.569
contracting	קאָנטראַקטינג	0.594	0.490	0.769
contraction	צונויפצי	0.292	0.755	0.603
contractor	קאָנטראַקטאָר	0.592	0.479	0.727
contradict	פאַרקרימען	0.160	0.598	0.482
contradiction	סטירע	0.250	0.660	0.377
contradictory	קאַנטראַדיקטערי	0.365	0.651	0.421
contraption	אָפּדרוק	0.448	0.590	0.491
contrary	פאַרקערט	0.327	0.449	0.338
contrast	קאַנטראַסט	0.480	0.406	0.520
contrasted	קאַנטראַסטאַד	0.521	0.538	0.491
contravene	קעגן	0.357	0.618	0.472
contravention	contravention	0.344	0.627	0.593
contribute	contribute	0.806	0.350	0.795
contribution	צושטייער	0.854	0.452	0.760
contributor	מיטארבעטער	0.844	0.510	0.760
contrite	קאַנטראַסט	0.347	0.363	0.473
contrition	קאַנטרישאַן	0.347	0.583	0.463
contrived	פארפאסט	0.408	0.530	0.458
control	קאָנטראָל	0.729	0.352	0.808
controller	קאָנטראָללער	0.469	0.712	0.868
controlling	controlling	0.490	0.441	0.885
controversial	קאָנטראָווערסיאַל	0.271	0.858	0.538
controversy	סיכסעך	0.250	0.819	0.600
contusion	contusion	0.167	0.565	0.509
conundrum	קאָנונדרום	0.354	0.524	0.408
convalescent	קאָנוואַלעססענט	0.458	0.480	0.269
convection	קאַנוועקשאַן	0.521	0.494	0.526
convene	קאַנווייען	0.583	0.676	0.636
convenience	קאַנוויניאַנס	0.781	0.448	0.613
conveniences	קאַנוויניאַנסיז	0.802	0.412	0.693
convenient	באַקוועם	0.846	0.491	0.574
convent	קאַנוואַנט	0.480	0.217	0.594
convention	convention	0.622	0.622	0.704
conventional	conventional	0.594	0.292	0.634
converge	קאָנווערדזש	0.635	0.471	0.539
convergence	קאַנווערדזשאַנס	0.551	0.491	0.625
convergent	קאָנווערדזשאַנט	0.781	0.490	0.696
conversant	קאַנווערסאַנט	0.724	0.360	0.542
conversation	שמועס	0.750	0.510	0.609
conversational	קאָנווערסאַטיאָנאַל	0.719	0.431	0.596
conversationalist	קאָנווערסאַטיאָניסט	0.719	0.467	0.667
converse	יבערקערן	0.594	0.406	0.598
conversing	קאָנווערסינג	0.755	0.409	0.442
conversion	conversion	0.480	0.605	0.736
convert	גער	0.551	0.538	0.704
converted	קאָנווערטעד	0.663	0.418	0.686
convertible	קאָנווערטיבלע	0.542	0.529	0.717
convex	קאָנוועקס	0.438	0.427	0.445
convexity	קאָנוועקסיטי	0.449	0.354	0.484
convey	קאַנוויי	0.719	0.633	0.708
conveyance	קאַנווייער	0.615	0.520	0.455
conveyancing	קאַנווייינג	0.375	0.479	0.663
convict	אַריינלייגן	0.177	0.840	0.477
conviction	איבערצייגונג	0.615	0.704	0.826
convince	יבערצייַגן	0.708	0.539	0.763
convinced	קאַנווינסט	0.750	0.500	0.630
convincing	קאַנווינסינג	0.760	0.527	0.900
convocation	קאָנוואָקאַטיאָן	0.538	0.611	0.663
convoluted	קאָנוואָלוטעד	0.323	0.614	0.433
convolution	קאָנוואָלוטיאָן	0.417	0.559	0.527
convoy	קאַנוווי	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	קאָכן	0.847	0.500	0.412
cookbook	cookbook	0.602	0.346	0.398
cooker	קאַשער	0.592	0.373	0.407
cookery	קאָאָקערי	0.633	0.368	0.345
cookie	קיכל	0.792	0.306	0.250
cookies	קיכלעך	0.823	0.451	0.316
cooking	קוקינג	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	cool	0.885	0.540	0.781
coolant	קולאַנט	0.720	0.412	0.456
cooler	קולער	0.664	0.375	0.460
cooling	אָפּקילן	0.469	0.324	0.392
coolness	קולנאַס	0.490	0.307	0.548
coon	קון	0.490	0.460	0.400
coop	קאָאָפּ	0.612	0.445	0.650
cooperate	קאָאָפּעראַטע	0.898	0.451	0.582
cooperating	קאָאָפּעראַטינג	0.760	0.390	0.693
cooperation	cooperation	0.847	0.473	0.686
cooperative	קאָאָפּעראַטיווע	0.816	0.461	0.670
coordinate	קאָאָרדינאַטע	0.698	0.429	0.694
coordination	קאָואָרדאַניישאַן	0.677	0.454	0.789
coordinator	קאָאָרדינאַטאָר	0.750	0.510	0.850
cop	קאָפּ	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	קאָפּע	0.592	0.647	0.709
copier	Copier	0.459	0.345	0.390
copilot	קאָפּילאָט	0.640	0.538	0.573
coping	קאָפּינג	0.562	0.630	0.613
copious	קאָפּיאָוס	0.427	0.462	0.527
copper	קופּער	0.580	0.260	0.500
copter	קאָפּטער	0.571	0.704	0.569
copy	קאָפּיע	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	copying	0.448	0.315	0.404
copyright	copyright	0.458	0.402	0.663
coral	קאָראַל	0.802	0.231	0.425
coral snake	קאָראַל שלאַנג	0.276	0.712	0.607
cord	שנור	0.388	0.378	0.358
cordial	cordial	0.823	0.312	0.482
cordless	קאָרדלעסס	0.667	0.441	0.528
cordon	קאָרדאָן	0.469	0.317	0.380
corduroy	קאָרדורוי	0.570	0.324	0.357
core	core	0.721	0.378	0.540
cork	קאָריק	0.347	0.250	0.281
corkscrew	קאָרקסקרו	0.427	0.443	0.445
corn	פּאַפּשוי	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	cornea	0.521	0.346	0.443
corned	corned	0.459	0.441	0.425
corner	ווינקל	0.400	0.296	0.366
cornerstone	קאָרנערסטאָון	0.550	0.388	0.596
cornet	קאָרנעט	0.507	0.520	0.415
cornfield	cornfield	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	קאָרניסע	0.458	0.441	0.295
cornstarch	cornstarch	0.643	0.299	0.337
corny	קאָרני	0.448	0.370	0.221
corollary	קעראַלערי	0.458	0.469	0.366
corona	קאָראָנאַ	0.818	0.439	0.745
coronary	קאָראָנאַרי	0.567	0.613	0.509
coronation	קאָראַניישאַן	0.792	0.592	0.836
coroner	קאָראָנער	0.323	0.558	0.526
corporal	corporal	0.582	0.490	0.596
corporate	פֿירמע	0.592	0.454	0.745
corporation	קאָרפּאָראַציע	0.429	0.332	0.873
corporeal	corporeal	0.520	0.350	0.461
corps	קאָרפּס	0.551	0.453	0.483
corpse	corpse	0.094	0.657	0.232
corpsman	קאָרפּסמאַן	0.439	0.469	0.651
corpus	קאָרפּוס	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	ריכטיק	0.857	0.306	0.723
correction	קערעקשאַן	0.448	0.485	0.558
correctional	קערעקשאַנאַל	0.292	0.713	0.602
corrective	קערעקטיוו	0.448	0.528	0.613
correctness	ריכטיק	0.796	0.450	0.649
correlation	קאָראַליישאַן	0.596	0.462	0.571
correlative	קאָרעלאַטיווע	0.510	0.402	0.571
correspond	correspond	0.710	0.452	0.545
correspondence	מיטשטימונג	0.663	0.423	0.491
correspondent	קארעספאנדענט	0.573	0.565	0.712
corresponding	קאָראַספּאַנדינג	0.740	0.423	0.618
corridor	קאָרידאָר	0.604	0.589	0.592
corroborate	corroborate	0.671	0.471	0.616
corroboration	corroboration	0.625	0.431	0.733
corrosion	קעראָוזשאַן	0.156	0.610	0.348
corrosive	קעראָוסיוו	0.140	0.618	0.570
corrupt	פאַרדאָרבן	0.020	0.806	0.500
corrupting	פאַרדאָרבן	0.062	0.804	0.380
corruption	קאָרופּציע	0.052	0.830	0.549
corsage	קאָרס	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	קאָרסעט	0.490	0.520	0.381
cortex	cortex	0.594	0.439	0.529
cortical	קאָריק	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	קאָרוועט	0.551	0.520	0.598
cosmetic	קאָסמעטיק	0.625	0.304	0.308
cosmetics	קאָסמעטיקס	0.765	0.464	0.472
cosmic	קאָסמיש	0.663	0.538	0.692
cosmology	קאָסמאָלאָגי	0.651	0.438	0.637
cosmopolitan	cosmopolitan	0.823	0.510	0.760
cosmos	קאָסמאָס	0.860	0.478	0.664
cost	פּרייַז	0.365	0.420	0.439
costly	טייַער	0.316	0.650	0.642
costume	קאָסטיום	0.548	0.510	0.374
cosy	היימיש	0.847	0.255	0.518
cot	קאָט	0.625	0.230	0.278
cote	קאָטע	0.439	0.344	0.324
cottage	הייַזקע	0.600	0.279	0.361
cotton	וואַטע	0.639	0.071	0.240
couch	couch	0.594	0.082	0.198
cougar	cougar	0.438	0.588	0.538
cough	הוסט	0.255	0.627	0.241
council	ראַט	0.875	0.279	0.635
councilman	קאָונסעלמאַן	0.531	0.367	0.793
counsel	אַדוואָקאַט	0.594	0.519	0.730
counseling	קאַונסלינג	0.667	0.480	0.704
counsellor	קאָונסעלאָר	0.823	0.327	0.740
counselor	קאָונסעלאָר	0.873	0.365	0.706
count	ציילן	0.594	0.389	0.492
countdown	קאָונטדאָוון	0.438	0.692	0.490
countenance	פּונקט	0.635	0.440	0.690
counter	טאָמבאַנק	0.439	0.478	0.750
counteract	counteract	0.378	0.542	0.688
counterattack	קאנטער אטאקע	0.281	0.951	0.764
counterbalance	counterbalance	0.520	0.480	0.627
counterclaim	counterclaim	0.398	0.760	0.651
counterfeit	פאַלש	0.094	0.694	0.451
counterpart	counterpart	0.448	0.608	0.577
counterpoint	counterpoint	0.438	0.509	0.538
countess	קאַונטאַס	0.562	0.440	0.670
countless	countless	0.520	0.566	0.534
country	לאַנד	0.698	0.394	0.693
countryman	לאַנדמאַן	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	קאַנטריסייד	0.732	0.288	0.327
counts	קאַונץ	0.343	0.373	0.500
county	קאָונטי	0.479	0.368	0.545
coup	קו	0.275	0.815	0.607
coupe	קופּ	0.479	0.460	0.482
couple	פּאָר	0.806	0.605	0.607
coupled	קאַפּאַלד	0.612	0.286	0.650
coupling	קאַפּלינג	0.594	0.479	0.555
coupon	coupon	0.704	0.300	0.421
courage	מוט	0.830	0.728	0.849
courageous	courageous	0.918	0.587	0.879
courier	courier	0.551	0.383	0.441
courses	קאָרסאַז	0.735	0.412	0.534
coursing	קאָרסינג	0.542	0.472	0.546
court	הויף	0.479	0.769	0.827
courteous	העפלעך	0.937	0.396	0.529
courtesy	העפלעכקייט	0.927	0.287	0.431
courthouse	קאָורטהאָוסע	0.571	0.503	0.818
courtroom	קאַסירער	0.385	0.670	0.887
courts	קאָרץ	0.367	0.710	0.816
courtship	קאָורטשיפּ	0.667	0.490	0.654
courtside	courtside	0.592	0.391	0.434
courtyard	קאָורטיאַרד	0.503	0.365	0.355
cousin	קוזינע	0.675	0.394	0.427
cousins	cousins	0.760	0.409	0.464
cove	קאָווע	0.500	0.304	0.370
coven	קאסט	0.458	0.578	0.591
covenant	בונד	0.594	0.462	0.667
cover	דעקן	0.365	0.240	0.471
coverage	coverage	0.767	0.413	0.629
covered	באדעקט	0.562	0.340	0.644
covering	קאַווערינג	0.615	0.382	0.583
covert	covert	0.500	0.570	0.508
covet	קאָוועט	0.302	0.779	0.524
coveted	קאַוואַטיד	0.661	0.730	0.625
cow	קו	0.449	0.230	0.300
coward	קאָוואַרד	0.102	0.490	0.149
cowardice	קאָוואַרדיסע	0.133	0.621	0.167
cowardly	קאָוואַרדלי	0.102	0.385	0.127
cowboy	קאָוובוי	0.594	0.625	0.695
cowgirl	קאָווגירל	0.541	0.566	0.554
cowhand	קאָווהאַנד	0.438	0.480	0.596
cowhide	קאָווהידע	0.458	0.324	0.333
cowl	קאָוול	0.427	0.450	0.232
coworker	מיטארבעטערס	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	קויאָטע	0.459	0.471	0.387
cozy	היימיש	0.910	0.356	0.545
crab	קראַב	0.421	0.396	0.330
crabby	קראַבבי	0.198	0.812	0.370
crack	crack	0.302	0.625	0.400
cracked	קראַקט	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackjack	0.567	0.509	0.426
cracking	cracking	0.327	0.557	0.286
crackle	קראַקאַל	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	cradle	0.776	0.194	0.333
craft	מעלאָכע	0.760	0.321	0.539
crafts	קראַפס	0.667	0.380	0.391
craftsman	באַל - מעלאָכע	0.719	0.310	0.583
craftsmanship	קראַפצמאַנשיפּ	0.823	0.373	0.571
crafty	כיטרע	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	קראַמד	0.406	0.740	0.466
cramp	קראַמפּ	0.194	0.796	0.340
cramped	cramped	0.240	0.567	0.360
cranberry	קרענבערי	0.793	0.330	0.363
cranberry juice	זשורעכלינעס זאַפט	0.622	0.321	0.281
crane	קראַנע	0.396	0.417	0.589
cranial	cranial	0.354	0.510	0.583
cranium	cranium	0.439	0.491	0.725
crank	קראַנק	0.448	0.275	0.417
cranky	מאנכע	0.194	0.776	0.396
cranny	קראַני	0.194	0.471	0.250
crap	crap	0.083	0.644	0.167
crappy	crappy	0.039	0.582	0.208
craps	craps	0.375	0.420	0.273
crash	crash	0.194	0.906	0.355
crass	קראַס	0.223	0.490	0.466
crate	קייט	0.427	0.173	0.274
crater	קראַטער	0.450	0.647	0.529
crave	אָנכאַפּן	0.625	0.510	0.731
craving	craving	0.510	0.755	0.636
crawfish	crawfish	0.510	0.427	0.342
crawl	קריכן	0.479	0.519	0.467
crayon	קרייאַן	0.604	0.260	0.185
crayons	קרייאַנז	0.684	0.366	0.405
craze	craze	0.255	0.657	0.435
crazed	crazed	0.153	0.877	0.417
craziness	craziness	0.238	0.908	0.255
crazy	משוגע	0.156	0.843	0.321
creak	קריק	0.344	0.670	0.411
creaking	קריקינג	0.302	0.743	0.415
cream	קרעם	0.688	0.259	0.220
creamed	קרעאַמעד	0.723	0.273	0.288
creamer	קרעאַמער	0.594	0.192	0.269
creamy	קרימי	0.823	0.337	0.345
crease	קנייטש	0.440	0.286	0.300
create	create	0.786	0.588	0.789
creation	שאַפונג	0.927	0.575	0.868
creative	creative	0.917	0.518	0.788
creativity	שאפן	0.938	0.684	0.815
creator	creator	0.865	0.592	0.856
creature	creature	0.669	0.625	0.620
credence	גלויבן	0.760	0.460	0.737
credential	credential	0.735	0.337	0.597
credentials	credentials	0.708	0.373	0.675
credibility	קרעדיביליטי	0.875	0.427	0.809
credible	credible	0.917	0.441	0.750
credit	credit	0.673	0.549	0.648
credit card	קרעדיט קארטל	0.670	0.550	0.640
creditable	קרעדיט	0.802	0.510	0.742
credited	credited	0.781	0.390	0.691
crediting	קרעדיט	0.673	0.550	0.741
creditor	קרעדיטאָר	0.479	0.594	0.689
creed	creed	0.573	0.245	0.544
creek	creek	0.552	0.392	0.330
creep	קריכן	0.354	0.647	0.361
creeper	קרעעפּער	0.429	0.558	0.366
creeping	קריפּינג	0.292	0.613	0.282
creepy	קריפּי	0.125	0.861	0.373
cremation	קרעמאַטיאָן	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	קראַפּ	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	קרעססענט	0.698	0.382	0.407
crest	קאַם	0.458	0.333	0.333
crestfallen	crestfallen	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	קרעטינס	0.094	0.741	0.328
crevice	crevice	0.361	0.471	0.275
crew	crew	0.604	0.598	0.735
crewman	crewman	0.602	0.580	0.548
crib	crib	0.653	0.240	0.407
cricket	קריקאַט	0.423	0.539	0.370
cried	געשריגן	0.167	0.612	0.254
crime	crime	0.071	0.943	0.630
criminal	פאַרברעכער	0.021	0.830	0.529
criminality	קרימינאַלאַטי	0.122	0.863	0.580
crimp	crimp	0.260	0.557	0.396
crimson	פּאָמסן	0.667	0.385	0.370
cringe	קריגן	0.245	0.840	0.377
cripple	קריכן	0.094	0.392	0.161
crippled	קאַפּטשערד	0.035	0.358	0.236
crippling	קאַפּריפלינג	0.156	0.598	0.391
crisis	קריזיס	0.208	0.811	0.431
crisp	קרוכלע	0.776	0.692	0.508
crispy	קריספּי	0.656	0.550	0.509
criterion	קריטעריאָן	0.396	0.410	0.736
critic	קריטיקער	0.264	0.604	0.686
critical	critical	0.312	0.802	0.545
criticise	קריטיקירן	0.073	0.700	0.452
criticism	קריטיק	0.115	0.563	0.505
criticize	קריטיקירן	0.143	0.708	0.473
criticized	קריטיקירט	0.240	0.600	0.311
critique	קריטיק	0.302	0.760	0.537
critter	קריטטער	0.542	0.539	0.482
croak	croak	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	קראַק	0.385	0.412	0.421
crockery	crockery	0.552	0.216	0.327
crocodile	קראָקאָדיל	0.344	0.708	0.610
croft	croft	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	הינדל	0.171	0.765	0.550
crooked	קרום	0.146	0.594	0.305
crop	שניידן	0.615	0.260	0.500
croquet	קראָוקיי	0.551	0.519	0.407
cross	cross	0.448	0.321	0.569
cross country	קרייַז לאַנד	0.531	0.441	0.529
crossbow	crossbow	0.344	0.598	0.560
crossed	crossed	0.431	0.490	0.508
crossfire	crossfire	0.316	0.896	0.722
crossing	אַריבער	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	crosswalk	0.557	0.441	0.380
crossword	crossword	0.611	0.423	0.455
crotch	קראַטש	0.521	0.637	0.447
crouch	קראָוטש	0.281	0.606	0.312
crouched	crouched	0.333	0.363	0.279
crouching	קראָוטשינג	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	קראָו	0.224	0.439	0.363
crowbar	קראָובאַר	0.406	0.531	0.386
crowd	crowd	0.350	0.827	0.731
crowded	ענג	0.694	0.286	0.585
crowds	קראַודז	0.469	0.723	0.806
crown	קרוין	0.708	0.572	0.737
crowning	קראַונינג	0.773	0.594	0.831
crucial	crucial	0.541	0.657	0.777
cruciate	cruciate	0.429	0.435	0.585
crucifix	crucifix	0.469	0.480	0.510
crucifixion	קרוסיפיקשאַן	0.135	0.857	0.541
crucify	קרייציקן	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	גראָב	0.198	0.402	0.357
cruel	cruel	0.122	0.866	0.391
cruelly	cruelly	0.146	0.790	0.471
cruelty	cruelty	0.092	0.836	0.536
cruise	אַרומפאָרן	0.740	0.442	0.683
cruise ship	קרוז שיף	0.878	0.650	0.500
cruiser	קרוזער	0.737	0.490	0.608
cruising	קרויסינג	0.886	0.580	0.560
crumb	ברעקל	0.417	0.255	0.216
crumble	צעברעקלען	0.333	0.480	0.423
crumbling	קראַמבאַלינג	0.167	0.696	0.308
crummy	קראַמי	0.125	0.531	0.224
crunch	כראָמטשען	0.292	0.630	0.406
crunchy	קרונטשי	0.625	0.560	0.539
crusade	קרייצצוג	0.592	0.720	0.709
crusader	קרוסאַדער	0.439	0.588	0.548
crush	צעטרעטן	0.271	0.676	0.582
crushed	קראַשט	0.167	0.647	0.300
crusher	קראַשער	0.271	0.709	0.598
crushing	קראַשינג	0.219	0.755	0.411
crust	crust	0.542	0.337	0.456
crusty	קראַסטי	0.625	0.531	0.473
crutch	קראַטש	0.302	0.294	0.302
crux	קרוקס	0.469	0.558	0.519
cry	cry	0.133	0.627	0.255
crybaby	crybaby	0.375	0.702	0.311
crying	רופט	0.153	0.704	0.208
crypt	crypt	0.156	0.431	0.386
cryptic	קריפּטיק	0.296	0.516	0.474
cryptography	קריפּטאָגראַפי	0.490	0.415	0.650
crystal	קריסטאַל	0.618	0.270	0.508
crystalline	קריסטאַליין	0.765	0.235	0.534
crystallization	קריסטאַלליזאַטיאָן	0.600	0.449	0.565
cub	cub	0.646	0.382	0.284
cubby	קובבי	0.354	0.385	0.360
cube	קוב	0.469	0.226	0.274
cubic	קוביק	0.458	0.306	0.407
cubicle	קאַבינעט	0.479	0.343	0.417
cuckold	cuckold	0.210	0.573	0.230
cuckoo	קוקו	0.420	0.459	0.284
cucumber	וגערקע	0.490	0.235	0.237
cuddle	קאַדאַל	0.885	0.559	0.475
cuddled	קודדלד	0.906	0.547	0.567
cuddles	קודדלעס	0.847	0.382	0.500
cuddling	קאַדלינג	0.917	0.562	0.433
cue	קיו	0.521	0.433	0.484
cuff	מאַנזשעט	0.469	0.453	0.387
cuisine	קוויזין	0.714	0.365	0.390
culinary	קולינאַריש	0.654	0.443	0.519
cull	קול	0.365	0.702	0.464
culminate	קולמינאַטע	0.667	0.550	0.602
culmination	קאַלמאַניישאַן	0.656	0.586	0.695
culpability	קולאַביליטי	0.112	0.745	0.368
culpable	culpable	0.140	0.700	0.319
culprit	קולפּריט	0.062	0.676	0.333
cult	cult	0.448	0.535	0.648
cultivate	האָדעווען	0.708	0.410	0.598
cultivated	cultivated	0.837	0.343	0.564
cultivation	cultivation	0.625	0.324	0.462
cultural	קולטור	0.802	0.390	0.623
culture	קולטור	0.753	0.304	0.675
cultured	געבילדעטער	0.635	0.429	0.625
culvert	culvert	0.337	0.324	0.343
cumbersome	קאַמבערסאַם	0.259	0.623	0.292
cumulus	קומולוס	0.570	0.433	0.432
cunning	כיטרע	0.604	0.685	0.683
cunt	קונט	0.135	0.673	0.377
cup	cup	0.615	0.167	0.231
cupboard	שאַפע	0.553	0.200	0.304
cupcake	קופּקאַקעס	0.656	0.333	0.344
cupping	קופּינג	0.490	0.610	0.402
cur	cur	0.440	0.519	0.460
curable	קיורינג	0.823	0.292	0.574
curate	קוראַט	0.726	0.418	0.526
curative	קעראַטיווע	0.667	0.318	0.613
curator	קוראַטאָר	0.688	0.389	0.688
curb	צאַמען	0.472	0.371	0.402
curd	קורד	0.542	0.442	0.278
cure	cure	0.719	0.377	0.623
curfew	קערפיו	0.219	0.618	0.623
curiosity	נייַגעריקייַט	0.750	0.755	0.463
curious	טשיקאַווע	0.635	0.600	0.483
curl	קערל	0.385	0.452	0.351
curling	קערלינג	0.583	0.592	0.400
currency	קראַנטקייַט	0.583	0.418	0.592
current	current	0.625	0.312	0.612
curriculum	curriculum	0.708	0.306	0.620
curry	קערי	0.633	0.345	0.302
curse	קללה	0.033	0.720	0.375
cursed	געשאלטן	0.083	0.783	0.393
cursing	קללה	0.112	0.860	0.446
cursory	קערסערי	0.423	0.451	0.431
curt	curt	0.245	0.610	0.452
curtail	קערטייל	0.306	0.439	0.497
curtailment	curtailment	0.230	0.578	0.431
curtain	פאָרהאַנג	0.698	0.278	0.304
curtains	קערטאַנז	0.615	0.123	0.342
curtsy	קורץ	0.635	0.412	0.598
curvature	קערוואַטשער	0.417	0.367	0.447
curve	ויסבייג	0.480	0.375	0.307
curved	קערווד	0.542	0.407	0.337
curvilinear	curvilinear	0.480	0.575	0.411
cushion	קישן	0.653	0.221	0.292
cushy	קושי	0.823	0.283	0.395
cusp	קוספּ	0.667	0.710	0.700
cuss	קאַס	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	קאַסטערד	0.618	0.260	0.293
custodial	custodial	0.418	0.462	0.718
custodian	קוסטאָדיאַן	0.594	0.625	0.528
custody	קוסטאָד	0.494	0.472	0.675
custom	custom	0.552	0.382	0.688
customary	customary	0.700	0.253	0.561
customer	קונה	0.562	0.430	0.673
customized	customized	0.625	0.504	0.590
cut	שנייַדן	0.490	0.490	0.393
cutaneous	קוטאַנעאָוס	0.365	0.370	0.328
cute	קיוט	0.920	0.528	0.579
cuticle	קוטיקלע	0.340	0.320	0.377
cutie	קוטיע	0.638	0.528	0.464
cutlass	cutlass	0.173	0.648	0.528
cutlery	גאָפּל - לעפל	0.552	0.300	0.345
cutoff	cutoff	0.432	0.510	0.518
cutter	קאַטער	0.427	0.731	0.583
cutters	קוטטערס	0.197	0.653	0.491
cutthroat	קוטטהראָט	0.110	0.823	0.663
cutting	קאַטינג	0.448	0.375	0.536
cutting board	שנייד ברעט	0.337	0.540	0.342
cuttings	קוטטינגס	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	cyanide	0.229	0.667	0.545
cyberspace	cyberspace	0.677	0.594	0.611
cycle	ציקל	0.635	0.400	0.533
cyclical	סיקליקאַל	0.380	0.450	0.554
cyclist	סייקליסט	0.684	0.582	0.576
cyclone	סיקלאָון	0.416	0.796	0.673
cylinder	צילינדער	0.459	0.324	0.447
cylindrical	סאַלינדריקאַל	0.458	0.294	0.414
cymbal	cymbal	0.542	0.363	0.362
cynic	cynic	0.135	0.632	0.473
cynical	cynical	0.156	0.760	0.474
cynicism	cynicism	0.104	0.780	0.454
cyst	סיסט	0.173	0.578	0.312
cystic	סיסטיק	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	סיטאָפּלאַסם	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	dab	0.510	0.337	0.340
dabble	דאַבאַל	0.550	0.530	0.491
dabbling	דאַבלינג	0.562	0.726	0.676
dad	טאַטע	0.857	0.412	0.786
daddy	daddy	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	daemon	0.333	0.490	0.500
daft	דאַפט	0.255	0.436	0.157
dagger	דאַגער	0.224	0.797	0.613
daily	טעגלעך	0.653	0.347	0.473
dainty	נאַש	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	מילכיק	0.633	0.255	0.462
daisy	מאַרגעריטקע	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	dale	0.622	0.270	0.365
dam	דאַם	0.250	0.553	0.394
damage	שאדן	0.059	0.726	0.403
damaged	דאַמידזשד	0.104	0.635	0.182
damages	שעדיקן	0.082	0.760	0.310
dame	דאַמע	0.694	0.480	0.500
damn	פאַרשילטן	0.073	0.784	0.431
damnation	דאַמניישאַן	0.135	0.750	0.416
damned	דאַמנעד	0.100	0.760	0.465
damp	פייַכט	0.360	0.279	0.210
dampened	דאַמאַנד	0.271	0.422	0.336
damper	דאַמפּער	0.459	0.378	0.473
damsel	מיידל	0.719	0.475	0.400
dance	טאַנצן	0.894	0.840	0.551
dancer	טענצער	0.740	0.768	0.545
dancing	dancing	0.885	0.868	0.444
dandruff	שופּן	0.398	0.298	0.293
dandy	dandy	0.673	0.520	0.630
danger	געפאַר	0.115	0.923	0.673
dangerous	געפערלעך	0.020	0.941	0.658
dangerously	דיינדזשעראַסלי	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	באַנגלאַד	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	דאַפּפּער	0.770	0.560	0.698
dare	דאַרפן	0.677	0.788	0.684
daredevil	דערדעוואַל	0.429	0.714	0.653
daresay	דערזען	0.540	0.451	0.490
daring	daring	0.583	0.840	0.711
dark	טונקל	0.198	0.398	0.426
darken	דאַרקאַן	0.250	0.471	0.382
darkened	darkened	0.135	0.440	0.452
darkly	דאַרקלי	0.219	0.548	0.443
darkness	פינצטערניש	0.102	0.602	0.418
darkroom	darkroom	0.188	0.627	0.423
darkside	טונקעלע זייט	0.102	0.690	0.365
darling	ליבלינג	0.885	0.370	0.608
darn	צרות	0.115	0.765	0.418
dart	דאַרט	0.417	0.608	0.500
dash	לאָך	0.574	0.312	0.324
dashboard	דאַשבאָרד	0.510	0.371	0.595
dashed	dashed	0.276	0.393	0.338
dashing	דאַשינג	0.612	0.627	0.799
