Word	Greek-el	Valence	Arousal	Dominance
breakers	διακόπτες	0.469	0.588	0.439
breakfast	ΠΡΩΙΝΟ ΓΕΥΜΑ	0.885	0.330	0.429
breaking and entering	διάρρηξη	0.418	0.729	0.500
breakingnews	έκτακτες ειδήσεις	0.500	0.552	0.607
breakneck	ιλιγγιώδης	0.254	0.833	0.604
breakthrough	ανακάλυψη	0.680	0.525	0.718
breakup	χωρίζω	0.250	0.720	0.357
breast	στήθος	0.753	0.429	0.500
breath	αναπνοή	0.684	0.392	0.451
breathe	αναπνέω	0.833	0.373	0.518
breather	ξεκούραση	0.624	0.471	0.388
breathless	με κομμενη την ανασα	0.323	0.490	0.222
breathtaking	εκπληκτική	0.936	0.792	0.921
breech	όπισθεν	0.500	0.637	0.422
breeches	βράκα	0.365	0.457	0.333
breed	ράτσα	0.490	0.441	0.578
breeder	κτηνοτρόφος	0.645	0.481	0.605
breeding	ανατροφή	0.667	0.481	0.610
breeze	αεράκι	0.837	0.284	0.370
breezy	δροσερός	0.531	0.472	0.482
brethren	αδελφοί	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	συντομία	0.459	0.434	0.375
brew	ετοιμάζω	0.740	0.538	0.758
brewery	ζυθοποιείο	0.710	0.622	0.510
brewing	ζυθοποιία	0.740	0.593	0.609
briar	ρείκι	0.493	0.375	0.407
bribe	δωροδοκία	0.112	0.690	0.472
bribery	δωροδοκία	0.135	0.775	0.585
brick	τούβλο	0.217	0.418	0.368
bridal	γάμος	0.823	0.655	0.596
bride	νυφη	0.840	0.708	0.579
bridegroom	γαμπρός	0.809	0.736	0.527
bridesmaid	παράνυμφος	0.748	0.519	0.618
bridge	γέφυρα	0.625	0.324	0.519
bridle	χαλινάρι	0.427	0.367	0.386
brief	σύντομος	0.469	0.300	0.279
briefcase	χαρτοφύλακας	0.542	0.206	0.442
briefing	ενημέρωση	0.612	0.333	0.702
briefly	εν ολίγοις	0.686	0.314	0.330
brig	φυλακή	0.573	0.539	0.500
brigade	ταξιαρχία	0.604	0.710	0.828
bright	ΛΑΜΠΡΌΣ	0.890	0.527	0.812
brighten	λαμπρύνω	0.760	0.547	0.649
brightens	φωτίζει	0.771	0.611	0.613
brighter	φωτεινότερος	0.918	0.698	0.833
brightness	λάμψη	0.938	0.623	0.660
brilliance	λαμπρότητα	0.990	0.673	0.830
brilliant	λαμπρός	0.939	0.575	0.923
brim	χείλος	0.469	0.333	0.330
brimming	γεμίζοντας	0.656	0.690	0.758
brimstone	θειάφι	0.357	0.520	0.440
brine	άλμη	0.333	0.481	0.361
bring	να φερεις	0.635	0.460	0.462
brink	χείλος	0.375	0.413	0.356
brisk	ζωηρός	0.719	0.745	0.742
brisket	στήθος ζώου	0.552	0.378	0.222
bristle	γουρουνότριχα	0.375	0.375	0.326
brittle	εύθραυστος	0.276	0.490	0.272
bro	bro	0.794	0.349	0.684
broach	καρφίτσα	0.438	0.439	0.675
broad	ευρύς	0.762	0.365	0.637
broadcast	αναμετάδοση	0.615	0.587	0.355
broadcasting	ραδιοφωνικός	0.542	0.700	0.706
broaden	ευρύνω	0.678	0.602	0.610
broadside	ομοβροντία	0.459	0.316	0.462
broadsword	ευρεία σφαίρα	0.469	0.573	0.615
brocade	μπροκάρ	0.500	0.327	0.464
broccoli	μπρόκολο	0.469	0.200	0.283
brochure	φυλλάδιο	0.552	0.226	0.391
broil	ψήνω στη σχάρα	0.510	0.404	0.330
broke	έσπασε	0.245	0.590	0.370
broken	σπασμένος	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	πληγωμένος	0.130	0.598	0.227
broker	μεσίτης	0.582	0.462	0.600
brokerage	μεσιτεία	0.479	0.500	0.500
bromide	βρωμιούχο	0.347	0.425	0.411
bronco	bronco	0.500	0.510	0.473
bronze	μπρούντζος	0.622	0.333	0.526
brooch	καρφίτσα	0.531	0.260	0.380
brood	γένος	0.633	0.519	0.434
brooding	περιπλάνηση	0.327	0.367	0.333
brook	ρυάκι	0.594	0.347	0.412
broom	σκούπα	0.385	0.154	0.302
broomstick	σκουπόξυλο	0.410	0.265	0.227
broth	ζωμός	0.500	0.245	0.168
brothel	πορνείο	0.255	0.886	0.418
brother	αδελφός	0.823	0.361	0.546
brotherhood	αδελφότητα	0.990	0.471	0.760
brotherly	αδελφικός	0.865	0.306	0.596
brow	μέτωπο	0.562	0.311	0.481
brown	καφέ	0.396	0.202	0.293
brownstone	brownstone	0.559	0.423	0.439
browse	ξεφυλλίζω	0.635	0.750	0.592
brrr	brrr	0.373	0.540	0.282
bruise	μώλωπας	0.133	0.640	0.474
bruising	μώλωπες	0.084	0.520	0.422
brunch	μεσημεριανό	0.406	0.363	0.343
brunette	μελαχροινή	0.802	0.528	0.529
brunt	ορμή	0.204	0.750	0.349
brush	βούρτσα	0.490	0.265	0.186
brutal	κτηνώδης	0.122	0.882	0.643
brutality	κτηνωδία	0.122	0.832	0.571
brute	κτήνος	0.115	0.547	0.379
brutish	ζωώδης	0.270	0.837	0.588
bubble	φυσαλλίδα	0.774	0.213	0.364
bubbling	φούσκωμα	0.500	0.438	0.384
bubbly	πομφολυγώδης	0.698	0.608	0.462
bubonic	βουβωνικός	0.280	0.530	0.394
buck	αίξ	0.677	0.577	0.720
buckaroo	βουκόλος	0.448	0.469	0.479
bucket	κάδος	0.408	0.167	0.336
buckle	πόρπη	0.416	0.373	0.361
buckled	λυγισμένο	0.427	0.358	0.439
bucko	bucko	0.439	0.455	0.465
buckshot	σκάγι	0.255	0.740	0.322
buckwheat	είδος σίκαλης	0.490	0.471	0.434
bud	μπουμπούκι	0.460	0.402	0.333
buddha	Βούδας	0.690	0.198	0.604
buddhism	βουδισμός	0.510	0.115	0.673
buddhist	βουδιστής	0.570	0.182	0.481
budding	εκκολαπτόμενοι	0.490	0.500	0.355
buddy	φίλε	0.884	0.585	0.655
budge	κινούμαι	0.719	0.755	0.543
budget	προϋπολογισμός	0.643	0.396	0.731
buff	βοός	0.561	0.425	0.361
buffalo	βουβάλι	0.469	0.528	0.527
buffer	ρυθμιστής	0.520	0.474	0.350
buffering	buffering	0.479	0.468	0.381
buffet	μπουφές	0.656	0.546	0.519
buffoon	παλιάτσος	0.344	0.651	0.290
bug	έντομο	0.286	0.500	0.246
bugaboo	φοβήτρο	0.439	0.491	0.441
bugged	Προσοχή	0.561	0.439	0.500
bugger	γαμώ	0.312	0.627	0.474
buggy	αμαξάκι	0.500	0.509	0.327
bugle	σάλπιγγα	0.479	0.588	0.391
bugler	σαλπιγκτής	0.542	0.540	0.393
build	χτίζω	0.771	0.546	0.806
builder	οικοδόμος	0.660	0.642	0.701
building	Κτίριο	0.705	0.288	0.673
buildings	κτίρια	0.582	0.380	0.552
buildup	συσσώρευση	0.490	0.509	0.623
bulb	βολβός	0.562	0.208	0.300
bulbous	βολβοειδής	0.390	0.442	0.430
bulge	προεξοχή	0.260	0.487	0.400
bulimic	bulimic	0.092	0.570	0.373
bulk	όγκος	0.469	0.413	0.509
bulkhead	διάφραγμα	0.312	0.425	0.402
bulky	ογκώδης	0.427	0.591	0.750
bull	ταύρος	0.521	0.640	0.644
bulldog	σκύλος μπουλντώκ	0.494	0.650	0.530
bulldozer	μπουλούκος	0.459	0.549	0.643
bullet	σφαίρα	0.408	0.794	0.634
bulletin	δελτίο	0.573	0.294	0.361
bulletproof	αλεξίσφαιρος	0.750	0.721	0.779
bullfighter	ταυρομάχος	0.448	0.794	0.664
bullfrog	βαθύφωνος βάτραχος	0.344	0.481	0.422
bullheaded	πεισματάρης	0.229	0.740	0.516
bullhorn	bullhorn	0.510	0.653	0.736
bullion	όγκος χρυσού ή άργυρου	0.693	0.558	0.729
bullock	ευνουχισμένος ταύρος	0.281	0.402	0.375
bullpen	bullpen	0.480	0.549	0.500
bullshit	μαλακίες	0.042	0.676	0.183
bully	νταής	0.257	0.755	0.564
bulwark	προπύργιο	0.551	0.552	0.675
bum	αλήτης	0.281	0.451	0.155
bumblebee	μέλισσα	0.469	0.493	0.321
bummed	bummed	0.296	0.430	0.227
bummer	bummer	0.163	0.500	0.267
bump	χτύπημα	0.286	0.458	0.368
bumper	προφυλακτήρας	0.385	0.573	0.518
bumpy	ανώμαλος	0.306	0.683	0.419
bun	NO TRANSLATION	0.424	0.306	0.268
bunch	δέσμη	0.552	0.358	0.473
bundle	δέσμη	0.510	0.343	0.434
bungalow	μπαγκάλοου	0.562	0.352	0.406
bungee	bungee	0.637	0.545	0.327
bunghole	bunghole	0.286	0.426	0.396
bunion	bunion	0.276	0.340	0.290
bunk	κουκέτα	0.438	0.332	0.339
bunker	ανθρακαποθήκη	0.375	0.673	0.773
bunkhouse	bunkhouse	0.470	0.414	0.407
bunny	λαγουδάκι	0.740	0.325	0.194
bunt	κτυπώ με το κεφάλι	0.417	0.422	0.349
buoy	σημαδούρα	0.562	0.280	0.284
buoyancy	πλευστότητα	0.625	0.373	0.538
buoyant	ελαφρός	0.625	0.441	0.497
bur	κολλιτσίδα	0.385	0.353	0.314
burden	βάρος	0.367	0.583	0.697
burdened	επιβαρύνονται	0.429	0.519	0.565
burdensome	επαχθής	0.229	0.696	0.419
bureau	γραφείο	0.562	0.373	0.618
bureaucracy	γραφειοκρατία	0.380	0.578	0.740
bureaucrat	γραφειοκράτης	0.208	0.519	0.598
bureaucratic	γραφειοκρατικός	0.280	0.630	0.573
burger	burger	0.688	0.568	0.398
burglar	διαρρήκτης	0.050	0.769	0.404
burglary	διάρρηξη	0.146	0.918	0.543
burial	ταφή	0.203	0.577	0.333
buried	θάβονται	0.133	0.530	0.370
burke	burke	0.466	0.441	0.451
burlap	λινάτσα	0.429	0.462	0.411
burlesque	γελοιοποιώ	0.327	0.615	0.343
burly	εύσωμος	0.562	0.650	0.750
burn	έγκαυμα	0.219	0.783	0.509
burned	καίγεται	0.163	0.603	0.347
burner	καυστήρας	0.296	0.816	0.446
burning	καύση	0.229	0.760	0.412
burnished	λουστραρισμένο	0.520	0.580	0.464
burnout	καύση	0.219	0.445	0.240
burnt	κάηκε	0.082	0.713	0.356
burp	ρέψιμο	0.219	0.594	0.432
burr	αγριάδα	0.390	0.426	0.308
burrito	burrito	0.688	0.294	0.166
burro	NO TRANSLATION	0.400	0.356	0.318
burrow	τρυπώνω	0.438	0.280	0.355
bursary	υποτροφία	0.729	0.462	0.571
burst	έκρηξη	0.156	0.894	0.845
bury	θάβω	0.077	0.571	0.346
bus	λεωφορείο	0.407	0.411	0.400
busboy	busboy	0.510	0.453	0.441
bush	θάμνος	0.413	0.220	0.315
bushel	βατσέλι	0.417	0.387	0.368
bushy	θαμνώδης	0.562	0.321	0.427
business	επιχείρηση	0.688	0.569	0.755
business man	NO TRANSLATION	0.530	0.598	0.933
businessman	επιχειρηματίας	0.653	0.510	0.802
businesswoman	επιχειρηματίας	0.719	0.500	0.764
busload	busload	0.561	0.481	0.492
buss	φίλημα	0.469	0.500	0.391
bust	προτομή	0.520	0.500	0.420
busted	σπάσει	0.204	0.676	0.345
buster	buster	0.469	0.491	0.483
bustle	φασαρία	0.347	0.814	0.445
bustling	πολυσύχναστο	0.490	0.850	0.528
busy	απασχολημένος	0.402	0.500	0.474
busybody	αλλοτριοπραγμών	0.255	0.634	0.472
butane	βουτάνιο	0.442	0.483	0.380
butcher	σφάζω	0.500	0.575	0.608
butler	μπάτλερ	0.469	0.225	0.438
butt	βαρέλι	0.347	0.725	0.336
butter	βούτυρο	0.650	0.292	0.202
buttercup	βατράχιο	0.562	0.482	0.422
butterfly	πεταλούδα	0.892	0.327	0.314
buttermilk	βουτυρόγαλα	0.633	0.311	0.304
butterscotch	butterscotch	0.708	0.510	0.356
buttery	κολακευτικός	0.625	0.318	0.303
buttock	γλουτός	0.429	0.600	0.288
buttocks	οπίσθια	0.458	0.677	0.365
button	κουμπί	0.520	0.220	0.343
buttress	αντιτείχισμα	0.438	0.684	0.721
buxom	ζωηρός	0.562	0.719	0.547
buy	αγορά	0.771	0.769	0.612
buyer	αγοραστής	0.613	0.519	0.649
buying	εξαγορά	0.665	0.784	0.589
buzz	βόμβος	0.333	0.686	0.375
buzzard	ιέραξ	0.350	0.500	0.225
buzzed	buzzed	0.583	0.549	0.448
buzzer	βομβητής	0.549	0.716	0.480
buzzing	buzzing	0.430	0.588	0.370
bye	αντίο	0.375	0.398	0.321
bygone	παρελθόν	0.229	0.310	0.315
bylaw	κανονισμός	0.469	0.373	0.725
byline	byline	0.469	0.450	0.435
bypass	παράκαμψη	0.429	0.418	0.353
bystander	θεατής	0.480	0.462	0.491
byte	ψηφιόλεξη	0.490	0.380	0.407
byzantine	βυζαντινός	0.546	0.443	0.492
cab	ταξί	0.438	0.490	0.421
cabal	κλίκα	0.500	0.406	0.573
cabana	cabana	0.698	0.296	0.407
cabaret	καμπαρέ	0.677	0.656	0.482
cabbage	λάχανο	0.398	0.225	0.264
cabbie	cabbie	0.521	0.417	0.429
cabernet	cabernet	0.543	0.420	0.480
cabin	καμπίνα	0.643	0.292	0.430
cabinet	υπουργικό συμβούλιο	0.552	0.306	0.465
cable	καλώδιο	0.583	0.245	0.434
caboodle	caboodle	0.529	0.521	0.325
caboose	βαγόνι σιδηροδρομικών υπαλλήλων	0.440	0.453	0.438
cabriolet	είδος άμαξας	0.667	0.525	0.472
cache	κρύπτη	0.552	0.348	0.389
cacophony	κακοφωνία	0.408	0.562	0.440
cactus	κάκτος	0.439	0.412	0.284
cad	παληάνθρωπος	0.447	0.406	0.404
cadaver	πτώμα	0.030	0.690	0.260
caddie	NO TRANSLATION	0.521	0.435	0.259
caddy	κουτί	0.580	0.470	0.380
cadence	ρυθμός	0.427	0.473	0.355
cadet	δόκιμος	0.504	0.393	0.664
cafe	καφενείο	0.781	0.392	0.358
cafeteria	καφετέρια	0.757	0.400	0.382
caffeine	καφεΐνη	0.562	0.759	0.500
cage	κλουβί	0.316	0.333	0.352
cagey	έξυπνος	0.542	0.363	0.582
cahoots	cowhoots	0.312	0.696	0.474
cairn	σωρός από πέτρες	0.260	0.435	0.254
cake	κέικ	0.810	0.375	0.287
cakewalk	είδος χορού	0.719	0.510	0.447
calamari	calamari	0.521	0.312	0.406
calamitous	καταστρεπτικός	0.219	0.685	0.500
calamity	συμφορά	0.122	0.795	0.343
calcareous	ασβεστώδης	0.490	0.368	0.462
calcium	ασβέστιο	0.600	0.346	0.479
calculate	υπολογίζω	0.490	0.452	0.440
calculated	υπολογίζεται	0.633	0.425	0.683
calculating	υπολογιστικός	0.458	0.430	0.625
calculation	υπολογισμός	0.646	0.453	0.606
calculator	αριθμομηχανή	0.513	0.283	0.588
calculus	λογισμός	0.360	0.360	0.562
calendar	Ημερολόγιο	0.480	0.212	0.473
calender	NO TRANSLATION	0.531	0.275	0.451
calf	μοσχάρι	0.531	0.366	0.336
caliber	διαμέτρημα	0.429	0.551	0.606
calibrate	μετρώ την διάμετρο	0.552	0.460	0.623
calico	τσίτι	0.406	0.338	0.491
calipers	διαβήτης	0.480	0.510	0.481
calisthenics	γυμναστική	0.562	0.663	0.545
call	κλήση	0.594	0.627	0.558
callback	επανάκλησης	0.524	0.529	0.434
caller	επισκέπτης	0.646	0.615	0.472
calligraphy	καλλιγραφία	0.620	0.216	0.500
calling	κλήση	0.646	0.590	0.483
callous	τυλώδης	0.245	0.500	0.386
calls	κλήσεις	0.608	0.431	0.551
calm	ηρεμία	0.875	0.100	0.282
calming	χαλάρωση	0.885	0.105	0.360
calmness	ηρεμία	0.934	0.105	0.394
caloric	θερμαντικός	0.327	0.483	0.448
calorie	θερμίδα	0.333	0.540	0.427
calorimeter	θερμιδόμετρο	0.406	0.560	0.414
cam	έκκεντρο	0.448	0.363	0.355
camaraderie	συντροφιά	0.833	0.510	0.648
camber	κύρτωμα	0.430	0.382	0.439
camcorder	βιντεοκάμερα	0.556	0.422	0.454
camel	καμήλα	0.540	0.282	0.314
cameo	καμέα	0.573	0.457	0.509
camera	ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ	0.640	0.288	0.379
cameraman	κάμεραμαν	0.542	0.452	0.542
camisole	καμιζόλα	0.497	0.250	0.375
camouflage	καμουφλάζ	0.438	0.585	0.450
camouflaged	NO TRANSLATION	0.350	0.422	0.562
camp	κατασκήνωση	0.622	0.617	0.594
campaign	καμπάνια	0.602	0.730	0.823
campaigner	εκστρατεύων	0.592	0.698	0.821
campaigning	εκστρατεία	0.531	0.663	0.741
camper	κατασκηνών	0.573	0.529	0.482
campfire	στρατόπεδο φωτιάς	0.677	0.509	0.436
camping	κατασκήνωση	0.653	0.529	0.480
campsite	κάμπινγκ	0.680	0.490	0.547
campus	πανεπιστημιούπολη	0.604	0.388	0.519
can	μπορώ	0.662	0.360	0.454
can opener	ανοιχτήρι	0.444	0.491	0.308
canal	κανάλι	0.673	0.259	0.321
canary	καναρίνι	0.582	0.276	0.265
cancel	Ματαίωση	0.214	0.306	0.368
canceling	ακύρωση	0.229	0.470	0.349
cancellation	ακύρωση	0.224	0.431	0.389
cancer	Καρκίνος	0.052	0.694	0.529
candid	ειλικρινής	0.667	0.349	0.458
candidacy	υποψηφιότητα	0.490	0.657	0.696
candidate	υποψήφιος	0.596	0.490	0.804
candied	γκλασέ	0.713	0.330	0.360
candle	κερί	0.602	0.221	0.344
candlelight	φως κεριών	0.789	0.294	0.417
candles	κεριά	0.615	0.206	0.268
candlestick	κηροπήγιο	0.448	0.531	0.534
candor	ειλικρίνεια	0.740	0.389	0.607
candy	καραμέλα	0.930	0.425	0.384
cane	μπαστούνι	0.459	0.298	0.398
canine	κυνικός	0.573	0.569	0.425
canister	κουτί	0.553	0.271	0.403
canker	σαράκι	0.262	0.469	0.427
cannabis	κάνναβης	0.271	0.500	0.564
canned	κονσερβοποιημένος	0.398	0.357	0.298
cannibal	ανθρωποφάγος	0.122	0.824	0.480
cannibalism	καννιβαλισμός	0.094	0.890	0.583
canning	κονσερβοποίηση	0.490	0.392	0.259
cannon	κανόνι	0.529	0.676	0.811
cannonball	οβίδα	0.344	0.840	0.759
canoe	κανό	0.542	0.300	0.418
canon	κανόνας	0.385	0.519	0.541
canonical	κανονικός	0.542	0.410	0.620
canons	κανόνα	0.385	0.588	0.593
canopy	θόλος	0.615	0.264	0.398
cantaloupe	πεπονάκι	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	καντίνα	0.688	0.600	0.514
canterbury	canterbury	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	υποστήριγμα	0.357	0.618	0.421
cantina	cantina	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	καντόνι	0.542	0.472	0.536
cantstandit	NO TRANSLATION	0.418	0.546	0.343
cantwin	cantwin	0.260	0.509	0.298
canvas	καμβάς	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	φαράγγι	0.468	0.731	0.634
cap	καπάκι	0.612	0.240	0.375
capability	ικανότητα	0.833	0.571	0.730
capable	ικανός	0.765	0.587	0.547
capacity	χωρητικότητα	0.719	0.411	0.806
cape	Ακρωτήρι	0.531	0.235	0.357
caper	κάππαρη	0.510	0.370	0.326
capillary	τριχοειδής	0.469	0.365	0.395
capital	κεφάλαιο	0.520	0.500	0.798
capitalism	καπιταλισμός	0.448	0.686	0.848
capitalist	καπιταλιστής	0.352	0.577	0.821
capitalize	κεφαλοποιώ	0.771	0.601	0.885
capitals	κεφαλαίων	0.755	0.500	0.655
capitation	κεφαλικός φόρος	0.479	0.529	0.589
capitol	καπιτώλιο	0.535	0.375	0.705
capitulation	συνθηκολόγηση	0.375	0.546	0.615
cappuccino	καπουτσίνο	0.792	0.279	0.384
caprice	καπρίτσιο	0.333	0.640	0.430
capricious	ιδιότροπος	0.221	0.650	0.500
caps	καλύμματα	0.510	0.221	0.368
capslock	κεφαλαία	0.330	0.394	0.398
capsule	κάψουλα	0.583	0.290	0.570
captain	Καπετάνιος	0.552	0.653	0.966
caption	λεζάντα	0.814	0.292	0.379
captivate	σαγηνεύω	0.698	0.604	0.723
captivating	γοητευτικό	0.895	0.594	0.816
captive	αιχμάλωτος	0.235	0.558	0.411
captivity	αιχμαλωσία	0.225	0.493	0.387
captor	αιχμαλωτίζων	0.347	0.625	0.612
capture	πιάνω	0.357	0.650	0.537
car	αυτοκίνητο	0.776	0.540	0.500
caramel	καραμέλλα	0.901	0.363	0.400
carat	καράτι	0.823	0.604	0.676
caravan	τροχόσπιτο	0.635	0.559	0.455
carbon	άνθρακας	0.604	0.360	0.350
carburetor	καρμπυρατέρ	0.469	0.612	0.555
carcass	σκελετός	0.115	0.529	0.309
carcinoma	καρκίνωμα	0.153	0.692	0.440
card	κάρτα	0.531	0.269	0.436
cardboard	χαρτόνι	0.500	0.173	0.309
cardiac	καρδιακός	0.344	0.765	0.615
cardigan	πλεκτή ζακέτα	0.599	0.324	0.264
cardinal	καρδινάλιος	0.583	0.358	0.712
cardiologist	καρδιολόγο	0.458	0.630	0.814
cardiology	καρδιολογία	0.203	0.545	0.605
cardiomyopathy	καρδιομυοπάθεια	0.177	0.645	0.537
cards	καρτέλλες	0.568	0.317	0.320
care	Φροντίδα	0.729	0.370	0.500
career	καριέρα	0.740	0.712	0.606
carefree	ανέμελος	0.755	0.220	0.500
careful	προσεκτικός	0.625	0.538	0.530
carefully	προσεκτικά	0.698	0.330	0.544
careless	απρόσεκτος	0.255	0.431	0.125
carelessness	απροσεξία	0.245	0.482	0.330
caress	χάδι, χαϊδεύω	0.833	0.418	0.509
caret	αγκύλη	0.656	0.402	0.527
caretaker	επιστάτης	0.714	0.531	0.759
cargo	φορτίο	0.408	0.444	0.455
caribou	καριμπού	0.562	0.452	0.342
caricature	καρικατούρα	0.604	0.373	0.383
caries	τερηδόνα	0.115	0.569	0.283
caring	φροντίδα	0.635	0.469	0.500
carjack	carjack	0.438	0.682	0.439
carnage	σφαγή	0.406	0.600	0.558
carnal	σαρκικός	0.417	0.679	0.421
carnation	γαρύφαλλο	0.653	0.357	0.431
carnival	καρναβάλι	0.927	0.888	0.555
carnivorous	σαρκοφάγος	0.224	0.613	0.651
carol	κάλαντα	0.673	0.412	0.436
carols	Κάλαντα	0.847	0.420	0.491
carousel	στροβιλοδρόμιο	0.704	0.500	0.412
carp	κυπρίνος	0.531	0.324	0.375
carpal	καρπικός	0.449	0.327	0.420
carpenter	ξυλουργός	0.521	0.550	0.519
carpentry	ξυλουργική	0.561	0.459	0.518
carpet	χαλί	0.520	0.170	0.339
carpeting	χαλιά	0.542	0.312	0.444
carpool	carpool	0.625	0.509	0.500
carriage	μεταφορά	0.650	0.538	0.491
carried	μεταφέρθηκε	0.490	0.382	0.534
carrier	φορέας	0.533	0.588	0.638
carrot	καρότο	0.500	0.235	0.279
carry	μεταφέρω	0.635	0.380	0.500
carrying	μεταφέρουν	0.656	0.557	0.443
carsick	αυτοκίνητο	0.224	0.574	0.255
cart	καροτσάκι	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	καρτέλ	0.438	0.394	0.602
carter	καροτσιέρης	0.312	0.480	0.431
cartilage	χόνδρος αρθρώσεων	0.438	0.370	0.407
cartographic	χαρτογραφική	0.490	0.348	0.424
cartography	χαρτογραφία	0.520	0.300	0.579
carton	χαρτοκιβώτιο	0.286	0.186	0.241
cartoon	ΚΙΝΟΥΜΕΝΟ ΣΧΕΔΙΟ	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	φυσίγγιο	0.458	0.500	0.407
carve	κόβω	0.469	0.443	0.598
carver	χαράκτης	0.418	0.500	0.500
carving	σκάλισμα	0.541	0.444	0.368
cascade	αλληλουχία	0.735	0.509	0.395
case	υπόθεση	0.427	0.275	0.441
casein	κασεΐνη	0.470	0.436	0.415
cash	μετρητά	0.867	0.552	0.714
cashier	ταμίας	0.615	0.413	0.484
cashmere	κασμίρι	0.653	0.452	0.439
casing	θήκη	0.458	0.327	0.328
casino	καζίνο	0.542	0.684	0.568
cask	βαρέλι	0.490	0.398	0.444
casket	φέρετρο	0.125	0.490	0.346
casserole	κατσαρόλα	0.570	0.360	0.328
cassette	κασέτα	0.490	0.334	0.355
cast	εκμαγείο	0.558	0.620	0.517
castaway	ναυαγός	0.208	0.646	0.422
caste	κοινωνική τάξη	0.510	0.333	0.374
caster	τροχίσκος	0.604	0.670	0.647
castle	κάστρο	0.680	0.396	0.718
castor	κάστορας	0.583	0.337	0.368
castrate	ευνουχίζω	0.177	0.485	0.519
castration	ευνουχισμός	0.198	0.735	0.381
casual	ανέμελος	0.643	0.224	0.385
casually	ανέμελα	0.658	0.290	0.333
casualty	ατύχημα	0.235	0.274	0.132
cat	Γάτα	0.667	0.260	0.370
catabolism	καταβολισμός	0.265	0.573	0.605
catalog	κατάλογος	0.561	0.221	0.573
catalogue	κατάλογος	0.647	0.327	0.533
catalysis	κατάλυση	0.385	0.559	0.531
catalyst	καταλύτης	0.604	0.509	0.585
catalytic	καταλυτικός	0.562	0.519	0.563
catamaran	είδος σχεδίας	0.571	0.566	0.526
catapult	καταπέλτης	0.480	0.830	0.649
cataract	καταρράκτης	0.406	0.545	0.549
catastrophe	καταστροφή	0.146	0.952	0.670
catastrophic	καταστροφικός	0.071	0.934	0.598
catatonic	κατατονική	0.255	0.500	0.509
catch	σύλληψη	0.531	0.437	0.552
catcher	συλλέκτης	0.653	0.413	0.540
catching	ελκυστικός	0.490	0.788	0.644
catchphrase	catchphrase	0.698	0.423	0.433
catchy	συναρπαστικός	0.677	0.441	0.462
catechism	κατήχηση	0.656	0.236	0.613
categorical	κατηγορηματικός	0.615	0.442	0.760
category	κατηγορία	0.571	0.264	0.521
cater	προμηθεύω	0.802	0.500	0.509
caterer	τροφοδότης	0.550	0.557	0.644
caterpillar	κάμπια	0.461	0.286	0.330
cates	τα κράτη μέλη	0.370	0.394	0.407
catfish	λυκόψαρο	0.458	0.337	0.296
cathartic	καθαρτικό	0.450	0.510	0.604
cathedral	καθεδρικός ναός	0.598	0.330	0.643
catheter	καθετήρας	0.336	0.491	0.373
catholic	καθολικός	0.646	0.240	0.575
cathouse	cathouse	0.327	0.375	0.363
catnip	είδος δυόσμου	0.439	0.381	0.296
cattle	βοοειδή	0.622	0.340	0.445
catwalk	πασαρέλα	0.698	0.436	0.464
caucus	κομματική διοίκηση	0.418	0.311	0.491
caudal	ουράς	0.500	0.425	0.583
cauldron	καζάνι	0.510	0.486	0.418
cauliflower	κουνουπίδι	0.448	0.255	0.231
caulk	βουλώνω	0.367	0.500	0.418
causal	αιτιώδης συνάφεια	0.562	0.367	0.491
causality	αιτιότητα	0.500	0.378	0.336
causation	αιτία	0.562	0.480	0.567
cause	αιτία	0.469	0.373	0.486
caused	προκαλούνται	0.344	0.520	0.382
causeway	υψωμένη οδός	0.453	0.382	0.422
caution	Προσοχή	0.552	0.712	0.547
cautionary	προειδοποιητικός	0.510	0.541	0.519
cautious	προσεκτικός	0.470	0.445	0.517
cautiously	με προσοχή	0.510	0.388	0.525
cavalier	ιππότης	0.735	0.462	0.713
cavalry	ιππικό	0.667	0.727	0.794
cave	σπήλαιο	0.459	0.333	0.380
caveat	ανακοπή	0.344	0.629	0.484
caveman	αγριάνθρωπος	0.235	0.644	0.482
cavern	σπήλαιο	0.323	0.360	0.365
cavernous	σπηλαιώδης	0.354	0.548	0.462
caviar	χαβιάρι	0.906	0.394	0.481
caving	καθίζηση	0.378	0.491	0.551
cavity	κοιλότητα	0.466	0.385	0.379
cayenne	κόκκινο πιπέρι	0.615	0.306	0.355
cease	παύω	0.388	0.250	0.420
ceasefire	εκεχειρία	0.542	0.594	0.567
ceaseless	ακατάπαυστος	0.378	0.704	0.658
