Word	Swedish-sv	Valence	Arousal	Dominance
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	patron	0.458	0.500	0.407
carve	rista	0.469	0.443	0.598
carver	carver	0.418	0.500	0.500
carving	träsnideri	0.541	0.444	0.368
cascade	kaskad	0.735	0.509	0.395
case	fall	0.427	0.275	0.441
casein	kasein	0.470	0.436	0.415
cash	kontanter	0.867	0.552	0.714
cashier	kassör	0.615	0.413	0.484
cashmere	kaschmir	0.653	0.452	0.439
casing	hölje	0.458	0.327	0.328
casino	kasino	0.542	0.684	0.568
cask	fat	0.490	0.398	0.444
casket	skrin	0.125	0.490	0.346
casserole	gryta	0.570	0.360	0.328
cassette	kassett	0.490	0.334	0.355
cast	kasta	0.558	0.620	0.517
castaway	kasta bort	0.208	0.646	0.422
caste	kast	0.510	0.333	0.374
caster	hjul	0.604	0.670	0.647
castle	slott	0.680	0.396	0.718
castor	hjul	0.583	0.337	0.368
castrate	kastrera	0.177	0.485	0.519
castration	kastrering	0.198	0.735	0.381
casual	tillfällig	0.643	0.224	0.385
casually	vardagligt	0.658	0.290	0.333
casualty	skadade	0.235	0.274	0.132
cat	katt	0.667	0.260	0.370
catabolism	katabolism	0.265	0.573	0.605
catalog	katalog	0.561	0.221	0.573
catalogue	katalog	0.647	0.327	0.533
catalysis	katalys	0.385	0.559	0.531
catalyst	katalysator	0.604	0.509	0.585
catalytic	katalytisk	0.562	0.519	0.563
catamaran	katamaran	0.571	0.566	0.526
catapult	katapult	0.480	0.830	0.649
cataract	grå starr	0.406	0.545	0.549
catastrophe	katastrof	0.146	0.952	0.670
catastrophic	katastrofal	0.071	0.934	0.598
catatonic	katatonisk	0.255	0.500	0.509
catch	fånga	0.531	0.437	0.552
catcher	stoppare	0.653	0.413	0.540
catching	fångst	0.490	0.788	0.644
catchphrase	slagord	0.698	0.423	0.433
catchy	catchy	0.677	0.441	0.462
catechism	katekes	0.656	0.236	0.613
categorical	kategorisk	0.615	0.442	0.760
category	kategori	0.571	0.264	0.521
cater	tillgodose	0.802	0.500	0.509
caterer	matleverantör	0.550	0.557	0.644
caterpillar	larv	0.461	0.286	0.330
cates	cates	0.370	0.394	0.407
catfish	havskatt	0.458	0.337	0.296
cathartic	renande	0.450	0.510	0.604
cathedral	katedral	0.598	0.330	0.643
catheter	kateter	0.336	0.491	0.373
catholic	katolik	0.646	0.240	0.575
cathouse	Cathouse	0.327	0.375	0.363
catnip	kattmynta	0.439	0.381	0.296
cattle	nötkreatur	0.622	0.340	0.445
catwalk	catwalk	0.698	0.436	0.464
caucus	förberedande valmöte	0.418	0.311	0.491
caudal	caudal	0.500	0.425	0.583
cauldron	kittel	0.510	0.486	0.418
cauliflower	blomkål	0.448	0.255	0.231
caulk	täta	0.367	0.500	0.418
causal	orsaks	0.562	0.367	0.491
causality	orsakssamband	0.500	0.378	0.336
causation	orsakssamband	0.562	0.480	0.567
cause	orsak	0.469	0.373	0.486
caused	orsakad	0.344	0.520	0.382
causeway	gångbro	0.453	0.382	0.422
caution	varning	0.552	0.712	0.547
cautionary	varnande	0.510	0.541	0.519
cautious	försiktig	0.470	0.445	0.517
cautiously	försiktigt	0.510	0.388	0.525
cavalier	stolt	0.735	0.462	0.713
cavalry	kavalleri	0.667	0.727	0.794
cave	grotta	0.459	0.333	0.380
caveat	varning	0.344	0.629	0.484
caveman	caveman	0.235	0.644	0.482
cavern	grotta	0.323	0.360	0.365
cavernous	IHÅLIG	0.354	0.548	0.462
caviar	kaviar	0.906	0.394	0.481
caving	grottforskning	0.378	0.491	0.551
cavity	hålighet	0.466	0.385	0.379
cayenne	kajenn	0.615	0.306	0.355
cease	upphöra	0.388	0.250	0.420
ceasefire	eldupphör	0.542	0.594	0.567
ceaseless	oupphörlig	0.378	0.704	0.658
cedar	ceder	0.560	0.267	0.577
cede	avstå	0.275	0.327	0.402
ceiling	tak	0.520	0.224	0.366
celebrant	celebrant	0.865	0.656	0.643
celebrate	fira	0.917	0.857	0.859
celebrated	berömd	0.875	0.690	0.763
celebrating	fira	0.927	0.860	0.773
celebration	firande	0.939	0.824	0.880
celebrations	fester	0.958	0.794	0.714
celebratory	högtidlig	0.857	0.653	0.845
celebrity	kändis	0.760	0.619	0.855
celery	selleri	0.396	0.147	0.223
celestial	himmelsk	0.817	0.360	0.731
celibacy	celibat	0.302	0.276	0.509
celibate	ogift	0.419	0.387	0.391
cell	cell	0.541	0.375	0.465
cellar	källare	0.510	0.277	0.406
cellblock	cellblock	0.186	0.570	0.500
cellist	cellist	0.667	0.500	0.486
cellmate	cellmate	0.167	0.684	0.349
cello	cello	0.635	0.324	0.528
cellophane	cellofan	0.648	0.282	0.289
cellular	cellulär	0.643	0.398	0.517
cellulite	celluliter	0.200	0.384	0.256
celluloid	celluloid	0.469	0.440	0.425
cement	cement	0.544	0.265	0.527
cemented	cementerade	0.429	0.382	0.537
cemetery	kyrkogård	0.051	0.630	0.417
censor	censurera	0.344	0.276	0.538
censorship	censur	0.219	0.698	0.421
censure	klander	0.219	0.653	0.417
census	folkräkning	0.449	0.289	0.553
cent	cent	0.439	0.367	0.402
centenary	hundraårsjubileum	0.604	0.440	0.642
centennial	hundraårig	0.583	0.394	0.700
center	Centrum	0.643	0.231	0.431
centerfold	centerfold	0.571	0.407	0.485
centerpiece	mittpunkten	0.594	0.208	0.520
centimeter	centimeter	0.427	0.280	0.380
centipede	tusenfoting	0.296	0.399	0.361
central	central	0.640	0.356	0.621
centrality	centra	0.571	0.312	0.709
centralization	centralisering	0.521	0.440	0.702
centralize	centralisera	0.684	0.427	0.802
centrally	centralt	0.729	0.280	0.700
centrifugal	centrifugal	0.306	0.651	0.480
centrifuge	centrifug	0.495	0.622	0.527
centurion	centurion	0.590	0.447	0.696
century	århundrade	0.407	0.347	0.735
ceramic	keramisk	0.521	0.255	0.371
ceramics	keramik	0.573	0.250	0.373
cereal	flingor	0.612	0.206	0.316
cereals	spannmål	0.719	0.224	0.311
cerebral	cerebral	0.408	0.509	0.627
ceremonial	ceremoniell	0.771	0.540	0.691
ceremony	ceremoni	0.760	0.559	0.761
certain	vissa	0.760	0.358	0.673
certainty	säkerhet	0.781	0.400	0.769
certifiable	certifierbar	0.714	0.427	0.662
certificate	certifikat	0.786	0.377	0.746
certified	auktoriserad	0.781	0.422	0.806
certify	intyga	0.866	0.400	0.746
cervical	cervical	0.375	0.413	0.445
cervix	cervix	0.429	0.360	0.340
cess	cess	0.427	0.375	0.406
cessation	upphörande	0.414	0.385	0.358
cesspool	avloppsbrunn	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	agnar	0.333	0.327	0.188
chafing	skav	0.430	0.415	0.368
chagrin	förtret	0.104	0.704	0.472
chagrined	chagrined	0.112	0.745	0.361
chai	chai	0.500	0.375	0.363
chain	kedja	0.378	0.500	0.547
chainsaw	motorsåg	0.367	0.804	0.636
chair	stol	0.562	0.082	0.276
chairman	ordförande	0.656	0.567	0.933
chairperson	ordförande	0.730	0.657	0.966
chairwoman	kvinnlig ordförande	0.719	0.664	0.953
chaise	schäs	0.406	0.349	0.327
chalet	chalet	0.653	0.349	0.278
chalice	bägare	0.633	0.286	0.529
chalk	krita	0.385	0.185	0.121
challenge	utmaning	0.469	0.922	0.713
challenger	utmanare	0.417	0.755	0.652
chamber	kammare	0.583	0.373	0.455
chambermaid	Kammarsnärtas	0.594	0.375	0.336
chambers	kammare	0.542	0.442	0.388
chameleon	kameleont	0.490	0.580	0.345
champ	mästare	0.854	0.754	0.896
champagne	champagne	0.760	0.600	0.454
champion	mästare	0.890	0.880	0.945
championship	mästerskap	0.833	0.800	0.880
chance	chans	0.833	0.551	0.525
chancellor	kansler	0.646	0.500	0.887
chandelier	kristallkrona	0.615	0.542	0.366
chandler	chandler	0.510	0.452	0.454
change	Byta	0.625	0.575	0.606
changeable	föränderlig	0.490	0.480	0.528
changed	ändrats	0.594	0.375	0.491
changer	växlare	0.583	0.519	0.567
changing	skiftande	0.571	0.569	0.461
channel	kanalisera	0.490	0.287	0.405
chant	sång	0.771	0.698	0.650
chaos	kaos	0.016	0.923	0.373
chaotic	kaotisk	0.115	0.847	0.442
chap	kille	0.550	0.410	0.345
chapel	kapell	0.573	0.240	0.440
chaperon	förkläde	0.500	0.520	0.404
chaplain	kaplan	0.582	0.370	0.577
chapman	gårdfarihandlare	0.562	0.529	0.465
chaps	käkar	0.350	0.462	0.350
chapter	kapitel	0.580	0.308	0.461
char	röding	0.554	0.361	0.404
character	karaktär	0.667	0.373	0.686
characteristic	karakteristisk	0.583	0.328	0.538
characterize	karakterisera	0.729	0.471	0.735
charade	charad	0.458	0.550	0.346
charcoal	träkol	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	avgift	0.510	0.633	0.785
chargeable	avgift	0.551	0.550	0.453
charger	laddare	0.531	0.418	0.545
chariot	stridsvagn	0.684	0.550	0.491
charisma	karisma	0.938	0.591	0.759
charismatic	karismatiska	0.938	0.684	0.849
charitable	välgörande	0.865	0.380	0.593
charity	välgörenhet	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	charm	0.833	0.363	0.649
charmed	betagen	0.938	0.570	0.769
charmer	charmör	0.882	0.683	0.782
charming	charmig	0.917	0.660	0.764
charred	förkolnade	0.208	0.676	0.373
chart	Diagram	0.469	0.317	0.330
charter	charter	0.677	0.382	0.518
chartered	auktoriserad	0.569	0.460	0.490
chase	jaga	0.396	0.878	0.623
chased	jagade	0.188	0.830	0.287
chaser	chaser	0.375	0.830	0.645
chasm	klyfta	0.265	0.579	0.500
chassis	chassi	0.406	0.342	0.444
chaste	kysk	0.408	0.248	0.453
chastened	luttrad	0.156	0.580	0.345
chastisement	straff	0.156	0.852	0.462
chastity	kyskhet	0.469	0.392	0.509
chat	chatt	0.729	0.400	0.346
chateau	slott	0.615	0.464	0.702
chatter	prat	0.560	0.450	0.347
chatterbox	chatterbox	0.459	0.548	0.482
chattering	chatte	0.460	0.663	0.304
chatty	pratsam	0.594	0.548	0.345
chauffeur	chaufför	0.500	0.353	0.471
chauvinist	chauvinist	0.310	0.539	0.527
cheap	billig	0.612	0.471	0.272
cheapened	cheapened	0.471	0.611	0.282
cheapskate	billig skridsko	0.148	0.482	0.327
cheat	fuska	0.125	0.776	0.400
cheater	fuskare	0.104	0.920	0.333
check	kolla upp	0.523	0.552	0.602
checkbook	checkhäfte	0.552	0.284	0.364
checker	checker	0.330	0.417	0.553
checkered	rutig	0.459	0.316	0.336
checkers	dam	0.676	0.451	0.437
checklist	checklista	0.561	0.521	0.552
checkmate	schackmatt	0.667	0.708	0.750
checkout	checka ut	0.597	0.510	0.670
checkpoint	kontrollstation	0.571	0.323	0.812
checkup	kolla upp	0.500	0.435	0.491
cheek	kind	0.670	0.314	0.421
cheeks	kinder	0.708	0.324	0.282
cheeky	fräck	0.434	0.679	0.410
cheep	billiga	0.367	0.380	0.373
cheer	heja på	0.938	0.784	0.845
cheered	jublade	0.875	0.648	0.790
cheerful	glad	0.990	0.720	0.696
cheerfulness	gladlynthet	0.969	0.802	0.675
cheering	glädjande	0.815	0.824	0.642
cheerleader	cheerleader	0.923	0.746	0.657
cheerleading	cheerleading	0.698	0.769	0.404
cheerless	glädjelös	0.204	0.373	0.167
cheers	Skål	0.948	0.770	0.702
cheery	glad	0.949	0.657	0.486
cheese	ost	0.740	0.280	0.281
cheeseburger	ostburgare	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	ostliknande	0.470	0.471	0.179
cheetah	gepard	0.469	0.770	0.667
chef	kock	0.854	0.411	0.570
chemical	kemisk	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	kemist	0.408	0.575	0.610
chemistry	kemi	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	kemoterapi	0.163	0.689	0.517
cheque	kolla upp	0.698	0.529	0.660
cherish	vårda	0.896	0.491	0.652
cherishing	cherishing	0.836	0.380	0.625
cherry	körsbär	0.688	0.186	0.250
cherub	kerub	0.663	0.340	0.455
chess	schack	0.656	0.363	0.518
chest	bröst	0.520	0.429	0.481
chestnut	kastanj	0.714	0.210	0.294
chevron	sparre	0.469	0.469	0.598
chew	Tugga	0.520	0.490	0.404
chewy	seg	0.625	0.418	0.390
chic	chic	0.870	0.624	0.380
chicane	chikan	0.357	0.460	0.481
chick	brud	0.771	0.602	0.387
chicken	kyckling	0.594	0.306	0.394
chicken pox	vattkoppor	0.194	0.510	0.415
chickenpox	vattkoppor	0.173	0.562	0.357
chief	chef	0.520	0.544	0.869
chiefly	huvudsakligen	0.600	0.587	0.764
chieftain	hövding	0.343	0.529	0.860
chiffon	chiffong	0.406	0.230	0.250
child	barn	0.912	0.460	0.413
childbirth	förlossning	0.604	0.861	0.673
childhood	barndom	0.865	0.413	0.307
childish	barnslig	0.573	0.442	0.230
childless	utan barn	0.310	0.400	0.396
childlike	barnslig	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	barn	0.857	0.538	0.435
chili	chili	0.592	0.566	0.433
chill	kyla	0.837	0.206	0.482
chilled	kyld	0.521	0.340	0.482
chilling	kylning	0.208	0.850	0.358
chilly	kyligt	0.329	0.459	0.408
chime	klämta	0.573	0.541	0.464
chimera	chimär	0.292	0.582	0.372
chimes	chimes	0.625	0.490	0.402
chimney	skorsten	0.583	0.286	0.225
chimp	schimpans	0.394	0.588	0.345
chimpanzee	schimpans	0.500	0.633	0.387
chin	haka	0.571	0.310	0.269
china	Kina	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	chip	0.479	0.382	0.452
chipmunk	jordekorre	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	flisning	0.354	0.452	0.353
chiropractor	kiropraktor	0.420	0.549	0.651
chirp	kvittra	0.469	0.602	0.365
chirping	kvitter	0.500	0.463	0.360
chisel	mejsel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	småprat	0.673	0.455	0.403
chivalry	ridderlighet	0.857	0.380	0.848
chloride	klorid	0.265	0.387	0.474
chlorine	klor	0.306	0.327	0.332
chloroform	kloroform	0.281	0.370	0.393
chocolate	choklad	0.885	0.480	0.418
choice	val	0.745	0.520	0.664
choir	kör	0.704	0.298	0.473
choke	sätta i halsen	0.167	0.788	0.676
cholera	kolera	0.020	0.867	0.507
cholesterol	kolesterol	0.198	0.583	0.398
choose	välja	0.615	0.542	0.648
choosing	välja	0.719	0.529	0.689
choosy	sparsmakad	0.280	0.760	0.712
chop	hacka	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	hack	0.560	0.625	0.362
chops	käft	0.612	0.420	0.269
choral	kor-	0.852	0.290	0.421
chord	ackord	0.729	0.394	0.539
chords	ackord	0.639	0.406	0.388
chore	Syssla	0.406	0.462	0.500
choreographer	koreograf	0.646	0.639	0.625
choreography	koreografi	0.812	0.750	0.547
chorus	kör	0.620	0.417	0.500
chosen	valt	0.865	0.449	0.833
chow	käk	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	kristus	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	dop	0.725	0.382	0.650
christian	kristen	0.760	0.241	0.591
christmas	jul	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	jultid	0.837	0.588	0.515
chromatic	kromatisk	0.407	0.413	0.435
chromatography	kromatografi	0.480	0.537	0.535
chrome	krom	0.582	0.373	0.421
chromium	krom	0.458	0.404	0.447
chromosome	kromosom	0.500	0.296	0.548
chronic	kronisk	0.255	0.615	0.464
chronicle	krönika	0.427	0.571	0.586
chronograph	kronograf	0.500	0.392	0.529
chronological	kronologisk	0.594	0.445	0.600
chubby	knubbig	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	skrocka	0.844	0.736	0.481
chug	puttra	0.401	0.413	0.358
chum	kamrat	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	bit	0.365	0.287	0.214
chunky	tjock	0.520	0.517	0.509
church	kyrka	0.708	0.198	0.610
churchyard	kyrkogård	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	ränna	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	cider	0.530	0.346	0.398
cigar	cigarr	0.306	0.463	0.346
cigarette	cigarett	0.219	0.528	0.304
cilantro	Koriander	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	slagg	0.350	0.260	0.157
cinema	bio	0.698	0.538	0.500
cinematic	filmiska	0.663	0.490	0.600
cinematographer	filmfotograf	0.792	0.455	0.711
cinematography	filmkonst	0.781	0.571	0.625
cinnamon	kanel	0.600	0.250	0.292
cipher	chiffer	0.490	0.414	0.500
circle	cirkel	0.480	0.290	0.343
circling	cirkulerande	0.510	0.654	0.336
circuit	krets	0.586	0.461	0.707
circuitry	kretsar	0.596	0.615	0.536
circular	cirkulär	0.562	0.342	0.417
circulate	cirkulera	0.612	0.388	0.320
circulation	omlopp	0.735	0.520	0.657
circulatory	cirkulations-	0.592	0.575	0.545
circumcision	omskärelse	0.327	0.657	0.528
circumference	omkrets	0.458	0.255	0.488
circumferential	omkrets	0.551	0.422	0.509
circumscribed	omskriven	0.365	0.539	0.569
circumstance	omständighet	0.520	0.565	0.596
circumstances	omständigheter	0.562	0.527	0.464
circumstantial	omständlig	0.500	0.538	0.519
circumvent	kringgå	0.316	0.642	0.383
circumvention	kringgående	0.531	0.571	0.473
circus	Cirkus	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirros	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	cistern	0.541	0.413	0.432
citadel	citadell	0.585	0.464	0.602
citation	citat	0.570	0.549	0.508
cite	citera	0.625	0.454	0.532
citizen	medborgare	0.631	0.250	0.586
citizenship	medborgarskap	0.786	0.404	0.723
citrine	citrin	0.375	0.400	0.420
citrus	citrus-	0.469	0.368	0.375
city	stad	0.847	0.531	0.508
citywide	över hela staden	0.592	0.509	0.707
civic	medborgerlig	0.653	0.240	0.573
civics	samhällskunskap	0.700	0.279	0.720
civil	civil	0.521	0.281	0.517
civilian	civil	0.700	0.229	0.598
civilians	civila	0.490	0.448	0.525
civility	hövlighet	0.760	0.306	0.679
civilization	civilisation	0.823	0.452	0.839
civilized	civiliserad	0.792	0.231	0.796
clad	pläterade	0.583	0.373	0.481
claim	krav	0.255	0.760	0.473
claimant	sökande	0.271	0.690	0.779
clairvoyant	klärvoajant	0.765	0.531	0.897
clam	mussla	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	fuktig och klibbig	0.354	0.440	0.236
clamor	larm	0.438	0.643	0.360
clamp	klämma	0.541	0.388	0.454
clan	klan	0.562	0.491	0.686
clandestine	hemlig	0.425	0.677	0.469
clang	klang	0.459	0.520	0.510
clap	klappa	0.779	0.731	0.529
clapper	kläpp	0.500	0.229	0.420
clapping	applåder	0.823	0.894	0.686
clarification	klargörande	0.802	0.461	0.613
clarify	klargöra	0.652	0.535	0.625
clarinet	klarinett	0.592	0.453	0.411
clarion	clarion	0.500	0.443	0.422
clarity	klarhet	0.796	0.310	0.631
clash	krock	0.293	0.918	0.453
clashing	kolliderar	0.177	0.764	0.575
clasp	lås	0.448	0.375	0.241
class	klass	0.656	0.314	0.522
classic	klassisk	0.690	0.260	0.611
classic rock	klassisk rock	0.729	0.571	0.588
classical	klassisk	0.643	0.198	0.536
classics	klassiker	0.750	0.333	0.510
classification	klassificering	0.583	0.423	0.613
classified	klassificerad	0.571	0.460	0.663
classify	klassificera	0.646	0.411	0.720
classmate	klasskompis	0.781	0.400	0.593
classroom	klassrum	0.539	0.292	0.363
classy	flott	0.917	0.410	0.649
clatter	slammer	0.418	0.820	0.387
clause	klausul	0.480	0.409	0.528
clauses	klausuler	0.449	0.429	0.545
claustrophobia	klaustrofobi	0.125	0.840	0.333
claustrophobic	klaustrofobisk	0.092	0.755	0.400
clavicle	nyckelben	0.398	0.400	0.452
claw	klo	0.260	0.600	0.598
claws	klor	0.281	0.698	0.562
clay	lera	0.542	0.250	0.267
clean	rena	0.827	0.170	0.500
cleaner	rengöringsmedel	0.604	0.556	0.375
cleaning	rengöring	0.595	0.396	0.427
cleanliness	renlighet	0.816	0.363	0.609
cleanly	rent	0.823	0.352	0.583
cleanse	rengöra	0.625	0.310	0.660
cleanser	rengöringsmedel	0.604	0.353	0.433
cleansing	rensning	0.729	0.298	0.472
cleanup	städa	0.729	0.314	0.451
clear	klar	0.857	0.327	0.573
clearance	spel	0.542	0.459	0.473
clearing	clearing	0.680	0.333	0.509
clearness	klarhet	0.875	0.316	0.689
cleat	knap	0.486	0.260	0.361
cleavage	klyvning	0.542	0.602	0.454
cleave	klyva	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	klav	0.615	0.360	0.595
cleft	klyfta	0.306	0.442	0.360
clemency	mildhet	0.594	0.417	0.397
clench	knyta	0.438	0.618	0.580
clergy	präster	0.531	0.312	0.575
clergyman	präst	0.594	0.330	0.556
cleric	präst	0.521	0.324	0.589
clerical	prästerlig	0.520	0.396	0.491
clerk	kontorist	0.500	0.579	0.509
clerkship	clerkship	0.582	0.380	0.596
clever	duktig	0.896	0.353	0.729
cleverness	skicklighet	0.878	0.509	0.921
click	klick	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	klient	0.583	0.450	0.618
clientele	klientel	0.625	0.577	0.508
cliff	klippa	0.361	0.620	0.509
climate	klimat	0.635	0.240	0.483
climatology	klimatologi	0.531	0.367	0.541
climax	klimax	0.735	0.853	0.667
climb	klättra	0.615	0.660	0.604
climber	klättrare	0.573	0.716	0.735
clinch	clinch	0.469	0.538	0.430
cling	hålla fast	0.417	0.620	0.588
clingy	klängig	0.224	0.460	0.370
clinic	klinik	0.469	0.439	0.600
clinical	klinisk	0.337	0.412	0.640
clink	klirra	0.458	0.462	0.319
clip	klämma	0.438	0.310	0.381
clipboard	Urklipp	0.594	0.255	0.423
clipper	klippare	0.293	0.422	0.383
clipping	klippning	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	klitoris	0.625	0.844	0.464
cloak	dölja	0.469	0.188	0.333
cloaking	cloaking	0.521	0.595	0.389
cloakroom	garderob	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	klocka	0.677	0.173	0.407
clockwork	urverk	0.490	0.373	0.528
clod	klump	0.375	0.404	0.365
clog	täppa till	0.104	0.618	0.454
cloister	kloster	0.438	0.413	0.475
clone	klona	0.406	0.471	0.524
cloning	kloning	0.216	0.696	0.679
close	stänga	0.292	0.260	0.263
closed	stängd	0.240	0.164	0.318
closeness	närhet	0.796	0.237	0.450
closet	garderob	0.531	0.204	0.330
closure	stängning	0.229	0.220	0.412
clot	koagulera	0.150	0.558	0.275
cloth	trasa	0.510	0.190	0.287
clothe	kläda	0.797	0.330	0.481
clothes	kläder	0.833	0.270	0.414
clothesline	klädstreck	0.582	0.324	0.366
clothing	Kläder	0.750	0.343	0.407
cloud	moln	0.740	0.133	0.342
clouded	fördunklad	0.240	0.213	0.302
cloudiness	grumlighet	0.469	0.250	0.343
clouds	moln	0.735	0.195	0.324
cloudy	molnig	0.281	0.280	0.202
clout	slagkraft	0.584	0.636	0.704
clove	kryddnejlika	0.439	0.296	0.315
clover	klöver	0.605	0.340	0.364
cloves	kryddnejlika	0.427	0.218	0.396
clown	clown	0.650	0.598	0.300
clowns	clowner	0.600	0.673	0.391
club	klubb	0.646	0.618	0.393
clubhouse	klubbhus	0.694	0.571	0.493
clubs	klubbar	0.723	0.530	0.591
cluck	skrocka	0.390	0.490	0.353
clue	ledtråd	0.653	0.380	0.412
clueless	aningslös	0.350	0.333	0.161
clump	klump	0.551	0.480	0.582
clumsy	klumpig	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	klunga	0.490	0.458	0.446
clutch	koppling	0.383	0.500	0.491
clutches	kopplingar	0.542	0.373	0.528
clutter	röran	0.135	0.598	0.400
coach	tränare	0.633	0.823	0.735
coachman	kusk	0.479	0.394	0.509
coagulation	koagulering	0.381	0.558	0.436
coal	kol	0.360	0.241	0.340
coalesce	växa samman	0.479	0.434	0.529
coalition	koalition	0.490	0.730	0.673
coarse	grov	0.333	0.481	0.481
coast	kust	0.719	0.396	0.458
coastal	kust	0.604	0.370	0.510
coaster	underlägg	0.612	0.788	0.627
coastline	kustlinje	0.745	0.282	0.441
coat	täcka	0.677	0.256	0.464
coating	beläggning	0.620	0.440	0.596
coax	lirka	0.367	0.400	0.447
cobalt	kobolt	0.408	0.325	0.441
cobble	kullersten	0.448	0.385	0.368
cobbler	skomakare	0.510	0.415	0.318
cobra	kobra	0.312	0.712	0.600
cocaine	kokain	0.156	0.840	0.373
cock	kuk	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	cockpit	0.520	0.424	0.343
cockroach	kackerlacka	0.188	0.667	0.196
cocksucker	kuksugare	0.083	0.764	0.339
cocktail	cocktail	0.740	0.480	0.381
cocky	kaxig	0.260	0.784	0.519
cocoa	kakao	0.776	0.255	0.322
coconut	kokos	0.622	0.265	0.227
cocoon	kokong	0.470	0.280	0.290
cod	torsk	0.510	0.321	0.304
code	koda	0.583	0.308	0.491
codeine	kodein	0.375	0.582	0.436
codex	kodex	0.531	0.488	0.524
codfish	torsk	0.490	0.245	0.300
codification	kodifiering	0.448	0.400	0.698
codify	kodifiera	0.448	0.410	0.679
coding	kodning	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	koefficient	0.677	0.415	0.702
coerce	tvinga	0.260	0.741	0.517
coercion	tvång	0.330	0.708	0.577
coercive	koercitiv	0.479	0.670	0.506
coexist	existera samtidigt	0.708	0.460	0.536
coexistence	samexistens	0.588	0.472	0.638
coexisting	samexisterande	0.551	0.349	0.648
coffee	kaffe	0.823	0.418	0.309
coffee table	kaffe bord	0.720	0.339	0.295
coffeehouse	kaffe hus	0.694	0.357	0.307
coffeepot	kaffekanna	0.760	0.333	0.312
coffin	Kista	0.073	0.432	0.343
cog	kugge	0.427	0.343	0.363
cogent	övertygande	0.765	0.479	0.836
cognac	cognac	0.615	0.510	0.430
cognate	besläktad	0.615	0.350	0.398
cognition	kognition	0.635	0.344	0.706
cognitive	kognitiv	0.513	0.401	0.634
cohabitation	samlevnad	0.646	0.526	0.598
coherence	sammanhang	0.720	0.406	0.788
coherent	sammanhängande	0.698	0.281	0.500
cohesion	sammanhållning	0.604	0.536	0.555
cohesive	sammanhängande	0.531	0.470	0.603
cohort	kohort	0.459	0.551	0.566
coil	spole	0.448	0.343	0.298
coiled	lindad	0.378	0.518	0.389
coin	mynt	0.677	0.574	0.445
coinage	mynt	0.500	0.400	0.545
coincide	sammanfaller	0.635	0.490	0.593
coincidence	tillfällighet	0.612	0.450	0.518
coincident	överensstämmande	0.562	0.385	0.602
coincidental	tillfällig	0.646	0.481	0.337
coinciding	sammanfallande	0.673	0.373	0.623
coke	koks	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	kall	0.398	0.538	0.348
coldly	kallt	0.365	0.358	0.407
