Word	Scots Gaelic-gd	Valence	Arousal	Dominance
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	dùthaich	0.732	0.288	0.327
counts	cunntadh	0.343	0.373	0.500
county	siorrachd	0.479	0.368	0.545
coup	coup	0.275	0.815	0.607
coupe	cùpe	0.479	0.460	0.482
couple	càraid	0.806	0.605	0.607
coupled	còmhla	0.612	0.286	0.650
coupling	còmhradh	0.594	0.479	0.555
coupon	cùpón	0.704	0.300	0.421
courage	misneachd	0.830	0.728	0.849
courageous	misneachail	0.918	0.587	0.879
courier	teachdaire	0.551	0.383	0.441
courses	cùrsaichean	0.735	0.412	0.534
coursing	a 'cèilidh	0.542	0.472	0.546
court	cùirt	0.479	0.769	0.827
courteous	èibhinn	0.937	0.396	0.529
courtesy	le cùirt	0.927	0.287	0.431
courthouse	cùirt	0.571	0.503	0.818
courtroom	seòmar-cùirte	0.385	0.670	0.887
courts	cùirtean	0.367	0.710	0.816
courtship	suirghe	0.667	0.490	0.654
courtside	taobh cùirt	0.592	0.391	0.434
courtyard	lios	0.503	0.365	0.355
cousin	co-ogha	0.675	0.394	0.427
cousins	co-oghaichean	0.760	0.409	0.464
cove	cove	0.500	0.304	0.370
coven	coven	0.458	0.578	0.591
covenant	co-cheangal	0.594	0.462	0.667
cover	còmhdach	0.365	0.240	0.471
coverage	còmhdach	0.767	0.413	0.629
covered	còmhdaichte	0.562	0.340	0.644
covering	còmhdach	0.615	0.382	0.583
covert	còmhdach	0.500	0.570	0.508
covet	còmhdach	0.302	0.779	0.524
coveted	s an Iar-	0.661	0.730	0.625
cow	bò	0.449	0.230	0.300
coward	èibhinn	0.102	0.490	0.149
cowardice	èibhinn	0.133	0.621	0.167
cowardly	èibhinn	0.102	0.385	0.127
cowboy	buachaille	0.594	0.625	0.695
cowgirl	buachaille	0.541	0.566	0.554
cowhand	bòcan	0.438	0.480	0.596
cowhide	sneachda	0.458	0.324	0.333
cowl	bòc	0.427	0.450	0.232
coworker	obrach	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	cozy	0.910	0.356	0.545
crab	crab	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	craiceann	0.302	0.625	0.400
cracked	air sgàin	0.224	0.520	0.228
cracker	sgàileadh	0.604	0.343	0.346
crackerjack	craiceann-craiceann	0.567	0.509	0.426
cracking	a 'sgioblachadh	0.327	0.557	0.286
crackle	sgàineadh	0.327	0.643	0.481
crackpot	s an Iar-	0.260	0.602	0.245
cradle	cradle	0.776	0.194	0.333
craft	ceàird	0.760	0.321	0.539
crafts	ciùird	0.667	0.380	0.391
craftsman	ceàird	0.719	0.310	0.583
craftsmanship	ciùird	0.823	0.373	0.571
crafty	crafty	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	s an Iar-	0.406	0.740	0.466
cramp	cramp	0.194	0.796	0.340
cramped	glè bheag	0.240	0.567	0.360
cranberry	cranberry	0.793	0.330	0.363
cranberry juice	sùgh cranberry	0.622	0.321	0.281
crane	crann	0.396	0.417	0.589
cranial	cranial	0.354	0.510	0.583
cranium	cranium	0.439	0.491	0.725
crank	crank	0.448	0.275	0.417
cranky	cranky	0.194	0.776	0.396
cranny	cranny	0.194	0.471	0.250
crap	crap	0.083	0.644	0.167
crappy	sgiobalta	0.039	0.582	0.208
craps	sgioblachadh	0.375	0.420	0.273
crash	tubaist	0.194	0.906	0.355
crass	crass	0.223	0.490	0.466
crate	crathadh	0.427	0.173	0.274
crater	crater	0.450	0.647	0.529
crave	caoidh	0.625	0.510	0.731
craving	ag iarraidh	0.510	0.755	0.636
crawfish	crosgag	0.510	0.427	0.342
crawl	crawl	0.479	0.519	0.467
crayon	crèadh	0.604	0.260	0.185
crayons	criùran	0.684	0.366	0.405
craze	craze	0.255	0.657	0.435
crazed	air a chrochadh	0.153	0.877	0.417
craziness	craziness	0.238	0.908	0.255
crazy	crazy	0.156	0.843	0.321
creak	sgaoileadh	0.344	0.670	0.411
creaking	ag èigheach	0.302	0.743	0.415
cream	uachdar	0.688	0.259	0.220
creamed	sgaoileadh	0.723	0.273	0.288
creamer	creamer	0.594	0.192	0.269
creamy	uamhasach	0.823	0.337	0.345
crease	sgaoileadh	0.440	0.286	0.300
create	cruthaich	0.786	0.588	0.789
creation	cruthachadh	0.927	0.575	0.868
creative	cruthachail	0.917	0.518	0.788
creativity	cruthachalachd	0.938	0.684	0.815
creator	creutair	0.865	0.592	0.856
creature	creutair	0.669	0.625	0.620
credence	creideas	0.760	0.460	0.737
credential	teisteanas	0.735	0.337	0.597
credentials	teisteanasan	0.708	0.373	0.675
credibility	creideas	0.875	0.427	0.809
credible	creidsinneach	0.917	0.441	0.750
credit	creideas	0.673	0.549	0.648
credit card	Cairt creideis	0.670	0.550	0.640
creditable	creidsinneach	0.802	0.510	0.742
credited	air a chreidsinn	0.781	0.390	0.691
crediting	creideas	0.673	0.550	0.741
creditor	creideasair	0.479	0.594	0.689
creed	creideamh	0.573	0.245	0.544
creek	clach	0.552	0.392	0.330
creep	a 'cromadh	0.354	0.647	0.361
creeper	sgaoileadh	0.429	0.558	0.366
creeping	a 'crathadh	0.292	0.613	0.282
creepy	uaigealta	0.125	0.861	0.373
cremation	losgadh	0.084	0.620	0.420
creole	criolla	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	creagan	0.698	0.382	0.407
crest	suaicheantas	0.458	0.333	0.333
crestfallen	creagan	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretairean	0.094	0.741	0.328
crevice	sgoltadh	0.361	0.471	0.275
crew	criutha	0.604	0.598	0.735
crewman	criutha	0.602	0.580	0.548
crib	crib	0.653	0.240	0.407
cricket	criogaid	0.423	0.539	0.370
cried	ghlaodh	0.167	0.612	0.254
crime	eucoir	0.071	0.943	0.630
criminal	eucoireach	0.021	0.830	0.529
criminality	eucorach	0.122	0.863	0.580
crimp	crimp	0.260	0.557	0.396
crimson	dearg	0.667	0.385	0.370
cringe	cringeadh	0.245	0.840	0.377
cripple	crioch	0.094	0.392	0.161
crippled	s an Iar-	0.035	0.358	0.236
crippling	sgiobalta	0.156	0.598	0.391
crisis	èiginn	0.208	0.811	0.431
crisp	crisp	0.776	0.692	0.508
crispy	crispy	0.656	0.550	0.509
criterion	criterion	0.396	0.410	0.736
critic	càineadh	0.264	0.604	0.686
critical	cruaidh	0.312	0.802	0.545
criticise	càineadh	0.073	0.700	0.452
criticism	càineadh	0.115	0.563	0.505
criticize	càineadh	0.143	0.708	0.473
criticized	càineadh	0.240	0.600	0.311
critique	breithneachadh	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	croak	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	croisean	0.552	0.216	0.327
crocodile	crogall	0.344	0.708	0.610
croft	croit	0.531	0.429	0.421
croissant	sgaoileadh	0.745	0.330	0.430
crook	crook	0.171	0.765	0.550
crooked	cam	0.146	0.594	0.305
crop	bàrr	0.615	0.260	0.500
croquet	croquet	0.551	0.519	0.407
cross	crois	0.448	0.321	0.569
cross country	thar-dùthaich	0.531	0.441	0.529
crossbow	bogha-bhogha	0.344	0.598	0.560
crossed	thairis	0.431	0.490	0.508
crossfire	crois-chraobh	0.316	0.896	0.722
crossing	dol thairis	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	crosswalk	0.557	0.441	0.380
crossword	crossword	0.611	0.423	0.455
crotch	crotch	0.521	0.637	0.447
crouch	cromadh	0.281	0.606	0.312
crouched	crùbadh	0.333	0.363	0.279
crouching	a 'cromadh	0.261	0.429	0.345
croupier	cròpair	0.531	0.519	0.404
crow	feannag	0.224	0.439	0.363
crowbar	saoghail	0.406	0.531	0.386
crowd	sluagh	0.350	0.827	0.731
crowded	sluagh	0.694	0.286	0.585
crowds	sluagh	0.469	0.723	0.806
crown	crùn	0.708	0.572	0.737
crowning	a 'crùnadh	0.773	0.594	0.831
crucial	deatamach	0.541	0.657	0.777
cruciate	cruciate	0.429	0.435	0.585
crucifix	ceusadh	0.469	0.480	0.510
crucifixion	cruisneachadh	0.135	0.857	0.541
crucify	ceusadh	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	amh	0.198	0.402	0.357
cruel	cruaidh	0.122	0.866	0.391
cruelly	cruaidh	0.146	0.790	0.471
cruelty	cruelty	0.092	0.836	0.536
cruise	cuairt-mara	0.740	0.442	0.683
cruise ship	bàta-turais	0.878	0.650	0.500
cruiser	cruiser	0.737	0.490	0.608
cruising	siubhal	0.886	0.580	0.560
crumb	crùbag	0.417	0.255	0.216
crumble	crumble	0.333	0.480	0.423
crumbling	crìonadh	0.167	0.696	0.308
crummy	crummy	0.125	0.531	0.224
crunch	criseadh	0.292	0.630	0.406
crunchy	crunchy	0.625	0.560	0.539
crusade	còmhdhail	0.592	0.720	0.709
crusader	cruadair	0.439	0.588	0.548
crush	crush	0.271	0.676	0.582
crushed	air a bhriseadh	0.167	0.647	0.300
crusher	brògair	0.271	0.709	0.598
crushing	a 'briseadh	0.219	0.755	0.411
crust	crust	0.542	0.337	0.456
crusty	sgudal	0.625	0.531	0.473
crutch	crutch	0.302	0.294	0.302
crux	crux	0.469	0.558	0.519
cry	caoineadh	0.133	0.627	0.255
crybaby	crìbag	0.375	0.702	0.311
crying	a 'caoineadh	0.153	0.704	0.208
crypt	crioch	0.156	0.431	0.386
cryptic	clach	0.296	0.516	0.474
cryptography	criptography	0.490	0.415	0.650
crystal	criostail	0.618	0.270	0.508
crystalline	criostail	0.765	0.235	0.534
crystallization	criostalan	0.600	0.449	0.565
cub	cub	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	ciùb	0.469	0.226	0.274
cubic	ciùbach	0.458	0.306	0.407
cubicle	còmhdach	0.479	0.343	0.417
cuckold	cuckold	0.210	0.573	0.230
cuckoo	cuthag	0.420	0.459	0.284
cucumber	cucumber	0.490	0.235	0.237
cuddle	cuddle	0.885	0.559	0.475
cuddled	cuddled	0.906	0.547	0.567
cuddles	cuddles	0.847	0.382	0.500
cuddling	a 'cromadh	0.917	0.562	0.433
cue	cluinntinn	0.521	0.433	0.484
cuff	cuff	0.469	0.453	0.387
cuisine	biadh	0.714	0.365	0.390
culinary	saoghail	0.654	0.443	0.519
cull	caoidh	0.365	0.702	0.464
culminate	crìochnachadh	0.667	0.550	0.602
culmination	crìch	0.656	0.586	0.695
culpability	cionta	0.112	0.745	0.368
culpable	s an Iar-	0.140	0.700	0.319
culprit	a 'chùis	0.062	0.676	0.333
cult	cult	0.448	0.535	0.648
cultivate	àiteach	0.708	0.410	0.598
cultivated	àiteach	0.837	0.343	0.564
cultivation	àiteachadh	0.625	0.324	0.462
cultural	cultarail	0.802	0.390	0.623
culture	cultar	0.753	0.304	0.675
cultured	cultarach	0.635	0.429	0.625
culvert	cladhach	0.337	0.324	0.343
cumbersome	èibhinn	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	cunning	0.604	0.685	0.683
cunt	cunt	0.135	0.673	0.377
cup	cupa	0.615	0.167	0.231
cupboard	pròbhaist	0.553	0.200	0.304
cupcake	cupcake	0.656	0.333	0.344
cupping	cupping	0.490	0.610	0.402
cur	cur	0.440	0.519	0.460
curable	cothromach	0.823	0.292	0.574
curate	saighdear	0.726	0.418	0.526
curative	cùramach	0.667	0.318	0.613
curator	neach-glèidhidh	0.688	0.389	0.688
curb	sgoltadh	0.472	0.371	0.402
curd	sgaoileadh	0.542	0.442	0.278
cure	leigheas	0.719	0.377	0.623
curfew	curfew	0.219	0.618	0.623
curiosity	iongnadh	0.750	0.755	0.463
curious	neònach	0.635	0.600	0.483
curl	curl	0.385	0.452	0.351
curling	curladh	0.583	0.592	0.400
currency	airgead	0.583	0.418	0.592
current	làithreach	0.625	0.312	0.612
curriculum	curraicealam	0.708	0.306	0.620
curry	curry	0.633	0.345	0.302
curse	mhallachd	0.033	0.720	0.375
cursed	mallachd	0.083	0.783	0.393
cursing	mallachadh	0.112	0.860	0.446
cursory	sgaoileadh	0.423	0.451	0.431
curt	curt	0.245	0.610	0.452
curtail	lùghdachadh	0.306	0.439	0.497
curtailment	cuartachadh	0.230	0.578	0.431
curtain	cùirteir	0.698	0.278	0.304
curtains	cùirtearan	0.615	0.123	0.342
curtsy	curtsy	0.635	0.412	0.598
curvature	cuibhleachd	0.417	0.367	0.447
curve	lùb	0.480	0.375	0.307
curved	sgaoileadh	0.542	0.407	0.337
curvilinear	sgaoileadh	0.480	0.575	0.411
cushion	cuisean	0.653	0.221	0.292
cushy	cushy	0.823	0.283	0.395
cusp	Cus	0.667	0.710	0.700
cuss	cuss	0.354	0.538	0.443
cussed	sgaoileadh	0.156	0.625	0.454
custard	Cladard	0.618	0.260	0.293
custodial	dìon	0.418	0.462	0.718
custodian	gleidhidh	0.594	0.625	0.528
custody	cùram	0.494	0.472	0.675
custom	àbhaisteach	0.552	0.382	0.688
customary	àbhaisteach	0.700	0.253	0.561
customer	luchd-ceannach	0.562	0.430	0.673
customized	àbhaisteach	0.625	0.504	0.590
cut	gearradh	0.490	0.490	0.393
cutaneous	sneachda	0.365	0.370	0.328
cute	cute	0.920	0.528	0.579
cuticle	cuticle	0.340	0.320	0.377
cutie	gearradh	0.638	0.528	0.464
cutlass	gearradh glas	0.173	0.648	0.528
cutlery	snàithlean	0.552	0.300	0.345
cutoff	Geàrr dheth	0.432	0.510	0.518
cutter	gearradh	0.427	0.731	0.583
cutters	gearraidh	0.197	0.653	0.491
cutthroat	gearradh cruaidh	0.110	0.823	0.663
cutting	gearradh	0.448	0.375	0.536
cutting board	buain gearraidh	0.337	0.540	0.342
cuttings	gearraidhean	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	cianide	0.229	0.667	0.545
cyberspace	cyberspace	0.677	0.594	0.611
cycle	rothaireachd	0.635	0.400	0.533
cyclical	ciorramach	0.380	0.450	0.554
cyclist	rothaiche	0.684	0.582	0.576
cyclone	rothaiche	0.416	0.796	0.673
cylinder	siolandair	0.459	0.324	0.447
cylindrical	siolandair	0.458	0.294	0.414
cymbal	cymbal	0.542	0.363	0.362
cynic	cuthaig	0.135	0.632	0.473
cynical	cianail	0.156	0.760	0.474
cynicism	cinnidheachd	0.104	0.780	0.454
cyst	cyst	0.173	0.578	0.312
cystic	cist	0.314	0.481	0.400
cytomegalovirus	citomegalovirus	0.186	0.657	0.443
cytoplasm	cytoplasm	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	dab	0.510	0.337	0.340
dabble	dabble	0.550	0.530	0.491
dabbling	dabbling	0.562	0.726	0.676
dad	athair	0.857	0.412	0.786
daddy	dad	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	daemon	0.333	0.490	0.500
daft	daft	0.255	0.436	0.157
dagger	biodag	0.224	0.797	0.613
daily	a h-uile latha	0.653	0.347	0.473
dainty	bòidheach	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	bainne	0.633	0.255	0.462
daisy	daisy	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	dale	0.622	0.270	0.365
dam	dama	0.250	0.553	0.394
damage	milleadh	0.059	0.726	0.403
damaged	milleadh	0.104	0.635	0.182
damages	milleadh	0.082	0.760	0.310
dame	dame	0.694	0.480	0.500
damn	damn	0.073	0.784	0.431
damnation	damnation	0.135	0.750	0.416
damned	damned	0.100	0.760	0.465
damp	taise	0.360	0.279	0.210
dampened	sgaoileadh	0.271	0.422	0.336
damper	sgoltadh	0.459	0.378	0.473
damsel	nighean	0.719	0.475	0.400
dance	dannsa	0.894	0.840	0.551
dancer	dannsair	0.740	0.768	0.545
dancing	dannsa	0.885	0.868	0.444
dandruff	dandruff	0.398	0.298	0.293
dandy	dandy	0.673	0.520	0.630
danger	cunnart	0.115	0.923	0.673
dangerous	cunnartach	0.020	0.941	0.658
dangerously	cunnartach	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	cunnartach	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	dapper	0.770	0.560	0.698
dare	dare	0.677	0.788	0.684
daredevil	daredevil	0.429	0.714	0.653
daresay	sàmhach	0.540	0.451	0.490
daring	caoidh	0.583	0.840	0.711
dark	dorcha	0.198	0.398	0.426
darken	dorchadas	0.250	0.471	0.382
darkened	dorchadas	0.135	0.440	0.452
darkly	dorcha	0.219	0.548	0.443
darkness	dorchadas	0.102	0.602	0.418
darkroom	seòmar dorcha	0.188	0.627	0.423
darkside	air falbh	0.102	0.690	0.365
darling	leannan	0.885	0.370	0.608
darn	darn	0.115	0.765	0.418
dart	dart	0.417	0.608	0.500
dash	dash	0.574	0.312	0.324
dashboard	deas-bhòrd	0.510	0.371	0.595
dashed	sgaoileadh	0.276	0.393	0.338
dashing	dashing	0.612	0.627	0.799
dastardly	gu dòigheil	0.208	0.688	0.270
data	dàta	0.500	0.250	0.426
database	stòr-dàta	0.604	0.286	0.644
date	ceann-latha	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	nighean	0.908	0.415	0.455
dawdle	dawdle	0.479	0.464	0.357
dawn	dawn	0.827	0.235	0.519
dawned	s an Ear-Dheas	0.694	0.471	0.473
day	latha	0.719	0.269	0.389
daybreak	briseadh latha	0.802	0.358	0.474
daycare	cùram latha	0.776	0.481	0.360
daydream	sgaoileadh	0.750	0.337	0.456
daydreaming	sgaoileadh	0.776	0.360	0.479
daylight	solas an latha	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	latha	0.750	0.324	0.454
daze	daze	0.245	0.735	0.329
dazed	sneachda	0.300	0.697	0.277
dazzle	dazzle	0.730	0.782	0.683
dazzling	sàmhach	0.854	0.880	0.767
deacon	deacon	0.531	0.430	0.736
deactivate	deactivate	0.235	0.447	0.392
dead	marbh	0.052	0.454	0.194
deadbeat	marbh	0.229	0.453	0.368
deadline	ceann-latha	0.214	0.615	0.460
deadlines	cinn-latha	0.406	0.769	0.411
deadlock	sgaoileadh	0.170	0.418	0.323
deadly	marbhtach	0.143	0.849	0.554
deaf	bodhar	0.186	0.324	0.161
deafening	bodhar	0.281	0.835	0.482
deafness	bodhar	0.125	0.413	0.219
deal	dèiligeadh	0.719	0.599	0.543
dealer	neach-malairt	0.799	0.615	0.683
dealership	dealership	0.541	0.430	0.629
dealing	dèiligeadh	0.724	0.415	0.598
dealings	gnothaichean	0.600	0.491	0.480
dean	Dean	0.612	0.469	0.723
dear	brònach	0.880	0.434	0.629
dearest	gaoil	0.902	0.427	0.508
dearth	dìomhaireachd	0.156	0.539	0.255
death	bàs	0.031	0.720	0.472
deathbed	leabaidh bàis	0.051	0.652	0.311
deathly	bàsachadh	0.073	0.771	0.682
debacle	dannsa	0.156	0.606	0.266
debased	sgaoileadh	0.219	0.529	0.170
debatable	deasbad	0.181	0.610	0.474
debate	deasbad	0.408	0.691	0.683
debauchery	bualadh	0.354	0.901	0.500
debenture	buannachd	0.417	0.500	0.466
debilitating	lùghdachadh	0.125	0.490	0.308
debit	fiachan	0.333	0.400	0.474
debrief	debrief	0.247	0.343	0.549
debriefing	breithneachadh	0.427	0.580	0.456
debris	sprùilleach	0.135	0.396	0.327
debt	fiachan	0.204	0.598	0.336
debtor	fiachan	0.219	0.546	0.160
debut	toiseach	0.806	0.606	0.629
debutante	debutante	0.771	0.627	0.454
decade	deichead	0.531	0.402	0.665
decadence	dealachadh	0.237	0.455	0.291
decadent	fàgail	0.290	0.559	0.324
decaf	decaf	0.480	0.324	0.353
decanter	sgaoileadh	0.438	0.567	0.510
decathlon	diadhaidh	0.573	0.753	0.620
decay	lobhadh	0.143	0.312	0.170
decayed	sguabadh às	0.017	0.375	0.169
decaying	a 'crìonadh	0.073	0.510	0.214
deceased	bàsachadh	0.021	0.538	0.188
decedent	dìtheas	0.423	0.481	0.415
deceit	meallta	0.020	0.696	0.343
deceitful	meallta	0.071	0.788	0.371
deceive	meallta	0.094	0.775	0.414
deceived	meallta	0.059	0.673	0.302
deceiving	meallta	0.099	0.636	0.426
december	An Dùbhlachd	0.740	0.540	0.464
decency	deònach	0.750	0.235	0.634
decent	cothromach	0.823	0.296	0.653
deception	milleadh	0.090	0.745	0.370
deceptive	duilich	0.027	0.605	0.294
decide	co-dhùnadh	0.656	0.540	0.855
decidedly	gu co-dhùnadh	0.750	0.480	0.843
deciduous	gruamach	0.385	0.353	0.282
decimal	deicheach	0.507	0.259	0.305
decimeter	tomhas-tomhais	0.520	0.292	0.377
decipher	deisealachadh	0.417	0.630	0.652
decision	co-dhùnadh	0.646	0.510	0.839
decisive	dearbhach	0.740	0.509	0.935
deck	deic	0.420	0.333	0.394
declaration	dearbhadh	0.551	0.590	0.714
declaratory	dearbhadh	0.635	0.582	0.673
declare	innse	0.677	0.623	0.668
declination	crìonadh	0.250	0.549	0.311
decline	crìonadh	0.173	0.491	0.240
declining	a 'crìonadh	0.328	0.400	0.264
deco	sgeadachadh	0.625	0.274	0.356
decode	decodadh	0.551	0.510	0.640
decoder	decoder	0.562	0.340	0.686
decompose	dealachadh	0.194	0.596	0.241
decomposed	dealachadh	0.073	0.442	0.231
decomposition	cromadh	0.133	0.600	0.263
decompress	decompress	0.438	0.430	0.509
decompression	dìomhaireachd	0.208	0.520	0.311
decontamination	dì-mhilleadh	0.611	0.538	0.573
decor	sgeadachadh	0.734	0.311	0.573
decorate	sgeadachadh	0.954	0.370	0.404
decorating	sgeadachadh	0.863	0.548	0.462
decoration	sgeadachadh	0.878	0.553	0.526
decorative	sgeadachadh	0.908	0.460	0.381
decorator	sgeadachaidh	0.840	0.471	0.455
decorum	deasaich |	0.802	0.327	0.462
decoy	sgeadachadh	0.149	0.460	0.330
decrease	lùghdachadh	0.125	0.360	0.267
decreased	lùghdachadh	0.224	0.271	0.170
decreasing	lùghdachadh	0.320	0.346	0.224
decree	òrdugh	0.552	0.478	0.746
decrement	lùghdachadh	0.255	0.427	0.373
decrepit	sgaoileadh	0.156	0.490	0.225
decry	deiseil	0.400	0.814	0.548
decryption	dì-chriochnachadh	0.459	0.445	0.600
dedicate	coisrigte	0.823	0.431	0.588
dedication	dìcheall	0.867	0.471	0.682
deduce	thoir	0.490	0.510	0.466
deduct	falbh	0.355	0.330	0.412
deductible	so-ruigsinneach	0.375	0.286	0.455
deduction	sgaoileadh	0.438	0.462	0.527
deed	gnìomh	0.520	0.320	0.592
deejay	deejay	0.551	0.630	0.473
deem	cùis-lagha	0.594	0.529	0.690
deep	domhainn	0.490	0.473	0.657
deepen	domhainn	0.625	0.530	0.776
deer	fèidh	0.583	0.375	0.292
defamation	mì-chliù	0.110	0.670	0.481
defamatory	smear	0.143	0.688	0.402
default	bunaiteach	0.459	0.343	0.712
defeat	defeat	0.092	0.500	0.224
defeated	bhuail	0.104	0.582	0.145
defeatist	defeatist	0.163	0.567	0.315
defect	lochd	0.135	0.561	0.185
defection	buaidh	0.146	0.594	0.330
defective	lochtach	0.122	0.580	0.274
defector	buaidh	0.163	0.696	0.286
defend	dìon	0.698	0.722	0.670
defendant	dìonach	0.250	0.710	0.491
defended	air a dhìon	0.663	0.451	0.582
defender	dìonach	0.639	0.708	0.750
defending	a 'dìon	0.604	0.871	0.812
defense	dìon	0.652	0.698	0.802
defenseless	gun dìon	0.143	0.357	0.105
defensible	dìonach	0.740	0.509	0.593
defensive	dìon	0.542	0.640	0.678
defer	siar	0.245	0.459	0.317
deference	deference	0.510	0.396	0.447
deferral	cur dheth	0.765	0.542	0.327
deferring	tagradh	0.343	0.500	0.413
defiance	aimhreit	0.333	0.780	0.760
defiant	mì-thoilichte	0.250	0.792	0.769
defibrillator	defibrillator	0.398	0.663	0.431
deficiency	easbhaidh	0.073	0.373	0.179
deficient	easbhaidh	0.240	0.464	0.132
deficit	easbhaidh	0.358	0.500	0.269
define	mìneachadh	0.688	0.415	0.632
defined	mìneachadh	0.670	0.214	0.646
definite	deiseil	0.708	0.292	0.741
definition	mìneachadh	0.573	0.375	0.579
definitive	deimhinnte	0.583	0.479	0.787
deflate	sguabadh às	0.148	0.404	0.237
deflation	sgoltadh	0.287	0.536	0.407
deflect	sguabadh às	0.133	0.491	0.482
deflection	milleadh	0.188	0.500	0.382
defloration	crìonadh	0.188	0.690	0.434
deform	deform	0.112	0.654	0.284
deformed	deformed	0.198	0.435	0.308
deformity	deformity	0.160	0.569	0.241
defraud	sàbhaladh	0.175	0.635	0.314
defray	toirt seachad	0.375	0.598	0.653
defrost	tubaist	0.427	0.317	0.389
deft	deft	0.719	0.575	0.849
defunct	dhìochuimhnich	0.112	0.491	0.272
defuse	sguabadh às	0.167	0.480	0.430
defy	dùbhlan	0.353	0.884	0.657
degeneracy	degeneracy	0.143	0.720	0.298
degenerate	degenerate	0.069	0.724	0.264
degeneration	degeneration	0.245	0.578	0.371
degradation	degradation	0.160	0.608	0.315
degrade	degrade	0.083	0.500	0.184
degraded	air a chall	0.167	0.433	0.205
degrading	ag atharrachadh	0.031	0.583	0.232
degree	ceum	0.724	0.365	0.663
dehydrated	dehydrated	0.310	0.685	0.212
dehydration	dehydration	0.188	0.472	0.259
dejected	sneachda	0.104	0.654	0.347
delay	dàil	0.204	0.510	0.162
delayed	dàil	0.188	0.490	0.216
delectable	deònach	0.781	0.642	0.718
delegate	riochdaire	0.612	0.491	0.658
delegation	riochdachadh	0.562	0.431	0.609
delete	sguab às	0.292	0.298	0.409
deleterious	mì-thoilichte	0.297	0.725	0.440
deletion	sguabadh às	0.062	0.506	0.462
deli	deli	0.561	0.448	0.447
deliberate	deiseil	0.551	0.654	0.682
deliberation	deasbad	0.561	0.678	0.596
deliberative	deasbaid	0.392	0.552	0.573
delicacy	bòidhchead	0.812	0.279	0.336
delicate	bòidheach	0.583	0.294	0.366
delicatessen	bèicearan-bìdh	0.656	0.474	0.400
delicious	bòidheach	0.927	0.650	0.589
delight	tlachd	0.949	0.666	0.647
delighted	air leth toilichte	0.938	0.664	0.685
delightful	tlachdmhor	0.918	0.735	0.644
delineate	sgaoileadh	0.448	0.430	0.445
delineation	sònrachadh	0.521	0.402	0.314
delinquency	delinquence	0.135	0.860	0.508
delinquent	ciontach	0.051	0.904	0.500
delirious	saoghail	0.219	0.774	0.538
delirium	deirium	0.233	0.694	0.484
deliver	lìbhrigeadh	0.583	0.370	0.582
deliverance	saorsa	0.750	0.520	0.658
delivery	lìbhrigeadh	0.704	0.461	0.786
dell	dell	0.458	0.380	0.453
delta	delta	0.551	0.343	0.509
delude	sgaoileadh	0.143	0.627	0.353
deluge	sgaoileadh	0.245	0.714	0.612
delusion	dealachadh	0.344	0.647	0.400
delusional	deònach	0.219	0.745	0.327
deluxe	deluxe	0.792	0.612	0.755
delve	saoghail	0.469	0.529	0.684
demand	iarrtas	0.292	0.673	0.500
demanding	ag iarraidh	0.396	0.750	0.828
demeaned	s an Iar-	0.271	0.520	0.212
demeaning	sgaoileadh	0.104	0.645	0.308
demeanor	sìth	0.633	0.433	0.657
demented	s an Iar-	0.088	0.787	0.309
dementia	dementia	0.092	0.779	0.337
demise	crìonadh	0.104	0.596	0.456
demo	demo	0.510	0.314	0.423
democracy	deamocrasaidh	0.680	0.500	0.840
democrat	deamocratach	0.582	0.400	0.755
democratic	deamocratach	0.802	0.519	0.798
demographic	deamografach	0.459	0.356	0.594
demolish	leagail	0.125	0.632	0.700
demolished	leagail	0.271	0.647	0.353
demolition	leagail	0.133	0.827	0.541
