Word	Belarusian-be	Valence	Arousal	Dominance
athletic	Атлетычны	0.857	0.798	0.708
athleticism	атлетызм	0.750	0.863	0.778
athletics	атлетыка	0.831	0.691	0.740
atlas	атлас	0.531	0.306	0.554
atmosphere	атмасфера	0.604	0.300	0.560
atmospheric	атмасферны	0.531	0.420	0.594
atoll	атол	0.480	0.408	0.472
atom	атам	0.510	0.500	0.433
atomic	атамная	0.327	0.817	0.713
atone	выкупаць	0.418	0.673	0.411
atonement	расплата	0.550	0.602	0.683
atpeace	atpeace	0.724	0.298	0.519
atrium	атрыум	0.469	0.365	0.473
atrocious	агідны	0.073	0.811	0.445
atrocity	зверства	0.115	0.844	0.593
atrophy	атрафія	0.177	0.540	0.208
attach	далучаць	0.520	0.363	0.559
attached	які дадаецца	0.562	0.350	0.439
attachment	прымацаванне	0.570	0.343	0.500
attack	атака	0.286	0.948	0.670
attacker	атакуючы	0.185	0.962	0.629
attacking	нападаючы	0.276	0.837	0.642
attain	дасягаць	0.806	0.510	0.719
attainable	дасягальны	0.760	0.500	0.759
attainment	дасягненне	0.830	0.520	0.940
attempt	спроба	0.625	0.491	0.431
attempted	спроба	0.594	0.580	0.567
attend	прысутнічаць	0.650	0.420	0.625
attendance	наведвальнасць	0.812	0.500	0.592
attendant	служыцель	0.580	0.365	0.519
attention	увагу	0.740	0.599	0.774
attentionseeker	NO TRANSLATION	0.367	0.745	0.457
attentionseekers	NO TRANSLATION	0.531	0.673	0.500
attentive	уважлівы	0.812	0.520	0.724
attenuate	змякчаць	0.408	0.302	0.429
attenuated	саслабляецца	0.449	0.280	0.298
attenuation	згасанне	0.458	0.363	0.464
attest	сведчыць	0.439	0.710	0.685
attestation	засведчанне	0.234	0.635	0.500
attic	гарышча	0.521	0.259	0.377
attire	нарад	0.742	0.388	0.483
attitude	стаўленне	0.760	0.644	0.861
attorney	адвакат	0.600	0.594	0.754
attract	прыцягваць	0.796	0.663	0.769
attraction	прыцягненне	0.906	0.774	0.712
attractive	прывабны	0.906	0.630	0.769
attractiveness	прывабнасць	0.938	0.667	0.755
attributable	якая прыходзіцца	0.704	0.430	0.527
attribute	атрыбут	0.781	0.439	0.795
attribution	прыпісванне	0.646	0.467	0.658
attrition	ізаляцыі	0.229	0.540	0.259
auburn	рыжаваты	0.510	0.240	0.411
auction	аўкцыён	0.594	0.702	0.519
auctioneer	аўкцыяніст	0.542	0.732	0.716
audacious	адвагу	0.740	0.875	0.825
audacity	дзёрзкасць	0.760	0.755	0.916
audible	чутны	0.673	0.370	0.462
audience	аўдыторыя	0.698	0.610	0.613
audio	аўдыё	0.709	0.425	0.370
audit	аўдыт	0.375	0.562	0.735
audition	праслухоўванне	0.750	0.685	0.615
auditions	праслухоўвання	0.740	0.765	0.596
auditor	аўдытар	0.582	0.571	0.726
auditorium	глядзельная зала	0.529	0.490	0.538
auditory	слыхавы	0.531	0.481	0.570
aught	нешта	0.418	0.135	0.217
augment	павялічваць	0.650	0.683	0.645
augmentation	павелічэнне	0.714	0.613	0.850
august	Аўгусту	0.652	0.292	0.462
aunt	цётка	0.667	0.291	0.420
auntie	цётачка	0.643	0.275	0.447
aura	аўра	0.760	0.333	0.500
aurora	паўночнае ззянне	0.817	0.306	0.537
auspices	заступніцтва	0.542	0.500	0.634
auspicious	спрыяльны	0.562	0.635	0.669
austere	аскетычны	0.500	0.390	0.422
austerity	строгасць	0.438	0.406	0.534
authentic	аўтэнтычны	0.885	0.510	0.782
authenticate	правяраць сапраўднасць	0.833	0.480	0.789
authentication	ідэнтыфікацыя	0.724	0.491	0.750
authenticity	сапраўднасць	0.670	0.548	0.845
author	аўтар	0.775	0.343	0.749
authoritative	аўтарытэтны	0.636	0.520	0.890
authority	ўлада	0.592	0.592	0.934
authorization	аўтарызацыя	0.521	0.567	0.817
authorize	санкцыянаваць	0.772	0.596	0.821
authorized	упаўнаважаны	0.760	0.458	0.815
authorship	аўтарства	0.667	0.635	0.773
autism	аўтызм	0.235	0.500	0.447
autistic	аутистический	0.367	0.337	0.404
auto	аўтаматычны	0.571	0.569	0.500
autobiographical	аўтабіяграфічны	0.909	0.462	0.582
autobiography	аўтабіяграфія	0.735	0.284	0.629
autocorrect	аўтазамены	0.551	0.439	0.616
autocratic	самадзяржаўнай	0.542	0.577	0.727
autograph	аўтограф	0.735	0.565	0.473
autographed	аўтограф	0.781	0.620	0.625
automated	аўтаматызаваны	0.578	0.402	0.632
automatic	аўтаматычны	0.562	0.433	0.664
automobile	аўтамабіль	0.753	0.625	0.534
automotive	аўтамабільны	0.656	0.520	0.577
autonomy	аўтаномія	0.781	0.349	0.891
autopilot	аўтапілот	0.594	0.462	0.632
autopsy	ускрыццё трупа	0.252	0.650	0.538
autumn	восень	0.765	0.204	0.450
auxiliary	дапаможны	0.622	0.471	0.509
avail	карысць	0.800	0.430	0.603
availability	даступнасць	0.796	0.544	0.600
available	даступны	0.844	0.356	0.623
avalanche	лавіна	0.265	0.915	0.683
avarice	сквапнасць	0.198	0.726	0.352
avatar	аватар	0.633	0.410	0.567
avenge	помсціць	0.073	0.867	0.559
avenger	помсьнік	0.337	0.865	0.670
avenging	помсны	0.143	0.880	0.717
avenue	праспект	0.677	0.360	0.377
aver	NO TRANSLATION	0.492	0.450	0.393
average	сярэдні	0.684	0.280	0.455
aversation	aversation	0.582	0.442	0.432
averse	прэч	0.253	0.569	0.492
averseness	averseness	0.296	0.606	0.528
aversion	антыпатыя	0.074	0.663	0.525
avert	прадухіляць	0.510	0.388	0.465
aviary	вальер	0.500	0.360	0.467
aviation	авіяцыя	0.708	0.646	0.741
aviator	авіятар	0.615	0.700	0.644
avid	сквапны	0.582	0.459	0.593
avocado	авакада	0.677	0.255	0.287
avoid	пазбегнуць	0.427	0.442	0.415
avoidance	ухіленне	0.470	0.481	0.466
avoiding	пазбягаючы	0.457	0.433	0.309
await	чакаць	0.448	0.264	0.276
awake	чувае	0.667	0.469	0.741
awaken	абуджаць	0.729	0.412	0.611
awakening	абуджэнне	0.745	0.500	0.618
award	ўзнагарода	0.865	0.745	0.660
awards	ўзнагароды	0.958	0.736	0.652
aware	ведаць	0.656	0.340	0.770
awareness	ўсведамленне	0.684	0.422	0.810
awe	NO TRANSLATION	0.469	0.740	0.300
awed	глыбокая павага	0.364	0.774	0.361
awesome	страшэнны	0.980	0.897	0.891
awesomeness	ачмуральны	0.917	0.647	0.927
awestruck	ахоплены глыбокай павагай	0.615	0.767	0.680
awful	жудасны	0.061	0.786	0.450
awkward	нязручны	0.296	0.650	0.358
awkwardness	няёмкасць	0.167	0.454	0.148
awning	тэнт	0.500	0.186	0.318
awry	коса	0.156	0.540	0.275
axe	сякера	0.296	0.690	0.536
axial	восевай	0.458	0.278	0.491
axiom	аксіёма	0.439	0.441	0.583
axiomatic	аксиоматический	0.458	0.392	0.627
axis	вось	0.209	0.250	0.356
axle	вось	0.459	0.294	0.473
ay	ау	0.500	0.557	0.255
aye	ды	0.562	0.420	0.392
azimuth	азімут	0.385	0.461	0.421
azure	блакіт	0.620	0.256	0.339
babble	лепет	0.552	0.441	0.204
babbling	балбатня	0.396	0.418	0.241
babe	немаўля	0.860	0.536	0.424
baboon	бабуіны	0.357	0.410	0.429
baby	дзіця	0.837	0.365	0.455
babysit	прыглядаць за дзіцём	0.719	0.587	0.398
babysitter	няня	0.656	0.415	0.408
baccalaureate	ступень бакалаўра	0.729	0.510	0.480
baccarat	баккара	0.583	0.497	0.436
bachelor	халасцяк	0.667	0.406	0.600
bachelorette	дзявочнік	0.735	0.780	0.465
back	назад	0.438	0.353	0.336
backboard	спинодержатель	0.480	0.259	0.436
backbone	пазваночнік	0.538	0.464	0.620
backdoor	закулісны	0.344	0.410	0.333
backdrop	заднік	0.320	0.309	0.444
backer	паручыцель	0.646	0.375	0.537
backfire	зваротны эфект	0.265	0.612	0.491
backgammon	нарды	0.580	0.410	0.390
background	фон	0.399	0.357	0.498
backhand	ўдар злева	0.427	0.449	0.390
backhoe	экскаватар	0.398	0.554	0.562
backoff	страты магутнасці	0.104	0.396	0.240
backpack	заплечнік	0.729	0.278	0.333
backpacker	пешы турыст	0.510	0.730	0.460
backroom	засакрэчаны	0.406	0.500	0.387
backseat	задняе сядзенне	0.388	0.330	0.237
backside	задняя бок	0.182	0.417	0.342
backtrack	отступаться	0.312	0.525	0.278
backup	рэзервовая копія	0.520	0.510	0.553
backward	назад	0.309	0.367	0.250
backwardness	адсталасць	0.240	0.500	0.136
backwards	назад	0.302	0.372	0.330
backwater	затока	0.312	0.410	0.161
backwoods	глуш	0.541	0.350	0.482
backyard	задні двор	0.552	0.280	0.302
bacon	бекон	0.698	0.406	0.295
bacteria	бактэрыі	0.177	0.553	0.570
bacterial	бактэрыяльны	0.156	0.500	0.473
bacterium	бактэрыя	0.194	0.545	0.345
bad	дрэнны	0.125	0.625	0.373
badass	задзіра	0.255	0.775	0.745
badday	NO TRANSLATION	0.327	0.449	0.373
badfeeling	NO TRANSLATION	0.250	0.559	0.365
badge	значок	0.567	0.488	0.691
badger	барсук	0.344	0.429	0.357
badhabit	NO TRANSLATION	0.184	0.594	0.311
badly	дрэнна	0.073	0.509	0.286
badness	непрыдатнасць	0.094	0.823	0.463
baffle	дэфлектар	0.344	0.442	0.482
baffled	дэфлектары	0.151	0.600	0.339
bag	сумка	0.500	0.250	0.314
bagel	булачкі	0.531	0.363	0.340
baggage	багаж	0.610	0.363	0.427
baggie	пакецік	0.367	0.427	0.366
baggy	мешкаваты	0.521	0.278	0.452
bagman	вандроўны гандляр	0.506	0.500	0.394
bagpipes	дуда	0.541	0.556	0.412
bail	парука	0.373	0.520	0.561
bailiff	судовы прыстаў	0.347	0.519	0.759
bait	прынада	0.276	0.327	0.296
bake	выпякаць	0.867	0.418	0.519
bakery	пякарня	0.802	0.500	0.380
baking	выпечка	0.549	0.455	0.451
bal	NO TRANSLATION	0.490	0.412	0.432
balance	баланс	0.684	0.265	0.735
balanced	збалансаваны	0.806	0.255	0.745
balcony	балкон	0.562	0.392	0.380
bald	пляшывы	0.306	0.184	0.268
balding	залыселую	0.302	0.363	0.368
baldy	лысы	0.398	0.385	0.396
bale	цюк	0.437	0.363	0.412
balk	брус	0.229	0.451	0.415
ball	мяч	0.740	0.427	0.317
ballad	балада	0.792	0.284	0.424
ballast	баласт	0.354	0.423	0.287
ballerina	балерына	0.802	0.660	0.475
ballet	балет	0.656	0.480	0.358
ballgame	гульні ў мяч	0.781	0.790	0.407
ballistic	балістычны	0.260	0.806	0.685
ballistics	балістыкі	0.271	0.787	0.610
balloon	паветраны шар	0.729	0.245	0.315
ballot	галасаванне	0.521	0.361	0.358
ballpark	стадыён	0.724	0.694	0.529
ballplayer	бейсбаліст	0.719	0.764	0.566
ballpoint	шарыкавая ручка	0.596	0.337	0.318
ballroom	бальная	0.847	0.635	0.448
ballsy	напорыстая	0.531	0.491	0.414
balm	бальзам	0.625	0.275	0.414
balmy	бальзамічны	0.684	0.327	0.545
balsam	бальзаміна	0.663	0.250	0.385
balsamic	бальзамічнага	0.582	0.283	0.447
bam	бам	0.427	0.472	0.390
bamboo	бамбук	0.646	0.222	0.356
ban	NO TRANSLATION	0.146	0.689	0.587
banana	банан	0.612	0.230	0.241
band	група	0.648	0.552	0.525
bandage	бандаж	0.220	0.327	0.286
bandanna	NO TRANSLATION	0.562	0.276	0.277
bandit	бандыт	0.094	0.796	0.567
bandstand	эстрада для аркестра	0.735	0.536	0.520
bandwagon	павальнае захапленне	0.625	0.651	0.509
bandwidth	шырыня паласы	0.714	0.337	0.548
bane	атрута	0.265	0.694	0.366
bang	бах	0.265	0.951	0.740
banger	сасіска	0.378	0.540	0.538
banish	адганяць	0.163	0.677	0.543
banished	выгнаны	0.052	0.713	0.370
banishment	высылка	0.160	0.775	0.298
banister	балюстрада	0.418	0.410	0.332
banjo	банджа	0.469	0.400	0.370
bank	банк	0.562	0.327	0.675
banker	банкір	0.586	0.588	0.792
banking	банкаўская справа	0.510	0.327	0.500
bankroll	грашовыя сродкі	0.469	0.570	0.509
bankrupt	банкрут	0.163	0.673	0.337
bankruptcy	банкруцтва	0.010	0.696	0.209
banner	банер	0.521	0.408	0.474
banquet	бяседа	0.765	0.571	0.600
banshee	сірэна паветранай трывогі	0.408	0.565	0.481
banter	паджартоўваць	0.594	0.677	0.464
banzai	NO TRANSLATION	0.550	0.510	0.443
baptism	хрышчэнне	0.844	0.384	0.566
baptismal	хрысцільных	0.646	0.343	0.625
baptize	хрысціць	0.739	0.426	0.594
bar	бар	0.500	0.531	0.481
barb	бародка	0.448	0.365	0.417
barbarian	варвар	0.323	0.896	0.713
barbaric	варварскі	0.235	0.798	0.738
barbarism	варварства	0.190	0.815	0.614
barbecue	барбекю	0.792	0.643	0.456
barbed	калючы	0.177	0.594	0.455
barber	цырульнік	0.543	0.459	0.356
barbershop	цырульня	0.597	0.441	0.382
barbie doll	Barbie лялька	0.729	0.370	0.330
bard	бард	0.470	0.410	0.439
bare	голы	0.333	0.717	0.296
bareback	неоседланный	0.500	0.356	0.373
barefoot	басанож	0.445	0.373	0.241
barely	ледзь	0.448	0.183	0.268
barf	ванітаваць	0.340	0.491	0.394
bargain	здзелка	0.653	0.533	0.670
bargaining	перамовы	0.622	0.640	0.642
barge	баржа	0.469	0.388	0.465
baritone	барытон	0.592	0.529	0.500
barium	барый	0.406	0.353	0.377
bark	кара	0.360	0.602	0.395
barkeep	бармэн	0.480	0.500	0.454
barks	брэша	0.427	0.694	0.325
barley	ячмень	0.614	0.212	0.296
barmaid	буфетчыца	0.521	0.472	0.440
barman	бармэн	0.594	0.610	0.400
barn	хлеў	0.510	0.452	0.425
barnacle	кляпцы	0.408	0.337	0.457
barney	гулянка	0.451	0.378	0.440
barnyard	жывёльны двор	0.510	0.353	0.336
barometer	барометр	0.388	0.273	0.545
baron	барон	0.520	0.358	0.709
baroness	баранэса	0.625	0.453	0.755
baroque	барока	0.490	0.357	0.418
barrack	барак	0.378	0.500	0.455
barracuda	барракуда	0.333	0.713	0.510
barrage	загароду	0.388	0.871	0.627
barred	забаронены	0.143	0.741	0.535
barrel	бочка	0.429	0.298	0.474
barren	бясплодны	0.173	0.373	0.221
barricade	барыкада	0.323	0.667	0.673
barrier	бар'ер	0.333	0.480	0.562
barring	за выключэннем	0.292	0.670	0.420
barrister	барристер	0.469	0.570	0.792
barroom	Barroom	0.686	0.619	0.470
barrow	курган	0.479	0.363	0.362
bartender	бармэн	0.573	0.698	0.585
barter	бартэр	0.465	0.559	0.596
base	база	0.635	0.298	0.553
baseball	бейсбол	0.660	0.760	0.563
baseball bat	бейсбольнай бітай	0.667	0.567	0.509
baseboard	плінтус	0.396	0.198	0.405
baseless	неабгрунтаваны	0.292	0.382	0.375
baseline	базавая лінія	0.483	0.367	0.509
baseman	нізоў	0.604	0.449	0.462
basement	падвал	0.388	0.500	0.268
bases	асновы	0.569	0.236	0.591
bash	ўдар	0.385	0.546	0.463
bashful	нясмелы	0.400	0.406	0.217
basic	асноўнай	0.643	0.102	0.395
basics	асновы	0.688	0.311	0.491
basil	базілік	0.534	0.274	0.309
basilica	базіліка	0.612	0.302	0.639
basin	басейн	0.552	0.231	0.398
basis	аснова	0.602	0.260	0.426
bask	грэцца	0.760	0.330	0.381
basket	кошык	0.458	0.227	0.336
basketball	баскетбол	0.814	0.764	0.435
bass	бас	0.427	0.206	0.268
bass guitar	бас-гітара	0.738	0.370	0.294
basso	NO TRANSLATION	0.417	0.420	0.439
bassoon	фагот	0.500	0.433	0.310
bastard	вырадак	0.094	0.692	0.289
bastarding	bastarding	0.104	0.608	0.269
bastards	ўблюдкі	0.082	0.680	0.422
bastion	бастыён	0.531	0.500	0.596
bat	Лятучая мыш	0.324	0.409	0.480
batch	партыя	0.560	0.357	0.357
batching	дазуецца	0.484	0.420	0.518
bate	NO TRANSLATION	0.429	0.525	0.464
bath	ванна	0.725	0.260	0.263
bathe	купаць	0.677	0.294	0.371
bathhouse	лазня	0.602	0.380	0.459
bathing	купанне	0.740	0.276	0.361
bathrobe	халат	0.531	0.442	0.394
bathroom	ванная	0.561	0.283	0.345
bathtub	ванна	0.625	0.240	0.318
bathymetry	батиметрия	0.432	0.480	0.509
baton	дубінка	0.272	0.235	0.519
battalion	батальён	0.333	0.818	0.795
batter	дзяўбці	0.561	0.245	0.373
battered	пабіты	0.080	0.790	0.306
battering	дзяўбленне	0.210	0.798	0.490
battery	акумулятар	0.480	0.425	0.442
battle	бой	0.365	0.945	0.868
battled	змагаліся	0.292	0.794	0.575
battlefield	поле бою	0.133	0.918	0.781
battleground	поле бітвы	0.156	0.958	0.812
battlements	байніцамі	0.276	0.441	0.530
battleship	лінкор	0.479	0.750	0.726
batty	крануты	0.375	0.619	0.274
bauble	цацанка	0.698	0.429	0.255
bawdy	похабные	0.184	0.823	0.508
bawl	гарлапаніць	0.385	0.880	0.561
bay	заліў	0.719	0.365	0.569
bayonet	штыкавы	0.263	0.775	0.561
bayou	старыца	0.469	0.431	0.324
bazaar	усходні базар	0.604	0.340	0.500
bazooka	Базука	0.302	0.824	0.634
bday	Bday	0.729	0.600	0.415
be	быць	0.670	0.240	0.554
beach	пляж	0.885	0.529	0.455
beaches	пляжы	0.865	0.500	0.538
beacon	маяк	0.580	0.407	0.537
bead	шарык	0.592	0.388	0.381
beading	развальцовкой	0.542	0.320	0.398
beads	бісер	0.673	0.388	0.552
beady	пакрыты кропелькамі	0.448	0.417	0.443
beagle	гончая	0.649	0.470	0.395
beak	дзюбу	0.375	0.363	0.411
beaker	мерны шклянку	0.420	0.410	0.391
beam	прамень	0.584	0.349	0.382
beaming	прамяністы	0.892	0.654	0.587
bean	боб	0.667	0.269	0.264
beanbag	мяшок фасолі	0.450	0.380	0.340
beanie	шапочка	0.500	0.230	0.263
bear	несці	0.448	0.570	0.475
bearable	памяркоўны	0.542	0.375	0.605
beard	барада	0.490	0.261	0.371
bearded	барадаты	0.439	0.337	0.391
bearer	навіною	0.571	0.547	0.676
bearing	падшыпнік	0.571	0.367	0.474
bearings	падшыпнікі	0.418	0.490	0.426
bearish	мядзведжы	0.521	0.549	0.324
bearskin	мядзведжая шкура	0.333	0.398	0.464
beast	звер	0.214	0.780	0.732
beastly	зверскі	0.146	0.874	0.843
beat	біць	0.279	0.647	0.492
beaten	збіты	0.083	0.846	0.265
beater	біла	0.438	0.545	0.482
beating	біццё	0.153	0.833	0.481
beatnik	бітнікаў	0.429	0.510	0.382
beau	кавалер	0.612	0.440	0.432
beautification	добраўпарадкаванне	0.885	0.575	0.725
beautiful	прыгожы	0.875	0.614	0.648
beautify	упрыгожваць	0.898	0.592	0.736
beauty	прыгажосць	0.842	0.600	0.644
beaver	бабёр	0.490	0.344	0.393
bebop	бібоп	0.482	0.490	0.358
beck	вабіць	0.580	0.375	0.418
beckon	вабіць	0.663	0.455	0.452
become	стаць	0.641	0.583	0.643
bed	ложак	0.604	0.173	0.327
bedding	пасцельныя прыналежнасці	0.704	0.276	0.377
bedpan	подкладное судна	0.510	0.400	0.362
bedrock	карэнная парода	0.561	0.340	0.598
bedroom	спальня	0.744	0.296	0.491
bedside	прыложкавыя	0.604	0.167	0.375
bedspread	пасцельная покрыва	0.551	0.139	0.292
bedtime	час адыходу да сну	0.673	0.314	0.373
bee	пчала	0.520	0.509	0.309
beef	ялавічына	0.582	0.312	0.492
beefsteak	біфштэкс	0.594	0.391	0.455
beehive	вулей	0.541	0.700	0.422
beep	гудок	0.595	0.541	0.304
beeper	бипер	0.438	0.720	0.441
beer	піва	0.592	0.654	0.500
bees	пчолы	0.562	0.635	0.412
beeswax	воск	0.583	0.402	0.375
beetle	жук	0.323	0.356	0.295
befall	здарацца	0.520	0.663	0.585
befitting	прыдатны	0.708	0.333	0.394
befriend	дапамагаць	0.930	0.624	0.471
befuddled	збянтэжаны	0.156	0.714	0.269
beg	маліць	0.292	0.608	0.328
beggar	жабрак	0.240	0.402	0.116
begging	жабрацтва	0.292	0.461	0.202
begin	пачаць	0.677	0.569	0.763
beginner	пачатковец	0.490	0.480	0.387
beginning	пачатак	0.816	0.528	0.558
beginnings	вытокі	0.837	0.527	0.600
begrudge	зайздросціць	0.177	0.731	0.377
begun	пачаты	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	весці	0.677	0.363	0.747
behavior	паводзіны	0.594	0.442	0.813
behavioral	паводніцкі	0.612	0.440	0.708
behemoth	бегемот	0.583	0.781	0.853
behest	загад	0.602	0.350	0.720
behold	вось	0.610	0.284	0.449
beholden	Удзячнасць	0.296	0.555	0.212
beholder	відавочца	0.714	0.491	0.520
beige	бэжавы	0.490	0.222	0.224
belated	запознены	0.240	0.400	0.214
belay	адставіць	0.500	0.472	0.702
belch	адрыжка	0.194	0.562	0.240
belief	вера	0.896	0.375	0.656
believable	праўдападобна	0.866	0.390	0.676
believe	верыць	0.781	0.370	0.682
believed	лічыцца,	0.500	0.562	0.547
believer	вернік	0.725	0.445	0.564
believing	мяркуючы	0.870	0.418	0.833
belittle	прынізіць	0.122	0.417	0.250
belittled	прыніжаецца	0.177	0.392	0.226
bell	звон	0.552	0.510	0.505
bellboy	калідорны	0.542	0.363	0.302
bellhop	калідорны	0.500	0.287	0.318
belligerent	ваяўнічы	0.344	0.680	0.594
bellman	вяшчальнік	0.540	0.250	0.371
bellow	роў	0.248	0.337	0.212
bellows	сильфон	0.458	0.515	0.429
belly	жывот	0.510	0.388	0.387
bellybutton	пупок	0.531	0.283	0.360
bellyful	сытасць	0.347	0.806	0.519
belong	належаць	0.643	0.405	0.569
belongings	пажыткі	0.592	0.380	0.750
beloved	ўмілаваная	0.969	0.613	0.708
belt	рэмень	0.541	0.322	0.445
beluga	бялуга	0.510	0.333	0.482
bemused	ашаломлены	0.281	0.490	0.278
bench	лава	0.571	0.289	0.544
bend	выгіб	0.571	0.324	0.368
bender	кляшчы	0.490	0.510	0.466
bending	выгіб	0.448	0.565	0.455
beneath	пад	0.354	0.173	0.233
benedictory	Хто дабраслаўляе	0.677	0.438	0.481
benefactor	дабрадзей	0.833	0.578	0.755
beneficial	выгадны	0.820	0.579	0.703
beneficiary	бенефіцыяры	0.776	0.399	0.616
benefit	выгада	0.906	0.422	0.806
benevolence	добразычлівасць	0.786	0.340	0.717
benevolent	добразычлівы	0.786	0.407	0.651
benign	дабраякасны	0.694	0.440	0.509
bent	выгнуты	0.375	0.453	0.298
benzene	бензол	0.439	0.459	0.403
bequeath	завяшчаць	0.743	0.500	0.741
bequest	спадчыну	0.661	0.398	0.882
bereaved	Балеснай	0.104	0.479	0.221
bereavement	цяжкая страта	0.265	0.677	0.500
bereft	пазбаўлены	0.229	0.490	0.336
beret	бярэ	0.542	0.240	0.327
bergamot	бергамот	0.510	0.365	0.339
berlin	Берлін	0.592	0.423	0.571
berserk	апантаны	0.398	0.556	0.480
berth	спальнае месца	0.295	0.337	0.596
beryllium	берылій	0.417	0.412	0.425
beseech	маліць	0.330	0.441	0.600
beset	абложваць	0.385	0.717	0.317
bestdayever	лепшы дзень	0.760	0.646	0.593
bestfeeling	bestfeeling	0.806	0.509	0.625
bestfriends	Лепшыя сябры	0.934	0.662	0.647
bestial	распусныя	0.260	0.761	0.674
besties	Besties	0.888	0.509	0.614
bestow	дараваць	0.656	0.560	0.642
bestseller	бэстсэлер	0.771	0.643	0.700
bet	стаўка	0.385	0.698	0.432
beta	бэта	0.710	0.370	0.439
betray	даводзіць да агульнага	0.042	0.870	0.536
betrayal	здрада	0.083	0.719	0.418
betrayed	здрадзіла	0.122	0.769	0.308
betrothed	заручаная	0.833	0.630	0.667
betterment	паляпшэнне	0.898	0.536	0.769
betting	заклад	0.237	0.804	0.411
betty	Бэці	0.542	0.358	0.381
bevel	скос	0.757	0.406	0.454
beverage	напой	0.635	0.490	0.389
bevy	зграя	0.429	0.460	0.541
beware	сцерагчыся	0.151	0.596	0.518
bewilder	бянтэжыць	0.306	0.571	0.289
bewildered	збянтэжаны	0.230	0.630	0.300
bewilderment	здзіўленне	0.312	0.716	0.216
bias	зрушэнне	0.400	0.370	0.541
biased	старонны	0.271	0.302	0.368
bib	нагруднік	0.385	0.396	0.339
bible	біблія	0.719	0.225	0.726
biblical	біблейскі	0.635	0.304	0.712
bibliography	бібліяграфія	0.622	0.204	0.528
bicarbonate	бікарбанат	0.479	0.337	0.438
bicentennial	двухсотгоддзе	0.541	0.423	0.507
biceps	біцэпс	0.592	0.588	0.602
bicker	спрачацца	0.143	0.643	0.552
bickering	сварка	0.122	0.800	0.536
bicolor	двухколерны	0.580	0.327	0.404
bicycle	ровар	0.708	0.519	0.425
bid	прапанова	0.760	0.530	0.655
bidder	прэтэндэнт	0.465	0.474	0.433
bidding	таргі	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	двухгадовы	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	разгалінаванне	0.385	0.625	0.352
big	вялікі	0.802	0.588	0.812
bigamy	дваяжэнства	0.327	0.696	0.482
bigday	bigday	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	Biggie	0.531	0.481	0.500
bighorn	толсторог	0.480	0.547	0.580
bigmouth	вялікі рот	0.417	0.577	0.430
bigot	фанатык	0.479	0.745	0.517
bigoted	нецярпімы	0.153	0.760	0.462
bigotry	фанатызм	0.356	0.737	0.481
bike	ровар	0.708	0.500	0.333
biker	байкер	0.604	0.710	0.567
bikini	бікіні	0.730	0.639	0.353
bilateral	двухбаковы	0.633	0.343	0.491
bilayer	двайны пласт	0.438	0.398	0.388
bile	жоўць	0.157	0.461	0.324
bilge	дно	0.316	0.392	0.412
bilingual	двухмоўны	0.735	0.490	0.606
bill	кошт	0.396	0.402	0.535
billboard	рэкламны шчыт	0.594	0.317	0.481
billet	даўбешка	0.479	0.583	0.500
billiard	більярдны	0.719	0.616	0.543
billiards	більярд	0.643	0.559	0.387
billing	білінг	0.406	0.481	0.670
billion	мільярд	0.719	0.564	0.782
billionaire	мільярдэр	0.806	0.667	0.923
billy	дубінка	0.490	0.397	0.375
bimbo	пустышка	0.396	0.370	0.300
bimonthly	раз у два месяцы	0.408	0.298	0.471
bin	бункер	0.422	0.304	0.327
binary	двайковы	0.490	0.356	0.420
bind	прывязваць	0.398	0.462	0.448
binder	злучнае рэчыва	0.438	0.250	0.308
bindery	пераплетная	0.548	0.388	0.482
binding	пераплёт	0.438	0.425	0.640
bing	Бінг	0.573	0.453	0.415
binge	выпіўка	0.304	0.650	0.500
bingo	Бінга	0.735	0.667	0.429
binocular	бінакулярны	0.531	0.344	0.426
binoculars	бінокль	0.490	0.309	0.411
binomial	біном	0.600	0.406	0.426
bio	бія	0.612	0.225	0.490
biochemical	біяхімічны	0.367	0.481	0.618
biochemist	біяхімік	0.471	0.449	0.717
biochemistry	біяхімія	0.552	0.531	0.596
biogenesis	биогенез	0.594	0.442	0.697
biographer	біёграф	0.708	0.427	0.617
biography	біяграфія	0.698	0.229	0.718
biological	біялагічны	0.590	0.410	0.615
biologist	біёлаг	0.625	0.453	0.693
biology	біялогія	0.479	0.274	0.546
bionic	бионический	0.571	0.570	0.788
biopsy	біяпсія	0.323	0.657	0.481
biosphere	біясфера	0.684	0.351	0.579
bipartite	двураздельный	0.365	0.480	0.464
bipolar	біпалярны	0.208	0.685	0.426
birch	бяроза	0.562	0.346	0.382
bird	птушка	0.729	0.357	0.364
birdcage	клетка	0.480	0.398	0.318
birdie	птушачка	0.594	0.394	0.407
birdman	арнітолаг	0.490	0.567	0.604
birth	нараджэнне	0.896	0.655	0.536
birthday	дзень нараджэння	0.969	0.844	0.575
birthing	радзільны	0.796	0.877	0.519
birthmark	радзімка	0.630	0.461	0.500
