Word	Czech-cs	Valence	Arousal	Dominance
den	NO TRANSLATION	0.510	0.347	0.398
deniability	deniability	0.230	0.509	0.417
denial	odmítnutí	0.194	0.435	0.318
denied	popřel	0.188	0.604	0.333
denim	denim	0.520	0.382	0.327
denomination	označení	0.490	0.363	0.429
denominational	denominační	0.458	0.375	0.679
denominator	jmenovatel	0.450	0.410	0.613
denote	označit	0.448	0.471	0.534
denounce	vypovědět	0.083	0.780	0.426
dense	hustý	0.354	0.343	0.536
density	hustota	0.602	0.471	0.561
dent	důlek	0.306	0.606	0.325
dental	zubní	0.573	0.404	0.463
dentist	zubař	0.479	0.620	0.642
dentistry	zubní lékařství	0.429	0.570	0.569
dentists	zubní lékaři	0.364	0.600	0.582
denunciation	vypovězení	0.146	0.830	0.561
deny	odmítnout	0.316	0.667	0.321
denying	popírání	0.080	0.542	0.272
deodorant	deodorant	0.480	0.265	0.269
depart	odjet	0.398	0.480	0.444
departed	odešel	0.245	0.536	0.391
department	oddělení	0.708	0.358	0.642
departmental	resortní	0.612	0.422	0.446
departure	odchod	0.573	0.500	0.426
depend	záviset	0.388	0.429	0.358
dependable	spolehlivý	0.880	0.357	0.741
dependant	závislé	0.357	0.404	0.451
dependence	závislost	0.250	0.451	0.433
dependency	závislost	0.429	0.365	0.356
dependent	závislé	0.354	0.455	0.404
depict	zobrazovat	0.663	0.529	0.723
depicting	zobrazovat	0.490	0.566	0.602
depletion	vyčerpání	0.153	0.370	0.236
deplorable	žalostný	0.135	0.657	0.230
deplore	lituji	0.135	0.575	0.373
deploy	nasazení	0.500	0.520	0.585
deployment	rozvinutí	0.510	0.520	0.612
deport	deportovat	0.167	0.667	0.546
deportation	deportace	0.104	0.786	0.450
depose	sesadit	0.286	0.420	0.451
deposit	vklad	0.540	0.379	0.483
depositary	depozitáře	0.604	0.431	0.500
deposition	depozice	0.394	0.510	0.471
depository	úschovna	0.551	0.373	0.481
depot	sklad	0.635	0.255	0.471
depraved	zkažený	0.031	0.837	0.395
depravity	znechucení	0.115	0.854	0.453
depreciate	znehodnotit	0.270	0.623	0.445
depreciated	znehodnoceno	0.135	0.672	0.250
depreciation	amortizace	0.143	0.571	0.386
depress	stlačte	0.219	0.635	0.528
depressed	deprimovaný	0.024	0.445	0.136
depressing	depresivní	0.146	0.559	0.216
depression	Deprese	0.031	0.520	0.232
depressive	depresivní	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	deprivace	0.194	0.610	0.413
deprive	zbavit	0.271	0.591	0.340
deprived	zbaveno	0.354	0.506	0.536
depth	hloubka	0.708	0.561	0.759
deputy	náměstek	0.429	0.530	0.787
derail	vykolejit	0.108	0.802	0.375
deranged	rozrušený	0.376	0.868	0.357
derelict	opuštěný	0.208	0.470	0.237
derision	výsměch	0.265	0.670	0.292
derivation	derivace	0.521	0.519	0.644
derivative	derivát	0.541	0.491	0.508
derive	odvodit	0.396	0.324	0.360
dermal	kožní	0.385	0.406	0.443
dermatologist	dermatolog	0.531	0.358	0.528
dermatology	dermatologie	0.422	0.500	0.556
derogation	odchylky	0.208	0.460	0.327
derogatory	hanlivý	0.122	0.580	0.404
descend	sestoupit	0.385	0.535	0.231
descendant	potomek	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	klesající	0.219	0.493	0.250
descent	klesání	0.300	0.402	0.158
describe	popsat	0.542	0.472	0.555
description	popis	0.582	0.425	0.596
descriptive	popisný	0.667	0.352	0.570
desecrate	znesvětit	0.255	0.806	0.509
desecration	znesvěcení	0.125	0.833	0.564
desert	poušť	0.469	0.279	0.389
deserted	opuštěný	0.156	0.480	0.214
deserter	dezertér	0.122	0.710	0.366
desertion	dezerce	0.122	0.630	0.289
deserve	zasloužit si	0.802	0.436	0.613
deserved	zasloužený	0.781	0.582	0.689
deserving	zaslouží si	0.802	0.596	0.858
design	design	0.796	0.327	0.632
designate	určit	0.531	0.538	0.683
designated	označeno	0.500	0.412	0.616
designation	označení	0.612	0.571	0.675
designed	navrženo	0.745	0.380	0.595
designer	návrhář	0.875	0.519	0.670
designing	navrhování	0.792	0.355	0.552
desirability	žádoucí	0.684	0.550	0.675
desirable	žádoucí	0.740	0.735	0.750
desire	touha	0.896	0.692	0.647
desiring	touží	0.814	0.821	0.632
desirous	touží	0.719	0.824	0.562
desist	přestat	0.220	0.358	0.291
desk	lavice	0.510	0.135	0.422
desolate	pustý	0.104	0.320	0.228
desolation	zpustošení	0.073	0.481	0.273
despair	zoufalství	0.115	0.794	0.245
despairing	zoufalý	0.073	0.735	0.286
despatch	expedice	0.448	0.400	0.613
desperado	zoufalec	0.260	0.745	0.361
desperate	zoufalý	0.083	0.842	0.337
desperation	zoufalství	0.125	0.904	0.419
despicable	opovrženíhodný	0.146	0.710	0.255
despise	opovrhovat	0.167	0.745	0.296
despondent	sklíčený	0.133	0.378	0.221
despotic	despotický	0.141	0.824	0.592
despotism	despotismus	0.255	0.696	0.620
dessert	dezert	0.755	0.491	0.404
destination	destinace	0.708	0.471	0.637
destined	určený	0.698	0.462	0.617
destiny	osud	0.781	0.413	0.611
destitute	opuštěný	0.130	0.451	0.222
destroy	zničit	0.046	0.935	0.635
destroyed	zničeno	0.031	0.696	0.288
destroyer	ničitel	0.083	0.830	0.543
destroying	ničení	0.041	0.828	0.660
destruct	zničit	0.071	0.868	0.525
destruction	zničení	0.102	0.929	0.613
destructive	destruktivní	0.177	0.870	0.713
detach	odpojit	0.357	0.625	0.450
detached	oddělené	0.280	0.396	0.216
detachment	oddělení	0.243	0.700	0.443
detail	detail	0.514	0.406	0.528
detailed	detailní	0.603	0.314	0.472
details	podrobnosti	0.583	0.367	0.481
detain	zadržet	0.351	0.345	0.430
detainee	zadržená osoba	0.306	0.510	0.321
detect	detekovat	0.531	0.520	0.565
detectable	detekovatelné	0.479	0.539	0.649
detection	detekce	0.708	0.567	0.538
detective	detektivní	0.500	0.764	0.901
detector	detektor	0.459	0.630	0.724
detention	zadržení	0.265	0.698	0.562
deter	odradit	0.344	0.537	0.567
detergent	čisticí prostředek	0.458	0.304	0.426
deteriorate	zhoršit	0.083	0.471	0.202
deteriorated	poškozen	0.053	0.549	0.237
deteriorating	zhoršující se	0.104	0.459	0.112
deterioration	zhoršení	0.130	0.512	0.283
determinable	určitelná	0.625	0.565	0.723
determinate	určit	0.630	0.314	0.772
determination	odhodlání	0.776	0.725	0.795
determine	určit	0.612	0.368	0.776
determined	odhodlaný	0.760	0.528	0.673
deterrent	odstrašující	0.292	0.461	0.385
detest	nenávidět	0.083	0.800	0.492
detestation	ošklivost	0.177	0.637	0.412
detonate	vybuchnout	0.375	0.850	0.696
detonation	detonace	0.167	0.931	0.741
detonator	rozbuška	0.207	0.875	0.750
detour	objížďka	0.398	0.539	0.309
detract	znehodnotit	0.344	0.438	0.368
detriment	újma	0.281	0.538	0.263
detrimental	škodlivý	0.203	0.679	0.387
detritus	detritus	0.276	0.353	0.363
deuce	čert	0.479	0.338	0.425
deutschmark	deutschmark	0.439	0.431	0.509
devalued	devalvováno	0.321	0.462	0.212
devastate	zpustošit	0.021	0.796	0.509
devastated	zničený	0.120	0.544	0.264
devastating	zničující	0.104	0.856	0.419
devastation	devastace	0.090	0.904	0.472
develop	rozvíjet	0.771	0.670	0.821
developer	vývojář	0.844	0.653	0.864
developing	rozvíjející se	0.833	0.587	0.714
development	rozvoj	0.827	0.500	0.796
deviant	deviantní	0.094	0.589	0.398
deviate	odchýlit se	0.173	0.562	0.269
deviating	odchylovat	0.354	0.634	0.536
deviation	odchylka	0.105	0.513	0.336
device	přístroj	0.562	0.404	0.627
devil	ďábel	0.161	0.900	0.611
deviled	devil	0.347	0.559	0.358
devilish	ďábelský	0.073	0.865	0.490
devious	křivolaký	0.250	0.519	0.259
devise	vymyslet	0.551	0.557	0.670
devoid	bez	0.219	0.436	0.300
devolution	decentralizace	0.345	0.434	0.425
devolve	přenést	0.367	0.427	0.596
devote	věnovat	0.802	0.490	0.642
devoted	oddaný	0.867	0.320	0.698
devotee	oddaný	0.816	0.461	0.577
devotion	oddanost	0.802	0.561	0.673
devotional	oddanost	0.740	0.394	0.655
devour	pohltit	0.344	0.888	0.574
devout	zbožný	0.620	0.357	0.464
dew	rosa	0.604	0.225	0.464
dexter	dexter	0.458	0.473	0.444
dexterity	šikovnost	0.771	0.673	0.864
dextrose	dextróza	0.333	0.402	0.323
diabetes	diabetes	0.051	0.472	0.279
diabetic	diabetik	0.125	0.269	0.237
diabolical	ďábelský	0.102	0.912	0.456
diagnose	diagnostikovat	0.378	0.520	0.714
diagnosis	diagnóza	0.571	0.500	0.819
diagnostic	diagnostický	0.417	0.483	0.635
diagnostics	diagnostika	0.540	0.440	0.750
diagonal	úhlopříčka	0.500	0.343	0.410
diagram	diagram	0.562	0.357	0.445
dial	vytáčení	0.620	0.427	0.596
dialect	dialekt	0.635	0.422	0.526
dialectic	dialektický	0.510	0.540	0.638
dialogue	dialog	0.599	0.441	0.625
dialysis	dialýza	0.194	0.567	0.407
diameter	průměr	0.427	0.298	0.483
diamond	diamant	0.910	0.606	0.769
diamonds	diamanty	0.927	0.684	0.917
diaper	plena	0.409	0.274	0.155
diaphragm	membrána	0.459	0.337	0.517
diarrhea	průjem	0.092	0.684	0.143
diarrhoea	průjem	0.038	0.692	0.250
diary	deník	0.698	0.292	0.464
diatribe	invektiva	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	syrský sirup	0.510	0.410	0.391
dice	kostky	0.458	0.441	0.264
dicey	riskantní	0.290	0.833	0.727
dichotomous	dichotomický	0.365	0.452	0.538
dichotomy	dichotomie	0.323	0.482	0.483
dick	dick	0.208	0.500	0.462
dickhead	dickhead	0.115	0.608	0.284
dicks	dicks	0.310	0.694	0.358
dictate	diktovat	0.480	0.423	0.668
dictation	diktát	0.255	0.378	0.627
dictator	diktátor	0.073	0.760	0.862
dictatorial	diktátorský	0.204	0.770	0.840
dictatorship	diktatura	0.082	0.806	0.784
diction	dikce	0.439	0.373	0.679
dictionary	slovník	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	didaktický	0.645	0.480	0.673
diddle	ošidit	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	zemřel	0.021	0.650	0.327
diesel	motorová nafta	0.490	0.327	0.448
diet	strava	0.429	0.235	0.398
dietary	dietní	0.551	0.220	0.261
differ	lišit	0.230	0.398	0.396
difference	rozdíl	0.474	0.560	0.483
differences	rozdíly	0.365	0.582	0.342
different	odlišný	0.612	0.394	0.473
differential	rozdíl	0.520	0.378	0.535
differentiation	diferenciace	0.367	0.561	0.535
differently	jinak	0.480	0.431	0.506
differing	liší se	0.418	0.410	0.455
difficult	obtížný	0.235	0.700	0.508
difficulties	potíže	0.082	0.784	0.357
difficulty	obtížnost	0.079	0.740	0.368
diffuse	šířit	0.430	0.431	0.321
diffusion	difúze	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	strávit	0.720	0.413	0.483
digestion	trávení	0.531	0.410	0.455
digestive	zažívací	0.542	0.413	0.434
digit	číslice	0.447	0.286	0.333
digital	digitální	0.740	0.382	0.529
dignified	důstojný	0.766	0.481	0.635
dignify	poctít	0.854	0.588	0.735
dignity	důstojnost	0.844	0.391	0.873
digress	odbočit	0.271	0.625	0.411
digs	podnájem	0.448	0.670	0.635
dike	hráz	0.360	0.384	0.490
dilapidated	zchátralý	0.229	0.618	0.286
dilatation	dilatace	0.385	0.574	0.368
dilation	dilatace	0.347	0.490	0.578
dildo	dildo	0.536	0.587	0.491
dilemma	dilema	0.153	0.590	0.430
diligence	pečlivost	0.688	0.423	0.700
diligent	pilný	0.760	0.426	0.759
dill	kopr	0.427	0.360	0.373
diluent	ředící	0.417	0.344	0.332
dilute	zředit	0.275	0.192	0.349
diluted	zředěný	0.469	0.310	0.229
dilution	ředění	0.445	0.337	0.352
dim	ztlumit	0.398	0.321	0.273
dime	deseticent	0.653	0.317	0.345
dimension	dimenze	0.592	0.415	0.627
dimensional	dimenzionální	0.561	0.484	0.596
diminish	snížit	0.240	0.357	0.167
diminished	snížena	0.156	0.269	0.196
diminution	zmenšení	0.316	0.296	0.245
diminutive	zdrobnělina	0.323	0.200	0.109
dimwit	dimwit	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	večeřet	0.821	0.519	0.478
diner	večeře	0.643	0.302	0.538
dinghy	malý člun	0.510	0.269	0.325
dingo	dingo	0.608	0.472	0.346
dingy	omšelý	0.156	0.483	0.343
dining	stravování	0.724	0.350	0.459
dinky	hezoučký	0.357	0.451	0.358
dinner	večeře	0.823	0.392	0.379
dinnertime	čas večeře	0.796	0.406	0.341
dinosaur	dinosaurus	0.448	0.630	0.596
dint	dint	0.378	0.480	0.492
diocesan	diecézní	0.520	0.283	0.518
diocese	diecéze	0.510	0.288	0.575
diorama	dioramu	0.592	0.441	0.462
dioxide	dioxidu	0.354	0.433	0.456
dip	ponoření	0.516	0.583	0.397
diploma	diplom	0.750	0.462	0.731
diplomacy	diplomacie	0.740	0.396	0.774
diplomat	diplomat	0.563	0.262	0.868
diplomatic	diplomatický	0.653	0.363	0.918
dipper	lžíce	0.548	0.361	0.348
dippy	namočený	0.430	0.402	0.340
dipstick	měrka	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	Přímo	0.793	0.403	0.650
directed	řízené	0.542	0.490	0.541
direction	směr	0.719	0.330	0.684
directive	směrnice	0.604	0.530	0.918
directly	přímo	0.747	0.400	0.702
director	ředitel	0.688	0.580	0.912
directory	adresář	0.439	0.413	0.538
dirt	špína	0.112	0.500	0.236
dirty	špinavý	0.153	0.460	0.170
disability	postižení	0.073	0.482	0.173
disable	zakázat	0.115	0.430	0.269
disabled	zakázáno	0.308	0.443	0.235
disadvantage	nevýhoda	0.150	0.377	0.282
disaffected	nespokojen	0.176	0.410	0.291
disagree	nesouhlasit	0.133	0.590	0.345
disagreeable	nepříjemný	0.042	0.643	0.178
disagreeing	nesouhlasím	0.255	0.643	0.350
disagreement	nesouhlas	0.104	0.618	0.236
disallow	zakázat	0.156	0.519	0.424
disallowed	zakázáno	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	zmizet	0.143	0.441	0.350
disappearance	zmizení	0.214	0.698	0.367
disappearing	mizí	0.167	0.427	0.379
disappoint	zklamat	0.150	0.633	0.288
disappointed	zklamaný	0.071	0.472	0.241
disappointing	zklamání	0.073	0.640	0.200
disappointment	zklamání	0.115	0.490	0.336
disapproval	nesouhlas	0.085	0.551	0.367
disapprove	neschválit	0.160	0.594	0.445
disapproved	zamítnuto	0.104	0.550	0.114
disapproving	nesouhlasí	0.245	0.625	0.452
disarm	odzbrojit	0.292	0.528	0.613
disarray	zmatek	0.198	0.657	0.223
disaster	katastrofa	0.082	0.892	0.433
disastrous	katastrofální	0.071	0.741	0.439
disband	rozpustit	0.302	0.491	0.417
disbelief	nevíra	0.188	0.409	0.373
disbelieve	nevěřit	0.188	0.441	0.352
disburse	vyplácet	0.418	0.473	0.353
disbursement	vyplácení	0.240	0.443	0.435
disc	disk	0.622	0.410	0.426
discard	vyřadit	0.240	0.343	0.337
discarded	vyřazeno	0.229	0.460	0.308
discards	výmětů	0.240	0.464	0.391
discern	rozeznat	0.459	0.566	0.518
discernible	rozlišitelné	0.427	0.441	0.481
discerning	náročné	0.542	0.584	0.780
discernment	rozlišování	0.408	0.471	0.694
discharge	vybít	0.427	0.538	0.578
disciple	žák	0.765	0.385	0.462
disciplinary	disciplinární	0.562	0.593	0.796
discipline	disciplína	0.615	0.471	0.806
disciplined	disciplinované	0.728	0.450	0.750
disclaim	odmítnout	0.235	0.509	0.321
disclaimer	odmítnutí odpovědnosti	0.367	0.571	0.542
disclose	zveřejnit	0.490	0.570	0.545
disclosed	zveřejněno	0.271	0.575	0.546
disclosure	zveřejnění	0.500	0.615	0.710
disco	disko	0.710	0.806	0.575
discoloration	odbarvení	0.224	0.373	0.414
discolored	vybledlé	0.204	0.340	0.269
discomfort	nepohodlí	0.153	0.719	0.272
disconcerted	znepokojen	0.100	0.612	0.288
disconcerting	znepokojující	0.106	0.549	0.269
disconnect	odpojit	0.438	0.292	0.191
disconnected	odpojeno	0.292	0.276	0.173
disconnection	odpojení	0.167	0.283	0.277
disconnects	odpojení	0.256	0.357	0.241
discontent	nespokojenost	0.240	0.530	0.263
discontinuance	zastavení	0.123	0.741	0.337
discontinue	přestat	0.354	0.396	0.349
discontinuity	diskontinuita	0.303	0.439	0.250
discontinuous	diskontinuální	0.233	0.409	0.316
discord	svár	0.115	0.882	0.465
discount	sleva	0.724	0.530	0.302
discounted	diskontováno	0.677	0.471	0.430
discourage	odradit	0.184	0.443	0.267
discouraged	odradit	0.220	0.304	0.090
discouragement	odrazování	0.112	0.319	0.206
discouraging	odrazující	0.167	0.469	0.281
discourse	diskursu	0.410	0.550	0.803
discover	objevit	0.771	0.793	0.673
discovery	objev	0.823	0.627	0.814
discredit	diskreditovat	0.075	0.529	0.355
discredited	diskreditován	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	rozpor	0.260	0.643	0.417
discrete	oddělený	0.585	0.231	0.429
discretion	uvážení	0.552	0.320	0.685
discretionary	diskreční	0.520	0.365	0.446
discriminate	diskriminovat	0.125	0.761	0.366
discriminating	diskriminující	0.160	0.783	0.462
discrimination	diskriminace	0.051	0.724	0.379
discus	disk	0.542	0.423	0.343
discuss	diskutovat	0.396	0.769	0.509
discussion	diskuse	0.333	0.842	0.536
disdain	pohrdání	0.153	0.446	0.441
disdainful	pohrdavý	0.097	0.480	0.263
disease	choroba	0.041	0.539	0.333
diseased	nemocný	0.123	0.510	0.134
disembodied	bez vycpávky	0.167	0.620	0.412
disengage	odpojit	0.406	0.529	0.304
disengagement	uvolnění	0.327	0.373	0.395
disfigured	znetvořený	0.153	0.613	0.336
disgrace	ostuda	0.061	0.531	0.331
disgraced	znechucen	0.071	0.661	0.250
disgraceful	hanebný	0.082	0.702	0.240
disgruntled	nespokojený	0.104	0.658	0.442
disguise	přestrojení	0.573	0.694	0.431
disguised	skryté	0.500	0.615	0.326
disgust	hnus	0.052	0.775	0.317
disgusted	znechucený	0.051	0.773	0.274
disgusting	nechutný	0.031	0.796	0.245
dish	jídlo	0.552	0.255	0.264
disheartened	dezertován	0.153	0.343	0.238
disheartening	deprimující	0.010	0.353	0.224
dishonest	nečestný	0.191	0.491	0.163
dishonesty	nepoctivost	0.094	0.592	0.348
dishonor	hanba	0.104	0.620	0.185
dishonorable	nečestný	0.112	0.641	0.280
dishwasher	myčka	0.480	0.296	0.324
disillusionment	rozčarování	0.051	0.519	0.190
disinclination	nechuť	0.125	0.491	0.330
disincline	být neochotný	0.458	0.454	0.278
disinclined	neochotně	0.385	0.442	0.364
disinfect	dezinfikovat	0.448	0.388	0.648
disinfectant	dezinfekční prostředek	0.531	0.429	0.460
disinfection	dezinfekce	0.517	0.556	0.473
disinformation	dezinformace	0.230	0.577	0.260
disingenuous	neústupný	0.194	0.509	0.204
disintegrate	rozpadat	0.143	0.660	0.364
disintegration	rozpad	0.094	0.551	0.381
disinterested	nezaujatý	0.398	0.284	0.392
disjoint	disjoint	0.351	0.385	0.322
disjointed	nesouvislý	0.323	0.518	0.365
disjunctive	disjunktivní	0.286	0.481	0.400
disk	disk	0.573	0.423	0.412
diskette	disketa	0.531	0.255	0.391
dislike	nemít rád	0.156	0.406	0.321
disliked	neměl rád	0.062	0.510	0.221
disliking	nelíbí se	0.163	0.637	0.366
dislocated	dislokováno	0.125	0.625	0.200
dislocation	dislokace	0.229	0.565	0.373
dislodge	vytlačit	0.214	0.769	0.356
disloyal	neloajální	0.062	0.582	0.245
disloyalty	neloajálnost	0.187	0.716	0.267
dismal	tristní	0.194	0.450	0.192
dismantle	demontovat	0.347	0.644	0.462
dismay	zděšení	0.314	0.681	0.459
dismayed	zděšený	0.165	0.735	0.389
dismemberment	rozdělení	0.104	0.860	0.470
dismiss	propustit	0.167	0.541	0.509
dismissal	propuštění	0.153	0.723	0.271
dismissive	odmítavý	0.188	0.541	0.430
dismount	sesednout	0.361	0.423	0.391
disobedience	neposlušnost	0.051	0.868	0.369
disobedient	neposlušný	0.276	0.706	0.353
disobey	neuposlechnout	0.143	0.556	0.491
disorder	porucha	0.115	0.816	0.218
disordered	neuspořádané	0.210	0.714	0.288
disorderly	nepořádně	0.188	0.748	0.385
disorganized	neorganizovaný	0.052	0.507	0.184
disorientation	dezorientace	0.163	0.472	0.212
disoriented	dezorientovaný	0.227	0.643	0.227
disown	popřít	0.153	0.637	0.368
disparage	znevažovat	0.092	0.663	0.336
disparaging	znepokojující	0.102	0.626	0.411
disparate	odlišné	0.438	0.500	0.368
disparity	disparita	0.208	0.482	0.361
dispassionate	nestoudné	0.199	0.217	0.218
dispatch	odeslání	0.317	0.417	0.555
dispatcher	odesílatel	0.365	0.704	0.652
dispel	rozptýlit	0.388	0.402	0.411
dispensary	lékárna	0.406	0.380	0.606
dispensation	dispenzace	0.388	0.462	0.490
dispense	vydávat	0.561	0.520	0.518
dispenser	dávkovač	0.583	0.392	0.470
dispersal	rozptýlení	0.388	0.507	0.421
disperse	rozptýlit	0.375	0.569	0.434
dispersed	rozptýlené	0.344	0.490	0.274
dispersion	disperze	0.270	0.604	0.350
dispirited	deprimovaný	0.204	0.280	0.142
displace	přemístit	0.424	0.541	0.454
displaced	vysídlených	0.281	0.472	0.291
displacement	přemístění	0.276	0.531	0.481
displacency	znepokojení	0.500	0.528	0.642
display	Zobrazit	0.677	0.325	0.400
displease	nelíbí se	0.021	0.702	0.286
displeased	nespokojen	0.135	0.690	0.400
displeasure	nelibost	0.115	0.559	0.250
disposable	jednorázový	0.271	0.439	0.250
disposal	likvidace	0.135	0.608	0.396
dispose	likvidovat	0.548	0.538	0.559
disposed	uspořádány	0.688	0.441	0.625
disposition	dispozice	0.663	0.542	0.734
dispossessed	vyřazen	0.354	0.577	0.331
disprove	vyvrátit	0.375	0.625	0.613
dispute	spor	0.219	0.750	0.585
disqualification	diskvalifikace	0.066	0.677	0.330
disqualified	diskvalifikovaný	0.129	0.464	0.232
disqualify	diskvalifikovat	0.208	0.595	0.267
disquieted	znepokojen	0.229	0.850	0.290
disregard	ignorovat	0.177	0.647	0.308
disregarded	ignorováno	0.260	0.458	0.283
disrelish	nemít rád	0.375	0.471	0.304
disreputable	pochybný	0.104	0.688	0.353
disrepute	špatná pověst	0.208	0.630	0.292
disrespect	neúcta	0.062	0.637	0.302
disrespectful	neuctivý	0.031	0.694	0.273
disrupt	narušit	0.265	0.640	0.349
disrupting	narušení	0.186	0.557	0.339
disruption	narušení	0.235	0.735	0.436
disruptive	rušivý	0.255	0.755	0.575
dissatisfaction	nespokojenost	0.115	0.663	0.202
dissatisfied	nespokojený	0.042	0.561	0.291
dissect	pitvat	0.367	0.750	0.595
dissection	pitva	0.276	0.632	0.462
disseminate	šířit	0.562	0.608	0.750
dissemination	šíření	0.476	0.551	0.583
dissension	neshoda	0.250	0.618	0.414
dissent	nesouhlasit	0.300	0.655	0.407
dissenting	nesouhlasí	0.208	0.552	0.366
dissertation	disertační práce	0.312	0.575	0.575
disservice	slabost	0.250	0.794	0.480
dissident	disident	0.350	0.582	0.413
dissimilar	odlišný	0.276	0.461	0.472
dissipate	rozptýlit	0.385	0.368	0.355
dissipated	rozptýlena	0.281	0.421	0.231
dissociation	disociace	0.135	0.555	0.471
dissociative	disociativní	0.281	0.615	0.397
dissolution	rozpuštění	0.204	0.464	0.349
dissolve	rozpustit	0.271	0.490	0.410
dissonance	disonance	0.173	0.471	0.336
dissuade	odradit	0.482	0.500	0.350
distal	distální	0.410	0.401	0.438
distance	vzdálenost	0.233	0.317	0.418
distant	vzdálený	0.229	0.324	0.269
distaste	nechuť	0.184	0.625	0.370
distasteful	odporný	0.264	0.676	0.222
distillate	destilátu	0.500	0.347	0.382
distillation	destilace	0.396	0.436	0.575
distilled	destilované	0.427	0.573	0.500
distinct	odlišný	0.542	0.578	0.509
distinction	rozdíl	0.584	0.571	0.750
distinctive	rozlišovací	0.885	0.520	0.604
distinguish	rozlišovat	0.675	0.471	0.600
distinguishable	rozlišitelné	0.635	0.530	0.727
distinguished	rozlišoval	0.823	0.593	0.759
distinguishing	rozlišovací	0.622	0.363	0.640
distort	zkreslit	0.100	0.740	0.366
distorted	zkreslené	0.250	0.521	0.280
distortion	zkreslení	0.299	0.570	0.380
distract	rozptýlit	0.241	0.609	0.336
distracted	roztržitý	0.194	0.392	0.213
distracting	rozptýlení	0.445	0.583	0.400
distraction	rozptýlení	0.402	0.557	0.390
distraught	rozrušený	0.115	0.903	0.264
distress	nouze	0.073	0.840	0.396
distressed	v nouzi	0.143	0.771	0.324
distressing	tíživé	0.075	0.750	0.375
distribute	distribuovat	0.643	0.596	0.709
distribution	rozdělení	0.635	0.548	0.788
distributor	distributor	0.702	0.447	0.718
district	okres	0.438	0.327	0.660
distrust	nedůvěra	0.060	0.670	0.276
disturb	rušit	0.175	0.760	0.481
disturbance	rušení	0.146	0.907	0.404
disturbed	narušený	0.125	0.870	0.305
disturbing	rušivý	0.146	0.792	0.439
disuse	nepoužívejte	0.229	0.229	0.202
disused	nepoužívá	0.250	0.302	0.186
ditch	příkop	0.357	0.364	0.322
ditto	totéž	0.449	0.418	0.411
ditty	popěvek	0.470	0.433	0.334
diurnal	denní	0.714	0.296	0.443
diva	diva	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	potápět	0.583	0.531	0.500
diver	potápěč	0.594	0.520	0.564
diverge	rozcházejí	0.375	0.657	0.520
divergence	divergence	0.429	0.615	0.687
divergent	divergentní	0.449	0.660	0.587
diverging	odlišné	0.417	0.613	0.573
divers	potápěči	0.583	0.580	0.602
diverse	různorodé	0.562	0.519	0.604
diversified	různorodé	0.602	0.538	0.549
diversify	diverzifikovat	0.656	0.588	0.464
diversion	zneužívání	0.740	0.821	0.714
diversionary	diversionary	0.551	0.587	0.300
diversity	rozmanitost	0.806	0.472	0.711
divert	odklonit	0.344	0.622	0.407
diverting	přesměrování	0.396	0.571	0.537
divest	zbavit	0.365	0.547	0.424
divested	odevzdáno	0.333	0.449	0.311
divestment	prodeje	0.302	0.509	0.382
divide	rozdělit	0.333	0.520	0.417
divided	rozdělený	0.271	0.623	0.391
dividend	dividenda	0.583	0.491	0.566
divination	věštění	0.500	0.650	0.545
divine	božský	0.918	0.571	0.885
divinity	božství	0.896	0.559	0.774
divisible	dělitelný	0.323	0.462	0.411
division	divize	0.370	0.481	0.472
divisor	dělitel	0.344	0.517	0.455
divorce	rozvod	0.042	0.700	0.385
divorcee	rozvodce	0.153	0.610	0.481
divulge	prozradit	0.531	0.718	0.467
divvy	divvy	0.351	0.462	0.429
dizziness	závrať	0.229	0.555	0.254
dizzy	závratě	0.199	0.582	0.193
do	dělat	0.670	0.548	0.536
doable	realizovatelné	0.760	0.404	0.675
doc	doc	0.458	0.317	0.392
docile	poslušný	0.604	0.259	0.264
dock	dok	0.490	0.409	0.481
docked	ukotvená	0.281	0.754	0.398
docket	docket	0.505	0.509	0.607
docking	dokování	0.354	0.596	0.587
doctor	doktor	0.700	0.531	0.861
doctorate	doktorát	0.776	0.479	0.841
doctrinal	doktrinální	0.510	0.373	0.673
doctrine	doktrína	0.500	0.394	0.769
document	dokument	0.594	0.240	0.667
documentary	dokumentární	0.622	0.213	0.596
documentation	dokumentace	0.719	0.290	0.667
documents	dokumenty	0.530	0.250	0.587
dodge	vyhnout se	0.333	0.760	0.509
dodger	Dodger	0.427	0.454	0.490
dodging	vyhýbat se	0.396	0.654	0.382
