Word	Sindhi-sd	Valence	Arousal	Dominance
enchantment	جادوگر	0.816	0.775	0.647
enchantress	جادوگر	0.398	0.663	0.479
enchilada	اينچيلڊا	0.542	0.553	0.371
encircle	ٽوڙي ٿو	0.460	0.500	0.519
encircling	ٽرانسپورٽ	0.510	0.368	0.557
enclave	ڳجهو	0.531	0.333	0.580
enclose	ختم ڪيو	0.531	0.477	0.473
enclosure	ملفوظات	0.417	0.375	0.490
encode	ان جي چڪاس ڪريو	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	ناڻو	0.541	0.451	0.519
encompass	باطل	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	صفت	0.865	0.702	0.689
encourage	همٿ	0.896	0.580	0.704
encouraged	همت افزائي ڪئي	0.953	0.702	0.657
encouragement	همٿ	0.865	0.700	0.759
encouraging	همٿ	0.823	0.583	0.755
encroach	ڪوبہ	0.302	0.742	0.702
encroachment	ڪوبہ	0.255	0.736	0.620
encrypt	چڪاس ڪريو	0.500	0.387	0.500
encryption	ڪچهري	0.547	0.415	0.474
encumbrance	بندوبست	0.300	0.521	0.480
encyclopedia	انسائيڪلوپيڊيا سنڌي	0.679	0.320	0.645
end	آخر	0.198	0.349	0.298
end table	آخر ٽيبل	0.541	0.480	0.482
endanger	خطرو	0.115	0.885	0.404
endangered	خطرو آهي	0.083	0.885	0.430
endangerment	خطرو	0.167	0.873	0.519
endearing	برداشت ڪندي	0.663	0.434	0.604
endeavor	آزمائش	0.677	0.755	0.765
ended	ختم ٿي وئي	0.302	0.500	0.500
endemic	حامين	0.406	0.480	0.483
endgame	آخرڪار	0.449	0.538	0.526
ending	ختم ٿيڻ	0.344	0.365	0.492
endless	پاسو	0.347	0.462	0.472
endocarditis	اڏوڊروٽسائٽس	0.235	0.587	0.412
endorse	پوئتي	0.592	0.392	0.472
endorsement	تصديق	0.834	0.360	0.611
endow	جوڙي	0.684	0.398	0.609
endowed	اجازت ڏنل آهي	0.755	0.510	0.769
endowment	بندش	0.685	0.578	0.647
endpapers	آخرڪار	0.542	0.400	0.339
endpoint	آخرڪار	0.311	0.410	0.448
endurance	صبر	0.592	0.745	0.760
endure	صبر	0.320	0.610	0.574
enduring	پختگي	0.633	0.459	0.768
enema	اينيما	0.281	0.673	0.268
enemy	دشمن	0.135	0.794	0.591
energetic	متحرڪ	0.847	0.868	0.902
energize	ترتيب ڏئي ٿو	0.792	0.810	0.875
energy	توانائي	0.944	0.725	0.868
enforce	لاڳو ڪرڻ	0.583	0.644	0.836
enforcement	لاڳو ڪرڻ	0.594	0.571	0.736
enforcer	نافرماني	0.398	0.612	0.639
engage	مشغول	0.771	0.796	0.713
engaged	مصروف	0.837	0.596	0.849
engagement	مصروفيت	0.906	0.587	0.807
engaging	مشڪل	0.948	0.612	0.862
engender	معالج	0.561	0.741	0.688
engine	انجڻ	0.615	0.644	0.676
engineer	انجينئر	0.719	0.500	0.875
engineering	انجنيئرنگ	0.735	0.471	0.836
engrave	ڪري ڇڏيو	0.486	0.442	0.517
engraved	منهن ڏيڻ	0.542	0.375	0.473
engraver	ڇڪيندڙ	0.552	0.417	0.500
engraving	ڇڪ	0.604	0.430	0.442
engrossed	نڀاڳيو	0.541	0.471	0.304
engrossing	ويندڙ	0.698	0.702	0.750
engulf	سيارو	0.398	0.573	0.500
enhance	وڌائڻ	0.802	0.578	0.814
enhancement	واڌ	0.877	0.490	0.741
enigma	جهاد	0.513	0.700	0.500
enigmatic	سماجي	0.469	0.589	0.679
enjoin	جمع ڪيو	0.594	0.454	0.732
enjoy	مزو وٺندو	0.959	0.725	0.750
enjoyable	مزيدار	1.000	0.481	0.605
enjoying	مزو وٺندو	0.908	0.759	0.759
enjoyment	مزو	0.930	0.612	0.716
enlarge	وڌائڻ	0.735	0.606	0.688
enlarged	وڌايو ويو	0.673	0.490	0.518
enlargement	وڌائڻ	0.677	0.577	0.616
enlighten	روشن خيال	0.729	0.549	0.667
enlightened	روشن خيال	0.956	0.566	0.700
enlightening	روشني	0.825	0.729	0.727
enlightenment	روشني	0.837	0.549	0.619
enlist	اشارو	0.510	0.370	0.483
enliven	سمجهن	0.833	0.683	0.702
enmity	دشمني	0.094	0.706	0.382
ennui	ennui	0.406	0.461	0.316
enormity	حديد	0.594	0.648	0.848
enormous	وڏو	0.677	0.665	0.886
enormously	ايڏو وڏو	0.760	0.694	0.872
enraged	ڪري ڇڏيو	0.083	0.962	0.636
enrich	تمدن	0.896	0.731	0.705
enroll	وجھو	0.696	0.530	0.611
enrollment	نامزدگي	0.667	0.391	0.698
ensemble	جيترو آهي	0.697	0.418	0.586
ensign	منهن ڏيڻ	0.663	0.270	0.545
enslave	غلام	0.073	0.800	0.481
enslaved	غلام بڻيو	0.104	0.720	0.321
enslavement	غلام	0.086	0.635	0.302
ensue	اڳتي وڌو	0.698	0.363	0.332
ensure	تسليم ڪيو	0.737	0.406	0.759
entail	ناڪام ٿيو	0.484	0.630	0.645
entangled	لڌل	0.319	0.578	0.357
entanglement	جواز	0.302	0.765	0.248
enter	داخل ٿيو	0.708	0.470	0.500
enterprise	ڪاروبار	0.760	0.392	0.754
enterprising	اڳڀرائي	0.865	0.784	0.875
entertain	رزق	0.918	0.684	0.598
entertained	رھيو آھي	0.902	0.644	0.712
entertainer	تفريح	0.888	0.709	0.759
entertaining	رزق	0.833	0.658	0.660
entertainment	تفريح	0.847	0.750	0.569
enthralled	خوفناڪ ٿيو	0.745	0.602	0.615
enthusiasm	جوش	0.938	0.816	0.798
enthusiast	هوشيار	0.867	0.810	0.875
enthusiastic	پرجوش	0.885	0.868	0.848
entice	تيار ڪيو	0.521	0.887	0.518
entire	علامه	0.689	0.462	0.698
entirety	سڄو	0.854	0.460	0.804
entitle	لائق آهي	0.729	0.333	0.827
entity	اھيو	0.542	0.402	0.670
entomology	هٿان	0.438	0.396	0.545
entourage	حوض	0.491	0.567	0.467
entrails	ايراضي	0.365	0.538	0.387
entrance	داخلا	0.698	0.393	0.526
entrapment	گهريلو	0.177	0.604	0.441
entreat	چاڙهيو	0.304	0.560	0.462
entree	داخل ٿيو	0.615	0.477	0.624
entrepreneur	واپار ڪندڙ	0.885	0.704	0.920
entrust	سمجهان ٿو	0.693	0.310	0.630
entry	داخل ٿيو	0.552	0.353	0.602
enumerate	ڳڻيندو آهي	0.521	0.390	0.491
enumeration	ڳڻپيوڪر	0.548	0.327	0.534
envelope	لفافو	0.604	0.275	0.377
envious	نڀاڳ	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	ماحول	0.646	0.194	0.528
environmental	ماحولياتي	0.633	0.313	0.664
environs	ماحوليات	0.561	0.288	0.345
envision	نفاذ	0.625	0.449	0.483
envoy	ايڊوي	0.531	0.375	0.586
envy	حسد	0.240	0.704	0.427
enzyme	اينزيما	0.562	0.277	0.481
ephemeral	اٻمليٽ	0.500	0.312	0.377
ephemeris	ايذا	0.640	0.380	0.528
epic	ايئنڪ	0.857	0.713	0.830
epidemic	ايپيڊيم	0.092	0.830	0.611
epidermis	ايپڊرمس	0.418	0.490	0.426
epidural	ايجاد	0.347	0.452	0.525
epilepsy	ميلاپ	0.061	0.854	0.250
epileptic	سمجهه	0.146	0.794	0.340
epilogue	ايئن	0.582	0.353	0.466
epiphany	اي پي پي	0.625	0.596	0.526
episcopal	ايڪوڪوپول	0.542	0.314	0.750
episode	ڪيس	0.719	0.367	0.509
episodic	ايسوسيڊڪ	0.531	0.542	0.462
epistle	ٻڌل	0.604	0.417	0.535
epitaph	ايپيٽ	0.276	0.323	0.442
epithet	ايٽيڪٽ	0.530	0.394	0.524
epitome	عقل	0.510	0.500	0.667
epoch	هاڻوڪو	0.553	0.343	0.797
equal	برابر	0.781	0.178	0.407
equality	برابر	0.898	0.305	0.716
equalization	برابر	0.625	0.422	0.423
equalize	برابر	0.738	0.281	0.574
equalizer	جيترا	0.604	0.451	0.586
equally	پڻ	0.625	0.264	0.436
equate	برابر	0.724	0.382	0.624
equation	برابر	0.479	0.384	0.608
equator	استقبال	0.550	0.302	0.462
equatorial	استحقاق	0.550	0.271	0.593
equestrian	آسرايو	0.633	0.519	0.417
equidistant	برابري ڏيندڙ	0.375	0.406	0.509
equilibration	برابر	0.724	0.317	0.593
equilibrium	برابر	0.676	0.235	0.620
equip	ساز	0.650	0.519	0.713
equipment	سامان	0.745	0.495	0.700
equitable	برابر	0.714	0.286	0.750
equity	برابر	0.792	0.304	0.614
equivalence	برابر	0.663	0.250	0.582
equivalent	برابر	0.646	0.347	0.500
equivocal	هڪجهڙائي	0.327	0.482	0.257
era	دور	0.615	0.407	0.449
eradicate	ختم ڪرڻ	0.260	0.690	0.686
eradication	ختم ڪرڻ	0.208	0.788	0.685
erase	ختم ڪريو	0.240	0.260	0.321
eraser	ايٽز	0.458	0.209	0.311
erasure	ختم ڪريو	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	erect	0.643	0.885	0.627
erectile	erectile	0.542	0.796	0.625
erection	تعمير	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	اڻو	0.208	0.643	0.580
erosion	ويران	0.312	0.770	0.465
erotic	कामुक	0.625	0.946	0.683
erotica	ايٽيڪڪو	0.781	0.870	0.579
err	غلط	0.146	0.660	0.236
errand	غلط	0.385	0.519	0.482
errant	مستحق	0.205	0.602	0.375
erratic	غلط آهي	0.271	0.503	0.217
erratum	غلطي	0.327	0.528	0.436
erroneous	غلط	0.057	0.561	0.245
error	غلطي	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	اجايو	0.719	0.434	0.774
erupt	يونٽ	0.188	0.820	0.818
eruption	ختم ڪرڻ	0.156	0.913	0.733
escalade	وڌڻ	0.480	0.724	0.442
escalate	وڌڻ	0.653	0.714	0.728
escalating	وڌائڻ	0.646	0.724	0.518
escalation	ويڙهاڪ	0.571	0.807	0.582
escalator	وڌائيندڙ	0.500	0.530	0.518
escape	ڀڄي ويو	0.367	0.765	0.448
escaped	ڀڄي ويو	0.365	0.755	0.518
escarpment	سازش	0.406	0.553	0.470
eschew	رکو ٿا	0.184	0.438	0.370
escort	گھڻي	0.729	0.480	0.608
escrow	ايڪو	0.449	0.520	0.613
esophagus	اپوپيڪس	0.429	0.454	0.464
esoteric	باطني	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	جاسوسي	0.312	0.750	0.620
espouse	سينگاريو	0.802	0.529	0.598
espresso	ايسپريس	0.677	0.620	0.508
esprit	قيصر	0.552	0.431	0.407
esquire	اسڪوائر	0.604	0.542	0.518
essay	مضمون	0.559	0.411	0.530
essayist	مضمون	0.656	0.460	0.462
essence	ذات	0.663	0.369	0.575
essential	ضروري آهي	0.812	0.405	0.759
essentially	بنيادي طور تي	0.750	0.373	0.802
establish	قائم ڪريو	0.708	0.500	0.688
established	قائم ٿيو	0.796	0.394	0.694
establishment	قيام	0.690	0.398	0.631
estate	زمين	0.653	0.385	0.647
esteem	عزت	0.745	0.380	0.679
esteemed	معزز	0.694	0.418	0.531
esthetic	جمالياتي	0.635	0.360	0.558
estimable	معتبر آهي	0.796	0.408	0.630
estimate	اندازا	0.719	0.469	0.517
estimation	تخميني	0.740	0.480	0.589
estoppel	ايسٽپليل	0.354	0.459	0.482
estranged	ڄاڻايو آهي	0.156	0.382	0.377
estrogen	ايڇروجن	0.580	0.500	0.425
estuary	ڀروسي	0.469	0.278	0.482
etch	ڪاش	0.510	0.367	0.598
etching	کلڻ	0.567	0.491	0.575
eternal	دائمي	0.854	0.409	0.843
eternity	ابديت	0.765	0.520	0.911
ethanol	ايٿانول	0.333	0.410	0.534
ether	اڪيلو	0.490	0.306	0.412
ethereal	اخلاقيات	0.520	0.419	0.518
ethic	اخلاقيات	0.786	0.260	0.791
ethical	اخلاقيات	0.854	0.324	0.634
ethics	اخلاقيات	0.658	0.296	0.731
ethnic	نسلي	0.583	0.373	0.555
ethnography	اخلاقيات	0.571	0.373	0.549
etiology	۽ رياضي	0.500	0.385	0.639
etiquette	عقل	0.604	0.350	0.421
etymology	۽ رياضي	0.531	0.370	0.529
eucalyptus	اڪيليپلس	0.602	0.308	0.418
euchre	اڪيلو	0.470	0.459	0.442
eugenics	ايزينڪس	0.448	0.530	0.518
eulogistic	غير انساني	0.740	0.623	0.694
eulogium	قصيدو	0.542	0.482	0.655
eulogize	قصيدو	0.850	0.518	0.679
eulogy	علم ادب	0.625	0.443	0.667
euphemism	بيوقوف	0.418	0.453	0.491
euphoria	اپٻيئر	0.769	0.955	0.648
euphoric	ايڪوڙورڪ	0.745	0.904	0.588
euro	يورو	0.680	0.441	0.521
euthanasia	اتاهين	0.229	0.716	0.325
evacuate	وجهه	0.354	0.792	0.314
evacuation	ويچارو	0.160	0.755	0.582
evade	مثل آهي	0.304	0.490	0.342
evaluate	ويجهڙائي	0.663	0.640	0.649
evaluation	تشخيص	0.542	0.667	0.764
evanescence	ويران	0.527	0.519	0.458
evangelical	انجيل	0.602	0.389	0.602
evangelist	مبشر	0.582	0.464	0.702
evangelistic	مبشر	0.660	0.375	0.612
evaporate	تبصرو	0.357	0.469	0.402
evaporation	تبليغ	0.556	0.346	0.388
evasion	افسوس	0.229	0.510	0.418
evasive	گستاخ	0.117	0.596	0.425
eve	eve	0.612	0.378	0.440
evening	شام	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	واقعي	0.745	0.673	0.664
eventful	واقعو	0.543	0.837	0.510
eventual	مڪمل	0.633	0.459	0.413
eventuality	واقعي	0.469	0.627	0.527
evergreen	سداخ	0.729	0.471	0.546
everlasting	هميشه دائمي	0.740	0.413	0.809
evermore	هميشه کان	0.677	0.450	0.403
everyday	روزاني	0.740	0.392	0.472
everyman	هارو	0.522	0.333	0.535
evict	فڪر	0.042	0.632	0.377
eviction	هيش	0.185	0.731	0.455
evidence	دليل	0.500	0.500	0.778
evident	ظاهر آهي	0.633	0.444	0.664
evidentiary	ظاهر	0.448	0.541	0.717
evil	برائي	0.040	0.827	0.545
evoke	ائين ڪرڻ	0.438	0.341	0.500
evolution	ارتقاء	0.781	0.657	0.854
evolutionary	ارتقاء	0.796	0.673	0.825
evolve	مثل آهي	0.655	0.692	0.896
ewe	رڍ	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	زبردست	0.323	0.776	0.580
exacerbation	تڪليف	0.344	0.810	0.480
exact	ٺيڪ	0.719	0.354	0.685
exacting	ٺيڪ آ	0.448	0.673	0.767
exaggerate	خطرناڪ	0.193	0.760	0.529
exaggerated	وصف	0.224	0.885	0.732
exaggeration	وصف	0.312	0.775	0.582
exalt	مثل آهي	0.656	0.750	0.745
exaltation	تعظيم	0.594	0.892	0.673
exalted	مٿاهون	0.676	0.845	0.696
exam	امتحان	0.479	0.663	0.577
examination	امتحان	0.378	0.657	0.679
examine	پڙهو	0.615	0.623	0.786
examiner	امتحان	0.406	0.575	0.812
example	مثال	0.542	0.337	0.510
exasperated	ناپسنديده	0.229	0.816	0.377
exasperation	تڪليف	0.214	0.833	0.483
excavate	کھوٽو	0.583	0.613	0.635
excavation	کھوٽو	0.540	0.644	0.527
excavator	کھوھاري	0.427	0.673	0.649
exceed	وڌو	0.500	0.827	0.586
exceeding	وڌو	0.500	0.802	0.668
excel	هڪٻئي	0.561	0.363	0.466
excellence	مٿاهون	0.958	0.620	0.907
excellent	چڱو	0.970	0.587	0.870
excelsior	گهڻائي	0.700	0.625	0.611
excepting	کان سواء	0.408	0.413	0.526
exception	استثنا	0.469	0.600	0.544
exceptional	غير معمولي	0.806	0.740	0.933
excerpt	ٽرڻو	0.437	0.367	0.543
excess	اضافو	0.385	0.889	0.712
excessive	اضافو	0.417	0.731	0.601
excessively	خاص طور تي	0.449	0.882	0.716
exchange	مٽائي	0.740	0.569	0.491
excise	پيدا ٿيو	0.448	0.561	0.577
excision	عذر	0.260	0.480	0.519
excitability	خوشخبري	0.906	0.910	0.724
excitable	لائق	0.803	0.939	0.629
excitation	خوشخبري	0.792	0.958	0.750
excite	خوشخبري	0.823	0.950	0.668
excited	خوش ٿيو	0.908	0.931	0.709
excitement	خوشخبري	0.896	0.684	0.731
exciting	دلچسپ	0.950	0.792	0.789
exclaim	چئو	0.635	0.711	0.639
exclamation	وصف	0.612	0.745	0.598
exclude	شامل ڪريو	0.292	0.500	0.530
excluded	شامل ٿيل	0.061	0.540	0.134
excluding	کان سواء	0.271	0.550	0.324
exclusion	نتيجو	0.240	0.530	0.389
exclusive	خاص	0.792	0.630	0.653
excrement	خوشبو	0.041	0.558	0.221
excretion	وحي	0.285	0.650	0.457
excruciating	زبردست	0.083	0.837	0.345
excursion	زبردست	0.625	0.714	0.627
excuse	عذر	0.240	0.696	0.318
exec	عملدرآمد	0.640	0.352	0.769
execute	جاري رکو	0.327	0.708	0.769
execution	اعدام	0.160	0.811	0.713
executioner	عمل ڪندڙ	0.235	0.816	0.676
executive	ايگزيڪيوٽو	0.704	0.449	0.894
executor	عمل ڪندڙ	0.365	0.755	0.759
exegesis	وضاحت	0.458	0.472	0.491
exemplar	مثالي	0.844	0.537	0.625
exemplary	مثالي	0.833	0.343	0.729
exemplify	مثالي آهي	0.735	0.506	0.783
exempt	معافي	0.588	0.455	0.664
exemption	تقسيم	0.531	0.578	0.627
exercise	مشق	0.750	0.789	0.625
exert	ڌيان ڏيڻ	0.694	0.735	0.806
exertion	ورهاڱي	0.663	0.755	0.717
exhale	مايوسي	0.542	0.490	0.411
exhaust	گهڻائي	0.546	0.710	0.337
exhausted	ختم ٿي ويو	0.123	0.423	0.202
exhaustion	وڇائڻ	0.366	0.633	0.269
exhaustive	پريشان	0.388	0.635	0.604
exhibit	نمائش	0.688	0.633	0.708
exhibition	نمائش	0.698	0.590	0.531
exhilarated	وڌايو ويو آهي	0.890	0.963	0.759
exhilarating	وڌائڻ	0.917	0.823	0.810
exhilaration	تڪليف	0.792	0.868	0.783
exhort	اڳتي وڌايو	0.378	0.660	0.745
exhortation	آزمائش	0.531	0.624	0.580
exhumation	تڪليف	0.177	0.586	0.473
exhume	تڪڙو	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	جلاوطني	0.184	0.630	0.483
exist	موجود آهي	0.857	0.421	0.788
existence	وجود ۾ آيو	0.760	0.513	0.771
existent	موجود آهي	0.635	0.490	0.635
existential	موجود آهي	0.583	0.510	0.638
existing	موجود آهي	0.802	0.344	0.750
exit	نڪرڻ	0.370	0.353	0.399
exodus	ٻاهرين	0.286	0.663	0.567
exonerate	نڪرڻ	0.592	0.500	0.538
exorbitant	غير معمولي	0.398	0.865	0.825
exorcism	بيوقوف	0.163	0.980	0.557
exorcist	ماھر	0.219	0.906	0.716
exotic	ڌاريو	0.840	0.711	0.727
expand	وسيع	0.792	0.559	0.686
expanded	وسيع	0.760	0.406	0.689
expanse	وڌايو	0.594	0.529	0.689
expansion	وڌايو	0.776	0.618	0.787
expansive	وڌيڪ	0.708	0.650	0.778
expatriate	وطن واپسي	0.265	0.764	0.391
expect	توقع آهي	0.469	0.327	0.377
expectance	اميد	0.552	0.724	0.660
expectancy	اميد	0.581	0.622	0.558
expectant	توقع آهي	0.708	0.650	0.474
expectation	اميد	0.771	0.690	0.707
expected	توقع آهي	0.729	0.412	0.545
expecting	توقع آهي	0.561	0.450	0.302
expediency	مصلحت	0.604	0.443	0.703
expedient	ويچارو	0.885	0.461	0.454
expedite	تڪڙو	0.571	0.858	0.798
expedition	نتيجو	0.735	0.802	0.620
expeditious	تڪڙو	0.602	0.645	0.773
expel	ختم ڪيو	0.281	0.725	0.452
expendable	ميسر	0.479	0.490	0.423
expenditure	خرچ	0.250	0.608	0.603
expense	خرچ	0.317	0.451	0.377
expenses	خرچ	0.240	0.633	0.396
expensive	مهانگو	0.323	0.540	0.530
experience	تجربو	0.827	0.618	0.905
experienced	تجربو ٿيو	0.771	0.613	0.914
experiences	تجربا	0.793	0.647	0.795
experiment	آزمائش	0.479	0.720	0.675
experimental	تجرباتي	0.417	0.764	0.396
experimentation	آزمائش	0.637	0.769	0.767
experimenter	تجربيدار	0.708	0.710	0.700
expert	ماهر	0.776	0.646	0.911
expertise	ماهر	0.792	0.589	0.925
expiration	ختم ٿيڻ	0.265	0.539	0.463
expire	ختم ٿيڻ	0.573	0.745	0.702
expired	ختم ٿي وئي	0.198	0.394	0.200
expiry	ختم ٿيڻ	0.194	0.434	0.382
explain	وضاحت ڪريو	0.719	0.517	0.736
explanation	وضاحت	0.615	0.610	0.825
explanatory	وضاحت ڪندڙ	0.573	0.433	0.688
expletive	غير معمولي	0.357	0.567	0.536
explication	ظاهر ڪرڻ	0.510	0.445	0.602
explicit	ظاهري طور تي	0.562	0.694	0.734
explode	ڇڏڻ	0.277	0.885	0.773
exploit	استحصال	0.312	0.878	0.660
exploitation	استحصال	0.156	0.920	0.718
exploration	ڳولا	0.594	0.650	0.773
exploratory	ماھر	0.653	0.690	0.698
explore	ڳولھيو	0.776	0.660	0.727
explorer	هاڻوڪو	0.729	0.663	0.714
explosion	ڌماڪي	0.167	0.960	0.767
explosions	ڌماڪي	0.123	0.860	0.594
explosive	ڌماڪي سان	0.156	0.943	0.663
expo	ويٺو آهي	0.610	0.562	0.500
exponent	حصو ڏيڻ	0.529	0.510	0.845
exponential	مستحڪم	0.704	0.588	0.763
export	برآمد	0.567	0.661	0.755
exportation	برآمد	0.760	0.633	0.673
expose	ظاهر ڪرڻ	0.344	0.643	0.537
exposed	ختم ٿيو	0.471	0.661	0.509
exposition	ويڙهاڪ	0.521	0.627	0.655
expository	مخزن	0.706	0.653	0.636
exposure	نمائش	0.570	0.830	0.630
expound	ٻاهران	0.438	0.575	0.740
express	ظاهر ڪيو	0.760	0.623	0.691
expression	اظهار	0.790	0.650	0.721
expressive	معتبر	0.755	0.724	0.685
expressway	ايڪسپريس وي	0.633	0.635	0.587
expropriation	واجب	0.188	0.735	0.788
expulsion	نوڪري	0.190	0.790	0.529
exquisite	شاندار	0.892	0.644	0.604
exquisitely	غير يقيني طور تي	0.849	0.728	0.723
extant	اڃان تائين	0.646	0.390	0.523
extend	وڌايو	0.646	0.570	0.689
extendable	وڌندڙ	0.660	0.592	0.722
extended	وڌايو ويو	0.570	0.304	0.649
extension	واڌارو	0.490	0.510	0.529
extensive	وسيع	0.635	0.520	0.760
extent	حد تائين	0.646	0.451	0.602
exterior	ٻاهران	0.542	0.400	0.627
exterminate	ختم ڪرڻ	0.177	0.857	0.736
extermination	ختم ڪرڻ	0.190	0.860	0.616
exterminator	ختم ڪرڻ وارو	0.344	0.804	0.887
external	ٻاهروني	0.479	0.341	0.509
externally	ٻاهران	0.643	0.521	0.568
extinct	ناپسنديده	0.112	0.491	0.412
extinction	ختم ٿيڻ	0.104	0.750	0.611
extinguish	بجلي	0.240	0.576	0.482
extinguisher	بجلي وارو	0.707	0.379	0.543
extol	اضافي	0.582	0.667	0.456
extort	وڌايو	0.052	0.827	0.570
extortion	ٻيھر	0.112	0.868	0.630
extra	اضافي	0.656	0.551	0.745
extract	ڪڍو	0.565	0.402	0.519
extracting	ڪڍڻ	0.521	0.709	0.689
extraction	ختم ٿيڻ	0.418	0.740	0.526
extractor	ڪڍڻ وارو	0.302	0.536	0.519
extracurricular	غير نصابي	0.457	0.471	0.743
extradition	ورهاڱي	0.229	0.627	0.554
extrajudicial	غير جانبدار	0.365	0.686	0.667
extramural	معيشت	0.336	0.559	0.537
extraneous	غير جانبدار	0.276	0.625	0.478
extraordinaire	غير معمولي	0.847	0.864	0.898
extraordinary	غيرمعمولي	0.969	0.728	0.860
extraterrestrial	ٻرندڙ	0.510	0.833	0.792
extravagance	اجايو	0.531	0.802	0.700
extravagant	اجايو	0.720	0.763	0.812
extravaganza	اجايو	0.646	0.786	0.906
extreme	انتها	0.318	0.800	0.721
extreme anticipation	وڏي تڪليف	0.551	0.740	0.704
extreme disgust	تمام سخت نفرت آهي	0.052	0.873	0.456
extreme surprise	ڏاڍي تعجب	0.833	0.935	0.676
extreme trust	تمام اعتماد	0.826	0.713	0.922
extremely	بلڪل	0.635	0.827	0.886
extremely negative	تمام منفي	0.030	0.786	0.311
extremely positive	تمام سٺو	0.993	0.730	0.839
extremity	انتهاپسند	0.408	0.588	0.583
extricate	اضافي	0.542	0.510	0.543
extrinsic	گهڻيون شيون	0.510	0.479	0.636
extrusion	ختم ڪرڻ	0.229	0.660	0.545
exuberance	غير جانبدار	0.698	0.816	0.787
exude	نڀاڳو	0.375	0.519	0.411
eye	اک	0.531	0.265	0.425
eyeball	اکيون ڦاٽي	0.526	0.422	0.420
eyebrow	اکيون ڦاٽي	0.510	0.198	0.222
eyeful	چڪر	0.802	0.500	0.676
eyeglass	چڪر	0.531	0.236	0.286
eyeglasses	اکين جي شڪل	0.561	0.269	0.306
eyelash	محرم	0.480	0.250	0.278
eyelet	اکريٽ	0.632	0.298	0.346
eyeliner	ڏاڪڻ	0.688	0.349	0.347
eyepiece	ڏڪڻ	0.418	0.347	0.480
eyes	اکيون	0.760	0.279	0.432
eyesight	اکيون	0.750	0.226	0.343
eyewitness	شاهدي	0.541	0.686	0.698
fab	فاب	0.490	0.380	0.406
fable	ميسر	0.663	0.387	0.389
fabled	معطل	0.625	0.538	0.545
fabric	ڪپڙا	0.635	0.190	0.345
fabricate	ڪپڙو	0.636	0.491	0.779
fabricated	ڪپڙو	0.418	0.427	0.555
fabrication	تخليق	0.573	0.587	0.705
fabulous	شاندار	0.979	0.660	0.797
facade	منهن ڏيڻ	0.520	0.333	0.518
face	منهن	0.571	0.173	0.453
faceless	بيزار	0.230	0.406	0.173
facet	ڌيان	0.667	0.324	0.382
facial	منهن ڏيڻ	0.594	0.429	0.433
facile	NO TRANSLATION	0.740	0.264	0.307
facilitate	سهولت	0.812	0.333	0.509
facility	سهولت	0.625	0.500	0.654
facing	منهن ڏيڻ	0.604	0.406	0.550
facsimile	فاعل	0.490	0.500	0.543
fact	حقيقت	0.683	0.333	0.618
faction	ٽوليء	0.469	0.430	0.448
factor	ڪارڪردگي	0.635	0.365	0.678
factory	فيڪٽري	0.500	0.500	0.683
facts	حقيقتون	0.688	0.471	0.693
factual	حقيقت ۾	0.656	0.440	0.545
faculties	نوڪريون	0.643	0.431	0.760
faculty	فيڪٽريشن	0.615	0.412	0.732
fad	ڀريا	0.663	0.520	0.570
fade	ڦٽي	0.354	0.333	0.245
faded	ڀريل	0.302	0.275	0.194
faeces	ڪوڙ	0.184	0.476	0.175
fag	ڀاتي	0.122	0.653	0.331
faggot	fagot	0.219	0.643	0.292
fail	ناڪام	0.177	0.578	0.154
failing	ناڪام ٿي رهيو آهي	0.125	0.490	0.268
failure	ناڪام	0.167	0.575	0.139
fain	NO TRANSLATION	0.479	0.417	0.426
faint	بيهوش	0.063	0.429	0.167
fainting	ويندڙ	0.333	0.510	0.214
fair	انصاف	0.812	0.557	0.643
fairly	چڱو	0.790	0.406	0.750
fairness	انصاف	0.740	0.317	0.552
fairway	منصوره	0.541	0.510	0.500
fairy	پريشان	0.776	0.408	0.413
faith	ايمان	0.833	0.220	0.763
faithful	وفادار	0.888	0.333	0.627
faithfulness	وفا	0.833	0.426	0.602
faithless	يقين رکندو	0.102	0.683	0.304
fake	جعلي	0.073	0.554	0.268
faker	فڪر	0.245	0.630	0.480
falafel	فرافيل	0.560	0.402	0.351
falcon	باطل	0.557	0.580	0.678
fall	ڪري رهيو آهي	0.177	0.657	0.221
fallacious	غريب آهي	0.271	0.587	0.390
fallacy	غفلت	0.112	0.561	0.430
fallback	گرڀ	0.458	0.358	0.508
fallible	منجهيل آهي	0.365	0.537	0.402
falling	ڪري رهيو آهي	0.202	0.716	0.306
