Word	Maltese-mt	Valence	Arousal	Dominance
convict	kundanna	0.177	0.840	0.477
conviction	kundanna	0.615	0.704	0.826
convince	tikkonvinċi	0.708	0.539	0.763
convinced	konvint	0.750	0.500	0.630
convincing	konvinċenti	0.760	0.527	0.900
convocation	konvokazzjoni	0.538	0.611	0.663
convoluted	konvolti	0.323	0.614	0.433
convolution	konvoluzzjoni	0.417	0.559	0.527
convoy	konvoj	0.500	0.671	0.639
coo	koo	0.490	0.439	0.500
cook	insajjru	0.847	0.500	0.412
cookbook	cookbook	0.602	0.346	0.398
cooker	cooker	0.592	0.373	0.407
cookery	tisjir	0.633	0.368	0.345
cookie	cookie	0.792	0.306	0.250
cookies	cookies	0.823	0.451	0.316
cooking	tisjir	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	kessaħ	0.885	0.540	0.781
coolant	coolant	0.720	0.412	0.456
cooler	apparat li jkessaħ	0.664	0.375	0.460
cooling	tkessiħ	0.469	0.324	0.392
coolness	coolness	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	jikkooperaw	0.898	0.451	0.582
cooperating	jikkooperaw	0.760	0.390	0.693
cooperation	kooperazzjoni	0.847	0.473	0.686
cooperative	kooperattiva	0.816	0.461	0.670
coordinate	tikkoordina	0.698	0.429	0.694
coordination	koordinazzjoni	0.677	0.454	0.789
coordinator	koordinatur	0.750	0.510	0.850
cop	cop	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	ilaħħqu	0.592	0.647	0.709
copier	kopjatur	0.459	0.345	0.390
copilot	kopilot	0.640	0.538	0.573
coping	tiffaċċja	0.562	0.630	0.613
copious	abbundanti	0.427	0.462	0.527
copper	ram	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	kopja	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	ikkupjar	0.448	0.315	0.404
copyright	awtur	0.458	0.402	0.663
coral	qroll	0.802	0.231	0.425
coral snake	serp tal-korall	0.276	0.712	0.607
cord	korda	0.388	0.378	0.358
cordial	kordjali	0.823	0.312	0.482
cordless	mingħajr fili	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	Corduroy	0.570	0.324	0.357
core	qalba	0.721	0.378	0.540
cork	sufra	0.347	0.250	0.281
corkscrew	corkscrew	0.427	0.443	0.445
corn	qamħ	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	kornea	0.521	0.346	0.443
corned	Corned	0.459	0.441	0.425
corner	kantuniera	0.400	0.296	0.366
cornerstone	ġebla tax-xewka	0.550	0.388	0.596
cornet	cornet	0.507	0.520	0.415
cornfield	cornfield	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornice	0.458	0.441	0.295
cornstarch	lamtu tal-qamħirrun	0.643	0.299	0.337
corny	corny	0.448	0.370	0.221
corollary	korollarju	0.458	0.469	0.366
corona	corona	0.818	0.439	0.745
coronary	koronarji	0.567	0.613	0.509
coronation	koronazzjoni	0.792	0.592	0.836
coroner	koroner	0.323	0.558	0.526
corporal	korporali	0.582	0.490	0.596
corporate	korporattiva	0.592	0.454	0.745
corporation	korporazzjoni	0.429	0.332	0.873
corporeal	korporali	0.520	0.350	0.461
corps	corps	0.551	0.453	0.483
corpse	katavru	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	corpus	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	korretta	0.857	0.306	0.723
correction	korrezzjoni	0.448	0.485	0.558
correctional	korrettivi	0.292	0.713	0.602
corrective	korrettivi	0.448	0.528	0.613
correctness	korrettezza	0.796	0.450	0.649
correlation	korrelazzjoni	0.596	0.462	0.571
correlative	korrelattiv	0.510	0.402	0.571
correspond	jikkorrispondi	0.710	0.452	0.545
correspondence	korrispondenza	0.663	0.423	0.491
correspondent	korrispondent	0.573	0.565	0.712
corresponding	jikkorrispondi	0.740	0.423	0.618
corridor	kuritur	0.604	0.589	0.592
corroborate	tikkorobora	0.671	0.471	0.616
corroboration	korroborazzjoni	0.625	0.431	0.733
corrosion	korrużjoni	0.156	0.610	0.348
corrosive	korrużiv	0.140	0.618	0.570
corrupt	korrotti	0.020	0.806	0.500
corrupting	korruzzjoni	0.062	0.804	0.380
corruption	korruzzjoni	0.052	0.830	0.549
corsage	qmugħ	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	kurpetti	0.490	0.520	0.381
cortex	kortiċi	0.594	0.439	0.529
cortical	kortikali	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	corvette	0.551	0.520	0.598
cosmetic	kosmetiċi	0.625	0.304	0.308
cosmetics	kosmetiċi	0.765	0.464	0.472
cosmic	kożmika	0.663	0.538	0.692
cosmology	Cosmology	0.651	0.438	0.637
cosmopolitan	kożmopolitana	0.823	0.510	0.760
cosmos	Cosmos	0.860	0.478	0.664
cost	spiża	0.365	0.420	0.439
costly	għalja	0.316	0.650	0.642
costume	kostum	0.548	0.510	0.374
cosy	komdu	0.847	0.255	0.518
cot	kerrikot	0.625	0.230	0.278
cote	Kotba	0.439	0.344	0.324
cottage	cottage	0.600	0.279	0.361
cotton	qoton	0.639	0.071	0.240
couch	couch	0.594	0.082	0.198
cougar	cougar	0.438	0.588	0.538
cough	sogħla	0.255	0.627	0.241
council	Kunsill	0.875	0.279	0.635
councilman	kunsillier	0.531	0.367	0.793
counsel	avukat	0.594	0.519	0.730
counseling	pariri	0.667	0.480	0.704
counsellor	konsulent	0.823	0.327	0.740
counselor	konsulent	0.873	0.365	0.706
count	għadd	0.594	0.389	0.492
countdown	countdown	0.438	0.692	0.490
countenance	wiċċ	0.635	0.440	0.690
counter	kontro	0.439	0.478	0.750
counteract	jikkontrobattu	0.378	0.542	0.688
counterattack	kontrattakk	0.281	0.951	0.764
counterbalance	kontrabilanċ	0.520	0.480	0.627
counterclaim	kontrotalba	0.398	0.760	0.651
counterfeit	iffalsifikata	0.094	0.694	0.451
counterpart	kontraparti	0.448	0.608	0.577
counterpoint	kontropunt	0.438	0.509	0.538
countess	countess	0.562	0.440	0.670
countless	għadd kbir	0.520	0.566	0.534
country	pajjiż	0.698	0.394	0.693
countryman	pajjiżu	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	kampanja	0.732	0.288	0.327
counts	jgħodd	0.343	0.373	0.500
county	kontea	0.479	0.368	0.545
coup	kolp ta 'stat	0.275	0.815	0.607
coupe	coupe	0.479	0.460	0.482
couple	koppja	0.806	0.605	0.607
coupled	flimkien	0.612	0.286	0.650
coupling	akkoppjar	0.594	0.479	0.555
coupon	kupun	0.704	0.300	0.421
courage	kuraġġ	0.830	0.728	0.849
courageous	kuraġġuż	0.918	0.587	0.879
courier	kurrier	0.551	0.383	0.441
courses	korsijiet	0.735	0.412	0.534
coursing	coursing	0.542	0.472	0.546
court	qorti	0.479	0.769	0.827
courteous	b'korteżija	0.937	0.396	0.529
courtesy	korteżija	0.927	0.287	0.431
courthouse	tribunal	0.571	0.503	0.818
courtroom	awla tal-qorti	0.385	0.670	0.887
courts	qrati	0.367	0.710	0.816
courtship	qrati	0.667	0.490	0.654
courtside	courtside	0.592	0.391	0.434
courtyard	bitħa	0.503	0.365	0.355
cousin	kuġin	0.675	0.394	0.427
cousins	kuġini	0.760	0.409	0.464
cove	cove	0.500	0.304	0.370
coven	coven	0.458	0.578	0.591
covenant	patt	0.594	0.462	0.667
cover	ikopru	0.365	0.240	0.471
coverage	kopertura	0.767	0.413	0.629
covered	koperti	0.562	0.340	0.644
covering	li tkopri	0.615	0.382	0.583
covert	moħbi	0.500	0.570	0.508
covet	covet	0.302	0.779	0.524
coveted	coveted	0.661	0.730	0.625
cow	baqra	0.449	0.230	0.300
coward	coward	0.102	0.490	0.149
cowardice	cowardice	0.133	0.621	0.167
cowardly	cobardly	0.102	0.385	0.127
cowboy	cowboy	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	cowhand	0.438	0.480	0.596
cowhide	cowhide	0.458	0.324	0.333
cowl	cowl	0.427	0.450	0.232
coworker	coworker	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	komdu	0.910	0.356	0.545
crab	granċ	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	xquq	0.302	0.625	0.400
cracked	maqsum	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	qsim	0.327	0.557	0.286
crackle	crackle	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	benniena	0.776	0.194	0.333
craft	inġenji	0.760	0.321	0.539
crafts	snajja '	0.667	0.380	0.391
craftsman	artiġjan	0.719	0.310	0.583
craftsmanship	sengħa	0.823	0.373	0.571
crafty	crafty	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	mimlija	0.406	0.740	0.466
cramp	bugħawwieġ	0.194	0.796	0.340
cramped	skomdi	0.240	0.567	0.360
cranberry	cranberry	0.793	0.330	0.363
cranberry juice	meraq tal-cranberry	0.622	0.321	0.281
crane	krejn	0.396	0.417	0.589
cranial	kranju	0.354	0.510	0.583
cranium	kranju	0.439	0.491	0.725
crank	krank	0.448	0.275	0.417
cranky	cranky	0.194	0.776	0.396
cranny	kranju	0.194	0.471	0.250
crap	ħażin	0.083	0.644	0.167
crappy	crappy	0.039	0.582	0.208
craps	Craps	0.375	0.420	0.273
crash	tiġrifa	0.194	0.906	0.355
crass	crass	0.223	0.490	0.466
crate	ċestun	0.427	0.173	0.274
crater	Crater	0.450	0.647	0.529
crave	crave	0.625	0.510	0.731
craving	effetti tax-xenqa	0.510	0.755	0.636
crawfish	awwisti	0.510	0.427	0.342
crawl	jitkaxkru	0.479	0.519	0.467
crayon	crayon	0.604	0.260	0.185
crayons	krejons	0.684	0.366	0.405
craze	jixxaqqaqx	0.255	0.657	0.435
crazed	crazed	0.153	0.877	0.417
craziness	craziness	0.238	0.908	0.255
crazy	crazy	0.156	0.843	0.321
creak	creak	0.344	0.670	0.411
creaking	taħlit	0.302	0.743	0.415
cream	krema	0.688	0.259	0.220
creamed	creamed	0.723	0.273	0.288
creamer	creamer	0.594	0.192	0.269
creamy	krema	0.823	0.337	0.345
crease	titkemmex	0.440	0.286	0.300
create	joħolqu	0.786	0.588	0.789
creation	ħolqien	0.927	0.575	0.868
creative	kreattiv	0.917	0.518	0.788
creativity	il-kreattività	0.938	0.684	0.815
creator	kreatur	0.865	0.592	0.856
creature	kreatura	0.669	0.625	0.620
credence	kredibilità	0.760	0.460	0.737
credential	kredenzjali	0.735	0.337	0.597
credentials	kredenzjali	0.708	0.373	0.675
credibility	kredibilità	0.875	0.427	0.809
credible	kredibbli	0.917	0.441	0.750
credit	kreditu	0.673	0.549	0.648
credit card	karta tal-kreditu	0.670	0.550	0.640
creditable	kredibbli	0.802	0.510	0.742
credited	ikkreditat	0.781	0.390	0.691
crediting	jikkredita	0.673	0.550	0.741
creditor	kreditur	0.479	0.594	0.689
creed	twemmin	0.573	0.245	0.544
creek	qala	0.552	0.392	0.330
creep	creep	0.354	0.647	0.361
creeper	creeper	0.429	0.558	0.366
creeping	creeping	0.292	0.613	0.282
creepy	creepy	0.125	0.861	0.373
cremation	kremazzjoni	0.084	0.620	0.420
creole	krejol	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	Crescent	0.698	0.382	0.407
crest	crest	0.458	0.333	0.333
crestfallen	crestfallen	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretins	0.094	0.741	0.328
crevice	xquq	0.361	0.471	0.275
crew	ekwipaġġ	0.604	0.598	0.735
crewman	ekwipaġġ	0.602	0.580	0.548
crib	crib	0.653	0.240	0.407
cricket	cricket	0.423	0.539	0.370
cried	cried	0.167	0.612	0.254
crime	kriminalità	0.071	0.943	0.630
criminal	kriminali	0.021	0.830	0.529
criminality	kriminalità	0.122	0.863	0.580
crimp	crimp	0.260	0.557	0.396
crimson	krimżi	0.667	0.385	0.370
cringe	cringe	0.245	0.840	0.377
cripple	ixxekkel	0.094	0.392	0.161
crippled	imkemmex	0.035	0.358	0.236
crippling	tfarrak	0.156	0.598	0.391
crisis	kriżi	0.208	0.811	0.431
crisp	iqarmeċ	0.776	0.692	0.508
crispy	iqarmeċ	0.656	0.550	0.509
criterion	kriterju	0.396	0.410	0.736
critic	kritiku	0.264	0.604	0.686
critical	kritiku	0.312	0.802	0.545
criticise	jikkritikaw	0.073	0.700	0.452
criticism	kritika	0.115	0.563	0.505
criticize	jikkritikaw	0.143	0.708	0.473
criticized	ikkritikat	0.240	0.600	0.311
critique	kritika	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	croak	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	fuħħar	0.552	0.216	0.327
crocodile	kukkudrill	0.344	0.708	0.610
croft	croft	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	crook	0.171	0.765	0.550
crooked	mgħawweġ	0.146	0.594	0.305
crop	ħsad	0.615	0.260	0.500
croquet	croquet	0.551	0.519	0.407
cross	jaqsam	0.448	0.321	0.569
cross country	pajjiż transkonfinali	0.531	0.441	0.529
crossbow	ballesta	0.344	0.598	0.560
crossed	qasmu	0.431	0.490	0.508
crossfire	crossfire	0.316	0.896	0.722
crossing	qsim	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	crosswalk	0.557	0.441	0.380
crossword	tisliba	0.611	0.423	0.455
crotch	bejn il-koxox	0.521	0.637	0.447
crouch	crouch	0.281	0.606	0.312
crouched	imqaxxar	0.333	0.363	0.279
crouching	mimdud	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	f'linja	0.224	0.439	0.363
crowbar	barra tal-mogħdija	0.406	0.531	0.386
crowd	folla	0.350	0.827	0.731
crowded	iffullar	0.694	0.286	0.585
crowds	folol	0.469	0.723	0.806
crown	kuruna	0.708	0.572	0.737
crowning	crowning	0.773	0.594	0.831
crucial	kruċjali	0.541	0.657	0.777
cruciate	cruciate	0.429	0.435	0.585
crucifix	Kurċifiss	0.469	0.480	0.510
crucifixion	crucifixion	0.135	0.857	0.541
crucify	crucify	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	mhux raffinat	0.198	0.402	0.357
cruel	krudili	0.122	0.866	0.391
cruelly	krudili	0.146	0.790	0.471
cruelty	krudeltà	0.092	0.836	0.536
cruise	cruise	0.740	0.442	0.683
cruise ship	bastiment tal-kruċiera	0.878	0.650	0.500
cruiser	cruiser	0.737	0.490	0.608
cruising	cruising	0.886	0.580	0.560
crumb	frawli	0.417	0.255	0.216
crumble	crumble	0.333	0.480	0.423
crumbling	neżlin	0.167	0.696	0.308
crummy	crummy	0.125	0.531	0.224
crunch	kriżi	0.292	0.630	0.406
crunchy	tqarmeċ	0.625	0.560	0.539
crusade	kruata	0.592	0.720	0.709
crusader	kruċjata	0.439	0.588	0.548
crush	tfarrak	0.271	0.676	0.582
crushed	imfarrak	0.167	0.647	0.300
crusher	crusher	0.271	0.709	0.598
crushing	tgħaffiġ	0.219	0.755	0.411
crust	qoxra	0.542	0.337	0.456
crusty	qxur	0.625	0.531	0.473
crutch	crutch	0.302	0.294	0.302
crux	crux	0.469	0.558	0.519
cry	cry	0.133	0.627	0.255
crybaby	crybaby	0.375	0.702	0.311
crying	biki	0.153	0.704	0.208
crypt	kripta	0.156	0.431	0.386
cryptic	cryptiku	0.296	0.516	0.474
cryptography	kriptografija	0.490	0.415	0.650
crystal	kristall	0.618	0.270	0.508
crystalline	kristallin	0.765	0.235	0.534
crystallization	kristallizzazzjoni	0.600	0.449	0.565
cub	Cub	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	kubu	0.469	0.226	0.274
cubic	kubiku	0.458	0.306	0.407
cubicle	diviżorja	0.479	0.343	0.417
cuckold	cuckold	0.210	0.573	0.230
cuckoo	cuckoo	0.420	0.459	0.284
cucumber	ħjara	0.490	0.235	0.237
cuddle	cuddle	0.885	0.559	0.475
cuddled	imnaddfa	0.906	0.547	0.567
cuddles	cuddles	0.847	0.382	0.500
cuddling	imqass	0.917	0.562	0.433
cue	cue	0.521	0.433	0.484
cuff	cuff	0.469	0.453	0.387
cuisine	kċina	0.714	0.365	0.390
culinary	kulinari	0.654	0.443	0.519
cull	qatla	0.365	0.702	0.464
culminate	il-qofol	0.667	0.550	0.602
culmination	il-qofol	0.656	0.586	0.695
culpability	Kustilja	0.112	0.745	0.368
culpable	guilt	0.140	0.700	0.319
culprit	ħati	0.062	0.676	0.333
cult	kult	0.448	0.535	0.648
cultivate	jikkultivaw	0.708	0.410	0.598
cultivated	ikkultivati	0.837	0.343	0.564
cultivation	kultivazzjoni	0.625	0.324	0.462
cultural	kulturali	0.802	0.390	0.623
culture	kultura	0.753	0.304	0.675
cultured	ikkultivata	0.635	0.429	0.625
culvert	kanal	0.337	0.324	0.343
cumbersome	ineffiċjenti	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	cunning	0.604	0.685	0.683
cunt	cunt	0.135	0.673	0.377
cup	tazza	0.615	0.167	0.231
cupboard	armadju	0.553	0.200	0.304
cupcake	cupcake	0.656	0.333	0.344
cupping	tqattigħ	0.490	0.610	0.402
cur	kur	0.440	0.519	0.460
curable	kurabbli	0.823	0.292	0.574
curate	curate	0.726	0.418	0.526
curative	kurattivi	0.667	0.318	0.613
curator	kuratur	0.688	0.389	0.688
curb	jitrażżnu	0.472	0.371	0.402
curd	baqta	0.542	0.442	0.278
cure	kura	0.719	0.377	0.623
curfew	curfew	0.219	0.618	0.623
curiosity	kurżità	0.750	0.755	0.463
curious	kurjuż	0.635	0.600	0.483
curl	curl	0.385	0.452	0.351
curling	ħdejjed	0.583	0.592	0.400
currency	munita	0.583	0.418	0.592
current	kurrenti	0.625	0.312	0.612
curriculum	kurrikulu	0.708	0.306	0.620
curry	curry	0.633	0.345	0.302
curse	curse	0.033	0.720	0.375
cursed	misħuta	0.083	0.783	0.393
cursing	misħuta	0.112	0.860	0.446
cursory	sommarju	0.423	0.451	0.431
curt	curt	0.245	0.610	0.452
curtail	inaqqas	0.306	0.439	0.497
curtailment	tnaqqis	0.230	0.578	0.431
curtain	purtiera	0.698	0.278	0.304
curtains	purtieri	0.615	0.123	0.342
curtsy	curtsy	0.635	0.412	0.598
curvature	kurvatura	0.417	0.367	0.447
curve	kurva	0.480	0.375	0.307
curved	mgħawweġ	0.542	0.407	0.337
curvilinear	kurvilinear	0.480	0.575	0.411
cushion	kuxxin	0.653	0.221	0.292
cushy	cushy	0.823	0.283	0.395
cusp	spun	0.667	0.710	0.700
cuss	cuss	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	ċawsli	0.618	0.260	0.293
custodial	kustodja	0.418	0.462	0.718
custodian	kustodju	0.594	0.625	0.528
custody	kustodja	0.494	0.472	0.675
custom	użanza	0.552	0.382	0.688
customary	soltu	0.700	0.253	0.561
customer	klijent	0.562	0.430	0.673
customized	Personalizzata	0.625	0.504	0.590
cut	maqtugħ	0.490	0.490	0.393
cutaneous	fil-ġilda	0.365	0.370	0.328
cute	ħelu	0.920	0.528	0.579
cuticle	rita	0.340	0.320	0.377
cutie	cutie	0.638	0.528	0.464
cutlass	cutlass	0.173	0.648	0.528
cutlery	pożati	0.552	0.300	0.345
cutoff	Aqta 'barra	0.432	0.510	0.518
cutter	cutter	0.427	0.731	0.583
cutters	cutters	0.197	0.653	0.491
cutthroat	cutthroat	0.110	0.823	0.663
cutting	qtugħ	0.448	0.375	0.536
cutting board	bord tat-tqattigħ	0.337	0.540	0.342
cuttings	qatgħat	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	cyanide	0.229	0.667	0.545
cyberspace	cyberspace	0.677	0.594	0.611
cycle	ċiklu	0.635	0.400	0.533
cyclical	ċikliku	0.380	0.450	0.554
cyclist	ċiklista	0.684	0.582	0.576
cyclone	ċiklun	0.416	0.796	0.673
cylinder	ċilindru	0.459	0.324	0.447
cylindrical	ċilindriku	0.458	0.294	0.414
cymbal	cymbal	0.542	0.363	0.362
cynic	cynic	0.135	0.632	0.473
cynical	ċinika	0.156	0.760	0.474
cynicism	ċiniżmu	0.104	0.780	0.454
cyst	ċisti	0.173	0.578	0.312
cystic	ċistika	0.314	0.481	0.400
cytomegalovirus	citomegalovirus	0.186	0.657	0.443
cytoplasm	citoplasma	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	dab	0.510	0.337	0.340
dabble	dabble	0.550	0.530	0.491
dabbling	dabbling	0.562	0.726	0.676
dad	dad	0.857	0.412	0.786
daddy	Daddy	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	Daemon	0.333	0.490	0.500
daft	daft	0.255	0.436	0.157
dagger	dagger	0.224	0.797	0.613
daily	kuljum	0.653	0.347	0.473
dainty	dainty	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	ħalib	0.633	0.255	0.462
daisy	Daisy	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	dale	0.622	0.270	0.365
dam	diga	0.250	0.553	0.394
damage	ħsara	0.059	0.726	0.403
damaged	ħsara	0.104	0.635	0.182
damages	danni	0.082	0.760	0.310
dame	dame	0.694	0.480	0.500
damn	kkritikat	0.073	0.784	0.431
damnation	dannu	0.135	0.750	0.416
damned	kkritikat	0.100	0.760	0.465
damp	niedja	0.360	0.279	0.210
dampened	naqqas	0.271	0.422	0.336
damper	umidifikatur	0.459	0.378	0.473
damsel	Damiel	0.719	0.475	0.400
dance	żfin	0.894	0.840	0.551
dancer	żeffien	0.740	0.768	0.545
dancing	żfin	0.885	0.868	0.444
dandruff	brija	0.398	0.298	0.293
dandy	dandy	0.673	0.520	0.630
danger	periklu	0.115	0.923	0.673
dangerous	perikolużi	0.020	0.941	0.658
dangerously	b'mod perikoluż	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	dangle	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	dapper	0.770	0.560	0.698
dare	dare	0.677	0.788	0.684
daredevil	daredevil	0.429	0.714	0.653
daresay	daresay	0.540	0.451	0.490
daring	daring	0.583	0.840	0.711
dark	skur	0.198	0.398	0.426
darken	jiskuraw	0.250	0.471	0.382
darkened	mdardra	0.135	0.440	0.452
darkly	b'mod skur	0.219	0.548	0.443
darkness	dlam	0.102	0.602	0.418
darkroom	kamra mudlama	0.188	0.627	0.423
darkside	darkside	0.102	0.690	0.365
darling	ħanini	0.885	0.370	0.608
darn	darn	0.115	0.765	0.418
dart	dart	0.417	0.608	0.500
dash	sing	0.574	0.312	0.324
dashboard	tabella	0.510	0.371	0.595
dashed	marret	0.276	0.393	0.338
dashing	dashing	0.612	0.627	0.799
dastardly	dastardly	0.208	0.688	0.270
data	data	0.500	0.250	0.426
database	database	0.604	0.286	0.644
date	data	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	bint	0.908	0.415	0.455
dawdle	dawdle	0.479	0.464	0.357
dawn	dawn	0.827	0.235	0.519
dawned	dawned	0.694	0.471	0.473
day	jum	0.719	0.269	0.389
daybreak	twal filgħodu	0.802	0.358	0.474
daycare	daycare	0.776	0.481	0.360
daydream	daydream	0.750	0.337	0.456
daydreaming	daydreaming	0.776	0.360	0.479
daylight	dawl tax-xemx	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	bi nhar	0.750	0.324	0.454
daze	daze	0.245	0.735	0.329
dazed	dazed	0.300	0.697	0.277
dazzle	tgħammix	0.730	0.782	0.683
dazzling	tgħammix	0.854	0.880	0.767
deacon	dijac	0.531	0.430	0.736
deactivate	deattivat	0.235	0.447	0.392
dead	mejta	0.052	0.454	0.194
deadbeat	deadbeat	0.229	0.453	0.368
deadline	skadenza	0.214	0.615	0.460
deadlines	skadenzi	0.406	0.769	0.411
deadlock	imblukkar	0.170	0.418	0.323
deadly	fatali	0.143	0.849	0.554
deaf	torox	0.186	0.324	0.161
deafening	deafening	0.281	0.835	0.482
deafness	truxija	0.125	0.413	0.219
deal	jittratta	0.719	0.599	0.543
dealer	negozjant	0.799	0.615	0.683
dealership	konċessjoni	0.541	0.430	0.629
dealing	jittrattaw	0.724	0.415	0.598
dealings	trattamenti	0.600	0.491	0.480
dean	degan	0.612	0.469	0.723
dear	għeżież	0.880	0.434	0.629
dearest	għeżież	0.902	0.427	0.508
dearth	dearth	0.156	0.539	0.255
death	mewt	0.031	0.720	0.472
deathbed	deathbed	0.051	0.652	0.311
deathly	deathly	0.073	0.771	0.682
debacle	debacle	0.156	0.606	0.266
debased	dgħajfa	0.219	0.529	0.170
debatable	diskutibbli	0.181	0.610	0.474
debate	dibattitu	0.408	0.691	0.683
debauchery	żebgħa	0.354	0.901	0.500
debenture	obbligazzjoni	0.417	0.500	0.466
debilitating	debilitanti	0.125	0.490	0.308
debit	debitu	0.333	0.400	0.474
debrief	debrief	0.247	0.343	0.549
debriefing	informazzjoni ta 'riflessjoni	0.427	0.580	0.456
debris	debris	0.135	0.396	0.327
debt	dejn	0.204	0.598	0.336
debtor	debitur	0.219	0.546	0.160
debut	debutt	0.806	0.606	0.629
debutante	debutante	0.771	0.627	0.454
decade	għaxar snin	0.531	0.402	0.665
decadence	decadenza	0.237	0.455	0.291
decadent	decadent	0.290	0.559	0.324
decaf	decaf	0.480	0.324	0.353
decanter	decanter	0.438	0.567	0.510
decathlon	decathlon	0.573	0.753	0.620
decay	tħassir	0.143	0.312	0.170
decayed	imħassra	0.017	0.375	0.169
decaying	tħassir	0.073	0.510	0.214
deceased	mejjet	0.021	0.538	0.188
decedent	decedent	0.423	0.481	0.415
deceit	qerq	0.020	0.696	0.343
deceitful	qarrieqa	0.071	0.788	0.371
deceive	tqarraq	0.094	0.775	0.414
deceived	mqarrqa	0.059	0.673	0.302
deceiving	tqarraq	0.099	0.636	0.426
december	Diċembru	0.740	0.540	0.464
decency	decency	0.750	0.235	0.634
decent	deċenti	0.823	0.296	0.653
deception	qerq	0.090	0.745	0.370
deceptive	qarrieqa	0.027	0.605	0.294
decide	tiddeċiedi	0.656	0.540	0.855
decidedly	deċiżament	0.750	0.480	0.843
deciduous	jwaqqgħu l-weraq	0.385	0.353	0.282
decimal	deċimali	0.507	0.259	0.305
decimeter	decimeter	0.520	0.292	0.377
decipher	jiddeċifraw	0.417	0.630	0.652
decision	deċiżjoni	0.646	0.510	0.839
decisive	deċiżiv	0.740	0.509	0.935
deck	gverta	0.420	0.333	0.394
declaration	dikjarazzjoni	0.551	0.590	0.714
declaratory	dikjaratorju	0.635	0.582	0.673
declare	niddikjara	0.677	0.623	0.668
declination	tnaqqis	0.250	0.549	0.311
decline	tnaqqis	0.173	0.491	0.240
declining	jonqos	0.328	0.400	0.264
deco	deco	0.625	0.274	0.356
decode	decode	0.551	0.510	0.640
decoder	decoder	0.562	0.340	0.686
decompose	jiddikomponu	0.194	0.596	0.241
decomposed	dekompost	0.073	0.442	0.231
decomposition	dekompożizzjoni	0.133	0.600	0.263
decompress	dekompress	0.438	0.430	0.509
decompression	dekompressjoni	0.208	0.520	0.311
decontamination	dekontaminazzjoni	0.611	0.538	0.573
decor	dekorazzjoni	0.734	0.311	0.573
