Word	Kyrgyz-ky	Valence	Arousal	Dominance
bingo	бинго	0.735	0.667	0.429
binocular	бинокулярдык	0.531	0.344	0.426
binoculars	дүрбү	0.490	0.309	0.411
binomial	биномиалдык	0.600	0.406	0.426
bio	био	0.612	0.225	0.490
biochemical	биохимиялык	0.367	0.481	0.618
biochemist	биохимик	0.471	0.449	0.717
biochemistry	биохимия	0.552	0.531	0.596
biogenesis	Сынак жумалыгы	0.594	0.442	0.697
biographer	өзүнүн өмүр баянын жазган	0.708	0.427	0.617
biography	өмүр баяны	0.698	0.229	0.718
biological	биологиялык	0.590	0.410	0.615
biologist	биолог аял	0.625	0.453	0.693
biology	биология	0.479	0.274	0.546
bionic	бионикалык	0.571	0.570	0.788
biopsy	биопсиясы	0.323	0.657	0.481
biosphere	бекитүү	0.684	0.351	0.579
bipartite	эки тараптуу	0.365	0.480	0.464
bipolar	биополярдык	0.208	0.685	0.426
birch	кайын	0.562	0.346	0.382
bird	чымчык	0.729	0.357	0.364
birdcage	Куш тор	0.480	0.398	0.318
birdie	Берди	0.594	0.394	0.407
birdman	Дагы	0.490	0.567	0.604
birth	туулган	0.896	0.655	0.536
birthday	туулган күн	0.969	0.844	0.575
birthing	Үшүк жүрүшү	0.796	0.877	0.519
birthmark	мең	0.630	0.461	0.500
birthplace	туулган жер	0.781	0.290	0.491
birthright	Жадигер	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	кургак печенье	0.888	0.260	0.231
bisexual	бисексуал	0.438	0.765	0.459
bishop	епископ / тур	0.594	0.184	0.725
bison	Бизон	0.573	0.433	0.557
bisque	bisque	0.693	0.443	0.312
bistro	бистро	0.594	0.472	0.396
bit	бит	0.427	0.310	0.225
bitch	канчык	0.276	0.740	0.343
bitchy	Сырные шарики	0.188	0.700	0.373
bite	тиштөө	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	битси	0.510	0.388	0.382
bitter	ачуу	0.218	0.627	0.411
bitterly	катуу	0.194	0.685	0.362
bitterness	ачуу	0.115	0.633	0.270
bittersweet	аттанганда	0.469	0.569	0.474
bitty	Субат	0.469	0.271	0.257
bitumen	чайыр	0.375	0.235	0.307
biweekly	Жумасына	0.581	0.337	0.455
biz	Биз	0.500	0.473	0.473
bizarre	нормадан тышкары	0.379	0.620	0.392
blab	угузба	0.438	0.425	0.353
blabbermouth	blabbermouth	0.323	0.640	0.422
black	кара	0.326	0.339	0.390
black snake	кара жылан	0.104	0.860	0.612
blackberry	кара бүлдүркөн	0.667	0.413	0.453
blackbird	кара дрозд	0.520	0.340	0.405
blackboard	класстык доска	0.469	0.255	0.287
blacken	чиритип	0.208	0.500	0.228
blackface	Кара бет	0.302	0.490	0.441
blackjack	Blackjack	0.419	0.679	0.452
blacklist	кара	0.133	0.750	0.396
blackmail	опузалоо	0.094	0.802	0.482
blackmailer	тоноочулар	0.092	0.780	0.472
blackness	кала	0.260	0.480	0.406
blackout	өчүрүүнүн	0.126	0.530	0.349
blacksmith	темирчи	0.480	0.531	0.702
bladder	көбүк	0.406	0.412	0.330
blade	лезвие	0.378	0.602	0.594
blame	уяткаруу	0.115	0.640	0.309
blameless	кемчиликсиз	0.759	0.196	0.343
bland	күчсүз	0.300	0.226	0.157
blank	таза	0.531	0.229	0.250
blanket	жууркан	0.740	0.132	0.391
blare	абаны	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	колдун	0.210	0.755	0.491
blasphemy	кудайды мазактоо	0.146	0.794	0.406
blast	жарылуу	0.167	0.929	0.777
blaster	жардыргыч	0.459	0.538	0.554
blastoff	blastoff	0.357	0.865	0.736
blatant	ачыктан-	0.327	0.677	0.675
blather	нематта	0.344	0.481	0.382
blaze	Өрт	0.698	0.467	0.658
blazer	пиджак	0.635	0.385	0.417
blazing	күйгөн	0.594	0.896	0.735
bleach	аки таш	0.336	0.282	0.337
bleak	кейиштүү	0.204	0.427	0.272
bleed	каноо	0.041	0.843	0.346
bleeder	Bleeder	0.260	0.852	0.356
bleeding	кан аккан	0.135	0.817	0.408
bleep	Bleep	0.479	0.667	0.345
blemish	кемчилик	0.219	0.558	0.272
blemished	кемтиги	0.173	0.469	0.370
blend	аралаштыруу	0.469	0.452	0.463
blender	Комбайн	0.602	0.534	0.351
blending	аралаштыруу	0.560	0.418	0.637
bless	бата берүү	0.929	0.269	0.588
blessed	бата	0.910	0.279	0.696
blessing	батасы	0.929	0.264	0.800
blessings	баталар	0.929	0.361	0.623
bleu	голубой	0.460	0.354	0.379
blight	нечендеген	0.271	0.771	0.429
blighted	ишке ашпай	0.146	0.615	0.296
blimp	дирижабль	0.600	0.410	0.532
blind	сокур	0.156	0.360	0.184
blinded	сокур	0.245	0.471	0.231
blindfold	көз таңуу	0.448	0.684	0.337
blindfolded	көзүн	0.208	0.564	0.209
blinding	сокур	0.304	0.596	0.406
blindly	сокурдук	0.439	0.598	0.278
blindness	сокурдук	0.245	0.480	0.196
blink	ирмөө	0.552	0.316	0.324
blip	өчкөндөй	0.529	0.461	0.418
bliss	бакыт	0.816	0.500	0.782
blissful	жыргаган	0.885	0.639	0.676
blister	ыйлак шишик	0.407	0.538	0.402
blistering	чыкса	0.344	0.569	0.390
blitz	Алексей Айги	0.417	0.722	0.789
blizzard	бороон	0.375	0.726	0.417
bloat	Bloat	0.229	0.694	0.298
bloated	шишиген	0.167	0.593	0.424
blob	тамчы	0.500	0.376	0.298
block	тосуу	0.286	0.350	0.402
blockade	курчоо	0.380	0.519	0.510
blockage	кыймылсыз бир калыпта кармалууга	0.250	0.608	0.444
blockbuster	блокбастер	0.730	0.676	0.883
blockhead	Блок	0.163	0.333	0.148
blog	блог	0.639	0.390	0.432
bloke	бөл	0.450	0.479	0.545
blond	блондинка	0.590	0.490	0.490
blonde	ак жуумал	0.698	0.545	0.412
blood	кан	0.219	0.684	0.585
bloodbath	канга	0.060	0.971	0.475
bloodhound	гангстеры	0.327	0.462	0.538
bloodless	кансыз	0.292	0.390	0.212
bloodline	уруктан	0.510	0.657	0.604
bloodshed	кан төгүү	0.048	0.942	0.525
bloodshot	чакчайган	0.188	0.810	0.482
bloodstream	кан	0.552	0.530	0.528
bloodthirsty	канкор	0.052	0.804	0.644
bloody	канкор	0.031	0.910	0.518
bloom	гүлдөө	0.816	0.453	0.587
bloomers	bloomers	0.521	0.587	0.395
blooming	гүлдөп	0.860	0.452	0.593
blossom	гүл чачуу	0.792	0.275	0.309
blot	олдоксон	0.365	0.304	0.223
blotched	табби	0.133	0.562	0.264
blotter	blotter	0.360	0.298	0.280
blouse	блузка	0.580	0.190	0.302
blow	ышкыруу	0.316	0.750	0.570
blower	куурчак	0.564	0.550	0.536
blowfish	Blowfish	0.344	0.420	0.389
blowing	үйлөп	0.521	0.472	0.434
blowjob	минет	0.460	0.784	0.387
blown	чалынды	0.333	0.548	0.412
blowout	үйлөө	0.398	0.792	0.616
blowtorch	blowtorch	0.520	0.730	0.510
blubber	ыйлоо	0.388	0.260	0.360
bluddy	bluddy	0.312	0.528	0.442
blue	көк	0.646	0.137	0.291
blue spruce	көк карагай	0.559	0.335	0.364
blueberry	карагат	0.656	0.185	0.365
bluebird	Bluebird	0.573	0.350	0.450
bluegrass	блюграсс	0.573	0.441	0.395
bluejay	bluejay	0.635	0.520	0.310
blueprint	план	0.490	0.173	0.425
blues	блюз	0.469	0.220	0.287
bluff	Bluff	0.418	0.286	0.377
bluish	көгүш	0.604	0.245	0.382
blunder	катасы	0.135	0.635	0.145
blunt	чоркок	0.551	0.680	0.925
blur	Турсынбек	0.268	0.471	0.205
blurred	бүдөмүк	0.320	0.367	0.231
blurry	бүдөмүк	0.059	0.385	0.218
blurt	койчу	0.408	0.439	0.441
blush	уялгандыктан кызаруу	0.698	0.610	0.445
blushing	уялган	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	кабан	0.406	0.500	0.351
board	башкарма	0.592	0.255	0.385
board game	такта оюну	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	интернатына	0.531	0.402	0.534
boardroom	мансаптан	0.555	0.566	0.661
boards	устун	0.469	0.270	0.524
boardwalk	Boardwalk	0.643	0.481	0.549
boast	мактануу	0.520	0.586	0.569
boastful	мактанчаак	0.490	0.806	0.695
boasting	мактануу	0.417	0.620	0.602
boat	кайык	0.516	0.420	0.554
boathouse	Boathouse	0.592	0.380	0.404
boating	кайык	0.638	0.613	0.557
boatload	boatload	0.365	0.415	0.485
boatman	кайыкчы	0.592	0.573	0.562
bobbin	ийирилген	0.429	0.472	0.353
bobcat	Bobcat	0.562	0.490	0.529
bobsled	бобслей	0.667	0.613	0.325
bode	шилтеп	0.344	0.406	0.411
bodega	Должники	0.573	0.307	0.398
bodice	корсаж	0.390	0.471	0.386
bodily	денелик	0.594	0.481	0.557
body	дене	0.694	0.461	0.571
bodyguard	өзгөчө кайтарык	0.510	0.710	0.754
bog	саз	0.302	0.361	0.365
bogey	Аманда	0.380	0.519	0.368
bogeyman	жагууда	0.388	0.708	0.517
bogus	жалгандан	0.219	0.353	0.144
bohemian	мухитинде	0.622	0.500	0.407
boil	кайноо	0.417	0.684	0.433
boiler	казан	0.561	0.590	0.509
boilerplate	шаблонго	0.398	0.519	0.387
boiling	кайноо	0.302	0.690	0.526
boisterous	туйгу	0.385	0.806	0.565
bold	тайманбастык менен	0.490	0.271	0.483
boldness	кайраттуулук	0.806	0.684	0.814
bollocks	bollocks	0.448	0.471	0.327
bolster	кайрат	0.708	0.471	0.569
bolt	жаанын огу	0.354	0.363	0.426
bolus	куюуга	0.426	0.491	0.352
bomb	бомба	0.167	0.912	0.750
bombard	амалкөйлүк	0.156	0.961	0.777
bombardier	бомбардир	0.240	0.863	0.787
bombardment	бомбалоонун	0.146	0.959	0.742
bombed	бомбалашты	0.051	0.851	0.627
bomber	бомбалагыч	0.125	0.837	0.810
bombers	жардыруу	0.173	0.920	0.787
bombing	бомбалоо	0.167	0.963	0.732
bombshell	күнгө	0.327	0.868	0.693
bonanza	гүлдөп	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	байланыш	0.667	0.519	0.630
bondage	кулчулук	0.146	0.705	0.355
bonding	байланыш	0.594	0.442	0.509
bonds	байланыштар	0.740	0.472	0.583
bondsman	на IMDB.com	0.469	0.497	0.675
bone	сөөк	0.337	0.370	0.413
bonehead	одоно	0.337	0.521	0.518
boner	г	0.344	0.612	0.393
bones	сөөктөр	0.281	0.343	0.358
bonfire	Жандосым	0.480	0.719	0.473
bong	Bong	0.333	0.566	0.375
bonkers	Аладдин	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	капот	0.406	0.509	0.473
bonny	сулуу	0.561	0.404	0.444
bonsai	bonsai	0.714	0.235	0.375
bonus	премия	0.857	0.620	0.682
bony	Сөөктөн	0.445	0.462	0.330
boo	Боо	0.153	0.676	0.309
boob	Boob	0.694	0.600	0.392
booby	Багдатта	0.396	0.423	0.185
booger	booger	0.399	0.537	0.427
boogeyman	Бугимен	0.292	0.559	0.567
boogie	Буги	0.590	0.543	0.400
book	китеп	0.802	0.210	0.606
bookcase	китеп шкафы	0.553	0.221	0.490
bookie	букмекердик	0.344	0.633	0.618
booking	отели	0.708	0.503	0.583
bookish	китеп	0.604	0.236	0.430
bookkeeper	эсепчи аял	0.480	0.363	0.468
bookkeeping	бухгалтердик	0.520	0.214	0.592
booklet	буклет	0.510	0.270	0.351
bookmaker	букмекер	0.583	0.804	0.633
bookmark	чөп кат аплети	0.543	0.441	0.415
books	китептер	0.729	0.115	0.430
bookseller	китеп сатуучу	0.583	0.317	0.456
bookshop	тастыгы	0.688	0.291	0.389
bookstore	китеп дүкөнү	0.771	0.180	0.503
bookworm	китеп сүйөрман	0.563	0.337	0.316
boom	штанганы	0.604	0.655	0.731
boomer	штанганы	0.480	0.539	0.441
boomerang	бумеранг	0.531	0.625	0.500
booming	чартылдап	0.688	0.554	0.661
boon	курал	0.878	0.294	0.642
boooo	NO TRANSLATION	0.271	0.549	0.255
boost	кубаттоо	0.865	0.730	0.750
booster	Booster	0.755	0.600	0.800
boot	жүктөө	0.438	0.650	0.625
booth	үйү	0.531	0.400	0.310
bootleg	Bootleg	0.357	0.519	0.466
bootlegger	bootlegger	0.354	0.649	0.541
boots	өтүктөр	0.602	0.255	0.350
booty	олжо	0.663	0.587	0.784
booze	таянаары	0.265	0.745	0.431
bop	боп	0.429	0.490	0.426
bopper	Боппер	0.398	0.530	0.385
border	чек ара	0.406	0.382	0.424
bordering	чектешкен	0.643	0.382	0.438
borderline	чек ара	0.449	0.520	0.490
bore	жадатуу	0.417	0.440	0.455
boreal	тропик	0.582	0.348	0.400
bored	тажоо	0.153	0.167	0.196
boredom	көнүлсүздүк	0.167	0.139	0.255
borer	чанактуулардын	0.302	0.549	0.578
boring	көнүлсүз	0.194	0.217	0.125
born	тубаса	0.865	0.509	0.591
boron	бор	0.441	0.370	0.375
borough	Боро	0.429	0.343	0.380
borrow	карызга алуу	0.398	0.573	0.282
borrower	Зайымчынын	0.439	0.423	0.763
bosom	кучагында	0.612	0.588	0.404
boss	кожоюн аял	0.310	0.627	0.954
bossy	кожоюндук	0.240	0.824	0.750
boston	бостон	0.643	0.380	0.580
botanical	ботаникалык	0.660	0.259	0.491
botanist	ботаник	0.651	0.240	0.456
botany	ботаника	0.604	0.201	0.500
bother	тынчын алуу	0.208	0.780	0.370
bothering	урушуп,	0.208	0.764	0.449
bottle	бөтөлкө	0.469	0.236	0.336
bottleneck	кыйындык	0.284	0.471	0.287
bottling	куюу	0.365	0.333	0.370
bottom	Жыйынтык	0.417	0.370	0.291
bottomless	ченемсиз	0.310	0.470	0.368
botulism	ботулис	0.292	0.575	0.386
boulder	тоо таш	0.461	0.309	0.531
bounce	секирүү	0.375	0.633	0.386
bouncer	Bouncer	0.490	0.653	0.655
bouncy	чачка	0.562	0.565	0.429
bound	байланыштырылган	0.417	0.667	0.310
boundary	чек ара	0.561	0.427	0.518
boundless	чексиз	0.684	0.642	0.652
bounds	чектери	0.378	0.426	0.604
bountiful	эстетика	0.854	0.596	0.759
bounty	канимет	0.760	0.755	0.833
bouquet	букет	0.724	0.352	0.306
bourbon	Бурбон	0.602	0.490	0.517
bourgeois	буржуазный	0.439	0.593	0.682
bourgeoisie	буржуазия	0.357	0.417	0.767
bourse	маркери	0.530	0.230	0.336
bout	сурайбыз	0.208	0.808	0.679
boutique	бутик	0.745	0.490	0.441
bouttime	bouttime	0.588	0.373	0.410
bovine	баш оору	0.449	0.255	0.353
bow	жаа	0.530	0.306	0.408
bowed	таазим кылды	0.410	0.418	0.368
bowel	ичеги	0.306	0.417	0.391
bowels	Жаным	0.194	0.448	0.362
bowl	чөйчөк	0.625	0.377	0.358
bowler	топу	0.552	0.633	0.481
bowling	боулинг	0.656	0.431	0.309
bowls	табактарды	0.551	0.280	0.277
box	кутуча	0.500	0.179	0.312
boxcar	Boxcar	0.420	0.469	0.421
boxer	боксер	0.490	0.810	0.802
boxers	боксеры	0.375	0.880	0.654
boxing	бокс	0.427	0.854	0.645
boy	бала	0.646	0.392	0.445
boycott	бойкот	0.112	0.690	0.505
boyfriend	дос бала	0.781	0.604	0.547
boyhood	балалыгынан	0.729	0.745	0.500
boyish	Намырбек	0.698	0.562	0.462
boysenberry	boysenberry	0.646	0.409	0.475
bozo	бозо	0.388	0.364	0.298
bra	бра	0.672	0.529	0.509
brace	бургу	0.610	0.385	0.364
bracelet	браслет	0.776	0.340	0.322
braces	кашаалар	0.500	0.337	0.568
brachial	brachial	0.388	0.363	0.464
bracket	кашага алуу	0.490	0.350	0.682
brackets	кашаа	0.573	0.281	0.435
brackish	туз даамданып турат	0.469	0.368	0.421
brad	Brad	0.490	0.385	0.402
brag	мактануу	0.347	0.545	0.578
braid	өрүлгөн чач	0.427	0.222	0.216
brain	мээ	0.667	0.441	0.823
brainless	ийри	0.138	0.310	0.224
brains	Баткен	0.663	0.557	0.722
brainstorm	бир-	0.794	0.784	0.636
brainwash	идеологиялык баш айландыруу	0.198	0.647	0.481
brainy	акылдуу	0.708	0.520	0.648
brake	тормоз	0.312	0.481	0.310
bran	Кебектин	0.688	0.433	0.483
branch	бутак	0.538	0.206	0.250
branching	бутактуу	0.520	0.422	0.472
brand	белги	0.562	0.284	0.547
brandy	коньяк	0.600	0.590	0.487
brash	санаган	0.360	0.814	0.552
brass	латунь	0.500	0.320	0.490
brass knuckle	жез рокер,	0.406	0.449	0.518
brassiere	brassiere	0.510	0.469	0.336
brat	Brat	0.312	0.440	0.231
bratwurst	жареная	0.510	0.490	0.464
bravado	Элис	0.479	0.510	0.527
brave	эр жүрөктүү	0.837	0.750	0.917
bravery	эрдик	0.898	0.745	0.868
brawl	мушташ	0.104	0.938	0.603
brawn	эчен	0.438	0.402	0.544
brazen	жез	0.292	0.640	0.518
breach	бузган	0.177	0.745	0.423
bread	нан	0.660	0.314	0.342
breadth	туурасы	0.667	0.490	0.644
break	тыныгуу	0.610	0.265	0.370
breakable	морт	0.194	0.667	0.408
breakaway	жикчил	0.479	0.802	0.519
breakdown	авария	0.365	0.423	0.361
breaker	бөлүштүргүч	0.323	0.527	0.520
breakers	Долуланган	0.469	0.588	0.439
breakfast	эртең мененки тамак	0.885	0.330	0.429
breaking and entering	бузуп кирген	0.418	0.729	0.500
breakingnews	breakingnews	0.500	0.552	0.607
breakneck	кыска	0.254	0.833	0.604
breakthrough	олуттуу жетишкендик	0.680	0.525	0.718
breakup	ажырашуу	0.250	0.720	0.357
breast	төш	0.753	0.429	0.500
breath	дем	0.684	0.392	0.451
breathe	дем алуу	0.833	0.373	0.518
breather	тыныгуу	0.624	0.471	0.388
breathless	шамалсыз	0.323	0.490	0.222
breathtaking	укмуш	0.936	0.792	0.921
breech	= йг =	0.500	0.637	0.422
breeches	а чолок шымдар	0.365	0.457	0.333
breed	тукум	0.490	0.441	0.578
breeder	баккан	0.645	0.481	0.605
breeding	асыроо	0.667	0.481	0.610
breeze	жел	0.837	0.284	0.370
breezy	согуп	0.531	0.472	0.482
brethren	Бир туугандар	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	тутуп	0.459	0.434	0.375
brew	кайнатып даярдоо	0.740	0.538	0.758
brewery	пиво заводу	0.710	0.622	0.510
brewing	жетилип	0.740	0.593	0.609
briar	тытылып	0.493	0.375	0.407
bribe	пара берүү	0.112	0.690	0.472
bribery	паракорлук	0.135	0.775	0.585
brick	кыш	0.217	0.418	0.368
bridal	уктаган	0.823	0.655	0.596
bride	колукту	0.840	0.708	0.579
bridegroom	Үйлөнө турган жигит	0.809	0.736	0.527
bridesmaid	келин жолдош	0.748	0.519	0.618
bridge	көпүрө	0.625	0.324	0.519
bridle	ооздук	0.427	0.367	0.386
brief	кыска	0.469	0.300	0.279
briefcase	портфель	0.542	0.206	0.442
briefing	маалыматтык чогулуш	0.612	0.333	0.702
briefly	кыскача	0.686	0.314	0.330
brig	зарп	0.573	0.539	0.500
brigade	бригада	0.604	0.710	0.828
bright	жаркырак	0.890	0.527	0.812
brighten	жарык	0.760	0.547	0.649
brightens	чачып жарык	0.771	0.611	0.613
brighter	жарык	0.918	0.698	0.833
brightness	жарыктык	0.938	0.623	0.660
brilliance	даанышмандыгын	0.990	0.673	0.830
brilliant	жалтыраган	0.939	0.575	0.923
brim	кыр	0.469	0.333	0.330
brimming	бай	0.656	0.690	0.758
brimstone	күкүрт	0.357	0.520	0.440
brine	суулар	0.333	0.481	0.361
bring	алып келүү	0.635	0.460	0.462
brink	кирпичтерди	0.375	0.413	0.356
brisk	ылдам	0.719	0.745	0.742
brisket	brisket	0.552	0.378	0.222
bristle	тик	0.375	0.375	0.326
brittle	морт	0.276	0.490	0.272
bro	байке	0.794	0.349	0.684
broach	тиктеди	0.438	0.439	0.675
broad	кенен	0.762	0.365	0.637
broadcast	берүү	0.615	0.587	0.355
broadcasting	берүү	0.542	0.700	0.706
broaden	кенейүү	0.678	0.602	0.610
broadside	менсингендер	0.459	0.316	0.462
broadsword	палаш	0.469	0.573	0.615
brocade	атластан	0.500	0.327	0.464
broccoli	брокколи	0.469	0.200	0.283
brochure	брошюра	0.552	0.226	0.391
broil	да сенатор	0.510	0.404	0.330
broke	сынган	0.245	0.590	0.370
broken	сынган	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	кайгыргандарга	0.130	0.598	0.227
broker	брокер	0.582	0.462	0.600
brokerage	Келчи	0.479	0.500	0.500
bromide	метилбромид	0.347	0.425	0.411
bronco	Bronco	0.500	0.510	0.473
bronze	коло	0.622	0.333	0.526
brooch	брошка	0.531	0.260	0.380
brood	тукумдары	0.633	0.519	0.434
brooding	Караан	0.327	0.367	0.333
brook	суу	0.594	0.347	0.412
broom	шыпыргы	0.385	0.154	0.302
broomstick	Стюарт	0.410	0.265	0.227
broth	сорпосу	0.500	0.245	0.168
brothel	публикалык	0.255	0.886	0.418
brother	байке, ини	0.823	0.361	0.546
brotherhood	бир тууган	0.990	0.471	0.760
brotherly	бир тууган	0.865	0.306	0.596
brow	Ураган	0.562	0.311	0.481
brown	күрөң	0.396	0.202	0.293
brownstone	Браунстоун	0.559	0.423	0.439
browse	карап чыгуу	0.635	0.750	0.592
brrr	brrr	0.373	0.540	0.282
bruise	канталап көгөргөн жер	0.133	0.640	0.474
bruising	жанчылган	0.084	0.520	0.422
brunch	кечирээк	0.406	0.363	0.343
brunette	брюнетка	0.802	0.528	0.529
brunt	башы-	0.204	0.750	0.349
brush	щетка	0.490	0.265	0.186
brutal	орой	0.122	0.882	0.643
brutality	оройлук	0.122	0.832	0.571
brute	орой	0.115	0.547	0.379
brutish	акылсыз	0.270	0.837	0.588
bubble	көбүк	0.774	0.213	0.364
bubbling	кайнар булак	0.500	0.438	0.384
bubbly	bubbly	0.698	0.608	0.462
bubonic	тумоодон	0.280	0.530	0.394
buck	Бак	0.677	0.577	0.720
buckaroo	buckaroo	0.448	0.469	0.479
bucket	чака	0.408	0.167	0.336
buckle	таралга	0.416	0.373	0.361
buckled	чечпей	0.427	0.358	0.439
bucko	Бако	0.439	0.455	0.465
buckshot	buckshot	0.255	0.740	0.322
buckwheat	гречка	0.490	0.471	0.434
bud	бүчүр	0.460	0.402	0.333
buddha	Будда	0.690	0.198	0.604
buddhism	Буддизм	0.510	0.115	0.673
buddhist	буддист аял	0.570	0.182	0.481
budding	бүчүр	0.490	0.500	0.355
buddy	досум	0.884	0.585	0.655
budge	коюуну	0.719	0.755	0.543
budget	бюджет	0.643	0.396	0.731
buff	билерманы	0.561	0.425	0.361
buffalo	буйвол	0.469	0.528	0.527
buffer	Чек арадагы	0.520	0.474	0.350
buffering	Топтолууда	0.479	0.468	0.381
buffet	муштагылап	0.656	0.546	0.519
buffoon	жумдум	0.344	0.651	0.290
bug	кантала	0.286	0.500	0.246
bugaboo	мокочонун	0.439	0.491	0.441
bugged	лирика	0.561	0.439	0.500
bugger	жогол	0.312	0.627	0.474
buggy	Buggy	0.500	0.509	0.327
bugle	Сурнай	0.479	0.588	0.391
bugler	сурнайчы	0.542	0.540	0.393
build	куруу	0.771	0.546	0.806
builder	куруучу	0.660	0.642	0.701
building	курулуш	0.705	0.288	0.673
buildings	имараттар	0.582	0.380	0.552
buildup	куруу	0.490	0.509	0.623
bulb	лампа	0.562	0.208	0.300
bulbous	ийилген	0.390	0.442	0.430
bulge	томпоктук	0.260	0.487	0.400
bulimic	bulimic	0.092	0.570	0.373
bulk	көлөм	0.469	0.413	0.509
bulkhead	переборка	0.312	0.425	0.402
bulky	көлөмдүү	0.427	0.591	0.750
bull	бука	0.521	0.640	0.644
bulldog	Амурск	0.494	0.650	0.530
bulldozer	бульдозер	0.459	0.549	0.643
bullet	ок	0.408	0.794	0.634
bulletin	бюллетень	0.573	0.294	0.361
bulletproof	ок	0.750	0.721	0.779
bullfighter	Bullfighter	0.448	0.794	0.664
bullfrog	Bullfrog	0.344	0.481	0.422
bullheaded	өжөр	0.229	0.740	0.516
bullhorn	bullhorn	0.510	0.653	0.736
bullion	Алтын	0.693	0.558	0.729
bullock	букачар	0.281	0.402	0.375
bullpen	bullpen	0.480	0.549	0.500
bullshit	билбейт	0.042	0.676	0.183
bully	кордошот	0.257	0.755	0.564
bulwark	коргон	0.551	0.552	0.675
bum	арт жак	0.281	0.451	0.155
bumblebee	жапан аары	0.469	0.493	0.321
bummed	bummed	0.296	0.430	0.227
bummer	Bummer	0.163	0.500	0.267
bump	урунуу	0.286	0.458	0.368
bumper	толтурулган чөйчөк	0.385	0.573	0.518
bumpy	көөп	0.306	0.683	0.419
bun	NO TRANSLATION	0.424	0.306	0.268
bunch	букет	0.552	0.358	0.473
bundle	таңгак	0.510	0.343	0.434
bungalow	бунгало	0.562	0.352	0.406
bungee	банджи	0.637	0.545	0.327
bunghole	bunghole	0.286	0.426	0.396
bunion	bunion	0.276	0.340	0.290
bunk	сандырак	0.438	0.332	0.339
bunker	жашынуучу жер	0.375	0.673	0.773
bunkhouse	bunkhouse	0.470	0.414	0.407
bunny	бакма коен	0.740	0.325	0.194
bunt	bunt	0.417	0.422	0.349
buoy	буй	0.562	0.280	0.284
buoyancy	сүздүргөн	0.625	0.373	0.538
buoyant	калкып	0.625	0.441	0.497
bur	Бур	0.385	0.353	0.314
burden	жүк	0.367	0.583	0.697
burdened	оордук	0.429	0.519	0.565
burdensome	оор	0.229	0.696	0.419
bureau	бюро	0.562	0.373	0.618
bureaucracy	бюрократия	0.380	0.578	0.740
bureaucrat	бюрократ	0.208	0.519	0.598
bureaucratic	бюрократиялык	0.280	0.630	0.573
burger	бургер	0.688	0.568	0.398
burglar	бузуп алгыч ууру аял	0.050	0.769	0.404
burglary	бузуп уурдоо	0.146	0.918	0.543
burial	өлүктү коюу үрп адаты	0.203	0.577	0.333
buried	коюлду	0.133	0.530	0.370
burke	Берк	0.466	0.441	0.451
burlap	мүшөк	0.429	0.462	0.411
burlesque	Бурлеск	0.327	0.615	0.343
burly	ой жоруулар менен	0.562	0.650	0.750
burn	өрттөө	0.219	0.783	0.509
burned	өрттөдү	0.163	0.603	0.347
burner	жаздыргыч	0.296	0.816	0.446
burning	күйүп	0.229	0.760	0.412
burnished	жалтырак	0.520	0.580	0.464
burnout	Өтө	0.219	0.445	0.240
burnt	бүтүндөй өрттөлүүчү	0.082	0.713	0.356
burp	кекиргенде	0.219	0.594	0.432
burr	Барр	0.390	0.426	0.308
burrito	Буррито	0.688	0.294	0.166
burro	NO TRANSLATION	0.400	0.356	0.318
burrow	Burrow	0.438	0.280	0.355
bursary	стипендия	0.729	0.462	0.571
burst	тартыша	0.156	0.894	0.845
bury	көмүү	0.077	0.571	0.346
bus	автобус	0.407	0.411	0.400
busboy	busboy	0.510	0.453	0.441
bush	бадал	0.413	0.220	0.315
bushel	Аскадан чыккан	0.417	0.387	0.368
bushy	үрпөйгөн	0.562	0.321	0.427
business	ишкердик	0.688	0.569	0.755
business man	NO TRANSLATION	0.530	0.598	0.933
businessman	ишкер эркек	0.653	0.510	0.802
businesswoman	ишкер аял	0.719	0.500	0.764
busload	busload	0.561	0.481	0.492
buss	BUSS	0.469	0.500	0.391
bust	Эстеликти	0.520	0.500	0.420
busted	аттырып	0.204	0.676	0.345
buster	Buster	0.469	0.491	0.483
bustle	чууну	0.347	0.814	0.445
bustling	жыш	0.490	0.850	0.528
busy	алек	0.402	0.500	0.474
busybody	кийлигише	0.255	0.634	0.472
butane	бутан	0.442	0.483	0.380
butcher	касапчы	0.500	0.575	0.608
butler	дворецкий	0.469	0.225	0.438
