Word	Georgian-ka	Valence	Arousal	Dominance
exempt	თავისუფლდება	0.588	0.455	0.664
exemption	გათავისუფლება	0.531	0.578	0.627
exercise	სწავლება	0.750	0.789	0.625
exert	მოახდინეთ	0.694	0.735	0.806
exertion	გაკვეთილი	0.663	0.755	0.717
exhale	გამონაყარი	0.542	0.490	0.411
exhaust	გამონაბოლქვი	0.546	0.710	0.337
exhausted	ამოწურა	0.123	0.423	0.202
exhaustion	ამოწურვა	0.366	0.633	0.269
exhaustive	ამომწურავი	0.388	0.635	0.604
exhibit	გამოფენა	0.688	0.633	0.708
exhibition	გამოფენა	0.698	0.590	0.531
exhilarated	გაოცებული	0.890	0.963	0.759
exhilarating	სასიამოვნო	0.917	0.823	0.810
exhilaration	გაღიზიანება	0.792	0.868	0.783
exhort	exhort	0.378	0.660	0.745
exhortation	exhortation	0.531	0.624	0.580
exhumation	exhumation	0.177	0.586	0.473
exhume	exhume	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	გადასახლება	0.184	0.630	0.483
exist	არსებობს	0.857	0.421	0.788
existence	არსებობა	0.760	0.513	0.771
existent	არსებობა	0.635	0.490	0.635
existential	ეგზისტენციალური	0.583	0.510	0.638
existing	არსებული	0.802	0.344	0.750
exit	გასასვლელი	0.370	0.353	0.399
exodus	გამოსვლა	0.286	0.663	0.567
exonerate	გამონაკლისი	0.592	0.500	0.538
exorbitant	exorbitant	0.398	0.865	0.825
exorcism	ექსორსიზმი	0.163	0.980	0.557
exorcist	exorcist	0.219	0.906	0.716
exotic	ეგზოტიკური	0.840	0.711	0.727
expand	გაფართოება	0.792	0.559	0.686
expanded	გაფართოვდა	0.760	0.406	0.689
expanse	გაფართოება	0.594	0.529	0.689
expansion	გაფართოება	0.776	0.618	0.787
expansive	ექსპანსიური	0.708	0.650	0.778
expatriate	ექსპატრიანტი	0.265	0.764	0.391
expect	ველით	0.469	0.327	0.377
expectance	მოლოდინი	0.552	0.724	0.660
expectancy	ლოდინი	0.581	0.622	0.558
expectant	expectant	0.708	0.650	0.474
expectation	მოლოდინი	0.771	0.690	0.707
expected	მოსალოდნელია	0.729	0.412	0.545
expecting	ველოდები	0.561	0.450	0.302
expediency	მიზანშეწონილობა	0.604	0.443	0.703
expedient	მიზანშეწონილია	0.885	0.461	0.454
expedite	დაჩქარება	0.571	0.858	0.798
expedition	ექსპედიცია	0.735	0.802	0.620
expeditious	დაჩქარებული	0.602	0.645	0.773
expel	გაძევება	0.281	0.725	0.452
expendable	expendable	0.479	0.490	0.423
expenditure	ხარჯები	0.250	0.608	0.603
expense	ხარჯზე	0.317	0.451	0.377
expenses	ხარჯები	0.240	0.633	0.396
expensive	ძვირია	0.323	0.540	0.530
experience	გამოცდილება	0.827	0.618	0.905
experienced	გამოცდილი	0.771	0.613	0.914
experiences	გამოცდილება	0.793	0.647	0.795
experiment	ექსპერიმენტი	0.479	0.720	0.675
experimental	ექსპერიმენტული	0.417	0.764	0.396
experimentation	ექსპერიმენტირება	0.637	0.769	0.767
experimenter	ექსპერიმენტი	0.708	0.710	0.700
expert	ექსპერტი	0.776	0.646	0.911
expertise	ექსპერტიზა	0.792	0.589	0.925
expiration	ვადის გასვლა	0.265	0.539	0.463
expire	იწურება	0.573	0.745	0.702
expired	ამოიწურა	0.198	0.394	0.200
expiry	გასვლა	0.194	0.434	0.382
explain	ახსენით	0.719	0.517	0.736
explanation	ახსნა	0.615	0.610	0.825
explanatory	ახსნა	0.573	0.433	0.688
expletive	ექსკლუზიური	0.357	0.567	0.536
explication	ექსპრესია	0.510	0.445	0.602
explicit	გამოკვეთილი	0.562	0.694	0.734
explode	აფეთქება	0.277	0.885	0.773
exploit	ექსპლოიტაცია	0.312	0.878	0.660
exploitation	ექსპლუატაციაში	0.156	0.920	0.718
exploration	საძიებო	0.594	0.650	0.773
exploratory	exploratory	0.653	0.690	0.698
explore	გამოკვლევა	0.776	0.660	0.727
explorer	მკვლევარი	0.729	0.663	0.714
explosion	აფეთქება	0.167	0.960	0.767
explosions	აფეთქებები	0.123	0.860	0.594
explosive	ასაფეთქებელი	0.156	0.943	0.663
expo	ექსპო	0.610	0.562	0.500
exponent	მაჩვენებელი	0.529	0.510	0.845
exponential	გაფანტული	0.704	0.588	0.763
export	ექსპორტი	0.567	0.661	0.755
exportation	ექსპორტირება	0.760	0.633	0.673
expose	გამოვლენა	0.344	0.643	0.537
exposed	დაუცველი	0.471	0.661	0.509
exposition	ექსპოზიცია	0.521	0.627	0.655
expository	ექსპოზიცია	0.706	0.653	0.636
exposure	ექსპოზიცია	0.570	0.830	0.630
expound	განმარტავს	0.438	0.575	0.740
express	გამოხატოს	0.760	0.623	0.691
expression	გამოხატვა	0.790	0.650	0.721
expressive	ექსპრესიული	0.755	0.724	0.685
expressway	ექსპრესი	0.633	0.635	0.587
expropriation	ექსპროპრიაცია	0.188	0.735	0.788
expulsion	გაძევება	0.190	0.790	0.529
exquisite	დახვეწილი	0.892	0.644	0.604
exquisitely	დახვეწილი	0.849	0.728	0.723
extant	სავარაუდოდ	0.646	0.390	0.523
extend	ვრცელდება	0.646	0.570	0.689
extendable	ვრცელდება	0.660	0.592	0.722
extended	გაფართოვდა	0.570	0.304	0.649
extension	გაფართოება	0.490	0.510	0.529
extensive	ვრცელი	0.635	0.520	0.760
extent	იმდენად, რამდენადაც	0.646	0.451	0.602
exterior	ექსტერიერი	0.542	0.400	0.627
exterminate	განადგურება	0.177	0.857	0.736
extermination	განადგურება	0.190	0.860	0.616
exterminator	განადგურება	0.344	0.804	0.887
external	გარე	0.479	0.341	0.509
externally	გარედან	0.643	0.521	0.568
extinct	გადაშენდა	0.112	0.491	0.412
extinction	გადაშენება	0.104	0.750	0.611
extinguish	ჩაქრობა	0.240	0.576	0.482
extinguisher	ჩაქრობას	0.707	0.379	0.543
extol	extol	0.582	0.667	0.456
extort	გამოძალვა	0.052	0.827	0.570
extortion	გამოძალვა	0.112	0.868	0.630
extra	ზედმეტი	0.656	0.551	0.745
extract	ამონაწერი	0.565	0.402	0.519
extracting	მოპოვება	0.521	0.709	0.689
extraction	მოპოვება	0.418	0.740	0.526
extractor	საწებელი	0.302	0.536	0.519
extracurricular	კლასგარეშე	0.457	0.471	0.743
extradition	ექსტრადიცია	0.229	0.627	0.554
extrajudicial	ზედმეტი	0.365	0.686	0.667
extramural	ექსტრამალური	0.336	0.559	0.537
extraneous	უცხო	0.276	0.625	0.478
extraordinaire	ექსტრაორდინალური	0.847	0.864	0.898
extraordinary	საგანგებო	0.969	0.728	0.860
extraterrestrial	ლოგო	0.510	0.833	0.792
extravagance	ექსტრავაგანე	0.531	0.802	0.700
extravagant	ექსტრავაგანტული	0.720	0.763	0.812
extravaganza	ექსტრავაგანზა	0.646	0.786	0.906
extreme	უკიდურესი	0.318	0.800	0.721
extreme anticipation	უკიდურესი მოლოდინი	0.551	0.740	0.704
extreme disgust	უკიდურესი სიძულვილი	0.052	0.873	0.456
extreme surprise	ექსტრემალური სიურპრიზი	0.833	0.935	0.676
extreme trust	ექსტრემალური ნდობა	0.826	0.713	0.922
extremely	ძალიან	0.635	0.827	0.886
extremely negative	ძალიან უარყოფითი	0.030	0.786	0.311
extremely positive	ძალიან პოზიტიურია	0.993	0.730	0.839
extremity	კიდურები	0.408	0.588	0.583
extricate	გაფართოება	0.542	0.510	0.543
extrinsic	extrinsic	0.510	0.479	0.636
extrusion	ექსტრუზიის	0.229	0.660	0.545
exuberance	ჭარბი	0.698	0.816	0.787
exude	exude	0.375	0.519	0.411
eye	თვალი	0.531	0.265	0.425
eyeball	თვალის ჩაკვრა	0.526	0.422	0.420
eyebrow	წარბი	0.510	0.198	0.222
eyeful	თვალწარმტაცი	0.802	0.500	0.676
eyeglass	eyeglass	0.531	0.236	0.286
eyeglasses	სათვალის	0.561	0.269	0.306
eyelash	წამწამები	0.480	0.250	0.278
eyelet	თვალი	0.632	0.298	0.346
eyeliner	eyeliner	0.688	0.349	0.347
eyepiece	eyepiece	0.418	0.347	0.480
eyes	თვალები	0.760	0.279	0.432
eyesight	მხედველობა	0.750	0.226	0.343
eyewitness	თვითმხილველი	0.541	0.686	0.698
fab	ფაფა	0.490	0.380	0.406
fable	იგავი	0.663	0.387	0.389
fabled	fabled	0.625	0.538	0.545
fabric	ქსოვილი	0.635	0.190	0.345
fabricate	ფაბრიკატი	0.636	0.491	0.779
fabricated	შეთითხნილი	0.418	0.427	0.555
fabrication	ფაბრიკაცია	0.573	0.587	0.705
fabulous	ზღაპრული	0.979	0.660	0.797
facade	ფასადი	0.520	0.333	0.518
face	სახე	0.571	0.173	0.453
faceless	faceless	0.230	0.406	0.173
facet	საქმის კურსში	0.667	0.324	0.382
facial	სახის	0.594	0.429	0.433
facile	NO TRANSLATION	0.740	0.264	0.307
facilitate	ხელი შეუწყოს	0.812	0.333	0.509
facility	დაწესებულებაში	0.625	0.500	0.654
facing	მოსაპირკეთებელი	0.604	0.406	0.550
facsimile	ფაქსიმილური	0.490	0.500	0.543
fact	ფაქტია	0.683	0.333	0.618
faction	ფრაქცია	0.469	0.430	0.448
factor	ფაქტორი	0.635	0.365	0.678
factory	ქარხანა	0.500	0.500	0.683
facts	ფაქტები	0.688	0.471	0.693
factual	ფაქტობრივად	0.656	0.440	0.545
faculties	ფაკულტეტები	0.643	0.431	0.760
faculty	ფაკულტეტი	0.615	0.412	0.732
fad	ახირება	0.663	0.520	0.570
fade	ქრებოდა	0.354	0.333	0.245
faded	გაქრა	0.302	0.275	0.194
faeces	ფსონები	0.184	0.476	0.175
fag	fag	0.122	0.653	0.331
faggot	fagot	0.219	0.643	0.292
fail	ვერ	0.177	0.578	0.154
failing	ვერ	0.125	0.490	0.268
failure	მარცხი	0.167	0.575	0.139
fain	NO TRANSLATION	0.479	0.417	0.426
faint	სუსტი	0.063	0.429	0.167
fainting	გაბრაზება	0.333	0.510	0.214
fair	სამართლიანი	0.812	0.557	0.643
fairly	საკმაოდ	0.790	0.406	0.750
fairness	სამართლიანობა	0.740	0.317	0.552
fairway	სამართლიანი გზა	0.541	0.510	0.500
fairy	ზღაპარი	0.776	0.408	0.413
faith	რწმენა	0.833	0.220	0.763
faithful	ერთგული	0.888	0.333	0.627
faithfulness	ერთგულება	0.833	0.426	0.602
faithless	ურწმუნო	0.102	0.683	0.304
fake	ყალბი	0.073	0.554	0.268
faker	მცხობელი	0.245	0.630	0.480
falafel	ფალაფიელი	0.560	0.402	0.351
falcon	falcon	0.557	0.580	0.678
fall	შემოდგომაზე	0.177	0.657	0.221
fallacious	დამღუპველი	0.271	0.587	0.390
fallacy	fallacy	0.112	0.561	0.430
fallback	fallback	0.458	0.358	0.508
fallible	fallible	0.365	0.537	0.402
falling	დაცემა	0.202	0.716	0.306
fallopian	ფლოპი	0.297	0.390	0.464
fallout	ჩამოყრა	0.428	0.356	0.373
fallow	fallow	0.375	0.368	0.464
false	FALSE	0.120	0.404	0.240
falsehood	სიცრუე	0.031	0.625	0.384
falsely	მოტყუებით	0.083	0.480	0.265
falsification	გაყალბება	0.173	0.720	0.490
falsified	გაყალბებული	0.042	0.630	0.306
falsify	გაყალბება	0.115	0.657	0.409
falsity	სიცრუეა	0.120	0.689	0.186
falter	falter	0.421	0.650	0.346
fame	დიდება	0.896	0.755	0.852
famed	განთქმული	0.878	0.750	0.819
familiar	ნაცნობი	0.906	0.330	0.615
familiarity	ნაცნობობა	0.854	0.346	0.616
familiarize	გაეცანით	0.760	0.365	0.654
family	ოჯახი	0.968	0.383	0.643
familytime	საოჯახო დრო	0.939	0.420	0.679
famine	შიმშილობა	0.163	0.679	0.310
famished	დაიღალა	0.177	0.654	0.282
famous	ცნობილი	0.916	0.775	0.882
famously	ცნობილია	0.856	0.765	0.787
fan	გულშემატკივარი	0.781	0.429	0.357
fanatic	ფანატიკოსი	0.573	0.780	0.629
fanatical	ფანატიკოსი	0.555	0.830	0.714
fanaticism	ფანატიზმი	0.292	0.896	0.566
fanciful	ვნებიანი	0.677	0.592	0.342
fancy	ლამაზი	0.854	0.673	0.534
fandango	fandango	0.490	0.591	0.429
fanfare	გულშემატკივართა	0.656	0.640	0.437
fang	NO TRANSLATION	0.175	0.491	0.455
fangs	fangs	0.286	0.598	0.434
fanning	fanning	0.615	0.330	0.236
fantasia	ფანტაზია	0.898	0.694	0.436
fantasize	ფანტაზირება	0.771	0.660	0.356
fantastic	ზღაპრული	0.969	0.696	0.831
fantasy	ფანტაზია	0.880	0.627	0.474
faraway	შორს	0.365	0.356	0.285
farce	ფარსი	0.265	0.667	0.246
farcical	ფარსიკური	0.406	0.481	0.259
fare	მგზავრობის ღირებულება	0.490	0.425	0.645
farewell	გამოსამშვიდობებელი	0.130	0.500	0.591
farm	მეურნეობა	0.781	0.327	0.297
farmer	ფერმერი	0.677	0.432	0.464
farmhouse	მეურნეობა	0.690	0.330	0.444
farming	მეურნეობა	0.580	0.414	0.568
farmland	მეურნეობა	0.729	0.363	0.509
faro	ფერო	0.544	0.349	0.357
fart	fart	0.194	0.439	0.264
farther	შემდგომი	0.418	0.500	0.430
fascia	fascia	0.480	0.366	0.356
fascinate	მოხიბლავს	0.854	0.683	0.802
fascinated	მოხიბლული	0.812	0.714	0.788
fascinating	მომხიბლავი	0.979	0.817	0.784
fascination	გატაცება	0.885	0.773	0.835
fascism	ფაშიზმი	0.104	0.740	0.695
fascist	ფაშისტი	0.200	0.755	0.527
fashion	მოდის	0.827	0.616	0.589
fashionable	მოდური	0.750	0.510	0.605
fastball	fastball	0.688	0.679	0.575
fasten	დამაგრება	0.458	0.585	0.529
fastener	ხელსაყრელი	0.577	0.377	0.491
fastening	fastening	0.594	0.473	0.554
fasting	მარხვა	0.388	0.370	0.394
fat	ცხიმი	0.198	0.353	0.237
fatal	ფატალური	0.061	0.775	0.509
fatalism	ფატალიზმი	0.208	0.694	0.631
fatality	სიკვდილი	0.062	0.798	0.595
fate	ბედი	0.571	0.479	0.712
fated	fated	0.582	0.472	0.692
fateful	საბედისწერო	0.290	0.583	0.402
fathead	fathead	0.296	0.527	0.463
father	მამა	0.812	0.333	0.824
fatherhood	მამობა	0.885	0.519	0.682
fatherland	მამული	0.729	0.469	0.778
fatherly	მამაო	0.865	0.363	0.712
fathom	fathom	0.520	0.410	0.523
fatigue	დაღლილობა	0.173	0.378	0.265
fatigued	დაღლილი	0.146	0.433	0.245
fatso	fatso	0.286	0.394	0.336
fatten	fatten	0.375	0.549	0.363
fatty	ცხიმოვანი	0.286	0.361	0.325
faucet	faucet	0.427	0.278	0.356
fault	ბრალია	0.188	0.558	0.184
faultless	უნაყოფო	0.792	0.500	0.741
faulty	გაუმართავი	0.184	0.520	0.378
faun	faun	0.490	0.303	0.376
fauna	ფაუნა	0.646	0.346	0.404
faux	faux	0.291	0.490	0.204
favor	სასარგებლოდ	0.812	0.308	0.519
favorable	ხელსაყრელი	0.952	0.380	0.788
favorite	საყვარელი	0.885	0.590	0.691
favoriteholiday	NO TRANSLATION	0.867	0.618	0.582
favoritism	ფავორიტიზმი	0.582	0.559	0.658
fawn	fawn	0.626	0.360	0.284
fax	ფაქსი	0.406	0.368	0.304
faze	NO TRANSLATION	0.417	0.515	0.382
fear	შიში	0.073	0.840	0.293
feared	ეშინოდა	0.240	0.733	0.509
fearful	შიში	0.083	0.482	0.278
fearfully	შიშით	0.112	0.567	0.271
fearing	შიშით	0.125	0.566	0.256
fearless	უშიშარი	0.810	0.806	0.760
fears	შიში	0.061	0.821	0.306
fearsome	შიში	0.115	0.900	0.586
feasibility	მიზანშეწონილია	0.653	0.490	0.741
feasible	შესაძლებელია	0.694	0.388	0.611
feast	დღესასწაული	0.979	0.724	0.680
feat	feat	0.750	0.706	0.849
feather	ბუმბული	0.677	0.208	0.144
feathered	feathered	0.438	0.288	0.214
feature	ფუნქცია	0.667	0.314	0.679
features	მახასიათებლები	0.667	0.433	0.509
febrile	ფებრილი	0.429	0.578	0.414
fecal	ფეკალური	0.255	0.528	0.213
feces	განავალში	0.240	0.407	0.307
fecundity	fecundity	0.688	0.591	0.683
fed	ყელში	0.602	0.370	0.482
federal	ფედერალური	0.530	0.459	0.859
federation	ფედერაცია	0.633	0.354	0.763
fedup	NO TRANSLATION	0.327	0.500	0.352
fee	საფასური	0.354	0.386	0.556
feeble	სუსტი	0.157	0.280	0.109
feed	შესანახი	0.812	0.429	0.739
feedback	კავშირი	0.622	0.557	0.645
feeder	მიმწოდებლისთვის	0.604	0.452	0.713
feel	გრძნობენ	0.802	0.602	0.596
feelgood	თავის კარგად გრძნობა	0.990	0.441	0.621
feeling	შეგრძნება	0.806	0.329	0.531
feelingdown	NO TRANSLATION	0.490	0.457	0.567
feelinggood	NO TRANSLATION	0.940	0.449	0.655
feet	ფეხები	0.510	0.240	0.292
feign	ფეხი	0.340	0.394	0.356
feigned	ფეხი	0.173	0.602	0.333
feisty	უსიამოვნო	0.592	0.853	0.789
felicity	სიხარული	0.913	0.704	0.793
feline	feline	0.615	0.745	0.509
fell	დაეცა	0.255	0.462	0.250
feller	კედელი	0.406	0.622	0.617
fellow	თანამემამულე	0.745	0.298	0.570
fellowship	სტიპენდია	0.900	0.429	0.778
felon	felon	0.111	0.898	0.455
felony	felony	0.206	0.808	0.472
felt	იგრძნო	0.643	0.417	0.566
female	ქალი	0.857	0.520	0.625
feminine	ქალური	0.802	0.520	0.394
femininity	ქალურობას	0.750	0.479	0.451
feminism	ფემინიზმი	0.541	0.570	0.636
feminist	ფემინისტი	0.510	0.560	0.585
femme	NO TRANSLATION	0.551	0.529	0.398
femoral	ბარძაყის	0.417	0.324	0.566
femur	femur	0.408	0.289	0.413
fen	NO TRANSLATION	0.490	0.276	0.379
fence	ღობე	0.500	0.198	0.398
fenced	შემოღობილი	0.323	0.430	0.429
fencing	ფარიკაობა	0.542	0.654	0.539
fend	fend	0.646	0.731	0.537
fender	ტენდერი	0.369	0.459	0.476
fennel	ცერეცოს	0.573	0.277	0.389
ferment	ფერმენტი	0.375	0.531	0.418
fermentation	დუღილი	0.420	0.567	0.473
fern	გვიმრა	0.602	0.240	0.290
ferocious	სასტიკი	0.167	0.915	0.776
ferocity	გაბრაზება	0.235	0.906	0.746
ferret	ferret	0.385	0.391	0.398
ferry	საბორნე	0.604	0.509	0.389
ferryboat	NO TRANSLATION	0.594	0.452	0.553
fertile	ნაყოფიერი	0.888	0.408	0.704
fertility	ნაყოფიერება	0.885	0.529	0.726
fertilize	განაყოფიერება	0.708	0.443	0.542
fertilizer	სასუქი	0.438	0.463	0.565
fervent	მტკიცე	0.646	0.632	0.773
fervor	fervor	0.573	0.769	0.651
fess	fess	0.395	0.420	0.370
fest	ფესტივალი	0.704	0.574	0.402
festival	ფესტივალი	0.870	0.706	0.714
festive	სადღესასწაულო	0.854	0.740	0.764
fetal	ნაყოფის	0.388	0.308	0.364
fetch	მოიტანეთ	0.479	0.363	0.491
fete	NO TRANSLATION	0.580	0.551	0.465
fetish	ფეტიში	0.307	0.706	0.500
fetus	ნაყოფი	0.479	0.519	0.395
feud	მტრობა	0.146	0.796	0.312
feudal	ფეოდალური	0.367	0.370	0.610
feudalism	ფეოდალიზმი	0.229	0.465	0.607
fever	ცხელება	0.194	0.674	0.364
feverish	ცხელება	0.385	0.696	0.436
fiancee	NO TRANSLATION	0.959	0.626	0.556
fiasco	fiasco	0.167	0.600	0.200
fiat	ფიატი	0.520	0.418	0.446
fib	fib	0.438	0.510	0.361
fiber	ბოჭკოვანი	0.719	0.284	0.390
fiberglass	ფიბერკასი	0.451	0.451	0.443
fibrosis	ფიბროზი	0.160	0.469	0.546
fibrous	ბოჭკოვანი	0.480	0.441	0.464
fickle	fickle	0.406	0.481	0.346
fiction	ფიქცია	0.438	0.657	0.441
fictional	გამოგონილი	0.430	0.490	0.340
fictitious	ფიქტიური	0.224	0.444	0.293
fiddle	ვიოლინო	0.571	0.449	0.391
fiddler	fiddler	0.615	0.580	0.500
fidelity	ერთგულება	0.765	0.580	0.709
fidgety	fidgety	0.229	0.786	0.351
fiduciary	სანდო პირი	0.375	0.400	0.509
field	სფეროში	0.640	0.380	0.336
field hockey	საველე ჰოკეი	0.602	0.786	0.518
fielder	ფეილერი	0.583	0.378	0.415
fiend	ჯილდო	0.146	0.903	0.608
fiendish	აღსავსე	0.167	0.846	0.591
fierce	სასტიკი	0.281	0.877	0.759
fiery	ცეცხლოვანი	0.418	0.850	0.721
fiesta	ფეისტეა	0.927	0.779	0.655
fiesty	NO TRANSLATION	0.571	0.663	0.472
fifteen	თხუთმეტი	0.490	0.290	0.443
fifty	ორმოცდაათი	0.571	0.368	0.439
fig	ლეღვი	0.573	0.390	0.339
fight	ბრძოლა	0.531	0.868	0.809
fighter	მოიერიშე	0.637	0.760	0.898
fighting	საბრძოლო	0.292	0.885	0.783
fights	იბრძვის	0.070	0.920	0.712
figment	figment	0.552	0.316	0.533
figurative	სიმბოლური	0.479	0.450	0.634
figure	ფიგურა	0.688	0.328	0.509
figurine	ფიგურა	0.760	0.283	0.258
filament	ძაფი	0.510	0.452	0.377
filamentous	filamentous	0.531	0.480	0.516
file	ფაილი	0.480	0.316	0.463
filet	filet	0.615	0.392	0.291
filibuster	filibuster	0.271	0.714	0.508
filigree	filigree	0.576	0.408	0.514
filing	წარდგენა	0.620	0.420	0.700
filings	წარწერები	0.323	0.412	0.340
fill	შევსება	0.729	0.449	0.637
filler	შემავსებელი	0.531	0.347	0.529
fillet	ფილე	0.745	0.415	0.378
filling	შევსება	0.510	0.382	0.525
filly	filly	0.479	0.564	0.519
film	ფილმი	0.823	0.491	0.566
filmmaker	კინორეჟისორი	0.704	0.510	0.635
filmy	NO TRANSLATION	0.583	0.510	0.425
filter	ფილტრი	0.440	0.296	0.260
filth	ბოროტი	0.194	0.592	0.319
filthy	filthy	0.115	0.714	0.321
filtration	ფილტრაცია	0.407	0.520	0.255
fin	NO TRANSLATION	0.333	0.340	0.377
final	საბოლოო	0.276	0.575	0.508
finale	ფინალი	0.406	0.330	0.468
finalist	ფინალისტი	0.833	0.686	0.736
finality	საბოლოო	0.615	0.368	0.627
finalize	დაასრულებს	0.556	0.550	0.578
finalized	დასრულდა	0.245	0.210	0.608
finally	საბოლოოდ	0.583	0.433	0.465
finance	ფინანსები	0.753	0.431	0.843
financial	ფინანსური	0.667	0.500	0.722
financier	ფინანსისტი	0.602	0.500	0.778
finch	ფინჩი	0.438	0.444	0.358
find	იპოვოს	0.774	0.555	0.580
finder	მონახეთ	0.360	0.550	0.630
finding	მოძიებაში	0.796	0.469	0.664
fine	ჯარიმა	0.823	0.240	0.647
finery	finery	0.562	0.479	0.636
finesse	finesse	0.740	0.387	0.412
finger	თითი	0.321	0.264	0.291
fingernail	fingernail	0.418	0.415	0.153
fingerprint	თითის ანაბეჭდი	0.583	0.404	0.570
fingerscrossed	NO TRANSLATION	0.573	0.540	0.356
finish	დასრულება	0.471	0.429	0.545
finished	დასრულდა	0.510	0.387	0.570
finite	სასრულ	0.384	0.347	0.293
fink	ვარდისფერი	0.410	0.514	0.439
fir	ნაძვი	0.521	0.275	0.306
fire	ცეცხლი	0.380	0.804	0.635
firearm	ცეცხლსასროლი იარაღი	0.086	0.943	0.864
firearms	ცეცხლსასროლი იარაღი	0.220	0.943	0.821
fireball	fireball	0.302	0.777	0.664
firecracker	firecracker	0.474	0.741	0.434
firefight	მეხანძრე	0.153	0.920	0.664
firefighter	მეხანძრე	0.637	0.770	0.773
firefly	ცეცხლი	0.622	0.410	0.363
firehouse	სახანძრო	0.594	0.689	0.627
firelight	ცეცხლი	0.677	0.504	0.639
fireman	მეხანძრე	0.583	0.745	0.755
fireplace	ბუხარი	0.667	0.380	0.417
firepower	firepower	0.375	0.941	0.810
fireproof	ცეცხლგამძლე	0.684	0.679	0.723
fireside	ხანძარი	0.684	0.377	0.394
firestorm	ცეცხლი	0.180	0.929	0.766
firewall	firewall	0.485	0.602	0.629
firewood	შეშა	0.520	0.348	0.263
firework	ფეიერვერკი	0.786	0.904	0.593
fireworks	ფეიერვერკი	0.735	0.863	0.579
firing	გათავისუფლება	0.188	0.931	0.803
firm	ფირმა	0.635	0.380	0.728
firmament	ფირმა	0.750	0.407	0.660
firmly	მტკიცედ	0.786	0.510	0.777
firmness	სიმტკიცე	0.823	0.479	0.939
first	პირველი	0.625	0.500	0.788
firstborn	პირმშო	0.786	0.490	0.695
firstworldprobs	NO TRANSLATION	0.458	0.612	0.483
fiscal	ფისკალური	0.500	0.582	0.845
fish	თევზი	0.510	0.280	0.250
fisherman	მეთევზე	0.656	0.461	0.546
fishery	თევზაობა	0.574	0.503	0.519
fishing	თევზაობა	0.677	0.283	0.405
fishing boat	სათევზაო ნავი	0.521	0.403	0.627
fishy	თევზი	0.224	0.601	0.471
fissile	fissile	0.333	0.490	0.380
fission	დაშლა	0.386	0.500	0.567
fissure	გაღიზიანება	0.333	0.510	0.431
fist	პირველი	0.333	0.686	0.481
fistfight	პირველი ჩხუბი	0.208	0.902	0.543
fistful	fistful	0.500	0.509	0.500
fistula	ფისტულა	0.312	0.481	0.330
fit	ჯდება	0.604	0.450	0.632
fitness	ფიტნეს	0.875	0.529	0.810
fits	შეესაბამება	0.571	0.363	0.580
fitted	დამონტაჟებული	0.507	0.404	0.673
fitting	იარაღი	0.612	0.441	0.638
fittings	ფიტინგები	0.531	0.404	0.409
five	ხუთი	0.510	0.221	0.298
fiver	ღვიძლი	0.458	0.469	0.517
fix	დაფიქსირება	0.760	0.538	0.519
fixable	fixable	0.724	0.470	0.645
fixation	ფიქსაცია	0.562	0.459	0.655
fixed	ფიქსირებული	0.684	0.167	0.509
fixer	ფიქსატორი	0.633	0.375	0.606
fixture	fixture	0.663	0.216	0.409
fixtures	სეზონი	0.643	0.330	0.370
fizz	fizz	0.459	0.708	0.349
fjord	fjord	0.510	0.404	0.463
flabbergast	flabbergast	0.480	0.679	0.547
flabbergasted	flabbergasted	0.312	0.802	0.342
flabby	flabby	0.292	0.358	0.250
flaccid	ფლაგმანი	0.156	0.400	0.151
flag	დროშა	0.592	0.378	0.536
flagging	ფლაგმანი	0.521	0.519	0.509
flagpole	დროშა	0.500	0.394	0.458
flagrant	აშკარაა	0.286	0.673	0.455
flagship	ფლაგმანი	0.592	0.587	0.703
flagstaff	flagstaff	0.520	0.517	0.500
flair	flair	0.775	0.471	0.676
flak	flak	0.390	0.600	0.600
flake	flake	0.385	0.388	0.289
flaky	ყლორტი	0.363	0.509	0.279
flamboyant	დალაქი	0.615	0.794	0.705
flame	ფლეიმის	0.448	0.574	0.615
flamethrower	flamethrower	0.160	0.882	0.683
flaming	flaming	0.406	0.645	0.558
flamingo	ფლამინგო	0.667	0.451	0.482
flammable	აალებადი	0.216	0.800	0.715
flan	flan	0.604	0.304	0.198
flange	flange	0.500	0.306	0.390
flank	ფლანგი	0.448	0.458	0.443
flanked	კადრები	0.333	0.431	0.368
flanking	გარშემორტყმული	0.490	0.622	0.519
flannel	flannel	0.490	0.250	0.327
flap	flap	0.275	0.385	0.344
flapping	flapping	0.458	0.728	0.404
flare	გაფანტული	0.558	0.823	0.508
flares	flares	0.580	0.642	0.556
flaring	დაფარვა	0.625	0.771	0.509
flash	ფლეშ	0.571	0.590	0.657
flashback	Flashback	0.265	0.400	0.485
flashing	სასოწარკვეთილი	0.604	0.574	0.438
flashlight	ფანარი	0.653	0.414	0.356
flashy	flashy	0.704	0.600	0.827
flask	ფლაგმანი	0.418	0.412	0.454
flat	ბინა	0.408	0.236	0.303
flatbed	ბორბალი	0.490	0.250	0.380
flatfoot	ფრეფრუტი	0.265	0.333	0.330
flatness	სიბრტყე	0.479	0.280	0.527
flatten	დაფარავს	0.286	0.469	0.442
flatter	flatter	0.521	0.418	0.302
